MAT.1.1	Si Jesus a sya a Cristo
MAT.13.1	Konan sitaw a lamang nin awro nibwat ya sa bali si Jesus tan nako ya nin tinmekre' sa rigrig nin baybay. 
MAT.13.2	Pinasyan ka'bawan ra bale' nin tutawo nin inmarak kona. Kanya' nin rinmuran ya sa sayay baluto nin nakapundo ket tinmekre' yadtaw. Ket saray tutawo naka'deng sara sa abay. 
MAT.13.3	Nangusar ya nin pangingiyarig
MAT.13.3	Wana ni Jesus, “Main nin sayay magtatalon a nako nanabwag nin bini' sa pinaririk na. 
MAT.13.4	Sin man'isabwag nay bini', main nin naika' sa dadalanan. Na'kit rayti nin manuk-manok ket kinnan ra. 
MAT.13.5	Main anamaet nin naika' sa babato a iti tamo' sa babo a luta'. Rinumsik nin tampor ta ababoy luta'. 
MAT.13.6	Sin na'mutan, nalanes; ket bana' ta kai nin nakayamot nin ararem, nakri'! 
MAT.13.7	Main et nin naika' sa lugar a mantubuan nin madiwin didikot. Linmambot tan kinmubpal a madiwin dikot ket nadaeg ti. 
MAT.13.8	Ket main anamaet nin naika' sa madaem nin luta'. Ket main nin ginmungan tulumpulo', main nin a'nem a pulo', tan main anamaet nin sanyasot.”
MAT.13.9	Wana et ni Jesus, “Si'kamon manrumnge', adalen moyoyti nin maong.”
MAT.13.10	Kinmadani sara kona ni Jesus a tumutumbok na tan nitepet ra kona, “Ambale' a mangusar kan pangingiyarig sa pangangakay mo konran tutawo?”
MAT.13.11	Wana nin ni'bat, “O' a, ta, si'kamon peteg nin mantumumbok kongko, man'aburuyan nakamon Dios nin matandaan moyoy maipa'ka' sa pag'aadi' na a kai et nin naipataros nangibwat et sin nu'na, bale' konran raruman tutawo, kai na nin man'ipatandaan. 
MAT.13.12	Anaod, si tawon man'ipamuspusan nan matarusan a narnge' na, say pakataros na ket malamu'nan; bale' si tawon kai na rabay nin tarusan, mataman nin say tanda' na ket mag'in nin kasa. 
MAT.13.13	Mangusar akon pangingiyarig bana' ta mataman nin ma'kit raynan ma'kit a man-gaw'en ko, kai ra nin mangkaipurok a mangka'kit ra; marnge' raynan marnge' a man'iyakay ko bale' kai ra nin manreng'en o mangkatarusan. 
MAT.13.14	Sa sain a kapapa'sar ra ket matukid a nibarita' nan Dios a niparate' na ni Prupita Isaias. Wana,
MAT.13.14	‘Saraytin tutawo, marnge' raynan marnge'
MAT.13.14	bale' kai ra nin matarusan;
MAT.13.14	Ma'kit raynan ma'kit
MAT.13.14	bale' kai ra nin alilbien,
MAT.13.15	ta tinmib'ey anay ulo ra.
MAT.13.15	Pinaletpetan ray tutulyan ra
MAT.13.15	tan nikidem raynay mata ra
MAT.13.15	ta no ambo' nin wanin,
MAT.13.15	ma'kit, marnge' tan mataros ra kumon no ani a matunong,
MAT.13.15	tan mamper sara kongko
MAT.13.15	ket isalba kosara.’
MAT.13.16	Wana ni Jesus, “Bale' si'kamo, makarma' kamo ta main nin paka'kit tan pakarnge' moyo sa katutu'wan. 
MAT.13.17	Ibarita' koyti komoyo a abaw saray prupita tan tutawon matunong sin nu'nan panaon a masulit nin maka'kit tan makarnge' sa mangka'kit tan mangkarnge' moyo maipa'ka' sa pangingisalba nan Dios kontamo, ket kai nin nangyadi' ti sin panaon ra.”
MAT.13.18	Wana et ni Jesus, “Reng'en moyo tan adalen moyo a pipa'kaan nan si pangingiyarig nin maipa'ka' konan magtatalon. 
MAT.13.19	Saray tutawon nakarnge' nin maipa'ka' sa pag'aadi' nan Dios bale' kai rayti nin natarusan, maipada sara sa dadalanan a naikaan nin bini'. Nako ya konra a si sya a Kadukaan ket nipalingwanan nay narnge' ra.
MAT.13.20	Say babato nin lugar a naikaan nin bini', maipada saradti a maririket nin nakarnge' sa Sarita' nan Dios tan tampor a inako' ra. 
MAT.13.21	Bale' kai nin nakayamot konra kanya' nin kai nagnayon ta sin mangirangep saraynan pakapaidap tan pammadya'dya' bana' sa nipangrisibi ra nin Sarita' nan Dios, rinmay'ep sara tan ginurutan rayna.
MAT.13.22	Itaw sa no adti main nin tinmubo' nin madiwin dikot a naikaan nin bini', maipada sara anamaet a nangrenge' sa Sarita' nan Dios. Bale' bana' ta kaaburidwan ray kabibyay ra tan nu'na-nu'nay apes ran yumaman, ket nadaeg nin sayti a apes ran tumbuken a Sarita' nan Dios. Kai nin ginmunga sa byay ra.
MAT.13.23	Ket saytaw anamaet say madaem nin luta' a naikaan nin bini', maipada saray nangrenge' tan natarusan ray Sarita' nan Dios ket nagtrabaho sa byay ra tan ginmunga nin bara'mon bini' a main nin ginmungan tulumpulo', o a'nem a pulo', o sanyasot.”
MAT.13.24	Nami ya anamanaet nin sayay pangingiyarig si Jesus. Wana, “Say pag'aadi' nan Dios ket maiyarig sa nangyadi' iti konan sitin isturya. Main nin sayay lalaki nin nako nangisabwag nin sayay klasin mabistan bini' a kasan lawok nin raruma sa mantalunen na. 
MAT.13.25	Bale' sayay yabi sin nakaka'lek saraynay tutawo, sayan kuntra konan sitin tawo a nako konan sitaw a mantalunen na, tan nangisabwag yan bikoy nin duka' a klasin rabot, a no tumubo' ket kapadan bakas nin saytaw say mabistan klasin bikoy. Mi'sa nibwat yayna. 
MAT.13.26	Sin inmalaki tan gumungayna, maipurok anay rabot. 
MAT.13.27	Naka'ngap saray padalos nan main nin luta' nin nako sara kona a wanra, ‘Don, kasan lawok nin saytaw say bikoy a nisabwag moyo sa luta' moyo. Adti taw nin nangibwat say duka' nin rabot a tinmubo'?’
MAT.13.28	Wana, ‘Kasan sapo! Kakuntra koyay nangwa' nin sain!’
MAT.13.28	‘Pa'no sawanin ey, di dutduten mi a rabot?’ wanra nin padalos.
MAT.13.29	‘Andi',’ wanan amo, ‘ta bangli' no maikidutdot moyoy mabistan klasin mula. 
MAT.13.30	Taga'nan moyoynay pangyayatab, ta ibarita' ko li' konran mangyatab a dutduten ra mi'sa ra nin berberen nin puuran. Mayadi', yataben ra li' a mabistan klasin mula mi'sa iyator sa agamang ko.’ ”
MAT.13.31+MAT.13.32	Nami ya anamanaet nin sayay pangingiyarig si Jesus. Wana, “Say iyalawang nin pag'aadi' nan Dios ket maiyarig sa bikoy nin mustasa a sangkadaitean sa sarba nin bikoy. Bale' no naimula yayna, tumubo' ya tan mag'in yan sangkaalakyan sa sarban pupising. Ata'gay yan bara'mon kayo ket saray manuk-manok umapon sara kona tan mipugar sara sa susanga na.”
MAT.13.33	Nami ya anamanaet nin pangingiyarig si Jesus. Wana, “Say pakaitayak nin akay maipa'ka' sa pag'aadi' nan Dios ket maiyarig sa pammakbo. Nilawok nan sayay babayi a daite' nin pammakbo sa tulon latan arina. Ket kinumbo yay intiron minasa na.”
MAT.13.34	Sa nipangibari-barita' nan sayti ni Jesus konran tutawo ket nangusar yan pangingiyarig. Kasan nibarita' na a kai ya nangusar nin pangingiyarig. 
MAT.13.35	Sa wantin ginwa' na ni Jesus a nakatukidan nin wana nin Dios a nipaiparate' na konan prupita. Wana,
MAT.13.35	“Mangusar ako li' nin pangingiyarig no iyakay kosara.
MAT.13.35	Ipatandaan ko li' konra a bubagay nin kasa et gapon nakatanda' nangibwat sin naparsa yay mundo.”
MAT.13.36	Ket linakwanan nasarayna ni Jesus a tutawo tan sinumrep ya sa bali. Tinumbok raya nin tumutumbok na tan wanra kona, “Ipapalaway mo pa komi a pipa'kaan nan pangingiyarig maipa'ka' sa rabot.”
MAT.13.37	Wana ni Jesus, “Si'kon si Pinaitawo yaytaw si nangisabwag nin mabistan bikoy a kasan lawok. 
MAT.13.38	Sitaw si mantalunen ket kaalimbawaan nayan mundo. Saytaw say mabistan klasin bikoy a kasan lawok, sara a tutawo nin si Dios a mampag'adi' sa byay ra, tan saytaw say bikoy nin duka' a klasin rabot, sara a tutawon si sya a Kadukaan a mampag'adi' sa byay ra. 
MAT.13.39	Sitaw si kakuntra nan lalaki, sya a Dimunyo. Say pangyayatab, isimbulo a anggawan nan sitin panaon, tan saray mangyayatab, saray uanghil nan Dios.
MAT.13.40	Saytaw say pakadutdot tan pakaberber nin puuran nin duka' a rabot, sain a mangyadi' li' konran duka' a tutawo no anggawan nan sitin panaon 
MAT.13.41	ta si'kon si Pinaitawo, ibaki' kosara li' a uanghil ko nin mako rasara galten nga'min sa Pag'adian ko a sarba ran gumu-gumwa' nin duka' a makaayat konran raruma nin magkasalanan. 
MAT.13.42	Ket itampal rasara li' sa burung-burong nin apoy sa impyirno. Itaw umasisit tan umagrem sara li' tan ngumaretenget li' a ngipen ra bana' sa pakapaidap tan bereng ra. 
MAT.13.43	Saray pinapteg nan Dios bale', ipadar ra li' a kinamapteg na nin Dios nin kapada na kaslag nin awro itaw sa Pag'adian nan Dios, si Ama ran itaw sa langit.
MAT.13.43	Si'kamon manrumnge', adalen moyoytin maong.”
MAT.13.44	“Si Pag'adian nan Dios ket maiyarig ya sa kayamanan a naikali sa luta'. Nadumog nayti nin sayay tawo ket tinambakan nan uman. Pinasyan ririket na ket nako ya sa bali na tan nilako' na a sarban main na mi'sa naya kina' sinaliw taw nin luta'.
MAT.13.45	Si Pag'adian nan Dios ket maiyarig ya et konan sayay kumirsyanti nin mampaningkap nin kumprawen nan mabistan klasi tan mablin pirlas. 
MAT.13.46	Sin na'kit nayaynay sangkablyan, nika' na nin nilako' nga'min a sarban main na mi'sa naya kina' sinaliw taw nin pirlas.
MAT.13.47	Si Pag'adian nan Dios ket maiyarig ya et a lamang sa kayakas
MAT.13.48	No abaw anay nakalap, arwasen rayayna nin maninilay mi'sa rasara nin galten tan klasyen a kuna'. Saray mabistan klasi, ikwa rasara sa gagaban ra tan saray makapoy, itampal rasara. 
MAT.13.49	Wanin li' anamaet a mangyadi' no anggawan nan sitin panaon ta isyay rasara li' nin uanghil konran matunong a duka' nin tutawo, 
MAT.13.50	mi'sa rasara li' nin itampal sa burung-burong nin apoy. Itaw umasisit tan umagrem sara li' tan ngumaretenget a ngipen ra sa pakapaidap tan bereng ra.”
MAT.13.51	Nitepet na ni Jesus konran tumutumbok na, “Natarusan moyo paray nibarita' ko?”
MAT.13.51	“O',” wanra.
MAT.13.52	“Anaod,” wana ni Jesus, “no si sayay mangangakay nin Sarita' nan Dios ket naadal naynan tumbuken a katutu'wan maipa'ka' sa pag'aadi' mangibwat sa langit, bara'mo yan tawon abaw a kayadian sa bali na ta ambo' tamo' nin say gindat a maiyakay na, no kai edet, pati say ba'yo.”
MAT.13.53	Sin nayadi' nayna nin nibi taw nin pangingiyarig ni Jesus, nibwat ya konan sitaw a lugar, 
MAT.13.54	ket, sinmubli' ya sa Nazaret a mismon babali na. Itaw nangyakay ya sa sinaguga ra ket saray nakarnge' kona naka'ngap saran maong. Wanra, “Ya! Adti ya kano in nin nag'adal? Adti in nangibwat a kaungan na nin magmilagro? 
MAT.13.55	No, anak naya tamo' in nin si karpintiro! Siin ket si Maria a ina na tan kaka raya ni Santiago, Jose, Simon, tan ni Judas! 
MAT.13.56	Sara et a ari nan bubbayi ket iti sara nin mampiikap. Adti na kadi' nin kinalap in nin kadunungan tan pakayadi' na?” 
MAT.13.57	Kai ra nin kauna'nepan a maipa'ka' kona ket kai sara nin namper kona.
MAT.13.57	Wana ni Jesus konra, “Rispitado yay sayay prupita pwira tamo' sa mismon babali na tan pwira konran mismon pamilya na.”
MAT.13.58	Ket ambo' nin abaw a ginwa' nadtaw nin milagro ta saray tutawo kai sara nin namper kona.
MAT.14.1	Sin sain, natandaan na ni Herodes Antipas
MAT.14.2	“Sya si Juan a sinmubli' nin mabyay! Ket anaod, main nin pakayadi' nan makagwa' nin mumilagro,” wana ni Herodes konran tutawo na 
MAT.14.3	ta intaw ket nipadakep naya si Juan, nipapriso tan nipakadinawan naya. Ginwa' nayti ni Herodes bana' kona ni Herodias a asawa nan busat na nin si Felipe, 
MAT.14.4	ta wana intaw nin nibari-barita' ni Juan kona ni Herodes, “Abas a i'yan ma.” 
MAT.14.5	Konan siin ket rabay nayaynan ipapati si Juan bale' mali'mo ya konran ka'bawan ra nin tutawo ta tepren ran saya yan prupita si Juan.
MAT.14.6	Bale' sin narate' a awron nikaiyanak na ni Herodes tan sinilibra rayti, dinmukdok yay anak nan balasang ni Herodias sa adapan ran bubisita. Napagustwan ya si Herodes 
MAT.14.7	ket wana konan balasang, “Sambawan ko nin ibi ko komo a animan nin dawaten mo.”
MAT.14.8	Binibilin nayan ina na a balasang kanya' nin wanti a dinawat na kona ni Herodes, “Rabay kon ibi ma kongko sawanin ana nin mismo nin naikwa sa plato a ulo na ni Juan a Mammawtismo.”
MAT.14.9	Nagbabawian nan adi' a nipangako' na, bale' bana' ta nagpangako' yan sinambawan na ket narnge' ran bubisita na, nigan-gan nay pakaunor nin dawat nan balasang. 
MAT.14.10	Nipaputol naya sa priswan a ulo na ni Juan. 
MAT.14.11	Nikwa raya sa plato mi'sa raya nin nibi konan balasang, ket si balasang nika' naya konan ina na. 
MAT.14.12	Ket kina' raya kinalap itaw sa priswan nin tumutumbok na ni Juan a bangkay na tan nitabon raya. Mi'sa, nika' ra nin niparate' kona ni Jesus a nangyadi'.
MAT.14.13	Sawanin, sin natandaan na ni Jesus a maipa'ka' sa sain, nibwat ya tan saray raruman tumutumbok na nin rinmuran sa baluto a mako sa lugar a kasan tawo ta pigaw nin magbukud-bukod sara. Bale' abaw saray tutawon nakatanda' no adti a keen ra kanya' nin nibwat sara sa bubabali ra nin nangrigrig baybay saran linmalakon tinmumbok kona. 
MAT.14.14	Sin nakaabay sarayna si Jesus, na'kit nasara a abaw itaw nin tutawo. Maka'dwan yan tuloy konra. Ket pinaanda' nasaray main nin masakit.
MAT.14.15	Sin dumedlem ana, kinmadani saray tumutumbok na kona ket wanra, “Mandumedlem ana ket kasa pa et nin bubalidti, kanya' nin paibwaten mosarayna nin makapako sara sa raruman bubaryo ket makasaliw saran kanen ra.”
MAT.14.16	“Kai sara matkap nin palakwanen,” wana ni Jesus. “Si'kamoynay mamin ma'kan ra.”
MAT.14.17	“Ya! Lima ray tinapay tan rwa ray kuna' tamo' bale' a main iti,” wanra.
MAT.14.18	Ket wana ni Jesus, “Ika' moyodti kongko.” 
MAT.14.19	Pinatekre' nasara a tutawo sa rarabot. Inagwang nay liman tinapay tan saray rwan kuna' mi'sa ya tinmangar sa langit ket nikisalamat ya konan Dios. Tinau-tao nayti tan nibi na konran tumutumbok na nin itayak ra konran tutawo. 
MAT.14.20	Nakapangan sara nga'min a tutawo tan nabsoy sara. Dininep ran tumutumbok a tara' ket main nin labinrwan balyag. 
MAT.14.21	Saray nangan, limanribo saray lulalaki tan kai sarayna nin nikibilang a bubbayi tan a'nak. 
MAT.14.22	Kaaram, pinaruran nasarayna ni Jesus sa baluto a tumutumbok na tan pinau'na nasaraynan mako sa rubari' nan baybay leg'an nasaran pinaibwat a tutawo.
MAT.14.23	Sin nakaibwat saraynay tutawo, nako ya sa sayay ata'gay nin purod, a bukud-bukod nadtaw, ta pigaw nin dumasal ya. Mandumedlem ana ket itaw ya et nin bukud-bukod. 
MAT.14.24	Sara anamaet bale' a tumutumbok na nin mansumaki sa baluto, itaw sarayna sa butlay. Mangkapaidap saran sumaki ta alalaki a daluyon tan sungsong yay siri.
MAT.14.25	Sin bandan parbangon, tinmumbok ya konra nin manlumalako ya sa babon ranom. 
MAT.14.26	Ket sin na'kit ran main nin manlumalako sa babon ranom, nali'mwan sara. “Main nin lampong!” nita'way ra nin pinasyan li'mo.
MAT.14.27	Nag'irgo yan tampor si Jesus a wana, “Andi' kamo nin mali'mo. Si'koyti. Paksawen moyoy nakem moyo.”
MAT.14.28	Wana ni Pedro, “Catawan, no page' a si'ka in, kayaban nakon makodsen komo a lumalako ako sa babon ranom.”
MAT.14.29	“Paradti,” wana ni Jesus.
MAT.14.29	Inmarawas ya sa baluto si Pedro tan linmalako yan nako kona ni Jesus. 
MAT.14.30	Bale' linmi'mo ya sin nadlaw nan pinasyan peres ket manlumdeg yayna. “Byayen nako, Catawan!” wanan nita'way.
MAT.14.31	Sinampat naya nin tampor ni Jesus tan wana kona, “Si'kan kurang a pagmamatalek, ambale' a nagdwadwa ka?”
MAT.14.32	Rinmuran sara sa baluto ket linumteng ana. 
MAT.14.33	Saray itaw sa baluto nangrayo sara kona ni Jesus. Wanra, “Peteg a si'kay Anak nan Dios!”
MAT.14.34	Sin nakaripay sarayna, inmabay sara sa Genesaret. 
MAT.14.35	Naalilbi' rayan tutawodtaw si Jesus ket nipata-patanda' ra sa nagsikabarang nin lugar itaw a pagkamain na. Ket inawit-awit rasaran tutawo kona a mampagmasakit. 
MAT.14.36	Nikidawat saran inganga'do kona a aburuyan nasara tanan kuditen ray saroy nin aysing na. Ket sarba ran nakakudit inmanda' sara.
MAT.15.1	Ni'sa, main nin Pariseo tan Madudunong sa Gugan-gan a rinmate' nin ibat sa Jerusalem a nako kona ni Jesus. Nitepet ra kona, 
MAT.15.2	“Ambale' a man-gurutan ran tumutumbok mo a kaugalian a nangibwat et konran pupuon tamo bilang say mangan sarayna nin kai ra nin tumbuken a ugali' nin manepeg a pammusbos nin ranom sa gamet?”
MAT.15.3	Ni'bat na ni Jesus konra, “Si'kamo anamaet, ambale' a man-gurutan moyoy nigan-gan nan Dios bana' sa panunumbok moyo nin kaugalian moyo 
MAT.15.4	ta wanan Dios, ‘Igalang ma si ama mo tan si ina mo,’
MAT.15.5	Bale' si'kamo, say man'iyakay moyo ket sakalako. Wamoyo a no main nin magwa' nan ibin tulong nin sayay tawo konran mangatua na, ibada' nayna konra a igagara na anayti nin ida'ton konan Dios ket kai na nin maibi nin tulong konra. 
MAT.15.6	Ket sigon sa sain a akay moyo, kai nasarayna matkap nin lingapen a mangatua na. Sa wanin a gawa' moyo sa tanay matumbok moyo a uakay moyon bukod, ginwa' moyon kasan kwinta a nibarita' nan Dios. 
MAT.15.7	Mampisantu-santos kamo tamo'. Kustoy nipadles na ni Prupita Isaias maipa'ka' komoyo a wana,
MAT.15.8	‘Saraytin tutawo,’ wanan Dios, ‘raywen rako sa irgo,
MAT.15.8	bale' say kukanakman ra ket adayo' nin tuloy kongko.
MAT.15.9	Kasan kakanaan nin pangrarayo ra kongko
MAT.15.9	ta uakay ran diri a man'ipatukid ra nin bara'mo nin gugan-gan ko.’
MAT.15.10	Pinakadani nasara ni Jesus kona a abaw nin tutawon itaw. Wana konra, “Reng'en rako tan tarusan moyoy ibarita' ko. 
MAT.15.11	Ambo' a say sumrep sa bebey nan sayay tawo a puon nin pagkakasalanan na, no kai say duka' a lumiwa' sa bebey na.”
MAT.15.12	Kinmadani sara konay tumutumbok na ket wanra kona, “Tanda' mo paran napasager mosaray Pariseo sa saytaw say nibarita' mo?”
MAT.15.13	Ni'bat na ni Jesus konra, “Sarban mula nin kai na nin nimula ni Ama ko nin itaw sa langit ket madutdot li'. 
MAT.15.14	Pauryan moyo sara. Bara'mo saran sayay bulag a mampanabin nin mangyakay dalan konan saya et nin bulag. Ambo' nin ma'teng ket pariho saran maikura'bot.”
MAT.15.15	Kapingmatan wana ni Pedro, “Ipapalaway mo pa komi a pipa'kaan nan sitaw si pangingiyarig nin nibarita' mo konran tutawo.”
MAT.15.16	“Ani, anggan sawanin kapada ran raruma, kai kamo et nin makataros?” wana ni Jesus konra. 
MAT.15.17	“Kai moyo para nin maamingaw a sarban ipasrep tamo sa bebey tamo ket mako sa tyan tamo mi'sa li' a lamang nin lumiwa'? 
MAT.15.18	No kai edet a lamang, say duka' nin lumiwa' sa bebey nan sayay tawo nin mangibwat sa nakem na, sayti a mamagkasalanan konan sayay tawo! 
MAT.15.19	Wanti ana: say duka' nin kukaisipan, say mangmati, say kiraray sa ambo' nin asawa, say sarbaynan klasin pangikon ran lalaki nin kapada ran lalaki o ran babayi nin kapada ran babayi, say manakaw, say mibula'-bula', tan say manida' nin kagalangan nin raruman tawo; mangibwat in sa nakem nan sayay tawo. 
MAT.15.20	Sain nin gugawa' a mamag'in konan sayay tawo nin kai kumana' sa pangingikit nan Dios. Ambo' taw say kai nin panunumbok sa kaugalian a manepeg nin pammusbos nin gamet.”
MAT.15.21	Linmakwan saraynadtaw si Jesus tan nako sara sa sayay lugar nin adani sa syudad nin Tiro tan Sidon. 
MAT.15.22	Main nin mampiikap itaw nin sayay babayin ambo' nin Judio ta taga Canaan ya a tinmumbok konra. Wana nin man'ita'wa-ta'way, “Ka'dwan nako kadi', Catawan, si'kan nipangako' a puri na ni David. Nasrepan yan ispiriton duka' a anak kon babayi ket mangkapaidap yan maong.”
MAT.15.23	Bale' kai ya gapo nin tinumnoy si Jesus. Kinmadani sara kona a tumutumbok na tan dinawat ra nin ni'no kona a wanra, “Nangibwat naon ya in et nin tumbok anan tumbok tan ta'way anan ta'way. Paibwaten mayna pa.”
MAT.15.24	Ket wana ni Jesus, “Nibaki' nako bale' nin Dios nin mako tamo' konran Israelita, a sara ket bara'mo saran kukarniron nabarang.”
MAT.15.25	Bale', inmarak yay babayi kona tan nanalimukod ya. Nikidawat yan inganga'do nin wana, “Catawan, tulungan nako!”
MAT.15.26	Imbatan naya ni Jesus, “Ambo' nin manepeg a kalapen a kanen ran a'nak tan ipakan konran tuwe'
MAT.15.27	Ni'bat na nin babayi, “Ser, tutuo in say wamo bale', mataman anamaet nin saray aso ket ma'kan ray pasi' ran amo ra.”
MAT.15.28	“Pinasyan eget nin pagmamatalek mo, Baying!” wana ni Jesus kona. “Mangyadi' in say mandawaten mo.” Ket sin saytaw nin mismo, inmanda' yay anak nan sitaw a babayi.
MAT.15.29	Linmakwan yaynadtaw si Jesus a nangrigrig yan Baybay Galilea. Nuli' ya sa sayay purod ket tinmekre' yadtaw. 
MAT.15.30	Abaw saray tutawon inmarak itaw kona. Abaw saray tutawon mampagmasakit nin nagsikabarang a ni'ras ra kona, bilang saray paralitiko, saray pilay, saray bulag, saray umel, tan saray main nin raruma et nin masakit. Nikwa-nikwa rasara sa adapan na ni Jesus ket pinaanda' nasara nga'min — 
MAT.15.31	a makapag'irgo saraynay umel, makakimey saraynay paralitiko, makalalako saraynan limpyo a pilay, tan maka'kit saraynay bulag. Naka'ngap sara nga'min a tutawon itaw nin naka'kit sa sayti ket rinayo rayay Dios, si Dios a manraywen ran Israelita.
MAT.15.32	Kinayaban nasara ni Jesus a tumutumbok na ket wana konra, “Kudwa'dwan kosarayti saray tutawo ta tuloy awro raynan iti ket na'pos anay balon ra. Kai kosara rabay nin paibwaten nin kai nin nangan ta bangli' no maulaw-ulaw sara sa dalan sa bitil ra.”
MAT.15.33	Wanra nin tumutumbok na, “Adti atamo mangalap iti sa wantin kasan kabali-balin lugar nin kanen a sumadag konran saraytin pinasyan ka'bawan nin tutawo ey?”
MAT.15.34	Nitepet na ni Jesus konra, “Umno ra et a natra' nin tinapay?”
MAT.15.34	“Pito ra et tan main nin umno ray madidintek nin kuna',” ni'bat ra nin tumutumbok.
MAT.15.35	Ket pinatekre' nasara ni Jesus a tutawo sa luta'. 
MAT.15.36	Kinalap nasaray piton tinapay tan say kuna' tan nikisalamat ya konan Dios. Tinau-tao nayti mi'sa na nibi-nibi konran tumutumbok na nin itayak ra konran tutawo. 
MAT.15.37	Nakapangan sara nga'min a tutawo tan nabsoy sara. Sumunor, sin dininep ran tumutumbok na a tara' ket main nin piton gagaban. 
MAT.15.38	Saray nangan, a'pat a ribo saray lulalaki tan kai sarayna nin nikibilang a bubbayi tan saray a'nak.
MAT.15.39	Kaaram, pinaibwat nasarayna ni Jesus a tutawo, mi'sa nako yayna nin rinmuran sa baluto nin mako sa lugar a sakop nan Magadan.
MAT.16.1	Main nin Pariseo tan Saduseo nin nako kona ni Jesus. Mampangkit saran puon a sidaen ray kagalangan na kanya' nin wanran dinawat kona, “Mangwa' ka pa edet nin paka'kitan a nibaki' naka nin Dios.”
MAT.16.2	Bale' ni'bat na ni Jesus konra, “No mu'dit yay langit no mansumrep yay awro, ibarita' moyo, ‘Mabista li' a tyimpo dilap,’ 
MAT.16.3	tan no kabubuklas ket mu'dit a sira' nan awro tan marurem yay langit, wamoyo, ‘Rumapeg ya sawanin.’ Mataros moyoy pipa'kaan nin bakas nan langit, ket sukat a kai moyo nin mataros a pipa'kaan nin bubagay a mampangyadi' konan sitin panaon!
MAT.16.4	Si'kamoynan tutawo sawanin a duka' tan malamang konan Dios! Mayin ta kidawat kamo kongko nin paka'kitan? Kasan paka'kitan a ibat ako sa langit nin ipa'kit komoyo no kai kal-la tamo' sitaw si na'kit a nangyadi' kona ni Jonas
MAT.16.5	Sinmaki saran makodtaw sa rubari' a tumutumbok na ni Jesus bale' nalingwanan ra a nibalon. 
MAT.16.6	Sin nakaabay sarayna, wana ni Jesus konra, “Pakailag kamon maong sa pammakbo ran Pariseo tan Saduseo.”
MAT.16.7	Nag'iirgwan rayaytaw nin tumutumbok si wana. Wanra, “Wantaw a nibarita' na ta nalingwanan tamoy nibalon nin tinapay.”
MAT.16.8	Nataros na ni Jesus no ani a mampag'irgwan ra kanya' nin wana konra, “Ambale' a siin si nalingwanan moyoy tinapay a mampag'iirgwan moyo? Kurang a pagmamatalek moyo! 
MAT.16.9	Anggan sawanin kai moyo et nin matarusan? Nalingwanan moyoyna para? Sin tinau-tao koy lima ran tinapay nin nipamakan konran limanribon lulalaki, umnoy balyag a nadinep moyon tara'; 
MAT.16.10	tan sin tinau-tao koy pito ran tinapay nin nipamakan konran a'pat a ribon lulalaki, umnoy gagaban a nadinep moyon tara'? 
MAT.16.11	Ambale' a kai moyo tana nin mataros a ambo' nin maipa'ka' sa tinapay a man'ibarita' ko komoyo sin wangko nin pakailag kamo sa pammakbo ran Pariseo tan Saduseo?”
MAT.16.12	Nataros rayna sin sain nin tumutumbok a ambo' nin say pammakbo nin usaren no mangwa' nin tinapay a wana ni Jesus nin matkap ran ilagen, no kai edet, say akay ran Pariseo tan Saduseo maipa'ka' konan Cristo.
MAT.16.13	Nako ya si Jesus tan saray tumutumbok na sa lugar nin adani sa babali nan Cesarea-Filipos. Sin itaw sarayna, tinepet na ni Jesus konran tumutumbok na nin wana, “Ani a ibari-barita' ran tutawo maipa'ka' kongkon si Pinaitawo? Si'no ako kano a wanra?”
MAT.16.14	Wanra nin ni'bat, “Main nin mamarita' a si'ka si Juan a Mammawtismo, bale' main anamaet nin mamarita' a si'ka si Elias. Saray raruma et ibarita' ra a si'ka si Jeremias, o no kai, saya ka konran saray prupita.”
MAT.16.15	“Ket si'kamo anamaet, si'no ako sa wamoyo?” nitepet na konra.
MAT.16.16	Ni'bat na ni Simon Pedro, “Si'kay Cristo, si Anak nan sibibyay a Dios nin nipangako' na.”
MAT.16.17	Ket wanan ni'bat ni Jesus kona, “Makarma' ka, Simon nin anak na ni Jonas, ta ambo' nin tawo a nakatandaan mon sain no kai edet, dirin si Ama kon itaw sa langit a nangipatanda' komo. 
MAT.16.18	Ket si'ko, ibarita' ko a si'ka, Pedro
MAT.16.19	Komo, ibi ko li' a pagkanawanawa nin mangipatanda' nin maipa'ka' kongko, a bilang nin naipya komo a tumbok nin Pag'adian nin mangibwat sa Langit ta pigaw nin makasrep saray abaw a tutawo. Say aburuyan modti sa luta' nin magwa' nin gaw'en, aburuyan nan Dios, tan say kai mo nin aburuyan iti sa luta' nin magwa' nin gaw'en, kai na nin aburuyan nin Dios.”
MAT.16.20	Sin nayadi' nayna nin nibarita' ti ni Jesus, mairot nasaran binibilin a tumutumbok na a andi' ra gapo nin ibari-barita' a syay Cristo.
