MRK.1.1	Kha mbɨghar Iesus Krais Gotɨn Otar rɨkɨnarɨ kharaghava amuisiri iŋaarir aghuuir gunɨm mbɨŋgeeghi.
MRK.12.6	Gumughun bar ambuunav iti ana ana amaaŋmɨusua, aŋno otaran khavɨra, a bar aŋn vhusvhusi. A bar men gɨn ana amaŋgava kamaghɨm mbɨŋgɨ kamaghɨusue, ‘Mee nano otaran khavɨna akamam mbaraeghɨva inderagh aŋ ramuaŋgami.’ Mauthughura ana na amandasi a gu. 
MRK.12.7	Thighira uainir mɨghɨn garir gumasi kamagh nori vɨŋgeeghi, ‘Kha otar kha uainir mɨghɨn guava amendaghti. Aria, ee nori nigh aŋm mbɨsueghtima ana aremighemi. Gumughunɨ uainir mɨghɨn khav, ee norira aŋn gueeŋ ameeŋgemi.’ 
MRK.12.8	Mauthughura mee aŋnɨ usuiragha aŋm mbɨsuesima ana aremisi, mee ana nigha uainir mɨghɨn akɨran ana ukuni.
MRK.12.9	Thighira uainir mɨghɨn guav manmagh ramuti? A zɨva uainir mɨghɨn garir gumasir kharsi vɨsueghtima mee arɨmɨghireghemi. Gumughun a uainir mɨgh nighɨva igharis tharsi ranɨɨŋga.
MRK.12.10+MRK.12.11	Gee Gotɨm mbɨgharano osɨran khavɨn ganis, o phatɨ?
MRK.12.10+MRK.12.11	‘Akɨman khav rɨphenaŋga amuir gumasi aŋgi iphɨrphɨrigha aŋm mbatuesima,
MRK.12.10+MRK.12.11	Ikhɨv thighira aŋga amuisi a rephenaŋgi isaghuphusir akɨmaŋgi ighesima
MRK.12.10+MRK.12.11	gumasi rako amisi aŋn ganigha rɨŋgavan maghatɨgha amui.’ ”
MRK.12.12	Thighira mee ikaaŋi aŋna aghunamana akaman meŋga asi, kamagha amuisima mee aŋnɨ usuiragh ana niamɨusua utuavivɨusua urui. Mee aŋnɨ usuighaousua gumasi rako amisir atitiiŋga, ana thaegha gue.
MRK.12.13	Gumughun Judarir gumasira aphani ko Farisiiŋn marsi koma Herotɨn gɨna arui tharsi mee, mee amandasi, mee Iesusɨusua zee. Mee Iesusɨm mbɨŋgɨŋgɨro othɨvha thavɨn ganigh aŋnɨ usuiraghousua. 
MRK.12.14	Mee zegha kamaghɨm mbɨŋgeeghi, “Fhɨghɨn gumagh, ee ikaaŋi, nɨɨ mɨghasɨgha guisimbaaŋram mbɨŋgɨva, mbɨŋgɨŋgɨrɨ uvarsira gumasi rako amisi bar meŋga anɨndi. Gumasi izɨɨri iti tharsi o gumasir khɨni, nɨɨ akamanɨ uvavɨra mem mbɨŋgɨva guisimbaaŋra Gotɨn othevir men surea amui. Ee Gotɨn othɨvhan gɨn maŋɨva, gavmanɨna aŋgɨro ovɨsi Sisar ranɨɨŋgami o phatɨghami? Ee uvhuesami, o uvhuesam phatɨghami?”
MRK.12.15	Mem mbɨkemisima Iesus men khori ikeeŋga kamagh mena azaaghi, “Gee thoghousua nan khorigha amui? Akɨmano ovɨgha thav namɨusua ana nigh zɨɨti kɨ aŋn ganaŋga.” 
MRK.12.16	Am mbɨŋgeema mee akɨmano ovɨgh aŋmɨusua ana nigha zesi a mena azaaghi, “Thɨɨŋni iŋeendaghani izɨɨ khara?” A mem mbɨkemisima mee kamagh Iesus ikara, “Sisarɨni iŋeendagh.” 
MRK.12.17	Mem mbɨkemisima Iesus kamagh mem mbɨŋgeeghi, “Kamaghɨra, gee Sisarɨn bisi Sisar ranɨɨŋva, Gotɨn bisi nigh, Got ranɨɨŋ.” Mauthughura mee aŋni iŋgarɨghan rɨŋgavan maghatɨgha amui.
MRK.12.18+MRK.12.19	Sadiusiiŋn, mee kamagh nɨghɨnɨsi, gumagha aremigh nomtheghɨ rɨkavighem thughatɨs phatɨ. Kamagha amuigha mee Iesusɨna azaaŋsɨghaousua zee. Mee zegha kamaghɨm mbɨŋgeeghi, “Fhɨghɨn gumagh, Moses fhomɨra kamagh emɨusua osɨri, gumagha aremigh nona amuuŋ thaeghɨva boori phatɨghtima ana afhoghumasir mavɨn amuuŋno osɨɨŋni ikhɨva aŋmɨusua boorir niaŋga. 
MRK.12.20+MRK.12.21	Uthughun mavɨn 7 pɨla afhoghumasi iti. Avenafhes amuuŋni ikha boorir phatɨgha aremisima, nom undooghan aŋgi inesi thav aŋni ikha boori phatɨghava ivɨra aremi. Gumughum mbɨkethav kamaghɨrama amui. 
MRK.12.22	Gumughun 7 pɨla afhoghumasir kharsi bar mee aŋni ikha, boori tharsi nisi phatɨgha arɨɨghire. Gumughun ambuuŋn, amigh ivɨra aremi. 
MRK.12.23	Afhoghumasir 7 pɨla aŋni ike. Kamagha amuisi a nomtheghɨ rɨkavamirɨ uthugh, a thɨɨŋna amuuŋra?”
MRK.12.24	Mem mbɨkemisima Iesus kamagh mee ikara, “Gee Gotɨm mbɨgharano osɨr ko Gotɨn gamgaaŋ ikeeŋsi phatɨ, kamagh gee iphasa nɨghnɨgham mbɨŋgeeghi. 
MRK.12.25	Arɨghireghemi tharsi rɨkavamirɨ uthughun, gumasi amuiri ikaami thughatɨs phatɨ, ivɨra mee amisi nigh gumasi rariighem phatɨghami. Mee enselir mɨn Gotɨnɨ uŋuuni ikaami.
MRK.12.26	Arɨghires tharsi nomtheghɨ rɨkavamir bisivɨusua, gee Mosesɨm mbɨgharana aven sisi khan niaghagh gee aŋn ganisi, o phatɨ? Niaghaghan khavɨn, Got kamagh Mosesɨm mbɨkemi, ‘Kɨ Abraham, ri Aisak koma Jekovɨn Got.’ 
MRK.12.27	Got gumasir niro ofhɨsir arɨghiri tharsi, men Got phatɨ, a gumasirɨ unduura aŋamɨre iti tharsir Got. Gee bari iphasa nɨghnɨgham mbɨŋgeeghi.”
MRK.12.28	Iesus Sadiusiiŋn phorugha mee nori vatosima Judariro othevi ikeeŋsi gumaghan mav za mem mbarasi. Ano orasima Iesus ikarvaghana aghuuŋn meŋga aniiŋsima, a Iesusɨna azaaghi, “Gotɨn othɨvhan manavɨra marsi bar andagha afhiragha, ufhuaragha zui?” 
MRK.12.29	Am mbɨŋgeema Iesus ana ikara, “Othɨvhan bari ikhɨɨvara khara, ‘Israeliiŋa, gee oragh. Eni Ikhɨv a en Got. A nombɨra eni Ikhɨv. 
MRK.12.30	Gen non navira averi rako nonɨ unduu rako non nɨghɨnɨsi rako gamgaaŋn ivɨra aŋn vhusvhusighiri.’ 
MRK.12.31	Aŋgi inesiro othɨv khara, ‘Nɨɨ nombɨn vhusvhuisi moghɨra gumasi rako amisi bar men vhusvhusighiri.’ Nom othɨvha thav kaniiŋn mɨni ikhevigha aniiŋga afhirasi phatɨ.”
MRK.12.32	Mauthughura kha gumagh kamagh Iesus ikara, “Nɨɨ guisimbaaŋram mbɨŋgɨ kamaghɨusue, Got nombɨra, thav nom iti phatɨ. 
MRK.12.33	Ee non navira averi rako, non nɨghɨnɨsi rako non gamgaaŋni Ikhɨvan vhusvhusighiri. Mamaghɨra nɨɨ nombɨn vhusvhuisi moghɨra gumasi rako amisi bar men vhusvhusighiri. Ee kha othɨvhaniiŋ gɨn maaŋɨtima, mee phurama aphuraphurir aghaer bisi rako arivan bar sisira aghaer bisira aphuraphuri tharsi andagha afhiraghami.”
MRK.12.34	Iesus orasima a inderaghavɨram mbɨkemisi, Iesus aŋm mbɨŋgeeghi, “Got kha bisigha ativamirɨ uthugh nɨɨ aŋni isaghuni iti phatɨ.” Mauthughura thighira mee nomthegha azaaŋsɨgha thavɨn nomthegh Iesus ramuan atitiiŋi.
MRK.12.35	Iesus Gotɨ rɨphenam mbɨroghɨn gumasi rako amisir surea amuava, mena azaaghi, “Manmagha amuisi Judariro othevi ikeeŋsi gumasi kamaghɨm mbɨŋgɨ kamaghɨusue, Krais, Got nom ee niamɨusua mbɨsevisir gumagh, a Devitɨn avav? 
MRK.12.36	Devit nombɨ, Gotɨnɨ Utum nɨghnɨghan khavɨn aŋga aniiŋsi, a kamaghɨm mbɨkemi,
MRK.12.36	‘Got kamagh nani Ikhɨvam mbɨŋgɨ kamaghɨusue,
MRK.12.36	“Nɨɨ khagh nana agharan guvɨn rapheragh,
MRK.12.36	mamaghɨra ikhɨtima kɨ nɨɨna aphanir gumasi rɨkambuuŋtima
MRK.12.36	mee nɨɨna apheeŋni ikaami.” ’
MRK.12.37	Devit nombɨ ‘Ikhɨvan’ gumaghan khavɨ athɨ. Manmagh amuigha gumaghan khav nomthegha Devitɨn avav?” Am mbɨŋgeema gumasi rako amisira avɨrara aŋm mbɨŋgɨmɨŋgɨv oraegha bari iphui.
MRK.12.38	Iesus gumasi rako amisir surea amua kamaghɨm mbɨŋgeeghi, “Gee Judariro othevi ikeeŋsi gumasivɨusua ganighɨri. Mee shaarirɨ uruaria sharigh rarutima gumasi rako amisi mee bisi amaŋga andaghɨ uvhuesira aŋanani izɨriri ikiir mee ranɨɨŋmɨusua, mee bar vhusvhusi. 
MRK.12.39	Mee Gotɨn phorugham mbɨŋger rɨphenir ambirambir aghuuira niva, ishari ikiirɨ uthugh mee aŋaniri izɨɨri iti tharsi niamɨusua bar vhusvhusi. 
MRK.12.40	Mee pha arɨghiresi amisir ozɨrir khoru amua men rɨphenir bisi nia, kamaghɨusue ee indera. Mee, gumasi meni izɨɨri ufhaaousua, kamagha amuigha mee Gotɨn phorugham mbɨŋgerɨm mbɨŋgɨmɨŋgɨrɨ uruarigha amui. Kamagha amuir gumasi, menɨ uvhuesan maghatɨgh gumasi othevir maghatɨsigha amui tharsirɨ uvhues bar aŋga afhiraghami.”
MRK.12.41	Iesus guava aŋgɨro ovɨsi arɨsi ithaaŋna aghan apheraghav ikhava gumasi rako amisir avɨrar garima mee nona aŋgɨro ovɨsi nigha Gotɨn rɨphenana aŋgɨro ovɨsi arɨsi ithaaŋn anda arɨsi. Gumasi rako amisi aŋgɨro ovɨsira avɨrare iti tharsi aŋgɨro ovɨsira avɨrara arɨsi. 
MRK.12.42	Mauthughura mana aremisira amighano osɨɨŋ bisi phatɨgha zava akɨmano ovɨghan phunaŋgɨniiŋ athɨ, aniiŋ akɨmano ovɨghanɨ urughanɨ uvavɨra aŋn mɨn gu. 
MRK.12.43	Mauthughura Iesus non suren gumasir dɨɨgha kamaghɨm mbɨŋgeeghi, “Kɨ guisimbaaŋra gem mbɨŋgeeghi mana aremisiro osɨɨŋna amighan khav bisi phatɨgha akɨmano ovɨghan sovan phunaŋgɨni aŋgɨro ovɨsi arɨsiri ithaaŋga athɨsi aŋna akɨmano ovɨghan phunaŋgɨni gumasiri igharis tharsi arɨsira aŋgɨgha afhira. 
MRK.12.44	Mee nona aŋgɨro ovɨsir avɨraghi ithɨrɨpiiŋga aŋgɨro ovɨsirɨ uvhovhera anɨɨŋi. Amighan khav nona ambirambiin maghatɨghan mɨra akɨmano ovɨghan ambuunani athɨgha a nomthegha aghaeghɨ uvhuesamira aŋgɨro ovɨsi phatɨ.”
MRK.13.1	Iesus Gotɨ rɨphenam mbɨrogha thaegha akɨran zima, aŋn suren gumaghan mav am mbɨŋgeeghi, “Fhɨghɨn gumagh! Nɨɨ gan, khara aŋgɨr bar ikiira, mee andar Gotɨ rɨphenani iŋarisima, aŋn gangan bar indera! Gotɨ rɨphen ko rɨphenir sovseghe aŋm mbɨroghɨni iti tharsi, anda bar rɨphenir rɨŋgɨrir aghuuira!” 
MRK.13.2	Mem mbɨkemisima Iesus kamagha ana ikara, “Nɨɨ rɨpheniri ikiir kharsir gari? Anda bar maghatiighemi. Gumughuna aŋgɨr kharsi, gumasi bar anda uphueghtima anda barbar daaŋgi ireghemi. Thav thavɨni iphɨni ikeghem phatɨghami.”
MRK.13.3	Iesus Olivɨno oraghɨni iphɨn, Gotɨ rɨphen khoman aŋna aghuagha apheraghav itima, Pita ri Jems koma Jon ri Andru mee norire ikhava aŋna azaaghi, 
MRK.13.4	“Eem mbɨkɨmɨva, rɨpheni maghatiighemir bighaaŋ, a mana uthughun otuivti? Othɨvhan manavɨ ufhuaragh otuivtima, ee ikeeŋgɨm mbɨkɨmaŋga bisir kharsi otuivamirɨ uthugha aghangera zee?”
MRK.13.5	Mem mbɨkemisima Iesus kamagh mem mbɨŋgeeghi, “Gee norivɨusua inderaghɨvɨra gan, gumagha thav zɨɨ gen khorir amuan thaghri. 
MRK.13.6	Gumasira avɨrara nani izɨɨn zɨɨ, mbɨkɨmaŋga, ‘Kɨ Krais, Got nom ee niamɨusua mbɨsevisir gumagh.’ Kha gumagh gumasi rako amisir avɨrar khori ramuaŋga.
MRK.13.7	Uthughun khavɨn gee aghangera itir asaghuuri ikiir nɨnɨiva oraghɨva, isaghuni iti mbɨzorsiri ikiira akaava oraghami. Kha uthughun gee rɨŋgavan maghatɨgha ramuan thaghɨri. Othevir kharsi otuivightima, unuaghɨnan khav gɨvamirɨ uthugh thighar zaami. 
MRK.13.8	Kantrin mavɨni iti tharsi rɨkavigh igharisir kantriri iti tharsir phorughum mbɨsoghomi. Kha uthughun ativasir gumaghan mavɨna andarsi rɨkavigh igharisir ativasi gumaghana andarsir phorughum mbɨsoghomi. Aŋanir tharsi aghae bar phatɨghtima, gumasi rako amisi vɨtiire ikaami. Mbɨkɨmɨkɨsi ivɨra igharisi uŋuimbar otuivami. Kha bisi, amighɨ ufhuaraghɨvɨra otaasa mbɨzagh nighɨva gumughun ano otara otaami, osɨmndɨsir kharsi ivɨra kamaghɨra otuivami osɨmndɨsir kharsi ufhuaraghɨvɨra otuivtima unuaghɨnan khav gɨvamirɨ uthugh thigharɨ.
MRK.13.9	Gee inderaghɨvɨra norira norivɨusua gan. Gen gumasi tharsi gee nighɨ uŋuimbar garir gumasir ranɨɨŋga. Mee Gotɨn phorugham mbɨŋger rɨphenir gem mbɨsoghomi. Gee nani izɨɨnɨ utuivisi tharsi, gee gavmanɨn gumasiri ikiir arɨmasi rɨfhaaŋnɨ uthughɨva, kɨ amuisi bisi, gee andar gun mem mbɨkemighemi. 
MRK.13.10	Gumasi tharsi ufhuaragh maŋɨ Gotɨna akamana aghuuŋn gun gumasi rako amisi kha uŋuimbari itir akaa uvhaghuvhagha andav vɨkɨmɨri. Gumughun kha unuaghɨn gɨvami. 
MRK.13.11	Gumasi tharsi mana uthughun genɨ usuiragh gee nigh osɨmndɨsiva oragha anda rɨkɨrir rɨphenan maŋɨtima, gee ufhuaraghɨm mbɨkɨmɨusua nɨghɨnɨsir avɨri nia thaghri. Nɨɨ mbɨkɨmɨusua, Got nɨghɨnɨsir nɨra anɨɨŋti nɨɨ mbɨze vɨkɨmaŋga. Khara nɨɨ nombɨram mbɨŋge phatɨ, Gotɨnɨ Utum mbɨŋgeeghi. 
MRK.13.12	Afhoghumasi norira nori nigh aphanir gumasir anɨɨŋtima mee mem mbɨsoghti mee arɨmɨghireghemi. Inasi non boori ivɨra kamaghɨra andara amuaŋga. Boori noni inasi rako inaghamuuira akaava athoghɨva arɨmaŋgamiro othevir mee ramuighti, mee arɨmɨghireghemi. 
MRK.13.13	Uthughun khavɨn gumasi rako amisi bar nani izɨɨusua navan maghatɨghan geni ikaami. Thɨɨŋra uthugha aghavagharigh maaŋɨ ana aremighemirɨ uthugho otoghtima Got ikɨrana aghuuŋ gɨn aŋra anɨɨŋgami.”
MRK.13.14	Iesusɨm mbɨŋgɨ guava kamaghɨm mbɨŋgeeghi, “Gee gantima Got bari iphɨrphɨrisi bigh aŋ rɨphenani ikaami. Khara a ikhaam phatɨghamira aŋan. A ikɨthi, Got no rɨphena thaeghemi. Nɨɨ thɨɨŋra osɨɨran khavɨn ganigh, inderaghavɨra nɨghɨnɨghɨva ana ikeeŋgɨri. Got bari iphɨrphɨrisi bighan khav, uthughun khavɨn otoghtima Judian distrighɨna aveni iti tharsi mee uzuamɨra arɨ orasira anaeŋgɨri. 
MRK.13.15	Thav rɨphenan akɨrani ikeghɨva nomthegha aven maaŋɨ non bigha thav nia thaghɨri. 
MRK.13.16	Thav mɨghɨni ikhɨvani ikeghɨva nomthegh rɨphenan maaŋɨ nona akɨran sarir shaar nia thaghɨri. 
MRK.13.17	Naviri itira amisi rako boori otee aphiri inaghamuui mevɨsi. Uthusir kharsi zaami, mee bar maghatiighemi! 
MRK.13.18+MRK.13.19	Uthusir kharsi zaami, anda osɨmndɨsiri ikiirɨ uthusi. Got unuaghɨn ko ovheea amuisi uthughun za thighira, kamagha amuisiro osɨmndɨgha thav kamagha otosi phatɨ. Uthugh thav nomthegh kamagh otoghom phatɨghami. Kamagha amuisi gee Gotɨn phorughum mbɨkɨmtima osɨmndɨsiri ikiir kharsi amoghɨnɨ uthughun otuiva thaghɨri. 
MRK.13.20	Ikhɨv nombɨusua mbɨsevisi gumasi rako amisi norighi nɨghnɨgha, uthughun maghatɨghan khavɨnɨ uthusir marsia rɨghorisi anda muaŋ othevi. A ti andar rɨghoris phatɨsi gumasi rako amisi bar arɨghireghaghi.
MRK.13.21	Zaamirɨ uthugh, thav gem mbɨkɨmaŋga, ‘Gee gan, Kraisɨra khara! A Got nom ee niamɨusua mbɨsevisir gumaghara,’ o, ‘Gee gan, Kraisɨra muna!’ Ana akamam mbaraghan thaghri! 
MRK.13.22	Gumasi tharsi zɨva gen khori ramu kamaghɨusuami, ‘Kɨra, Got gumasi rako amisi nom mee niamɨusua mbɨsevisi gumagh,’ o ‘Kɨ Gotɨna akam nigha ziir gumaghan mav.’ Maghɨra mee non gamgaaŋ khɨvamir bisiri ikii rako rɨŋgavan maghatɨgha amuiro othevi ramuti anda otuivami. Mee kamagh vhusvhusi, mee gumasi rako amisir khorira amutima mee oŋanighemi. Mee aghavaghar ikhɨva, ivɨra Got nombɨusua mbɨsevisi gumasi rako amisi, mee ivɨra men khori ramuamɨusua. 
MRK.13.23	Kɨ gɨno otuivamir bisi bar andar gun gem mbɨkemi. Kamagha amuisi gee inderaghavɨra norivɨusua ganɨri.”
MRK.13.24	Iesusɨm mbɨŋgɨ guava kamaghɨm mbɨŋgeeghi, “Osɨmndɨsiri ikiir kharsirɨ uthugh gɨvaghtima, gɨn zaamirɨ uthughun bisir kharsi otuivami. Aro gɨngɨnighemi. Ikɨni isiragham phatɨghami. 
MRK.13.25	Mbɨkovi ovheen asighireghemi. Ovheeni itir bisira aghavaghari, usuaghusuaghava, nona aŋania thamɨraeghemi. 
MRK.13.26	Uthughun khavɨn gumasi ganti Gumasir Otar aghavagharani ikhɨv ko aŋarani ikhɨva samɨra guan thooŋn zaami. 
MRK.13.27	A non enseli amandaghti mee maaŋɨ ovhee ko unuaghɨnano othevi bar andar maŋɨva Gotɨm mbɨsevisi gumasi rako amisi mee akuvigh aŋmɨusua zaami.”
MRK.13.28	Iesusɨm mbɨŋgɨ guava kamaghɨm mbɨŋgeeghi, “Fhighɨn khan aŋguu nomtheghɨm mbɨkovtima gee ikeeŋgɨm mbɨkɨmaŋga, amoghɨnɨ uthugha aghangera zee. Gee fhighɨn khan gan nɨghɨnɨsi niaŋga. 
MRK.13.29	Kamaghɨra gee bisir kharsir ganti anda otuivtima gee ikeeŋgɨm mbɨkɨmaŋga, Gumasir Otar a nom zaamirɨ uthugha aghangera zee. A itɨmana akamaniiŋnɨ uthughav iti. 
MRK.13.30	Kɨ guisimbaaŋra gem mbɨŋgeeghi. Uthughun khavɨni iti gumasi rako amisir kharsi ikhɨvɨre ikɨthima bisir kharsi bar otuivami. 
MRK.13.31	Ovheen ko unuaghɨn gɨvaghami, nam mbɨŋgɨmɨŋgɨ gɨvagham phatɨghami.”
MRK.13.32	Iesusɨm mbɨŋgɨ guava kamaghɨm mbɨŋgeeghi, “Thav ikeeŋsi phatɨ, uthughun manavɨra kɨ gem mbɨŋger bisir kharsi otuivti. Gotɨnɨ uŋuuni itir enseli ko Gotɨn Otari ivɨra ikeeŋsi phatɨ. Afhesɨni Ikhɨv nombɨre ikaaŋi.
MRK.13.33	Gee uthughun khavɨn zaamirɨ uthughi ikeeŋsi phatɨ. Gee inderaghɨvɨra norivɨusua gani ikhɨɨ. 
MRK.13.34	Kha uthughun gumaghan mav igharagha zui moghɨn. A no rɨphena thaegha guava no rɨphen nigha noni iŋaarir gumasir afharɨ arɨghava rɨphenani iŋaaria rɨghorava meŋga anɨndi. A itɨmana akamaniiŋni itir gumagham mbɨŋgɨ kamaghɨusue, nɨɨ inderaghɨvɨra gan. 
MRK.13.35	Rɨphenan guav zaamirɨ uthugh gee ana ikeeŋsi phatɨ, a boŋgaara zaami, o rɨmaaŋnarɨghan zaami, o utuari afhuti a zaami, o amɨni itiraghti a zaami, o? Kamagha amuisima gee inderaghɨvɨra ganɨri. 
MRK.13.36	Phatɨghtima, a uzuamɨra otogh gen ganti, gee rakuvɨre ikaami. 
MRK.13.37	Kɨ gem mbɨŋger bisir kharsi, kɨ gumasi rako amisi bar mem mbɨŋgeeghi, ‘Gee inderaghɨvɨra ganɨri!’ ”
MRK.14.1	Iis phatɨsirɨ uvisirɨ uthuuri ishamaŋga amuirɨ uthugh koma Israeli Got nomthegha mee nisirɨ uthughuni ikhɨvanɨ uthughun phuninira ikhavɨre iti. Kha uthughun Gotɨna aphuraphurava aghae rako bisir aŋga anɨndir gumasiri ikii, koma Judariro othevi ikeeŋsi gumasi, momooŋno othɨvha thavɨn Iesusɨnɨ usuiragh aŋm mbɨsueghti ana aremighaousua utuavivɨusua urui. 
MRK.14.2	Mee kamagh nori vɨŋgeeghi, “Ee ishamanɨ uthughun aŋnɨ usuighem thughatɨs phatɨ. Ee ramuightima ishamani iti gumasi rako amisi mbɨzorughani ikhɨva thavɨn ee ramuighemi.”
MRK.14.3	Iesus Betaninɨ uŋuuni ikhava mamburan arɨmarɨm itir gumagh Saimon rɨphenana aven aghaana akoghɨna aphava apheraghav iti. Ana aphava apheraghav itima, amighan mavɨm mbughuna aghuuŋ zuirɨm mburueŋn mav nigha zii. Ana akɨmana aghuuŋna amuisi mbɨsɨvani iti. Aŋnɨ uvhues bari iphɨni iti. Amighan khavɨm mburueŋn khav nigha Iesusɨusua zegha mburueŋm mbɨsɨva bigha mburueŋn Iesusɨna aphanaŋ giŋe. 
MRK.14.4	Ma uthughuni iti tharsi mee navi siava kamagh nori vɨŋgɨvɨre iti, “Theghousua kha mburueŋn mbughuna aghuuŋ zui thav amighan khavi iphasava aŋga amui? 
MRK.14.5	An ana amandaghɨva aŋgɨro ovɨsira avɨrara nighaghi. Aŋnɨ uvhues ombaranɨ uvavɨranɨ uvhues aŋga afhira. Gumughun ana aŋgɨro ovɨsi phatɨsi tharsira akuruvaghami.” Mauthughura mee phuvɨra aŋga avhesi. 
MRK.14.6	Mem mbɨkemisima Iesus kamaghɨm mbɨŋgeeghi, “Ana thaghi. Gee thoghousua osɨmndɨghan aŋga anɨndi? Ana thaghi! Ano othɨvhana aghuuŋn naŋga amui. 
MRK.14.7	Bisi phatɨsi tharsi mɨghasɨgh gen phorugh ikaami. Gee mana uthughun mena akuruvaghan nɨghnɨgh zɨɨti gee mena akuruvaghami. Kɨ mɨghasɨgh gen phorugh ikhan thughatɨs phatɨ. 
MRK.14.8	Kɨ aremightima ana ramuaŋgamir bighaaŋ, ana anaaŋga amui. A ufhuaraghɨm mbughuna aghuuŋ zuirɨm mburueŋ nam mbɨkarɨgh aghevightima mee gɨn na umoghɨ rarɨghami. 
MRK.14.9	Kɨ guisimbaaŋra gem mbɨŋgeeghi, mee unuaghɨnan khavɨna aŋanan manavɨn Gotɨna akamana aghuuŋ ukunɨva amighan khava amuisiro othɨv ivɨra aŋm mbɨkɨmɨva anaaŋgi nɨghɨnɨghɨvɨre ikaami.”
MRK.14.10	Judas Iskariot a Iesusɨm mbɨsevisir gumasir 12 pɨlan gumaghan mav. A Iesus nighɨva Gotɨna aphuraphurava aghae rako bisir aŋga anɨndir gumasiri ikiira afharimuura arɨghaousua memɨusua gu. 
MRK.14.11	Mauthughura mee aŋna akaman khavɨ oraegha bar phuvure inighinighava, aŋgɨro ovɨsi aŋra nɨɨmɨusua akamana aghavaghara rɨkɨri. Thighira aŋnɨ usuiragh mera anɨɨŋmɨusua utuavivɨusua urui.
MRK.14.12	Iis phatɨsirɨ uvisirɨ uthuuri ishamaŋga amuirɨ uthusirɨ ufhuaragha zuirɨ uthugho otosima Judarir gumasi mee othɨvhan khav iti. Mee ufhuaragha Israelir Got nomthegha mee nisirɨ uthugh aŋgi nɨghɨnɨghɨva sivsivɨni ikamam mbɨsuegh ana nighɨv Got ranɨɨŋva aŋm mbɨnambaghɨv ana nigh maaŋɨva anara amaŋga. Thighira Iesusɨn suren gumasi aŋna azaaghi, “Ee aŋanan manavɨn maaŋɨ, nɨɨ Israeli Got nomthegha mee nisirɨ uthughuni ishama ramuamɨusua, ee bisia rɨkɨr ti?” 
MRK.14.13	Mem mbɨkemisima a non suren gumaghan phunini amaŋga kamagha aniiŋm mbɨŋgeeghi, “Aŋgo uŋuuni ikhɨvan maŋɨtima gumagha thavɨ rɨmɨm mbɨnaŋgɨ uphugh zɨɨ aŋgom mbatoghti, aŋgo aŋn gɨn maaŋɨ. 
MRK.14.14	Ana aven zui rɨphen aŋgo aŋn maŋɨva aŋn guavɨm mbɨkɨmɨri, ‘Fhɨghɨn gumagh kamagha azaaghi, “Kɨ non suren gumasir phorugh Israeli Got nomthegha mee nisirɨ uthughi nɨghnɨgh ishamaŋga amuira aŋan mana?” ’ 
MRK.14.15	Aŋgo aŋm mbɨkɨmti a iphɨn rɨphenana aveni itira aŋanani ikhɨvana aŋgon khɨvaghami. Aŋanan khav bisi bar ikha emɨusuavɨra gari. Uthughun khavɨn gee aŋanan khav ee norivɨusua bisi bar andar rɨkɨrighiri.” 
MRK.14.16	Mauthughura aŋn suren gumaghaniiŋ mee thaegha uŋuuni ikhɨvana aven guava garima bisi am mbɨkemisi moghɨra gusi, aniiŋ maghɨra Israeli Got nomthegha mee nisirɨ uthughusua aghae rako bisia rɨkɨri.
MRK.14.17	Ma uŋguarthughura Iesus nom mbɨsevisir gumasir 12 pɨlar phorugha guava otuivi. 
MRK.14.18	Mee aŋna aghan akoghɨn apiighav ikha aphava, Iesus kamaghɨm mbɨŋgeeghi, “Kɨ guisimbaaŋra gem mbɨŋgeeghi, gena thav na nighɨva nana aphanaŋga amuir gumasi tharsira afharimuu ratɨghami, a ivɨra nan phorugha ikhava aphi.” 
MRK.14.19	Mee aŋna akamam mbaraegha, navi bar osemi. Mee barɨ uvhaghuvhagha aŋna azaaŋsɨgha kamagh aŋm mbɨŋgeeghi, “Kɨghee, kɨra ti?” 
MRK.14.20	Mem mbɨkemisima a mee ikaragha kamagh mem mbɨŋgeeghi, “Gee 12 pɨla gena thavɨra. Ma gumagh nan phorugh uvighanɨ utumani ithaaŋnɨ uvavɨra raghumi thav. 
MRK.14.21	Gumasir Otar, Gotɨm mbɨgharɨm mbɨkemisir moghɨra, ana aremighemi. Gumagh, Gumasir Otar nigha aphanir gumasira afharɨ athɨsi khav! A bar maghatiighemi! Inaghamuuŋ aŋm mbatesi phatɨghav khasi, a inderaghaghi!”
MRK.14.22	Iesus non suren gumasir phorugha apha ikhava, a uvighanɨ utuman mav nigha Gotɨm mbɨnambagha ana biigha, ana nigha non suren gumasigha anɨɨŋga, kamagh mem mbɨŋgeeghi, “Khara nan neerɨnofhɨgh. Gee ana nigh ana ramɨ.” 
MRK.14.23	Mauthughura a uainiro ovɨsiri imboori aphiri ithaaŋ nigha Gotɨm mbɨnambagha meŋga aniiŋsi, mee uvhaghuvhagha norir guri. 
MRK.14.24	Mee uainiro ovɨsiri imboori aphima a kamagh mem mbɨŋgeeghi, “Khara nan ŋaan. Kɨ gumasi rako amisi bar mena akuruvaghaousua ana asighɨusuami. Kɨ kamagh ramuighti Got kha akama rɨŋgɨrana aghavaghar ikeghemi. 
