MAT.1.2	Abraham Aisak nɨŋuva. Aisak Jekop nɨŋuva. Juda nɨŋusinava naŋga nɨŋuranava nɨŋuva Jekop. 
MAT.10.20	Kuyu ambavarɨmandɨra ha narɨŋambi maŋambavarɨmandɨra. Narɨŋandɨ Navandu Mavɨñɨŋi narɨŋ indarɨmit ŋguti ambavarɨmandɨra. 
MAT.10.21	Kru nɨŋuraŋ vaha mana nɨŋusiŋ vaha ŋgatɨŋgɨruta ambɨti yɨvutatamɨrɨmandɨyu. Sɨwɨmañanzihɨ nda nɨŋuvanin yahata nurɨŋandɨ ñɨŋiŋ andɨrɨmandɨyu. Nurɨŋandɨ ñɨŋi haŋɨnɨŋ ndahara nɨŋum nɨŋuvaŋ miku tamata, kru muŋɨnɨŋ sɨmbɨtu nɨŋum nɨŋuvaŋ yɨvutatamɨrɨmandɨyu. 
MAT.10.22	Narɨ yandɨ ŋɨnɨŋ. Harɨm narɨŋambirɨm sɨhanaŋga krunavundi kɨtɨrɨ ñɨmandɨyu. Hara krunavundi tɨkatɨkata kɨtuhɨtu imbɨhɨvɨ ha yɨvurahɨti, Got nurɨŋ aŋga mɨŋɨmandɨ. 
MAT.10.23	Krunavundi pɨhu muyɨndu haŋɨnɨŋ narɨŋ ñamba vana andɨtuŋgata, tɨvaramata pɨhu muyɨ umara. Yi narɨŋ kandɨ ambin, sɨmbɨra narɨŋandɨ Israelɨndu pɨhu makamaka mamɨturamɨtɨratɨra, Krundu Ñɨŋi hama payɨmandɨ. 
MAT.10.24	Ñɨŋi nuŋandɨ ahusɨkiŋ mandaratɨvɨrandi, naŋga sɨmbɨrakara hama nuŋandɨ aru miku hamaŋ taratɨvɨrata kɨmbañɨ maŋgɨndi. 
MAT.10.25	Ñɨŋi nuŋandɨ ahusɨki maña yɨvurahɨmandɨ hama, kamatanda kɨyɨm. Naŋga sɨmbɨrasara, nuŋandɨ aru miku hama maña kɨyɨmandɨ hama, kamatanda kɨyɨm. Tavɨ nɨŋuvarɨm Belsebul vamba ambandu. Harɨm ñɨŋisɨm tavɨ kandɨhañɨ kɨndu haŋɨnɨŋ ñɨmbi ñamba sɨkwɨ ŋgumandɨyu, vami.
MAT.10.27	Narɨŋ kuyu kɨvɨyɨ ambavaradin haŋɨnɨŋ, inahɨmur ambavaramara. Ara kuyu sɨwɨña indarɨmandɨra haŋɨnɨŋ, uta tɨhɨrutɨhɨru upɨyɨ kuyu kɨmbañɨ ambavarɨtɨra krunavundi indarɨmu. 
MAT.10.28	Kru pɨrɨ nɨñɨndurɨm mambɨŋitumara. Narɨŋandɨ kwɨrandɨmbatɨ ha yɨvutatamɨrɨmandɨyu, hara narɨŋandɨ mavɨñɨŋi ha mayɨvutatamɨrɨmandɨyu. Gotɨrɨmɨndaya pɨŋitumara. Nu taya narɨŋandɨ kwɨrandɨ naŋga mavɨñɨŋi ha pɨsiŋgarata, ahutuvarandi helɨyɨ kavarɨmandɨ. 
MAT.10.29	Narɨ ŋgandara, kava arɨkita sukɨsɨrambɨ kru tuki tamɨŋgañɨ mut mɨŋandu. Hara narɨŋandɨ Nava kava suksɨrambɨ kandɨhaŋɨnɨŋ karatamaŋgarandi. Harɨm, kava kandɨhañɨndu muvat pɨrɨyɨ mamɨŋgatayɨvum vɨtiŋgata, mamɨŋgata yɨvɨrɨmandɨ. 
MAT.10.30	Naŋga, Got narɨŋandɨ miku mɨnɨ nɨŋɨnɨŋ mɨnza mɨnɨmɨnɨ ŋgatɨŋgɨruta mɨtundi. 
MAT.10.31	Narɨ Gotɨndu tamɨŋgañɨ aruŋɨnɨŋ nzɨkwɨ kɨndara, kava sukɨsɨrambɨŋ taratɨvɨramaŋgarandara. Kamataharɨm mambɨŋitumara, vami.
MAT.10.33	Ara kru mumɨŋga krunavundiŋ, nɨmavamba ambɨrɨmandɨ. Yi Jisasɨndu ñiŋgiñɨndu mɨŋga ma vamba ambɨrɨmandɨ. Kru kandɨhamarɨm, yindahara Yavandak nuŋandɨ pɨhuyɨ kɨyɨ hamarɨm, kru nɨma yandɨma vamba ambɨrɨman, vami.
MAT.10.35	Yi saŋga pɨruramɨrɨm payɨmin. Kru ñɨŋi hama nɨŋuvarɨm miku tamɨrɨmandɨ, navundi ñɨŋi haŋambɨ nɨŋumɨrɨm miku tamɨrɨmandɨ, nɨmbas nɨpahiŋ miku tamɨrɨmandɨ. 
MAT.10.36	Nuŋandɨ kru ñɨŋi, navundi ñɨŋi, nɨmburi, nɨmbas, nurɨŋambi masamasa miku tamɨmandɨyu. 
MAT.10.37	Kru nɨŋum navaŋ mavɨndamata, yaŋ mavɨmandamɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman. Kru nuŋandɨ kru ñɨŋi naŋga navundi ñɨŋiŋ mavɨndamata, yaŋ mavɨmandamɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman. 
MAT.10.38	Naŋga kru, nuŋandɨ ahuandɨ maña pɨmɨ kavuta yi naŋga maŋgɨndɨrɨmandɨ hamarɨm, yandɨyɨndu vata maŋambɨrɨman.
MAT.10.39	Kru yambira muhɨmɨmuhɨm vana andɨtɨn avindɨrɨmandɨ vamba ambɨrɨmandɨ hama, siŋgundɨrɨmandɨ. Ara yambirɨm indarɨta kwɨmɨrɨmandɨ hama, kɨmuta ndahara sɨhaŋgɨyɨmandɨ, vami.
MAT.10.41	Hara, kru mumɨŋga ambɨrɨmandɨ. Yi kru Gotɨndu kuyu mɨŋata ambavarandi mɨŋgaŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata kru kandɨhamaŋ nuŋandɨ tavɨyɨ tɨmbuta uta karatamɨrɨmandɨ. Kru kandɨhamatɨrɨmandɨ hama, kru Gotɨndu kuyu mɨŋata ambavarandu haŋɨnɨŋ mɨŋandu maña muhɨmɨmuhɨm avivi mɨŋɨmandɨ. Naŋga, kru mumɨŋga ambɨrɨmandɨ. Yi kru tɨtɨtaya kɨyɨhɨyɨ mɨŋgaŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata kru kandɨhamaŋ nuŋandɨ tavɨyɨ tɨmbuta uta karatamɨrɨmandɨ. Kru kandɨhamatɨrɨmandɨ hama, kru tɨtɨtaya kɨyɨhɨyɨ mɨŋga muhɨmɨmuhɨm avivi mɨŋandi maña, mɨŋɨmandɨ. 
MAT.10.42	Kru mumɨŋga ambɨrɨmandɨ. Yi kukumɨni Jisasɨndu sɨmbɨrasara ñiŋgiñɨndu ñɨmbi manɨman muvatɨŋ ŋguramɨrɨman vamba ambɨrɨmandɨ. Kamavata nuŋ ŋguramɨrɨmandɨ. Harɨm yi narɨŋ kandɨ ambin, kru kandɨhamandu avihɨmɨŋgɨm ha manziŋgundɨrɨmandɨ, mɨŋɨmandɨ, vami.
MAT.11.1	Jisas nuŋandɨ sɨmbɨrasara 12 vatɨŋ ambaramata mɨtuta, kandɨ pɨhu ha mitata pɨhu makamaka kandɨhaŋu kɨndaŋgɨnda krunavundiŋ ambaramarama, nurɨŋ Gotɨndu kuyu ambavarami. 
MAT.11.2	Kamatɨhi Jon kru ñamba vana andɨhi tamandu upɨyɨ kɨta, Krais muhɨmɨmuhɨm sɨmbɨra mɨŋamindu kuyuhɨnzɨ indarɨmi. Kamata nuŋandɨ sɨmbɨrasaraŋ ambami, Uta Jisasɨŋ nɨmavamba kitɨhumara, 
MAT.11.3	Jon ambi, Naŋɨnda vaha Got sɨmbɨhi pɨrɨ nɨñɨ payɨmana, mana mumɨŋgaŋ vaha tavɨrɨmɨndaŋ, vamba ambi, vamba ambamara, vamu. 
MAT.11.4	Kamavahu Jisas nurɨŋ kɨmbɨ nɨmavami, Uta Jonɨŋ muhɨmɨmuhɨm vana indarɨra, naŋga ŋgara nɨŋɨnɨŋ ambavaramara. 
MAT.11.5	Krunavundi tamɨŋga ñumi haŋɨnɨŋ tɨhɨrañayu. Tanda ñamba haŋɨnɨŋ kɨndavarayu. Kandi lepra naŋga haŋɨnɨŋ ñaŋɨra yɨvurahayu. Kɨnzɨhi ñamba haŋɨnɨŋ kuyu indarɨyu. Naŋga kru kɨmuhɨmu haŋɨnɨŋ aŋga yahamɨrayu. Kamatɨhuhu krunavundi muhɨmɨmuhɨm manɨman haŋɨnɨŋ ndahara kuyu avi indarɨyu.
MAT.11.6	Naŋga kru yaŋ ŋgɨtu nurɨŋandɨ indarɨmaŋgaramaŋgara vana ha mamɨŋgata yɨvɨrɨmandɨ haŋɨnɨŋ, kɨnzɨhɨnzɨtɨmu, vami. 
MAT.11.7	Kamavahi Jonɨndu sɨmbɨrasara haŋɨnɨŋ indarɨta umu. Uhuhu Jisas krunavundiŋ Jonɨrɨm ambami, Narɨ kru manɨman upɨvu undara ha, wɨnɨ pata kukimaka mɨŋa ñɨŋuñɨŋu ndɨhi ŋgɨrɨm maŋundara. 
MAT.11.8	Naŋga, nu kwɨrandɨ yɨvupɨhavɨhavɨ kuta avivi haŋɨnɨŋ tamata kɨyɨhi ŋgɨrɨm maŋundara. Kru kwɨrandɨ yɨvupɨhavɨhavɨ kuta avivi ŋɨnɨŋ tamata kɨndu haŋɨnɨŋ aru miku ndu tavɨyɨ kɨndu. 
MAT.11.9	Hara narɨ undara ha, muhɨmɨmuhɨm kandɨhaŋɨnɨŋ ŋgɨrɨm maŋundara. Kru Gotɨndu kuyu mɨŋata ambavaravara mumɨŋgaŋ ŋgɨrɨm undara. Narɨŋ yi kandɨ ambin, kru Gotɨndu kuyu mɨŋata ambavaravara kandɨhama, kru Gotɨndu kuyu mɨŋata ambavaravara sɨhanaŋgaŋ taratɨvɨramaŋgarahi. 
MAT.11.10	Gotɨndu aŋgwɨmɨkɨyɨ Jonɨrɨm ambami, Got ñɨŋi nuŋandɨŋ ambi, Ŋgana. Yi kru mumɨŋgaŋ sɨmbɨtɨn kasiramata yandɨ kuyu nɨ mɨŋata ambavarata, nambirɨm kwɨmbɨ mɨŋasɨrɨvɨrɨmandɨ. Kamati na sɨhɨndɨ payɨmana, vamba ambi, vamba ambami. 
MAT.11.11	Narɨŋ yi kandɨ ambin, Jon kukuyɨ mɨŋaŋgɨruhɨru hama kru pɨrɨvɨsayɨ yɨvurahamu haŋɨnɨŋ taratɨvɨrandi. Hara kru ñɨmbi manɨmanɨ nzɨkwɨ Gotɨndu tɨwɨyɨ kɨyɨmandɨ hama, Jonɨŋ taratɨvɨrɨmaŋgarɨmandɨ. 
MAT.11.12	Jon kukuyɨ mɨŋaŋgɨruhɨru hama Gotɨndu kuyu ambavarami hɨrɨvɨyɨ nda kɨta, patavata tɨhu ndahara, kru saŋgandu tɨkatɨka naŋga haŋɨnɨŋ, Gotɨndu tɨwɨyɨ kɨyɨmɨndaŋ vata tɨkatɨkatɨndu. Kamatɨndɨ muvitamuvita saŋga kurɨhandu. Kamata krunavundi Gotɨndu tɨwɨyɨ kɨndu haŋɨnɨŋ pɨmɨ aru ŋgundu.
MAT.11.13	Kru Gotɨndu kuyu mɨŋata ambavaravara haŋɨnɨŋ, naŋga tɨkatɨka kuyundu aŋgwɨmɨkɨ nɨŋandɨhin, Gotɨndu kuyu ambavarahuhu Jon kuhɨrami. 
MAT.11.14	Harɨm narɨ kuyu kanɨŋandɨhin indarɨmɨndaŋ vataŋgata indarɨmara. Gotɨndu aŋgwɨmɨkɨyɨ ambami, Elaija payɨmandɨ, vamba ambami. Kaŋandɨhin Jonɨrɨm ambami. 
MAT.11.15	Kru kɨnzɨhi naŋga hama, kuyu nɨŋandɨhin mɨŋatamamaŋgarata indarɨm. 
MAT.11.16	Krunavundi tɨhundu nɨŋɨnɨŋɨndu vana haŋɨnɨŋɨrɨm ambavarɨrɨm, tɨhi kuyu pamatavu ambɨrɨman. Nurɨ ñɨŋi maña tɨhɨrutɨhɨru upɨyɨ mɨnzɨta kɨndu. Kamata ñɨŋi muvɨrarɨm nɨmavamba ambandu, 
MAT.11.17	Ara pɨkɨ tɨmɨhɨruharɨŋ narɨ manduturamara. Mavɨmavɨ sɨhɨpuri yɨvurɨŋ, hara narɨŋ mavɨndɨhi maŋirɨhara, vamba ambandu, vami. 
MAT.11.18	Kamavata Jisas sɨhinda ambami, Jon pata kandɨŋgandɨ mañata wain maŋguvɨrandi, naŋga ambandu, Sundɨ ñamba nu naŋga kɨyɨ, vamba ambandu. 
MAT.11.19	Hara Krundu Ñɨŋi hama pata, ñata kuvɨrandi. Kamatɨhi ambandu, Nɨŋgamara, kru nɨma ñaña sambɨ ñata wain sambɨ kuvɨrandi. Nu kru gavaman ndamarɨm tɨmbahɨrɨs mɨŋandu, naŋga kru ñamba vanavana andɨndu muvɨrandu nɨmbɨha, vamba ambandu. Hara krunavundi Gotɨndu indarɨmit avi kanɨŋɨnɨŋ mɨŋahandata sɨmbɨra mɨŋandu. Kamatɨhu krunavundi muvɨra nurɨŋandɨ sɨmbɨravu taya ŋgandu. Kamatɨhu Gotɨndu indarɨmit avi ha mamañɨndɨndi, vami.
MAT.11.20	Pɨhu aruru muvɨrañɨ, Jisas muhɨmɨmuhɨm nzihɨ sambɨ sihɨrahira mavɨ maŋgimɨrumu. Kamatɨhu kandɨtɨwɨmi hañɨ krunavundi pɨhu aruru kandɨhaŋu hatiŋ Jisas ambahɨmumbɨrami. 
MAT.11.21	Kamata ambami, Pɨhu aruru Korasin naŋga Betsaida hati narɨ pɨmɨ aru kavɨrɨmandɨra. Kru mumɨŋga uta pɨhu Tair naŋga Saidon muhɨmɨmuhɨm nzihɨ yi sihɨrahin ŋgandara maña nu ndahara sihɨrahi. Kamati ŋgata, nurɨ atɨnda ñamba vanavana andɨndu haŋɨnɨŋɨrɨm indarɨramata mavɨŋgimɨruhu. Kamata mɨkwɨrɨ kavɨta ahuyɨpuyɨ mɨnzɨta kɨyɨhu. 
MAT.11.22	Kamataharɨm yi narɨŋ ambin, Got krunavundiŋ ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨyɨ hañɨ, narɨ pɨmɨ kavɨrɨmandɨra ha, Tair naŋga Saidon hati pɨmɨ kavɨrɨmandɨyu ha taratɨvɨrɨmandɨ. 
MAT.11.23	Kaperneam hati narɨ ambandara, Arɨŋ Got tɨhuyahɨti nuŋandɨ pɨhuyɨ yawɨmɨndaŋ, vamba ambandara, manɨŋganzɨkwɨ. Hara narɨ kɨmuhɨmu ŋɨnɨŋɨndu upɨyɨ mɨŋgurɨmandɨra. Yi narɨ naŋga kɨta muhɨmɨmuhɨm nzihɨ sihɨrahin ŋgandara maña kru mumɨŋga uta Sodom ndahara sihɨrɨti, Sodom kɨyɨhi wɨsa. 
MAT.11.24	Kamataharɨm yi narɨŋ ambin, Got krunavundiŋ ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨ hañɨ, narɨ pɨmɨ kavɨrɨmandɨra ha, Sodom hati pɨmɨ kavɨrɨmandɨyu ha taratɨvɨrɨmandɨ, vami.
MAT.11.26	Kandɨ yava, nambi pirɨtamata kandɨhamatɨmana, vami. 
MAT.11.27	Kamavata Jisas sɨhinda ambami, Muhɨmɨmuhɨm Yavandak yandɨ kumañɨ tamami. Kru mumɨŋga ndahara Ñɨŋi hamaŋ maŋgandi. Nɨŋuva nuŋambi ŋgandi. Naŋga, kru mumɨŋga Nɨŋuvaŋ maŋgandi. Ñɨŋi hama nuŋambi ŋgandi. Naŋga kru Nɨŋuvaŋ isɨhuramahi ŋgandu haŋɨnɨŋ ndaya Nɨŋuvaŋ ŋgandu. 
MAT.11.28	Kru sɨmbɨra tɨkatɨka mɨŋata pɨmɨ aru kavundara narɨ, sɨhanaŋga yi kɨyɨman nɨñɨ pata avɨrɨkɨmumara. 
MAT.11.29	Narɨ yaŋ ŋgandara. Yi yambi taŋguhin mɨŋguhi, mavɨñamɨñɨ kɨndin. Kamataharɨm pata avɨrɨkɨmumara. Narɨ yandɨ vana ŋgata, yandɨ kuyundu tɨwɨyɨ kɨyɨmara. Ahuhɨrɨvɨ bulmakau arɨkitandu pɨŋgwɨyɨ pɨŋgɨrɨmandɨyu vata tamandu maña yandɨ tɨwɨyɨ kɨyɨmara. 
MAT.11.30	Ahuhɨrɨvɨ narɨŋandɨ pɨŋgwɨyɨ tamin haŋandɨhin, kavuhavurɨm avɨrɨ mandamɨrɨmandɨra. Naŋga narɨŋ kavuhavu hɨm ŋgundin ha pɨmɨ ma, vami.
MAT.12.2	Kamatɨhu Farisi haŋɨnɨŋ ŋgata Jisasɨŋ nɨmavamu, Nɨŋga, nɨmata vana nandɨ sɨmbɨrasara nɨŋɨnɨŋ andɨyu nɨŋandɨhin, Avɨrɨkɨmuhɨmu Hɨvɨyɨ andɨhu avimandɨ, vamu.
MAT.12.3	Kamavahu Jisas nurɨŋ kɨmbɨ nɨmavami, Kuha Devit nuŋandɨ hati naŋga avɨharɨm ŋgɨta andɨmi vana ha narɨ ŋgatɨŋgɨruta mambaha ŋgandara. 
MAT.12.4	Devit Gotɨndu tavɨyɨ indɨhuta, mavatɨmba amutɨ ndu tak Gotɨndu tamɨŋgaŋgɨmbañɨ kɨyɨhi, Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ tamahu mambɨrañɨ kɨndi. Kandɨhaŋandɨhin mɨŋata nuŋandɨ hati naŋga ñamu. Mavatɨmba kandɨha kru saŋɨŋɨnɨŋ mañarasɨmu, Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ ndaya ñarasɨmu. Hara Devit naŋga nuŋandɨ hati ñamu. 
MAT.12.5	Naŋga, tɨkatɨka kuyundu aŋgwɨmɨkɨyɨ kɨndi haŋandɨhin ŋgatɨŋgɨruta mambaha ŋgandara. Avɨrɨkɨmuhɨmu Hɨvɨyɨ ndahara Gotɨŋ kɨrañɨŋguhu tavɨyɨ Gotɨŋ kɨrañɨŋguhu haŋɨnɨŋ sɨmbɨra mɨŋandu. Hara nurɨŋ kuŋgɨ maŋgahandi. 
MAT.12.6	Harɨm narɨŋ yi ambin, kru nɨñɨ kɨyɨ mɨŋga Gotɨŋ kɨrañɨŋguhu tavɨ ha taratɨvɨri. 
MAT.12.7	Got ambami, narɨ yaŋ saŋɨnaŋga kɨrañɨŋgundararɨm pirɨmandamandin. Hara muŋɨnɨŋ sɨhiŋgamara vata pirɨtamamaŋgarandin, vamba ambami. Harɨm kuyu kanɨŋandɨhindu kuyu sapa ha ŋgamaŋgarandarandɨti, kru pɨmɨ manɨmanɨ nɨŋɨnɨŋɨrɨm pɨmɨ maŋguhara. 
MAT.12.8	Harɨm Krundu Ñɨŋi hama nuŋambi Avɨrɨkɨmuhɨmu Hɨvɨ karatamandi, vami.
MAT.12.9	Jisas kandɨ upɨ haŋu mitata uta pɨhu muyɨ yɨvurahami. Kamata Got naŋga kuyundavaravara tavɨ nurɨŋandɨyɨ indɨhumi. 
MAT.12.10	Kandɨhañɨ kru mumɨŋga kɨyɨmi, kru kandɨhama kumamaka timu kɨmuhɨmu mɨŋga. Kru muvɨra kuyusɨhɨrata Jisasɨŋ nuŋandɨ miku ŋɨnɨŋ ndu kumaŋgɨmbañɨ tamɨmɨndaŋ vata kitɨhuta ambamu, Kru kandi naŋga haŋɨnɨŋ Avɨrɨkɨmuhɨmu Hɨvɨyɨ mɨŋavindamaharɨŋ vaha, mana mambaha mɨŋavindamaharɨŋ, vamu. 
MAT.12.11	Kamavahu Jisas nurɨŋ ambami, Narɨŋandɨ kru mumɨŋga nuŋandɨ sipsip mɨnzamɨnza ŋandi Avɨrɨkɨmuhɨmu Hɨvɨyɨ kumbañɨ mɨŋguti pɨŋgɨrɨti, yahahi. 
MAT.12.12	Hara kru sipsip maña hɨm ma, sipsipɨŋ kru taratɨvɨramaŋgarandi. Harɨm Avɨrɨkɨmuhɨmu Hɨvɨyɨ kru kandi naŋga haŋɨnɨŋ mɨŋavindamaharɨŋ, vami. 
MAT.12.13	Kamavata kru kuma kɨmuhɨmu hamaŋ ambami, Kuma nandɨ ha tɨtɨ tama, vahi, kuma nuŋandɨha tɨtɨ tamahi avindɨta kuma tamu maña kɨyɨmi. 
MAT.12.14	Kandɨhamatɨhi ŋgata, Farisi haŋɨnɨŋ Got naŋga kuyundavaravara tavɨ ha mitata uta tɨhɨrumu. Kamata kuyundavarata Jisasɨŋ yɨvutatamɨtɨrɨŋ kwɨmɨrɨmandɨ vata kɨndɨmbuhɨramu.
MAT.12.16	Kamata Jisas krunavundiŋ karikarita ambami, Uta yambirɨm kru muŋɨnɨŋ maŋambavaramara, vami. 
MAT.12.17	Jisas kandɨhamata vana andɨhi, Got ambahi kru Gotɨndu kuyu mɨŋata ambavaravara Aisaia ambami kuyu haŋandɨhin kandɨsɨkwɨsɨkwɨ yɨvurahami. Aisaia ambami, Got ambi, 
MAT.12.18	Nɨŋandɨhin yandɨ sɨmbɨrakara mɨŋga. Yi nuŋ yambi yɨhɨramamin. Yi nuŋ mavɨndamamaŋgarandin, naŋga yandɨ mavɨnɨmbu nuŋambirɨm kɨnzɨhɨnzɨtɨmaŋgari. Yandɨ Mavɨñɨŋi nu naŋga tamɨman. Kamatɨn tɨtɨ vanarɨmɨndaya krunavundi pɨrɨvɨsa muvundumuvundu haŋɨnɨŋ ambavarɨmandɨ. 
MAT.12.19	Nu krunavundiŋ ukari saŋganzaŋgandɨndɨ mambɨhuravɨrɨmandɨ. Naŋga kɨndɨmakamakayɨ taŋguramata ambavarɨtiti krunavundi maŋindarɨmandɨyu. 
MAT.12.20	Kuki tɨkatɨkama haŋandɨhin nu mamɨŋarɨvɨrɨmandɨ. Naŋga umbi mandumaŋgarɨmandɨ ha mamɨŋawɨmɨrɨmandɨ. Nu sɨmbɨra mɨŋata andɨti tɨtɨtaya kɨyɨhɨyɨ vana ha ñamba vanavana haŋɨnɨŋ taratɨvɨrɨmandɨ. 
MAT.12.21	Kamati krunavundi pɨrɨvɨsa muvundumuvundu haŋɨnɨŋ, nuŋɨrɨm indarɨmaŋgarata arɨŋ ŋguramɨrɨmandɨ vata tavɨrɨmandɨyu, vamba ambi, vamba ambami, vami.
MAT.12.23	Kamatɨhi krunavundi sɨhanaŋga pɨndɨrata yahata ambamu, Kru nɨma Devit nɨŋuñɨŋgi vaha, vamu. 
MAT.12.24	Hara, Farisi haŋɨnɨŋ kuyu kandɨha indarɨta yahata ambamu, Kru nɨma, sundɨ ñambandu aru miku Belsebulɨndu tɨkatɨkayɨ sundɨ ñamba pɨŋguvarandi, vamu.
MAT.12.25	Hara Jisas nurɨŋandɨ indarɨmit hambu ŋgami. Harɨm nurɨŋ nɨmavami, Pɨrɨvɨsa mɨnzayɨndu ŋɨnɨŋ sɨhɨrata arɨkinzapa kɨta kurɨhata, krunavundi kandɨhaŋɨnɨŋ ñambatɨhu. Pɨhu aru muyɨ hati vaha mana tavɨ mɨnzayɨndu ŋɨnɨŋ tamarahata arɨkinzapa kɨta kurɨhata, krunavundi kandɨhaŋɨnɨŋ tɨkatɨka mandɨhu. 
MAT.12.26	Kamata maña, Satan yahata Satanɨŋ pɨŋguvarɨti tamarahata arɨkinzapa kɨta kurɨhɨtu, Satanɨndu tɨkatɨkata nurɨŋ karatamatamandu maŋgɨyɨmandɨ. 
MAT.12.27	Harɨm yaŋ Belsebul ŋguramahi sundɨ ñamba haŋɨnɨŋ pɨŋguvarandintiŋgata, narɨŋandɨ hatiŋ ninɨndaya ŋguramahi sundɨ ñamba haŋɨnɨŋ pɨŋguvarandu. Harɨm narɨ ambara kuyu haŋɨnɨrɨm narɨŋandɨ hati narɨŋ ŋgatɨŋgurɨmandɨyu. 
MAT.12.28	Hara, yaŋ Gotɨndu Mavɨñɨŋi ŋguramahi sundɨ ñamba haŋɨnɨŋ pɨŋguvarandintiŋgata, Gotɨndu tɨwɨyɨ kɨyɨhɨyɨha pata ara naŋga kɨyɨha, vamba indarɨmara. 
MAT.12.29	Kru mumɨŋga kru tɨkatɨka mɨŋgandu tavɨyɨ pamata indɨhuta nuŋandɨ muhɨmɨmuhɨm mɨŋahi. Kamatɨrɨm kru tɨkatɨka hamaŋ siki naŋga sɨmahahi wɨsa. Kamatanda kru kandɨhamandu tavɨyɨ muhɨmɨmuhɨm mɨŋahi. 
MAT.12.30	Kru yaŋ mɨndu mandamandi hama, yaŋ miku tamandi. Ara kru yaŋ ŋguramata krunavundiŋ mayɨvutɨhɨruramandi hama, pɨŋguvarahi siŋunziŋgu undu. 
MAT.12.31	Kamataharɨm narɨŋ yi ambin, krunavundi muhɨmɨmuhɨm ñamba vanavana andɨrɨmandɨyu, naŋga Gotɨŋ ambasuvɨrɨmandɨyu haŋɨnɨŋ, Got kuŋgɨ kuyɨvɨrɨmandɨ. Hara kru Gotɨndu Mavɨñɨŋiŋ ambasuvɨrɨmandɨ hamandu kuŋgɨ, Got maŋguyɨvɨrɨmandɨ. 
MAT.12.32	Kru mumɨŋga Krundu Ñɨŋiŋ kuyu ñamba ambɨrɨmandɨ. Hara ñamba vana kandɨhaŋɨnɨŋ Got kuŋgɨ kuyɨvɨrɨmandɨ. Hara kru Gotɨndu Mavɨñɨŋiŋ kuyu ñamba ambɨrɨmandɨ hamandu ñamba vana haŋandɨhin, tɨhu naŋga mutɨhu ndahara Got kuŋgɨ maŋguyɨvɨrɨmandɨ, vami.
MAT.12.34	Narɨ kru ñamba, tau ñamba ŋɨnɨŋ maña. Pamata kuyu avi ambavarɨmandɨra. Kru nuŋandɨ mavɨŋgukuyɨ muhɨmɨmuhɨm indarɨmit kɨndi haŋɨnɨŋ ambavarandi. 
MAT.12.35	Kru avi hamandu indarɨmit avivi sambɨ nuŋandɨ mavɨ humbavu kɨndi. Harɨm avi vana taya andɨndi. Ara kru ñamba hamandu indarɨmit ñamba sambɨ nuŋandɨ mavɨ humbavu kɨndi. Harɨm ñamba vana taya andɨndi. 
MAT.12.36	Hara yi narɨŋ ambin, Got krunavundiŋ ŋgatɨŋgurɨmandɨ hɨvɨ hañɨ, krunavundi muhɨmɨmuhɨm kuyuhuyu kuyundavarandu haŋɨnɨŋɨrɨm indarɨramarama ŋgatɨŋgurɨmandɨ. 
MAT.12.37	Harɨm nandɨ kuyuvu taya ŋgaŋgaramata Got ambɨrɨmandɨ, Kru na ñamba mɨŋga, na avi mɨŋga vamba ambɨrɨmandɨ, vami.
MAT.12.39	Kamavahu Jisas nurɨŋ kɨmbɨ ambami, Nɨmati hɨrɨvɨyɨndu krunavundi ñamba ŋɨnɨŋ. Harɨm Gotɨŋ ndaya mavɨñɨ mandamandu. Imutamut muhɨmɨmuhɨm nzihɨ ŋgɨmɨndaŋ vata añaŋgarandu hara maŋgɨmandɨyu, manɨŋga. Muhɨm nzihɨ sihɨrahi ŋgɨmaña ha, kru Gotɨndu kuyu mɨŋata ambavaravara Jona sihɨrami handaya ŋgɨmandɨyu. 
MAT.12.40	Jona asa arundu mavɨŋgumbañɨ arɨkikwɨrɨ hɨvɨ kɨyɨmi. Sɨwɨmañanda Krundu Ñɨŋi hama ndahara arɨkikwɨrɨ hɨvɨ sava humbañɨ kɨyɨmandɨ. 
MAT.12.41	Krunavundiŋ Got ŋgatɨŋgurɨman vata yɨhɨramami hɨvɨyɨ, Ninive hati krunavundi sɨhanaŋga Gotɨndu tamɨŋgañɨ ñamba vana andɨndurɨm taŋguramɨrɨmandɨyu. Kamata narɨŋandɨ tɨwɨmiyɨ krunavundi ñamba vanavana andɨndurɨm kuyu kɨmbañɨ ambavarɨmandɨyu. Ninive hati Jona ambavarahi ŋgaŋga mavɨŋgimɨrumu. Hara kru mumɨŋga narɨ ñiŋgiñɨ kɨyɨ mɨŋga, Jonaŋ taratɨvɨri. 
