MAT.1.1	Iesu Keriso vouḡa nizeꞌe ꞌahi eꞌe. Aniꞌe kini Davida mariga ebu zuni Aberahamo mariga.
MAT.27.1	Oherebau uzeuze dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡa zu vaze boroboroꞌa nuꞌoranadu Iesu manoga veize ḡoaniro. 
MAT.27.2	Ebu ze ani autadu Roma vazeḡa gavana, Pilato vaḡe tutune onamiro.
MAT.27.3	Iesu revoharoteꞌe vazeḡa, Iudaꞌa Iesu rudaꞌuma reiroteꞌe ḡoeꞌa igirotene, ani haḡairoteꞌe uꞌano zamaḡaniꞌa adudaro. Eꞌanoꞌo siliva moniḡa 30 madu dibuꞌo azaḡa ḡihiꞌaḡaḡhiꞌaḡa zu vaze boroboro bare ziniro. 
MAT.27.4	Ebu raenaꞌa, “E sauꞌa oꞌoꞌa vazeḡa revohaneha ꞌahine, sauꞌa haḡaeha.” Rehano zeḡeꞌa raenaꞌa, “Aꞌe ḡaꞌa bare haḡaeha, mene emeḡe. Ḡae edeḡano haḡaoꞌi.” 
MAT.27.5	ꞌOugirotene, Iudaꞌa kuru neḡa zamaḡano moniḡa feuniro ebu onamadu ane bare bodane runiro.
MAT.27.6	Dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡaniꞌa moniḡa madu raenaꞌa, “ꞌAdiꞌe vaze manoga moniḡa ꞌahine, kuru neḡa moniḡa teite tibune tougaꞌe mene idaḡa.” 
MAT.27.7	Ze ḡoꞌaniroteꞌe enogano, eꞌe moniḡa hina ḡoḡore haḡaeꞌeteꞌe vazeḡa haba ꞌahoga hoitiro, ebu raenaꞌa, “ꞌAhao avoꞌa azaḡa guriꞌuma.” 
MAT.27.8	Eꞌanoꞌo haba eꞌe, 'Ru Habaꞌa' rae hunadu izidi zuni deꞌuge rae huneꞌohe. 
MAT.27.9	Aꞌe peroveta vazeḡa, Ieremiaꞌa ibite reiroteꞌe ḡoeꞌaniꞌa hudaro, raenaꞌa,
MAT.27.9	“Zeḡeꞌa siliva moniḡa 30 meiro.
MAT.27.9	Aꞌe Isaraela azaḡaniꞌa vaze eꞌe naeḡa reiro.
MAT.27.10	Ebu Zuhiꞌa Boroꞌa ihiroteꞌe teige, zeꞌa moniḡa eꞌe hina ḡoḡore haḡaeꞌeteꞌe vazeḡa haba hoitiro.”
MAT.27.11	Ebu Iesuꞌe Roma vazeḡa gavana, Pilato zamao edau radiro. Pilatoꞌa Iesu ḡadiniro, raenaꞌa, “Ḡaꞌe Iuda azaḡa kinihehe?” Iesuꞌa naenaeninaꞌa, “Oꞌe, ḡa hube raꞌohe.” 
MAT.27.12	Rehano dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡa zu vaze boroboroꞌa ani mazao veꞌoḡa rae riḡa ḡoerirotene ani mene naenaeziro. 
MAT.27.13	Pilatoꞌa hena ḡadiniro, raenaꞌa, “Zeꞌa ḡaꞌe veꞌoḡa raꞌeteꞌe ḡoeꞌa ḡehaḡa hina ḡa agiroḡaneꞌeteꞌe mene igiꞌehehe?” 
MAT.27.14	Rehano Iesuꞌa zeḡe ḡoere riḡa ꞌahoga zu mene naenaeziro. Eꞌanoꞌo Pilatoꞌa zaguzagaro.
MAT.27.15	Iḡine Modeꞌeteꞌe Muiḡa madaḡanoꞌe Roma azaḡa gavanaꞌa Iuda azaḡaniꞌa umideꞌeteꞌe idunaḡano ḡuꞌa neḡa vazeḡa ꞌahoga tuḡune bunido. 
MAT.27.16	Eꞌe madaḡano ḡuꞌa neḡano vaze ꞌahoga, niḡa Barabasiꞌa radiunu. Aniꞌe niḡa boro. 
MAT.27.17	Vaze ḡuḡuvaḡaniꞌa nuꞌorarotene, Pilatoꞌa ḡadiziro, raenaꞌa, “Za uraꞌe iniu tuḡune buniꞌuma, Baraba ga Keriso raeꞌeteꞌe vazeḡa, Iesu?” 
MAT.27.18	Mazaḡa Pilatoꞌe, zeꞌa Iesu ahiꞌahiniroteꞌe uꞌano, ane evorao Iesu riꞌiniroteꞌe edeḡa.
MAT.27.19	Ebu Pilatoꞌa kota habaꞌano ehorinuteꞌe zamaḡano, inuganiꞌa ani veize ḡoere tuḡuriro, raenaꞌa, “Vaze eꞌe mazao ḡau ꞌahoga ago haḡaoꞌi. Aniꞌe sauꞌaḡa oꞌoꞌa. Eꞌe ohoḡore ohere ani iḡunanadu zamaheꞌa adudaneha.”
MAT.27.20	Rehano Barabasiꞌe tuḡune bunadu Iesuꞌe manoga veize, dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡa zu vaze boroboroꞌa vaze ḡuḡuvaḡa tuḡutuḡuziro. 
MAT.27.21	Pilatoꞌa bare ḡadiziro, raenaꞌa, “Vaze ꞌaheu zamaḡano, za uraꞌe eꞌa iniu tuḡune buniꞌuma?” Ze ninaꞌa, “Barabasi!” 
MAT.27.22	Ebu Pilatoꞌa ḡadizenaꞌa, “Hena Keriso raeꞌeteꞌe vazeḡa, Iesuꞌe nougiꞌuma?” Zeḡe niduꞌa raenaꞌa, “Satauronoꞌi!” 
MAT.27.23	Pilatoꞌa ḡadizenaꞌa, “Nougaꞌahi? Ani nagini sauꞌa haḡaeha?” Rehano zeḡeꞌa bare bare hounaꞌe huauꞌenaꞌa, “Satauronoꞌi!”
MAT.27.24	Pilatoꞌe zeḡeꞌa ani ḡoere mene igiꞌuma rae ederiro. Ebu vaze ḡuḡuvaḡaniꞌa ufeta maḡune haraeteꞌe horonirotene, vaze ḡuḡuvaḡa ubumao vu tahiḡa madu ꞌevoꞌa vuzuꞌiro. Ebu zinaꞌa, “E ꞌevorehe vuzuꞌeha, eꞌanoꞌo vaze ahaꞌa rudaune eḡe sauꞌaꞌe oꞌoꞌa reꞌuma. Zae daꞌo eꞌe naeḡa moꞌi.” 
MAT.27.25	ꞌOugadu vaze niduꞌa naenaeninaꞌa, “Ani rudaune, eꞌe naeḡaꞌe emeḡe zu mariḡafeꞌa meꞌuma!” 
MAT.27.26	Ebu ani zeḡe veize Barabasi ḡuꞌanonoꞌo mae buniro. Rehano Iesuꞌe uti azaḡa tuḡuzadu masine sausauniro ebu ani satauronoga veize zeḡe ꞌevora riꞌiniro.
MAT.27.27	Gavana uti azaḡa nuꞌa Iesuꞌe gavana ne zamaḡa tutune onamiro ebu uti azaḡa niduꞌa huze nuꞌoziro. 
MAT.27.28	Ebu ze dabuaḡa fuhiꞌohanadu dabua kanaḡa duhuḡa hune vidanoharo. 
MAT.27.29	Ebu hena ire ezaga meigameiga ḡurunadu vadinigano redoharo zu Gubu somoriḡa edaꞌe evoꞌano obonoharo. Ebu obena hina ani mazao ḡuḡureꞌenaꞌa ḡirihoraro, raenaꞌa, “Nigunihi, Iuda azaḡa kini!” 
MAT.27.30	Ebu soꞌabidevaniro zu somori eꞌe bare madu vadigano mau radiro. 
MAT.27.31	Ḡirihohau hauḡirotene, vidanoharoteꞌe dabuaḡa fuiꞌadu ane dabua bare vidoharo. Ebu satauronoga radu tutune onamiro.
MAT.27.32	Uti azaḡaniꞌa Iesu tutune onamiroteꞌe zamaḡano, Kurene vazeḡa ꞌahoga, niḡa Simona, aniꞌe ane habaonoꞌo onaeꞌenogano hidiro. Zeꞌa ani obone teadu Iesu satauro mae heratoharo. 
MAT.27.33	Ebu ze Gorogota rae huneꞌeteꞌe habaꞌa onamiro. Gorogota hugaꞌe 'Vadini Isiga'. 
MAT.27.34	Eꞌe habaꞌano feurirotene, ze vaini vuḡa ḡau ꞌahoga ḡiḡiꞌa bagaḡa teite mirunadu gagoharo. Rehano tuhune nuradu ani gagoga mene uratiro.
MAT.27.35	Ze Iesu satauroniroteꞌe ḡarugano, kaḡusi arahoḡa arahadu zeḡe boꞌaḡano dabuaḡa ḡahugotitiro. 
MAT.27.36	Ebu eꞌea ze ehoradu Iesu taufe radiro 
MAT.27.37	Iesu satauro hitagano, aniꞌa nagi haḡai sauꞌa haḡairoteꞌe ihozifine, 'Adiꞌe Iesu, Iuda Azaḡa Kini' rae mirihiro. 
MAT.27.38	Ebu ḡonore azaḡa ꞌaheu zuni ani teite idaḡa satauroziro. ꞌAhogaꞌe ane edaꞌe moneo zu ꞌahogaꞌe ane kauri moneo ikokoziro.
MAT.27.39	Ebu uhiḡano vitau onamiroteꞌe azaḡaniꞌa, vadinize miruneꞌenaꞌa, Iesu rae sausauniro, raenaꞌa, 
MAT.27.40	“Ḡaꞌe kuru neḡa fahadu mada uḡidu zamaḡano bare ohoniꞌuma reiro. Ḡa Badiꞌa Ubuga roꞌidene satauroꞌonoꞌo buanadu ḡae bare ḡaboꞌoꞌi!” 
MAT.27.41	Ebu dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡa, Mose goro ḡoeꞌa ihozeꞌeteꞌe azaḡa zu vaze boroboroꞌa zuni ḡirihoharo. 
MAT.27.42	Ze raenaꞌa, “Aniꞌa vaze ḡabozinu, rehano aneꞌa ane bare mene ḡaboneꞌohe! Aniꞌe Iuda azaḡa kini raꞌohe. Eꞌanoꞌo izidi hune satauronoꞌo bua ovaine eme ani mazao fiꞌuma! 
MAT.27.43	Aniꞌe Badiꞌa mazao fieꞌohe. Eꞌanoꞌo Badiꞌaꞌe uratine, izidi ani ḡabonifo, mazaḡa ani raenaꞌa, 'E Badiꞌa Ubuga,' rae reiro.” 
MAT.27.44	Ebu ḡonore azaḡa ꞌaheu ani teite idaḡa satauroziroteꞌeꞌa zuni ani ḡirihoharo.
MAT.27.45	Madai kirikiri meirotene, haba niduꞌa uzaboꞌa ꞌuiro onamo ḡorava mone mada uḡidu. 
MAT.27.46	Ḡorava madaḡa uḡidu meirotene, Iesuꞌa ḡihau huaro, raena, “Eli, Eli
MAT.27.47	Deꞌea edau radiroteꞌe azaḡa nuꞌa ḡoere eꞌe egadu ze raenaꞌa, “Ani peroveta vazeḡa Elia huneꞌohe.” 
MAT.27.48	Ebu ze boꞌaḡano ꞌahoganiꞌa duradu vu romane zouneꞌeteꞌe ḡauḡa meiro. Ebu vaini vuḡa ḡiḡiꞌa iriꞌavonadu Iesuꞌa gagoga veize Gubu somoriḡa rana teadu ite haro. 
MAT.27.49	Rehano vaze nuꞌa raenaꞌa, “Ago, ḡezo! Eliaꞌa ovaadu ḡaboniꞌuma ga mene ḡianihi.”
MAT.27.50	Ebu Iesuꞌa bare ḡihau huanadu iriga riꞌiro. 
MAT.27.51	Eꞌe madaḡano kuru neḡano zaḡoḡa hune habaꞌa ueꞌeteꞌe dabuaḡaniꞌa hitaganonoꞌo ꞌuꞌuḡa zigau ꞌaꞌadaro. Ebu rahaꞌa hagariro zu vatavaꞌa ꞌaꞌadu bohatu ḡouriro. 
MAT.27.52	Ebu rune iduḡa ꞌaꞌadaro zu Badiꞌa moneo azaḡa ḡehaḡa ahirizeꞌa ḡabode iḡune ḡouriro. 
MAT.27.53	Ebu ze rune iduḡa habaꞌanonoꞌo iḡuniro. Iesuꞌa ḡabode iḡuniroteꞌe enogano, ze Ierusalema onamadu deꞌea vaze ḡehaḡa mazao fureraro.
MAT.27.54	Roma uti azaḡa ḡihiꞌaḡa zu ane uti azaḡa Iesu taufe radirotaꞌaꞌe rahaꞌa hagariroteꞌe zu naginiꞌa deꞌea fureraroteꞌe horonirotene, ze rihau rudaro, ebu raenaꞌa, “Hube hune vaze adiꞌe Badiꞌa Ubuga!” 
MAT.27.55	Deꞌea roḡae ḡehaḡa zuni faḡanonoꞌo ehamu radiro. Zeꞌe Iesu dananoga veize Galilea habaꞌanonoꞌo ani hegotiro. 
MAT.27.56	Zeḡe boꞌaḡano Magadala roḡaeḡa Maria ebu Iakobo zu Iosefa vize Maria ebu Zebedeo ubuga, Iakobo zu Ioane, zeḡe vizeꞌa radiro.
MAT.27.57	Ḡorava mone madaꞌa zuburirotene, maꞌora vazeḡa niḡa Iosefaꞌa ariro. Aniꞌe Arimatea habaꞌa vazeḡa zu Iesu tahiꞌa ꞌahoga. 
MAT.27.58	Ani Iesu ahiri guroga veize Filato umini onamiro. Uminirotene, Filatoꞌa uti azaḡa zeadu Iesu ahiri ani evora riꞌiniro. 
MAT.27.59	Ebu Iosefaꞌa Iesu ahiri maadu dabua iziga uruḡa hina umiro, 
MAT.27.60	ebu Iosefa ane rune iduḡa iziga, vatava huꞌiroteꞌe zamaḡano Iesu ahiri tiro. Ebu hadi boro hina ibihetaḡa kiune ꞌuadu mode onamiro. 
MAT.27.61	U Magadala roḡaeḡa Maria zu Maria ꞌahogaꞌe idu moneḡano ehoradu murire radiro.
MAT.27.62	Irarirotene, aꞌe Bana Madaḡa. Dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡa zu Farisea azaḡaniꞌa Filato vaḡe onamiro. 
MAT.27.63	Ebu Filato niro, raenaꞌa, “Vaze boro, ḡuriro vazeḡa aꞌaꞌe ani ize ḡaboga zamaḡano reiroteꞌe ḡoeꞌa emeꞌa zamare radiuꞌohe. Ani raenaꞌa, 'E mada uḡiduḡano runeonoꞌo bare ḡabode iḡuniꞌuma.' 
MAT.27.64	Eꞌanoꞌo mada uḡidu zamaḡano uti azaḡaniꞌa ani idu faine taufoga veize eme umiꞌeꞌohe. Mene ꞌougine, ane tahiꞌatahiꞌaꞌa aradu ani ahiri ḡonotaꞌuma, ebu vazevaze zinaꞌa, 'Ani runeonoꞌo bare iḡuneha,' rae reꞌuma. ꞌOugine zeꞌa vaze ufeta soꞌoziꞌuma. Aꞌe ibite soꞌozirotaꞌaꞌe vitiniꞌuma.” 
MAT.27.65	Ebu Filatoꞌa naenaeziro, raenaꞌa, “Uti azaḡa nu madu idu faine taufe radoꞌi.” 
MAT.27.66	ꞌOugirotene ze uti azaḡa teite onamadu idu ibiheta hadiḡa faifaine hararo ebu vazeꞌa mene vavaꞌifine gudune ꞌahoga tiro. Ebu uti azaḡaniꞌa idu taufe radiro.
MAT.28.1	Bana Madaḡa ḡarugano, fura oherebau uzeuze, Magadala roḡaeḡa Maria zu Maria ꞌahoganiꞌa idu ḡianoga radu onamiro. 
MAT.28.2	Eꞌe madaḡano tabara habaꞌa borofe hagariro. Ebu Zuhiꞌa Boro tuḡure viganiꞌa adureꞌonoꞌo ovaadu idu hadiḡa kiune vaḡiniro ebu eꞌe rana ehoriro. 
MAT.28.3	Ani iraḡaꞌe vazavazaheꞌeteꞌe teige ebu dabuaḡaꞌe ḡoze teige uraro. 
MAT.28.4	Idu taufeꞌeteꞌe azaḡaꞌe ani rihanadu rereraro ebu rune azaḡa teigiro.
MAT.28.5	Ebu tuḡure viganiꞌa roḡae ꞌaheu ziro, raenaꞌa, “Ago rihanoꞌi. Eḡe edeḡa zaꞌe satauroniroteꞌe vazeḡa, Iesu vaḡeꞌohe. 
MAT.28.6	Aniꞌe ahao oꞌoꞌa, mazaḡa ani reiroteꞌe teige, runeonoꞌo iḡuneha. Aroꞌi ebu aniꞌa bazateꞌe habaꞌa ḡianoꞌi. 
MAT.28.7	Ebu za ḡarihe onamadu ane tahiꞌatahiꞌa zoꞌi, raenaꞌa, 'Aniꞌe runeonoꞌo iḡuneha. Ebu ibite Galilea habaꞌa onamadu eꞌea zaꞌa ani horoniꞌuma.' Eḡeꞌa zeateꞌe faine egoꞌi.”
MAT.28.8	Eꞌanoꞌo roḡaeroḡaeꞌa rihozeta zu matuꞌuzeta idu habaꞌanonoꞌo ḡarihe iḡunadu Iesu tahiꞌatahiꞌa zouga veize zeḡe vaḡe dure onamiro. 
MAT.28.9	Eꞌe madaḡano Iesuꞌa tabara ze hidiro, ebu raenaꞌa, “Za manoḡahehe?” ꞌOuge reirotene ze ani uhiḡa ariro ebu odaḡa obonadu matuꞌoharo. 
MAT.28.10	Ebu Iesuꞌa zinaꞌa, “Ago rihanoꞌi. Onamadu eḡe nego duḡuru zinaꞌa, 'Galilea habaꞌa onamoꞌi,' rae zoꞌi. Eꞌea zeḡeꞌa eḡe hidiꞌuma.”
MAT.28.11	Roḡaeroḡaeꞌa onamiroteꞌe zamaḡano, idu taufiroteꞌe azaḡaniꞌa ne onamiro ebu naginiꞌa fureraroteꞌe hariḡa dibuo azaḡa ḡihiꞌaḡaḡihiꞌaḡa ihoziro. 
MAT.28.12	Dibuꞌo azaḡa ḡihiꞌaḡaḡihiꞌaḡaniꞌa vaze boroboro teite nuꞌoranadu ḡoaniro ebu idu taufiroteꞌe uti azaḡa moni boro ziniro. 
MAT.28.13	Ebu zinaꞌa, “Zaꞌe ꞌahiḡe rae roi, 'Ane tahiꞌatahiꞌa ohere aradu eme bazuꞌenona ani ahiri ḡonotu feraneha.' 
MAT.28.14	ꞌAhi hariḡaniꞌa Roma gavana vazeḡa mazao feurine, eme zae uꞌano ani mazao ḡoeriꞌuma ebu zaꞌa baziroteꞌe moneo aduga mene hidiꞌuma.” 
MAT.28.15	Eꞌanoꞌo idu taufiroteꞌe uti azaḡaniꞌa moni madu zeḡeꞌa ziroteꞌe idunaḡano ḡoeriro. Ebu eꞌe hariḡaꞌe Iuda azaḡa zamaḡano bororaro zu izidi madaḡano zuni vazeꞌa ꞌouge raꞌohe.
MAT.28.16	Ebu Iesu tahiꞌa 11 Galilea habaꞌa onamadu aniꞌa reiroteꞌe maḡano feuriro. 
MAT.28.17	Feurirotene, ze ani horonadu ani mazao kuraro. Rehano nu zamazeꞌa tugahiro.
MAT.28.18	Ebu Iesuꞌa ze vaḡe aradu ziro, raenaꞌa, “Gigiꞌaḡa adureo ebu rahao niduaꞌe eḡe eneha. 
MAT.28.19	Eꞌanoꞌo zaꞌe onamadu habaꞌahabaꞌa azaḡa niduꞌa eḡe tahiꞌatahiꞌa rouga veize zamazoꞌi. Moga, Ubuga zu Vine Zaḡoḡa niḡano bapatizozoꞌi, 
MAT.28.20	ebu eḡeꞌa ḡoereziroteꞌe ḡoeꞌa niduꞌa zeḡeꞌa hegotoga veize ihozoꞌi. Ebu ꞌahi zamaroꞌi: E iḡaiḡa zae teite radiuꞌohe onamo mada ḡonaga reꞌuma.”
MRK.1.1	Badiꞌa Ubuga, Iesu Keriso hari manoḡa*niꞌe ꞌahige fureraro. 
MRK.1.2	Peroveta vazeḡa* niḡa Isaia*ꞌa, buka zaḡoḡa* zamaḡano tinaꞌa, ꞌahige reiro.
MRK.1.2	'Ḡianoꞌi! Badiꞌaꞌa ḡae zamao hari odohe dureꞌeteꞌe vazeḡa ꞌahoga ibite tuḡuniꞌuma, ḡae veize ibi fainifine. 
MRK.1.3	Haba bohaꞌanonoꞌo, rae huauꞌohe. “Zuhiꞌa Boro* ibi faine haḡae toꞌi! Ane ibi mae dudunoꞌi!” '
MRK.1.4	Ebu hari odohe dureꞌeteꞌe vazeḡa, niḡa Ioane Babatisoꞌa haba bohaꞌa onairo. Ani harameꞌenaꞌa, ꞌahige reiro. 'Sauꞌanonoꞌo ḡihuradu bapatizo moꞌi! Zae sauꞌa Badiꞌaꞌa mae vaḡinifine.' 
MRK.1.5	Iudea* habaꞌa azaḡa niduꞌa zuni Ierusalema ne azaḡa niduꞌa, Ioane vaḡe onamiro, hariḡa egoga veize. Ebu ane ane sauꞌa rae furenadu, Ioridana vuḡano bapatizo meiro.
MRK.1.6	Ioane, ani dabuaꞌe kamelo iguḡa, kibaiḡaꞌe boromakau ogaḡa, ogomuḡaꞌe fihore ebu ꞌavore godaḡa. 
MRK.1.7	Ani harameꞌenaꞌa, ꞌahige reiro. 'Vaze ꞌahoga, eḡe ḡarunio onaiꞌuma vazeḡa, ani gigiꞌaꞌe ḡihiꞌa, u e gigiꞌaꞌe zuhuꞌa. Ane teite mene idaḡa. E ani oda babaḡano ḡuḡuraduni, ani oda ḡauḡa miniḡa fuhiꞌohanoga zuni mene idaḡa. 
MRK.1.8	Eꞌe vu hina bapatizozeha. U aniꞌe Vine Zaḡoḡa* hina bapatizoziꞌuma.'
MRK.1.9	Eꞌe madaḡano, Galilea habaꞌano ne niḡa Nazareta, eꞌanoꞌo 
MRK.1.10	Iesuꞌa vuonoꞌo gaba tireꞌenogano, adureꞌa ꞌaꞌaduꞌeteꞌe zogone horoniro. Ebu Vine Zaḡoḡa tubugo niniḡa teige horoniro. Ani Iesu vaḡe ovairo. 
MRK.1.11	Ebu adureonoꞌo ago ꞌahoga igiro. ꞌAhige reiro, 'Ḡaꞌe eḡe ubude, eḡe zamarone. E ḡa mazao matuꞌu boro.'
MRK.1.12	Ebuni Vine Zaḡoḡaniꞌa Iesu, haba bohaꞌa tuḡune onamiro. 
MRK.1.13	Mada ḡae ḡazaḡa gaubanana (40) deꞌea radiro. Satani*ꞌa soꞌonido. Agire ḡauḡa zuni deꞌea radiro. Rehano tuḡure viga* nuꞌa ovaadu dananiro.
MRK.1.14	Ioane ḡuꞌano ohoniroteꞌe ḡarugano,
MRK.1.15	'Badiꞌaꞌa reiroteꞌe madaḡa ꞌai feureha. Badiꞌaꞌa gigiꞌa iziga hina ibito ziniꞌeteꞌe* madaḡa ꞌai haniteha. Haḡai sauꞌa sauꞌa modoꞌi ebu Badiꞌa hari manoḡa mae ḡihinoꞌi!'
MRK.1.16	Galilea duꞌuraḡa boro* genaḡano, Iesuꞌa onameꞌenogano, vaze aheuꞌa reꞌeva feuniroteꞌe horoziro, Simona ebu negoḡa Aniderea teite. Zeḡe gauꞌe ḡozone mauꞌeteꞌe. 
MRK.1.17	Ebu Iesuꞌa ziro, raenaꞌa, “Eḡe ḡaruna hegotoꞌi! Vaze reꞌevaziꞌeteꞌe vazeḡa rouga veize ihoziꞌuma.” 
MRK.1.18	Ze ai zogone reꞌeva modadu ane hegote onamiro.
MRK.1.19	Tahiḡa faḡa onamiro. Eꞌe zamaḡano, vaze aheu negoḡeita horoziro, Iakobo ebu Ioane, Zebedeo ubuga. Zeꞌe zeḡe ḡasi ranao reꞌeva faine radiro. 
MRK.1.20	Horozirotene, huziro. Ebu zeḡe moze Zebedeoꞌe ḡasi rana mode onairo. Aneꞌa meiroteꞌe azaḡa teite muhize onairo. Ebu Iesu ḡarunio hegote onamiro.
MRK.1.21	Iesu ebu ane ḡarunio hegotiroteꞌe azaḡa, ne niḡa Kaperanaumao feuriro. Bana Madaḡa* madaḡano ani Iuda kuru neḡa diuḡiro, ebu ihoziro. 
MRK.1.22	Vaze vazeꞌa ani ihozoga igirotene, zamaze zaguzagaro. Mazaḡa Mose goro ḡoeꞌa* ihozeꞌeteꞌe azaḡa* teige mene haramiro, rehano Badiꞌa ḡoere gigiꞌa hina ihoziro.
MRK.1.23	Eꞌe zamaḡano, vine sauꞌa*ꞌa ragano reiroteꞌe vazeḡa ꞌahoganiꞌa, Iuda kuru neḡa diuḡiro, ebu ꞌahige hounaꞌe ḡoeriro. 
MRK.1.24	'Iesu, Nazareta ne vazeḡa! Eme vaḡe nagini uꞌano onaeha? Ḡa emeḡe uḡufoga radu, onaa ga? E edeḡa ḡa iniu. Ḡaꞌe Badiꞌa gigiꞌa vazeḡa!' 
MRK.1.25	Iesuꞌa vine sauꞌa taꞌiroharo. 'Ago ḡoeroꞌi! Vaze ꞌadi mazaonoꞌo buanoꞌi!' 
MRK.1.26	Ebu vine sauꞌaniꞌa, buanoga rae, ketoketeꞌenaꞌa, ḡihau ḡaniḡanaro. Ebu vine sauꞌa ai buaro.
MRK.1.27	Vaze niduꞌa horonadu, zamaze niduꞌa zaguzagaro. Zeꞌe zeḡeꞌa bare ḡadititiro. 'ꞌAdi nagini? Nagini iziga ihofeꞌohe? Vaze ꞌadiꞌe gigiꞌeta. Vine sauꞌa zuni ziꞌetene, egadu, egohuꞌohe.' 
MRK.1.28	Eꞌebanoꞌo, Iesu hariḡa, Galilea habaꞌano ḡarihe bororaro. Ebu haba niduꞌa igi hauḡiro.
MRK.1.29	Eꞌebuꞌu, Iesu ani Iuda kuru neḡanonoꞌo buau onamiro. Simona ebu Aniderea duḡuru ne diuḡiro. Iakobo ebu Ioane zu zeḡe teite diuḡiro. 
MRK.1.30	Simona emoḡa roḡaeḡaꞌe uginiro ꞌahine, baze radiro. Ahiꞌaꞌe gigiꞌa bagaḡa. Iesuꞌa feurirotene, ihoniro. 
MRK.1.31	Iesuꞌa ane vaḡe onamadu evoꞌano meiro, ebu mae ohonirotene, ahiꞌa gigiꞌani ai dauḡiro. Ebu aniꞌa iḡunadu Iesu veize ogomu ḡorohe haro.
MRK.1.32	Ḡorava moneo, madaꞌa ovoeꞌeteꞌe zamaḡano, ugi azaḡa ebu vine sauꞌaniꞌa ranao reiroteꞌe azaḡa, ane vaḡe tutuze onairo. 
MRK.1.33	Ebu ne azaḡa niduꞌaꞌeꞌe ane ibihetao muririro. 
MRK.1.34	Ugi nunu azaḡa ḡehaḡa aniꞌa faiziro. Ebu vine sauꞌa sauꞌa ḡehaḡa hegoze buziro. Aniꞌa, vine sauꞌa sauꞌaꞌa ḡoeroga ꞌuiro, mazaḡa zeḡe edeḡa ani iniu.
MRK.1.35	Irara moneo, mada ize mene agaranogano, Iesuꞌa iḡunadu, haba bohaꞌa ꞌahoga onamiro, ebu eꞌa kuraro. 
MRK.1.36	Ebu Simona nabugeta Iesu vaḡe vaḡe onamiro. 
MRK.1.37	Horonirotene, ꞌahige rae niro. 'Vaze niduꞌa ḡa vaḡeꞌohe.' 
MRK.1.38	Ebu aniꞌa zinaꞌa, 'Eme ne uhiḡa uhiḡa onamihi, eꞌea zuni haramoga. Mazaḡa eꞌe deꞌe uꞌano onairo.' 
MRK.1.39	Ebu ani, Galilea habaꞌano neḡa neḡa niduꞌa onamadu, Iuda kuru neḡa zamaḡano haramiro, ebu vine sauꞌa sauꞌa hegoze buziro.
MRK.1.40	Lefera vazeḡa ꞌahoganiꞌa ani vaḡe onairo, ebu ane zamao obena hina tuḡadu niro, raenaꞌa, “Zuhiꞌa Boro, ḡa uratoꞌidene faihoꞌi!” 
MRK.1.41	Iesuꞌa vetuḡaniro, eꞌanoꞌo ꞌevoꞌa einadu vaze eꞌe oboniro, ebu raenaꞌa, “E urateꞌohe. Ḡae manoroꞌi!” ꞌOugadu lefara eꞌeꞌa zogone dauḡiro.
MRK.1.42	Ebu ani leferaꞌa tabara dauḡiro, ebu ani ꞌai manoriro. 
MRK.1.43	Ebu zogone tuḡuneꞌenaqa, ḡoere riḡa hina niro, 
MRK.1.44	naenaꞌa, “Naginiꞌa ḡae mazao fureranataꞌaꞌe vaze ꞌahoga ago noꞌi! Rehano dibuꞌo vazeḡa vaḡe onamadu ahiriḡo ihonoꞌi
MRK.1.45	Rehano vaze eꞌeꞌa onamadu, hari eꞌe, vaze vaze mazao rae ḡehaniro. Eꞌe uꞌano, Iesuꞌe ne hunio diuḡoga mene idararo. Eꞌanoꞌo haba bohaꞌano radiro. Ebu vaze vazeꞌa, haba ꞌahoga ꞌahoganonoꞌo, ane vaḡe onaido.
MRK.2.1	Mada nu ḡarugano, Iesu ani Kaperanauma neḡa bare onamiro. Ebu aniꞌa ane bazuni neḡano diuḡiroteꞌe hariḡa, ne azaḡaniꞌa igiro. 
MRK.2.2	Eꞌanoꞌo vaze ḡehaḡaniꞌa Iesuꞌa radiroteꞌe neḡa onairo. Eꞌanoꞌo ehoro habaꞌa niduꞌa vazeꞌa iriꞌaviro. Ibiheta habaꞌano zuni iriꞌaviro. Iesuꞌa Badiꞌa hari manoḡa haramo ziniro. 
MRK.2.3	Vaze ḡazaḡaniꞌa, Iesu vaḡe, ahiꞌa mene haganeꞌeteꞌe vazeḡa odohe onairo. 
MRK.2.4	Rehano vaze ḡehaḡa ꞌahine, Iesu uhiḡa onamoga mene idararo. Mene idararotene, Iesuꞌa ehoriroteꞌe hitagano binu fahiro. Ebu ahiꞌa mene haganeꞌeteꞌe vazeḡaniꞌa bazeꞌeteꞌe farataḡa, mini hina ovoe dabaniro. 
