GEN.1.1	Uluk fohon, Maromak naseꞌi laleꞌan no raiklaran.
GEN.42.25	Hotu, Yusuf naruka klosan sia natama hare baa maun kakaluk sia, nodi natama nikar no-nook ida-idak osan baa kakaluk laran. Nia moos naruka foo bakae baa sia. Rona nola nunia, klosan sia nalaꞌok Yusuf harukan nia. 
GEN.42.26	Nunia hotu, Yusuf maun sia nasaꞌe kakaluk sia baa siakaan kuda keledai. Hotu, sia moos fila.
GEN.42.27	Toꞌo dalan klaran, sia nanawa kole. Hotu, ida kore niakaan kakaluk atu nahaan kuda keledai. Mais nia sarebak, tan naree niakaan osan iha kakaluk laran. 
GEN.42.28	Nia nahii kedan naꞌak, “Adeei! Mai haree lai! Neꞌe, ita susar tiꞌan! Sia tau nikar haꞌukaan osan baa kakaluk laran!”
GEN.42.28	Naree nola nunia, siakaan neon lakon kedan, tan sia nataꞌuk tebes. Sia moos dale baa malu naꞌak, “Maromak natuun tenik saa baa ita tiꞌan?”
GEN.42.29	Hotu, sia laꞌo liu. Toꞌo Kanaꞌan tiꞌan, sia katak baa ama Yakob lia hotu-hotu mak kona baa sia tiꞌan. 
GEN.42.30	Sia katak naꞌak, “Ama! Naꞌi Mesir ema liman kwana nia, makaꞌas resik! Niakaan dalen makaꞌas tebes! Nia duu ami naꞌak, ami mai buka rai Mesir ain. 
GEN.42.31	Mais ami hataa haꞌak, ‘Lale! Ami dale lia loos! Ami la mai buka rai Mesir ain. 
GEN.42.32	Ami neꞌe, ema diꞌak! Ami hotu-hotu, maun-alin naꞌin sanulu resin rua! Amikaan aman, ida dei! Amikaan alin ida mate tiꞌan! Alin ikun nein no amikaan ama iha Kanaꞌan!’
GEN.42.33	Rona ami dale nunia, naꞌin liman kwana nia naꞌak, ‘Haꞌu atu karee kokon, emi neꞌe loos ka lale! Ida nosi emi musti nein heik iha neꞌe! Emi seluk sia bele fila, hodi hare baa emikaan famili sia, nebee sia keta mate salaen! 
GEN.42.34	Mais emi musti hodi alin nia mai lai, nebee haꞌu kbele katene, emi neꞌe dale loos, la mai buka lia iha rai neꞌe. Foin haꞌu kbele kabusik emikaan maluk mak keti katoos neꞌe! Hotu haꞌu moos foo leet baa emi baa nabee dei iha rai neꞌe!’ ”
GEN.42.35	Dale hotu nunia, sia nahuu kore no namamu sai kakaluk isin sia. Sia sarebak, tan naree sia ida-idak osan iha kakaluk laran. Naree nunia, Yakob no oan sia hotu-hotu nataꞌuk tebes.
GEN.42.36	Hotu, Yakob dale baa oan sia naꞌak, “Emi neꞌe halakon mohu haꞌukaan oan sia! Yusuf la iha tiꞌan! Simeon moos nunia tenik! Oras neꞌe, emi hakara hola tenik Benyamin hodi baa. Emi neꞌe tebe-tebes atu hasusar haꞌu dei!”
GEN.42.37	Rona aman katak nunia, Ruben moos dale baa aman naꞌak, “Ama! Latan Benyamin baa haꞌu! Haꞌu mak katiu kola lia neꞌe! Haꞌu karai aan, haꞌu atu foo kikar nia baa ama! Kalo lale, ama bele noꞌo haꞌukaan oan mane rua nia!”
GEN.42.38	Mais Yakob nataa nikar naꞌak, “La bele! Emi la bele hodi Benyamin baa! Maun Yusuf mate tiꞌan! Oras neꞌe, hela mesan nia dei! Kalo nia moos netan maufinu iha dalan lolon, emi halo haꞌukaan ulun moras tuꞌan tan tenik, toꞌo haꞌu ktama rate!”
GEN.43.1+GEN.43.2	Baa oras nia, rai salaen iha Kanaꞌan hetak boot tuꞌan. Yakob familin sia naa namohu haan mak uluk sia sosa iha Mesir. Hotu, Yakob katak baa oan sia naꞌak, “Oa sia! Diꞌak liu emi fila hikar baa rai Mesir, sosa tenik haan baa ita lai!”
GEN.43.3	Rona nola nunia, Yahuda moos nataa naꞌak, “Ama! Hori hirak nia, naꞌi Mesir ema liman kwana nia foo natene makaꞌas baa ami naꞌak, ami la bele hatudu oin tenik baa nia, kalo ami la hodi ama oan ikun Benyamin baa. 
GEN.43.4	Ama musti nabusik ali Benyamin tuir ami, foin ami bele baa sosa haan tenik. 
GEN.43.5	Kalo ama la nabusik, ami moos la bele baa, tan ema boot Mesir nia dale makaꞌas tiꞌan nunia!”
GEN.43.6	Yakob moos deꞌan sia naꞌak, “Tan saa emi katak baa ema nia haꞌak, emi sei hoo alin ida tenik?! Emi buka lia atu hasusar haꞌu ba-baa dei!”
GEN.43.7	Rona nola nunia, sia namaus naꞌak, “Ama! Ema nia nakusuk ami bei-beik, atu nodi natene itakaan familin sia hotu-hotu! Nia nusu naꞌak, ‘Nunabee? Emikaan ama sei moris ka? Emi sei hoo alin mane ida tenik ka?’ Tan nia seten ami bei-beik, ami katak lo-loos ona! See mak natene naꞌak, nia atu naruka ami hodi ali baa nebaa?”
GEN.43.8+GEN.43.9	Yahuda moos dale tuꞌan naꞌak, “Ama! Mabusik oan nia baa no ami ona! Haꞌu karai aan, kalo saa ida kona nia, haꞌu mak seluk nia! Kalo haꞌu la kodi kikar nia sei moris mai baa ama, ama tau sala nia baa haꞌu dei, toꞌo haꞌu kmate! Dadi, ama mabusik oan nia ona, tan ami atu laꞌo ona! Diꞌak liu, ami baa lai-lais, nebee keta no ema ida mate salaen! 
GEN.43.10	Hanoin kokon! Kalo ami la hein toꞌo kleur nuneꞌe, ami nanis baa-mai isin rua tiꞌan!”
GEN.43.11	Hotu, Yakob katak naꞌak, “Kalo nunia, emi halo nuneꞌe dei! Baa hola rai neꞌe isin kabaas sia. Nuꞌu wani ween, ai babudun, ai morin ween, aitahan ween, kiar
GEN.43.12	Emi moos musti hodi kedan osan waꞌin liu osan uluk nia dala rua, tan emi musti foo fila osan mak emi hetan iha emikaan kakaluk laran hori hirak nia! Arumak, ema nia sia sura sala! 
GEN.43.13	Emi moos bele hodi emikaan alin baa, mais hodi hikar mai lai-lais! 
GEN.43.14	Haꞌu kaloon nebee Maromak mak Beran Kaliuk, nalo naꞌi Mesir liman kwana nia neon monu baa emi! Nebee nia bele foo fila Benyamin no Simeon baa emi, atu fila mai bele. Kalo haꞌukaan oan sia lakon, soꞌin baa. Haꞌu kterus susar nia!”
GEN.43.15	Rona tiꞌan Yakob dale nunia, oan sia moos nahulin buat nia sia no osan, atu nodi baa Mesir. Sia moos no Benyamin baa. Toꞌo Mesir tiꞌan, sia baa nasoru Yusuf. 
GEN.43.16	Naree Benyamin no maun sia mai, Yusuf naruka klosan serwisu ulun naꞌak, “Modi ema neꞌe sia baa haꞌukaan uma! Hoꞌo karau baka ida, teꞌin malo midar! Tan loro natetu neꞌe, sia atu naa bele no haꞌu!”
GEN.43.17	Rona Yusuf naruka nunia, klosan nia nalo tuir. Nia moos nalaꞌo nodi Yusuf maun sia baa Yusuf uman.
GEN.43.18	Iha dalan klaran, Yusuf maun sia nataꞌuk basuk. Sia dale baa malu naꞌak, “Hoi! Tan saa nia naruka nodi ita mai iha neꞌe? Arumak, nia atu nasusar ita, tan osan mak uluk sia natama nikar iha itakaan kakaluk laran nia. Keta-keta sia nodi fudi nalaꞌo ita mai iha neꞌe, nebee kohi ita, nalo baa ata. Hotu, sia nadau nola itakaan kuda keledai sia!”
GEN.43.19	Oras sia kreꞌis baa Yusuf uman, sia moos dale baa klosan nia naꞌak, 
GEN.43.20	“Ama! Ami bele husu lia ida ka? Uluk ami mai sosa haan iha neꞌe tiꞌan! 
GEN.43.21+GEN.43.22	Baa oras ami fila, ami hanawa iha dalan atu toba! Ami moos kore kakaluk sia atu hahaan kuda keledai. Teki-tekis, ami hetan hikar amikaan osan ida-idak, mak ami hodi sosa hare nia. Ami la hatene see mak natama nikar osan nia! Tan baa nia, oras neꞌe ami hodi hikar osan nia sia hotu-hotu tiꞌan! Dadi ama keta krakat ami! Ama moos bele natene, oras neꞌe ami hodi tenik osan seluk atu sosa haan foun!”
GEN.43.23	Rona nola nunia, klosan nia nataa naꞌak, “Emi no-nook dei! Lalika hataꞌuk! Arumak emikaan Maromak nia, mak natuun matak-malirin baa emi iha kakaluk laran nia sia! Baa loron nia, haꞌu mak simu emikaan osan hotu-hotu! Emi la hoo tusan!” Hotu, klosan nia moos nabusik Simeon sai mai nasoru sia.
GEN.43.24	Nunia hotu, sia tama baa Yusuf uman. Klosan nia nola wee, foo baa sia atu fasi ain. Nia moos nahaan siakaan kuda keledai. 
GEN.43.25	Hotu, nia katak baa sia naꞌak, “Oras ida, emi haa hamutuk ho ama ulun!” Sia sei noꞌi nein Yusuf mai, sia nadiꞌa kedan siakaan naha sera sia.
GEN.43.26	Yusuf toꞌo mai, sia moos nakniꞌa sudur iha Yusuf oin. Hotu, sia foti soruk naha sera sia, natetu baa Yusuf. 
GEN.43.27	Yusuf moos nusu baa sia naꞌak, “Nunabee? Emi hotu-hotu diꞌa-diꞌak dei ka? Nunabee baa emikaan ama katuas nia? Nia moos diꞌa-diꞌak dei ka?”
GEN.43.28	Sia moos nataa naꞌak, “Ama atan katuas, mak amikaan aman susu nia, sei noꞌi diꞌa-diꞌak, ama!” Sia moos sudur foo tenik kneter baa Yusuf.
GEN.43.29	Yusuf foti matan titu satan leur, toꞌo kona alin Benyamin. Nia dale naꞌak, “Neꞌe, mak emikaan alin ikun, mak emi dale tiꞌan baa haꞌu hori hirak nia ka?”
GEN.43.29	Hotu, Yusuf katak baa Benyamin naꞌak, “Oa! Haꞌu kaloon nebee Maromak natuun matak-malirin waꞌin baa o!”
GEN.43.30	Naree nola Benyamin, Yusuf laran hanesan atu nakduar sai ona, tan nia nadomi alin Benyamin liu resik. Tan la bele terus laran moras, Yusuf laꞌo nela sia lai-lais, tama baa keꞌan, hotu tanis. 
GEN.43.31	Tanis notu, nia naroꞌis. Neon noku tiꞌan, foin nia sai nikar baa nasoru sia. Hotu nia naruka klosan sia baa nadiꞌa haan.
GEN.43.32	Hotu, sia nadiꞌa salin Yusuf haan iha fatin ida. Maun-alin sia, salin iha fatin seluk. Yusuf niakaan maluk ema Mesir sia mak naa bele no nia, iha fatin ida duꞌuk. Sia nalo nunia, tan ema Mesir sia nakribi tuur naa namutuk no ema Ibrani.
GEN.43.33	Hotu, sia natuur Yusuf mane malun sia, seꞌi oin baa Yusuf. Natuur sia, ida-idak tuir otas, nahuu nosi maun ulun toꞌo alin ikun. Naree fatin tuur oin nunia, Yusuf maun sia moos blaar. 
GEN.43.34	Hotu, Yusuf naruka klosan sia foti haan nosi niakaan fatin haan duꞌuk, foo baa maun-alin sia. Mais nia naruka foo baa Benyamin, waꞌin liu dala lima. Hotu, sia moos naa-nemu toꞌo bosu basuk.
GEN.44.1	Sia naa hotu tiꞌan, Yusuf naruka klosan serwisu ulun naꞌak, “O baa matama hare baa siakaan kakaluk ida-idak, toꞌo nakonu. Hotu, matama mikar siakaan osan ida-idak baa kakaluk! 
GEN.44.2	Hotu tiꞌan, foti mola haꞌukaan hemun fatik murak, matama baa oa ikun kakaluk!” Rona nola nunia, klosan nia moos nalo tuir.
GEN.44.3	Seisawan oan, Yusuf maun sia tami atu fila. Sia laꞌo nodi kuda keledai mak tula haan. 
GEN.44.4	Sia sei la laꞌo dook nosi kota nia, Yusuf katak baa klosan ulun nia naꞌak, “O lai-lais baa tuir ema sia lai! Toma sia tiꞌan, maꞌak nuneꞌe: ‘Tan saa emi haseꞌi hahalok aat ho ama boot? Emi selu niakaan dadiꞌak, hodi hahalok aat nuneꞌe ka? 
GEN.44.5	Tan saa emi hanaꞌo hodi ama boot hemun fatik murak? Emi la hatene ka? Fatik murak nia, lahoos bodik hemun dei! Mais nodi buka moris loron ikus! Buat nia, buat lulik! Emikaan hahalok neꞌe, aat resik!’ ”
GEN.44.6	Rona nola nunia, klosan nia moos tuir sia toꞌo netan. Nia katak baa sia, tuir Yusuf harukan.
GEN.44.7	Mais sia sakar naꞌak “Ama naꞌak nunabee? Maromak naree ami! Ami la bele halo aat nunia! 
GEN.44.8	Ama duꞌuk matene! Osan iha kakaluk laran hori hirak nia sia, ami foo fila tiꞌan. Nunabee ami bele hanaꞌo hola ama ulun niakaan mean-mutin hosi uma laran! 
GEN.44.9	Ama, mai maree duꞌuk baa! Kalo hetan buat nia iha see niakaan kakaluk, taa ukun mate baa nia! Ami rumak sia moos dadi baa ata!”
GEN.44.10	Hotu klosan simu naꞌak, “Lale! Nuneꞌe dei! Hetan iha see, nia mak dadi baa haꞌukaan atan. Emi rumak sia bele fila!”
GEN.44.11	Hotu sia natuun lai-lais kakaluk nodi kore. 
GEN.44.12	Klosan naree sura kakaluk, nahuu nosi maun ulun niakaan, toꞌo alin ikun niakaan. Nia netan hemun fatik nia iha Benyamin kakaluk.
GEN.44.13	Naree nunia, Benyamin maun sia laran dodok tebes. Sia moos nasaꞌe nikar kakaluk baa kuda keledai, hotu fila baa kota.
GEN.44.14	Toꞌo Yusuf uman baa, Yusuf sei iha nia. Sia tama nodi nakniꞌa sudur baa nia. 
GEN.44.15	Yusuf nakanas naꞌak, “Tan saa emi halo nuneꞌe? Arumak emi la hatene, ema boot nuꞌu haꞌu neꞌe bele leno hodi buka ema lian kabun laran?”
GEN.44.16	Rona nola nunia, Yahuda nataa naꞌak, “Adeei! Maromak loke malorek amikaan salan sia tiꞌan! Ami atu haꞌak saa tenik, ama! Ami atu haloos aan nunabee tenik? Kalo ama neti natoos amikaan alin ikun neꞌe, diꞌak liu ama neti natoos ami hotu, dadi baa ata.”
GEN.44.17	Mais Yusuf nataa naꞌak, “Lale! Hetan iha see, nia mak dadi haꞌukaan atan! Emi seluk sia, bele fila baa emikaan aman!”
GEN.44.18	Rona Yusuf dale nunia, Yahuda nareꞌis aan baa Yusuf nodi naꞌak, “Ama boot. Haꞌu katene ama beran hanesan naꞌi boot. Dadi kakroꞌan ama keta kanarak haꞌu. Kalo bele, foo leet baa haꞌu atu katak lia ida baa ama! 
GEN.44.19	Hori hirak nia, ama boot nusu ami naꞌak, ‘Emikaan ama no emikaan alin sei iha ka?’
GEN.44.20	Hotu, ami hataa haꞌak, ‘Amikaan ama no amikaan ali ikun sei iha. Oras ali ikun nia moris, amikaan ama katuas tiꞌan. Ali ikun maun susu naꞌin ida, mais la iha tiꞌan. Siakaan inan mate tiꞌan. Oras neꞌe ali ikun mesan dei tiꞌan. Tan baa nia, amikaan ama dadobe nia tebes.’
GEN.44.21	Ami dale hotu baa ama boot nunia tiꞌan, ama naruka ami hodi alin ikun mai neꞌe, nebee ama boot bele naree nia. 
GEN.44.22	Ami hataa haꞌak, lawarik nia la bele laꞌo nela niakaan ama. Kalo laꞌo nela, nanis aman mate.
GEN.44.23	Hotu ama boot moos nataa ami naꞌak, ‘Kalo emi la hodi alin nia mai, emi keta mai ona.’
GEN.44.24	Rona nola ama boot lia nia, ami moos fila. Toꞌo baa, ami katak ama boot lia fuan sia hotu baa amikaan ama. 
GEN.44.25	La kleur, amikaan haan moos. Hotu amikaan ama naruka ami mai hikar Mesir, atu sosa tenik haan. 
GEN.44.26	Mais ami hataa haꞌak, ‘Ama! Ami la bele baa hikar! Naꞌin liman kwana nia naꞌak, kalo ami la hodi alin ikun baa, ami keta mai ona! Tan baa nia, ali ikun musti tuir, foin ami bele baa!’
GEN.44.27	Hotu, amikaan ama dale tenik naꞌak, ‘Emi hatene tiꞌan, haꞌukaan feen Rahel oan, naꞌin rua dei! 
GEN.44.28	Oan ulun la iha tiꞌan! Asu fuik folan nola nia tiꞌan, toꞌo la karee nia ona. 
GEN.44.29	Kalo emi hola tenik ali ikun hodi baa, hotu nia kona maufinu, emi hasusar haꞌu katuas neꞌe, toꞌo tama rate!’
GEN.44.30+GEN.44.31	Dadi nuneꞌe, ama boot! Kalo haꞌu kfila baa haꞌukaan ama, la kodi kikar ali ikun neꞌe, nanis ama mate. Tan amikaan aman kmalar nakriꞌit no lawarik neꞌe. Nia katuas basuk tiꞌan. Kalo ami tuꞌan tenik susar neꞌe, nanis nia mate! 
GEN.44.32	Haꞌu moos kamate lia ko haꞌukaan ama kaꞌak, haꞌu mak kataa bodik lawarik neꞌe. Haꞌu kamate lia tiꞌan kaꞌak, kalo haꞌu la kodi fila lawarik neꞌe baa, haꞌu katiu sala toꞌo mate.
GEN.44.33	Haꞌu kaloon baa ama boot nuneꞌe: Haꞌu mak kein iha neꞌe, seluk nia. Haꞌu mak dadi ama boot atan dei. Surak ama boot nabusik lawarik neꞌe fila no maun sia. 
GEN.44.34	Ama boot! Kalo lawarik neꞌe la tuir, haꞌu moos la fila. Tan haꞌu la kbele terus karee haꞌukaan ama susar toꞌo mate.”
GEN.45.1	Rona nola Yahuda dale nunia, Yusuf laran dodok basuk, toꞌo la bele naterus nola iha klosan sia oin ona. Tan baa nia, nia naruka klosan sia sai, nebee nia bele mesan no maun-alin sia. Hodi nunia, nia bele katak sain naꞌak nia neꞌe, see. 
GEN.45.2	Klosan sia sai hotu, Yusuf tanis nodi nakrake, toꞌo ema Mesir iha keꞌan molin no iha naꞌin uman moos bele rona.
GEN.45.3	Hotu, Yusuf katak sain lia baa maun-alin sia naꞌak, “Mane malun sia! Haꞌu neꞌe, Yusuf, emikaan maun no emikaan alin! Ama sei moris tebes ka?”
GEN.45.3	Mais Yusuf maun-alin sia la nataa saa ida, sia tan nataꞌuk basuk.
GEN.45.4	Hotu, Yusuf baku liman bolu sia naꞌak, “Kreꞌis mai lai!”
GEN.45.4	Sia moos nareꞌis aan baa nia. Hotu nia katak tenik naꞌak, “Haꞌu neꞌe, Yusuf, mak hori uluk nia, emi faꞌan lakon baa Mesir! 
GEN.45.5	Tebes, emi faꞌan lakon haꞌu tiꞌan! Mais keta hataꞌuk. Keta tula sala malu! Maromak duꞌuk mak nodi haꞌu kmai iha rai neꞌe! Nodi dalan oin nunia, Nia nodi haꞌu ksori ema lear nosi mate salaen!
GEN.45.6	Oras neꞌe, rai salaen foin tinan rua laran! Sei tinan lima tenik. Baa tinan lima nia laran, ema la fila rai, la furi, no la netan rai isin ida kois! 
GEN.45.7	Mais Maromak nodi haꞌu kmai uluk emi iha neꞌe, nebee emi ho emikaan bein oan sia bele hetan moris. Maromak Niakaan hahalok neꞌe, makaꞌas tebes!
GEN.45.8	Haꞌu kmai neꞌe, lahoos tan emikaan hahalok, mais tan Maromak Niakaan hahalok! Nia mak nalo haꞌu kdadi baa naꞌin liman kwana. Haꞌu moos dadi ulun iha naꞌin tofatik fohorai! La no ema seluk mak boot liu haꞌu iha rai Mesir neꞌe!
GEN.45.9	Oras neꞌe, emi lai-lais fila ona! Toꞌo uma, katak baa ama nuneꞌe: ‘Ama oan Yusuf sei moris. Nia dadi ema boot tiꞌan iha rai Mesir. Nia nusu ama baa lai-lais Mesir! 
GEN.45.10	Ama bele tuur iha rai Gosen, kreꞌis no Yusuf. Fatin nia, fatin diꞌak no luan. Iha fatin nia, ama bele nakiak bibi no karau. Yusuf moos nusu, nebee ama baa bele-bele no ama oan sia no bein oan sia. Naha uma laran no sasoin sia hotu-hotu, hodi bele, nebee tuur hafati iha nebaa. 
GEN.45.11	Kalo ama tuur iha rai Gosen, Yusuf bele naliku ama. Rai salaen sei tinan lima. Tan baa nia, Yusuf atu naliku ama no familin sia, no ama niakaan bibi no karau sia hotu-hotu, nebee keta susar sa-saa.’ ”
GEN.45.12	Katak hotu nunia, Yusuf natebes tenik naꞌak, “Oras neꞌe, emi naꞌin haree duꞌuk! O moos nunia, Benyamin! Haꞌu neꞌe, Yusuf! 
GEN.45.13	Fila baa, katak ama haꞌak haꞌukaan beran iha Mesir, boot lo-loos! Emi moos musti katak malorek nosi sa-saa hotu-hotu mak emi haree tiꞌan! Hotu, emi lai-lais hodi ama mai!”
GEN.45.14	Dale hotu tiꞌan, Yusuf nakoꞌak nola alin Benyamin. Sia rua moos tanis. 
GEN.45.15	Hotu Yusuf nakoꞌak maun sia ida-idak nodi deꞌi. Nunia hotu, foin maun-alin sia nahuu dale no nia.
GEN.45.16	Oras Naꞌi Mesir no niakaan ema sia rona naꞌak Yusuf maun-alin sia mai tiꞌan, sia hotu-hotu neon diꞌak. 
GEN.45.17	Naꞌin moos katak baa Yusuf naꞌak, “Yusuf! Katak baa okaan maun-alin sia, nebee tula hare baa kuda keledai nodi fila baa Kanaꞌan! 
GEN.45.18	Maruka sia baa nola okaan aman no okaan familin sia hotu-hotu, lori mai neꞌe! Haꞌu atu kfoo rai ida mak boran basuk iha Mesir neꞌe bodik sia. Sia bele moris nodi naa nosi rai nia isin. 
GEN.45.19	Maruka sia dada nodi kedan kareta hira sia nosi neꞌe, nebee bele tula lawarik kiꞌik oan sia no okaan aman. 
GEN.45.20	Sia keta hanoin sasoin oi-oik tenik. Tan sia atu netan sa-saa hotu mak diꞌak kaliuk iha rai Mesir neꞌe!”
GEN.45.21	Rona naꞌin lian nia, Yusuf moos foo kareta hira no bakae baa maun-alin sia, tuir naꞌin harukan. Maun-alin sia
GEN.45.22	Yusuf moos foo faru foun baa maun sia ida-idak tahan ida. Mais baa alin Benyamin, nia foo osan murak tomak atus tolu, no faru foun tahan lima. 
GEN.45.23	Nia moos solok baa aman, sa-saa mak kabaas liu iha Mesir. Sia tula naha sia baa kuda keledai aman matan sanulu. Nia foo tuꞌan hare, tubi, no haan oi-oik mak sia tula tenik baa kuda keledai inan matan sanulu, nebee nalo baa bakae, baa oras sia mai nikar Mesir. 
GEN.45.24	Nunia hotu, Yusuf nabusik sia fila nodi foo natene naꞌak, “Emi keta toe malu iha dalan!”
GEN.45.25	Hotu, Yusuf maun-alin sia fila baa siakaan aman iha rai Kanaꞌan. 
GEN.45.26	Toꞌo nebaa, sia katak baa aman naꞌak, “Ama! Ama oan Yusuf sei moris! Nia dadi ema boot tiꞌan mak kaer ukun iha rai Mesir!”
GEN.45.26	Rona nola nunia, Yakob nakaka loos, tan nia la fiar. 
GEN.45.27	Mais oras sia katak Yusuf mamenon, no oras Yakob naree kareta mak Yusuf solok mai atu hodi tula nia baa Mesir, foin nia fiar. 
GEN.45.28	Hotu Yakob moos dale naꞌak, “Adeei! Haꞌukaan oan Yusuf sei moris ka? Nunia, foin haꞌu neon diꞌak! Haꞌu kmusti baa karee nia lai, foin haꞌu kmate!”
GEN.46.1	Nunia hotu, Yakob
GEN.46.2	Baa kalan ida, Yakob meꞌi. Nia rona Maromak bolu nia naꞌak, “Yakob! Yakob! Madeer! Rona mai!”
GEN.46.2	Hotu, Yakob nataa naꞌak, “Haꞌu iha neꞌe, Ama.”
GEN.46.3	Hotu Maromak katak naꞌak, “Haꞌu neꞌe Maromak mak okaan ama tonu nanis baa hori uluk! Keta mataꞌuk baa Mesir! Tan Haꞌu atu kalo okaan husar-binan dadi klubun boot iha nebaa! 
GEN.46.4	Haꞌu klaꞌo ko o baa Mesir! Loron ikus, Haꞌu moos kodi kikar okaan husar-binan fila mai rai Kanaꞌan! Baa oras o mate, o oan Yusuf mak toma o nawan!”
GEN.46.5	Meꞌi notu tiꞌan, Yakob no oan sia
GEN.46.6+GEN.46.7	Sia nodi bein sasoin no bibi no karau hotu-hotu mak sia netan iha rai Kanaꞌan. Yakob baa Mesir nia, no oan feto, oan mane, no bein oan sia hotu-hotu.
GEN.46.8	Yakob funan klaut mak lori tuir baa Mesir, mak neꞌe:
GEN.46.8	Ruben, Yakob oan ulun. 
GEN.46.9	Ruben oan naꞌin haat mak: Henok, Palu, Hesron no Karmi.
GEN.46.10	Simeon, no oan naꞌin neen mak: Yemuel, Yamin, Ohad, Yakin no Sohar; no oan tenik mak Saul, nosi feen ema Kanaꞌan.
GEN.46.11	Lewi, no oan naꞌin tolu mak: Gerson, Kehat no Merari.
GEN.46.12	Tuir loos, Yahuda no oan naꞌin lima, mak: Er, Onan, Sela, Peres no Sera. Mais, Er no Onan mate tiꞌan iha Kanaꞌan. Yahuda nodi no Peres oan naꞌin rua mak: Hesron no Hamul.
GEN.46.13	Isaskar, no oan naꞌin haat mak: Tola, Pua, Ayub no Simron.
GEN.46.14	Sebulon, no oan naꞌin tolu mak: Sered, Elon no Yahleel.
GEN.46.15	Yakob no oan mane naꞌin neen nia, no tenik oan feto ida, naran Dina. Sia neꞌe, funan klaut nosi Yakob no feen Lea, baa oras sia tuur iha Mesopotamia. Yakob no Lea oa feto, oa mane no bei oan hotu-hotu, naꞌin tolu nulu resin tolu.
GEN.46.16	Yakob moos no oan nosi feen kiꞌik, naran Silpa. Oan ida naran Gad. Gad oan naꞌin hitu mak: Sifion, Hagi, Suni, Esbon, Eri, Arodi no Areli.
GEN.46.17	Oan ida tenik, naran Aser. Aser oan naꞌin lima mak: Yimna, Yiswa, Yiswi, Beria, no alin feto, naran Sera.
GEN.46.17	Beria moos no oan naꞌin rua mak: Heber no Malkiel.
GEN.46.18	Yakob no Silpa funan klaut hotu-hotu, naꞌin sanulu resin neen. Silpa neꞌe, ata feto mak uluk Laban foo baa niakaan oan feto Lea, mak Yakob feen kawaꞌik nia.
GEN.46.19	Yakob feen ida seluk, naran Rahel. Siakaan oan naꞌin rua mak: Yusuf no Benyamin. 
GEN.46.20	Oras nia, Yusuf nola feto Mesir ida tiꞌan, naran Asnat. Asnat aman, naran Potifera, mak naꞌilulik ulun iha kota On. Yusuf no Asnat oan naꞌin rua mak: Efraim no Manase.
GEN.46.21	Benyamin moos baa Mesir, nodi oan naꞌin sanulu mak: Bela, Beker, Asibel, Gera, Naaman, Ehi, Ros, Mupim, Hupim no Ared.
GEN.46.22	Yakob no Rahel funan klaut hotu-hotu, naꞌin sanulu resin haat.
GEN.46.23	Yakob feen kiꞌik ida tenik, naran Bilha. Siakaan oan naꞌin rua mak: Dan no Naftali.
GEN.46.23	Dan oan ida naran Husim.
GEN.46.24	Naftali oan naꞌin haat mak: Yasel, Guni, Yeser no Silem.
GEN.46.25	Yakob no Bilha funan klaut hotu-hotu, naꞌin hitu. Bilha neꞌe, ata feto mak uluk Rahel netan nosi niakaan ama Laban.
GEN.46.26	Yakob funan klaut hotu-hotu mak lori nosi Kanaꞌan baa Mesir, ema naꞌin neen nulu resin neen. 
GEN.46.27	Tuꞌan baa Yusuf oan naꞌin rua iha Mesir, Yakob funan klaut hotu-hotu mak tuur iha rai Mesir, naꞌin hitu nulu.
GEN.46.28	Oras Yakob sia nareꞌis aan baa rai Mesir, nia naruka oan Yahuda laꞌo uluk baa bolu Yusuf, nebee mai nasoru sia iha rai Gosen. Sia toꞌo rai Gosen, 
GEN.46.29	Yusuf moos saꞌe kareta atu baa nasoru aman iha nia. Baa oras sia rua aman oan nasoru malu tiꞌan, Yusuf nakoꞌak aman nodi tanis kleur basuk.
GEN.46.30	Hotu, Yakob dale no oan Yusuf naꞌak, “Adeei, oa! Oras neꞌe, haꞌu karee o tiꞌan kodi matan duꞌuk! Haꞌu katene tiꞌan, o sei moris! Masik oras neꞌe haꞌu kmate moos, diꞌak!”
GEN.46.31	Rona tiꞌan aman lian nunia, Yusuf katak baa maun-alin sia hotu-hotu naꞌak, “Haꞌu kmusti baa kasara baa ama naꞌi kaꞌak, haꞌukaan familin sia mai tiꞌan nosi rai Kanaꞌan. 
GEN.46.32	Haꞌu moos katak sain kaꞌak emi neꞌe, makbalin. Tan baa nia, emi mai neꞌe, emi hodi kedan bibi no karau no bein sasoin sia hosi rai Kanaꞌan. 
GEN.46.33	Kalo oras ida ama naꞌi bolu emi, hotu nusu emi naꞌak, emi serwisu saa, 
GEN.46.34	emi musti hasara baa nia haꞌak, emi makbalin hori sei kiꞌik toꞌo oras neꞌe, hanesan emikaan bei uluk sia. Hodi nunia, ama naꞌi atu naruka emi tuur iha rai Gosen.” Yusuf katak nunia, tan ema Mesir sia noran nakribi, kalo sia tuur namutuk fatin ida no ema makbalin.
