MAT.1.1	Bokanda bon’eotwelo ena Yesu Masiya, bon’ona Dawidi, bon’ona Abalayama.
LUK.18.11	Bofalusi aemala nko njemala, ko aonda, ate, Yakomba, lakokang’e lokango lacin’oka emi mpakoli l’ato’akina: bakumoli, banafana mbongi, bato bana likele, ko mpakoli l’osusanyi’one bona mpuci; 
LUK.18.12	lakila toma en’eyeng’emoko bekila befe; lalekya liondo limoko lina cu baondo jo bana toma tonatoat’emi tohatotu. 
LUK.18.13	Koko bosusanyi’ona mpuci aemala en’osana, atalanga mbenola nko le baiso ena loola, koko aofomela ntolo enande, ko aila, ate, Yakomba, onjokamel’emi, boto’on’owe, isei. 
LUK.18.14	Lakosumol’ino, onutwaki en’ol’onande la boyengo nk’oto’one, efa Bofalusi; lacina boto l’oto onoyiledy’endamene, angosonjama; ko boto l’oto onoyosonj’endamene, angiledyama.
LUK.18.15	Ko bato baoy’eneyal’ende la bikeke biniyo, lacina atadya bakasa eneyal’iyo; koko eneki bakili oenaka yoi liho, bamafela. 
LUK.18.16	Koko Yesu amaelela eneyal’ende, aila, ate, Bacike, bikeke bayake eneyal’emi, botafekyake; lacina bana lifoka lina Yakomba bayali yoka bosamb’onoyal’iyo. 
LUK.18.17	Solosolo, lakosumol’ino, boto l’oto onofatambe lifoka lina Yakomba yok’ekeke afayatua meho tu.
LUK.18.18	Koko boto’omoi ona lifoka amufola, ate, Bolaki’on’olotsi, nkambake yoi lika nai lacina nsangole liiko lonelofakale? 
LUK.18.19	Yesu amokutwela, ate, Ontang’emi bolotsi lacina nai? on’ise bolotsi nk’omoko kei, nko Yakomba. 
LUK.18.20	Omeya basangya: Tatatake likele, Tayakake boto, Tiyake, Tafotake boto likambo, Fika bafango’one la nyango ene. 
LUK.18.21	Aila, ate, Momonya baoyi’ane bahatu nko l’olenge’onami. 
LUK.18.22	Eneki Yesu ookaka baoyi’aho, aila, ate, Oinda nko yoi limoko: coak’oyotekya toma tonatoat’e tohatotu, ko kafela bato biinda, ko ongata lituka ena loola; ko yaka onkile. 
LUK.18.23	Koko eneki’nd’ookaka baoyi’aho, aoka lokeseli bike, lacin’oka ayaaki ntuki mene ena toma. 
LUK.18.24	Yesu amolenda, ko aila, ate, Etuelo ena batuki bana toma ena lifoka lina Yakomba eyali locili mene. 
LUK.18.25	La ngamela ntianya bokole bona ntonga, la ntuki ena toma ntuaka ena lifoka lina Yakomba, onoleki locili nk’etuelo ena ntuki. 
LUK.18.26	Ko iy’anokaka baila, iy’ate, Onosokoikyama oka nai? 
LUK.18.27	Koko ende ate, Baoyi banafakambisa bato, Yakomba akambisa baho. 
LUK.18.28	Ko Petelo aila, ate, Lenda, iso tumbelaki bel’eniso ko tokokilaki. 
LUK.18.29	Ko amasumola, ate, Solosolo, lakosumol’ino, efan’oto onumbelaki botumba, l’afango la nyango, l’atoolo l’akune, l’ooli, l’ana, lacin’ena lifoka lina Yakomba, 
LUK.18.30	onofatambaki bike bona ndeka mene en’esik’ene, ko en’esike enengoya angotamba liiko lonelofakale.
LUK.18.31	Koko aotamba ba-jo l’afe eneyal’ende, ko amasumola, ate, Lenda, tocoa ena Yelusalema, ko baoyi bahatu banatengamaki l’asumoli lacin’ena Bon’on’oto bangilama. 
LUK.18.32	Lacin’oka angolekyama eneyali Befenda, ko iyo bangonyeela, ko bangiila bowe, ko bangutel’endensoi; 
LUK.18.33	ko bangofoma mpomi, ko bangoyaka; ko en’ina bon’esaso angetwa lakina en’ewedi. 
LUK.18.34	Ko iyo batanonganya ncina en’aoyi’ane tu, ko etendelo ene eofisama eneyal’iyo, batafokola ncina en’aoyi banaki’nd’otendaka.
LUK.18.35	Koko eneki’nd’oolamaka la Yeliko, boto’omoi onodyak’aiso aokisase en’okenge bona mboka, ayalombe toma. 
LUK.18.36	Ende aoka bik’ike bon’ato bayete, ko aufola ncina. 
LUK.18.37	Ko bamosumol’oka Yesu ona Nazaleta ayete. 
LUK.18.38	Ko aololua, ate, Yesu, Bon’ona Dawidi, onjokamel’isei. 
LUK.18.39	Ko iy’anetaki en’oso bamofela, acike lofoso; koko ende aokusa yelela mbelela mene, ate, Bon’ona Dawidi, onjokamel’isei. 
LUK.18.40	Ko Yesu aemala, amatoma bayi l’ende eneyal’ende; ko eneki’nd’oolamaka, amufola, ate, 
LUK.18.41	Ekambwa enalang’e nkilel’e eka nai? Ate, Nkolo, lalanga njene lakina. 
LUK.18.42	Ko Yesu amosumola, ate, Enaka! imeedyo ine imokiikya. 
LUK.18.43	Ko isasanga aena, amokila, ko aokumya Yakomba. Ko eneki bato bahatu oenaka yoi liho, baokumya nko Yakomba.
LUK.19.1	Koko Yesu aotua ena Yeliko, ko aofolanya. 
LUK.19.2	Ko lenda, boto’omoi ayaaki meho, lina linande Zakayo, onoyaaki chef ena basusanyi bana mpuci, ko ayaaki ntuki mene ena toma. 
LUK.19.3	Ende aofona lacina aene bokotua bona Yesu; ko atinya, lacin’en’ekami en’ato, lacin’oka ende ayaaki buhe. 
LUK.19.4	Ko aocoa en’oso la laango, ko ailela en’ote bona sukamino oyeena, lacina Yesu asokoeta ena mbok’eho. 
LUK.19.5	Eneki Yesu oyelaka en’edye eho, aenol’aiso ena liko, ameena, ko amosumola, ate, Zakayo, kita yaya, lacin’emi nongoyala en’otumb’one bon’in’one. 
LUK.19.6	Ko ende aokita la mbango, ko amosangela l’enyanga. 
LUK.19.7	Ko eneki bato oenaka yoi liho, iyatu baoninganinga, Mbo amocoa okisase l’oto’on’owe. 
LUK.19.8	Koko Zakayo aemala, ko aolokwela Nkolo, ate, Lenda, Nkolo, lokafela bato biinda etenyi ena toma tonami, ko yombo nkumolaki boto iyema l’esefo, lomuutodya toma tonei tonei. 
LUK.19.9	Ko Yesu amosumola, ate, Bon’in’one liiko lomoya en’otumb’one; lacin’ende nkoho ande bon’ona Abalayama. 
LUK.19.10	Lacin’oka Bon’on’oto ayaki lacina afone ko aikya banungaki. 
LUK.19.11	Enem’iy’oka baoyi’ane, ait’otenda lakina l’eko lanya, lacin’oka aolamaki la Yelusalema, ko iyo bakanelaki’oka lifoka lina Yakomba lingenya nk’isasanga. 
LUK.19.12	Lacin’eho, ate, Lifoka limoi aocoa bokita en’onyanga bon’osana lacina atambe lifoka linande ko aute. 
LUK.19.13	Ko aelela baombo’anande jo, ko amacikela mmina jo, ate, Bokitanyaka nkita l’osolo’one yengoko enengi’m’oya. 
LUK.19.14	Koko bato’anande bamook’owe, ko bamotomela bikima, iy’ate, Tofalange boto’one ayalame lifoka liniso lina roi. 
LUK.19.15	Ko eneki’nd’otambaka lifoka, ko auta, aotoma bonyua lacina baelele baombo’aho banaki’nd’ocikelaka bosolo eneyal’ende, lacina aeye nkita enek’iy’okitanyaka. 
LUK.19.16	On’oso aoya en’oso’onande, aila, ate, Nkolo, lomina lone lomolata ikina mmina jo. 
LUK.19.17	Amosumola, ate, Oho nk’olotsi, e boombo’on’olotsi; lacin’enek’okambaka bolotsi ena yoi lin’isisali mene, ongotamba lifoka lina benyanga jo. 
LUK.19.18	Ko boombo’on’afe aoya, ate, Nkolo, lomina lone lomolata nko minina itano. 
LUK.19.19	Ko amosumola, ate, E nkoho, ongata lifoka lina benyang’etano. 
LUK.19.20	Koko okina aoya, ate, Nkolo, ndaka lomina lone loneloki’m’omonyaka en’itambala; 
LUK.19.21	lacin’oka lokoangak’e, lacina onde boto’ona bongeno; oambola enetaamby’e, ko onuka enetafus’e. 
LUK.19.22	Koko amosumola, ate, E boombo’on’owe! nongokotendel’e likambo nko l’onyua’oneamene. Oeyaki’oka nde nde boto’ona bongeno, lambola enetaamby’emi, ko lanuka enetafus’emi; 
LUK.19.23	iya, otila bosolo’onam ena banque lacina nai, lacina en’eyelo enami ntambe boho ko la nkita ena banque? 
LUK.19.24	Ko aosumol’iy’anemali meho, ate, Bokumole lomina loho, ko bofak’ende onoyali la mmina jo. 
LUK.19.25	Iy’ate, Nkolo, ayali la mmina jo. 
LUK.19.26	Emi lakosumol’ino, bamoi bangofama boto l’oto onata; koko bangokumol’ende onofaate nko boho bonosokoat’ende. 
LUK.19.27	Ohonde baokyi’owe’anami banafalange’oka njalame lifoka liniyo lina roi, boyaka l’iyo mendo, ko bayake nko tu en’oso’onami.
LUK.19.28	Ko eneki’nd’otendaka yok’osamb’oho, aeta en’oso, aocoa nk’ena Yelusalema.
LUK.19.29	Ko eneki’nd’oolamaka la Betefange la Betania, ena lingonji lina Bilaya, aotoma bakili anande bafe, 
LUK.19.30	ate, Bocoaka en’onyanga en’ili’onyi; ko eneng’in’o tua meho, bongosungya bon’ona mpunda, etungi, enetatalame boto; botungole, ko boyaka l’eho. 
LUK.19.31	Ko yomb’oto akufola, ate, Botungola mpunda lacina nai? bongokutwela, Mbo Nkolo alanga mpund’ene. 
LUK.19.32	Ko iyo banatomamaki baocoa, ko baosungya yok’onoki’nd’asumolaka. 
LUK.19.33	Ko enem’iy’otungola bon’ona mpunda, bamene mpunda bamaufola, Mbo ino botungola bon’ona mpunda lacina nai? 
LUK.19.34	Iy’ate, Nkolo alanga mpunda ene. 
LUK.19.35	Ko baoya l’eho eneyali Yesu; ko baotadya bisenda biniyo en’okunju bona mpunda, ko baotadya Yesu ena mpunda. 
LUK.19.36	Ko enem’end’ocoa, baotanda bisenda biniyo ena mboka. 
LUK.19.37	Ko eneki’nd’oolamaka l’ekitelo ena lingonji lina Bilaya, bondongo bohotu bon’akili baomatsa linyangela, ko baokumya Yakomba la lofoso lona lokolo lacin’ena bikambwa bihitu bina locili binik’iy’oenaka, 
LUK.19.38	iy’ate, Lifoka onoyayi ena lina lina Yawe aosakelama bosako: mwi ena loola, ko la lokumo ena liko linalileki. 
LUK.19.39	Ko Bafalusi bamoi ban’ato’aho bik’ike baila, iy’ate, Bolaki, fela bakili’ane. 
LUK.19.40	Ende aokutola, ate, Lakosumol’ino, nko bane bayale mwi, le baufe mene bangololua.
LUK.19.41	Enem’end’oolama, aena bonyanga, ko aolela la mposoli lacin’ena boho, 
LUK.19.42	ate, Yombo oeyaki en’in’one bone baoyi banasokokoatela mwi! koko isanga bamofisama en’aiso’ane. 
LUK.19.43	Lacina bina bengokofoela benengi baokyi’owe’ane okosambanya sole la bokako, ko bangokolingamela, ko bangokokombedya bekako en’ili behetu; 
LUK.19.44	ko bangokolady’e ena loko, l’e l’an’ane banayali ena ntoto ene, ko bafakocikelaki lufe limoi litali ena liko lina lufe likina; lacin’oka otanonganya esike en’esiswelo ene.
LUK.19.45	Ko aotua en’otumba bona Yakomba, ko aomatsa lifody’iy’anasombyaki baongwa meho, 
LUK.19.46	ate, Yoi limotengama, Botumb’onami bongoyala botumba bon’oondo: ino bomil’oho esusanelo ena baiya.
LUK.19.47	Ko aolak’ato bina l’ina en’otumba bona Yakomba. Koko nkanga ina toome l’atengi ban’ekanda la bingambe bin’ato baofon’etelo lacina baoyake; 
LUK.19.48	koko batasungy’etelo; lacin’oka bato bahatu baambana l’ende nko mbambana lacina balofamele baoyi’anande.
LUK.20.1	Koko en’in’omoi, enem’end’olak’ato en’otumba bona Yakomba, ko amasumola bosimo bon’olotsi, nkanga ina toome l’atengi ban’ekanda baoy’eneyal’ende, iyo la bingambe bin’ato, 
LUK.20.2	ko bamufola, iy’ate, Otosumole, oila baoyi’ane la lifoka lika nai? Ko onokofaki lifoka line oka nai? 
LUK.20.3	Ko amakutwela, ate, Emi nkoho nongokufol’ino yoi, ko bonsumole: 
LUK.20.4	inelo ena Yoane, eyaaki yoi lin’ato, yombo yoi lina loola? 
LUK.20.5	Ko baosumolana, Mbo yombo tila, Ekambwa ena loola, ende angotila, ate, Ino botiimedya lacina nai? 
LUK.20.6	Koko lakina, yombo tila, Ekambwa en’ato vo…; bato bahatu bangotofusela baufe; lacin’iyo baimedy’oka Yoane ayaaki bosumoli. 
LUK.20.7	Ko baokutol’oka bafanonganya eneki inelo enande oyaka. 
LUK.20.8	Ko Yesu amasumola, ate, Ko l’emi nkoho mpakosumol’ino lifoka linakamb’emi baoyi’ane.
LUK.20.9	Ko aomatsa lisumol’ato ekolanya ene: ate, Boto’omoi afusaki lisala lina bekoli bena vina, ko aosombya liho eneyali batombanyi, ko aocoa okinda elela en’onyang’omoi. 
LUK.20.10	Ko en’esike en’enukelo aotomela batombanyi boombo lacina baofe bemamo bena lisala; koko batombanyi bamofoma la mpomi, ko bamutodya bototoloto. 
LUK.20.11	Ko lakina ait’otoma boombo’omoi; ko iyo bamofoma nk’osamb’oho, ko bamiilela bokotua bona nsoi mene, ko bamutodya bototoloto. 
LUK.20.12	Ko lakina aotoma boombo bon’asaso; koko baok’ende mpota, ko bamiitanya. 
LUK.20.13	Mene lisala aila, ate, Njila v’oya? nongotoma bon’onami ona nganji; yombo enen’iyo ende bangofika. 
LUK.20.14	Koko eneki batombanyi oenak’ende, baotendana, iy’ate, One nko bosangoli; mbo toyake, lacina lisango liyalame nko liniso. 
LUK.20.15	Ko bamofodya ena lisala lina bekoli bena vina, ko bamoyaka tutu. Mene lisala lina bekoli bena vina angailel’iyo bokotua’oya? 
LUK.20.16	Angoya, ko angoyaka batombanyi’aho, ko angosombya bakin’ato lisala liho lina bekoli bena vina. Ko enek’iy’ookaka yoi liho, baila, iy’ate, Yoi liho litilamake! 
LUK.20.17	Koko amalenda ta, ko aila, ate, Iya, yoi line linalitengi liyali’oya,
LUK.20.17	Lufe linaliki bafaki ofengolaka,
LUK.20.17	Liho limoyalama lin’oso lina likoka?
LUK.20.18	Boto l’oto onokwela lufe liho angomunya; ohonde boto onongi lufe liho okwela, lingominyaminy’ende yoka lofucifuci.
LUK.20.19	Ko nkanga ina toome la batengi ban’ekanda baofon’etelo oyund’ende ena heure eho; koko baang’ato; lacin’iyo baofokol’oka atendaki ekolanya ene lacin’eniyo. 
LUK.20.20	Ko bamotakamela, ko baotoma baongi banafot’oka bayali bato bana mbongi, lacina baong’ende longo en’etendelo enande, lacin’eho baate etelo oyoleky’ende eneyali lifoka nko gouverneur. 
LUK.20.21	Ko bamufola, iy’ate, Bolaki, iso tomey’oka e otenda ko olaka nko cilili, ofatambe boto la likai, ohonde olaka mboka ena Yakomba nko la solosolo; 
LUK.20.22	noka, enafut’iso Kaisala mpuci, yoi liho likoli yombo lifakoli? 
LUK.20.23	Koko ende aofokola longo loniyo, ko amakutwela, ate, 
LUK.20.24	Bontume franc. Ene nk’efoya l’etengelo ena nai? Iy’ate, Ena Kaisala. 
LUK.20.25	Ko amasumola, ate, Bofaka Kaisala toma tona Kaisala, ko bofaka Yakomba toma tona Yakomba. 
LUK.20.26	Ko batasungya yoi en’etendelo eho linaling’iy’ounda en’oso bon’ato; ko baofefa l’okotua bonoki’nd’okutolaka, ko baoyala nko mwi.
LUK.20.27	Ko Basadoke bamoi, nk’iy’anil’oka efana eetwelo en’ewedi, baoya eneyal’ende; ko bamufola, 
LUK.20.28	iy’ate, Bolaki, Mose atotengelaki’ale, ate yombo botoolo’on’oto ayali l’ooli, ko aowa, ko atacik’ona, bakune’onande atambake booli’oho, lacina aotele botoolo’onande bana. 
LUK.20.29	Mpame nsambo iyaaki, nko botoolo l’akune; on’oso aotamba booli, ko aowa kum’ataote’ona; 
LUK.20.30	on’afe nk’osamb’oho; 
LUK.20.31	ko on’asaso aotamb’oyoto’oko, ko l’iyatu nsambo yok’osamb’oho, ko baowa kuma bataote’ona. 
LUK.20.32	Ko ena mbus mene boyoto aowa nkoho. 
LUK.20.33	Iya, en’eetwelo en’ato en’ewedi, angoyala booli’ona nai? lacin’oka iyo nsambo baotambaki yoka booli. 
LUK.20.34	Yesu amakutwela, ate, Ban’ana loko lone batamb’aali, ko balekya bana ena liala; 
LUK.20.35	ohonde iy’anatangama yoka bakoli lacina bayele ena liiko loho lon’esik’eho, ko l’en’eetwelo en’ewedi, bafatambe’aali, ko bafatome bana ena liala. 
LUK.20.36	Iyo bafawaki lakina: bakoli la bikima bina loola nko kocu; ko bayali ban’ana Yakomba, lacin’oka bayali ban’ana eetwelo en’ewedi. 
LUK.20.37	Koko ena likambo lin’eetwelo ena banawaki, Mose mene, ena bosimo bon’itete, amotum’oka baetwa, eneki’nd’otangaka Yawe, Yakomba ena Abalayama, ko la Yakomba ena Isaka, ko la Yakomba ena Yakobo. 
LUK.20.38	Ende afayali Yakomba ena bawei: ayali nko Yakomba ena banayaike; lacin’oka eneyal’ende bahatu bayali yoka bayaike. 
LUK.20.39	Ko batengi’amoi ban’ekanda baamba, iy’ate, Bolaki, omotenda nk’olotsi. 
LUK.20.40	Ko batit’oyufol’ende bufo bomoi, lacin’oka baanga.
LUK.20.41	Koko amaufola, ate, Bato bail’oka Masiya ayali bon’ona Dawidi bosamb’oya? 
LUK.20.42	lacina Dawidi’mene ailaki en’okanda bona Njembo, ate,
LUK.20.42	Yawe aosumola Nkolo enami, Kisase en’ili bona likasa linami y’ome,
LUK.20.43	Yengoko enengi’m’oila baokyi’owe’ane limbolongo en’ase ban’akak’ane.
LUK.20.44	Yok’oho Dawidi mene amotanga Nkolo: iya, ayali bon’onande bosamb’oya?
LUK.20.45	Ko eneki bato bahatu olofaka baoyi’ane, aosumola bakili’anande, ate, 
LUK.20.46	Boongya lilota bokotua bon’atengi ban’ekanda; iyo balanga lacina baete l’isenda bin’itale, ko balanga beeso en’ekala bena limbongo, ko la nkici inay’oso ena basunagoga, ko la bisanga bin’oso ena bilambedya; 
LUK.20.47	bakumola bayato bana beweli betumb’eniyo, ko baonda beondo ben’etale nko l’okotua bon’osimo. Ekwelo eneng’iy’okwa linga likambo engoleka nko ndeka.
LUK.21.1	Ko Yesu aenol’aiso, ko aena bato, nko batuki bana toma, bayafuse nganji iniyo en’emonyedyo ena nganji. 
LUK.21.2	Ko aena boyoto ona boweli nkoho, ona biinda mene, onila tokakota tofe meho. 
LUK.21.3	Ko aila, ate, Solosolo, lakosumol’ino, boweli’one ona biinda amolisa nganji eneleki nganji in’iyatu; 
LUK.21.4	lacin’oka bane bahatu bamolekya nganji nk’ena lituka liniyo bike; ohonde boyoto’one nk’ena biinda bonande, amolisa lituka linande lihalitu.
LUK.21.5	Ko eneki bato’amoi otendaka lacin’ena botumba bona Yakomba, bokotua bonoki boho okombyamaka la bokombe bona baufe banaseki’okoka ko la nganji in’oeka, ende aila, ate, 
LUK.21.6	Noka, bikambwa bine binalend’ino, bina bengoya benefacikalaki lufe limoi ntalama ena liko lina lufe likina linalifafusamaki en’ase. 
LUK.21.7	Ko iyo bamufola, iy’ate, Bolaki, baoyi’ako bangilama en’esik’eya? ko ndembi lacina baoyi’ane baolama yenya eka nai? 
LUK.21.8	Ko ate, Bolendaka, botokungyama; lacina bato bike bangoya ena lina linami, ko bangila, Mbo emi nk’ende; ko, Esike emololama. Botakilake bato’aho. 
LUK.21.9	Ko eneng’in’ooka besimo ben’ita ko l’itomoko bin’okolo, botokake losomo: ekoli lacina baoyi’ane bailam’oso, koko esimbelo etay’isanga.
LUK.21.10	Ko amalokwela, ate, Bonyanga bongokana l’onyanga, ko lifoka la lifoka; 
LUK.21.11	bililelo bina loko bingata, ko njoci ina njala l’ina nkangi ingoya en’ekala bemoi; bikambwa bina losomo la ndembi iney’okolo ingenya ena loola. 
LUK.21.12	Ohonde en’oso bon’aoyi’ane bahatu, bangokound’ino, ko bangokonyom’ino, ko bangokoleky’ino eneyali besolongano bena basunagoga ko l’en’etumba ben’enyolo, ko bangokotol’ino en’oso bona bafoka bana rois ko la gouverneurs lacin’ena lina linami. 
LUK.21.13	Baoyi’ane bangoyala eneyal’ino yoka ndembi. 
LUK.21.14	Lacin’eho, bokitsa betem’enino en’ase, lacina bofakandakanda en’oso bokotua bonong’in’okutola; 
LUK.21.15	emamene nongokof’ino bonyua ko la bomwu, ko baokyi’owe’anino bahatu bafinyaki likutola ko bafinyaki yatsa boho ntango. 
LUK.21.16	Ohonde bafango la banyango’anino, l’iy’anotwa l’ino, la bemboi, la bifili, bangokoleky’ino, ko bangoyaka bamoi’anino tu. 
LUK.21.17	Ko ino bongokama bowe l’ato bahatu lacin’ena lina linami. 
LUK.21.18	Ko bese bomoko bona lifo lin’ete’enino bofehyamaki tu. 
LUK.21.19	Bongata belimo’enino la mbitedya enino.
LUK.21.20	Koko eneng’in’oena Yelusalema nko nsambana la beloi bena soldats, nkwaho bongey’oka eehedyo enande emololama. 
LUK.21.21	Nkwaho iy’anayali ena Yudea balotake en’angonji; ko banayali ena ntundulu enande baume meho; ko iyo banayali en’enyanga batatuake meho. 
LUK.21.22	Lacin’oka bin’ene beyali nko bina bena mbutodya ena nkele, lacin’eho baoyi bahatu banatengama bailame. 
LUK.21.23	Bino eneyal’iy’anayali la baemi, ko l’eneyali beale en’in’eho; lacin’oka bino mene bin’okolo bingenya ena loko, ko nkele eneyali bato’ane. 
LUK.21.24	Ko iyo bangokwa nko la lokula lon’ita, ko bangotolama basungu en’enyanga behetu; ko Befanda bangikamela Yelusalema, yengoko kuma bisike bina Befenda biokoka. 
LUK.21.25	Ko ndembi ingenya ina bina, l’ena ngondo, l’ena tooto; ko ena loko baoyi bana bino en’enyanga behetu; bato bangotatana lacin’en elilelo en’asi la bafukumo bana lose l’okwa. 
LUK.21.26	Bato bangotenya la losomo, ko la mbanga enalengedy’iyo baoyi’ane banayayi ena loko; lacina bikambwa bina loola bina locili bingolidyama. 
LUK.21.27	Nkwaho bangena Bon’on’oto aoya ena lilo la mpamba la bokoka mene. 
LUK.21.28	Koko enengi baoyi’ane omatsa yilama, bolenda ena liko, ko benol’ete’enino; lacina eikwelo enino eolama.
LUK.21.29	Ko amasumola ekolanya, ate, Bolenda, bote bona liteli, la bete behetu: 
LUK.21.30	enamela beho tokasekase, inoamene bena, ko bey’oka esike ena biane emololama. 
LUK.21.31	Nk’osamb’oho, enen’ino baoyi’ane bayilame, bey’oka lifoka lina Yakomba yoolama. 
LUK.21.32	Solosolo, lakosumol’ino, eotwelo ene efumaki yengoko kuma baoyi bahatu bailama. 
LUK.21.33	Loola la loko banguma; koko bioyi’anami bafumaki tu.
LUK.21.34	Boyolendak’inoamene, lacina betem’enino betoyehyama lacin’ena liota lina toma linalileki bike, la ndangwa l’aana, ko la bekaokando bena loko lone, ko bin’oho botokosaimodya; 
LUK.21.35	lacin’oka bin’oho bongokwela bato bahatu banatonga ena loko lohalotu, nko yok’efunwelo ena biinga. 
LUK.21.36	Koko botombanyaka ena bisike bihitu, ko boondaka beondo, lacin’eho bokolane l’elotelo en’aoyi’ane bahatu banangilama linga, ko boate emaelo en’oso bona Bon’on’oto.
LUK.21.37	Ko bina l’ina aolak’ato en’otumba bona Yakomba l’ane; koko boco l’oco aofola, ko aocoa oyetama ena lingonji linalitangama Bilaya. 
LUK.21.38	Ko bato bahatu baoya eneyal’ende l’okulu mene en’otumba bona Yakomba lacina balofe baoyi’anande.
LUK.22.1	Koko elambedya ena mampa enefana nyango, enetangama elambedya en’Etelo, eolamaki. 
LUK.22.2	Ko nkanga ina toome l’atengi ban’ekanda baofon’etelo lacina baoyake; lacin’oka baangaki bato.
LUK.22.3	Koko Satana aotua eneyali Yudasa (onotangama ona Keliota), onoyaaki en’oloi bona jo l’afe. 
LUK.22.4	Ko aocoa oyesola la nkanga ina toome ko la capitaines ina soldats, bokotua bonongi’nd’olekya Yesu eneyal’iyo. 
LUK.22.5	Iyo baonyangela, ko bamoteela lisangya oka bangofuta francs. 
LUK.22.6	Ko aimedya; ko aofon’etelo oleky’ende eneyal’iyo en’esike enefan’ato meho.
LUK.22.7	Ko bina bona mampa enefana nyango boya, nko bina bonayak’iyo mpate en’elambedya en’Etelo. 
LUK.22.8	Ko Yesu aotoma Petelo la Yoane, ate, Bocoaka, botokoedya elambedya en’Etelo, tole. 
LUK.22.9	Ko bamufola, iy’ate, Olanga tokodya meya? 
LUK.22.10	Amasumola, ate, Lenda, eneng’in’otua en’onyanga, bongukana l’oto onoyatole ekucu en’asi; bokile en’otumba bonongi’nd’otua. 
LUK.22.11	Ko bosumola mene’otumba, Mbo Bolaki ate, Etenyi en’efenda eneng’emi l’akili’anami ola elambedya en’Etelo eyali meya? 
LUK.22.12	Ko ende angokotum’ino etenyi emoi ena nkolo ena liko, emosila litandama; bokodya elambedya nko meho. 
LUK.22.13	Ko iyo baocoa, ko baosungya nk’eyok’onoki’nd’oasumolaka; ko baokodya elambedya en’Etelo. 
LUK.22.14	Ko eneki esike oyelaka, aokisase ena mesa, ende l’akili jo l’afe. 
LUK.22.15	Ko amalokwela, ate, Emi ndangaki la mposa mene lacina nde elambedya ene en’Etelo, emi l’ino, kuma ntene bino binami; 
LUK.22.16	lacin’oka lakosumol’ino, Mpit’ola eho lakina, yengoko kum’eho eakolana ena lifoka lina Yakomba. 
LUK.22.17	Ko aotamba ekala, aokanga Yakomba lokango, ko amasumola, ate, Botamba ekal’ene, ko bokafa eneyal’inoamene; 
LUK.22.18	lacin’oka emi lakosumol’ino, Mpit’omela lakina basi ban’emamo ben’ekoli bena vina, yengoko kuma lifoka lina Yakomba yoya. 
LUK.22.19	Ko aotamba mampa, ko aokanga Yakomba lokango, aokes’eho, ko amafa, ate, Ene nko yonge linami lineyofama lacin’enino: bilaka yoi line ena liofwa linami. 
LUK.22.20	Nk’osamb’oho, ena mbusa ena toma ndaka, aotamb’ekala, ate, Ekal’ene nko lisangya lina litoto lin’akil’anami, banutelama lacin’enino. 
LUK.22.21	Koko lenda, likasa linande ononjangela liyali l’emi ena mesa. 
LUK.22.22	Koko Bon’on’oto ayacu, solosolo, yok’onoki yoi oangamaka eango; ohonde bino eneyali boto’oho onomoangela. 
LUK.22.23	Ko baomatsa yufolana boto’oniyo onosokoila yoi line.
LUK.22.24	Ko baatana ntango lacin’ena boto’oniyo onongotangama yok’iyome. 
LUK.22.25	Ko amasumola, ate, Bafoka bana Befenda batumanya bato’aniyo; ko bato’aniyo banayali ena lifoka baotangama Bamene’isei. 
LUK.22.26	Ohonde ino bofayali yok’oho: ende onoyali yok’iyome eneyali ino ayalamake yok’akune; ko onoyali en’oso, ayalamake yoka bosali. 
LUK.22.27	Onoleki oka nai, yomb’ende onokisase ena mesa ena toma, yomb’ende onosala mesa? Ef’ende onokisase ena mesa? Ohonde emi njali ena ntoto enino yoka bosali. 
LUK.22.28	Koko ino boyali nk’anayaaki l’emi ena mmeko inami; 
LUK.22.29	ko lakof’ino lifoka, nk’eyok’onoki Bafango’onami ompak’emi lifoka, 
LUK.22.30	lacin’eho bole ko bomele ena mesa enami ena lifoka linami; ko bongokisase ena toeko tona bafoka, ko bongotend’akambo bana beloi bena Yisalaele jo l’efe. 
LUK.22.31	Koko ate, Simona, Simona, Satana alombaki etelo nko ndomba mene lacina akoate, akofifedya yoka bopunga; 
LUK.22.32	koko nkoondelaki, otongoyind’imeedyo; ko e, eneng’ohelengwa lakina, kikya bifili bine. 
LUK.22.33	Ate, Nkolo, nkoli lacina ncu emi l’e l’en’otumba bon’enyolo l’en’ewedi mene. 
LUK.22.34	Amosumola, ate, Petelo, lakosumol’e, nkoko ena mpame efekaki bon’in’one, yengoko kum’e oangan’oka onjey’emi beangana besaso.
LUK.22.35	Ko amaufola, ate, Eneki’m’okotomak’ino, efana bofalusi, efana ntombe ena francs, efana tombwaku, ino bindaki nde iyema imoko? Iy’ate, Efan’iyema. 
LUK.22.36	Nkwaho amasumola, ate, Nd’esik’ene, ende onoyali la ntombe ena francs aambol’eho, ko la bofalusi nk’osamb’oho; ko onofana lokula lon’ita, atekyake esenda enande, ko asombe lokula. 
LUK.22.37	Lacin’emi lakosumol’ino, yoi line linalitengi lingilama eneyal’emi, noka, Ende aalamaki l’ato banafunzafunza beeka; lacina baoyi’ane banatengamaki lacin’enami bayali l’esimbelo nk’isanga. 
LUK.22.38	Iy’ate, Nkolo, ndaka nkula in’ita ife. Ate, Ikoli.
