MAT.1.1	Ọnwan wụ ẹkụkwọ banyeni Jizọsị wụ Kraịstị hụn wụ nwa Defidi, nwa Ebraham.
MRK.11.6	Wẹ nọhụ ku ihiẹn Jesu sị wẹ ku; wẹ nọ nị wẹ weri ẹ. 
MRK.11.7	E wẹhẹni wẹ Jesu nwa-jaki hụ, ya wẹ nọ gbama ẹwuru wẹ ye elu ẹ, Jesu nọ nọdị alị elu ẹ. 
MRK.11.8	Ndị bu ọda nọ gbama ẹwuru w'e yiye elu ẹ ye ụzọ, ndị ọzọ nọ gha ọfịa tigirisọnmẹ agalaba osisi, gbama wẹ ye ụzọ. 
MRK.11.9	Ndị rị ihun lẹ ndị rị e sọnn'ẹ hụ e yi,
MRK.11.9	“Hozana!
MRK.11.9	Ngọzi ya rịnị
MRK.11.9	Onyẹ hụn gi ẹfan Di-nwọnni-ẹnyi lala!
MRK.11.10	Chuku ya gọzi Alị-eze hụ lalanị —
MRK.11.10	Alị-eze nẹdi ẹnyi Defidi.
MRK.11.10	Ọjịja-mma ya rịnị Osolobuẹ
MRK.11.10	ebahụn kachanrịn elu e jẹn!”
MRK.11.11	Ya Jizọsị nọ banye Jerusalẹm, shi Ụlọ-nsọ. O lehunmẹchanrịngụ ihiẹn ile, ọ nọ pụ makẹni ọhịhị a gbagụọ, ya lẹ ndị nsọnmazụụn a mmẹbụọ nọ shi Bẹtani.
MRK.11.12	Eki e fọn, ebe wẹ gha Bẹtani lala Jerusalẹm, ẹgụn hụ a gụn Jesu. 
MRK.11.13	O lecheni figi ẹhụhụọ jun elu ẹ, ọ nọ jẹn d'e lele kẹ mkpụrụ hụ a. Kanị, o ru ẹ, ọ nọ hụn a nị ẹhụhụọ sụọ rị elu ẹ, makẹni ogẹn figi eke ru. 
MRK.11.14	Ọ nọ sị figi hụ, “Onwọnzini onyẹ k'a hụn mkpụrụ ị ri!”
MRK.11.14	Ndị nsọnmazụụn a a nụghọ kẹ o ku ẹ.
MRK.11.15	Ogẹn wẹ gi ru Jerusalẹm, Jesu nọ shi imẹ Ụlọ-nsọ, chụpụma ndị rị a zụ afịa ebẹhụ — kẹ ndị rị e reni kẹ ndị rị e ṅọnni. Ọ nọ hukpumẹ teburu ndị a gbahutọ egho lẹ oche ndị rị e re oluikuku. 
MRK.11.16	Onwọnni onyẹ ọ nị bugha ihiẹn ọwụlẹ imẹ Ụlọ-nsọ. 
MRK.11.17	Ọ hụ a kuzi ndị rị ebẹhụ, a sị, “E deni w'ẹ imẹ Ẹkụkwọ-nsọ nị, ‘Wẹ sikọ d'a kpọ Ụlọ m ụlọ alị ile nọ e mẹ ekpere?’ Kanị ụnụ e gigụọ a họnrin ebe ndị ohin a warị!” 
MRK.11.18	Ogẹn ndị-isi nchụn-ẹjan lẹ ndị-nkuzi Iwu gi nụ ihiẹnni, wẹ nọ chọma kẹ w'a dọn gbu Jesu makẹni egun ẹ rị a tụ wẹ ebe o mẹni nkuzi ẹ e werigụọ igunrun hụ ile. 
MRK.11.19	O ru ẹnyasị hụ, Jizọsị lẹ ndị nsọnmazụụn a nọ gha imẹ Jerusalẹm pụ.
MRK.11.20	Ụzụtụntụn, ebe wẹ ghakọ ụzọ hụ, wẹ nọ hụn a nị figi hụ a kpọgụọ nkụn d'e ru nkpọgụn a. 
MRK.11.21	Pita a nyanhan, ọ nọ sị Jesu, “Onyẹ-nkuzi, lee-o, osisi
MRK.11.22	Jesu nọ sị wẹ, “Kweri ni nị Osolobuẹ k'a saẹka mẹ ihiẹn ile. 
MRK.11.23	Ezioku kẹ m rị a gwa ụnụ, onyẹ sị uguni, ‘Wẹ buli i elu tụye ohimin’ nị hụnyẹ enwọnni obi ẹbụọ, kama o kweri nị ihiẹn o ku jẹnkọ d'e mẹ, o jẹnkọ d'a rịn'a ẹrịra. 
MRK.11.24	Ya haịn m gi sị ụnụ nị ụnụ mẹ ekpere rịọ ihiẹn ọwụlẹ, kweri ni nị ụnụ e nwọnhẹngụọ a, ụnụ k'e nwọnhẹn ẹ. 
MRK.11.25	Ụnụ gha e mẹ ekpere, gbagharị nị, omẹni o nwọn onyẹ mẹ ụnụ eje-ihiẹn, kẹni Nẹdi ụnụ rị elu-igwee gbagharị ụnụ mmẹfie ụnụ.” 
MRK.11.26	Kanị, omẹni ụnụ agbagharịnị, Nẹdi ụnụ rị elu-igwee agbagharịkọ ụnụ.
MRK.11.27	A banhanzị wẹ Jerusalẹm.
MRK.11.27	Ebe Jesu jẹnkọ ijẹn imẹ Ụlọ-nsọ, ndị-isi nchụn-ẹjan lẹ ndị-nkuzi Iwu lẹ ndị-isi ndị Ju nọ bịa d'e kunrun ẹ. 
MRK.11.28	Wẹ nọ sị a, “Onyẹ sị ị mẹ ihiẹn ndịnị ị rị e mẹ? Onyẹ zi i?”
MRK.11.29	Jesu nọ sị wẹ, “M jẹnkọ d'a jụ ụnụ akpụ ụtaa ohu; ụnụ za m'a, a gwa m ụnụ onyẹ sị m mẹ ihiẹn ndịnị: 
MRK.11.30	Onyẹ sị Jọnụ mẹ Mirin-Chuku o mẹ? Chuku rị elu-igwee zi ẹ, ra ịhịan? Za nị m'a?”
MRK.11.31	Wẹ wẹ nọ tụgbama iroro, sị, “Kị ẹnyi k'e ku nwan? Ẹnyi sị, ‘Elu-igwee k'ọ gha bịa,’ ọ k'a sị, ‘Kị haịn ụnụ gilẹni nwan gi oku ẹ dọn?’ 
MRK.11.32	Kanị ẹnyi asịkọkwọ, ‘Ọ gha ẹka ịhịan bịa.’ ”
MRK.11.32	(Egun rị a tụ wẹ makẹni ịhịan ile marịn nị Jọnụ wụ onyẹ-amụma nke-esi.)
MRK.11.33	Ya wẹ nọ za Jesu, sị, “Ẹnyi amarịn.” Jesu nọ sị wẹ, “Mmẹ nwẹn agwakọ ụnụ onyẹ sị m mẹ ihiẹn ndịnị.”
MRK.12.1	Ya kẹ Jesu nọ tanị wẹ ilu, sị, “Okẹnnyẹ ohu nwọn alị vaịnị tụnhunmẹ ẹ mgbọn, gutọ olu wẹ nọ a pịnpụha manya-vaịnị, tụn ụlọ nche ye imẹ ẹ. Ọ nọ bu alị vaịnị hụ che ẹka ndị sikọ d'a rụnn'a ya egbu-eke, ya ọ nọ jẹnmẹ alị-ịhịan. 
MRK.12.2	O ru ogẹn vaịnị, ọ nọ zi odibo ẹ d'e kunrun ndị hụ ugbo hụ rị ẹka d'e wẹhẹ hụn run'ẹ. 
MRK.12.3	Wẹ nọ kwọndọn odibo hụ o zi, gbu e ili, gbama a ẹka chụpụ. 
MRK.12.4	Okẹnnyẹ hụ nọ zizi odibo ọzọ, wẹ nọ ti ẹ ihiẹn isi, gbe ifẹnrẹn ye ẹ ihun. 
MRK.12.5	O zizi odibo ọzọ, wẹ nọ gbu ẹ. Ẹrịra kẹ wẹ mẹsọnmẹ ndị bu ọda o zi; e gbu wẹ ụfọdụ ili, gbu ụfọdụ ozun.
MRK.12.6	“O nwọnzighọ onyẹ ohu o k'e zi: ezi nwa a. Omẹgụ, ọ nọ zi nwa a jẹnni wẹ, sị, ‘Wẹ jẹnkọ d'a gbaye nwa m.’ 
MRK.12.7	Kanị ndị hụ o buche ugbo hụ ẹka nọ sị ibe wẹ, ‘Onyẹni ya k'a kwarị ukuu ẹ. Nị ẹnyi gbu ẹ nwan kwarị ukuu ẹ!’ 
MRK.12.8	Ya wẹ nọ kwọndọn nwa a hụ, gbu ẹ, gha imẹ ugbo hụ ma a tuhu. 
MRK.12.9	“Kị onyẹ hụ nwọn ugbo jẹnkọ d'e mẹ? O sikọ d'a bịa d'e gbupụ ndị ahụn, o we alị vaịnị hụ ye ndị ọzọ lepụ ẹnya. 
MRK.12.10	Ụnụ e ke gụntu ẹ imẹ Ẹkụkwọ-nsọ nị
MRK.12.10	‘Ọmụma hụ ndị rị a tụn ụlọ jụ
MRK.12.10	a wụrụgụọ nwan ọmụma gi ụlọ.
MRK.12.11	Di-nwọnni-ẹnyi mẹ ihiẹnni,
MRK.12.11	ọ tụka ẹnyi ẹnya!’ ”
MRK.12.12	Ndị-ndu ndị Ju te nọ chọ nị wẹ nwụnrụn a, makẹni a ghọtagụọ wẹ nị uwẹ haịn o gi ta ilu hụ, kanị egun ndị rị ebahụn anịnị wẹ. Wẹ nọ la a tọ, gha ebahụn pụ.
MRK.12.13	Ya ndị-ndu nọ zi ụfọdụ ndị Itu-Farisi lẹ ndị itu Hẹrọdụ d'a chọ ihiẹn rị Jesu ọnụ, nị wẹ gi ẹ kwọndọn ẹ. 
MRK.12.14	Wẹ nọ bịa d'e kunrun Jesu, sị a, “Onyẹ-nkuzi, ẹnyi a marịnghọ n'ị wụ onyẹ ezioku, nị y'a ra lee ịhịan ẹnya ihun, y'a ra gbeyeni ịhịan, kama, y'a kuzichanrịn ụzọ Osolobuẹ k'ọ rị. Gwa ẹnyi nwan, ọ hụghọ mma nị ẹnyi kụ eze-kanị wụ Siza ụgwọ-isi ra ọ rị mma? Nị ẹnyi kụ ra ẹnyi akụlẹ?”
MRK.12.15	Kanị, Jesu a hụngụọ a nị wẹ gi ẹro bịa, ọ nọ sị wẹ, “Kị haịn ụnụ gi a kpọnị m ọnyan? Wẹhẹni ni m akpụrụ egho dinarịọsụ nị m hụn a.”
MRK.12.16	Wẹ nọ wẹhẹn'ẹ akpụrụ egho dinarịọsụ. Ọ nọ sị wẹ, “Isi lẹ ẹfan onyẹ wụ hụnnị?” Wẹ nọ sị a, “Nke Siza rọ.”
MRK.12.17	Jizọsị nọ sị wẹ, “We ni ihiẹn Siza ye Siza, ụnụ e we ihiẹn Osolobuẹ ye Osolobuẹ.” Azịza a nọ tụ wẹ ẹnya ọda-ọda.
MRK.12.18	O nwọn ndị Itu-Sadusi bịa d'e kunrun Jesu. (Ndị Itu-Sadusi sị ndị nwụnhụn nị ara lihi). Wẹ nọ jụ Jizọsị ụtaa, sị a, 
MRK.12.19	“Onyẹ-nkuzi, Mozizi ye ẹnyi iwu, sị, ‘Okẹnnyẹ nwụnhụn, latọ nwunyẹ ẹ, bụ ọ mụnị nwa, nwẹnẹ y'a lụma nwunyẹ nwẹnẹ ẹ hụ, kẹni ọ mụdọnni nwẹnẹ ẹ nwa.’
MRK.12.20	“O te nwọn umunẹ ikẹnnyẹ ẹsa rịnị; onyẹ ibuzọ imẹ wẹ a lụ nwunyẹ, omẹgụ ọ nọ nwụnhụn ọ mụnị nwa. 
MRK.12.21	Hụn mẹ ẹbụọ nọ lụma okpoho hụ. Ọ nwụnhụnzị ọ mụnị nwa. Ẹrịra kẹ hụn mẹ wẹ ẹtọ jẹnzi. 
MRK.12.22	Wẹ mmadụ ẹsa lụgbarị okpoho hụ, nwụnhụn, amụnị wẹ nwa. Omẹgụ okpoho hụ nkẹ nọ nwụnhụn. 
MRK.12.23	Ogẹn ndị nwụnhụnnị e gi lihi, onyẹ k'o jẹnkọ d'a wụ nwunyẹ ẹ, hụnnị wẹ ẹsa lụgbarị a?”
MRK.12.24	Jesu nọ sị wẹ, “Ẹlẹ amarịn Ẹkụkwọ-nsọ lẹ amarịn ikẹn Osolobuẹ rị e dufie ụnụ ihiẹnni? 
MRK.12.25	Ogẹn ndị nwụnnị sikọ d'e gi lihi, alụkọ wẹ di lẹ nwunyẹ; wẹ jẹnkọ d'a rị kẹ ndị mmọn-ozi rị elu-igwee. 
MRK.12.26	O mẹ nke iweli ndị nwụnhụnnị, ụnụ e ke gụn a imẹ Ẹkụkwọ Mozizi, ebẹhụ ọ nọ ku oku akụ-ọfịa hụ rị e nwụn ọkụn, nị Osolobuẹ sị Mozizi, ‘Mmẹ wụ Chuku Ebraham, Chuku Aziki, Chuku Jekọpụ’? 
MRK.12.27	Ya wụ ẹlẹ Chuku ndị nwụnnị k'ọ wụ kanị nke ndị rị ndụn. Amarịnnị e dufiechanrịngụọ ụnụ!!”
MRK.12.28	Onyẹ-nkuzi Iwu a pụha ebẹhụ, nụ kẹ wẹ wẹ rị a dọ, hụnzị nị Jesu za wẹ ọhụnma, ọ nọ jụ Jesu ụtaa, sị, “Elee iwu kachanrịn mkpa?”
MRK.12.29	Jesu nọ za a, “Hụn kachanrịnnị wụ ọnwan: ‘Ndị Izrẹlụ, gọn ni ntịn! Di-nwọnni-ẹnyi wụ Chuku ẹnyi, ịya sụọ wụ Chuku. 
MRK.12.30	I jẹnkọ d'e gi obi i ile lẹ umẹ-ndụn ị ile lẹ uche i ile lẹ ikẹn i ile nwọn ihiẹn-ọsụsụọ Di-nwọnni-ẹnyi wụ Chuku i.’ 
MRK.12.31	Hụn mẹ ẹ ẹbụọ wụ ọnwan: ‘Ihiẹn ibe i sikọ d'a sụọrịrị ị kẹ ihiẹn enwẹn i dọn a sụọ ị.’ Onwọnni iwu ọzọ ka ndịnị.”
MRK.12.32	Onyẹ-nkuzi Iwu hụ nọ sị Jizọsị, “Y'e kughọ ọhụnma, onyẹ-nkuzi. Ezioku k'i ku nị Di-nwọnni-ẹnyi sụọ wụ Chuku, Chuku ọzọ arịa, 
MRK.12.33	lẹni igi obi i ile lẹ nghọta ị ile lẹ ikẹn i ile nwọn ihiẹn-ọsụsụọ Osolobuẹ lẹ ịnị ihiẹn ibe i a sụọ ị kẹ ihiẹn enwẹn i dọn a sụọ ị kachanrịn mkpa a rị karị ẹjan ile wẹ dụn ọkụn lẹ ẹjan ndị ọzọ ile.”
MRK.12.34	Jizọsị a hụn a n'ọ za ọhụnma, ọ nọ sị onyẹ-nkuzi Iwu hụ, “Y'a nọkunmẹgụọ Alị-eze Osolobuẹ.”
MRK.12.34	Ọnwan e mẹgụ, onwọnzini onyẹ egun nị jụ Jesu ajụjụ.
MRK.12.35	Ya kẹ Jesu nọ kuzimẹzi imẹ Ụlọ-nsọ ebẹhụ. Ọ jụ ụtaa, sị, “Kị haịn ndị-nkuzi Iwu gidẹ e ku ni Kraịstị wụ nwa Defidi? 
MRK.12.36	Bụ Defidi lẹ enwẹn ẹ ku oku ghahanị ikẹn Mmọn-nsọ, sị,
MRK.12.36	‘Di-nwọnni-ẹnyi sị Di-nwọnni m,
MRK.12.36	“Nọdị alị ẹka-nni m
MRK.12.36	d'e ru mgbe m bugụ ndị iṅẹnrẹn i
MRK.12.36	che okpuru ụkụ ị.” ’
MRK.12.37	Defidi lẹ enwẹn ẹ kpọ a ‘Di-nwọnni m,’ nanị k'o dọn nwan wụrụ nwa Defidi?”
MRK.12.37	Ọ hụ e ku, ọ hụ a sụọ igunrun hụ.
MRK.12.38	K'o dọn rị a kuzi, ọ sị, “Kpachanpụnị nị ndị-nkuzi Iwu ẹnya: ọ sụọ wẹ nị w'e yi ẹkwa tueni a ghahunmẹ lẹ ni w'e gi mgbaye e kele wẹ ogbe
MRK.12.39	ọ sụọ wẹ nị w'a nọdị isi-ocho imẹ ụlọ-ofufe lẹ ebe wẹ nọ e ri oriri. 
MRK.12.40	W'e rigbu ikpoho di wẹ nwụn, e gi ekpere sueni e kpumẹ ẹ. Uwẹ sikọ d'a narịn afụnfụn ka njọ.”
MRK.12.41	Jesu nọdị alị bu ihun zinmẹ ẹkpẹti oyiye, e lee kẹ igunrun rị Ụlọ-nsọ rị e buche egho. Ndị ịdanfịn bu ọda hụ e buche egho hini. 
MRK.12.42	Ya kẹ ogbẹnnyẹ ohu di ẹ nwụnhụngụ nọ bịa d'e buche afụ
MRK.12.43	Jizọsị nọ kpọ ndị nsọnmazụụn a, sị wẹ, “Ogbẹnnyẹni di ẹ nwụnhụn buchekarị ịhịan ile rị e buche egho imẹ ẹkpẹti oyiye hụ. 
MRK.12.44	Makẹni wẹ ile gha ọda wẹ nwọn ye, kanị ya nwẹn, k'o mẹhan ogbẹnnyẹ, o yechanrịn ihiẹn ile o nwọn o gi bi.”
MRK.13.1	Ogẹn Jizọsị gi gha Ụlọ-nsọ pụkọ, onyẹ ohu imẹ ndị nsọnmazụụn a nọ sị a, “Onyẹ-nkuzi, lee ihiẹn ọmụma ndịnị hi-ogbe-o! Lee okẹn ụlọ ndịnị magbu enwẹn wẹ mma-o!”
MRK.13.2	Jesu nọ sị a, “Y'a hụn okẹn ụlọ ndịnị? Onwọnni ogbe ọmụma ohu k'a họdụ elu ibe ẹ, wẹ jẹnkọ d'a kụtuchanrịn wẹ ile.”
MRK.13.3	Ebe Jesu sụọ nọdị alị elu Ugu Olivu hụn bu ihun zinmẹ ihun Ụlọ-nsọ, Pita, Jemisi, Jọnụ lẹ Andrụ nọ bịa d'a jụ a ajụjụ, sị a, 
MRK.13.4	“Gwa ẹnyi, elee ogẹn kẹ ihiẹn ndịnị sikọ d'e mẹ? Kị wẹ e gi marịn nị ihiẹn ndịnị ile e d'e mẹmẹ?”
MRK.13.5	Jesu nọ gwama wẹ, sị, “Kpachanpụkwọ nị ẹnya amamgbe w'e dufie ụnụ. 
MRK.13.6	Ndị bu ọda jẹnkọ d'e gi ẹfan m bịa, a sị, ‘Mmẹ wụ Kraịstị, Onyẹ Ahụn Osolobuẹ Tumẹ!’ Wẹ sikọ d'e gi ẹ dufie ndị bu ọda. 
MRK.13.7	Ogẹn ụnụ jẹnkọ d'e gi nụ oku agha — kẹ hụn wẹ rị a lụ kẹ hụn wẹ kelẹni lụma; atụkwọlẹ ni egun. Ihiẹn ndịnị jẹnkọ d'e mẹ bụ ọgụgụ-ogẹn e ke ru.
MRK.13.8	“Alị sikọ d'a lụsọn alị; alị-eze a lụsọn alị-eze, alị k'e mẹhunmẹ ụzọ ile; ụnwụn sikọ d'a rị; kanị, ihiẹn ndịnị nọ kẹ ebe imẹ nọhụ mẹmẹ okpoho.
MRK.13.9	“Ụnụ nwẹn, kpachanpụkwọ nị ẹnya; makẹni wẹ jẹnkọ d'e wejẹn ụnụ ọgwa ichẹn-ichẹn, gbu ụnụ ili imẹ ụlọ-ofufe
MRK.13.10	“Wẹ k'e zigbarịgụ ndị alị ile oziọma. 
MRK.13.11	Wẹ nwụnrụn ụnụ, we ụnụ shi ọgwa, ehuelẹ ni uhue ihiẹn ụnụ jẹnkọ d'e ku, ka ku ni ihiẹn ọwụlẹ Osolobuẹ jẹnkọ d'e ye ụnụ ogẹn hụ, makẹni ẹlẹ ụnụ jẹnkọ d'e ku kanị Mmọn-nsọ.
MRK.13.12	“Umunẹ jẹnkọ d'e we umunẹ wẹ ye wẹ gbu; ndị nẹdi k'e we ụmụ wẹ ye wẹ gbu; ụmụ k'e bunụmanị ndị mụnị wẹ, mẹ wẹ gbu wẹ. 
MRK.13.13	Ize ụnụ jẹnkọ d'a ban ịhịan ile makẹ ufiri m. Kanị onyẹ din ndidin d'e ru njẹndemẹ kẹ Osolobuẹ sikọ d'a zụọpụha.
MRK.13.14	“Kanị, hụn ụnụ gihụ hụn ‘Eje-ụrụ ahụn’ k'o wuzo ebe furulẹni n'ọ rị (onyẹ hụn rị a gụn ihiẹnni ya ghọha a), ndị rị Judia ogẹn hụ wẹ gbashi elu-ugu. 
MRK.13.15	Onyẹ hụn rị elu ụlọ ya ehidangụkwọlẹ banyemẹzi imẹ ụlọ n'o jẹnkọ d'e weri ihiẹn ọwụlẹ. 
MRK.13.16	Onyẹ rị ugbo ya ekinhẹnkwọlẹ d'e weri ẹkwa a. 
MRK.13.17	O jẹnkọ d'a fụ ndị rị imẹ lẹ ndị pa nwa ọrụn ogẹn hụ! 
MRK.13.18	E mẹ ni ekpere amamgbe o mẹ ogẹn oyi! 
MRK.13.19	Makẹni okẹn afụnfụn jẹnkọ d'a rị ogẹn hụ — ụdị hụn rịtulẹni kete Osolobuẹ e kelẹ ụwa; ụdị hụn jẹnkọlẹni d'a rịzị. 
MRK.13.20	Omẹni Di-nwọnni-ẹnyi e te belụanị ogẹn hụ, onwọnni onyẹ sikọ d'a s'ẹka wanahịn. Kanị, o belụagụọ ogẹn hụ makẹ ufiri ndị ọ họrị, ndị nke ẹ.
MRK.13.21	“Ogẹn hụ, onyẹ sị ụnụ, ‘Lee ẹ, Kraịstị rị ebeni!’ Mọbụ, ‘Lee ẹ, ọ rị ebahụn,’ ekwerikwọlẹ ni. 
MRK.13.22	Ndị kpọ enwẹn wẹ Kraịstị lẹ ndị amụma-ntụ jẹnkọ d'a pụha. Wẹ jẹnkọ d'a rụnsọnmẹ ihiẹn ahịma lẹ ọrụn-atụmẹnya kẹni wẹ dufie ịhịan, kẹni wẹ dufiedẹ ndị Osolobuẹ họrị — omẹni o te k'a nị mẹ. 
MRK.13.23	Kpachanpụ nị nwan ẹnya; a gwatọgụọkwọ m ụnụ ihiẹn ile!
MRK.13.24	“Ogẹn hụ, ogẹn afụnfụn hụ ghafegụhụ, ẹnyanwụn jẹnkọ d'a gba ishi, ifọn etibehi; 
MRK.13.25	kokisẹ jẹnkọ d'a gha elu-igwere a danye alị, ikẹn ndị rị elu jẹnkọ d'e mẹhunmẹ. 
MRK.13.26	Ogẹn hụ kẹ ịhịan ile k'e gi hụn Nwa nke Ịhịan k'ọ rị imẹ orukpu o gi lala ya lẹ ikẹn hi ogbe lẹ ọghọ o k'e gi bịa. 
MRK.13.27	O jẹnkọ d'e zi ndị mmọn-ozi ẹ ye imẹ ụwa ile d'e wegbama ndị Osolobuẹ họrị ebe-lẹ-ebe wẹ rị.
MRK.13.28	“Gi ni osisi figi mụnrụn ihiẹn: Hụn o gihụ fọrịma, ụnụ a marịn nị udu-mirin e d'e bidọn. 
MRK.13.29	Ẹrịra k'ọ rịzịkwọ, ụnụ hụn kẹ ihiẹn ndịnị rị e mẹ, ụnụ a marịn nị Nwa nke Ịhịan a rịgụọ ẹhụ nsue, o rugụọ ọnụmụzọ. 
MRK.13.30	Ezioku kẹ m rị a gwa ụnụ, agbọnị a ghafegụkọ ihiẹn ndịnị kebe mẹzu. 
MRK.13.31	Igwere lẹ ụwa k'a gụ, kanị oku m k'a bụnrịrị.
MRK.13.32	“O mẹ nke ụhụọhịn o k'a wụ mọbụ ogẹn o k'a wụ ụhụọhịn hụ, onwọnni onyẹ marịnnị, kẹ ndị mmọn-ozi rị elu-igwee kẹ mmẹ Nwa-Chuku; Chuku-Nẹdi sụọ marịn. 
MRK.13.33	Kpachanpụ nị nwan ẹnya; mụnrụn nị ẹnya, makẹni ụnụ amarịn ogẹn o k'a wụ. 
MRK.13.34	Ọbịbịa Nwa nke Ịhịan jẹnkọ d'a rị kẹ ebe okẹnnyẹ ohu jẹnkọ alị-ịhịan nọ bu ihiẹn ẹ che ẹka idibo ẹ, onyẹ lẹ ọrụn a, onyẹ lẹ ọrụn a, sị onyẹ-nche ya chemẹ nche. 
MRK.13.35	Mụnrụn nị nwan ẹnya, makẹni ụnụ amarịn ogẹn di-nwọnni ụnụ hụn ụnụ rị iwe ẹ k'e gi lụa — kẹ ogẹn ẹnyasị rọ-o, kẹ imẹ abalị rọ-o, kẹ ọkpa kwan rọ-o, kẹ eki fọnmẹ rọ-o, onwọnni onyẹ marịnnị. 
MRK.13.36	Amamgbe ọ lụa idẹnmizi, ọ hụn ụnụ kẹ ụnụ rị a ranhịn ụran. 
MRK.13.37	Ihiẹn m rị a gwa ụnụ kẹ m rị a gwa onyẹ ọwụlẹ: mụnrụn nị ẹnya!”
MRK.14.1	Ogẹn o gi họdụ akpọhịn ẹbụọ nị Mmẹmmẹ-Nghafe lẹ Mmẹmmẹ Brẹdi nwọnlẹni yisti
MRK.14.2	Wẹ nọ sị, “Ẹnyi emẹkọkwọ a ogẹn Mmẹmmẹ, amamgbe isusu a rị.”
MRK.14.3	Ogẹn Jesu gi rị obodo Bẹtani, iwe Saịmọnụ hụn emu oti te kụ, e ri ihiẹn-oriri, okpoho ohu nọ buhẹ ọgọ alabasta udẹn e kun fuẹin jun imẹ ẹ; udẹn ahụn ṅanran ọda-ọda, nadị kẹ wẹ gi mẹmẹ ẹ. Ọ nọ kụke ọgọ hụ, hu udẹn hụ ye Jesu isi. 
MRK.14.4	Kanị ụfọdụ ndị rị ebahụn nọ wemẹ iwe, a sị ibe wẹ, “Kị wẹ rị e wiwini udẹnni ṅanrannị? 
MRK.14.5	Nkẹ e re wẹ udẹnni hụn egho ọrụn akpọhịn ọgụn-mmisẹn ye ndị igbẹnnyẹ.” Ya wẹ nọ kọrịamanị okpoho hụ ọda-ọda.
MRK.14.6	Kanị, Jesu nọ sị wẹ, “Hapụn'a! Kị ụnụ rị e sọngbun'ẹ? Ihiẹn rị mma k'o mẹni m. 
MRK.14.7	Ụnụ lẹ ndị igbẹnnyẹ rị ebeni ogẹn ile, ụnụ nwọn ikẹn mẹni wẹ ọhụnma ogẹn ọwụlẹ ụnụ chọ; kanị mmẹ nwẹn esọnkọ ụnụ nọdị ebeni ogẹn ile. 
MRK.14.8	Okpohoni a nwangụọ ikẹn ẹ; o hukpuọlẹ m udẹn wẹ te k'e te m wẹ gha a kwama ozun m. 
MRK.14.9	Nị m gwa ụnụ, ebe ọwụlẹ wẹ sikọ d'e zi oziọma imẹ ụwa, wẹ jẹnkọ d'e ku ihiẹnni o mẹ, e gi ẹ a nyanhan a.”
MRK.14.10	Judasị nwa Iskarọtụ, onyẹ ohu imẹ ndị nsọnmazụụn Jesu mmẹbụọ hụ, nọ jẹn d'e kunrun ndị-isi nchụn-ẹjan kẹni o re Jesu ye wẹ. 
MRK.14.11	Ogẹn wẹ gi nụ ihiẹn ọ bịanị, ọ sụọ wẹ; wẹ nọ kwe ẹ nkwa nị wẹ k'e ye ẹ egho. Ya k'ọ nọ chọma oghere o k'e gi we Jesu ye wẹ.
MRK.14.12	O ru ụhụọhịn ibuzọ Mmẹmmẹ Brẹdi nwọnlẹni yisti o gi a fụ, ụhụọhịn hụ wẹ gi e gbu ebulu Oriri-nghafe, ndị nsọnmazụụn Jesu nọ jụ a, sị, “Elebe k'i chọ nị ẹnyi dọnkwama hụn y'a nọ ri Oriri-Nghafe?”
MRK.14.13	Ya Jesu nọ zi mmadụ ẹbụọ imẹ ndị nsọnmazụụn a, sị wẹ, “Jẹn ni imẹ obodo, okẹnnyẹ ohu bu ite-mirin jẹnkọ d'e kunrun ụnụ; sọnmẹn'ẹ. 
MRK.14.14	Sị nị onyẹ nwọn ụlọ ahụn ọ banye, ‘Onyẹ-nkuzi sị, “Elee mmughẹ wụ nke m hụn mmẹ lẹ ndị nsọnmazụụn m k'a nọ ri Oriri-nghafe?” ’ 
MRK.14.15	O jẹnkọ d'a ghọsị ụnụ mmughẹ ohu shịanị hụn rị ibe elu wẹ butọgụ oche lẹ teburu; ebẹhụ kẹ ụnụ sikọ d'e dọnkwamanị ẹnyi.”
MRK.14.16	Ya kẹ ndị nsọnmazụụn a hụ nọ shi imẹ obodo, wẹ nọ hụn ihiẹn ile kẹ Jesu dọn ku; wẹ nọ kwademẹ ihiẹn mmẹmmẹ Nghafe.
MRK.14.17	O ru ẹnyasị, Jesu lẹ ndị nsọnmazụụn a mmẹbụọ nọ bịa ebẹhụ. 
MRK.14.18	Ebe wẹ rị e ri ihiẹn-oriri, Jesu nọ sị wẹ, “M rị a gwa ụnụ ezioku, onyẹ ohu imẹ ụnụ jẹnkọ d'e re m, onyẹ mmẹ lẹ ya rị e ri ihiẹn-oriri.”
MRK.14.19	Ẹfọ asụọzịnị ndị nsọnmazụụn a ụsụọ; onyẹ-onyẹ hụ a sị a, “Ẹlẹkwọ mmẹ! Mmẹ rọ?”
MRK.14.20	Jesu nọ sị wẹ, “Onyẹ ohu imẹ ụnụ mmẹbụọ rọ, onyẹ hụn mmẹ lẹ ịya rị nwan e suru brẹdi imẹ afẹrẹ ohu. 
MRK.14.21	Ẹghẹẹ, Nwa nke ịhịan lakọ nwan kẹ Ẹkụkwọ-nsọ dọn ku, kanị nsọngbu rị e che onyẹ sikọ d'e re Nwa nke Ịhịan! O te ka onyẹ hụ mma nị amụnị w'a!”
