GEN.1.1	Ha tinikangan, han pagtuha han Dyos han bug-os nga kalibutan ug han mga butang ha kalangitan
DEU.13.13	nga may-ada waray pulos nga mga tawo han iyo nasod nga naglipat han mga tawo han ira bungto ngadto hin pagsingba hin kadiyosan nga waray pa niyo pagsingbaha. 
DEU.13.14	Kon makabati kamo hin sugad nga hurobhurob, usisaha niyo ini hin maupay; ngan kon matood man nga nahinabo ini nga maraot nga butang, 
DEU.13.15	pataya niyo an ngatanan nga mga tawo didto hito nga bungto ngan an ngatanan nira nga mga baka. Puohan gud niyo ito nga bungto. 
DEU.13.16	Tiroka niyo an ngatanan nga mga hiagi han mga tawo nga nag-uokoy didto, ngan tambaka ini didto ha plasa han bungto. Katapos, sunoga niyo an bungto ngan an ngatanan nga aadto ha sakob hini, sugad nga usa nga halad ngadto han 
DEU.13.17	Ayaw kamo pagtipig para ha iyo hin bisan ano nga butang nga ginhukman na nga mabungkag, ngan mangangalimot an 
DEU.13.18	kon pagsugton niyo an ngatanan niya nga mga sugo nga akon iginhatag ha iyo yana nga adlaw, ngan pagtumanon niyo an iya ginpapabuhat ha iyo.
DEU.14.1	“Kamo amo an mga tawo han 
DEU.14.2	Gintatag-iya na kamo han 
DEU.14.3	“Ayaw kamo pagkaon hin bisan ano nga iginpasabot na han 
DEU.14.4	An mga mananap nga makakaon niyo amo ini: an baka, karnero, kanding, 
DEU.14.5	bugsok, ihalas nga karnero, ihalas nga kanding, o oso— 
DEU.14.6	bisan ano nga mga mananap nga may nagkakabahin nga mga kulo ngan nasabsab han banwa. 
DEU.14.7	Kundi diri makakaon an mga mananap labot kon nagkakabahin an mga kulo hini ngan nasabsab han banwa. Diri kamo makakakaon hin kamelyo, kuneho, o garong ha bato. Kinahanglan pag-isipon niyo nga mahugaw ini; nasabsab ini han banwa, kundi diri nagkakabahin an mga kulo. 
DEU.14.8	Ayaw kamo pagkaon hin baboy. Kinahanglan pag-isipon niyo nga mahugaw ini; nagkakabahin an mga kulo hini, kundi diri nasabsab hin banwa. Ayaw kamo pagkaon han bisan ano hini nga mga mananap o bisan pagkamkam han patay nga mga lawas hini.
DEU.14.9	“Makakaon niyo in bisan ano nga isda nga may mga kapay ngan mga hingbis, 
DEU.14.10	kundi diri kamo makakakaon hin bisan ano nga nag-uokoy ha tubig nga waray mga kapay ngan mga hingbis; kinahanglan pag-isipon niyo nga mahugaw ini.
DEU.14.11	“Makakaon niyo in bisan ano nga malinis nga tamsi. 
DEU.14.12+DEU.14.13+DEU.14.14+DEU.14.15+DEU.14.16+DEU.14.17+DEU.14.18	Kundi amo ini nga mga tamsi an diri niyo kakaonon: an agila, bukaw, banog, falkon, sikop, manaol, uwak, duong, kanaway, lapay, talabong, pelicano, saribubo,
DEU.14.19	“Maghugaw an ngatanan nga pakoan nga gudtiay nga mga mananap; ayaw niyo pagkaona ini. 
DEU.14.20	Makakaon niyo in bisan ano nga malinis nga gudtiay nga mananap.
DEU.14.21	“Ayaw kamo kaon hin bisan ano nga mananap nga napatay ha iya la kalugaringon. Mahihimo niyo ipakaon ini han mga lumalangyaw nga nag-uokoy tampo ha iyo, o makakagbaligya kamo hini ngadto han iba nga mga lumalangyaw. Kundi gintatag-iya kamo han 
DEU.14.21	“Ayaw niyo paglutoa in nati nga karnero o kanding dida han gatas han iroy hini.
DEU.14.22	“Igahin an ikanapulo nga bahin—an ikanapulo nga bahin han ngatanan nga abot han iyo kaumhan ha kada tuig. 
DEU.14.23	Niyan pakadto kamo han usa nga dapit nga ginpili han 
DEU.14.24	Kon hirayo hin duro an iyo balay tikang han dapit hin pagsingba, ngan makuri para ha iyo an pagdara ngadto han ikanapulo nga bahin han mga abot nga iginpakaupay ha iyo han 
DEU.14.25	Igbaligya an iyo ikanapulo nga bahin han mga abot ngan dad-a niyo an kwarta ngadto han usa nga dapit hin pagsingba. 
DEU.14.26	Gastoha ini niyo ha bisan ano nga iyo karuyagon—karne hin baka, karne hin nati nga karnero, bino, iba nga irimnon—ngan didto, ha atubangan han 
DEU.14.27	“Ayaw niyo pagpasibay-i an mga Levita nga nag-uokoy didto han iyo mga bungto; waray hira mga hiagi nga ira kalugaringon. 
DEU.14.28	Ha katapos han kada ikatulo ka tuig, dad-a niyo an ikanapulo nga bahin han ngatanan nga iyo mga abot ngan tipigi ini didto han iyo mga bungto. 
DEU.14.29	Para han mga Levita ini nga pagkaon, kay diri man hira nagtatag-iya hin mga hiagi, ngan para han mga lumalangyaw, mga ilo, ngan mga balo nga kababayen-an nga nag-uokoy didto han iyo mga bungto. Makadto hira ngan makuha han ngatanan nga ira kinahanglan. Buhata ini niyo, ngan bebendisyonan kamo han 
DEU.15.1	“Ha katapos han kada ikapito ka tuig, kinahanglan paraon an ngatanan nga mga utang. 
DEU.15.2	Sugara hini an pagbuhat: an nagpautang ha iya igkasi Israelita kinahanglan nga paraon na an utang; kinahanglan nga diri na niya sukton an kwarta; an 
DEU.15.3	Makakahimo kamo hin pagsukot han nautang ha iyo hin usa nga lumalangyaw, kundi ayaw na kamo pagsukot han nautang ha iyo han iyo kalugaringon nga mga tawo.
DEU.15.4	“Bebendisyonan kamo han 
DEU.15.5	kon magsugot kamo ha iya ngan magtuman kamo hin maupay han ngatanan nga akon iginsusugo ha iyo yana nga adlaw. 
DEU.15.6	Bebendisyonan kamo han 
DEU.15.7	“Kon may makalolooy nga iyo igkasi Israelita ha bisan diin nga mga bungto didto han tuna nga ihahatag ha iyo han 
DEU.15.8	Lugod pagmahinatagon kamo ngan pahudma hiya sugad han iya ginkikinahanglan. 
DEU.15.9	Ayaw kamo pagdumiri hin pagpahuram ha iya, tungod la nga hirani na an tuig hin pagpara han mga utang. Ayaw itugot niyo in sugad nga maraot nga panhunahuna. Kon dumiri kamo hin pagpautang, masangpit hiya han 
DEU.15.10	Ihatag ha iya hin huyayag nga kasingkasing, ngan bebendisyonan kamo han 
DEU.15.11	Dayuday magkakamay-ada mga Israelita nga kablas ngan makalolooy, sanglit nagsusugo ako ha iyo nga magmahinatagon kamo ha ira.
DEU.15.12	“Kon may igkasi niyo Israelita nga lalake o babaye nga magbaligya ha iyo han iya kalugaringon
DEU.15.13	Kon buhian na hiya niyo, ayaw hiya pagpalakta nga waray dara. 
DEU.15.14	Pabaloni hiya tikang han mga hatag ha iyo han 
DEU.15.15	Hinumdomi niyo nga mga oripon anay kamo didto ha Ehipto ngan gintalwas kamo han 
DEU.15.16	“Kundi bangin diri karuyag bumaya ha iyo an iyo oripon; bangin nahigugma na hiya ha iyo ngan han iyo panimalay ngan karuyag niya hin pagpabilin dida ha iyo. 
DEU.15.17	Niyan dad-a hiya ngadto han porta han iyo balay ngan didto tuhoga an iya talinga; ngan maooripon na hiya niyo ha bug-os niya nga kinabuhi. Sugara an iyo pagdumara han iyo oripon nga babaye. 
DEU.15.18	Ayaw pagpakita hin maraot nga buot kon buhian niyo in usa nga oripon; nag-alagad na man hiya ha iyo hin unom ka tuig, ngan an iya suhol katunga la hin kanan sinuholan nga surugoon.
DEU.15.19	“Igahin para han 
DEU.15.20	Kada tuig kakaonon ini niyo ngan han iyo mga panimalay ha atubangan han 
DEU.15.21	Kundi kon may mga dum-it ini nga mga hayop, kon piay o buta ini, o may grabe nga karat-an, kinahanglan diri niyo ini ighalad ngadto han 
DEU.15.22	Makakahimo kamo hin pagkaon hin sugad nga mga mananap didto han iyo mga balay. Makakakaon kamo ngatanan hini, bisan malinis o mahugaw kamo sumala han seremonyas sugad han iyo pagkaon hin bugsok o hin oso. 
DEU.15.23	Kundi ayaw niyo gamita an dugo hini para hin pagkaon; kinahanglan ihuwad ini ngada han tuna.
DEU.16.1	“Pagpasidunggi niyo an 
DEU.16.2	Kadto kamo han usa nga dapit hin pagsingba ngan pag-ihawa niyo didto in usa han iyo mga karnero o mga baka para han Paglabay nga pangaon, ha pagpasidungog han 
DEU.16.3	Kon magsaurog kamo hini nga pangaon, ayaw kamo pagkaon hin tinapay nga may-ada patubo. Sulod hin pito ka adlaw kakaonon niyo in tinapay nga waray patubo, sugad han iyo ginbuhat han pagbaya niyo hin kadagmitan didto ha Ehipto. Kaona niyo ini nga tinapay—kay tigaman ini nga tinapay han iyo pag-antos—basi, samtang nga buhi pa kamo, mahinunumdom kamo han adlaw han paggawas niyo han Ehipto, ito nga dapit hin pag-antos. 
DEU.16.4	Sulod hin pito ka adlaw waray gud iparatubo didto han tagsatagsa nga balay; ngan an karne han hayop nga gin-ihaw dida han gab-i han syahan nga adlaw kinahanglan kaonon hito ngahaw nga gab-i.
DEU.16.5+DEU.16.6	“Ihawa niyo an hayop han Paglabay didto han usa nga dapit hin pagsingba; diri didto hin iba nga dapit han tuna nga ighahatag ha iyo han 
DEU.16.7	Lagaa niyo an karne ngan kaona ini didto hin usa nga dapit hin pagsingba; ngan pangoli kamo ha pagkaaga. 
DEU.16.8	Sulod han sunod nga unom ka adlaw kakaonon niyo in tinapay nga waray patubo, ngan dida han ikapito nga adlaw pagtirok kamo hin pagsingba han 
DEU.16.9	“Pag-ihap kamo hin pito ka semana tikang han pagtikang niyo hin pag-ani, 
DEU.16.10	ngan pagsauroga an Pyesta han Pag-ani ha pagpasidungog han 
DEU.16.11	Pagmalipayon kamo didto ha atubangan han 
DEU.16.12	Talinguhaa gud niyo hin pagtuman hini nga mga sugo; ayaw niyo hingalimti nga mga oripon kamo didto ha Ehipto.
DEU.16.13	“Katapos niyo maggiok han ngatanan niyo nga mga gin-ani, ngan magpii han ngatanan niyo nga mga ubas, pagsauroga niyo an Pyesta han mga Payagpayag sulod hin pito ka adlaw. 
DEU.16.14	Pagpahimulosi ini niyo kaupod han iyo mga anak, iyo mga surugoon, ngan han mga Levita, mga lumalangyaw, mga ilo, ngan mga balo nga kababayen-an nga nag-uokoy didto han iyo mga bungto. 
DEU.16.15	Pagpasidunggi niyo an 
DEU.16.16	“Kinahanglan makadto an ngatanan nga kalalaken-an han iyo nasod hin pagsingba han 
DEU.16.17	sugad han iya mahihimo nga tumbas han mga kaupayan nga iginhatag ha iya han 
DEU.16.18	“Pagtudlok kamo hin mga maghurukom ngan iba nga mga opisyal didto han kada bungto nga ihahatag ha iyo han 
DEU.16.19	Kinahanglan matadong hira ngan diri magpakita nga may-ada hira pinalabi dida han ira mga paghukom; ngan diri hira kumarawat hin mga hukip, kay nakakabuta an mga regalo bisan han makinaadmananon ngan tangkod nga mga tawo, ngan nakakaaghat ha ira hin paghatag hin diri matadong nga mga paghukom. 
DEU.16.20	Dayuday pagmaupay ngan pagmatadong kamo basi makatag-iya kamo han tuna nga ihinahatag ha iyo han 
DEU.16.21	“Kon maghimo kamo hin altar para han 
DEU.16.22	Ayaw liwat niyo pagtindogi hin harigi nga bato para hin pagsingba hin diyosdiyos; nangangalas hini an 
DEU.17.1	“Ayaw kamo paghalad ngadto han 
DEU.17.2	“Pananglit hibatian niyo nga ha usa han iyo mga bungto may-ada lalake o babaye nga nakasala kontra han 
DEU.17.3	pinaagi hin pagsingba ngan pag-alagad hin iba nga kadiyosan, o han adlaw, o han bulan, o han mga bitoon, nga supak han sugo han 
DEU.17.4	Kon hibatian niyo in sugad nga sumat, usisaha gud ini hin maupay. Kon matuod nga nahinabo ini nga maraot nga butang ha Israel, 
DEU.17.5	niyan dad-a niyo ito mga tawo ha gawas han bungto ngan pagbatoa hiya ngada han kamatay. 
DEU.17.6	Kundi pagpapatayon la hiya kon may duha o tulo nga mga testigo nga magpapamatuod kontra ha iya; diri hiya papatayon kon usa la an testigo. 
DEU.17.7	An mga testigo amo an mabalong han syahan nga mga bato, ngan katapos pagbabatoon ito nga tawo han iba nga mga tawo. Ha sugad hini nga paagi makukuha niyo ini nga karat-an.
DEU.17.8	“Bangin may-ada magkuri hin duro nga turuhayon nga mga kalipongan han mga maghurukom didto han iyo mga bungto mahitungod hin mga katungod hin mga hiagi, o pagkasamad hin lawas hin tawo, o adton mga kalipongan hin magkalainlain nga pakamatay. Kon nahinabo ini, kadto kamo han usa nga dapit hin pagsingba nga ginpili han 
DEU.17.9	ngan itubyan an iyo kalipongan ngadto han kapadian nga Levita ngan ngadto han labaw nga maghurukom nga natorno hito nga takna, ngan hira an papaghukma han kalipongan. 
DEU.17.10	Hira an maghuhukom hini, ngan kinahanglan tumanon niyo an ira igsisiring ha iyo. 
DEU.17.11	Karawata an ira paghukom ngan tumana hin tukib an ira mga tugon. 
DEU.17.12	Pagpapatayon an bisan hin-o nga magpasipara hin pagsupak han maghurukom o han padi nga natorno hito nga takna; ha sugad hini nga paagi makukuha niyo ini nga karat-an tikang ha Israel. 
DEU.17.13	Niyan hibabatian ini han ngatanan ngan mahahadlok hira ngan waray na magpapasipara hin pagbuhat hin sugad.
DEU.17.14	“Katapos niyo pagtag-iya ngan pag-ukoy han tuna nga ihahatag ha iyo han 
DEU.17.15	Talinguhaa niyo nga an tawo nga iyo pipilion nga magigin hadi, amo ngahaw an ginpili han 
DEU.17.16	Kinahanglan diri mag-angkon an hadi hin damo nga mga kabayo para han iya kasondalohan, ngan diri hiya magsugo hin mga tawo ngadto ha Ehipto hin pagpalit hin mga kabayo,
DEU.17.17	Kinahanglan diri damo an mga asawa han hadi kay bangin tumalikod hiya han 
DEU.17.18	Kon mahimo na hiya nga hadi, kinahanglan mamay-ada niya kopya han basahan han mga balaod ngan mga pagturon-an han Dyos, nga kinopya tikang han tunay nga kopya nga gintitipigan han Levita nga kapadian. 
DEU.17.19	Kinahanglan isapit ha iya ini nga basahan ngan magbasa hiya hini kada adlaw ha bug-os niya nga kinabuhi, basi mahibaro hiya hin pagtahod han 
DEU.17.20	Makakapugong ini ha iya hin pakahunahuna nga mauruupay hiya kay han iya igkasi mga Israelita ngan hin pagsupak han mga sugo han 
DEU.18.1	“An padianon nga tribo ni Levi diri makarawat; hin bahin han tuna ha Israel; lugod mabubuhi hira pinaagi han mga halad ngan iba pa nga mga halad nga tutuboron nga ihinahatag ngadto han 
DEU.18.2	Diri hira magtatag-iya hin tuna, sugad han iba nga mga tribo; an ira bahin amo an katungod hin pagka mga padi han 
DEU.18.3	“Kon ighalad in baka o karnero, ihahatag ngadto han kapadian an sugbong, an sulang, ngan an tungol. 
DEU.18.4	Ihahatag ha ira an syahan nga bahin han mga pagkaon, bino, lana hin olibo, ug barahibo hin karnero. 
DEU.18.5	Ginpili han 
DEU.18.6	“Bisan hin-o nga Levita nga tikang han bisan ano nga bungto han Israel nga maruyag hin pag-alagad, makakahimo hin pagkadto han usa nga dapit hin pagsingba, 
DEU.18.7	ngan makakag-alagad hiya didto nga padi han 
DEU.18.8	Makarawat hiya hin pareho kadamo nga pagkaon nga kinakarawat han iba nga kapadian, ngan makakagtipig hiya han bisan ano nga ipadara ha iya han iya panimalay.
DEU.18.9	“Kon sumulod na kamo han tuna nga ihahatag ha iyo han 
DEU.18.10	Ayaw niyo ighalad an iyo mga anak nga tutuboron ha kalayo didto han iyo mga altar; ngan ayaw itugot nga magbuhat an iyo mga tawo hin bisan ano nga pagdiwata, o pagpangita hin mga tigaman hin tiarabot nga hinabo, o paggamit hin mga barang 
DEU.18.11	o mga lumay, ngan ayaw hira pasangpita han mga espiritu han mga minatay. 
DEU.18.12	Nangangalas an 
DEU.18.13	Pagmatinumanon gud kamo ha 
DEU.18.14	Niyan nagsiring hi Moises, “Didto han tuna nga iyo na pagtatag-iyahon, nagsusunod an mga tawo didto han sagdon han mga diwatahan ngan mga salamangkero, kundi diri natugot ha iyo an 
DEU.18.15	Ipapadara niya ha iyo in usa nga manaragna nga sugad ha akon, nga tikang han iyo kalugaringon nga mga tawo, ngan magsusugot kamo ha iya.
DEU.18.16	“Hadto nga adlaw han pagkatirok niyo didto ha Bukid Sinai, naghangyo kamo nga diri na niyo karuyag nga makabati pa kamo han 
DEU.18.17	Sanglit nagsiring ha akon an 
DEU.18.18	Ipapadara ko ha ira in usa nga manaragna nga sugad ha imo, nga tikang han ira kalugaringon nga mga tawo; susumatan ko hiya han iya igsisiring, ngan susumatan niya
DEU.18.19	Magyayakan hiya ha akon ngaran, ngan kakastigohon ko
DEU.18.20	Kundi kon may manaragna nga magpasipara hin pagyakan hin usa nga mensahe ha akon ngaran nga waray ko man hiya pagsugoa, kinahanglan mamatay hiya tungod hini, ngan sugad man an bisan hin-o nga manaragna nga magyakan ha ngaran hin iba nga kadiyosan.’
DEU.18.21	“Bangin mahiburong kamo kon uunanhon niyo hin pakasabot kon an mensahe hin usa nga manaragna diri natikang han 
DEU.18.22	Kon magyakan in usa nga manaragna ha ngaran han 
DEU.19.1	“Katapos pagpuoha han 
DEU.19.2+DEU.19.3	pagtuloa niyo ka bahin an katunaan, nga an kada usa ka bahin may usa nga syudad nga masayunay la niyo maabot. Niyan an tawo nga makamatay, makakapalagiw ngadto ha usa hini nga mga syudad basi mapanalipdan hiya. 
DEU.19.4	Kon in usa ka tawo makamatay hin diri tinuyo hin tawo nga diri niya kaaway, makakapalagiw hiya ngadto ha bisan hain hini nga mga syudad ngan matatalwas hiya. 
DEU.19.5	Pananglitan, may duha ka tawo nga makadto ha kagurangan pagpulod hin kahoy, ngan han nagpupulod hin kahoy an usa ha ira, nahulso han pulo an parakol niya ngan nakamatay han iya kaupod, makakaayop hiya ngadto han usa hini nga mga syudad ngan matatalwas hiya. 
DEU.19.6	Kon uusa la an syudad, bangin hirayo ini hin duro, ngan mahiabtan hiya han uropod nga may katungod hin pagbulos para han namatay, ngan ha iya kasina, makamatay hiya hin tawo nga waray sala. Diri man ngani tinuyo nga iya pakamatay hin usa ka tawo nga diri niya kaaway. 
DEU.19.7	Amo ito nga nagsusugo ako ha iyo hin paggahin hin tulo nga mga syudad.
DEU.19.8	“Kon pahiluagon na han 
DEU.19.9	niyan magpipili kamo hin tulo pa nga mga syudad. (Ighahatag niya ha iyo ini nga tuna kon pagbuhaton niyo an ngatanan nga akon iginsusugo ha iyo yana nga adlaw, ngan kon paghigugmaon niyo an 
DEU.19.10	Buhata ini niyo basi diri magkamatay an mga tawo nga waray sala ngan basi diri kamo magin salaan hin pagpatay ha ira didto han tuna nga ighahatag ha iyo han 
DEU.19.11	“Kundi pananglit tuyoon hin usa ka tawo hin pagpatay han iya kaaway, ngan katapos kumalagiw hiya ngadto hin usa hini nga mga syudad basi panalipdan hiya, 
DEU.19.12	dida hini nga higayon, ipakukuha hiya han mga pangulo han iya kalugaringon nga bungto ngan itutubyan hiya ngadto han uropod nga may katungod hin pagbulos hin pagpatay, basi patayon hiya. 
DEU.19.13	Ayaw niyo kalooyi hiya. Kuhaa tikang ha Israel ini nga parapamatay basi maghingaupay kamo.
DEU.19.14	“Ayaw niyo pagbalhina an pag-ultan han tuna han imo amyaw nga gintindog hin maiha na didto han tuna nga ihahatag ha iyo han 
DEU.19.15	“Diri igo in usa la nga saksi hin pagsirot hin tawo hiunong hin pakasala; kinahanglan in duha o tulo nga mga saksi para hin pagpamatuod nga salaan in usa ka tawo. 
DEU.19.16	Kon magtinguha in usa ka tawo hin pagdaot hin iba nga tawo pinaagi hin pagbutangbutang ha iya hin sala, 
DEU.19.17	kinahanglan kumadto hira nga duha han usa nga dapit hin pagsingba ngan paghukman hira han kapadian nga mga maghurukom nga natorno hito nga takna. 
DEU.19.18	Pag-uusisahon hin maupay han mga maghurukom an kalipongan; ngan kon an tawo nagsumbong hin buwa kontra han iya igkasi Israelita, 
DEU.19.19	makarawat hiya han kastigo nga kakarawaton unta han iginsumbong nga tawo. Ha sugad hini nga paagi makukuha niyo ini nga karat-an. 
DEU.19.20	Niyan hibabaroan han ngatanan an nahinabo; mahahadlok hira ngan waray na gud magbubuhat hin sugad nga karat-an. 
DEU.19.21	Ha sugad nga mga kalipongan, ayaw pagpakita hin pagkalooy; an kinabuhi babaydan hin kinabuhi, an mata babaydan hin igkasi mata, an ngipon hin igkasi ngipon, an kamot hin igkasi kamot, ngan an tiil hin igkasi tiil.
DEU.20.1	“Kon makadto kamo hin pag-atubang han iyo mga kaaway, ngan hikit-an niyo in mga karuwahe ngan mga kabayo ngan hin kasondalohan nga darudamo kay han iyo, ayaw kamo kahadlok ha ira. Maupod ha iyo an 
DEU.20.2	Ha diri pa kamo makikig-away, makada anay ha atubangan in usa nga padi ngan masiring ngadto han kasondalohan, 
DEU.20.3	‘Mga tawo han Israel, pamati kamo! Makadto kamo ha pag-awayan yana nga adlaw. Ayaw kamo kahadlok han iyo mga kaaway, o kahulop, o kalisang. 
DEU.20.4	Maupod ha iyo an 
DEU.20.5	“Niyan maghihimangraw han mga sondalo an mga opisyal ngan masiring, ‘May-ada ba dinhe tawo nga bag-o pa la nga nagbalay, kundi waray pa ighalad an balay? Kon may-ada, kinahanglan umoli anay hiya. Kay kon diri, kon mamatay hiya didto ha pag-awayan, iba nga tawo an maghahalad han iya balay. 
DEU.20.6	May-ada ba dinhe tawo nga bag-o pa la nga nagtanom hin urubasan, kundi waray pa makaani han mga ubas? Kon may-ada, kinahanglan umoli anay hiya. Kay kon diri, kon mamatay hiya didto ha pag-awayan, iba nga tawo an magpapahimulos han bino. 
DEU.20.7	May-ada ba dinhe tawo nga karaslon pa? Kon may-ada kinahanglan umoli anay hiya. Kay kon diri, kon mamatay hiya didto ha pag-awayan, iba nga lalake an mangangasawa han iya babaye nga karaslon.’
DEU.20.8	“Masiring liwat an mga opisyal ngadto han mga sondalo, ‘May-ada ba dinhe tawo nga nagtatalaw ngan nahahadlok? Kon may-ada kinahanglan umoli anay hiya. Kay kon diri, magtatalaw an iba tungod ha iya.’ 
DEU.20.9	Kahuman hin paghimangraw han mga opisyal ngadto han kasondalohan, magpipili na hira hin mga pangulo para han tagsa nga hugpo.
DEU.20.10	“Kon masulong kamo hin usa nga syudad, tagi anay hin higayon hin pagtubyan han syudad an mga tawo. 
DEU.20.11	Kon buksan nira an mga ganghaan ngan tumubyan hira, magigin oripon niyo hira ngatanan ngan magbubuhat hira hin pinirit nga pagtrabaho para ha iyo. 
DEU.20.12	Kon diri tumubyan an mga tawo hito nga syudad, kundi makig-away hira ha iyo, paliboti ini han iyo kasondalohan. 
DEU.20.13	Niyan kon an syudad ipabihag na ha iyo han 
DEU.20.14	Kundi madadara niyo para ha iyo ngahaw an kababayen-an, an kabataan, an mga hayop, ngan an iba pa nga mga butang didto han syudad. Magagamit niyo an ngatanan nga mga butang nga gintatag-iya han iyo mga kaaway. Iginhatag ini ha iyo han 
DEU.20.15	Amo ito an iyo pagbubuhaton hadton mga syudad nga hirayo hin duro tikang han tuna nga iyo pag-uokyan.
DEU.20.16	“Kundi kon maagaw niyo an mga syudad didto han tuna nga ihahatag ha iyo han 
DEU.20.17	Puoha gud an ngatanan nga mga tawo: an mga Hiteohanon, mga Amoreohanon, mga Canaanhon, mga Perizeohanon, mga Hibeohanon, ngan mga Jebuseohanon, sumala han iginsugo ha iyo han 
DEU.20.18	Pamataya hira basi diri hira makadarahig ha iyo hin pakasala kontra han 
DEU.20.19	“Kon nagiibirihag kamo hin syudad, ayaw niyo pagpudla an mga kahoy nga nabunga, bisan kon maiha an iyo pagsulong han syudad. Kaona niyo an mga bunga, kundi ayaw niyo pagpudla an mga kahoy; kay diri man niyo kaaway an mga kahoy. 
DEU.20.20	Mapupulod niyo an iba nga mga kahoy ngan magagamit niyo hin paghimo hin mga igburungkag tubtob han kaagaw han syudad.
DEU.21.1	“Pananglit hiagian in usa ka tawo nga ginpatay didto hin usa nga uma ha sakob han tuna nga ihahatag ha iyo han 
DEU.21.2	kinahanglan gumawas an iyo mga pangulo ngan mga maghurukom ngan pagsusuklon nira an kahirayo tikang han dapit diin hin-agian an lawas ngadto han tagsa nga higrani nga mga bungto. 
DEU.21.3	Niyan an mga pangulo han bungto nga labi kaharani han lawas nga hin-agian magpipili hin nati nga baka nga waray pa gamita hin pag-uma. 
DEU.21.4	Pagdadad-on ini nira ngadto hin dapit nga hirani hin sapa nga diri hinuhubsan ngan an tuna waray pa gud pag-aradoha o pagtamni, ngan didto babarion nira an liog han baka. 
DEU.21.5	Makadto liwat an Levitanhon nga kapadian kay hira an magtutuhay han tagsa nga kalipongan nga kasakut in pagraogdaog. Ginpili hira han 
DEU.21.6	Niyan manhuhunaw ha bawbaw han baka an ngatanan nga mga pangulo han bungto nga labi kaharani han dapit diin hin-agian an ginpatay nga tawo, 
DEU.21.7	ngan masiring hira, ‘Waray kami magpatay han tawo, ngan diri kami maaram kon hin-o an nagbuhat hini. 
DEU.21.8	O 
DEU.21.9	Sanglit ha pagtuman niyo han karuyag han 
DEU.21.10	“Kon ihatag na han 
DEU.21.11	bangin hikit-an mo tampo ha ira in usa nga mahusay nga babaye nga imo kinakaruyag ngan buot mo pangasaw-on. 
DEU.21.12	Dad-a hiya ngadto han imo balay diin magkikiskis hiya han iya ulo,
DEU.21.13	ngan magliliwan han iya mga panapton. Mag-uokoy hiya didto han imo balay ngan magmamabidoon sulod hin usa ka bulan para han iya mga kag-anak; katapos hito, makakahimo ka na hin pangasawa ha iya. 
DEU.21.14	Paglabay hin panahon, kon dumiri ka na ha iya, bubuhian mo hiya basi lumakat hiya kon ngain hiya karuyag kumadto. Tungod nga ginpirit mo man hiya hin pakighilawas ha imo, diri ka makakag-oripon ngan makakagbaligya ha iya.
DEU.21.15	“Pananglit duduha an asawa hin usa nga lalake, ngan igin-anak nira para ha iya in mga anak nga kalalaken-an, kundi an suhag diri anak han iya minahal nga asawa. 
DEU.21.16	Kon maglarang na an lalake hin pagbahinbahin han iya mga hiagi ngada han iya mga anak, diri hiya magpapalabi han anak nga lalake han iya minahal nga asawa pinaagi hin paghatag ha iya han bahin han kanan suhag nga lalake. 
DEU.21.17	Kinahanglan tagan niya an suhag nga lalake hin doble nga bahin han iya mga hiagi bisan kon diri niya anak han iya minahal nga asawa. Kinahanglan kilalahon niya an iya suhag nga lalake ngan ighatag ha iya an bahin nga iya katungod subay han balaod.
DEU.21.18	“Pananglit may usa ka tawo nga may anak nga lalake nga matig-a an ulo ngan masinupilon, usa nga anak nga diri nasugot han iya mga kag-anak bisan kon ira kinakastigo hiya. 
DEU.21.19	Pagdadad-on hiya han iya mga kag-anak ngadto ha atubangan han mga pangulo han bungto nga inuokyan niya ngan ipapasusi hiya ha ira. 
DEU.21.20	Susumatan hira han mga kag-anak, ‘Matig-a an ulo ngan masinupilon an amon anak ngan diri nasugot ha amon; gastador hiya hin kwarta ngan parahubog.’ 
DEU.21.21	Niyan pagbabatoon han mga tawo han syudad ini nga anak ngada han kamatay niya, basi makuha niyo ini nga karat-an. Hibabatian han ngatanan didto ha Israel an nahinabo ngan mahahadlok hira.
DEU.21.22	“Kon ginpatay in usa ka tawo tungod hin usa nga pagtalapas ngan ginbitay an iya lawas dida hin usa nga kahoy, 
DEU.21.23	kinahanglan diri magpabilin didto an lawas ha bug-os nga gab-i. Kinahanglan iglubong ini hito ngahaw nga adlaw, kay an ginbitay nga tawo nagdadara ngada ha tuna han tunglo han Dyos. Iglubong an lawas basi diri niyo mahugawan an tuna nga ihahatag ha iyo han 
DEU.22.1	“Kon hikit-an niyo nga nakabuhi in baka o karnero hin iyo igkasi Israelita, ayaw ini pagpabay-i; ig-oli ini ngadto han tag-iya. 
DEU.22.2	Kundi kon hirayo hin duro an tag-iya hini o diri ka maaram kon hin-o an tag-iya hini, dad-a ini ha imo balay. Kon umabot an tag-iya nga nagbibiling hini, ighatag ini ha iya. 
DEU.22.3	Amo man gihapon kon hiagian mo in usa nga asno, o panapton o bisan ano nga nawara hin imo igkasi Israelita.
DEU.22.4	“Kon natumba in asno o baka hin imo igkasi Israelita, ayaw ini pagpabay-i; buligi hiya hin pagpatukdaw liwat han iya hayop.
DEU.22.5	“Diri magsul-ot an kababayen-an hin kanan kalalaken-an panapton, ngan sugad man an kalalaken-an diri magsul-ot hin kanan kababayen-an panapton; nangangalas an 
