MAT.1.1	Azezi n de Adavidi yɩɩŋa, la Abraham yɩɩŋa yaabdõma n wãna:
LUK.7.23	La nẽr-sɛka n ka lebrɩ poorʋm mam ĩyã tarɩ zu-yẽlga.»
LUK.7.24	Sɛba tɩ Azã tõm na lebe kule mɛ. Tɩ Azezi yãŋa tɔgɛ nẽrba la Azã yelle yetɩ: «Yãma daan sẽŋɛ mõom tɩ ya ka bɩsɛ la bẽm? Yãma sẽŋɛ ka bɩsɛ la mõogɔ tɩ kʋsebgo mĩini bɩɩ? Ayɛɩ. 
LUK.7.25	La bẽm tɩ yãma sẽŋɛ ka bɩsɛ? Yãma sẽŋɛ ka bɩsɛ la nẽra n yɛ fu-sõma bɩɩ? Ayɛɩ. Nẽr-sɛba n yɛɛrɩ fu-sõma dee tarɩ bõn-sõma la, kẽ'erɩ la na'adõma yiɛ pʋam. 
LUK.7.26	La yãma sẽŋɛ ka bɩsɛ la bẽm? Ya sẽŋɛ ka bɩsɛ la Nawẽnnɛ nõtɔ'ɔsa bɩɩ? Ẽe. La mam yetɩ ya tɩ a de la nẽra n gãnnɩ Nawẽnnɛ nõtɔ'ɔsa. 
LUK.7.27	La de la ẽŋa yelle tɩ la gʋlsɛ Nawẽnnɛ gõŋɔ pʋam tɩ Nawẽnnɛ yetɩ:
LUK.7.27	‹Mam tõntõnna n wãna
LUK.7.27	tɩ mam tõm tɩ a dẽŋɛ fʋ nẽŋa malgɛ sore bɔ fɔ.›
LUK.7.28	Mam yetɩ ya tɩ nẽrsaalba tɩ ba dɔgɛ la wuu pʋam, nẽra ka boe n gãnnɩ Azã, la nẽr-sɛka n de pɩka Nawẽnnɛ so'olʋm na pʋam gãnnɩ Azã mɛ.
LUK.7.29	La nẽrba la wuu, baa la lampo-tɔ'ɔsrɩba la n wõm Azã yetɔga la, ba basɛ tɩ Azã mise ba ko'om pʋam mɛ. Bɛla pa'alɩ mɛ tɩ ba sakɛ mɛ tɩ Nawẽnnɛ n tarɩ sɩra. 
LUK.7.30	La Farisi dõma, la Nawẽnnɛ lɔɔ karẽnsãandõma n zagsɛ tɩ Azã ka mise ba ko'om pʋam na, ba zagsɛ la bõn-sɛba tɩ Nawẽnnɛ yetɩ a ẽŋɛ bɔ ba la.»
LUK.7.31	Tɩ Azezi le yetɩ: «Bẽm tɩ mam wʋn dɩkɛ makɛ la zamãan-ẽna wã nẽrba n ɩtɩ se'em na. Ba ɩrgɔ wõn na bẽm? 
LUK.7.32	Ba ãn wʋ kɔma n zĩ da'am wi'ira taaba yetɩ: ‹Tõma peebe wɩɩsɩ mɛ, tɩ yãma zagsɛ ka wa. Tɩ tõma yõom kʋʋrɛ yõoma, tɩ yãma ka kɛlla.› 
LUK.7.33	Se'ere n soe la, Azã n misri nẽrba ko'om pʋam na wa'am mɛ wa lʋta nõorɛ, dee ka yũura dãam, tɩ ba yetɩ kʋlkã'arga n dolɩ ẽ. 
LUK.7.34	Tɩ Nẽrsaala Dayʋa la wa'am wa dita dee yũura, tɩ ba yetɩ, a de la dita, la dã-yũura, la lampo-tɔ'ɔsrɩba la tõon-be'ero dõma sɩrɛ. 
LUK.7.35	Nẽr-sɛba n sakrɩ Nawẽnnɛ yɛm n boorɩ se'em na n mi tɩ a tarɩ yɛm.»
LUK.7.36	Farisi nẽra ayɩla yʋ'ʋrɛ n de Asimõ n daan wi Azezi tɩ a wa'am ẽŋa yire tɩ ba di. Tɩ Azezi sẽŋɛ yire la ka zĩ'ire bɔna mĩ tɩ a di. 
LUK.7.37	La pɔka n boe tẽŋa la pʋam tõnna yalsɩ tõoma. La pɔka la n wõm tɩ Azezi boe Farisi nẽra la yire dita la, tɩ a tarɩ albatrɩ dugla n pɩrɛ la tɩdarɛ kaam yũuŋo n ãn sõŋa wa'am Azezi zẽ'am. 
LUK.7.38	Yãŋa ze'ele lɛm Azezi nãma bɔba kɛlla. Tɩ a nintãm yɛsra tɔgra Azezi nãma zuo. Tɩ pɔka la suure duuse Azezi nãma la, la a zomto, dee kɔkɛ a nãma la, sõogɛ ba la tɩdarɛ kaam na.
LUK.7.39	Tɩ Farisi nẽra la n wi Azezi la yẽ bɛla, tẽ'esɛ yetɩ: «Bʋra-ẽna sãn dɛna Nawẽnnɛ nõtɔ'ɔsa, a wʋn bãŋɛ nɩ pɔg-ẽna n kalʋm ẽ wã n de nẽr-sɛka, a wʋn bãŋɛ nɩ tɩ a tõnnɩ la yalsɩ tõoma.»
LUK.7.40	Tɩ Azezi yele ẽ yetɩ: «Asimõ, mam tarɩ la sɛla tɩ m yele fo.» Tɩ Asimõ lerge ẽ yetɩ: «Karẽnsãama, yele!» 
LUK.7.41	Tɩ Azezi yele ẽ yetɩ: «Nẽra n daan boe tɩ nẽrba bayi tara a sãnnɛ. Nẽra ayɩla sãnnɛ de la lig-kõba kɔbsnuu. Tɩ ayẽma la mẽ sãnnɛ dɛna lig-kõba pinuu. 
LUK.7.42	Tɩ ba daan ka tãna wʋn yɔ ẽ a ligri la. Tɩ a basɛ ligri la bɔ ba. Bãma bayi la, ãne n wʋn nõŋɛ ligri la dãana gãnna?» 
LUK.7.43	Tɩ Asimõ lerge ẽ yetɩ: «Mam tẽ'esɛ tɩ sɛka sãnnɛ n zo'oge la.» Tɩ Azezi yele ẽ yetɩ: «Fõn lerge se'em na de la sɩra.» 
LUK.7.44	Dee gelge bɩsɛ pɔka la, yele Asimõ yetɩ: «Fõn yẽ pɔka wã? Mam n kẽ fõn yire la, fõn ka bɔ mam ko'om tɩ mam peege m nãma. La pɔka la peege mam nãma mɛ la a nintãm, dee duuse ba la a zomto. 
LUK.7.45	Fõn ka kɔkɛ mam tɩ la pa'alɛ tɩ fʋ to'oge mam sõŋa. La mam n kẽ'em na, pɔka la kɔkɛ mam nãma mɛ ka basɛ. 
LUK.7.46	La fõn ka nã'asɛ mam ẽŋɛ kaam mam zuugo, la a sõogɛ mam nãma mɛ la tɩdarɛ kaam. 
LUK.7.47	Bɛla ĩyã tɩ mam yele fʋ yetɩ, Nawẽnnɛ basɛ a tõon-be'ero n zo'oge la taalɛ mɛ. Bɛla n soe tɩ a nõŋrɛ la zo'oge. La nẽr-sɛka tɩ Nawẽnnɛ basɛ a tõon-be'ero taalɛ fẽfẽe la, a nõŋrɛ mẽ de la fẽe.»
LUK.7.48	Azezi yele bɛla, dee yele pɔka la yetɩ: «Fʋ tõon-be'ero taalɛ ka le bɔna fʋ zuo.» 
LUK.7.49	Tɩ sɛba n daan diti la ẽ na tɔgra la taaba sɔkra yetɩ: «A tẽ'esɛ tɩ ẽŋa de la ãne basɛ nẽrba tõon-be'ero taalɛ?» 
LUK.7.50	Tɩ Azezi yele pɔka la yetɩ: «Fõn bɔ mam sɩra la ĩyã n fãagɛ fɔ basɛ. Sẽŋɛ la sũ-mã'asʋm.»
LUK.8.1	Bɛla poorʋm, Azezi sẽŋɛ la tẽn-kãra, la tẽn-pɩgsɩ pʋam ka mõola Nawẽnnɛ so'olʋm kõ-yẽlga. Tɩ a karẽnbiisi pia la ayi la dɔla ẽ. 
LUK.8.2	La pɔgsɩ basɛba n mẽ daan dolɩ ẽ. La kʋlkã'arsɩ, la bã'asɩ n daan nãmsrɩ pɔg-bãma, tɩ Azezi botɩ ba yẽ ĩmã'asʋm. Pɔgsɩ la ayɩla yʋ'ʋrɛ de la Amaari n yese Magdala, ẽŋa tɩ kʋlkã'arsɩ bayopɔɩ daan yese dee basɛ ẽ na. 
LUK.8.3	La ayẽma yʋ'ʋrɛ de la Azanɩ. Ẽŋa de la Asuza n bɩsrɩ naba A'erɔdɩ yire yelle la pɔga. La ayɩla yʋ'ʋrɛ de la Asuzanɩ. Pɔg-bãna, la pɔgsɩ zozo'e n tarɩ ba mẽŋa lɔgrɔ sõŋra Azezi la a karẽnbiisi la.
LUK.8.4	La nẽrba n ze'ele tẽnsɩ to'oto'ore sẽnna Azezi zẽ'am. Nẽrba la n daan lagsɛ zo'oge pãɩ la, tɩ Azezi makɛ makrɛ bɔ ba yetɩ: 
LUK.8.5	«Kaara n daan yese tɩ a lobge a bõnbuuri. Ẽŋa n boe mĩ lɔbgra la, tɩ bõnbuuri la basɛba lui sore zuo tɩ nẽrba nẽ ba, dee tɩ niinto mẽ wa'am wa di ba. 
LUK.8.6	Tɩ basɛba lui tãmpĩa zuo bule, la mã'asrɛ n ka boe mĩ na ĩyã tɩ ba zẽkɛ ki. 
LUK.8.7	Tɩ bõnbuuri basɛba lui gõ'osɩ zẽ'a, tɩ bãma la gõ'osɩ la wuu lagɩm yese, tɩ gõ'osɩ la fʋrɛ ba. 
LUK.8.8	Tɩ basɛba lui zẽ'e-sõŋɔ zẽ'a yese, wɔm biɛ zo'oge paagɛ kɔbga kɔbga.» Azezi n tɔgɛ bɛla la, dee yetɩ: «Sɛka n wõm yetɔga wã, a selse sõŋa sõŋa.»
LUK.8.9	Tɩ a karẽnbiisi la soke ẽ makrɛ la võorɛ. 
LUK.8.10	Tɩ a lerge ba yetɩ: «Nawẽnnɛ botɩ yãma bãŋɛ a so'olʋm yelle n sʋgɛ la mɛ, la sɛba n ka boe tõma pʋam na, mam makrɩ la magsa bɔ'ɔra ba.
LUK.8.10	‹Bɛla tɩ ba wʋn bɩsra,
LUK.8.10	dee ka yẽta,
LUK.8.10	ba wʋn wõnna,
LUK.8.10	dee ka bãŋra ba võorɛ.›
LUK.8.11	Makrɛ la võorɛ n wãna: Bõnbuuri la de la Nawẽnnɛ yetɔga. 
LUK.8.12	Sore la zuo tɩ bõnbuuri sɛba lui la, ãn wʋ nẽr-sɛba n wõm yetɔga la, tɩ Asũtãana wa'am wa yese yetɔga la ba sũure pʋam, botɩ ba kãn sakɛ yẽ fãarɛ. 
LUK.8.13	La tãmpĩa la zuo tɩ bõnbuuri sɛba lui la, ãn wʋ nẽr-sɛba n wõm yetɔga la, dee sakɛ la sũ-yẽlga, la yetɔga la ka kẽ ba sũure pʋam sõŋa. Ba sakɛ la wakatɛ fẽe, tɩ yelle sãn paagɛ ba, tɩ ba basɛ. 
LUK.8.14	La gõ'osɩ la zẽ'a tɩ bõnbuuri sɛba lui la, ãn wʋ nẽr-sɛba n wõm Nawẽnnɛ yetɔga, tɩ ba yɛm yɔɔra la ba vɔm yelle, tɩ bõntarsõm la dũnia yẽlʋm yɛmleego botɩ ba ka tãna wʋn bɩ Nawẽnnɛ sore la pʋam. 
LUK.8.15	La zẽ'e-sõŋɔ la tɩ bõnbuuri sɛba lui la, ãn wʋ nẽr-sɛba n wõm yetɔga la, dee sakra dɩkra yetɔga la ɩta ba sũure pʋam sõŋa sõŋa, mõrgɛ zɛ kãŋkãŋɛ Nawẽnnɛ sore la pʋam wʋ bõnbuuri la n wɔm biɛ se'em na.»
LUK.8.16	Azezi le yetɩ: «Nẽra ka yõ'orɩ fɩtla dɩkɛ lɔkɔ vuge ẽ, bɩɩ dɩkɛ ẽ sʋgɛ gɔrgɔ tilum. A wʋn dɩkɛ ẽ zoole la sɛla zuo, tɩ a nẽegɛ peelem tɩ sɛba n kẽ'erɩ la yẽta. 
LUK.8.17	Bõn-sɛka woo n lile la wʋn lilge mɛ, la bõn-sɛka woo n sʋgɛ wʋn wa puke mɛ tɩ nẽrba bãŋɛ. 
LUK.8.18	Mõrgɛ-ya bãŋɛ yãma n selsrɩ se'em na võorɛ. Se'ere n soe la, nẽr-sɛka n tarɩ sɛla, ba wʋn bɔ ẽ pa'asɛ, la nẽr-sɛka n ka tarɩ sɛla, bõn-sɛba fẽe tɩ a tẽ'esɛ tɩ a tara la, ba wʋn to'oge ba.»
LUK.8.19	Azezi ma, la a yɩbsɩ n daan wa'am tɩ ba yẽ ẽ. La nẽrba zo'oge mɛ tɩ ba ka tã'agɛ paagɛ a zẽ'am. 
LUK.8.20	Tɩ ba yele Azezi yetɩ: «Fʋ ma, la fʋ yɩbsɩ n boe yẽŋa bɔɔra tɩ ba yẽ fɔ.» 
LUK.8.21	Tɩ a lerge ba yetɩ: «Nẽr-sɛba wuu n wõnnɩ Nawẽnnɛ yetɔga, dee sakɛ ɩta lan yele se'em na, n de mam ma, la mam yɩbsɩ.»
LUK.8.22	Daarɛ ayɩla tɩ Azezi la a karẽnbiisi kẽ õorŋɔ, tɩ a yele ba yetɩ: «Basɛ-ya tɩ dooge ya mõgrɛ la ke bɔba doone.» Tɩ ba mõnna õorŋɔ la wɛ'ɛsa. 
LUK.8.23	La ban mõnnɩ wɛ'ɛsa la, tɩ gẽem yõkɛ Azezi, tɩ a gĩse. Tɩ kʋseb-kãtɛ isge ko'om na zuo vugra, tɩ ko'om kẽ'era õorŋɔ la pʋam, tɩ la lebge pakrɛ bɔ ba. 
LUK.8.24	Tɩ ba paagɛ nẽegɛ Azezi, yele ẽ yetɩ: «Karẽnsãama, karẽnsãama, tõma yetɩ tɩ ki mɛ.» Tɩ a isge tãsɛ kʋsebgo, la ko-mĩ'isi tɩ ba ãna sĩm. Tɩ kʋsebgo la ko-mĩ'isi la yõkɛ, tɩ la ãna sĩm. 
LUK.8.25	Tɩ a soke a karẽnbiisi la yetɩ: «Bẽm tɩ ya ka bɔ mam sɩra?» Tɩ dabeem kẽ ba. Tɩ ba palẽŋa ẽkɛ, tɩ ba sɔkra taaba yetɩ: «Ãne n de ẽna tã'agɛ tãsra kʋsebgo la ko'om, tɩ ba sakra a nõorɛ?»
LUK.8.26	La ba paagɛ la Geraza dõma tẽŋa. Mõgrɛ la boe la tẽn-ẽŋa la Galile tẽŋasʋka. 
LUK.8.27	Tɩ Azezi ze'ele õorŋɔ pʋam sige. Tɩ tẽŋa la bʋraa ayɩla tɩ kʋlkã'arsɩ dolɩ ẽ sẽnna tʋ'ʋsra ẽ. A ka yɛɛrɩ fuugo, halɩ tɩ la yuuge, la a ka kẽ'erɩ yire, a boe la zẽ'e-sɛba tɩ yɔɔrɔ boe mĩ na. 
LUK.8.28+LUK.8.29	Nõor-faa tɩ kʋlkã'arga la ẽn girge ẽ. Tɩ ba gu'ura ẽ, dee ba a nãma, la a nu'usi wuu la bãnsɩ. Tɩ a kɔ'ɔra bãnsɩ la. La kʋlkã'arga la ẽn tarɩ ẽ sẽŋɛ la mõom.
LUK.8.28+LUK.8.29	La bʋraaga la n yẽ Azezi la, a kaasɛ mɛ ka dũma tẽŋa a nẽŋam, tĩi tɔgra yetɩ: «Azezi, Nawẽnnɛ n gãnnɩ wuu Dayʋa, bẽm boe mam la fõn tẽŋasʋka? M sosrɩ fʋ mɛ tɩ fʋ da nãmsɛ mam.» Azezi dẽŋɛ yele kʋlkã'arga la mɛ tɩ a yese dee basɛ bʋraa la, bɛla n soe tɩ kʋlkã'arga la yele bɛla. 
LUK.8.30	Tɩ Azezi soke ẽ yetɩ: «Fõn yʋ'ʋrɛ?» Tɩ a lerge yetɩ: «Mam yʋ'ʋrɛ de la Atʋsa.» Se'ere n soe tɩ a yele bɛla la, kʋlkã'arsɩ la n dolɩ ẽ na zo'oge mɛ. 
LUK.8.31	Tɩ kʋlkã'arsɩ la sose Azezi yetɩ, a da botɩ ba sẽŋɛ bug-tẽŋa bog-ko'ogo la pʋam.
LUK.8.32	La kurkurdõma n daan zo'oge bɔna tãŋa zuo ɔbra yɔnnɔ. Tɩ kʋlkã'arsɩ la belem Azezi yetɩ, a bɔ ba nõorɛ tɩ ba kẽ kurkurdõma la. Tɩ Azezi sakɛ ban yele se'em na. 
LUK.8.33	Tɩ kʋlkã'arsɩ la basɛ bʋraa la, dee sẽŋɛ ka kẽ kurkurdõma la. Tɩ ba wuu zoe sige ka lui mõgrɛ pʋam ki.
LUK.8.34	La sɛba n gu'uri kurkurdõma la n yẽ bõn-sɛka n ẽŋɛ la, ba zoe sẽŋɛ la tẽŋa pʋam, la kẽnkɛrsɩ wuu ka yele sɛla n ẽŋɛ la. 
LUK.8.35	Tɩ nẽrba sẽŋɛ tɩ ba ka bɩsɛ lan ẽŋɛ se'em na. La ban paagɛ Azezi zẽ'am na, ba yẽ bʋraa la tɩ kʋlkã'arsɩ la yese dee basɛ ẽ na, tɩ a yɛ la futo zẽa Azezi nẽŋam, dee tarɩ yɛm sõŋa sõŋa. Tɩ dabeem kẽ ba. 
LUK.8.36	Tɩ sɛba n yẽ bõn-sɛka n ẽŋɛ la, yele ba lan ẽŋɛ se'em tɩ kʋlkã'arsɩ la yese dee basɛ bʋraa la. 
LUK.8.37	Tɩ Geraza tẽŋa nẽrba la wuu belem Azezi yetɩ, a fõrgɛ dee basɛ ba tẽŋa, se'ere n soe la, dabeem n ba kẽ ba. Tɩ Azezi kẽ'era õorŋɔ la tɩ a fõrgɛ. 
LUK.8.38	Tɩ bʋraa la tɩ kʋlkã'arsɩ la yese dee basɛ ẽ na, sose Azezi tɩ a basɛ tɩ a doose ẽ. Tɩ Azezi zagsɛ, dee yele ẽ yetɩ: 
LUK.8.39	«Lebe kule ya yire, ka pa'alɛ bõn-sɛba wuu tɩ Nawẽnnɛ ẽŋɛ bɔ fʋ la.» Tɩ a doose tẽŋa la wuu pʋam, mõola pa'ala Azezi n ẽŋɛ bõn-sɛba wuu bɔ ẽ na.
LUK.8.40	Azezi daan lebe dooge la mõgrɛ la ke bɔba. La nẽr-kʋʋŋɔ n põn lagsɛ bilam zɛ gu'ura ẽ. Azezi n daan paagɛ mĩ na, ba to'oge ẽ mɛ sõŋa sõŋa. 
LUK.8.41	La bʋraa ayɩla n boe mĩ tɩ a yʋ'ʋrɛ dɛna Azayirusi, a de la Zifdõma wẽndeego nẽŋadãana, wa'am wa ka dũma tẽŋa Azezi nẽŋam sose ẽ yetɩ: «Wa'am mam yire, 
LUK.8.42	tɩ mam pɔyʋa n tarɩ yʋʋma pia la ayi n dee la a ki.» Bʋraa la bia de la ẽŋa ayɩla mã'a.
LUK.8.42	Tɩ Azezi dɔla ẽ wɛ'ɛsa, tɩ nẽr-kʋʋŋɔ la mikra ẽ. 
LUK.8.43	La pɔka n daan boe mĩ luta sɩkẽŋa yʋʋma pia la ayi tɩ la ka gɔ'ɔra. Tɩ a daan dɩkɛ ẽn tarɩ sɛla la wuu sã'am tɩbdõma zẽ'am, la baa ayɩla ka yãŋɛ botɩ a yẽ ĩmã'asʋm. 
LUK.8.44	Tɩ a paagɛ Azezi poorʋm, kalʋm Azezi fuugo nõorɛ. La bilam mẽŋa tɩ a zɩɩm na ze'ele ka le yɛsra. 
LUK.8.45	Tɩ Azezi soke yetɩ: «Ãne n kalʋm mam?» Tɩ nẽra woo sɩ'ɩsɛ. Tɩ Apɩyɛɛrɩ yetɩ: «Zuudãana, nẽrba wã wuu n lagɩm gilge fõn mikra se'em wã tɩ fõn sɔkra?» 
LUK.8.46	Tɩ Azezi yetɩ: «Nẽra n kalʋm mam, se'ere n soe la, mam bãŋɛ mɛ tɩ pãŋa n yese mam zẽ'am.» 
LUK.8.47	La pɔka la n bãŋɛ tɩ a kãn yãŋɛ sʋgɛ la Azezi la, tɩ a gõgra wa'am wa ka dũma tẽŋa Azezi nẽŋam, yele ẽ nẽrba la wuu nẽŋam se'ere n soe tɩ ẽŋa kalʋm ẽ, la ẽŋa n yẽ ĩmã'asʋm bilam mẽŋa se'em. 
LUK.8.48	Tɩ Azezi yele pɔka la yetɩ: «M bia, fõn bɔ mam sɩra la ĩyã n botɩ fʋ yẽ ĩmã'asʋm. Sẽŋɛ la sũ-mã'asʋm.»
LUK.8.49	La Azezi n nãn boe mĩ tɔgra la, tɩ nẽra ze'ele Zifdõma wẽndeego nẽŋadãana la yire wa'am wa yele ẽ yetɩ: «Fʋ pɔyʋa la ki mɛ, da le nãmsɛ karẽnsãama la.» 
LUK.8.50	La Azezi n wõm bɛla la, tɩ a yele Azayirusi yetɩ: «Da zoe dabeem, wen bɔ mam sɩra, tɩ fʋ pɔyʋa la wʋn yẽ ĩmã'asʋm.» 
LUK.8.51	Tɩ Azezi sẽŋɛ ka paagɛ a yire, la a ka botɩ nẽra nẽra doose ẽ kẽ, sãn dagna Apɩyɛɛrɩ, la Azakɩ, la Azã, la bia la sɔ, la a ma mã'a. 
LUK.8.52	La nẽrba la wuu daan kellɩ mɛ fabla bia la ĩyã. Tɩ Azezi yele ba yetɩ: «Da kaasra-ya, bia la ka ki, a gĩsri mɛ.» 
LUK.8.53	Tɩ ba la'ara Azezi, ban mi tɩ bia la ki mɛ na ĩyã. 
LUK.8.54	Tɩ Azezi gʋrɛ bia la nu'ugo, tĩi tɔgɛ ẽ yetɩ: «Bia, isge.» 
LUK.8.55	Tɩ bia la vɔm leme, tɩ a isge bilam mẽŋa. Tɩ Azezi yele ba yetɩ: «Bɔ-ya bia la dia tɩ a di.» 
LUK.8.56	Tɩ la daan di'ige bia la sɔ, la a ma. Tɩ Azezi kã'an ba yetɩ, ba da yele nẽra nẽra sɛla n ẽŋɛ la.
LUK.9.1	Azezi daan wi a karẽnbiisi pia la ayi la lagsɛ mɛ, bɔ ba pãŋa, la nõorɛ tɩ ba dige kʋlkã'arsɩ dee botɩ bã'adõma yẽ ĩmã'asʋm. 
LUK.9.2	Dee tõm ba yetɩ ba mõolɛ Nawẽnnɛ so'olʋm yelle, dee botɩ bã'adõma yẽ ĩmã'asʋm. 
LUK.9.3	La a yele ba yetɩ: «Da dɩkɛ-ya sɛla sɛla sẽŋɛ. Da dɩkɛ-ya dasaarɛ, bɩɩ tãmpɔkɔ, bɩɩ dia, bɩɩ ligri. Da dɩkɛ ya futo bayi bayi. 
LUK.9.4	La yi-sɛka tɩ ya paagɛ tɩ ba to'oge ya, bɔna-ya yi-ẽŋa pʋam ka paagɛ daar-sɛka tɩ ya wʋn fõrgɛ tẽŋa la. 
LUK.9.5	La zẽ'e-sɛka tɩ nẽrba ka to'oge ya, yese-ya tẽn-ẽŋa pʋam, dee pɩɩsɛ ya nãma tẽntõnnɔ basɛ. Ya sãn ẽŋɛ bɛla, la wʋn pa'alɛ ba tɩ ba ka ẽŋɛ sõŋa.» 
LUK.9.6	Azezi n yele bɛla la, karẽnbiisi la yese mɛ sẽŋɛ tẽn-pɩgsɩ wuu pʋam ka mõola Nawẽnnɛ kõ-yẽlga, dee botɩ bã'adõma yẽta ĩmã'asʋm.
LUK.9.7	Galile Naba A'erɔdɩ n daan wõm bõn-sɛba wuu n ɩtɩ la, a palẽŋa n ẽkɛ, se'ere n soe la, nẽrba basɛba n daan yele ẽ tɩ Azezi de la Azã sɛka n daan misri nẽrba ko'om pʋam na n vo'oge. 
LUK.9.8	Tɩ nẽrba basɛba yetɩ, Nawẽnnɛ nõtɔ'ɔsa A'eli n le wa'am dũnia zuo, tɩ nẽrba basɛba yetɩ, kʋrʋm kʋrʋm Nawẽnnɛ nõtɔ'ɔsa ayẽma n vo'oge. 
LUK.9.9	Tɩ A'erɔdɩ yetɩ: «Mam daan botɩ ba wike Azã zuugo mɛ, dee tɩ ãne n de ẽna wã tɩ mam wõm a yelle wãna wã?» La a daan boorɩ tɩ a yẽ Azezi mɛ.
LUK.9.10	Azezi karẽnbiisi pia la ayi la tɩ a daan tõm na, lebe mɛ ka tɔgɛ pa'alɛ ẽ bãma n ẽŋɛ se'em na wuu. Tɩ Azezi botɩ ba doose la ẽ yese kẽnkɛrŋa ka lɛm tẽŋa yʋ'ʋrɛ n de Betisayida. 
LUK.9.11	Tɩ nẽr-kʋʋŋɔ la bãŋɛ ẽn sẽŋɛ zẽ'am na, babsɛ ẽ. Tɩ a to'oge ba, tɔgɛ Nawẽnnɛ so'olʋm yelle bɔ ba, dee botɩ bã'adõma yẽ ĩmã'asʋm.
LUK.9.12	La wẽnnɛ n daan boe mĩ tɩ a kẽ, tɩ karẽnbiisi pia la ayi la wa'am a zẽ'am wa yele ẽ yetɩ: «Botɩ nẽrba la sẽŋɛ tẽn-pɩgsɩ, la yiɛ n lɛm na ka ɛ dia, la gã'a-zẽ'a, se'ere n soe la, tɩn boe zẽ'e-sɛka wã de la mõom.» 
LUK.9.13	Tɩ Azezi yele ba yetɩ: «Yãma mẽŋa bɔ ba dia tɩ ba di.» Tɩ ba lerge yetɩ: «Tõma tarɩ la borborɩ banuu, la zũma bayi mã'a, sãn dagna tɩ tɩ sẽŋɛ ka da dia wa'am wa bɔ nẽr-bãna wuu.» 
LUK.9.14	La bʋraasɩ n daan boe mĩ de wʋ tʋsanuu. Tɩ Azezi yele karẽnbiisi la yetɩ: «Basɛ-ya tɩ nẽrba la welse zĩ'ire pinu-nu.» 
LUK.9.15	Tɩ karẽnbiisi la botɩ nẽrba la wuu zĩ'ire bɛla. 
LUK.9.16	Tɩ Azezi dɩkɛ borborɩ banuu, la zũma bayi la gorge bɩsɛ saazuum pʋ'ʋsɛ Nawẽnnɛ dia la ĩyã, dee fiise borborɩ la zũma la bɔ a karẽnbiisi la tɩ ba to'oge pʋɩ nẽrba la. 
LUK.9.17	Tɩ ba wuu di tɩgɛ, dee tɩ karẽnbiisi la vaagɛ bõn-gito n deege pɩrɛ pɩtɔ pia la ayi.
LUK.9.18	Daarɛ ayɩla Azezi daan boe la kẽnkɛrŋa pʋ'ʋsra Nawẽnnɛ, tɩ a karẽnbiisi la bɔna a zẽ'am, tɩ a soke ba yetɩ: «Nẽrba yetɩ mam de la ãne?» 
LUK.9.19	Tɩ ba lerge yetɩ: «Nẽrba basɛba yetɩ fõn de la Azã sɛka n daan misri nẽrba ko'om pʋam na, tɩ nẽrba basɛba yetɩ, fõn de la Nawẽnnɛ nõtɔ'ɔsa A'eli, tɩ basɛba yetɩ, fõn de la kʋrʋm kʋrʋm Nawẽnnɛ nõtɔ'ɔsa ayẽma n vo'oge.» 
LUK.9.20	Tɩ a soke ba yetɩ: «Dee yãma yetɩ mam de la ãne?» Tɩ Apɩyɛɛrɩ lerge yetɩ: «Fõn de la Krisi tɩ Nawẽnnɛ tõm na.»
LUK.9.21	Tɩ Azezi kã'an ba yetɩ, ba da yele nẽra nẽra, 
LUK.9.22	dee yetɩ: «Dẽnɩ tɩ mam n de Nẽrsaala Dayʋa la nãmsɛ zozo'e. Tẽŋa wã kẽma, la kãabgɔ kẽma nẽŋadõma, la lɔɔ karẽnsãandõma nifo wʋn kẽ mam mɛ, tɩ ba kʋ mam, la dabsa atã daarɛ mam wʋn vo'oge mɛ.»
LUK.9.23	Azezi yele bɛla dee yele nẽrba la wuu yetɩ: «Nẽra sãn bɔɔra tɩ a doose mam, dẽnɩ tɩ a basɛ a mẽŋa n boorɩ se'em, dee sakɛ nãmsgɔ daarɛ woo wʋ nẽra n buke a kũm dɔ-puurŋa dɔla mam. 
LUK.9.24	Nẽr-sɛka woo n boorɩ tɩ a gu a vɔm, a wʋn koŋe ẽ, la nẽr-sɛka n sakɛ tɩ a koŋe a vɔm mam ĩyã, a wʋn yẽ vɔm. 
LUK.9.25	Nẽra sãn yẽ dũnia sɛla woo dee koŋe vɔm Nawẽnnɛ zẽ'am, a yõorɔ de la bẽm? 
LUK.9.26	Nẽr-sɛka n zoe yãnnɛ mam ĩyã, la mam yetɔga la ĩyã, mam n de Nẽrsaala Dayʋa la mẽ wʋn zoe yãnnɛ la ẽ wakat-sɛka tɩ mam wʋn leme wa'am la m na'am pãŋa, la Nawẽnnɛ, la a malɛkadõma na'am pãŋa la. 
LUK.9.27	Mam yetɩ ya la sɩra sɩra, tɩ yãma nẽr-sɛba n boe kalam wã basɛba kãn ki, sãn dagna tɩ ba wa yẽ la Nawẽnnɛ so'olʋm.»
LUK.9.28	Yetɔg-bãma poorʋm, la daan ẽŋɛ wʋ dabsa anii, tɩ Azezi botɩ Apɩyɛɛrɩ, la Azakɩ, la Azã doose ẽ zom tãŋa zuo tɩ a ka pʋ'ʋsɛ Nawẽnnɛ. 
LUK.9.29	La ẽn boe mĩ pʋ'ʋsra la, tɩ a nẽŋa teege, tɩ a futo pelge yẽgra. 
