MAT.1.1	Rûrû i ru rûrîîyo rwa Yiesû Kîrîstû wa mûciî wa Ndaundi, wa rûciaro rwa Îburaîmu.
MRK.14.56	Akûûyî baingî baatuîrîîra Yiesû, îndî ûkûûyî bwao bûtaagwatanagîra. 
MRK.14.57	Antû bamwe baarûngama baaria ûrongo bauga, 
MRK.14.58	“Tweegiirue muntû ûyû akiuga akoomborania nyomba ya Ngai îra yakîîtwe n'antû, aake îngî îtarî ya gwakwa n'antû na ntugû ithatû.” 
MRK.14.59	Îndî amwe na ûgu, ûkûûyî bwao bûtaagwatanagîra.
MRK.14.60	Mûthînjîri ûra mûnene wa Ngai aarûngama mbere yao. Aûria Yiesû, “N'ata ûkuuga woû? Gûtirî bu ûkuuga îgûrû rîa mantû mama antû baba bakuuga nûrûthîîte?” 
MRK.14.61	Yiesû ataaria amûcookeria kîûria gîake.
MRK.14.61	Mûthînjîri ûyu mûnene wa Ngai aûria Yiesû kîûria kîngî. Amûûria, “I woû Kîrîstû, Mwana wa Ngai ûra mûthaarime?”
MRK.14.62	Yiesû auga, “Yîî, i niû. Na îgiita rîkaaya bûkoona Mwana wa Muntû akari rûteere rwa ûrîo rwa Ngai, mwene inya. Na bûkoona aayîîte na matu, kuuma îgûrû!”
MRK.14.63	Mûthînjîri ûra mûnene wa Ngai aatembûra nguo yake wengwa îra eekîrîte.
MRK.14.64	Bwinthe bûkwîgua bûra auga akîîganaania na Ngai. Mbîîraani îîndî bûra bûgûtua.”
MRK.14.64	Antû bonthe bauga Yiesû naabîtîîtie, na kwoogu aagîrîtwe aûragwa. 
MRK.14.65	Antû bamwe baanjîîria gûtuîra Yiesû mata na kûmûkunîka meetho bakamûringa bakamwîra, “Taroria [ûtwîre ûra akûringa]!”
MRK.14.66	Mwarî ûmwe, mûruti ngûgî wa mûthînjîri ûra mûnene wa Ngai aakûrûkîîra agu Petûrû baakari ome bagîotaga mwanki. 
MRK.14.67	Mwarî ûyu akwona Petûrû, amûcûûba kii. Amwîra, “Wana woû ibûkûrî na Yiesû wa kuuma Nasareethi.”
MRK.14.68	Petûrû aakaana auga, “Niû ntiyî na ntikûmenya bûra ûkuuga.” Auma aarûngama mwîrîgaani. [Ngûkû yakurura.]
MRK.14.69	Mwarî ûyu akwona Petûrû aathi aarûngama mwîrîgaani, eera bara baarûngi akubî n'we, “Muntû ûûra n'ûmwe wa bara baayaniirie na Yiesû.” 
MRK.14.70	Îndî Petûrû aakaana kaîrî. Nyuma ya kagiita gaakai, antû bamwe baarûngi akubî na Petûrû bamwîra, “I mma ûrî ûmwe wa athingati ba Yiesû n'ûntû ûrî wa kuuma Gariiri.”
MRK.14.71	Petûrû eerîrîka wengwa, aathiîtia auga, “Ntiyî muntû ûyû bûkûngwetera!” 
MRK.14.72	Warîru, ngûkû yakurura rîa maîrî. Rîru i rîo Petûrû aaririkanire bûra Yiesû aamwîrîîte atî, “Mbere ya ngûkû îkurura maita maîrî ûgankaana maita mathatû.” Petûrû aathirania kûrû, aanjîîria kûrîra.
MRK.15.1	Rûûni rûkîîrî mûno, *athînjîri bara banene ba Ngai, akûrû, aarimû ba watho, na kîama kîonthe baabanga bûra bakaûragangithia Yiesû. Bamûthaîka njara bamwirîra Piraatû ûra aarî ngabana. 
MRK.15.2	Bagûkinya, Piraatû aûria Yiesû, “I woû mûnene wa Ayaundi?”
MRK.15.2	Yiesû amwîra, “Nwa ta ûgu wauga.”
MRK.15.3	Athînjîri bara banene ba Ngai baatuîrîîra Yiesû mantû maingî. 
MRK.15.4	Piraatû eera Yiesû, “Ûteetheteere na nûkwîgua bûra mantû maingîîte bûgana mara bakuuga nûrûthîîte?” 
MRK.15.5	Îndî wana rîo gûtirî bu Yiesû auga. Piraatû aarigara mûno.
MRK.15.6	Wakîra mwanka kagiita ga kîatho gîa *Pasaka gaakinya, bwarî wîthîre bwa ngabana kûrekia mûgwate ûmwe ûra antû beendaga. 
MRK.15.7	Kagiita gaku ikwarî na mûgwate nceera eetagwa Baraba. Baraba ûyu aarî mûregi watho na aathaîkîîtwe n'ûntû bwa kûûraga muntû kûrî na mûgomo. 
MRK.15.8	Kîrîndî kîathi kîrî Piraatû kîanjîîria kûmûûria arekia mûgwate ûmwe wata wîthîre.
MRK.15.9	Piraatû abaûria, “Ibûkwenda ndekia Mûnene wa Ayaundi?” 
MRK.15.10	Piraatû naiyî *athînjîri bara banene ba Ngai baareeteete Yiesû kîrî we n'ûntû bwa bûra baamwîgagua rûriitho. 
MRK.15.11	Athînjîri babu banene ba Ngai ibaarî bakwîra antû, na antû beetîgîîria kwîra Piraatû arekie Baraba.
MRK.15.12	Piraatû aûria antû kaîrî, “Aabu n'ata bûkwenda ndûtha na muntû ûyû bûgwîta Mûnene wa Ayaundi?”
MRK.15.13	Kîrîndî kîaugîîria na inya kîamwîra, “Mwambe!”
MRK.15.14	Piraatû abaûria, “I kî? I mabîtia marîkû arûthîîte?”
MRK.15.14	Amwe na ûgu, kîrîndî gîaûkîîria kayû na inya nkûrûki, kîera Piraatû, “Mwambe!” 
MRK.15.15	Na n'ûntû Piraatû neendaga kûbaingîria bûra beendaga, auga Baraba arekue. Aaruta watho auga Yiesû aringwe ibooko. Rîru amûnenkanîra kîrî acikaarî athi kwambwa.
MRK.15.16	Acikaarî babu baira Yiesû nyomba îra magamba maagiitagîrwa gûku kambîîni ya ngabana. Nyomba înu yeetagwa Puritoria. Bakûmwira ku beeta mbûûtû ya acikaarî bara bangî bonthe. 
MRK.15.17	Beekîra Yiesû nguo îndaaya ya rangi ya ûkûyû. Baatumania matî ma mîîgua maakara ta nthûmbî ya ûnene bamwîkîra mo. 
MRK.15.18	Bakûrûtha ûgu, baacooka baatua kûmwîra, “N'ata îîndî, Mûnene wa Ayaundi!” 
MRK.15.19	Acikaarî babu baacooka baakûng'anga Yiesû kîongo na kamûraagi bakîmûtuuyagîra mata. Bamûturîria maru bakîmûthekeera bakîîrûthaga taka bakûmûgonga. 
MRK.15.20	Bakûrîîkia kûrûtha ûgu, acikaarî babu bamûruta nguo înu yarî îndaaya. Bamwîkîra nguo ciake ciongwa kaîrî, rîru baathi kûmwamba.
MRK.15.21	Bathiîte, baarîîkana na muntû eetagwa Simioni, wa kuuma gûntû gweetagwa Kureni. Simioni ûyu aarî îthe wa Aregisanda na Rubas. Kagiita gaku naumîîte mûndaani. Acikaarî baakamatithia Simioni mûtharaba wa Yiesû na taka. 
MRK.15.22	Baira Yiesû bantû eetagwa Gorogotha. Gorogotha i ta kuuga, ‘Kîîndî gîa kîongo.’ 
MRK.15.23	Bagûkinya, baageria gûkundia Yiesû ndibei yaunganîîtue na manemane.
MRK.15.24	Acikaarî babu baamba Yiesû mûtharabaani. Baacooka baaringîra nguo ciake kuura, muntû aathûkia îra aacindaga.
MRK.15.25	Rîru baamwambire kwarî thaa ithatû cia rûkîîrî. 
MRK.15.26	Acikaarî bakûmwamba, baacooka agu îgûrû rîa kîongo giake mûtharabaani baaringaringîra kabaaû ga kwonania kîra Yiesû aathitangîrîtwe. Kabaaû gaku kaandîkîîtwe, “
MRK.15.27	Baacooka baamba atunyani baîrî agu akubî n'we. Ûmwe aarî rûteere rwake rwa ûrîo, na ûyu ûngî rûteere rwake rwa ûmotho. [
MRK.15.28	*Maandîko Maatheru maingîka, mara maugîîte, “Aathûkiirue bûmwe na auni watho.”]
MRK.15.29	Bara baakûrûkagîîra agu Yiesû aambîîtwe bamûrumanga. Bainainagia biongo bakauga, “Ooo! Anga ûtiraugaga ûkoomborania Nyomba ya Ngai ûmîake kaîrî na ntugû ithatû! 
MRK.15.30	Teebambûre uume agu ûrî mûtharabaani, wîbonokie!”
MRK.15.31	Wana athînjîri bara banene ba Ngai na aarimû ba watho ibaamûthekagîîra. Beeranaga, “Aroonokagia antû, îndî atikûûmba kwîbonokia! 
MRK.15.32	Ûkaaya kwîgua wabu n'we Kîrîstû, mûnene wa Isiraeri, îîndî neebambûre aume agu arî mûtharabaani, twone, tûmwîtîgie.” Atunyani babu baambîîtwe agu wana bo barumanga Yiesû.
MRK.15.33	Kwanjîîria mûthenya gatî, mwindu waruma mathaa mathatû nthîgûrû înu yonthe. 
MRK.15.34	Igûkinya thaa kenda, Yiesû aagondoka na inya. Auga, 
MRK.15.35	Antû bamwe ba bara baarûngi agu bakwîgua Yiesû auga ûgu bauga, “Teeguani, n'Eriya agwîta!” 
MRK.15.36	Ûmwe wao augia rwîro aathi aathûkia cibonji amîtombeka ndibeini yarî na gana, amîogeera mûthiani wa kamûtî amîtiirithia mîromo ya Yiesû aciia. Auga, “Gatwoneeni ingî kana weegua Eriya akaaya amwambûre aume mûtharabaani ûyû aambîîtwe.” 
MRK.15.37	Yiesû aagondoka kaîrî, aanyaarûka.
MRK.15.38	Gîtambaa kîra kîagaanîîtie nyomba ya Ngai
MRK.15.39	Mûtongoria wa njûûrî ya acikaarî aarûngi agu mbere rungu rwa mûtharaba wa Yiesû. Akwona bûra Yiesû aakuyangire auga, “Na mma muntû ûyû araarî Mwana wa Ngai.”
MRK.15.40	Ikwarî na eekûrû beebûmbîîte gataaria bakîonaga bûra gwakarîkaga. Bamwe baao baarî Maria Mûmagindari, Saroome, na Maria gina wa Njakubu ûra mûniini na Njastas. 
MRK.15.41	Eekûrû babu baumanîîtie na Yiesû Gariiri bakîmûmenyagîîra. Na ikwarî kinya na eekûrû bangî baingî baayanîîtie na Yiesû Njerusaremu.
MRK.15.42	Ûgoro bûgûkinya ntugû înu ya kwîthuuranîra n'ûntû bwa *Sabatû, 
MRK.15.43	muntû ûmwe eetagwa Njosebu wa kuuma Arimathea aathi kîrî Piraatû aûmîrîîtie, aaroomba eetîgîîrue athûkie kiimba kîa Yiesû. Njosebu ûyu aarî ûmwe wa akîama ba kîama kîa Ayaundi, na aarî ûmwe wa bara beerîgîrîîte ûnene bwa Ngai bûkaaya. 
MRK.15.44	Piraatû aarigara akwîgua Yiesû naarî agûkua. Atoonaga taka ûkîûmba kwîgua Yiesû aarî agûkua na mpwî ûgu. Eeta ûmwe wa anene ba acikaarî ûra aakarîîtie Yiesû amûûria. 
MRK.15.45	Akwîrwa Yiesû naarî agûkua, eetîgîîria Njosebu athûkia kiimba.
MRK.15.46	Njosebu aagûra cuka. Aambûra kiimba kîa Yiesû mûtharabaani. Akîoga na cuka înu aathi akiiga nthikooni yenjîîtwe rwaraani rwa iiga. Aingiritia iiga rîînene mûno aakunîkîra na rîo. 
MRK.15.47	Maria Mûmagindari na Maria gina wa Njastas boona kûra mwîrî wa Yiesû wathûngîîrue.
MRK.16.1	Rûûni rwa ntugû ya *Sabatû, Maria Mûmagindari, Maria gina wa Njakubu na Saroome baagûra mîtaa bathi gwaka kiimba kîa Yiesû. 
MRK.16.2	Kûrî mûthenya wa mbere wa kiumia, eekûrû babu baaraûka kuuma rûûkîîrî mûno riûa rîkiuma, baathi nthikooni îra Yiesû aathikîîtwe. 
MRK.16.3	Bathiîte baûranagia, “N'ûû agaatwingiritîria iiga rîra rîgana ûra riume mûromooni wa nthiko?”
MRK.16.4	Eekûrû babu bagûkinya boona iiga rîra irîraingiritiirue rîarutarutwa oogo na kûnenea kwene. 
MRK.16.5	Bakûthûngîra gûku nthikooni beethîra mûthaka akari nthî rûteere rwa ûrîo eekîrîte nguo îndaaya înjerû. Baamaka.
MRK.16.6	Mûthaka ûyu abeera, “Tigaani kûmaka. Inkûmenya i Yiesû wa kuuma Nasareethi ûra araambîîtwe mûtharabaani bûgûcûa. Nariûkire, atirî gûkû. Raithaani bwone, aaga noogo kiimba gîake kîraigîîtwe. 
MRK.16.7	Cookaani bûmenyithie arutwa baake akûthiyaga Gariiri. Baathi noogo bakamwona wata bûra aabeerire. Bwîre Petûrû ûgu.”
MRK.16.8	Eekûrû babu ibainainaga n'ûguaya. Baumagarûka baugia rwîro. Gûtirî we beera ûgu gwakarîkire n'ûntû bwa kîmako kîra kîabagwete.
MRK.16.9	Yiesû akûriûka rûkîîrî mûthenya wa mbere wa kiumia, eebonaniirie mbere kîrî Maria Mûmagindari ûra agu mbereeni eengatîîtie irundu biithûûku mûgwanja biauma kîrî we. 
MRK.16.10	Maria Mûmagindari akwona Yiesû aathi eera athingati baake. Arutwa ibaarî na kîeba kîînene mûno. Ibaarîraga. 
MRK.16.11	Maria abeera, “Yiesû arî mwoyo, nkûmwona.” Îndî athingati ba Yiesû baarega kûmwîtîgia.
MRK.16.12	Nyumaani, Yiesû eebonania kîrî arutwa baake baîrî bathiîte bwa ntûûra. Oonekaga agarûkîîte aakara mwanya na bûra aakari mbere ya akua. 
MRK.16.13	Arutwa babu baacooka beera bara bangî ûgu boona. Îndî wana rîo bateetîgia.
MRK.16.14	Kaîrî nyumaani arutwa bakîrîyaga, Yiesû eebonania kîrî bo barî îkûmi na ûmwe. Abatheteria kwaga wîtîgio n'ûntû bakwîrwa akûriûka i bara baamwonaga, ibaûmiirie biongo baarega gwîtîgia.
MRK.16.15	Yiesû abeera, “Îthiini nthîgûrû yonthe bûtûmîîrie ntheto îmbega kîrî antû bonthe. 
MRK.16.16	Ûra ageetîgia abaatithue, akoonokua. Îndî ûra atagîîtîgia akaagiitîrwa îgamba bûûthûûku mûno. 
MRK.16.17	Bara bageetîgia, kwa riîtwa rîakwa bakeewa inya ya kwîngatia irundu biithûûku bikauma kîrî antû. Na bakaaragia na nthiomi ingeni. 
MRK.16.18	Bakaaya kûgwata njoka, kana bakanyua cûmû, gûtirî bu bagaakara. Bakaigagîîra aayie njara bakoora.”
MRK.16.19	Mwathani Yiesû akûrîîkia kwîra arutwa baake ûgu, eetithua airwa îgûrû, aakara rûteere rwa ûrîo rwa Ngai. 
MRK.16.20	Arutwa baake baathi gûntû kunthe baatûmîîria antû ntheto îmbega, kuumania na ûteethio bwa Mwathani. Na Mwathani noonaniirie ntheto îmbega îra arutwa baake baatûmagîîria n'ya mma kûringana na biama bira baaringaga.
LUK.1.1	Antû baingî ibaageriirie baandîka bakiugaga mantû mara makarîkîîte kîrî tiû. 
LUK.1.2	Baandîkire wata bûra twerîîtwe mo i bara baarî oogo makîrûthwa. Bara baarî akûûyî na atûmîîria ba kiugo kuuma kîambîrîria ibaatwîrire bûra gwakarîkire. 
LUK.1.3	Nyuma ya ngûcûnkûûna kaumo ka mo monthe ndoona bûra maakari, wana niû indaroonire nkwandîkîre mo tarîîria, woû mûkaathe Thiobiras. 
LUK.1.4	Ndîkwandîkîra kaingo ûmenya ûmma bwa mantû mara warutanirwe.
LUK.1.5	Eronde arî mûnene wa Njundea, ikwarî na mûthînjîri wa Ngai eetagwa Cakaria. Aarî ûmwe wa *athînjîri bara baataragîrwa gîkundiini kîa Abiya. Wana mwekûrû wake, Ericabethi, aarî wa rûrîîyo rwa Arûni, mûthînjîri ûra mûnene wa Ngai. 
LUK.1.6	Barî baîrî, baarî antû baatheru nkoro kîrî Ngai na ibaathîkagîra mawatho na maathana maake monthe. 
LUK.1.7	Bataarî na twana n'ûntû Ericabethi aarî nthaata na barî baîrî, ibaarî bagûkûra mma.
LUK.1.8	Kagiita ka athînjîri ba gîkundi kîa Abiya gagûkinya, Cakaria aathûngîra nyomba ya Ngai kûruta ngûgî. 
LUK.1.9	Na wata bûra wîthîre bwa athînjîri ba Ngai bwakari, i kuura baaringire, Ngai aboonia ngûgî îra woora ûmwe waciao akaaruta. Cakaria n'we aathuurirwe athûngîra nyomba ya Mwathani atoogia macoco.
LUK.1.10	Îgiita rîgûkinya rîa gûtoogia macoco, kîrîndî kîonthe îkîarombaga kîrî ome naara kîagîrîtwe kwîgua kîrî. 
LUK.1.11	Mûraîka wa Mwathani aaya gûku Cakaria aarî, aarûngama rûteere rwa ûrîo rwa bantû ara macoco maabîîthagîrua. 
LUK.1.12	Cakaria akûmwona aagwatwa i kîrikithi, aatua kwîgua ûguaya. 
LUK.1.13	Mûraîka amwîra, “Ûtikaamake Cakaria. Ngai neegîîtue maromba maaku. Mwekûrû waku Ericabethi agagûciarîra kaana ga kaîyî ûgeete Njoana. 
LUK.1.14	Kaana gaku gagaatûma ûkena na ûgwîrua. Na antû baingî bagaakeneera gûciarwa gwa ko. 
LUK.1.15	Akeegua arî mûruti ngûgî ya Mwathani ûmûnene. Atikooro anyua ncoobi kana anyua gîntû gîa gûtogoonia. Akeegua aûyûrîîtwe i Kîrundu Ûmûtheru kuuma gûciarwa. 
LUK.1.16	Akaagarûra antû ba Isiraeri bacooke kîrî Mwathani Ngai wao. 
LUK.1.17	Njoana akaaya mbere ya Mwathani aaya, na akeegua atongoreetue i Kîrundu, arî na inya ta ya Eriya. Agaatûma aciari beendage aana baao. Na agaatûma aregi bagarûka bathûgaanagie ta antû baagîru nkoro. N'we akaathuuranîra Mwathani antû baake.”
LUK.1.18	Cakaria aûria mûraîka, “N'ata nkaamenyanga ûntû bûbu bûgaakarîka? Niû ndî mûkûrû, na wana mwekûrû wakwa n'ûmûkûûrû kûrû.”
LUK.1.19	Mûraîka amûcookeria amwîra, “I niû Ngaburieri ûra arûngi mbere ya Ngai. Ntûmirwe i Ngai mbûya kwaria naawe nkwîra ntheto ino imbega. 
LUK.1.20	Ka ngûkwîra, ûtiaria kaîrî kuuma îîndî ûgu mwanka rîra mantû mama magaakarîka, n'ûntû ûtireetîgania na ntheto ciakwa ira igaatuîkîka îgiita rîa cio rîakinya.”
LUK.1.21	Mantû mamu mathiîte na mbere woogû, antû nwa baakari nja beeteereete Cakaria. Baarigara baatua kûûrania, “I mbi n'ûntû Cakaria aakara nyomba ya Ngai îgiita rîgana ûgu?” 
LUK.1.22	Akuuma ataûmba kwaria na bo na kanyua kaîrî. Aabonagîîria mantû na njara akî. I rîo baamenyire kûrî kîoneki oona arî ndeni ya nyomba ya Ngai.
LUK.1.23	Îgiita rîao rîa ûthînjîri rîkûthira, Cakaria eenûka mûciî wake. 
LUK.1.24	Nyumaani Ericabethi mwekûrû wake aagîa nda. Akûmîgîa atauma nyomba bantû a mîeri îtaano. Aakaraga akiugaga, 
LUK.1.25	“Mwathani agûnteethia aanthiria îgi rîra ndaraarî na rîo kîrî antû!”
LUK.1.26	Nda ya Ericabethi îgûkinyia mîeri îthanthatû, Ngai aatûma mûraîka Ngaburieri taûni ya Nasareethi îra îrî gîteere kîa Gariiri. 
LUK.1.27	Aamûtûmire kîrî mwarî eetagwa Maria, ataamaamîîte na muntû mûrûme. Maria aakeethagua agûrwa i mûthaka eetagwa Njosebu, wa rûrîîyo rwa Ndaundi. 
LUK.1.28	Mûraîka aathi kîrî we amûkeethia amwîra, “Woû ûrî ûmûthaarime mûno na Mwathani arî amwe naawe.”
LUK.1.29	Maria akwîgua mîgambo înu, aamaka mûno. Aarigara n'ûntû bûbu. 
LUK.1.30	Mûraîka amwîra, “Ûtikaamake, Maria. Ngai nakeneete i woû. 
LUK.1.31	Ûkaagîa nda ûciare kaana ga kaîyî ûgeete Yiesû. 
LUK.1.32	Agaatuîka mûnene na ageetagwa Mwana wa Ngai ûra arî îgûrû mûno. Na Mwathani Ngai akamwaa ûnene bwa kîûyûûyû gîake, Ndaundi. 
LUK.1.33	Akaatha rûrîîyo rwa Njakubu tene na tene, na ûnene bwake bûtiithira rî kana rî.”
LUK.1.34	Maria aûria mûraîka, “Mantû mama magaakarîkanga ata na niû ntaamaama na muntû mûrûme?”
LUK.1.35	Mûraîka amûcookeria amwîra, “Kîrundu Ûmûtheru akaaya kîrî woû, na inya ya Mwathani ûra arî îgûrû mûno îgagûkinyîîra. Kwoogu kaana kara gagaaciarwa gageetwa mûtheru, Mwana wa Ngai. 
LUK.1.36+LUK.1.37	Ndîenda ûmenya Ericabethi ûra wenu, n'ûmûrito na wone we n'ûmûkûûrû kûrû. Îîndî ûûgû arî na nda ya mîeri îthanthatû n'ûntû gûtirî bu Ngai ataûmba kûrûtha, na antû baraugaga i nthaata.”
LUK.1.38	Maria auga, “Niû ndî mûruti ngûgî wa Mwathani, inkare woogu wauga.” Mûraîka amûtiga aathi.
LUK.1.39	Kagiita gaku Maria auma agu na mpwî aathi bwa taûni yarî gatîgatî ka irîma bia Njundea. 
LUK.1.40	Agûkinya gwa Cakaria, aathûngîra nyomba aakeethia Ericabethi. 
LUK.1.41	Ericabethi akwîgua nkeethi ya Maria, kaana gaatûûbatûûba karî nda. Ericabethi aûyûrwa i Kîrundu Ûmûtheru. 
LUK.1.42	Augîîria na inya auga, “Woû ûrî ûmûthaarime kîrî aka bonthe. Wana kaana kara ûgaaciara i kaathaarime! 
LUK.1.43	Niû ndî ûû wa kûriûngîrwa i gina wa Mwathani wakwa? 
LUK.1.44	Nkwîgua wankeethia, kaana igagûtûûbatûûbaga karî nda i gîkeno. 
LUK.1.45	Woû ûrî ûmûthaarime n'ûntû bwa gwîtîgia bûra weerirwe i Mwathani bûgaakarîka.”
LUK.1.46	Maria auga,
LUK.1.46	“Ingûkumia Mwathani na nkoro yakwa yonthe,
LUK.1.47	ingûkena mûno n'ûntû bwa Ngai Mwonokia wakwa.
LUK.1.48	Akûndirikana niû mûruti ngûgî wake ûmûkirîîru
LUK.1.48	kuuma îîndî ûgu nciarwa cionthe
LUK.1.48	ikaugaga ndî ûmûthaarime.
LUK.1.49	Ngai ûra arî inya akûndûthîra mantû maanene,
LUK.1.49	riîtwa rîake i rîîtheru.
LUK.1.50	Nabeegagua kîao bara bamûtîîyaga,
LUK.1.50	nciarwa na nciarwa.
LUK.1.51	Narûthaga manene na inya yake.
LUK.1.51	Naaraganagia bara beekumagia mathûgaanioni maao.
LUK.1.52	Narutaga bara banene itîîni bia ûnene,
LUK.1.52	akaneneia bara beenyithagia.
LUK.1.53	Bara barî na yûûra rîa mantû meega,
LUK.1.53	nababaithagia na mo,
LUK.1.53	akeengatia itonga bikathi njara intheri.
LUK.1.54	Natûteethagia tiû Aisiraeri, aruti ngûgî baake,
LUK.1.54	n'ûntû naririkanaga gûtwîgua kîao.
LUK.1.55	Ngai narûthaga bûra eerire biûyûûyû bietû
LUK.1.55	akaarûthîra Îburaîmu,
LUK.1.55	na nciarwa ciake tene na tene.”
LUK.1.56	Maria baakarire na Ericabethi bantû a mîeri îthatû akîîya gûcooka kwao.
LUK.1.57	Îgiita rîa Ericabethi rîa kuurûka rîgûkinya, aagîa na kaana ga kaîyî. 
LUK.1.58	Atûûri na antû ba mûciî wao bakwîgua Mwathani naamwîgîîrue kîao ibaakenanîîre amwe n'we. 
LUK.1.59	Baataana kaana gaku ntugû ya inyanya kuuma gagûciarwa. Beendaga gûgeeta Cakaria ta îthe, 
LUK.1.60	gina aarega, auga, “Gatigeetwe ûgu, igeetwe Njoana.”
LUK.1.61	Bamwîra, “Gûtirî muntû wa mûciî wenu eetagwa ûgu!”
LUK.1.62	Baarîria Cakaria na njara bakîmûûria bûra eendaga mwana eetwa. 
LUK.1.63	Cakaria eetia bantû a kwandîka. Aandîka, “Riîtwa rîake i Njoana.” Antû bonthe baarigara boona ûgu. 
LUK.1.64	Warîo Cakaria aarugûka mîario, aanjîîria kwaria agîkumagia Ngai.
LUK.1.65	Atûûri bonthe baagwatwa n'ûguaya. Na ntheto cia mantû mamu ciatambua ntûûra cionthe irîmaani bia Njundea. 
LUK.1.66	Muntû wonthe ûra eegagua ntheto inu aathûgaanagia akeebûûria, “Ka mwana ûyû agaatuîka ûû?” Antû baûragia ûgu n'ûntû iboonaga inya ya Mwathani nîarî amwe na Njoana.
LUK.1.67	Cakaria, îthe wa Njoana, aûyûrwa i Kîrundu Ûmûtheru. Aaroria auga,
LUK.1.68	“Ga tûkumieni Mwathani, Ngai wa Isiraeri!
LUK.1.68	Akûûya gûteethia antû baake akîbakûûra.
LUK.1.69	Agûtwaa Mwonokia arî na inya,
LUK.1.69	kuuma rûrîîyooni rwa Ndaundi mûruti ngûgî wake.
LUK.1.70	Wata bûra eeranire kuuma wo tene
LUK.1.70	gûkûrûkîîra tûnyuani twa iroria biake biitheru.
LUK.1.71	Augire agatwonokia kuuma kîrî anthû beetû,
LUK.1.71	na kuuma inyaani ya bara batûmenaga.
LUK.1.72	Na akeegua biûyûûyû kîao,
LUK.1.72	aririkane kîrîîkanîro gîake kîîtheru,
LUK.1.73	ta kîo mûthiîtio ûra aathiîtîîrie
LUK.1.73	kîûyûûyû gîetû Îburaîmu,
LUK.1.74+LUK.1.75	auga agatûtunyûkia kuuma kîrî anthû beetû,
LUK.1.74+LUK.1.75	agatûteethagia tûtûûrage tûtarî na ûguaya.
LUK.1.74+LUK.1.75	Rîru i rîo tûkaamûrutîra ngûgî tûrî baatheru,
LUK.1.74+LUK.1.75	na tûrî baagîru nkoro meethooni maake
LUK.1.74+LUK.1.75	ntugû cietû cionthe cia mwoyo.
LUK.1.76	Naawe, mwana wakwa, ûgeetagwa kîroria
LUK.1.76	kîa Ngai ûra arî îgûrû mûno.
LUK.1.76	Mbere ya Mwathani aaya,
LUK.1.76	ûkamûrûthîra njîra kûra agaakûrûkîîra,
LUK.1.77	wîre antû baake bamenye
LUK.1.77	bûra baarekerwa meeyia maao, boonokue,
LUK.1.78	n'ûntû bwa kîao kîînene kîa Ngai wetû.
LUK.1.78	Werû bûkauma îgûrû bûtûthararîre,
LUK.1.79	na bûkaamûrîkîra antû bonthe
LUK.1.79	bara batûûraga mwinduuni wa gîkuû,
LUK.1.79	bûtûtongoreerie njîraani ya ûkiri.”
LUK.1.80	Mwana ûyu aakûrire, aagîa inya mûno ya gîîkîrundu. Aakara rwanda ntugû yakinya îra aanjîîrie gûtûmîîria antû ba Isiraeri.
LUK.2.1	Nyuma ya îgiita rîtarî rîraaya kuuma Njoana agûciarwa, Kaisaarî Aûgûstû aaruta watho auga antû ba nthîgûrû yake bonthe beebandîkithie. 
LUK.2.2	Rîrî i rîo rîarî îgiita rîa mbere gûtara antû kuuma Akuirino agûtuîka Ngabana wa nthîgûrû ya Sîîria. 
LUK.2.3	Wamuntû wonthe aathiyaga kwîbandîkithia naara booyûe baatûûraga tene.
LUK.2.4	Njosebu auma taûni ya Nasareethi, gîteere kîa Gariiri, aathi Bethireemu taûni ya baNdaundi n'ûntû aarî wa rûrîîyo rwao. 
LUK.2.5	Aathiire noogo kaingo beebandîkithia na Maria ûra aakeethagia agûra. Maria naarî na nda. 
LUK.2.6	Barî Bethireemu, Maria aakinyithia îgiita rîa kûgîa na mwana. 
LUK.2.7	Aaciara kaana ga kaîyî karî gîtûra îria gîake, akaguîka na nguo, akamaamia rûkongorooni rûra ng'ombe ciarîyagîra. Batoona kîmaamo nyomba ya ageni n'ûntû bwa antû kwingîa.
LUK.2.8	Ikwarî na arîîthi baareerie ng'ondu ciao rûriîni gûntû gûku. 
LUK.2.9	Mûraîka wa Mwathani aarûngama mbere yao, mwago wa Mwathani wabamûrîka. Baamaka mûno.
LUK.2.10	Mûraîka abeera, “Tigaani kûmaka n'ûntû ndaaya kûbwîra ntheto îmbega ya gîkeno kîînene kîrî antû bonthe. 
LUK.2.11	N'ûntû îmunthî taûni ya baNdaundi bûgûciarîrwa Mwonokia, n'we i Kîrîstû Mwathani. 
LUK.2.12	Kaana kara bûkoona kaguîkîîtwe na nguo kaamaamua rûkongorooni rûra ng'ombe irîyagîra, gîku i kîo gîkaabûmenyithia n'we Mwonokia.”
LUK.2.13	Nthûti îmwe njûûrî ya araîka ba îgûrû na mûraîka ûyu baanjîîria kwina bagîkumagia Ngai. Bainaga,
LUK.2.14	“Ngai ûra akaraga îgûrû mûno arookumagua,
LUK.2.14	ûkiri ibwîgue bûrî gûkû nthîgûrû
LUK.2.14	kîrî antû baake bara bamûkenagia!”
LUK.2.15	Araîka bakûbatiga beetia îgûrû, arîîthi beerana, “Tûthiini Bethireemu tûkeebonere ûntû bûbû Mwathani atûmenyithia.” 
