GEN.1.2	Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä. 
EXO.36.31	Sitten tehtiin myös viisi poikkitankoa akasiapuusta asumuksen toisen sivun lautoja varten 
EXO.36.32	ja viisi poikkitankoa asumuksen toisen sivun lautoja varten ja viisi poikkitankoa asumuksen takasivun, länsipuolen, lautoja varten. 
EXO.36.33	Ja keskimmäinen poikkitanko tehtiin kulkemaan lautojen keskikohdalta, reunasta reunaan. 
EXO.36.34	Ja laudat päällystettiin kullalla, ja niiden renkaat tehtiin kullasta poikkitankojen pitimiksi, ja poikkitangotkin päällystettiin kullalla.
EXO.36.36	Ja siihen tehtiin neljä pylvästä akasiapuusta, ja ne päällystettiin kullalla, ja niiden koukut olivat kultaa; ja niitä varten valettiin neljä hopeajalustaa. 
EXO.36.37	Sitten tehtiin myös teltan oveen uudin, kirjaellen kudottu punasinisistä, purppuranpunaisista ja helakanpunaisista langoista ja kerratuista valkoisista pellavalangoista, 
EXO.36.38	ja siihen viisi pylvästä koukkuineen; ja niiden päät ja niiden koristepienat päällystettiin kullalla, ja niiden viisi jalustaa tehtiin vaskesta.
EXO.37.2	Ja hän päällysti sen puhtaalla kullalla sisältä ja ulkoa ja teki siihen kultareunuksen yltympäri. 
EXO.37.3	Ja hän valoi siihen neljä kultarengasta, sen neljään kulmaan, niin että kaksi rengasta tuli sen toiselle puolelle ja kaksi rengasta sen toiselle puolelle. 
EXO.37.4	Ja hän teki korennot akasiapuusta ja päällysti ne kullalla. 
EXO.37.5	Ja hän pisti arkin sivuilla oleviin renkaisiin korennot, joilla arkki oli kannettava. 
EXO.37.6	Ja hän teki armoistuimen puhtaasta kullasta, puoltakolmatta kyynärää pitkän ja puoltatoista kyynärää leveän. 
EXO.37.7	Ja hän teki kaksi kultakerubia, kohotakoista tekoa, armoistuimen molempiin päihin, 
EXO.37.8	toisen kerubin toiseen päähän ja toisen kerubin toiseen päähän. Armoistuimesta kohoaviksi hän teki kerubit, sen kumpaankin päähän. 
EXO.37.9	Ja kerubit levittivät siipensä ylöspäin, niin että ne peittivät siivillänsä armoistuimen, ja niiden kasvot olivat vastakkain; kerubien kasvot olivat käännetyt armoistuinta kohti.
EXO.37.11	Ja hän päällysti sen puhtaalla kullalla ja teki siihen kultareunuksen yltympäri. 
EXO.37.12	Ja hän teki sen ympäri kämmenen korkuisen listan, ja listan ympäri kultareunuksen. 
EXO.37.13	Ja hän valoi siihen neljä kultarengasta ja kiinnitti renkaat neljään kulmaan, sen neljän jalan kohdalle. 
EXO.37.14	Renkaat olivat juuri listan alla niiden korentojen pitiminä, joilla pöytä oli kannettava. 
EXO.37.15	Ja hän teki korennot akasiapuusta ja päällysti ne kullalla; ja niillä oli pöytä kannettava. 
EXO.37.16	Hän teki puhtaasta kullasta pöydällä pidettävät astiat: vadit ja kupit, maljat ja kannut, joista juomauhri vuodatetaan.
EXO.37.18	Kuusi haaraa lähti lampun sivuista, kolme haaraa toisesta sivusta ja kolme haaraa toisesta sivusta. 
EXO.37.19	Toisessa haarassa oli kolme mantelinkukan muotoista kukkakupua, nuppua kukkalehtineen, ja toisessa haarassa samoin kolme mantelinkukan muotoista kukkakupua, nuppua kukkalehtineen; näin oli jokaisessa kuudessa haarassa, jotka lampusta lähtivät. 
EXO.37.20	Mutta itse seitsenhaaraisessa lampussa oli neljä mantelinkukan muotoista kukkakupua, nuppua kukkalehtineen. 
EXO.37.21	Yksi nuppu oli aina jokaisen haaraparin alla niistä kuudesta haarasta, jotka lampusta lähtivät. 
EXO.37.22	Nuput ja haarat olivat samaa kappaletta kuin se; se oli kokonaan samaa kohotakoista tekoa, puhdasta kultaa. 
EXO.37.23	Ja hän teki siihen seitsemän lamppua ja siihen kuuluvat lamppusakset ja karstakupit puhtaasta kullasta. 
EXO.37.24	Yhdestä talentista puhdasta kultaa hän teki sekä sen että kaikki sen kalut.
EXO.37.26	Ja hän päällysti sen puhtaalla kullalla, sekä sen levyn että sivut ympärinsä ja sen sarvet; ja hän teki kultareunuksen sen ympäri. 
EXO.37.27	Ja hän teki siihen kaksi kultarengasta reunuksen alle molemmin puolin, molempiin sivuihin, niiden korentojen pitimiksi, joilla alttari oli kannettava. 
EXO.37.28	Ja korennotkin hän teki akasiapuusta ja päällysti ne kullalla.
EXO.38.2	Ja hän teki siihen sarvet, sen neljään kulmaan, niin että sarvet olivat samaa kappaletta kuin se. Ja hän päällysti sen vaskella. 
EXO.38.3	Ja hän teki kaikki alttarin kalut: kattilat, lapiot, maljat, haarukat ja hiilipannut. Kaikki sen kalut hän teki vaskesta. 
EXO.38.4	Ja hän teki alttariin verkonkaltaisen ristikkokehyksen vaskesta, alttarin välireunuksen alle, maahan kiinni, niin että se ulottui puolitiehen alttaria. 
EXO.38.5	Ja hän valoi neljä rengasta vaskiristikon neljään kulmaan, korentojen pitimiksi. 
EXO.38.6	Ja korennot hän teki akasiapuusta ja päällysti ne vaskella. 
EXO.38.7	Ja hän pisti alttarin sivuilla oleviin renkaisiin korennot, joilla se oli kannettava. Ja hän teki sen laudoista, ontoksi.
EXO.38.9	Sitten hän teki esipihan. Etelän puolella olivat esipihan ympärysverhot kerratuista valkoisista pellavalangoista, sadan kyynärän pituiset; 
EXO.38.10	niiden pylväitä oli kaksikymmentä ja näiden vaskijalustoja kaksikymmentä, mutta pylväiden koukut ja niiden koristepienat olivat hopeata. 
EXO.38.11	Samoin olivat ympärysverhot myös pohjoisen puolella sadan kyynärän pituiset; niiden pylväitä oli kaksikymmentä ja näiden vaskijalustoja kaksikymmentä, mutta pylväiden koukut ja niiden koristepienat olivat hopeata. 
EXO.38.12	Mutta lännen puolella olivat ympärysverhot viidenkymmenen kyynärän pituiset; niiden pylväitä oli kymmenen ja näiden jalustoja kymmenen, ja pylväiden koukut ja niiden koristepienat olivat hopeata. 
EXO.38.13	Ja etupuolella, itään päin, olivat ympärysverhot viidenkymmenen kyynärän pituiset. 
EXO.38.14	Ympärysverhot olivat portin toisella sivulla viidentoista kyynärän pituiset, ja niiden pylväitä oli kolme ja näiden jalustoja kolme. 
EXO.38.15	Samoin olivat ympärysverhot toisellakin sivulla, siis esipihan portin kummallakin puolella, viidentoista kyynärän pituiset; niiden pylväitä oli kolme ja näiden jalustoja kolme. 
EXO.38.16	Kaikki esipihan ympärysverhot yltympäri olivat kerratuista valkoisista pellavalangoista, 
EXO.38.17	ja pylväiden jalustat olivat vaskea, mutta pylväiden koukut ja niiden koristepienat olivat hopeata, ja niiden päiden päällystys oli hopeata; kaikki esipihan pylväät olivat ympäröidyt hopeaisilla koristepienoilla. 
EXO.38.18	Ja esipihan portin uudin oli kirjaellen kudottu punasinisistä, purppuranpunaisista ja helakanpunaisista langoista ja kerratuista valkoisista pellavalangoista, kahdenkymmenen kyynärän pituinen ja niinkuin esipihan ympärysverhotkin viiden kyynärän korkuinen, vaatteen leveyden mukaan; 
EXO.38.19	ja sen pylväitä oli neljä ja näiden vaskijalustoja neljä, mutta niiden koukut olivat hopeata, ja niiden päiden päällystys ja niiden koristepienat olivat hopeata. 
EXO.38.20	Ja kaikki asumuksen ja ympärillä olevan esipihan vaarnat olivat vaskea.
EXO.38.21	Näin paljon lasketaan menneen asumuksen, lain asumuksen, kustannuksiin, joka lasku tehtiin Mooseksen käskyn mukaan leeviläisten toimesta, Iitamarin, pappi Aaronin pojan, johdolla. 
EXO.38.22	Ja Besalel, Uurin poika, Huurin pojanpoika, Juudan sukukunnasta, oli tehnyt kaikki, mistä Herra oli Moosekselle käskyn antanut, 
EXO.38.23	ja hänellä oli apulaisena Oholiab, Ahisamakin poika, Daanin sukukunnasta, seppä ja kuvakudosten tekijä; tämä valmisti kirjokankaita punasinisistä, purppuranpunaisista ja helakanpunaisista langoista ja valkoisista pellavalangoista. 
EXO.38.24	Kultaa, joka käytettiin siihen työhön, kaikkeen työhön pyhäkössä, oli heilutusuhrina tuotu kaikkiaan kaksikymmentä yhdeksän talenttia, seitsemänsataa kolmekymmentä sekeliä, pyhäkkösekelin painon mukaan. 
EXO.38.25	Ja hopeata, joka kansalta katselmusta pidettäessä kerääntyi, oli sata talenttia ja tuhat seitsemänsataa seitsemänkymmentä viisi sekeliä, pyhäkkösekelin painon mukaan, 
EXO.38.26	puolikas, puoli sekeliä, henkeä kohti, pyhäkkösekelin painon mukaan, jokaiselta katselmuksessa olleelta kaksikymmenvuotiaalta ja sitä vanhemmalta, kaikkiaan kuudeltasadalta kolmelta tuhannelta viideltäsadalta viideltäkymmeneltä. 
EXO.38.27	Ja ne sata talenttia hopeata käytettiin pyhäkön jalustain ja esiripun jalustain valamiseen: sata talenttia sataan jalustaan, talentti jalustaa kohti. 
EXO.38.28	Ja niistä tuhannesta seitsemästäsadasta seitsemästäkymmenestä viidestä sekelistä tehtiin koukut pylväisiin ja päällystettiin hopealla niiden päät ja tehtiin niihin koristepienat. 
EXO.38.29	Ja heilutusuhri-vaskea oli seitsemänkymmentä talenttia, kaksituhatta neljäsataa sekeliä. 
EXO.38.30	Siitä tehtiin jalustat ilmestysmajan oveen, vaskialttari ja siihen kuuluva vaskinen ristikkokehys ja kaikki alttarin kalut 
EXO.38.31	sekä jalustat ympärillä olevaan esipihaan ja jalustat esipihan porttiin ja kaikki asumuksen vaarnat ja kaikki vaarnat ympärillä olevaan esipihaan.
EXO.39.3	Kultalevyt taottiin ohuiksi ja leikattiin säikeiksi, taidokkaasti kudottaviksi punasinisten, purppuranpunaisten ja helakanpunaisten lankojen ja valkoisten pellavalankojen sekaan. 
EXO.39.4	Siihen tehtiin yhdistettävät olkakappaleet; molemmista päistänsä se kiinnitettiin niihin. 
EXO.39.5	Ja vyö, joka oli oleva kasukassa sen kiinnittämiseksi, oli tehty samasta kappaleesta kuin se, samalla tavalla kullasta sekä punasinisistä, purppuranpunaisista ja helakanpunaisista langoista ja kerratuista valkoisista pellavalangoista, niinkuin Herra oli Moosekselle käskyn antanut. 
EXO.39.6	Sitten valmistettiin kultapalmikoimilla kehystetyt onyks-kivet, joihin oli kaiverrettu Israelin poikien nimet, niinkuin kaiverretaan sinettisormuksia. 
EXO.39.7	Ja ne pantiin kasukan olkakappaleihin, että ne kivet johdattaisivat muistoon israelilaiset, niinkuin Herra oli Moosekselle käskyn antanut.
EXO.39.9	Se oli neliskulmainen ja taskun muotoon tehty; rintakilpi tehtiin vaaksan pituinen ja vaaksan levyinen, taskun muotoon. 
EXO.39.10	Ja sen pintaan kiinnitettiin kiviä yliyltään, neljään riviin: ensimmäiseen riviin karneoli, topaasi ja smaragdi; 
EXO.39.11	toiseen riviin rubiini, safiiri ja jaspis; 
EXO.39.12	kolmanteen riviin hyasintti, akaatti ja ametisti; 
EXO.39.13	ja neljänteen riviin krysoliitti, onyks ja berylli. Kultapalmikoimilla kehystettyinä ne kiinnitettiin paikoilleen. 
EXO.39.14	Kiviä oli Israelin poikien nimien mukaan kaksitoista, yksi kutakin nimeä kohti; kussakin kivessä oli yksi kahdentoista sukukunnan nimistä, kaiverrettuna samalla tavalla, kuin kaiverretaan sinettisormuksia. 
EXO.39.15	Ja rintakilpeen tehtiin puhtaasta kullasta käädyt, punotut, niinkuin punonnaista tehdään. 
EXO.39.16	Vielä tehtiin kaksi kultapalmikoimaa ja kaksi kultarengasta, ja molemmat renkaat kiinnitettiin rintakilven molempiin yläkulmiin. 
EXO.39.17	Ja molemmat kultapunonnaiset kiinnitettiin kahteen renkaaseen rintakilven yläkulmiin. 
EXO.39.18	Ja molempien punonnaisten toiset kaksi päätä kiinnitettiin kahteen palmikoimaan, ja nämä kiinnitettiin kasukan olkakappaleihin, sen etupuolelle. 
EXO.39.19	Vielä tehtiin kaksi kultarengasta, ja ne pantiin rintakilven molempiin alakulmiin, sen sisäpuoliseen, kasukkaa vasten olevaan reunaan. 
EXO.39.20	Ja vieläkin tehtiin kaksi kultarengasta, ja ne kiinnitettiin kasukan molempiin olkakappaleihin, niiden alareunaan, etupuolelle, sauman kohdalle, kasukan vyön yläpuolelle. 
EXO.39.21	Sitten rintakilpi solmittiin renkaistaan punasinisellä nauhalla kasukan renkaisiin, niin että se oli kasukan vyön yläpuolella, eikä siis rintakilpi irtautunut kasukasta — kaikki, niinkuin Herra oli Moosekselle käskyn antanut.
EXO.39.23	Ja pääntie viitan keskellä oli niinkuin haarniskan aukko, ja pääntie ympäröitiin päärmeellä, ettei se repeäisi. 
EXO.39.24	Ja viitan helmaan tehtiin granaattiomenia punasinisistä, purppuranpunaisista ja helakanpunaisista kerratuista langoista. 
EXO.39.25	Sitten tehtiin tiukuja puhtaasta kullasta, ja nämä tiuvut kiinnitettiin granaattiomenien väliin viitan helmaan ympärinsä, granaattiomenien väliin: 
EXO.39.26	vuorotellen tiuku ja granaattiomena viitan helmaan ympärinsä, käytettäviksi virantoimituksessa, niinkuin Herra oli Moosekselle käskyn antanut.
EXO.39.28	käärelakki valkoisista pellavalangoista, koristepäähineet valkoisista pellavalangoista ja pellavakaatiot kerratuista valkoisista pellavalangoista, 
EXO.39.29	ja vihdoin vyö kerratuista valkoisista pellavalangoista ja punasinisistä, purppuranpunaisista ja helakanpunaisista langoista, kirjaellen kudottu, niinkuin Herra oli Moosekselle käskyn antanut. 
EXO.39.30	Vielä tehtiin otsakoriste, pyhä otsalehti, puhtaasta kullasta ja siihen piirrettiin, niinkuin sinettisormusta kaiverretaan, kirjoitus: "Herralle pyhitetty". 
EXO.39.31	Ja siihen kiinnitettiin punasininen nauha sidottavaksi käärelakin yläreunaan, niinkuin Herra oli Moosekselle käskyn antanut.
EXO.39.32	Ja niin valmistui koko työ: asumus, ilmestysmaja. Ja israelilaiset tekivät kaiken, niinkuin Herra oli Moosekselle käskyn antanut; niin he tekivät.
EXO.39.34	punaisista oinaannahoista tehdyn peitteen ja sireeninnahoista tehdyn peitteen ja verhona olevan esiripun, 
EXO.39.35	lain arkin korentoineen, armoistuimen, 
EXO.39.36	pöydän kaikkine kaluineen ja näkyleivät, 
EXO.39.37	aitokultaisen seitsenhaaraisen lampun riviin pantavine lamppuineen ja kaikkine kaluineen sekä öljyä seitsenhaaraista lamppua varten, 
EXO.39.38	kultaisen alttarin, voiteluöljyn ja hyvänhajuisen suitsukkeen, majan oven uutimen, 
EXO.39.39	vaskialttarin vaskisine ristikkokehyksineen, sen korennot ja kaikki kalut, altaan jalustoineen, 
EXO.39.40	esipihan ympärysverhot pylväineen ja jalustoineen, esipihan portin uutimen sekä sen köydet ja vaarnat, ja kaikki kalut, joita tarvitaan asumuksen, ilmestysmajan, tehtävissä, 
EXO.39.41	virkapuvut pyhäkköpalvelusta varten ja pappi Aaronin muut pyhät vaatteet sekä hänen poikiensa pappispuvut. 
EXO.39.42	Aivan niinkuin Herra oli Moosekselle käskyn antanut, niin olivat israelilaiset tehneet kaiken sen työn. 
EXO.39.43	Ja Mooses katseli kaikkea työtä, ja katso, he olivat tehneet sen niin, kuin Herra oli käskenyt; niin he olivat tehneet. Silloin Mooses siunasi heidät.
EXO.40.1	Ja Herra puhui Moosekselle sanoen: 
EXO.40.2	"Ensimmäisen kuukauden ensimmäisenä päivänä pystytä asumus, ilmestysmaja. 
EXO.40.3	Ja aseta sinne lain arkki ja ripusta esirippu arkin eteen. 
EXO.40.4	Ja tuo sinne pöytä ja lado sille näkyleivät päälletysten; ja tuo sinne seitsenhaarainen lamppu ja nosta sen lamput paikoilleen. 
EXO.40.5	Ja sijoita kultainen suitsutusalttari lain arkin eteen ja ripusta uudin majan oveen. 
EXO.40.6	Ja polttouhrialttari sijoita asumuksen, ilmestysmajan, oven eteen. 
EXO.40.7	Ja allas sijoita ilmestysmajan ja alttarin välille ja kaada siihen vettä. 
EXO.40.8	Ja tee esipiha yltympäri ja pane uudin esipihan porttiin. 
EXO.40.9	Ota sitten voiteluöljyä ja voitele asumus ja kaikki, mitä siinä on, ja pyhitä se kalustoineen, että se tulisi pyhäksi. 
EXO.40.10	Ja voitele polttouhrialttari kaikkine kaluineen ja pyhitä alttari, että alttari tulisi korkeasti-pyhäksi. 
EXO.40.11	Voitele myös allas jalustoineen ja pyhitä se. 
EXO.40.12	Tuo sitten Aaron poikineen ilmestysmajan ovelle ja pese heidät vedellä. 
EXO.40.13	Ja pue Aaron pyhiin vaatteisiin ja voitele hänet ja pyhitä hänet, että hän pappina palvelisi minua. 
EXO.40.14	Ja tuo myös hänen poikansa ja pue heidän ylleen ihokkaat. 
EXO.40.15	Ja voitele heidät, niinkuin sinä voitelit heidän isänsäkin, että he pappeina palvelisivat minua. Niin tämä on oleva heille voitelu ikuiseen pappeuteen, sukupolvesta sukupolveen." 
EXO.40.16	Ja Mooses teki kaiken, niinkuin Herra oli häntä käskenyt; niin hän teki.
EXO.40.17	Ja asumus pystytettiin toisen vuoden ensimmäisessä kuussa, kuukauden ensimmäisenä päivänä. 
EXO.40.18	Silloin Mooses pystytti asumuksen. Hän asetti paikoilleen sen jalustat, kiinnitti sen laudat, sovitti paikoilleen sen poikkitangot ja pystytti sen pylväät. 
EXO.40.19	Ja hän levitti asumuksen ylle teltan ja asetti ylimmäksi sen päälle telttapeitteen, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.20	Sitten hän otti lain, pani sen arkkiin ja kiinnitti arkkiin korennot ja asetti armoistuimen arkin päälle. 
EXO.40.21	Ja hän toi arkin asumukseen ja sijoitti paikoilleen sitä verhoavan esiripun, ripustaen sen lain arkin eteen, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.22	Ja hän asetti pöydän ilmestysmajaan, asumuksen pohjoissivulle, esiripun ulkopuolelle 
EXO.40.23	ja latoi sille näkyleivät päälletysten Herran eteen, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.24	Ja hän asetti seitsenhaaraisen lampun ilmestysmajaan, vastapäätä pöytää, asumuksen eteläsivulle, 
EXO.40.25	ja nosti lamput paikoilleen Herran eteen, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.26	Ja hän asetti kultaisen alttarin ilmestysmajaan esiripun eteen 
EXO.40.27	ja poltti siinä hyvänhajuista suitsuketta, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.28	Ja hän ripusti uutimen asumuksen oveen. 
EXO.40.29	Ja polttouhrialttarin hän asetti asumuksen, ilmestysmajan, oven eteen ja uhrasi sen päällä polttouhrin ja ruokauhrin, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.30	Ja altaan hän asetti ilmestysmajan ja alttarin välille ja kaatoi siihen vettä peseytymistä varten. 
EXO.40.31	Ja Mooses ja Aaron ja hänen poikansa pesivät siinä kätensä ja jalkansa; 
EXO.40.32	kun he menivät ilmestysmajaan tahi lähestyivät alttaria, niin he aina peseytyivät, niinkuin Herra oli Moosesta käskenyt. 
EXO.40.33	Ja asumuksen ja alttarin ympärille hän laittoi esipihan ja ripusti uutimen esipihan porttiin. Ja niin Mooses päätti sen työn.
EXO.40.35	eikä Mooses voinut mennä ilmestysmajaan, sillä pilvi oli laskeutunut sen päälle, ja Herran kirkkaus täytti asumuksen.
EXO.40.36	Ja joka kerta, kun pilvi kohosi asumuksen päältä, lähtivät israelilaiset liikkeelle; näin oli koko heidän vaelluksensa ajan. 
EXO.40.37	Mutta milloin pilvi ei kohonnut, he eivät lähteneet liikkeelle, ennenkuin sinä päivänä, jona se taas kohosi. 
EXO.40.38	Sillä Herran pilvi oli päivällä asumuksen päällä, ja yöllä oli pilvessä tulen hohde kaikkien israelilaisten silmien edessä; näin oli koko heidän vaelluksensa ajan.
LEV.1.1	Ja Herra kutsui Mooseksen ja puhui hänelle sisältä ilmestysmajasta sanoen: 
LEV.1.2	"Puhu israelilaisille ja sano heille: Jos joku teistä tahtoo tuoda uhrilahjan Herralle, niin tuokaa uhrilahjanne karjasta, joko raavaista tai lampaista.
LEV.1.3	Jos hänen uhrilahjansa on raavaspolttouhri, tuokoon virheettömän urospuolen; ilmestysmajan ovelle hän tuokoon sen, että Herran mielisuosio tulisi hänen osaksensa. 
LEV.1.4	Ja hän laskekoon kätensä polttouhriteuraan pään päälle; niin se on oleva otollinen ja tuottava hänelle sovituksen. 
LEV.1.5	Ja hän teurastakoon mullikan Herran kasvojen edessä, ja papit, Aaronin pojat, tuokoot veren ja vihmokoot veren ympärinsä alttarille, joka on ilmestysmajan ovella. 
LEV.1.6	Ja hän nylkeköön polttouhriteuraan ja leikelköön sen määräkappaleiksi. 
LEV.1.7	Ja pappi Aaronin pojat tehkööt tulen alttarille ja pankoot halkoja tuleen. 
LEV.1.8	Ja papit, Aaronin pojat, asettakoot kappaleet ynnä pään ja rasvan halkojen päälle, jotka ovat tulessa alttarilla. 
LEV.1.9	Mutta sisälmykset ja jalat hän pesköön vedessä, ja pappi polttakoon kaiken alttarilla; se on polttouhri, suloisesti tuoksuva uhri Herralle.
LEV.1.10	Ja jos hänen uhrilahjansa, joka on tarkoitettu polttouhriksi, on otettu pikkukarjasta, lampaista tai vuohista, tuokoon virheettömän urospuolen. 
LEV.1.11	Ja teurastakoon sen alttarin pohjoissivulla, Herran edessä; ja papit, Aaronin pojat, vihmokoot sen veren alttarille ympärinsä. 
LEV.1.12	Ja hän leikelköön sen määräkappaleiksi, ja pappi asettakoon ne ynnä pään ja rasvan halkojen päälle, jotka ovat tulessa alttarilla. 
LEV.1.13	Mutta sisälmykset ja jalat hän pesköön vedessä, ja pappi tuokoon sen kaiken ja polttakoon alttarilla; se on polttouhri, suloisesti tuoksuva uhri Herralle.
LEV.1.14	Ja jos hänen uhrilahjansa Herralle on lintupolttouhri, tuokoon uhrilahjanaan metsäkyyhkysiä tai kyyhkysenpoikia. 
LEV.1.15	Ja pappi tuokoon sen alttarille, vääntäköön siltä niskat poikki ja polttakoon sen alttarilla, ja puserrettakoon sen veri alttarin seinään. 
LEV.1.16	Ja hän ottakoon sen kuvun rapoineen pois ja heittäköön sen alttarin viereen itäpuolelle, tuhkaläjälle. 
LEV.1.17	Sitten hän reväisköön sen auki siipien kohdalta, niitä kuitenkaan irroittamatta, ja pappi polttakoon sen alttarilla halkojen päällä, jotka ovat tulessa; se on polttouhri, suloisesti tuoksuva uhri Herralle."
LEV.2.2	ja vieköön sen papeille, Aaronin pojille, ja pappi ottakoon kourallisen niitä jauhoja ja sitä öljyä ynnä kaiken suitsukkeen ja polttakoon tämän alttariuhriosan alttarilla suloisesti tuoksuvana uhrina Herralle. 
LEV.2.3	Mutta se, mikä jää tähteeksi ruokauhrista, olkoon Aaronin ja hänen poikiensa oma; se on korkeasti-pyhää, Herran uhria.
LEV.2.4	Mutta jos tahdot tuoda ruokauhrilahjan uunissa paistetusta, olkoon uhrinasi lestyistä jauhoista valmistetut, öljyyn leivotut happamattomat kakut tai öljyllä voidellut happamattomat ohukaiset. 
LEV.2.5	Jos taas uhrilahjasi on ruokauhri, joka leivinlevyllä paistetaan, olkoon se valmistettu lestyistä jauhoista, öljyyn leivottu ja happamaton. 
LEV.2.6	Paloittele se palasiksi ja vuodata öljyä sen päälle; se on ruokauhri. 
LEV.2.7	Ja jos uhrilahjasi on ruokauhri, joka paistetaan pannussa, valmistettakoon se lestyistä jauhoista ynnä öljystä. 
LEV.2.8	Ja vie ruokauhri, joka näin on valmistettu, Herralle; se vietäköön papille, ja hän tuokoon sen alttarin ääreen. 
LEV.2.9	Ja pappi erottakoon ruokauhrista alttariuhriosan ja polttakoon sen alttarilla suloisesti tuoksuvana uhrina Herralle. 
LEV.2.10	Mutta se, mikä jää tähteeksi ruokauhrista, olkoon Aaronin ja hänen poikiensa oma; se on korkeasti-pyhää, Herran uhria.
LEV.2.11	Mitään ruokauhria, jonka te tuotte Herralle, älköön valmistettako happamesta; älkää polttako uhria Herralle mistään happamesta taikinasta tai hunajasta. 
LEV.2.12	Uutisuhrilahjana saatte tuoda niitä Herralle, mutta älkööt ne tulko alttarille suloiseksi tuoksuksi. 
LEV.2.13	Ja jokainen ruokauhrilahjasi suolaa suolalla, äläkä anna Jumalasi liitonsuolan puuttua ruokauhristasi; jokaiseen uhrilahjaasi sinun on tuotava suolaa.
LEV.2.15	Ja vuodata siihen öljyä ja pane siihen suitsuketta; se on ruokauhri. 
LEV.2.16	Ja pappi polttakoon alttariuhriosan survotuista jyvistä ja öljystä ynnä kaiken suitsukkeen uhrina Herralle."
LEV.3.2	Ja hän laskekoon kätensä uhriteuraansa pään päälle ja teurastakoon sen ilmestysmajan ovella; ja papit, Aaronin pojat, vihmokoot veren alttarille ympärinsä. 
LEV.3.3	Ja hän tuokoon yhteysuhrista uhrina Herralle sisälmyksiä peittävän rasvan ja kaiken sisälmysten rasvan 
LEV.3.4	ja molemmat munuaiset ynnä niiden päällä lantiolihaksissa olevan rasvan ja maksanlisäkkeen, joka on irroitettava munuaisten luota. 
LEV.3.5	Ja Aaronin pojat polttakoot sen alttarilla polttouhrin päällä, joka on halkojen päällä tulessa, suloisesti tuoksuvana uhrina Herralle.
LEV.3.6	Mutta jos hän tuo uhrilahjanaan Herralle yhteysuhriksi pikkukarjasta urospuolen tai naaraspuolen, niin tuokoon virheettömän eläimen. 
LEV.3.7	Jos hän tuo uhrilahjanaan lampaan, niin tuokoon sen Herran eteen 
LEV.3.8	ja laskekoon kätensä uhriteuraansa pään päälle ja teurastakoon sen ilmestysmajan ovella, ja Aaronin pojat vihmokoot sen veren alttarille ympärinsä. 
LEV.3.9	Ja hän tuokoon yhteysuhrista uhrina Herralle sen rasvan, koko rasvahännän, joka on irroitettava häntänikamista, sisälmyksiä peittävän rasvan ja kaiken sisälmysten rasvan 
LEV.3.10	ja molemmat munuaiset ynnä niiden päällä lantiolihaksissa olevan rasvan ja maksanlisäkkeen, joka on irroitettava munuaisten luota. 
LEV.3.11	Ja pappi polttakoon sen alttarilla uhriruokana Herralle. 
LEV.3.12	Ja jos hänen uhrilahjansa on vuohi, tuokoon sen Herran eteen 
LEV.3.13	ja laskekoon kätensä sen pään päälle ja teurastakoon sen ilmestysmajan ovella; ja Aaronin pojat vihmokoot sen veren alttarille ympärinsä. 
LEV.3.14	Ja hän tuokoon siitä uhrilahjanaan Herralle uhriksi sisälmyksiä peittävän rasvan ja kaiken sisälmysten rasvan 
LEV.3.15	ja molemmat munuaiset ynnä niiden päällä lantiolihaksissa olevan rasvan ja maksanlisäkkeen, joka on irroitettava munuaisten luota. 
LEV.3.16	Ja pappi polttakoon ne alttarilla uhriruokana, suloisesti tuoksuvana uhrina; kaikki rasva olkoon Herran oma. 
LEV.3.17	Tämä olkoon teille ikuinen säädös sukupolvesta sukupolveen, missä asuttekin: mitään rasvaa tai verta älkää syökö."
LEV.4.1	Ja Herra puhui Moosekselle sanoen: 
