GEN.1.2	Maa oli autio ja tyhjä, pimeys peitti syvyydet, ja Jumalan henki liikkui vetten yllä.
NUM.4.17	Herra sanoi Moosekselle ja Aaronille: 
NUM.4.18	»Älkää päästäkö kehatilaissukuja häviämään leeviläisten heimon joukosta. 
NUM.4.19	Tehkää siis näin, jotta kehatilaiset saisivat elää eivätkä kuolisi joutuessaan lähelle erityisen pyhiä esineitä: Aaronin ja hänen poikiensa tulee osoittaa kullekin heistä, mitä hänen on tehtävä ja mitä kannettava. 
NUM.4.20	Kehatilaiset eivät saa tulla pyhäkköön sopimattomalla hetkellä, sillä jos he näkevät peittämättömiä pyhiä esineitä, he kuolevat.»
NUM.4.21	Herra sanoi Moosekselle:
NUM.4.22	»Laske myös Gersonin jälkeläisten lukumäärä suvuittain ja perhekunnittain. 
NUM.4.23	Laske ja merkitse muistiin kaikki miehet, jotka ovat iältään kolmenkymmenen ja viidenkymmenen välillä. Heidän on asepalveluksen sijasta suoritettava työpalvelusta pyhäkköteltassa. 
NUM.4.24	Nämä ovat Gersonin sukuun kuuluvien tehtävät ja heidän kannettavikseen määrätyt varusteet: 
NUM.4.25	heidän tulee kantaa pyhäkkötelttaa, telttamajaa, sen kankaita ja peitteitä, sekä päällimmäisenä olevaa merilehmännahkaista peitettä ja pyhäkköteltan oviverhoa, 
NUM.4.26	telttamajaa ja alttaria ympäröivän esipihan verhoja ja sen oviaukon verhoa, verhojen kiinnitysköysiä ja kaikkia niiden hoitoon tarvittavia varusteita. Heidän tulee myös suorittaa kaikki näihin liittyvät toimet. 
NUM.4.27	Gersonilaisten on suoritettava kaikki palvelutehtävänsä Aaronin ja hänen poikiensa antamien käskyjen mukaisesti. Niitä noudattaen heidän tulee kantaa kuormansa ja toimittaa kaikki tehtävänsä. Valvokaa, että he huolehtivat kaikesta, mitä heidän kannettavakseen on uskottu. 
NUM.4.28	Nämä ovat ne tehtävät, jotka on määrätty gersonilaissuvuille. Niiden valvonta kuuluu Itamarille, pappi Aaronin pojalle.
NUM.4.29	»Tarkasta ja laske Merarin jälkeläiset perhekunnittain ja suvuittain. 
NUM.4.30	Laske ja merkitse muistiin kaikki miehet, jotka ovat kolmenkymmenen ja viidenkymmenen välillä. Myös merarilaisten velvollisuutena on suorittaa työpalvelusta pyhäkköteltassa. 
NUM.4.31	Heidän tulee kantaa nämä varusteet: telttamajan laudat poikkipuineen, sen pylväät jalustoineen, 
NUM.4.32	majaa ympäröivän esipihan pylväät ja niiden jalustat, kiinnitysvaarnat ja köydet sekä kaikki niiden käsittelyyn ja hoitoon tarvittavat varusteet. Määrätkää nimeltä mainiten, mitkä varusteet kullekin uskotaan kannettaviksi. 
NUM.4.33	Nämä ovat ne tehtävät, jotka on määrätty merarilaissuvuille. Niiden valvonta kuuluu Itamarille, pappi Aaronin pojalle.»
NUM.4.34	Mooses, Aaron ja kansan päälliköt laskivat ja merkitsivät muistiin Kehatin jälkeläiset perhekunnittain ja suvuittain, 
NUM.4.35	kaikki miehet, jotka olivat iältään kolmenkymmenen ja viidenkymmenen välillä ja joiden velvollisuutena oli huolehtia pyhäkkötelttaan liittyvistä töistä. 
NUM.4.36	Näitä oli suvuittain laskettuna 2750. 
NUM.4.37	Tämän verran oli kehatilaissuvuissa miehiä, jotka laskettiin ja merkittiin muistiin pyhäkköteltan työtehtäviä varten. Mooses ja Aaron laskivat ja merkitsivät heidät muistiin Herralta saamansa käskyn mukaisesti.
NUM.4.38	Gersonin jälkeläisiä, jotka laskettiin ja merkittiin muistiin perhekunnittain ja suvuittain, 
NUM.4.39	miehiä, jotka olivat iältään kolmenkymmenen ja viidenkymmenen välillä ja joiden velvollisuutena oli huolehtia pyhäkkötelttaan liittyvistä töistä, 
NUM.4.40	oli perhekunnittain ja suvuittain laskettuna 2630. 
NUM.4.41	Tämän verran oli gersonilaissuvuissa miehiä, jotka laskettiin ja merkittiin muistiin pyhäkköteltan työtehtäviä varten. Mooses ja Aaron laskivat ja merkitsivät heidät muistiin Herralta saamansa käskyn mukaisesti.
NUM.4.42	Merarin jälkeläisiä, jotka laskettiin ja merkittiin muistiin perhekunnittain ja suvuittain, 
NUM.4.43	miehiä, jotka olivat iältään kolmenkymmenen ja viidenkymmenen välillä ja joiden velvollisuutena oli huolehtia pyhäkkötelttaan liittyvistä töistä, 
NUM.4.44	oli perhekunnittain ja suvuittain laskettuna 3200. 
NUM.4.45	Tämän verran oli merarilaissuvuissa miehiä, jotka laskettiin ja merkittiin muistiin pyhäkköteltan työtehtäviä varten. Mooses ja Aaron laskivat ja merkitsivät heidät muistiin Herralta saamansa käskyn mukaisesti.
NUM.4.46	Leeviläisiä, jotka Mooses, Aaron ja Israelin päälliköt laskivat ja merkitsivät muistiin perhekunnittain ja suvuittain, 
NUM.4.47	miehiä, jotka olivat iältään kolmenkymmenen ja viidenkymmenen välillä ja joiden tehtävänä oli työskennellä ja palvella pyhäkköteltassa ja kantaa sen varusteita, 
NUM.4.48	oli kaikkiaan 8580. 
NUM.4.49	Leeviläiset laskettiin ja merkittiin muistiin sen käskyn mukaisesti, jonka Herra oli Mooseksen täytettäväksi antanut. Jokaiselle määrättiin erikseen, mikä oli hänen tehtävänsä ja mitä varusteita hänen oli kannettava. Kaikki tehtiin sen käskyn mukaisesti, jonka Herra oli Moosekselle antanut.
NUM.5.1	Herra sanoi Moosekselle: 
NUM.5.2	»Käske israelilaisten lähettää leiristä pois jokainen spitaalia tai vuotoa sairastava sekä jokainen, joka on tullut epäpuhtaaksi menemällä vainajan lähelle. 
NUM.5.3	Lähettäkää heidät pois, leirin ulkopuolelle, niin miehet kuin naisetkin, etteivät he saattaisi epäpuhtaaksi leiriä, jossa minä asun israelilaisten keskellä.» 
NUM.5.4	He täyttivät käskyn, jonka Herra oli Moosekselle antanut, ja lähettivät epäpuhtaat leirin ulkopuolelle.
NUM.5.5	Herra sanoi Moosekselle:
NUM.5.6	»Sano israelilaisille: Jos joku tekee toiselle vääryyttä ja näin luopuu Herrasta ja hänen käskyistään, hän joutuu syynalaiseksi. 
NUM.5.7	Hänen tulee tunnustaa tekemänsä synti ja korvata aiheuttamansa vahinko kokonaisuudessaan sille, jolle on vahingon tuottanut, sekä lisätä korvaukseen vielä viidesosa. 
NUM.5.8	Jos hän ei voi maksaa korvausta vahinkoa kärsineelle itselleen eikä tällä myöskään ole lähisukulaista, joka voisi ottaa korvauksen vastaan, vahingonkorvaus kuuluu Herralle. Se on annettava papille. Lisäksi hänelle on tuotava pässi, joka uhrataan syyllisen syntien sovitukseksi.
NUM.5.10	Jokainen pappi saa pitää hänelle tuodut pyhät lahjat; kaikki, mitä joku antaa papille, on papin omaa.»
NUM.5.11	Herra sanoi Moosekselle:
NUM.5.12	»Sano israelilaisille: Jos aviovaimo lankeaa uskottomuuteen 
NUM.5.13	ja makaa toisen miehen kanssa, hän tulee saastaiseksi, vaikka asia ei ehkä tulekaan ilmi, kun naista ei ole saatu kiinni itse teosta eikä häntä vastaan ole todistajia. 
NUM.5.14	Jos aviomiehen kuitenkin valtaa mustasukkainen epäilys, että hänen vaimonsa on ollut hänelle uskoton ja näin tullut saastaiseksi, hänen tulee, olipa epäilykseen aihetta tai ei, 
NUM.5.15	viedä vaimonsa papin luo ja tuoda vaimonsa puolesta uhrilahjaksi kymmenesosa eefa-mittaa ohrajauhoja. Hän ei kuitenkaan saa kaataa jauhoihin öljyä eikä panna päälle suitsuketta, sillä tämä ruokauhri annetaan mustasukkaisen epäilyksen takia. Se on selvitysuhri, jonka tarkoituksena on tuoda ilmi, onko epäilyyn aihetta.
NUM.5.16	»Papin tulee viedä nainen Herran eteen, 
NUM.5.17	ottaa saviastiaan pyhää vettä ja panna veteen tomua telttamajan lattialta. 
NUM.5.18	Kun pappi on asettanut naisen Herran eteen, hänen tulee avata naisen hiukset ja panna hänen käsiinsä selvitysuhri eli mustasukkaisen epäilyksen takia annettu ruokauhri. Papilla tulee olla kädessään kirousta tuottavaa karvasvettä sisältävä astia, 
NUM.5.19	ja hänen tulee vannottaa naista sanoen: ’Jos kukaan vieras ei ole maannut kanssasi etkä ole langennut saastaisuuteen, vaan olet pysynyt miehellesi uskollisena, tämä katkera kirovesi osoittakoon sinut syyttömäksi. 
NUM.5.20	Mutta jos olet ollut miehellesi uskoton ja tullut saastaiseksi makaamalla jonkun muun kuin aviomiehesi kanssa’ 
NUM.5.21	– tässä kohdin papin tulee vannottaa naista, uhata häntä kirouksella ja sanoa: ’silloin Herra tehköön sinusta varoittavan esimerkin, jota mainiten kansasi vannoo ja kiroaa. Herra kuihduttakoon lanteesi ja turvottakoon kohtusi. 
NUM.5.22	Menköön tämä kirovesi sisuksiisi, niin että kohtusi turpoaa ja lanteesi kuihtuvat!’ Ja nainen sanokoon: ’Aamen, käyköön niin!’
NUM.5.23	»Papin tulee kirjoittaa nämä kirouksen sanat ja huuhtoa sitten kirjoitus kiroveteen. 
NUM.5.24	Vesi hänen on juotettava naiselle, niin että se menee hänen sisuksiinsa. 
NUM.5.25	Papin tulee ottaa naiselta mustasukkaisen epäilyksen takia annettu selvitysuhri, omistaa se tarjousuhrina Herralle ja viedä alttarin luo. 
NUM.5.26	Sitten papin on otettava ruokauhrista kourallinen selvitysuhriksi ja poltettava tämä osa alttarilla. Kun pappi on juottanut naiselle veden, 
NUM.5.27	tapahtuu näin: Jos nainen on tullut saastaiseksi olemalla miehelleen uskoton, kirousta tuottava vesi menee hänen sisuksiinsa ja aiheuttaa hänelle katkeraa tuskaa. Hänen kohtunsa turpoaa, hänen lanteensa kuihtuvat ja hänestä tulee varoittava esimerkki, jota mainiten vannotaan ja kirotaan. 
NUM.5.28	Mutta jos nainen ei ole saastainen vaan syytön, vesi ei vahingoita häntä, ja hän voi vastedeskin saada lapsia.»
NUM.5.29	Tämä on mustasukkaisesta epäilystä säädetty laki. Se koskee vaimoa, joka on langennut uskottomuuteen ja tullut saastaiseksi, 
NUM.5.30	sekä miestä, joka mustasukkaisuuden vallassa epäilee vaimoaan uskottomuudesta. Miehen tulee viedä vaimonsa Herran eteen, ja papin on tehtävä naiselle, mitä tässä laissa on säädetty. 
NUM.5.31	Mies on tällöin vapaa vastuusta, mutta vaimo vastatkoon teostaan.
NUM.6.1	Herra sanoi Moosekselle:
NUM.6.2	»Sano israelilaisille: Jos joku mies tai nainen tekee erityisen lupauksen omistautuakseen nasiirina Herralle, 
NUM.6.3	hänen tulee pidättyä viinistä ja oluesta. Hän ei saa nauttia edes etikkaa, joka on viinistä tai muusta väkijuomasta tehtyä, ei myöskään juoda viinirypälemehua eikä syödä tuoreita tai kuivattuja viinirypäleitä. 
NUM.6.4	Niin kauan kuin hän on nasiirina, hän ei saa syödä mitään viiniköynnöksestä saatua, ei raakileita eikä edes viininpolkemisesta jäänyttä rypälemassaa.
NUM.6.6	Sinä aikana, jona hän on Herran nasiiri, hän ei saa mennä vainajan lähelle. 
NUM.6.7	Vaikka häneltä kuolisi isä tai äiti, veli tai sisar, hän ei saa tulla heidän takiaan epäpuhtaaksi. Hänen tukkansa on merkkinä omistautumisesta Jumalalle. 
NUM.6.8	Koko nasiirina olonsa ajan hänen on oltava Herralle pyhitetty.
NUM.6.10	Kahdeksantena päivänä hänen on tuotava kaksi metsäkyyhkyä tai muuta kyyhkystä papille pyhäkköteltan oven eteen. 
NUM.6.11	Papin tulee uhrata niistä toinen syntiuhriksi ja toinen polttouhriksi. Näin pappi toimittaa hänelle sovituksen vainajan vuoksi tapahtuneesta saastumisesta. Samana päivänä hänen hiuksensa pitää jälleen julistaa Herralle pyhitetyiksi, 
NUM.6.12	ja hänen täytyy uudelleen omistautua Herralle aiemman nasiirilupauksensa mukaiseksi ajaksi. Hyvitysuhriksi hänen on tuotava vuoden ikäinen karitsa. Siihen saakka nasiirina vietettyä aikaa ei oteta huomioon, koska vihkiytyminen on menettänyt pyhyytensä.
NUM.6.13	»Tämä on nasiiria koskeva laki. Kun nasiiriaika on kulunut umpeen, nasiirin on saavuttava pyhäkköteltan ovelle 
NUM.6.14	ja tuotava Herralle virheetön vuoden ikäinen urospuolinen karitsa polttouhriksi, virheetön vuoden ikäinen naaraspuolinen karitsa syntiuhriksi ja virheetön pässi yhteysuhriksi, 
NUM.6.15	korillinen parhaista vehnäjauhoista tehtyjä happamattomia leipiä, öljyyn leivottuja kakkuja ja öljyllä voideltuja ohuita happamattomia leipiä sekä asiaankuuluvat ruoka- ja juomauhrit. 
NUM.6.16	Papin tulee viedä nämä kaikki Herran eteen ja toimittaa syntiuhri ja polttouhri, 
NUM.6.17	uhrata pässi yhteysuhrina ja sen kanssa korillinen happamattomia leipiä sekä toimittaa ruokauhri ja juomauhri. 
NUM.6.18	Nasiirin täytyy ajaa Herralle omistetut nasiirinhiuksensa pyhäkköteltan ovella ja heittää ne yhteysuhriteuraan alla palavaan tuleen.
NUM.6.19	»Kun pässi on keitetty, papin tulee ottaa siitä lapa sekä nasiirin korista yksi happamaton kakku ja yksi happamaton ohut leipä ja ojentaa ne nasiirille tämän ajeltua hiuksensa. 
NUM.6.20	Papin on omistettava ruoat tarjousuhrina Herralle. Nämä samoin kuin tarjousuhrina Herralle omistettu rintakappale ja uhrilahjaksi annettu reisi ovat papille kuuluva pyhä lahja. Tämän jälkeen nasiiri saa jälleen juoda viiniä.»
NUM.6.21	Tämä laki koskee nasiiria ja niitä uhrilahjoja, jotka hänen nasiirilupauksensa nojalla on tuotava Herralle siitä riippumatta, mitä hän lisäksi tahtoo antaa. Hänen on myös täytettävä kaikki se, mitä hän on luvannut yli nasiirilain vaatimusten.
NUM.6.22	Herra sanoi Moosekselle:
NUM.6.23	»Sano Aaronille ja hänen pojilleen: Kun siunaatte Israelin, lausukaa sille näin:
NUM.6.25	Herra kirkastakoon sinulle kasvonsa
NUM.6.25	ja olkoon sinulle armollinen.
NUM.6.26	Herra kääntäköön kasvonsa sinun puoleesi
NUM.6.26	ja antakoon sinulle rauhan.
NUM.6.27	»Kun he näin siunaavat Israelin minun nimeeni, minä annan sille siunaukseni.»
NUM.7.2	saapuivat paikalle Israelin päälliköt, sukukuntien johtajat, jotka olivat heimojen päämiehiä ja johtivat katsastettuja joukkoja. 
NUM.7.3	He toivat uhrilahjanaan Herralle kuudet katetut vaunut ja kaksitoista härkää, yhdet vaunut aina kahta päämiestä kohti ja yhden härän kultakin päämieheltä. He toivat lahjansa telttamajan eteen.
NUM.7.4	Herra sanoi Moosekselle: 
NUM.7.5	»Ota vastaan heidän lahjansa käytettäviksi pyhäkköteltan palvelutoimissa ja anna ne leeviläisille sen mukaan, kuin he niitä tehtävissään tarvitsevat.» 
NUM.7.6	Mooses otti vaunut ja härät ja antoi ne leeviläisille. 
NUM.7.7	Kahdet vaunut ja neljä härkää hän antoi Gersonin jälkeläisille avuksi heidän palvelutehtävässään. 
NUM.7.8	Merarin jälkeläisille hän antoi neljät vaunut ja kahdeksan härkää avuksi siinä palvelutehtävässä, jota he suorittivat Aaronin pojan Itamarin johdolla. 
NUM.7.9	Kehatin jälkeläisille hän ei antanut mitään, koska heidän tehtävänään oli huolehtia pyhistä esineistä, joita heidän kuului kantaa olallaan.
NUM.7.10	Päämiehet toivat vihkiäislahjoja myös alttaria varten sinä päivänä, jona se voideltiin. Kun he toivat uhrilahjojaan alttarin eteen, 
NUM.7.11	Herra sanoi Moosekselle: »Käske päämiesten tuoda uhrilahjansa alttarin vihkiäisjuhlaan yksitellen, kunkin omana päivänään.»
NUM.7.12	Ensimmäisenä päivänä toi uhrilahjansa Juudan heimon päällikkö Nahson, Amminadabin poika. 
NUM.7.13	Hän toi 130 sekeliä painavan hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.14	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.15	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.16	syntiuhriksi pukin 
NUM.7.17	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Nahsonin, Amminadabin pojan, uhrilahjat.
NUM.7.18	Toisena päivänä toi uhrilahjansa Isaskarin päällikkö Netanel, Suarin poika. 
NUM.7.19	Hän toi 130 sekeliä painavan hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.20	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.21	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.22	syntiuhriksi pukin 
NUM.7.23	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Netanelin, Suarin pojan, uhrilahjat.
NUM.7.24	Kolmantena päivänä tuli Sebulonin heimon päällikkö Eliab, Helonin poika. 
NUM.7.25	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.26	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.27	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.28	syntiuhriksi pukin 
NUM.7.29	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Eliabin, Helonin pojan, uhrilahjat.
NUM.7.30	Neljäntenä päivänä tuli Ruubenin heimon päällikkö Elisur, Sedeurin poika. 
NUM.7.31	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.32	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.33	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.34	syntiuhriksi pukin 
NUM.7.35	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Elisurin, Sedeurin pojan, uhrilahjat.
NUM.7.36	Viidentenä päivänä tuli Simeonin heimon päällikkö Selumiel, Surisaddain poika. 
NUM.7.37	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.38	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.39	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.40	syntiuhriksi pukin 
NUM.7.41	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Selumielin, Surisaddain pojan, uhrilahjat.
NUM.7.42	Kuudentena päivänä tuli Gadin heimon päällikkö Eljasaf, Deuelin poika. 
NUM.7.43	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.44	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.45	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.46	syntiuhriksi pukin 
NUM.7.47	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Eljasafin, Deuelin pojan, uhrilahjat.
NUM.7.48	Seitsemäntenä päivänä tuli Efraimin heimon päällikkö Elisama, Ammihudin poika. 
NUM.7.49	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.50	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.51	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.52	syntiuhriksi pukin 
NUM.7.53	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Elisaman, Ammihudin pojan, uhrilahjat.
NUM.7.54	Kahdeksantena päivänä tuli Manassen heimon päällikkö Gamliel, Pedasurin poika. 
NUM.7.55	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.56	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.57	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.58	syntiuhriksi pukin 
NUM.7.59	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Gamlielin, Pedasurin pojan, uhrilahjat.
NUM.7.60	Yhdeksäntenä päivänä tuli Benjaminin heimon päällikkö Abidan, Gideonin poika. 
NUM.7.61	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.62	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.63	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.64	syntiuhriksi pukin 
NUM.7.65	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Abidanin, Gideonin pojan, uhrilahjat.
NUM.7.66	Kymmenentenä päivänä tuli Danin heimon päällikkö Ahieser, Ammisaddain poika. 
NUM.7.67	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, joka painoi 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.68	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.69	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.70	syntiuhriksi pukin 
NUM.7.71	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Ahieserin, Ammisaddain pojan, uhrilahjat.
NUM.7.72	Yhdentenätoista päivänä tuli Asserin heimon päällikkö Pagiel, Okranin poika. 
NUM.7.73	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, jonka paino oli 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.74	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.75	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.76	syntiuhriksi pukin 
NUM.7.77	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Pagielin, Okranin pojan, uhrilahjat.
NUM.7.78	Kahdentenatoista päivänä tuli Naftalin heimon päällikkö Ahira, Enanin poika. 
NUM.7.79	Hän toi uhrilahjanaan 130 sekelin painoisen hopeakulhon, hopeisen vihmontamaljan, jonka paino oli 70 sekeliä pyhäkkösekelin painon mukaan laskettuna, molemmat täynnä ruokauhriksi tarkoitettua parhaista vehnäjauhoista ja öljystä tehtyä taikinaa, 
NUM.7.80	kymmenen sekelin painoisen kultaisen kupin, joka oli täynnä suitsuketta, 
NUM.7.81	polttouhriksi nuoren sonnin, pässin ja vuoden vanhan karitsan, 
NUM.7.82	syntiuhriksi pukin 
NUM.7.83	sekä yhteysuhriksi kaksi nautaa, viisi pässiä, viisi pukkia ja viisi vuoden vanhaa karitsaa. Nämä olivat Ahiran, Enanin pojan, uhrilahjat.
NUM.7.84	Nämä olivat ne lahjat, jotka Israelin päämiehet toivat alttarin vihkimistä varten silloin, kun se voideltiin: kaksitoista hopeakulhoa, kaksitoista hopeista vihmontamaljaa, kaksitoista kultaista kuppia. 
NUM.7.85	Kukin hopeakulho painoi 130 sekeliä ja kukin vihmontamalja 70 sekeliä; näissä astioissa oli siis kaikkiaan 2400 sekeliä hopeaa pyhäkkösekelin painon mukaan laskettuna. 
NUM.7.86	Suitsukkeella täytettyjä kultaisia kuppeja oli kaksitoista; ne painoivat kymmenen sekeliä kukin ja niissä oli kultaa kaikkiaan 120 sekeliä. 
NUM.7.87	Polttouhrieläimiä oli kaikkiaan kaksitoista nuorta sonnia, kaksitoista pässiä ja kaksitoista vuoden vanhaa karitsaa. Lisäksi tuotiin näiden kanssa annettavat ruokauhrit. Syntiuhriksi oli kaksitoista pukkia. 
NUM.7.88	Yhteysuhrieläimiä oli kaikkiaan 24 nuorta sonnia, 60 pässiä, 60 pukkia ja 60 vuoden vanhaa karitsaa. Nämä olivat ne vihkiäislahjat, jotka annettiin alttarin voitelemisen jälkeen.
NUM.8.1	Herra sanoi Moosekselle: 
NUM.8.2	»Käske Aaronin asettaa öljylamput paikoilleen seitsenhaaraiseen lampunjalkaan niin, että niiden valo lankeaa lampunjalan etupuolelle.» 
NUM.8.3	Aaron noudatti ohjetta, jonka Mooses oli saanut Herralta. Hän asetti öljylamput paikoilleen niin, että niiden valo lankesi lampunjalan etupuolelle. 
NUM.8.4	Lampunjalka oli tehty kullasta, taottu jalustoineen ja kukkakoristeineen yhdestä kappaleesta. Se oli tehty täsmälleen sellaiseksi kuin Herra oli Moosekselle näyttänyt.
NUM.8.5	Herra sanoi Moosekselle:
NUM.8.7	Heidän puhdistamisekseen sinun on pirskotettava heidän päälleen synneistä puhdistavaa vettä, ja heidän on ajeltava tukkansa, partansa ja kaikki ihokarvansa ja pestävä vaatteensa. Sitten he ovat puhtaat. 
NUM.8.8	Heidän on tuotava polttouhriksi nuori sonni ja ruokauhriksi parhaista vehnäjauhoista ja öljystä tehtyä taikinaa. Syntiuhriksi sinun on otettava toinen nuori sonni.
NUM.8.9	»Tuo leeviläiset pyhäkköteltan eteen ja kutsu kokoon Israelin kansa. 
NUM.8.10	Kun olet tuonut leeviläiset Herran eteen, israelilaiset pankoot kätensä heidän päälleen. 
NUM.8.11	Aaronin tulee omistaa leeviläiset israelilaisten joukosta tarjousuhrina Herralle, että he voisivat toimia Herran palvelijoina. 
NUM.8.12	Leeviläiset pankoot kätensä sonnien pään päälle. Anna toinen sonni syntiuhriksi ja toinen polttouhriksi Herralle leeviläisten syntien sovittamiseksi. 
