GEN.1.1	Nel principio Dio creò i cieli e la terra.
2SA.15.20	Tu sei arrivato solo ieri e oggi ti farei andare errando qua e là con noi, mentre io stesso non so dove vado? Torna indietro e riconduci con te i tuoi fratelli; siano con te la bontà e la fedeltà del 
2SA.15.21	Ma Ittai rispose al re e disse: «Com’è vero che il 
2SA.15.22	Allora Davide disse a Ittai: «Va’ pure avanti!» Ittai, il Ghitteo, passò avanti con tutta la sua gente e con tutti i bambini che erano con lui.
2SA.15.23	Tutti quelli del paese piangevano ad alta voce, mentre tutto il popolo passava. Il re attraversò il torrente Chidron. Anche tutto il popolo lo attraversò, prendendo la via del deserto. 
2SA.15.24	C’era anche Sadoc con tutti i Leviti, i quali portavano l’arca del patto di Dio. Mentre Abiatar saliva, essi posarono l’arca di Dio, finché tutto il popolo non ebbe finito di uscire dalla città.
2SA.15.25	Il re disse a Sadoc: «Riporta in città l’arca di Dio. Se io trovo grazia agli occhi del 
2SA.15.26	ma se dice: “Io non ti gradisco!”, eccomi, faccia di me quello che egli vorrà». 
2SA.15.27	Il re disse ancora al sacerdote Sadoc: «Vedi? Torna in pace in città con tuo figlio Aimaas e con Gionatan, figlio di Abiatar, i vostri due figli con voi. 
2SA.15.28	Guardate, io aspetterò nelle pianure del deserto, finché mi sia recata qualche notizia da parte vostra». 
2SA.15.29	Così Sadoc e Abiatar riportarono a Gerusalemme l’arca di Dio e abitarono là.
2SA.15.30	Davide saliva il monte degli Ulivi; saliva piangendo e camminava con il capo coperto, a piedi scalzi; e tutta la gente che era con lui aveva il capo coperto e, salendo, piangeva.
2SA.15.31	Qualcuno venne a dire a Davide: «Aitofel è con Absalom tra i congiurati». Davide disse: «O 
2SA.15.32	Quando Davide giunse in vetta al monte, al luogo dove si adora Dio, gli venne incontro Cusai, l’Archita, con la tunica stracciata e il capo coperto di polvere. 
2SA.15.33	Davide gli disse: «Se tu vieni con me, mi sarai di peso; 
2SA.15.34	ma se torni in città e dici ad Absalom: “Io sarò tuo servo, o re; come fui servo di tuo padre nel passato, così sarò adesso servo tuo”, cambierai a mio favore i consigli di Aitofel. 
2SA.15.35	Laggiù avrai con te i sacerdoti Sadoc e Abiatar. Tutto quello che sentirai dire della casa del re, lo farai sapere ai sacerdoti Sadoc e Abiatar. 
2SA.15.36	Siccome essi hanno i loro due figli, Aimaas, figlio di Sadoc, e Gionatan, figlio di Abiatar, per mezzo di loro mi farete sapere tutto quello che avrete sentito». 
2SA.15.37	Così Cusai, amico di Davide, tornò in città; e Absalom entrò in Gerusalemme.
2SA.16.1	Davide aveva superato di poco la cima del monte, quando Siba, servo di Mefiboset, gli venne incontro con un paio di asini sellati e carichi di duecento pani, cento grappoli d’uva passa, un centinaio di frutti di stagione e un otre di vino. 
2SA.16.2	Il re disse a Siba: «Che vuoi fare con queste cose?» Siba rispose: «Gli asini serviranno da cavalcatura per la famiglia del re, il pane e i frutti di stagione sono per nutrire i giovani, il vino per dissetare quelli che saranno stanchi nel deserto». 
2SA.16.3	Il re disse: «Dov’è il figlio del tuo signore?» Siba rispose al re: «È rimasto a Gerusalemme, perché ha detto: “Oggi la casa d’Israele mi renderà il regno di mio padre”». 
2SA.16.4	Il re disse a Siba: «Tutto quello che appartiene a Mefiboset è tuo». Siba replicò: «Io mi prostro davanti a te! Possa io trovare grazia agli occhi tuoi, o re, mio signore!»
2SA.16.5	Quando il re Davide fu giunto a Baurim, uscì di là un uomo, imparentato con la famiglia di Saul, di nome Simei, figlio di Ghera. Egli veniva avanti pronunciando maledizioni 
2SA.16.6	e gettando sassi contro Davide e contro tutti i servitori del re Davide, mentre tutto il popolo e tutti gli uomini valorosi stavano alla destra e alla sinistra del re. 
2SA.16.7	Simei malediceva Davide, dicendo: «Vattene, vattene, uomo sanguinario, scellerato! 
2SA.16.8	Il 
2SA.16.9	Allora Abisai, figlio di Seruia, disse al re: «Perché questo cane morto osa maledire il re mio signore? Ti prego, lasciami andare a mozzargli la testa!» 
2SA.16.10	Ma il re rispose: «Che ho da fare con voi, figli di Seruia? Se egli maledice, è perché il 
2SA.16.11	Poi Davide disse ad Abisai e a tutti i suoi servitori: «Ecco, mio figlio, uscito dalle mie viscere, cerca di togliermi la vita! Quanto più lo può fare ora questo Beniaminita! Lasciate che egli maledica, perché gliel’ha ordinato il 
2SA.16.12	Forse il 
2SA.16.13	Davide e la sua gente continuarono il loro cammino; Simei camminava sul fianco del monte, di fronte a Davide, e cammin facendo lo malediva, gli gettava dei sassi e buttava della polvere. 
2SA.16.14	Il re e tutta la gente che era con lui arrivarono ad Aiefim e là ripresero fiato.
2SA.16.15	Intanto Absalom e tutto il popolo, gli uomini d’Israele, erano entrati a Gerusalemme; Aitofel era con lui.
2SA.16.16	Quando Cusai, l’Archita, l’amico di Davide, fu giunto presso Absalom, gli disse: «Viva il re! Viva il re!» 
2SA.16.17	Absalom disse a Cusai: «È questo dunque l’affetto che hai per il tuo amico? Perché non sei andato con il tuo amico?» 
2SA.16.18	Cusai rispose ad Absalom: «No; io sarò di colui che il 
2SA.16.19	Del resto, di chi sarò io servo? Non lo sarò di suo figlio? Come ho servito tuo padre, così servirò te».
2SA.16.20	Allora Absalom disse ad Aitofel: «Consigliate quello che dobbiamo fare». 
2SA.16.21	Aitofel rispose ad Absalom: «Entra dalle concubine di tuo padre, lasciate da lui a custodia del palazzo; quando tutto Israele saprà che ti sei reso odioso a tuo padre, il coraggio di quelli che sono per te sarà fortificato». 
2SA.16.22	Fu dunque montata una tenda sulla terrazza per Absalom, e Absalom entrò dalle concubine di suo padre, alla vista di tutto Israele. 
2SA.16.23	In quei giorni, un consiglio dato da Aitofel era come una parola data da Dio a uno che lo avesse consultato. Così era di tutti i consigli di Aitofel tanto per Davide quanto per Absalom.
2SA.17.1	Poi Aitofel disse ad Absalom: «Lasciami scegliere dodicimila uomini; partirò e inseguirò Davide questa notte stessa; 
2SA.17.2	gli piomberò addosso mentre egli è stanco e ha le braccia fiacche; lo spaventerò e tutta la gente che è con lui si darà alla fuga. Colpirò il re solo 
2SA.17.3	e ricondurrò a te tutto il popolo; l’uomo che tu cerchi vale quanto il ritorno di tutti; così tutto il popolo sarà in pace». 
2SA.17.4	Questo discorso piacque ad Absalom e a tutti gli anziani d’Israele.
2SA.17.5	Tuttavia Absalom disse: «Chiamate ancora Cusai, l’Archita, e sentiamo quel che anch’egli dirà». 
2SA.17.6	Quando Cusai fu venuto da Absalom, questi gli disse: «Aitofel ha parlato così e così; dobbiamo fare come ha detto lui? Se no, parla tu!» 
2SA.17.7	Cusai rispose ad Absalom: «Questa volta il consiglio dato da Aitofel non è buono». 
2SA.17.8	Cusai soggiunse: «Tu conosci tuo padre e i suoi uomini, e sai che sono gente valorosa e che hanno l’animo esasperato come un’orsa nella campagna quando le sono stati rapiti i figli; poi tuo padre è un guerriero e non passerà la notte con il popolo. 
2SA.17.9	Senza dubbio egli è ora nascosto in qualche buca o in qualche altro luogo; e avverrà che, se fin da principio ne cadranno alcuni dei tuoi, chiunque lo verrà a sapere dirà: “Tra la gente che seguiva Absalom c’è stata una strage”. 
2SA.17.10	Allora il più valoroso, anche se avesse un cuor di leone, si avvilirà, perché tutto Israele sa che tuo padre è un prode e che quelli che ha con sé sono valorosi. 
2SA.17.11	Perciò io consiglio che si raduni presso di te tutto Israele da Dan fino a Beer-Sceba, numeroso come la sabbia che è sul lido del mare, e che tu in persona vada alla battaglia. 
2SA.17.12	Così lo raggiungeranno in qualunque luogo egli si troverà, e gli cadranno addosso come la rugiada cade sul suolo; e di tutti quelli che sono con lui non ne scamperà uno solo. 
2SA.17.13	Se egli si ritira in qualche città, tutto Israele cingerà di funi quella città e noi la trascineremo nel torrente in modo che non se ne trovi più nemmeno una pietruzza». 
2SA.17.14	Absalom e tutti gli uomini d’Israele dissero: «Il consiglio di Cusai, l’Archita, è migliore di quello di Aitofel». Il 
2SA.17.15	Allora Cusai disse ai sacerdoti Sadoc e Abiatar: «Aitofel ha consigliato Absalom e gli anziani d’Israele così e così e io ho consigliato in questo modo. 
2SA.17.16	Ora mandate in fretta a informare Davide e ditegli: “Non passare la notte nelle pianure del deserto, ma senz’altro va’ oltre, affinché il re con tutta la gente che ha con sé non rimanga sopraffatto”».
2SA.17.17	Gionatan e Aimaas stavano appostati presso En-Roghel; una serva andò a informarli, ed essi andarono a informare il re Davide. Essi infatti non potevano entrare in città in modo palese. 
2SA.17.18	Un ragazzo però li aveva visti e aveva avvisato Absalom; ma i due partirono di corsa e giunsero a Baurim a casa di un uomo che aveva nel suo cortile una cisterna. 
2SA.17.19	Quelli vi si calarono; e la donna di casa prese una coperta, la distese sulla bocca della cisterna e vi sparse su del grano; così nessuno ne seppe nulla. 
2SA.17.20	I servi di Absalom vennero in casa di quella donna e chiesero: «Dove sono Aimaas e Gionatan?» La donna rispose loro: «Hanno attraversato il ruscello». Quelli si misero a cercarli; e, non potendoli trovare, tornarono a Gerusalemme. 
2SA.17.21	Appena se ne furono andati, i due uscirono dalla cisterna e andarono a informare il re Davide. Gli dissero: «Alzatevi e affrettatevi ad attraversare l’acqua; perché ecco qual è il consiglio che Aitofel ha dato a vostro danno. 
2SA.17.22	Allora Davide si mosse con tutta la gente che era con lui e passò il Giordano. All’alba neppure uno era rimasto che non avesse passato il Giordano.
2SA.17.23	Aitofel, vedendo che il suo consiglio non era stato seguito, sellò il suo asino e partì per andarsene a casa sua, nella sua città. Mise in ordine le cose della sua casa e si impiccò. Così morì e fu sepolto nella tomba di suo padre.
2SA.17.24	Davide giunse a Maanaim. Anche Absalom attraversò il Giordano, con tutta la gente d’Israele. 
2SA.17.25	Absalom aveva messo a capo dell’esercito Amasa, al posto di Ioab. Amasa era figlio di un uomo chiamato Itra, l’Ismaelita, il quale aveva avuto relazioni con Abigail, figlia di Nacas e sorella di Seruia, madre di Ioab. 
2SA.17.26	Israele e Absalom si accamparono nel paese di Galaad.
2SA.17.27	Quando Davide fu giunto a Maanaim, Sobi, figlio di Nacas, che era di Rabba, città degli Ammoniti, Machir, figlio di Ammiel da Lodebar, e Barzillai, il Galaadita di Roghelim, 
2SA.17.28	portarono dei letti, dei catini, dei vasi di terra, del grano, dell’orzo, della farina, del grano arrostito, delle fave, delle lenticchie, dei legumi arrostiti, 
2SA.17.29	del miele, del burro, delle pecore, dei formaggi di vacca per Davide e per la gente che era con lui, affinché mangiassero; perché dicevano: «Questa gente deve avere patito fame, stanchezza e sete nel deserto».
2SA.18.1	Davide ispezionò la gente che aveva con sé e nominò dei capitani di migliaia e dei capitani di centinaia per comandarla. 
2SA.18.2	Fece marciare un terzo della sua gente sotto il comando di Ioab, un terzo sotto il comando di Abisai, figlio di Seruia, fratello di Ioab, e un terzo sotto il comando di Ittai di Gat. Poi il re disse al popolo: «Voglio andare anch’io con voi!» 
2SA.18.3	Ma il popolo rispose: «Tu non devi venire; perché, se noi fossimo messi in fuga, non avrebbe importanza; anche se perisse la metà di noi, nessuno ci farebbe caso; ma tu conti per diecimila di noi; dunque è meglio che tu ti tenga pronto a darci aiuto dalla città». 
2SA.18.4	Il re rispose loro: «Farò quello che vi sembra bene». Il re si fermò presso la porta, mentre tutto l’esercito usciva a schiere di cento e di mille uomini. 
2SA.18.5	Il re diede quest’ordine a Ioab, ad Abisai e a Ittai: «Per amor mio, trattate con riguardo il giovane Absalom!» Tutto il popolo udì quando il re diede a tutti i capitani quest’ordine riguardo ad Absalom.
2SA.18.6	L’esercito uscì per la campagna contro Israele. La battaglia ebbe luogo nella foresta di Efraim. 
2SA.18.7	Là il popolo d’Israele fu sconfitto dalla gente di Davide; la strage fu grande: in quel giorno caddero ventimila uomini. 
2SA.18.8	La battaglia si estese a tutta la contrada e la foresta divorò in quel giorno assai più gente di quella che non avesse divorato la spada.
2SA.18.9	Absalom s’imbatté nella gente di Davide. Absalom cavalcava il suo mulo; il suo mulo entrò sotto i rami intrecciati di un grande terebinto e la testa di Absalom s’impigliò nel terebinto, in modo che egli rimase sospeso fra il cielo e la terra, mentre il mulo, che era sotto di lui, passava oltre. 
2SA.18.10	Un uomo vide questo e andò a riferirlo a Ioab, dicendo: «Ho visto Absalom appeso a un terebinto». 
2SA.18.11	Ioab rispose all’uomo che gli dava la notizia: «Come! Tu lo hai visto? Perché non l’hai, sul posto, steso morto al suolo? Io non avrei rifiutato di darti dieci sicli d’argento e una cintura». 
2SA.18.12	Ma quell’uomo disse a Ioab: «Anche se mi fossero messi in mano mille sicli d’argento, io non metterei le mani addosso al figlio del re; perché noi abbiamo udito l’ordine che il re ha dato a te, ad Abisai e a Ittai dicendo: “Badate che nessuno tocchi il giovane Absalom!” 
2SA.18.13	Se avessi perfidamente attentato alla sua vita, siccome nulla rimane nascosto al re, tu stesso saresti stato contro di me». 
2SA.18.14	Allora Ioab disse: «Io non voglio perdere il tempo con te in questo modo». Prese in mano tre giavellotti e li conficcò nel cuore di Absalom, che era ancora vivo in mezzo al terebinto. 
2SA.18.15	Poi dieci giovani scudieri di Ioab circondarono Absalom e con i loro colpi lo finirono.
2SA.18.16	Allora Ioab fece suonare la tromba, e il popolo fece ritorno smettendo d’inseguire Israele, perché Ioab glielo impedì. 
2SA.18.17	Poi presero Absalom, lo gettarono in una grande fossa nella foresta e innalzarono sopra di lui un mucchio grandissimo di pietre; e tutto Israele fuggì, ciascuno nella sua tenda. 
2SA.18.18	Absalom, mentre era in vita, si era eretto il monumento che è nella valle del re; perché diceva: «Io non ho un figlio che conservi il ricordo del mio nome»; perciò diede il suo nome a quel monumento, che anche oggi si chiama monumento di Absalom.
2SA.18.19	Aimaas, figlio di Sadoc, disse a Ioab: «Lasciami correre a portare al re la notizia che il 
2SA.18.20	Ioab gli rispose: «Tu non porterai oggi buone notizie; le porterai un altro giorno; oggi non devi portare buone notizie, perché il figlio del re è morto». 
2SA.18.21	Poi Ioab disse all’Etiope: «Va’, e riferisci al re quello che hai visto». L’Etiope s’inchinò a Ioab e corse via. 
2SA.18.22	Aimaas, figlio di Sadoc, disse di nuovo a Ioab: «Qualunque cosa avvenga, ti prego, lasciami correre dietro all’Etiope!» Ioab gli disse: «Ma perché vuoi andargli dietro, figlio mio? La notizia non ti porterà nulla di buono». 
2SA.18.23	E l’altro: «Qualunque cosa avvenga, voglio andare». Allora Ioab gli disse: «Corri!» Allora Aimaas andò di corsa per la via della pianura e oltrepassò l’Etiope.
2SA.18.24	Davide stava seduto fra le due porte; la sentinella salì sul tetto della porta dal lato del muro, alzò gli occhi, guardò e vide un uomo che correva tutto solo. 
2SA.18.25	La sentinella gridò e avvertì il re. Il re disse: «Se è solo, porta notizie». Quello si avvicinava sempre di più. 
2SA.18.26	Poi la sentinella vide un altro uomo che correva e gridò al guardiano: «C’è un altro uomo che corre tutto solo!» E il re: «Anche questo porta notizie». 
2SA.18.27	La sentinella disse: «Il modo di correre del primo mi pare quello di Aimaas, figlio di Sadoc!» Il re disse: «È un uomo onesto e viene a portare buone notizie».
2SA.18.28	Aimaas gridò al re: «Pace!» Prostratosi davanti al re con la faccia a terra, disse: «Benedetto sia il 
2SA.18.29	Il re disse: «Il giovane Absalom sta bene?» Aimaas rispose: «Quando Ioab mandava il servo del re e me, tuo servo, vidi una gran mischia, ma non so di che si trattasse». 
2SA.18.30	Il re gli disse: «Mettiti là da parte». Egli si mise da parte e aspettò.
2SA.18.31	Poco dopo giunse l’Etiope, che disse: «Buone notizie per il re mio signore! Il 
2SA.18.32	Il re disse all’Etiope: «Il giovane Absalom sta bene?» L’Etiope rispose: «Possano i nemici del re mio signore, e tutti quelli che insorgono contro di te per farti del male, subire la sorte di quel giovane!»
2SA.18.33	Allora il re, vivamente scosso, salì nella camera che era sopra la porta e pianse; e nell’andare diceva: «Absalom, figlio mio! Figlio mio, Absalom, figlio mio! Fossi pur morto io al tuo posto, Absalom, figlio mio, figlio mio!»
2SA.19.1	Allora andarono a dire a Ioab: «Il re piange e fa cordoglio a motivo di Absalom». 
2SA.19.2	E in quel giorno la vittoria si mutò in lutto per tutto il popolo, perché il popolo sentì dire in quel giorno: «Il re è molto afflitto a causa di suo figlio». 
2SA.19.3	Il popolo in quel giorno rientrò furtivamente in città, come avrebbe fatto gente coperta di vergogna per essere fuggita in battaglia. 
2SA.19.4	Il re si era coperto la faccia e ad alta voce gridava: «Absalom, figlio mio! Absalom, figlio mio, figlio mio!» 
2SA.19.5	Allora Ioab entrò in casa del re e disse: «Tu copri oggi di rossore il volto di tutta la tua gente, che in questo giorno ha salvato la vita a te, ai tuoi figli e alle tue figlie, alle tue mogli e alle tue concubine, 
2SA.19.6	poiché ami quelli che ti odiano e odi quelli che ti amano; infatti oggi tu dimostri che capitani e soldati per te non contano nulla; ora vedo bene che se oggi Absalom fosse vivo e noi fossimo tutti morti, allora saresti contento. 
2SA.19.7	Àlzati dunque ora, esci e parla al cuore della tua gente; perché io giuro per il 
2SA.19.8	Allora il re si alzò e andò a sedersi alla porta della città. A tutto il popolo fu dato l’annuncio: «Ecco, il re si è seduto alla porta della città». E tutto il popolo venne in presenza del re.
2SA.19.8	Gli Israeliti
2SA.19.9	E in tutte le tribù d’Israele tutto il popolo stava discutendo e diceva: «Il re ci ha liberati dalle mani dei nostri nemici e ci ha salvati dalle mani dei Filistei; e ora è dovuto fuggire dal paese a causa di Absalom; 
2SA.19.10	e Absalom, che noi avevamo unto perché regnasse su di noi, è morto in battaglia; perché dunque non cercate di far tornare il re?» 
2SA.19.11	Il re Davide mandò a dire ai sacerdoti Sadoc e Abiatar: «Parlate agli anziani di Giuda e dite loro: “Perché sareste voi gli ultimi a far tornare il re a casa sua? I discorsi che si tengono in tutto Israele sono giunti fino alla casa del re. 
2SA.19.12	Voi siete miei fratelli, siete mie ossa e mia carne; perché dunque sareste gli ultimi a far tornare il re?” 
2SA.19.13	Dite ad Amasa: “Non sei tu mie ossa e mia carne? Dio mi tratti con tutto il suo rigore, se tu non diventi per sempre capo dell’esercito al posto di Ioab”». 
2SA.19.14	Così Davide piegò il cuore di tutti gli uomini di Giuda come se fosse stato il cuore di un solo uomo; ed essi mandarono a dire al re: «Ritorna tu con tutta la tua gente». 
2SA.19.15	Il re dunque tornò e giunse al Giordano; quelli di Giuda vennero a Ghilgal per andare incontro al re e per fargli attraversare il Giordano.
2SA.19.16	Simei, figlio di Ghera, Beniaminita, che era di Baurim, si affrettò a scendere con gli uomini di Giuda incontro al re Davide. 
2SA.19.17	Egli aveva con sé mille uomini di Beniamino, Siba, servo della casa di Saul, con i suoi quindici figli e i suoi venti servi. Essi attraversarono il Giordano davanti al re. 
2SA.19.18	La chiatta che doveva traghettare la famiglia del re e tenersi a sua disposizione passò; e Simei, figlio di Ghera, prostratosi davanti al re, nel momento in cui questi stava per attraversare il Giordano, 
2SA.19.19	gli disse: «Non tenga conto il mio signore della mia iniquità, e dimentichi la perversa condotta tenuta dal suo servo il giorno in cui il re mio signore usciva da Gerusalemme; non me ne serbi rancore il re! 
2SA.19.20	Poiché il tuo servo riconosce che ha peccato; per questo sono stato oggi il primo di tutta la casa di Giuseppe a scendere incontro al re mio signore». 
2SA.19.21	Ma Abisai, figlio di Seruia, prese a dire: «Nonostante questo, Simei non deve forse morire per aver maledetto l’unto del 
2SA.19.22	Davide disse: «Che ho da fare con voi, o figli di Seruia, che vi mostrate oggi miei avversari? Si dovrebbe far morire qualcuno in Israele oggi? Io so che oggi sono diventato re d’Israele». 
2SA.19.23	Il re disse a Simei: «Tu non morirai!» E il re glielo giurò.
2SA.19.24	Mefiboset, nipote di Saul, scese incontro al re. Egli non si era pulito i piedi, non aveva curato la barba né aveva lavato le sue vesti dal giorno in cui il re era partito fino a quello in cui tornava in pace. 
2SA.19.25	Quando giunse da Gerusalemme per incontrare il re, il re gli disse: «Perché non venisti con me, Mefiboset?» 
2SA.19.26	Questi rispose: «O re, mio signore, il mio servo mi ingannò; perché il tuo servo, che è zoppo, aveva detto: “Io mi farò sellare l’asino, monterò e andrò con il re”. 
2SA.19.27	Ed egli ha calunniato il tuo servo presso il re mio signore; ma il re mio signore è come un angelo di Dio; fa’ dunque ciò che ti piacerà, 
2SA.19.28	poiché tutti quelli della casa di mio padre non avrebbero meritato dal re mio signore altro che la morte; e, nondimeno, tu avevi messo il tuo servo tra quelli che mangiano alla tua mensa. Quale altro diritto potrei avere? E perché dovrei continuare a supplicare il re?» 
2SA.19.29	Il re gli disse: «Non occorre che tu aggiunga altre parole. Ho deciso: tu e Siba dividetevi le terre». 
2SA.19.30	Mefiboset rispose al re: «Si prenda pure egli ogni cosa, poiché il re mio signore è tornato in pace a casa sua».
2SA.19.31	Barzillai, il Galaadita, scese da Roghelim e attraversò il Giordano con il re, per accompagnarlo di là dal Giordano. 
2SA.19.32	Barzillai era molto vecchio; aveva ottant’anni e aveva fornito i viveri al re mentre questi si trovava a Maanaim; infatti era molto facoltoso. 
2SA.19.33	Il re disse a Barzillai: «Vieni con me oltre il fiume; io provvederò al tuo sostentamento a casa mia, a Gerusalemme». 
2SA.19.34	Ma Barzillai rispose al re: «Troppo pochi sono gli anni che mi restano da vivere perché io salga con il re a Gerusalemme. 
2SA.19.35	Adesso ho ottant’anni. Non posso discernere ciò che è buono da ciò che è cattivo. Non posso più assaporare ciò che mangio o ciò che bevo. Non posso più udire la voce dei cantanti e delle cantanti. Perché dunque il tuo servo sarebbe di peso al re mio signore? 
2SA.19.36	Solo per poco tempo andrebbe il tuo servo oltre il Giordano con il re; e perché il re vorrebbe ricompensarmi con un tale beneficio? 
2SA.19.37	Ti prego, lascia che il tuo servo se ne ritorni indietro e che io possa morire nella mia città presso la tomba di mio padre e di mia madre! Ma ecco il tuo servo Chimam: passi egli con il re mio signore e fa’ per lui quello che ti piacerà». 
2SA.19.38	Il re rispose: «Venga con me Chimam, e farò per lui quello che a te piacerà; farò per te tutto quello che desidererai da me». 
2SA.19.39	Quando tutto il popolo ebbe attraversato il Giordano e lo ebbe attraversato anche il re, il re baciò Barzillai e lo benedisse, ed egli se ne tornò a casa sua. 
2SA.19.40	Così il re passò oltre e andò a Ghilgal; Chimam lo accompagnò. Tutta la gente di Giuda e anche la metà della gente d’Israele aveva scortato il re. 
2SA.19.41	Allora tutti gli altri Israeliti vennero dal re e gli dissero: «Perché i nostri fratelli, gli uomini di Giuda, ti hanno portato via di nascosto e hanno fatto attraversare il Giordano al re, alla sua famiglia e a tutta la gente di Davide?» 
2SA.19.42	Tutti gli uomini di Giuda risposero agli uomini d’Israele: «Perché il re ci appartiene più da vicino; e perché vi adirate per questo? Abbiamo forse mangiato a spese del re? O abbiamo ricevuto qualche regalo?» 
2SA.19.43	Gli uomini d’Israele risposero agli uomini di Giuda: «Il re appartiene a noi dieci volte più che a voi e quindi Davide è più nostro che vostro; perché dunque ci avete disprezzati? Non siamo stati noi i primi a proporre di far tornare il nostro re?» Ma il parlare degli uomini di Giuda fu più violento di quello degli uomini d’Israele.
2SA.20.1	C’era là un uomo scellerato di nome Seba, figlio di Bicri, un Beniaminita, il quale suonò la tromba e disse: «Noi non abbiamo nulla da spartire con Davide, non abbiamo nulla in comune con il figlio d’Isai! O Israele, ciascuno alla sua tenda!» 
2SA.20.2	E tutti gli uomini d’Israele ripresero la via delle alture, separandosi da Davide per seguire Seba, figlio di Bicri; ma quelli di Giuda non si staccarono dal loro re e lo accompagnarono dal Giordano fino a Gerusalemme.
2SA.20.3	Quando Davide fu giunto a casa sua a Gerusalemme, prese le dieci concubine che aveva lasciate a custodia del palazzo e le fece rinchiudere. Egli somministrava loro gli alimenti, ma non si accostava a loro; e rimasero così rinchiuse, vivendo come vedove, fino al giorno della loro morte.
2SA.20.4	Poi il re disse ad Amasa: «Radunami tutti gli uomini di Giuda entro tre giorni; e anche tu trovati qui». 
2SA.20.5	Amasa dunque partì per radunare gli uomini di Giuda; ma tardò oltre il tempo fissatogli dal re. 
2SA.20.6	Allora Davide disse ad Abisai: «Seba, figlio di Bicri, ci farà adesso più male di Absalom; prendi tu la gente del tuo signore e inseguilo perché non trovi delle città fortificate e ci sfugga». 
2SA.20.7	Abisai partì, seguito dalla gente di Ioab, dai Cheretei, dai Peletei e da tutti gli uomini più valorosi; uscirono da Gerusalemme per inseguire Seba, figlio di Bicri.
2SA.20.8	Si trovavano vicino alla grande pietra che è a Gabaon, quando Amasa venne loro incontro. Ioab indossava la sua veste militare sulla quale cingeva una spada che, attaccata al cinturino, gli pendeva dai fianchi nel suo fodero; mentre Ioab si faceva avanti, la spada gli cadde. 
2SA.20.9	Ioab disse ad Amasa: «Come stai, fratello mio?» Con la destra prese Amasa per la barba per baciarlo. 
2SA.20.10	Amasa non fece attenzione alla spada che Ioab aveva in mano; e Ioab lo colpì al ventre e gli intestini si sparsero per terra. Non lo colpì una seconda volta, perché Amasa morì. Poi Ioab e Abisai, suo fratello, si misero a inseguire Seba, figlio di Bicri. 
2SA.20.11	Uno dei giovani di Ioab era rimasto vicino ad Amasa e diceva: «Chi vuol bene a Ioab e chi è per Davide, segua Ioab!» 
2SA.20.12	Intanto Amasa era immerso nel sangue in mezzo alla strada. Quell’uomo, vedendo che tutto il popolo si fermava, trascinò Amasa fuori dalla strada in un campo e gli buttò addosso un mantello; perché aveva visto che tutti quelli che gli arrivavano vicino si fermavano; 
2SA.20.13	ma quando egli fu tolto dalla strada, tutti passavano al seguito di Ioab per dare addosso a Seba, figlio di Bicri.
2SA.20.14	Ioab attraversò tutte le tribù d’Israele fino ad Abel-Bet-Maaca. Tutto il fior fiore degli uomini si radunò e lo seguì. 
2SA.20.15	Giunsero ad Abel-Bet-Maaca e vi assediarono Seba, innalzando contro la città un terrapieno che dominava le fortificazioni; tutta la gente che era con Ioab scavava le mura per farle crollare. 
2SA.20.16	Allora una donna di buon senso gridò dalla città: «Udite, udite! Vi prego, dite a Ioab di avvicinarsi perché gli voglio parlare!» 
2SA.20.17	Quando egli si fu avvicinato, la donna gli chiese: «Sei tu Ioab?» Egli rispose: «Sono io». Allora lei gli disse: «Ascolta la parola della tua serva». Egli rispose: «Ascolto». 
2SA.20.18	Lei riprese: «Una volta si diceva: “Si domandi consiglio ad Abel!” E così si giungeva a una conclusione! 
2SA.20.19	Abel è una delle città più pacifiche e più fedeli in Israele; e tu cerchi di far perire una città che è una madre in Israele. Perché vuoi distruggere l’eredità del 
2SA.20.20	Ioab rispose: «Lungi, lungi da me l’idea di distruggere e di guastare. 
2SA.20.21	Il fatto non sta così; un uomo della regione montuosa di Efraim, di nome Seba, figlio di Bicri, ha alzato la mano contro il re, contro Davide. Consegnatemi lui solo e io mi allontanerò dalla città». La donna disse a Ioab: «La sua testa ti sarà gettata dalle mura». 
2SA.20.22	Allora la donna si rivolse a tutto il popolo con il suo saggio consiglio e quelli tagliarono la testa a Seba, figlio di Bicri, e la gettarono a Ioab. Questi fece suonare la tromba; tutti si allontanarono dalla città e ognuno tornò alla sua tenda. E Ioab tornò a Gerusalemme dal re.
2SA.20.23	Ioab era il capo di tutto l’esercito d’Israele; Benaia, figlio di Ieoiada, era il capo dei Cheretei e dei Peletei. 
2SA.20.24	Adoram era addetto ai lavori forzati; Iosafat, figlio di Ailud, era archivista; 
2SA.20.25	Seia era segretario; Sadoc e Abiatar erano sacerdoti; anche Ira di Iair era ministro di stato di Davide.
2SA.21.1	Al tempo di Davide ci fu una carestia per tre anni continui. Davide cercò il volto del 
2SA.21.2	Allora il re chiamò i Gabaoniti e parlò loro. I Gabaoniti non facevano parte dei figli d’Israele, ma erano un residuo degli Amorei; i figli d’Israele si erano legati a loro per giuramento; tuttavia Saul, nel suo zelo per i figli d’Israele e di Giuda, aveva cercato di sterminarli. 
2SA.21.3	Davide disse ai Gabaoniti: «Che cosa devo fare per voi e in che modo posso espiare il torto fattovi, perché voi benediciate l’eredità del 
