MAT.1.1	Nke e̱ nyi re-lo nzhwe Jesu Krristi, kowe
LUK.11.38	Me̱di nne Farisi e̱ hwie̱ nga onu aha ngu ri ko Jesu ke̱she kyu nva wire ngu ce̱ ye yâ ye̱ye̱rri ne teede mbe we̱.
LUK.11.39	Brrabe̱ e̱ he ne ngu he, “Nyi nné Farisi nyi kyu we teme kwrreshi ngbe teme onggong ye yâ, me̱di a yarring, nyi si ankya nneywí ne igbe̱, nyi bi hwie̱. 
LUK.11.40	Nyi nné riywe̱ zentsi! Ko nyi hu he nne ne ngu nyi temeng, nyi ngu ne ngu bra nyi yarring wo ye̱? 
LUK.11.41	Nyi ngwa yiriywé̱ kya rina ne ngu shi a yarring, wire ko nda we̱ ci wiri a yarri nyi.
LUK.11.42	“Wuhu ne nyi nné Farisi! Nyi ngwá Be̱ne̱ zaka na re-rikwe bi shwe̱ rina he̱rri ngbe yaká re-nzhwe rikwe zhwozhwo. Me̱di nyi ra raywrra Be̱ne̱ ngbe ce̱ ngu. A nyi mbe ne̱ ne mbe mwa ye̱ye̱rri ne nyi ra nyi we̱sa ne we mbe ncwi e̱.
LUK.11.43	“Wuhu ne nyi nné Farisi, aha nyi ce̱ te̱nte̱ rewieng srra a re-zonggrung mwe. Nyi ce̱ he e ri ma níng dzie a kaawe̱.
LUK.11.44	“Wuhu ne nyi aha nyi shi shi re-ria ne koó ri we̱,
LUK.11.45	Ya nne hu re̱se̱ Nti Nka Musa ki shing he, “Nne Mie̱ Nka, re-ankya ne ngwe̱ he ne̱ ngwe̱ shi níng cwi ma.”
LUK.11.46	Jesu a he ne mbe he, “Nyi nné hu re̱se̱ Nti Nka Musa, wuhu ne nyi, aha nyi kpe nneywí re-nkpe ruvo, me̱di nyi we nci nyi ko nyi re reng ma gung we̱.
LUK.11.47	“Wuhu ne nyi, nyi no re-ria nné ti re̱se̱ng ne re-yo nyi mbe i we yhwi. 
LUK.11.48	Aha nii, nyi ngwá sheede he nyi shî kya ne re-yo nyi mbe i nyi e̱, á yhwi nné ti re̱se̱ng ngbe nyi e̱ no re-ria mbe. 
LUK.11.49	Be̱ne̱ a zetsi hu re̱se̱ng ngu a he, ‘Nje ri we te mi ne nné ti re̱se̱ng ngbe nnenté, á ri yhwi kpi mbe, wé̱ ngwa kpi mbe cinci.’ 
LUK.11.50	Aha nii, á ri nyi nné nze̱ ne̱ nka aha roshwo nné ti re̱se̱ng zhwozhwo ne á nyi ne wang tu ce̱ucwu ebe ngwie̱, 
LUK.11.51	kya ngu ce̱ a roshwo Habila re nzhi roshwo Zakariya ne i ki yhwe̱ a zetsi ewie briing nyi teede ngbe ewie wiri na Brranyi. Cence, nje níng ting he se ne e nyi nné nze̱ ne̱ nka aha ni.
LUK.11.52	“Wuhu ne nyi nné hu re̱se̱ Nti Nka Musa, aha nyi hwie̱n nneywí rêng hu re̱se̱ng, ko nyi we nci nyi nyi ngwie we̱, nyi bra kpo nne ne mbe ce̱ ning ngwie.”
LUK.11.53	A zhe ne Jesu ngu wru miimi, nné Farisi ngbe nné hu re̱se̱ Nti Nka Musa a ne̱ ne ki kwa be, á ki me̱ firiri nwie ki rin re-nka, 
LUK.11.54	aha mbe she rê mbe ki pie a yarri re-nka ngu.
LUK.12.1	A zhe ne rigwe̱ nne we yang mbe ya tsu, he̱rri a ne̱ ne yaa shi nta, Jesu ke̱she he nka ne nné ki zhwe ngu he, “Nyi nyi te̱nte̱ ne brra onu nné Farisi, ne ngu shi shi ne yisti.
LUK.12.2	Ko bi yankya ne ngu shi ku ne e ri we we̱sa klang, ka ngu shi la la ne ri we we̱sa hung we̱.
LUK.12.3	Kya ne nyi he a nwie ywing á ri ho a tsi te̱ne̱, kya ne nyi he ranranng gbong a yarri e̱binyi, á ri kyie̱ a zete re-zonggru.
LUK.12.4	“Nje níng ting, rwí nje, he shi de̱ nyi to owu nné mbe ne mbe hung yhwe̱ we ikpe rwe̱, me̱di koó hung nyi yankya ne̱ ni we̱. 
LUK.12.5	Me̱di nde n níng ti nne ne ngu mwa ye̱ye̱rri nyi to owu ngu a. Nyi to owu Be̱ne̱ ne kundu ngu yhwe̱ ikpe rwe̱, a bra bi igbe̱ re ki zhwu a ruvong ro. Cence, nje níng ting he nyi to owu ngu.
LUK.12.6	“Ko rie̱ re-genshee wecwuoo a kovo wehwie we̱ e̱e̱? Gbengbe ni, ko ga bru Be̱ne̱ ne ko ya mbe we̱. 
LUK.12.7	Cence, Be̱ne̱ hu he̱rri ngbe piriri nkwe rici nyi zhwozhwo. Shi de̱ nyi ci owu wo, nyi bi mpe̱ni re ne̱ ngbá rekpri re-genshee we gbong.
LUK.12.8	“Nje níng ting he, ko nye̱ ne ngu ti we gbeng a nyyi nneywí he ngu nyi na nje, Kowe Nneywi ri ti we gbeng ni ma a nyyi re-njeli Be̱ne̱. 
LUK.12.9	Nne ne ngu ti we gbeng he ko ngu nyi na nje we̱ a nyyi nneywí, nje ri ti ni ma he ko nyi na nje we̱ a nyyi re-njeli Be̱ne̱.
LUK.12.10	“Ko nye̱ ne ngu he nka e̱ngwie̱ a zete Kowe Nneywi wé̱ hung ki we e̱ngwie̱ ngu, me̱di ko nye̱ ne ngu he nkang dzie̱ Nshe Wiri, ko shi ré ki we e̱ngwie̱ ngu we̱.
LUK.12.11	“Kundu ne e níng prre ne be mi ne nyi a zonggrung mwe, ka a nyyi nggwé̱, ka a nyyi brrá nnencwueé, shi de̱ nyi bē aha kya ne nyi ri nyi ka nyi ri he we̱.
LUK.12.12	Aha Nshe Wiri shi níng mie̱ kya ne nyi shi heng a zhe ana.”
LUK.12.13	Ya nne a yarri ekpri nneywí nna he ne Jesu he, “Nne Mie̱ Nka, he ne gimbe nje he re kye gado be̱ nzhi re ning ngwa na nje.”
LUK.12.14	Jesu he ne ngu he, “Ka a rwe! Nyi nye̱ ngu ning ci he n hwie̱ nne níng nyi nka, ka nne níng kye ankya aa?” 
LUK.12.15	Ngu a he ne mbe he, “Nyi ci nkwile̱! Nyi yaa cwo ne re-nzhwe ecwue. Ko ce nneywi ne̱ shi aha re-ankya ne ngu brri mi we̱.”
LUK.12.16	Wire ngu a we ti nka zhwebe he, “Ebe ya nne bi va ci yâ we yang. 
LUK.12.17	Ngu a hwie a yarri hwie ngu he, ‘Nje shi nyi rimi ne̱? Ko nje bi ewie ngu be ngbe n ning sa yâ nje ne̱ we̱.’
LUK.12.18	“Ngu a he, ‘Kya ne nje shi nying nna nyi nke, nje shi hwin re-aata nje ne̱ ngbe n no brrabrráng, wire ma n kro yâ nje ngbe re-ankya nje a yarring fa. 
LUK.12.19	Wire ma n he ne ce nje he ngwe̱ bi ko nda rina ne ngwe̱ ce̱ he̱rri re-rie we yang, nywe̱ we dengge, ngwe̱ ye, ngwe̱ shwe ngwe̱ nyi rekwi.’
LUK.12.20	“Me̱di Be̱ne̱ he ne ngu he, ‘Ngwe̱ rumwa! A totu ne̱ ngwe̱ shi hu. Wire nyi nye̱ ngu ri hwie̱ ne ankya ne ngwe̱ tsu aa?’
LUK.12.21	“Aha nii, a shi ni ne ko nye̱ ne ngu tsu dukyie̱e̱ aha rici ngu, me̱di ko bi ko yankya a nwie Be̱ne̱ we̱.”
LUK.12.22	Jesu he ne nné ki zhwe ngu he, “Aha nii, nje níng ting, shi de̱ nyi bē aha srra nyi we̱, aha kya ne nyi shi yeng ka ankya ne nyi shi cing a re-rwe̱ nyi. 
LUK.12.23	Aha ce nyi e̱ ne̱ yâ ye, rwe̱ nyi e̱ bra ne̱ ankya ci. 
LUK.12.24	Nyi di gwrré, koó kye̱ we̱, koó bra ca yâ we̱, koó bra bi uucwu vie̱ ka aata we̱, gbengbe ni Be̱ne̱ we ngwa yâ. Ko nyi e̱ nyi ne̱ re̱mie̱ yi we̱ e̱e̱? 
LUK.12.25	Nyi nye̱ a tsi nyi ne kundu ngu srra re bē he̱rri we̱ hu ning bra awa zunzrru a nce ngu aa? 
LUK.12.26	Tu ne ko shi nyi hung nyi e̱we̱ kya tsie̱nzhwu ni we̱, aha nda ne nyi srra re bē ne kpi re-ankya ni e̱? 
LUK.12.27	Nyi ri re-vooshwo ne mbe ci, koó nyi cwuo we̱, koó bra yaa cwi ankya á mwa yi mbe we̱. Nje níng ting he ko nggwe̱ Solomo ne grime̱ ngu a, ko risa ngu i cwu na ya mbe ne̱ we̱. 
LUK.12.28	Kundu ngu Be̱ne̱ e̱ ci ntsi yi ankya rina ni ne a cwu á we ri á bi ke̱, me̱di a encwe wé̱ hwe, wé̱ e̱ bra wa a nro, we̱ ce̱ rimi we̱ níng we nyi e̱ ni e̱e̱? Hei nyi ma! Nyi nné riywe̱ sa rie! 
LUK.12.29	Shi de̱ nyi srra re hwie nka aha kya ne nyi shi yeng ka nyi shi shweng we̱; de̱ nyi bē wo. 
LUK.12.30	Ga nné tsi ngwie̱ e̱ á kre zhwe re-ankya ne̱, Be̱ nyi ne ngu shi zinye̱ e̱ hu he nyi ce̱ ma. 
LUK.12.31	Aha nii, nyi ke̱she kre Ringgwe̱ ngu, wire we̱ níng ngwa ga re-ankya ne̱.
LUK.12.32	“Shi de̱ nyi ci owu we̱, e̱we̱ ekpri canvé nje, Be̱ nyi e̱ bi ehwie kla ngbe ngu níng ngwa Ringgwe̱ ngu. 
LUK.12.33	Nyi rie̱ ko nda ne nyi bi, nyi ngwa yiriywé̱ ncwe̱ nna. Nyi sa ncwé̱ nyi a nwie ne ko ngu rre we̱, nyi sa dukyie̱e̱ nyi a zinye̱ a nwie ne ko ngu vie sa we̱, ko nnencá á hwan we̱, ko zhe bra ye we̱. 
LUK.12.34	Aha ewie ne dukyie̱e̱ nneywi ning shi, rie ngu we̱ shi miimi ma.
LUK.12.35	“Nyi yaa sha nyi srrante aha cwuo, re-fitile̱ nyi re bra tsie̱ nse̱
LUK.12.36	shi shi nné ne mbe srra re te be̱ri mbe ne ngu fu a nwie bikyi nyrra, aha we zhe ne ngu ya ning brru ngu cwe gbundu ré wre̱ ne ki klang we hwiehwie.
LUK.12.37	Mwo rina nyi na nnencwuó ne be̱ri mbe ngu ya we she mbe shi srrante a zhe ne ngu be. Nje níng ting cence he, a ri ci ankyang cwuo ne rici ngu aha ngu we nyi cwuo, a ri we ci ré srra be a tebrru ne ngu we kyé ya. 
LUK.12.38	Mwo rina nyi na nnencwuó ne be̱ri mbe ngu be ngu ya we she ne mbe shi srrante a tsi totu ka brra nyiencwe. 
LUK.12.39	Me̱di nyi hu re̱se̱ng he kundu be̱ri eri ra hu zhe ne nne nca ngu cwo be, koo ra we ngbe ré ya hwin eri ngu he̱rri ré ning ngwie we̱.
LUK.12.40	Aha nii, se nyi ma nyi srrante aha ko nyi hu zhe ne Kowe Nneywi ngu cwo be we̱.”
LUK.12.41	Pita rin he, “Brrabe̱, nyi nzhi ne ngwe̱ shi níng he nka zhwebe ne̱ ka nyi ko nye̱ e̱e̱?”
LUK.12.42	Brrabe̱ ki shing he, “Nyi nye̱ ngu nyi nnencwuee a nwieng cwuo ne ngu bi zentsi ngbe ré hung sa rie a ngu a? Nyi ngu ne be̱ri ngu ki ngwa ruhong ri nnencwuó ngu, ne ngu srra re we ngwa yâ, re we trra ncwé̱ a zhe ne ngu mwa ye̱ye̱rri. 
LUK.12.43	A ri nyi kya rina kundu ne be̱ri ngu a ya ning brru ngu ya ki she ngu shi nying ye̱ye̱rri ni. 
LUK.12.44	Nje níng ting cence, we̱ ki ngwa de̱me̱ re hwie̱ nne bro re-ankya ngu zhwozhwo. 
LUK.12.45	Me̱di kundu ngu nnencwuee nna ngu hwie nka a hwie ngu he, ‘Be̱ri nje ne̱ fo zhe we yang, ko cwo be ri hwiehwie we̱,’ we̱ ne̱ ne cwe hwié nna ntó ngbe mbrrú, we̱ ne̱ ne ye re shwe re dzio rici. 
LUK.12.46	Be̱ri ngu a ri shi ya wre̱ a ya otu ne ko ngu ning hwie yi we̱, a zhe ne ko ngu ru we̱. We̱ ya ki ca re-ukuukung we̱ kro a nwie nné ra nka.
LUK.12.47	“Ngu hwie ne ngu hu kya ce̱ be̱ri ngu, me̱di ko ngu ci nkwile̱ we̱, ko ngu bra nyi kya ne be̱ri ngu a ngu ce̱ we̱, wé̱ ki cwe we te̱nte̱ cwe. 
LUK.12.48	Me̱di nne nke ne ko ngu hu kya ce̱ be̱ri ngu we̱, ne ngu nyi kya ré ki cwe we re̱n, wé̱ ki cwe tsie̱nzhwu. Nne ne e ki ngwa piriri, á ri kre piriri a nwie ngu; nne ne e ki ngwa piriri re ne̱, á ri ce̱ re be mi piriri re ne̱ ma.
LUK.12.49	“Nje be mi ne ro a be ngwie̱, nje ce̱ he aa ra shi ye. 
LUK.12.50	Me̱di nje bi ya batisma na cinci ne nje shi nying. Nje ho a ning ruvo a yarri rwe̱ nje se ne ngu ri wara wire!
LUK.12.51	Nyi hwie he nje be mi ne srra rina a be ngwie̱ e̱e̱? Aawo, nje níng ting he nje be mi ne srra kanka. 
LUK.12.52	Kya ngu pie a zhe ne ne̱, a shi bi nné wecwuoo a yarri eri nne zunzrru ne mbe shi yaa kye kanka, wetsie̱ á ri bra a nné wehwie, wehwie wé̱ bra a nné wetsie̱.
LUK.12.53	Á ri yaa kye, be̱ ri ce̱trri ewe ngu,
LUK.12.53	ewe we̱ ce̱trri be̱ ngu;
LUK.12.53	de̱ ri ce̱trri ewena ngu,
LUK.12.53	ewena we̱ ce̱trri de̱ ngu;
LUK.12.53	kwe ri ce̱trri kunve ngu,
LUK.12.53	kunve we̱ ce̱trri kwe ngu.”
LUK.12.54	Jesu a he ne rigwe̱ nné he, “A zhe ne nyi ri inyie̱ ngu ci ri a nva ta, we hwiehwie nyi e̱ he, ‘Nze shi wie,’ we̱ shi ni. 
LUK.12.55	Zhe ne wu ngu wru a nva kudu ngu yhwa nyi e̱ he, ‘Ewie shi yhwi,’ we̱ shi ni. 
LUK.12.56	Nné brra ronu! Nyi hung ti re-zhe na ebe ngwie̱ ngbe zinye̱. Rimi ne nyi me̱nkye̱ng ti re-ankya mbe shi ci a re-zhe ne e̱e̱?
LUK.12.57	“Nyi nda ngu ci ne ko nyi hu yaa nyi nka we nci nyi ngbe nyi nyi kya ne ngu mwa ye̱ye̱rri we̱ ye̱? 
LUK.12.58	Zhe ne ngwe̱ shi ciee ngbe rwinko ngwe̱ re nzhi nwieng nyi nka, nyi kwe̱kwe̱ ngwe̱ cwue̱ nka ngbe ngu a rê, kishi a ri re kwa re nzhi nwie nne nyi nka, nne nyi nka we̱ re ngwa a nva re-ukungbo ngbe ré re ci uucwu gyiaa. 
LUK.12.59	Nje re ting he, ko shi ngwe̱ wru we̱ se ngwe̱ trra kpara kovo ne ré zhwe.”
LUK.13.1	A zhe ana, a i bi yá nné ne mbe shi miimi ne mbe ti Jesu he Bilatu i yhwi yá nné Galili a zhe ne mbe shi nyi teede mbe. 
LUK.13.2	Jesu a he ne mbe he, “Nyi hwie he nné Galili ne á ki yhwi ana á nyi nyrrukiki nné e̱ngwie̱ re ne̱ ga kpi nné Galili e̱ zhwozhwo aha ne mbe shwe ge̱zhe̱ ni e̱e̱? 
LUK.13.3	Aawo, ko shi ni we̱! Nje níng ting he se nyi se̱ ywe̱, de̱ ni wo nyi e̱ ci shweni zhwozhwo nyi ma. 
LUK.13.4	Ka nyi hwie he nné shwa ne otu klanva ne brra runo dede a Silo ngu i gu ngu we nyie̱ he̱rri mbe kwi ana, re-e̱ngwie̱ mbe e̱ á ne̱ na ga nné ne mbe srra a Urrushelima a zhwozhwo aa? 
LUK.13.5	Aawo, ko shi ni we̱! Nje he ne nyi he se nyi se̱ ywe̱, de̱ ni wo nyi e̱ ci shweni zhwozhwo nyi ma.”
LUK.13.6	Ngu a we ti nka zhwebe he, “Ya nne i bi ekwe riyhwietsie ne ngu tsi a nhwie̱n ngu, ngu a ywa ngu ya ri ka aa ci gbre. Koo ya she yankya we̱. 
LUK.13.7	Aha nii, ngu a he ne nnencwuo ngu he, ‘Aa ci re-rie wetsie̱ ne nje cwo kre gbre a ekwe ne̱, me̱di ko bi ko yankya we̱. Ki tsa ngwe̱ zhwu! We̱ dzio ewie e̱ we shweni ni e̱ aha nda?’
LUK.13.8	“Nne nna ngu a he, ‘Be̱ri, ki we he̱rri yaka rie wa, ngbe n ki cwue̱ n ning ci rivi. 
LUK.13.9	Kundu ngu ri ci gbre a rie ngu cwo be we̱ bi rina, de̱ ni we̱, nzhi e̱ tsa nzhi zhwu.’ ”
LUK.13.10	Jesu i shi mie̱ nka a ya zonggrung mwe a Tung Srra Cwu, 
LUK.13.11	A bi ya ho mbrru ne rije ki ci rugu teme he̱rri re-rie shwa ne otu klanva. Aa ki krru koo hung yaa cwucwu we̱ ko tsie̱ tsie̱. 
LUK.13.12	Zhe ne Jesu ki ri, aa ki ye re be ncwuee. Ngu a he ne ngu he, “A ho mbrru, á re ti ruhu ngwe̱.” 
LUK.13.13	Ngu a ki gara va. We hwiehwie ngu a yaa na, ngu a deze nwie de Be̱ne̱.
LUK.13.14	Me̱di nnencwuee na zonggrung mwe e̱ dzio ehwie aha ne Jesu ngu kyia nne a Tung Srra Cwu. Ngu a he ne nneywí he, “A bi rotung nyi cwuo ngbe rritsie̱. Aha nii, nyi be a rotu ana ngbe ré níng kyia, we̱sa ne Otung Srra Cwu!”
LUK.13.15	Me̱di Brrabe̱ ki shing he, “Nyi nné brra ronu! Nje he ka ko nye̱ nyi bí nnywa ngu ka nze̱e̱kyi ngu a nru we̱ ya ki ngwa rishi a Tung Srra Cwu a? 
LUK.13.16	Aha ni ma ko bi he ngu mbrru ne̱ ne ngu nyi zhwe Ibrrahin ne Shetani i ki rrwe he̱rri re-rie shwa ne otu klanva ne̱ ngbe re she ci gbingbi ne ruhu ngu a a Tung Srra Cwu we̱ e̱e̱?” 
LUK.13.17	A zhe ne Jesu he ni, ga nné ne mbe ki ra nka á shwe nshwu me̱di rehwie nneywí kla ne re-ankyang hwie̱ nga onu ne ngu nyi.
LUK.13.18	Wire Jesu we rinng he, “Ringgwe̱ Be̱ne̱ e̱ shi rimi? N ning mwa yi ngbe nda? 
LUK.13.19	A shi shi nyi cwe musta ne ya nne ngu tsi a nhwie̱n ngu. A shi tsie̱nzhwu le̱le̱ me̱di aa ci brra ekwe he̱rri re̱mie̱ yi á ning no reri mbe a nvang.”
LUK.13.20	Jesu we rinng wa he, “Ma n fo Ringgwe̱ Be̱ne̱ n ning mwa yi ne nda? 
LUK.13.21	A shi shi nyi yisti ne ya mbrru ngu fo ngu ki krre a yarri kwrengyi ntsi felewa wetsie̱, he̱rri aa ci bacia ntsi felewa nna zhwozhwo hru.”
LUK.13.22	Jesu grra a brrá re-ngwie̱ ngbe re-nkla re nzhi Urrushelima ne ngu cwo re mie̱ nka. 
LUK.13.23	Ya nne ki rinng he, “Brrabe̱, nyi e̱we̱ nné tsienzhwu ne mbe ri she kyia aa?”
LUK.13.23	Ngu a he ne mbe he, 
LUK.13.24	“Ko nye̱ re nyi kwe̱kwe̱ re ngwie a onusinye na ngu shi yhwen, aha nje níng ting he nné piriri ri kre he mbe ngwie, me̱di koó ri she ngwie we̱. 
LUK.13.25	Be̱ri bi eri ri deze we̱ she̱ onusinye, wire nyi e̱ yo ci re cwe ewie nwie cwe nva he, ‘Brrabe̱, kusu níng kla onusinye.’ Me̱di a ri he ne nyi he, ‘Ko nje níng hu we̱, ka ewie ne nyi níng wru.’
LUK.13.26	“Wire nyi ri he he, ‘Nzhi i ye re shwe ngbe ne ngwe̱, ngwe̱ bra níng mie̱ nka a ngwie̱ nzhi.’
LUK.13.27	“Me̱di a ri he, ‘Ko nje níng hu we̱, ka ewie ne nyi níng wru. Nyi ne̱ nwie nje, ga nyi nné e̱ngwie̱!’
LUK.13.28	“Nyi ri ku rana a miimi re ye nnyi a zhe ne nyi ri ri Ibrrahin, ngbe Ishaku ngbe Yakubu ngbe nné ti re̱se̱ng zhwozhwo a yarri Ringgwe̱ Be̱ne̱, me̱di wé̱ níng zi nyi e̱ a ci.
LUK.13.29	Nneywí ri wru a nva ze ngbe nva ta ngbe nva arewa ngbe nva kudu re be para a Ringgwe̱ Be̱ne̱.
LUK.13.30	Cence, a bi nné ne mbe shi merin ne mbe ri hwie̱ nné ncwuee, a bi yá nné mbe shi ncwuee ne mbe ri hwie̱ nné merin ma.”
LUK.13.31	A zhe ana yá nné Farisi i be nwie Jesu, mbe e̱ he ne ngu he, “Ne̱ nwie ne̱ re nzhi yaka ewie, aha Hirridu ce̱ re yhwe̱.”
LUK.13.32	Aa we brang he, “Nyi ywa nyi ya he ne Hirridu ca rabrra shi ovu yi ana he, ‘Nje shi yu re-rije ma n kyia nné a cwu ngbe a encwe, wire a otu natsie̱ ma n fro cwuo nje.’ 
LUK.13.33	Gbengbe ni ma, se n wara ne ciee nje a cwu ngbe encwe ngbe nyiee, aha ko bi ko ya nne ti re̱se̱ng re hu a ci we̱sa ne a Urrushelima we̱!
LUK.13.34	“Kei! Nyi nné Urrushelima, nyi nné Urrushelima, nyi ne nyi yhwi nné ti re̱se̱ng, nyi bra ta nné ne e we te nwie nyi ne ngbatsie! Aa ci cwoo maa ne nje ce̱ níng tsu gbengbe shi shi de̱ nngwie̱ ne ngu tsu rewe ngu a tahwie gahaa ngu, me̱di ko nyi shî we̱ e̱e̱! 
LUK.13.35	Nyi ri, Brranyi i nyi e̱ cwo a hwie̱ e̱ hwerri. Nje níng ting he ko nyi bra bi níng ri wa we̱ se nyi ri he, ‘Mwo rina shi a zete nne nke ne ngu be a yarri lo Brrabe̱.’ ”
LUK.14.1	A ya Otung Srra Cwu nné Yahudi, Jesu ywa ye yâ a ri ya nnencwuee nné Farisi, nneywí sa riyii a ngu dudu dudu. 
LUK.14.2	A bi ya nne ngu be a nwie Jesu ne nta ngu ngbe nva ngu mbe mwi. 
LUK.14.3	Jesu rin nné hu re̱se̱ Nti Nka Musa ngbe nné Farisi he, “Aa mwa ye̱ye̱rri a yarri Nti Nka ngbe ré kyia nne a Tung Srra Cwu a, ka aawo?” 
LUK.14.4	Me̱di á ci cereng, ngu a pie nne nna ngu a ki kyia, ngu a ki cire.
LUK.14.5	Wire ngu a we rinng he, “Nyi nye̱ a zetsi nyi ne kundu ngu bi nze̱we ka nnywa a ngu, ne ngu kpe a ruvo a Tung Srra Cwu ngbe ko we̱ wre̱ ne ki ti we hwiehwie we̱ e̱e̱?” 
LUK.14.6	Koó bra hu kya he we̱.
LUK.14.7	A zhe ne ngu ri nné ice ne mbe be mbe shi kre rewie te̱nte̱ng, ngu a we ti nka zhwebe ne̱, a he: 
LUK.14.8	“Kundu ne e re ye a nwie bikyi nyrra, shi de̱ ngwe̱ be ngwe̱ ya ke̱she srra a nwie te̱nte̱ng we̱, aha kabeya a bi ya nne bi grime̱ re re ne̱ ngwe̱ e̱ ne e ki ye ma.
LUK.14.9	Kishi nne ne ngu níng ye nné wehwie nyi e̱ re be re bra ya he ne ngwe̱ he, ‘Deze ngwe̱ we nne ne̱ ncwu ngwe̱.’ Wire nshwu we̱ re yhwe̱ kaka, se ngwe̱ bra ya kre yaka ewie gbong ngwe̱ ning srra. 
LUK.14.10	Me̱di kundu ne e re ye, ywa ngwe̱ ya srra gbong, aha kundu ne nne bi i bikyi e̱ ngu be we̱ he ne ngwe̱ he, ‘A rwi, deze ngwe̱ ya srra a nwie te̱nte̱ng.’ Wire ngwe̱ e̱ she grime̱ a nyyi ko mbe nye̱ ne mbe shi miimi e̱ fa. 
LUK.14.11	Aha ko nye̱ ne ngu fo rici ngu ze, wé̱ ki ci re̱; ko nye̱ ne ngu ci rici ngu re̱, wé̱ ki fo ze.”
LUK.14.12	Wire Jesu he ne be̱ bi eri nna he, “Kundu ne ngwe̱ shi ye nné a para, ka re nyi te̱ne̱ ka ne̱hin, shi de̱ ngwe̱ ye we rwí ngwe̱, ka re-gimbe ngwe̱, ka nzhwe ngwe̱, ka nné bi ncwé̱ dudu ne ngwe̱ we̱. Kishi á ri re ye ma, re bra ci shi á ning brru re trrang. 
LUK.14.13	Me̱di zhe ne ngwe̱ shi ye nné a para, kre yiriywé̱ ngbe nnenkú ngbe nnencwué̱, 
LUK.14.14	wire ngwe̱ e̱ she mwo rina. Ko ngbe ne ko mbe shi hung re trrang we̱, Be̱ne̱ ri re trrang a tung deze nné redziee.”
LUK.14.15	Ya ne ngu shi srra a tebrru ho ni, ngu a he ne Jesu he, “Mwo rina shi a zete nne nke ne ngu ri ya ye a para na Ringgwe̱ Be̱ne̱.”
LUK.14.16	Jesu a he ne ngu he, “Ya nne ye nné ice we yang ngbe ré be a ya brra para. 
LUK.14.17	A zhe ne e shi níng ce̱ para nna, ngu a te ya hwie ngu he re ywa re ya ye ga nné ne ngu we ti bikyi nna he, ‘Nyi be, aha ko nda dzie yhwe̱.’
LUK.14.18	“Ko nye̱ ne e ywa ki ye we̱ ngwa e̱we̱e̱ re-kwili kya ngu ci ne ko shi ngu hung be we̱. Nne na ce̱ucwung he, ‘A nyi we zhe ne ne̱ ne nje se̱ kyie, se nje ywa nje ya ri wire. Kusu ning ngwa zhe.’
LUK.14.19	“Ya mbe he, ‘A nyi we zhe ne ne̱ ne nje si nnywang kye̱ kaa komo shwa, nje nyia re nzhi we mwa n ri. Kusu ning ngwa zhe.’
LUK.14.20	“He̱rri ne cwu ya mbe he, ‘A nyi we zhe ne ne̱ ne nje fo mbrru, aha nii ko shi n hung be we̱.’
LUK.14.21	“Hwie nna a ya ning brru, ngu a ya ti be̱ri ngu kya ne ngu ci. Be̱ri ngu a dzio hwie ngu a he ne hwie ngu a he, ‘Wre̱ ne ne̱ we hwiehwie re nzhi a yarri ngwie̱ ngwe̱ ya grra a brra re-rê ngbe re-hwrre̱ ngwe̱ kyie̱ ga yiriywé̱, ngbe nnenkú, ngbe nnencwué̱ ré be.’
LUK.14.22	“Hwie nna a ya ning brru, a he ne ngu he, ‘Be̱ri, nje nyi kya ne ngwe̱ he n nyi e̱, me̱di a ke̱ ne bi kpi ewie.’
LUK.14.23	“Wire be̱ri hwie nna he ne ngu wa he, ‘Ywa a re-nkla ngwe̱ ya zhwe re-rê ngbe nhwie̱ rê ngbe ngwe̱ ya ye yaká nné re be, aha eri nje re shî. 
LUK.14.24	Nje níng ting he ko bi ko ya a zetsi brrá nné ne i we ye ana ne ngu ri ye ko yankya a nwie para nje we̱.’ ”
LUK.14.25	A ya otu, rigwe̱ nné e shi zhwe Jesu, zhe ne ngu bra ngu we ri, ngu a he ne mbe he, 
LUK.14.26	“Kundu ko nye̱ ngu ce̱ ning zhwe de̱ ngu ning ce̱ re ne̱ be̱ ngu, ngbe de̱ ngu, ngbe mbrru ngu, ngbe e̱we̱e̱ rewe ngu, ngbe re-gimbe ngu ntó ngbe mbrrú, he̱rri ngbe ce ngu we̱, cence ko shi re hung hwie̱ nné ning zhwe we̱.
LUK.14.27	Nne ne ko ngu hung fo gasankwe ngu, ngu ning zhwe we̱, koo be re hwie̱ nne ning zhwe we̱.
LUK.14.28	“Kundu ya nyi hwie no eri, ko ke̱she srra be we̱ ri ncwe̱ ne ngu bi e̱, ka ri ki be ngbe ngu ning ngra runo nna ka de̱ ri ki be we̱ wo ye̱? 
LUK.14.29	Kundu ngu ma we dede ngu ce̱ riti runo wire ko ngu bra no yhwe̱ we̱, ko nye̱ ne ngu shi cie̱ we̱ ki mi, 
LUK.14.30	nwie he, ‘Nyi ri ya nne ne ngu ce̱ runo me̱di koo bra hung frong we̱.’
LUK.14.31	“Nyi zohu nggwe̱ ne kundu ngu nyia re nzhi cwe ne yaka nggwe̱ ko we̱ ke̱she srra be we̱ ri ka re-shezhi ngu komo shwa ci á ri hung ya kwe̱ ne re-shezhi na rwinko ngu nshwa ci wehwie we̱ ye̱? 
