GEN.1.1	Diɲyɛ tasìige e, Kile à nìɲyiŋi ná ɲìŋke dá. 
GEN.43.17	Ka nàŋi si lire pyi. Maa ŋkàre ná pi e Yusufu pyɛnge e. 
GEN.43.18	Yusufu yyahafeebil'à pi ɲya pi à kàre ná pire e Yusufu pyɛnge e ke, ka pi i fyá, maa jwo «Wyɛ́rɛŋi u à kwôro toɲcyiige e wuu bɔrigil'e ke, mu sí n-ta lire kurugo, pi à pa ná wuu e naha ŋke cyage e. sí wwɔ̀ wuu na ɲcû mpyi pi bilii, si wuu dùfaanyi ta mú.»
GEN.43.19	Tire fyagare funŋke e, pi à file Yusufu báarapyiibii ɲùŋufooŋi na, pyɛnge ɲwɔge na, maa jwo ná u e. 
GEN.43.20	Pi a jwo: «Yàkeŋi yaha, wuu ɲùŋufooŋi, wuu à têl'a pa sùma shwɔ naha. 
GEN.43.21+GEN.43.22	Wuu sùmaŋi shwɔɲcyiini na, wuu à núr'a nɔ wuu tashwɔnge e ke, wuu à bɔrigii múgo mà sùmaŋi lwɔɔre ta wani, uye ɲwɔ na. Wuu ɲyɛ a wyɛ́rɛŋi lefooŋi cè wuu bɔrigil'e mɛ. Numɛ wuu à núru ná uru wyɛ́rɛŋi i wuye cye e mpa ŋkan. Wuu à pa ná wyɛ́rɛŋi wabɛr'e mpa sùmaŋi wà shwɔ.» 
GEN.43.23	Ka báarapyiibii ɲùŋufooŋi si jwo pi á «Tapege ɲyɛ mɛ, yii àha lire tɛ̀gɛ yiye funŋɔ pɛn mɛ. Yii Kileŋi, yii tuŋi u Kileŋi, uru u à uru wyɛ́rɛŋi yaha yii bɔrigil'e. Ná lire bà mɛ, sùmaŋi lwɔɔre yii à kan ke, ur'à nɔ mii na.» Nàŋ'à puru jwo a kwɔ̀ ke, maa mpa ná Simiyɔn e mà pa ŋkan pi á.
GEN.43.24	Maa pi lèŋɛ Yusufu bage e, maa lwɔhɔ kan pi à pi tooyi jyé, maa yalyîre kan pi dùfaanɲy'á. 
GEN.43.25	Pi à pa ná bùɲyɛŋi yaayi ɲjemu i Yusufu mɛɛ na ke, ka pi i yire bégel'a yaha, na u sigili canvwuge na. Yi mpyi a jwo pi á na pi ná Yusufu sí n-pa lyî siɲcyan u pyɛnge e.
GEN.43.26	Yusufu à pa tèni ndemu i ke, ka pi i yire yaayi kan u á, maa niŋkure sín u taan, maa fwù kan u á sèl'e. 
GEN.43.27	Ka Yusufu si pi yíbe «Yii à cùuŋɔ la? Yii tuŋi kyaa yii à jwo na u à lyɛ ke, u à cùuŋɔ la? U saha na ɲyɛ ɲyii na la?» 
GEN.43.28	Ka pi i u pyi «Mu bilinaŋi u ɲyɛ wuu tuŋi ke, u ɲyɛ ɲyii na, u à cùuŋɔ.» Ka pi i núr'a niŋkure sín Yusufu taan, maa u shɛ́ɛre.
GEN.43.29	Tèni i Yusufu à u jiriŋwɔrɔɲɛɛŋi Bɛnzhama ɲya ke, maa jwo «Yii cɔɔnŋi kyaa yii à jwo ke, uru u ɲyɛ ŋge la?» Ka pi i jwo «Uru wi.» Ka Yusufu si jwo Bɛnzhama á «Mii jyaŋi, Kile u jwó le ma á.» 
GEN.43.30	Ka Bɛnzhama ɲyaŋi funntange si Yusufu ta fo mà mɛɛsuu tîrige u funŋ'i. Ka u u fyâl'a jyè u baashɔnge e, maa mɛɛ sú.
GEN.43.31	Puru ɲwɔhɔ na, u à u yyahe jyé, maa fworo u baashɔnge e. Mɛɛsuuni lage saha mpyi u na, ŋka u à jà a cû uye na. Maa jwo u báarapyiibil'á na pi a ma ná yalyîre e. 
GEN.43.32	Ka pi i Yusufu ɲjyìŋi wwû uye kanni na, maa u sìɲɛɛbii wuŋi wwû uye kanni na. Misira shiinbii pi mpyi ná pi e ke, maa pire wuŋi wwû uye kanni na, ɲaha na yɛ Misira shiinbii mpyi na ɲɛɛg'a lyî ná *Eburu shiinbil'e mɛ. Mà tàanna ná pi Kile kuni i, lire ɲyɛ a tíi mɛ. 
GEN.43.33	Ka pi i Yusufu sìɲɛɛbii tìŋɛ u yyaha na, lyɛga lyɛga, mà lwɔ́ niɲjyeŋi na mà kàre nimbileni na. Ka pi kàkyanhala wuubii si wá na piye wíi. 
GEN.43.34	Yalyîre ti mpyi Yusufu taan ke, ka u u tire tà kan pi á. Maa pi sanmpii nàzhanŋi fiigii kaŋkuro kan Bɛnzhama á. Ka pi i lyî maa bya, maa mùguro ná Yusufu i.
GEN.44.1	Ɲyɛ puru ɲwɔhɔ na, Yusufu à yi jwo u báarapyiibii ɲùŋufooŋ'á «Mpii shiinbii bɔrigii ɲî ɲî sùmaŋi na, pi fànhe sí n-jà ŋgemu na ke, uru kan pi á. Maa pi puni wyɛ́rɛŋi taha taha sùmaŋi na pi bɔrigil'e. 
GEN.44.2	Maa nta a mii wyɛ̀rɛfyiiŋi fùnɲcwokwuuni le pi puni nimbileni boni i, u wyɛ́rɛŋi ɲuŋ'i.» Ɲyɛ bà Yusufu à yi jwo mɛ, ka báarapyiibii ɲùŋufooŋi si li pyi amuni.
GEN.44.3	Ɲyɛ̀g'à múgo ke, ka pi i kuni kan *Yakuba jyaabil'á. Ka pi i pi tugure taha pi dùfaanyi ɲuŋ'i mà kàre. 
GEN.44.4	Pi à fworo kànhe e ke, mà pi ta pi sàha ŋkwɔ̀ a laaga wwû mɛ, ka Yusufu si u báarapyiibii ɲùŋufooŋi yyere, maa yi jwo u á na u yîr'a taha pi fye e wahawaha, na u aha nɔ pi na, u u yi jwo pi á «Ɲaha na yii à kacɛnni fwooni tò ná kapiini i yɛ? 
GEN.44.5	Ta yii ɲyɛ a mii ɲùŋufooŋi fùnɲcwokwuuni lwɔ́ mɛ, ná nde e u maha cɛɛre pyi ke? Yii à kapii nimbwoo pyi amɛ dɛ!»
GEN.44.6	Ɲyɛ báarapyiibii ɲùŋufooŋ'à pi kɔ̀r'a ta ke, maa yi jwo pi á amuni. 
GEN.44.7	Ka pi i u pyi «Wuu ɲùŋufooŋi, ɲaha na mu na puru jwumpe shiŋi yu yɛ? Kile u wuu shwɔ lire kani shiŋi na. 
GEN.44.8	Wyɛ́rɛŋi wuu à ɲya wuu bɔrigil'e ke, wuu ɲyɛ a yîri ná u e *Kana kìni i mà pa ŋkan mu á mà? Di wuu sí n-pyi si wyɛ̀rɛfyin, lire ɲyɛ mɛ sɛɛn yu mu ɲùŋufooŋi bage e yɛ? 
GEN.44.9	Ɲyɛ nde fùnɲcwokwuuni ká ɲyɛ wuu shin maha shin ɲuŋ'i ke, yii urufoo bò, wuu sanmpii sí n-pyi yii bilii.» 
GEN.44.10	Ka báarapyiibii ɲùŋufooŋi si jwo «Ɲyɛ ɲje yii à jwo ke, mii à ɲɛɛ, ŋka fùnɲcwokwuuni ká nta shinŋi ŋgemu ɲuŋ'i ke, urufoo u sí n-pyi mii biliwe, yaaga sì n-pyi yii sanmpii na mɛ.»
GEN.44.11	Ka pi puni si ntíl'a pi bɔrigii tîrige, maa cyi múgo. 
GEN.44.12	Ka báarapyiibii ɲùŋufooŋi si wá na bɔrigii funɲyi wíi. Maa ku sìi pi puni niɲjyeŋi na, mà pa ŋkwɔ̀ nimbileni na. Ka fùnɲcwokwuuni si sà nta Bɛnzhama boni i. 
GEN.44.13	L'à pyi amuni ke, ka li i tatɛ̀ɛnge fô pi na fo pi na pi vàanntiɲyi cwuun. Maa núr'a pi tugure taha dùfaanyi na, maa núru kànhe e.
GEN.44.14	Ka *Zhuda ná u sìɲɛɛbii si ŋkàre Yusufu pyɛnge e, mà sà u ta wani sahaŋki, maa niŋkure sín u taan maa u shɛ́ɛre. 
GEN.44.15	Ka u u jwo pi á «Ɲaha kafiile yii à pyi amɛ yɛ? Yii ɲyɛ a cè na mii shiŋi maha kaŋwɔhɔni ɲaa mà?» 
GEN.44.16	Ka Zhuda si jwo «Wuu ɲùŋufooŋi, ɲaha wuu sí n-jwo bɛ? Jwumɔ sàha ɲyɛ wuu á mɛ, di wuu sí wuye shwɔ n-jwo nde kani na yɛ? Kile à wuu ɲwɔhɔ múgo wuu kapyiiŋkil'e. Numɛ, wuu mpii wuu à pyi wuu ɲùŋufooŋi bilii, wuu ná ŋge u boni i fùnɲcwokwuun'à ɲya ke.» 
GEN.44.17	Ka Yusufu si jwo: «Kile u na shwɔ nde kani shiŋi mpyiŋi na. Mii fùnɲcwokwuun'à ɲya ŋgemu u bor'e ke, uru kanni, u sí n-pyi mii biliwe. Yii sanmpii pi ke, yaaga ɲyɛ mii ná yii shwɔhɔl'e mɛ. Yii a sì yii tuŋi yyére.»
GEN.44.18	Ka Zhuda si file Yusufu na, maa yi jwo u á: «Mii ɲùŋufooŋi, maye sanŋa yaha, maa ma bilinaŋi yaha u jwo ná mu i. Ma hà lùuni yîrige na taan mɛ. Sèeŋi na, mu ná saanŋi Farɔn tayîrige ɲyɛ niŋkin fànhe e. 
GEN.44.19	Mii ɲùŋufooŋi, wuu paɲcyiini naha, mu u ná wuu yíbe na wuu tuŋi saha na ɲyɛ wani la? Na cɔɔnfooŋi wabɛrɛ na ɲyɛ wuu á la? 
GEN.44.20	Ka wuu u mu pyi na wuu tuŋi na ɲyɛ wani, u à lyɛ, na wuu cɔɔnŋi wà na ɲyɛ wani mú, wuu tuŋ'à uru si, mà u ta u à lyɛ sèl'e mà kwɔ̀. Yyahafoo ná mpyi uru ŋge cɔɔnŋ'á mú, ŋka ur'à kwû, pi shuunniŋi mpyi jiriŋwɔrɔɲɛɛ. Ɲyɛ cɔɔnfooŋi kanni u ɲyɛ wani numɛ, u kyal'à táan wuu tuŋ'á sèl'e. 
GEN.44.21	Mu à jwo na wuu a ma ná u e mu yyére, bà mu si mpyi si u ɲya mɛ. 
GEN.44.22	Ka wuu u mu pyi na pyàŋi sì n-jà n-yîri u tuŋi taan mɛ. Lire ká mpyi, tufooŋi sí n-kwû. 
GEN.44.23	Ka mu u jwo wuu á na, wuu cɔɔnŋi ká mpyi u ɲyɛ a pa mɛ, na mu saha sì wuu cumu lemɛ ɲwɔ mɛ.
GEN.44.24	Tèni i wuu à núr'a kàre wuu tuŋi yyére ke, ka wuu u mu jwumpe niɲjwumpe taha u á. 
GEN.44.25	Canŋke wuu tuŋ'à jwo na wuu núr'a pa sùmaŋi wà shwɔ ke, 
GEN.44.26	wuu à yi jwo u á, na wuu sì n-jà n-pa ná wuu cɔɔnŋi ɲyɛ ná wuu e mɛ, ɲaha na yɛ *Misira nàŋ'à jwo na, wuu cɔɔnŋi ká mpyi u ɲyɛ ná wuu e mɛ, uru sì wuu cumu lemɛ ɲwɔ mɛ. 
GEN.44.27	Mu bilinaŋi, wuu tuŋ'à jwo «Yii à cè na mii cwoŋi Arasɛli à pùnampyire shuunni si mii á, 
GEN.44.28	niŋkin à wil'a fô, mii na sɔ̂nŋi sige yaage kà ku si nta k'à uru cû. 
GEN.44.29	Yii aha mpa ŋge lwɔ́ mú, yaaga ká u ta wani, yii sí mii niɲjyekwɔŋi yaha mii u kwû nàvunŋke e.»
GEN.44.30	Ɲyɛ numɛ wuu aha núr'a kàre mu bilinaŋi, wuu tuŋi yyére, mà li ta pyàŋi u ɲyɛ u karigii puni ke, uru ɲyɛ ná wuu e mɛ, 
GEN.44.31	nàvuŋke sí u niɲjyekwɔŋi bò. Lire tèni i, wuu pi ɲyɛ mu bilibii ke, wuu pi sí n-pyi lire ɲùŋke. 
GEN.44.32	Mii ɲùŋufooŋi, mii u à jwo na mii sí n-yyére ná pyàŋi ɲùŋɔ karigii puni i. Mii aha mpyi mii ɲyɛ a núru ná u e u tuŋi yyére mɛ, lire tèni i, mii ɲcɛ̀ɛgɛ wuu, u sí n-pyi tèrigii puni i u yyahe taan. 
GEN.44.33	Lire kurugo, mii ɲùŋufooŋi, maye sanŋa yaha, maa na yaha si ŋkwôro naha pyàŋi cyaga, si mpyi mu biliwe, maa pyàŋi yaha u a sì ná u yyahafeebil'e pyɛngɛ. 
GEN.44.34	Di mii sí n-kàre n-jwo na tuŋi yyére mà li ta pyàŋi ɲyɛ ná mii i mà yɛ? Ei! Mii sì n-jà n-kàre zà na tuŋi kyaaga wuŋi ɲya mɛ!»
GEN.45.1	Ɲyɛ *Zhuda à kwɔ̀ puru jwumpe na ke, Yusufu ɲyɛ a jà a cû uye na sùpyire shwɔhɔl'e mɛ, ka u u sêe maa jwo sùpyire puni ti fworo bage e. Tèni i Yusufu à uye cyêe u sìɲɛɛbii na ke, sùpyaŋi wabɛrɛ mpyi ná pi e mɛ. 
GEN.45.2	Yusufu à mɛɛ sú, fo *Misira shiinbii pi mpyi ntaani na ke, pir'à u mɛɛni lógo, ka pure jwumpe si nɔ Farɔn pyɛngɛ.
GEN.45.3	Ka Yusufu si yi jwo u sìɲɛɛbil'á «Mii u ɲyɛ Yusufu! Mii tuŋi saha na ɲyɛ shì na la?» ka pi i fyá fo pi ɲyɛ a jà a u ɲwɔ shwɔ mɛ. 
GEN.45.4	Ka u u yi jwo pi á lùtaan na «Yii file na na.» Pi à file u na ke, ka u u jwo «Mii u ɲyɛ yii sìɲɛɛŋi Yusufu, ŋge yii à pɛ́rɛ cwɔhɔmpil'á pi i ŋkɛ̀ɛge Misira e ke. 
GEN.45.5	Yii wà ɲyɛ a yaa u funŋke pɛn u u uye la wwû na yii à mii pɛ́rɛ naha mɛ. Kile u à mii tùugo naha yii yyaha na, bà mii si mpyi si sùpyire tà shwɔ kwùŋi na mɛ. 
GEN.45.6	Katege yyee shuunni cyi ɲyɛ ɲcyii kìni i. Ɲyɛ faaŋi saha sì n-jà n-pyi mɛ, sùmaŋi mú sì n-kwɔ̀n mɛ, fo yyee kaŋkuro ká ntòro sahaŋki 
GEN.45.7	Kile u à mii tùugo yii yyaha na naha, bà yii tùluge si mpyi si ŋkwôro ɲìŋke na si ɲyaha mɛ. 
GEN.45.8	Yii bà pi à mii tun naha mɛ, Kile yabiliŋi wi. U à mii tìŋɛ naha, maa mii pyi Farɔn kacwɔnrɔŋi niɲcyiiŋi, maa mii yaha u bage puni ɲùŋke na, maa mii pyi Misira kìni puni ɲùŋufembwɔhe.
GEN.45.9	Ɲyɛ yii a fyâa, yii a sì mii tuŋi yyére, yii i sà yi jwo u á na u jyaŋi Yusufu à jwo na Kile à uru pyi Misira kìni puni ɲùŋufooŋi. Na u a fyâa, u a ma naha uru yyére. 
GEN.45.10	Na u sí n-pa n-tɛ̀ɛn uru taan Gozheni i, u ná u pyìibii ná u ɲampyiyi, ná u yatɔɔre ná u cyeyaayi puni. 
GEN.45.11	Na uru sí n-pa yalyîre kan u á, ɲaha na yɛ katege sí n-pyi yyee kaŋkuro funŋ'i sahaŋki. U aha mpa naha u ná u pyɛngɛ shiinbii ná u yatɔɔre sì n-fô yaag'e mɛ. 
GEN.45.12	Yii yabilimpii ɲyii wà li na, mii kàntugo wuŋi Bɛnzhama yabiliŋi ɲyii ɲyɛ li na, na mii Yusufu u ɲyɛ na yu ná yii e. 
GEN.45.13	Pèente ti ɲyɛ mii i naha Misira kìni i ke, ná yii yabilimpii mu à ndemu ɲya ke, yii a sì, yii sà li jwo mii tuŋ'á. Lire kàntugo, yii i nta, yii a ma ná na tuŋi i naha fwɔfwɔ.»
GEN.45.14	Ɲyɛ Yusufu à puru jwo ke, maa cyeyi míginɛ u cɔɔnŋi Bɛnzhama yacige e maa mɛɛ sú, ka Bɛnzhama mú si u wuyi míginɛ Yusufu yacige e, maa mɛɛ sú. 
GEN.45.15	Ka Yusufu mɛɛsuwuŋi si u cyeyi míginɛ u yyahawuubii puni niŋkin niŋkin yaciy'e. Ka pi i nta a jwo ná u e.
GEN.45.16	Ɲyɛ tèni i Yusufu sìɲɛɛbii mpaŋ'à nɔ Farɔn ná u kìni yyaha yyére shiinbii na ke, ka lire si ntáan pi e. 
GEN.45.17	Ka Farɔn si Yusufu yyere, maa yi jwo u á «Yi jwo ma sìɲɛɛbil'á na pi pi dùfaanyi tugo sùmaŋi na, pi núru pi a sì *Kana kìni i. 
GEN.45.18	Na pi aha nɔ wani, pi pi tuŋi ná pi pyɛngɛ shiinbii puni lwɔ́, pi a ma, pi pa ntɛ̀ɛn naha na taan. Mii sí *Misira kìni tacɛnŋke kà kan pi á. Pi sí n-pa a kìni ɲjyìŋi niɲcɛnŋi lyî.» 
GEN.45.19	Maa jwo Yusufu á sahaŋki «Yi jwo ma sìɲɛɛbil'á na mii à jwo pi shɔnyi wòtorobii pìi lwɔ́ naha Misira e, pi i sà pi pyìibii ná pi cyeebii ná pi tuŋi lwɔ́, pi a ma. 
GEN.45.20	Pi aha mpyi pi ɲyɛ a jà a pa ná yaayi y'e mɛ, lire kà pi funŋɔ pɛn mɛ, ɲaha na yɛ Misira kìni tacɛnyi puni niɲcɛnŋke ku sí n-kan pi á.»
GEN.45.21	Ɲyɛ Farɔn à ndemu jwo ke, ka *Yakuba jyaabii si lire pyi. Ka Yusufu si shɔnyi wòtorobii pìi kan pi á, mà tàanna ná Farɔn jwumpe e. Maa ɲjyìŋi wà kan pi á na pi a uru lyî kuni na. 
GEN.45.22	Maa vàanvɔnyɔ kan pi puni niŋkin niŋkinŋ'á, maa wyɛ̀rɛfyiŋi darashii ŋkwuu taanre ná vàanvɔnyɔ kaŋkuro kan Bɛnzhama á. 
GEN.45.23	Maa dùfaanmpeeye kɛ tugo Misira ɲjyìŋi niɲcɛnŋi na, maa dùfaancyaa kɛ tugo sùmapyaŋi ná bwúuruŋi ná ɲjyìŋi shiŋi wabɛrɛ na, pi i sà yire puni kan uru tuŋ'á, bà pi si mpyi pi aha ma, pi uru pyi kuni ɲjyìŋi mɛ. 
GEN.45.24	Lire ɲwɔhɔ na, u à kuni kan u sìɲɛɛbil'á na pi a sì. Maa jwo pi á «Yii àha ŋkwɔ̀ ntùn kuni na mà dɛ!»
GEN.45.25	Ka pi i yîri Misira e, mà kàr'a sà nɔ Kana kìni i, pi tuŋi Yakuba yyére. 
GEN.45.26	Pi à nɔ ke, ka pi i yi jwo pi tuŋ'á «Yusufu na wá shì na! Uru yabiliŋi u à tɛ̀ɛn Misira kìni ɲùŋɔ na.» Ka li i Yakuba pâa maa u yákiliŋi wurugo fo u à fyâha fyiii, ɲaha na yɛ u ɲyɛ a dá pi jwumpe na mɛ. 
GEN.45.27	Ŋka jyafeebil'à pa a Yusufu jwumpe puni yu u á tèni ndemu i ke, shɔnyi wòtorobii Yusufu mpyi a yaha a pa u talwɔ́ge e, ka u u pire ɲya ke, ka u yákiliŋi si nta a tɛ̀ɛn. 
GEN.45.28	Maa jwo «Mii jyaŋi Yusufu na ɲyɛ shì na la? Mii saha ɲyɛ na yaaga caa mà tòro lire na mɛ. Mii kɛ̀ɛge zà na ɲyiini tɛ̀gɛ u na mà jwo mii u kwû ke.»
GEN.46.1	*Yakuba niŋkàriŋi *Misira e, u à kàre ná u cyeyaayi puni i. U à sà nɔ Bɛrisheba e ke, maa sáraya wwû u tuŋi Ishaka u Kileŋi á. 
GEN.46.2	Ka Kile si uye cyêe u na kuru numpilage e, maa u yyere «Yakuba, Yakuba!» Ka u u jwo «Yo!» 
GEN.46.3	Ka Kile si jwo «Mii u ɲyɛ Kile, mu tuŋi u Kileŋi. Ma hà raa fyáge si ŋkàre Misira e mɛ, ɲaha na yɛ mii sí mu tùluge ɲyaha wani kuru cyage e. 
GEN.46.4	Mii, Kile yabiliŋi u sí n-kàre ná mu i Misira e, mii yabiliŋi mú u sí n-pa mu yige wani si núru mpa naha. Yusufu yyére, mu sí n-kwû, uru mú u sí mu ɲyiigii tò.»
GEN.46.5	Ɲyɛ Yakuba à yîri Bɛrisheba kànhe e. Farɔn mpyi a wòtorobii mpiimu yaha pi sà u lwɔ́ ke, ka u jyaabii si u lèŋɛ pire wòtorobil'e, ná pi cyeebii ná pi pyìibii. 
GEN.46.6	Maa pi yatɔɔre mú lwɔ́, ná yaayi puni pi mpyi a ta *Kana kìni i ke. Ka Yakuba ná u pyɛnge shiinbii puni si ŋkàre Misira e 
GEN.46.7	Lire pyiŋkanni na Yakuba à kàre Misira kìni i ná u pyɛnge shiinbii puni i: u jyaabii, ná u pùcɛribii, ná u ɲampyire.
GEN.46.8	Ɲyɛ *Yakuba pyìibii ná u ɲampyire pi à kàre *Misira e ke, pire mɛyi yi ɲyɛ ɲje. U jyaŋi niɲcyiiŋi mɛge ku ɲyɛ Urubɛn. 
GEN.46.9	Urubɛn jyaabii pi mpyi, Kyanɔki, Palu, Kyezirɔn, ná Karimi. 
GEN.46.10	Simiyɔn wuubii pi mpyi Yemuwoli, Yamini, Owadi, Yakɛn, Zokyari, Shawuli. *Kana shin u mpyi Shawuli nuŋi. 
GEN.46.11	*Levi wuubii pi mpyi Gerishɔn, Kehati, Mɛrari. 
GEN.46.12	*Zhuda wuubii pi mpyi Ɛri, Ona, Shela, Pɛrɛzi, ná Yeraki. Ŋka Ɛri ná Ona mpyi a kwû Kana kìni i. Perɛsi u jyaabii pi mpyi Kyezirɔn ná Kyamuli. 
GEN.46.13	Isakari wuubii pi mpyi Tola, Puva, Yobo ná Shimirɔn. 
GEN.46.14	Zabulɔn wuubii pi mpyi Sɛrɛdi, Elɔn, ná Yalɛli. 
GEN.46.15	Tire pùnampyire Leya à si Yakuba á, mà pi yaha Mɛsopotami kìni i, ná u pworoŋi Dina. Leya pyìibii ná u ɲampyire na mpyi shiin beɲjaaga ná kɛ ná taanre. 
GEN.46.16+GEN.46.17+GEN.46.18	Ɲyɛ bilicwoŋi Laban mpyi a kan u pworoŋi Leya á ke, uru mɛge mpyi Zilipa, u à Gadi ná Ashɛri si Yakuba á. Gadi jyaabii pi mpyi Sifiyɔn, Kyagi, Shuni, Ezibɔn, Eri, Arɔdi, ná Arɛli. Ashɛri wuubii pi mpyi Yimina, Yishiva, Yishiwi, Beriya ná pi pùcɛrɛŋi Serakyi. Beriya wuubii pi mpyi Kyɛbɛri, ná Malikiyɛli. Zilipa pyìibii ná ɲampyire mpyi shiin kɛ ná baani. 
GEN.46.19	Yakuba cwoŋi Arasɛli u jyaabii mpyi Yusufu ná Bɛnzhama. 
GEN.46.20	Yusufu à jyaa shuunni ta Misira e, pire pi mpyi Manase ná Efirayimu. U cwoŋi Asanati, u à pire si u á. Asanati na mpyi Potifira pworoŋi wà. Potifera na mpyi Ɔni kànhe sáragawwuŋi wà. 
GEN.46.21	Bɛnzhama jyaabii pi mpyi Bela, Bɛkɛri, Ashibɛli, Gera, Naamani, Ɛki, Ɔrɔshi, Mupimi, Kwupimi ná Aridi. 
GEN.46.22	Arasɛli pyìibii ná ɲampyire mpyi shiin kɛ ná sicyɛɛre.
GEN.46.23+GEN.46.24+GEN.46.25	Ɲyɛ bilicwoŋi Laban mpyi a kan u pworoŋi Arasɛli á, na u mɛge mpyi Bila ke, u à Dan ná Nɛfitali si Yakuba á. Dan jyaŋi u mpyi Kwushima. Nɛfitali jyaabii pi mpyi Yazɛli, ná Guni, Yezɛri, ná Shilɛmu. Zilipa pyìibii ná u ɲampyire na mpyi shiin baashuunni. 
GEN.46.26	Sùpyire t'à kàre Misira e ná Yakuba e ke, u yabiliŋi jyaabii ná u ɲampyire, pi puni mpyi shiin beetaanre ná baani. U napworibii ɲyɛ a tòro mɛ.
GEN.46.27	Ɲyɛ jyaa shuunni mú à si Yusufu á Misira e, lire pyiŋkanni na, Yakuba ná u shiinbii pun'à bɛ̂ shiin beetaanre ná kɛ na Misira e.
GEN.46.28	Ɲyɛ mà jwo *Yakuba u kuni lwɔ́ u a ŋkɛ̀ɛge *Misira kìni i ke, u à *Zhuda yaha a kàre uye yyaha na, Yusufu yyére, u sà yi jwo u á na uru wá na ma Misira e, Gozheni kùluni i.
GEN.46.29	Yusufu à yire lógo ke, ka u u shɔnge wòtoroŋi wà bégel'a kàr'a sà u tuŋi Yakuba ɲùŋɔ bɛ? Gozheni i. U à nɔ u tuŋi na ke, maa u cyeyi míginɛ u tuŋi yacige e, maa mɛɛ sú sèl'e. 
GEN.46.30	Ka Yakuba si jwo Yusufu á «Numɛ, mii mɛ́ɛ ká ŋkwû, lire ɲyɛ a waha mii na mɛ, ɲaha na yɛ mii à mu ɲya a kwɔ̀, mà cè na mu saha na ɲyɛ shì na.» 
GEN.46.31	Ka Yusufu si yi jwo u sìɲɛɛbii ná u pyɛngɛ shiinbii sanmpil'á «Mii sí sà yi jwo Farɔn á na mii sìɲɛɛbii ná mii tuŋi shiinbii pi mpyi *Kana kìni i ke, na pi à pa. 
GEN.46.32	Mii sí yi jwo u á na mii shiinbii na ɲyɛ yatombyii, si yi jwo u á na yii à pa ná yii sikyaabii, ná yii mpàabii, ná yii nìiyi, ná yii cyeyaayi puni i. 
GEN.46.33	Farɔn ká yii yyere, maa yii yíbe «Ɲaha báara fiiwe yii na mpyi yɛ?» 
GEN.46.34	yii yi jwo u á «Mu bilibii na yatɔɔre byíi mà lwɔ́ pi nàŋkocyɛɛre e fo numɛ, wuu ná wuu tiibii pun'à lire pyi.» Lire ká mpyi, u sí yii yaha yii pi tɛ̀ɛn Gozheni kùluni i, ɲaha na yɛ mà tàanna ná pi Kile kuni i, Misira shiinbii ɲyɛ a yaa pi a wwûu karii na ná yatombyiibil'e mɛ.»
GEN.47.1+GEN.47.2	Ɲyɛ Yusufu à kàre ná u sìɲɛɛbii pìi kaŋkure e, maa sà yi jwo Farɔn á «Mii tuŋi ná mii sìɲɛɛbil'à yîri *Kana kìni i mà pa, ná pi mpàabii, ná sikyaabii, ná nìiyi, ná pi cyeyaayi puni i. Pi ɲyɛ Gozheni kùluni i.» U à puru jwo a kwɔ̀ ke, maa pire sìɲɛɛbii kaŋkuruŋi cyêe u na. 
GEN.47.3	Ka Farɔn si pi yíbe «Báaraŋi ŋgire yii na mpyi yɛ?» Ka pi i u pyi: «Wuu ɲùŋufooŋi, wuu na ɲyɛ yatombyii, wuu tiibii fiige. 
GEN.47.4	Wuu à pa nàmpantɛɛnre na mu kìni i. Wuu wuuni i, yalyîre sàha ɲyɛ wuu yatɔɔr'á mɛ. Kateg'à pêe Kana kìni i. Wuu yaha wuu u ntɛ̀ɛn Gozheni kùluni i.»
GEN.47.5	Ka Farɔn si jwo Yusufu á «Ɲyɛ ná mu tuŋi ná mu sìɲɛɛbii s'à pa mu yyére, 
GEN.47.6	*Misira kìni li nde mu taan, ma tuŋi ná ma sìɲɛɛbii yaha kìni tacɛnɲyi puni niɲcɛnŋke e, Gozheni kùluni i. Mu aha pìi ta ma cìnmpyibiil'e mpiimu pi à yatombyiini cè sèl'e ke, maa pire yaha pi a mii yabiliŋi yatɔɔre nâha.»
GEN.47.7	Ka Yusufu si mpa ná u tuŋi *Yakuba e mà pa ɲcyêe Farɔn na. Ka Yakuba si jwó le Farɔn á. 
GEN.47.8	Farɔn à Yakuba ɲya u à lyɛ ke, ka u u u yyeegii dáŋi yíbe. 
GEN.47.9	Ka Yakuba si u pyi: «Mii yyee ŋkuu ná beɲjaaga ná kɛ u ɲyɛ niɲjyee, cyire mii à pyi ɲani na. Mii ɲyɛ a lyɛ sèl'e mɛ, mii tìiŋi mú s'à waha, mii sì n-jà shì nintɔɔnwɔ ta, na tiibii fiige mɛ.» 
GEN.47.10	U à puru jwo ke, maa jwó le Farɔn á sahaŋki, maa nta a kàre.
GEN.47.11	Ka Yusufu si cyage kà kan u tuŋi ná u sìɲɛɛbil'á bà Farɔn mpyi a yi jwo mɛ, u à kìni tacɛnŋke kà kan pi á, Gozheni kùluni i. 
GEN.47.12	Maa ɲjyì kan pi á mà tàanna ná sùpyire dáŋi i.
GEN.47.13	Ɲyɛ ɲjyì yaaga sàha mpyi na ntaa *Misira kìni puni i mɛ, katege mpyi a nâara sèl'e. Ka Misira ná *Kana kìrigii sùpyire fànhe si ŋkwɔ̀ fo mà cwɔgɔ katege cye e. 
