GEN.1.1	Paat ra talimpuun i paat ri Aki Kapuuno' napasauk ra limbowon am namingkal ra tana' ti.
1KI.7.7	Mokoondo' poyo dewan ondo' sabiton ra Dewan Takhta, ondo' niayuk sabiton ra Dewan Pangakiman. Dewan no inangkupan ra tataun sidar, intor ra sulig saboi ra tataun bandayan no.
1KI.7.9	Ngaangai' bangunan no, nakaaya' liliut no ondo' maayo, intor ra lugu' maatang saboi ra pinuusan, binaal intor ra batu ondo' moonsoi. Batu-batu no tinampos giu' ra kuari am pinutul maya' ra tuku' ondo' inaru'; tampilon ra ralalom am tampilon ra liwar binanis ra garagaji'. 
1KI.7.10	Lugu' maatang ru bangunan no binaal intor ra batu mangaayo ondo' inula' ru kuari; mokoondo' 3.5 ngamito gawar no am mokoondo' niayuk ondo' 4 ngamito. 
1KI.7.11	Rasawat ru batu-batu maatang no, inanian ra batu-batu ra bokon ondo' mologo, ondo' binonsoi ra pahat sumugut ra tutuku', am sinilian ra tataun sidar. 
1KI.7.12	Liliut ru istana am liliut tampilon ra ralalom ru Baloi ru 
1KI.7.13	Nanusub Raja' Salomo ra ulun mongoi pangalap ra sangulun ondo' makainggalan ri Guram, sangulun manukang ra gangsa' ondo' minayan giu' ra bandar Tirus. 
1KI.7.14	Ama' ri Guram, ondo' minatoi noyo, intor ra bandar Tirus. Ragili ama' ri Guram no pana sangulun manukang ra gangsa' ondo' mapandai kaga'. Ama' ri Guram papag ru bansa' ru Naptali. I Guram ti sangulun manukang ondo' mapandai kaga', am mokoondo' ra nailian. Nangapu io ra piau ru Raja' Salomo koson mangandoi mambaal ra kuliamos intor ra gangsa'.
1KI.7.15	Nambaal i Guram ra ruo ngantaun lugu' gangsa'; moonong lugu' 8 ngamito sawat no am 5.3 ngamito ra rilit no.
1KI.7.16	Io niayuk nambaal ra ruo ulu ru lugu' intor ra gangsa'; moonong ulu ru lugu' no 2.2 ngamito sawat no, am pinatampak ra rasawat ru lugu'-lugu' no. 
1KI.7.17	Tampilon ra rasawat ru lugu'-lugu' no binungaan ra pinatair rantai pinitol 
1KI.7.18	am ruo ngambaris kawa' ru dalima' ondo' binaal intor ra gangsa'.
1KI.7.19	Ulu ru lugu' no koson ra bunga' bakung, 1.8 ngamito sawat no, 
1KI.7.20	am pinabanta' ra tampilon ra mapungol ra rasawat ru rantai pinitol no. Ngaangai' no mokoondo' 200 kawa' ru dalima' ralalom ru ruo ngambaris ra moonong ulu ru lugu'
1KI.7.21	Pinabigor ri Guram lugu'-lugu' no giu' ra saang ru kulobon Baloi ru 
1KI.7.22	Ulu ru lugu' ondo' koson ra bunga' bakung am binaal intor ra tambaga' pinabanta' ra rasawat ru lugu'.
1KI.7.22	Koon raginio noyo i Guram nomongo ra nambaalan ra lugu'-lugu' no.
1KI.7.23	Kopongo raginio nambaal i Guram ra rondo' tangki' mapungol intor ra tambaga'; 2.2 ngamito landom no, 4.4 ngamito garis ru tanga' no am 13.2 ngamito rilit no. 
1KI.7.24	Ruo ngambaris ra kawa' ru lalabu' ondo' binaal pinagampan nabaya' ra tangki' no pinamunga' ra liliut ru kiing tampilon ra liwar ru tangki' no. 
1KI.7.25	Tangki' no pinabanta' ra rasawat ru bakulung ru mopor am ruo ngainan sapi' gawayan ondo' binaal intor ra tambaga', ondo' pinatingkuang ra liwar: talu pinatingkuang ra ralayo, talu tampilon ra kalasaan, talu tampilon ra rabugus am talu tampilon ra sirangon. 
1KI.7.26	75 ngamilimito kinakapal ru kiing ru tangki' no. Kiing ru tangki' no koson ra kiing ru sangkir, ondo' koson ra tapi' ru bunga' bakung minungkalar. Tangki' no masuangan ra timug olo'-olo' 40,000 ngalito.
1KI.7.27	I Guram niayuk nambaal ra mopor kurita'-kurita' pedati ru gangsa'. Moonong kurita' no 1.8 ngamito gawar no, 1.8 ngamito pila' no am 1.3 ngamito sawat no. 
1KI.7.28	Kurita' pedati no binaal intor ra papan-papan apat persegi ondo' mokoondo' ra bingkai, 
1KI.7.29	am binungaan ra ukiran gambar ru singa', sapi' gawayan am kirub. Giu' ra tataun bingkai no, tampilon ra rasawat am tampilon ra ragana' ru gambar singa' am sapi' gawayan no, mokoondo' ukiran pinaujak busak ra pinangkikiting. 
1KI.7.30	Moonong kurita' pedati no mokoondo' apat luda' tambaga' am pampaguut ra luda' no intor ra tambaga' niayuk. Ginio ra kaapat-apat pisuk ru kurita' pedati no mokoondo' ra sungka' tambaga' koson manungka' ra rondo' bisin. Sungka' no binungaan ra ukiran pinaujak busak ra pinangkikiting. 
1KI.7.31	Tampilon ra rasawat ru kaapat-apat sungka' no pinatunggul ru rondo' tataun bingkai mapungol koson manungka' ra bisin no. Susungka' no nakaingkual ra 44 ngasintimito sawat no giu' ra rasawat ru papan apat segi no, am 22 ngasintimito ra ragana' no. Giu' ra liput ru tataun bingkai no mokoondo' ra ukiran. 
1KI.7.32	Luda' ru kurita' pedati no 66 ngasintimito sawat no, am pinatakin ra ragana' ru papan-papan ondo' makatataun baluntur. Pampaguut ra luda' no nogondo' ra kurita' kuda. 
1KI.7.33	Luda' ru kurita' pedati no koson ra luda' ru kuda. Pampaguut ra luda', rim, kakalindu' no, am pusor ru luda' kurita' pedati no ngaangai' no binaal intor ra tambaga'. 
1KI.7.34	Tampilon ra ragana' ru kaapat-apat pisuk ru moonong kurita' pedati no, mokoondo' apat sungka' ondo' nogondo' ra kurita' pedati no. 
1KI.7.35	Giu' ra liput ru tampilon rasawat ru kurita' pedati no mokoondo' pinakiing 22 ngasintimito pila' no. Susungka' ru kurita' pedati no am papan-papan no nogondo' ra kurita' pedati no. 
1KI.7.36	Ngaangai' ru susungka' no am papan no mokoondo' ra ukiran ru gambar kirub, singa' am puun tataun palma giu' ra ngaangai' intok ondo' maalap ra ukir, am niayuk binungaan ra ukiran pinaujak busak ra pinangkikiting ra liput no. 
1KI.7.37	Koon raginio noyo kurita'-kurita' pedati no binaal; ngaangai' no nogondo', baal am gayo no.
1KI.7.39	Pinabanta' ri Guram limo ra kurita' pedati no giu' ra tampilon rabugus ru Baloi ru 
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	I Guram niayuk nambaal ra pagangan, susuuk am mangkuk. Nopongo no ngaangai' kandoi nano koson ra Raja' Salomo koson pakayon giu' ra Baloi ru 
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	2 ngantaun lugu'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	2 ulu ru lugu' ondo' koson ra mangkuk ondo' pinatampak ra rasawat ru lugu'-lugu'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	Rantai pinitol ra moonong ulu ru lugu'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	400 kawa' ru dalima' intor ra tambaga' ondo' pinabanta' ruo ngambaris ra liliut ru rantai pinitol ra moonong ulu ru lugu'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	10 kurita' pedati
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	10 bisin
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	1 tangki' tambaga'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	12 ngainan sapi' gawayan intor ra gangsa' koson napatampakan ra tangki'
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	Pagangan-pagangan, pagangan-pagangan tana', susuuk-susuuk am mangkuk-mangkuk.
1KI.7.40+1KI.7.41+1KI.7.42+1KI.7.43+1KI.7.44+1KI.7.45	Ngaangai' kakamot ru Baloi ru 
1KI.7.46	Topot koson ra susuban ru raja', ngaangai' kakamot no binaal giu' ra pambaalan ra basi' lolot ru Sukot am Sartan, giu' ra Limayak Jordan. 
1KI.7.47	Raja' Salomo kalo nanimbang ra kakamot-kakamot tambaga' no, sabap ra masuang kaga'. Ginio ra kalo napandayan bagat no.
1KI.7.48	Raja' Salomo niayuk nanusub ra ulun mambaal ra kakamot mas koson ra Baloi ru 
1KI.7.49	mopor tampakan ra lampung ondo' pinabanta' ra saang ru Lamin Matulai Kaga' – limo ra tampilon rabugus am limo ra tampilon ralayo, busak, lampung, sumpit, 
1KI.7.50	sangkir, kakamot mangimpasau ra sumbu' ru lampung, mangkuk, pinggan intok pambulian ra kaminyan, baa ru apui, ingsil ru kulobon Lamin Matulai Kaga' am kulobon-kulobon ra liwar ru Baloi ru 
1KI.8.2	Ilo ngaangai' matitimung paat ra Pangiantakan Mangkalukub ra Raun, iono ralalom sila' katulu', ralalom ru sila' Itanim. 
1KI.8.3	Kopongo ngaangai' ru tingganai no natitimung, imam-imam nangkayang ra Kaban Nabantuan 
1KI.8.4	am nagibit raginio ra ralalom ru Baloi ru 
1KI.8.5	Raja' Salomo am ngaangai' ru ulun ru Israil natitimung giu' ra saang ru Kaban Nabantuan, am nampataak ra taak simbalui iono domba am sapi' ondo' masuang kaga', saboi kalo mauntob suang no. 
1KI.8.6	Kopongo raginio imam-imam nagibit ra Kaban Nabantuan no ra ralalom ru Baloi ru 
1KI.8.7	Kawo ru kirub-kirub no nabingkal am nakataub ra Kaban Nabantuan am niayuk tataun-tataun pamandas no. 
1KI.8.8	Tataun pamandas no maawar kaga' saboi pompor no makito intor ra saang ru Lamin Matulai Kaga', kaa' kalo makito intor ra tampilon ra bokon. (Tataun-tataun pamandas no lakat poyo ra giu' no saboi raino.) 
1KI.8.9	Kaban Nabantuan sinuangan ayuk ra ruo batu ondo' pinabanta' ra giu' no ri Musa, giu' ra Gunung Sinai ragili, paat ra 
1KI.8.11	Gaun no manguliat ra katulayan ru sinda ratangan ru 
1KI.8.12	Kopongo raginio pakiasi' Raja' Salomo,
1KI.8.12	“Iou 
1KI.8.12	kaa' masaga' Kou poyo mayan ra ralalom ru londom ru gaun.
1KI.8.13	Raino nambaal aku Rirun ra rondo' baloi ondo' maindon,
1KI.8.13	koson intok ayanan Muno ra mantilayun.”
1KI.8.14	Tatanga' ru mamagun matimung ra giu' no, pagilong Raja' Salomo risilo, am pakitaak ri Aki Kapuuno' mambarakat risilo. 
1KI.8.15	Indagu raja', “Koompor noyo 
1KI.8.16	‘Intor ra Aku nagibit ra ulun Kuno miningkual intor ra Misir, kalo poyo igondo' Aku nampili' ra bandar ra ati pana ra titikop ru Israil koson ra intok pambaalan ra baloi, intok sambayangan Raki'. Kaa' nampili' Aku rirun Daut, koson mamarinta ra ulun Kuno.’ ”
1KI.8.18	Kaa' indagu 
1KI.8.19	kaa' okou kalo mambaal raginio. Anak muno, anak muno galama' mambaal ra baloi Kuno.’
1KI.8.20	Raino 
1KI.8.21	Nambaal aku niayuk ra intok giu' ra ralalom ru Baloi ru 
1KI.8.22	Kopongo raginio giu' ra saang ru mamagun, minigor Raja' Salomo tumingkuang ra altar. Potoroyo' no karuo-ruo kalindu' nano 
1KI.8.23	am pakiasi', “Iou 
1KI.8.24	Nanugut Kou ra bantu' Muno ra ama' kuli, Raja' Daut. Paat ra orou raiti', nanugut Kou ra atan ondo' binantu' Muli. 
1KI.8.25	Ginio ra, iou 
1KI.8.26	Ginio ra, iou i Aki Kapuuno' ru Israil, suguto' noyo ngaangai' ondo' binantu' Muno ra ama' kuli Raja' Daut, ulipon Muno.
1KI.8.28	Iou 
1KI.8.29	Sindungi' noyo Baloi ti orou am rondom, intok ondo' pinili' Muno koson ra intok sambayangan Rirun. Rongogo' noyo aku paat ra aku tumingkuang ra intok ti am makiasi' Rirun. 
1KI.8.30	Rongogo' noyo pakiasian kutu am pakiasian ru ulun Muno paat ra ilo tumingkuang ra intok ti am makiasi'. Intor ra intok inayanan Muno giu' ra suruga', rongogo' noyo akai am ampuno' noyo akai.
1KI.8.31	“Paat ra sasangulun inuwan ra makasala ra ulun ra bokon, am sinusub magibot giu' ra saang ru altar ra Baloi ti ra io kolondo' sala, 
1KI.8.32	rongogo' noyo intor ra suruga', iou 
1KI.8.33	“Paat ra ulun Muno Israil kalaan ru pantula' sabap ra makatula ilo Rirun, am sumaguli' ilo Rirun am matong ra Baloi ti am niayuk makiasi' Rirun mabaya' ra minggana' guang am makiampun, 
1KI.8.34	gama' ru Okou giu' ra suruga', mangkirongog risilo. Ampuno' noyo tula ru ulun Muno, am ibito' noyo ilo sumaguli' ra pagun ondo' taakin Mu ra kinamatuaan nilai.
1KI.8.35	“Paat ra Okou napauog ra rasam sabap ra ulun Muno makatula noyo Rirun, am timinalikur ilo intor ra tula am tumingkuang ra Baloi ti, am makiasi' Rirun ra minggana' guang, 
1KI.8.36	gama' ru Okou giu' ra suruga', mangkirongog risilo. Ampuno' noyo tula ru raja' am mamagun nano, ulun ru Israil. Mopongo raginio, iou 
1KI.8.37	“Paat ra bitilan kapoam maruol tumapik masauk ra pagun ti, kapoam tatanom mapuso sabap ra angin malasu', maruol ru tutuu', kapoam inakan ru gapu'; kapoam paat ra ulun Muno bulunsaron ru pantula', kapoam matiu' ra maruol, 
1KI.8.38	rongogo' noyo pakiasian nilo. Amon ru mokoondo' ra ulun ra gino ngai' ru ulun Muno Israil, ra mangiluk guang mopotoroi ra kalindu' am makiasi' Rirun liliwa' tumingkuang ra Baloi ti, 
1KI.8.39	rongogo' noyo pakiasian nilo. Rongogo' noyo ilo intor ra intok inayanan Muno giu' ra suruga', am ampuno' am indangano' noyo ilo. Okou ayuk makapandai ra suang ru guang ru ulun. Ginio ra, baalo' noyo pamakuan ra ulun nogondo' ra binaal nano, 
1KI.8.40	maa' raginio ulun Muno magail gumagaya' Rirun am mayan ra pagun ondo' tinaakan Muno ra kinamatuaan maili.
1KI.8.41+1KI.8.42	“Paat ra sangulun bansa' ru bokon ondo' minayan giu' ra pagun maalur nokorongog ra kinaayo Muno, am niayuk intor ra kaimuagan-kaimuagan ondo' binaal Muno ra ulun Muno, am matong sumamba Rirun am makiasi' ra Baloi ti, 
1KI.8.43	rongogo' noyo pakiasian nano. Rongogo' noyo io intor ra intok inayanan Muno giu' ra suruga', am iowo' noyo kitaakon nano maa' raginio ngaangai' bansa' ra tana' ti makaulig Rirun am gumagaya' Rirun, koson ra ulun Muno Israil. Makapandai ilo boo ra Baloi ondo' binaal kutu iono intok sumambayang Rirun.
1KI.8.44	“Paat ra Okou mamarinta ra ulun Muno mangayou ra pantula', am makiasi' ilo Rirun ra ati ayuk intok nilo, liliwa' tumingkuang ra bandar ondo' pinili' Mutu am Baloi ti ondo' binaal kutu Rirun, 
1KI.8.45	rongogo' noyo pakiasian nilo. Okou ondo' giu' ra suruga', rongogo' noyo ilo, am pamanango' ilo no.
1KI.8.46	“Paat ra ulun Muno makatula Rirun – sabap ra kolondo' osoi pana ondo' kolondo' tula – am sabap ra sangit Muno polosoon Mu ilo kalaan, rokopon ru pantula' am ibiton ra pagun ra bokon, kabalu' pana pagun no maalur, 
1KI.8.47	rongogo' noyo ulun Muno. Amon ru tumalikur ilo intor ra tula am makiasi' Rirun ra pagun no, am niayuk mangiou ra makatula ilo am mambaal ra malaat, rongogo' noyo pakiasian nilo, iou 
1KI.8.48	Amon ru giu' ra pagun no topot-topot ilo timinalikur intor ra tula, am makiasi' Rirun liliwa' tumingkuang tampilon ra pagun ti ondo' tinaakan Mu noyo ra kinamatuaan maili am tampilon ra bandar ondo' pinili' Muno, am niayuk Baloi ti ondo' binaal kuno Rirun, 
1KI.8.49	rongogo' noyo pakiasian nilo. Intor ra intok inayanan Muno giu' ra suruga', rongogo' noyo kitaakon nilo am pakaasi' noyo risilo. 
1KI.8.50	Ampuno' noyo ngaangai' tula am guor nilo Rirun, am baalo' pantula' nilono makaasi' risilo. 
1KI.8.51	Ilo ulun Muno galama', ondo' inibit Muno miningkual intor ra Misir, intok nilo inimbolo'.
1KI.8.52	“Iou 
1KI.8.53	Nampili' Kou risilo intor ra ngaangai' bansa' koson masauk ra ulun Muno galama'; ginio noyo ragu Muno risilo mansail ra ulipon Muno i Musa, paat ra Okou nagibit ra kinamatuaan maili miningkual intor ra Misir.”
1KI.8.54	Koon raginio noyo Raja' Salomo nakiasi' ra 
1KI.8.55	Ra bolos mosongou pakiasi' io nakitaak ra 
1KI.8.56	“Koompor noyo 
1KI.8.57	Gama' ru 
1KI.8.58	Gama' ru mampasauk Io ritakau ra ulun ondo' gumagaya' Riso maa' raginio magail takau maayag sumugut ra kasagaan Nano, am gumagaya' ra ngaangai' ukum am susuban ondo' tinaakan No ra kinamatuaan takali. 
1KI.8.59	Gama' ru 
1KI.8.60	Koon raginio ra ngaangai' bansa' ra tana' ti makapandai ra 
1KI.8.61	Gama' ru akau ulun Nano magail gumagaya' ra 
1KI.8.62	Kopongo raginio Raja' Salomo am ngaangai' ulun ondo' natitimung ra giu' no nampataak ra taak simbalui ra 
1KI.8.63	Raja' Salomo nampataak ra 22,000 ngainan sapi' am 120,000 ngainan domba koson ra taak simbalui koson makibarakat ra 
1KI.8.64	Paat ra orou raginio niayuk patimpokon ru raja' tampilon ra tanga' ru liliut, iono intok tampilon ra saang ru Baloi ru 
1KI.8.65	Giu' ra Baloi ru 
1KI.8.66	Paat ra orou kabalu', Raja' Salomo nanusub ra ngaangai' ru ulun no muli'. Minuli' ilo ra naansukan, liliwa' mongompor ra raja' ra tayar ru ngaangai' barakat ondo' tinaakan ru 
1KI.9.1	Kopongo Raja' Salomo nambaal ra Baloi ru 
1KI.9.2	intalang poyo 
1KI.9.3	Indagu 
1KI.9.4	Amon ru mangandoi kou ayuk Raki' ra topot-topot ru guang koson ra ama' muli i Daut, am amon ru gumagaya' kou ra ukum-ukum Kuno am niayuk mambaal ra ngaangai' ondo' nanusuban Kuno rirun, 
1KI.9.5	suguton Ku bantu' Kuno ra ama' muli i Daut, paat ra Aku minindagu riso ra papag nano magail mamarinta ra Israil. 
1KI.9.6	Kaa' amon ru okou kapoam papag muno kalo boo maya' Raki', am kalo gumagaya' ra ukum am susuban ondo' tinaakan Kuno rirun, am sumamba kou ra tuhan-tuhan ra bokon, 
1KI.9.7	patirin Ku ulun Kuno Israil intor ra pagun ondo' tinaakan Kuno risilo. Iruanin Ku niayuk Baloi ti ondo' timpokon Ku koson ra intok sumambayang Raki' ayuk. Ulun giu' ra ati-ati intok no manauyu' am magasab ra ulun ru Israil. 
1KI.9.8	Baloi ti masauk ra tuntur ru nangalunsai
1KI.9.9	Ulun pana tumaam boo, ‘Sabap ra nangiruan ilo noyo ra 
1KI.9.10	Ruo ngoopor ngambilor buoi ru Raja' Salomo nambaal ra Baloi ru 
1KI.9.11	Raja' Giram intor ra Tirus, nangani' riso ra ngaangai' tataun sidar ru Libanon, tataun sipris, mas am ngaangai' ondo' pinakai ru Raja' Salomo koson pambaalan raginio. Kopongo nambaalan no nopongo, nangani' Raja' Salomo ra Raja' Giram ra ruo ngoopor bandar giu' ra libung Galilia. 
1KI.9.12	Minongoi Raja' Giram pagilong ra bandar-bandar no, kaa' kalo masaga' io ra bandar-bandar no. 
1KI.9.13	Ginio ra indagu Raja' Giram ra Raja' Salomo, “Pabukat ku, gitio nai tupo baal ru bandar-bandar ondo' tinaakan muno raki'!” Ginio sabap ra libung no lakat poyo sabiton ra Kabul
1KI.9.14	Raja' Giram nangani' ra Raja' Salomo ra mas nasailan intor ra 4,000 ngakilogram.
1KI.9.15	Raja' Salomo namakai ra kuli' koson mambaal ra Baloi ru 
1KI.9.16	Igondo' Raja' Misir namulunsar am nampagaau ra bandar Gijir, namatoi ra mamagun no, am niayuk nonolob ra bandar no. Kopongo raginio pinataak ru raja' ru Misir bandar no ra anak ruandu' nano koson ra tangguang ru paguatan, paat ra anak nano nagandu' ra Raja' Salomo. 
1KI.9.17	Kopongo raginio Raja' Salomo nambaal saguli' ra bandar raginio.) Namakai ra kuli', Raja' Salomo niayuk nambaal saguli' ra Bit-Oron-Rabugus, 
1KI.9.18	Baalat, Tamar giu' ra tana' kaagisan ru Jiuda, 
1KI.9.19	bandar-bandar intok pambulian ra inula', am niayuk bandar-bandar intok pambulian ra ngaangai' ru kuda am kurita' kuda. Ngaangai' inatangan ru pambaalan giu' ra Jirusalim, giu' ra Libanon, am giu' ra ati-ati intok ra titikop ru pamarintaan nano pinaugar noyo. 
1KI.9.20+1KI.9.21	Kuli' ondo' pinangandoi ru Raja' Salomo iono papag ru ulun ru Kanaan, ondo' kalo pinatoi ru ulun ru Israil paat ra ilo nampagaau ra pagun no. Gitio nakaaya' ulun ru Amori, Git, Piris, Giwi am Jibusi ondo' papag nilo ti narayus nasauk ra inulipon saboi raino. 
1KI.9.22	Raja' Salomo kalo napasauk ra osoi pana ra ulun ru Israil koson ra inulipon. Ilo no sinauk ra saujor, pagawai, panglima, tingganai ru pulalai mangkurita' kuda am ulun ru pulalai mangkuda.
1KI.9.23	Suang 550 ngaulun pagawai pinalansan ra koson magalung ra kandoi ru kuli' ralalom nansalinut projik pambaalan ra longgom ru Raja' Salomo.
1KI.9.24	Namumpun Raja' Salomo ra tana' giu' ra tampilon sirangon ru bandar no, kalupus andu' nano, anak ruandu' ru raja' ru Misir, minanding intor ra Bandar Daut minongoi ra istana ondo' binaal ru Raja' Salomo riso.
1KI.9.26	Raja' Salomo niayuk nambaal ra kapal-kapal giu' ra Ijion-Gibir, mamaar ra Ilot, giu' ra nagas ru Teluk Akaba, giu' ra tana' ru Idom. 
1KI.9.27	Raja' Giram nangator ra kukula' ngaulun mangngandoi ra kapal nano ondo' nakaili' noyo koson mangandoi mababaya' ra ulun mangngandoi ra kapal ru Raja' Salomo. 
1KI.9.28	Nasundoi ilo mongoi ra tana' Opir, am nagibit ra mas nasailan intor ra 14,000 ngakilogram pataakon ra Raja' Salomo.
1KI.10.1	Raja' ruandu' ru pagun Syiba nokorongog ra nauligan kaga' Raja' Salomo.
1KI.10.2	Raja' ruandu' no minatong nabaya' ra masuang namaya' am niayuk unta-unta ondo' sinakayan ra apa' pampagamis ra akanon, batu parmata am masuang kaga' mas. Paat ra raja' ruandu' no nakatuum ra Raja' Salomo, raja' ruandu' no nangkuot ra Raja' Salomo ra masuang pangkuatan ondo' makara' nano. 
1KI.10.3	Nakataam Raja' Salomo ra ngaangai' pangkuatan ru raja' ruandu' no. Kolondo' rondo' pana ondo' mapagon kaga' ra Raja' Salomo. 
1KI.10.4	Raja' ruandu' ru pagun Syiba nokorongog galama' ra kapintaran ru Raja' Salomo am nakakito ra istana ondo' binaal ru Raja' Salomo. 
1KI.10.5	Raja' ruandu' ru pagun Syiba nakakito ra baal ru kandoi ru pagawai-pagawai istana, bayang ra sarampun am baloi nilo. Raja' ruandu' no nakakito ra akanon ondo' pinasulung, am ulipon-ulipon ondo' mangandoi ra Raja' Salomo paat ra pangiantakan; raja' ruandu' no niayuk nakakito ra taak-taak simbalui ondo' pinataak ru Raja' Salomo giu' ra Baloi ru 
1KI.10.6	Ginio ra indagu raja' ruandu' ru pagun Syiba ra Raja' Salomo, “Topot toojo atan ondo' norongog kuli giu' ra pagun kuli intor rirun
1KI.10.7	Kaa' kalo mangintopot aku ra aku kalo poyo matong am makakito galama' ra ngaangai' no ra mato kuno galama'. Kaa' atan ondo' norongog kuli kalo poyo napiruo intor ra atan ondo' nakito kuno raino. Kapintaran am kalangkayaan muno maayo poyo intor ra ondo' norongog ku noyo. 
1KI.10.8	Pakaansuk noyo andu'-andu'
1KI.10.9	Koompor noyo 
1KI.10.10	(
1KI.10.11	Pulalai ru kapal Raja' Giram ondo' nagibit ra mas intor ra Opir, niayuk nagibit ra masuang tataun cendana am batu intan intor ra giu' no. 
1KI.10.12	Raja' Salomo namakai ra tataun no koson mambaal ra susuran ra Baloi ru 
1KI.10.13	Suai intor ra tangguang-tangguang ondo' kaindalaman no taakin ru Raja' Salomo, nangani' niayuk raja' ra atan ayuk kinitaak ru raja' ruandu' ru pagun Syiba no. Kopongo raginio raja' ruandu' no am ngaangai' ru namaya' riso no minuli' ra pagun Syiba.
1KI.10.14+1KI.10.15	Suai ra cukai
1KI.10.16	Nambaal Raja' Salomo ra 200 perisai maayo intor ra mas. Moonong perisai
1KI.10.17	Nambaal io niayuk ra 300 perisai boborok intor ra mas. Moonong perisai mamakai ra mas olo'-olo' 2 ngakilogram. Pinauli ru Raja' Salomo ngaangai' perisai no giu' ra Dewan Kataunan Libanon.
1KI.10.18	Raja' Salomo niayuk nambaal ra rondo' kurisi' raja' ru gading ondo' maayo, ondo' inangkupan ra mas kopoyo. 
1KI.10.19+1KI.10.20	Kurisi' ru raja' no mokoondo' onom tukar, am giu' ra pompor ru kait am pamiris ra moonong tukar no mokoondo' ra sinungkalalaing ru singa'. Ngaangai' no mokoondo' mopor am ruo sinungkalalaing ru singa'. Giu' ra talikuron ru kurisi' raja' no mokoondo' rondo' sinungkalalaing ulu ru sapi' gawayan, am giu' ra moonong longon ru kurisi' raja' no mokoondo' rondo' sinungkalalaing ru singa'. Kolondo' pamarintaan ra ati pana ondo' igondo' mokoondo' ra kurisi' raja' koson raginio.
1KI.10.21	Ngaangai' sangkir ru Raja' Salomo binaal intor ra mas, am ngaangai' kakamot giu' ra Dewan Kataunan Libanon
1KI.10.22	Raja' Salomo mokoondo' ra masuang kapal maayo ondo' masundoi ra raat malandom am malangka' mababaya' ra kapal-kapal ru Raja' Giram. Igondo' ralalom ru talu ngambilor, kapal-kapal ru Raja' Salomo muli' am magibit ra mas, pirok, gading, gabuk am susuit tuou.
1KI.10.23	Raja' Salomo no langkaya' poyo am mapintar poyo intor ra raja' ra bokon ra tana' ti. 
1KI.10.24	Ngaangai' ulun ra titikop ru tana' ti moogot matong koson mangkirongog ra kapintaran ondo' tinaakan ri Aki Kapuuno' riso. 
1KI.10.25	Moonong ulun ondo' manambului ra Raja' Salomo magibit ra tangguang riso – kuliamos intor ra pirok am mas, bayang, kinandoi, apa' pampagamis ra akanon, kuda am niayuk baghal. Baal ragitio narayus kasauk ra bilor malupus bilor.
1KI.10.27	Paat ra pamarintaan ru Raja' Salomo, pirok ti kuliamos kaindalaman koson ra batu giu' ra Jirusalim, am tataun sidar masuang koson ra tataun ara giu' ra lonson toojo ru bulur giu' ra Jiuda. 
1KI.10.28	Ulun-ulun mantatalan ondo' mangandoi ra raja', nambali ra kuda intor ra Musri
1KI.10.29	am nambali ra kurita' kuda intor ra Misir. Kopongo raginio kuda am kurita' kuda no tinalan ra raja'-raja' ru Git am raja'-raja' ru Siria ra logo 600 ngampila' ruit pirok rondo' kurita' kuda, am 150 ngampila' ruit pirok ra sanginan kuda.
1KI.11.2	Lakat niayuk Raja' Salomo nanangandu' risilo kabalu' pana 
1KI.11.3	Nanangandu' Raja' Salomo ra tulu' ngaatus ngaulun anak ruandu' ru raja' am mokoondo' ra talu ngaatus ngaulun ruandu' parulug. Ilo no nangkinibit ra Raja' Salomo nangiruan ri Aki Kapuuno', 
1KI.11.4	saboi ra ilo nakasugut nanusuk riso sumamba ra tuhan-tuhan ra bokon paat ra Raja' Salomo matutuo noyo. Raja' Daut, ama' ru Raja' Salomo gumagaya' ra 
1KI.11.5	Raja' Salomo sumamba ra Asyitorit, dewi ru ulun ru Sidon, am Molok, dewa ondo' makatataman ondo' sambaan ru ulun ru Amon. 
1KI.11.6	Makatula Raja' Salomo ra 
1KI.11.7	Giu' ra rasawat ru rondo' gunung giu' ra tampilon sirangon ru Jirusalim, Raja' Salomo nambaal ra intok sambaan ra Kamos, dewa makatataman ondo' sambaan ru ulun ru Moab. Nambaal io ra intok sambaan ra Molok, dewa makatataman ondo' sambaan ru ulun ru Amon. 
