MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
MAT.22_2.46	לא הייתה להם תשובה, ומאותו יום לא העז איש לשאול אותו שאלות מכשילות.
MAT.23_1.1	ישוע פנה אל הקהל ואל תלמידיו ואמר: 
MAT.23_1.2	”הסופרים והפרושים יושבים על כסא משה. 
MAT.23_1.3	לכן טוב שתשמעו בקולם ותעשו את מה שהם אומרים, אבל בשום אופן אל תעשו את מה שהם עושים! כי הם עצמם אינם עושים את מה שהם דורשים מכם לעשות. 
MAT.23_1.4	הם מכבידים עליכם בדרישות שונות, בעוד שבעצמם לא מוכנים להרים אצבע.
MAT.23_1.5	”הם עושים את כל מעשיהם בשביל שיראו אותם. הם מעמידים פני צדיקים, מניחים תפילין בציבור ומאריכים את הציציות שלהם. 
MAT.23_1.6	במסיבות הם אוהבים לשבת בראש השולחן, ובבית הכנסת – במקומות השמורים. 
MAT.23_1.7	הם אוהבים שנותנים להם כבוד ברחובות ושקוראים להם ’רבי‘. 
MAT.23_1.8	אל תרשו לאיש לקרוא לכם כך, כי ה׳ לבדו הוא רבכם, וכולכם שווים כאחים. 
MAT.23_1.9	כמו כן אל תפנו לאיש בתואר ’אבי‘, כי רק לאלוהים שבשמים עליכם לקרוא ’אבי‘. 
MAT.23_1.10	אל תרשו שיקראו לכם ’מורי ורבי‘, כי יש לכם מורה ורב אחד בלבד, והוא המשיח.
MAT.23_1.11	”ככל שתרבו לשרת את הזולת בענווה, כך תגדלו בעצמכם. כדי להיות גדולים ביותר – היו עבדים! 
MAT.23_1.12	מי שמכבד את עצמו יושפל ומי שמשפיל את עצמו יכובד.
MAT.23_1.13+MAT.23_1.14	”אוי לכם, הפרושים והסופרים, צבועים אתם! לא די שאינכם נכנסים בעצמכם למלכות השמים, אתם גם מונעים מאחרים להיכנס! אתם מעמידים פני צדיקים ומתפללים באריכות באמצע הרחוב, וכל זאת בזמן שאתם מגרשים אלמנות מבתיהן. צבועים שכמוכם! 
MAT.23_1.15	כן, אוי לכם, צבועים! אתם נוסעים למרחקים כדי לגייר אדם אחד, ולאחר שהתגייר אתם הופכים אותו לבן־גיהינום עוד יותר מכם!
MAT.23_1.16	”אוי לכם, מנהיגים עיוורים! הכלל שלכם הוא: ’אם נשבעת במקדש ה׳ מותר לך להפר את שבועתך, אולם אם נשבעת בזהב של בית־המקדש אסור לך להפר את שבועתך‘. 
MAT.23_1.17	עיוורים טיפשים! מה חשוב יותר, הזהב או המקדש שמקדש את הזהב?
MAT.23_1.18	”כמו כן אתם אומרים: ’שבועה במזבח אינה מחייבת ומותר להפר אותה, אך שבועה בקורבן שעל המזבח – מחייבת‘. 
MAT.23_1.19	עיוורים! מה גדול וחשוב יותר, הקורבן שעל המזבח או המזבח עצמו המקדש את הקורבן? 
MAT.23_1.20	הרי אם אתם נשבעים ’במזבח‘, אתם נשבעים למעשה בו ובכל אשר עליו. 
MAT.23_1.21	כאשר אתם נשבעים ’במקדש‘, אתם נשבעים למעשה בו ובאלוהים השוכן בו. 
MAT.23_1.22	ואם אתם נשבעים ’בשמים‘, אתם נשבעים בכסא אלוהים ובאלוהים עצמו.
MAT.23_1.23	”כן, אוי לכם פרושים וסופרים צבועים! אתם מקפידים על הלכות דקדקניות כמו לתת מעשר על עלי נענע בגינה, אולם אתם מתעלמים מהדברים החשובים באמת כמו צדק, רחמים ואמונה! אתם אמנם חייבים לתת מעשר, אולם אסור לכם להזניח את הדברים החשובים יותר. 
MAT.23_1.24	מנהיגים עיוורים! אתם מסננים את היתוש ובולעים את הגמל!
MAT.23_1.25	”אוי לכם, סופרים ופרושים צבועים שכמוכם! אתם מקפידים כל־כך על צחצוח הכוס מבחוץ, אולם תוכה מצחין מריקבון! 
MAT.23_1.26	פרושים עיוורים, טהרו תחילה את פנים הכלי ואז כולו יהיה נקי!
MAT.23_1.27	”אוי לכם, סופרים ופרושים! אתם דומים לקברים הנראים יפים ומפוארים מבחוץ, אך בתוכם הם מלאים עצמות מתים, ריקבון וטומאה. 
MAT.23_1.28	אתם משתדלים להיראות קדושים, אולם בפנים לבכם מלא צביעות וטומאה. 
MAT.23_1.29+MAT.23_1.30	כן, אוי לכם פרושים, ואוי לכם סופרים – צבועים שכמוכם! אתם בונים מצבות לנביאים שאבותיכם הרגו, ומניחים פרחים על קברי אנשי־האלוהים שאבותיכם רצחו, ואתם אומרים: ’אנחנו, כמובן, לא היינו מעזים לנהוג כפי שנהגו אבותינו!‘
MAT.23_1.31	”בדבריכם אלה אתם מעידים על עצמכם שהנכם בני רשעים. 
MAT.23_1.32	אתם הולכים בעקבות אבותיכם וממלאים את מכסת עוונותיהם. 
MAT.23_1.33	נחשים בני נחשים! כיצד תימלטו מעונש הגיהינום?
MAT.23_1.34	”אני שולח אליכם נביאים, חכמים וסופרים; אחדים מהם תהרגו בצליבה, ואחרים תלקו בשוטים בבתי הכנסת שלכם, ותרדפו אחריהם מעיר לעיר! 
MAT.23_1.35	וכך תישאו באשמת הריגתם של כל אנשי האלוהים – החל בהבל הצדיק וכלה בזכריה בן־ברכיה, שאותו רצחתם בבית־המקדש בין ההיכל למזבח. 
MAT.23_1.36	ובכן, כל זה יבוא על הדור הזה.
MAT.23_1.37	”ירושלים, ירושלים, ההורגת את הנביאים ורוגמת באבנים את שליחי אלוהים! פעמים רבות חפצתי לאסוף את בנייך, כתרנגולת האוספת את אפרוחיה תחת כנפיה, אולם לא רציתם. 
MAT.23_1.38	ועתה אלוהים נוטש את ביתכם, 
MAT.23_1.39	ואני אומר לכם שמעתה ואילך לא תראו אותי יותר, עד אשר תאמרו: ’ברוך הבא בשם ה׳!‘ “
MAT.24_1.1	כשיצא ישוע מבית־המקדש, באו אליו תלמידיו להראות לו את מבני המקדש.
MAT.24_1.2	אולם ישוע אמר להם: ”כל המבנים האלה ייהרסו ואף אבן לא תישאר במקומה.“ 
MAT.24_1.3	מאוחר יותר, כשישב ישוע על מדרון הר הזיתים, שאלו אותו התלמידים: ”מתי יקרה הדבר הזה? אילו מאורעות יסמנו את שובך ואת סוף העולם?“
MAT.24_1.4	”אל תניחו לאיש לרמות אתכם“, השיב להם ישוע, 
MAT.24_1.5	”כי אנשים רבים יבואו ויטענו כל אחד ’אני המשיח‘, ויטעו אנשים רבים. 
MAT.24_1.6	כאשר תשמעו על מהומות ומלחמות – אל תיבהלו. אמנם תפרוצנה מלחמות ותחוללנה מהומות, אבל הקץ לא יבוא מיד. 
MAT.24_1.7	מדינות וממלכות תילחמנה זו בזו, ובמקומות רבים יהיו רעידות אדמה ורעב. 
MAT.24_1.8	אולם כל אלה יציינו רק את ראשית הצרות והסבל העתידים לבוא.
MAT.24_1.9	”לאחר מכן יענו אתכם, יהרגו אתכם והעולם כולו ישנא אתכם, משום שאתם שייכים לי. 
MAT.24_1.10	רבים ישובו לחטוא, יבגדו זה בזה וישנאו איש את אחיו. 
MAT.24_1.11	נביאי שקר רבים יופיעו ויוליכו שולל אנשים רבים. 
MAT.24_1.12	החטא והרשע יתפשטו בכל מקום וידכאו את אהבתם של רבים. 
MAT.24_1.13	אולם אלה שיחזיקו מעמד עד הסוף יינצלו.
MAT.24_1.14	”הבשורה הטובה על דבר המלכות תתפשט בעולם כולו – כך שכל האומות תשמענה אותה – ולבסוף יגיע הקץ.
MAT.24_1.15	”לכן, כאשר תראו בבית־המקדש את חילול הקודש, שעליו דיבר דניאל הנביא
MAT.24_1.16	על כל תושבי יהודה לברוח להרים. 
MAT.24_1.17	אלה שעל הגגות – שלא ייכנסו הביתה לארוז את חפציהם. 
MAT.24_1.18	אלה שבשדה – שלא יחזרו הביתה לקחת את בגדיהם.
MAT.24_1.19	”אוי לנשים ההרות ולמניקות באותם ימים! 
MAT.24_1.20	התפללו שבריחתכם לא תהיה בחורף ולא בשבת. 
MAT.24_1.21	כי תהיה צרה שכמוה טרם הייתה בתולדות העולם, וכמוה לא תהיה עוד!
MAT.24_1.22	”למעשה אם אלוהים לא יקצר את הימים הנוראים האלה, כולם יאבדו. אולם אלוהים יקצר ימים אלה למען עמו הנבחר.
MAT.24_1.23	”אם מישהו יאמר לכם באותם ימים: ’ראיתי את המשיח במקום פלוני!‘ או ’המשיח נמצא בכפר הסמוך!‘ אל תאמינו לו. 
MAT.24_1.24	כי משיחי־שקר ונביאי־שקר יקומו ויחוללו נסים ונפלאות אשר יתעו את האנשים, ואם יוכלו, הם יתעו אפילו את הנבחרים. 
MAT.24_1.25	זיכרו, הזהרתי אתכם!
MAT.24_1.26	”על כן, אם יאמרו לכם שהמשיח אי־שם במדבר – אל תטריחו את עצמכם ללכת ולראות, ואם יאמרו לכם שהמשיח מסתתר במקום כלשהו – אל תאמינו. 
MAT.24_1.27	כי כשם שהברק במזרח מאיר למערב, כך יהיה גם שובו של בן־האדם. 
MAT.24_1.28	במקום שבו נמצא הפגר, שם יתאספו הנשרים.
MAT.24_1.29	”מיד לאחר הצרות של אותם ימים תחשך השמש, הירח ישחיר, הכוכבים יפלו מהשמים וכוחות השמים יתמוטטו.
MAT.24_1.30	”לבסוף ייראה בשמים אות בן־האדם ואבל כבד ירד על העולם כולו. כל אומות העולם יראו את בן־האדם בא על ענני השמים, בגבורה ובכבוד רב. 
MAT.24_1.31	ואז הוא ישלח את מלאכיו בקול תרועת השופר, והם יאספו את בחיריו מכל קצוות תבל.
MAT.24_1.32	”עץ התאנה ישמש לכם כדוגמה: כאשר הענפים מלבלבים והעלים ירוקים, אתם יודעים שהקיץ קרב. 
MAT.24_1.33	כאשר כל מה שסיפרתי לכם יתחיל להתרחש, דעו לכם שזה קרוב, שאני עומד בפתח. 
MAT.24_1.34	אני אומר לכם: כל הדברים האלה יתרחשו לפני שיחלוף הדור הזה. 
MAT.24_1.35	השמים והארץ יחלפו, אבל דברי לא יחלפו.
MAT.24_1.36	”איש אינו יודע את היום והשעה של התרחשויות אלה; המלאכים בשמים אינם יודעים זאת, ואפילו אני עצמי איני יודע את המועד המדויק. רק אבי שבשמים יודע זאת.
MAT.24_1.37	”כימי נוח כן יהיה באו של בן־האדם. 
MAT.24_1.38	בני־האדם חיו בשלווה; הם אכלו, שתו והתחתנו לפני שפתאום בא המבול. 
MAT.24_1.39	בני־האדם סרבו להאמין לשמע מה שעמד לקרות, עד שהמבול אכן בא והטביע את כולם. כך יהיה בואי.
MAT.24_1.40	”באותה עת שני גברים יעבדו יחד בשדה – האחד יילקח והשני יישאר. 
MAT.24_1.41	שתי נשים יטחנו בָּרֵחָיִם – אחת תילקח והשנייה תישאר.
MAT.24_1.42	”לכן היו מוכנים, כי אינכם יודעים באיזה יום יבוא אדונכם.
MAT.24_1.43	”אילו ידעו את השעה, היו כולם מתכוננים לבואו, כשם שהיו מתכוננים לבואו של גנב אילו ידעו מתי יבוא. 
MAT.24_1.44	כך גם אתם היו מוכנים תמיד, כי בן־האדם יבוא בשעה בלתי צפויה. 
MAT.24_1.45	מי מכם משרת נבון ונאמן לאדונכם, שיפקח על משק ביתו ויקבל את שכרו בעתו? 
MAT.24_1.46	ברוך תהיה אם בשובי אמצא אותך ממלא את תפקידך בנאמנות. 
MAT.24_1.47	אנשים נאמנים כאלה אני אפקיד על כל רכושי.
MAT.24_1.48	”אולם אם אתה רשע ותאמר לעצמך: ’אה, האדון לא ישוב כל כך מהר‘, – 
MAT.24_1.49	ותתאכזר ליתר העבדים ותבלה את זמנך במסיבות, בזלילה ובשתייה – 
MAT.24_1.50	אדונך יופיע בשעה בלתי צפויה, 
MAT.24_1.51	ואז הוא יכה אותך קשות ויקבע את מקומך עם הצבועים; שם יהיה בכי וחריקת שיניים.“
MAT.25_1.1	”אז תידמה מלכות השמים לסיפור על עשר עלמות, אשר לקחו את המנורות שלהן ויצאו לקבל את פני החתן. 
MAT.25_1.2+MAT.25_1.3+MAT.25_1.4	אולם רק חמש מהן היו חכמות ומילאו את מנורותיהן מראש בשמן. חמש האחרות היו טיפשות ולא מילאו מראש את המנורות.
MAT.25_1.5+MAT.25_1.6	”מכיוון שהחתן איחר לבוא, שכבו העלמות לנוח. בחצות הלילה הן התעוררו לקול תרועה: ’החתן בא! צאנה לקבל את פניו!‘
MAT.25_1.7+MAT.25_1.8	”כל הבחורות קמו מיד והיטיבו את המנורות. אלה שלא היה להן שמן ביקשו מעט מחברותיהן, כי מנורותיהן דעכו.
MAT.25_1.9	”אולם הבחורות החכמות ענו: ’אם ניתן לכן מעט שמן לא יישאר לנו מספיק. לכו לחנות לקנות לעצמכן‘.
MAT.25_1.10	”אך בזמן שהן הלכו לקנות שמן בא החתן, ואלה שהיו מוכנות נכנסו איתו אל החתונה והדלת ננעלה.
MAT.25_1.11	”כשחזרו האחרות מאוחר יותר, הן עמדו בחוץ וקראו: ’אדוננו, אדוננו, פתח לנו את הדלת!‘
MAT.25_1.12	”אולם הוא השיב להן מבפנים: ’אינני מכיר אתכן!‘
MAT.25_1.13	”משום כך היו ערים ומוכנים, כי אינכם יודעים באיזה יום ובאיזו שעה אחזור.“
MAT.25_1.14	ישוע המשיך: ”אפשר לתאר את מלכות השמים בעזרת הסיפור על אדם שנסע לארץ רחוקה. לפני נסיעתו הוא קרא למשרתיו והפקיד בידם סכומי כסף, כדי שישקיעו אותם למענו בזמן העדרו. 
MAT.25_1.15	הוא נתן לאחד 50,000 שקלים, לשני – 20,000 שקלים ולשלישי – 10,000 שקלים. הוא חילק את הכסף בהתאם לכישרונו של כל אחד ויצא לדרכו. 
MAT.25_1.16	האיש שקיבל 50,000 שקלים החל מיד לקנות ולמכור, ותוך זמן קצר הרוויח עוד 50,000 שקלים. 
MAT.25_1.17	גם האיש שקיבל 20,000 שקלים ניגש מיד לעבודה והרוויח עוד 20,000 שקלים. 
MAT.25_1.18	אך האיש שקיבל 10,000 שקלים חפר בור באדמה והטמין בתוכו את הכסף.
MAT.25_1.19	”לאחר זמן רב חזר האדון ממסעו, וביקש ממשרתיו לתת דין וחשבון על הכסף שהפקיד בידם. 
MAT.25_1.20	האיש שקיבל 50,000 שקלים החזיר לאדוניו 100,000 שקלים. 
MAT.25_1.21	האדון שיבח אותו על עבודתו הטובה ואמר: ’מאחר שהיית נאמן בסכום קטן, אתן לך עכשיו אחריות גדולה יותר. בוא והשתתף בשמחתי‘.
MAT.25_1.22	”אחריו בא האיש שקיבל 20,000 שקלים והצהיר: ’אדוני, נתת לי 20,000 שקלים, ועכשיו אני מחזיר לך סכום כפול‘.
MAT.25_1.23	” ’עבודה טובה‘, אמר לו האדון. ’אתה משרת טוב ונאמן. מאחר שהיית נאמן בסכום קטן, אתן לך עכשיו הרבה יותר!‘ 
MAT.25_1.24+MAT.25_1.25	לאחר מכן בא האיש שקיבל 10,000 שקלים ואמר: ’אדוני, ידעתי שאתה איש קשה, שמצליח לקצור במקום שלא זרעת ולאסוף במקום שלא פיזרת. משום כך פחדתי והסתרתי את הכסף באדמה – והנה הוא!‘
MAT.25_1.26	”אך אדוניו השיב לו: ’רשע שכמוך, עבד עצלן! אם ידעת שאדרוש ממך את הרווח, 
MAT.25_1.27	מדוע לא הפקדת את הכסף בבנק? כך לפחות הייתי מקבל ריבית! 
MAT.25_1.28	קחו ממנו את הכסף, ותנו לאיש שיש לו כבר 100,000 
MAT.25_1.29	כי האיש שמנצל היטב את מה שנותנים לו – יינתן לו עוד ויהיה לו שפע רב. ואילו אדם בלתי־אחראי – גם מעט האחריות שניתנה לו תילקח ממנו. 
MAT.25_1.30	קחו עתה את המשרת הזה, שאין בו כל מועיל, והשליכוהו החוצה לחושך, שם יש בכי וחריקת שיניים‘.
MAT.25_1.31	”אולם כשאני, המשיח,
MAT.25_1.32	כל אומות העולם יתאספו לפני, ואני אפריד ביניהם כרועה המפריד בין הכבשים ובין העיזים. 
MAT.25_1.33	את הכבשים אעמיד לימיני ואת העיזים לשמאלי.
MAT.25_1.34	”לאחר מכן אני, המלך, אומר לעומדים לימיני: ’בואו, ברוכי אבי, אל המלכות שהוכנה למענכם מאז היווסד העולם. 
MAT.25_1.35	כשהייתי רעב – האכלתם אותי. כשהייתי צמא – נתתם לי לשתות. כשהייתי אורח זר – הכנסתם אותי לביתכם. 
MAT.25_1.36	כשהייתי עירום – הלבשתם אותי. כשהייתי חולה או אסור בכלא – באתם לבקר אותי‘.
MAT.25_1.37	”ואותם צדיקים יענו: ’אדוננו, מתי ראינו אותך רעב והאכלנו אותך, או צמא והשקינו אותך? 
MAT.25_1.38	או אורח זר ועזרנו לך? או עירום והלבשנו אותך? 
MAT.25_1.39	מתי ראינו אותך חולה או כלוא ובאנו לבקר אותך?‘
MAT.25_1.40	”ואני, המלך, אענה: ’כשעשיתם אחד מן הדברים האלה לאחד מאחי הצעירים – כאילו עשיתם אותו לי‘. 
MAT.25_1.41	לאחר מכן אפנה אל העומדים לשמאלי ואומר להם: ’הסתלקו מכאן, ארורים, אל האש הנצחית שהוכנה לשטן והשדים! 
MAT.25_1.42	כי כשהייתי רעב לא האכלתם אותי, וכשהייתי צמא לא נתתם לי דבר לשתות. 
MAT.25_1.43	הייתי אורח זר, אולם לא הזמנתם אותי לביתכם. הייתי עירום, ולא הלבשתם אותי. הייתי חולה וכלוא, וכלל לא באתם לבקר אותי!‘
MAT.25_1.44	”ואז הם יענו: ’אדון, מתי ראינו אותך רעב או צמא או זר או עירום או חולה או כלוא, ולא עזרנו לך?‘
MAT.25_1.45	”ואני אענה: ’כאשר סירבתם לעזור לאחד מן האחים הצעירים האלה סירבתם לעזור לי‘.
MAT.25_1.46	”והם ילכו משם לייסורי נצח, ואילו הצדיקים – לחיי נצח.“
MAT.26_1.1	כשסיים ישוע ללמד את תלמידיו, אמר להם: 
MAT.26_1.2	”כידוע לכם חג הפסח מתחיל בעוד יומיים, וימסרו אותי למוות על הצלב.“
MAT.26_1.3	באותה שעה התכנסו ראשי הכוהנים והמנהיגים האחרים בביתו של קייפא הכוהן הגדול, 
MAT.26_1.4	כדי לחשוב איך לתפוס את ישוע בחשאי ולהרגו. 
MAT.26_1.5	”לא בזמן חגיגות הפסח,“ הסכימו ביניהם, ”פן תתחולל מהומה בעם.“
MAT.26_1.6	בזמן שישוע היה בבית־עניה, בביתו של שמעון המצורע, 
MAT.26_1.7	ניגשה אליו אישה ובידה בקבוק בושם יקר מאוד, ושפכה את הבושם על ראשו בשעה שאכל. 
MAT.26_1.8+MAT.26_1.9	התלמידים כעסו מאוד ואמרו: ”מדוע היא מבזבזת את הבושם היקר הזה? הלא יכולנו למכור אותו בכסף רב, ואת הכסף היינו נותנים לעניים!“
MAT.26_1.10	”מדוע אתם מציקים לה?“ שאל ישוע. ”הלא היא עשתה מעשה טוב. 
MAT.26_1.11	העניים נמצאים איתכם תמיד, ואילו אני לא אהיה איתכם תמיד. 
MAT.26_1.12	היא שפכה עלי את הבושם כדי להכין את גופי לקבורה. 
MAT.26_1.13	אני אומר לכם: בכל מקום שבו תוכרז הבשורה הזאת, תיזכר גם האישה הזאת, בזכות המעשה שעשתה.“
MAT.26_1.14	לאחר מכן הלך יהודה איש־קריות, שהיה אחד משנים־עשר התלמידים, אל ראשי הכוהנים 
MAT.26_1.15	ושאל: ”מה תתנו לי אם אמסור לידיכם את ישוע?“ הם נתנו לו שלושים מטבעות כסף, 
MAT.26_1.16	ומאותה שעה חיפש יהודה הזדמנות למסור לידיהם את ישוע.
MAT.26_1.17	בערב הפסח באו התלמידים אל ישוע ושאלו: ”היכן אתה רוצה שנכין את הסדר?“
MAT.26_1.18	”לכו העירה אל אדם פלוני,“ ענה ישוע, ”ואמרו לו: ’אדוננו אמר: שעתי הגיעה, והפעם אני ותלמידי נערוך את הסדר בביתך‘. “ 
MAT.26_1.19	התלמידים עשו כדבריו והכינו את הסדר.
MAT.26_1.20	בערב ישב ישוע עם תלמידיו ליד השולחן, 
MAT.26_1.21	ובשעת הארוחה אמר להם: ”אחד מכם יבגוד בי ויסגיר אותי.“
MAT.26_1.22	התלמידים התעצבו מאוד ושאלו זה אחר זה: ”האם אתה מתכוון אלי?“ 
MAT.26_1.23	”אני מתכוון לאחד אשר טבל את המצה שלו בקערה יחד אתי. 
MAT.26_1.24	בן־האדם הולך למות כפי שכתוב שצריך לקרות, אולם אני אומר לכם: אוי לאיש שיסגיר אותו; מוטב שלא היה נולד בכלל!“
MAT.26_1.25	גם יהודה שאל את ישוע: ”רבי, האם אתה מתכוון אלי?“ וישוע השיב: ”כן.“ 
MAT.26_1.26	בעת הסעודה לקח ישוע את הלחם (מצה), ברך, פרס לפרוסות, הגיש לתלמידיו ואמר: ”קחו ואכלו; זהו גופי.“ 
MAT.26_1.27	אחר כך לקח כוס יין, ברך, הגיש לתלמידיו ואמר: ”שתו ממנה כולכם, 
MAT.26_1.28	כי זהו דמי החותם את הברית החדשה בין אלוהים לבין בני־האדם; זהו דמי הנשפך כדי לסלוח לחטאיהם של אנשים רבים. 
MAT.26_1.29	ובכן לא אשתה יותר יין עד היום שבו אשתה יין חדש איתכם במלכות אבי.“
MAT.26_1.30	כל הנוכחים שרו מזמורי תהלים, ולאחר מכן הלכו להר הזיתים.
MAT.26_1.31	”הלילה כולכם תעזבו אותי,“ אמר ישוע לתלמידיו, ”והרי כתוב:
MAT.26_1.32	אולם לאחר שאקום לתחייה אלך לגליל ואפגוש אתכם שם.“
MAT.26_1.33	”אפילו אם כולם יעזבו אותך, אני לעולם לא אעזוב אותך!“ קרא פטרוס.
MAT.26_1.34	אולם ישוע אמר לו: ”האמת היא שעוד הלילה, לפני שיקרא התרנגול את קריאת השחר, תתכחש לי שלוש פעמים!“ 
MAT.26_1.35	”לעולם לא אתכחש לך,“ התעקש פטרוס, ”אפילו אם יהיה עלי למות!“ ושאר התלמידים גם אמרו כך. 
MAT.26_1.36	הם הגיעו לחורשת עצי־זית הנקראת ”גת־שמני“, ואמר לתלמידיו: ”חכו לי כאן עד שאחזור. אני הולך להתפלל.“ 
MAT.26_1.37	הוא לקח איתו את פטרוס ואת יעקב ויוחנן, בני זבדי, והתמלא עצב ומועקה. 
MAT.26_1.38	”אני מתייסר עד מוות!“ אמר להם ישוע. ”חכו כאן… הישארו לידי ערים…“
MAT.26_1.39	הוא התרחק מהם מעט, נפל על פניו והתפלל: ”אבי, אם זה אפשרי, הסר ממני את כוס הייסורים. אולם לא כרצוני כי אם רצונך ייעשה!“
MAT.26_1.40	לאחר מכן הוא חזר אל שלושת התלמידים ומצא אותם ישנים. ”פטרוס,“ קרא ישוע, ”האם לא יכולתם להישאר ערים איתי שעה אחת בלבד? 
MAT.26_1.41	עמדו על המשמר והתפללו שלא תבואו לידי ניסיון. אני יודע שהרוח אכן רוצה, אבל גופכם חלש כל־כך!“
MAT.26_1.42	ישוע עזב אותם שוב והתפלל: ”אבי, אם עלי לשתות את הכוס הזאת, אז שרצונך ייעשה!“
MAT.26_1.43	הוא חזר אל תלמידיו, וגם הפעם מצא אותם ישנים, כי עיניהם היו כבדות.
MAT.26_1.44	הוא שוב עזב אותם וחזר על תפילתו בפעם השלישית.
MAT.26_1.45	לאחר מכן הוא חזר אל תלמידיו ואמר: ”האם אתם עדיין ישנים? הגיעה השעה שבן־האדם יימסר לידי אנשים חוטאים. 
MAT.26_1.46	קומו, הבה נלך מכאן. הביטו, הנה מתקרב האיש שיסגיר אותי.“
MAT.26_1.47	לפני שהספיק ישוע לסיים את דבריו הגיע למקום יהודה, אחד משנים־עשר התלמידים, ואיתו המון שנשלח מטעם ראשי הכוהנים וזקני העם, חמוש בחרבות ובמקלות. 
MAT.26_1.48	יהודה אמר להם לתפוס את האיש שייתן לו נשיקה, 
MAT.26_1.49	ואז ניגש ישר אל ישוע ואמר: ”שלום, רבי!“ ונישק אותו. 
MAT.26_1.50	”ידידי,“ אמר לו ישוע, ”עשה את מה שבאת לעשות.“ באותו רגע תפסו אותו האחרים.
MAT.26_1.51	אחד האנשים שהיו עם ישוע שלף חרב וקיצץ את אוזנו של עבד הכוהן הגדול.
MAT.26_1.52	”עזוב את החרב שלך,“ אמר לו ישוע, ”מי שחי בחרב ימות בחרב. 
MAT.26_1.53	אתה לא מבין שאני יכול לבקש מאבי שייתן לי אלפי מלאכים להגן עלי, והוא היה שולח אותם מיד? 
MAT.26_1.54	אולם אילו הייתי עושה כך, כיצד הייתה מתקיימת הנבואה בכתובים המתארת את המתרחש עכשיו?“
MAT.26_1.55	ישוע פנה אל ההמון ואמר: ”האם אני פושע מסוכן? מדוע אתם באים לאסור אותי בחרבות ובמקלות? הלא לימדתי אתכם במקדש יום־יום ויכולתם לאסור אותי שם ללא קושי! 
MAT.26_1.56	אולם כל זה בא למלא את דברי הנביאים בכתבי הקודש.“ אז עזבו אותו התלמידים וברחו.
MAT.26_1.57	ההמון לקח את ישוע אל ביתו של קייפא הכוהן הגדול – שם כבר המתינו לו הסופרים והזקנים. 
MAT.26_1.58	באותו זמן הלך פטרוס במרחק מה אחרי ההמון. הוא נכנס לחצר ביתו של הכוהן הגדול, ישב בין החיילים וחיכה לראות מה יקרה לישוע.
MAT.26_1.59	ראשי הכוהנים וחברי הסנהדרין, שהתאספו שם, חיפשו עדי שקר שיעידו נגד ישוע, כדי שיוכלו להטיל עליו אשמה כלשהי ולדון אותו למוות. 
MAT.26_1.60+MAT.26_1.61	אבל למרות שמצאו אנשים רבים שהסכימו לתת עדות שקר, דבריהם תמיד סתרו זה את זה. לבסוף באו שני אנשים שהצהירו: ”האיש הזה אמר שהוא יכול להרוס את בית־המקדש ולבנות אותו מחדש תוך שלושה ימים.“
MAT.26_1.62	הכוהן הגדול קם על רגליו ושאל: ”מה יש לך לומר להגנתך? מה יש לך לומר על כל ההאשמות נגדך?“ 
MAT.26_1.63	אך ישוע שתק. ”בשם אלוהים חיים,“ קרא הכוהן הגדול, ”אני דורש ממך שתאמר לנו אם אתה המשיח, בנו של הקדוש־ברוך־הוא!“
MAT.26_1.64	”אתה אמרת,“ אמר ישוע, ”אבל אני אומר שאתם תראו את בן־האדם יושב לימין האלוהים ובא עם ענני השמים.“
MAT.26_1.65+MAT.26_1.66	הכוהן הגדול קרע את בגדיו וקרא בקול: ”מגדף! איננו זקוקים לעדים נוספים, כולכם שמעתם את דבריו! מה אתם פוסקים?“
MAT.26_1.65+MAT.26_1.66	”מוות!“ הם צעקו. ”מוות! מוות!“ 
MAT.26_1.67	הם ירקו בפניו של ישוע, הכו אותו, סטרו לו על הלחי וקראו: 
MAT.26_1.68	”משיח שכמוך, התנבא לנו! מי הכה אותך הפעם?“
MAT.26_1.69	כשכל זה קרה, פטרוס ישב בחצר הבית. לפתע עברה לידו משרתת וקראה: ”גם אתה היית עם ישוע מהגליל!“
MAT.26_1.70	אולם פטרוס הכחיש את דבריה בקול: ”מה פתאום? אני בכלל לא יודע על מה את מדברת!“
MAT.26_1.71	מאוחר יותר נערה אחרת ראתה אותו ליד השער, ואמרה לאנשים סביבה: ”גם הוא היה עם ישוע מנצרת!“
MAT.26_1.72	פטרוס שוב הכחיש את הדבר: ”אני נשבע שאני אפילו לא מכיר את האיש הזה!“
MAT.26_1.73	כעבור זמן מה ניגשו אליו האנשים שעמדו שם ואמרו: ”אנחנו יודעים שאתה אחד מתלמידיו; המבטא הגלילי שלך מסגיר אותך!“
MAT.26_1.74	פטרוס החל לקלל ונשבע: ”אינני מכיר את האיש!“ באותו רגע קרא התרנגול, 
MAT.26_1.75	ופטרוס נזכר בדברי ישוע: ”לפני שיקרא התרנגול תתכחש לי שלוש פעמים.“ הוא יצא מהחצר ומירר בבכי.
MAT.27_1.1	לפנות בוקר שוב התכנסו ראשי הכוהנים וזקני העם, כדי להתייעץ כיצד לשכנע את המושל הרומאי להוציא את ישוע להורג. 
MAT.27_1.2	הם כבלו אותו ושלחו אותו לפילטוס, המושל הרומאי. 
