MRK.1.1	Weni na Yesu Keriso, Meimeituwa natuna, Varana Beibeina ikarei.
MRK.5.22	Koroto sago ipiti kuriya, kana wava na Jairus, dam Jiu asi vibeyebeyena numana kana toukoyagha. Maranai Yesu ikitai na kae kunukununai isoru kai tupunai 
MRK.5.23	ma ivi weno kuriya, “Natuku esirasiraghe. Ke piti da imam ku tepana kwa terei da ini damiya ma ina yawasa.” 
MRK.5.24	Vagheina ma Yesu meiteni inae. Numaduba na iwagisei ma ivivi vo duduwana.
MRK.5.25	Wavine sago nani, nawaravi iveiya da madegha 12 ikovi. 
MRK.5.26	Ina mane bunama ravasi kurisi ine yavu, ma nuke ivovo kwarakwara make iya kovokovoghina da kana gubaga iti yawasi, ma kana gubaga na irakarakata. 
MRK.5.27+MRK.5.28	Yesu ipitipiti na varana ivi yanei ma touna mani ivavo, “Mike da ana nae ma kana gara kava ana votovonisi na ana yawasa.” Vagheina ma numaduba pousi yai itasonagha ighe da kana gara ivo tovonisi. 
MRK.5.29	Mara sago kava tara vuru ivoterei ma damina iveiya da kana gubaga ikovi. 
MRK.5.30	Mara sago kava Yesu damina iveiya da maragata ikasibu kuyowei ma numaduba sanasi yai imeira tavirei ma ivavo, “Iyai kaku gara ivotovonisi?”
MRK.5.31	Ina touvotaghotagho ikiya, “Ku kitai da numaduba ivo duduwana ma ku vavo da ‘Iyai ivo tovoniku?’” 
MRK.5.32	Bade Yesu ikita negwanegwa, da ita kitai iyai ivo tovoni.
MRK.5.33	Wavine iyabumana ma ikirokiroro, bade isakovi da avai itupuwa kuriya. Nuke ma ipiti Yesu maghinonai kaetupina irutonai ma bera tupana yavu iki bubuni. 
MRK.5.34	Bade Yesu ivavo ikiya, “Natuku, ku tumetumeku, kubina na kuyawasa. Kam gubaga ikovi. Ere nuwa beibeim ke nae.”
MRK.5.35	Kara kava ivivi sisiya, ma wasawasa Jairus ina numai isegha ma ivi sisiya kurina, “Natum kana mara ikovi. Avikubina Bada ki teina viravirai?”
MRK.5.36	Yesu asi sisiya ivi yana kuyowei ma ikiya, “Am nota iya ina soruwei, ke tumetumeku.” 
MRK.5.37	Pita, Jems ma varesina Jon, Yesu ikasiveinisi — rava iya iyai iti vagheinei da tousi meiteni ita nae. 
MRK.5.38	Jairus ina ku numa isegha, ma Yesu rava damsi ikitasi ivivi toutouwana ma ighaghagharisi, 
MRK.5.39	ine rui ma ivi sisiya kurisi, “Avai kovi nuwaboyei na koi toutouwanei? Pipiya kiki iya ita siraghe — ekenakena wota.”
MRK.5.40	Tousi ivi namei, touna kubina ivi kitawayanesi ikasibau ma pipiya kiki ina maduwa, ina mamai ma ina touvotaghotagho asi vi aroba kava iveinisi, ma ku papayaragha irui pipiya kiki ma ikenakena. 
MRK.5.41	Imana iveiya ma ivi sisiya kurina, 
MRK.5.42	Mara sago kava ivomeiri ma yawara ivi karei. Kana madegha na 12. Tousi ivi deiyena kavakavai. 
MRK.5.43	Yesu iki kiraki yesi da iya rava sago ina kiya, ma ikisi, “Vavai ko verei ina kam.”
MRK.6.1	Yesu ma ina touvotaghotagho nani dobuna ine kuyowei ma ivovira meme ina ku meyagi Nasaret. 
MRK.6.2	Sabati* yai touna giu dam Jiu asi vibeyebeyena numanai ivi karei. Rava damsi nani, maranai ivi yanei na ivi deiyei. Tousi mani ivi tupavire yana vivira, “Touna nuwasuyasuya ma iveiya? Ma ikimakava da inuwasuyasuya sasara? Ma, ikimakava aniba berasi eberaberasi?” 
MRK.6.3	Ivi ki daguwana vivira, ma ivavo, “Touna na kamda kava, ta vavo bubuna bo? Mary natuna, ma varevaresina Jems, Joseph, Judas ma Saimon. Ma novunovuna na wa ta makemake yavuyavu, ta bo?” Nuke kubina inuwakapi yei ma iya ita tumetumei.
MRK.6.4	Yesu ivi sisiya kurisi, “Rava Meimeituwa ina kikiverena* dobu yavu sinesi yai na ivo vivirei, ma ina meyagi wosinai, ina tupuwa ma ina dam asi vivira gwabinai na kegha.” 
MRK.6.5+MRK.6.6	Touna kubina iya kovokovoghina da aniba berasi nani dobunai ita berasi, imana kava rava visana gubagubagisi ku tepasi iterei ma ivi yawasisi. Yesu ivi deiyena sasaresi da asi nota soruwana kubina.
MRK.6.5+MRK.6.6	Ma touna ine rui ma ine kasibau meyagi nununai rava igiugiunisi.
MRK.6.7	Yesu ina touvotaghotagho asi vi 12 ivi ruriyeriyesi ma ivi kita weyanesi ruweruwei yeta ikasibau ku meyagi bogeibogei yeta. Kanuma berosi kurisi vi badana iveresi, 
MRK.6.8	ma sisiya bagibagina iveresi, “Ami yawarai iya avai sago kona veiya ami diwona kava — vavai kegha, koutu kegha, ma mane kegha ami kikiru kamosi yai. 
MRK.6.9	Kae vopapara ko kote, ma iya gara ruwa kona kotei.” 
MRK.6.10	Bade ivavo, “Meni ku meyagisi kona segha, ina ru woremi ma ina koyagha bubunimi, nani numanai kava ko runuma da nani meyagina kona kasibu kuyowei. 
MRK.6.11	Ku meyagi sago kona segha mike da rava ina kayo beromi bo iya ini yanemi, ko ne kuyowesi ma kaemi yapoyapo ko kasi sabusabui. Touna na ini mata kitekitesi, da tousi vara viyanina ibasarei. Meimeituwa tousi ini wavusi, vara viyanina ibasarei kubina!”
MRK.6.12	Nuke ma ikasibau rava ikikisi, “Ami bera bero ko tukuyowei ma Meimeituwa kurina kona taviremi.” 
MRK.6.13	Kanuma berosi ipesari sasara ivi kasibunisi, ma oliv* monamonanai rava gubagubagisi ipesari sasara imumusi ma ivi yawasisi.
MRK.6.14+MRK.6.15+MRK.6.16	Rava yavu na Yesu ivivi sisiyei, ma yavana itete. Rava ruwamtousi ivavavo, “Aniba berasi ibera berasi na vagheina touna Jon Touvitowasamagha*, rava sirasiraghesi sanasi yai iru yawasa meme.” Rava ruwamtousi ivavo, “Touna Elaija — ivoviri meme.” Rava ruwamtousi ivavo, “Touna Meimeituwa ina kikiverena*, kama Meimeituwa ina kikiverena* kununa kava nuke.” Keivavo Herod
MRK.6.17+MRK.6.18+MRK.6.19+MRK.6.20	Weni sisiyakutukutu nana Herod Jon kamyona ikasiyaraghi. Touna itupuwa ma muriyai Yesu ina noya ivi karei. Herod varesina Pilip, kawana isaroi. Nani wavinena kana wava na Herodias. Nani berana murinai, Jon, Herod ikiya vigheiyena evavavo da, “Varesim kawana iya kwa ravaghi,” touna kubina Herod ina toughavighaviya iki tawayesi, ma Jon ikou patupatumi ma ku dibura itawana runi. Herod, Jon ikikiya da ipitipiti ivivi sisiya kuriya, ma bade ivivi nuwa ragharagha kiraki yei, ma ina sisiya viyanina ikayowana kiraki yei. Nani wavinena, Herodias, nuwanuwana ighisi kiraki yei Jon kurina, ma ina kayowana da iti siragheni, ma Herod isakovi da Jon na rava maninina ma vokuwayina, touna kubina na iyabumanei ma ivi tarapaparana kiraki yei. Iyamna touna kubina, nani wavinena iya kovokovoghina Jon iti siragheni.
MRK.6.21	Ina gavogavo ipananai maranai Herod ina tupuwa marana ivivi nuwa bibiyei. Gabeman keikeivavosi, touvighavighaviya babadisi ma Galili keikeivavosi asi kam iberai. 
MRK.6.22	Herodias natuna weivine yoghoyoghona
MRK.6.23	Iki nuwaghani ma ivavo, “Aki nuwaghanim avai kwi bagheku na ana verem, mike da, namanaki da aku keivavo nevanevana na ana verem!”
MRK.6.24	Vagheina wavinena ikasibau ma ina maduwa ivi baghai, “Avai ani baghei?” Ina maduwa ikipotei ma ivavo, “Jon Touvitowasamagha* tepapuna.” 
MRK.6.25	Mara sago kava wavinena ita virei, yaghiyaghina kavakava irui keivavo kurina ma ikiya ma ivavo, “Aku kayowana na karako tete wosina Jon Touvitowasamagha* tepapuna dabirai kwa vereku.” 
MRK.6.26	Maranai da keivavo nuke ivivi yanei na ivi nuwaboya sasarei, ma kegha da kinuwaghana namada iberai kana yopeyope matasi yai, touna kubina iya kovokovoghina ina vibagha ita basarei, 
MRK.6.27	vagheina ma ina toughavighaviya iki tawayei, ikiya da Jon tepapuna ina piti yei. Koroto ikasibau, dibura ku numana irui, Jon iwana ikasi yaraghi, 
MRK.6.28	ma dabirai tepapuna ipiti yei da wavinena iverei, ma ina maduwa iverei.
MRK.6.29	Maranai Jon ina touvotaghotagho varana ivi yanei, ipiti da tupuwina ikavari ine yei da ku guba* iterei.
MRK.6.30	Yesu ina aposol ivovira meme kurina ma iki vereverei avai tupana yavu iberai ma rava igiunisi. 
MRK.6.31	Rava ipesari sasara ivivi vuruvira kurisi touna kubina Yesu ina touvotaghotagho meiteni asi gavogavo iya ita makemake da ita kam. Touna kubina Yesu ivi sisiya kurisi, “Tami maniduma ko piti. Numaduba tane kuyowesi ma ta nae ku dobu makemake nuwatauna ma ti yamroverove.” 
MRK.6.32	Vagheina ma tousi mani wagai ikasibau da inae ku dobu makemake nuwatauna. 
MRK.6.33	Bade rava ipesari kirakai ikitasi ma ivo modisi vagheina ma rava meyagi nununai ikei vuruvuru magamai kava da nani ku dobuna isegha yaghinina, muriyai ma Yesu ina touvotaghotagho meiteni isegha. 
MRK.6.34	Maranai Yesu wagai ine soru, numaduba ikitasi, kama sipusipu kasi toukoyagha kegha, touna kubina iru wayakapowesi ma ivi karei da bera ipesari kirakai igiunisi.
MRK.6.35	Yabodiri itata virei ma ina touvotaghotagho ipiti kuriya ma ivavo, “Wena dobututu ma yabodiri eyoriyori. 
MRK.6.36	Rava ke kitawayesi ina nae ku kwanatu ma meyagi gwabigwabitai kasi vavai ina gimara.”
MRK.6.37	Bade ikipotesi ma ivavo, “Ko kitasi da avi kona veresi da ina kam.”
MRK.6.37	Ma, ivavo kuriya, “Ku kayokayowei da taki kana nae parawa 200 denarii
MRK.6.38	Ma ivi taraviresi, “Parawa meni patana gwabimi yai? Mede kone kona kitai.”
MRK.6.38	Maranai ipananai, na ivavo, “Parawa meikovi ma tiya ruwa.”
MRK.6.39	Vagheina ma Yesu numaduba ikisi, “Ko make pikami gidagida tepanai damdam nununai.”
MRK.6.40	Vagheina ma damdam nunusi yai imakeni, ruwamtousi 50 ma ruwamtousi 100. 
MRK.6.41	Ma Yesu parawa meikovi ma tiya ruwa iveiya ma ku kunuma itapae, Meimeituwa ivi kaikaiwei ma parawa ivo gimagimasi. Muriyai ina touvotaghotagho parawa ma tiya iveresi ma rava iveresi. 
MRK.6.42	Tupasi yavu ikam da ikam siyouwa, 
MRK.6.43	ma ina touvotaghotagho kamtutura ivi siyasiyago da siripu asi vi 12 ivi tuposi. 
MRK.6.44	Nani vavina na rava 5,000 ivi kaniya.
MRK.6.45	Mara sago kava Yesu ina touvotaghotagho ivo tawayesi ivi nau idamana yawawa* ku nevanevana ku Betsaida ma bade numaduba ikitakitasi da itavo tawayesi. 
MRK.6.46	Ikitasi ine nae, ma muriyai ighe ku koya da iti kawavenoveno. 
MRK.6.47	Nani didibarinai, ina touvotaghotagho wagai yawawa* pounai ma Yesu na tano wai tounamani kava. 
MRK.6.48	Ma ikita da ina touvotaghotagho ikitasi yare ivivi bagei ma ivivi baga, yanunu da tovava ivovo potepotesi. Dididibarinai, muriyai da mara ita tom, ine kasibau kurisi yawawa* tepanai iyawara inenae da ita ne vouresi.
MRK.6.49	Ma ikitai, inotai na kama aruwaruwa ma ivi garagarare yana, 
MRK.6.50	ma ivi kaekirorosi. Bade mara sago kava Yesu ivi sisiya kurisi ma ivavo, “Nuwanuwami etora. Wena taku. Iya kona yabumana!” 
MRK.6.51+MRK.6.52	Ma ku waga igeru, yanunu inuba ma beimara ikena. Maghitepasi ibagibagi ma bera iya ita vomodiya, aniba parawai ikitai ma karakava ina sakovi da ikimakava iberai da parawa ipesari. Touna kubina ivi deiyena sasarei.
MRK.6.53	Yawawa idamani ma ipiti ku dobu Genasaret ma nani dobunai asi waga isaghiri. 
MRK.6.54	Waga ine kuyowei inenae ma rava mara sago kava ivomodiya. 
MRK.6.55	Tousi dobu ivuruvuru bouni, ma meni dobunai ivivi yanei na gubagubagisi nigharai ipitipiti yesi kurina. 
MRK.6.56	Yesu dobu ine yavui, ku kwanatu, meyagi ghamanakisi ma kitikitisi, rava gubagubagisi nani ku dobuna ipitipiti yesi, ma debakei nai itereteresi ma Yesu ivivi baghai, “Ke votereki da kam gara damona kava kana votovoni.” Ma iyavo ivotovoni na ina maragatai iyawasa.
MRK.7.1+MRK.7.2+MRK.7.3+MRK.7.4	Parisi* ma vigheiyena touvibeyebeyena ruwamtousi, ma dam Jiu ipesari sasara asi bera wadubosi ipesari sasara irururusi asi imakiki ma kaekiki yai. Asi purapura tupana yavu, asi muma, asi yokowa siusiu ma asi nau, na ivovo yoyowa bubuna, da weni purapurasi Meimeituwa matanai na beibeina kavakava. Maranai vigimagimara dobunai evovovira, imasi ina vo nura vo yoyowa bubuna kirakiyei ma muriyai ina kam. Marana patapatana kununa imasi kava ina samagha ma muriyai da ina kam, asi imakiki ma kaekiki asi bera wadubosi irururusi. Mara sago Parisi* ma touvibeyebeyena* Mosese ina vigheiyenai Jerusalem yai isoru, ma Yesu imeiri viviri da iti yanei. Ikitai da ina touvotaghotagho ruwamtousi kasi vavai ikamkam ere ima dowadowasi. 
MRK.7.5	Bade ivavo kuriya, “Am touvotaghotagho ere ima dowadowasi ekamkam, Meimeituwa matanai na iya ita beibai. Avikubina aki imakiki ma kaekiki asi bera wadubosi iya ita vovo nunuri?” 
MRK.7.6	Ikipotesi, “Tami meira vireviremi, ko berabera meyemi da tami beibeimi! Kununa kava Meimeituwa ina kikiverena* Aisaiya igiruma na vagheina ivavo bubuna tami kubimi. Weni nuke igirumi,
MRK.7.6	Meimeituwa ivavo, ‘Weni ravasi na ponasi yai kava evovo vivireku,
MRK.7.6	ma nuwanuwasi iya taku gwabiku wai, ma ivi uwama taweyena.
MRK.7.7	Ma tousimani asi bera wadubosi ibeyebeyena ma nuke evavavo tousi berasi na Meimeituwa ina vigheiyena.
MRK.7.7	Touna kubina asi rudune na iyamna kegha.’”
MRK.7.8	Bade Yesu ivavo, “Tami na Meimeituwa ina vigheiyena ko tutu kuyowei ma tamimani ami bera ko rururunisi.” 
MRK.7.9	Ma meiteni ivavo kurisi, “Ko notanotai da ko berabera bubuni maranai Meimeituwa ina vigheiyena ko meimeiri kuputei ma ami bera wadubosi ko rururu bubunisi ami imakiki ma kaekiki yai. 
MRK.7.10	Weni na keta sago, ikimakava kwa berai. Mosese igiruma Meimeituwa ina vigheiyena kamonai, ‘Am mamai ma am maduwa kwa vo viviresi,’
MRK.7.11	Bade tami ko vavavo touna vagheina da rava ina vavo asi maduamau ma mamimau kurisi, ‘Iya kovokovoghina da ana vowagumi. Taku namada avavonuwaghana da Meimeituwa kubina avai tami ata veremi.’ 
MRK.7.12	Ko berasi da asi maduwamau ma mamimau ivi nota wapasi. 
MRK.7.13	Maranai nuke ko berai na tami Meimeituwa ina vigheiyena ko gasiya ma ami bera katamanisi ko rururusi. Ma touna na notanura kava. Ma bera nuke ipesari sasara ko berasi na Meimeituwa ina vigheiyena ko gasiya.
MRK.7.14	Yesu rava iwore meyesi da ipiti kuriya ma ivi sisiya kurisi, “Tupami yavu, aku sisiya ko viyana keimatani ma iyamna kona sakovi. 
MRK.7.15+MRK.7.16	Iya vavai sago rava ekanikaniya erurui ku kawana na ita beraberai da ita dowadowa Meimeituwa matanai. Bade avai sinenai ma avai kawanai ekasi kasibau touna nana eberaberai da rava edowadowa Meimeituwa matanai.”
MRK.7.17	Bade Yesu rava ine kuyowesi ma ku numa sinena irui ma ina touvotaghotagho ivi taravirei, “Meiba iyamna nana avai karakotete wosina kuvi sisiyei na?” 
MRK.7.18+MRK.7.19	Ikipotesi, “Tami meiteni aku sisiya iyamna iya kota sakovi bo? Iya kota sakovi da maranai rava vavai ikaniya, nani vavina na iya ku nuwanuwana ita rui ma irui rava ku kamokamona ma bade tupuwina ina kasibu kuyowei. Touna iya ita berai da ita dowadowa Meimeituwa matanai.” Maranai Yesu touna ivi sisiyei, Touna ivi beyena da vavai bogeibogei na beibeisi Meimeituwa matanai. Iya vavai sago ina berata da ta dowadowa. 
MRK.7.20	Ma bade ivavo meme, “Avai rava sinenai ikasibau touna ina berai da ina dowadowa Meimeituwa matanai. 
MRK.7.21	Weni purapurasi na rava nuwa sinesi yai ekasi kasibau — nota bero, madawara, yapi, visiraghena, virikam, 
MRK.7.22	kam panikowa ma vikwina, aga bero, vibedabeda, viyaraga (ikenei), nuwakapi, viyanuwe, tura ghegheyana, ma kokara. 
MRK.7.23	Weni berasi tupasi yavu rava nuwa sinesi yai ekasi kasibau na rava ebera berasi da edowadowa Meimeituwa matanai.”
MRK.7.24	Vagheina ma Yesu nani meyagina ine kuyowei ma inae dobu Taiya ririvinai ma nani dobunai ku numa sago irui. Iya ina kayowana da rava ita sakovi da touna nani ma iya kovokovoghina da ita kena gavu. 
MRK.7.25+MRK.7.26	Wavine sago ivi yanei da touna nani numa nai ma ipiti kuriya. Weni wavinena na iya Dam Jiu ma touna na dam viruwa. Touna na Fonisiya yai itupuwa, Siriya sinenai. Kanuma berona natuna wavinena ivivi badebadei touna kubina ipiti Yesu kurina maghinonai kaetupinai isoru ma ivivi weno kuriya da kanuma berona natuna sinenai iti kasibuni. 
MRK.7.27	Yesu isakovi da touna na iya Dam Jiu ma touna kubina ivavo kuriya, “Iya ita beibai da didiyoghoyogho kasi vavai kata veiya ma kata tawayei koukou kurisi, kegha da kununa didayoghoyogho ina kam da ina kam siyowa.”
MRK.7.28	Bade wavinena iki pote, “Bada, ku vavo bubuna, bade kegha, da koukou kepakepa gaburinai kam ririgha ina kam, touna kubina vagheina kwa vowaguku.”
MRK.7.29	Bade ivavo kuriya, “Ere tumetumem ku kipoteku kubina, kanuma berona natum wai avi kasibuni. Ke vovira am ku numa.” 
MRK.7.30	Vagheina ma ivovira ina ku numa natuna ina kepanai ikenakena na ikitai. Kanuma berona namada ikasibu kuyowei.
MRK.7.31	Yesu dobu Taiya ine kuyowei ma ighai dobu Saidon ku pouna. Bade inae ku Galili yawawina ma Dekapolis* ineneni. 
MRK.7.32	Ma nani dobunai rava koroto teina potapotana ma iyai iya ita vivi sisiya bubuna, iru teina piti yei ma Yesu ivi baghai da imana ku tepana ita terei da iti yawasi. 
MRK.7.33	Yesu, korotona ikasivei seirei ma asi viruwa rava ine seiresi ma ima kivinai koroto ku teinina isusuri ma bade imana isovai ma koroto pepana ivotovoni. 
MRK.7.34	Ku mara itepa, koroto iru wayakapo wei iyayagha vutuwa ma ivavo bo, 
MRK.7.35	Mara sago kava koroto teinina irubouni, pepana papara ivi karei ma ivivi sisiya kamowa. 
MRK.7.36	Bade Yesu ivi ghaiyesi da iya rava ruwamtousi ina kisi avai itupuwa. Ma touna nuke iki kiraki yesi, ma Yesu ponana iya iti yanei, tousi rava ipesari kirakai ivivi segheseghesi ikimakava koroto teina potapotana ma kawa potapotana ivi yawasi. 
MRK.7.37	Maranai rava sisiya nuke ivi yanei tousi ivi deiyena sasarei ma ivavo bo, “Touna bera tupana yavu eberaberai na beibeina kavakava. Rava tina potapotasi iyawasisi da iyana ma rava kawa potapotasi na ini sisiya.”
MRK.8.1	Nani maranai, rava ipesari sasara iriye meyesi. Numaduba nana iya ere vavisi, touna kubina Yesu ina touvotaghotagho ighoresi kurina ipiti, ma ivi sisiya kurisi, 
MRK.8.2	“Numaduba na taku meiteni ka make yavuyavu da mara aroba ikovi, ma tousi na vavai kegha, touna kubina avi nuwaboyesi. 
MRK.8.3	Mike da ana kitawayesi asi ku numa ere kam siraghesi, kara ketaki yai matanenerina ina pananai. Ma bade ruwamtousi na uwamai ipiti.” 
MRK.8.4	Ina touvotaghotagho ikipotei ma ivavo bo, “Weni dobunai na rava iya ita makemake, touna kubina parawa meni dobunai ta veiya ruvaruvana da weni ravasi ina kam siyowa?” 
MRK.8.5	Bade Yesu ivi taraviresi, “Parawa visa gwabimi yai?” Tousi ivavo bo, “Parawa meikovi ma kumaneva ruwa.”
MRK.8.6	Vagheina ma Yesu numaduba ikisi da imake pikasi. Parawa meikovi ma kumaneva ruwa iveiya ma Meimeituwa ivi kaikaiwei, bade parawa ivo gimagima, ma ina touvotaghotagho iveresi da numaduba ita rereghisi, ma ina touvotaghotagho rava irereghisi. 
MRK.8.7	Bade nuke tousi tiya yoghoyogho visana kava gwabisiyai, ma touna Meimeituwa ivi kaikaiwei tiya kubina ma ina touvotaghotagho ikisi da numaduba ina veresi. 
MRK.8.8	Vagheina ma rava tupasi yavu ikam, da ikam siyowa. Ma bade nuke kam toutoura irakata kirakai imake terei; touvotaghotagho siripu asi vi 7 kam toutoura ivi tuposi. 
MRK.8.9	Nama rava 4000 nuke. Muriyai Yesu ivotawayesi asi ku numa inae. 
MRK.8.10	Mara sago kava, Yesu ku waga igeru ina touvotaghotagho meiteni, ma inae ku dobu Dalmanuta.
MRK.8.11	Parisi ruwamtousi ipiti ma Yesu ivivi ghe viravirai. Asi kayowana da Yesu ita rubui, touna kubina ivi taravirei da matakira Meimeituwai iti beyesi, da tousi iti tumetumei da aniba berasi Meimeituwai epitipiti.
MRK.8.12	Yesu nuwa sinenai kanumina isoruwana sasarei, ma ivavo bo, “Avikubina tami weni damna karako koi taravira matakira Meimeituwai? Akimi, kara iya meyana da tami matakira ana berai da kona kitai.”
MRK.8.13	Bade Yesu ma ina touvotaghotagho meiteni Parisi* ine kuyowesi ma ku waga igeru, idamana Galili yawawina ku nevana.
MRK.8.13	Bade Yesu ma ina touvotaghotagho meiteni Parisi* ine kuyowesi ma ku waga igeru, idamana Galili yawawina ku nevana. Kubina.
MRK.8.14	Ma touvotaghotagho nuwanuwasi iwapa da parawa ita veiya, ma parawa sago kava wagayai ma iya avai sago. 
MRK.8.15	Yesu iki kiraki yesi ivavo bo, “Ko kita ruvami da Parisi* ma Herod asi ist iya ina waromi.”
MRK.8.16	Touvotaghotagho ivitarapiri vivira nani sisiyina Yesu ivavavoweina, “Touta parawa iya kata pitiyei kubina na ist isisiyei.”
MRK.8.17	Yesu namada isakovi da tousi avai ivivi sisiyei kubina ivi tarakasiyanesi, “Avai koi nuwaboyei ma ko vavavo da parawa kegha? Agunai tami karakavanaki kona sakova kamowiku. Maghitepami ibagibagi ghagha! 
MRK.8.18	Matami emakemake ma iya kota kitakita bubuna! Tinimi emakemake ma iya kota viviyana bubuna! 
MRK.8.19	Konotai bo kegha ikimakava parawa asi vi meikovi avogimagimasi ma arereghisi rava 5000 kubisi? Ma nani imakemake teresi na siripu asi vivisa kovi tuposi?”
MRK.8.19	Ma ikipotei, “Siripu asi vi-12.”
MRK.8.20	Ma Yesu ivi taravira meyesi, “Ma maranai parawa meikovi ma kumaneva ruwa avogimagimasi ma arereghisi rava 4000 kubisi ma maketeresi siripu visa kovi tuposi?”
MRK.8.20	Ma ikipotei, “Siripu meikovi ma kumaneva ruwa.”
MRK.8.21	Yesu ivavo bo, “Tami karakava da kona sakoviku bo?”
MRK.8.22	Maranai Yesu ma ina touvotaghotagho ipiti ku Betsaida meyagina, nani dobunai rava ruwamtousi koroto matapotapotana ikasiveiya ipiti yei Yesu kurina ma ivi baghai da ita votovoni ma iti yawasi. 
MRK.8.23	Yesu koroto matapotapotana imana iveiya ma iruteni da meyagi ikasibu kuyowei. Vagheina ma koroto matana isovai ma imana ku matana iterei ma ivi taravirei, “Avai kekitakitai bo kegha?”
MRK.8.24	Koroto ikita, ma ivavo bo, “Rava akitakitasi na kama keyama ita vivi yawayawareyana.”
MRK.8.25	Bade Yesu imana koroto ku matana itere meyei ma ikita uwara ma iyawasa ma bera tupana yavu iruyaghari.
MRK.8.26	Yesu ikiya bo, “Iya ku meyagi kwavovira meme, maninina kenai am ku numa.”
MRK.8.27	Vagheina Yesu ma ina touvotaghotagho inae ku meyagi ruwamtousi Sisiriya Pilipai meyagina ghamanakina ririvinai. Ketaki yai iyawara inenae ma Yesu ina touvotaghotagho ivi taraviresi, “Rava ikima inuwanotenotei, da taku na iyai?”
MRK.8.28	Tousi ikipotei, “Rava ruwamtousi evavavo da tam na Jon Touvitowasamagha, rava sirasiraghesi sanasi yai ivovira meme, ruwamtousi evavavo da tam na kikiverena Elaija ivovira meme, ma ruwamtousi evavavo tam na Meimeituwa ina kikiverena kununa kava nuke.”
MRK.8.29	Bade ivi taraviresi, “Ma tami, kovavavo da taku iyai?”
MRK.8.29	Pita ikipotei, “Tam na Keriso, Meimeituwa ina vinevine, Touviyawasa!” 
MRK.8.30	Bade Yesu ikisi da iya iyai ina kiya da touna Keriso.
MRK.8.31	Bade Yesu ivi karei da ina touvotaghotagho ini beyebeyesi. Ivavo bo, “Taku, Koroto Keimatana*, kara ana keivowavowa sasara. Ma babada, Prist babadisi, Mosese ina vigheiyena touvibeyebeyena* ravasi ina basareku. Kaku ghaviya ini siragheniku ma mara aroba murinai ma ana vomeiri meme.” 
MRK.8.32	Yesu weni berasi yagharinai ivivi sisiyesi touna kubina Pita Yesu irutenaviviri ma yeghana ivikarei.
MRK.8.33	Bade Yesu itavirei ina touvotaghotagho ikitasi ma Pita iyeghai, “Seitan kene kuyoweku! Tam iya kuta vivi nuwanotanota Meimeituwa ina ku nota ma rava asi ku nota kenotanota.”
MRK.8.34	Bade Yesu numaduba ma ina touvotaghotagho iworesi ipiti kurina ma ivi sisiya kurisi, “Mike da rava sago ina kayowei ina wagiseku na ina kayowana tupana yavu kumurina ina terei ma kana korosi ina kavari ma ina wagiseku.
MRK.8.35	Iyai ina kayowana ina yawasa ina votani, touna yawasa keimatana ini wapai, bade iyai ina kayowana ina yawasa ina basarei taku ma varaku beibeina kubina, na touna yawasa keimatana ina pananai. 
MRK.8.36	Mike da rava iyai weni dobuna yawasina beibeina ina votani, ma yawasa keimatana ini wapai, nani berasi tupasi yavu kara iya ina vowagui. 
MRK.8.37	Mike da rava ina yawasa keimatana ini wapai na kara iya kovokovoghina ina gimara meyei. 
MRK.8.38	Rava iyavo karako emakemake na kama rava iya patupatutusi ma tousi bera berosi eberaberasi. Iyai karako taku ma varaku ini pupuwei, nuke taku, Koroto Keimatana*, touna ani pupuwei. Weni touna ina tupuwa maranai ana vovira meme ku dobu aku mamai ina borumai ma ina aneya vokuwayisi meiteni.”
MRK.9.1	Bade Yesu ivavo kurisi, “Taku sisiya keimatana akikimi, tami ruwamtumi weni, na kununa Meimeituwa epitipiti ina rava ina koyaghisi ere maragasina na kona kitai ma muriyai kona siraghe.”
MRK.9.2	Mara meikovi ma kumaneva sago murinai Yesu Pita, Jems, ma Jon tousi kava ikasi veinisi ighae koya gheghena ku tepana, ma na Yesu kitakitana itawanavirei tousi matasi yai. 
MRK.9.3	Kana gara na ivi mata kamokamota sasara. Iya iyai weni dobunai gara ina tinasuwaghi na ina ghavora nuke. 
MRK.9.4	Vagheina Elaija ma Mosese iruseghana ma Yesu meiteni ivivi sisiya.
MRK.9.5+MRK.9.6	Touvotaghotagho asi viaroba na iyabumana sasara, ma Pita iya ita sakovi da avai ini sisiyei, touna kubina Yesu kurina weni nuke ivi sisiya, ivavo bo, “Bada, ibeibai da touta weni dobunai. Taki vada asi viaroba kana yamoni, sago tam kubim, sago Mosese kubina ma sago Elaija kubina.”
MRK.9.7	Bade ghuva iruseghana ma iruputanisi ma ghuva sinenai Meimeituwa ivi sisiya, ivavo bo, “Wena natuku aku nuwayuyuna. Koviyanei!” 
MRK.9.8	Mara sago kava touvotaghotagho ikita kwavikwaviviro ma iyaiyai sago ita kitai, Yesu kava.
MRK.9.9	Maranai Yesu ma ina touvotaghotagho asi viaroba koyai isorusoru, ma Yesu iki yapakesi, “Avai kokitai na iya rava sago kona kiya. Taku Koroto Keimatana* siragheyai ina vomeiri ma muriyai da rava kona kisi.”
MRK.9.10	Vagheina ma tousi iya rava sago ita kiya ma tousi mani ivi tupa vireyana meyesi, “Bade siragheyai ina vomeiri meme isisiyei na iyamna avai?”
