GEN.1.1	I acakki piny Lubaŋa oketo polo ki lobo. 
2KI.13.20	Elica oto woko, ci giyiko. I kare-nu buca mony pa jo Moab bi no ka monyo lobo i dog oro, mwaka ki mwaka. 
2KI.13.21	Ci i kare ma gitye ka yiko laco mo, nen, buca mony pa luyak otuc, ci kom dano muto-ni gibolo i lyel pa Elica. Ka kom dano-nu ogudo cogo pa Elica, ci ocer woko, ocuŋ ki tyene.
2KI.13.22	Kabaka Kajael me Ciria obedo ka uno jo Icrael i kare ducu me loc pa Yekoakaj. 
2KI.13.23	Ento Rwot onyuto berre botgi kun kica omake i komgi, ci olokke odwogo tuŋ botgi pi gicikkene ma yam oketo ki Abraim, ki Icaka ki Yakobo, pe omito tyekogi woko; pe obayogi woko ki i nyime nio wa onyoo.
2KI.13.24	Ka yam Kajael kabaka me Ciria oto, ci wode Ben-adad odoko kabaka kun oleyo ka tyene. 
2KI.13.25	Ka Yekoac wod pa Yekoakaj omayo gaŋi ki i cin Ben-adad wod pa Kajael, gin gaŋi ma Kajael yam oyako ki bot wonne Yekoakaj ki mony-nyi. Yoaci obedo ka lweny i kome ci oloyo en tyen adek, ci odwoko gaŋi pa Icrael woko cen.
2KI.14.1	I mwaka me aryo me loc pa Yoaci wod pa Yoakaj kabaka me Icrael, en aye Amajia wod pa Yoaci kabaka me Icrael ocako iye loc. 
2KI.14.2	Ocamo ker ma mwaka me ditte oromo pyeraryo wiye abic, ci obedo ka loc pi mwaka pyeraryo wiye aboŋwen ki i Jerucalem. Minne nyiŋe Yekoadin me Jerucalem. 
2KI.14.3	En obedo ka tiyo gin ma nen atir i wan Rwot, ento pe obedo rom ki kwarone Daudi; en obedo ka tiyo gin ducu kit ma wonne Yoaci yam obedo ka tiyone. 
2KI.14.4	Ento wan jogi ma i wi godi pe omukogi woko; lwak pud gumedde ka tumo gitum ki waŋo odok eceta i wan jogi ma i wi godi. 
2KI.14.5	Ka kerre doŋ omoko, ci oneko luticce woko ma yam guneko wonne-ni. 
2KI.14.6	Ento pe oneko litino pa lunek-ki, kit macalo gicoyo i buk me cik pa Moses, ka ma yam Rwot ociko ni, “Won latin pe gibineko pi bal pa wode, nyo latin pi bal pa wonne; ento dano acel acel bito pi balle kikome.”
2KI.14.7	En yam onekojo Edom ma giromo alip apar ki Lnota me kado, ka oloyo Cela ki mony, ocako lwoŋo ni Jokteel, ci obedo nyiŋe nio wa onyoo.
2KI.14.8	Dok Amajia ocwalo lukwena bot Yekoac ma wod pa Yekoakaj, wod pa Yeko, kabaka me Icrael, kun wacce ni, “Bin wek wacam co wanenne waŋ ki waŋ.” 
2KI.14.9	Yekoakaj odwoko lok bot Amajia kabaka me Juda ni, “Yam okuto mo ma i wi Lebanon ocwalo kwena bot yat cedar me Lebanon kun wacci, ‘Miya nyari wek anyom ki woda.’ Ci lee tim mo me Lebanon ma owok ki kunnu onyono okuto piny. 
2KI.14.10	In iloyo Edom ada, ci omiyo wii opii mada. Bed ki deyo meno rommi, ci ibed kwede wa i paconi. Piŋo irobo dog dano me kelo ayela i komi, miyo ipoto wa ki Juda kacel kwedi?”
2KI.14.11	Ento Amajia pe owinyo. Omiyo Yekoakaj kabaka me Icrael ocito, ci en ki Amajia gucamo co gunenne kekengi i lweny i Bet-cemec, ma gaŋ me Juda. 
2KI.14.12	Icrael ocako loyo Juda, ci dano acel acel oriŋo woko i pacone.
2KI.14.13	Yekoac kabaka me Icrael omako Amajia kabaka me Juda wod pa Yekoac ma wod pa Akajia ki i Bet-cemec, ka ocito wa i Jerucalem ci omuko cel me Jerucalem ma romo yadi miya aryo kulu, nia ki i dogcel pa Epraim nio kwede wa i dogcel ma i twok gaŋ. 
2KI.14.14	Oyako jabu ki ryal ducu ki atabo-gu ducu ma onoŋo i ot pa Rwot, ki i ot kano lim ma i ot pa kabaka, kacel ki jo ma gimako me akoka, ci odok kwede wa i Camaria.
2KI.14.15	Lok kom Yekoac mudoŋŋe ducu ma en otiyo, ki tekke ducu, ki kit ma yam olwenyo kwede ki Amajia kabaka me Juda, gityeko coyone i buk me Tekwaro pa Luker me Icrael. 
2KI.14.16	Yekoac oto, oywe kacel ki kwarine, ci giyiko i Camaria kacel ki luker me Icrael. Wode Jeroboam aye oleyo ka tyene.
2KI.14.17	Ka Yekoac kaba ka me Icrael oto, ci Amajia kabaka me Juda koŋ dok obedo kwo mwaka apar wiye abic. 
2KI.14.18	Lok kom Amajia mudoŋŋe ducu gityeko coyone i buk me Tekwaro pa Luker me Juda. 
2KI.14.19	Jo mogo gucako piro lok i kom Amajia ki i Jerucalem, ci olwi oriŋo woko i Lakic. Ento gucwalo dano i kore wa i Lakic, ci gineke woko ki kunnu. 
2KI.14.20	Gukelo kome ki aguragura, ci giyiko i Jerucalem kacel ki kwarine i gaŋ kal pa Daudi. 
2KI.14.21	Ci lwak ducu ma i Juda gutiŋo Ajaria
2KI.14.22	En aye ogero Elat ka odwoko cen bot Juda ki i ŋe to pa kabaka, ma doŋ oywe kacel ki kwarine.
2KI.14.23	I mwaka me apar wiye abic me loc pa Amajia wod pa Yoaci kabaka me Juda, en aye Jeroboam wod pa Yoaci kabaka me Icrael ocako iye loc ki i Camaria, ci obedo ka loc pi mwaka pyeraŋwen wiye acel. 
2KI.14.24	Obedo ka tiyo gin ma nen marac i waŋ Rwot; pe obwoto lubo lwak bal pa Jeroboam wod pa Nebat, ma en omiyo jo Icrael bene gubalo-ni. 
2KI.14.25	En odwoko waŋ lobo Icrael kit ma yam tye-ni cakke ki i yo ma donyo i Kamat nio kwede wa i nam ma i Araba, kit macalo Rwot Lubaŋa pa Icrael yam owaco, ma oloko ki i dog laticce lanebi Yona wod pa Amittai, ma gaŋŋe Gat-keper. 
2KI.14.26	Pien Rwot onoŋo oneno atwom pa jo Icrael odoko kec twatwal, pien ŋatti mo pe odon kunnu, kadi opii nyo anywalli, dok lakony Icrael mo bene peke. 
2KI.14.27	Ento Rwot pe yam owacci ebijwayo nyiŋ Icrael woko ki piny i te polo, omiyo olarogi ki ciŋ Jeroboam wod pa Yoaci.
2KI.14.28	Lok kom Jeroboam mudoŋŋe ducu, ki gin ma otiyo ducu, ki tek mere ducu, ki kit ma yam olwenyo kwede, ki kit ma yam odwoko kwede Damaciko ki Kamat i lobo Icrael, ma onoŋo yam koŋ gubedo i ciŋ Juda, gityeko coyone i buk me Tekwaro pa Luker me Icrael. 
2KI.14.29	Ci Jeroboam oto, oywe kacel ki kwarine; wode Jekaria aye oleyo ka tyene.
2KI.15.1	I mwaka me pyeraryo wiye abiro me loc pa Jeroboam kabaka me Icrael en aye Ajaria wod pa Amajia, kabaka me Juda, ocako iye loc. 
2KI.15.2	Ocamo ker ma mwaka me ditte romo apar wiye abicel, ci obedo ka loc ki i Jerucalem pi mwaka pyerabic wiye aryo. Minne nyiŋe Yekolia me Jerucalem. 
2KI.15.3	Obedo ka tiyo gin ma nen atir i waŋ Rwot, kun lubo gin ducu ma yam wonne Amajia otiyo. 
2KI.15.4	Kadi bed kumeno, wan jogi ma i wi godi pe omukogi woko; lwak pud gumedde ki tumo gitum ki waŋo odok eceta i waŋ jogi ma i wi godi. 
2KI.15.5	Rwot ocako pwodo kabaka, ci odoko la dobo nio wa i nino me tone, kun bedo i ot ka ikene. Yocam ma wod pa kabaka aye obedo ladit ma loyo ode, kun loyo kwede lwak ma i lobo meno. 
2KI.15.6	Lok kom Ajaria mudoŋŋe ducu, ki gin ducu ma yam otiyo, gityeko coyone i buk me Tekwaro pa Luker me Juda. 
2KI.15.7	Ajaria oto, oywe kacel ki kwarine, ci giyiko kacel ki kwarine i gaŋ kal pa Daudi. Yocam ma wode aye oleyo ka tyene.
2KI.15.8	I mwaka me pyeradek wiye aboro me loc pa Ajaria kabaka me Juda en aye Jekaria wod pa Jeroboam ocako loyo iye jo Icrael ki i Camaria pi dwe abicel. 
2KI.15.9	En obedo ka tiyo gin ma nen marac i waŋ Rwot, kit ma yam kwarine gutiyo. Pe obwoto lubo kit bal pa Jeroboam wod pa Nebat, ma en omiyo jo Icrael bene gubalo-ni. 
2KI.15.10	Calum wod pa Jabec ocako piro lok i kome, ci ocobo oreto woko piny ki i Ibleam, oneke woko, ci odoko kabaka ma kakare. 
2KI.15.11	Lok kom Jekaria mudoŋŋe ducu, nen, gityeko coyone i buk me Tekwaro pa Luker me Icrael. 
2KI.15.12	Man aye lok ma Rwot yam owaco ki Yeko ni, “Likwayi gibibedo i wi komker me Icrael nio wa i yalwak me aŋwenne”, ci otimme kit meno.
2KI.15.13	Calum wod pa Jabec ocako loc i mwaka me pyeradek wiye aboŋwen me loc pa Ujia kabaka me Juda, ci obedo ka loc pi dwe acel ki i Camaria. 
2KI.15.14	Lacen Menakem wod pa Gad oa ki i Tiŋa, obino i Camaria, ci ocobo Calum wod pa Jabec ki i Camaria oreto woko piny, oneko woko, ci odoko kabaka ma kakare. 
2KI.15.15	Lok kom Calum mudoŋŋe ducu, ki lok ma en opiro, nen, gityeko coyone i buk me Tekwaro pa Luker me Icrael. 
2KI.15.16	I kare meno Menakem ojwero gaŋ me Tapua woko, ki jo ma gibedo iye ducu, ki lobo ma i ŋete, nia wa i Tiŋa; pien pe guye yabo doge wek en odony, mumiyo en ojwero woko, kun ryeko i mon ducu ma kunnu ma gitye ki ic.
2KI.15.17	I mwaka me pyeradek wiye aboŋwen me loc pa Ajaria kabaka me Juda, en aye Menakem wod pa Gad ocako iye loyo jo Icrael, ci obedo ka loc pi mwaka apar ki i Camaria. 
2KI.15.18	En obedo ka tiyo gin ma nen marac i wan Rwot; i kare me kwone ducu pe obwoto lubo kit bal pa Jeroboam wod pa Nebat, ma en omiyo jo Icrael bene gubalo-ni. 
2KI.15.19	Ci Pul kabaka me Aciria obino ka monyo lobo; ci Menakem omiyo bot Pul ryal ma romo talanta alip acel, wek okonye pi miye tek me moko kerre maber. 
2KI.15.20	Lim meno Menakem ojogo ki bot jo Icrael ma lulonyo ducu, kun ŋat acel acel oculo cekel me ryal pyerabic me amiya bot kabaka me Aciria, omiyo kabaka me Aciria odok cen, pe obedo i lobo. 
2KI.15.21	Lok kom Menakem mudoŋŋe ducu, ki gin ducu ma yam otiyo, gityeko coyone i buk me Tekwaro pa Luker me Icrael. 
2KI.15.22	Menakem oto, oywe kacel ki kwarine, ci wode Pekakia aye oleyo ka tyene.
2KI.15.23	I mwaka me pyerabic me loc pa Ajaria kabaka me Juda en aye Pekakia wod pa Menakem ocako iye lo yo jo. Icrael, ci obedo ka loc pi mwaka aryo. 
2KI.15.24	En obedo ka tiyo gin ma nen marac i wan Rwot, pe obwoto lubo kit bal pa Jeroboam wod pa Nebat, ma en omiyo jo Icrael bene gubalo-ni. 
2KI.15.25	Ci Peka wod pa Remalia ma ladit, pa askarine ocako piro lok i kome, kacel ki jo pyerabic me Gilead, ci oneko en woko i Camaria, ki i gogo me ot pa kabaka, ci odoko kabaka ma kakare. 
2KI.15.26	Lok kom Pekakia mudoŋŋe ducu, ki gin ma yam otiyo ducu, nen, gityeko coyone i buk me Tekwaro pa Luker me Icrael.
2KI.15.27	I mwaka me pyerabic wiye aryo me loc pa Ajaria kabaka me Juda, en aye Peka wod pa Remalia ocako iye loyo jo Icrael, ci obedo ka loc pi mwaka pyeraryo. 
2KI.15.28	Obedo ka tiyo gin ma nen marac i wan Rwot; pe obwoto lubo kit bal pa Jeroboam wod pa Nebat, ma en omiyo jo Icrael bene gubalo-ni.
2KI.15.29	I kare pa Peka kabaka me Icrael, en aye Tiglat-Pilecer kabaka me Aciria obino ci omako gaŋi magi, Ijon, Abel-bet-maaka, Janoa, Kedec ki Kajor kacel ki Gilead, Galilaya ki lobo Naputali ducu; ci oyako dano oterogi i opii wa i Aciria. 
2KI.15.30	Kocea wod pa Ela opiro lok i kom Peka wod pa Remalia, ci ocobo oreto woko piny, oneko woko, odoko kabaka ma kakare, i mwaka me pyeraryo me loc pa Yocam wod pa Ujia. 
2KI.15.31	Lok kom Peka mudoŋŋe ducu, ki gin ducu ma yam otiyo, nen, gityeko coyone i buk me Tekwaro pa Luker me Icrael.
2KI.15.32	I mwaka me aryo me loc pa Peka wod pa Remalia, en aye Yocam wod pa Ujia kabaka me Juda ocako iye loc. 
2KI.15.33	Ocamo ker ma mwaka me ditte pyeraryo wiye abic, ci obedo ka loc i Jerucalem pi mwaka apar wiye abicel. Nyiŋ minne Yeruca ma nya pa Jadok. 
2KI.15.34	En obedo ka tiyo gin ma nen atir i wan Rwot, kun lubo gin ducu ma yam wonne Ujia otiyo. 
2KI.15.35	Kadi bed kumeno, wan jogi ma i wi godi pe omukogi woko; lwak pud gumedde ka tumo gitum ki wano odok eceta i wan jogi ma i wi godi. En ogero doggola ma malo me ot pa Rwot. 
2KI.15.36	Lok kom Yocam ducu, ki gin ducu ma yam otiyo, gityeko coyone i buk me Tekwaro pa Luker me Juda. 
2KI.15.37	I kare meno Rwot ocako cwalo Rejin kabaka me Ciria kacel ki Peka wod pa Remalia ka monyo Juda. 
2KI.15.38	Yocam oto, oywe kacel ki kwarine, ci giyiko kacel ki kwarine i gaŋ kal pa kwarone Daudi. Wode Akaj aye oleyo ka tyene.
2KI.16.1	I mwaka me apar wiye abiro me loc pa Peka wod pa Remalia, en aye Akaj wod pa Yocam kabaka me Juda ocako iye loc. 
2KI.16.2	Akaj ocamo ker ma mwaka me ditte pyeraryo, ci obedo ka loc i Jerucalem pi mwaka apar wiye abicel. Pe obedo ka tiyo gin ma nen atir i wan Rwot Lubaŋane, kit ma kwarone Daudi yam otiyo-ni, 
2KI.16.3	ento obedo ka lubo kit pa luker me Icrael. En bene omedo ki waŋo wode me gityer, kun lubo kwede tim me kwer pa rok mukene ma Rwot yam oryemogi woko ki i nyim jo Icrael. 
2KI.16.4	En obedo ka tumo gitum ki waŋo odok eceta i waŋ jogi ma i wi godi, ki i wi cere, ki i waŋ ayweya ducu ma pote oluk-gu.
2KI.16.6	I kare meno kabaka me Edom odwoko Elat i te loc me Edom, ka oryemo Lujuda woko ki i Elat; ci jo Edom gucako bino i Elat, gubedo iye nio wa onyoo. 
2KI.16.7	Akaj ocako cwalo lukwena bot Tiglat-pilecer ma kabaka me Aciria kun wacci, “An laticci, dok an a wodi, Bin wek ilara ki i ciŋ kabaka me Ciria ki kabaka me Icrael ma gitye ka lweny i koma.” 
2KI.16.8	Akaj dok okwanyo ryal ki jabu ma onoŋo tye i ot pa Rwot, ki i ot kano lim ma i ot pa kabaka, ci ocwalo me mot bot kabaka me Aciria. 
2KI.16.9	Kabaka me Aciria owinyo kokone, ci otiŋo mony ocito kwede i Damaciko, ocako yako jo ma kunnu oterogi i opii wa i Kir, ci oneko Rejin woko.
2KI.16.10	Ka kabaka Akaj ocito i Damaciko ka jolo wi Tiglat-Pilecer kabaka me Aciria, ci oneno keno tyer ma tye i Damaciko, ci ocwalo cal me keno tyer meno bot ajwaka Vria, ki kit tiyorie, kun nyuto kite ducu kikore. 
2KI.16.11	Ajwaka Uria ocako cano keno tyer kun cweyo kit ma kabaka Akaj onoŋo ocwalo bote ki i Damaciko. Otimo kumeno ma onoŋo kabaka Akaj peya odwogo ki i Damaciko. 
2KI.16.12	Ka kabaka odwogo ki i Damaciko, ocito oŋiyo keno tyer, ci oito iye malo, 
2KI.16.13	owaŋo gitumme me awaŋa, ki gityer mere me moko kwon, ka oonyo gityer amata, ocoro remo me gityer mere me lakwecwiny i kom keno tyer. 
2KI.16.14	Ci okwanyo keno tyer me mola ma yam tye i nyim Rwot, ma onoŋo bedo i nyim ot, i kabedo ma i kin keno tyerre ki ot pa Rwot, ci oketo yo tuŋ acam me keno tyer mere. 
2KI.16.15	Kabaka Akaj ociko ajwaka Uria kun wacci, “Waŋ gitum awaŋa me odiko i wi keno tyer madit-ti, ki gityer me moko kwon me otyeno, ki gitum awaŋa ma kabaka omiyo, ki gityerre me moko kwon, kacel ki gitum awaŋa pa lwak ducu ma i lobo, ki gityergi me moko kwon, ki gityergi me amata. Ibicoro remo me gitum awaŋa ducu i kome bene, ki remo me gitum mukene ducu. Ento keno tyer me mola-ni bibedo mera, me penyo iye dog Rwot.” 
2KI.16.16	Ajwaka Uria otiyo ducu kit meno, kit ma kabaka Akaj ociko-ni.
2KI.16.18	Ki yo ma giumo wiye ma giwok ki iye i ceŋ cabit, ki doggola pa kabaka ma tye woko, en okwanyogi woko ki i kom ot pa Rwot, pi kabaka me Aciria. 
2KI.16.19	Lok kom Akaj mudoŋŋe ducu, ki gin ma yam otiyo, gityeko coyone i buk me Tekwaro pa Luker, me Juda. 
2KI.16.20	Akaj oto, oywe kacel ki kwarine, ci giyiko kacel ki kwarine, i gaŋ kai pa Daudi; wode Kejekia aye oleyo ka tyene.
2KI.17.1	I mwaka me apar wiye aryo me loc pa Akaj kabaka me Juda, en aye Kocea wod pa Ela ocako loyo iye jo Icrael ki i Camaria ci obedo ka loc pi mwaka aboŋwen. 
2KI.17.2	Obedo ka tiyo gin ma nen marac i wan Rwot, ento pe obedo marom ki luker me Icrael ma gukwono nyime. 
2KI.17.3	Cal manecer kabaka me Aciria obino ka monyo en; ka Kocea odoko laticce, ci ocako miyo mucoro bote. 
2KI.17.4	Ento lacen kabaka me Aciria oniaŋ ni Kocea laruba; pien ocwalo lukwena bot Co, kabaka me Ejipt, ci okwero miyo mucoro bot kabaka me Aciria kit ma yam obedo ka miyo kwede mwaka ki mwaka, omiyo kabaka me Aciria omake, otweye woko i buc. 
2KI.17.5	Kabaka me Aciria ocako monyo lobo Icrael ducu, ka obino kwede wa i Camaria, ci orumo gaŋ meno mwaka adek. 
2KI.17.6	I mwaka me loc pa Kocea me aboŋwenne en aye kabaka me Aciria omayo kwede gaŋ Camaria, ci otero jo Icrael i opii wa i Aciria ci oketogi i Kalak ki i ŋet Kabor, ma en aye kulu ma i Gojan, ki i gagi pa jo Medi.
2KI.17.7	Lok man otimme kumeno pien jo Icrael onoŋo gubalo i nyim Rwot Lubaŋagi, ma yam okwanyogi woko ki i lobo Ejipt, ki i ciŋ Parao kabaka me Ejipt. Gubedo ka woro lubaŋa mogo mukene, 
2KI.17.8	kun gilubo kit pa lurok ma yam Rwot oryemo woko ki i nyim jo Icrael, ki kit ma luker me Icrael gukelo. 
2KI.17.9	Jo Icrael gubedo ka timo gin ma pe kakare i kom Rwot Lubaŋagi i muŋ, Gugero lwak odi i waŋ jogi megi kengi i wi godi i ŋet gaŋigi ducu, cakke ki i kom lubele pa lukurpiny nio kwede wa i kom gaŋi ma girumo ki cel gogo. 
2KI.17.10	Gucibo wir jogi dok gucomo yadi me woro jok ma dako ma gilwoŋo Acera i wi godi mabocone ducu, ki i wan ayweya ducu ma pote oluk-gu. 
2KI.17.11	Gubedo ka wano odok aceta i wan jogi i wi godi ducu, macalo lurok ma yam Rwot oryemo woko ki i nyimgi. Gubedo ka tiyo gin maraco bene, ma omiyo kiniga omako Rwot. 
2KI.17.12	Gubedo ka woro cal lubaŋa-gu ma yam Rwot ojukogi pire kun wacci, “Pe wubitiyo man.” 
2KI.17.13	Rwot obedo ka poyo wi jo Icrael ki jo Juda, kun lanebi acel acel ki lanen acel acel cikogi ni, “Wulokke, wuwek kitwu maraco, wucak mako lok ma aciko ducu, ki cik mera ducu, kun wulubo cik ducu ma yam aciko ki kwariwu, ki ma abedo ka cwalo botwu ki luticca ma gin lunebi.” 
2KI.17.14	Ento yam pe guworo doge; gubedo jo ma iŋutgi nwaŋ, macalo kwarigi con tye kwede, ma yam pe guye Rwot Lubaŋagi. 
2KI.17.15	Gubedo ka cayo cikke mapol, ki gicikke ma yam oketo ki kwarigi, ki lok ma obedo ka poyo ki wigi. Gubedo ka luko kor cal jogi ma konygi pe, mumiyo gin bene gudoko jo ma konygi pe. Gubedo ka lubo kit pa lurok ma yam orumogi dyere-ni, jo ma yam Rwot ojukogi i komgi, ni pe gutim kit ma gin gitiyo-ni. 
2KI.17.16	Gubwoto cik ma Rwot Lubaŋa ociko woko ducu, gutimo pigi kengi cal litino twoni aryo me jabu ma giliyo aliya; ka dok gucomo yadi me woro jok ma dako ma gilwoŋo Acera; gucako woro mony ma i polo ducu, kun gitiyo bot Baal bene. 
2KI.17.17	Gubedo ka waŋo awobegi ki anyiragi me gityergi, kun gityeto bene bot lutyet ki luŋi i dyel; gumine kekengi pi tiyo gin ma nen marac i wan Rwot, kun gimiyo kiniga make. 
2KI.17.18	Kiniga omako Rwot matek i kom jo Icrael, ci oryemogi woko ki i nyime; iŋatti mo pe odoŋ, kono kaka pa Juda keken aye odoŋ.
2KI.17.19	Jo Juda bene yam pe gumako lok ma Rwot Lubaŋagi ociko, ento gubedo ka lubo kit ma jo Icrael gukelo. 
2KI.17.20	Rwot ocako kwero likwayo pa Icrael woko ducu, ci oketogi i atwom mapek, omiyogi i ciŋ luyakgi, nio ka oryemogi woko ki i nyime.
2KI.17.21	Ka yam Rwot omayo ker me Icrael woko ki bot likwayo pa Daudi, gin guketo Jeroboam wod pa Nebat odoko kabakagi. Jeroboam oryemo jo Icrael woko ki ka lubo kor Rwot, ci omiyo gupoto i bal madito. 
2KI.17.22	Jo Icrael gubedo ka lubo bal ducu ma yam Jeroboam otiyo; pe gubwoto tiyogi, 
2KI.17.23	nio ka Rwot oryemo jo Icrael woko, macalo yam oloko i dog luticce ducu ma lunebi. Kit meno gikwanyo jo Icrael ki i lobogi, giterogi wa i Aciria me bedo opii nio wa onyoo.
2KI.17.23	Gikelo rok mukene me bedo i camaria 
2KI.17.24	Kabaka me Aciria yam okelo dano ki i Babilon, i Kuta, i Aya, i Kamat ki i Ceparvaim, ci oketogi gubedo i gaŋi me Camaria, guleyo kabedo pa jo Icrael. Gucamo lobo me Camaria odoko megi, gubedo i gagine ducu. 
2KI.17.25	I kare ma gucako bedo i loba-nu, pe gulworo Rwot; omiyo Rwot ocwalo lwak labwor, ma oneko jo mogo i kingi. 
2KI.17.26	Gitito lokke bot kabaka me Aciria ni, “Rok ducu ma iterogi ci iketogi i gagi me Camaria-ni gin pe gigeyo cik pa lubaŋa me lobo-nu, omiyo ocwalo lwak labwor i kingi, ci nen, gitye ka nekogi woko, pien gin pe gigeyo cik pa lubaŋa me lobo-nu.” 
2KI.17.27	Kabaka me Aciria ocako ciko ni, “Wucwal ajwaka mo acel ki i kin jo ma yam wukelogi ki kunnu, wek en ocit obed kunnu, ocipwonygi ki cik pa lubaŋa me lobo-nu.” 
2KI.17.28	Ci ajwaka mo acel ki i kin ajwagi ma yam giterogi kunnu mua ki i Camaria ocako dwogo, obedo i Betel, ci opwonyogi ki kit ma myero gilwor kwede Rwot.
2KI.17.29	Ento rok acel acel pud obedo ka tiyo cal lubaŋane kene, kun giketogi i waŋ jogi ma i wi godi ma yam Lucamaria gutiyo, kun rok acel acel tye ki megi i gagi ma gibedo iye-ni. 
2KI.17.30	Jo Babilon gutiyo Cal jok Cukot-benot, jo Kut gutiyo cal jok Nergal, jo Kamat gutiyo cal jok Acima; 
2KI.17.31	jo Aya gutiyo cal jok Nibaj ki jok Tartak. Jo Ceparvaim gubedo ka waŋo litinogi ki mac bot Adramelek ki Anamelek ma gin jogi pa jo Ceparvaim. 
2KI.17.32	Gilworo Rwot bene, kun gikwanyo kwa dano ducu ki i kingi me bedo ajwagi me waŋ jogi ma i wi godi, ma gitiyo pigi i nyim waŋ jogi ma i wi godi. 
2KI.17.33	Kit meno gin yam gilworo Rwot kun gitiyo bene bot lubaŋagi kikome, kun gilubo kit pa rok mapatpat ma yam gikwanyogi ki i kingi-ni. 
2KI.17.34	Kadi wa i kare man gin pud gilubo kitgi macon.
2KI.17.34	Gin pe gilworo Rwot, pe gilubo cikke ducu, nyo lok ma en oŋolo, nyo cik ma en oketo, kadi wa cik mo ma yam Rwot ociko ki likwayo pa Yakobo ma ocako nyige ni Icrael-li. 
2KI.17.35	Rwot yam oketo gicikke kwedgi, kun cikogi ni, “Pe wubilworo lubaŋa mukene ducu; pe wuryebbe i nyimgi, pe wuti botgi, pe wutum gitum botgi. 
2KI.17.36	Ento wubilworo Rwot ma yam okwanyowu woko ki i lobo Ejipt ki tek madwoŋ ki ciŋe ma oryeyo; en aye wubiryebbe i nyime, en aye wubitumo gitum bote. 
2KI.17.37	Cik matino ducu ki lok ma Rwot oŋolo, ki cik ma en oketo, ki ginacika ma con ocoyo piwu, wubigwokke ka lubogi kare ducu pe wubilworo lubaŋa mukene ducu. 
2KI.17.38	Pe wiwu biwil i kom gicikke ma doŋ atyeko ketone kwedwu. Pe wubilworo lubaŋa mukene ducu, 
2KI.17.39	ento wubilworo Rwot Lubaŋawu, en bene aye bilarowu ki i ciŋ lumerokwu ducu.” 
2KI.17.40	Ento yam gukwero woro doge woko, pud gubedo ka lubo kitgi macon ca aye.
2KI.17.41	Kit meno rok meno ducu gubedo ka lworo Rwot kun giworo bene Cal lubaŋagi ma gipayo; litinogi ki likwayogi bene kit meno gubedo ka fiyo kit ma yam kwarigi gutiyo-ni, pud gitiyo kit meno nio wa onyoo.
2KI.18.1	I mwaka me adek me loc pa Kocea wod pa Ela kabaka me Icrael, en aye Kejekia wod pa Akaj kabaka me Juda ocako iye loc. 
2KI.18.2	Ocamo ker ma mwaka me ditte pyeraryo wiye abic, ci obedo ka loc pi mwaka pyeraryo wiye aboŋwen ki i Jerucalem. Nyiŋ minne Abi, ma nya pa Jekaria. 
2KI.18.3	Kejekia obedo ka tiyo gin ma nen atir i wag Rwot kun lubo gin ducu ma yam kwarone Daudi otiyo. 
2KI.18.4	Omuko lwak waŋ jogi ma i wi godi, oturo wir jogi-gu ducu, ka otoŋo yadi ma gicomo pi woro jok ma dako ma gilwogo Acera woko, ka dok oŋido twol mola ma yam Moses otiyo-ni, pien nio wa i kare meno onoŋo jo Icrael gubedo ka waŋo odok eceta pi worone. Yam gilwogo ni Nekucitan. 
2KI.18.5	En obedo ka geno Rwot, Lubaŋa me Icrael, mumiyo pe gatti mo onen ma rom ki en ki i kin luker me Juda ducu ma gulubo geye, kadi wa i kin luker ma gukwogo nyime bene. 
2KI.18.6	Omoko i kom Rwot matek; pe obwoto lubo kor Rwot, ento obedo ka lubo cik ducu ma yam Rwot ociko ki Moses. 
2KI.18.7	Rwot bene yam tye kwede; wa ka ma cito iye ducu, en noŋo iye gum. En ocako jemo woko i kom kabaka me Aciria, okwero bedo i te locce. 
2KI.18.8	Olwenyo ki jo Piliciti nto wa i Gaja ki lobo ma i ŋete; oloyogi i kabedogi ducu, cakke ki i kom lubele pa lukur-piny nio kwede wa i gaŋi ma girumo ki cel gogo.
2KI.18.9	I mwaka me aŋwen me loc pa Kejekia, ma en aye mwaka me abirone me loc pa Kocea wod pa Ela kabaka me Icrael, Calmanecer kabaka me Aciria obino ka lweny i kom Camaria ci orumo woko ki monnye. 
2KI.18.10	Oloyo ma onoŋo mwaka adek okato. I mwaka me abicel me loc pa Kejekia, ma en aye mwaka me aboŋwenne me loc pa Kocea kabaka me Icrael, en aye giloyo kwede gaŋ Camaria. 
2KI.18.11	Kabaka me Aciria otero jo Icrael i opii wa i Aciria, ci oketogi i Kala, ki i ŋet Kabor, ma en aye kulu ma i Gojan, ki i gaŋi pa jo Medi, 
2KI.18.12	pien gukwero woro dog Rwot Lubaŋagi, ento gukalo wi gicikkene, kacel ki lok ducu ma yam Moses ma latic pa Rwot ocikogi kwede; pe guwinyo kadi ki woro doge.
2KI.18.13	I mwaka me apar wiye aŋwen me loc pa kabaka Kejekia en aye Cenakerib kabaka me Aciria obino kwede ka lweny i kom gaŋi ducu me Juda ma girumogi ki cel gogo, ci omayogi ducu. 
