MAT.1.1	Pèci né pâr̂â bèmûû Ièsu Kérisö, mör̂u David, wè mör̂u Abérahama.
LUK.1.1	Téofila éé,
LUK.1.1	Cér̂é wê waa na bör̂i pa pôr̂ô cè ké-r̂é yu vi yëwaa pâr̂â kââ ré wê rhau pwa mâ yexèvè rö pwar̂a-r̂é wânii, 
LUK.1.2	ûr̂û ké vi rhenô i yè-r̂é i pâi pa tö rhûû mi mâ' rö ka rhavûû mâ' pâi pa nêr̂ê-r̂é na nô. 
LUK.1.3	Na bör̂i tö vèa yè-nya cè göi yu yâbèr̂i yè-i pâr̂â kââ-ré, na gö wê cowa mèyè avâr̂i pâr̂â kââ-ré rhavûû rö pûû-é, cè gèi rhîâgür̂ü na gèi, Téofila, 
LUK.1.4	wè gèi dö kâmö, ka avâr̂i i pâr̂â kââ ré é wê aʼpâgür̂ü yè-i röi.
LUK.1.5	Tèi nédaa i Héroda, ör̂ökau ka kau rö Juda, na wê wii na dèxâ wi ka ar̂ii, na Zakaria na néé-é, mâ Abia na néé cî wakè xi-e; aè bwè xi-e wè dèxâ rai pâlè powè i Arona, na Élisabèt na néé-é. 
LUK.1.6	Cur̂u rhau avâr̂i rö némèè Bâô, mâ köiwaa pâr̂â mââyöö mâ vi winô i Ör̂ökau rö-i wêyê ka dö târi. 
LUK.1.7	Na wê yèri ki-r̂u o yar̂i, wè na tenu na Élisabèt, mâ cur̂u wê béâr̂i vi.
LUK.1.8	Na bör̂i waa nêr̂ê né waa ar̂ii rö némèè Bâô na Zakaria, 
LUK.1.9	Tèi nédaa né cî wakè xi-e, na bör̂i yejîî-e na vi ya, wè, ökâré wêyê né nêr̂ê-â, cè ki yè vi ru na ce rö mwâ ka ar̂ii i Ör̂ökau, mâ nââ borhêê rö-i. 
LUK.1.10	Aè pâr̂â kâmö wânii, wè cér̂é tö bwêê wêyê, mâ pwaér̂ö rèi pè mèèxa né ké yè nââ borhêê. 
LUK.1.11	Na bör̂i tö vèa yè Zakaria na dèxâ angéla i Ör̂ökau, mâ tömâ na ce rö é gaamëë né kaa yâmar̂a né borhêê. 
LUK.1.12	Na bör̂i cêrhö na Zakaria na tö rhûû-é mâ na kau na bar̂a rö xi-e. 
LUK.1.13	Na bör̂i êr̂ê yè na angéla: «Koa yè bar̂a wè Zakaria, wè é wê cowa cëi ké pwaér̂ö xi-i. Nè mâ vi ër̂i yè-i dèxâ o yar̂i wi na bwè xi-i Élisabèt, aè gè yè mâ ye néé-é, êr̂ê, Ioané. 
LUK.1.14	Nè yè pûû vi or̂o mâ pwérhar̂a rö pwar̂a-i, aè cér̂é pôr̂ô na paxa yè vi or̂o kèi ké ârè xi-e. 
LUK.1.15	Wè nè yè kau rö némèè Ör̂ökau na ce. Nè da wâyö divââ, mâ pâr̂â rhëë pè bwéjé kâmö, aè nè yè rhâri na ce i Ko-Ar̂ii rhavûû rö pwéé pâni-e; 
LUK.1.16	nè yè pè xé-r̂é mi tëë bör̂i pa pôr̂ô pâ mör̂u Israèl wa Ör̂ökau Bâô xé-r̂é; 
LUK.1.17	nè yè vâr̂â vi rö némèè Bâô xar̂a ko mâ awir̂è i Élia, cè ki pèi mi tëë wêê nénââ i pâr̂â pevaa yè pâr̂â pâlè-r̂é, mâ paxa gu vi vââ-r̂é yè gaamëë i pâi pa târi, cè ki kâ vè tö vâ yè Ör̂ökau dèxâ ba ka é wê waa e röi.» 
LUK.1.18	Na bör̂i aʼcëi yè angéla na Zakaria êr̂ê: «Gö mâ tâwai tâîî ö kââ-ré? Wè gö wê béâr̂i, aè bwè xi-nya, wè na tö kwayii.» 
LUK.1.19	Na bör̂i aʼcëi na angéla: «Gènyâ Gabriel, ré tömâ rö némèè Bâô. É tùr̂ùwaa-nya cè göi pè aʼ-i mâ aʼvè néxâi yè-i nô ka e ré é. 
LUK.1.20	Aè tö rhûû gè yè nimâ mâ gè yè da tâwai aʼ kwéyë rua rèi ö nédaa ré nè yè pwa na pâr̂â kââ-ré, wè gè da tâ néwèi pâr̂â nô xi-nya ré yè mâ yexèvè rèi nédaa xé-r̂é.»
LUK.1.21	Aè pâr̂â kâmö wânii, wè cér̂é bâ tö târ̂î Zakaria, mâ cêrhö wa ké tö vè mwââ xi-e ûr̂û-ré rö mwâ ka ar̂ii. 
LUK.1.22	Aè na wê tù, na bör̂i da tâwai pè aʼ-r̂é na ce, cér̂é bör̂i rhîâgür̂ü êr̂ê na pwa yèr̂i-e na ngërhûû rö mwâ ka ar̂ii; wè na vi yejîî i köwi-e mâ tö nimâ.
LUK.1.23	Na wê cowa na nédaa né wakè xi-e rö-i, na bör̂i vi a mwâr̂â na wêê mwâ xi-e. 
LUK.1.24	Tèi nédèè, na bör̂i wê tâwé na bwè xi-e Élisabèt, na bör̂i öcoé kanii var̂ui na bwè-ré. Na bör̂i êr̂ê: 
LUK.1.25	«Wè vi méar̂i vi bwir̂i i Bâô yè-nya na ö kââ-ré rèi nédaa ré na tö rhûû-nya mâ cöö virai ké köö xi-nya rö pwar̂a pâr̂â kâmö.»
LUK.1.26	Tèi var̂ui pèkanii na ma rhaaxâ, na bör̂i tùr̂ùwaa angéla Gabriel na Bâô, na dèxâ névâ rö Galilé, néé-é na Nazarèt, 
LUK.1.27	rö pwar̂a dèxâ bwè dowa ka da tö rhéö, ka é aʼwîî vè ki dèxâ kâmö xè-i mwââr̂ö i David, néé-é na Ioséfa, néé bwè dowa-ré wè Maria. 
LUK.1.28	Na vi ru rö mwâ xi-e na angéla, mâ êr̂ê: «Na kau mâmâ na ko-i, wè gèi ré na pwa yèr̂i-e na dèxâ vi méar̂i vi bwir̂i, wè na tö pwar̂a-i na Ör̂ökau.» 
LUK.1.29	Na bör̂i cêrhö na Maria, êr̂ê, na wêr̂êi na ké aʼvui-a? 
LUK.1.30	Na bör̂i aʼcëi na angéla: «Koa yè bar̂a, wè Maria, wè gè pwa yèr̂i vi méar̂i vi bwir̂i rö pwar̂a Bâô. 
LUK.1.31	Tö rhûû, wè gè yè mâ tâwé, mâ gè mâ vi ër̂i dèxâ o yar̂i wi, na gè yè mâ ye néé-é êr̂ê Ièsu. 
LUK.1.32	Nè yè kau na ce, mâ é yè mâ aʼyè-è êr̂ê, o i Ka tö rua aau, aè nè mâ nââ yè-è kaa per̂e i David pevaa xi-e, na Ör̂ökau wè Bâô. 
LUK.1.33	Nè mâ vi winô rö mwââr̂ö i Iakobo na ce kwéyë rua waavi, aè nè yè yèri léé kaa vi winô xi-e.» 
LUK.1.34	Na bör̂i êr̂ê yè angéla na Maria: «Nè mâ wêr̂êi, wè gö da tö tâwai dèxâ wi?» 
LUK.1.35	Na bör̂i aʼcëi na angéla: «Nè tö bwêêwé-i na Ko-Ar̂ii, mâ awir̂è Ka tö rua aau, wè, nè yè karui i ui xi-e. Ökâré é yè vi aʼyè êr̂ê, o i Bâô, na o yar̂i ka ar̂ii ré yè tö vèa xè xi-i. 
LUK.1.36	Tö rhûû, bwè ker̂e-i, wè, Élisabèt, wè na cî rö xi-e dèxâ o yar̂i na na wê béâr̂i, wè na mö ké tö pèkanii na ma rhaaxâ var̂ui xar̂a tâwé xi-e na bwè ré é wê vi êr̂ê mâ', êr̂ê, bwè ka tenu. 
LUK.1.37	Wè na yèri kââ ka da pâr̂i Bâô.» 
LUK.1.38	Na bör̂i êr̂ê na Maria: «Tö rhûû, gö kâmö yar̂i i Ör̂ökau. Na e na ki yè waa yè-nya ûr̂û ké êr̂ê xi-i!» Na bör̂i wê kâyâi-e na angéla.
LUK.1.39	Na bör̂i tömâ rua na Maria rèi nédaa ré é, mâ vi rua nér̂êi na dèxâ névâ ré tö négowé gwêêwè rö Juda. 
LUK.1.40	Na bör̂i pwa rö wêê mwâ i Zakaria, mâ cêmè vi cêrhö wa Élisabèt. 
LUK.1.41	Aè na wê pwêr̂ê na Élisabèt ké cêmè vi cêrhö wa-è i Maria, na bör̂i tee rö pwéé-é na o yar̂i, mâ rhâri i Ko-Ar̂ii na pâni-e. 
LUK.1.42	Na bör̂i aʼvè kau rua, mâ êr̂ê: «Na kau mâmâ na ko-i rai pâr̂â bwè wânii, mâ é aʼvui pwêê léwé-i! 
LUK.1.43	Kè-wè na ké pwa yèr̂i-nya i pâni Ör̂ökau xi-nya? 
LUK.1.44	Wè na da tö pwa yèr̂i böödê-nya na mêr̂ê aʼ né ké wê cêmè vi cêrhö wa-nya xi-i, na bör̂i tee xè-i vi or̂o na o yar̂i xi-nya rö pwéé-nya. 
LUK.1.45	Na kau mâmâ na ko bwè-ré wê tâ néwèi, wè, nè yè rhau yexèvè röi na pâr̂â kââ ré é wê êr̂ê yè-è xè-i mi Ör̂ökau.»
LUK.1.46	Na bör̂i aʼcëi na Maria, êr̂ê:
LUK.1.46	«Na pè kau rua Ör̂ökau na wêê nénââ xi-nya,
LUK.1.47	Mâ na vi or̂o rö-i Bâô na ko-nya,
LUK.1.47	Wè ce ré pè mör̂u-nya,
LUK.1.48	Wè, na bèr̂éé wa ké yar̂i ria i bwè kâmö yar̂i xi-e.
LUK.1.48	Tö rhûû, cér̂é yè mâ êr̂ê na pâr̂â cî kani waavi, êr̂ê,
LUK.1.48	Na kau mâmâ na ko-nya.
LUK.1.49	Wè na waa rö xi-nya pâr̂â kââ ka kau aau na Katawaiwânii.
LUK.1.49	Na ar̂ii na néé-é.
LUK.1.50	Mâ na tö bwêêwé pâr̂â cî kani mâ pâr̂â cî kani,
LUK.1.50	Rö pwar̂a-r̂é paxa bar̂a yè-è na vi kââwaa xi-e.
LUK.1.51	Na wê yexèvè na mör̂ö xi-e rö köwi-e,
LUK.1.51	Aè na wê kâ vè maii-r̂é pâr̂â paxa vi pè kau-r̂é rö-i vi tâ néxâi i wêê nénââ xé-r̂é.
LUK.1.52	Na yapurhâi xè-i kaa per̂e xé-r̂é pâr̂â paxa wii na awir̂è xé-r̂é,
LUK.1.52	Mâ na pè rua pâr̂â pa pè yar̂i-r̂é.
LUK.1.53	Na nââ rha vèâi pâr̂â kââ ka e yè-r̂é paxa mêr̂ê,
LUK.1.53	Aè na kâyâi vè yerii aau cér̂é ré kigör̂ödiwi.
LUK.1.54	Na nââbéé Israèl, wè kâmö yar̂i xi-e.
LUK.1.54	Wè na tâ néxâi vi kââwaa xi-e yè-è
LUK.1.55	Abérahama mâ pâr̂â mör̂u-é waavi,
LUK.1.55	Ûr̂û ké wê êr̂ê xi-e yè pâr̂â bèmûû-ré.»
LUK.1.56	Na wê tö pwar̂a Élisabèt na Maria na ûr̂û karir̂i var̂ui, na bör̂i vi a mwâr̂â na wêê mwâ xi-e.
LUK.1.57	Aè na wê pwa na nédaa né ké yè vi ër̂i i Élisabèt, na bör̂i pè ârè dèxâ o yar̂i wi. 
LUK.1.58	Pâr̂â kâmö pa tö vè ubwa i-e, mâ pâr̂â pâ ker̂e-é, wè cér̂é wê cowa pwêr̂ê ké wê pè tö vèa rö pwar̂a-è vi kââwaa xi-e i Ör̂ökau, cér̂é bör̂i wê vi or̂o wa-è cér̂é-é. 
LUK.1.59	Tèi nédaa pèkanii na ma karir̂i, cér̂é bör̂i wê ye néé-é êr̂ê Zakaria, ûr̂û pevaa xi-e. 
LUK.1.60	Na bör̂i aʼ na pâni-e: «Aè é yè ye néé-é êr̂ê, Ioané.» 
LUK.1.61	Cér̂é bör̂i aʼcëi yè-è êr̂ê: «Na yèri aau kâmö rö mwââr̂ö xi-i ré é ye néé-é ûr̂û-ré.» 
LUK.1.62	Cér̂é bör̂i vi yejîî i köwi-r̂é yè pevaa xi-e, cè ké-r̂é tâwai êr̂ê, nè jië na néé-é. 
LUK.1.63	Na bör̂i tùr̂ùyè pèyaa na Zakaria, mâ yu rö-i, êr̂ê: «Na Ioané na néé-é.» Cér̂é bör̂i rhau cêrhö. 
LUK.1.64	Tèi cér̂é-é, na bör̂i cîî-e na néwâ Zakaria, mâ cöö-è na kur̂umé-é, na bör̂i aʼ na ce mâ aʼvui Bâô. 
LUK.1.65	Cér̂é bör̂i rhau cêrhö na pâr̂â kâmö paxa tö pwânûr̂i, mâ tö pâr̂â négowé rö Juda. 
LUK.1.66	Aè pâr̂â kâmö ré vi tëvë wè cér̂é pwêr̂ê, mâ cér̂é bâ tö xar̂a rö pâr̂â wêê nénââ xé-r̂é, cér̂é tâ néxâi êr̂ê: «Nè yè mâ wîr̂î na o yar̂i-a?» Wè na wê tö xi-e na néxar̂a â Bâô.
LUK.1.67	Na bör̂i rhâri i Ko-Ar̂ii na Zakaria, pevaa xi-e, mâ aʼ ûr̂û pérövéta, êr̂ê:
LUK.1.68	«Na e na ki yè aʼvui Ör̂ökau, Bâô i Israèl,
LUK.1.68	Wè na rhâwaa vi nââwîî ba xi-e mâ pè tö vèa vi pè mör̂u vè ké-ré,
LUK.1.69	Wè na pè tö vèa vè ké-ré dèxâ vi pè mör̂u,
LUK.1.69	Rö pwar̂a pâr̂â mör̂u ör̂ökau David, kâmö yar̂i xi-e,
LUK.1.70	Ûr̂û ké wê aʼvè néxâi xi-e rö-i néwâ pâi pa ar̂ii mâ' xiréé aau mâ pâ pérövéta;
LUK.1.71	Mâ cè ki öxar̂a-ré rai pâi pa vi paa yè-ré,
LUK.1.71	Mâ rai köwi-r̂é paxa vi rhîaa xé-ré.
LUK.1.72	Na pè tö vèa vi kââwaa xi-e yè pâr̂â bèmûû-ré,
LUK.1.72	Mâ tâ néxâi tëë vi kîbô xi-e ka ar̂ii.
LUK.1.73	Ûr̂û ké wê kîbô xi-e yè Abérahama, bèmûû-ré,
LUK.1.74	Nè yè nââ yè-ré ki yè yèri bar̂a,
LUK.1.74	Mâ ki yè cöö-ré rai néxar̂a â pâi pa rhîaa xé-ré,
LUK.1.75	Cè gèré kâmö xi-e xar̂a vi rheewaa mâ târi rö némèè-è,
LUK.1.75	Rèi pâr̂â nédaa né mör̂u xé-ré.
LUK.1.76	Aè gèi, o yar̂i ka yar̂i-a, wè, é mâ ye néé-i êr̂ê, pérövéta i Ka tö rua aau,
LUK.1.76	Wè gè yè köiwaa vi rö némèè Ör̂ökau, cè gèi kâ vè tö vâ wêyê xi-e,
LUK.1.77	Mâ cè gèi nââ yè ba xi-e vi rhîâgür̂ü i vi pè mör̂u
LUK.1.77	Rö-i ké yè cöö nô ka yaané,
LUK.1.78	Na rhâri xè-i nénââ né vi kââwaa mâ ké e aau i Bâô xé-ré
LUK.1.78	Na ké rhâwaa ré mi xè rua i mèèxa ré mö ké pwé,
LUK.1.79	Cè ki waavèai-r̂é paxa cuè rö orê mâ ui né pèii mé,
LUK.1.79	Mâ kâ vè târi ké yâi â-ré rö wêyê né nâânévâ.»
LUK.1.80	Aè o yar̂i-a, wè na wê bâ kani vi, mâ mör̂ö vi rö-i ko. Na bör̂i wê bâ cuè rö nékaê, kwéyë rua rèi ö nédaa ré na wê tö vèa rö némèè Israèl.
LUK.2.1	Tèi nédaa-ré, na bör̂i tö vèa na dèxâ mââyöö i Kaisara Auguste, cè ki yè vâr̂â pâr̂â kâmö rö bwêê jë wânii. 
LUK.2.2	Ö ké vâr̂â ka baayê ré é, wè é waa tèi nédaa ré na wê gavana rö Syria na Kirinus. 
LUK.2.3	Cér̂é rhau vi na névâ xé-r̂é vidù na pâr̂â kâmö, cè ki mâ yu néé-r̂é rö-i. 
LUK.2.4	Na wê vi rua bar̂ee na Ioséfa xè Galilé, xè névâ rö Nazarèt, cè ki vi rö Juda, na névâ i David, néé-é na Bétéléma, wè na wê kâmö xè wêê mwâ mâ xè mwââr̂ö i David na ce. 
LUK.2.5	Na wê vi cè ki mâ yu néé-é, cur̂u Maria, bwè ré na wê tö ki-e, ré wê tâwé. 
LUK.2.6	Tèi ökâré cur̂u wê tö-i, na bör̂i yexèvè na nédaa né ké yè vi ër̂i i bwè-ré, 
LUK.2.7	na bör̂i pè ârè o yar̂i xi-e ka baayê. Na bör̂i ui-e i mwââlöö, mâ pè kur̂u-é rö dèxâ mwâ néara bwâr̂âwê, wè na wê yèri kaa töö xé-r̂é rö mwâ pa vâr̂â ré cér̂é tö-i.
LUK.2.8	Cér̂é wê tö névâ-ré na pâr̂â pâi pa târ̂î mutô, cér̂é bör̂i tâ rhî rèi bwê rö nédeewi târ̂î pâr̂â bwè bwâr̂âwê xé-r̂é. 
LUK.2.9	Tö rhûû, na tö vèa yè-r̂é na dèxâ angéla i Ör̂ökau, na bör̂i kar̂a rö bwêêwé-r̂é na rhîrhér̂é i Ör̂ökau, cér̂é bör̂i cê bar̂a. 
LUK.2.10	Na bör̂i pè aʼ-r̂é na angéla, êr̂ê: «Koa yè bar̂a, wè gö vi rherhîrëi yè-ve dèxâ nô ka e, ré yè pûû vi or̂o rö pwar̂a pâr̂â kâmö wânii, êr̂ê: 
LUK.2.11	Na tö vèa yè-ve xina rö wêê mwâ i David, na dèxâ ka pè mör̂u, wè ce ré Kérisö mâ Ör̂ökau. 
LUK.2.12	Ökâré pètâbâ ré gëve yè rhéwêr̂ê-ê xè-i, êr̂ê, gëve yè pwa yèr̂i dèxâ o yar̂i é ui-e i mwââlöö, mâ na kur̂u rö mwâ néara bwâr̂âwê.»
LUK.2.13	Tèi ökâré, na bör̂i tö vèa vè béé angéla na pâr̂â juu paa pa pôr̂ô xè nékö, cér̂é pè kau Bâô mâ êr̂ê:
LUK.2.14	«Rhîrhér̂é yè Bâô rö rua aau wânii,
LUK.2.14	Nâânévâ rö bwêê jë, rhî vè e ka e yè pâr̂â kâmö!»
LUK.2.15	Cér̂é wê kâyâi-r̂é na pâr̂â angéla cè ké-r̂é vi rua tëë na nékö, cér̂é bör̂i vi êr̂ê yè-r̂é wîr̂î na pâi pa târ̂î bwâr̂âwê, êr̂ê: «Gèré vi yawi xè-a na Bétéléma, mâ tö rhûû nô ré wê pwa, mâ ö kââ-ré na pèri vèa yè-r̂é na Ör̂ökau.» 
LUK.2.16	Cér̂é bör̂i vi bèr̂éé, mâ cêmèèr̂i Maria mâ Ioséfa, mâ o yar̂i ré kur̂u rö mwâ néara bwâr̂âwê. 
LUK.2.17	Cér̂é wê tö rhûû-é, cér̂é bör̂i êr̂ê vèa pâr̂â kââ ré wê tö vèa yè-r̂é wa o yar̂i-a. 
LUK.2.18	Rhau pâr̂â kâmö ré wê pwêr̂ê nô xé-r̂é, wè, cér̂é bör̂i dö cêrhö wa ké êr̂ê i pâi pa vi târ̂î bwâr̂âwê. 
LUK.2.19	Aè na wê tö xar̂a pâr̂â kââ-ré na Maria, mâ tâ néxâi-r̂é tëë rö wêê nénââ xi-e. 
LUK.2.20	Cér̂é bör̂i vi a mwâr̂â na pâr̂â pâi pa vi târ̂î bwâr̂âwê, mâ pwérhar̂a rua mâ vi pè kau Bâô xè-i pâr̂â kââ ré cér̂é wê pwêr̂ê mâ tö rhûû, ré wê yexèvè ö kââ-ré é wê vi rherhîrëi röi yè-r̂é.
LUK.2.21	Na wê pwa na nédaa pè kanii na ma karir̂i, ré é yè pè vâr̂â yêr̂ê o yar̂i-a, é bör̂i ye néé-é êr̂ê Ièsu, ö néé ré na wê êr̂ê vèa na angéla baayêr̂î ké da tö cî rö pwéé pâni-e.
LUK.2.22	Na wê cowa na pâr̂â nédaa né vi rheewaa, ûr̂û mââyöö i Mosé, cur̂u bör̂i pèi vi o yar̂i-a na Iérusalèm na Ioséfa mâ Maria, cè ku-r̂u pèri-e yè Bâô Ör̂ökau, 
LUK.2.23	ûr̂û ka é yu rö mââyöö i Bâô Ör̂ökau, êr̂ê: «É yè rhau nââ vè ar̂ii yè Bâô Ör̂ökau pâr̂â mèè vi ër̂i; 
LUK.2.24	mâ cè ku-r̂u nââ bar̂ee vè êê pwaér̂ö kaar̂u mawi töwè na ki kaar̂u olè daya, na ûr̂û ké êr̂ê i mââyöö i Bâô Ör̂ökau.»
LUK.2.25	Tö rhûû, na tö Iérusalèm na dèxâ kâmö néé-é na Siméona, wè kâmö ka târi mâ bar̂a yè Bâô, mâ na bâ târ̂î yè pè nââbéé Israèl, aè na wê tö bwêêwé-é na Ko-Ar̂ii. 
LUK.2.26	Na bör̂i wê pè bwayûi-e na Ko-Ar̂ii, êr̂ê, nè yè da mé na ki da tö tö rhûû Kérisö i Ör̂ökau. 
LUK.2.27	Na bör̂i vi na mwâ waa ar̂ii xè-i ko. Cur̂u mö ké pèi mi o yar̂i Ièsu na dua ër̂i-e cè ki mâ yexèvè rö xi-e ûr̂û ké êr̂ê i mââyöö. 
LUK.2.28	Na bör̂i pè xi-e i duö köwi-e na Siméona, mâ aʼvui Bâô, êr̂ê:
LUK.2.29	«Xina, wè Ör̂ökau ka vi winô wânii, kâyâi kâmö yar̂i xi-i
LUK.2.29	Cè ki vi rö-i tâ ûr̂û ké êr̂ê xi-i.
LUK.2.30	Wè cur̂u wê tö rhûû vi pè mör̂u xi-i na duö pièmè-nya,
LUK.2.31	Vi pè mör̂u ré gè wê kâ vè tö vâ rö némèè pâr̂â bwêêiapâ wânii.
LUK.2.32	Daa pè waa pâr̂â névâ,
LUK.2.32	Mâ rhîrhér̂é i ba xi-i wè Israèl.»
LUK.2.33	Cur̂u wè buèi wa pâr̂â kââ ré é êr̂ê wa-è na pevaa mâ pâni o yar̂i. 
LUK.2.34	Na aʼvui-r̂u na Siméona, mâ êr̂ê yè Maria pâni o yar̂i, êr̂ê: «Tö rhûû o yar̂i-a, wè pè yerii mâ pè mör̂u bör̂i pa pôr̂ô rö Israèl, mâ pètâbâ pè tuö vi caa 
LUK.2.35	aè gèi wè nè pwa vi tu rö ko-i na o taua; cè ki tö vèa ûr̂û-ré na vi tâ néxâi ka tö yêr̂ê rö wêê nénââ i bör̂i pa pôr̂ô.»
LUK.2.36	Na tö-i bar̂ee na dèxâ pérövéta bwè, néé na Anna pûr̂ûbwè i Pénuéla xè névâ i Aséra. Na wê béâr̂i kwayii, aè na wê kanii na ma kaar̂u nédö né ké wê cuè vèâ cur̂u kui-e, rhavûû rèi nédaa né dowa xi-e. 
LUK.2.37	Na wê tö jâmé, mâ na wê kavùè kâmö na ma kavùè na pâr̂â nédö xi-e; na da virai aau mwâ waa ar̂ii, mâ na bâ tö-i waa nêr̂ê Bâô, rèi bwê mâ daa rö-i tö mêr̂ê mâ pwaér̂ö. 
LUK.2.38	Na bör̂i pwa bar̂ee na ce rèi pè mèèxa-ré, mâ pè kau Bâô, mâ vi êr̂ê vèa o yar̂i-a yè pâr̂â kâmö paxa vi târ̂î yè pè vi nawîî Iérusalèm.
LUK.2.39	Cér̂é wê waa röi pâr̂â nêr̂ê-r̂é rö-i mââyöö i Ör̂ökau, na Ioséfa mâ Maria, cér̂é bör̂i vi a mwâr̂â na Galilé rö Nazarèt névâ xé-r̂é. 
LUK.2.40	Aè na wê kani vi na o yar̂i-a mâ mör̂ö vi. Na wê rhâri i gaamëë, mâ na wê tö bwêêwé-é na vi méar̂i vi bwir̂i i Bâô.
LUK.2.41	Tèi pâr̂â nédö, cur̂u bör̂i vi na Iérusalèm na dua ër̂i Ièsu rèi ar̂ii né Paséka. 
LUK.2.42	Na wê pârör̂ö na ma kaar̂u na pâr̂â nédö i Ièsu, cér̂é bör̂i vi rua na Iérusalèm, ûr̂û ké waa yawi rèi nédaa né ar̂ii ré. 
LUK.2.43	Aè na wê cowa na pâr̂â nédaa-ré, cér̂é bör̂i vi a mwâr̂â, aè na tâ ta-a rö Iérusalèm na o yar̂i-a Ièsu. Cur̂u bör̂i da rhî vè yèri-e na pevaa mâ pâni-e. 
LUK.2.44	Cér̂é wê tâ néxâi, êr̂ê, na tö cér̂é pa béé vâr̂â xi-e, cér̂é bör̂i dè vâr̂â rha nédaa, mâ mèyè-è rö pwar̂a pâr̂â pâ ker̂e-r̂é mâ pâr̂â béé vâr̂â xé-r̂é. 
LUK.2.45	Aè cér̂é da pwa yèr̂i-e, cér̂é bör̂i vi a mwâr̂â na Iérusalèm na ka mèyè-è. 
LUK.2.46	Tèi nédèè karir̂i nédaa, cér̂é bör̂i pwa yèr̂i-e rö mwâ waa ar̂ii, na na cuè rö négowé né pâr̂â paxa gaamëë, mâ pwêr̂ê-r̂é mâ ërëwaa-r̂é. 
LUK.2.47	Pâr̂â kâmö ré wê pwêr̂ê nô xi-e, wè cér̂é wê buèi ké vi rhîâgür̂ü xi-e mâ ké aʼcëi xi-e. 
LUK.2.48	Cur̂u wê pwa yèr̂i-e na dua ër̂i-e, cur̂u bör̂i dö cêrhö, na bör̂i êr̂ê yè-è na pâni-e, êr̂ê: «O xi-nya, ki-yé ré gè waa ûr̂û-ré yè-vu? Tö rhûû pevaa xi-i mâ gènyâ, wè gövu bâ mèyè-i tâ bar̂a.» 
LUK.2.49	Na bör̂i aʼcëi yè-r̂u na ce, êr̂ê: «Ki-yé ré göu mèyè-nya? Gëve da tâwai êr̂ê, na e na göi waa pâr̂â nêr̂ê Pevaa xi-nya?» 
LUK.2.50	Aè cur̂u da rhîâgür̂ü ö kââ-ré na êr̂ê yè-r̂u.
LUK.2.51	Na bör̂i vi ria cér̂é-é cè ké-r̂é vi na Nazarèt, mâ na bâ pwêr̂êwaa nô xi-r̂u. Aè pâni-e, wè na wê tö xar̂a pâr̂â kââ-ré rö wêê nénââ xi-e. 
LUK.2.52	Aè na wê kau vi na Ièsu rö-i gaamëë, mâ rö-i vi méar̂i vi bwir̂i rö némèè Bâô mâ rö némèè kâmö.
LUK.3.1	Tèi nédö pârör̂ö na ma dèxâ é â i vi winô i Tibério Kaisara, na na wê gavana rö Juda na Ponétio Pilato, mâ ör̂ökau rö Galilé na Héroda, mâ ör̂ökau rö Itùrea mâ rö névâ rö Tarakoni na pâdii-e Filipo, mâ Ör̂ökau rö Abilena na Lysanias, 
LUK.3.2	tèi nédaa ré cur̂u wê vi târ̂î pâi pa ar̂ii na Anna mâ Kaifa, wè na wê tö vèa na nô i Bâô yè Ioané, o i Zakaria rö nékaê.
LUK.3.3	Na bör̂i vi na ce rö pâr̂â névâ ka tö pwânûr̂i Ioridanô, mâ vi pur̂â nô né batiyi né vipââr̂i, pè cöö nô ka yaané, 
LUK.3.4	ûr̂û ka é yu rö pèci né pâr̂â nô i Isaia, pérövéta, êr̂ê:
LUK.3.4	«Mêr̂ê aʼ i ö kâmö ré aʼ rö nékaê, êr̂ê,
LUK.3.4	Kâ vè tö vâ wêyê i Ör̂ökau,
LUK.3.4	Waa vè târi pâr̂â jöö wêyê xi-e.
LUK.3.5	É yè yarui pâr̂â néir̂iwâ;
LUK.3.5	Mâ jötelai pâr̂â gwêêwè mâ pâr̂â ka pwi,
LUK.3.5	É yè rhè vè târi pâr̂â ka téé vi téé,
LUK.3.5	Mâ câ vè ar̂ao pâr̂â wêyê ka kövipâi.
LUK.3.6	Aè cér̂é yè tö rhûû vi pè mör̂u i Bâô na pâr̂â kar̂ö.»
LUK.3.7	Na wê êr̂ê yè pâr̂â kâmö pa pôr̂ô yéyé pa rhau mi cè ki batiyi-r̂é na ce, êr̂ê: «Pâr̂â pâlè mârhùr̂ii éé, wîr̂î ré aʼpâgür̂ü yè-ve cè ke-ve ör̂ö rai ö rhôê ré yè pwa? 
LUK.3.8	Pwa na gëve pwêê yè vipââr̂i, aè koa yè tâ néxâi ki yè vi êr̂ê rö xe-ve, êr̂ê, Abérahama, wè, pevaa xé-vé. Wè na tâwai na Bâô ké yè pè tuö xè-i pâr̂â pèyaa-a pâr̂â mör̂u Abérahama. 
LUK.3.9	É wê cowa nââ gi rö pûû kêê. Pâr̂â kêê ré da pwa na pwêê ka e, wè é yè rharher̂e virai mâ yer̂e ö kêmör̂u.»
LUK.3.10	Cér̂é bör̂i ërëwaa na pâr̂â kâmö êr̂ê: «Gèvé yè bör̂i waa jië?» 
