MAT.1.1	Ame na rɔ möyï ꞌbu löbu ꞌba Yësu Kurïsïtö kupö Dawidi kupö Abarayama.
LUK.10.37	Bo iya te, “Bɔ ama yïmo këyï rɔ bo ne.”
LUK.10.37	Yësu ileki zi bo, iya te, “Ari koꞌdɔ gbï tara.”
LUK.10.38	Kina ɔdɔ Yësu ni këdï kari ꞌdeni mï liŋgere ꞌbënnï ti bɔ kösö gɔ bo ga tine lïjë ari kömö ŋgï liŋɔ mɔtɔ na ꞌja mɔtɔ yayi möyï mo rɔ Marata kota lïjë ŋgï rɔ ŋba. 
LUK.10.39	ꞌJa mo nima ëdï ti lëmï nï möyï mo rɔ Mariya. Kina Mariya koloma ꞌbënï ŋgï köꞌbö bi ndï Yësu tuwö wa ame ga bo këdï kiya ne. 
LUK.10.40	Tine Marata gɔ dɔ kulö ꞌbënï ame ndɔbɔ ŋbaŋi dönï ne na lɔko kari ŋgï kiya zi Yësu, iya te, “Ŋere, lende koꞌdɔ ꞌba lëmï ma nime lɔko kola ma kutu ma bi ndɔbɔ ne oꞌdɔ ɔtɔ dë zïyï? Oja lɔko dë kako tokɔnyi ma?”
LUK.10.41	Ŋere Yësu ileki zïnï iya te, “Marata, Marata, nï ꞌbëyï ŋgï ti dökïꞌdï kombi rɔ meri gɔ wa ma konzi, 
LUK.10.42	ne oŋgɔ wa kɔtɔ na ŋge koꞌdɔkɔ di zïyï. Mariya na kigeli ꞌbënï ꞌdeni rɔ ma laka mo kina inza kogba kpe yaga di zïnï.”
LUK.11.1	Mï kada ma dɔ kɔtɔ mɔtɔ Yësu këdï rɔ toꞌdɔ mötu di bi mɔtɔ yayi. Kina ɔdɔ bo kote ꞌdeni tine bɔ kösö gɔ bo ma kɔtɔ mɔtɔ ako kiya zi bo, iya te, “Ŋere, iyandi ze ti toꞌdɔ mötu kɔzɔ ꞌba Yowani ame kiyandi bɔ kösö gɔ bo ga ti mötu ne.”
LUK.11.2	Bo ënyï kileki kiya zïnnï, bo iya te, “Ɔdɔ këddï kumötuke iyake te, ‘ꞌBu ze möyï yï köꞌbö rɔ ma koro. Iꞌdi ŋere löbu ꞌbï kako. 
LUK.11.3	Oja gɔ akonyo ꞌba mï kada ma dɔ kɔtɔ nduwë zize. 
LUK.11.4	Ola ze gɔ lende kënyë ze ga römöyï dola ya ma pili kirasi lende zize naga. Tine kinza koto ze dë mï bi ꞌba akiyɔzɔ.’”
LUK.11.5	Kina bo kënyï kiya dɔŋgala nime zïnnï, bo iya te, “Ɔdɔ bɔ mɔtɔ këdï ti bɔ pɔri bo kina bo kënyï kari teyi mï zana korɔndɔ kïdëkï kiya te, ‘Bɔ pɔri ma, iꞌdi maŋgolɔꞌbɔ mota zö, 
LUK.11.6	ŋba ma mɔtɔ ömö ꞌdeni rɔma ꞌdë yayi. Kina me minza ti ɔtɔ tiꞌdi mo zi bo tonyo mo.’ 
LUK.11.7	Kina bɔ ma tönë ꞌdeni rö ne kënyï kileki dɔmo, iya te, ‘Kinza kogba dɔma dë, ulölï kpadörï ꞌdeni teyi döꞌdö ꞌdeni bërï ti bɔyi ma ga. Mënyï dë kpe tɔrɔ ꞌdɔ tiꞌdi ɔtɔ zïyï.’
LUK.11.8	Rɔ ma laka miya ziye, ɔdɔ bo kënyï dë pele tɔrɔ tiꞌdi maŋgolɔꞌbɔ gɔ lende ꞌba pɔri ꞌbënnï ma mï löŋgö lïjë, ne gɔ ame bɔ nima këdï kïdëkï ŋgï nduwë rɔ atiri ne bo ti kënyï ŋgï tɔrɔ kogba kiꞌdi zi bo rɔ mbëmbë kɔzɔ ma bo koꞌdɔkɔ tara.
LUK.11.9	Kina me mëdï miya ziye, ititi kina ti kiꞌdi ŋgï zïyï. Oma kina ti koꞌja ŋgï. Ukökö kina ti kurögö kpadörï ŋgï zïyï. 
LUK.11.10	Römöyï lïjë ame ga pili kititi ne iꞌdi ŋgï teyi. Lïjë ame ga pili koma ne oꞌja ŋgï. Kina zi ame ga kukökö ne urögö ŋgï.
LUK.11.11	Nï ꞌbu ma yala na ɔdɔ kole ꞌbï kïdëkï kenze kënyï kogba za rɔ murë na kiꞌdi teyi? 
LUK.11.12	Ala ɔdɔ kole kïdëkï ꞌbö töru kënyï kogba za rɔ nyï na kiꞌdi teyi? 
LUK.11.13	Ne ɔdɔ kpe ame rɔ bɔ lende kënyë ne kikalike tiꞌdi a ma laka zi kole ꞌbe ga kɔzɔ a nime te tine rɔ ma laka ꞌbu ye ame mïtɔrɔ ne ti kiꞌdi ꞌba bo Nyï Kɔtɔ Laka ŋgï zïnnï lïjë ame ga kititi di zi bo ne.”
LUK.11.14	Yësu ëdï toga nökï mɔtɔ ame kudödu kpa bɔ mo ꞌdeni teyi ne. Kina ɔdɔ kitaꞌba ꞌdeni yaga di dɔmo tine na bɔ mo tönë kpamo kudödu pa teyi ne kënyï ŋgï tilende. Kina lende mo kigayi tïndï naga nima ŋgï. 
LUK.11.15	Tine ya mɔtɔ ga di mï löŋgö tïndï nima iya te, “Bo ëdï koga nökï naga nima ti közï kakpa ꞌba Belezebola ŋere ꞌba nökï ni.”
LUK.11.16	Tine ya mɔtɔ ga iyɔzɔ bo kititi bo toꞌdɔ gɔ kotɔ ame ꞌdɔ kileme Bɔkoꞌba na koja bo ne. 
LUK.11.17	Yësu ikali meri ꞌbënnï nima ꞌdeni mɔlo na bo kiya te, “Dɔliŋɔ ame koza mïnï ꞌdeni toꞌdɔ ya rɔ gɔ rönï ne ti kïyëyï rönï ŋgï. Kina kpa gɔli ame koza mïnï toꞌdɔ ya rɔ gɔ rönï ne ëdï kitaꞌba ŋgï. 
LUK.11.18	Kina me ɔdɔ Satani koza mïnï ꞌdeni toꞌdɔ ya ti gbagba nï dɔliŋɔ ꞌbënnï ti kɔrɔ tondo? Mëdï miya te römöyï iyake te moga nökï ti közï kakpa ꞌba Belezebola. 
LUK.11.19	Ne ɔdɔ mëdï moga ꞌbama ti közï kakpa ꞌba Belezebola tine, lëpï ye naga nima ëdï koga ꞌbënnï ti waꞌdi? Ndɔbɔ ꞌbënnï nima na ti kodɔrɔ bïcï lende rɔye. 
LUK.11.20	Kina me ɔdɔ mëdï moga nökï ti közï kakpa ꞌba Bɔkoꞌba rɔ ma laka ŋere löbu abo ako ꞌdeni mï dɔyayi.
LUK.11.21	Kɔzɔ ma kikalike bɔ tigɔ ame ti jama ꞌba ya abo ga ndö toda bi timo di rɔ liŋɔ abo ne, abo ga oloma köꞌbö te gɔ bi mo. 
LUK.11.22	Ne ɔdɔ bɔ mɔtɔ ame kembe kebe bo ne na kalo dɔ bo kaꞌda bo kina ti kolɔ jama ꞌba ya abo tönë ga bo këdï koloma rɔ kɔmɔ ne ŋgï koza abo tönë ga pili.
LUK.11.23	Bɔ ame koꞌdɔkɔ ma dë ëdï rɔ ndoꞌji tö. Kina bɔ ame kotɔtɔ kpamo dë tö ëdï ꞌba bo tïyëyï yïmo.
LUK.11.24	Ɔdɔ nökï kitaꞌba ꞌdeni di dɔ bilaka ënyï kari mï gɔki toma bi ꞌba rɔ kindawo zi bo. Kina ɔdɔ bo koꞌja dë tine na bo kënyï kiya zi gbagba bo, bo iya te, ‘Ti mileki mari mï rö ma nime mënyï di yïmo ne.’ 
LUK.11.25	Kina ɔdɔ bo kako koꞌja kona yïmo ꞌdeni kiyija a mo ga laka 
LUK.11.26	tine na bo kileki ŋgï kari koꞌde nökï ma modɔmorïyö mɔtɔ ga ame kënyë ŋgï rɔ dɔ kiteli kebe bo ne. Kina lïjë kako koloma ŋgï yayi. Tine na kɔsɔ loma ꞌba bɔ nima këdï kënyë ŋgï kulöwö kiteli ma dɔgba.”
LUK.11.27	Kina ɔdɔ Yësu kiya lende nime ꞌdeni te tine na ꞌja mɔtɔ kënyï kilende di mï löŋgö tïndï naga nima, iya te, “Ma tɔ nime köyö yi kiꞌdi mba kpëyï ne na ti yëyï.”
LUK.11.28	Bo ileki dɔmo iya te, “Ma rɔ dɔ kiteli mo lïjë ame ga kuwö lende ꞌba Bɔkoꞌba lïjë koꞌdɔ ŋgï tara ne na ti yëyï.”
LUK.11.29	Kina ɔdɔ tïndï naga nima këdï kozoli rönnï ꞌdeni nduwë teyi tine na Yësu kënyï kiya zïnnï, iya te “Kpe bɔ titi ma leꞌjete naga nime ŋgï rɔ akënyë. Ebeke tititi akileme tine inza kileme du te ziye, ne ŋge kɔtɔ rɔ ma tönë ꞌba Yona. 
LUK.11.30	Kɔzɔ ame Yona rɔ akileme ma löbu zi bilaka ꞌba Nïnëwë ne, kole ꞌba bilaka lesi ti këdï gbï tara ziye kpe bɔ titi ma leꞌjete naga nime.
LUK.11.31	Mï kada ꞌba burë ꞌja bɔ dɔliŋɔ ꞌba Seba tönë ti kɔrɔ kɔmɔ kïtï ꞌba burë todɔrɔ bïcï lende rɔye kpe bɔ titi ma leꞌjete nime. Römöyï lɔko ako tönë ŋbö rɔ ma kɔwɔ di mï dɔliŋɔ ꞌbënï tuwö akikali mbëmbë ꞌba Solomo. Kina me rɔ ma laka mëdï miya ziye bɔ mɔtɔ ëdï bine ame kebe Solomo. 
LUK.11.32	Kina bilaka ꞌba Nïnëwë ti kënyï gbï kɔrɔ todɔrɔ bïcï lende rɔye bɔ titi ma leꞌjete naga nime römöyï lïjë uwö dɔ Yona lïjë kotɔ dönnï. Kina me bɔ mɔtɔ ame kebe Yona ne ëdï ꞌdeni bine.
LUK.11.33	Bɔtɔ mɔtɔ iꞌdi paꞌdo dë dɔ lamba kënyï kogba kiꞌdi mï gɔ bi ame rɔ ma kusu ne ala kutuꞌbö dɔmo teyi ti kete. Tine ëdï kïdëyï lamba ŋgï dɔ a ꞌba tïdëyï mo ꞌdɔ kiyɔpɔ bi zi bilaka ame ga këdï kako yayi ne. 
LUK.11.34	Kömöyï na rɔ lamba ꞌba röyï. Ɔdɔ kömöyï këdï laka yida röyï pili ti këdï mï bi kɔpɔ. Ne ɔdɔ kömöyï kele dë yida röyï pili ti këdï mï mandölu. 
LUK.11.35	Kina oŋgɔ laka kinza dökïꞌdï yï ame rɔ bi kɔpɔ ꞌba dïdï yï ne këdï ra rɔ bi kölu. 
LUK.11.36	Ɔdɔ yida röyï këdï ꞌdeni pili mï bi kɔpɔ kapa mɔtɔ kinza kpe mï mandölu ti këdï ꞌdeni ŋgï rɔ ma laka kɔzɔ bi ame lamba kiyɔpɔ ne tara.”
LUK.11.37	Di pötö mo Yësu kote tiya lende nime ꞌdeni na Parosi mɔtɔ kose Yësu tari rɔ ŋba liŋɔ abo. Kina bo kari ŋgï lïjë koloma kpa tarabiza. 
LUK.11.38	Kina ɔdɔ Parosi nima bo koŋgɔ Yësu ŋgï koꞌdɔ dölëtï ꞌba közï kurögö dë titi dɔgba ꞌdɔ konyo akonyo ꞌjaa tine lende mo igayi bo ŋgï. 
LUK.11.39	Kina ŋere Yësu kileki kiya zi Parosi nima, iya te, “Kpe Parosi ni ti dölëtï ꞌbe nima urögöke gɔ kösu ti gɔ gata na kɔpɔkɔpɔ tine mïye lɔ ti mï kututu ni ti lende kënyë. 
LUK.11.40	Kpe a rumö naga nime, bo bɔ kɔtɔ koꞌba gɔ ma yaga nima na dë gbï koꞌba yïmo ma mïyö? 
LUK.11.41	Iꞌdike di yïmo ti mï këyï zi bɔ lisa. Kina ti wa pili këdï ŋgï rɔ ma kɔpɔ ziye.
LUK.11.42	Buꞌbu ziye kpe Parosi ni, dɔdoro ꞌba wa ꞌba mï nyaka ꞌbe ga ame pele wötï ne kapa ma ꞌbutë mo öꞌböke dë di bi tiꞌdi mo zi Bɔkoꞌba. Tine burë ma kodɔrɔ ti akɔꞌɔ ꞌba Bɔkoꞌba mo ebe kolake za yaga. Wa naga nime dëne na ꞌdɔ koꞌdɔke ra kpaki rɔ gɔmo kinza tola mɔtɔ mo.
LUK.11.43	Buꞌbu ziye kpe Parosi ni, akiteri ꞌbe rɔ kïtï ma löbu dɔgba naga di mï rö ꞌba mötu. Kina gbï ꞌdɔ kumötö ye kɔzɔ bɔ rɔ koro tara di mï bi ꞌba ndögö. 
LUK.11.44	Buꞌbu ziye, kpe ŋgï kɔzɔ dögö ame kinza kitaka dë bilaka këdï kiliŋgere ŋgï kebe dɔmo kinza kikali dë tine kebe tirasi bilaka ne.”
LUK.11.45	Bɔ kɔmɔ kiyandi mɔtɔ ꞌba köꞌdu kiꞌdi iya zi bo te, “Bɔ kɔmɔ kiyandi, wa naga nima kiya ne ëddï ꞌdeni gbï tiya ze.”
LUK.11.46	Yësu ileki dɔmo, iya te, “Buꞌbu ziye kpe bɔ kɔmɔ kiyandi ꞌba köꞌdu kiꞌdi ni. Iꞌdike akïrïndï ame bɔtɔ kɔꞌbɔ tombi mo dë ne dɔ bilaka tine ꞌdɔ kojake dɔkole közïye tɔ ŋge tokɔnyi lïjë ne inza yɔ. 
LUK.11.47	Buꞌbu ziye, kpe ebeke toꞌba dögö bɔ kumë lende tönë ga ꞌbu ye löbu ga kupö ne. 
LUK.11.48	Ilemeke rɔye ꞌdeni ma kikalike gɔ kɔkɔ ꞌba ꞌbu ye löbu ga kutïke ꞌdeni gɔmo. Lïjë upö bɔ kumë lende ni ꞌdeni kina me kebeke ꞌdeni toꞌba dögö mo ga. 
LUK.11.49	Gɔ köꞌdu mo na ꞌdɔ Bɔkoꞌba kiya ti akikali abo, kiya te, ‘Ti moja bɔ kumë lende ni ti bɔ laja ma ga kari zïnnï. Mɔtɔ mo ga lïjë ti kupö yaga tine mɔtɔ ga lïjë ti kodɔ rɔ gomɔ rɔmo.’ 
LUK.11.50+LUK.11.51	Kina ti roma bɔ kumë lende naga nime kupö mɔlo bine kisaki di bi toꞌba dɔliŋɔ nime, di zi roma Abele ŋbö kömö zi roma Zakariya ame kupö mï löŋgö bi ꞌba akumu ni ti rö löbu ꞌba Bɔkoꞌba ne ti kileki dɔye kpe bɔ titi ma leꞌjete naga nime. Rɔ ma laka miya ziye, roma naga nime ti kileki dɔye bɔ titi ma leꞌjete naga nime.
LUK.11.52	Buꞌbu ziye kpe bɔ kɔmɔ kiyandi ꞌba köꞌdu kiꞌdi ni, ulölïke kpadörï ꞌba akikali teyi kinza ma kpe mo kɔdɔke dë teyi yɔ kirakpake kpa ya ame ga këdï kɔdɔ ne.”
LUK.11.53	Kina ɔdɔ Yësu kënyï ꞌdeni di yayi tine bɔ kɔmɔ kiyandi ni ti Parosi ni ebe ŋgï tiya kpa kënyë rɔ bo, gbï tititi kpa bo gɔ lende ma konzi. 
LUK.11.54	Römöyï lïjë ëdï toꞌba bo gɔ lïjë kindaꞌba bo ɔdɔ bo kiya a mɔtɔ rɔ ma kënyë.
LUK.12.1	Kina ɔdɔ tïndï ꞌba bilaka ame ŋgï rɔ kuluku ma kinza kiya ne komɔmi rönnï ꞌdeni yayi këdï kïdïrï rɔ ŋgï rɔ ma kënyë tine, na Yësu kënyï titi dɔgba kiya zi bɔ kösö gɔ bo ga, iya te, “Iꞌdike kɔmɔye kandi laka di zi kɔmɔ kandi ꞌba Parosi ni laŋga ꞌba ꞌbölu ꞌbënnï nima. 
LUK.12.2	Wa pili ma kusu dɔmo naga ti koja yaga. Kina gbï ame ga pili rɔ ma kusu ne ti kumö yïmo yaga. 
LUK.12.3	Wa ame kiya mï bi kölu ti kïyëtï gɔmo yaga mï bi kɔpɔ. Wa ame kiya rɔ kore di rö ti kuwöwö ꞌdeni yaga mï zana lala.
LUK.12.4	Kina me mëdï miya ziye bɔ pɔri ma ga kinza kereke dë di zïnnï lïjë ame ga këdï kupö ŋge rɔ yida rɔ kɔꞌbɔ toꞌdɔ a mɔtɔ dë kpe di pötö mo ne. 
LUK.12.5	Ti mileme bɔ ame ꞌdɔ kereke ne ziye. Bɔkoꞌba ame di pötö tupö yida rɔ këdï gbï ti közï kakpa tuꞌdu yi mï paꞌdo ꞌba Gehena ne na rɔ ma laka miya ziye bo na ꞌdɔ kereke.
LUK.12.6	Oŋgɔke te tara ne ndögö ꞌba silɔ muyï dë ŋge ti taripa rïyö? Tine rɔ ma laka dɔ Bɔkoꞌba udölu dë di gɔ ma kɔtɔ mɔtɔ mo. 
LUK.12.7	Ne kpe sunë ꞌba dɔye bo ïtëtë gɔmo kikali gɔmo me rɔ kɔtɔkɔtɔ. Kinza kereke dë. Kpe na rɔ dɔ kiteli zi bo kebe silɔ ma konzi.
LUK.12.8	Rɔ ma laka miya ziye, bɔ ame kiya yaga bi kɔpɔ, kiya te bo ꞌba ma na ne kole ꞌba bilaka lesi ti koꞌdɔ gbï tara zi bo di kɔmɔ malayika ꞌba Bɔkoꞌba. 
LUK.12.9	Ne bɔ ame kilagi ma yaga kɔmɔ bilaka ne ti milagi gbï di rɔ bo tara di kɔmɔ malayika ꞌba Bɔkoꞌba. 
LUK.12.10	Bɔtɔ ame kiya kpa bo gɔ kole ꞌba bilaka lesi ne ti kola gɔ lende kënyë nima. Ne bɔtɔ ame kitiꞌja Nyï Kɔtɔ Laka inza kola du te gɔ lende kënyë nima.
LUK.12.11	Ɔdɔ koto ye kɔmɔ bɔ dɔ rö ꞌba mötu ni ti turu kinza kiꞌdike kɔmɔye kïlëꞌdï dë gɔ wa ame ꞌdɔ kiyake ne 
LUK.12.12	römöyï Nyï Kɔtɔ Laka na ti kiyandi ye mï kada mo nima ti wa ma ꞌdɔ kiyake.”
LUK.12.13	Bɔ mɔtɔ di mï löŋgö tïndï naga nima ënyï kilende zi Yësu, iya te, “Bɔ kɔmɔ kiyandi, ilende zi bɔ löndö ma ꞌdɔ doza mï wa pötö ꞌbu ze rɔ ma koriya ti bo.”
LUK.12.14	Yësu ileki dɔmo zi bo, iya te, “Bɔne, yë na koꞌdɔ ma rɔ ŋere tote burë ꞌba mï löŋgö ye?”
LUK.12.15	Kina bo kebe ŋgï nati nduwë tiya mo zïnnï, bo iya te, “Iꞌdike kɔmɔye kandi laka, olomake ti bi koda di zi kupö ꞌba mï löbu gɔ wa. Dïdï ꞌba bilaka lesi inza gɔ lende ꞌba akonya ma nï mɔtɔ këddï timo.”
LUK.12.16	Kina bo koloma ŋgï rɔ tiya dɔŋgala nime zïnnï, iya te, “Yayi ꞌba bɔ wa ma kɔtɔ mɔtɔ oja wa ꞌdeni konzi. 
LUK.12.17	Kina bo komeri rɔ bo, bo iya te, ‘Ti moꞌdɔ tondo? Minza kpe ti bi mɔtɔ tiꞌdi a ma naga nime teyi.’ 
LUK.12.18	Tine bo iya te, ‘Ne ti moꞌdɔ te, ti mïyëyï mata ma nime yaga ꞌdɔ mubö löbu. Kina gɔ mikeki nyönyu ma ti jama ma ga pili yïmo. 
LUK.12.19	Kina ꞌdɔ miya zi yida rɔma, miya te, “Yida rɔ, nï ꞌdeni ti wa ma laka rɔ mbëmbë ulu ꞌdeni ꞌdɔ koꞌdɔ kɔmɔ kɔɔ konzi. Kinza kupö röyï dë kpe. Onyo, kuwë kina oloma ti lɔ ti lɔŋɔ.”’ 
LUK.12.20	Tine Bɔkoꞌba ilende zi bɔ nima, iya te, ‘Nï rumö nime, mï korɔndɔ nime tɔne ëdï koꞌdɔkɔ dïdï nima yaga di zïyï. Ne ëꞌbï naga nima kulu zïyï ne ti kola zi yë?’”
LUK.12.21	Kina Yësu kileki kiya zïnnï, iya te, “Kina ti këdï te zi lïjë ame ga kulu kpa wa zïnnï lïjë rɔ bɔ mɔri tine kinza ti ɔtɔ zi Bɔkoꞌba ne.”
LUK.12.22	Kina Yësu kënyï kiya zi bɔ kösö gɔ bo ga, bo iya te, “Rɔ ma laka miya ziye, kinza kolomake dë ti kɔmɔ kïlëꞌdï gɔ akonyo ꞌba ꞌdɔ tulu yida rɔye timo, ala gbï gɔ bɔŋgɔ ma ꞌdɔ kɔlɔke rɔye. 
LUK.12.23	Dïdï na rɔ dɔ kiteli di dɔ akonyo. Kina yida rɔ na rɔ dɔ kiteli di dɔ bɔŋgɔ. 
LUK.12.24	Oŋgɔke gora ni te, lïjë orɔꞌdɔ ɔtɔ dë gbï yɔ ala kumu ɔtɔ. Mata ꞌba tikeki wa inza gbï yɔ zïnnï. Tine pele tara Bɔkoꞌba na këdï kulu lïjë. Tara ne kpe na dë kulöwö mbiri rɔ dɔ kiteli di dɔ yali?
LUK.12.25	Yë na ti kɔꞌbɔ tiyese gɔ loma abo kɔwɔ mbowa mï dɔyayi nime ti kɔmɔ kïlëꞌdï ꞌba gɔ wa? 
LUK.12.26	A ma mbowa ma kɔzɔ a nime te ɔꞌbɔke dë yɔ toꞌdɔ mo, ne ëddï kupöke rɔye ti kɔmɔ kïlëꞌdï gɔ a mɔtɔ ga gɔ waꞌdi?
LUK.12.27	Oŋgɔke döwöru ni te, lïjë oꞌdɔ ndɔbɔ dë gbï toma bɔŋgɔ rönnï. Ne rɔ ma laka miya ziye, bɔ dɔliŋɔ Solomo pele ti wa mbëmbë abo naga nima usu bɔŋgɔ ma kele kebe döwöru ni dë. 
LUK.12.28	Ne ɔdɔ Bɔkoꞌba na këdï kiyada mɔli ni ame këdï koꞌja tɔne bine tine tïlëndö dayi kusu paꞌdo ꞌdeni yïmo kilaŋma yaga ne, bo ti kola ye kinza tusu bɔŋgɔ rɔye? Kpe wa kinza kiꞌdi dönnï laka gɔ lende ꞌba Bɔkoꞌba naga nime.
LUK.12.29	Kinza kombike dökïꞌdï ye dë gɔ wa ma ꞌdɔ konyoke ala kuwëke. Kinza kolomake dë ti kɔmɔ kïlëꞌdï gɔmo. 
LUK.12.30	Wa naga nime na ya ma kinza kikali Bɔkoꞌba dë naga këdï kulö ꞌbënnï dönnï gɔmo di mï dɔliŋɔ bine. Ne ꞌbu ye Bɔkoꞌba ikali ꞌdeni ma koꞌdɔkɔke wa naga nima. 
LUK.12.31	Tine kpe kɔri ꞌba ŋere löbu abo na ꞌdɔ kulöke dɔye gɔmo toma mo kina ti kiꞌdi wa naga nime ꞌdeni gbï ziye.
LUK.12.32	Kinza kereke dë, kpe kamölö mbowa naga nime, römöyï mï ꞌbu ye Bɔkoꞌba oŋmi ꞌdeni rɔye tiꞌdi ŋere löbu abo ziye. 
LUK.12.33	Ugöke wa ꞌba gbagba ye ga mökö kozake gïrïsï mo zi bɔ lisa ni. Kina ꞌdɔ makpɔtɔ ame rɔ ŋburuŋburu kinza kikali tirica dë ne na koꞌdeke ziye. Uluke kpa mɔri ziye mïtɔrɔ ame gɔ a mo ga koloma ŋgï kinza kïndïrïmu dë bɔ ꞌbögö kömö dë gbï teyi madɔböndï ni konyo dë gbï kirasi yaga ne. 
LUK.12.34	Römöyï bi ame kulu kpa ëꞌbï ga teyi ne na dökïꞌdï yï köꞌbö ŋburu gɔmo.
LUK.12.35	Obilike kpa bɔŋgɔ ꞌbe ga ndö bi kabi ye toda dɔ ndɔbɔ. Iꞌdike lamba ꞌbe ga köꞌbö rɔ ma köbö 
LUK.12.36	kɔzɔ bɔ laja ame këdï koda ŋere ꞌbënnï ma këdï kileki kako di mï ŋbele ꞌba gbe. Ɔdɔ bo kömö kukökö yɔ na ti lïjë kiriŋa ŋgï welo kurögö kpadörï zi bo. 
LUK.12.37	Bɔ laja ame ga ŋere ꞌbënnï kömö koꞌja lïjë këdï ndö toda bi ne na ti koꞌja yëyï. Rɔ ma laka miya ziye, bo ti kolɔ bɔŋgɔ abo yaga bo kïdëkï lïjë kako rɔ akonyo bo ŋere ꞌbënnï kënyï koja laja koza zïnnï. 
LUK.12.38	Ɔdɔ bo kömö pele mï zana korɔndɔ ala mï kano bi yëyï nima ti këdï ŋgï tïnnï ɔdɔ bo kako koꞌja lïjë këdï rɔ ma koŋgɔ bi ti bi koda.
LUK.12.39	Kina uwöke lende nime laka. Ma kiya te bɔ dɔ liŋɔ këdï kikali kada ame bɔ ꞌbögö këdï kako yïmo ne ra dëne bo inza kënyï kola liŋɔ abo kuꞌbögö. 
LUK.12.40	Kina kpe gbï olomake ti bi koda römöyï kole ꞌba bilaka lesi ëdï kömö mï kada ame komerike dë ꞌdɔ bo kömö yïmo ne.”
LUK.12.41	Pïtörö ënyï kititi bo, iya te, “Ŋere, dɔŋgala nime ëddï kiya ŋge zize ala zi bilaka pili rɔ buru?”
LUK.12.42	Ŋere Yësu ileki dɔmo, iya te, “Bɔ laja ame kiliya rönï ti mï këddï rɔ bɔ akikali ne bo na rɔ bɔ ame ŋere ꞌbënnï kiꞌdi bo rɔ bɔ dɔ lëpï bo ga toŋgɔ gönnï toza akonyo ꞌbënnï zïnnï mï saa mo kina bo koꞌdɔ ŋgï ko tara ne. 
LUK.12.43	Ti këdï rɔ ma laka zi bɔ laja nime ɔdɔ kiya te ŋere ꞌbënnï kako koꞌja bo ŋgï këdï rɔ toꞌdɔ mo kɔzɔ a nime te. 
LUK.12.44	Rɔ ma laka miya ziye, ŋere nima ti kiꞌdi bɔ laja mo nima ŋgï rɔ bɔ dɔ abo ga pili. 
LUK.12.45	Ne ɔdɔ bɔ laja nima kiya zi gbagba bo te, ‘Ŋere ze ëdï kigabi yayi, inza kako ca,’ kina bo kodowe ŋgï tomba bɔ laja ama ga, bo konyo kpa bo, bo kuwë ŋbö layi kupö bo, 
LUK.12.46	kina bɔ dönnï nima ti kömö ŋgï tuguꞌdu mï kada mo ame bo komeri dë ꞌdɔ kömö yïmo ne. Kina ti ŋere komba bo ŋgï kuꞌdu bo yaga mï löŋgö bɔ lende kënyë ni.
LUK.12.47	Bɔ laja ame kikali akoꞌdɔkɔ ꞌba ŋere abo tine bo kileŋo rɔ bo dë ndö toꞌdɔ mo ne ti kodɔ karama ma kïrïndï dɔmo ti nyɔꞌbɔ. 
LUK.12.48	Ne bɔ ame kikali dë mɔlo ɔdɔ koꞌdɔ pele kɔcɔ ti komba ŋge mbowa. Bɔ ame kiꞌdi mbiri teyi ti koꞌdɔkɔ gbï mbiri di teyi. Bɔ ame kiꞌdi teyi kulöwö ti koꞌdɔkɔ gbï kulöwö di teyi.
LUK.12.49	Paꞌdo na mako ꞌdeni tusu mo dɔliŋɔ. Kina ame moꞌdɔkɔ ne öbö ꞌdeni mɔlo. 
LUK.12.50	Mako ꞌdeni tombi gomɔ ꞌdɔ tölë. Dökïꞌdï ma rɔ ma kombi gɔ lende mo ŋbö ɔdɔ kote rönï ꞌdeni tine na ꞌjaa. 
LUK.12.51	Ma komerike ꞌbeye tëgë lende këyï na mako toꞌde mo mï dɔliŋɔ? Rɔ ma laka miya ziye, inza tara, rɔ koza na moꞌde. 
LUK.12.52	Kisaki di mï kada nime tɔne kpa gɔli ame ti bilaka mo ga muyï ne ti koza mïnnï, ma mota kënyï toꞌji ya ma rïyö kina ma rïyö mo naga nima ti kënyï toꞌji lïjë ma mota naga nima. 
LUK.12.53	ꞌBu ti koꞌji kole kina kole ti koꞌji ꞌbu. Ma ti koꞌji nyiti kina nyiti ti koꞌji ma. Mese ti koꞌji ꞌja ꞌba kole kina ꞌja ꞌba kole ti koꞌji mese.”
LUK.12.54	Kina Yësu kileki ꞌböwu kiya zi bilaka naga nima, iya te, “Ɔdɔ koꞌjake pɔli kombi ꞌdeni di dɔ tɔrɔ iyake te tɔrɔ ëdï kagba. Kina kaꞌdi ŋgï ko rɔ ma laka. 
LUK.12.55	Ɔdɔ lili këdï kome kako di dɔ roꞌɔ, iyake te bi ëdï kututu. Kina bi kututu ŋgï ko rɔ ma laka. 
LUK.12.56	Kpe bɔ kɔmɔ kandi naga nime, ɔdɔ koŋgɔke mï dɔyayi ni ti kɔmɔ pɔli ïyënïke ma këdï kuyï rönï mo ga ŋgï te dɔmo. Ne gɔ waꞌdi na kikalike dë tïyënï wa ma leꞌjete naga nime?
LUK.12.57	Gɔ waꞌdi na kikalike dë toza wa ma laka? 
