MRK.1.1	Igii e tanwaran Rokap na Fafas ulo Iesu Karisito, Kalalik ke God.
MRK.9.27	Isau le Iesu ka pose na lima, ka faptih u, ma ka sotih.
MRK.9.28	Aunbiing Iesu turan berberat na fafausum kia ri ka kau una fel, ke ri ka diik fakum u sau aragii, “Isi sanih ke biil ifasih kemen tel ufu tanwa laulau koseng kalalik ae?”
MRK.9.29	Iesu ka kiliis ri aragii, “Matngan tanwa laulau arae, rin tel ufu sau ini sising. Biil ini ti tier sabin.”
MRK.9.30+MRK.9.31	Ri ka aptih tinaiwa ma ri ka soleng nanal na Galili. Iesu i ier le in fausum berberat na fafausum kia, pesu biil i ier le tikas in usum na falifuh ae ri la wa. Ma Iesu ka tara aragii, “Rin ta ufu Kalalik ken Kaltu una liman fanu ma rik siimete u. Ma na fatuul u e biing in aptih fis sabin.” 
MRK.9.32	Isau le biil ri malal una kamtinan orek kia, ke ri ka sokeh isi rin diik u.
MRK.9.33	Ri ka tapiek na Kapernaum. Ma aunbiing ri tinaiwii na palgan fel, Iesu ka diik ri aragii, “Sanih gam famam fapue kuna tole sal?” 
MRK.9.34	Isau le biil ri kiliis u, wara le ri fapue tah tole sal le seh i laumet lo ri tikii.
MRK.9.35	Iesu ka kiis ke ka kam sangful ini u e kalalik na fafausum kia ma ka fas ri aragii, “Male tikas i ier le in tapiek famfamu, in fasabiro u tom ke ik tapiek tom foim ken fanu tikii.”
MRK.9.36	Ke, ka tangne pes nenge fabiro kalalik ma ka fasotih u na fatpoto ri, ka diit papte u, ke ka fas ri aragii, 
MRK.9.37	“Male tikas i somangat pes ti fabiro kalalik arae neng igii na asang, i somangat pes iau sabin. Ke male tikas i somangat pes iau, biil i somangat pes iau sau, i somangat pes ier tom ae i wuun ufu ta iau.”
MRK.9.38	Jon ka fas Iesu aragii, “Tom fafausum, kemem par nenge kaltu i tel ufu foron tanwa laulau ini asam, ke kemem ka ier isi tikale u, wara le biil i neng lo kerer.”
MRK.9.39	Iesu ka fas ri aragii, “Gong gam tikale u. Biil ifasih tikas in fatapiek ti fakileng ini asang, ke namih sau ik use ti tier laulau ulo iau. 
MRK.9.40	Wara le seh biil i tikale kerer, i neng lo kerer. 
MRK.9.41	Tekentu kanaka, ia fas gam, male tikas i faumin gam ini ti kap na dan, wara le gam ke Karisito, in kep fifiil kia tom.
MRK.9.42	“Male seh i faluut tikas lon birbiron berberat igii ae ri unune lo iau, in rokap le rin kabet ti tara fat tah na kongkongo ma rik fadom ta u na palgan tes. 
MRK.9.43+MRK.9.44	Male limam i faluut o na sinang laulau, ke on ting ufu. In rokap male on kep liu fitliu ini kumuk, tarama o ka sok ini iu e limam turim na tara yiif ae biil i met la. 
MRK.9.45+MRK.9.46	Male nenge kekem i faluut o na sinang laulau, ke on ting ufu. In rokap male on kep liu fitliu ini kumuk, tarama rin lin o turan iun kekem turim una tara yiif.
MRK.9.47	Male nenge kolson matam i faluut o na sinang laulau, on au ufu. In rokap male on kau na matanfuntih ke God ini in tikii sau e kolson matam, tarama rin lin o ini iun kolson matam turim una tara yiif. 
MRK.9.48	Aiwa na yiif ae,
MRK.9.48	‘foron sisii ae in sus ri, biil ri met la,
MRK.9.48	ke yiif sabin ae biil i met la.’”
MRK.9.49	Fan Iudaia ri fafuuh foron fafen la usuf God ini tes, arae sau rin fafuuh fanu tikii ini yiif.
MRK.9.50	Tes i rokap, isau male in rop e musmus lo, ke arafah mang rin famusmus fafis u arae? Biil ifasih. Tes i farokap foron inen la, arae gam sabin gamen tapiek arae rokap na tes ae in fatapiek siaroh na fatpoto gam.”
MRK.10.1	Ke, Iesu ka aptih tinaiwa, una nanal na Iudaia, ma ka sopaket dan na Ioridan. Ma tara gur na fanu ri ka la usuf i, ke ka fausum ri arae tom i tel u la.
MRK.10.2	Fal e Farasi ri ka la usuf i isi rin tof u. Ke ri ka diik u aragii, “I tortores tom na nagogon kirer le nenge kaltu in lin antu, le biil?”
MRK.10.3	Ke Iesu ka kiliis ri aragii, “Moses i ta Nagogon arafah tah usuf gam?”
MRK.10.4	Ri ka kiliis u aragii, “Moses i somangat le nenge kaltu in sisiit na nenge aun buk una puk fakekel, isi ik lin antu.”
MRK.10.5	Iesu ka fas ri aragii, “Moses i siit ta nagogon ae usuf gam i wara le balmi i sorokai kanaka. 
MRK.10.6	Isau le, tina tanwaran fakfakiis, ‘God i fakiis ta fanu, isi rin tapiek tamat ke fifin.’ 
MRK.10.7	‘I e wara ke nenge kaltu ik la koseng tama ru e tina, ma ik kiis turim tura antu, 
MRK.10.8	isi ruk tapiek arae itikii sau.’ Ma biil mang in u lo ruh, run tapiek arae itikii sau. 
MRK.10.9	Pesu, sanih ae God ka faturim ta u, gong tikas i tempaek u.”
MRK.10.10	Ri ka fis sabin una fel, ke berberat na fafausum ri ka diik Iesu sabin isi sanih ae i use ta u. 
MRK.10.11	Ka kiliis ri aragii, “Male tikas i lin antu, ma ka telpes ti fifin sabin, kaltu ae i tel sinagun puur usuf antu famu. 
MRK.10.12	Ke, male ti fifin i lin antu ma ka telpes tikas sabin, fifin sabin ae i tel sinagun puur.”
MRK.10.13	Fale fanu ri ka filange birbiron berberat usuf Iesu isi in luun lima na olri. Isau le berberat na fafausum kia ri ka tikale ri. 
MRK.10.14	Aunbiing Iesu i par u arae, ma ka ngaliaf ke ka fas ri aragii, “Gam sok ufu birbiron berberat ae usuf iau. Gong gam tikale ri. Wara le matanfuntih ke God, ken fanu ae ri arae berberat igii. 
MRK.10.15	Tekentu kanaka ia fas gam, male tikas i ier isi in kau na matanfuntih ke God, isau le biil i arae fabiro kalalik, biil tom ifasih in kau.” 
MRK.10.16	Ke ka diit pes berberat ae, ka luun iun lima lo ri, ke ka fakalok ri.
MRK.10.17	Aunbiing Iesu ka tipes la sabin, nenge kaltu ka filau usuf i, ke ka ilepul na mata, ma ka diik u aragii, “Rokap na Tom Fafausum, sanih ian tel u isi iak kep liu fitliu?”
MRK.10.18	Ke Iesu ka kiliis u aragii, “Isi sanih o ka foteng iau le ia rokap? Biil tikas i rokap, God keskes sau. 
MRK.10.19	O ka usum tah na foron nagogon: ‘Gong o siimete tikas, gong o tel sinangun puur, gong o suksukuum, gong o tiu foes tikas, gong o lem pes ti tier ken tikas, on bulat lo tamam ru e tinam.’”
MRK.10.20	Kaltu ae ka kiliis u aragii, “Tom Fafausum, tipes u na aunbiing ia kalalik tah, ka papang igii, ia misuut la na foron nagogon tikii igii.”
MRK.10.21	Iesu ka par una mata, ma ka mais kanaka u, ke ka tara sing i aragii, “Nenge tier biitom on tel u. La ma ok luun foron minmaram tikii isi fanu rik fiil u ma pitkalang lo, on ta u usuf foron lauu. Male on tel u arae, kiam e minsik buuii na kukulii. Namih ok fis, ke ok mi lo iau.”
MRK.10.22	Aunbiing i ongen orek ae, ka bututuk e mata, ma ka la turan mamais, wara le ifuun kanaka e minmara.
MRK.10.23	Iesu ka giliim usuf berberat na fafausum kia ke ka tara aragii, “I ngangaten kanaka isi fanu ae i fuun e minsik kiri, rin kau na matanfuntih ke God.”
MRK.10.24	Berberat na fafausum kia ri ka lala bitit na orek ae. Isau le Iesu ka tara sabin sing ri aragii, “Berberat kiak, i ngangaten kanaka isi fanu rin kau una matanfuntih ke God. 
MRK.10.25	I ngangaten usuf kamel isi in kau na solsol na nil una somap, isau le i ngangaten kanaka usuf nenge kaltu ae ifuun e minsik kia isi in kau na matanfuntih ke God.”
MRK.10.26	Berberat na fafausum ri ka lala bitit ma ri ka diik fafis ri tom aragii, “Male i arae, ke seh mang ifasih in kep liu fitliu?”
MRK.10.27	Iesu ka par usuf ri, ke ka tarah, “Fanu biil i fasih rin tel u, isau le God, i fasih in tel foron tier tikii.”
MRK.10.28	Pita ka tara sing Iesu aragii, “Par u, kemem ka la koseng foron tier tikii tah kimem, ke kemem ka mi lo wo.”
MRK.10.29	Iesu ka fas u aragii, “Tekentu kanaka ia fas o, biil ti kaltu ae i la koseng fel kia, le koseng tualik le fenelik, le koseng tina ru e tama, le koseng berberat kia, le koseng nanal kia, iwara lo iau ke na Rokap na Fafas, 
MRK.10.30	ae na liu igii, ma in kep in fuun tom e tier. In kep nenge mar e fel, nenge mar e tualik, nenge mar fenelik, nenge mar e tina, nenge mar e kalalik kia ke nenge mar e sun nanal kia, ke fanu rin ta fangungut sabin usuf i. Ke na liu ae namih in kep liu fitliu. 
MRK.10.31	Isau le ifuun ae ri famu ta igii, namih rin mih, ma fanseh ae ri mih igii, namih rin famu.”
MRK.10.32	Iesu i famfamu la ini berberat na fafausum kia, aunbiing ri tatkau una Ierusalem. Ke berberat na fafausum kia ri ka lala bitit, ma fanu sabin ae ri mi lo ri, ri ka sokeh. Iesu ka lame pes sangful ini u e kalalik na fafausum kia, ke ka fas ri sabin ini sanih ae in tapiek lo. 
MRK.10.33	Ka fas ri aragii, “Gam par u, igii kerek tatkau mang una Ierusalem. Ke rik ta ufu Kalalik ken Kaltu mang una liman foron laulaumet na pris ke foron tom fafausum ini nagogon. Rin nagogon u isi ik met, ke rik ta ufu usuf fanu ae biil ri fan Iudaia. 
MRK.10.34	Rin morot ini, rin ubis u, rin pis u ke rik siimete u. Isau le na fatuul u e biing, ik aptih fis sabin.”
MRK.10.35	Namih, iun kalalik ke Sebedi, Jems ru e Jon, ru la usuf Iesu ke ru ka tara aragii, “Tom Fafausum, kama ier le on tel sanih ae kaman sising u sing o.”
MRK.10.36	Ke ka diik ru aragii, “Sanih kamu ier isi ian tel u kimuh?”
MRK.10.37	Ru ka fas u aragii, “Aunbiing on tapiek king, on fakiis kamah na memeh kiam, isi kertuulek nagogon turim, neng na miam ke neng na kaisam.”
MRK.10.38	Iesu ka kiliis ruh aragii, “Biil kamu usum na sanih ae kamu sising isi. Arafah, ifasih kamun yin tina kap ae ia yin lo? Ke ifasih kamun kep bapitaiso ae rin baptais iau ini?”
MRK.10.39	Ru ka kiliis u aragii, “Kama fasih.” Iesu ka fas ruh aragii, “Kamun yin tina kap ae ia yin lo, ke kamun kep baptaiso ae rin baptais iau ini. 
MRK.10.40	Isau le isi kiis na miang le na kaisang, biil ia parpar lo isi iak ta u. God tom in ta u usuf fanseh ae ka fageges ta u usuf ri.”
MRK.10.41	Aunbiing nenge sangful e kalalik na fafausum ri ka ongen u arae, ri ka ngaliaf ulo Jems ru e Jon. 
MRK.10.42	Iesu ka kam turim ri, ma ka tarah, “Gam usum lo le fanseh ae ri foteng ri arae foron king ken fanu ae biil ri fan Iudaia, ri nagogon falaulau fanu la. Ma foron piran famfamu kiri sabin ri luun foron rakrakai na nagogon la na olon fanu. 
MRK.10.43	Isau le gong gam tara arae ri. Male tikas i ier isi le in tapiek laulaumet kimi, ke in fasabiro pes u tom ma ik tapiek tom foim kimi. 
MRK.10.44	Ma seh i ier isi in famfamu kimi, ke in arae fafauun ken fanu tikii. 
MRK.10.45	Wara le Kalalik ken Kaltu sabin biil i tapiek isi fanu rin tel foim una lupes u. I tapiek isi i tom in tel foim una lupes fanu, ke ik ta liu kia tom, una fasengsegeng fanu fuun.”
MRK.10.46	Ke ri ka tapiek na Jeriko. Aunbiing Iesu turan berberat na fafausum kia ke tara gur na fanu sabin ri aptih tinaiwa, nenge kaltu ae i kut, asa e Bartimeus (kamtinan as ae le kalalik ke Timeus), i kiis la na baban sal isi sising fanu. 
MRK.10.47	Aunbiing i ongen u le Iesu tina Nasaret apiek, ka tautau aragii, “Iesu, kalalik ke Dewit, on mais iau!”
MRK.10.48	Ma fanu fuun ri ka tikale u isi gong i tautau. Isau le ka lala tautau mang tom aragii, “Kalalik ke Dewit, on mais iau!”
MRK.10.49	Iesu ka sotih ma ka tarah, “Tawi u uga.” Ri ka tawi pes kut ae, ke ri ka tara sing i aragii, “On laes! Aptih! Iesu i tawi o.” 
MRK.10.50	Bartimeus ka tel ufu kaen ae i boboh la ini, ka sotih ma ka la usuf Iesu.
MRK.10.51	Ke Iesu ka diik u aragii, “Sanih o ier isi le ian tel u ini wo?”
MRK.10.51	Kut ae ka kiliis u aragii, “Tom fafausum, ia ier isi ian par.”
MRK.10.52	Iesu ka fas u aragii, “La, unune kiam ka faliu ta wo.” Fanpil ka par, ke ka mi lo Iesu tole sal.
MRK.11.1	Ri ka la fatat isi Ierusalem, ma aunbiing ri ka tapiek na Betfage ke Beteni na Pungpung na Olif, Iesu ka wuun ufu iwu e kalalik na fafausum kia. 
MRK.11.2	Ke ka fas ruh aragii, “Kamu la una maleh ae na famu lo kamuh. Aunbiing kamun tapiek, kamun par nenge natun dongki ae biil biitom tikas i kiis lo, ri kabet ta u aiwa. Kamu puk ufu ke kamuk date u uga. 
MRK.11.3	Male tikas in diik kamuh le, ‘Isi sanih kamu ka tel u arae?’ kamun kiliis u aragii, ‘Kumguui i ier isi, ma biil in sawin, ke ik filange fafis u sabin.’”
MRK.11.4	Aunbiing ru ka la, ru ka par tafe dongki ae ri kabet ta u na nenge matanfel, na bulin sal, ke ru ka puk pes u. 
MRK.11.5	Fal e fanu ae ri sotih la aiwa, ri ka diik ruh aragii, “Kamu puk ufu dongki ae isi sanih?” 
MRK.11.6	Ru ka kiliis ri ini orek ae Iesu i fas ta ruh ini, ke ri ka somangat ufu usuf ruh. 
MRK.11.7	Ru ka tangne dongki ae usuf Iesu, ke ru ka tel ufu iun boboh kiruh, ke ru ka sol ini na olon dongki ae, ma Iesu ka kiis lo. 
MRK.11.8	Ke fanu fuun sabin ri ka tel ufu foron boboh kiri, ma ri ka sol ini tole sal. Fale fanu sabin ri pakat foron akan au tina potormok, ma ri ka sol ini tole sal. 
MRK.11.9	Ma fanu ae ri famu, ke fanu ae ri mih, ri ka tautau aragii,
MRK.11.9	“Osana!
MRK.11.9	Fafakalok sing God, usuf seh ae i la uga ini asa Kumguui!
MRK.11.10	Fafakalok sing God una matanfuntih ke tama kerer Dewit ae in tapiek!
MRK.11.10	Osana ubae na mawe!”
MRK.11.11	Aunbiing Iesu ka tapiek bae na Ierusalem, ka kau na Felun Sising. Ka par tikii ta foron tier, ke ka fis sabin una Beteni turan sangful ini u e kalalik na fafausum kia, wara le ka efef mang.
MRK.11.12	Na biing namih, aunbiing ri fis tina Beteni, Iesu ka fitol. 
MRK.11.13	Ka par nenge au na fik tina tapak, i batong rokap. Ke ka la isi par u, isi ti fal e fua. Aunbiing i tapiek aiwa na pikli, ka par u le biil ti fua, awu kanan sau, wara le biil biitom e taul fua ken fik. 
MRK.11.14	Ke ka fas au na fik ae aragii, “Tipesu igii ma namih, biil sabin tikas in ien ti fuam.” Ke berberat na fafausum kia ri ongen u i use u arae.
MRK.11.15	Aunbiing ri ka tapiek na Ierusalem, Iesu ka kau na palgan ubiif kale Felun Sising, ma ka fes fasuuh fanu aiwa ae ri famam fifiil, turan fanu sabin ae ri kep foron tier isi fanu rik fiil u. Ka fabereng foron luuf ini fanu ae ri famam sokiliis pitkalang
MRK.11.16	Ma biil i somangat pes fanu isi rin soleng palgan ubiif kale Felun Sising, ini foron tier una fifiil. 
MRK.11.17	Aunbiing i fausum ri, ka tarah, “Ri siit ta u na Buk na Gogoh aragii, ‘Rin foteng fel kiak le felun sising ken fanu tikii na piklinbat.’ Isau le gam ka tel u bin arae ‘salan mumun ken foron tom sisii.’”
MRK.11.18	Foron laulaumet na pris ke foron tom fafausum ini nagogon sabin ri ka ongen u, ma ri ka tipes im sal una siimete Iesu. Ri sokeh u, wara le fanu tikii ri bitit na foron fafausum kia.
MRK.11.19	Na efef, Iesu turan berberat na fafausum kia ri ka aptih koseng Ierusalem.
MRK.11.20	Na biingbiing, ri ka fis sabin una Ierusalem, ke ri ka par u le au na fik ae ka mang tah tinbae na mawe ubuif sikit na foron bauli. 
MRK.11.21	Ke Pita ka wol pes orek ke Iesu ke ka fas u aragii, “Rabi! Par au na fik ae o bo ta u, ka mang tah!”
MRK.11.22	Iesu ka kiliis u aragii, “Gamen unune lo God. 
MRK.11.23	Tekentu kanaka ia fas gam, male tikas in fas pungpung igii le, ‘Aptih, ma ok luut na palgantes,’ ke in tapiek tom arae. Isau le gong iu e wolwol kia, in unune tom le in tapiek. 
MRK.11.24	Pesu, ia ka fas gam, sanih ae gam sising tah isi, gamen unune le gam ka kep ta u, ke God ik ta u usuf gam. 
MRK.11.25+MRK.11.26	Aunbiing gam sotih ma gam ka sising, ke gam ka wol pes ti sinang laulau ae tikas i tel ta u ulo gam, gamen wol ufu, isi Tata buuii na kukulii ik pa ufu foron sinang laulau sabin kimi.”
MRK.11.27	Ri ka tapiek sabin bae na Ierusalem, ma aunbiing Iesu ka la na palgan ubiif kale Felun Sising, foron laulaumet na pris, foron tom fafausum ini nagogon turan foron famfamu ri ka la usuf i. 
MRK.11.28	Ma ri ka diik u aragii, “Rakrakai tingah o tel foron tier igii ini? Seh i ta rakrakai sing o, isi o ka tel foron tier igii ini?”
MRK.11.29	Iesu ka kiliis ri aragii, “Ia sabin ian diik gam ini nenge fagalte. Male gamen kiliis iau, ke ian fas gam ini rakrakai sah ae ia tel foron tier igii ini. 
MRK.11.30	Gam fas iau, tingah e bapitaiso ke Jon? Tinbae na kukulii, le sing fanu sau?”
MRK.11.31	Ke ri ka ngurke u tom na fatpoto ri aragii, “Male keren tara le, ‘tinbae na kukulii,’ ke in diik kerer le, ‘Isi sanih biil gam unune lo?’ 
MRK.11.32	Isau, male keren tara le, ‘sing fanu,’ ke fanu rin ngaliaf ulo kerer.” Wara le fanu tikii ri unune le Jon i nenge poropet. 
MRK.11.33	Ke, ri ka kiliis Iesu sau le, “Biil keme usum lo.”
MRK.11.33	Ke Iesu ka fas ri aragii, “Iau sabin biil ian fas gam ini rakrakai tingah ia tel foron tier igii ini.”
MRK.12.1	Namih, Iesu ka tipes fas ri sabin ini foron orek fatoftof aragii, “Nenge kaltu i so nenge porpor wain ma ka ubiif kale u. Aiwa na palgan porpor wain, ka tuung nenge fat una bing turim danun wain, ke ka tel nenge fabiro fel ae i kangkang tom ken tom parpar kaleh. Ke ka ta u bii e porpor wain ae usuf fal e tom foim isi rik parpar kale lo, ma ka la una nenge maleh tapak. 
MRK.12.2	Na taul lulus, ka wuun ufu nenge fafauun usuf foron tom foim ae, isi ti fal e fuan wain tina porpor wain kia. 
MRK.12.3	Isau le foron tom foim ae ri ka luse u ma ri ka pakti, ke ri ka wuun fafis foes u sau. 
MRK.12.4	Ke kaltu ae porpor wain kia, ka wuun ufu nenge fafauun sabin usuf ri, ri ka paket u na paklu ke ri ka famatlawen u. 
MRK.12.5	Ka wuun ufu nenge fafauun sabin, ke ri ka siimete u. Ka wuun ufu ifuun sabin, isau le ri ka paket fal ke ri ka siimete fal.
MRK.12.6	“Ka tikii mang aiwa tura, e kalalik tutus kia, ae i ier kanaka isi. Pesu ka wuun ufu mang usuf ri, wara le i wol le rin bulat lo. 
MRK.12.7	Isau le foron tom foim ri ka put orek turim aragii, ‘Apiek mang e ier ae in ti kiliis tama. Gam la ma kerek siimete u, isi kirer mang e porpor wain igii.’ 
MRK.12.8	Ke ri ka luse u, ma ri ka siimete u, ke ri ka lin fasuuh u tina porpor wain ae.
MRK.12.9	“Sanih sabin kaltu ae porpor wain kia ik tel u? In la ma ik siimete foron tom foim ae ma ik ta porpor wain ae usuf fal e fanu keskes. 
MRK.12.10	Arafah, biil gam wes sun orek ae na Buk na Gogoh? I use u le,
MRK.12.10	‘Tuh ae foron tom tel fel ri pue ta u,
MRK.12.10	ka tapiek rakrakai na tuh.
MRK.12.11	Tier igii Kumguui tom i tel ta u,
MRK.12.11	ma i rokap kanaka na parpar kirer.’
MRK.12.12	Ke foron famfamu ken fan Iudaia ri ka im sal isi rin luse Iesu, wara le ri usum le i use orek fatoftof igii ulo ri. Isau le ri soke tara gur na fanu, pesu ri ka la koseng u.
MRK.12.13	Namih ri ka wuun ufu fal e Farasi ke fal e tala Erot usuf Iesu isi tata kuun pes u, isi rik tiu u ini ti fal e orek kia. 
MRK.12.14	Aunbiing ri la usuf i, ri ka tarah, “Tom fafausum, kemen usum le wo tom tortores, biil o wol pes sanih fanu ri use u ulo wo. Foron fafausum kiam i fasih sau usuf fanu tikii ma o fausum tekentu ri la tom ini sinangu God. Arafah, i tortores le keren fiil takiis usuf Sisar le biil? 
MRK.12.15	Arafah, keren ta u le biil?”
MRK.12.15	Ka iliim ta lem kiri, pesu ka diik ri aragii, “Isi sanih gam ka ier isi tata kuun pes iau? Ti dinari
MRK.12.16	Ke ri ka ta neng dinari usuf i. Ma ka diik ri aragii, “Tantanwa seh ke asa kiseh igii lo?”
MRK.12.16	Ke ri ka kiliis u aragii, “Ke Sisar.
MRK.12.17	Iesu ka fas ri aragii, “Sanih ke Sisar, gamen ta u usuf Sisar, ma sanih ke God, gamen ta u usuf God.” Aunbiing ri ongen u, ri ka lala bitit.
MRK.12.18	Ke foron Sadusi ae ri use u la le biil ti apaptih fis, ri ka la usuf Iesu ma ri ka diik u aragii, 
MRK.12.19	“Tom fafausum, Moses i siit ta u usuf kerer aragii, male nenge kaltu i met koseng antu, ma biil ti kalalik kiruh, ke tualik in telpes u ma ruk fakekel, isi in fatapiek tifal e berberat ke tualik ae ka met tah. 
MRK.12.20	Nenge ifit latualik, neng famu i fakekel ke ka met koseng antu, ma biil ti kalalik kiruh. 
MRK.12.21	Ke fawu u e tualik sabin ka telpes fifin ae, ke ka met sabin koseng fifin ae ma biil ti kalalik kiruh. Ma fatuul u sabin arae. 
MRK.12.22	Ifit e latualik tikii ae ri telpes fifin ae, isau le biil i fang ti kalalik kiri ke ri ka met. Namih, fifin mang ae ka met. 
MRK.12.23	Na biingen apaptih fis, fifin ae in antu seh tutus mang lo ri? Wara le ri tikii ri telpes ta u.”
MRK.12.24	Iesu ka kiliis ri aragii, “Gam ka la ger tah, wara le biil gam usum na orek ae na Buk na Gogoh ke rakrakai ke God sabin. 
MRK.12.25	Aunbiing foron minet rin aptih fis, biil rin fakekel sabin, rin arae foron angelo buuii na kukulii. 
MRK.12.26	Gam use u le biil ti apaptih fis. Arafah, biil biitom gam wes ususe na au ae i sok, ae na buk ke Moses? God i fas Moses aragii, ‘Iau e God ke Abaram, God ke Aisak, ke God ke Jekop.’ 
MRK.12.27	God biil i God ken foron minet, biil. I e God ken fanu ae ri liu. Gam la ger kanaka.”
MRK.12.28	Neng lon foron tom fafausum ini nagogon ka la ma ka ongen Iesu i famam fapit turan foron Sadusi. I ongen Iesu i kiliis fakasi ri, ke ka diik u aragii, “Nagogon sah i laumet kanaka lon foron nagogon tikii?”
MRK.12.29	Iesu ka kiliis u aragii, “Igii e nagogon ae i laumet kanaka, ‘Gam fan Israel, gamen ongen u, Kumguui, God kirer, i keskes sau i e God. 
MRK.12.30	Gamen ier isi Kumguui i e God kimi, ini balmi tikii, ini tanwa gam tikii, ini wolwol tikii kimi ke ini rakrakai tikii kimi.’ 
MRK.12.31	Ma fawu e nagogon i aragii, ‘On ier isi ier ae na fatat o, arae o ier isi wo tom.’ Biil ti nagogon i laumet lon iwu e nagogon igii.”
MRK.12.32	Tom fafausum ini nagogon ae ka fas Iesu aragii, “Tom fafausum, i tekentu kanaka, i tortores e orek kiam, le God i tikii sau, ma biil sabin tikas awii. 
MRK.12.33	Keren ier isi God ini balrer tikii, ke ini wolwol tikii kirer ke ini rakrakai tikii kirer, ke keren ier isi fanu tikii ae na fatat kerer, arae kere ier isi kerer tom. Iun nagogon igii, ru laumet kanaka lon foron fafen tikii usuf God ae ri fasok u la, ke fal e fafen sabin.”
MRK.12.34	Aunbiing Iesu i par u le tom fafausum ae i kiliis fakasi u tom, ka fas u aragii, “Biil o tapak tina matanfuntih ke God.” Ke namih, biil sabin tikas i diik Iesu ini ti fagalte, wara le ri sokeh.
MRK.12.35	Iesu i famam fausum ri awii na Felun Sising, ma ka diik ri aragii, “Isi sanih foron tom fafausum ini nagogon ri ka tara le Mesaia i e kalalik ke Dewit? 
MRK.12.36	Tanwa Kalkaluu i susuef tah ulo Dewit ma ka tara aragii,
MRK.12.36	‘Kumguui i tara sing Kumguui kiak:
MRK.12.36	Kiis na miang,
MRK.12.36	papang na aunbiing ian luun foron tuui kiam
MRK.12.36	na piklin kekem.’
MRK.12.37	Dewit tom i foteng ta Mesaia le Kumguui kia. Male arae, ke in tapiek kalalik ke Dewit arafah?”
MRK.12.37	Tara gur na fanu ae ri laes kanaka aunbiing ri ongen orek ke Iesu.
MRK.12.38	Ke aunbiing i fausum ri, ka tara aragii, “Gamen tumarang lon foron tom fafausum ini nagogon. Ri ier la isi rin kilkiliis ini foron dolon kaen, ke ri ier la isi rin faorek pes ri ini bulat na aunbiing ri sol na foron falifuh ae fanu ri la turim la wah. 
MRK.12.39	Ma ri ier isi kiis la tom na foron nian kiiskiis famu ae na foron felun lotu, ke nian kiiskiis ken foron laulaumet na foron tel inen. 
MRK.12.40	Ri fabilbiling foron makos la na date foron minmara ri, ke ri sising dolo la isi fanu rik par ri. Na aunbiing na nagogon, rin kalsakai tara fangungut.”
MRK.12.41	Iesu i kiis ta fatat isi salan luun pitkalang na Felun Sising, ke ka par fanu fuun ri famam lin turim pitkalang. Ifuun e fanu ae i fuun e minsik kiri, ri luun piran pitkalang aiwa na salan luun pitkalang. 
MRK.12.42	Isau le nenge lauu na makos, ka la ma ka luun iwu sau e fabiro pitkalang.
MRK.12.43	Iesu ka tawi pes berberat na fafausum kia, ke ka fas ri aragii, “Tekentu kanaka, ia fas gam, makos igii, i ta tara pitkalang kanaka lon fanu tikii igii. 
MRK.12.44	Ri ta ufu ituul sau ae i kiis tina foron minsik kiri. Isau le lauu na makos igii, i ta foron tier tikii ae in fasih na kiiskiis kia.”
MRK.13.1	Aunbiing Iesu ka suuh tina Felun Sising, neng lon berberat na fafausum kia ka tara sing i aragii, “Tom fafausum, par foron rokap na fel igii ae ri tel ta u ini foron pirpiran fat.”
MRK.13.2	Iesu ka kiliis u aragii, “Gam par piran fel igii. Namih, biil mang in tikii e fat in borong na olon neng, rin rabat u ma rik lin sabalke u.”
MRK.13.3	Aunbiing Iesu ka kiis bae na olon Pungpung na Olif ma ri ka par una Felun Sising, Pita, Jems, Jon ke Enru ri ka diik fakum u le, 
MRK.13.4	“Fas kemem, nangis foron tier igii in tapiek? Ke matngan fakileng arafah in finngas u le foron tier igii, fatat rin tapiek?”
MRK.13.5	Iesu ka fas ri aragii, “Gamen tumarang, tarama tikas ka fabal gam. 
MRK.13.6	In fuun rin la ini asang, rin tara le, ‘Iau e Mesaia’, ke rin fabal ifuun. 
MRK.13.7	Aunbiing gam ongen fapaket ke babauus na foron fapaket, gong gam nangnangih, wara le foron tier ae in tapiek famu, isau le farfarop na biing biil biitom in tapiek. 
MRK.13.8	Nenge mat in aptih isi fapaket turan nenge mat, ke nenge matanfuntih ik aptih ma ik fapaket turan nenge matanfuntih. Gih turan fitol in tapiek na fal e maleh. Foron tier igii i arae tanwaran fangungut ae nenge fifin i kalsakai u, aunbiing i fafang.
MRK.13.9	“Gam tumarang. Fanu rin ta ufu gam usuf foron tom nagogon ma rik pis gam awii na felun lotu. Gamen sotih na nagogon na matan piran famfamu ke foron king, i wara lo iau. Ke gamek famalal iau usuf ri. 
MRK.13.10	Ma rin fafas famu ini Rokap na Fafas usuf foron mat tikii na piklinbat. 
MRK.13.11	Aunbiing rin dat gam una nagogon, gong gam lala wol isi sanih gamen use u. Gamen use orek sau ae Tanwa Kalkaluu in fas gam ini na aunbiing ae, wara le biil e gam ae gamen orek, biil, Tanwa Kalkaluu tom.
MRK.13.12	“Nenge kaltu in somangat ufu tualik isi rik siimete u, ke nenge kaltu in somangat ufu ke kalalik isi rik siimete u. Berberat rin fapaket tura temri ke tinri ke rik somangat ufu ruh, isi fanu rik siimete ruh. 
MRK.13.13	Ma fanu tikii rin ememse gam, i wara na asang. Isau le seh i tifat papang na farfarop, God in faliu u.
