MAT.1.1	Libri i gjeneallogjisë Iesu Krishtit, birit Davidit, birit Abrahamit.
LUK.12.10	Edhe kushdo qi të thotë fjalë kundrë të birit nieriut, ka me iu falunë, por ati qi të vlasfimojë kundrë Shpirtit 
LUK.12.11	Edhe kur të u bienë juve ndëpër synagogat e ndëpër urdhënat e 
LUK.12.12	sepse Shpirti 
LUK.12.13	Edhe nji prei gjindëjes’ i tha: Mieshtër, thuei t’em-vëlla të dajë trashigiminë bashkë me mue.
LUK.12.14	Por ai i tha: O nieri, kush më vuni gjyqtar, a damës mbi ju?
LUK.12.15	Mbasandai u tha atyne: Veni ore, edhe ruhi prei lakmimit, sepse ndë pastë tepërë kushi, jeta e ati nukë varetë prei gjas’ati.
LUK.12.16	Edhe u tha atyne nji parabullë, tue thanë: Nji nieriu të pasuni i erdhi mbarë ara,
LUK.12.17	edhe mendohei me vetëvetëhenë, tue thanë: Qish të baj, se s’kam ku të mbëleth pemët e mia?
LUK.12.18	Mbasandai tha: Këte kam me bamë, do të prish grunarët’ e mi, edhe do t’i ndërtoj ma të mëdhej, edhe do të mbëleth atie gjithë drithinë t’em, edhe të mirat’ e mia.
LUK.12.19	Edhe do t’i thom shpirtit t’em: O Shpirt, ke shumë të mira qi gjindenë për shumë viet; prahu, 
LUK.12.20	Por Perëndia i tha: I marrë, këte natë kanë me lypunë prei tejet shpirtinë tand; edhe sa bane gati, kuit do të jenë?
LUK.12.21	Kështu 
LUK.12.22	Mbasandai u tha dishepujvet vet: Përandai po u thom juve - Mos keni gaile për jetënë tuei, qish të hani; as për korpinë tuei, qish të veshni.
LUK.12.23	Jeta ashtë ma e ndershime se ushqimi, edhe korpi se të veshunitë.
LUK.12.24	Veni ore korbënitë, se nukë mbiellinë, as nukë korrinë; ata s’kanë qur, as grunar; edhe Perëndia i ushqen; sa ma tepërë dani ju prei shpendëvet?
LUK.12.25	Edhe cilli prei jush ka gaile, mundetë me shtuem nji kut mbë moshë të vet?
LUK.12.26	Kur 
LUK.12.27	Veni ore luletë si rritenë, 
LUK.12.28	Por ndë qoftë se barinë qi sot ashtë nd’arë, edhe nesër hidhetë ndë furrë, Perëndia e vesh kështu, sa ma tepërë juve, o besë-pakë?
LUK.12.29	Edhe ju mos kërkoni qish të hani, a qish të pini; as mos ini me dy mendesh.
LUK.12.30	Sepse kombet’ e botësë kërkojnë gjithë këto; edhe Ati juei e di se u lypsenë këto.
LUK.12.31	Por kërkoni mbëretënin’ e Perëndisë, edhe gjithë këto kanë për me u shtuem juve.
LUK.12.32	Mos ki frikë, o trum’ e vogëlë; sepse Atit tuei i pëlqeu me u dhanë juve mbëretëninë.
LUK.12.33	Shitni pasëjetë tueja, edhe nepni limoshënë. Bani për vetëhenë tuei kuleta qi nukë vietërohenë, thesore ndë qillt qi nukë mungon, atie ku kursari s’afrohetë, as krymbi s’e prish.
LUK.12.34	Sepse ku ashtë thesori juei, atie ka me qenun’ edhe zemëra juei.
LUK.12.35	Le të jenë miedizatë tuei ngjeshunë, edhe kandiletë ndezunë;
LUK.12.36	edhe ju 
LUK.12.37	Lum ata shërbëtorë, të cillëtë, kur të vijë i zoti, ka me i gjetunë qutë. Për të vërtet po u thom juve, se do të përvishetë, e do t’i vejë me ndenjunë ndë mësallë, edhe do të vijë për-anë, e do t’u shërbejë atyne.
LUK.12.38	Edhe ndë arthtë ndë të dytënë ruejtie edhe ndë të tretënë ruejtie ndë arthtë, edhe t’i gjejë kështu, të lumunë jan’ ata shërbëtorë.
LUK.12.39	Edhe këte e dini, se ndë qoftë se e dinte i zoti i shtëpisë mbë ç’orë vien kursari, kishte për me ndenjunë qutë, edhe s’kishte për me lanë me u biruem shtëpia e ati.
LUK.12.40	Edhe ju pra bahi gati, sepse i bir’ i nieriut vien mb’ate orë qi s’e mendoni.
LUK.12.41	Edhe Pietri i tha: Zot, neve e thue këte parabullë, apor të gjithëve?
LUK.12.42	Edhe Zoti tha: Vallë cilli asht’ ai kujdestar besënik edhe i mentshim, qi ta vejë i zoti mbi shërbëtorët e vet, për me 
LUK.12.43	Lum ai shërbëtuer, të cillinë, kur të vijë i zoti, ka me e gjetunë tue bamë kështu.
LUK.12.44	Për të vërtet po u thom juve, se ka me e vumë mbi gjithë pasëjen’ e ati.
LUK.12.45	Por ndë thasht’ ai shërbëtuer ndë zemërë të vet, se: Em-zot qelletë me ardhunë; edhe të fillojë me rrafunë shërbëtorët’ e shërbëtoretë, e me ngran’ e me pim’ e me u dejtunë;
LUK.12.46	i zoti ati shërbëtorit’ ka me ardhunë nd’atë ditë qi s’e pret, edhe nd’ate orë, qi s’e di, edhe ka me e damë, edhe ka me vumë piesën’ e ati bashkë me të pabesëtë.
LUK.12.47	Edhe ai shërbëtori qi e dinte andën’ e të zotit vet, edhe nukë bani gati 
LUK.12.48	Por ai qi s’e diti, edhe bani punë për me u rrafunë, ka me u rrafunë pak. Edhe gjithë-se-kuit qi iu dha shumë, shumë ka me u kërkuem prei ati; edhe ati qi i lanë shumë, kanë me i lypunë ma tepërë.
LUK.12.49	Erdha me vumë ziarrm mbë dhet, edhe ç’ 
LUK.12.50	Edhe kam 
LUK.12.51	Kujtoni se kam ardhunë me dhanë paqtim mbë dhet? Jo, po u thom juve, por veç të damë.
LUK.12.52	Sepse tashti e mbaskëndai kanë me qenunë pesë vetë ndë nji shtëpi damë, tre kundrë dyve, edhe dy kundrë treve.
LUK.12.53	Ka për me u damë i ati kundrë të birit; edhe i biri kundrë të i atit; e ama kundrë së bijësë, edhe e bija kundrë s’amësë; vieherra kundrë nusesë vet, edhe nuseja kundrë së vieherrësë.
LUK.12.54	Edhe u thoshte edhe gjindëjesë: Kur shifni renë se del prei së perënduemesë diellit, përnjiherë thoni - Po vien shi; edhe bahetë kështu.
LUK.12.55	Edhe kur fryn erë mies-dite, thoni, se ka me u bamë vapë; edhe bahetë.
LUK.12.56	Hipokritëna, faqen’ e dheut edhe të qiellit dini me e provuem; por këte kohë si nuk’ e provoni?
LUK.12.57	Si nukë gjukoni edhe të dreitënë prei vetëhesë tuei?
LUK.12.58	Kur të veç pra tek urdhënari bashkë me kundrë-gjyqësinë tand, mundohu mb’udhë me shpëtuem prei ati; se mos të tërheqi te gjyqtari, edhe gjyqtari të api ndër duer të shërbëtorit, edhe shërbëtori të hedhi 
LUK.12.59	Po të thom, s’ke me dalë prei andej, ngysh sa të laish edhe astrin’ e mbrapëm.
LUK.13.1	Edhe nd’atë kohë ishin’ atie përpara disa vetë tue diftuem ati për Galileanët, se Pilati u përzieu atyne gjakunë bashkë me kurbanet e atyneve.
LUK.13.2	Edhe Iesui u përgjegj, e u tha atyne: Kujtoni se këta Galileanët’ ishinë ma fajtorë se gjithë Galileanëtë, sepse pësuenë të tilla 
LUK.13.3	Jo, po u thom juve, por ndë mos u pendofshi, të gjithë kështu keni me u vdierrë.
LUK.13.4	Apor ata të tetë-mbë-dhetëtë, qi ra pyrgu mbi ata ndë Siloam, edhe i vrau, kujtoni se këta ishinë fajtorë ma tepërë se gjithë nierëzitë qi rrinë ndë Ierusalemë?
LUK.13.5	Jo, po u thom juve, por ndë mos u pendofshi të gjithë kështu keni me u vdierrë.
LUK.13.6	Edhe thoshte këte parabullë: Nji 
LUK.13.7	Edhe i tha veshtorit: Qe te vij tre viet me marrë prei kësai drusë fikut, edhe nukë gjej: preje; përse të zajë vendinë kot?
LUK.13.8	Por ai u përgjeq, e i tha: Zot, lene edhe këte vit, ngjysh sa të rëmihi rreth asai, e të shtie plehe;
LUK.13.9	edhe ndë baftë pemë 
LUK.13.10	Edhe 
LUK.13.11	edhe qe tek ishte 
LUK.13.12	Edhe Iesui kur pa ate, e thirri afër’ edhe i tha: Grue, je lishuem prei sëmundëjesë s’ate.
LUK.13.13	Edhe vini duertë mbi ate; edhe 
LUK.13.14	Por i pari synagogës’ u përgjeq me zemërim, sepse Iesui shëndoshi për të shëtunë, e i tha gjindëjesë: Janë gjashtë ditt qi duhetë me punuem ndër ato; ndër këto pra vini e shëndoshuni e jo për ditë të shëtunë.
LUK.13.15	Zoti iu përgjeq pra, e i tha: Hipokrit, gjithë-se-cilli jush të shëtunënë nukë sgjith kan’ e vet, a gomarin’ e vet prei grashtit, edhe e shpie, t’i api ujë?
LUK.13.16	Edhe këjo qi ashtë bij’ e Abrahamit, të cillënë qe tek e pat lidhunë Satanai tetë-mbë-dhetë viet, nukë duhei me u sgjidhunë prei ati të lidhuni për ditë të shëtunë?
LUK.13.17	Edhe ai kur thoshte këto, gjith’ ata qi i dilshinë kundrë u turpënuenë; edhe gjithë gjindëja gëzohei për gjithë 
LUK.13.18	Edhe 
LUK.13.19	Edhe me ke ta përgjaj? Përgjan me 
LUK.13.20	Edhe për-së-ri tha: Me ke ta përgjaj mbëretënin’ e Perëndisë?
LUK.13.21	Përgjan me brumë, të cillën’ e muer 
LUK.13.22	Edhe shkonte ndëpër qytete e 
LUK.13.23	Edhe nji 
LUK.13.24	Mundohi me hymë ndëpër derë të ngushtë, sepse shumë 
LUK.13.25	Mbassi të ngrihet’ i zoti i shtëpisë, e të mbylli derënë, atëherë do të filloni me ndenjunë jashtë, edhe me trokulluem derësë, tue thanë: Zot, zot, çilna; edhe ai ka me u përgjegjun’ e me u thanë juve: Nuk’ e dij juve prei kah jeni.
LUK.13.26	Atëherë do të filloni me thanë: Hangrëm e pim përpara tejet, edhe mësove ndëpër rrugat t’ona.
LUK.13.27	Por 
LUK.13.28	Atie ka me qenunë të qjamit’ edhe të dridhunit’ e dhambëvet, kur të shifni Abrahamin’ edhe Isaakun’ edhe Iakobin’ edhe gjithë profetënatë ndë mbëretënit të Perëndisë, edhe juve nxierrë jashtë.
LUK.13.29	Edhe do të vinë prei së lemes’ e prei së perënduemësë 
LUK.13.30	Edhe qe te janë të mbrapëm, qi kanë me qenunë të parë, edhe janë të parë, qi kanë me qenunë të mbrapëm.
LUK.13.31	Mb’atë ditë erthnë disa Farisei, tue i thanë: Del, e ik prei këndyj, sepse Herodi do me të vramë.
LUK.13.32	Edhe ai u tha atyne: Shkoni, e i thoni kësai dhelpëne - Qe te nxier djemëna, edhe shëndosh sot edhe nesër, edhe të tretënë 
LUK.13.33	Por më duhetë me votunë sot edhe nesër edhe mbas-nesër, sepse nukë mundetë me u prishunë profet jashtë Ierusalemit.
LUK.13.34	Ierusalem, Ierusalem, qi vret profetënatë, edhe rref me gur ata qi dërgohenë te ti, sa herë desha me mbëledhunë dielmt’ e tu, porsi pula zoqt’ e vet ndënë fletët, edhe nukë deshët!
LUK.13.35	Qe shtëpia juei te po u lihet’ e shkretë. Edhe për të vërtet po u thom juve, se s’keni me më pamë ngjysh sa të vijë 
LUK.14.1	Edhe ai kur erdhi ndë shtëpi të nji 
LUK.14.2	Edhe qe nji nieri i idhropikasunë tek ishte përpara ati.
LUK.14.3	Edhe Iesui u përgjeq, e u tha ligjëtarëvet edhe Farisevet, tue thanë: Ndë qoftë se asht’ e udhësë me shëndoshunë për të shëtunë?
LUK.14.4	Edhe ata s’pëzajtnë. Atëherë ai e kapi, edhe e shëndoshi, edhe e lishoi.
LUK.14.5	Mbasandai u përgjeq, e u tha atyne: Kuit prei jush t’i bierë gomari e kau ndë pus, edhe s’ka me e nxierrë përnjiherë për ditë të shëtunë?
LUK.14.6	Edhe 
LUK.14.7	Edhe u thoshte nji parabull’ atyneve qi ishinë thirrunë (sepse vente ore si sgjithshinë vendet’ e para), tue u than’ atyne:
LUK.14.8	Kur të thirresh prei ndonjianit ndë darsmë, mos ulesh me ndenjunë ndë krye të mësallësë; druese mos ashtë thirrunë prei ati ndonji tietër ma i ndershim se ti,
LUK.14.9	edhe vien ai qi thirri tyi edhe ate, e të thotë: Epi vendinë këti; edhe atëherë do të fillojsh me turpëni me zanë vendin’ e mbrapëm.
LUK.14.10	Por kur të thirresh, shko, e rri mbë vendin’ e mbrapëm; qi, kur të vijë ai qi të ka thirrunë, të thotë tyi: Mik, hip ma përsipër; atëherë ka me qenunë laft për tyi përpara atyneve qi rrinë ndë mësallë bashkë me tyi.
LUK.14.11	Sepse kushdo qi ngre nalt vetëvetëhenë, ka me u përvumë; edhe ai qi përven vetëvetëhenë, ka me u ngritunë nalt.
LUK.14.12	I thoshte edhe ati qi kishte thirrun’ ate: Kur të bajsh drekë a darkë, mos thirr miqt e tu, as nierëzit’ e tu, as fëqij të pasunë; druese mos të thërrasinë prap edhe ata, edhe bahetë shpagim mbë tyi.
LUK.14.13	Por kur të bajsh gostë, thirr të vobeq, ulogë, të çalë, të verbën;
LUK.14.14	edhe ke me qenun’ i lumunë; sepse 
LUK.14.15	Edhe nji prei asish qi kishinë ndenjunë bashkë ndë mësallë, kur ndëgjoi këto 
LUK.14.16	Edhe ai i tha: Nji nieri bani 
LUK.14.17	edhe ndë kohë të darkësë dërgoi shërbëtorin’ e vet me u than’ atyneve qi ishinë thirrunë: Ejani, se tashti të gjitha janë gati.
LUK.14.18	Por të gjithë filluenë me nji 
LUK.14.19	Edhe nji tietër tha: Bleva pesë pendë qe, edhe po vete me i provuem; të lutem, lishomë.
LUK.14.20	Edhe 
LUK.14.21	Edhe ai shërbëtori erdhi, e i diftoi të zotit këto. Atëherë i zoti i shtëpisë u zemërue, e i tha shërbëtorit vet: Dil shpeit ndëpër rrugat e 
LUK.14.22	Edhe shërbëtori tha: Zot, u ba sikurse urdhënove, por ashtë vend edhe ma.
LUK.14.23	Edhe i zoti i tha shërbëtorit: Del ndëpër udhët e 
LUK.14.24	Sepse po u thom juve, se as ndonji prei atyne nierëzëvet qi qenë thirrunë s’ka me ngranë darkënë t’eme.
LUK.14.25	Edhe shumë gjindëje shkojshinë bashkë me ate; edhe ai u këthye, e u tha atyne:
LUK.14.26	Ndë arthtë kushi tek unë, e të mos ketë mëni të i atin’ e vet, e t’amën’, e gruen’, e dielmt’, e të vëllazënit’, e të motërat’, edhe jetën’ e vet, nukë mundetë me qenunë dishepulli em.
LUK.14.27	Edhe ai qi s’bar kryqin’ e vet, e vien mbrapa mejet, nukë mundetë me qenunë dishepulli em.
LUK.14.28	Sepse cilli prei jush do me ndërtuem 
LUK.14.29	Druese si të vejë themel, edhe të mos mundetë me e mbaruem, 
LUK.14.30	tue thanë, se: Kyi 
LUK.14.31	Apor cilli mbëret, tue votunë me luftuem me 
LUK.14.32	Se ndë mos, kur asht’ ai edhe lark, dërgon laimësi, e kërkon 
LUK.14.33	Kështu pra gjithë-se-cilli prei jush qi nukë mohon gjithë pasëjen’ e vet, nukë mundetë me qenunë dishepulli em.
LUK.14.34	Krypa 
LUK.14.35	Nuk’ ashtë 
LUK.15.1	Edhe gjithë publikanët’ e fajtorët’ iu afruenë për me e ndëgjuem.
LUK.15.2	Edhe Fariseit’ e Shkruisitë murmurojshinë, tue thanë, se: Kyi pret fajtorë, edhe ha bashkë me ata.
LUK.15.3	Edhe ai u tha atyne këte parabullë, tue thanë:
LUK.15.4	Cilli nieri 
LUK.15.5	Edhe si ta gjejë, e merr mbi krahat’ e vet tue u gëzuem.
LUK.15.6	Edhe kur vien ndë shtëpit, thërret miqt’ edhe fëqijtë, e u thot’ atyne: Gëzohi bashkë me mue, se gjeta delenë t’eme qi pat hupunë.
LUK.15.7	Po u thom juve, se kështu ka me qenunë gëzim edhe 
LUK.15.8	A cilla grue 
LUK.15.9	Edhe si ta gjejë, thërret mikneshat’ e fëqijtë, tue thanë: Gëzohi bashkë me mue, se gjeta dreheminë qi hupa.
LUK.15.10	Kështu, po u thom juve, bahetë gëzim përpara engjujvet Perëndisë për nji fajtuer qi pendohetë.
LUK.15.11	Për-së-ri tha: Nji nieri kishte dy bij;
LUK.15.12	edhe ma i vogëli prei asish i tha të i atit: Atë, më nep piesën’ e gjasë qi më bije 
LUK.15.13	Edhe mbas pak ditsh ma i vogëli bir mbëloth gjithë se qish pat, edhe iku ndë dhe të huej, mbë nji vend të largë, edhe atie shpërdau gjan’ e vet, tue shkuem jetë si plank-prishës.
LUK.15.14	Edhe ai si prishi të gjitha, u ba 
LUK.15.15	Atëherë voiti e u ngjit mbas nji qytetari t’ati vendi; edhe 
LUK.15.16	Edhe dëshëronte me mbushunë barkun’ e vet me harupat qi hajshinë thitë, por kurkushi s’i nepte.
LUK.15.17	- Edhe 
LUK.15.18	Do të ngrihem e do të vete tek em atë, edhe do t’i thom: O Atë, fëjeva ndë qiell, edhe përpara tejet,
LUK.15.19	edhe nukë jam ma i vëjefshim me u queitunë biri yt: banmë porsi nji prei punëtorëvet tu.
LUK.15.20	Edhe u ngrit e erdhi tek i ati vet. Edhe ai kur ishte edhe lark, i ati e pa, edhe iu dhimti; edhe u tuerr e ra mbë shit t’ati, edhe e puthi.
LUK.15.21	Edhe i biri i tha: O Atë, fëjeva ndë qiell, edhe përpara tejet, edhe nukë jam ma i vëjefshim me u queitunë biri yt.
LUK.15.22	Por i ati u tha shërbëtorëvet vet: Nxirni jashtë stolin’ e parë, edhe ia veshni; edhe i veni unazënë n’dorë, edhe këpucëtë ndë kambët;
LUK.15.23	edhe bini viçin’ e ushqyeshim, edhe thernia; edhe le të ham’ e le të gëzohemi,
LUK.15.24	sepse kyi em bir qe i vdekun’, e u ngjall për-së-ri; edhe qe i hupun’, e u gjind. Edhe filluenë me u gëzuem.
LUK.15.25	Edhe i bir’ i ati ma i madhi ishte nd’arë; edhe kur erdhi e u afru ndë shtëpit, ndëgjoi kankë e valle.
LUK.15.26	Edhe thirri nji prei shërbëtorëvet, edhe e pyeste qish janë këto punë.
LUK.15.27	Edhe ai i tha, se: Ka ardhun yt vëlla. Edhe yt atë theri viçin’ e ushqyeshim, sepse e priti të shëndoshë.
LUK.15.28	Edhe ai u zemërue, edhe s’donte me hymë mbrenda. I ati pra duel, e i lutei.
LUK.15.29	Edhe ai u përgjeq, e i tha të i atit: Qe te po të shërbej kaqi viet, edhe as ndoni herë s’ta kapërceva urdhëniminë; edhe kurrë ndonji herë s’më dhe nji eth, qi të gëzohem bashkë me miqt e mi.
LUK.15.30	Por kur erdhi kyi yt bir qi hangër gjanë tande bashkë me kurvat, i there viçin’ e ushqyeshim.
LUK.15.31	Edhe ai i tha: O dial, ti je përherë bashkë me mue, edhe gjithë të miatë janë të tuatë.
LUK.15.32	Edhe duhei me u gazëmuem e me u gëzuem, sepse kyi yt vëlla qe i vdekun’, e u ngjall për-së-ri; edhe qe i hupun’ e u gjind.
LUK.16.1	U thoshte edhe dishepujvet vet: Ishte nji nieri i pasunë qi kishte 
LUK.16.2	Edhe ai i pëzajti, e i tha: Qish 
LUK.16.3	Atëherë guvernori tha me vetëvetëhenë: Qish të baj, se em zot po më hiek prei guvernisë? Me rëmihunë s’mundem; me lypunë kam turp.
LUK.16.4	U kujtueshë qish të baj, për me më pritunë ndëpër shtëpiat e veta, kur të hiqem prei guvernisë.
LUK.16.5	Edhe thirri për-anë nji ka nji detorët’ e të zotit vet, e i thoshte të parit: Sa detyrë i ke t’em zot?
LUK.16.6	Edhe ai tha: Nji qind bucela voj. Edhe 
LUK.16.7	Mbasandai i tha 
LUK.16.8	Edhe i zoti e lavdoi guvernorin’ e paudhë, sepse punoi me mend, sepse të bijt’ e kësai jete janë ma të mentshim ndë bres të vet, se të bijt’ e dritësë.
LUK.16.9	Edhe unë po u thom juve: Zeni miq për vetëhenë tuei prei mammonait paudhënisë, për me u pritunë juve ndë tendat e jetësë pasosëme, kur të mëngoni.
LUK.16.10	Ai qi ashtë besëtar mbë të pakënë, ashtë besëtar edhe mbë të shumënë; edhe ai qi 
LUK.16.11	Ndë qoftë pra se s’u batë besëtarë mbë të paudhinë mammona, kush ka me u zanë besë juve për të vërtetënë gja?
LUK.16.12	Edhe ndë qoftë se s’u batë besëtarë mbë të huejënë, kush ka me u dhanë juve tuejënë?
LUK.16.13	As ndonji shërbëtuer s’mundetë me u shërbyem dy zotënive, sepse a njianinë ka me e marrë mëni, edhe tietrinë ka me e dashunë; a njianinë ka me e marrë mbrapa, edhe tietrinë ka me e hedhunë tej. Nukë mundeni me i shërbyem Perëndisë edhe mammonait.
LUK.16.14	Edhe Fariseitë qi ishinë dorë-shtrejtë ndëgjojshinë këto të gjitha, edhe e përbuzinë.
LUK.16.15	Edhe ai u tha atyne: Ju jeni ata qi nxirni vetëvetëhenë të dreitë përpara nierëzish; por Perëndia ngjef zemratë tueja, sepse ajo 
LUK.16.16	Ligja edhe profetënitë 
LUK.16.17	Edhe ma kollai ashtë me shkuem qielli edhe dheu, se me ranë poshtë nji pikë prei ligjësë.
LUK.16.18	Kushdo qi lishon gruen’ e vet, edhe martohetë me tietër, kurvënon; edhe kushdo qi martohetë me 
LUK.16.19	Edhe nji nieri ishte i pasunë, edhe vishei me porpurë e me stoli të kuqe, tue u gëzuem përditë ndritshim.
LUK.16.20	Ishte edhe nji i vobek qi e kishte emninë Lazar, i cilli dirgjei për-anë derës’ ati plot me varra,
LUK.16.21	edhe dëshëronte me u ngimë me thërrmiat qi bijshinë prei truvezësë të pasunit, por edhe qentë vijshin e lëpijshinë varrat’ e ati.
LUK.16.22	Edhe ai i vobeku vdiq, edhe u pru prei engjujsh ndë gjit të Abrahamit; vdiq edhe i pasuni, edhe u vorrue.
LUK.16.23	Edhe ndë ferr, 
LUK.16.24	Edhe ai thërriti, e tha: O Ati Abraham, përdëllemë, edhe dërgo Lazarinë qi të ngjyejë majën’ e gishtit vet nd’ujë, edhe të lagi me ujë të ftofët gjuhënë t’eme, sepse po mundohem ndë këte flakë.
LUK.16.25	Por Abrahami tha: O dial, kujtohu se ti more të mirat’ e tua ndë jetët tande, edhe Lazari kështu 
LUK.16.26	Edhe mbi gjithë këto, ndërmiet jush e nesh ashtë ngulunë nji grop’ e madhe, qi të mos munden’ ata qi duenë me shkuem prei këndej te ju, as ata 
LUK.16.27	Edhe 
LUK.16.28	sepse kam pesë vëllazën; qi të api deshmi tek ata, për mos me ardhun’ edhe ata ndë këte vend mundimi.
LUK.16.29	Abrahami i thotë: Kanë Moisenë edhe profetënatë; le t’u ndëgjojn’ atyne.
LUK.16.30	Edhe ai tha: Jo, o ati Abraham, por ndë voftë ndonji prei së vdekunish tek ata, kanë me u penduem.
LUK.16.31	Edhe ai i tha: Ndë qoftë se nuk’ u ndëgjojnë Moiseut edhe profetënavet, as ndë u ngjalltë ndonji prei së vdekunish, s’kanë më i zanë besë.
LUK.17.1	Edhe u tha dishepujvet: S’ka se si mos me ardhunë shkandujtë, por mjer ai, qi vijnë prei ati?
LUK.17.2	Ma mirë ashtë për ate me iu varunë nji gur mullini ndë qafë të vet, edhe me u hedhunë ndë det, se me shkandalizuem nji prei kësi të vogjilish.
LUK.17.3	Kini kujdes vetëvetëhesë. Edhe ndë të baftë faj yt vëlla, qirtoje; edhe ndë u pendfotë, falia.
LUK.17.4	Edhe ndë të baftë faj shtatë herë ndë ditët, edhe të këthehetë shtatë herë ndë ditët, e të thotë: Pendohem, - t’ia falish.
LUK.17.5	Edhe apostujt’ i thanë Zotit: Shtona besënë.
LUK.17.6	Edhe Zoti tha: Ndë paçi besë sa 
LUK.17.7	Edhe cilli prej jush të ketë nji shërbëtuer qi lavron, a ruen dhentë, ka me i thanë përnjiherë, kur këthehetë prei arësë: Shko, e rri me ngranë?
LUK.17.8	Apor s’ka me i thanë: Ban gati qish të ha për darkë, edhe shpërvilu, e shërbemë, ngjysh sa të ha e të pij; edhe mbasandai ke me ngran’ e ke me pimë ti?
LUK.17.9	Mos ia di për nder ati shërbëtorit, sepse bani ato qi e pat urdhënuem? Nukë më duketë.
LUK.17.10	Kështu edhe ju, kur të bani gjith’ ato qi u kan’ urdhënuem juve, thoni, se: Jemi shërbëtorë të pavëjefshim, sepse kemi bam’ ate qi patëm detyrë me bamë.
LUK.17.11	Edhe ai kur po vinte ndë Ierusalemë, shkonte ndëpër miedis të Samarisë e të Galilesë.
LUK.17.12	Edhe ai kur po hynte ndë nji katund, i duelnë përpara dhetë burra të kromosunë, të cillëtë qindruenë për së largut;
LUK.17.13	edhe ata ngritnë zaninë, tue thanë: Mieshtri Iesu, përdëllena.
LUK.17.14	Edhe ai kur pa, u tha atyne: Shkoni e diftoni vetëvetëhenë te priftënit. Edhe ata tue votunë, u qiruenë.
LUK.17.15	Edhe nji prei asish kur pa se u shëndosh, u këthye tue lavduem Perëndinë me za të madh,
LUK.17.16	edhe ra përmbys për-anë kambëvet ati, e iu fal ndersë; edhe ai ishte Samaritan.
LUK.17.17	Edhe Iesui u përgjeq, e tha: A nuk’ u qiruenë të dhetëtë? Por të nandëtë ku 
LUK.17.18	Nuk’ u gjindën 
LUK.17.19	Edhe i tha: Ngreu, e shko, besa jote të shpëtoi.
LUK.17.20	Edhe kur u pyet prei Fariseish: Kurë vien mbëretënia e Perëndisë? U përgjeq atyne, e tha: Mbëretënia e Perëndisë nukë vien me të vumë ore,
LUK.17.21	as s’kanë për me thanë: Qe 
LUK.17.22	Edhe u tha dishepujvet: Kanë me ardhunë ditt, qi do të dëshëroni nji ditë me pamë të birin’ e nieriut, edhe s’keni me e pamë.
LUK.17.23	Edhe kanë me u thanë juve: Qe 
LUK.17.24	Sepse porsi vetima qi veton prei nji anësë qiellit, mbë tietrën’ anën’ e qiellit, kështu ka me qenun’ edhe i bir’ i nieriut ndë ditët të vet.
LUK.17.25	Por përpara ai duhetë me pësuem shumë, edhe mos me u pëlqyem prei këti brezi.
LUK.17.26	Edhe sikurse u ba ndë ditt të Noes, kështu ka me qenun’ edhe ndë ditt të birit nieriut.
LUK.17.27	Hajshin’, 
LUK.17.28	Kështu sikurse u ba edhe ndë ditt të Lotit: hajshin’, 
LUK.17.29	Edhe çë mb’ate ditë qi duel Loti prei Sodomësë, ra shi ziarrmi e squfuri prei qiellit, edhe i vdori të gjithë.
LUK.17.30	Porsi këto ka me qenunë nd’atë ditë, kur të dali për faqe i bir’ i nieriut.
LUK.17.31	Nd’ate ditë kush të jetë mbi dhomët, edhe enët’ e ati mbrenda ndë shtëpit, le të mos sdrypi me i ngritunë; kështu edhe ai 
LUK.17.32	Bini ndër mend gruen’ e Lotit.
LUK.17.33	Ai qi do me shpëtuem jetën’ e vet, ka me e viderrë; edhe ai qi ta vdierri, ka me e rueitunë.
LUK.17.34	Po u thom juve, nd’ate natë kanë me qenunë dy 
LUK.17.35	Dy 
LUK.17.36	Kanë me qenunë dy vetë nd’arë; njiani ka me u marrë, edhe tietri ka me u lanë.
LUK.17.37	Edhe 
LUK.18.1	U thoshte atyne edhe 
LUK.18.2	tue thanë: Ishte nji gjyqtar ndë nji qytet qi s’kishte frikë Perëndinë, edhe s’kishte turp nierinë.
LUK.18.3	Ishte edhe nji e ve nd’ate qytet, edhe vinte tek ai, tue thanë: Banmë gjykime 
LUK.18.4	Edhe 
LUK.18.5	pak së paku sepse ajo 
LUK.18.6	Edhe Zoti tha: Ndëgjoni qish thotë gjyqtari i paudhë,
LUK.18.7	por Perëndia a s’ka me bamë gjyqin’ e të sgjedhunavet vet qi thërrasinë tek ai dit’ e natë, ndonësë ban zemërën’ e gjanë për ata?
LUK.18.8	Po u thom juve, se ka me u bamë gjyqin’ atyne për së shpeiti. Por kur të vijë i bir’ i nieriut, vallë ka me gjetunë besënë mbi dhet?
LUK.18.9	Edhe u tha edhe këte parabull’ atyneve qi shpërejshinë mbë vetëvetëhenë, se janë të dreitë, edhe nuk’ i zishinë për gja të tierëtë.
LUK.18.10	Dy nierës hipnë ndë tempull me u falunë; njiani 
LUK.18.11	Fariseu ndejti e falei ndër vetëhe 
LUK.18.12	Agjinoj dy herë ndë javët, ap të dhetën’ e gjithë çë-do 
LUK.18.13	Edhe publikani ishte ndenjunë prei së largut, e nukë donte as sytë me ngritunë përpietë ndë qiell, por rrifte krahanorin’ e vet, tue thanë: O Perëndi, ndëje mue fajtorinë.
