GEN.1.1	Íꞌdóngárá gá ꞌdãá, Múngú gbi ꞌbụ̃ pi vũ be. 
GEN.36.11	Anji ãgõ Ẽlĩfájã vé rĩ pi,
GEN.36.11	Tẽmánã ꞌi, Ómãrĩ ꞌi, Zéfõ ꞌi, Gãtámã ꞌi, Kẽnázĩ sĩ.
GEN.36.12	Ị́sọ̃wụ̃ vé mvá Ẽlĩfájã ri ũkú ãzi be, ũkú rĩ ã rụ́ Tímĩnã ꞌi, tị Ãmãlékẽ ri nĩ. Anji ꞌdĩꞌbée vé ẹ́ꞌbị́pị Ị́sọ̃wụ̃ ꞌi, kộpivé ị̃drẹ́pị Ãdá ꞌi.
GEN.36.13	Anji ãgõ Rẽúlẽ vé rĩ pi,
GEN.36.13	Nãhátã ꞌi, Zérã ꞌi, Sámã ꞌi, Mízã sĩ. Anji ꞌdĩꞌbée vé ẹ́ꞌbị́pị Ị́sọ̃wụ̃ ꞌi, kộpivé ị̃drẹ́pị Bãsẽmátã ꞌi.
GEN.36.14	Ị́sọ̃wụ̃ vé ũkú Õhõlĩbámã vé ẹ́ndrẹ́pị Ánã ꞌi, Õhõlĩbámã ri Zĩbẽyónã mvọ́pị ã mvá. Anji Ị́sọ̃wụ̃ pi ní tịị́ Õhõlĩbámã be rĩ,
GEN.36.14	Jẽúsĩ ꞌi, Jãlámã ꞌi, Kórã sĩ.
GEN.36.15	Ị́sọ̃wụ̃ vé mvá kãyú
GEN.36.15	Ẽlĩfájã vé anji ãgõ rĩ pi gõkí adrií drị̃koma rú. Anji rĩ pi vé rụ́,
GEN.36.15	Tẽmánã ꞌi, Ómãrĩ ꞌi, Zéfõ ꞌi, Kẽnázĩ ꞌi, 
GEN.36.16	Kórã ꞌi, Gãtámã ꞌi, Ãmãlékẽ sĩ. Anji Ẽlĩfájã vé drị̃koma rú ꞌdĩꞌbée, kộpi ri adri ãngũ Ẽdómã vé rĩ agá, kộpivé ị̃drẹ́pị Ãdá ꞌi.
GEN.36.17	Ị́sọ̃wụ̃ vé mvá Rẽúlẽ vé anji ãgõ gõkí ícá drị̃koma rú, kộpivé rụ́,
GEN.36.17	Nãhátã ꞌi, Zérã ꞌi, Sámã ꞌi, Mízã sĩ. Anji drị̃koma rú ꞌdĩꞌbée Rẽúlẽ vé ni, kộpi ri adri ãngũ Ẽdómã vé rĩ agá, anji ꞌdĩꞌbée zịkí Ị́sọ̃wụ̃ vé ũkú Bãsẽmátã ri ị̃drẹ́pị.
GEN.36.18	Anji Ị́sọ̃wụ̃ pi ní tịị́ ũkú ni Õhõlĩbámã be rĩ pi gõkí ícá drị̃koma rú, anji rĩ pi vé rụ́,
GEN.36.18	Jẽúsĩ ꞌi, Jãlámã ꞌi, Kórã sĩ. Anji drị̃koma rú ꞌdĩꞌbée úyú Ị́sọ̃wụ̃ vé ni, kộpivé ẹ́ndrẹ́pị Õhõlĩbámã ꞌi, Õhõlĩbámã ri mvá Ánã vé ni.
GEN.36.19	Úyú Ị́sọ̃wụ̃ vé ꞌdĩꞌbée, kộpi drị̃koma rú ãngũ Ẽdómã vé rĩ agá.
GEN.36.20	Sẽyírĩ Hórĩgú rĩ ri ọ́tụ́ adrií ãngũ ánga rú Sẽyírĩ
GEN.36.20	Lõtánã ꞌi, Sõbálã ꞌi, Zĩbẽyónã ꞌi, Ánã ꞌi, 
GEN.36.21	Dĩsónĩ ꞌi, Ézẽrẽ ꞌi, Dĩsánĩ sĩ. Anji Sẽyírĩ vé adriꞌbá ãngũ Ẽdómã vé rĩ agá ꞌdĩꞌbée, kộpi drị̃koma sụ́rụ́ Hórĩ vé rĩ pi vé ni.
GEN.36.22	Anji ãgõ Lõtánã vé rĩ pi
GEN.36.22	Hórĩ pi Hẽmánã be. Lõtánã vé ọ́mvụ́pị Tímĩnã ꞌi.
GEN.36.23	Anji ãgõ Sõbálã vé rĩ pi
GEN.36.23	Ãlĩvánã ꞌi, Mãnãhátã ꞌi, Ẽbálã ꞌi, Séfõ ꞌi, Õnámã sĩ.
GEN.36.24	Anji ãgõ Zĩbẽyónã vé rĩ pi
GEN.36.24	Ãyá pi Ánã be. Ánã ị́sụ́ yị̃ị́ íkpúpi nyọ̃ọ́kụ́ agálésĩ ãngũ ãꞌwí cínyáfã rú rĩ agá koópi koko rĩ nĩ. Ị́sụ́ yị̃ị́ rĩ sâ ĩri ní rizú ẹ́tẹ́pị Zĩbẽyónã vé dõngí úcézú rĩ gé.
GEN.36.25	Anji Ánã vé rĩ pi ꞌdĩ,
GEN.36.25	Mvá ágó rú rĩ Dĩsónĩ ꞌi, ũkú rú rĩ Õhõlĩbámã ꞌi.
GEN.36.26	Anji ãgõ Dĩsónĩ vé rĩ pi
GEN.36.26	Hẽmĩdánĩ ꞌi, Ẽsĩbánã ꞌi, Ĩtãránã ꞌi, Kẽránã sĩ.
GEN.36.27	Anji ãgõ Ézẽrẽ vé rĩ pi
GEN.36.27	Bĩlĩhánã pi Zãvánã be, Ãkánã sĩ.
GEN.36.28	Anji ãgõ Dĩsánĩ vé rĩ pi
GEN.36.28	Ụ́zị̃ pi Ãránã be.
GEN.36.29	Hórĩ vé anji drị̃koma rú rĩ pi,
GEN.36.29	Lõtánã ꞌi, Sõbálã ꞌi, Zĩbẽyónã ꞌi, Ánã ꞌi, 
GEN.36.30	Dĩsónĩ ꞌi, Ézẽrẽ ꞌi, Dĩsánĩ sĩ. Anji Hórĩ vé adriꞌbá drị̃koma rú rĩ pi ꞌdĩ, kộpi acokí ĩ sụ́rụ́ ĩvé rĩ pi vúgá sĩ, ãngũ Sẽyírĩ vé rĩ agá.
GEN.36.31	ꞌBãgú ãngũ Ẽdómã vé rĩ rụꞌbá ị́sụ́zú ꞌbãgú ãzi rụ drĩ ꞌbá Ĩsẽrélẽ vé rĩ pi kuyé rĩ pi vé rụ́ ꞌdĩ,
GEN.36.32	Bẽórã vé mvá Bélã rụ ãngũ Ẽdómã vé rĩ nĩ. Kụ̃rụ́ ĩri ní adrizú ꞌa ni gé rĩ ã rụ́ Dĩnĩhábã.
GEN.36.33	Bélã kã drãá, Zérã íngápi Bõzírã gá rĩ vé mvá Jõbábã gõ adrií ꞌbãgú rú Bélã ã vũrã gá.
GEN.36.34	Jõbábã kã drãá, Hũsámã íngápi ãngũ Tẽmánã vé rĩ agá rĩ gõ adrií ꞌbãgú rú Jõbábã ã vũrã gá.
GEN.36.35	Hũsámã kã drãá, Bẽdádĩ vé mvá Hãdádĩ ẹ̃ꞌdị́ ꞌdịị́pi ꞌbá Mĩdĩyánã vé rĩ pi be ãngũ Mõábã vé rĩ agá, kộpi ndẽépi rá rĩ, gõ ãngũ rĩ rụụ́ nĩ Hũsámã ã vũrã gá. Kụ̃rụ́ ĩri ní adrizú ꞌa ni gé rĩ ã rụ́ Ãvítĩ.
GEN.36.36	Hãdádĩ kã drãá, Sãmílã íngápi ãngũ Mãsẽrékã vé rĩ gé rĩ, gõ ãngũ rĩ rụụ́ nĩ Hãdádĩ ã vũrã gá.
GEN.36.37	Sãmílã kã drãá, Sáwũlã íngápi kụ̃rụ́ Rẽhõbótĩ vé rĩ gé yị̃ị́
GEN.36.38	Sáwũlã kã drãá, Ãkĩbórĩ vé mvá Bãlã Hãnánĩ gõ ãngũ rĩ rụụ́ nĩ Sáwũlã ã vũrã gá.
GEN.36.39	Ãkĩbórĩ vé mvá Bãlã Hãnánĩ kã drãá, Hãdádĩ gõ úrí ꞌbãgú rú nĩ. Kụ̃rụ́ ĩri ní adrizú rĩ Páwũ ꞌi. Ũkú ĩrivé rĩ ã rụ́ Mẽhẽtãbélẽ ꞌi, Mẽhẽtãbélẽ ri mvá ũkú Mãtẽrédĩ vé ni, Mãtẽrédĩ ri mvá ũkú Mẽzãhábã vé ni.
GEN.36.40	Úyú Ị́sọ̃wụ̃ vé adriꞌbá ꞌbãgú rú rĩ pi ꞌdakí kộpi ã rụ́ ĩvé sụ́rụ́ ã rụ́ sĩ, ãzini ĩvé ãngũ ã rụ́ sĩ, kộpivé rụ́ pi ꞌdĩ,
GEN.36.40	Tímĩnã ꞌi, Álĩvã ꞌi, Jẽtétĩ ꞌi, 
GEN.36.41	Õhõlĩbámã ꞌi, Élã ꞌi, Pĩnónĩ ꞌi, 
GEN.36.42	Kẽnázĩ ꞌi, Tẽmánã ꞌi, Míbĩzã ꞌi, 
GEN.36.43	Mãgãdĩyélẽ ꞌi, Ĩrámã sĩ. ꞌBãgú ꞌdĩꞌbée Ẽdómã vé rĩ pi, sĩkí kộpivé rụ́ ãngũ kộpi ní adrizú rĩ pi vúgá sĩ.
GEN.36.43	Kộpi céré úyú Ị́sọ̃wụ̃ vé ni, Ị́sọ̃wụ̃ ri ẹ́ꞌbị́pị ꞌbá Ẽdómã vé rĩ pi vé ni.
GEN.37.1	Yõkóbũ ri adrií ãngũ ẹ́tẹ́pị ní adrizú rĩ agá, ãngũ Kãnánã vé rĩ agá.
GEN.37.2	Úꞌdógúꞌdógú Yõkóbũ vé rĩ, ãzini anjiŋá ĩrivé rĩ pi vé rĩ, ĩri ꞌdíni.
GEN.37.2	Yõsépã kã adrií ílí be mụdrị́ drị̃ ni ẹ́zị̂rị̃, ri ẹ́tẹ́pị vé ãnyãpá úcé, kộpi rikí úcé ẹ́drị́pị́ị be. Ĩrivé ẹ́drị́pị́ị ꞌdĩꞌbée vé ẹ́ndrẹ́pị Bílã pi Jẽléfã be. ꞌBo Yõsépã ri tã ũnjí ẹ́drị́pị́ị ní rií ꞌoó rĩ íjị́ ũlũú ẹ́tẹ́pị ní.
GEN.37.3	Ĩsẽrélẽ
GEN.37.4	Yõsépã ẹ́drị́pị́ị kâ ndreé ĩ ẹ́tẹ́pị lẽ Yõsépã ri ĩ agaá rá, kộpi ꞌbãkí ẹ́sị́ ũnjí Yõsépã ní. Kộpi átákí ĩri ní tã ụ́ꞌdụ́kọ́ múké sĩ ku.
GEN.37.5	Ị́nị́ŋá ãzi sĩ, Yõsépã ũbĩ urobí, kã urobí rĩ ũlũú ẹ́drị́pị́ị ní, kộpi gõkí ẹ́sị́ ũnjí ꞌbãá ĩri ní agaá rá. 
GEN.37.6	Yõsépã ní ꞌyozú kộpi ní kĩnĩ, “Ĩmi yịkí drĩ urobí ma ũbĩípi rĩ vé tã ká. 
GEN.37.7	Urobí rĩ kĩnĩ, ꞌbá mụkí ĩmi be ọ́mvụ́ gé, ꞌbá rikí ũndú úlíli ũdrõó ĩmi be, mbẽlẽŋá mávé ũndú nga ꞌi ĩdrẽé ụrụ sĩ, ũndú ĩmivé rĩ pi trakí ĩ ũndú mávé rĩ ã gãrã gá sĩ kụ́rụ̃, sị̃kí drị̃ vũgá ẹndrẹtị ni gé.”
GEN.37.8	Yõsépã ẹ́drị́pị́ị ní ꞌyozú ĩri ní kínĩ, “Mí ụ̃sụ̃ mi ãmbúgú ꞌbá drị̃gé nĩ? Ádarú ꞌí lẽ nyo adrií ꞌbá drị̃gé ãmbúgú rú?” Kộpi gõkí ĩri ní ẹ́sị́ ũnjí ꞌbãá agaá rá urobí ĩri ní ũbĩí rĩ sĩ, ãzini tã ĩri ní ꞌyoó rĩ sĩ.
GEN.37.9	Yõsépã ní gõzú urobí ãzi ũbĩzú, ĩri ní ꞌyozú ẹ́drị́pị́ị ní kĩnĩ, “Ĩmi yịkí drĩ ká, á gõ urobí ãzi ũbĩí. Urobí rĩ kĩnĩ, ụ̃tụ́, mbãá, ãzini línyã sị̃kí drị̃ vũgá má ẹndrẹtị gé.” 
GEN.37.10	Kã urobí rĩ ũlũú ꞌí ẹ́tẹ́pị ní, ãzini ꞌí ẹ́drị́pị́ị ní, ẹ́tẹ́pị ní trezú drị̃ ni gé kĩnĩ, “Urobí mí ní ũbĩí ꞌdĩri tã ni ngóni? Mí ụ̃sụ̃ mí kĩnĩ, ꞌbâ mí ẹ́ndrẹ́pị be, mí ẹ́drị́pị́ị be úmvúlésĩ ímụ́ kũmũcí ũtị̃, drị̃ sị̃ vũgá mí ẹndrẹtị gé?” 
GEN.37.11	Yõsépã ã tã ꞌde ẹ́drị́pị́ị ẹ́sị́ agá ũnjí, ꞌbo Yõkóbũ ri tã ꞌdĩri ụ̃sụ̃ụ́ kĩnĩ, urobí ꞌdĩri vé ífífí ãꞌdi.
GEN.37.12	Ụ́ꞌdụ́ ãlu Yõsépã ẹ́drị́pị́ị ꞌdekí mụụ́ ĩ ẹ́tẹ́pị vé kãbĩlõ úcé Sẽkémẽ gá. 
GEN.37.13	Ĩsẽrélẽ ní ꞌyozú Yõsépã ní kĩnĩ, “Mí ẹ́drị́pị́ị ri kãbĩlõ úcé Sẽkémẽ gá ꞌdãáꞌdã, á lẽ mi pẽé mụzú kộpi vúgá ꞌdãá.”
GEN.37.13	Yõsépã ní újázú kĩnĩ, “Múké, ma mụ rá.”
GEN.37.14	Ẹ́tẹ́pị ní ꞌyozú ĩri ní kĩnĩ, “ꞌÍ mụ mí ẹ́drị́pị́ị ndreé, kộpi dõ múké kãbĩlõ rĩ pi be. ꞌÍ mụ dõ gí, mí újá mi ĩgõó ímụ́ tã ni ũlũú má ní.” Kúru ẹ́tẹ́pị ní Yõsépã rĩ pẽzú mụzú, Yõsépã ní ngazú ị́ꞌbụ́ŋá Hẽbẽrónã vé rĩ gé ꞌdãásĩ, ĩri ní ꞌdezú mụzú Sẽkémẽ gá ꞌdãá.
GEN.37.14	Yõsépã kã caá Sẽkémẽ gá ꞌdãá, 
GEN.37.15	ágó ãzi ị́sụ́ ĩri ri ẹ́cị́ ãngũ rĩ agásĩ, ágó rĩ ní ĩri zịzú kĩnĩ, “Ngá mí ní rií ndãá rĩ ãꞌdi?”
GEN.37.16	Yõsépã ní újázú kĩnĩ, “Ma ri má ẹ́drị́pị́ị ndã. Mi ícó má ní vũrã kộpi ní rizú kãbĩlõ úcézú rĩ lũ rá?”
GEN.37.17	Ágó rĩ ní újázú kĩnĩ, “Kộpi ngakí mụụ́ nõósĩ gí. Á yị kộpi kínĩ, ĩ lẽkí ꞌdeé mụzú Dõtánã gá.”
GEN.37.17	Kúru Yõsépã ní ꞌdezú mụzú ẹ́drị́pị́ị vúgá sĩ, ĩri ní cazú mụzú kộpi ị́sụ́zú Dõtánã gá ꞌdãlé. 
GEN.37.18	Yõsépã ẹ́drị́pị́ị kâ ndreé Yõsépã ri ímụ́, kộpi nị̃kí ĩri ámá bá, ị́sụ́ ãkũdẽ ícá drĩ ĩ vúgá nõó kuyé, kộpi íꞌdókí rií lẹ́tị ndãá ĩri ꞌdịzú.
GEN.37.19	Kộpi rikí átá ĩ ãsámvú gé sĩ kínĩ, “Ĩ ndrekí drĩ ká, urobí ꞌdị́pa ri ímụ́ ꞌdã! 
GEN.37.20	Lẽ ꞌbâ ꞌdịkí ĩri drãá, ꞌbâ ꞌbekí ĩri ꞌbụ́ yị̃ị́ ní njụụ́ ꞌa ni gé sĩ gí rĩ agá, ꞌbâ mụ ꞌyo ꞌbá ẹ́tẹ́pị ní ụ̃bụ̃gọ̃ nya ĩri gí. ꞌBâ ndrekí rí ĩrivé urobí ꞌdĩri dõ ẹ̃zị́ nga rá.”
GEN.37.21	Rũbénã kã tã ꞌdĩri yịị́, ꞌbã ẹ́sị́ lẽzú Yõsépã ri ípázú ẹ́drị́pị́ị drị́gé sĩ rá, ĩri ní ꞌyozú kĩnĩ, “Lẽ ꞌbâ ꞌdịkí ĩri ku. 
GEN.37.22	Lẽ ĩmi dãkí ãrí ku, ĩmi ꞌdụkí ĩri ꞌbeé ꞌbụ́ yị̃ị́ ní njụụ́ ꞌa ni gé sĩ gí rĩ agá ꞌdãá ãngũ ãꞌwí cínyáfã rú rĩ agá nõgó, lẽ ĩmi ꞌbãkí drị́ rụ́ꞌbá ni gé ku.” Rũbénã ꞌyo tã ꞌdĩri ꞌdíni, lẽ ẹ́drị́pị ri ípá kộpi drị́gé sĩ, jịị́ gõó ẹ́tẹ́pị vúgá ꞌdãá vúlé.
GEN.37.23	Kúru Yõsépã kã caá ẹ́drị́pị́ị vúgá ꞌdãlé, kộpi ũtrũkí ĩrivé bõngó akoóko rụ̃kụ̃ ãjẽ be ãmbúgú rĩ ĩri ní suú rĩ ĩri ã rụ́ꞌbá gá sĩ rá. 
GEN.37.24	Kộpi jịkí ĩri ꞌbeé ꞌbụ́ agá. ꞌBụ́ rĩ ã ꞌa ule, yị̃ị́ ꞌa ni gé ꞌdãáyo.
GEN.37.25	Kộpi kâ úrí vũgá rií ínyá nyaá, kộpi kâ ĩ drị̃ ingaá ãngũ ndreé ụrụ, kộpi ndrekí ngúlúmũ sụ́rụ́ Ĩsĩmãélẽ vé ngá ụzịꞌbá rĩ pi ri ímụ́ ĩ vúgá nõó Gĩlédã gálésĩ. Kộpi ũdrõkí ngá tị́bị́ áꞌdízú ẹ̃jị́ be ngụ̃ꞌbá ndrị̃ndrị̃ ni pi, ũdu ngụ̃ụ́pi ndrị̃ndrị̃ ni, ãzini mị́rẹ̃ pi be kámĩlõ rĩ pi úgóró gá, kộpi ri ngá ꞌdĩꞌbée jị mụ ụzị Ẽjẽpétõ gá.
GEN.37.26	Yụ́dã ní ꞌyozú ẹ́drị́pị́ị ní kĩnĩ, “ꞌBá ꞌdịkí dõ ꞌbá ẹ́drị́pị ri drãá, ꞌbá úcíkí dõ tã ni úcícĩ, ngá múké ꞌbá ní ị́sụ́ ꞌa ni gé ꞌdĩgé rĩ ãꞌdi? 
GEN.37.27	Múké ni, lẽ ꞌbâ sẽkí ĩri jeé ꞌbá Ĩsĩmãélẽ vé rĩ pi ní, ꞌbâ úlókí ĩri ã rụ́ꞌbá ku, ĩri ꞌbá ẹ́drị́pị, ꞌbâ ãrí ãlu.” Yụ́dã vé ẹ́drị́pị́ị ãꞌyĩkí tã ĩri ní ꞌyoó ꞌdĩri rá.
GEN.37.28	Ngúlúmũ Ĩsĩmãélẽ vé adriꞌbá ãngũ Mĩdĩyánã vé rĩ agá riꞌbá ngá ụzịꞌbá rĩ pi kâ ícá, Yõsépã ẹ́drị́pị́ị ní Yõsépã ri ísézú ꞌbụ́ rĩ agá ꞌdãásĩ ãmvé nõó, kộpi ní ĩri sẽzú jezú ꞌbá Ĩsĩmãélẽ vé rĩ pi ní mũfẽngã fífí pụ̃kụ́ ị̃rị̃ ẹ̃njị̃ꞌbá ẹ̃njị̃ẹ̃njị̃ ni sĩ, ꞌbá Yõsépã ri jeꞌbá rĩ pi ní Yõsépã ri jịzú mụzú Ẽjẽpétõ gá.
GEN.37.29	Rũbénã kã ꞌi újá gõó ꞌbụ́ rĩ gé ꞌdãlé, ị́sụ́ Yõsépã ri ꞌdãáyo. Ĩzãngã fi ẹ́sị́ ni gé ambamba, ũsĩ ívé bõngó ꞌí rụ́ꞌbá gá sĩ rá. 
GEN.37.30	Ĩri ní gõzú ẹ́drị́pị́ị vúgá ꞌdãlé, ĩri ní ꞌyozú kĩnĩ, “Mvá rĩ ꞌdãlé ꞌdãáyo! Mâ ꞌo rí ãꞌdi?”
GEN.37.31	Kúru kộpi ní Yõsépã vé bõngó ãco akoóko ãjẽ be ãmbúgú rĩ íꞌdụ́zú, kộpi ní ndrị̃ị́ lịzú, bõngó rĩ suzú ãrí rĩ agá. 
GEN.37.32	Kộpi ní bõngó akoóko rụ̃kụ̃ ãrí be rụ́ꞌbá gá ꞌdĩri jịzú mụzú ĩ ẹ́tẹ́pị vúgá ꞌdãá. Kộpi ní ꞌyozú kínĩ, “ꞌBá ị́sụ́kí bõngó akoóko rụ̃kụ̃ ni nõ, ꞌí ꞌbị̃ drĩ ndreé ká, bõngó nõri adri mî mvọ́pị vé rĩ kuyé?”
GEN.37.33	Yõkóbũ ámá bõngó rĩ kĩnĩ, “Bõngó akoóko rụ̃kụ̃ rĩ mâ mvọ́pị vé rĩ! Á, ụ̃bụ̃gọ̃ nya mvá rĩ gí. Ádarú ũndĩkí Yõsépã ri kpélékpélé gí.”
GEN.37.34	Kúru Yõkóbũ ní ívé bõngó ũsĩzú ꞌí rụ́ꞌbá gá sĩ rá, ĩri ní sũwárĩ íꞌdụ́zú ásúzú ꞌî rụ́ꞌbá gá áyu. Ngo ꞌî mvọ́pị ri caá ụ́ꞌdụ́ be kárákará. 
GEN.37.35	Ĩrivé anji ãgõ rĩ pi, anji ũkú rĩ pi be céré ímụ́kí ĩri ẽ ẹ́sị́ ũmĩí, ꞌbo gã sĩ, lẽ ꞌbá ãzi ã ũmĩ ꞌî ẹ́sị́ ku. Ĩri ní ꞌyozú kĩnĩ, “Á lẽ ã sị̃kí ma ꞌbụ́ agá, á lẽ mụụ́ mâ mvọ́pị ri ngoó.” Ĩri dị̃ átá be, ĩri dị̃ ngo be.
GEN.37.36	Ị́sụ́ ãkũdẽ ꞌbá Mĩdĩyánã vé rĩ pi sẽkí Yõsépã ri jeé Pótĩfã ní Ẽjẽpétõ gá ꞌdãlé gí, Pótĩfã ri ũgalaku riípi ꞌbãgú Ẽjẽpétõ vé rĩ vé ꞌbẹ̃tị́ ũtẽépi rĩ.
GEN.38.1	Sâ ꞌdãri gé, Yụ́dã ní ngazú fũzú ẹ́drị́pị́ị ãsámvú gé sĩ, mụ adrií kụ̃rụ́ Ãdũlámũ vé rĩ gé, ágó ãzi vé ãngá, ágó rĩ ã rụ́ Hírã ꞌi. 
GEN.38.2	Yụ́dã ní mvá ũkú ị́sụ́zú, mvá ũkú rĩ vé ẹ́tẹ́pị Kãnánãgú, rụ́ ni Súwã ꞌi. Yụ́dã ní mvá ũkú rĩ jezú ꞌí ní ũkú rú, kộpi ní lazú mvá ũkú rĩ be. 
GEN.38.3	Mvá ũkú rĩ ní ꞌa ị́sụ́zú, ĩri ní mvá ágó tịzú, Yụ́dã ní mvá rĩ ã rụ́ ꞌdazú Érẽ ꞌi. 
GEN.38.4	Ũkú rĩ ní kpá gõzú ꞌa ãzi ị́sụ́zú, ĩri ní mvá ágó tịzú, ĩri ní rụ́ ni ꞌdazú Õnánĩ ꞌi. 
GEN.38.5	Ĩri ní kpá gõzú mvá rĩ ãzi tịzú ágó, ĩri ní rụ́ ni ꞌdazú Sélã ꞌi. Tị mvá ꞌdĩri Kẹ̃zị́bụ̃ gé.
GEN.38.6	Yụ́dã ní ũkú jezú ívé mvá kãyú Érẽ ní, mvá ũkú rĩ ã rụ́ Tãmárã ꞌi. 
GEN.38.7	ꞌBo Yụ́dã vé mvá kãyú Érẽ ri ũnjĩkãnyã ꞌoó Úpí Múngú ẹndrẹtị gé, sẽ Úpí ꞌdị ĩri drãá rá.
GEN.38.8	Kúru Yụ́dã ní ꞌyozú Õnánĩ ní kĩnĩ, “ꞌÍ fi mí ẹ́drị́pị vé ọ̃wụ́zị́ sụ̃ ꞌbávé mẽrẽ ní lẽé rĩ tị́nị, ĩmi tịkí rí mvá ĩri be mí ẹ́drị́pị drãápi rĩ ní.” 
GEN.38.9	ꞌBo Õnánĩ nị̃ rá ꞌyozú kínĩ, mvá ꞌdĩri úmvúlésĩ adri ívé ni ku, kãdõ laá ẹ́drị́pị vé ọ̃wụ́zị́ rĩ sĩ, ĩri ívé yị̃ị́ ágó vé rĩ sẽ ra vũgá, ꞌî tị rí mvá ẹ́drị́pị drãápi gí rĩ ní ku. 
GEN.38.10	Tã ĩri ní ꞌoó ꞌdĩri, Úpí Múngú mị gé ꞌdãlé ĩri ũnjĩkãnyã, sẽ Úpí Múngú ꞌdị kpá ĩri drãá rá.
GEN.38.11	Yụ́dã ní ꞌyozú Tãmárã ní kĩnĩ, “ꞌÍ mụ adrií mí ẹ́tẹ́pị vé ãngá ꞌdãá, ꞌí tẽ mívé ọ̃wụ̃zị̃ rĩ ã vụ́drị̃ cĩmgbá mâ mvọ́pị Sélã mba dõ ãmbúgú gí ká.” Yụ́dã átá ꞌdíni, ãꞌdiãtãsĩyã ụ̃sụ̃ déna ívé mvá Sélã ri kpá drã sụ̃ ẹ́drị́pị́ị ní ũdrãá rĩ tị́nị. Kúru Tãmárã ní mụzú adrizú ẹ́tẹ́pị vé ãngá ꞌdãá.
GEN.38.12	ꞌDụ lókí vụ̃ụ́ ãco, Yụ́dã vé ũkú Súwã mvọ́pị ní drãzú. Ĩzãngã ŋõ Yụ́dã ẽ ẹ́sị́ rá, kâ ĩri ẽ ẹ́sị́ ũmĩí gí, ĩri ní ꞌdezú mụzú Tímĩnã gá, ãgõ riꞌbá ĩrivé kãbĩlõ ꞌbí rẽꞌbá rĩ pi vúgá, kộpi ꞌdekí mụụ́ ívé ũndĩ Hírã adriípi Ãdũlámũ gé rĩ be.
GEN.38.13	Kâ lũú Tãmárã ní kínĩ, ẹ́nyẹ́pị ri mụ Tímĩnã gá ívé kãbĩlõ ꞌbí rẽngárá gá, 
GEN.38.14	nje ívé bõngó ọ̃wụ̃zị̃ vé rĩ ꞌî rụ́ꞌbá gá sĩ rá, ꞌbe bõngó pẽrépére ni ꞌî ẹndrẹtị ọ̃zụ̃zú ãní cí,
GEN.38.15	Yụ́dã kã ĩri ndreé, ụ̃sụ̃ déna ĩri ũkú ọ̃wụ́ rú ni, ãꞌdiãtãsĩyã ꞌbe bõngó pẽrépére ni ꞌî ẹndrẹtị ọ̃zụ̃zú ãní cí. 
GEN.38.16	Yụ́dã nị̃ ámá ꞌyozú kínĩ, ꞌbá rĩ ꞌî mvọ́pị drãápi gí rĩ vé ũkú Tãmárã ꞌi ꞌdíni kuyé. Ĩri ní mụzú ũkú rĩ vúgá lẹ́tị mịlé gá ꞌdãá, ĩri ní ꞌyozú kĩnĩ, “Mí ímụ́, ꞌbâ lakí mí be.”
GEN.38.16	Ũkú rĩ ní Yụ́dã ri zịzú kĩnĩ, “ꞌBá lakí dõ mí be gí, mi má ní ãꞌdi sẽ?”
GEN.38.17	Yụ́dã ní ꞌyozú kĩnĩ, “Ma ndrị̃ị́ mbaápi fõlõ ni íꞌdụ́ mávé ndrị̃ị́ rĩ pi ãsámvú gé ꞌdãá, ma ĩpẽ mí ní.”
GEN.38.17	Ũkú rĩ ní ĩri zịzú kĩnĩ, “Ngá mí ní ícó sẽé má ní, ã lũ rí ꞌyozú kínĩ mi íbí ndrị̃ị́ mbaápi fõlõ rĩ íjị́ ndõ rĩ ãꞌdi?”
GEN.38.18	Yụ́dã ní újázú kĩnĩ, “Ngá mí ní lẽé mâ sẽ mí ní rĩ ãꞌdi?”
GEN.38.18	Ũkú rĩ ní ꞌyozú kĩnĩ, “Lẽ mî sẽ má ní mívé kátrĩ ĩ ní mî rụ́ sĩí rụ́ꞌbá ni gé ꞌdĩri, bãákú ĩ ní rizú kátrĩ rĩ ꞌyĩzú rĩ be, ãzini túré mí drị́gé ꞌdĩri.” Yụ́dã ní ngá ꞌdĩꞌbée íꞌdụ́zú sẽzú ũkú rĩ ní. Kộpi ní lazú ũkú rĩ be, ũkú rĩ ní ꞌa ị́sụ́zú. 
GEN.38.19	Ũkú rĩ kã mvií gõó ꞌbẹ̃tị́ ꞌdãlé, ĩri ní ívé bõngó pẽrépére ꞌî ẹndrẹtị ọ̃zụ̃zú rĩ ọ́wụ́zú rá, ĩri ní gõzú ívé bõngó ọ̃wụ̃zị̃ vé rĩ suzú ꞌî rụ́ꞌbá gá ũzi.
GEN.38.20	Kúru Yụ́dã ní ívé ũndĩ Hírã adriípi Ãdũlámũ gé rĩ pẽzú ndrị̃ị́ mbaápi fõlõ rĩ jịzú, ẽ íjị́ rí ívé ngá ꞌí ní kuú ũkú rĩ vúgá ꞌdãlé rĩ ĩgõó vúlé, ꞌbo Hírã ị́sụ́ ũkú rĩ kuyé. 
