GEN.1.1	Wele gug qocna Anut uqa sao mahaca ifanen. 
MAT.16.5	Jisas uqa malogom gami Galili wa gad cagoc ono isec li bilein. Deel euna malogom age beloqaga bili bred tacecnu dahiniga celen. 
MAT.16.6	Ono bibilegin Jisas uqa malogom galolo je madi maaden, “Dah meiga, age Farisi Sadjusica agena bred gug qoc ibuldocnu jis eu ageca hoiaunnu batut feigale,” aden. 
MAT.16.7	Odi maadeceb malogom age togodudu madein, “Ege bred qee cedi aholom eunu je magena,” ein. 
MAT.16.8	Jisas uqa, age eunu togododogin dumei maaden, “O dana wawaga meleec nag, age eetanu bred qee cedi aholoin eunu togodudu madegina? 
MAT.16.9	Age qila wawaga qee fogo dolfo? Wele bred 5-pela ninijen dana 5,000 jein age deel euna jecefanaga galelna tacecebil ganic ihoc len eu qee cisdoginafo? 
MAT.16.10	Qeefi, age bred 7-pela ninijen eu dana 4,000 ihoc jecebil jecefanaga galelna tacecebil ganic ihoc len euha qee cisdoginafo? 
MAT.16.11	Ija brednu qee maadelem. Eu adi wawaga qee fogo dol? Age Farisi Sadjusica agena bred gug qoc ibuldocnu jis eu ageca hoiaunnu batut feigale,” aden.
MAT.16.12	Odi maadeceb malogom age Jisas uqa age bred gug qoc ibuldocnu jis eu batut feigale ec qee madel euqa age Farisi Sadjusica agena iwaladec je eu batut feigale ec madeia eunu doin.
MAT.16.13	Jisas uqa malogom gami Sisaria Filipai agena hatuna cobimeig Jisas uqana malogom sisiladi maaden, “Mateiga, dana age Dana Melahnu in egina?” aden. 
MAT.16.14	Odocob jejeg hewi madoin, “Dana oso age madegina, uqa wa joadec dana Jon, egina. Leih madegina, uqa Ilaija, egina. Leih madegina, uqa Jeremaiafo, uqa je hahun madec dana osofo, egina,” doin. 
MAT.16.15	Uqa haun sisiladi maaden, “Ageqa, ijanu in egina?” aden.
MAT.16.16	Odocob Saimon Pita Jisas jejeg hewi madon, “Krais eu hina. Cebac bilec Anut uqa melah eu hina,” don.
MAT.16.17	Odi madocob Jisas madon, “O Saimon, Jon melah, hina eelhec biliga. Mahanadec dana oso je eu qee camas mihel. Eu Mei sao jobon bilia eu uqa je i camas mihia. 
MAT.16.18	Eunu ija je oso mahigina eu odi. Hina Pita,
MAT.16.19	Ija sao cul jobon ki ihigen. Ceteh cunug hina mahana jelaga qa sao jobonna ha jelec biligian. Ceteh cunug hina mahana cufalaga qa eu sao jobonna ha cufalec biligian,” don. 
MAT.16.20	Odimei Jisas uqana malogom cahacaadi maaden, “Ija Krais je eu leih cain maadi cobowain,” aden.
MAT.16.21	Saen euna Jisas uqa uqana cal mecnu uqana malogom maadecnu sanan mimei maaden, “Dana Melah uqa Jerusalem ono teceb Juda agena matuca, ihanec dana benbenca, loo je iwaladecca, age madecebil deweg sogoec ben gahidugian. Age uqa qocobil cal migian. Uqa deel cijeddocna Anut uqa tulidocob ceseli cajigian,” aden.
MAT.16.22	Uqa eunu maadeceb Pita uqa Jisas ehudeceb filecna limesi Pita uqa Jisas cahacdudu madon, “O Tibud, Anut uqa ceteh eu dewenna hoiaundainnu cahacduhiale!” don. 
MAT.16.23	Pita odi madocob Jisas falicdu madon, “Seten, hina Anut madena eu qee madelem. Hina dana mahanadec cisdoc toodu matagana. Hina jic cufa qutagana. Se, cuculti nuuga!” don.
MAT.16.24+MAT.16.25+MAT.16.26+MAT.16.27	Odocob Jisas uqana malogom maaden, “Feiga, Dana Melah uqa Memegna kobolkobolca uqana ensel gami hoqagan. Deel euna uqa dana abesabes age odoinnu ameg wadacadigian. Eunu dana oso mahamaha cehewan cunug oialumiqa uqana cebac bilec qee moubmi cehewan on eunu me biloubfo? Qeefi, dana uqa cebac bilec eu culecebfi cel cetehna uqana cebac bilec ceseli besi ocnu fajudigian? Oso uqa uqana cebac bilec cahahadugia odona eu uqa uqana cebac bilec felacudigian. Odocob oso uqa ijana bilina eunu uqana cebac bilec felacudecebfi eu uqana cebac bilec ugian. Eunu oso uqa ijanu madi, ija uqa jaih ceen lahacdudu toodugen, ena eu uqadodoc deweni me biligian ec cain madeiaun qa uqa uqana na babalec hewi gahidumei tooteiale. 
MAT.16.28	Ija mele maadigina, leih age ene tawegina eu age qee cal mec ninijeb Dana Melah uqa uqana king culna hohob mecidoqagan,” aden.
MAT.17.1	Deel 6-pela hedocob Jisas uqa Pitaca, Jemsca uqa waliag Jonca cedadimei ehadi aluh ohis osona dana oso qee bilec euna ti cuhanuc bilein. 
MAT.17.2	Ono bibilegin Jisas uqa age amagana ibuldon. Uqa ola cam odi camalen, uqana lotoc senenec bahic fulacdon. 
MAT.17.3	Odocob uqana malogom age Moses Ilaijaca ale hocobil Jisasca togododogin feciadein. 
MAT.17.4	Odi bibileig Pita uqa fimei Jisas madon, “O Tibud, ege ene odi bilecnu eu me bahic. Hina madecemfi ija ene talah jo cijed cehigen, oso hinana, oso Mosesna, odocob oso Ilaijana,” don.
MAT.17.5	Uqa je eu madudu bibilen taen oso fulacdoc bahic ni jahuladen. Taennadec jejeg oso camas mimei maden, “Ija melami nelugca, ija uqanu gale ben tena eu ihen. Age uqa jejeg toodu odoiga,” en.
MAT.17.6	Odocob malogom eu dah mimeig ni mahulein. Age ben bahic cucuiein. 
MAT.17.7	Euqa Jisas ageca limei hewadi maaden, “Age cain cucuiuwain. Cajeiga,” aden. 
MAT.17.8	Age caji meciimeig dana oso qee felein, Jisas himec fein.
MAT.17.9	Age aluhnadec totoni Jisas malogom cijed je gatiti maaden, “Qila feiga eu oso cain saadowain. Dana Melah cal mecnadec qee cajec ninijeb je i oso cain doiaun,” aden.
MAT.17.10	Odocob malogom age Jisas sisildu madoin, “Eunu eetanu loo je iwaladec age Ilaija uqa aquni hugian egina?” doin.
MAT.17.11	Odocobil Jisas maaden, “Ilaija uqa mele hugian, humei ceteh cogogen eu cunug tutuc mudigian. 
MAT.17.12	Euqa ija maadigina, Ilaija uqa wele hon. Hocob dana age uqanu qee doloin. Agedodoc wawaga maden eu age uqa odudein. Eu odiwe ageha Dana Melah odudecebil deweg sogoec ben gahidugian,” aden. 
MAT.17.13	Jisas odi saadeceb malogom age Jisas uqa wa joadec dana Jonnu mageia imeig wawaga fogo don.
MAT.17.14	Jisas malogom cijedca age dana cajaca mati cemenega lecebil dana oso hu Jisas jaihna isec gob cehimei madon, 
MAT.17.15	“O Tibud, ija melami uqa titi hudec hag qona eu me qee bahic odudina. Saen matica janaca wanaca toni mahuli cosolena. Eunu hina uqanu walol heiale. 
MAT.17.16	Ija ijana mel hina malogom cemenega mudecemin ageqa me mudecnu ihoc qee,” don.
MAT.17.17	Odocob Jisas uqa jejeg hewi madon, “O dana cajaca qila bilegina, age wawaga meleecca qee, age cisdoc cogogecca! Saen ganic ija ageca haun biligen? Saen ganic ija camuhulaadi cobigen? Mel eu cemeni ehudi ahoigale,” don. 
MAT.17.18	Odi odocobil Jisas uqa buga me qee eu cahacdudu madocob uqa mel eu cuculdi nueceb mel qila i medocob bilen.
MAT.17.19	Odocob malogom age Jisasca jahuni humeig sisildu madoin, “Ege eetanu buga me qee eu ititacdocnu ihoc qee lel?” doin.
MAT.17.20+MAT.17.21	Odocobil maaden, “Agena wawaga meleec eu nag eunu ihoc qee lel. Ge, ija mele maadigina, age wawaga meleec eu nag bahic, eu mastet aig cinigwe tawecebfi age aluh i madoubmiqa, ‘Hina cajimeg onoca nuuga,’ doubmiqa odocob uqa conoga toodu odoub. Ceteh odoc oso odocwe qee eu qee nijiaun. Odoc cunug ihoc ligian,” aden.
MAT.17.22	Age odi ono Galili hatuna bilimeig Jisas maaden, “Dana Melah eu dana ebenegana mudecebil 
MAT.17.23	age uqa qocobil cal migian. Odocob deel cijeddocna Anut uqa tulidocob ceseli cajigian,” aden. Uqa odi maadeceb wawaga me qee men.
MAT.17.24	Age haun ceselimeig Kapaneam jobon hoin. Bibilegin tempel cabinu takis helecebil cedein dana eundec osooso Pitaca limeig sisildu madoin, “Agena iwaladec uqa tempel cabinu takis qee helenafo?” doin. 
MAT.17.25	Pita uqa maaden, “Ese, uqaha takis helena,” aden.
MAT.17.25	Hibna Pita uqana jona bibilen Jisas uqa Pita sisildu madon, “Saimon, hina eeta madagana? King mahanadec age in takis helecebil ogina? Age agena mel helecebil oginafo, qee dana maha fildec helecebil oginafo?” don. 
MAT.17.26	Odocob Pita madon, “King mahanadec age dana maha fildec takis helecebil ogina, igina,” don. Odocob Jisas madon, “Odi mele, eunu kingna mel age takis helecnu je qee nijel. 
MAT.17.27	Ageqa elenu gemanaga beiaunnu hina Galili wa cagoc lanna limeg cawil wana helagale. Hina odi odocom dool oso cawilna umeg didu ogale. Umeg uqa biahna meen qaig oso eu ninijeb cacawi umeg meen qaig eu tempel cabinu hinanuca ijannuca helagale,” don.
MAT.18.1	Saen euna malogom age Jisasca limeig sisildu madoin, “Sao cul jobon euna in oso cunug wooladi ben bilina?” doin.
MAT.18.2	Odocobil Jisas uqa mel sim oso utadocob uqaca hocob uqa ehudi malogom gemona mudimei 
MAT.18.3	maaden, “Ija mele maadigina, age tului qee falicdu mel i cinigwe ha qee ibuldufeig age sao cul jobon ono qee lowain. 
MAT.18.4	Oso uqadodoc jogoimei ija cotiel agena ben ec qee madigiaqa mel eu cinigwe eu cotugul cunug wooladi sao cul jobonna ben bilina,” aden.
MAT.18.5	“Oso uqa mel sim eundec oso ija ijanina ehudimei eu eeldona eu uqa ija oitimei eeltena,” aden.
MAT.18.6	Jisas odi maadi maaden, “Euqa oso uqa mel sim i eundec oso uqa ijanu waug meleena eu odudeceb silail migiaqa eu meen culumenca bena qagi macas ameg nijia euna age helecebil wa jimei cal moubmi eu me odoub,” aden.
MAT.18.7	“Faninadec mahana nijina, odocob faninadec eu gaid dana cajaca ageca hona, eu cunug qee mudecnu qee nijel. Euqa dana cajaca age maha ina bilegina age leih faninadecebil silail megina eu age walocca! 
MAT.18.8	Odocob hina eben lecisca jaim lecisca ja cijeceb catanecna helihecebil euna bilecnu eu me qee bahic. Euqa hina ebenca qee jaimca qee cebac bilec catanec ogaqa eu me. Eunu hina ebenfo, jaimfo silail mecnu mana tawecebfi hina qeti helagale. 
MAT.18.9	Odocob hina amen lecisca oloqanih jana helihecebil euna bilecnu eu me qee bahic. Euqa hina amenca qee euqa cebac bilec catanec ogaqa eu me. Eunu hina amen faninheceb silail mifeg amen seli helagale,” aden.
MAT.18.10+MAT.18.11	“Ija maadigina, sim agena ensel age gaid Mei sao jobon bilia uqa ola mecidogina. Eunu batut feigale, age mel sim i age oso cain cewudowain,” aden.
MAT.18.12	Jisas je haun maaden, “Age je i maadigennu adi cisdogina? Dana oso uqana sipsip 100 cobogina eundec osol jahunen. Odocob dana eu dumei uqa 99 eu aluhna cuculadi jahunen eu wawali qee cobonafo? 
MAT.18.13	Uqa eu gulucdufei, ija mele maadigina, uqa 99 aluhna me bilegina eu cunug woolaadi osol cahahadu on eunu waug ceelena. 
MAT.18.14	Eu odi Mei
MAT.18.15	Jisas je haun maaden, “Hina cotin [dewenna] silail mecebfi hina uqaca limeg hina uqaca himec mecidodecna madogale. Madogona eu cotin dah mecebfi hina cotin haun ceseli ogona. 
MAT.18.16	Euqa uqa hinana je dah mecnu culecebfi
MAT.18.16	‘je eu tutuc mudec dana lecisfo, cijedfo amagana cabi ocnu’
MAT.18.16	(Loo 19.15)
MAT.18.16	hina dana osolfo, lecisfo cedalecem age osoben li cotin madoigale. 
MAT.18.17	Hina cotin dana eu agena je dah mecnu culecebfi hina je eu tamanec amegna camasac magale. Cotin uqa tamanecna je toodu odoc culecebfi hina uqa Juda dana qee eundecfo, takis cedec eundecfo hibemadeginawe hibemdogale,” aden.
MAT.18.18	“Ija mele maadigina, age ceteh mahana jelegina eu sao jobon jelec biligian. Ceteh age mahana cufalegina eu sao jobonha cufalec biligian,” aden.
MAT.18.19+MAT.18.20	“Je osoha maadigina, lecisfo cijedfo ija ijaninu ceguli bilegina euna ija age gemona biligen. Eunu age eundec lecis mahana ceteh osonu Mei madocnu wawala osol meceb inondocobilfi ceteh eu Mei sao jobon bilina eu adigian,” aden.
MAT.18.21	Pita uqa Jisas cemenug limei sisildu madon, “O Tibud, coti uqa ija silail mecna culini gaid tudocob cagasitoc sanijec ganic ihoc leceb cagasitugen? Cagasitoc 7-pela ihoc lec eu ihocfo?” don.
MAT.18.22	Jisas uqa Pita jejeg hewi madon, “Ija mahigina, 7-pela ihoc lec eu ihoc qee, euqa hina cotin 70doc sanijec 7-pela ihoc leceb cagasitoga,” don.
MAT.18.23	Odi madumei maaden, “Sao cul jobon eu odi king oso uqa uqana cabi dana agena cub oc tutuc mudecnu utaaden. 
MAT.18.24	Eu age hocobil age gemona cabi dana oso camas men eu uqa kingna 10 milion kina wele on. Uqana cub oc eu ben bahic. 
MAT.18.25	King uqa ameg itiga don qeenu king maaden, ‘Age uqaca uqa aidegca uqana melca uqana ceteteh cunugca idadumeig meen qaig iteiga,’ aden. 
MAT.18.26	Odocob cabi dana eu uqa je eu king madeceb dumei uqa king amegna gob cecehi kingnu cuha fimei ninidudu madon, ‘O ijana Ben, hina susumitem ija isi meen qaig ameg cunug ihigen,’ don. 
MAT.18.27	Odi odocob king uqa dana inu walol docob besitumei uqana cub oc cunug cagasiton,” aden.
MAT.18.28	“Euqa cabi dana eu nuimei uqa cabi hijag oso gulucdon. Eu uqa wele 100 kina uten. Uqa eu gulucdumei be doodool hewimei madon, ‘Meen qaig ihem eu qila ameg itiga,’ don,” aden.
MAT.18.29	“Odi odudeceb cabi hijag eu uqa amegna gob cehimei ninidudu madon, ‘Sumitigale. Ija meen qaig ameg cunug isi ihigen,’ don. 
MAT.18.30	Odocob uqa eu cuculi gihacdoc jona tacen meen qaig ameg itecem besihigen don,” aden.
MAT.18.31	“Uqa odi odocob uqa cabi hijagul je eu cunug dumeig wawaga me qee meceb age li king je eu cunug sadoin. 
MAT.18.32	King je eu dumei uqa dana i utadocob hocob madon, ‘Hina cabi dana me qee bahic. Hinana cub oc ben bahic ninijen ninitecemnu cagasihem. 
MAT.18.33	Hina cabi cotin niniheceb hina eetanu uqanu qee walol hel ija hinanu walol ten odi?’ don. 
MAT.18.34	Odimei gemag madudu deweg tudocnu gihacdoc jo cofdoc culiaden, meen qaig ameg cunug iteceb besitoiga,” aden.
MAT.18.35	“Eunu age cotogail agena cahuldoc qee cagasi bahic adecebilfi Mei sao jobon bilia eu uqaha king uqa cabi dana me qee odudenwe odadigian,” aden.
MAT.19.1	Jisas uqa je eu madi hedumei Galili hatu culimei Judia hatu Jodan Wa ono isec nui bilen. 
MAT.19.2	Dana cajaca mati bahic toodu cobocobil uqa ono agena hagnu me maden.
MAT.19.3	Odocob Farisi age ege Jisas temdu feqan imeig uqa sisildu madoin, “Magaga, dana oso uqa aideg deweg je oso nijeceb uqa culdecnu egena loo je cois ec madenafo?” doin.
MAT.19.4	Odocobil Jisas maaden, “Ifanec gug eu
MAT.19.4	‘Anut uqa dana cajaca ifani malimei maden’
MAT.19.4	(Jenesis 1.27)
MAT.19.4	eunu Anutna jaqec jena qee sanijeleinfo? 
MAT.19.5	Anut uqa odi maden:
MAT.19.5	‘Gug inu dana uqa memeg anagca culalimei aidegca gabanalecebil biluwasan.
MAT.19.5	Odocob lecis ale deweg osol biluwasan,’ en.
MAT.19.5	(Jenesis 2.24)
MAT.19.6	Eunu ale lecis qee biluwasinqa ale deweg osol bilesina. Eunu Anut gabandon eu dana oso cain cagoiaun,” aden.
MAT.19.7	Odocob age Jisas jejeg hewi madoin, “Moses uqa eetanu loo je odi igen, agena caja cagoc je jaqec utimeig culdecebil nuigian, gen?” doin.
MAT.19.8	Odi madocobil maaden, “Age wawaga tool ibuldon eunu Moses uqa caja culdecnu jic besiaden. Gug qocna odoc odi qee nijel. 
MAT.19.9	Ija maadigina, dana oso uqa aideg dana osoca qee leceb nijelesin euqa gauc dana caja sisi jelec wagalimei aideg culdi caja haun oso ona eu wal kobol odona,” aden.
MAT.19.10	Jisas odi maadeceb malogom age Jisas madoin, “Dana cajaca bilecnu je odi tawecebfi eu caja ocnu cois qee,” doin.
MAT.19.11+MAT.19.12	Odocobil Jisas maaden, “Dana osooso age caja ocnu duman utec qee nijel age odi anagail basadein. Leih dana baminiga seladecebil age caja ocnu qee nijel. Leih age sao cul jobonnu cabi ocnu himec cisdumeig agedodoc dewenega cilehdumeig caja qee ogina. Oso uqa je eu ocnu ihocfi ugian. Eunu je eu dana cunug ocwe qee. Oso je eu ocnu duman utec nijia eunu dahig fogo dugian,” aden.
MAT.19.13	Dana cajaca leih age Jisas uqa agena mel sim ebenna hewadi agenu inondugiannu mel sim Jisasca ehadi ahoin. Ahocobil malogom age ehadi ahoin eundec gagalaadi cahacadein. 
MAT.19.14	Odocobil Jisas eu fimei maaden, “Mel simwe eundecnu sao cul jobon muden nijiado. Eunu cain cahacadowain. Culadecebil mel sim age ijaca hoigale,” aden. 
MAT.19.15	Uqa odi maadimei eben mel ilomogana mimei eeladimei cuculadi nuen.
MAT.19.16	Dana haun oso uqa Jisasca hu sisildu madon, “O Iwalgec, cebac bilec catanec eu ocnu eeta me odoc oso odigen?” don.
MAT.19.17	Odocob Jisas jejeg hewi madon, “Hina me odocnu eetanu sisiltagana? Anut uqa himec me. Hina cebac bilecna lecnu madifeg Anutna loo je toodu odogale,” don.
MAT.19.18	Odocob dana haun madon, “Cel loo jenu cisdudu matagana?” don. Odocob Jisas madon:
MAT.19.18	“Hina oso cain qagadogaun.
MAT.19.18	Hina dana cajaca dewenela osol mec cain cagualegaun.
MAT.19.18	Hina oso uqana ceteteh cain heje cedagaun.
MAT.19.18	Hina oso uqanu uhulec je cain madagaun.
MAT.19.18	Hina oso cain um qudugaun.
MAT.19.19	Hina memen aninca lalan malagale.
MAT.19.19	(Kisim Bek 20.12-16; Loo 5.16-20)
MAT.19.19	Odocob hina hinanel nalunin maganawe
MAT.19.19	odi hina utuqain bilec
MAT.19.19	(Wok Pris 19.18)
MAT.19.20	Odocob dana haun eu uqa Jisas madon, “Loo je eu cunug ija toodu odi hedom. Ceteh odocnu ija qee odolom eu oso nijiafo?” don.
MAT.19.21	Odocob Jisas uqa jejeg hewi madon, “Hina dana tutuc bahic calegannu gale hecemfi hina nuimeg hina cehewain cunug idadumeg meen qaig eunadec umeg dana sawen eundec siwiadagale. Odi odimeg hina sao jobon ono cehewainca bilegan. Odimeg hu ija tootagale,” don. 
MAT.19.22	Odocob dana haun eu uqana ceteh cehewan mati bahic nijen eunu Jisasna je eu dumei uqa waug culumen dodon Jisas cuculdi nuen.
MAT.19.23	Odocob Jisas uqa malogom maaden, “Ija mele maadigina, dana cehewanagaca age sao cul jobon dunuh loqagannu eu cacanigca bahic! 
MAT.19.24	Ija haun maadigina, kamel uqa lotoc gisec cese gigilona isec li nuecnu cacanigca, euqa dana cehewanca eu Anutna cul dunuh lecnu cacanigca eu wooldoc bahic,” aden.
MAT.19.25	Malogom age je eu dumeig age tumatumai madein, “Mele odi nijecebfi innini Anut uqa cahahaadigian?” ein.
MAT.19.26	Odi madecebil Jisas meciaadi maaden, “Dana age odi odocnu qee nijel. Euqa Anut ceteh cunug odocnu dona,” aden.
MAT.19.27	Odocob Pita uqa Jisas jejeg hewi madon, “Faga, ege ceteteh cunug culimeb hina toohi coboqona. Ege isi eeta oso oqan?” don.
MAT.19.28	Odocob Jisas maaden, “Ija mele maadigina, maha haun ibuldocna Dana Melah uqana king bilec bahim kobolkobolcana bibileb ageha king bilec bahim 12-pelana bibili Isrel sihul 12-pela gesiladoqagan. 
MAT.19.29	Age abesabes oso uqa jofo, waliagulfo, cebinagulfo, memegfo, anagfo, uqana melfo, cabifo ija ijaninu culiadecebfi uqa ceteh culden eu 100doc wooldoc ameg ben bahic ugian. Odocob uqa cebac bileceb catanec muguh ugian. 
MAT.19.30	Euqa mati qila hib bahic taweiga eundec age isi aquni tawoqagan. Odocob mati qila aquni taweiga eundec age isi hib bahic tawoqagan,” aden.
MAT.20.1	Jisas je haun maaden, “Sao cul jobon odiwe bilia. Jo gug uqa deel osona qasil cabi dana age uqana wain cabina cabi ocnu fajadigiannu waladi nuen. 
MAT.20.2	Uqa dana gulucadimei kina osolnu qila cabi ocnu sisiladeceb cois ecebil uqa uqana wain cabina cabi oqagannu suladen. 
MAT.20.3	Uqa 9 kilokna haun ceseli cobimei dana gauc idadec cudunna tatawegin feciadimei 
MAT.20.4	maaden, ‘Ageha ijana wain cabina belimeig cabi oigale, ija agena cabi oc ameg ihoc adigen,’ aden. Odocob age cabi ocnu belimeig cabi oin. 
MAT.20.5	Uqa cam gemo cehi tatawen haun cocobi li cabi dana haun ceden. Odimei cam waldocob 3 kiloknaca cocobi li odi ha odon,” aden.
MAT.20.6	“Odimei uqa 5 kilokna cocobi li dana leihha gulucadimei maaden, ‘Age eetanu cahineg cunug ene gauc taweiga cabi oso qee oloin?’ aden. 
MAT.20.7	Odocob age madoin, ‘Oso cabi ocnu qee hu magel,’ doin. Odocobil uqa maaden, ‘Ageha ijana wain cabina belimeig cabi oigale,’ aden,” aden.
MAT.20.8	“Wesu meceb wain cabi gug eu uqa uqana cabi cofdoc dana madon, ‘Hina cabi dana utaadecem hocobil cabi oc ameg adagale. Hib hoiga euna sanan mimeg aadi aadi li qasil hoiga euna ihoc lec adagale,’ don. 
MAT.20.9	Uqa utaadeceb hocobil cam waldoc 5 kilokna cabina lein eundec kina osol aden. 
MAT.20.10	Odocob qasil cabina casac lein eundec age wawagana madein, ‘Uqa ege meca igigian,’ ein. Euqa ageha kina osol aden. Cabi cofdoc uqa kina osol adeceb 
MAT.20.11	age wain cabi gugnu gonagona mimi madoin, 
MAT.20.12	‘Dana hib hoiga eu aua osol himec cabi oiga. Ege qasil sanan mimeb cam qiqigen cabi oqa. Hina hib hoigaca egeca ihocihoc igiga eu cois qee,’ doin,” aden.
MAT.20.13	“Euqa wain cabi gug uqa dana eundec oso madon, ‘Ijana danah, ija hina qee wahelem. Faga, ija hina qasil kina osolnu cabi oganfo, ec sisilhecemin cois qee telemfo? 
MAT.20.14	Hinana meen qaig oga eu gad hewi nuuga. Ijadodoc ijana gale tecnu ija hib hoiga eundec hina ihiga odi ihocihoc adiga. 
MAT.20.15	Ija ijana ceteteh wawi madec toodu siwecnu qee nijelfo? Ija nelinica odigina hina eunu gumunitagana eu coisfo?’ don,” aden.
MAT.20.16	“Eu odi milum hib hoin eundec matu ibuldoqagan, matu aquni hoin eundec milum ibuldoqagan,” aden.
MAT.20.17	Jisas uqa Jerusalem ono ti cocoboi uqa uqana malogom abes utaadeceb hocobil maaden, 
MAT.20.18	“Feiga, ege Jerusalem toqona. Ono age Dana Melah ihanec dana benben ebeneganaca loo je iwaladec ebeneganaha muduqagan. Age uqa cal migiannu geldumeig 
MAT.20.19	Juda dana qee eundec ebenegana muduqagan. Odocobil age uqa lelandumeig qisadu na babalecna tuitu qumeig caqusecebil caculimei cal migian. Odocob deel cijeddocna Anut uqa tulidocob ceseli cajigian,” aden.
MAT.20.20	Saen euna Sebedi melahul lecis ale anala uqa Jisasca humei uqa amegna gob cehi uqanu cuha fimei je madugiannu bilen. 
MAT.20.21	Odocob Jisas uqa sisildu madon, “Eetanu matecnu odogona?” don. Odocob caja madon, “Hinana cul camas meceb ija melamiel lecis oso hina eben meulana isec, oso eben ansena isec bilec meca eu alegannu je hahun itigale,” don.
MAT.20.22	Odocob Jisas caja jejeg hewi maalen, “Ale cetehnu ninitesina eu uqana caun qee dosina! Wa gab ija jigen eu aleha jecnu ihocfo?” alen. Odocob madosin, “Ese, ele jecnu ihoc,” dosin. 
MAT.20.23	Odocobil Jisas maalen, “Mele, wa gab ija jigen eu aleha jowasan. Euqa bilec cudun ebeni meulana isecca ebeni ansena isecca alecnu eu ijana cabi qee. Eu Mei uqa bilec eu ocnu wele maden eu ale bahic owasan,” alen.
MAT.20.24	Malogom 10-pela age je eu dumeig age dana lecis eu alenu wawaga me qee men. 
MAT.20.25	Odocob Jisas uqa malogom utaadeceb hocobil maaden, “Juda dana qee eundec agena king age agena dana gagadic madegina, odocob mahana dana ben age dana cilehadegina eunu age dogina. 
MAT.20.26	Euqa age gemona odi cain nijiaun. Age gemona oso ija ben biligen ifei uqa cotugul cunug cewel uadeiale. 
MAT.20.27	Odocob oso uqa ija matu biligen ifei eu agena begabeg meh cabi dana ibuldoiale. 
MAT.20.28	Ge, Dana Melah ha dana age ija cewel utuqagan imei qee toni nel. Qeeo. Dana Melah uqa dana cajaca cewel uadecnu toni nen. Uqa ijana cebac bilec eu dana cajaca mati besiadec fajadecnu culigen imei eunu toni nen,” aden.
MAT.20.29	Jisas uqana malogomca age Jeriko taun cuculeig dana cajaca mati bahic tooadecebil coboin. 
MAT.20.30	Cocobogin dana amala galuc mec lecis ale jic gesacna bilesin. Dana lecis eu ale Jisas hona ec mamadegin dah mimesi ale utai madesin, “O Dewid Melah, elenu walol heiale!” esin. 
MAT.20.31	Dana cajaca age gagalaaali maalein, “Cain utaowasin. Culesiale,” alein. Euqa ale feeadi conola suli u utai madesin, “O Tibud, Dewid Melah, elenu walol heiale,” esin.
MAT.20.32	Jisas tului tawimei dana utaali maalen, “Ija ale eeta odaligennu matesina?” alen. 
MAT.20.33	Odocob dana amala galuc mec ale Jisas madosin, “O Tibud, ele amile meciecnu odiligale,” dosin. 
MAT.20.34	Odocobil Jisas alenu waug qocob amala qududocob mahuc amala fogo docob ale ceteh cunug fesin. Odimesi ale Jisas toodocobil belein.
MAT.21.1	Jisas uqana malogomca age Jerusalem dodoldodogin Betfasi jobon Oliw Aluhna isec calimeig uqa malogom lecis sulaali 
MAT.21.2	maalen, “Jobon amigena nijia euna lesia. Ale dunuh lelesi cesel anag uqana goman manahalca qagalec tatawecebil eu gulucdowasan. Ale eu cufalalimesi ehali ahutesiale. 
MAT.21.3	Dana oso uqa ale eetanu cesel cufalalesina alecebfi ale madowasan, ‘Tibud cesel eu ocnu eu cabi osoca madena,’ dowasan. Odocobil dana eu cesel culaligian,” alen.
MAT.21.4	Je hahun madec dana uqana je oso ihoc ligiannu odi odon. Je hahun madec dana uqa wele odi maden:
MAT.21.5	“Age Saion dana cajaca odi maadeigale,
MAT.21.5	‘Feiga, agena king ageca hona.
MAT.21.5	Uqa dana jogoi cobonawe cesel uqa guhadocob hona.
MAT.21.5	Cesel uqana nag goman guhadocob hona,’ adeigale,” en.
MAT.21.5	(Sekaraia 9.9)
MAT.21.6	Malogom ale limesi Jisas maalen odi odosin. 
MAT.21.7	Ale cesel anag uqana gomanca ahocobil malogom agena lotoc cesel gogodohna duecebil cesel uqa Jisas guhadocob belein. 
MAT.21.8	Dana cajaca mati age aquni belein eu agena lotoc jicna duein. Leih age celus qetimeig jicna duein. 
MAT.21.9	Dana cajaca age aqunitutu hib toodudu age due sisili madein:
MAT.21.9	“Hosana!
MAT.21.9	Tibud ijanna egeca hona eu uqa eeldoc biliale.
MAT.21.9	(Buk Song 118.26)
MAT.21.9	Anut Ohis Bahic uqa binan wasi nuiale,” ein.
MAT.21.10	Jisas uqa Jerusalem leceb dana cajaca age Jerusalem bilein eu age tumatumai madein, “Dana i uqa in?” ein. 
MAT.21.11	Odocobil dana cajaca toodu coboin eu age madein, “Uqa Jisas, uqa je hahun madec dana Nasaret jobondec, Galili hatuna,” ein.
MAT.21.12	Jisas uqa tempel dunuh limei uqa ono dana ceteh fajeinca ceteh suldoinca eundec feciadimei cunug ititacadeceb maha gemo calein. Odimei dana age meen qaig maha filfilca meen qaig tempelca wadacwuducdoin eundec agena cabal sunduadeceb agena meen qaig golodon.
MAT.21.13	maaden, “Anutna je jaqecna je oso nijia eu Anut odi madena:
MAT.21.13	‘Ijana jo eu Anut inondocnu jo oqagan,’ ena.
MAT.21.13	(Aisaia 56.7)
