GEN.1.1	Y'n dalleth Duw a formyas an nev ha'n nor. 
1SA.14.20	Ena Sowl hag oll an bobel esa ganso a omguntellas hag i a dheuth dhe'n vatel; ha kledha pub gour o erbynn y gila, mayth esa deray pur vras. 
1SA.14.21	Lemmyn an Ebrowyon esa gans an Filistysi kyns an termyn na, an re neb eth yn-bann gansa a-ji dhe'n kamp, a dreylyas ha junya an Ysraelysi esa gans Sowl ha Yonathan. 
1SA.14.22	Ynwedh oll an Ysraelysi omgudhys yn menydh Efraym, pan glewsons bos an Filistysi ow fia, i ynwedh a junyas dhe'n vatel, ow helghya war aga lergh. 
1SA.14.23	Yndella an 
1SA.14.24	An Ysraelitys o grevys an jydh na, drefenn Samuel dhe worra ti war an bobel ow leverel, ‘Mollethek re bo an gour neb a dheber boes kyns gorthugher dhe dhos, kyns my dhe dyli dial war ow eskerens.’ Ytho ny dastyas denvyth a'n bobel boes vyth. 
1SA.14.25	I oll a dheuth dhe goeswik; hag yth esa mel war an dor. 
1SA.14.26	Ha pan dheuth an bobel a-bervedh y'n goeswik, yth esa an mel ow tevera yn-nans; mes ny worras denvyth y dhorn dh'y anow, rag an bobel a borthas own a'n ti. 
1SA.14.27	Mes ny glewas Yonathan y das pan jarjyas ev an bobel gans an ti; hag ev a ystynnas an lorgh esa yn y dhorn, ha troghya an bleyn yn kribenn vel, ha gorra y leuv dh'y anow; ha'y lagas a veu splannhes. 
1SA.14.28	Ena onan a'n bobel a leveris, ‘Dha das a jarjyas an bobel yn stroeth gans ti, ow leverel, “Mollethek re bo an gour neb a dheber boes y'n jydh ma.” Hag yndella an bobel yw skwith.’ 
1SA.14.29	Ena yn-medh Yonathan, ‘Ow thas re wrug anken rag an tir; otta, assa veu ow lagas splannhes, drefenn my dhe dastya nebes a'n mel. 
1SA.14.30	Pygemmys gwell, mar teppra an bobel hedhyw heb lett a'n preydh kemmerys a-dhiworth aga eskerens; drefenn lemmyn nag o an ladhva yn mysk an Filistysi meur.’
1SA.14.31	I a weskis an Filistysi an jydh na a-dhiworth Mikmash dhe Ayyalon, ha'n bobel o pur skwith; 
1SA.14.32	ha'n bobel a stevyas yn-nans ow skrija war an preydh, ha kemmeres deves hag oghen ha leughi, ha'ga ladha war an dor; ha'n bobel a's dybris gans an goes. 
1SA.14.33	Ena yth o derivys dhe Sowl, ‘Ottomma an bobel ow pegha erbynn an 
1SA.14.34	Ha Sowl a leveris, ‘Diberthewgh a-les yn mysk an bobel, ha leverewgh dhedha, “Drewgh omma dhymm pub gour y ojyon, po y dhavas, ha ledhewgh i y'n tyller ma, ha dybrewgh; ha ny wrewgh pegha erbynn an 
1SA.14.35	Ha Sowl a dhrehevis alter dhe'n 
1SA.14.36	Ena Sowl a leveris, ‘Deun yn-nans war-lergh an Filistysi y'n nos ha'ga fylla bys golow an myttin, ha na esewgh gour vyth anedha.’ Yn-medhons, ‘Gwra pypynag a hevel da dhis.’ Mes yn-medh an oferyas, ‘Deun nes dhe Dhuw omma.’ 
1SA.14.37	Ytho Sowl a wovynnas kusul a-dhiworth Duw, ‘A wrav vy mos yn-nans war-lergh an Filistysi? A vynn'ta aga delivra yn dorn Ysrael?’ Mes ny'n gorthybis an jydh na. 
1SA.14.38	Ha Sowl a leveris ‘Dewgh omma, oll ledyoryon an bobel; ha konvedhyn ha miryn fatell dhrehevis an pegh ma hedhyw. 
1SA.14.39	Rag dell vyw an 
1SA.14.40	Ena ev a leveris dhe oll Ysrael, ‘Hwi a vydh war an eyl tu, ha my ha Yonathan a vydh war an tu arall.’ Ha'n bobel a leveris dhe Sowl, ‘Gwra an pyth a hevel da dhis.’ 
1SA.14.41	Ena Sowl a leveris, ‘A 
1SA.14.42	Ha Sowl a leveris, ‘Tewlewgh an prennyer yntra my ha Yonathan ow mab.’ Ha Yonathan a veu kemmerys.
1SA.14.43	Ena Sowl a leveris dhe Yonathan, ‘Lavar dhymm pandr'a wruss'ta?’ Ha Yonathan a dherivas, ha leverel, ‘My a dastyas nebes a'n mel gans bleyn an lorgh esa y'm leuv; hag, ottavy, res yw dhymm merwel.’ 
1SA.14.44	Ha Sowl a worthybis, ‘Re wrello Duw yndella dhymm ha moy ynwedh; ty a verow yn sur, Yonathan.’ 
1SA.14.45	Ena an bobel a leveris dhe Sowl, ‘A verow Yonathan, neb re wrug an delivrans meur ma yn Ysrael? Bynner re bo! Dell vyw an 
1SA.14.46	Ena Sowl eth yn-bann dhiworth helghya an Filistysi; ha'n Filistysi eth dh'aga le aga honan.
1SA.14.47	Ytho Sowl a gemmeras an myghternses war Ysrael, ha batalyas orth oll y eskerens a bub-tu, erbynn Moab, hag erbynn mebyon Ammon, hag erbynn Edom, hag erbynn myghternedh Soba, hag erbynn an Filistysi; ha plepynag y treylya, ev a dryghis.
1SA.14.48	Hag ev a wrug yn kolonnek, ha gweskel an Amalekysi, ha delivra Ysrael mes a leuv an re a's pylla.
1SA.14.49	Lemmyn mebyon Sowl o Yonathan, hag Yshvi, ha Malkishua; ha hanow y dhiw vyrgh o an re ma; hanow an kottha o Merab, ha hanow an yowynka, Mikal. 
1SA.14.50	Hanow gwreg Sowl o Ahinoam myrgh Ahimaas. Ha hanow kaslewydh y lu o Abner, mab Ner, ewnter Sowl. 
1SA.14.51	Kish o tas Sowl; ha Ner tas Abner o mab Abiel.
1SA.14.52	Yth esa bresel grev erbynn an Filistysi oll dydhyow Sowl; ha pan weli Sowl neb gour krev, po kasor kolonnek, ev a'n guntellas dhodho y honan.
1SA.15.1	Samuel a leveris dhe Sowl, ‘An 
1SA.15.2	Yndellma y lever 
1SA.15.3	Lemmyn, ke ha gwask Amalek, ha distru glan pup-tra a's teves, ha na wra aga sparya; mes ladh gour ha benyn, flogh ha fleghik, ojyon ha davas, kowrvargh hag asen.” ’
1SA.15.4	Ytho Sowl a guntellas an bobel war-barth, ha'ga nivera yn Telaim, dew kans mil droesek, ha deg mil wour a Yuda. 
1SA.15.5	Sowl a dheuth dhe sita Amalek, ha kontrewaytya y'n nans. 
1SA.15.6	Yn-medh Sowl dhe'n Kenysi, ‘Kewgh! Gesewgh! Omdennewgh yn-mes a'n Amalekysi, po my a'gas distru gansa; rag hwi a wrug tregeredh dhe oll mebyon Ysrael, pan dheuthons yn-bann mes a Ejyp.’ Yndella an Kenysi a omdennas dhiworth an Amalekysi. 
1SA.15.7	Sowl a weskis an Amalekysi, a-dhiworth Havila bys Shur, usi a-dal Ejyp. 
1SA.15.8	Hag ev a gemmeras Agag myghtern an Amalekysi yn fyw, ha distrui glan oll an bobel dre vin an kledha. 
1SA.15.9	Mes Sowl ha'n bobel a sparyas Agag, ha'n gwella a'n deves hag a'n oghen hag a'n enyvales peskys, ha'n eyn, ha pup-tra a veu da, ha ny vynnens aga distrui glan; mes pup-tra dispresys ha koeg i a dhistruis glan.
1SA.15.10	Ena y teuth ger an 
1SA.15.11	‘Edrek a'm beus my dhe settya yn-bann Sowl dhe vos myghtern, rag ev re dreylyas dhe-ves dhiworthiv, ha ny gollenwis ow gorhemmynnow.’ Samuel o serrys; hag ev a grias war an 
1SA.15.12	Samuel a sevis myttin a-varr dhe vetya Sowl, hag y feu derivys dhe Samuel, ‘Sowl eth dhe Karmel, le may trehevis men-kov ragdho y honan, hag ev a dreylyas a-dro alena ha tremena yn-nans dhe Gilgal.’ 
1SA.15.13	Pan dheuth Samuel dhe Sowl, Sowl a leveris dhodho, ‘Bennigys re bi gans an 
1SA.15.14	Mes Samuel a worthybis, ‘Pandr'a styr an son ma a dheves y'm diwskovarn, ha son an gwarthek esov vy ow klewes?’ 
1SA.15.15	Ha Sowl a leveris, ‘I re's dros dhiworth an Amalekysi; rag an bobel a sparyas an gwella a'n deves ha'n gwarthek, dhe sakrifia dhe'n 
1SA.15.16	Ena Samuel a leveris dhe Sowl, ‘Taw! My a dheriv orthis an pyth a leveris an 
1SA.15.17	Yn-medh Samuel, ‘Kynth es distyr y'th lagas dha honan, a ny veus gwrys penn loethow Ysrael? An 
1SA.15.18	Ha'n 
1SA.15.19	Ytho prag nag obaysys lev an 
1SA.15.20	Sowl a leveris dhe Samuel, ‘My re obayas lev an 
1SA.15.21	Mes dhiworth an preydh an bobel a gemmeras deves ha gwarthek, an gwella a'n taklow sakrys rag distruyans, dh'aga sakrifia dhe'n 
1SA.15.22	Hag yn-medh Samuel,
1SA.15.22	‘A gyv an 
1SA.15.22	ages yn obayans lev an 
1SA.15.22	Yn sur, obaya yw gwell ages sakrifia,
1SA.15.22	ha goslowes ages blonek hordhes.
1SA.15.23	Rag rebellyans yw avel pegh dewinieth,
1SA.15.23	ha gorthter yw kepar ha kammweyth ha gordhyans idolys.
1SA.15.23	Drefenn ty dhe skonya ger an 
1SA.15.23	ev ynwedh re'th skonyas a vones myghtern.’
1SA.15.24	Ha Sowl a leveris dhe Samuel, ‘My re beghas; my a gammdremenas erbynn gorhemmynn an 
1SA.15.25	Ha lemmyn, my a'th pys, gav ow fegh, ha dehwel genev, may hallav gordhya an 
1SA.15.26	Samuel a leveris dhe Sowl, ‘Ny vynnav dehweles genes; drefenn ty dhe skonya ger an 
1SA.15.27	Ha pan dreylyas Samuel dhe vones dhe-ves, Sowl a settyas dalghenn yn lostenn y vantell, ha'y skwardya. 
1SA.15.28	Ha Samuel a leveris dhodho, ‘An 
1SA.15.29	Hag ynwedh, ny wra Splannder Ysrael naneyl toella na treylya y vrys.’ 
1SA.15.30	Ena Sowl a leveris, ‘My re beghas; hwath enor dhymm lemmyn a-dherag henavogyon ow fobel hag a-dherag Ysrael, ha dehwel genev, may hallav gordhya dha Dhuw.’ 
1SA.15.31	Yndella Samuel a dreylyas arta war-lergh Sowl; ha Sowl a wordhyas an 
1SA.15.32	Ena Samuel a leveris, ‘Dro Agag myghtern Amalek omma dhymm.’ Hag y teuth Agag dhodho yn kargharow.
1SA.15.33	Mes Samuel a leveris,
1SA.15.33	‘Kepar dell wrug dha gledha benynes dhe vos anvap,
1SA.15.33	yndella y fydh dha vamm anvap yn mysk benynes.’
1SA.15.33	Ha Samuel a hakkyas Agag dhe demmyn a-dherag an 
1SA.15.34	Ena Samuel eth dhe Rama; ha Sowl eth yn-bann dh'y ji yn Gibea a Sowl. 
1SA.15.35	Ny dheuth Samuel namoy dhe weles Sowl bys yn dydh y vernans, mes grevya a wrug Samuel drefenn Sowl. Ha'n 
1SA.16.1	Ha'n 
1SA.16.2	Ha Samuel a leveris, ‘Fatell allav mos? Mar klewva Sowl anodho, ev a'm ladhsa.’ Ha'n 
1SA.16.3	Ha galw Yesse dhe'n sakrifis, ha my a dhiskwa dhis an pyth dhe wul; ha ty a wra untya ragov ev neb a dhiskwedhav dhis.’ 
1SA.16.4	Ha Samuel a wrug an pyth a erghis an 
1SA.16.5	Hag yn-medh ev, ‘Yn kres; my re dheuth dhe sakrifia dhe'n 
1SA.16.6	Pan dheuthons, ev a vires war Eliab, ha tybi, ‘Yn sur yma untys an 
1SA.16.7	Mes yn-medh an 
1SA.16.8	Ena Yesse a elwis Abinadab dhodho, ha gul dhodho tremena a-dherag Samuel. Hag yn-medh ev, ‘Ny dhewisas an 
1SA.16.9	Ena Yesse a wrug Shamma dhe dremena. Hag yn-medh ev, ‘Ny dhewisas an 
1SA.16.10	Yesse a wrug seyth a'y vebyon dhe dremena a-dherag Samuel, ha Samuel a leveris dhe Yesse, ‘Ny dhewisas an 
1SA.16.11	Samuel a leveris dhe Yesse, ‘Usi oll dha vebyon omma?’ Hag ev a worthybis, ‘Yma gesys saw an yowynka, mes yma ev ow kwitha an deves.’ Ha Samuel a leveris dhe Yesse, ‘Dannvon ha'y gyrghes; rag ny esedhyn erna dheffo omma.’ 
1SA.16.12	Ev a dhannvonas ha'y dhri a-ji. Lemmyn ev o rudhik, gans dewlagas teg, ha semlans da. An 
1SA.16.13	Ena Samuel a gemmeras korn an oyl, ha'y untya yn mysk y vreder; ha spyrys an 
1SA.16.14	Mes spyrys an 
1SA.16.15	Ha gwesyon Sowl a leveris dhodho, ‘Otta lemmyn, yma tebel spyrys a-dhiworth Duw orth dha tormentya. 
1SA.16.16	Gas agan 
1SA.16.17	Ha Sowl a leveris dh'y wesyon, ‘Proviewgh dhymm lemmyn gour neb a woer seni yn ta, ha drewgh e dhymm.’ 
1SA.16.18	Ena onan a'n wesyon a worthybis, ‘My re welas mab a Yesse an Bethlehemyas neb a woer seni, ha gour kolonnek, kasor, fur yn kows, ha gour a semlans da; hag yma an 
1SA.16.19	Ytho Sowl a dhannvonas kannasow dhe Yesse, ha leverel, ‘Dannvon dhymm dha vab Davydh, usi gans an deves.’ 
1SA.16.20	Ha Yesse a gemmeras asen beghys gans bara, ha kroghen a win, ha mynn, ha'ga dannvon der y vab Davydh dhe Sowl. 
1SA.16.21	Ha Davydh a dheuth dhe Sowl, ha sevel a-dheragdho. Sowl a'n kara yn feur, hag ev a dheuth ha bos deger y arvow. 
1SA.16.22	Ha Sowl a dhannvonas dhe Yesse ow leverel, ‘Gas Davydh dhe wortos y'm servis, rag ev re gavas favour y'm golok.’ 
1SA.16.23	Ha peskweyth may to an tebel spyrys a-dhiworth Duw war Sowl, Davydh a gemmeri an sowtri ha'y seni gans y dhorn, hag yndellma Sowl a gevi difres, hag o gwell, ha'n tebel spyrys a dhiberthi anodho.
1SA.17.1	Lemmyn an Filistysi a guntellas aga luyow war-barth dhe vatalyas; i a veu omguntellys war-barth yn Soko, a bew Yuda, hag i a gampyas yntra Soko hag Azeka, yn Efes-dammim. 
1SA.17.2	Sowl ha gwer Ysrael a omguntellas, ha kampya ryb nans Ela, hag araya aga honan rag kas erbynn an Filistysi. 
1SA.17.3	An Filistysi a sevis war venydh a'n eyl tu, hag Ysrael a sevis war venydh a'n tu arall, hag yth esa nans yntredha. 
1SA.17.4	Hag y teuth yn-mes a gamp an Filistysi kampyer, ha'y hanow Goliath a Gath, neb o hwegh kevelin ha dornva yn ughelder. 
1SA.17.5	Yth esa basnett a vrons war y benn, ha ev o ervys gans kaspows; ha poes an bows o pymp mil shekel a vrons. 
1SA.17.6	Yth esa dhodho arvow a vrons war y dhiwarr ha guw a vrons ynter y dhiwskoedh. 
1SA.17.7	Sheft y wuw o kepar ha keber gwiader, ha poes penn y wuw o hwegh kans shekel a horn; ha'y skoeswas eth a-dheragdho. 
1SA.17.8	Ev a sevis ha garma dhe luyow Ysrael, ha leverel dhedha, ‘Prag y teuvewgh yn-mes dhe araya agas honan rag kas? A nyns ov vy Filistyas, hag a nyns owgh hwi gwesyon Sowl? Dewisewgh gour ragowgh agas honan, ha gesewgh ev dhe dhos yn-nans dhymm. 
1SA.17.9	Mar kyll ev omladha genes, ha'm ladha, ena ni a vydh agas kethwesyon; mes mar kwarthevyav er y bynn ha'y ladha, ena hwi a vydh agan kethwesyon ha hwi a'gan serv.’ 
1SA.17.10	Hag yn-medh an Filistyas, ‘Hedhyw y tefiav luyow Ysrael; rewgh dhymm gour, may hyllyn omladha war-barth.’ 
1SA.17.11	Pan leveris Sowl hag oll Ysrael geryow an Filistyas ma, sowdhenys ha dyegrys ens.
1SA.17.12	Lemmyn Davydh o mab an Efrathyas a Bethlehem yn Yuda, ha'y hanow Yesse, hag yth esa dhodho eth mab. Yn dydhyow Sowl an gour o seulabrys koth, gyllys y'n blydhynyow. 
1SA.17.13	An tri hottha mebyon a Yesse eth ha holya Sowl dhe'n vatel; henwyn y dri mab neb eth dhe'n vatel o Eliab an kynsa-genys, ha'n nessa dhodho Abinadab, ha'n tressa Shamma. 
1SA.17.14	Davydh o an yowynka; ha'n tri hottha a holyas Sowl, 
1SA.17.15	mes Davydh a wre mos ha dehweles a Sowl dhe vaga deves y das yn Bethlehem. 
1SA.17.16	Rag dew-ugens dydh an Filistyas a dho yn-rag ha sevel a-dheragdha myttin ha gorthugher.
1SA.17.17	Lemmyn Yesse a leveris dh'y vab Davydh, ‘Kemmer rag dha vreder efa a'n ys rostys ma, ha'n deg torth-vara ma, ha poen dhe'n gamp dhe'th vreder; 
1SA.17.18	ha kemmer an deg rann ma a geus dhe bennhembrenkyas aga mil. Ha gwel fatell yw gans dha vreder, ha dri neb tokyn anedha.’
1SA.17.19	Lemmyn yth esa Sowl, hag i, hag oll gwer Ysrael, yn nans Ela, ow patalyas orth an Filistysi. 
1SA.17.20	Davydh a sevis myttin a-varr, ha gasa an deves gans gwithyas, ha kemmeres an sosten, ha mos kepar dell wrussa Yesse erghi dhodho. Ev a dheuth dhe'n kamp yn kettermyn dell esa an lu ow mos yn-rag dhe'n vatel, ow karma rag an vatel. 
1SA.17.21	Ysrael ha'n Filistysi a arayas aga honan rag kas, lu a-dal lu. 
1SA.17.22	Davydh a asas y daklow yn dorn gwithyas an fardellow, ha poenya a-ji dhe'n lu ha salusi y vreder. 
1SA.17.23	Pan esa ev ow kewsel gansa, an kampyer, an Filistyas a Gath, Goliath y hanow, a dheuth yn-bann mes a linenn vatel an Filistysi, ha kewsel an keth geryow ha kyns. Ha Davydh a'n glewas.
1SA.17.24	Oll gwer Ysrael, pan welsons an gour, a fias anodho, ha perthi own bras. 
1SA.17.25	Ha gwer Ysrael a leveris, ‘A welsowgh an gour ma neb a dheuth yn-bann? Yn sur ev re dheuth yn-bann dhe dhefia Ysrael. An myghtern a wra rych an gour neb a'n ladh, ha ri dhodho y vyrgh ha gul y deylu rydh a doll yn Ysrael.’ 
1SA.17.26	Davydh a leveris dhe'n wer esa sevys rybdho, ‘Pandr'a vydh gwrys rag an gour neb a ladh an Filistyas ma, ha kemmeres dhe-ves an meth dhiworth Ysrael? Rag piw yw an Filistyas antrodreghys ma may hyll ev defia luyow an Duw byw?’ 
1SA.17.27	An bobel a worthybis dhodho war-lergh an vaner ma, ow leverel, ‘Yndella y fydh gwrys rag an gour neb a'n ladh.’
1SA.17.28	Eliab y gottha broder a'n klewas pan gewsis ev dhe'n wer; ha sorr Eliab a dhewis erbynn Davydh, hag ev a leveris, ‘Prag y teuthys yn-nans omma? Piw ganso y hwruss'ta gasa an deves boghes na y'n gwylvos? My a woer dha valghder ha sherewynsi dha golonn; rag ty re dheuva yn-nans rag may halles gweles an vatel.’ 
1SA.17.29	Hag yn-medh Davydh, ‘Pandr'a wrug vy lemmyn? A nyns eus gwir dhe gewsel?’ 
1SA.17.30	Hag ev a dreylyas dhe-ves anodho war-tu gour arall, ha kewsel war-lergh an keth vaner; ha'n bobel a'n worthybis arta war-lergh an vaner kyns.
1SA.17.31	Pan veu klewys an geryow a gewsis Davydh, i a's dasleveris a-dherag Sowl; hag ev a dhannvonas war y lergh. 
1SA.17.32	Davydh a leveris dhe Sowl, ‘Na wres kolonn denvyth fyllel a'y wovis ev; dha was a wra mos hag omladha gans an Filistyas ma.’ 
1SA.17.33	Ha Sowl a leveris dhe Davydh, ‘Ny yllydh mones erbynn an Filistyas ma dhe omladha ganso; rag ty yw marnas maw, hag ev re beu kasor a-dhia y yowynkneth.’ 
1SA.17.34	Mes Davydh a leveris dhe Sowl, ‘Dha was a witha deves rag y das, ha peskweyth may teu lew po ors, ha kemmeres oen mes a'n flokk, 
1SA.17.35	my eth yn-mes ha'y sywya, ha'y weskel dhe'n leur, ha delivra an oen mes a'y anow; ha mar treylya er ow fynn, my a'n dalghennsa gans y varv, ha'y weskel dhe'n leur, ha'y ladha. 
1SA.17.36	Dha was re ladhas lewyon hag orses; ha'n Filistyas antrodreghys ma a vydh kepar hag onan anedha, a-ban wrug ev defia luyow an Duw byw.’ 
1SA.17.37	Yn-medh Davydh, ‘An 
1SA.17.38	Sowl a gwethas Davydh gans y arvow; ev a worras basnett a vrons war y benn ha'y gwetha gans kaspows. 
1SA.17.39	Davydh a wrogysas y gledha war y arvow, hag yn euver ev a assayas kerdhes, rag nyns o ev usys dhedha. Ha Davydh a leveris dhe Sowl, ‘Ny allav kerdhes gansa; rag nyns ov usys dhedha.’ Ytho Davydh a's removas anodho. 
1SA.17.40	Ena ev a gemmeras y lorgh yn y dhorn, ha dewis ragdho pymp bilienn mes a'n gover, ha'ga gorra yn y sagh bugel deves, y'n skryp, hag yth esa y dowlbrenn yn y dhorn, hag ev a dheuth nes dhe'n Filistyas.
1SA.17.41	An Filistyas a dheuth yn-rag ha dos nes dhe Davydh, gans y skoeswas a-dheragdho. 
1SA.17.42	Ha pan viras a-dro ha gweles Davydh, ev a'n dispresyas, rag ev o marnas maw, rudhik ha teg y semlans. 
1SA.17.43	An Filistyas a leveris dhe Davydh, ‘Ov vy ki, may teudh dhymm gans lorghow?’ Ha'n Filistyas a vollethis Davydh dre y dhuwow. 
1SA.17.44	Hag yn-medh an Filistyas dhe Davydh, ‘Deus dhymm, ha my a re dha gig dhe ydhyn an ayr ha dhe vestes an gwel.’ 
1SA.17.45	Mes Davydh a worthybis dhe'n Filistyas, ‘Ty a dheu er ow fynn gans kledha ha gans guw ha gans skoes; mes my a dheu er dha bynn yn hanow 
1SA.17.46	Y'n jydh hedhyw an 
1SA.17.47	ha may hwodhvo oll an kuntelles na wra an 
1SA.17.48	Pan dheuth an Filistyas nes dhe dhyerbynna Davydh, Davydh a boenyas yn uskis war-tu an linenn vatel dhe dhyerbynna an Filistyas. 
1SA.17.49	Ha Davydh a worras y leuv yn y sagh, ha kemmeres men yn-mes, ha'y worra yn y dowlbrenn ha'y dewlel ha gweskel an Filistyas war y dal; an men a dhewanas y dal, hag ev a goedhas ha'y fas dhe'n leur.
1SA.17.50	Yndellma y hwarthevyas Davydh war an Filistyas dre dowlbrenn ha dre ven, ha gweskel dhe'n leur an Filistyas ha'y ladha; mes nyns esa kledha vyth yn dorn Davydh. 
1SA.17.51	Rakhenna Davydh a boenyas ha sevel war an Filistyas; ev a dhalghennas y gledha, ha'y denna mes a'y woen, ha'y ladha; ena ev a droghas dhe-ves y benn dredho. Pan welas an Filistysi bos aga hampyer marow, i a fias.
1SA.17.52	Ha gwer Ysrael ha Yuda a sevis ha garma ha helghya an Filistysi bys yn Gath ha yetys Ekron may koedhas an Filistysi ledhys war an fordh a-dhiworth Shaaraym bys yn Gath hag Ekron. 
1SA.17.53	An Ysraelysi a dhehwelis dhiworth helghya an Filistysi, hag i a byllas aga hamp. 
1SA.17.54	Davydh a gemmeras penn an Filistyas ha'y dhri dhe Yerusalem; mes ev a worras y arvow yn y dylda.
1SA.17.55	Ha pan welas Sowl bos Davydh ow mos yn-rag erbynn an Filistyas, ev a leveris dhe Abner, kaslewydh an lu, ‘Abner, piw yw an gour yowynk ma mab dhodho?’ Hag yn-medh Abner, ‘Dell vyw dha enev, A vyghtern, ny wonn.’ 
1SA.17.56	Ha'n myghtern a leveris, ‘Govynn piw yw an yonker mab dhodho.’ 
1SA.17.57	Pan dhehwelis Davydh dhiworth ladhva an Filistysi, Abner a'n kemmeras ha'y dri a-dherag Sowl, gans penn an Filistyas yn y leuv. 
1SA.17.58	Yn-medh Sowl dhodho, ‘Piw osta mab dhodho, ty wour yowynk?’ Ha Davydh a worthybis, ‘My yw mab dha was Yesse an Bethlehemyas.’
1SA.18.1	Pan worfennsa Davydh kewsel dhe Sowl, enev Yonathan a veu kelmys orth enev Davydh, ha Yonathan a'n kara avel y enev y honan. 
1SA.18.2	Sowl a'n kemmeras an jydh na ha ny'n gasa dhe dhehweles namoy dhe ji y das. 
1SA.18.3	Ena Yonathan a wrug ambos gans Davydh, drefenn ev dh'y gara avel y enev y honan. 
1SA.18.4	Ha Yonathan a removas an goen esa warnodho, ha'y ri dhe Davydh, ha'y arvow, ha'y gledha hag ynwedh y warak ha'y wrogys. 
1SA.18.5	Davydh eth yn-mes hag yn pub le ma'n dannvonas Sowl, ev a sewenis; rakhemma, Sowl a'n settyas war an lu. Ha hemm o da yn golok an bobel oll, hag ynwedh yn golok gwesyon Sowl.
1SA.18.6	Pan esens ow tos tre, y'n termyn may tehwelis Davydh dhiworth ladhva an Filistyas, an benynes eth yn-mes a oll sitys Ysrael, ow kana hag ow tonsya, dhe dhyerbynna myghtern Sowl, gans tabourigow, gans kanow a lowena, ha gans daffar menestrouthi. 
1SA.18.7	Ha'n benynes a ganas an eyl dh'y ben hag i ow lowenhe,
1SA.18.7	‘Sowl re ladhas y vilyow,
1SA.18.7	ha Davydh y dhegow a vilyow.’
1SA.18.8	Sowl o pur serrys, rag an lavar ma a'n displesyas. Ev a leveris, ‘I re askrifas dhe Davydh degow a vilyow, ha dhymmo vy i re askrifas milyow; pandr'a yll ev kavoes moy saw an vyghterneth?’ 
1SA.18.9	Ha Sowl a viri orth Davydh gans gogrys a-dhia'n jydh na hag yn-rag.
1SA.18.10	An nessa dydh tebel spyrys dhiworth Duw a fyskas war Sowl, hag ev a vuskegis a-ji dh'y ji, ha Davydh ow telynnya kepar dell wre orth prysyow erell. Hag yth esa guw yn dorn Sowl; 
1SA.18.11	ha Sowl a dewlis an guw, ow prederi, ‘My a genter Davydh orth an paros gensi.’ Mes Davydh a skapyas diwweyth.
1SA.18.12	Sowl a borthas own a Davydh, drefenn bos an 
1SA.18.13	Rakhenna Sowl a'n removas a'y lok, ha'y wul pennhembrenkyas war vil; hag yth esa ev ow mos yn-mes ha dehweles a-dherag an bobel. 
1SA.18.14	Yth esa sewena dhe Davydh yn oll y oberow; rag yth esa an 
1SA.18.15	Pan welas Sowl bos dhodho sewena veur, ev a borthas own anodho. 
1SA.18.16	Mes oll Ysrael ha Yuda a gara Davydh, drefenn ev dhe vos yn-mes ha dos a-ji a-ragdha.
1SA.18.17	Ena Sowl a leveris dhe Davydh, ‘Otta ow hottha myrgh Merab, my a vynn hy ri dhis avel gwreg; mes bydh kolonnek ragov, ha batal batelyow an 
1SA.18.18	Yn-medh Davydh dhe Sowl, ‘Piw ov vy, ha pyth yw ow theylu,
1SA.18.19	Mes pan dheuth an termyn dhe ri Merab myrgh Sowl dhe Davydh, hi a veu res dhe Adriel an Meholathyas avel gwreg.
1SA.18.20	Mes myrgh Sowl Mikal a gara Davydh. Ha'n bobel a'n derivas dhe Sowl ha hemm o da yn y dhewlagas. 
1SA.18.21	Ha Sowl a dybis, ‘My a vynn hy ri dhodho rag may hyll hi dos ha bos antell ragdho, ha may hyll bos leuv an Filistysi warnodho.’ Rakhenna Sowl a leveris dhe Davydh unnweyth arta, ‘Ty a vydh ow deuv an jydh ma.’ 
1SA.18.22	Ha Sowl a erghis dh'y wesyon, ha leverel, ‘Kewsewgh gans Davydh yn privedh ha leverel, “Otta, an myghtern a'n jeves delit ynnos, hag oll y wesyon a'th kar; lemmyn rakhenna, bydh deuv an myghtern.” ’ 
1SA.18.23	Ytho gwesyon Sowl a dherivas an geryow dhe Davydh yn privedh. Ha Davydh a leveris, ‘A hevel dhywgh tra vyghan dhe vos deuv an myghtern, a-ban ov gour boghosek ha heb ger-da?’ 
1SA.18.24	Ha gwesyon Sowl a dherivas dhodho, ‘Hemm yw an pyth a leveris Davydh.’ 
1SA.18.25	Ena Sowl a leveris, ‘Yndella y leverewgh dhe Davydh, “Ny vynn an myghtern ro demmedhyans vyth marnas kans kudhgenn a'n Filistysi, dhe dyli dial war eskerens an myghtern.” ’ Mes towl Sowl o gul Davydh dhe goedha dre leuv an Filistysi. 
1SA.18.26	Ha pan dherivas y wesyon an geryow ma dhe Davydh, fest da o gans Davydh bos deuv an myghtern. Kyns an termyn dhe dremena, 
1SA.18.27	Davydh a sevis ha mos, gans y wer, ha ladha kans Filistyas; ha Davydh a dhros aga hudhgenn, hag ev a's ros yn niver leun dhe'n myghtern, may hylli dos ha bos deuv an myghtern. Ha Sowl a ros dhodho Mikal y vyrgh avel gwreg. 
1SA.18.28	Mes pan welas Sowl ha konvedhes bos an 
1SA.18.29	Sowl a borthas own meurra a Davydh. Yndella Sowl a dheuth ha bos eskar Davydh a-dhia'n jydh na hag yn-rag.
