GEN.1.1	Chongpangpülei Kahvangi vangshothü hatü kahdoknyü ling. 
LEV.10.17	“Mehekei mang moila daülangpü shingei nehahpa? Hapayü longi daülangpü hih; mehenangkü hapayü 
LEV.10.18	Hapalei iy daülangpü shingei yah-ei neshüpai ngei epükei ha yumhayü daülangpü shingei hahhen vaipeih” shei eteke.
LEV.10.19	Aaroni Mosa kü, “Veituh, jomi shinnyih-ang 
LEV.10.20	Shaang Mosai ha danei büpai vaiteke shei deih.
LEV.11.2	“Israel am kü hapakei eyeishuoh shei e: Kahdok shak kü nyupü yem khongkü ammi hahhen yem hathü nyüke. 
LEV.11.3	Mehe yem vaihenshang dhaok phaakpü hatü hetlei shaipü yem peü hahhen aok. 
LEV.11.4	Shejao dhaok phaaktü hetlei shailangmao hathü yem ammi nehahhen: Uti hetlei shailangmao dhaok nephaaki nyüke; hapayü am shingvaishi nedaüpü yem. 
LEV.11.5	Yüphüh-i hetlei shailangmao dhaok nephaaki nyüke; hapayü am shingvaishi nedaüpü yem. 
LEV.11.6	Yüphüh shola-i hetlei shailangmao dhaok nephaaki nyüke; hapayü am shingvaishi nedaüpü yem. 
LEV.11.7	Ook kü dhaok phaakshi nyulangmao hetlei neshainyu; hapayü am shingvaishi nedaüpü yem. 
LEV.11.8	Ammi hathü kü mahng kao nehonghen; hathüyü am shingvaishi nedaüpü nyüke.”
LEV.11.9	Yungchingei vaituh, shohalei vaituh, yung mongei nyupü yem mepa kü kaok hatü ka nyu, ha ammi hahhen aok. 
LEV.11.10	Shejao yungching nevaijü shohalei nyupü yem peü khongkü kamei daipü yem vaijao hatü yung mongei nyupü yem vaijao kaok hatü ka neshiüpü peü am shingvaishi jiühitnalaipü yemthü nyüke. 
LEV.11.11	Am shingvaishi hathüyü nedaüpü vaipü nangkü ammi hathü nehahhen, hatü hathü mahng kao nehonghen. 
LEV.11.12	Kaok hatü ka neshiüpü yungmong yem kemei am shingvaishi jiühitbenüng nyüke.
LEV.11.13	Ouhiyüh khongkü ammi hathü nehahhen; mehenangkü hathüyü am shingvaishi jiühitbenüng nyüke: alanglangha, yung alang, 
LEV.11.14	langnyak, langshopong, 
LEV.11.15	asha lem laolao, 
LEV.11.16	ostrikh ou, nyak ou, yungnyü alang, ookpaüm alang, 
LEV.11.17	lai-ou, ashühlaongkaong, shüptelü, bhihnyui ashühlaongkaong, 
LEV.11.18	nyahhah alang, langda, 
LEV.11.19	angüp, petaak, yungou lalu, abak.
LEV.11.20	Yang kohpü yemhamakha la ali kohtü kampü peü am shingvaishi jiühitbenüng nyüke. 
LEV.11.21	Shejao yang kohtü la ali-i kampü yemhamakha hanei ammi hahhen aok: hathüyü phaukhen shingvaishi laongkaong kohpüthü nyüke. 
LEV.11.22	Hathü yemhamakha khongkü ammi shoukhanbaong, lunglang, shoukshah hatü henüngli lem laolao nevaijü kanibaong hatü henüngli lem peü hahhen aok. 
LEV.11.23	Shejao yang kohtü la ali nyupü lebü yemhamakhathü peü am shingvaishi jiühitbenüng nyüke.
LEV.11.24	Üami hathü yemha mahng kü honghenshang, ha ya om dhüshi nedaüpü leihen. 
LEV.11.25	Üami hathü yemha mahng hük dangkao homei yahhenshang, büpai laophülei ashakviha dhotükhen vongbong, hatü büpa ha ya om dhüshi nedaüpü leihen. 
LEV.11.26	Yemha dhaok phaakjao meishi nephaakpü nevaijü hetlei neshaipü kemei am shingvaishi nedaüpü nyüke; üami hathü yemha mahng hük kü dangkao honghenshang nedaüpü leihen. 
LEV.11.27	Lakhila ali kohtü lakdheni shükei kampü yemhathü peü am shingvaishi nedaüpü nyüke; hathü yemha mahng hük kü dangkao hongjema om dhüshi nedaüpü leihen. 
LEV.11.28	Hanei-i hapalei mahng homjema büpalei ashakviha dhotükhen, hatü büpayü om dhüshi nedaüpü leihen. Hathüyü am shingvaishi nedaüpü nyüke.
LEV.11.29	Kahdokei lüteipü yemha khongkü hathü am shingvaishi nedaüpü nyüke: yungmoi, yüphüh, moihang, 
LEV.11.30	shem khangha, yiüthi khangha, bhihdü khangha, hatü ouhah khangha. 
LEV.11.31	Kahdokei lüteipü hathü kemei am shingvaishi nedaüpü nyüke. Üami hapa mahng kü honghenshang, om dhüshi nedaüpü leihen. 
LEV.11.32	Mechem hathü khongkü hük dangkao diyei vüei shaei noteipü douhinang, püi lingpü dou, ashakviha, phaishuwi lingpü dou nevaijü dhoila vaijao lemhük kü dangkao shükjema, nedaüpü leihen. Hapa yung kü hingeishuoh; hapa om dhüshi nedaüpü leihen, hapheikü mon daüdaihen. 
LEV.11.33	Hathü khongkü hük dangkao haümdük mongei vüjema, ha mongeipü lemphü nedaüpü nyüke, hatü hapa haümdük bhaotükhen. 
LEV.11.34	Hahhen hahying kü hapa keipü dük kübü yung shihjema, hatü hapa keipü dük kübü yingbenüng kemei nedaüpü vaihen. 
LEV.11.35	Hathü yemha mahng hük dangkao vüei aandük hatü nükdük haodük kü shükjema, ha dük bhaotükhen. Hapayü nedaüpü nyüke, hatü hapayü am shingvaishi nedaüpü nyukahen. 
LEV.11.36	Yungdük nevaijü yungdam daülangi nyupü kü hathü mahng hüki dangkao hongjema nedaüpü leihen. 
LEV.11.37	Sheihen sheilivungla kü hathü yemha mahng hük dangkao vüei shükjema, hayü daülangpü vaihen. 
LEV.11.38	Shejao hapa sheili yung kü vaümei nyushi hathü yemha mahng ha shangkü vüjema, hayü am shingvaishi nedaüpü vaihen.
LEV.11.39	Am kü hahhen epü yemha khongkü hük dangkao dijema, hatü hapa mahng kü hanei-i hongjema, om dhüshi nedaüpü leihen. 
LEV.11.40	Hanei-i hapa yemha mahng phaihan hanei dangkao hahjema, büpai laophülei ashakviha dhotükhen, hatü om dhüshi nedaüpü leihen. Üpai hapa yemha mahng homei yahhen, büpai laophülei ashakviha dhotükhen, hatü büpa om dhüshi nedaüpü leihen.
LEV.11.41	Kahdokei lüteipü yemhamakha lemphü nedaüpü nyüke; hapayü nehahhen vongbong. 
LEV.11.42	Vomi lüei daipü yem nevaijü la ali-i kampü yem, nevaijü la longi kohpü yem vaijao kahdokei kamteipü yem mepayao ammi nehahhen; hapayü jiühitbenüng nyüke. 
LEV.11.43	Hathü yemhimak homei am nyingi nedaüi telei. Hathü hahpai am nyingi nedaünelangi telei nevaijü hathü homei am teshaihü. 
LEV.11.44	Ngeiyü 
LEV.11.45	Ngeiyü ammei Kahvang vaihen shingvaishi am Ijip leipü müei leipü 
LEV.11.46	Hathüyü yemhimak, ouhiyüh, yungmongei lüteipü yemha hatü kahdokei lüteipü yemhamakhathü nangkü shuohpü shahkungnyü nyüke. 
LEV.11.47	Ammi nedaüpü hatü daüpü, hahbenüng hatü nehahbenüng yem nyi baong hanhen vongbong nyüke.
LEV.12.2	“Israel am kü ha etuh shei e: Nyüha hük büm nekongi leijema hatü yeshang hük bühjema, pinnyü hangha tenpü hepak kü kei nyih nyet nedaüpü leihen. 
LEV.12.3	Nyih shetpabü hapa yeshang shaw japtükhen, 
LEV.12.4	hatü pinnyü hangha tenpü daühen nyih hapüanpüjem nyuhen; pinnyüi daülangpü dou mepa kao nehonghen nevaijü ashakshemei pinnyü daühen hapa nyih mangpeih thahshi neshühen. 
LEV.12.5	Pinnyüi yiükha hük angjema, pinnyü hangha tenpü hepak kü kei hapta nyi hapa nyüha nedaüpü leihen. Hapheikü pinnyü hangha tenpü kübü daühen nyih pejempüvok nyuhen.”
LEV.12.6	“Yeshang nevaijü yiükha bühtü mechem pinnyü daühen nyih ngoihenshang pinnyüi ngongpa kü ashakshem shadenei jakpü moila shuohhen vangbong hük lompü mi cheha hük, hatü mang moila shuohhen khakhi ouha nevaijü athuba hük yah-ei peihen. 
LEV.12.7	Pinnyü nedaüpü daühen shingvaishi büpai 
LEV.12.8	Pinnyüi mi cheha neshuoh-aokjema, pinnyüi athuba nyi nevaijü khakhi ouha nyi, hükü jakpü moila shuohhen, hükpayü mang moila shuohhen koei peihen. Hapakei ngongpai pinnyü shing moila shuohhen, hatü pinnyü daüdaihen.”
LEV.13.2	“Mechem shennyak hanei poukei nevaijü makaw nevaijü shukshang ampü hangshuw kü vamei thahteibenüng maten kei büpalei büm kü eehenshang, büpa ngongpa Aaron nevaijü cheha ngongpathü touei müei peihen. 
LEV.13.3	Ngongpai büpalei hangshuw kübü ma kü dokei veihen, hatü ma kübü hangmum shoei hatü lebü hangshuw mü masha chüei shüdaitü nyujema, hayü ngomdin. Ngongpai büpa dokei veitü büpa nedaüang shei baonghen. 
LEV.13.4	Büpalei hangshuw kübü makaw shotoh-i shejao lebü hangshuw mü masha chüei neshü, hatü ma kübü hangmum nesho-i nyujema, ngongpai hapa din kohpü shennyak hayaoha khaatei nyih nyet tuhhen. 
LEV.13.5	Nyih nyetpabü kü ngongpai büpa kü dokei veihen hatü hapa ma neyeiya-i hatü hangshuw kü daei nedai-i nyujema ngongpai shao büpa nyih nyet hayaoha khaatei tuhhen. 
LEV.13.6	Nyih nyetpabü kü ngongpai büpa kü shao chem dokei veihen, maju vanei, hatü daei nedaijema, ngongpai büpayü daüteke shei baonghen; mehenangkü hapayü ma kohpü mon nyüke. Hapa shennyaki büpalei ashakviha dhotükhen, hatü büpa daüdaihen. 
LEV.13.7	Shejao daüteke shei baonghen shingvaishi ngongpa kü huphei kü shao büm kü ma daei daijema, büpai ngongpa touei shao peihen vongbong. 
LEV.13.8	Ngongpai büpa kü dokei veihen, hatü büm kü ma daei daijema, büpa nedaüang shei ngongpai baonghen; hapayü ngomdin nyüke.”
LEV.13.9	Mechem shennyak hanei kü ngomdin vamhen, büpa ngongpa touei müei deihen vongbong. 
LEV.13.10	Ngongpai büpa kü dokei veihen, hatü hangshuw poukei shoei ma kübü hangmum shoei phaithüng kei ma bhaoei shü vamjema, 
LEV.13.11	hapayü longi nemeipü maten nyüke, hatü ngongpai büpayü nedaü shei baonghen; hapayü ngomdin nyüke.
LEV.13.12	Büpalei büm lüpei ma vamjema, hatü ngongpai veipülei ma vampü shennyak kü shangnyüshang kübü lajaang laishi ma hoiyei vamjema, 
LEV.13.13	ngongpai büpa kü dokei veihen, hatü büpalei büm lüpei ma vamei nyujema, ngongpai büpayü daülangpü shei baonghen; mehenangkü büpalei ma kemei shotoh-i leidaipü nangkü büpa daülangpü nyüke. 
LEV.13.14	Mechem büpa kü phaithüng kei ma bhaoei vamhenshang, büpayü nedaüpü nyüke. 
LEV.13.15	Mechem ngongpai mathüng eehen, büpayü nedaüpü shei baonghen. Hapa mathingü ngomma nyüke. 
LEV.13.16	Shejao hapa mathüng shoei leidaijema, büpa ngongpa touei peihen; 
LEV.13.17	ngongpai büpa kü dokei veihen, hatü hapa ma shotoh-i leidaijema, ngongpai hapa ma kohpü shennyakü daüteke shei baonghen. Hapheikü büpa daüdaihen.
LEV.13.18	Mechem haneilei büm kü hihüma vamtü meidaipheikü, 
LEV.13.19	hapa makaw kü shotoh-i poukei nevaijü hakpühpüh-i shotohtoh-i kaw vamhenshang, büpa ngongpa touei müei deihen vongbong. 
LEV.13.20	Ngongpai büpa kü dokei veihen, hatü hapa makaw lebü hangshuw mü hayaoha chüei shüdaitü nyujema, hatü haleipü hangmum shotoh-i leidaijema, büpayü nedaüang shei ngongpai baonghen. Hapayü hihüma kübü ngomma chongpangpü nyüke. 
LEV.13.21	Shejao ngongpai dokei veishingkü hapa leipü hangmum nesho, hatü makaw lebü hangshuw mü chüei neshü, maju vanei meidaihen mü nyujema, ngongpai büpa nyih nyet khaatei tuhhen. 
LEV.13.22	Hapa ma hangshuw kü daei daijema, büpa nedaüang shei ngongpai baonghen; mehenangkü hayü ngomma nyüke. 
LEV.13.23	Shejao hapa makaw lakshing daei nedaijema, hapayü hihüma kaw mon nyüke, hatü ngongpai büpayü daülangi nyüke shei baonghen.
LEV.13.24	Mechem haneilei büm kü awma nyuhen, hatü ha awma kaw kü hakpühpüh-i shotohtoh-i nevaijü makaw shotoh-i vamjema, 
LEV.13.25	ngongpai hapa makaw kü dokei veihen, hatü haleipü hangmum shotoh-i leidaijema, hatü lebü hangshuw mü chüei shüdaitü nyujema, hapayü ngomdin awma kaw kübü vampü nyüke. Ngongpai büpayü nedaü shei baonghen; mehenangkü hapayü ngomdin nyüke. 
LEV.13.26	Shejao ngongpai hapa dokei veijü makaw kübü hangmum nesho-i nyujema, hatü lebü hangshuw mü chüei neshiü maju vanei meidaijema, ngongpai büpa nyih nyet khaatei tuhhen. 
LEV.13.27	Nyih nyetpabü kü ngongpai büpa kü dokei veihen, hatü hapa büm kü daei daijema, ngongpai büpa nedaüang shei baonghen; mehenangkü hapayü ngomma nyüke. 
LEV.13.28	Shejao makaw lakshing büm kü daei nedai-i maju vanei meidaijema, hayü awma kübü poukei vampü mon nyüke, hatü ngongpai büpayü daülangi nyüke shei baonghen; hapayü awma kübü kaw mon nyüke.
LEV.13.29	Mechem nyüha nevaijü baha hük kü shangjing kü nevaijü shahvangshong kü ma kohhen, 
LEV.13.30	ngongpai büpa kü dokei veihen, hatü hapayü lebü hangshuw mü chüei shüdaitü, hatü haleipü hangmum vungpuh-i lah manshi nyujema, ngongpai hapa shennyakü nedaüang shei baonghen; hapayü ngühma nyüke, hatü shangjing nevaijü shahvangshong kübü thahteibenüng maten nyüke. 
LEV.13.31	Shejao mechem ngongpai henüng keipü ma dokei veihenshang, lebü hangshuw mü chüei neshü, shejao hatoumü hangmum nyaktüh-i vamei neshiüjema, ngongpai hapa shennyak nyih nyet khaatei tuhhen. 
LEV.13.32	Nyih nyetpabü kü ngongpai hapa ma dokei veihen, hatü hapa ngühma daei nedai, hatü haleipü hangmum vungpuh-i nenyujema, hatü lebü hangshuw mü hayaoha chüei neshüjema, 
LEV.13.33	büpai hapa makaw shinpü mü lenei sho hatü jumum kuptükhen vongbong, hatü ngongpai büpa shao nyih nyet khaatei tuhhen. 
LEV.13.34	Nyih nyetpabü kü ngongpai hapa ngühma dokei veihen, hatü hapa ma daei nedai, hatü lebü hangshuw mü chüei neshü-i nyujema, ngongpai büpayü daülangpü shei baonghen. 
LEV.13.35	Shejao büpa daüteke shei baongpheikü hapa ngühma daei daijema, 
LEV.13.36	ngongpai büpa kü dokei veihen, hatü ngühma büm kü daei daijema, ngongpai sho hatü jumum vungpü veihen napü neshiü; hapa shennyakü nedaüpü nyüke. 
LEV.13.37	Shejao büpai veiaokpülei hapayü lakshing hatü sho nyakla ha kü vamjema, hapa ngühmayü meidaipü vaihen. Büpayü daülangpü nyüke, hatü ngongpai büpa daüteke shei baonghen.
LEV.13.38	Mechem nyüha nevaijü baha hük kü shukshang vamhen, 
LEV.13.39	ngongpai hapa shennyak kü dokei veihen, hatü hapa kaw hakeiüng shopü vaijema, hayü nethahbenüng kaw hei-üng hangshuw kü vampü nyüke, hatü hapa shennyakü daülangpü nyüke.
LEV.13.40	Shennyak hük büpalei sho vüei shangpaangjao büpa daülangpü nyüke. 
LEV.13.41	Shennyak hük büpalei shangshe sho kaongdaitü shangpaangei leidaijao büpa daülangpü nyüke. 
LEV.13.42	Shejao büpalei shangba nevaijü shangnyüshang kü hakpühpüh-i shotohtoh-i ma vamjema, hapayü ngomma büpalei shangjing kü vampü nyüke. 
LEV.13.43	Ngongpai büpa dokei veihen, hatü büpalei shangjing kübü mayü hakpühpüh-i shotohtoh-i ngomma kei nyujema, 
LEV.13.44	hapa shennyak ngomdin kohpü hatü nedaüpü nyüke. Büpalei shangjing kü ma kohpü nangkü ngongpai büpa nedaü shei baonghen. 
LEV.13.45	Hapakei ngomma kohpü shennyakü shaakdaipü ashak ümhen, sho nehaihen, shapmaiphi kü jümtü, “Nedaüpü, nedaüpü!” shei lenhen. 
LEV.13.46	Büpa kü hapa ma nyupü thahshi nedaüpü vaihen, hatü büpa mih kübü khaatei baümtap haolei nyuhen.
LEV.13.47	Mechem ashakviha phümphah ashak nevaijü nyemin ashak, 
LEV.13.48	dakpü nevaijü hiupü nyemin ashak nevaijü phümphah ashak nevaijü phaishuw nevaijü phaishuwi lingpü kü mom aongei, 
LEV.13.49	thüngshingi nevaijü hakpüh-i vamjema, hayü nemeipü dinten vampü hatü hapayü ngongpa kü huhen vongbong. 
LEV.13.50	Ngongpai hapa mom hetpü dou kü dokei veihen, hatü nyih nyet khaatei tuhhen. 
LEV.13.51	Nyih nyetpabü kü büpai hapa dokei veihen, hatü ashak kü, nevaijü dakpü, hiupü ashak kü nevaijü phaishuwi lingpü noteipü dou kü hapa mom daei daijema, hapayü nemeibenüng mom hetpü nyüke. 
LEV.13.52	Büpai hapa ashak nyemin vi-i dakpü nevaijü phümphah-i hiupü vaijao, nevaijü phaishuwi lingpü dou kü hetdaipü vaijao aw kü jaktükhen; mehenangkü hapa mom-ü nemeipü nyüke.
LEV.13.53	Ngongpai hapa dokei veishingkü ashakviha dakpü nevaijü hiupü nevaijü phaishuwi lingpü dou vaijao hapa mom daei nedaijema, 
LEV.13.54	büpai hapa din kohpü ashak dhotükhen ngeükhüam shuohhen. Hapheikü büpai hapa dou nyih nyet khaatei tuhhen. 
LEV.13.55	Din kohpü ashak dhopheikü ngongpai hapa dokei veihen, hatü hapa mom daei nedaijao lakshing nyujema, hayü nedaüpü nyüke. Mom shak lemei vaijao mong lemei vaijao hapayü aw kü jaktükhen. 
LEV.13.56	Hapa dou dhotükpheikü ngongpai dokei veishingkü mom vandaitü nyujema, büpai hapa ashak nevaijü phaishuw nevaijü dakpü nevaijü hiupü dou kübü mom hetpü shing shaakei yaktükhen. 
LEV.13.57	Shejao ashakviha kü, dakpü nevaijü hiupü ashak nevaijü phaishuwi lingpü dou kü mom shao vamjema, mehe keipü mom vaihenshang aw kü jaktükhen. 
LEV.13.58	Ashakviha dakpü nevaijü hiupü nevaijü phaishuwi lingpü dou dhopheikü mom lüdaijema, shao chem dhohen, hatü hapayü daülangpü vaihen.
LEV.13.59	Hathüyü phümphah ashak nevaijü nyemin ashak, dakpü nevaijü hiupü nevaijü phaishuwi lingpü dou kü nedaüang nevaijü daüteke shei baonghen shahkungnyü nyüke.
LEV.14.2	Hathüyü ngomdin kohpü shennyak meidaijü daüpü hepak kü dükhen shahkungnyü nyüke. Büpa daüteke shei baonghen nyih ngongpa touei müei peihen, 
LEV.14.3	hatü ngongpai büpa baümtap haolei müei deiyei büpa kü dokei veihen. Hapa shennyak kübü ngomma meidaitü nyujema, 
LEV.14.4	ngongpai daülangpü ou yem nyi, hatü cedar pü, ashak hakla hatü sapon yah-ei daühen shennyak shingvaishi koei peihen ngeükhüam shuohhen. 
LEV.14.5	Ngongpai ou hük yah-ei daülangpü yunglok yung shihpü haümdük shangkü jühen ngeükhüam shuohhen. 
LEV.14.6	Büpai ou yem, cedar pü, ashak hakla hatü sapon yah-ei jüpü ouhalei iy kü hinghen. 
LEV.14.7	Büpai hapa ngomma kohpü daühen shennyak kü nyetpa haihen, hatü ngongpai hapa ou yem hük shangei piyei deishihhen. 
LEV.14.8	Hapa shennyaki büpalei ashak dhotükhen, sho kuptükhen, hatü hangha lakhen; büpa sheyü daülangpü vaihen. Büpa baümtap mongei shühen, shejao büpalei ashakshem haolei nyih nyet nyuhen. 
LEV.14.9	Nyih nyetpabü kü büpa shao sho, jumum, mükmum, hatü büm kü nyupü mum kemei kuphen; büpai büpalei ashakviha dhotükhen, hatü hangha lakhen, hapheikü büpa daülangpü leidaihen.
LEV.14.10	Nyih shetpabü kü büpai kawhikang neshiüpü vangbong hük lompü mi chebaongha nyi hatü mi chebiha hük, olive mainga nyettü atta dok jem, hatü olive mainga dok hük kü jem antü phaihan hük koei peihen. 
LEV.14.11	Ngongpa üpai büpa daüteke shei baonghen nyüpa, büpai hapa shennyak hatü moilathü ashakshem shadenei 
LEV.14.12	Hatü ngongpai mi chebaongha hük, hatü mainga dok hük kü jem anpü phaihan hük yah-ei büpai 
LEV.14.13	Büpai hapa mi mang moila hatü jakpü moila jüteipü daülangpü shingei jühen. Mang moila keiha pungpü moila shuohhenao ngongpalei hean nyüke; hapayü longi daülangpü nyüke. 
LEV.14.14	Ngongpai hapa pungpü moila leipü iy hanei yah-ei daühen shennyakei lakdahphi dhongshü kü, lakdahphi lakphienyü kü hatü ladahphi laphiennyü kü nyiohen. 
LEV.14.15	Ngongpai olive mainga yah-ei büpalei laknyongphi lakbha kü shihhen, 
LEV.14.16	büpalei lakdahphi lakjaangi ha kü hünghen, hatü 
LEV.14.17	Ngongpai büpalei lakbha kübü mainga hatü pungpü moila shuohpü iy hanei yah-ei daühen shennyakei lakdahphi dhongshü kü, lakdahphi lakphienyü kü, hatü ladahphi laphiennyü kü nyiohen. 
LEV.14.18	Büpalei lakbhalei aopü mainga kemei ngongpai daühen shennyakei shangjing kü nyiohen, hatü büpa shingvaishi 
LEV.14.19	Hapheikü ngongpai hapa shennyak nedaüpü kübü daühen shingvaishi mang moila shuohhen hatü hapakei daühüpü dou dükhen. Hapheikü ngongpai jakpü moila jühen, 
LEV.14.20	hatü moidü shangei hahying moila mü hapa moila shuohhen, hatü büpa daüdaihen.
LEV.14.21	Shejao büpa taopü nangkü hapa neshuoh-aokjema, büpai pungpü moila shuohhen mi chebaongha hük büpa daühen shingvaishi moila shuohhen, hamü chemi hahying moila shuohhen olive mainga mü nyettü atta dok hük hatü olive mainga dok hük kü jem anpü phaihan hük, 
LEV.14.22	hatü athuba nyi nevaijü khakhi ouha nyi büpai aokshampü, hük mang moila shuohhen hatü hükpayü jakpü moila shuohhen koei peihen.
LEV.14.23	Nyih shetpabü kü büpai hathü yah-ei büpa daühen shingvaishi ngongpa touei ashakshem shadenei 
LEV.14.24	Ngongpai pungpü moila shuohhen mi cheha mü mainga yah-ei 
LEV.14.25	Büpai mi cheha yah-ei pungpü moila shuohhen nangkü jühen hatü hapalei iy hanei yah-ei daühen shennyakei lakdahphi dhongshü, büpalei lakdahphi lakphienyü kü hatü ladahphi laphienyü kü nyiohen. 
LEV.14.26	Ngongpai büpalei laknyongphi lakbha kü mainga shihhen, 
LEV.14.27	hatü büpalei lakdahphi lakjaangi büpalei lakbha leipü mainga-i 
LEV.14.28	Büpalei lakbha leipü mainga hanei yah-ei mang moila kübü iy nyiopü shingkü daühen shennyakei lakdahphi dhongshü kü, lakdahphi lakphienyü kü, hatü ladahphi laphienyü kü nyiohen. 
LEV.14.29	Büpalei lakbha leipü aopü mainga kemei ngongpai hapa shennyakei shangjing kü nyiohen, hatü hapakei büpalei men kü 
LEV.14.30	Hapheikü hapa shennyaki shuoh-aokpükei ngongpai athuba nevaijü khakhi ou yah-ei moilahen, 
LEV.14.31	hahying moila mü hükü mang moila, hükpayü jakpü moila shuohhen. Hapa keiha daühen shennyakei men kü ngongpai 
LEV.14.32	Hapayü ngomdin kohpü shennyak shingvaishi hatü daühen shingvaishi nyingnyoi moila neshuoh-aokpü nangkü tempü shahkungnyü nyüke.
LEV.14.34	“Am mükjüp danghen shingvaishi mechem am kü shuohpü Kanan kahdokei shühenshang, hapa kahdokei shem kü mom aongpü eejema, 
LEV.14.35	shem shembüi ngongpa touei peiyei, ‘Ngelei shemei mom aongpükei eepeih’ shei ehen. 
LEV.14.36	Ngongpai hapa mom dokei veinüng shem mongei shüshekü shem meheyao nedaüang shei ne-ehen shingvaishi shem dou kemei shetlanghen ngeükhüam shuohhen. Hapheikü ngongpa shem mongei shüei shem kü dokei veihen. 
LEV.14.37	Büpai bham leipü mom kü dokei veihen, hatü thüngshingi nevaijü hakpüh-i lebü bham mü chüei shüdaitü nyujema, 
LEV.14.38	hapa shem leipü ngongpa vamei daihen, hatü nyih nyet küpei tuhhen. 
LEV.14.39	Nyih nyetpabü kü büpa nyokei leihen hatü shao dokei veihen. Bham kü mom daei daijema, 
LEV.14.40	büpai hapa din kohpü yaong lokei chingnyü haolei nedaüpü shingei yaktükhen ngeükhüam shuohhen. 
LEV.14.41	Büpai mongphi bham kemei bhaoktükhen hatü bhaokpü kemei chingnyü haolei nedaüpü shingei yaktükhen, 
LEV.14.42	hatü lebü yaong ja leiyei jeihen hatü ja vaishi jinei linghen.”
LEV.14.43	Shem kübü yaong bhaokei ja jinei lingphei kü shao mom aongjema, 
LEV.14.44	ngongpai hapa dokei veinüng shühen, hatü shem kü mom daei vamjema, hapayü nemeibenüng mom nyüke; hapa shem nedaüpü nyüke. 
LEV.14.45	Hapa shem bentükhen hatü haleipü yaong, pü hatü ha kü jinpü kemei chingnyü haolei nedaüpü shingei shetei deiyei yaktükhen. 
LEV.14.46	Hapa shem küpei tuhpü hepak kü üpai halei shühenshang, büpa om dhüshi nedaüpü leihen. 
LEV.14.47	Üpai hapa shem mongei hahyinghen nevaijü shihen, büpai laophülei ashakviha kemei dhotükhen vongbong.
LEV.14.48	Shejao ngongpai hapa mom dokei veinüng shüjü hapa jintükpheikü daei nedaijema, büpai hapa shemü daülangpü shei baonghen; mehenangkü mom mahdaiteke. 
LEV.14.49	Hapa shem daühen shingvaishi büpai ou nyi, hatü cedar pü maani, ashak hakla hatü sapon yahhen. 
LEV.14.50	Büpai ou hük yah-ei yunglok yung shihpü haümdük shangkü jühen. 
LEV.14.51	Hapheikü büpai cedar pü, sapon, ashak hakla hatü ou yem yah-ei jüpü ouhalei iy kü, hatü yungthüng kü hingtü shem kü nyetpa haihen. 
LEV.14.52	Büpai ouhalei iy, yungthüng, ou yem, cedar pü, sapon hatü ashak hakla yah-ei shem daühen. 
LEV.14.53	Hapheikü büpa ou yem yah-ei chingnyü haolei deiyei shangei piyei deishihhen. Hapa keiha büpai shem daüei dükhen hatü hapayü daüdaihen.
LEV.14.54	Hathüyü ngomdin, ngühma, 
LEV.14.55	ashakviha nevaijü shem kü mom aongpü, 
LEV.14.56	hatü poukpü, büm kü makaw, shukshang, 
LEV.14.57	nedaüpü hatü daüpü nyinghen shahkungnyü nyüke.
LEV.15.2	“Israel am kü hei eyeishuoh: Mechem baha kü hangyung vamhenshang, hapayü nedaüpü nyüke. 
LEV.15.3	Hapa hangyung nedoh-i yenjao nevaijü dohdaijao hayü büpa shingvaishi nedaüpü nyüke.”
LEV.15.4	Hangyung vampü shennyaki shipü shinshing, büpa uopü uoshing kemei nedaüpü nyüke. 
LEV.15.5	Shennyak hanei büpalei shinshing kü hongjema ashakviha dhotükhen hatü hangha laktükhen vongbong, hatü büpa om dhüshi nedaüpü leihen. 
LEV.15.6	Hangyung daipü shennyaki uotükphei shinghiphei kü üpai uohenshang, büpai ashakviha dhotükhen, hatü hangha laktükhen vongbong; hatü büpa om dhüshi nedaüpü leihen.
LEV.15.7	Üpai hangyung daipü shennyak kü honghenshang, büpai ashakviha dhotükhen hatü hangha laktükhen vongbong, hatü büpa om dhüshi nedaüpü leihen. 
LEV.15.8	Hangyung daipü shennyaki daülangpü shennyak kü yu-op shaojema, büpai ashakviha dhotükhen, hatü hangha laktükhen vongbong, hatü büpa om dhüshi nedaüpü leihen. 
LEV.15.9	Hangyung daipü shennyaki uopü yem hatü uoshing kemei nedaüpü nyüke. 
LEV.15.10	Üpai hapa shennyakei dou lemhük kü-üng honghenshang, büpa om dhüshi nedaüpü leihen; üpai hapa shennyaki uopü yemha kü dou lemhük dangkao koei leihenshang, büpai ashakviha dhotükhen hatü hangha laktükhen hatü om dhüshi nedaüpü leihen. 
LEV.15.11	Hangyung daipü shennyaki shongei lak meishi nehüh-i hanei kü hongjema, hapa shennyaki ashakviha dhotükhen, hangha laktükhen, hatü büpa om dhüshi nedaüpü leihen. 
LEV.15.12	Hangyung daipü shennyaki hongtükpü haümdük bhaotükhen, hatü pü-i lingpü dou vaijema meishi thitei daütükhen.
LEV.15.13	Mechem hapa shennyak hangyung daipü dohhen, büpai nyih nyet ittü laophülei ashakviha dhotükhen, hangha laktükhen, hatü büpa daüdaihen. 
LEV.15.14	Nyih shetpabü kü büpai athuba nyi nevaijü khakhi ou nyi ashakshemei 
