GEN.1.1	Pathianin a phut taka irnêng le irvân a siama, 
JDG.20.31	Benjamina irchihai chu lei doihai hrangin an va suaka, khua ata an irzûl suakhaia, sûn dang ang ngêtin loia, lampuilian Bethel le Gibea panna lamhaia khan Israel mihai sômthum an that nôka. 
JDG.20.32	Banjamina irchihaiin, “Matona ang khan kin thathai nôk tâk,” an tia. Israelhaiin, “Tho intân ei ti, khopui ata hi lamliana hin va suak ei ti,” an tia. 
JDG.20.33	Israel sipai murdihai chu Baaltamar hmuna an irbukkhôma, sirsan an lâk tâka, khan Gibea khua irhuala lungpui kâra irbîk inrûkhai kha an zuang suak saa. 
JDG.20.34	Khan, Israel mihai laia inthang mi sîngkhatin Gibea khua chu an doi tâka, Benjamina irchihai khan an ihrât loi hrang ti inhre viat mahai. 
JDG.20.35	 Israelhai chu Benjamina irchihai an hnêtira, Israelhaiin mi sînghni le sângringa le irzakhat an thata. Khahai kha Benjamina mihai sipai zit an ni. 
JDG.20.36	Benjamina irchihaiin an ihrât loi hrang ti an inhriat tâka.
JDG.20.36	Israel sipai bulpuihai khan Gibea khua irhuala lei irbîk inrûka an isiahai kha irnghatin Benjamina mihai chu hnung tiang an siasanhaia. 
JDG.20.37	Kha mihai chu Gibea khuaa khan irningloiin an intân lût thuta, an irsemdara, an ihmu ta phot chu an thata. 
JDG.20.38	Israel sipai bulpui le lei irbîk inrûka omhai khan irsinsiana an siama, khua ata meikhu a suak zut zut an hmu’n chu, 
JDG.20.39	irdoina hmuna Israel omhai chu an tho nôk hrang ti a ni. Kha lai khan Benjamina irchihaiin Israel mi sômthum an lei that tâka. “Matona kin itho ang takin kin itho nôk hrang a ni,” an tia. 
JDG.20.40	Khua rengata meikhu a suak zut zutin chu Benjamina irchihaiin an hong thîra, khua a kâng zit tâk ti an hmu’n chu ar khêl an ti tak taka. 
JDG.20.41	Khan Israel mihai chu an hong irhei nôk tâka, Benjamina mihaiin thi zit hrang kin nih ti an inhriatin a sân an char an indong tâka. 
JDG.20.42	Israel mihai ata ramchâr tiang an intân tâka, tûte om loina tiang intân an tuma; khannisian, intânsuak thei mahai, sipai bulpuihai le khua ata hong suakhai khan kiang tiang kiang tiang an doihaia, 
JDG.20.43	Israel mihaiin an râlhai chu an irhualhaia, misa suakna tiang Gibea tiang an intâna, an irzûlhai pata, an that zêla. 
JDG.20.44	Benjamina sipai satak tak mi sîngkhat le sângriat an thata. 
JDG.20.45	Senkhat chu Rimon khur panin an intâna, lampuia mi sângringa vêl chu an thia. Israelhaiin Gidon dênin an irzûlhaia, mi sânghni chu an thata. 
JDG.20.46	A rêngin, Benjamina mihai chu mi sînghni le sângringa irdoi mi ringot an ithi a ni.
JDG.20.47	Mi irzaruk chu ramchâr tiang Rimon rôl khura an intâna, kha khan tha minli vêl an oma. 
JDG.20.48	Israelhai chu Benjamina mihai an doi zêla, pasal le nupang nâipang khom, an insûng sâhai ten khom an that fâi zita. Kha vêla an khua murdi chu an hâl fâi zit tâka.
JDG.21.1	Israel mihai chu Mizpa khuaa an irbukkhôma, khan 
JDG.21.2	Khanchu, Israel mihai chu Bethel-a an fea, Pathian makunga khohloi dênin an toia, inringtak le beiindong takin an chapa, 
JDG.21.3	“O, 
JDG.21.4	A tûk zînga chu zîng taka maichâm an siama, irngeina thilinhlan le hâlirvôm thilinhlan an inhlana. 
JDG.21.5	“Israel nam laia Mizpa khuaa irbukkhômna hmuna chang sa loi an om mo?” tiin an irdon irhlôma. Mizpa khuaa 
JDG.21.6	Israelhaiin an urêng Benjamina irchihai chu an lunginkham tak taka, “A vuan hin Israelhaiin kin laia nam inkhat chu kin inchân a ni ta. 
JDG.21.7	Benjamina nam la dam sunhai ta hrangin itin mo dôngma kin izongpuihai ta hrang? 
JDG.21.8	Khan anni’n, “Israel nam laia mi a tu nam tak hi mo Mizpa khua inkhômpuia chang sa loi?” an tia. Kha inkhômpuia khan, Gilead rama, Jabes khuaa mi chu inkhat lua hong mahai ti an hmu tâka. 
JDG.21.9	Irhming an hong koihaiin chu Jabes khuaa mi chu tûte om mahai. 
JDG.21.10	Irbukkhôm nahruaituhaiin an laia mi huaisen sîngkhat le sânghni an tîra, “Fe unglân, Jabes khuaa mi murdi, nupang le nâipang khom va that zit roi, 
JDG.21.11	pasal that zit unglân, nupang khom pasal lei siatpui tâkhai rêng rêng chu that zit roi,” an tia. 
JDG.21.12	Jabes-hai laia khan dôngmate, pasal la isiatpui loi irzaminli an hmua, Silo khuaa Kanaan rama khan an hong hruaihaia.
JDG.21.13	Rimon rôl khura om Benjamina irchihai kuang palâi an tîra, irdoi inmong ta hrang thu an hrila. 
JDG.21.14	Benjamina irchihai chu an hong kîra, Israelhaiin Jabes dôngmate, an ithat loihai chu an dôngmahai hrangin an pêka; aniachu, chuk mahaia.
JDG.21.16	Irbukkhôma hruaituhaiin, “Benjamina laia nupang om ta mahai, a la damhai dôngma hrang hi itin mo ei izongpuihai ta hrang?” an tia. 
JDG.21.17	Israel nam sôm nam hnihai laia hin nam khat khom irhmang phal ma ung. Khasikin, Benjamina la dam sun omhai ta hrangin irchi ei inneitirhai ngêt hrang a ni. 
JDG.21.18	Khannisian, ei nâinuhai lak dôngma inneitirhai hrangin phal mak mea. “Mi tukhom mâni nâinu Benjamina mi inneitir chu vânnisalin om ri se, tiin chong ei lei inkung tâka,” an tia.
JDG.21.19	“Irngai ta, 
JDG.21.20	Benjamina irchihai chu chong an bêhaia, “Fe unglân, Grep irhuanhaia lei irbîk unglân, 
JDG.21.21	lei thîr mai unglân, Silo khuaa dôngmate rual lâm hrangin hong suak an ta, nangni khom grep irhuan ata hong suak unglân, Silo khuaa dôngmatehai chu mâni dôngma hrang seng chel unglân, Benjamina rama nin ihruaihai hrang a ni. 
JDG.21.22	An pahai mani an nuchahaiin mani nangni an hong inbuai khomin, “Lungkham takin inneitirhai mai roi, râl anga irdoiin dôngmaa an ichelhai khom ni maka; nangni lakin nin nuam sika nin ipêk khom ni ual loia, nin chonginkung khom nin insiat ual mani, lei ti kin ti,” an tia.
JDG.21.23	Khan Benjamina irchihaiin an ihrilhai angin an thoa, Silo khuaa dôngmate rual lâmhai laia mi, mâni dôngma hrang seng an chela, an ram tiang an fepuihai tâka, khopuihai chu an siam insata, kha khan an om tâka. 
JDG.21.24	Kha rengata kha Israel danghai chu mâni rama an irchi chi le mâni nam ram senga an kîr nôk tâka. 
JDG.21.25	 Kha lai khan Israel rama rêng om mahai, sa an iti ang angin mi tin an om ngai a ni.
RUT.1.1	Tianlaia roirêltuhaiin roi an rêl lai khan, Israel rama châm a tâka. Judai ram Bethlehem khuaa mi inkhat chu a dôngma le a nâipasal hnihai leh Moab rama om hrangin an fea. 
RUT.1.2	A’rhming chu Elimelek a nia, a dôngma irhming chu Naomi a ni, a nâipasal hnihai irhming chu Mahlona le Kiliona an ni. Judai ram Bethlehem khuaa Efrata mi an ni. Moab rama khan an fea, kha khan an om mai tâka. 
RUT.1.3	Naomi pasal Elimelek chu a thia, khanchu, Naomi le a nâipasal hnihai leh vai an om tâka. 
RUT.1.4	A nâipasalhaiin Moab mi dôngma’n an neia, inkhat irhming chu Orpi a nia, inkhat irhming chu Ruthi a ni. Kha rama khan kum sôm vêl an om hnungin, 
RUT.1.5	Mahlona le Kiliona khom an thia, khanchu Naomi kha a pasal leh a nâipasal hnihaiin an thisan tâk a ni.
RUT.1.6	Khan 
RUT.1.7	Khanchu a moihai inhni leh khan an omna mâksanin Judai ram an pan tâka. 
RUT.1.8	Naomi’n a moihai inhni kuang, “Fe unglân, nin nuhai in tiang kîr nôk chian ta roi, nin pasal thi tâkhai le ki chunga satna nin inlangtir lam ang takin, 
RUT.1.9	Nin ruaiin pasal dang nin nei nôk theina hrangin 
RUT.1.10	A moihai khan, “Fe no ni ung, ni mihai kuang ni ifena hrang hmuna nang zui kin ti,” an tia. 
RUT.1.11	Naomi’n, “Ki nâinuhaio, kîr nôk chian roi, ithoa mo nin ni zui nuam bâka! Nin pasal hrang nâipasal ki la inei nôk thei hrang ma ni? 
RUT.1.12	Ki nâinuhaio, nin in tiang kîr nôk ta roi, pasal la nei nôk hrangin chu ki tar ok tâk sikin. Khan tûngna ki la nei itinin, a vuan zân ngân hin pasal neiin nâipasalhai hong nei ngân ta inlân, 
RUT.1.13	an ulian dênin nin inghâk mai hrang ma ni? Pasal boiin nin iom mai hrang mo? Ni thei make, ki nâinuhaio, nangni sikin ki milung a sân a na, 
RUT.1.14	Khanchu, irhâi inringtakin an chap nôk tâka, Orpi’n a tarpi kha a tuma, a kîrsan tâka, Ruthi rêkin chu a tarpi a chel ngita. 
RUT.1.15	Khan Naomi’n, “En ta, ni moi chanpuinu chu a mihai le a pathian tiang a kîr nôk tâk so, nang khom ni moi chanpuinu zuiin ni in tiang kîr nôk ta roh,” a tia. 
RUT.1.16	Khannisianlân Ruthi’n chu, “Nang mâksan hrang le nang zui loi hrangin chu nin thêm no ro; ni fena ti tiang fe ki ta, ni riakna ti tiang riak ki ta, nir chihai chu ki’rchihai ni an ta, ni Pathian chu ki Pathian ni a ti. 
RUT.1.17	Ni thinaa thi ki ta, kha khan phûmin om ki ti. Nang le kei hi thina ni loia thil dangin ni sen hrang nêkin chu 
RUT.1.18	Ama zui a tum ngit a nih ti an hriatin Naomi’n a dâisanhrek tâka. 
RUT.1.19	Khanchu, an ruaiin Bethlehem dên rakin an fe tâka. Bethlehem an tungin chu, a kho mihai an lei inlâi phuata, nupanghaiin, ‘Hi nu hi Naomi kha ma ni?’ an tia. 
RUT.1.20	Naomi’n an kuang, “Naomi ni ti ta no roi, Mara ni ti ta roi. Tinrêng thotheitu’n na takin a nin tuangtir tâk a ni hi te. 
RUT.1.21	Irkip takin ki suaka, 
RUT.1.22	Khanchu, Naomi chu a moinu Moab mi Ruthi leh Moab ram rengata an hong kîra, barli ât a’rphut laitakin Bethlehem khua chu an hong tung tâk a ni.
RUT.2.1	Naomi khan a pasal Elimelek urêng irnaipui, a’rhming Boaza, mi neinung tak a neia. 
RUT.2.2	 Moab mi Ruthi’n Naomi kuang, “Loi tiang va fe ki ta, faôi va zong ki ti, ni lei inrentu chu va hmu ngêt ki ti,” a tia. Naomi’n, “Fe ro ba, ki nâinu,” a tia. 
RUT.2.3	Khanchu a fea, bu âttuhai lâksel chu a va zong irkhôm tâka. Elimelek urêng Boaza loi khera khan a va fe tâka. 
RUT.2.4	Boaza khom Bethlehem rengata a hong tunga, bu âttuhai kuang, “
RUT.2.4	“
RUT.2.5	Boaza’n a siahlo, bu âttuhai chunga hruaitu kuang, “Hi hi kho tianga nupang ma ni?” a tia. 
RUT.2.6	A siahlo, bu âttuhai chunga hruaitu’n, “Hi mi hi Moab nupang, Moab ram ata Naomi leh hong kha a ni. 
RUT.2.7	‘Bu âttuhai hnung zuiin, an bu irkhôm zoi mihlia zong irvai thiai ki ti,’ tiin a ni ngêna; zoro sôtloite ichua a’rngam ti no chu zîng rengata atûn ten hin a la izong irkhôm mai a ni,” tiin a sâma.
RUT.2.8	Khan Boaza’n Ruthi kuang, “Ki nâinu, irngai ro. Loi danga chu faôi zong hrangin fe no’n lân, hi hmun ata hmun danga irson no roh, ki siahlo dôngmatehai kuanga hin om maiin lân; 
RUT.2.9	kho tiang mo bu an ât en vêlin lân, dôngmatehai hi zuihai mai roh. Ruathartehaiin ite nang an ti loina hrangin ki hrilhai ta; ni tui an hrâlin chu tuibêla ruathartehai tui chôi sai kha va in ngai ro,” a tia. 
RUT.2.10	Khanchu, Ruthi chu irnênga a kûna, “Kei nam dang mi hi ni nin hriat nuama, hiang taka lung ni ni inkham hi, itina ma ni tâk?,” a tia. 
RUT.2.11	Boaza’n hiang hin a sâma, “Ni pasal a thi rengata ni tarpi chunga ni sintho murdi mi’n an nin hrila; ni pahai, ni nuhai, le ni’rsiangna ramhai mâksana, mi ni la inhriat ngai loihai laia om hranga ni hong dânhai ti khom mi’n an nin hril zit a ni. 
RUT.2.12	 ni sinthôna man nang thuan sianlân; 
RUT.2.13	Ruthi’n, “Ka pu, nangin ni nin ren sikin ki’rtha a’rngam ta. Ni siahlo dôngmatehai laia mi ni no khom inlân, ni siahlonu hi satakin ni ni ichongpui hi ki ta hrangin lunginkhamtu liantak ni ni,” a tia.
RUT.2.14	Khanchu, bunêk zoro laiin Boaza’n Ruthi kuang, “Hitaka hin hongin lân, baihai hi hong fa ro, bai tanghai hi uain thûra inchie sa ro,” a tia. Bu âttuhai kôla a toia; Boaza’n changpêr a lei pêka, khop telin a fâka, a khop hnungin a fâk mihlia a la nei ok. 
RUT.2.15	Khan, faôi zong irfuang hrangin a’rthok nôkin chu, Boaza’n a ruathartehai kuang, “Bumût laia bu khom la sianlân hal no roi. 
RUT.2.16	A têl lai ata bupâr khom kaidok pe unglân, mâksan rak unglân hrût ri se, hal viat no roi,” tiin chong a bêhaia. 
RUT.2.17	Ruthi chu khohloi dênin faôi a zong irkhôma, a irkhômhai kha an chîla, barli epna khat vêl a ni. 
RUT.2.18	A bu zong irkhôm kha kho sûng tiang a pêla, a tarpi chu an entira, bai a fâk zoiloi khom a kêlsuaa, a tarpi a pêka. 
RUT.2.19	A tarpi’n a kuang, “A vuan sûn hin kho tianga faôi mo ni izong irkhôm? Tu loia mo ni va isin? Nang a lei inrentu chu satvurin om ri se,” a tia. Ruthi’n a tarpi kuang a va sinna chu, hiang hin a hrila, “A vuan sûna sin ki va ithônapa irhming chu Boaza a ni,” a tia. 
RUT.2.20	 Naomi’n a moinu kuang, “
RUT.2.21	Moab mi Ruthi’n, “A ni duah, bu hi an ât zoi mâka chu ki sinthotuhai laia hin sin sa mai ro, a ni iti kêng,” a tia. 
RUT.2.22	Naomi’n a moinu Ruthi kuang, “A sa kha te, ki nâinu, a sinthotu dôngmatehai laia vai sintho ro, loi danga chu buaina ni tong itinin,” a tia. 
RUT.2.23	Khanchu, Ruthi’n chu Boaza siahlo dôngmatehai sinthoin a oma, barli le gohu ât zoi dênin faôi a zong irfuangin a om ngai. A tarpi kuang a om mai tâka.
RUT.3.1	Kha zoiin, Naomi’n Ruthi kuang, “Ki nâinu, ni ta hranga vângsakna in hoitak nang ngaitua pe ki ti. 
RUT.3.2	A siahlo dôngmatehai leh sin ni va ithôna loi neitupa kha kin urêng irnaipui Boaza a ni. Irngai ro, a vuan zân hin hruizôla barli a zâp infâi zân a ni. 
RUT.3.3	Khanchu tui irsilin lân, sahriak mirimhoi irpolin lân, ni sil le kai puan satak irbelin hruizôla khan zu fe roh. Aniachu, fâk nêk a zong zoi mâka chu a kuang, inlang no roh. 
RUT.3.4	A zâl tika a zâlna kha irsinsia’n lân, khanchu fe’n lân, a ke tianga puan kha lîmin lân zâl roh, khanchu, ama’n ni tho hrang chu nang lei inhril zel a ti,” a tia. 
RUT.3.5	Ruthi’n, “Ni ti anglam takin tho ki ti,” a tia.
RUT.3.6	Khanchu, hruizôla khan Ruthi a zu fea, a tarpi ihril lam ang takin a thoa. 
RUT.3.7	Boaza chu fâk nêk ar zoiin raifân takin bu pông kôla khan zâl hrangin a fe tâka. 
RUT.3.8	Zân chimrip tena chu Boaza a hong hara, a va’rheiin chu a ke thuana nupang lei zâl mai kha a hmu tâka. 
RUT.3.9	“Tu mo ni ini?” a tia. Ama’n, “Ni siahlo Ruthi ki ni, kin urêng irkaipui bulpui ni ni sikin ni puan kha ni hong irkhu sa ro,” a tia. 
RUT.3.10	Boaza’n, “Ki nâinu, 
RUT.3.11	Atûn hin, ki nâinu, chi no ro; ni izong ang lam takin ni chunga nang tho pe ki ti. Kin khuaa mi murdihaiin nupang fel tak ni nih ti nang an inhriat ving kêng. 
RUT.3.12	 I khom ni sian, ni urêng irkaipui chu ki ni, aniachu keima nêka irnaipui ual a la om. 
RUT.3.13	A vuan zân chu riak photin lân, nangtûka ni urêng irnaipuiin a itho hrang a tho nuam no’n chu keima’n tho ki ti, ti Pathian hring irhmingin chong kin kung, khovâr mân chu zâl phot ro,” a tia.
RUT.3.14	Khanchu, zîng khovâr dênin a ke thuana khan a zâl tâka, mi tukhomin an hmu infel thei loina hrangin zînga a thoia; Boaza’n, “Hruizôla ni ihong hi mi tukhomin inhre no ri sehai,” a tia. 
RUT.3.15	Boaza’n a kuang, “Ni puan sil kha hong chôiin lân, dô ro,” a tia. Khanchu a dâpa, barli tîn khat ar tê pea, an pêltira. Ruthi chu a khua tiang a fe tâka. 
RUT.3.16	A tarpi kuang a hong tungin chu, “Ki nâinu, imo ni hong chang?” a lei ti pea. Ruthi’n a chunga Boaza’n thil a itho pe murdi kha a hril zita. 
RUT.3.17	“Ni tarpi kuang kut korongin kîr no ro, tiin hi barli tîn khat hi a ni ipêk a ni” a tia. 
RUT.3.18	Naomi’n, “Ki nâinu thil hong om hrang dân nin hriat mâka chu lei nghâk zâm ro; a vuan hin thil a hong infel mâka chu om chian no ni,” a tia.
RUT.4.1	Boaza chu roirêlna hmun, dâi mikota a hong fea, a toia. An urêng irkaipui tak chungchâng thu Boaza’n a ihril kha a honga. Boaza’n, “Ki rualpa, hi tiang hongin lân, hong toi ta,” a tia. Ama chu a va fea, a toi tâka. 
RUT.4.2	Boaza’n kha khuaa mi upa sômkhat a koi bûmhaia, an kuang, “Hitaka hin toi khôm u ta,” a tia; khanchu an toi tâka. 
RUT.4.3	An irkaipui irnai takpa kuang, “Moab ram ata hong kîr, Naomi’n ei urêngpa Elimelek ram kha zuar a nuama; 
RUT.4.4	nangma hi inhril masa zât ni nih ti kin hriata, ni’rtan nuama ni’n chu hi upahai inhriata hin irtan roh; ni’rtan nuam no’n chu nin hril ro; nangma ti no chu tûte a’rtan zât om mahai; khan, ni’rtan thei no’n chu kei hi a’rtanrua ki ni,” a tia. Ama’n, “Irtan ki ti,” a tia. 
RUT.4.5	Boaza’n, “Naomi kut ata ram ni’rchôk nî khan meithâi Moab mi, Ruthi ni inei sa hrang a om maia, a’rchon luatu hrang an om zêl theina hrangin,” a tia. 
RUT.4.6	An urêng irkaipuipain, “Keima ta hrangin chu thei no ning, anino’nchu keima irchon luana hrang tiang inbuaina ki ti, irtan theitu ki nina chu nangma’n chang ta ro; keima’n chu ki irtan thei ta loi a ni hi,” a tia.
RUT.4.7	 Tianlaia Israelhai laia thil an irchôkin mo an irthûlin mo an namindetna hrangin a zuartu’n a kekok khek a ta, ar chôktu kuang a pêk ngai. Hi hi Israelhai laia thil namindet dân chu a ni. 
RUT.4.8	An urêng irkaipuipa khan Boaza kuang, “Nangma’n ni ta hrangin ircho ta ro,” tiin a kekok chu a kheka a pêk tâka. 
RUT.4.9	Boaza’n upahai le mipui murdihai kuang, “A vuan sûn hin Elimelek thil nei murdi le Kiliona le Mahlona thil nei murdi chu Naomi kut ata ki’rchôk tah ti inhriatpuituhai nin ni. 
RUT.4.10	 Khabana, mithi chu a’rhming a om maina hranga ar chon luatu siam pe hrang le mithi chu a urênghai laia le a omna mikota ar hming ar hmang loina hrangin, Moab meithâi, Mahlona dôngma chu ki dôngma ni hrangin ki nei ta; a vuan hin nangnihai hi an hriatpuituhai nin ni,” a tia. 
RUT.4.11	 Khanchu, dâi mikota mipui murdihai le upahaiin, “An hriatpuituhai kin ni. Ni ina nupang hong lût chu Israel in sûngkua indingtu inhni Rakili le Leaii angin 
RUT.4.13	Khanchu Boaza’n Ruthi chu dôngma hrangin a hruaia, an omsuam tâka. 
RUT.4.14	Khataka nupanghaiin Naomi kuang, “Nangma nang enkol hrangtupa nang inneitirtu 
RUT.4.15	ama chu ni ta hranga hringna inthar nôktu le ni tar tianga nang a donsuitu la hong ni a ta, ni moinu nang lungthungtu hi nâipasal sari nêka tama hlu ual, ama chu nang a nei pe tâk a ni,” an tia. 
RUT.4.16	Naomi’n nâite kha a lâka, a rôpsuama a poma, a donsui tâka, 
RUT.4.17	Khanchu, a tualbôm nupanghaiin, nâite irhming an hong phua tâka, “Naomi’n nâipasal a nei ta,” ti’n a’rhminga Obeda an phuaa; ama chu Davida pu Jesaia pa a hong ni ta.
RUT.4.18	Hi hi Pereza irchi hong omdân chu an ni; Pereza chu Hezrona pa a ni. 
RUT.4.19	Hezrona chu Rama pa a ni, Rama chu Aminadaba pa a ni. 
RUT.4.20	Aminadaba chu Nasona pa a ni, Nasona chu Salmona pa a ni. 
RUT.4.21	Salmona chu Boaza pa a ni, Boaza chu Obeda pa a ni. 
RUT.4.22	Obeda chu Jesaia pa a ni, Jesaia chu Davida pa a ni.
1SA.1.1	Efraima tâng rama Ramathaimzofim khuaa hin Efraima nama mi inkhat ar hming Elkana a oma. Ama hi Zufa panama mi, Tohua in sûngkuaa mi Elihua nâi Jerohama nâipasal a ni. 
1SA.1.2	Elkana hin dôngma inhni a neia, Hani le Penini hai an ni. Penini hin nâi a neia, Hani hin chu nâi nei ma. 
1SA.1.3	Elkana kha, Rama khua ata Silo khuaa, tinrêng thothei 
1SA.1.4	Elkana’n irbôlna an hlan rikipa a dôngma Penini le a nâihai murdi dongtum a siam pehai ngai. 
1SA.1.5	Hani kha lungthung ok khom sianlân, 
1SA.1.6	Nâi a nei thei no sika a beidongna irbôktir pe ual hrangin ama irsiatpuinu Penini hin hmusitin a lei êsêl ngaia. 
1SA.1.7	Khaang khan a kum tin a hong ni maia, 
1SA.1.8	Khanchu a pasal Elkana khan a kuang, “Hani, itho mo ni chapa? Itho mo bu ni inêk loi? Itho mo beidong ngaisiata ni iom? Nâipasal sômkhat nêk khomin ni tah hrangin chu ki isa ual loi ma ni?” a ti pea.
1SA.1.9	Sûn khat chu Silo khuaa 
1SA.1.10	Khanchu 
1SA.1.11	 Hani khan chong an kunga, “O itinrêng sin thei 
1SA.1.12	Hani kha 
1SA.1.13	Hani khan a lungrîl taka chongchai a nia; a hmûr chu an chânga, ar hâi chu inhre thei ni maka. Khasikin Elia hin zu a inrui ni le hin a iama. 
1SA.1.14	Khan Elia hin a kuang, “I dôra sôt mo ni inrui ta hrang? Ni uain tui kha pai ta ro,” a tia.
1SA.1.15	Hani khan, “Ka pu inrui ma ung, nupang beidong inren om tak ki ni; uain khom, zu khom in viat ma ung. 
1SA.1.16	Ni suaknu hi Beliala nâinu’n ni bê no ro. Ki lungrîla sipliam beidongna le chardongna ki insîr a ni hi,” tiin a sâma.
1SA.1.17	Elia khan, “Irtharngam takin fe ro, Israelhai Pathian khan ni thil ngên chu nang pe ri se,” a tia.
1SA.1.18	Hani khan, “Ni suaknu hin ni mit tungin om ri se,” a tia. Khanchu nupangnu chu a fe tâka, bu a nêka, beidong hmêl irput ta ma.
1SA.1.19	Zîng nôka chu Elkana le a in sûng mihai kha zînga an thoia. 
1SA.1.20	Khanchu Hani khan nâi a vong tâka, nâipasal a neia; “R
1SA.1.21	Elkana le a in sûng mihaiin a kum tina 
1SA.1.22	Khannisian hi zoro hin chu Hani chu fe sa maka. A pasal kuang khan, “Kei chu nâite hin irhnu nêk a bâng tena 
1SA.1.23	A pasal Elkana khan a kuang, “A dik ni iti lam takin tho ro; irhnu nêk nin bângtir mân chu in sûnga om ro. 
1SA.1.24	Irhnu nêk a bâng tena chu baidi her sômkhat le uain ûm khat chôiin le sehrâtchal tuai inthum mi kaiin Hani khan a nâipa chu Silo khuaa 
1SA.1.25	serâtchal tuai kha an that zoiin chu nâipangte kha Elia kuang an hruaia. 
1SA.1.26	Hani khan a kuang “O ka pu, ni’rhming inzakpumin hi hi ki hril, keima hi chu ka pu, hi hmuna hin ni kôla ngîra 
1SA.1.27	Hi nâipang ngên hin ki ichongchai a ni; 
1SA.1.28	Khasika khan keima khomin 
1SA.2.1	 Hani kha a chongchaia,
1SA.2.1	“
1SA.2.1	ki hrâtna chu 
1SA.2.1	ki râlhai chu ki bâiin a phenênga,
1SA.2.1	Pathian saninhringna khan ki lôm tak tak a ni ta.
1SA.2.2	Ama ang zel om mahai.
1SA.2.2	Ei Pathian anga lungpui det zel tûte om mahai.
1SA.2.3	Lârirpâk chong hmang irngam unglân,
1SA.2.3	Ni bâi ata ite irsongna chong suak ta no ri se.
1SA.2.3	Ama’n a nitina nin sintho kha a izêk ngai a ni.
1SA.2.4	Mi hrâthai thalngul an khiaka,
1SA.2.4	mi hrât loihai an hong hrât ta.
1SA.2.5	A lei khopa omhai kha fâk hrang zongin an irhlo tâka,
1SA.2.5	phîngchâma lei omhai kha an hong khop ta.
1SA.2.5	A ni, nupang chingnu khan nâi sari a nei tâka.
1SA.2.5	Nâi tamtak neinu kha kut korongin a om ta.
1SA.2.6	an hring nôk thei ngai;
1SA.2.6	thâna an fetira, a hong hruai nôk ngai.
1SA.2.7	a’rchongtirhai nôk ngai.
1SA.2.7	An temtirhai ngaia, a chôiirsângtirhai thei.
1SA.2.8	Vâiphin ata inriang kha a kaithoi thei ngai.
1SA.2.8	Inriangtengtêr kha vâiphin ata an domirsângtir theia,
1SA.2.8	Mi lianhai kuang an omtir thei.
1SA.2.8	Roiinpuina rêngtoihmun an lua theina hrangin.
1SA.2.8	Irnêng irnghatnahai hi 
1SA.2.8	a chunga khan rammual hi a irnghat tâk a ni.
1SA.2.9	A mi irthianghai ke chu a hrung inzôk ngaia,
1SA.2.9	Mi siathai chu an thimbup zoro hin an irhmang ngai;
1SA.2.9	hrâtna ringotin chu tûte’n inhnêna chang thei no ni.
1SA.2.10	Irvân ata khonri’n doi a ti.
1SA.2.10	a rêng kha hrâtna pe a ti.
1SA.2.10	A hriak irthu ngai hrâtna kha chôiirsâng a ti,” a tia.
1SA.2.11	Khanchu Elkana kha Rama khua, a ina khan a kîr tâka. Khannisian nâipangte Samuela chu Silo khuaa a om mai ta, ochai Elia makunga khan 
1SA.2.12	Elia nâipasalhai kha mi chanlamboi an nia, 
1SA.2.13	mipuihai chunga ochaihai tho dân khom ngaisak ngai loi mi an nia. Mi’n irbôlna an hong inhlan rikipa hin ochai hnungzui, sa inthilna thîrtûl irzum inthum nei ngai chôiin an honga, sa an suang lai takin. 
1SA.2.14	Sa suangna bêla khan sa inthilna thîrtûl leh khan zu sun a ta, kha sa inthilna thîrtûla a ikêlsua dôr kha ochai dongtum ni a ti. Khaang khan Israel mi Silo khuaa irbôlna inhlan hranga hong murdihai kha an lei itho ngai a ni. 
1SA.2.15	Khabana khan, a thâi kha an lâkpaia, an hâl mân zelin, ochai hnungzui kha hongin ar bôltu kuanga khan, “Ochai ta hrangin ir-em inhmin hrang, sa ni pe ro; ni sa suang sai kha nuam maka, a sel kêng a inuam,” a ti ngaia.
1SA.2.16	Ama khan an kuang, “A thâi kha hâlpai bak ni sianlân, kha hnung chu ni inunuam la ta ro,” tiin a lei sâmin chu ochai hnungzui khan, “Ni ngai ma, atûn ni pe zel ro, ni ni pêk no’n chu nakhrât songin ki ilâk hrang a ni,” a ti ngaia.
1SA.2.17	Hi Elia nâipasalhai sualna hi 
1SA.2.18	Khannisianlân Samuela chu nâipangte ni khomsian, puan irphân ochai songkol innghâkin 
1SA.2.19	Khakhêla khan a nu’n songkol irfual an sui pea, a kum tina irbôlna inhlan hranga a pasal leh an fe’n an chôi pe ngai. 
1SA.2.20	Khante, Elia khan Elkana le a dôngma kha sat a vurhaia, an kuang, “
1SA.2.22	Elia kha a hong tar ok tâka; Israel mi murdihai chunga a nâihai sintho murdi leh irhmûna puan in kotbâi kôla sinthotu nupanghai an lei zâlpuihai ngai thu an hriata. 
1SA.2.23	Khanchu an kuang, “Itho mo khaanga thil nin itho hi? Mi tinin nin thiltho saloihai an nin sîr pea. 
1SA.2.24	E he! ki nâihai, nin thurchi ki inhriat hi a siatna tiang inzen a ni. 
1SA.2.25	Mi inkhatin mi dang chunga a sualin chu porinchetir a ni, Pathianin a chunga rêl pe a ta, khannisianlân, mi 
1SA.2.26	 Nâipang Samuela kha a hong irsôn tîr tîra; Pathian le mihriam mit tungin a om tâka.
