MAT.1.1	Abraham le David a pasalnai Jisu Khrista hongkanthuina pa le puthui rabu ha hi ani.
LUK.5.34	Jisu ning a sang, ““Muipa a om karlim ijamo muiruoi ahong ngai ha bunek luija ancherang? 
LUK.5.35	Tak-ha hingahin Muipaha anmani tenna an la tuang rang phat a om, havatik han ko anmanin bu anlangei rang ke.”
LUK.5.36	Puman anmani jet thei na rang tetanna khat alui ripe, “Tu khat ning om puan thar ha ekset bak a puanlui han suide ma u, an suide aninko puan thar ham achetde rangani, hale a thar ham alui le kan ang noning. 
LUK.5.37	Han tu khat innom darkha tui a thar ha savun puankok alui a thun ma u, hale an thun a chang innom savun puankok ha achet rang ani, buak na ta savun kokha imang rang ani. 
LUK.5.38	Darkha a thar ha savunkok a tharra an thun rang ani. 
LUK.5.39	Hale tu ang khat ning darkha tui alui ha an in suale, a thar ha tok ma u ajarko, anmanin darkha tui alui ju ha a tui det anti.”
LUK.6.1	Hingahin pong kansak na nikhua an khat Jisu ning lui puk ahonglai puma thiamruoingai ning gehubor an khomma an kut annuaia an lui chak, 
LUK.6.2	Pharisi aviar ning anti, “Ijarra pong kan sak nikhuo hin tho jot lui chuan nan tho?” 
LUK.6.3	Jisu ning anmani jiang a sang, “David le alui kanruaipui ngai ning an von a cham karra imo an tho? 
LUK.6.4	David ning ija mo inn thiang sunga an lut a, thiampulian ngai jak in chak a jot tal ha ijarra mo an chak, hale a nuk jui ngai om ija mo an chak, ti ha tunnom chongthianghan nang nin telma che u mo?” 
LUK.6.5	Puman anmani jiang a ti, Minai Pasalha pong kan sak nikhuo a neipu ani.
LUK.6.6	Han pong kan sak nikhuo dang an khat a puma ning in thiang sunga mi a manchu, pha han a kut chang tiang a thi mi khat alui om. 
LUK.6.7	Han pharisi le danthei oja a dangngain pong kan sak nikhuo han a nat mitam amandam tia ama sial na an lui en chak. 
LUK.6.8	Han puma ning an lungai ha a jet, han akutkhat athipa jiang han a ti; “Thuiro; alaihin ngirro;” hale ama ning a thuia angirjui. 
LUK.6.9	Hale Jisu ning anmani jiang a ti, “Kein nang ni jiang na dingkel rong Pong kan sak na nikhuo hin chuan satmo kan tho rang, asaluimo kan tho rang, sanring na mo, animakle kan man mangrang mo?” 
LUK.6.10	Han puman anmani a en na a ti, na kut domtaro, hale ama ning a kut a dom karra a satjui. 
LUK.6.11	Han anmani an lung hui lai mak, Jisu jiang imo kan tho rang tia khat le khat an lui kansiamjui.
LUK.6.12	Hingahin Jisu ning tangbunga a chea Pathian jiang biakna alui nei a jansot Pathian chubei a buk jui. 
LUK.6.13	Khuo a hong var pha hin a thiamruoingai ha ama jiang akuia thiamruoi somleini athanga ama ning Pathian chong sem tirlon nan ni tia ming alui pek. 
LUK.6.14	Pitar anti Simon a nai, pangpa Andrew, Jems Jakob, hale Johon, Philip, hale Batholomew, 
LUK.6.15	Mathiu hale Thomas, Alphaus a nai Jems, hale Simon a lung lutpa Selot. 
LUK.6.16	Hale Jems a nai Juda, hale Juda Iskariot (Jisu ajorpa) anni.
LUK.6.17	Hingahin Puma ning thiamruoingai le phaijol han alui hong chumpha han thiamruoingai le a dang mitamtak Judia, Jerusalem, Tair le Sidon khopuia a omngai, 
LUK.6.18	ama chong thiang ringai damthei na ranga kan en an lui hong. 
LUK.6.19	Hava han a om mitam ning Puma tak sa sitna ranga an hong tho han, puma rat na ranak han anatmi rakip anluidamjui.
LUK.6.20	Jisu ning a thiamruoingai ha a en na a ti, “Ariang khodengtheingai ha ravansat nan ni! Pathian rengram ha nang ni ranga ani. 
LUK.6.21	Atun a tunna achapngai nang ni nan lamanhui rang ke! 
LUK.6.22	Miringnai pasal ruia mi ning an na ma tir, asat an na beluingai nang ni ravansat nan ni! 
LUK.6.23	Hava phat hin nang ni nan ning man satru. Vanram ma nang ni lo man a lian na a om. Hingahin nan pa napungai Pathian nom Pathian chong lui ri ngai jiang alui suaksa ani. 
LUK.6.24	Tak-ha “Atuntak naingai ko i duk a a tat mo ini? Ajarko nang nin asat a hui ha nan mu jui! 
LUK.6.25	A tun na a khop ngai i duk a tat mo? Anvon cham rang ani jui, ajarko chajangsiarra chaprang anni. 
LUK.6.26	Mirakip ning nang ni nanrui asat annari lai tak han i duk pong na mo ini? Ajarko hingahin anmani an pa an pu ngain Pathian chong lui ri ngai jiang aluithope.
LUK.6.27	“Tak-ha kein nang ni jiang kari ani, nang ni a na en dangai ha lungsiatru nang ni a na matirngai jiang chuan sat thoru. 
LUK.6.28	Nangni khuo a na khong ngai jiang phual pekru, nang ni mang na a tho ngai jiang Pathian lam peru. 
LUK.6.29	Nan ngemtang aben mi ha an khat tiang om manben deru, hale napuangsi anasut mi ha na kuntai anasut nom jotpero. 
LUK.6.30	Nang jiang analam rakip pekro, hale naphur napai alui ngai ha vei khat singkhir maro; 
LUK.6.31	hale nang ni jiang mi nanmanthojot anga, nangninom mijianghan thoru. 
LUK.6.32	Nang ni jiang a na lungsiat ngai jak na lungsiat aninko, nang ni jiang imo asat a la om? Ajarko siatnei ngai nom anmani a lungsiat ngaiha ko anlungsiat ani. 
LUK.6.33	Nang ni jiang chuansat a thongai jiang jak chuan sat nan tho aninko, nang ni ranga manpak na imo a la om? Ajarko siat nei ngainom an tho tor ani. 
LUK.6.34	Han nang nin nan mu khir na rang jak puk nangpek aninko, nang ni rang manpak na imo a la om? Siatnei ngainom siatnei ngai jiang anmukhir ranga an man puktor ani. 
LUK.6.35	Hiva jarra nang ni a na en dangai ha lungsiatru, chuan sat tho peru, mu khir ranga manpuk maru. Nang ni lo man a lian, nang ni a sang tak pathian nai nan chang rang ani, ajarko mi pong na jet luingai jiang om, mi saluingai jiang om Pathian ningko a san, 
LUK.6.36	nan pa Pathian ning a na lungsiat anga nang ni om kan lungsiatru.
LUK.6.37	“Mi chunga chong tanmaro, hale nang ni jiang om na man chunoniu, mi chunga a salui non tak pek maro, nang ni jiang om a salui napeknoniu, mi ngaidamru, nang ni om an na ngaidam rang ke. 
LUK.6.38	Pekru, nang ni jiang om na pek nanti; asat a pek, anar chunga a pek, hale a khel la a pek ning a khel la mu nanti, ajarko nang in nan pek na dan na Pathian ning a na man mu rang ani.” 
LUK.6.39	“Jisu ning tetan na an khat anmani jiang a ripe, a mitdel khat in a mitdel khat aruoitor mo? Anmani anni nia khurra chulno ni u mo?” 
LUK.6.40	Thiamruoi ngain a Thiampu nek a lianmak, tak-ha asat anripesa ama ha ama thiampu oja anga alani rang ke. 
LUK.6.41	Hale nang na mit a chok a om ha muluia, ijarra mo na u nanaingai mitsunga a chok ha na mu? 
LUK.6.42	Namit sunga a om a chok ha kelluia ija mo na u nanaingai mitsunga a om a chok ha na kel pek ati natitor? A sat kan rol jot ngai nang ni a rapatak kankel bakru, hava suale nang nin na u nanaingai mitda a om a chok ha na mu rang ani.
LUK.6.43	Ajarko theikung asatning a satlui ramak, hale Theikung satlui ning om arasat ratormak. 
LUK.6.44	Ajarko Theikung rakip hi araning itheimo tihi a na manjet, ajarko mingai ning thei chang hi lingkunga khom ma u hale darkha rahi lingbuk karra khom ma u. 
LUK.6.45	A sat mi ning avonsung tenna a om asat chuan a hong kei sua, han a satlui ngai ning an lung sunga a om a satlui jak a hong suak ani. Ajarko an lung sunga a om asatluihan an murra an hong suak ani.
LUK.6.46	“Nang nin ka chong ri ngaihi jui lui a kei hi ‘Puma,’ nannatihi ijarra mo? 
LUK.6.47	Tu ang khat ning kei jiang a honga hale ka chong a ngai a chuan atho mi ha i ang mo ani tihi kein namanjetrong? 
LUK.6.48	A ma hi inn mun a satna lung chunga inn sin anga ani. Tui a hong lian karra inn ha a hong nam, aninom inn ha luikannik noning, ajarko inn ha asat a an sin jarra ani. 
LUK.6.49	Han tu ang khat ning ka chongngai hi ajetda a jui lui ngaiha ko Pasal khat ning inn mun thualluia inn sinpa anga ani, han rua a hong tho karra tui a hong lian na inn ha anam khiakjui, hava inn akiak ha a kiak pet jui!”
LUK.7.1	Hingahin mingai jiang chong ri rakip a tor suale, ama ning Kapernam hin a che jui, 
LUK.7.2	Roman rengpa a lungsiat a suakpa khat alui om, ama ha a tam a nat thirang a tho jui. 
LUK.7.3	Han rengpaning Jisu a ruia a jet karra ama ning jiwngai ulian aviar a tirra Jisu ha a hong mankui, a suakpa mandam na ranga. 
LUK.7.4	Anmani ning an honga Jisu ha an ma themma an lui ti, “Hiva mi hi na san ringpediro.” 
LUK.7.5	Ajarko a man keini rupngaihi analung siat, hale a man a thei jak keini in thiang Sainagokhi anasinpe ani.
LUK.7.6	Han Jisu anmani le a che, hale Jisu ning rengpa inn a tung rang tiangtak han rengpa ning asapngai a hong tirra Puma jiang anti, “O puma na ning man dong maro, ajarko, puman ka inn na na hong rang hi ka rahui chang mak.” 
LUK.7.7	Hale ka tak tak puma jiang hongranghi rahui changluimi ka luini nom puma ning ka suak pahi damna chong pek na nei pero. 
LUK.7.8	Ajarko kei om ka chunga a lianngai thuai a ka om, kathuai ja a om ral mingai an om, hale kei ning anmani ha cheru ka ti le an che, a dang khat hongru katinom an hong. “Kei ka suakngai jiang hi thoru ka ti le an tho ani.”
LUK.7.9	Hingahin Jisun chong a jet karra a tam alui ngak jui, a hong kanruoipui mingai jiang alui ti, kein nang ni jiang na ti rong, Israelngai karra hin nom hiva ang khanna tak a ngai mi hi la mu making.
LUK.7.10	Hale thiamruoingain rengpa inn na an che phat han asuakpaha aluidamjui.
LUK.7.11	Hava suale Jisu ning Najin khopui hin a thiamruoingai le mitam le kan ruai a an che. 
LUK.7.12	Puman khopui lut na kot a tung tiang han, enru a thisa mi ankhat an lui hong choi, meithainu a pasalnai khatjak ha ani, khopui sunga a om mitam ning an hong kan ruipuia. 
LUK.7.13	Jisu ning a mu karra lungsiat a mu jui, han Jisun meithainu jiang a ti, “Chapmaro.” 
LUK.7.14	Han Jisu ning alui honga khumha a hong tok, hava phat han miruak choingaiha an ngirra an om ma, Jisu ning a ti; “Reathar kein nang jiang ka na ri, thuitaro.” 
LUK.7.15	Han athipaha a hong thuia, chong ahongrijui hale ama ha a nu jiang an pek jui.
LUK.7.16	Han mitamngain achit anluichitjui, hale Pathian an manpak a anti; “Pathian chong ri a lian tak Pathian ning kankaara a hong tir jui.” Hale Pathian in ama mingai jiang a mit en a lut jui.
LUK.7.17	Hale Jisu a ruija chong hi Judia ram rakip le a kol la a om khopui rakip hin a tung jui.
LUK.7.18	Johon achongchoi ngain ama jiang chong rakip ha an ripe jui. 
LUK.7.19	Han Johon ning thiamruoi anni akuia puma jiang a tirra a man dingkel, “A hong rang puma ha nangmo na ni, animakle midang khat mo kan langak rang?
LUK.7.20	“Jisu jiang vei khat an honga an lui dingkel ret jui, tui anamanlutpa Johon ning keini hi a na hong tir, a hong pa ha nangmo na ni, khat mo kan la ngak rang.”
LUK.7.21	Hava phat lai tak han Jisu ning a nat mitam bhut a lut mitamtak amandam pe jui. 
LUK.7.22	Jisu ning Johon thiamruoingai ha alui sang; nan nuk kirtaru, hale nan mu na jet ngaiha Johonjiang ri petaru, a mitdelngain an mu jui, a nat ngain andamjui, akuarsep ngain an kuar a var jui, athingain anringkhir jui, hale kusti tong ngain andamjui, hale ariangain chong hui an jet an ri jui. 
LUK.7.23	Kei jiang kutsuikesui a nei lui mingai ha ravansat anni.
LUK.7.24	Johon a thiamruoingai an kir suale Jisu ning mitamngai jiang chong ri aluiphut, nang ni ning Johon le ram ma tangbunga nan che karra imo en rang tia nan che? Phaivou ning a man kannik sing a mansat ha mo en ranga nan che? 
LUK.7.25	Han nang ni imo en rang tia nan che ani? Puan a nem atiang mingai ha mo en rang nanti, enru, hava puansat ankansinhei, a huia a om mingai ha ko reng om na mun rengkualla an om ani. 
LUK.7.26	Han imo mu rang en ranga nan vache? Pathian chongripa en ranga mo? O, keinnangni jiang ka na ri ani, ama ha ko Pathian chong ri an khat nek a lian det ani. 
LUK.7.27	Hivahi Johon ani, ama a ruia alui kan jiak a alui omsake, Pathian ning alui ti, nang kama don na kachongchoi khat ka hong tir rang ke nang na lam hong sin na ranga ani. 
LUK.7.28	Jisu ning anmani jiang a ti, Johon ning ramuol chunga a om mirakip nek a alian det, tak-ha Pathian rengram ruia a man kan sin ama ha Johon nek a lian det ani.
LUK.7.29	Miring rakip ning an lui anmaningai ha khasana chom hale Pathian chuan dik a tho, han Johon ning tuija baptais a man tho ngai anni. 
LUK.7.30	Tak-ha Pharisi le dan thei oja ngainko lui jot ma u, Pathian in an man iranga a hong tir Johon jiang om tuija baptais lui tho ma u.
LUK.7.31	Jisu ning a ti, “Atuntak mingai hi ilemo ka khide rang? Hale anmani ilemo an kan ang? 
LUK.7.32	Anmani ngaihi phur juarna nai pangngai le an kan ang, anmani khat le khat ankanjuia anti, keini ning nang ni jiang theili kan tum le lamrang nanda, kein chajang kashiarle nang nin chaprang nanda, 
LUK.7.33	ajarko tuija baptais an tho pe Johon ning talle darkha tui in lui a alui hong, tak-ha nang nin ama bhutchoike nanti a nan lui. 
LUK.7.34	Mi pasalnai ha a hong jui tak-ha nang nin rolduakpa, ju inpa, khasana chomngai le, siatneingai sapke nanti. 
LUK.7.35	Tak-ha ching nale var na lam ko, ama a nuk jui rakip ning adik nanti.”
LUK.7.36	Pharisi an khat in Jisu ha bu nek akuihan Jisun a chea nek na ranga a ong jui.
LUK.7.37	Enru khopui han siat nei numeinu khat alui om, ama ning Jisu hi Pharisi inna an omtihi a jet, han a man puma jiang teiranga thairim hui a hong choia, 
LUK.7.38	Puma a nuk tiang hin a ngirra aluichap, amittuihan puma ke achop pe jui. Han ama a sam han puma ke ha aluinot, hale puma a ke ha alui tum thairim hui han anotpejui. 
LUK.7.39	Han pharisi pan a mu karra a thei jak a akan ti, “Hiva mipahi a thianga Pathian nai aninko hiva numeinu ning a tok hi ajetrang a suak, hale ama ning ho ang khan na siatnei mi mo ani tihi om ijetrang a suak.”
LUK.7.40	Jisu ning Simon jiang a sang “Kein nang jiang chong aviar ri kati,” han a man a ti, puma riro;
LUK.7.41	“Phatkhat a mipakhat ning peisapuk miring anni jiang alui pek, mi khat jiang ruphai reani somranga, hale, khat jiang ruphai somni leiranga anluitual. 
LUK.7.42	Anmanin ansak torlui jarra aneipuning a bangpejui. Hava jarra anmani tulaminmo an lung siatdet rang?”
LUK.7.43	Simon ning a sang, kei ngaidonnako a tam atual palam ning a lungsiat det rang ke; han puman ama jiang a ti, nang in nariha adik jui.
LUK.7.44	Han Puman numeinu jiang a en na Simon jiang a ti, “Nang in hiva numeinu hi na jet mo? Kei ning na inn na ka hong, tak-ha kake narasukpe ma che, tak-ha hivanu ningko amituia kake anara sukpe asamma a na notpejui. 
LUK.7.45	Nang in kei hi naluitum ma che, tak-ha hivamiko ka hong tenna kake anala juppe ani. 
LUK.7.46	Nang in kalu chunga sariak rimhui nanotpe mache, tak-ha a man ko kake tunga thairim hui ananot pe jui. 
LUK.7.47	Hiva jarra kein tikati, ama a siatna a tam tak ka ngaidam jarra, ama ning kei hi a na lungsiatdet ani.”
LUK.7.48	Han puman numeinu jiang a ti, “Nang na siatna rakip ka na ngaidam jui.”
LUK.7.49	Puma le bu nek suam ngain an kanbiakjui, “Miring siatna tenna a ngai damtor ama hi tu mo ini?”
LUK.7.50	Puman numeinu jiang a ti, “Nang in na takngai nuk jui a, lunghip tak a chetaro alui ti pe.”
LUK.8.1	Hingahin a hongni, Puma ning khopuiale khuo sunga Pathian rengram chong thiang arilaihan ama thiamruoi somleiningai om Puma nuk an lui jui. 
LUK.8.2	Hana numei khat a nat damthei luinuha amandam seitan sari Magdalen ning Meri tenna an phut aluinotsuak. 
LUK.8.3	Herod rengpa thuaia a om Chuza a numei Joanna le Susana, hale a dang numeitam ning Jisu le a thiamruoingai ha sep a an lui tho pe jui.
LUK.8.4	Han khopui rakip mitamin Jisu jiang an hong pha han Jisun an jet thei na tetanna anmani jiang aripe.
LUK.8.5	“Chimuru vorning achimuru vor ranga a hong suak, hale ama ning a vorra, aviar ning lampuia a chul han mi ning anluisir, hale vate ning om anrutjui. 
LUK.8.6	Chimuru aviar ko lung karra aluichulla among, tak-ha ram ajillui jarra a rajung che na om mak a hong charjui. 
LUK.8.7	Chimuru aviar ning lingbuk karra a chul, a hongmong tak-ha lingin akhudea a hong thi khir jui. 
LUK.8.8	Chimuru aviar ningko simleihuina a thiang achula asat ahongmongjui, a chang khat reakhatje ahongrajui.”
LUK.8.9	Puma thiamruoingain ama jiang andingkella, tetanna hi athinga imo ani? 
LUK.8.10	Han puma ning anmani jiang a ti, Pathian rengram ranga chong thiang, chong ruk nang ni jiang a na pek jui tak-ha a dang ngainingko an en tak-ha mu ma u, hale an ngai tak-ha jet ma u.
LUK.8.11	Tetan na kariha hi ani; Chimu ruha Pathian chong thiang ha ani, 
LUK.8.12	lampuia a chul chimuruha Pathian chong ko a jet, anngaiom an ngai, tak-ha seitan ning an lung sunga a lut Puma chong ha man lut pemakna a thope ani. 
LUK.8.13	Lungchunga a chul chimu han Pathian chong ko an jet, an lui om an lui ningsat a tak-ha an lung ril tungako thun ma u, anmanin phatbongkhat rang jak a an luingai, mathemna a hong karra Pathian chong ha luijuitormau. 
LUK.8.14	Lingbuk karra a chul chimulamha Pathian chong ko anjetbak a ramuol chunga huinale nei na lamin atorra Pathian jiang a ra a om torlui ngaiha anni. 
LUK.8.15	Simlei a thiang na mun na a chul chimu rulam a thiang chongaiha an jet karra an lung sunga a lut le adik a an luia chong anjuia a ra om mingai ha anni.
LUK.8.16	Tu aninnum thoumei a sit karra bellin khupdemau, hale, khancham nuai a siakmau, tak-ha a var ha mi ning an mu na ranga thaimei siakna chunga ansiak ani.
LUK.8.17	Ajarko ri lui rang chong ruk i te khat om mak, hale jet lui ranga le rijot lui rang i te khat om mak.
LUK.8.18	Hiva jarra nang ni ija mo nanngai, “Kan ning theiru, ajarko, a nei ama jiang pek nati, hale a nei chillui ama ning om ka nei ti na ta alapek rang ke.”
LUK.8.19	Hava rakip suale Jisu a nu le anaipangai ning an honga, an hongtok, tak-ha mi antam reia anmanin Jisu ha kanmutorlai ma u. 
LUK.8.20	“Han Jisu a nu le a pangai ning va ralla an om na kanmupuiranga chong an lui pek.”
LUK.8.21	Han Jisu ning anmani jiang a hong sang, “Puma chong a ngai, a jui chuan a tho ngai ha kei ka nu le ka u ka naingai anni.”
LUK.8.22	Nikhat Jisu le a thiamruoingai rokuang anluichuanga anmani jiang alui tipe, keini tuivaral tiangson che rei, han anmanin rokuanga an hong jui. 
LUK.8.23	Anmanin rokuanga anhonglai tak han Jisu hi ajalla alui om jui, hava lai tak han rothiphaivo kanchella adik khan alui ranga rokuang sunga tui ahonglutjui. Thiamruoingain a tam anluichitjui. 
LUK.8.24	Han thiamruoi khat ning a chea Jisu ha a kei thuia, “Puma, Puma, keini hi thirang kan ni jui;” han Jisun a thuia ruale phaivou ha aluikhapjui, han anmani a hip a dai tak a an om jui. 
LUK.8.25	Han a man a ti, “Thiamruoi ngai jiang nang ni nan takngai ha hon mo nansiakjui.” Han thiamruoi rakip ning a tam anluichitjui. Hivahi imimo ani? Ruale phaivou ning om a chong anjuihi.
LUK.8.26	Han Jisu le a thiamruoingai le Gerasene khopui hin Galili va ralla an hong tung jui. 
LUK.8.27	Jisun hingahin khopuia a hong lut karra Seitanning i choi mi khat a kan tong pui. 
LUK.8.28	A ma ning Jisu ha a mu karra a khek ahongchap Jisu madonna rasa ringa alui ti, “O, a sang tak a om Pathian nai nang le kei imo kan suak, kein nang kinangaituihi, kei hi na man pong lai maro.” 
LUK.8.29	Han Puman Seitan ha suak taro atipejui, ajarko Seitanning ama ha a manponga alui om, han mingain ama ha thirruia an khit innom Seitan in aphoisat mi hi ramtiangjak aluimanche ani.
LUK.8.30	Han Jisu ning ama jiang ading kel, “Naming imo anti?” Hale a man alui ti, “Kaming a tam anti,” ajarko Seitanngai ning ama jiang anluilut. 
LUK.8.31	Han Seitanngai ning Jisu jiang anmathem, keini hi mei khurra namasul maro tia an lui ri.
LUK.8.32	Han tangkor khat voktam selpa khat alui om, hava han Seitanngain chekanti tia Jisu jiang an ri a Jisun a jot pe jui. 
LUK.8.33	Hale Seitanngain mipa tenna an phut an suak a vokngai jiang an lut karra, voktam ngaiha an lui kan se jui, bual karra an thei an theia an lut jui.
LUK.8.34	Vokselpaning imo a suak tihi alui jet a khopuirakip hava chong ha a ri mathangjui. 
LUK.8.35	Hingahin a suak chuan ngaiha en ranga mitam an lui hong Jisu jiang an hong karra Seitanning alui man vetpa puan si diar kei asatak akai a Jisu jiang a huia alui om ha an mu karra a tam an chitjui. 
LUK.8.36	Hale Seitan in achoipa ija mo asat ti ha amungain mi jiang an lui ripe jui. 
LUK.8.37	Han Gerasene khopuia a om ngain Jisu ha atam an chit jarra khopui tenna an phut chetaro antipejui, han Jisun rokuang a chuanga a nuk a hong kir jui. 
LUK.8.38	Seitan a lut pasalham Jisu nuk ha juirong tia aluirijui. 
LUK.8.39	Tak-ha Jisun ama ha a mak alui ti, “Na inna kirtaro, han Pathian in nang chuanga hiva duk chuan a lian anathopehi vari manthang taro. Hingahin ama ning khopuirakip Jisu ning ama chunga athopena rakip ha a ri manthangjui.”
LUK.8.40	Hingahin Jisu ning a hong karra mitamin ama ha a hui a andonjui, ajarko mitamin Puma ha an lui ngak ani. 
LUK.8.41	Enru Yairu anti pasalkhat alui om, ama hi sainagokhin reng ani, hale a man Jisu ke thuaija akunna ama inna na hong pero tia a mathem. 
LUK.8.42	Ajarko ama a numeinai khat jak kum somleini jak alani nu ha thirang a tho jui. Hiva jarra mitam ning Jisu ha anhir khap a an om ani.
LUK.8.43	Hava lai tak kumsomleini thi acharra a nat an khat alui om, ama hi thiampungai jiang a tor khan na atinga a lui kan en in num damtorlui ani. 
LUK.8.44	Hava numeinuning Jisu nuk tiang mitam karra alui honga Jisu puanmor ruk a asitjui, havalaitak han a thi alui charha a dam jui. 
LUK.8.45	Han Jisu ning a dingkel la, tu angkhat ning kei nannasit mo? Mirakipning anluidajui, han Pitar in a ti, “Puma mitamngain nang annasitjui.” 
LUK.8.46	Ajarko ka ranak aviar a che ka jet, “Tu ang khat in annasitjui.”
LUK.8.47	Han numei nainuhan annajetjui tia a chit reia aluikannikjui, hale Jisu madonna ahongkiakjui, a man ija mo Puma puan ka sit le hinghin ka dam lenjui tia mitam jiang a ripe jui. 
LUK.8.48	Jisu ning hava nujiang a ti, “Kanainu, na takngai na han nang a na mandamjui, a hip a chetaro.”
LUK.8.49	Jisu ning hiva chong hi aluirilai, “Yairu ha nanainu a thi jui” tia chong a hong jui, “Thiampu tok lai maro.”
LUK.8.50	Jisu ning a jet karra Yairu jiang a ti, “Chitmaro, takjak ha ngairo, ama aladamrangke.”
LUK.8.51	Han Jisu ning Yairu Inn a tung karra Johon, Pitar, Jems hale, insung nai pang a nu apalejak aluilutpui jui. 
LUK.8.52	Mirakip ning chajang shiarra an chap naipangnuha an lui oi, han Jisun a ti, “Chapmaru, naipangnuhi a jalke.”
LUK.8.53	Anmanin Jisu ha an lui nuiso, ajarko naipangnuhi a thi jui tihi anjetsa ani. 
LUK.8.54	Han Jisu ning a kut a o va alui kei thui, Alei thuitaro. 
LUK.8.55	Han a hong thui jui, Jisu ning atipe ama jiang chak le nek pekru. 
LUK.8.56	Hingahin a suak rakip an mu karra a nu a pa ngain pum ngak an ngak jui, hiva rakip hi tu khat jiang om manjet maru tia Jisu ning anmani jiang chong a bejui.
LUK.9.1	Hingahin Jisu ning a thiamruoi somleini akuia thavang satlui Seitan not cheina le a nat mandam torna ranak anmani jiang a pek jui. 
LUK.9.2	Han a man Pathian rengram chong thiang rirangle mi mandam ranga atirjui. 
LUK.9.3	Puman anmani jiang a ti, “Nang ni i om choi maru, ramchei nan che karra, chak thei, hale Puankok, peisa hale kuntai tennaom anni abo choi maru. 
LUK.9.4	Nang nin nanlutna inn tak han om ru, hale hava tenna an phut kanthuiru. 
LUK.9.5	Han nanlutna khopui mingai ning an na mahokmak inko nang nin suakderu, nan suak karra an mit an mu thei na ranga nankedirha khongthakru.”
LUK.9.6	Hava suale thiamruoingai ning khopui rakip an lut Pathian chong thiang an ri manthang, hale a nat rakipham an mandamjui.
LUK.9.7	Hingahin Herod rengpa ning alui suak chuan rakip a jet karra a tam a lung avetjui, ajarko mi a her khat ning Johon ke anti, 
LUK.9.8	han mi aviarinko Elija ha a hong suak khirretjui anti, hale mi her khat inko an lui ti, a tuan laia Pathian chong lui ri ngaiha an hong ringkhir ret jui. 
LUK.9.9	Herod in a ti, “Johonko a ring katanna a thi sa ke, tak-ha tu mo ini ama ha? Herodin ama ha aluimujot.”
LUK.9.10	Thiamruoingai an hong kirra an tho rakipngai ha Puma jiang an ri jui, han Puma jiang anmani ha a tuanga Bethsaida khopui han an che jui. 
LUK.9.11	Han mitamngain hiva chong hi an jet karra mitam ning an nuk an hong jui, Puman mirakip ha a huia a donjui, Pathian rengram ruia aripe hale anatngai ha amandampejui.
LUK.9.12	Nilut tiang pha han thiamruoingain Jisu jiang an lui ti “Mingaihi khuo sunga tirro, hale chak rang nek rang hong manchoiro, ajarko keini achikna mun na kan om ani.”
LUK.9.13	Jisu ning a ti, “Thiamruoingai jiang nang ni ning anmani jiang chak le nekha pekru.” Thiamruoi ngain an sanga, keini kanneiko tallom ranga le nga annnijak ke. “keini mitamngai ranga chak rang nek rang vachok kan ti an lui ti.” 
LUK.9.14	Ajarko mingai hi lising ranga dor anni, Jisun thiamruoingai jiang a ti, “Mingaihi arup arup man om ru, rup khat a somrangaje man ongru.”
LUK.9.15	Tirlon ngain an lui man ong jui. 
LUK.9.16	Han Jisu ning tallom ranga le nga anni ha a luia chungvan tiang a en na Pathian phual a lamjui, hale tal ha a ek khamma thiamruoingai jiang a pek mitamngai jiang amansemjui. 
LUK.9.17	Hava mun na a om mingain an chak an nek suale a liam bang ha thiamruoingai ning anrut a luk somleini alui sip jui.
LUK.9.18	Hinga hin Puma ning atheia lam na a nei lai han, thiamruoingain ama jiang an honga han Puma ning anmani jiang ading kel. “Mitamngain kei hi tu mo annati?”
LUK.9.19	Mi aviar ningko anti, “Elija, hale mi aviarin Pathian Tashanthei khat a hong kir ret annati.”
LUK.9.20	Han Puman anmani jiang ading kelret, nang ninko kei hi tumo nan na manchang? han Pitar ning a sang, “Nang Pathian nai sangringpu Khrista ha na ni.”
LUK.9.21	Han Puma Jisu ning a ti, hiva chong hi tu jiang om manjet maru tia a man chong a be, 
LUK.9.22	han Puman a ti, “Mi pasalnai ha pong khodengthei na mu rang ani, hale a chong che ulianrup, thiampulian, hale dan ojangai ning ama ha enda na nei nanta a maha that rang anni, hale ni thum suale ama ha a thui khir rang ke.”
LUK.9.23	Puma ning mirakip jiang a ti, “Tu ang khat in kei kanuk annajuijot aninko a tak tak ning kan jot ma rase kan ma tirrase, hale a tak Khros hong kan choi senlang ni khat ni khat kanuk na jui rase. 
LUK.9.24	Ajarko a thavang akansanringjot ama han mang nati, hale kei ranga a ringkhuo a manmang tor ama han thavang ring na ha mu nanti. 
LUK.9.25	Mi khat ning ramuol pumpui a tum a chang in nom, a ringkhuo a kan santormak aninko ama rang a nem na imo a om. 
LUK.9.26	Ajarko kei jarra, ka chong thiang ri ranga ajak ngaiha Mi Pasalnai le a pa le thaneithiang ngain lianpui na, a hong pha han amanjak rang ke. 
LUK.9.27	Kei ning nang ni jiang ka na ti tor mi aviar ko Pathian rengram an mu mak kar je thi tihi om noning.”
LUK.9.28	Hapta khat suale hingahin a hongni, Jisun Pitar, Johon, hale Jems Jakob hi a tuanga tangbunga, Pathian jiang a hong lam. 
LUK.9.29	Pathian jiang an lam lai tak han Jisu amelle a tak ha a hong kan thul, han a puan adiar ha om pumnguia alui ngui. 
LUK.9.30	Han mi anni anmanin an lui mu, Puma le an kan biak, anmani ha Mousi le Elija anni. 
