MAT.1.1	Yisa Masia yejamm piinue na: u din tee David yaaboonne, ki David mun din tee Abraham yaaboonn.
MAT.12.32	Wunba piak barbiit ki teen min nifosaarik Bik, Yennu sa nyik chabɔ; ŋaan wunba tan piak barbiit ki teen Yennu Seyeeŋe, Yennu kan mi ki nyik chab li daanɔ dunia na ni, amii dunia nba tan sa baar na ni.”
MAT.12.33	Ki Yisa bia din yet a “Li-i tee ki tiik ŋan, u loon tilɔɔnŋanae; ŋaan li-i tee ki tiik ki ŋani, u sii loon lɔɔnbiite, kimaan tiik lɔɔna nie ki bi bantɔ. 
MAT.12.34	Yimm walabirii booru na, ya tee nifobiit biaŋinba na, nlee ki barŋanii sa fit nyi i mɔi ni? kimaan linba ki nifosaarik dukii u par ni, ŋanne bia nyi u mɔb ni. 
MAT.12.35	Niŋanɔe tuun toonŋana, kimaan u par ni ŋan; ki nibiiuk mun tuun toonbiit, kimaan u par ni bi.
MAT.12.36	“N beerie na, barbunu daar, Yennu tan sa bu niib buut nan ba din piak baryana kur nba na paak, 
MAT.12.37	kimaan sɔɔ kur pinpako tan sa nyinnɔ daar maŋ ni; sɔɔ kur pinpako mun bia tan sa biirɔ.”
MAT.12.38	Ŋanne ki sennu wannteeb nan Farisiinba din bet Yisa a “Wanntɔɔ, ti loon ki a tun bakitnauŋ nyinne ki wannit.” 
MAT.12.39	Ki u din jiin ki yetib a “Mɔtana nigbouŋ nba tee biitdamm ki bia ki waa Yennu na loon ki bin la bakitnauŋ nyinna; ŋaan n kan mi tun nyinsiar ki turibi; Yennu sɔkinii Jona nyinbooru na kuukɔɔe ki n sa wannib; 
MAT.12.40	kimaan Jona maŋ nba din be jaŋgbeŋŋir poor ni yennu nan nyiɔk ki saan jaŋ daa ŋanntaa na, nnee ki min nifosaarik Bik mun tan sii be tiŋ ni yennu nan nyiɔk ki saa jaŋ daa ŋanntaa. 
MAT.12.41	Buut daar, Nineva teeb tan sa set wann nan mɔtana nigbouŋ na mɔk biit; kimaan Jona maŋ nba din mɔɔnt Yennu maan ki turib na, bi din nyik bi biit; ki gotir manii, wunba chee Jona be nna. 
MAT.12.42	Buut daar, poobat nba din nyii niidiitu po na mun bia tan sa set wann nan mɔtana nigbouŋ na mɔk biit, kimaan u din nyii digbann banfɔkirewa ki tan baar a wun gbiint Bat Solomon yanfoon na pinpauk; ki gotir manii, wunba chee Solomone be nna.
MAT.12.43	“Li-i tee ki narinbiiuk tan nyii nirɔ ni, u tuu yeeke ki lin mɔkooŋ ni, ki loon foon boor, ŋaan ki laati; 
MAT.12.44	li paak, u tuu tan yet u mɔŋe a ‘N sa ŋmat saan ŋaak nba ni ki n daan nyii nie;’ u ji kii ŋmat tan baari, wun la ki li dɔɔ yann, ki bi piar ki ŋamma, 
MAT.12.45	u ji sa ŋmat nyie ki saa yiin narinbileeb bannlore, binba bi ki chee u paak, ki baar namm, ki bin kɔɔ ki lakin be; nirɔ maŋ binbeŋ ji sii bi bonchiann ki gar wa daan tuu bi sinsinn biaŋinba nawa. Nee tan sa baar mɔtana biitdamm nigbouŋ na paak.”
MAT.12.46	Yisa nba din daa piak ki teen niib na yoonba, ki u naa nan u waarii baar ki tan see nanyer po, ŋaan tun sɔɔ a wun yiinɔ ki bin pakɔ mɔbonsiar. 
MAT.12.47	Ŋanne ki sɔɔ din betɔ a “Gotir, a naa nan a waarii see nanyer po ki loon ki bin pak nana.”
MAT.12.48	Ŋanne ki Yisa boi nirɔ nba betɔ linba na a “Ŋmee tee n naa? ki lamme bia tee n waarii?” 
MAT.12.49	ŋaan din tant u nuu ki wann u poorpoweiteeb ŋaan yet a “Gotirii, n naa nan n waariie na; 
MAT.12.50	kimaan wunba kur tuun n Baa Yennu nba be sanpaapo na loommu, ŋɔɔe tee n ninja, nan n niipoo nan n naa.”
MAT.13.1	Li daar maŋ ki Yisa din nyii ŋaak na ni ki saan ki saa kar mɔkgbeŋŋir kpiŋ. 
MAT.13.2	Ki niburchiauŋ lakin u boor ni; ŋanne ki u saan kɔɔ kar burgbetir ni, ŋaan ki niburchiauŋ na din see gbingbann. 
MAT.13.3	Ki u din yimm barjokit bonchiann ki yet a “Jasɔɔ din doo kpaab a wun saa bur dii. 
MAT.13.4	Wa din buur na ki bonboorii na yenninba din yat baa sanjouk ni, ki nɔɔnii baar ki tan dii. 
MAT.13.5	Ki leer mun din baa tanpuut paak, siaminba ki tant ki yabi, ki li din pia ki kpaat yiama, kimaan tant ki yab leŋi, 
MAT.13.6	ŋaan yennu nba din tan toŋ yoonba, ki li jɔɔk. La din ki fit sikin jiina na paak, li kur din kpoe. 
MAT.13.7	Ki leer mun bia din baa kunkonii ni, ki tan lakin pia ki kpaat, ŋaan ki kunkonii ŋmabirir. 
MAT.13.8	Ŋaan ki leer mun din baa tinŋaŋ ni, ki nan naanŋauŋ; ki siab nan kobik kobik, ki siab piinnloob loob, ki siab mun piinntataa.
MAT.13.9	“Wunba mɔk tuba, wun gbiint!”
MAT.13.10	Ŋanne ki Yisa poorpoweiteeb din baar u boor ni ki tan boiɔ a “Bee ki a piak barjokit kuukɔɔ ki teen niib na?”
MAT.13.11	Ki u jiin ki betib a “Yimm ŋanin, Yennu chab a yin bann woonin ni barii ki jii jiin u naan po, ŋaan ŋamm ŋanin, u ki chabibi. 
MAT.13.12	Tɔn, wunba mɔk Yennu bannu, ŋɔɔe sii laat ki pukii ki sii mɔk bonchiann, ŋaan wunba ki mɔki, u sa kɔŋ linba ki u mɔk na gbaa. 
MAT.13.13	Li paake te ki n yiimm barjokit, kimaan bi goriie, ŋaan ki laati, ki bia gbiae, ŋaan ki bant li paaki. 
MAT.13.14	Bi binbeŋ na paake te ki Yennu sɔkinii Aisaya nba din sɔkin linba na set tan teen ki gbee nan mɔnii na. U din yet a Yennu yet a
MAT.13.14	‘Niib maŋ set sa gbat,
MAT.13.14	ŋaan bi kan bann li paaki.
MAT.13.14	Bi set sa la,
MAT.13.14	ŋaan bi kan bann ba la linba maŋ paaki.
MAT.13.15	Kimaan niib na yan dɔkin,
MAT.13.15	bi tuba mun paare,
MAT.13.15	bi bia mun bi ninbinae,
MAT.13.15	kimaan bi ki loon bin la siari,
MAT.13.15	ki bia ki loon bin gbati,
MAT.13.15	ki bia ki loon a bi yan-n dɔkiti,
MAT.13.15	ki bia ki loon bin nyik bi biit, ki min tinnibi.’
MAT.13.16	“Tɔn, yimm ŋanin, parpeenn tee i yare, kimaan i ninbina laat; parpeenn bia tee i yare, kimaan i tuba gbia maan. 
MAT.13.17	Ŋaan barmɔniie ki n beeri, Yennu sɔkiniinba nan yentina bonchiann din loon bin la linba ki i laat na, ŋaan din ki laati; ki bia din loon bin gbat labaar nba ki i gbia na, ŋaan din ki gbati.”
MAT.13.18	Ki Yisa din yet u poorpoweiteeb a “Gbiintir man ki bann tanburtɔɔ na barjouk paak. 
MAT.13.19	Nirɔ-i gbat Yennu naan barŋanii, ŋaan ki bann li paaki, Sintaanii tuu baare ki tan nyinn linba bo kɔɔ li daanɔ par ni maŋ; ŋanne tee bonboorii nba baa sanjouk paak na. 
MAT.13.20	Bonboorii nba mun baa tanpuut paak na tee kaman nan wunba gbat Yennu maan na, ki gaar yiama nan parpeenn; 
MAT.13.21	ŋaan ki li daa ki sik u par ni fanu, ki u tuu yabir waaminna; ŋaan ki fara nan muksuk-n baarɔ Yennu maan na paak, u tuu fokee ki lu yiama. 
MAT.13.22	Bonboorii nba baa kunkonii ni na mun tee kaman nan wunba gbat Yennu maan na, ŋaan ki tingbouŋ na fara nan mɔkint loomm nyakin maan maŋ u par ni, ki li kan nami. 
MAT.13.23	Ŋaan bonboorii nba baa tinŋaŋ ni na tee kaman nan wunba gbat Yennu maan na, ki bann li paak, ki li tan kpaat ki nan; ki siab nan kobik kobik, siab mun nan piinnloob loob, siab mun bia nan piinntataa nee.”
MAT.13.24	Ki Yisa bia din yimm barjouk na ki pukin a “Yennu naan tee kaman nan jasɔɔ nba din doo u kpaab ni ki saa bur diboorŋanii, ŋaan ŋmat kun. 
MAT.13.25	Ki niib tan dɔɔr, ki u dataak saan saa bur dinatimii ki kɔɔn diboorŋanii na ni, ŋaan yaat. 
MAT.13.26	Dii na nba din tan puk ki ji maar yoonba, ki bi ji bann nan dinatimii be leŋ. 
MAT.13.27	Ŋanne ki u ŋaatoontunna baar ki tan boiɔ a ‘Chanbaa, diboorŋanii kuukɔɔ kaa ki a daan bur a kpaab na ni-ii? Ŋaan li teen nlee ki dinatimii tan be leŋi?’ 
MAT.13.28	Ki u betib a u datasɔɔe tun nna. Ki bi boiɔ a ‘Ki a loon tin saan ki saa ŋabir dinatimii maŋii?’ 
MAT.13.29	Ŋanne ki u jiin a ‘Aaii, kimaan i-i yaa yin ŋabiri, i tan sa kpet ŋabir dimɔniie. 
MAT.13.30	Li paak, nyikin man ki lii be nan dijaan yoo; ki dijaan yooe ki n tan sa bet dijaan teeb na ki bin chɔɔ dinatimii na sinsinn ki poon ki joo muu; ŋaan kpen nan diŋanii na ki tan wuun n dii sinsoŋ ni.’ ”
MAT.13.31	Ki Yisa bia din yimm barjouk na ki pukin a “Yennu naan tee kaman nan kanpotik binn nba ki nirɔ din jii ki bur u kpaab ni, 
MAT.13.32	ki li waar ki gar bonboorii kur saaka, ŋaan ki li tan pia ki kpaat ki yab tiinii kura, ki tan teen tiwakutuk, ki nɔɔnii baar ki tan tia tiat li yiinii na paak.”
MAT.13.33	Ki Yisa bia din yimm barjouk na ki pukin a “Yennu naan tee kaman nan datiŋ nba ki poo jii ki ŋmat nan boroboro yon nba yab, ki lin tan miik nan la tuu tan pukir nee.”
MAT.13.34	Yisa din yiin barjokite ki piak linba na kura ki teen nibur maŋ. U din ki pak siar ki turib ki li ki tee barjokit ni kaa. 
MAT.13.35	U tun nnee a linba ki Yennu sɔkiniisɔɔ din sɔkin na, lin teen gbeen, a
MAT.13.35	“N tan sa yaat n mɔb ki yet nan barjokite,
MAT.13.35	ki pak fiit wann woonin ni bona nba din woon
MAT.13.35	ki ki nyii paanu dunia piinu niwa ki tan tuu mɔtana na.”
MAT.13.36	Ŋanne ki Yisa din nyik nibur maŋ leŋ, ŋaan saan kɔɔ u ŋadɔɔtik ni. Ki u poorpoweiteeb din baar u boor ni ki tan betɔ a “Betirit dinatimii barjouk na paak.”
MAT.13.37	Ki u betib a “Min nisaarik Bike tee wunba bur diboorŋanii na. 
MAT.13.38	Tingbouŋ nae tee kpaab na; ki diboorŋanii na tee Yennu naan ni niib; ŋaan ki dinatimii na mun tee Sintaanii niib. 
MAT.13.39	Dataak nba bur dinatimii na mun tee Sintaanii; ki dijaan yoo na tee dunia na gbennu yoo; ki dijaanteeb na mun tee Yennu malakanba. 
MAT.13.40	Biaŋinba ki bi tikir dinatimii na ki joo muu na, nnee ki li tan sii tee dunia gbennu daar. 
MAT.13.41	Min nisaarik Bik tan sa tun n malakanba ki bin gann nibiit kur nba te ki leeb tuun toonbiit, nan biitdamm kur nba be n yent ni, 
MAT.13.42	ki lub musaakau ni; leŋe ki niib tan sii fabin mɔn ki junt bi nyana. 
MAT.13.43	Ŋaan li yoo maŋ, yentina kur tan sii be bi Baa Yennu naan niewa ki nyirii kaman nan yennu nba nyirii na. Wunba mɔk tuba, wun gbiint.
MAT.13.44	“Yennu naan tee kaman nan mɔkint nba din pii tiŋ ni sɔɔ kpaab ni nee; ki jasɔɔ tan baar la ki ŋamm gbiir tant piinnir, ŋaan saan nan parpeenn ki saa kɔi wa mɔk linba kura, ki jen tan daa kpaab maŋ.
MAT.13.45	“Tɔn, Yennu naan bia tee kaman nan daakɔɔrɔɔ nba din kak lin loon tuliiat bonŋana a wun daa nee. 
MAT.13.46	U din saa la yenn ki li daauk paar bonchiann; ki u ŋmat saa kɔi wa mɔk linba kura, ki saan saa daa tuliiat maŋ.
MAT.13.47	“Yennu naan bia tee kaman nan janlaauŋ nba ki bi tuu jii ki lu nyun ni ki soor janbooru booru nee. 
MAT.13.48	La din gbee yoonba ki bi dat donn gbingbann, ki kar gann janŋanii ki teen chubit ni, ŋaan lu janbiit na. 
MAT.13.49	Li tan sii tee nnee dunia na gbennu daar; Yennu malakanba tan sa baare ki gann nifoŋamm, ŋaan nyik nibiit. 
MAT.13.50	Bi tan sa jii nibiit maŋ ki lub musaakau ni. Leŋ maŋewa, ki niib tan sii fabin mɔn ki junt bi nyana.”
MAT.13.51	Ŋaan ki Yisa boib a “I bann barjokit maŋ kur paakaa?”
MAT.13.51	Ki bi sak a “Nn.”
MAT.13.52	Ki u betib a “Li paak, Yennu sennu wanntɔɔ nba kur tumii n wannu ki jii jiin Yennu naan po ki bann li paak fanu, u tee kaman nan ŋaadaanɔ nba nyint bonkpera nan bonpaana u mɔkint ni nee.”
MAT.13.53	Yisa nba din yin barjokit na ki gbenn yoonba, ki u nyii leŋ 
MAT.13.54	ki kun u mɔŋ mɔŋ doo ni, ki saa want niib Yennu maan bi jiantu diiuk ni. U wannu maŋ din teen niib na bakitnauŋ bonchiann, ki bi boi bi leeb a “Lee ki jɔɔ na la yanbooru na? Lee ki u la paŋ ki tuun bakitnauŋ toonjaana na? 
MAT.13.55	Waa, kanpinta bik na kaa na-aa? U naa kaa tee Mari na-aa? U waarii kaa tee Jems nan Josef nan Simon nan Judas na-aa? 
MAT.13.56	U niipoob kaa ki timm nan ŋamm lakin be doo na na-aa? U la bannu na kur lee?” 
MAT.13.57	Linba na paak bi din ki teenɔ yada.
MAT.13.57	Ŋanne ki u din betib a “Yennu sɔkinii ki kɔŋŋit nibaakiri, see u mɔŋ mɔŋ doo ni, nan u ŋaateeb boor ni.” 
MAT.13.58	Li paak, u din ki tun bakitnauŋ toonjaana bonchiann leŋi, kimaan niib maŋ nba ki teenɔ yada na paak.
MAT.14.1	Li yoo maŋ ki Galilee batsaakɔɔ Herod din tan gbat Yisa bakitnauŋ toonjaana po, 
MAT.14.2	ki yet u jiamm a “Jɔɔnn wunba daan wuur niib Yennu nyunwuru na, u fiir kuun nie na, li paak te ki u mɔk paŋ ki tuun bakitnauŋ toonjaana na.” 
MAT.14.3+MAT.14.4	Ŋaan sɔɔ ki Herod maŋ poŋ kpii Jɔɔnn na.
MAT.14.3+MAT.14.4	Biaŋinba ki u daan kpiu na tee nnee: Herod din fat u mɔŋ mɔŋ waarɔ Filip ŋaapoo Herodias ki kɔɔnɔ. Ki Jɔɔnn din tuu beerɔ a “Yennu sennu ki chaba nan fan fat a waarɔ ŋaapoo ki kɔɔni.” Li paak, ki Herod din soor Jɔɔnn ki kɔɔnɔ dansarik, ki baanɔ bant, 
MAT.14.5	ki loon wun kpiu, ŋaan tiin niib jaŋmaanii, kimaan sɔɔ kura mantik din teen Jɔɔnn yada nan u tee Yennu sɔkiniie.
MAT.14.6	Ki Bat Herod maaru jaamm daar tan baar; ki poo maŋ Herodias bonpobik baar ki tan waa siak bi tɔɔnn, ki li maŋ Bat Herod bonchiann. 
MAT.14.7	Li paak, ki u por mɔpor a u sa tur bonpobik na linba kur ki u sa yet a u loon na kura. 
MAT.14.8	Ŋanne ki u naa Herodias wannɔ wa sa boi linba po, ki bonpobik maŋ bet Bat Herod a wun pot Jɔɔnn wunba wuur niib Yennu nyunwuru na yur ki kpeen tatilaauk ni ki tan turɔ.
MAT.14.9	Linba na din biir bat na par ni hei; ŋaan wa sat dɔŋ por mɔpor saamm na tɔɔnn na, li paak, u ji ki fit yêti; ki u chab a bin saan tun nna, 
MAT.14.10	ki tun siab a bin saan dansarik ni ki saa pot Jɔɔnn yur na. 
MAT.14.11	Ki bi saan ki saa pot u yur ki kpeen tatilaauk ni, ki tan tur bonpobik maŋ; ki u mun gaar saan tur u naa. 
MAT.14.12	Ŋanne ki Jɔɔnn poorpoweiteeb baar ki tan jii u gbanant ki pii; ŋaan ji saan ki saa bet Yisa.
MAT.14.13	Yisa nba gbat Jɔɔnn kpinu po yoonba, ki u fiir leŋ ki kɔɔ burgbetir, ki poot kɔɔ muuk ni. Niburchiauŋ na nba la nna maŋ, ki bi somm taatiŋ ki kokin mɔkir na ki saa chetɔ muuk maŋ ni. 
MAT.14.14	Yisa nba saa nyii burgbetir ni ki la nibur maŋ na, ki ninbaauk soorɔ bonchiann, ki u te ki binba yiar ki be leŋ na kura paak.
MAT.14.15	Yennu nba tan maakit yoonba, ki u poorpoweiteeb baar u boor ni, ki tan yetɔ a “Nna na tee muuk nie, ki yennu mun yaa wun baae; li paak, ŋaant ki niib na-n saan digbanbis nba kpia na ki saa la jeet ki daa.”
MAT.14.16	Ŋanne ki u betib a “Bi daa saa. I mɔŋ-n turib jeet ki bin di.”
MAT.14.17	Ki bi betɔ a “Boroboro kuna ŋaŋŋmu nan janbis ŋannlee kuukɔɔe be ti boor ni.”
MAT.14.18	Ŋanne ki u betib a “Jiin na man ki turin.” 
MAT.14.19	Ki u bet nibur na a bin lakin kar kar mɔɔt paak; ŋaan jii boroboro kuna ŋaŋŋmu na, nan janbis ŋannlee na, ki gokit u yur sanpaapo, ŋaan tur Yennu niipoouk li paak, ŋaan ŋmit ŋmit boroboro na ki tur u poorpoweiteeb, ki bi jii tor nibur na. 
MAT.14.20	Ki bi kur dii gboo ki tenn. Ki u poorpoweiteeb lakin jeet nba tenn na, ki li gbee kpanchubit piik nan ŋannlee. 
MAT.14.21	Niib nba dii maŋ din tee kaman nan jab tusa ŋaŋŋmu, ŋaan ki poob nan waas kann ki pukin leŋi.
MAT.14.22	Li poorpo ki Yisa din te ki u poorpoweiteeb kɔɔ burgbetir na ni ki tɔk nyunpaanu saa u tɔɔnn po pootir, ŋaan ki u biar a wun chab nibur na. 
MAT.14.23	Wa chab nibur na ki gbenn yoonba ki u doo jɔɔr paak a wun saa miar Yennu. Ki dajouk tan baar ki u bia daa be leŋ u kɔɔ. 
MAT.14.24	Li yoo ki u poorpoweiteeb ŋanin ji be burgbetir na nie nyun sinsuuk ni, ki bia fɔk nan gbingbann na, ki nyunpana dia ki labimm, kimaan bi din tokii wouŋo.
MAT.14.25	Li poorpoe ki Yisa tan nyii jɔɔr na paak ki sik nyunpaanu paak ki somm kojomɔɔk, ki saa bi boor ni. 
MAT.14.26	U poorpoweiteeb nba tan la ki u somm nyun paak ki baat na, ki jaŋmaanii soorib bonchiann, ki bi yaa a “Gotir man, kpeemɔe!” ŋaan yikin jaŋmaanwuyikinii.
MAT.14.27	Li taakpaak ni ki u betib a “Cheen i para man, li tee mine; i daa tiin jaŋmaanii.”
MAT.14.28	Ki Piita jiin ki betɔ a “N Yomdaanɔ, li-i set kii tee finie, fan te ki n somm nyun na paak ki cheta.”
MAT.14.29	Ki u mun jiin bet Piita a “Baat na.” Ki Piita nyii burgbetir na ni ki sik nyun na paak, ki piin somm che Yisa boor ni. 
MAT.14.30	Wa la ki wouŋ pir nyunpana ki baat yoonba, ki jaŋmaanii soorɔ, ki u piint kpii li yoo, ŋaan yikin a “N Yomdaanɔ, tinntin!”
MAT.14.31	Ki Yisa tant u nuu yiama ki soorɔ, ŋaan boiɔ a “Fin yadakanpɔɔn daanɔ na, bee ki a birisimi?”
MAT.14.32	Ba ŋmat saa kɔɔ burgbetir na ni yoonba, ki wouŋ na nyik danu. 
MAT.14.33	Ki binba din be burgbetir na ni baar ki tan gbaan jiantir Yisa ŋaan yeen a “Barmɔniie, a set tee Yennu Bijae.”
MAT.14.34	Ba saa baar mɔkgbeŋŋir na pootir yoonba, ki bi nyii doo Genesaret. 
MAT.14.35	Doo maŋ teeb nba din bann Yisa na paak, ki bi mɔɔnt leŋ maŋ niib kura, ki bi tikir bi baatib kur ki baar namm u boor ni, 
MAT.14.36	ki tan barimɔ a wun sak ki baatib maŋ-n sii u liatir mɔgbann. Ki binba siir na kura din la laafiawa.
MAT.15.1	Li yoo na ki Farisiinba nan sennu wannteeb nyii Jerusalem ki baar tan boi Yisa a 
MAT.15.2	“Bee ki a poorpoweiteeb ki waa ti yejamm kaari? Kimaan bi ki waa ti kaar nba yaa a ti tuu nit ti niiwa ŋaan di na.”
MAT.15.3	Ki u mun boib a “Bee ki i mun ki sak Yennu sennu weiu ŋaan waa i yejamm kaari? 
MAT.15.4	Yennue din senn u sennu a ‘Turin a baa nan a naa nibaakir; ŋaan wunba tan sukir u naa amii u baa, a bin kpiu;’ 
MAT.15.5	ŋaan yimm ŋanin yaa a ‘Nirɔ-i bet u naa amii u baa a Ma bo sa turi linba na, li kpant Yennu yara; li ki tee miar kaa nan wun tur u damm siari.’ 
MAT.15.6	Ya tuun biaŋinba na, i dia Yennu sennu yanne, kimaan i yejamm kaar maŋ weiu paak. 
MAT.15.7	Yimm kpinkpannii damm na, Yennu sɔkinii Aisaya nba din pak i po biaŋinba na set tee barmɔniie. U din yet a Yennu yet a
MAT.15.8	‘Niib na teenin nibaakir mɔi nie,
MAT.15.8	ŋaan bi para fɔk nanin saama.
MAT.15.9	Bi jiantirin yanne,
MAT.15.9	kimaan bi dia nisaarii kaae ki want niib
MAT.15.9	kaman nan li set tee min Yennu sennue na.’ ”
MAT.15.10	Ŋanne ki Yisa yiin nibur na ki tan yetib a “Gbiintir man, ki bann linba ki n yaa n yeti na paak; 
MAT.15.11	linba kɔɔ nisaarik mɔb ni kan fit teenɔ jakint u par ni; ŋaan linba be nisaarik par ni ki nyi u mɔb nie teenɔ jakint.”
MAT.15.12	Ŋanne ki u poorpoweiteeb baar u boor ni ki tan boiɔ a “A mi nan Farisiinba na nba gbat a maan maŋ na, bi wutoa doo a paakawa-aa?”
MAT.15.13	Ki u jiin betib a “Tiik nba kur ki n Baa Yennu nba be sanpaapo na ki wuu, see ki bi tan ŋabire ki lu. 
MAT.15.14	Li paak, ŋaantib man ki bii saa, kimaan bi tee kaman nan jɔɔnii nee ki daar bi jɔɔnlei; ki li-i tee ki jɔɔŋ daar u lɔɔ, see ki bi kura baa bootuk ni.”
MAT.15.15	Ŋanne ki Piita jiin ki betɔ a “Wantit barjouk na paak.”
MAT.15.16	Ki Yisa jiin a “I mun bia lek daa ki bant n maan na paakii? 
MAT.15.17	I ki mi nan linba kɔɔ mɔb ni, li yaa lin sik poor nie, ki kpant bint ki nyii-ii? 
MAT.15.18	Ŋaan barbiit nba ki nisaarik piak u mɔb ni, li nyii u par nie, ŋann mune teenɔ jakint. 
MAT.15.19	Kimaan nirɔ par nie ki dudukbiit nyi, nan nikpinu, nan bonchonchonn toona, nan nanyukin, nan faak siara, nan sanjaauŋ. 
MAT.15.20	Linba na nbae teen nisaarik jakint, ŋaan niijakina dinu kan fit teen nirɔ jakinti.”
MAT.15.21	Tɔn, ki Yisa nyii leŋ ki saan Taya nan Saidon bɔkir po. 
MAT.15.22	Ŋanne ki Kenann tiŋ ni poosɔɔ nna mun din be bɔkir maŋ po, ki tan baar Yisa boor ni, ki yeen a “N Yomdaanɔ, David yaaboonn, tinimin ninbaauk! Narinbiiuk be n bipoo ni, ki mukisɔ bonchiann.” 
MAT.15.23	Ki Yisa din ki jiin siari; ŋaan ki u poorpoweiteeb betɔ a wun ber poo na, kimaan u mɔk fuut.
MAT.15.24	Ŋanne ki Yisa jiin ki betib a “Israel teeb nba tee kaman nan pei nba bot na, ŋamm kuukɔɔe ki Yennu tumin a man saan bi boor ni.”
MAT.15.25	Ki poo maŋ baar ki tan gbaan Yisa tɔɔnn ni, ŋaan yetɔ a “N Yomdaanɔ, sommitin.”
MAT.15.26	Ki Yisa jiin betɔ a “Li ki ŋan ki nirɔ-n jii waas jeet ki tur bɔi.”
MAT.15.27	Ŋanne ki poo na jiin a “N Yomdaanɔ, li set tee mɔniie; ŋaan bɔi nba dɔɔ bi daanɔ saaŋmanii boor ki kɔŋŋit jebura nba baa tiŋ ni ki tɔkii dii.”
MAT.15.28	Ŋanne ki Yisa ji yetɔ a “N diamm, a teenin yada bonchiann. Linba ki a loon na, lin tun nna ki tura.” Ki u bipoo maŋ la laafia li taakpaak ni.
MAT.15.29	Li poorpoe ki Yisa nyii leŋ ki gar Galilee mɔkgbeŋŋir kpiŋ, ki saa doo kar jɔɔr paak. 
MAT.15.30	Ki niburchiauŋ baar u boor; ki bi baar nan wɔbii, nan jɔɔnii, nan mui, nan dianii, nan binba yiar yiarbooru booru kura, ki tan birib u tɔɔnn ni; ki u te ki bi kura paak. 
MAT.15.31	Ki nibur na nba la ki mui piak, ki dianii paak, ki wɔbii somm, ki jɔɔnii laat na; ki li yaar ŋaan litib, ki bi piak dont ŋamm Israel teeb yabint Yennu na sann.
MAT.15.32	Ki Yisa yiin u poorpoweiteeb ki tan yetib a “Ninbaauk mɔkin nan niib na, kimaan daa ŋanntaae na ki bi be n boor nna, ŋaan ki mɔk jeet ki di. N ki loon man kunnib nan komi, ki bi tan sa mann fib nan kon.”
MAT.15.33	Ki u poorpoweiteeb boiɔ a “Lee ki ti sa la jeet muuk na ni ki tur niburchiauŋ na ki bin di ki gboo? kimaan ba yab bonchiann biaŋinba na.”
MAT.15.34	Ki u boib a “I mɔk boroboro kuna ŋaŋŋae?”
MAT.15.34	Ki bi jiin a “Ŋannlore, nan janbis waaminna.”
MAT.15.35	Ki u bet niib na a bin kar tiŋ ni; 
MAT.15.36	ŋaan jii boroboro kuna ŋannlore nan janbis na, ki tur Yennu niipoouk li paak, ŋaan ŋmit ŋmit tur u poorpoweiteeb, ki bi jii tor tor niib maŋ. 
MAT.15.37	Ki niib na kur dii ki gboo ŋaan ki li tenn; ki u poorpoweiteeb lakin jeet nba tenn na, ki li gbee kpanchubit ŋannlore. 
MAT.15.38	Ki niib nba dii maŋ din tee jab tusa ŋanna, ki poob nan waas kann ki pukin leŋi. 
MAT.15.39	Li poorpo ki Yisa chab niib maŋ, ŋaan kɔɔ burgbetir ni ki poot kɔɔ Magadan tingbouŋ ni.
MAT.16.1	Ŋanne ki Farisiinba nan Sajusiinba baar Yisa boor ni. Ba loon ki bin jammɔ na paak, ki bi yetɔ a wun teen bakitnauŋ nyinn ki lin wann nan Yennu set mi u po. 
MAT.16.2	Ki u jiin a “Dajoomaasir, li-i tee ki sanpagbant mɔn, i tuu yet a ‘Wonn ŋanin, daar won sii yeen.’ 
MAT.16.3	A ŋaan li-i tee ki sanpagbant mɔn ŋaan tan bɔnt sanyiɔk ni, i tuu yet a ‘Dinna ŋanin, saak sa baawa.’ I fit bukitir sanpagbant nyina, ŋaan kan fit bukit mɔtana yoo na-aa? 
MAT.16.4	Mɔtana niib, biitdamm nba ki waa Yennu na loon ki bin la bakitnauŋ nyina; ŋaan n kan mi tun nyinsiar ki turibi; Yennu sɔkinii Jona nyinbooru na kuukɔɔe ki n sa wannib.” U yet nnee, ŋaan seet ki nyikib.
MAT.16.5	Tɔn, Yisa nan u poorpoweiteeb din saa poot mɔkgbeŋŋir pootir na, ki u poorpoweiteeb na ji tiar nan bi ki jii boroboro. 
MAT.16.6	Ŋanne ki u betib a “I mi man Farisiinba nan Sajusiinba datinii na po.”
MAT.16.7	Ki bi ji piin ki beer bi leeb a “Ta ki baar nan boroboro na paake te ki u yeen nna maŋ.”
MAT.16.8	Ŋanne ki u bann ba yeen linba maŋ, ki boib a “Yimm yadakanpɔɔna damm na, bee ki i beer i leeb nan ya ki baar nan boroboro na paake? 
MAT.16.9	I bia lek daa ki bann li paakii? I ki tian ma daan jii boroboro kuna ŋaŋŋmu ki dinn jab tusa ŋaŋŋmu na-aa? Kpanchubit ŋaŋŋae ki i daan lakin jeet nba tenn na? 
MAT.16.10	Ki i bia ki tian jab tusa ŋanna nba ki n daan jii boroboro kuna ŋannlore dinnib na-aa? I daan lakin jeet nba tenn na ki gbeen chubit ŋaŋŋae? 
MAT.16.11	Bee ki i ki bann nan li ki tee boroboro po kaa ki n piaki? I mi man Farisiinba nan Sajusiinba datinii na po.”
