GEN.1.1	Sa pagsugod sa Dios pagbuhat sa kalibotan ug sa tanang butang sa kalangitan,
JDG.1.4	ug ni Juda nag-uban ngadto sa panggubatan. Pinaagi sa tabang sa 
JDG.1.5	Naabtan nila didto si Adonibezec ug nakiggubat sila kaniya. 
JDG.1.6	Midagan si Adonibezec apan naapsan nila siya, gidakop ug giputol nila ang iyang mga kumagko sa kamot ug tiil. 
JDG.1.7	Miingon si Adonibezec, “Kaniadto 70 ka hari nga giputlan nako sa ilang mga kumagko sa kamot ug tiil ang namunit ug mga mumho ilalom sa akong lamisa. Karon gibuhat sa Dios kanako ang gibuhat ko kanila.” Gidala nila si Adonibezec ngadto sa Jerusalem ug didto namatay siya.
JDG.1.8	Giataki sa banay ni Juda ang Jerusalem ug nailog nila kini. Gipatay nila ang katawhan niini ug gisunog ang siyudad. 
JDG.1.9	Human niini nakiggubat sila sa mga Canaanhon nga namuyo sa kabungtoran, kapatagan ug sa Negeb. 
JDG.1.10	Ang banay ni Juda midasdas sa mga Canaanhon nga namuyo sa siyudad sa Hebron nga kaniadto ginganlag siyudad sa
JDG.1.11	Gikan didto gisulong sa banay ni Juda ang siyudad sa Dabir nga kaniadto ginganlag siyudad sa Sefer. 
JDG.1.12	Mipahibalo si Caleb, “Ipaasawa ko ang akong anak nga si Acsa sa lalaki nga makabuntog sa siyudad sa Sefer.” 
JDG.1.13	Si Otniel nga anak sa manghod ni Caleb nga si Kenes maoy nakabuntog sa siyudad. Busa gipaasawa ni Caleb kang Otniel ang iyang anak nga si Acsa. 
JDG.1.14	Sa dihang naminyo na sila gihangyo ni Otniel si Acsa
JDG.1.15	Mitubag siya, “Hatagi akog gasa. Kay adto mo man ako papuy-a sa Negeb, hatagi usab akog mga tubod.” Busa gihatag ni Caleb kaniya ang mga tubod sa bungtod ug sa kapatagan.
JDG.1.16	Ang mga Kenihanon nga kaliwat sa ugangan ni Moises nanungas uban sa katawhan sa Juda gikan sa siyudad sa mga palmera
JDG.1.17	Ang katawhan ni Juda mikuyog sa katawhan ni Simeon. Gibuntog nila ang mga Canaanhon sa siyudad sa Sefat ug gigun-ob nila kini sa hingpit. Gihatagan nila kinig laing ngalan nga Horma.
JDG.1.18	Giataki nila ang Gaza, Ascalon ug Ekron uban sa naglibot nilang kayutaan. 
JDG.1.19	Gitabangan sa 
JDG.1.20	Sumala
JDG.1.21	Apan
JDG.1.22+JDG.1.23	Gisulong sa banay ni Jose ang siyudad sa Betel nga kaniadto ginganlag Luz. Gitabangan sila sa 
JDG.1.24	ug ang mga espiya nakakitag tawo nga migula sa siyudad ug ilang giingnan siya, “Tudloi kami unsaon namo pagsulod sa siyudad ug dili ka namo unsaon.” 
JDG.1.25	Busa iya silang gitudloan. Gipamatay nila ang tanan nga namuyo sa siyudad gawas niining tawhana ug ang tibuok niyang panimalay. 
JDG.1.26	Miadto kining tawhana sa kayutaan sa mga Hitihanon ug didto nagtukod siyag siyudad ug ginganlan niya kinig Luz. Mao gihapon kini ang ngalan niini hangtod karon.
JDG.1.27	Wala
JDG.1.28	Sa nahimo nang gamhanan ang mga Israelita gipugos nila ang mga Canaanhon sa pagpatrabaho alang kanila apan wala nila abuga silang tanan. 
JDG.1.29	Wala
JDG.1.30	Wala abuga sa banay ni Zabulon ang mga nagpuyo sa mga siyudad sa Kitron ug Nahalol. Busa ang mga Canaanhon nagpuyo tipon kanila ug ilang gipatrabaho alang kanila.
JDG.1.31	Wala abuga sa banay ni Aser ang mga nagpuyo sa mga siyudad sa Acco, Sidon, Ahulab, Acsib, Helba, Afek ug sa Rehob. 
JDG.1.32	Ang banay ni Aser nagpuyo tipon sa mga Canaanhon kay wala man nila abuga ang mga Canaanhon.
JDG.1.33	Wala abuga sa banay ni Neftali ang mga nagpuyo sa mga siyudad sa Betsemes ug sa Bet-anat. Nagpuyo sila tipon niining mga Canaanhon apan ilang gipatrabaho ang mga Canaanhon alang kanila.
JDG.1.34	Giabog sa mga Amorihanon ang banay ni Dan ngadto sa kabungtoran ug wala nila palugsonga sa kapatagan. 
JDG.1.35	Ang mga Amorihanon nagpadayon pagpuyo sa Bukid sa Hares, sa Ayalon ug sa Saalbim apan nailalom sila sa pagmando sa banay ni Jose ug gipatrabaho sila alang kanila. 
JDG.1.36	Ang utlanan sa mga Edomihanon
JDG.2.1	Ang anghel sa 
JDG.2.2	Ayaw
JDG.2.3	Busa sultihan ko kamo karon nga dili ko abugon kining katawhan samtang modasdas kamo. Mahimo silang mga kaaway ninyo ug ang mga diosdios nila mahimong lit-ag alang kaninyo.” 
JDG.2.4	Sa pagsulti niini sa anghel, mihilak ang tanang katawhan sa Israel. 
JDG.2.5	Tungod niini, ginganlag Boquim
JDG.2.6	Unya gipalakaw ni Josue ang katawhan ug ang tagsatagsa kanila miadto aron pagpanag-iya sa ilang bahin nga yuta. 
JDG.2.7	Ang katawhan sa Israel mialagad sa 
JDG.2.8	Ang alagad sa 
JDG.2.9	Gilubong
JDG.2.10	Kadtong tibuok nga kaliwatan nangamatay usab ug ang sunod nga kaliwatan wala makaila sa 
JDG.2.11	Unya ang katawhan sa Israel nagpakasala batok sa 
JDG.2.12	Mihunong sila pagsimba sa 
JDG.2.13	Mihunong sila pagsimba sa 
JDG.2.14	Ang 
JDG.2.15	Sa matag panahon nga makiggubat sila, ang 
JDG.2.16	Unya ang 
JDG.2.17	Apan wala sila mosunod sa maong mga maghuhukom. Wala sila magmatinumanon sa 
JDG.2.18	Inighatag sa 
JDG.2.19	Apan inigkamatay sa maghuhukom, mamalik na usab ang katawhan sa naandan nilang paagi sa pagkinabuhi ug labi pang ngil-ad ang buhaton nila kay sa kaliwatan nga gisundan nila. Simbahon nila ang laing mga dios ug nagdumili sila pagbiya sa ilang daotan ug masupilong kinabuhi. 
JDG.2.20	Nasuko pag-ayo ang 
JDG.2.21	dili ko na abugon ang mga nasod nga nahibilin pa sa pagkamatay ni Josue. 
JDG.2.22	Niining paagiha maila ko kon motuman ba o dili ang mga Israelita sa akong sugo sama sa gibuhat sa ilang mga katigulangan.” 
JDG.2.23	Busa gipasagdan sa 
JDG.3.1	Ang 
JDG.3.2	Gituyo kini niya aron pagtudlo sa matag kaliwatan sa mga Israelita mahitungod sa gubat labi na niadtong wala pa gayod makasinatig gubat. 
JDG.3.3	Ang nahibilin mao ang lima ka siyudad sa mga Filistihanon, ang tanang mga Canaanhon, ang mga Sidonihanon ug ang mga Hibihanon nga nagpuyo sa Kabukiran sa Lebanon gikan sa Bukid sa Baal Hermon hangtod sa Agianan sa Hamat. 
JDG.3.4	Sila maoy gigamit aron pagsulay sa mga Israelita kon motuman ba sila o dili sa mga sugo nga gihatag sa 
JDG.3.5	Busa ang mga Israelita namuyo tipon sa mga Canaanhon, sa mga Hitihanon, sa mga Amorihanon, sa mga Perisihanon, sa mga Hibihanon ug sa mga Jebusihanon. 
JDG.3.6	Nakigminyo sila sa katawhan ug misimba sa ilang mga diosdios.
JDG.3.7	Ang mga Israelita nalimot sa 
JDG.3.8	Busa nasuko ang 
JDG.3.9	Unya ang mga Israelita mituaw sa 
JDG.3.10	Ang espiritu sa 
JDG.3.11	Nagmalinawon ang Israel sulod sa 40 ka tuig. Unya namatay si Otniel nga anak ni Kenes.
JDG.3.12	Ang mga Israelita nagpakasala na usab batok sa 
JDG.3.13	Si Eglon nakig-abin sa mga Amorihanon ug sa mga Amalekanhon ug gibuntog nila ang Israel ug giilog nila ang siyudad sa mga palmera. 
JDG.3.14	Giulipon ni Eglon ang Israel sulod sa 18 ka tuig.
JDG.3.15	Unya ang mga Israelita mituaw sa 
JDG.3.16	Naghimo si Ehud ug usa ka punyal nga duhay sulab nga tunga sa metro ang gitas-on. Gitakin niya kini sa iyang tuong kilid ilalom sa iyang bisti. 
JDG.3.17	Unya gidala niya ang mga gasa ngadto kang Eglon. Si Eglon usa tawo nga tambok kaayo. 
JDG.3.18	Sa gikahatag na ni Ehud ang mga gasa ngadto kang Eglon, gipapauli niya ang mga tawo nga nagdala sa mga gasa. 
JDG.3.19	Apan sa didto na si Ehud sa Gilgal duol sa kinulitang bato, mibalik siya sa hari ug miingon, “Kamahalan, may sikreto akong ibalita kanimo.”
JDG.3.19	Ang hari miingon sa iyang mga sinaligan, “Biyai una kami!” Busa nanggula sila.
JDG.3.20	Samtang nag-inusara paglingkod ang hari sa iyang bugnaw nga lawak sa itaas, miduol kaniya si Ehud ug miingon, “May mensahe ako gikan sa Dios alang kanimo.” Mitindog ang hari. 
JDG.3.21	Pinaagi sa iyang walang kamot gilanit ni Ehud ang punyal gikan sa tuo niyang kilid ug gidunggab ang tiyan sa hari. 
JDG.3.22	Mitaop ang tibuok punyal bisan gani ang puloan niini ug nalubong kini sa tambok tungod kay wala man kini hulbota ni Ehud ug nagpabilin diha sa tiyan sa hari ug migawas ang hugaw gikan niini. 
JDG.3.23	Unya migula si Ehud, gitakpan niya ang mga pultahan sa likod ug gikandadohan 
JDG.3.24	ug mipahawa siya. Nangabot ang mga sulugoon ug nakita nila nga gikandadohan ang mga pultahan. Nagdahom sila nga diha sa sulod ang hari nangasilyas. 
JDG.3.25	Dugay silang nagpaabot apan wala gayod mogula ang hari. Busa gikuha nila ang yawi ug giablihan ang pultahan. Nakita nila ang ilang agalon nga nagbuy-od sa salog nga patay na.
JDG.3.26	Miikyas si Ehud samtang naghulat sila. Miagi siya sa kinulit nga mga bato ug miikyas ngadto sa Seirata. 
JDG.3.27	Pag-abot niya didto, gipatingog niya ang budyong nga sungay sa laking karnero didto sa kabungtoran sa Efraim aron pagtawag sa mga Israelita alang sa gubat. Unya gipangulohan niya sila gikan sa kabungtoran. 
JDG.3.28	Giingnan niya sila, “Sunod kamo kanako! Padag-on kamo sa 
JDG.3.29	Niadtong adlawa nakapatay silag mga 10,000 ka isog ug kusgan nga mga sundalong Moabihanon. Walay usa kanila nga nakaikyas. 
JDG.3.30	Sa maong adlaw gibuntog sa Israel ang Moab. Ug nagmalinawon ang nasod sulod sa 80 ka tuig.
JDG.3.31	Ang sunod nga maghuhukom mao si Samgar nga anak ni Anat. Nakapatay siyag 600 ka mga Filistihanon pinaagi sa tugsok sa ilong sa baka. Giluwas usab niya ang Israel gikan sa mga kaaway.
JDG.4.1	Human mamatay si Ehud, ang mga Israelita nagpakasala na usab sa 
JDG.4.2	Busa gitugyan sila sa 
JDG.4.3	Si Jabin may 900 ka karwahing puthaw. Gidaugdaog ug gidagmalan niya ang mga Israelita sulod sa 20 ka tuig. Busa ang mga Israelita nagpakitabang sa 
JDG.4.4	Niadtong panahona ang maghuhukom sa Israel mao si Deborah nga usa ka propeta ug asawa ni Lapidot. 
JDG.4.5	Nabatasan niya ang paglingkod ilalom sa usa ka punoan sa palmera didto sa tungatunga sa Rama ug sa Betel sa kabungtoran sa Efraim. Ang mga Israelita moadto kang Deborah aron mangayo sa iyang hukom. 
JDG.4.6	Unya gipakuha ni Deborah si Barac nga anak ni Abinoam nga taga-siyudad sa Cades sa Neftali ug giingnan, “Ang 
JDG.4.7	Dad-on sa 
JDG.4.8	Si Barac miingon kang Deborah, “Moadto lamang ako kon mokuyog ka.”
JDG.4.9	Si Deborah mitubag, “Hala, mokuyog ako. Apan dili maimo ang dungog kay si Sisera itugyan ngadto sa usa ka babaye.” Busa mikuyog si Deborah kang Barac ngadto sa Cades. 
JDG.4.10	Gitigom ni Barac ang mga banay ni Zabulon ug Neftali ngadto sa Cades ug 10,000 ka tawo ang miuban kaniya. Mikuyog usab kaniya si Deborah.
JDG.4.11	Niadtong higayona si Heber nga Kenihanon nagtolda duol sa Cades duol sa kahoyng tugas sa Saananim. Nagpalayo siya sa ubang Kenihanon nga mga kaliwat ni Hobab nga bayaw ni Moises.
JDG.4.12	Nabalitaan ni Sisera nga si Barac nga anak ni Abinoam mitungas sa Bukid sa Tabor. 
JDG.4.13	Busa gitigom dayon niya ang iyang 900 ka karwahi ug ang tanan niyang mga tawo ug mibiya gikan sa Haroset-sa-kanasoran paingon sa Suba sa Kison.
JDG.4.14	Ug miingon si Deborah kang Barac, “Dasdas! Mao kini ang adlawng padag-on ka sa 
JDG.4.15	Ug pinaagi kang Barac ug sa iyang kasundalohan, gibuntog sa 
JDG.4.16	Gigukod ni Barac ang mga karwahi ug ang kasundalohan ni Sisera ngadto sa Haroset-sa-kanasoran. Ug nahurot ug kamatay ang kasundalohan ni Sisera.
JDG.4.17	Miikyas si Sisera ngadto sa tolda ni Jael nga asawa ni Heber nga Kenihanon tungod kay managhigala man si Jabin nga hari sa Hazor ug ang pamilya ni Heber. 
JDG.4.18	Migula si Jael aron pagsugat kang Sisera ug giingnan niya, “Dayon sa akong tolda. Ayaw kahadlok.” Busa misulod si Sisera ug gitabonan siya ni Jael ug alpombra.
JDG.4.19	Giingnan ni Sisera si Jael, “Paimna intawon ko kay giuhaw ko.” Gibuksan ni Jael ang panit nga sudlanag gatas ug gipainom niya si Sisera ug unya gitabonan na usab siya. 
JDG.4.20	Unya giingnan siya ni Sisera, “Tindog diha sa pultahan sa tolda ug kon adunay moabot ug mangutana kanimo kon may tawo ba sa sulod, ingna nga wala.”
JDG.4.21	Labihang kapuya ni Sisera busa nakatulog siya pag-ayo. Unya mikuha si Jael ug martilyo ug ugsok sa tolda ug mihinay siya pagduol ug gidukdok niya ang ugsok ngadto sa kilid sa ulo ni Sisera. Milapos ngadto sa yuta ang ugsok ug namatay si Sisera. 
JDG.4.22	Sa pag-abot ni Barac nga nangita kang Sisera, gisugat siya ni Jael ug giingnan, “Dali ngari! Ipakita ko kanimo ang tawo nga imong gipangita.” Busa misulod siya ug didto sa yuta nagbuy-od si Sisera nga patay na nga gilagbasan sa ugsok ang iyang ulo.
JDG.4.23	Niadtong adlawa gihatagan sa Dios ug kadaogan ang katawhan sa Israel batok kang Jabin nga hari sa Canaan. 
JDG.4.24	Nagpadayon pagdasdas ang mga Israelita batok kang Jabin hangtod nga nabuntog nila siya sa hingpit.
JDG.5.1	Niadtong adlawa giawit ni Deborah ug ni Barac nga anak ni Abinoam kining mosunod:
JDG.5.2	Dayga ninyo ang 
JDG.5.2	Ang mga pangulo sa mga Israelita
JDG.5.2	nag-una sa pagpakiggubat ug ang katawhan madasigong mitabang!
JDG.5.3	Pamati, kamong mga hari
JDG.5.3	ug kamong mga pangulo!
JDG.5.3	Mag-awit ako ug magtugtog ug honi
JDG.5.3	ngadto sa 
JDG.5.4	O 
JDG.5.4	milinog ug miulan.
JDG.5.4	Oo, mibuhagay ang tubig gikan sa kapanganoran.
JDG.5.5	Natay-og
JDG.5.5	atubangan sa 
JDG.5.6	Sa mga adlaw ni Samgar nga anak ni Anat,
JDG.5.6	sa panahon ni Jael,
JDG.5.6	ang dagkong kadalanan wala na agii sa mga magpapatigayon
JDG.5.6	ug ang mga magpapanaw didto na agi sa gagmayng dalan.
JDG.5.7	Ang mga lungsod sa Israel gipasagdan ug gitalikdan
JDG.5.7	hangtod nga miabot ka, O Deborah, ingon nga inahan sa Israel.
JDG.5.8	Dili ba may gubat man sa Israel
JDG.5.8	sa panahon nga ang mga Israelita nagpilig bag-ong mga dios?
JDG.5.8	Sa 40,000 ka Israelita,
JDG.5.8	may nagdala bag bangkaw ug taming?
JDG.5.9	Ang kasingkasing ko dapig sa mga pangulo sa Israel
JDG.5.9	ug sa katawhan nga malipayong mitabang.
JDG.5.9	Dayga ninyo ang 
JDG.5.10	Isugilon ninyo kini, kamong nagkabayo sa puting asno
JDG.5.10	ug naglingkod sa muntora
JDG.5.10	ug naglakaw sa kadalanan.
JDG.5.11	Pamatia ninyo! Ang saba nga katawhan
JDG.5.11	ug naghisgot sa kadaogan
JDG.5.11	sa 
JDG.5.11	Unya ang katawhan sa 
JDG.5.12	Pag-una, Deborah! Pag-una!
JDG.5.12	Pag-una ug pag-awit!
JDG.5.12	Una, Barac, anak ni Abinoam,
JDG.5.12	dad-a ang imong mga binihag!
JDG.5.13	Unya ang mga matinud-anong nahibilin nangadto sa ilang mga pangulo;
JDG.5.13	ang katawhan sa 
JDG.5.14	Gikan
JDG.5.14	nagsunod sa banay ni Benjamin.
JDG.5.14	Gikan sa Makir ug sa Zabulon
JDG.5.14	nangadto ang mga pangulo ug ang mga opisyal.
JDG.5.15	Nangabot uban kang Deborah ang mga pangulo sa Isacar.
JDG.5.15	Oo, si Isacar ug si Barac miabot.
JDG.5.15	Apan ang banay ni Ruben nagkabahinbahin;
JDG.5.15	ug wala moadto.
JDG.5.16	Nganong nagpabilin man sila uban sa mga karnero?
JDG.5.16	Aron ba sa pagpamati sa mga magbalantay nga nagtawag sa mga karnero?
JDG.5.16	Oo, ang banay ni Ruben wala magkauyon ug wala moadto.
JDG.5.17	Sa silangan sa Jordan didto magpuyo ang banay ni Gad
JDG.5.17	ug ang banay ni Dan didto magpabilin sa mga barko.
JDG.5.17	Ang banay usab ni Aser didto magpuyo sa mga kabaybayonan.
JDG.5.18	Apan gitahan sa katawhan sa Neftali ug sa Zabulon
JDG.5.18	ang ilang kinabuhi didto sa panggubatan.
JDG.5.19	Didto sa Tanac, daplin sa sapa sa Magido,
JDG.5.19	nangadto ang mga hari sa Canaan ug nakiggubat
JDG.5.19	apan wala silay nakuhang salapi.
JDG.5.20	Gikan sa kalangitan ang mga bituon nakig-away;
JDG.5.20	gitadlas nila ang langit ug gigubat nila si Sisera.
JDG.5.21	Ang Suba sa Kison mibaha ug mibanlas kanila.
JDG.5.21	Modasdas ako, uban sa kagahom!
JDG.5.22	Unya nanagan ang mga kabayo
JDG.5.22	ug nagpanghagtok sa yuta ang ilang mga tiil.
JDG.5.23	“Tungloha ang Meroz,” matod sa anghel sa 
JDG.5.23	“Tungloha ang nagpuyo didto kay wala man sila moadto
JDG.5.23	aron pagtabang sa 
JDG.5.23	ug sa pagpakiggubat alang kaniya.”
JDG.5.24	Si Jael, asawa ni Heber nga Kenihanon,
JDG.5.24	maoy labawng palaran sa mga babaye nga nagpuyo sa mga tolda.
JDG.5.25	Nangayog tubig si Sisera
JDG.5.25	apan gatas ang iyang gihatag diha sa nindot nga panaksan.
JDG.5.26	Unya sa usa ka kamot gigunitan niya ang martilyo
JDG.5.26	ug ang ugsok sa tolda diha sa pikas;
JDG.5.26	gidukdok niya kini ngadto sa ulo ni Sisera
JDG.5.26	ug milagbas kini—ug nagupok ang iyang ulo.
JDG.5.27	Natumba si Sisera ug nalup-og siya sa tiilan ni Jael,
JDG.5.27	nagbuy-od siya nga wala nay gininhawa.
JDG.5.28	Sa bintana nga may rehas ang inahan ni Sisera
JDG.5.28	milili ug milantaw,
JDG.5.28	“Nganong wala pa man moabot ang karwahi niya?
JDG.5.28	Nganong dugay mang nahibalik ang iyang mga kabayo?”
JDG.5.29	Mitubag ang labing maalamon niyang mga prinsesa
JDG.5.29	ug sa kaugalingon siya nagkanayon,
JDG.5.30	“Nangita lang silag mga butang nga buot nilang ilogon ug bahinon—
JDG.5.30	usa o duha ka babaye alang sa matag sundalo,
JDG.5.30	mahal nga bisti alang kang Sisera
JDG.5.30	ug binordahang panapton alang sa liog sa rayna.”
JDG.5.31	Busa laglaga, O 
JDG.5.31	ug modan-ag unta ang mga higala mo sama sa adlaw nga nagsubang!
JDG.5.31	Unya nagmalinawon ang nasod sulod sa 40 ka tuig.
JDG.6.1	Nagpakasala na usab batok sa 
JDG.6.2	Ang mga Midianhon mas gamhanan kay sa mga Israelita. Tungod niini nanago ang mga Israelita sa mga langub ug sa ubang dapit sa kabungtoran. 
JDG.6.3	Inigpananom sa mga Israelita, sulongon sila sa mga Midianhon, sa mga Amalekanhon ug sa mga tribo nga taga-diserto. 
JDG.6.4	Kining mga kaaway sa mga Israelita magkampo sa yuta sa Israel ug laglagon nila ang mga anihon hangtod sa Gaza. Wala silay ibilin nga kabuhian sa mga Israelita bisan ganig karnero, baka o asno. 
JDG.6.5	Mangabot sila uban sa ilang mga baka ug tolda sama ka baga sa mga dulon. Sila ug ang ilang mga kamelyo dili maihap. Dako kaayong kadaot ang ilang nahimo 
JDG.6.6	ug walay nahimo ang Israel batok kanila. Unya ang katawhan sa Israel mituaw sa 
JDG.6.7	Sa dihang mituaw ang mga Israelita ngadto sa 
JDG.6.8	ang 
JDG.6.9	Giluwas ko kamo gikan sa mga Ehiptohanon ug sa inyong mga kaaway dinhi. Giabog ko sila sa dihang nangabot kamo ug gihatag ko kaninyo ang ilang yuta. 
JDG.6.10	Giingnan ko kamo nga ako mao ang 
JDG.6.11	Unya ang anghel sa 
JDG.6.12	Unya nagpakita kaniya ang anghel sa 
JDG.6.13	Si Gideon miingon kaniya, “Nag-uban kanamo? Nganong nahitabo man kini kanamo kon nag-uban pa kanamo ang 
JDG.6.14	Unya giingnan siya sa 
JDG.6.15	Ug mitubag siya, “Apan, 
JDG.6.16	Ug ang 
JDG.6.17	Si Gideon mitubag, “Kon nahimuot ka kanako hatagi akog timailhan nga ikaw gayod maoy nagsulti. 
JDG.6.18	Palihog ayaw paglakaw hangtod kadalitan ko ikaw ug pagkaon.”
JDG.6.18	Siya miingon, “Magpabilin ako hangtod nga mahibalik ka.”
JDG.6.19	Unya si Gideon misulod sa iyang balay, naghikay ug nating kanding ug naghimog pan gikan sa mga 10 ka kilo nga harina nga walay patubo. Gisulod niya sa basket ang karne ug sa kulon ang sabaw ug gidala niya ngadto sa anghel nga didto tungod sa kahoy nga tugas ug gidalit kini kaniya. 
JDG.6.20	Unya giingnan siya sa anghel, “Ibutang niining batoha ang karne ug ang pan ug ibubo niini ang sabaw.” Ug gibuhat kini ni Gideon. 
JDG.6.21	Gikuhit sa anghel ang karne ug ang pan pinaagi sa tumoy sa lipak nga gikuptan niya. Migula ang kalayo gikan sa bato ug misunog sa karne ug sa pan. Unya nahanaw ang anghel.
JDG.6.22	Unya mituo si Gideon nga anghel sa 
JDG.6.23	Apan giingnan siya sa 
JDG.6.24	Nagtukod si Gideon didto ug halaran alang sa 
JDG.6.25	Nianang gabhiona ang 
JDG.6.26	Pagtukod ug halaran alang sa 
JDG.6.27	Busa nagdala si Gideon ug napulo ka sulugoon ug gibuhat niya ang gisugo sa 
JDG.6.28	Sayo sa buntag sa pagmata sa mga tawo sa lungsod, nakita nila nga naguba na ang halaran alang kang Baal ug ang tukon ni Asera. Nakita usab nila ang ikaduhang torong baka nga gisunog ibabaw sa halaran nga gipuli pagtukod didto. 
JDG.6.29	Nagpangutan-anay sila, “Kinsa bay nagbuhat niini?” Gisusi nila kini ug nasayran nila nga si Gideon nga anak ni Joas maoy nagbuhat niini. 
JDG.6.30	Unya giingnan nila si Joas, “Dad-a ngari ang imong anak aron among patyon! Giguba niya ang halaran alang kang Baal ug giputol ang tukon ni Asera nga tupad niini.”
JDG.6.31	Apan giingnan ni Joas ang tanan nga miatubang kaniya, “Molaban ba kamo kang Baal? Bisan kinsa nga molaban kaniya patyon sa dili pa mabuntag. Kon dios si Baal, siya maoy manalipod sa iyang kaugalingon. Halaran niya kining giguba.” 
JDG.6.32	Sukad niadto si Gideon naila nga si Jerubaal
JDG.6.33	Unya ang tanang mga Midianhon, ang mga Amalekanhon ug ang mga katawhan sa kamingawan nagtigom unya nanabok sa Suba sa Jordan ug nagkampo sa Patag sa Jezreel. 
JDG.6.34	Unya si Gideon gigamhan sa espiritu sa 
JDG.6.35	Nagpadala siyag mga mensahe sa tibuok kayutaan sa banay ni Manases aron pag-awhag kanila pagsunod kaniya. Nagsugo siyag mga mensahero ngadto sa mga banay ni Aser, ni Zabulon ug ni Neftali ug nangadto usab sila aron pagtipon kaniya.
JDG.6.36	Unya si Gideon miingon sa Dios, “Nagsulti ka nga gamiton mo ako pagluwas sa Israel. 
JDG.6.37	Kon mao kana, magbutang akog balhibo sa karnero diha sa yuta nga among giukanag trigo. Kon sa pagkabuntag may yamog ang balhibo sa karnero apan uga ang yuta, masayran ko nga tinuod gayod nga luwason mo ang Israel pinaagi kanako.” 
JDG.6.38	Ug mao gayod kini ang nahitabo. Sayong mibangon si Gideon pagkabuntag, gilubag niya ang balhibo ug nakapuga siyag tubig nga igong makapuno ug panaksan. 
JDG.6.39	Unya si Gideon miingon sa Dios, “Ayaw kasuko kanako. Pasultiha pa akog kausa. Tugoti ako nga sulayan ko kini pag-usab. Paugha ang balhibo ug diha lamang sa yuta ang yamog.” 
JDG.6.40	Niadtong gabhiona gibuhat kini sa Dios. Ang balhibo lamang ang uga apan ang yuta nahumod sa yamog.
JDG.7.1	Si Gideon (o Jerubaal) ug ang tanan niyang mga tawo sayong namangon ug nagkampo duol sa Tubod sa Harod. Ang kampo sa mga Midianhon didto mahimutang sa walog sa amihanan sa Bungtod sa More.
JDG.7.2	Ang 
JDG.7.3	Sultihi
JDG.7.4	Ang 
JDG.7.5	Gidala ni Gideon ang mga sundalo ngadto sa suba ug ang 
JDG.7.6	Dihay 300 ka tawo nga mikabo sa tubig pinaagi sa ilang kamot ug milala niini. Ang uban nangluhod aron sa pag-inom. 
JDG.7.7	Unya ang 
JDG.7.8	Gipapauli ni Gideon ang tanang mga Israelita gawas sa 300 ka tawo ug gipanguha nila ang mga kasangkapan ug ang mga budyong nga sungay. Ang kampo sa mga Midianhon nahimutang sa patag sa ubos nila.
JDG.7.9	Niadtong gabhiona giingnan sa 
JDG.7.10	Apan kon mahadlok ka pagsulong, lugsong ngadto sa kampo sa mga Midianhon uban sa sulugoon mo nga si Pura. 
JDG.7.11	Madungog mo ang ilang panagsultihan ug makaangkon kag kaisog sa pagsulong kanila.” Busa si Gideon ug ang iyang sulugoon nga si Pura nanglugsong ngadto sa duol sa kampo sa mga kaaway. 
JDG.7.12	Ang mga Midianhon, ang mga Amalekanhon ug ang katawhan sa kamingawan nagkatap sa walog sama sa mga dulon nga mihugpa ug daghan kaayo silag mga kamelyo sama sa balas sa kabaybayonan.
JDG.7.13	Pag-abot ni Gideon, nadungog niya ang usa ka tawo nga misugilon sa iyang damgo ngadto sa iyang higala. Matod niya, “Nagdamgo ako nga may usa ka buok pan nga sebada nga naligid nganhi sa atong kampo ug naigo ang tolda. Natumba ang tolda ug nahapla sa yuta.”
JDG.7.14	Mitubag ang higala niya, “Mao kana ang espada ni Gideon nga Israelita, ang anak ni Joas. Walay laing kahulogan niana! Padag-on sa Dios si Gideon batok sa Midian ug sa tanan tang kasundalohan!”
JDG.7.15	Pagkadungog ni Gideon mahitungod sa damgo ug sa kahulogan niini, miluhod siya ug misimba sa Dios. Unya mibalik siya sa kampo sa mga Israelita ug miingon, “Bangon kamo! Itugyan sa 
JDG.7.16	Gibahinbahin niya sa tulo ka pundok ang iyang 300 ka tawo ug ang tagsatagsa gihatagan niyag budyong nga sungay ug tadyaw nga may sulo sa sulod niini. 
JDG.7.17	Giingnan niya sila, “Tan-awa ninyo ako ug buhata ang buhaton ko inig-abot ko sa duol sa kampo. 
JDG.7.18	Inigpatingog namo sa among budyong, patingoga usab ang inyo libot sa kampo ug paninggit kamo, ‘Alang sa 
JDG.7.19	Si Gideon ug ang iyang 100 ka tawo miabot duol sa kampo sa wala pay tungang gabii human lamang gayod pulihi ang guwardiya. Unya gipatingog nila ang mga budyong ug gibuak ang mga tadyaw nga ilang gibitbit. 
JDG.7.20	Ang tulo ka grupo mibudyong ug mibuak sa ilang mga tadyaw. Sa wala nilang kamot gibitbit nila ang sulo ug sa tuong kamot ang budyong ug naninggit sila, “Espada alang sa 
JDG.7.21	Ang matag tawo nagbarog didto sa ilang dapit libot sa kampo ug ang tibuok kasundalohan sa kaaway nanagan ug naninggit. 
JDG.7.22	Samtang nagbudyong ang 300 ka tawo, gipaunay sa 
JDG.7.23	Unya gipanawag ang sakop sa banay ni Neftali, ni Aser ug ni Manases ug gigukod nila ang mga Midianhon. 
