GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
DEU.4.3	Gwelsoch â'ch llygaid eich hunain yr hyn a wnaeth yr 
DEU.4.4	ond yr ydych chwi i gyd sydd wedi glynu wrth yr 
DEU.4.5	Gwelwch fy mod wedi dysgu ichwi'r deddfau a'r cyfreithiau, fel y gorchmynnodd yr 
DEU.4.6	Gofalwch eu cadw, oherwydd dyma fydd eich doethineb a'ch deall yng ngolwg y bobloedd; a phan glywant hwy y deddfau hyn, byddant yn dweud, “Yn wir pobl ddoeth a deallus yw'r genedl fawr hon.” 
DEU.4.7	Yn wir pa genedl fawr sydd a chanddi dduw mor agos ati ag yw'r 
DEU.4.8	A pha genedl fawr sydd a chanddi ddeddfau a chyfreithiau mor gyfiawn â'r holl gyfraith hon yr wyf yn ei gosod o'ch blaen heddiw?
DEU.4.9	Bydd ofalus, a gwylia'n ddyfal rhag iti anghofio'r pethau a welodd dy lygaid, a rhag iddynt gilio o'th feddwl holl ddyddiau dy fywyd; dysga hwy i'th blant ac i blant dy blant. 
DEU.4.10	Y dydd pan oeddit ti yn sefyll o flaen yr 
DEU.4.11	Daethoch chwi yn agos, a sefyll wrth droed y mynydd, ac yr oedd y mynydd yn llosgi gan dân hyd entrych y nefoedd; ac yr oedd yno dywyllwch, cwmwl a chaddug. 
DEU.4.12	Llefarodd yr 
DEU.4.13	Mynegodd i chwi ei gyfamod, sef y deg gorchymyn yr oedd yn eu gorchymyn i chwi eu cadw, ac ysgrifennodd hwy ar ddwy lechen. 
DEU.4.14	Yr adeg honno gorchmynnodd yr 
DEU.4.15	Gan na welsoch unrhyw ffurf, y dydd y llefarodd yr 
DEU.4.16	gofalwch beidio â gweithredu'n llygredig trwy wneud i chwi eich hunain ddelw ar ffurf unrhyw fath ar gerflun, na ffurf dyn na gwraig, 
DEU.4.17	nac unrhyw anifail ar y ddaear, nac unrhyw aderyn sy'n hedfan yn yr awyr, 
DEU.4.18	nac unrhyw beth sy'n ymlusgo ar y ddaear, nac unrhyw bysgodyn sydd yn y dŵr dan y ddaear. 
DEU.4.19	Gwylia hefyd na fyddi'n codi dy olwg i'r nefoedd ac edrych ar yr haul, y lleuad neu'r sêr, holl lu'r nefoedd, a chael dy ddenu i ymgrymu iddynt a'u haddoli; neilltuodd yr 
DEU.4.20	Ond cymerodd yr 
DEU.4.21	Yr oedd yr 
DEU.4.22	Byddaf fi yn marw yn y wlad hon, ac ni chaf groesi'r Iorddonen, ond byddwch chwi yn croesi ac yn meddiannu'r wlad dda hon. 
DEU.4.23	Byddwch ofalus rhag anghofio'r cyfamod a wnaeth yr 
DEU.4.24	Oherwydd tân yn ysu yw'r 
DEU.4.25	Pan fydd gennych blant ac wyrion, a chwithau wedi mynd yn hen yn y wlad, os byddwch yn gweithredu'n llygredig trwy wneud delw gerfiedig ar unrhyw ffurf, ac yn gwneud drwg yng ngolwg yr 
DEU.4.26	yna yr adeg honno byddaf yn galw ar y nefoedd a'r ddaear i dystio yn eich erbyn, a byddwch yn sicr o ddiflannu'n gyflym o'r wlad yr ydych wedi croesi'r Iorddonen i'w meddiannu; ni chewch aros yno'n hir, ond fe'ch difethir yn llwyr. 
DEU.4.27	Bydd yr 
DEU.4.28	Yna byddwch yn addoli duwiau o waith dwylo dynol, duwiau o bren a cherrig, nad ydynt yn gweld nac yn clywed nac yn bwyta nac yn arogli. 
DEU.4.29	Os byddwch yn ceisio'r 
DEU.4.30	Pan fydd yn gyfyng arnat, a'r holl bethau hyn yn digwydd iti yn y dyddiau sy'n dod, yna tro at yr 
DEU.4.31	Oherwydd Duw trugarog yw'r 
DEU.4.32	Ystyria'r dyddiau gynt, cyn dy amser di, o'r dydd y creodd Duw ddyn ar y ddaear, a chwilia'r nefoedd o un cwr i'r llall. A fu peth mor fawr â hyn, neu a glywyd am beth tebyg? 
DEU.4.33	A glywodd pobl lais Duw yn llefaru o ganol tân, fel y clywaist ti, a byw? 
DEU.4.34	A geisiodd unrhyw dduw ddod i gymryd iddo'i hun genedl o ganol cenedl trwy dreialon, arwyddion, rhyfeddodau, a brwydr, ac â llaw gadarn a braich estynedig a llawer o bethau arswydus, fel y gwnaeth yr 
DEU.4.35	Cefaist ti brofi hyn er mwyn iti wybod mai'r 
DEU.4.36	Parodd iti glywed ei lais o'r nefoedd i'th ddisgyblu, a dangosodd iti ei dân mawr ar y ddaear, a chlywaist ei eiriau o ganol y tân. 
DEU.4.37	Am iddo garu dy hynafiaid a dewis eu plant ar eu hôl, y daeth â thi allan o'r Aifft trwy ei bresenoldeb â nerth mawr, 
DEU.4.38	a gyrru allan o'th flaen genhedloedd oedd yn fwy ac yn gryfach na thi, a'th arwain a rhoi iti eu gwlad yn etifeddiaeth, fel y mae heddiw. 
DEU.4.39	Heddiw yr wyt ti i gydnabod ac i ystyried mai'r 
DEU.4.40	Cadw ei ddeddfau, a'r gorchmynion yr wyf yn eu gorchymyn iti heddiw, fel y bydd yn dda arnat ac ar dy blant ar dy ôl, ac iti gael oes faith ar y ddaear y mae'r 
DEU.4.41	Yna neilltuodd Moses dair dinas yn y dwyrain, yn y tir y tu hwnt i'r Iorddonen, 
DEU.4.42	er mwyn i'r sawl a fyddai'n lladd ei gymydog yn anfwriadol, heb elyniaeth rhyngddynt yn flaenorol, gael ffoi iddynt. Trwy ffoi i un o'r dinasoedd hyn byddai'n arbed ei fywyd. 
DEU.4.43	Y dinasoedd oedd: Beser yng ngwastatir yr anialwch ar gyfer y Reubeniaid; Ramoth yn Gilead ar gyfer y Gadiaid; Golan yn Basan ar gyfer y Manasseaid.
DEU.4.44	Dyma'r gyfraith a osododd Moses gerbron yr Israeliaid. 
DEU.4.45	A dyma'r rheolau, y deddfau a'r cyfreithiau a lefarodd Moses wrth yr Israeliaid, wedi iddynt ddod allan o'r Aifft, 
DEU.4.46	pan oeddent y tu hwnt i'r Iorddonen yn y dyffryn gyferbyn â Beth-peor yng ngwlad Sihon brenin yr Amoriaid, a oedd yn byw yn Hesbon ac a orchfygwyd gan Moses a'r Israeliaid ar eu taith allan o'r Aifft. 
DEU.4.47	Cymerasant ei wlad ef a gwlad Og brenin Basan, dau frenin yr Amoriaid oedd yn y dwyrain, yn y diriogaeth y tu hwnt i'r Iorddonen. 
DEU.4.48	Yr oedd y diriogaeth yn ymestyn o Aroer, ar lan nant Arnon, at Fynydd Sirion
DEU.4.49	ac yn cynnwys y cyfan o'r Araba i'r dwyrain o'r Iorddonen, hyd at fôr yr Araba islaw llethrau Pisga.
DEU.5.1	Galwodd Moses ar Israel gyfan, a dywedodd wrthynt: O Israel, gwrandewch ar y deddfau a'r cyfreithiau yr wyf yn eu llefaru yn eich clyw heddiw. Dysgwch hwy, a gofalwch eu gweithredu. 
DEU.5.2	Gwnaeth yr 
DEU.5.3	Nid â'n hynafiaid y gwnaeth yr 
DEU.5.4	Llefarodd yr 
DEU.5.5	Yr adeg honno yr oeddwn i yn sefyll rhwng yr 
DEU.5.6	“Myfi yw'r 
DEU.5.7	“Na chymer dduwiau eraill ar wahân i mi.
DEU.5.8	“Na wna iti ddelw gerfiedig ar ffurf dim sydd yn y nefoedd uchod na'r ddaear isod nac yn y dŵr o dan y ddaear; 
DEU.5.9	nac ymgryma iddynt na'u gwasanaethu, oherwydd yr wyf fi, yr 
DEU.5.10	ond yn dangos trugaredd i filoedd o'r rhai sy'n fy ngharu ac yn cadw fy ngorchmynion.
DEU.5.11	“Na chymer enw'r 
DEU.5.12	“Cadw'r dydd Saboth yn gysegredig, fel y gorchmynnodd yr 
DEU.5.13	Chwe diwrnod yr wyt i weithio a gwneud dy holl waith, 
DEU.5.14	ond y mae'r seithfed dydd yn Saboth yr 
DEU.5.15	Cofia iti fod yn gaethwas yng ngwlad yr Aifft, ac i'r 
DEU.5.16	“Anrhydedda dy dad a'th fam, fel y gorchmynnodd yr 
DEU.5.17	“Na ladd.
DEU.5.18	“Na odineba.
DEU.5.19	“Na ladrata.
DEU.5.20	“Na ddwg gamdystiolaeth yn erbyn dy gymydog.
DEU.5.21	“Na chwennych wraig dy gymydog, na dymuno cael tŷ dy gymydog, na'i dir, na'i was, na'i forwyn, na'i ych, na'i asyn, na dim sy'n eiddo i'th gymydog.”
DEU.5.22	Llefarodd yr 
DEU.5.23	Pan glywsoch y llais o ganol y tywyllwch, a'r mynydd ar dân, yna daeth penaethiaid eich llwythau a'ch henuriaid ataf, 
DEU.5.24	a dywedasoch, “Dangosodd yr 
DEU.5.25	Yn awr, pam y byddwn ni farw? Bydd y tân mawr hwn yn sicr o'n difa, a byddwn farw, os bydd inni glywed llais yr 
DEU.5.26	A glywodd unrhyw un lais y Duw byw yn llefaru o ganol y tân, fel yr ydym ni wedi ei glywed, a byw? 
DEU.5.27	Dos di, a gwrando ar y cyfan a ddywed yr 
DEU.5.28	Pan glywodd yr 
DEU.5.29	O na fyddent yn meddwl fel hyn o hyd, ac yn fy ofni ac yn cadw'r cyfan o'm gorchmynion bob amser, fel y byddai'n dda iddynt hwy a'u plant am byth! 
DEU.5.30	Dos, a dywed wrthynt, ‘Ewch yn ôl i'ch pebyll.’ 
DEU.5.31	Saf di yma yn fy ymyl, ac fe lefaraf wrthyt yr holl orchmynion a'r deddfau a'r cyfreithiau yr wyt ti i'w dysgu iddynt, ac y maent hwy i'w cadw yn y wlad yr wyf yn ei rhoi iddynt i'w meddiannu.” 
DEU.5.32	Gofalwch wneud fel y mae'r 
DEU.5.33	Yr ydych i rodio yn ôl y cyfan a orchmynnodd yr 
DEU.6.1	Dyma'r gorchmynion, y deddfau a'r cyfreithiau y gorchmynnodd yr 
DEU.6.2	er mwyn i chwi ofni'r 
DEU.6.3	Gwrando, O Israel, a gofala eu cadw, fel y bydd yn dda arnat, ac y byddi'n cynyddu mewn gwlad yn llifeirio o laeth a mêl, fel yr addawodd yr 
DEU.6.4	Gwrando, O Israel: Y mae'r 
DEU.6.5	Câr di yr 
DEU.6.6	Y mae'r geiriau hyn yr wyf yn eu gorchymyn iti heddiw i fod yn dy galon. 
DEU.6.7	Yr wyt i'w hadrodd i'th blant, ac i sôn amdanynt pan fyddi'n eistedd yn dy dŷ ac yn cerdded ar y ffordd, a phan fyddi'n mynd i gysgu ac yn codi. 
DEU.6.8	Yr wyt i'w rhwymo yn arwydd ar dy law, a byddant yn rhactalau rhwng dy lygaid. 
DEU.6.9	Ysgrifenna hwy ar byst dy dŷ ac ar dy byrth.
DEU.6.10	Yna bydd yr 
DEU.6.11	hefyd tai yn llawn o bethau daionus na ddarparwyd mohonynt gennyt, a phydewau na chloddiwyd gennyt, a gwinllannoedd ac olewydd na phlannwyd gennyt. Pan fyddi'n bwyta ac yn cael dy ddigoni, 
DEU.6.12	gofala na fyddi'n anghofio'r 
DEU.6.13	Yr wyt i ofni'r 
DEU.6.14	Paid â dilyn duwiau eraill o blith duwiau'r cenhedloedd o'th amgylch, 
DEU.6.15	oherwydd y mae'r 
DEU.6.16	Peidiwch â gosod yr 
DEU.6.17	Gofalwch gadw gorchmynion yr 
DEU.6.18	Gwna'r hyn sydd uniawn a da yng ngolwg yr 
DEU.6.19	trwy yrru allan dy holl elynion o'th flaen, fel yr addawodd yr 
DEU.6.20	Pan fydd dy blentyn yn gofyn iti yn y dyfodol, “Beth yw ystyr y tystiolaethau, y deddfau a'r cyfreithiau a orchmynnodd yr 
DEU.6.21	yna dywed wrtho, “Yr oeddem ni yn gaethion i Pharo yn yr Aifft, a daeth yr 
DEU.6.22	ac yn ein gŵydd dangosodd arwyddion a rhyfeddodau mawr ac arswydus i'r Eifftiaid a Pharo a'i holl dŷ. 
DEU.6.23	Daeth â ni allan oddi yno er mwyn ein harwain i'r wlad y tyngodd i'n hynafiaid y byddai'n ei rhoi inni. 
DEU.6.24	A gorchmynnodd yr 
DEU.6.25	A bydd yn gyfiawnder inni os gofalwn gadw'r holl orchmynion hyn gerbron yr 
DEU.7.1	Bydd yr 
DEU.7.2	a phan fydd yr 
DEU.7.3	Paid â gwneud cytundeb priodas â hwy trwy roi dy ferched i'w meibion a chymryd eu merched yn wragedd i'th feibion, 
DEU.7.4	oherwydd fe wnânt i'th blant droi oddi wrthyf ac addoli duwiau eraill, a bydd yr 
DEU.7.5	Ond fel hyn yr ydych i wneud iddynt: tynnu i lawr eu hallorau, dinistrio eu colofnau, a malurio eu pyst Asera a llosgi eu delwau yn y tân.
DEU.7.6	Yr ydych chwi yn bobl sanctaidd i'r 
DEU.7.7	Nid am eich bod yn fwy niferus na'r holl bobloedd yr hoffodd yr 
DEU.7.8	Ond am fod yr 
DEU.7.9	Felly deallwch mai'r 
DEU.7.10	ond y mae'n talu'n ôl i'r rhai sy'n ei gasáu trwy eu difa; yn wir nid yw'n oedi i dalu'n ôl i'r rhai sy'n ei gasáu. 
DEU.7.11	Yr ydych i gadw'r gorchmynion, y deddfau a'r cyfreithiau yr wyf fi heddiw yn gorchymyn i chwi eu cadw.
DEU.7.12	Os byddwch yn gwrando ar y cyfreithiau hyn ac yn gofalu eu cadw, yna bydd yr 
DEU.7.13	Bydd yn eich caru, yn eich bendithio ac yn gwneud ichwi gynyddu; bydd hefyd yn bendithio'ch plant a chynnyrch eich tir, eich ŷd, eich gwin a'ch olew, ac epil eich gwartheg a'ch praidd yn y tir y tyngodd i'ch hynafiaid y byddai'n ei roi ichwi. 
DEU.7.14	Cewch eich bendithio yn fwy na'r holl bobloedd; ni fydd yr un ohonoch chwi, yn wryw na benyw, yn anffrwythlon, na'r un o'ch anifeiliaid. 
DEU.7.15	Fe dry'r 
DEU.7.16	Yr ydych i ddifa'r holl bobloedd y mae'r 
DEU.7.17	Hwyrach y byddwch yn dweud ynoch eich hunain, “Y mae'r cenhedloedd hyn yn fwy niferus na ni; sut felly y gallwn eu gyrru allan?” 
DEU.7.18	Peidiwch â'u hofni; daliwch i gofio'r hyn a wnaeth yr 
DEU.7.19	Gwelsoch â'ch llygaid eich hunain y treialon mawr, yr arwyddion a'r rhyfeddodau, ac fel y daeth yr 
DEU.7.20	Bydd yr 
DEU.7.21	Peidiwch ag arswydo o'u hachos, oherwydd bydd yr 
DEU.7.22	Fe fydd yr 
DEU.7.23	Bydd yr 
DEU.7.24	Bydd yn rhoi eu brenhinoedd yn eich llaw, a byddwch yn dileu eu henwau o dan y nefoedd; ni all unrhyw un eich gwrthsefyll nes i chwi eu dinistrio. 
DEU.7.25	Yr ydych i losgi delwau eu duwiau yn y tân; nid ydych i chwennych eu harian a'u haur, na'u cymryd, rhag iddynt fod yn fagl ichwi, oherwydd y maent yn ffieidd-dra i'r 
DEU.7.26	Nid ydych i ddwyn i'ch tŷ unrhyw ffieidd-dra, rhag i chwi fynd yn beth i'w ddifrodi fel yntau; yr ydych i'w ddirmygu'n llwyr a'i ffieiddio, oherwydd peth i'w ddifrodi ydyw.
DEU.8.1	Gofalwch gadw'r holl orchmynion yr wyf yn eu rhoi ichwi heddiw, er mwyn ichwi fyw a chynyddu a mynd i feddiannu'r wlad y tyngodd yr 
DEU.8.2	Cofiwch yr holl ffordd yr arweiniodd yr 
DEU.8.3	Darostyngodd chwi a dwyn newyn arnoch; yna fe'ch porthodd â manna, nad oeddech chwi na'ch hynafiaid yn gwybod beth oedd, er mwyn eich dysgu nad ar fara yn unig y bydd rhywun fyw, ond ar bopeth sy'n dod o enau'r 
DEU.8.4	Ni threuliodd y dillad oedd amdanoch, ac ni chwyddodd eich traed yn ystod y deugain mlynedd hyn. 
DEU.8.5	Ystyriwch fod yr 
DEU.8.6	Cadwch orchmynion yr 
DEU.8.7	oherwydd y mae'r 
DEU.8.8	gwlad lle mae gwenith a haidd, gwinwydd, ffigys a phomgranadau, olewydd a mêl; 
DEU.8.9	gwlad lle cewch fwyta heb brinder, a lle ni bydd arnoch angen am ddim; gwlad y mae ei cherrig yn haearn a lle y byddwch yn cloddio copr o'i mynyddoedd. 
DEU.8.10	Wedi ichwi fwyta a chael digon, byddwch yn bendithio'r 
DEU.8.11	Gofalwch na fyddwch yn anghofio'r 
DEU.8.12	Pan fyddwch wedi bwyta a chael digon, ac adeiladu tai braf i fyw ynddynt, 
DEU.8.13	a phan fydd eich gwartheg a'ch defaid yn cynyddu, a digon o arian ac aur gennych, a'ch holl eiddo yn cynyddu, 
DEU.8.14	yna peidiwch ag ymffrostio ac anghofio'r 
DEU.8.15	Ef oedd yn eich arwain trwy'r anialwch mawr a dychrynllyd, lle'r oedd seirff gwenwynig a sgorpionau, a thrwy dir sych heb ddim dŵr, lle y gwnaeth i ddŵr darddu allan i chwi o'r graig galed. 
DEU.8.16	Porthodd chwi hefyd yn yr anialwch â manna, nad oedd eich hynafiaid yn gwybod beth oedd, a hynny er mwyn eich darostwng a'ch profi, fel y byddai'n dda arnoch yn y diwedd. 
DEU.8.17	Os dywedwch, “Ein nerth ein hunain a chryfder ein dwylo a ddaeth â'r cyfoeth hwn inni”, 
DEU.8.18	yna cofiwch yr 
DEU.8.19	Os byddwch yn anghofio'r 
DEU.8.20	Fel y cenhedloedd a ddinistriodd yr 
DEU.9.1	Gwrando, O Israel, yr wyt ti heddiw yn croesi'r Iorddonen i goncro cenhedloedd sy'n fwy ac yn gryfach na thi, a dinasoedd mawr â chaerau cyn uched â'r nefoedd. 
DEU.9.2	Y maent yn ddynion mawr a thal, disgynyddion yr Anacim; fe wyddost ti amdanynt, oherwydd clywaist ddweud, “Pwy a saif o flaen yr Anacim?” 
DEU.9.3	Ond deall di heddiw fod yr 
DEU.9.4	Pan fydd yr 
DEU.9.5	Nid oherwydd dy gyfiawnder a'th uniondeb yr wyt yn mynd i feddiannu eu gwlad, ond oherwydd drygioni'r cenhedloedd hyn y mae'r 
DEU.9.6	Felly ystyria di nad o achos dy gyfiawnder y mae'r 
DEU.9.7	Cofia, a phaid ag anghofio, iti ennyn dig yr 
DEU.9.8	Digiasoch yr 
DEU.9.9	Pan euthum i fyny i'r mynydd i dderbyn y llechau, llechau'r cyfamod a wnaeth yr 
DEU.9.10	Rhoddodd yr 
DEU.9.11	Ar ddiwedd y deugain diwrnod a deugain nos, rhoddodd yr 
DEU.9.12	a dywedodd yr 
DEU.9.13	Dywedodd yr 
DEU.9.14	Gad lonydd imi, er mwyn imi eu difa a dileu eu henw o dan y nefoedd, a'th wneud di'n genedl gryfach a mwy niferus na hwy.” 
DEU.9.15	Yna trois a dod i lawr o'r mynydd â dwy lechen y cyfamod yn fy nwylo, ac yr oedd y mynydd yn llosgi gan dân. 
DEU.9.16	Gwelais eich bod wedi pechu yn erbyn yr 
DEU.9.17	Cydiais yn y ddwy lechen a'u taflu o'm dwylo a'u torri yn eich gŵydd. 
DEU.9.18	Yna syrthiais i lawr gerbron yr 
DEU.9.19	Yr oeddwn yn ofni'r dig a'r cynddaredd yr oedd yr 
DEU.9.20	Yr oedd yr 
DEU.9.21	Cymerais y llo yr oeddech wedi pechu wrth ei wneud, a'i losgi yn y tân, ei guro a'i falu'n fân nes ei fod yn llwch, ac yna teflais y llwch i'r nant oedd yn llifo o'r mynydd.
DEU.9.22	Digiasoch yr 
DEU.9.23	Yna pan anfonodd yr 
DEU.9.24	Yr ydych wedi gwrthryfela yn erbyn yr 
DEU.9.25	Yna syrthiais i lawr gerbron yr 
DEU.9.26	Gweddïais ar yr 
DEU.9.27	Cofia dy weision, Abraham, Isaac a Jacob; paid ag edrych ar ystyfnigrwydd, drygioni a phechod y bobl hyn, 
DEU.9.28	rhag i drigolion y wlad y daethost â hwy allan ohoni ddweud, ‘Am ei fod yn methu mynd â hwy i'r wlad a addawodd iddynt, ac am ei fod yn eu casáu, y daeth yr 
DEU.9.29	Ond dy bobl di ydynt, dy etifeddiaeth a ddygaist allan â'th nerth mawr ac â'th fraich estynedig.”
DEU.10.1	Yr adeg honno, dywedodd yr 
DEU.10.2	Fe ysgrifennaf ar y llechau y geiriau oedd ar y llechau cyntaf, a ddrylliaist; yna gosod di hwy yn yr arch.” 
DEU.10.3	Gwneuthum arch o goed acasia, a naddu dwy lechen fel y rhai cyntaf, a mynd i fyny i'r mynydd gyda'r llechau yn fy nwylo. 
DEU.10.4	Ac yna, yn union fel y gwnaeth y tro cyntaf, fe ysgrifennodd yr 
DEU.10.5	Wedi hyn deuthum i lawr o'r mynydd, a gosodais y llechau yn yr arch a wneuthum, ac y maent yno, fel y gorchmynnodd yr 
DEU.10.6	Teithiodd yr Israeliaid o ffynhonnau'r Jaacaneaid i Mosera. Bu Aaron farw yno, ac yno y claddwyd ef; a daeth Eleasar ei fab yn offeiriad yn ei le. 
DEU.10.7	Teithiasant oddi yno i Gudgoda, ac o Gudgoda i Jotbatha, gwlad lle'r oedd ffrydiau dŵr. 
DEU.10.8	Yr adeg honno neilltuodd yr 
DEU.10.9	Dyna pam nad oes gan Lefi ran nac etifeddiaeth gyda'i gymrodyr; yr 
DEU.10.10	Fel y tro cyntaf, arhosais ar y mynydd am ddeugain diwrnod a deugain nos; gwrandawodd yr 
DEU.10.11	Yna dywedodd yr 
DEU.10.12	Yn awr, O Israel, beth y mae'r 
DEU.10.13	dy fod hefyd yn cadw ei orchmynion a'i ddeddfau yr wyf yn eu gorchymyn iti heddiw, fel y byddo'n dda arnat. 
DEU.10.14	Edrych, eiddo'r 
DEU.10.15	Ond rhoddodd yr 
DEU.10.16	Yn awr, enwaedwch eich calonnau, a pheidiwch â bod yn ystyfnig eto. 
DEU.10.17	Oherwydd yr 
DEU.10.18	Y mae'n gwneud cyfiawnder â'r amddifad a'r weddw, yn caru'r dieithr, ac yn rhoi iddynt fwyd a dillad. 
DEU.10.19	Yr ydych chwithau i garu'r dieithryn, gan ichwi fod yn ddieithriaid yng ngwlad yr Aifft. 
DEU.10.20	Yr wyt i ofni'r 
DEU.10.21	Ef yw dy fawl, ac ef yw dy Dduw, a wnaeth iti'r pethau mawr ac ofnadwy hyn a welaist â'th lygaid dy hun. 
DEU.10.22	Yn ddeg a thrigain o bobl yr aeth dy hynafiaid i lawr i'r Aifft, ond yn awr y mae'r 
DEU.11.1	Yr ydych i garu'r 
DEU.11.2	Gwyddoch chwi heddiw am ddisgyblaeth yr 
DEU.11.3	Gwyddoch am ei arwyddion a'i weithredoedd a wnaeth ymhlith yr Eifftiaid, i'r Brenin Pharo ac i'w holl wlad, 
DEU.11.4	hefyd yr hyn a wnaeth i fyddin yr Aifft, ei meirch a'i cherbydau, pan barodd i ddyfroedd y Môr Coch lifo drostynt wrth iddynt eich ymlid, ac iddo'u difa hyd y dydd hwn. 
DEU.11.5	Gwyddoch hefyd yr hyn a wnaeth er eich mwyn yn yr anialwch nes ichwi ddod i'r lle hwn, 
DEU.11.6	a'r hyn a wnaeth i Dathan ac Abiram, meibion Eliab fab Reuben, pan agorodd y ddaear ei safn yng nghanol Israel gyfan a'u llyncu hwy a'u teuluoedd, eu pebyll a'r holl eiddo oedd yn perthyn iddynt. 
DEU.11.7	Fe welsoch chwi â'ch llygaid eich hunain yr holl weithredoedd mawr a wnaeth yr 
DEU.11.8	Yr ydych i gadw pob gorchymyn yr wyf fi yn ei roi ichwi heddiw, er mwyn ichwi fod yn ddigon cryf i fynd i mewn ac etifeddu'r wlad yr ydych ar fynd drosodd i'w meddiannu; 
DEU.11.9	a hefyd er mwyn estyn eich oes yn y tir y tyngodd yr 
DEU.11.10	Yn wir, nid yw'r wlad yr ydych ar ddod iddi i'w meddiannu yn debyg i wlad yr Aifft y daethoch allan ohoni, lle'r oeddech yn hau eich had ac yn ei ddyfrhau â'ch troed, fel gardd lysiau. 
DEU.11.11	Ond y mae'r wlad yr ydych ar fynd drosodd i'w meddiannu yn wlad o fynyddoedd a dyffrynnoedd, yn yfed dŵr o law y nefoedd. 
DEU.11.12	Tir y mae'r 
DEU.11.13	Ac os byddwch yn gwrando o ddifrif ar fy ngorchmynion, yr wyf yn eu rhoi ichwi heddiw, i garu'r 
DEU.11.14	yna byddaf yn anfon glaw yn ei bryd ar gyfer eich tir yn yr hydref a'r gwanwyn, a byddwch yn medi eich ŷd, eich gwin newydd a'ch olew; 
DEU.11.15	rhof laswellt yn eich meysydd ar gyfer eich gwartheg, a chewch fwyta'ch gwala. 
DEU.11.16	Gwyliwch rhag ichwi gael eich arwain ar gyfeiliorn, a gwasanaethu duwiau estron a'u haddoli. 
DEU.11.17	Os felly, bydd dicter yr 
DEU.11.18	Am hynny gosodwch y geiriau hyn yn eich calon ac yn eich enaid, a'u rhwymo'n arwydd ar eich llaw, ac yn rhactalau rhwng eich llygaid. 
DEU.11.19	Dysgwch hwy i'ch plant, a'u crybwyll wrth eistedd yn y tŷ ac wrth gerdded ar y ffordd, wrth fynd i orwedd ac wrth godi; 
DEU.11.20	ysgrifennwch hwy ar byst eich tai ac yn eich pyrth, 
DEU.11.21	er mwyn i'ch dyddiau chwi a'ch plant amlhau yn y tir y tyngodd yr 
DEU.11.22	Os byddwch yn ofalus i gadw'r cwbl yr wyf yn ei orchymyn ichwi, a charu'r 
DEU.11.23	yna bydd yr 
DEU.11.24	Eich eiddo chwi fydd pobman y bydd gwadn eich troed yn sengi arno, o'r anialwch hyd Lebanon, ac o'r afon, afon Ewffrates, hyd fôr y gorllewin; dyna fydd eich terfyn. 
DEU.11.25	Ni fydd neb yn medru eich gwrthsefyll; fel yr addawodd ichwi, bydd yr 
DEU.11.26	Gwelwch, yr wyf yn gosod ger eich bron heddiw fendith a melltith: 
DEU.11.27	bendith os gwrandewch ar orchmynion yr 
DEU.11.28	ond melltith os na fyddwch yn gwrando ar orchmynion yr 
DEU.11.29	A phan ddaw'r 
DEU.11.30	Fel y gwyddoch, y mae'r rhain yr ochr draw i'r Iorddonen i'r gorllewin, tuag at fachlud haul, yn nhir y Canaaneaid sy'n byw yn yr Araba, gyferbyn â Gilgal ac yn ymyl deri More. 
DEU.11.31	Yr ydych ar fin croesi'r Iorddonen i ddod i feddiannu'r wlad y mae'r 
DEU.11.32	gofalwch gadw'r holl ddeddfau a chyfreithiau a osodais ger eich bron heddiw.
DEU.12.1	Dyma'r deddfau a'r cyfreithiau yr ydych i ofalu eu cadw yn y wlad y mae'r 
DEU.12.2	Yr ydych i lwyr ddinistrio'r holl fannau ar y mynyddoedd uchel a'r bryniau, a than bob pren gwyrddlas, lle mae'r cenhedloedd yr ydych yn eu disodli yn addoli eu duwiau. 
DEU.12.3	Yr ydych i dynnu i lawr eu hallorau, dryllio'u colofnau, llosgi eu pyst Asera yn y tân, torri i lawr ddelwau eu duwiau, a dinistrio'u henwau o'r mannau hynny.
DEU.12.4	Nid yn ôl eu dull hwy y gwnewch i'r 
DEU.12.5	Yn hytrach ceisiwch y man y bydd yr 
DEU.12.6	a chyflwyno eich poethoffrymau a'ch aberthau, eich degymau a'ch cyfraniadau, eich addunedau a'ch offrymau gwirfodd, a chyntafanedig eich gwartheg a'ch defaid. 
DEU.12.7	Yno gerbron yr 
DEU.12.8	Nid ydych i wneud yn union fel y gwnawn yma heddiw, lle y mae pawb yn gwneud fel y myn, 
DEU.12.9	oherwydd nid ydych eto wedi cyrraedd yr orffwysfa a'r etifeddiaeth y mae'r 
DEU.12.10	Unwaith y byddwch dros yr Iorddonen ac yn byw yn y wlad y mae'r 
DEU.12.11	Yna fe ddygwch i'r man y bydd yr 
DEU.12.12	A byddwch yn llawenhau gerbron yr 
DEU.12.13	Gwylia rhag aberthu dy boethoffrymau ym mhobman a weli, 
DEU.12.14	ond abertha hwy yn y man y bydd yr 
DEU.12.15	Er hynny, cei ladd a bwyta faint a fynni o gig yn dy drefi, yn ôl yr hyn a gei drwy fendith yr 
DEU.12.16	Er hynny, nid ydych i fwyta'r gwaed, ond ei dywallt fel dŵr ar y ddaear. 
