MAT.1.1	LLyver 
MRK.6.49	A’ phan welsant wy ef yn 
MRK.6.50	Can ys wy oll y gwelsont ef, ac a dechrenesont: an’
MRK.6.51	Yno yr escen
MRK.6.52	O bleit nad ystyriesent 
MRK.6.53	A’ dyvot trosawdd a wnaethant, a myned i dir Genezaret, a’ 
MRK.6.54	A’ gwedy yddyn ðyvot o’r llong, yn y man ydd adnebuont ef, 
MRK.6.55	ac a 
MRK.6.56	Ac y b’le bynac yð elei ef y mewn i drefi nei ddinasoedd, ai i bentrefi, wy ddodent ei cleifion yn 
MRK.7.1	YNo ydd ymgasclawdd y Pharisaieit attaw, a’r ei o’r 
MRK.7.2	A’ phan welsant ’r ei o’r discipulon yn bwyta bwyt a dwylo 
MRK.7.3	(Can ys y Pharisaieit a’r ol’ Iuddeon, dyeithr yðynt ’olchy ei dwylo yn 
MRK.7.4	A’ phan 
MRK.7.5	Yno y govynodd y Pharisaieit a’r Gwyr‐llen iddaw, Paam na rodia dy ddiscipulon 
MRK.7.6	Yno ydd atebei ac y dywedei 
MRK.7.7	Ac ouer im anrydeddant i, gan ddyscy yn lle dysc
MRK.7.8	O bleit ydd ych yn rhoi gorchymyn Duw heibio, ac yn cadw athraweth dynion, 
MRK.7.9	Ac ef a ðyvot wrthynt, 
MRK.7.10	Can ys Moysen a ddyvot, Anrydedda dy dad a’th vam: a’ Phwy pynac a velltithia dad nei vam, bid varw 
MRK.7.11	A’ chwi ddywedwch, A’
MRK.7.12	Ac ny 
MRK.7.13	gan ychwi 
MRK.7.14	Yno y galwodd ef yr oll dyrfa ataw, ac a ðyuot wrthynt, Gwrandewch
MRK.7.15	Nid oes dim allan o ddyn, a ddychon y halogy ef, pan el oei vewn: eithyr y pethae a ddaw allan o hanaw, yw’r ei a halogant ddyn. 
MRK.7.16	A’s oes gan nep glustiae y 
MRK.7.17	A’ phan ddaeth ef ymywn i duy o y wrth y 
MRK.7.18	Ac ef a ddyvot wrthwynt, Velly a y tych chwithe hefyt yn ddiddyall? A ny wyddoch 
MRK.7.19	can na
MRK.7.20	Yno y dyuot ef, Y peth a ddaw allan o ddyn, hyny a haloga ddyn. 
MRK.7.21	Can ys y 
MRK.7.22	llatrata, 
MRK.7.23	Yr oll ysceleroedd hyn a 
MRK.7.24	Ac o yno y cyfodes ef, ac ydd aeth i gyffinydd Tyrus a’ Sidon, ac aeth y mewn y duy, ac ny vynesei y neb gael gwybot: an’d ny allei ef vot yn guddiedic. 
MRK.7.25	Can ys gwreic, yr hon oedd ei 
MRK.7.26	(A’r wreic oedd 
MRK.7.27	A’r Iesu a ddyvot wrthei, Gad yn gyntaf borthi y plant: can nad 
MRK.7.28	Yno ydd atepodd hi ac y dyuot wrthaw, Diau, Arglwydd: eto eisioes e vwyta ’r cynavon y dan y vord o vriwson y plant. 
MRK.7.29	Yno y dyuot ef wrthi, Am yr ymadrodd hwn dos ymaith: ef aeth y cythrael allan o’th verch. 
MRK.7.30	A’ gwedy y dyuot hi 
MRK.7.30	Yr Euangel y xij. Sul gwedy Trintot.
MRK.7.31	Ac ef aeth drachefn ymaith o ffiniae Tyrus a’ Sidon, ac a ddaeth yd vor Galilea trwy perveð cyffiniae y 
MRK.7.32	Ac wy a dducesont attaw vn byddar; ac 
MRK.7.33	A’ gwedy iddaw ei gymeryt ef or neilltu allan o’r tyrfa, ef a estennawdd ey vyssedd yn ei glustiae, ac a boyrawdd, ac a gyfyrddawð a ei davot ef. 
MRK.7.34	Ac ef a edrychawð ir nef, can vcheneidiaw, ac a ddyvot wrthaw, 
MRK.7.35	Ac yn y man ydd ymagorawdd ey glustiae, ac ydd ymellyngawdd 
MRK.7.36	Ac ef a ’orchymynawdd yddwynt, na ddywedynt i nep: an’d pa vwyaf y goharddei yðwynt, mwy o lawer y 
MRK.7.37	a’ brawychy eb weð a wnaethant, can ðoedyt 
MRK.8.1	YN y dyddyae hyny, pan oeð tyrva dra‐mawr ac eb gantwyut ddim yw vwyta, yr Iesu a ’alwawdd ei ðiscipulon ataw, ac a ðyvot wrthwynt, 
MRK.8.2	Ydd wyf yn tosturiaw wrth y tyrfa, can ys yddwynt aros y gyd a mi 
MRK.8.3	Ac a’s 
MRK.8.4	Yno ydd atepawdd ei ddiscipulon iddo, 
MRK.8.5	Ac ef a o vynnawdd yddwynt, Pasawl torth ys ydd genwch? Ac wy a ddwedesont, Saith. 
MRK.8.6	Yno y gorchymynawdd ef yr tyrfa eistedd ar y ddaear: ac ef a gymerawdd y saith torth, ac wedy iddo ddiol
MRK.8.7	Ac ydd oedd ganthwynt ychydic pyscot bychain: ac wedy iddo 
MRK.8.8	Ac wy a vwytesont, ac a gawsont digon, ac wy a godesont o’r briwvwyt oedd yn‐gweddill, saith basgedeit, 
MRK.8.9	(a’r ei vysent yn bwyta, oedd yn‐cylch pedeir‐mil) ac 
MRK.8.10	Ac 
MRK.8.11	A’r Pharisaiait a ddaethan 
MRK.8.12	Yno yr 
MRK.8.13	Ac ef y gadawodd wy, ac aeth i’r llong drachefyn, ac a dynnodd ymaith dros y dw
MRK.8.14	Ac anghofi
MRK.8.15	Ac ef a orchmynawdd yddynt gan ddywedyt, Gwiliwch, ac ymogelwch rac 
MRK.8.16	A’ resymy a wnaethant wrth ei gylydd, gan ddywedyd, 
MRK.8.17	A’ phan ei gwybu ’r Iesu, y dyvot wrthwynt, Pa resymy 
MRK.8.18	Oes llygait genwch ac ny chāvyðwch? ac oes i chwi glustiae, ac ny chlywch? Ac any ddaw yn eich cof? 
MRK.8.19	Pan doreis y pemp torth ym‐plith pem
MRK.8.20	A’ phan doreis saith ymplith pedeir mil, pa sawl bascedeit 
MRK.8.21	Yno y dyvot ef wrthwynt, P’wedd 
MRK.8.22	Ac ef a ddaeth i Bethsaida, ac wy a dducesont ataw ddall, ac a 
MRK.8.23	Yno y cymerawdd ef y dall 
MRK.8.24	Ac ef a 
MRK.8.25	Gwedy hyny, y gesodes ef, ei ddwylo drachefyn ar y lygait ef, ac y parawdd iddo 
MRK.8.26	Ac ef a ei 
MRK.8.27	A’r Iesu aeth allan, ef a ei ðiscipulō i Caesarea Philippi. Ac ar y ffordd yr ymovynnawð ef a ei ddiscipulon, gan ddywedyt wrthynt, Pwy’
MRK.8.28	Ac wy a atebesont, 
MRK.8.29	Ac ef a ddyvot wrthynt, A’ phwy’
MRK.8.30	Ac ef a ’orchymynawdd yn 
MRK.8.31	Yno y dechreawdd ei dyscy y byddei 
MRK.8.32	Ac ef a adrodes y 
MRK.8.33	Yno ydd 
MRK.8.34	A’ gwedy iddo ’alw y 
MRK.8.35	Can ys pwy pynac a ewyllysa gadw ei einioes, 
MRK.8.36	Can ys pa les i ddyn, er enill yr oll vyt, a ’cholly ei enaid? 
MRK.8.37	Ai pa peth a ryð dyn yn 
MRK.8.38	Can ys pwy pynac a 
MRK.9.1	AC ef a ddyvot wrthwynt, Yn wir y dywedaf wrthych, 
MRK.9.2	Ac ar 
MRK.9.3	A’ ei ddillat a 
MRK.9.4	Ac a ymddangoses yddynt Elias 
MRK.9.5	Yno ydd atepodd Petr, ac y dyuot wrth yr Iesu, 
MRK.9.6	An’d na wyddiat ef beth yr oedd yn ei ddywedyt: can ddarvot yddyn ddechryyny. 
MRK.9.7	Ac ydd oedd 
MRK.9.8	Ac yn ddysyvyt ydd edrycheson o 
MRK.9.9	Ac a ’n hwy yn descen
MRK.9.10	A’ hwy a gatwesant y 
MRK.9.11	A’ gofyn iddo a orugāt, can ddywedyt, Paam y dywait y Gwyr‐llen y byð 
MRK.9.12	Ac ef atepawdd ac a ddyuot wrthynt, Elias yn ddiau a ddaw, yn gyntaf yc a edvryd yr oll bethae: a’ megis yð escriuenwyt 
MRK.9.13	Eithr 
MRK.9.14	A’ phan ddaeth ef at 
MRK.9.15	Ac yn ebrwydd yr oll popul pan welsant ef, a 
MRK.9.16	Yno y gowynawdd ef ir Gwyr-llen, Pa ymddadle ydd ych yn 
MRK.9.17	Ac vn or dyrva a atepawdd ac a ddyvot, Athro, 
MRK.9.18	yr hwn p’le pynac y cymer ef, a ei 
MRK.9.19	Yno ydd atepodd ef iddo, ac y dyvot, A genedlaeth anffyddlon, pa hyd 
MRK.9.20	Yno y ducesont ef attaw: ac 
MRK.9.21	A’ govyn a oruc ef y’w dat, 
MRK.9.22	A’ mynech y tavl ef yn tan, ac i’r dw
MRK.9.23	A’r Iesu a ddyvot wrthaw, A’
MRK.9.24	Ac yn ddiohir tad y bachcen gan lefain 
MRK.9.25	Pan welawdd yr Iesu vot y popul yn dyvot‐
MRK.9.26	Yno llefain 
MRK.9.27	A’r Iesu a gymerth ei law ef, ac ei 
MRK.9.28	A’ gwedy y ddyuot ef ir tuy, ei ddiscipulon a ’ovynent iddo yn 
MRK.9.29	Ac ef a ðyvot wrthynt, Y rhyw hwn ny
MRK.9.30	Ac wy a ymadawsan o 
MRK.9.31	Can ys dyscawdd ef ei ddiscipulon, a dywedawdd wrthynt, Map y dyn a roddir yn‐
MRK.9.32	Eithyr ny
MRK.9.33	Gwedy hyny y daeth ef i Capernaum: a’ phan oedd ef yn tuy, y govynnawdd yddynt, Pa 
MRK.9.34	Ac wy a dawson a son: can ys ar hyd y ffordd yr ymddadleynt aei gylydd, pwy
MRK.9.35	Ac ef a eisteddawð, ac a alwodd y deuddec, ac a ddyvot wrthyn, A’
MRK.9.36	Ac ef a gymerth vachcenyn ac ei gesodes yn y 
MRK.9.37	a’ phwy pynac a’m 
MRK.9.38	Yno ydd atepawdd Ioan iddo, gan dywddyt, Athro, ys gwelsam vn yn bwrw allan gythrelieit 
MRK.9.39	A’r Iesu a ddyuot, Na ’oherddwch ef 
MRK.9.40	Can ys pwynac ny
MRK.9.41	A’ phwy pynac a roddo i chwi 
MRK.9.42	A’ phwy pynac a 
MRK.9.43	Can hyny a’s dy law ath rwystra, tor y hi ymaith: gwell yw y‐ti vyned y mewn i’r bywyt, yn 
MRK.9.44	lle ny bydd marw y pryf hwy, ac ny ddiffodd y tan 
MRK.9.45	Ac a’s dy droet ath rwystra, 
MRK.9.46	lle ny’s marw y pryf hwy, ac ny’s dyffydd y tan 
MRK.9.47	Ac a’s dy lygat ath rwystr
MRK.9.48	lle ny
MRK.9.49	Can ys pop 
MRK.9.50	Da yw halen: and a’s bydd yr halen yn ddivlas, a’ pha beth y tem
MRK.10.1	AC ef a gyvodes o yno ac aeth i 
MRK.10.2	Yno y daeth y Pharisaieit a’ gofyn iddo a oedd rydd i wr 
MRK.10.3	Ac ef atepodd ac a ddyvot wrthynt, Peth a ’orchmynawdd Moysen y chwi? 
MRK.10.4	Dywedesont wythe, Moysen a ’oddefawdd 
MRK.10.5	Yno ydd atepodd yr Iesu, ac y dyvot wrthynt, Am galedrwydd eich calon 
MRK.10.6	And yn‐
MRK.10.7	Achos hyn y gad dyn ei dad a’ 
MRK.10.8	Ac wy ill dau a vyðant vn 
MRK.10.9	Can’s yr hyn a 
MRK.10.10	Ac yn tuy y govynent ei ðiscipulon iðo drachefyn am y peth hwnw. 
MRK.10.11	Ac ef a ddyvot wrthynt, Pwy pynac y 
MRK.10.12	Ac a’s gwreic y 
MRK.10.13	Yno y ducesant 
MRK.10.14	A’ phan ey gwelawdd yr Iesu sori a oruc 
MRK.10.15	Yn wir y dywedaf wrthych, Pwy pynac ny’s erbyn
MRK.10.16	Ac ef ei braicheidiawdd wy, ac a 
MRK.10.17	A’ gwedy iddo vyned 
MRK.10.18	A’r Iesu a ðyvot wrthaw, Paam y gelwy vi yn ða? ny
MRK.10.19	 ’wyddost y gorchmynion, Na 
MRK.10.20	Yno ydd atepodd ef, ac y dyuot wrthaw, Athro, hyn oll a gedweis o’m ieunctit. 
MRK.10.21	A’r Iesu a 
MRK.10.22	A’ phruddhau 
MRK.10.23	A’r Iesu a edrychawdd o ei amgylch, ac a ddyuot wrth ei ddiscipulon, Mor anhawdd yr a y sawl ys y a 
MRK.10.24	A’ 
MRK.10.25	Haws
MRK.10.26	Ac wy
MRK.10.27	A’r Iesu a edrychodd arnynt, ac a ðyuot, Gyd a dyniō ampossibl 
MRK.10.28	Yno y dechreawdd Petr ddywedyt wrthaw, 
MRK.10.29	Yr Iesu a atepodd ac a ddyuot, Yn wir y dywedaf i chwi, ny
MRK.10.30	a’r ny’s 
MRK.10.31	Eithr llawer ar 
MRK.10.32	Ac ydd oeddent 
MRK.10.33	, 
MRK.10.34	Ac 
MRK.10.35	Yno y daeth ataw Iaco ac Ioan meibion Zebedaeus, gan dywedyt, Athro, 
MRK.10.36	Ac ef a ddyvot wrthynt, Beth a ’wyllysech i mi y wneythy
MRK.10.37	Wythe a ddywed
MRK.10.38	A’r Iesu a ddynot wrthynt, Ny wyddoch pa 
MRK.10.39	Ac wy dywetsont wrthaw, Gallwn. A’r Iesu a ddyvot wrthynt, Diau yr yfwch o’r cwppa
MRK.10.40	any
MRK.10.41	A’ phan glypu ’r dec 
MRK.10.42	A’r Iesu y galwodd wy ataw, ac a ddyvot yddynt, 
MRK.10.43	Eithyr ny
MRK.10.44	A’ phwy pynac a ewyllisia vot yn benaf o hanochwy, byddet was 
MRK.10.45	Can ys‐a’ Map y dyn ny ðaeth i gahel 
MRK.10.46	Yno yd aethant i 
MRK.10.47	A’ phan glypu mai ’r Iesu o Nazaret oedd 
MRK.10.48	A’ llawer y ceryddent ef, er iddo dewi: yntef a lefai yn vwy o lawer, 
MRK.10.49	Yno gorsefyll o’r Iesu, a’ gorchmyn y ’alw ef: ac wy e alwasant y dall, gā ddywedyt wrthaw, Cymer gyssyr: cyfod, mae ef yn dy ’alw. 
MRK.10.50	Yno y tavlodd ef ei gochyl ymaith, ac a gyvodes ac a ddaeth at yr Iesu. 
MRK.10.51	A’r Iesu ’atepodd ac a ddyuot wrthaw, Beth a ewyllysy wneythy
MRK.10.52	Yno y dyuot yr Iesu wrthaw, Dos ffwrdd, dy ffydd ath 
MRK.11.1	A’ Gwedy yðyn 
MRK.11.2	ac y dyuot wrthwynt, Ewch ymaith i’r dref ’sy 
MRK.11.3	Ac a dywait neb
MRK.11.4	Ac 
MRK.11.5	A’r ei o’r sawl a sefynt yno, a ðywedent wrthynt, Beth a wnechwi yn gillwng yr ebawl? 
MRK.11.6	Wythe a ddywetsont wrthynt, val y gorchmynesei’r Iesu yddynt. Yno y gadawsont yddyn vynd ymaith.
MRK.11.7	Ac 
MRK.11.8	A’ llawer
MRK.11.9	A’r ei a oedd yn myn’d o’r blaen, ar ei oeð yn canlyn, a lefent, gan ddywedyt, 
MRK.11.10	bendigedic 
MRK.11.11	Yno yð aeth yr Iesu y mewn y Gaerusalem, ac ir Tem
MRK.11.12	A’ thranoeth wedy ey dyvot wy allan o Bethania, yr oeð arno 
MRK.11.13	Ac wrth ’weled fficuspren o bell, 
MRK.11.14	Yno ydd atepodd yr Iesu ac y dyuot wrthaw, Na vwytaed nep ffrwyth o hanat mwy
MRK.11.15	A’ hwy a ðaethant i Caerusalem, a’r Iesu aeth ir Templ, ac a ddechreuawdd davly allan yr ei oeddynt yn gwerthy ac yn prynu yn y Templ, ac a 
MRK.11.16	Ac ny adawei ef y neb ddwyn llestr drwy ’r Tem
MRK.11.17	Ac 
MRK.11.18	Ac 
MRK.11.19	A’ gwedy y hwyrhau hi, ydd aeth 
MRK.11.20	A’r borae ac wynt yn 
MRK.11.21	Yno yr 
MRK.11.22	A’r Iesu a atepawdd, ac a ddyuot wrthynt. Bid eich ffydd 
MRK.11.23	Can ys yn wir y dywedaf y chwi, mai pwy pynac a ddyweto wrth y mynyth hwn, 
MRK.11.24	Erwydd paam y dywedaf wrthych, Bethae bynac ar a archoch wrth weddiaw, credwch y
MRK.11.25	And pan safoch, a’ gweddiaw, maddeuwch, a’s bydd genych ddim yn erbyn neb, val y bo ’ich Tad yr hwn sy yn y nefoedd vaddae i chwi
MRK.11.26	O bleit a ny vaddeuw‐chwi, ach Tat yr hwn 
MRK.11.27	Yno y daethant drachefyn i Caerusalem: a’ mal y rhodiei ef yn y Templ, y dauai ataw yr Archoffeirieit, a’r Gwyr‐llen, a’r 
MRK.11.28	ac y dywedynt wrthaw, Wrth pa awdurtat y gwnai 
MRK.11.29	A’r Iesu a atepawdd ac a ddyuot wrthynt, Minef a ovynaf vn‐peth i chwi
MRK.11.30	Betydd Ioan, ai o’r nef ydd oedd, ai o ddynion? atepwch vi. 
MRK.11.31	Ac wy a veddyliesont ynthyn ehunain, gan ddywedyt, A’s dywedwn O’r nef, ef a ddywait, Paam gan hyny na chredech 
MRK.11.32	Eithyr a’s dywedwn, O ðynion, y mae arnam ofn y bopul: can ys 
MRK.11.33	Yno ydd atepesant, ac y dywedesant wrth yr Iesu, Ny wyddam 
MRK.12.1	AC ef a ddechreawdd 
MRK.12.2	Ac ar 
MRK.12.3	Ac wy a ei 
MRK.12.4	A’ thrachefyn yd anuones atynt was arall, a ’hwnw a davlasant a’ main, ac ai 
MRK.12.5	A’ thrachefyn yd anuones ef 
MRK.12.6	Ac eto ydd oedd iddo vn map ei garedic: a’ hwnw a’ 
MRK.12.7	And y tir‐ddiwylliawdwyr hynny a ddywedent yn ei plith ehunain, 
MRK.12.8	Yno y cymersont ef, ac ei lladdesont, ac ei bwriesont y maes o’r winllan. 
MRK.12.9	Pa peth gan hyny a wna Arglwydd y winllan? E ddaw ac a 
MRK.12.10	Ac any ddarllenesoch hyn o Scrythur? Y maen yr hwn a wrthodent yr a deiladwyr, 
MRK.12.11	Hyn a wnaethpwyt y gan yr Arglwydd, a ’rhyvedd yw yn ein 
MRK.12.12	Yno yr oeddent mewn awyð y’w ddal
MRK.12.13	Ac wy 
MRK.12.14	Ac wyn
MRK.12.15	A ddlem 
MRK.12.16	Ac wy 
MRK.12.17	Yno ydd atepodd yr Iesu ac y dyuot wrthynt, Rowch i Caisar yr 
MRK.12.18	Yno y daeth y Sadducaieit ataw, (yr ei a ddyweit nad oes cyfodedigaeth) ac a ’ovynesont iddo, gan ddywedyt, 
MRK.12.19	Athro, Moysen a yscrivenodd y ni, A’s bydd marw brawdd vn, a’ gady 
MRK.12.20	Ydd oedd saith broder a’r cyntaf a gymerth wreic, a’ phan vu ef varw, ny adawdd 
MRK.12.21	Ar ail y cymerth hi, ac e vu varw, ac ny’s gadawdd yntef 
MRK.12.22	Felly ’r saith y 
MRK.12.23	Yn y 
MRK.12.24	Yno ’dd atepawdd yr Iesu ac y dyuot wrthynt, Any
MRK.12.25	Can ys pan 
MRK.12.26	Ac am y meirw, y 
MRK.12.27	Ny
MRK.12.28	Yno y daeth vn o’r Gwyr‐llen y clywsei wy yn ymddadlae, a’ chan wybot 
MRK.12.29	Yr Iesu ei atepawdd, Y cyntaf o’r oll ’ochmynion 
MRK.12.30	Cery am hyny yr Arglwydd dy Dduw 
MRK.12.31	Ar ail 
MRK.12.32	Yno y dyuot y Gwyr‐llen wrthaw, Da, Arglwydd, 
MRK.12.33	A’ ei gary ef a’r oll galon, ac a’r oll ddyall, ac a’r oll enait, ac ar oll nerth, a’ chary 
MRK.12.34	Yno yr Iesu yn ei weled ef yn atep yn 
MRK.12.35	A’r Iesu a 
MRK.12.36	Can ys Dauid y un a ðyuot trwy’r yspryt, glan, Dyuot yr Arglwyð wrth vy Arglwydd i, Eistedd ar vym
MRK.12.37	Can vot Dauid y hun yn y ’alw ef yn Arglwydd: a’ pha wedd y mae 
MRK.12.38	Hefyd 
MRK.12.39	a’r eisteddfa
MRK.12.40	yr ei a lwyr 
MRK.12.41	Ac mal ydd oedd yr Iesu yn eistedd gyferbyn ar tresorva, yr edrychawdd 
MRK.12.42	Ac e ddaeth ryw 
MRK.12.43	Yno y galwodd ataw ei ddyscipulon, ac y dyuot wrthynt, Yn wir y dywedaf y chwi, 
MRK.12.44	Can ys yntwy oll a vwriesont y mewn o’r hyn sy 
MRK.13.1	AC val ydd ai ef allan o’r Templ, y 
MRK.13.2	Yno ydd atepodd yr Iesu ac y dyuot wrthaw, A wely 
MRK.13.3	A’ mal ydd eisteddei ef ar vynyth 
MRK.13.4	Dywait i ni pa bryd y bydd y pethae hyn? a’ pha ’r 
MRK.13.5	A’r Iesu a atepodd yddynt, ac ddechreuodd ddywedyt, Ymogelwch rac 
MRK.13.6	Can ys llawer a ddawant yn vy Enw i, can ddywedyt, Mi yw 
MRK.13.7	Hefyd pan glywoch 
MRK.13.8	Can ys cenetl a gyvyt yn erbyn cenetl, a’ theyrnas yn erbyn teyrnas, ac e vydd daiar gryniadae mewn amryw leoedd, ac e vydd newynae a’ thrallodae: hyn vyðant ddechreuoedd y 
MRK.13.9	Anid edrychwch arnoch eich hun: can ys wy ach rhoddant ir Seneddae, ac i’r Synogogae: ych bayddy a wneir, a’ch dwyn geyr bron 
MRK.13.10	A’r Euangel a vydd 
MRK.13.11	Eithyr pan vont ich 
MRK.13.12	Ac e ddyry y brawd y brawd i varwoleth, a’r tad y map, a’r plant a gyvodant yn erbyn y 
MRK.13.13	A’ dygasoc vyðwch gan bawp er mwyn vy Enw i: an
MRK.13.14	Hefyd pan weloch y 
MRK.13.15	A hwn 
MRK.13.16	A’ hwn 
MRK.13.17	Yno gwae ’r ei beichiogion, ar ei vont yn 
MRK.13.18	Gweddwch gan hyny na bo eich 
MRK.13.19	Can ys byð yn y dyðiae hyyn 
MRK.13.20	Ac o ddyeithr vesei i Dduw 
MRK.13.21	Ac yno a’s dywait nep y chwi, 
MRK.13.22	Can ys cyfyd gau‐Gristiae, a’ gau Brophwyti, ac a wnant arwyðion ac 
MRK.13.23	A’ mogelwch chwi
MRK.13.24	A’ hefyt yn y dyðiae hyny, gwedy’r 
MRK.13.25	a’ ser y nef a syrthiaut: a’r nerthoedd ’sy
MRK.13.26	Ac yno y gwelant Vap 
MRK.13.27	Ac yno yd enfyn ef ei Angelion, ac y 
MRK.13.28	Tra vo ei gangen eto yn dyner, ac e yn 
MRK.13.29	Ac velly chwitheu, pan weloch y pethae hyn wedy 
MRK.13.30	Yn wir y dywedaf y chwi, 
MRK.13.31	Nef a’ daiar 
MRK.13.32	Ac am y dydd hwnw a’r awr ny’sgwyr 
MRK.13.33	Ymogelwch: gwiliwch a’ gweddiwch: can na wyddoch pa bryd yw’r amser. 
MRK.13.34	 val 
MRK.13.35	Gwiliwch am hyny, (can na wyddoch pa bryd y daw Arglwydd y tuy, gan hwyr, ai 
MRK.13.36	rac pan ðel ef yn ddysumwth, iddo ych cael yn cuscy. 
MRK.13.37	A’r hyn 
MRK.14.1	AR ben y ddau ddydd gwedy ydd oeð y Pasc, a’ 
MRK.14.2	Eithyr dywedyt a wnaent, Nyd ar yr wyl, rac bot cynnwrf yn y popul. 
MRK.14.3	A’ phan ytoedd ym-Bethania yn‐tuy Simon ’ohanglaf, ac ef yn eistedd 
MRK.14.4	Am hynny y sorawdd rei ynthynt ehunein, can ddywedyt, I pa beth y gwnaethpwyt y collet 
MRK.14.5	obleit ef allesit ei werthu er mwy na thrichant ceiniawc, a’ ei roddy ir tlotion, ac wy a 
MRK.14.6	A’r Iesu addyvot, Gedwch yddi: paam ydd ych en hei 
MRK.14.7	Can ys cewch y tlodion gyd a chwi bop amser, a phan vynnoch y gellwch wneythy 
MRK.14.8	Hyn y allawdd hon, hi a ei gwnaeth: hi a ddeuth ym‐blaen‐llaw y eliaw vy‐corph erbyn y 
MRK.14.9	Yn wir y dywedaf wrthych, p’le bynac y precethir yr Euangel hon yn yr oll vyt, 
MRK.14.10	Yno Iudas Iscariot, vn o’r dauddec aeth ymaith at yr Archoffeiriait, y’w vradychy ef yddwynt. 
MRK.14.11	A’ phan glywsont hynny, llawen vu ganthwynt, ac a aðawsont roddi ariant ydd aw: am hyny y casiawð 
MRK.14.12	A’r dydd cyntaf o’r bara 
MRK.14.13	Ac anvon awnaeth ddau oei ddiscipulon, a dywedyt wrthynt, Ewch ir dinas, ac e gyvwrð dyn a chwi yn dwyn ysteneit o ddw
MRK.14.14	A’ ph’le bynac ydd el ef y mywn, dywedwch wrth ’wr y tuy, Yr Athro a ddywait, Pyle y mae ’r lletuy lle y bwytawyf y Pasc mi am discipulon? 
MRK.14.15	Ac ef a ddengys ychwy 
MRK.14.16	A’ myned ymaith o’i ddiscipulon, a dyvot ir dinas, a’ chaffael megis y dywedesei ef wrthynt, a’ pharatoi ’r Pasc a wnaethant. 
MRK.14.17	Ac yn yr 
MRK.14.18	Ac val ydd oeddent yn eistedd ac yn bwyta, y dyvot yr Iesu, Yn wir y dywedaf ychwi, mae vn o honawch a’m bradycha, yr hwn ys ydd yn bwyta gyd a mi. 
MRK.14.19	A’ dechrae tristay a wnaethant, a’ dywedyt wrthaw 
MRK.14.20	Ac ef atepodd ac a ddyvot yddwynt, 
MRK.14.21	Can ys Map y dyn a 
MRK.14.22	Ac val ydd oeddent wy yn bwyta, y cymerth yr Iesu vara, a’ gwedy yddaw 
MRK.14.23	Ac e gymerth y 
MRK.14.24	Ac ef a ddyvot wrthwynt, Hwn yw vy‐gwaet 
MRK.14.25	Yn wir y dywedaf wrthych, nid yfaf mwy o ffrwyth y winwydden, yd y dydd hwnw ydd yfwyf ef yn newydd yn‐teyrnas Duw. 
MRK.14.26	A gwedy yðynt ganu 
MRK.14.27	A’r Iesu a ddyvot yddwynt, Y nos hon ich 
MRK.14.28	Eithyr gwedy y cyvotwyf, 
MRK.14.29	Ac Petr a ddyvot wrthaw, a’ phe rhwystrit pawp, eithyr ny
MRK.14.30	A’r Iesu a ddyvot wrthaw. Yn wir y dywedaf y ti, mae heddyw, 
MRK.14.31	Ac efe a ddyvot yn 
MRK.14.32	A’ gwedy y dywot wy i van a enwit Gethsemane: yno y dyvot ef wrth ei ðiscipulon. Eisteddwch yma, tra vyðwyf yn gweddiaw. 
MRK.14.33	Ac ef a gymerawdd gyd ac ef Petr ac Iaco, ac Ioan, ac a ddechreuodd 
MRK.14.34	ac ef a ddyvot wrthwynt, Tra thrist yw vy enait, 
MRK.14.35	Ac ef aeth ychydic pellach, ac a 
MRK.14.36	Ac ef a ddyvot, Abba Dad, pop peth ys ydd alluawl i ti: treigla ymaith y 
MRK.14.37	Ac ef a ddeuth ac ei cafas wy yn cyscu, ac a ðyvyt wrth Petr, Simon, 
MRK.14.38	Gwiliwch, a’ gweddiwch, rac eich mynet ym‐provedigaeth: yr yspryt yn ddiau ’sy parat, anid cnawt ys y 
MRK.14.39	A’ thrachefyn yð aeth ymaith, ac y weddiawð, ac a ddyvot yr vn ymadrodd. 
MRK.14.40	Ac gwedy ymchwelyt o hanaw, ef a ei cafas wy drachefyn yn cyscu: can ys ydd oedd eu llygait yn drymion, ac ny wyddent beth a atepent ydd‐aw. 
MRK.14.41	Ac ef a ddeuth y drydedd waith, ac a ddyvot wrthwynt, Cyscwch weithian, a’ gorphoyswch: digō yw: e ddeuth yr awr: 
MRK.14.42	Cyfodwch: awn: 
MRK.14.43	Ac yn y man ac ef yn ymddiddan, y dauei Iudas yr hwn oedd vn o’r dauddec, ac gyd ac ef dyrfa vawr a chleddyfae a’ 
MRK.14.44	A’rhwn y bradychesei ef, a roddesei 
MRK.14.45	Ac wedy ei ddyvot ef, ef aeth ataw yn y van, ac a ddyvot 
MRK.14.46	Ac wy a 
MRK.14.47	Ac vn o’r ei oedd yn sefyll yno, a dynnawð gleddyf, ac a drawodd ’was yr Archoffeiriat, ac a dorrawdd ei glust ymaith. 
MRK.14.48	A’r Iesu atepawdd ac a ddyvot wrthwynt, Chwi ddaethoch allan megis at leitr, a chleðyfe ac a 
MRK.14.49	Ydd oeddwn paunydd gyd a chwi yn traethy‐dysc yn y Templ, ac ny’m daliesoch: eithyr 
MRK.14.50	Yno wy y gadawsant ef, ac a giliesont 
MRK.14.51	Ac ydd oedd vn gwr ieuanc, wedyr wiscaw a lliain ar 
MRK.14.52	Ac ef a adawodd ei liain
