GEN.1.1	Ante pëgwëko W̃ën ntind viỹë ŋa, ambin ŋa g'inkal iŋa ntiko ten.
MAT.1.5	Salëma yeho rëm Bos, hnëmu ỹa Rahab yeho.
MAT.1.6	ale yeho rëm ahnaw̃ ale w̃aciko David ỹa.
MAT.1.6	David yeho rëm Salomo ỹa, hnëmu ỹa Uri ryënkwëkawo ñëla. 
MAT.1.7	Salomo yeho rëm Robowam ỹa. Robowam yeho rëm Abiya ỹa. Abiya yeho rëm Asa. 
MAT.1.8	Asa yeho rëm Yosafat ỹa. Yosafat yeho rëm Yoram ỹa. Yoram yeho rëm Osiyas ỹa. 
MAT.1.9	Osiyas yeho rëm Yotam ỹa. Yotam yeho rëm Akas ỹa. Akas yeho rëm Esekiyas ỹa. 
MAT.1.10	Esekiyas yeho rëm Manase ỹa. Manase yeho rëm Amon ỹa. Amon yeho rëm Yosiyas ỹa. 
MAT.1.11	Yosiyas yeho rëm Yekoniya gë vëheryu va wati nte pëlayiniho njoyini vëvë Isërayel 
MAT.1.12	Ante ndëcëk watac ŋa, Yekoniya yeho rëm Salatiyel. Salatiyel yeho rëm Sorobabel ỹa. 
MAT.1.13	Sorobabel yeho rëm Abihud ỹa. Abihud yeho rëm Eliyakim. Eliyakim yeho rëm Asor. 
MAT.1.14	Asor yeho rëm Sadok. Sadok yeho rëm Akim. Akim yeho rëm Eliwud. 
MAT.1.15	Eliwud yeho rëm Eliyasar. Eliyasar yeho rëm Matan. Matan yeho rëm 
MAT.1.16	Sakob yeho rëm 
MAT.1.17	Umë fop kore vacërakëlo pëhw gë wahnah yeho pëgw hnë mba Abëraham hna hafo David, pëhw gë wahnah mba David hna hafo nte njoyiniho vëvë Isërayel Babilon hna, do pëhw gë wahnah hnë iƴo tac hafo mba Arëhnayik hna.
MAT.1.18	Wëlin itëfëta soŋe hnagi Yesu 
MAT.1.19	Yosef ale hwëhnëkawo ỹa, asan asatah yeho ɓare ñaɗilohna cëfëhnaỹehna ɓulunda hna; awa më pëhnak tava hara ƴëtayina. 
MAT.1.20	Wati nte nahaɗëho watac ŋa, mëleka Ahwëhn a më karyëtahnëka hnë huɗakery do ntehna: «Yosef, fatah fante hnagik hnë hnënk 
MAT.1.21	Facan nagëɗ. Yesu
MAT.1.22	Ỹinë fop nkeɗ ntiyahn wanës Ahwëhn wante nësehnëkawo 
MAT.1.23	«Fandag fante wok ƴëtëna vësan va ndonkëɗ do facan nagëɗ. Emaniyel macëɗe, umë fëhnëtanëɗ: W̃ënu ŋa gë fuhnë nkentik.»
MAT.1.24	Yosef, ga nëgak, më ntik ile ntehnëkawo mëleka Ahwëhn ỹa: ñëlëka asëvalu Mari. 
MAT.1.25	Ɓare vëvankëlohna ipad g'umë afo naga aju do Yosef, Yesu macëkawo.
MAT.2.1	Yesu nkol Betëlem nagiko hnë nkal Yuɗe hna, wati nte nkeho 
MAT.2.2	Ga tëkëni hnam më tëƴëni: «Ne nkeha ahnaw̃ 
MAT.2.3	Eroɗ ahnaw̃ a ga njëtak, umë pëmpëhnahnëkawo ɗus do gë vëvë Yerusalem va fop. 
MAT.2.4	Më macehnëkëhni fop vësankaf vësëna wasaɗëha va gë 
MAT.2.5	Më ntëkwaniha: «Betëlem, hnë nkal Yuɗe hna nagëɗe. Wëlin ile kerëk 
MAT.2.6	«“Do wëjë Betëlem, antë ntiyahni gelihna nkol nte ñak mbak nafa ɓë Yuɗe.”
MAT.2.7	Awa Eroɗ më macehnëkëhni ƴëmëƴëm fo vëyët wahol va tëƴëhni pëƴaniha bi iỹëhne wati cahnik ikol iŋa. 
MAT.2.8	Tac paƴëhni gë Betëlem, ntehnëhni: «Ƴiryin arëƴalu wapacëk soŋe fatah fa; do ge nurunëha, ƴijën ayëtëndanuno soŋe ami fëna yiwu sëmbëntijiw̃a.»
MAT.2.9	Vëyët va nëpaniho fop wanës ahnaw̃ w̃a, tac njilehnëni. Awa mbok nulehnëni kol nte sahniko gë cape pëhna lav ŋa. Ndënkwëhnëkëhniwo do ga tëkëk le nke fatah hna, tëryalehn. 
MAT.2.10	Vëyët va, ga nuni kol iŋa tëryak, pëɓëlehnëhni uhnatah sankaf. 
MAT.2.11	Më tënkëni tere hna do tëkatëniha fatah fa gë hnëmu, 
MAT.2.12	Tac, W̃ënu ŋa më pëƴakëhni hnë huɗakery antë mbokani gë vëhni Eroɗ; awa më tëfëni nkaw̃ kaw̃ary soŋe mëncëni gë ỹal hni.
MAT.2.13	Ga mëncëni vëyët va, mëleka Ahwëhn a më tufëhnaka 
MAT.2.14	Awa Yosef më matëk hnë umëɗ tac dënk, nufa fatah fa gë hnëmu, do nkaryëni Esipët. 
MAT.2.15	Hnam ñëw̃ëniho hafo cëm Eroɗ. Umë ntiyako nkehahn wante nësehnëkawo Ahwëhn W̃ënu ŋa hnë w̃ës 
MAT.2.16	Ante njëtëko 
MAT.2.17	Awa ntiyako wante nësëko 
MAT.2.18	«Kopa wëryëɗe hn'ankol Rama hna, wako do gë iƴahna cankaf: Rasel
MAT.2.19	Ga cëmëk Eroɗ, mëleka Ahwëhn a më tufëhnaka 
MAT.2.20	Do ntehna: «Matëry nufëryehna fatah fa gë hnëmu do avokawu g'inkal 
MAT.2.21	Awa Yosef më matëk, nufa fatah fa gë hnëmu do mbokani g'inkal Isërayel. 
MAT.2.22	Ɓare Yosef njëtako ale w̃acik Arëselawos hnufëko ucankaf rëmu Eroɗ ŋa Yuɗe hna, awa më ntakëka soŋe mboka hnam. Ahwëhn a më mbok nësëhnëka hnë huɗakery, do njilehn hnë resiỹo vë Galile hna. 
MAT.2.23	Ntëɗ hn'ankol nte w̃acik Nasaret. Koyëna nkeho ntiyahn wanës kila ŋa: «Avë Nasaret macëɗe.»
MAT.3.1	Hnë ƴamani rac, cahnëko 
MAT.3.2	Ntehnëɗëhëhniwo: «Gwëcëtaryin vankeya va: 
MAT.3.3	Soŋe San ỹa nësëɗëho 
MAT.3.3	«Ahnë ryekaɗ wula hna: “Pëhwëtëryin nkaw̃ Ahwëhn a, dinëndina vankaw̃ vacatah ɗus!”»
MAT.3.4	San viỹi vile liyik gë wëñahn yonkomb ntiyaɗëho do ryil uyand ñëbaɗëho; vampul gë wadëj tokëɗëho. 
MAT.3.5	Vahnë vëvë 
MAT.3.6	Putaɗëniho wameh wante ntini ŋa tase vahnë fop do San njaryëɗëhëhniwo sën hna.
MAT.3.7	San nuko 
MAT.3.8	Diryindën viỹë vifërën. Koyëna tufahnëɗun paryi nkwëcëtarun vankeya va! 
MAT.3.9	Ant'ahnahandu: “Rëm sankaf fu ỹa, Abëraham ye”, had watac gwërënkeɗ afehëtahniwu. Pëƴaɗëmu: W̃ënu ŋa koɗ dënk nti waỹi wëraka vutah Abëraham! 
MAT.3.10	Rasëhn ỹa pëhwëtak ŋos vatëh va vënkahn hna: Atëh nte-wo-nte wok dëw̃ëɗina wadëw̃el wapërën ŋa ŋosëɗe do ntabi gë hwëɗëh.
MAT.3.11	«Ami, gë w̃ënka njaryëɗëmu soŋe tufahnahni nkwëcëtarun vankeya hun va. Ale rëfiɗëho ỹa, umë lëbëko: catëla dënk faryëtahnëw̃a wapary ŋa. Umë, g'Iƴir Ipacah do gë hwëɗëh njaryëɗëhu. 
MAT.3.12	Iɓëryew̃ iŋa mënkwëk paryahn soŋe pitëndëlehnahn waŋëc ŋa gë vaparyel va. Ndanëɗ waŋëc ŋa ndank ntëw̃u hna, ɓare vaparyel va pëɗëɗ hnë hwëɗëh hunte wok ɗipëɗina muk.»
MAT.3.14	Ɓare San ŋwëỹëɗëho, ntehn: «ami rëfëka ayaryo, ɓare wëjë yijëk hnë ỹal mën soŋe yaryi!»
MAT.3.15	Yesu më ntëkwaka: «Maw̃ëry nke koyëna ỹi wati, kaɓi koyëna ntiyaɗ fop ile tëƴëk W̃ënu ŋa.» Awa San më maw̃ëk.
MAT.3.16	Yesu njaryënde tuŋ, mëƴëtak w̃ënka hna. Hnë wati rac dënk, ambin ŋa piɗëtalehn do nulehn Iƴir W̃ënu ŋa ga cëlëndajëɗ hnë umë; gë fah mëntëlëniho. 
MAT.3.17	Tac kopa vë g'ambin nkwëryëlehni ga ntehnëɗ: «Aỹi Ajë mën ale ỹahnëɓu ɗus a ye; g'umë nëŋëko ɗus.»
MAT.4.1	Ga ndëcëk watac Iƴir Ipacah iŋa më njoka Yesu gë wula soŋe 
MAT.4.2	Hnam, Yesu cuŋëko g'anent gë g'umëɗ hafo wafac wafëhw wahnah (40). Awa tac më njoka inte ɗus. 
MAT.4.3	Wati rac Sintani, aw̃enehn a, më tëhaka do ntehn: «Ge 
MAT.4.4	Yesu më ntëkwaka: «Vikerëh W̃ën va pëƴahnëk: “Ahnë gena roka fo valëɗëha, ɓare mbalëɗëha fëna gë fop wanës wante pëƴahnëɗ W̃ënu ŋa.”»
MAT.4.5	Awa Sintani më njoka Yerusalem, naw̃ cëvah hna, tindëka cëmët 
MAT.4.6	do ntehna: «Ge Aju W̃ën ỹa yeru, dëɗary gëɗ; gena bi Vikerëh va pëƴahnëk:
MAT.4.6	«“W̃ënu ŋa ntehnëɗëhëhni wamëleka wadëw̃u ŋa njakënihi kehahnënihi ant'aw̃ëw̃ itaka”?»
MAT.4.7	Yesu më ntëkwaka: «Vikerëh va pëƴahnëk fëna: “Nt'ayëkëhnahna Ahwëhn a W̃ën hu ŋa.”»
MAT.4.8	Sintani më mbok njoka kat Yesu hn'ikuŋ ƴihnah ɗus, tufëka fop wahnaw̃ wavë ɗuniỹa w̃i gë hnapul lëw̃u per, 
MAT.4.9	do ntehna: «Njëɗaɗëmi ỹinë fop ge ndëkwëhnëru haryëŋwk mën soŋe asëmbo.»
MAT.4.10	Awa Yesu më ntehnëka: «Ŋaw̃ëtarye 
MAT.4.11	Awa Sintani tavëlehna taŋ Yesu do nji. Awa wamëleka njilehnini vëhni Yesu hna do paɓënihawo.
MAT.4.12	Ga mbiỹëk toƴe Yesu njëtako 
MAT.4.13	Nasaret hna nɗëcëtako, nji ntëɗ Kaperënaỹum, nkol nte yeho ɗarël lant vë Galile hna, hn'inkal Sabilon do gë Nefëtali hna. 
MAT.4.14	Koyëna ntiyako wanës 
MAT.4.15	«W̃uhnë vëvë inkal Sabilon gë Nefëtali, tëfary lant Galile ŋa gë cape ñëntaw̃ sën Yurëdan ka, w̃uhnë vëvë Galile, inkal nte njaɓahnëni vële wok vëyena wasëwif!
MAT.4.16	W̃uhnë vële ye hn'umëhwëry hna nuɗun humpen cankaf! W̃uhnë vële lëɗëk hnë mëhwëry icëm hna, humpen ha penëɗëhu!»
MAT.4.17	Koɓëri tac, Yesu pëgwëko karaŋëndëhni vahnë va ntehnëndëhni: «Gwëcëtaryin vankeya va: 
MAT.4.18	Yesu lant sankaf le w̃acik Galile ỹa tëfaryëɗëho, ante nukëhniwo vësan vëhi vële yeho vëfëla wuwis: Simo, nte w̃acëɗeho 
MAT.4.19	Yesu më ntehnëkëhni: «Tëfino do ntiɗëmu vëfëla vahnë.» 
MAT.4.20	Tavëlehnëni taŋ waryeƴ w̃a tëfëlehnëndëniha.
MAT.4.21	Ante mbok njik ŋaw̃ët toƴe ŋa më mbok nukëhni kat vahnë vëhi, 
MAT.4.22	Tavëlehnëni taŋ kulu ỹa do gë rëm hni tëfëlehnëndëniha.
MAT.4.23	Yesu njasëlendëho Galile hna fop, karaŋëɗëhëhniwo vahnë va 
MAT.4.24	Itëfëta soŋe lëw̃u ỹa nkwëryëɗeho hn'inkal Siri
MAT.4.25	Kore sankaf rëfëlendëhawo; Galile matiɗëniho gë resiỹo Wahnaw̃ Pëhw gë 
MAT.5.1	Ga nukëhni Yesu kore ỹa, më kaƴëk hn'ikuŋ ntaña do vahnë va më njijëni ɗarël lëw̃u. 
MAT.5.2	Awa pëgwëlehn karaŋëndëhni aki:
MAT.5.3	«Mbetani, vële yavëtëk mbalëkëhni uryema W̃ën kaɓi Inaw̃ ambin ŋa vëhni hwëhnëk!
MAT.5.4	Mbetani vële yahnaɗ va, kaɓi W̃ënu ŋa mbosëvosehnëɗëhëhni
MAT.5.5	Mbetani vële vanaɗ va, kaɓi W̃ën njëɗaɗëhëhni nkal iŋa fop!
MAT.5.6	Mbetani vële njok inte gë w̃ënka soŋe usatah w̃a, kaɓi W̃ënu ŋa pihnëndanëɗëhëhni!
MAT.5.7	Mbetani vële kaỹëhnahnëɗ gë vëỹënta hni va, kaɓi W̃ënu ŋa kaỹëhnahnëɗëha gë vëhni!
MAT.5.8	Mbetani vële pacëk vintaw̃ary va, kaɓi nuɗëniha W̃ënu ŋa!
MAT.5.9	Mbetani vële ryemaɗëhëhni vahnë va nuỹani ƴam ỹa, kaɓi W̃ënu ŋa vërahu rëkëɗ macëndëhni!
MAT.5.10	Mbetani vële liɗe këm fo va kaɓi ile satëk ntiɗëni; Inaw̃ ambin ŋa vëhni hwëhnëk!
MAT.5.11	Mbetarun w̃uhnë nte njew̃ëɗerun, mbërehnëɗerun, ntehnëɗerun sifa wanës wameh-wo va kaɓi ami hwëtahnërun. 
MAT.5.12	Tisëryiw̃u, natëryiw̃u, kaɓi icos cankaf hnapëɗëhu ambin hna. Ɗënkwëtaryin, koyëna mbërehniniho 
MAT.5.13	Yesu më mbok ntehnëk: «W̃uhnë ye waŋiry ɗuniỹa ŋa. Ɓare ge waŋiry ŋa gona ŋañ, hak koɗe mbokaryi ŋañëni? Gona kwëhna nafa; ntoŋëɗe g'ipër, do vahnë va njasahnëɗëni.
MAT.5.14	«W̃uhnë ye humpen ɗuniỹa ha. Inaw̃ nte vëryik ƴaŋ hn'ikuŋ ŋa koɗena cow̃i. 
MAT.5.15	Pëɗëɗena lampu do cow̃i sëñ, ɓare kaŋëɗe ƴaŋ pëtënëhnahnëhni vële ye cery va. 
MAT.5.16	Koyëna tëfëka pëtënd humpen hun ha hnë vahnë hna, nuhahnëni ifërën le liɗun ỹa do cëmbahnëniha Rëm hun le ye g'ambin ỹa.»
MAT.5.17	Yesu më mbok ntehnëk kat: «Antë ntiyahnu itëkwehn 
MAT.5.18	Toña ỹa fëƴaɗëmu: gante-wo mbiỹëk ambin ŋi g'inkal iŋi, ñoñ ŋaỹëtëɗena sariya hna, la fakerëh fante ỹak vak. Nkoɗ hafo hale padëɗ fop. 
MAT.5.19	Soŋe umë ye, ale ỹaỹëtëk facariya fante ỹak vak hnë waŋi do karaŋëhni vëỹëntaw̃ va ntintini koyëna ỹa, ahnë arac yeɗ ale ỹak vak ỹa hnë Naw̃ ambin hna. Ɓare ale w̃aw̃ëhnëk do karaŋëhni vëỹëntaw̃ va, naỹëɗ Naw̃ ambin hna. 
MAT.5.20	Toña ỹa fëƴaɗëmu: ge icat dëw̃ hun iŋa dëbëna mba 
MAT.5.21	Yesu më mbok ntehnëk kat: «Njëtarun ntehniniho vacërakëlo fu va: “Nt'aryaw̃a ahnë wakwëhn ampër; ahnë ale-wo-le ryaw̃ëka aỹëntaw̃ a, tëfëka njoyi karyënkw ahitiŋ hna.”
MAT.5.22	Ɓare ami ntehnëɗëmu: ge ahnë ntavëka g'aỹëntaw̃u ỹa, tëfëka njoyi haryënkw ahitiŋ hna; ale lehnëka aỹëntaw̃u ỹa: “Fufafu yeru!” tëfëka kitiŋi 
MAT.5.23	«Ge awa ñaɗu ayëɗahna W̃ënu ŋa 
MAT.5.24	tavëry ile ỹakëndu ayëɗahn ỹa hn'ile cënaɗe saɗëha hna, ayi ten asaŋëndaniw̃u g'aỹënta hu arac; tac g'avokaj asëna saɗëha hu ỹa. 
MAT.5.25	Ge hn'ile akitiŋëɗerun hna nkorun ayindu g'ale rakëlëku ỹa, diry fere ñap asaŋëndanu g'umë hnë wati le worun hn'ankaw̃ ỹa. Ge gena umë, koɗ pëlayehnëhi hnë ahitiŋ hna, do ahitiŋ a njëɗahnëɗëhi gë vësankaf do vëhni cëɗëɗënihi gë kaso. 
MAT.5.26	Toña ỹa fëƴaɗëmi: cahnëɗila hnam muk, hara cosahnëlihna ɗalasi le wonanëruha ỹa!
MAT.5.27	«Njëtarun fëna ntehniko: “Nt'ayëkëlehna asëval ahaw̃ary.”
MAT.5.28	Ɓare ami ntehnëɗëmu: asan ale-wo-le yëkëka asëval ale nkok ñëlëna ỹa hafo naha soŋe ndakëni, arac ndakëni g'asëval arac ntaw̃ary dëw̃u hna. 
MAT.5.29	Awa age nkër hu ŋa ỹaɗ ntiyehni uw̃eh, dokëtary aloŋ ŋaw̃ët: ntihëtaỹi iñë ryampo fecek mbahn hu hna g'ile ntabik mbahn hu ŋa fop hnë hwëɗëh janáma. 
MAT.5.30	Do ge soŋe vák hu rëhw ỹa ñaɗ ntiyehni uw̃eh, dëpëtary aloŋ ŋaw̃ët: ntihëtaỹi iñë ryampo fecek mbahn hu hna g'ile ntabik mbahn hu ŋa fop hnë hwëɗëh janáma.
MAT.5.31	«Njëtarun ntehniko fëna: “Ale vambëka asëvalu ỹa tëfëka njëɗahna kayëte nte rufahnëɗ mbambik.”
MAT.5.32	Ɓare ami ntehnëɗëmu: asan ale-wo-le vambëka asëvalu ỹa, hara pëlalehnëlihna g'asan ahaw̃ary, arac liyendëha ile mbañëk W̃ënu ŋa ge mbok ñëli; do ale ỹëlëka asëval ale mbambëk asan ahaw̃ary ntik ndakëntal nte ye had asëval ale nkok ñëlëna ndakëɗëni.
MAT.5.33	«Njëtarun fëna ntehniniho vacërakëlo fu va: “Nt'arav ile lëkëru haryënkw Ahwëhn hna, ɓare diry le lëkëru ali ỹa.”
MAT.5.34	Ɓare ami, ntehnëɗëmu: nt'alëku muk! Nt'alëkahnu ambin ŋa, kaɓi hnam nke laña W̃ënu ŋa. 
MAT.5.35	Nt'alëkahnu nkal iŋi, kaɓi umë ye sëɓa wapary W̃ënu ŋa. Nt'alëkahnu 
MAT.5.36	Nt'alëkahn dënk vankaf hu vi, kaɓi koɗila ayerëna ma avahnëna wëla imul ɗampo dëw̃ hu ŋa. 
MAT.5.37	Ge ha ye, dehnëryin, “Ha” ge hali ye, dehnëryin “Hali”. Dëk nte-wo-nte wënërun ŋa gë Sintani matiɗ.
MAT.5.38	«Njëtarun ntehniko: “Ge inkër lokëtëruha ahnë, inkër lokëtëgëɗeru do ge beñ wubëruha ahnë beñ wubëgëɗeru.”
MAT.5.39	Ɓare ami ntehnëɗëmu nt'awëcaguna ale liku uw̃eh a. Ge ahnë foryëki uham rëhw w̃a, ƴëɗaryehna poryëgi rahahn w̃a fëna. 
MAT.5.40	Ge ahnë ñaɗ njoyi hnë kitiŋa teɓahni facuɗ fatoƴ fa, taveryëryehna njoryary cankaf ŋa fëna. 
MAT.5.41	Ge ahnë forosiŋëɗëhi ayas kilometër ryampo, ƴasëryin g'umë soŋe wakilometër waki. 
MAT.5.42	Ƴëɗaryehna ale w̃untaki iñë ỹa, do ant'aw̃anja ale rëƴëki inav.
MAT.5.43	«Njëtarun ntehniko: “Ŋahnëryehna aỹënta hu ỹa, do ñew̃ëryehna ale wok ŋahnëlihna ỹa.”
MAT.5.44	Ɓare ami, ntehnëɗëmu: ŋahnëryinëhni vële ỹew̃ëku va do muntanëryinëhni vële liɗëhu këm fo va. 
MAT.5.45	Ge koyëna ntiɗun, tufahnëɗun vutah Rëm hun le ye g'ambin va yerun. Umë canëhniɗëhëhni ulav lëw̃u w̃a, vahnë vëw̃en va do gë vëfërën va do tëvëhnëndëhni vahnë vësatah va gë vële wok vësatëna per. 
MAT.5.46	Ge vële ỹahnëku fo ỹahnërun, soŋe ye hnapëɗun icos W̃ën, ide-wo-de? Wëla vëỹew̃ik va ntiɗëni koyëna! 
MAT.5.47	Ge vëỹënta hun fo yaỹëɗun, ifërën ɗëcët bi lirun koyëna? Wëla vële wok vëyëtëlahna W̃ën va ntiɗëni koyëna. 
MAT.5.48	Awa kwëhnaryin iŋahn padah gante kwëhnak Rëmun le ye g'ambin ki!»
MAT.6.1	«Ant'alindu tase vahnë ile tëƴëk sariya W̃ënu ŋa, soŋe ahamahnahniwu; ge koyëna ntiɗun, nuỹaɗiluhna icos Rëmun le ye g'ambin ỹa. 
MAT.6.2	Awa ge njëɗëɗunëhëhni vëhaỹëhnah va iñë, nt'aliwu ahamahniwu, gante nkeni vële rufëhnaɗ le-wo-le: ntiɗëni koyëna soŋe cëmbahnëndeni. Toña ỹa fëƴaɗëmu: vëhni atëk nuỹani icos dëw̃ hni ŋa. 
MAT.6.3	Ɓare ge vák rëhw hu ỹa njëɗaɗëhëhni vëhaỹëhnah va iñë, vák rahahn hu ỹa tëfëlahna njët, 
MAT.6.4	nkohahn sow̃ik ile liɗu ỹa. Ge koyëna ntiɗu, W̃ënu ŋa, Rëmuh ỹa, hnuɗ ile liɗu wandëm ŋa do cosëɗëhi.»
MAT.6.5	«Ge njëfaɗunëha W̃ënu ŋa, ant'arëfëtalahnënduni vahnë vële ỹahnëk tufëhna vi: vëhni, nëŋahnëkëhni iƴëfa wënkahn 
MAT.6.6	Ɓare wëjë, ge ñaɗu ayëfahna W̃ënu ŋa, tënkëry cery hu hna, afiɗ rënka ỹa do ayëfahna Rëmuh le ye ỹëw̃a sow̃ak dënk hna; do Rëmuh le hnuɗ le liɗu le cow̃aru ỹa, cosëɗëhi.
MAT.6.7	«Ge njëfaɗun nt'arëfëtalahnënduni vële wok vëyëtëlahna W̃ën vi, vëỹaw̃ënkah vi vële njehëk kwëlëkwël wanës wante wok kwëhnahna nafa: ntiyahnëkëhni W̃ënu ŋa maw̃ëndëhëhni ge njaɓënëni wanës ŋa. 
MAT.6.8	Nt'arëfëtalahnënduni. W̃ënu ŋa, Rëm hun ỹa tëk njët le valëku ỹa, ani g'arëƴahnënduna ỹa. 
MAT.6.9	Wëlin gante tëfëka ayëfandu ka:
MAT.6.9	«“Rëm fu le ye g'ambin,
MAT.6.9	Araɓi vahnë va fop njavëtëni W̃ën Hupacah yeru.
MAT.6.10	Araɓi naw̃ hu ŋa njij.
MAT.6.10	Araɓi ale-wo-le ỹa nti nkal li ile ỹaɗu ỹa gante ntiɗe hn'ambin ki.
MAT.6.11	Ƴëɗëryifu fac-wo-fac le rokëɗëfun.
MAT.6.12	Tavëndifu ile lëntëɓun ỹa gante tavëhnëɓunëhëhni, fuhnë fëna, vële lëntahnëkëfu ki.
MAT.6.13	Do nt'aravëfu yëkëhnahnifu, ɓare ŋaw̃ëtëndifuna Aw̃enehna. [Wëjë hwëhnëk ucankaf uŋa gë fanka fa do gë icëmb iŋa kwëlëkwël. Amina.]” 
MAT.6.14	«Ha, toña ye, ge tavëntunëhëhni vëỹënta hun va wameh wante ntinihu ŋa, Rëmun le ye g'ambin ỹa fëna tavëndëhu. 
MAT.6.15	Ɓare ge tavëndilunihna vëỹënta hun va, Rëmun fëna tavëndiluhna wameh wante lirun ŋa.»
MAT.6.16	«Ge cuŋëɗun, ant'aỹañënu wayëka w̃a had gante ntiɗëni vële hnaỹënaɗ ki: mbacëɗëni wayëka w̃a soŋe vahnë va fop njëtahnëni cuŋëni. Toña ỹa fëƴaɗëmu: vëhni tëk nuỹani icos dëw̃ hni ŋa. 
MAT.6.17	Ɓare wëjë, ge cuŋëru, gwëñary do asirëta nkaf ŋa, 
MAT.6.18	soŋe ntë njëtëni vahnë va cuŋëru. Rëmuh le wok nuɗena ỹi umë nuɗ le liɗu wandëm ŋi do cosëɗëhi.»
MAT.6.19	«Nt'avarëpu hnapul hnë iỹi ɗuniỹa, le përëkanëɗëni vamaỹ gë le rokëɗ waryëhwëra, ma le koɗëni nteni vële va. 
MAT.6.20	Ɓare ɓarëparyin hnapul ambin hna, le nkoni wayena vamaỹ ma le rokëɗ waryëhwëra soŋe përëkanahnëni, do hn'ile nkoni wayena vële ntehahnëni. 
MAT.6.21	Ƴëtëryin le nke hnapul hun hna, nkeɗ iña hun iŋa kwëlëkwël.»
MAT.6.22	«Vinkër va ye lampu mbahn ŋa. Ge nuɗu wapacëk mbahn hu ŋa fop kwëhnaɗ humpen. 
MAT.6.23	Ɓare ge vinkër va përënalihna, mbahn hu ŋa fop hn'umëhwëry nkeɗ. Awa ge humpen nte rëfakëha nke hnë wëjë ŋa mëhwëry mbacak, mëhwëry tac mbahnëɗ ɗus!
MAT.6.24	«Ahnë koɗina njohalëhni vahnë vëhi gë ntaw̃ary dëw̃u ŋa fop: caŋëɗëni g'aryampo do ŋahnëɗëha; ñew̃ëɗëha aỹëntaw̃ a do njafa. Koɗiluhna ayohaluna W̃ënu ŋa do ayohalu fëna koryi ndampo fo.»
MAT.6.25	«Paŋare umë lehnandëmu: nt'ahnahandu ile rokëɗun ma vile liyaɗun. Gena bi uwám yaɓëk gë roka do mbahn iŋi yaɓëk fëna gë viỹi vi? 
MAT.6.26	Ƴëkëryinëhni wusëry w̃i: wahnaɗëɗina, wavarëpëɗina fëna, waryanëɗina iroka hnë vandank, ɓare Rëmun le ye g'ambin ỹi ndavëɗëhëhni. Kas w̃uhnë vële lëbëkëhni nafa wusëry w̃i dinëhnëɗiluhna bi ntëbini vëhni ɗus? 
MAT.6.27	Ge ahnë hnë w̃uhnë nahaɗ uryëñah lëw̃u w̃a koɗ bi koyëna nkwën iƴary wafac walëw̃u w̃a?
MAT.6.28	«Do ye hnahaɗun fëna soŋe viỹi vile liyaɗun? Ƴëkëryin gante pëhnëɗ wapëtel waɓë fëk ki: ɗokuŋëɗina, ɓahnëɗina wafand. 
MAT.6.29	Ɓare la ahnaw̃ a Salomo, g'uvetak lëw̃u w̃a fop, nuỹalohna viỹi viwamah had ufëtel ryampo gë watac ki. 
MAT.6.30	W̃ënu ŋa koyëna cuɗëɗëha idël nte ye dol ani do acahn ntoŋi gë hwëɗëh. Ge umë toña ye, kas w̃uhnë cuɗëɗëhu ntëbi dël iŋi! Kwëtahn hun iŋa ƴaɓëna! 
MAT.6.31	Awa ntë nkehahnahnu alehnëndu: “Ye rokëɗen, ye seɗen, ye liyaɗen?” 
MAT.6.32	Vële wok vëyëtëlahna W̃ën va vëraɗ kwëlëkwël soŋe virac fop. Ɓare w̃uhnë, Rëm hun le ye g'ambin ỹa njëtëk mbalëku virac fop. 
MAT.6.33	Awa, ɓëraryin iƴëkëlehn 
MAT.6.34	Antë nkehahnahnu soŋe acahn: acahn ỹa nkehahnahnëɗëha g'umë dënk. Ambër nte yijëɗ fac-wo-fac ŋa gwër nke soŋe fac ỹa.»
MAT.7.1	Yesu më ntehnëk kat: «Nt'ahitiŋu nkeya vëỹënta hu va soŋe W̃ënu ŋa antë kitiŋu w̃uhnë fëna. 
MAT.7.2	Ƴëtëryin ɗus, W̃ënu ŋa kitiŋëɗëhu gante kitiŋëɗunëhëhni vëỹënta hun ka, g'añëŋa nte ỹaŋëhnahnëɗunëhëhni vahnë ŋa ñaŋëhnahnëgëɗëhu W̃ënu ŋa.
MAT.7.3	«Soŋe ye yëkëɗu ivëɗ le ye hnë inkër aỹënta hu hna, do hara kamahnëlihna bërëh bële yehi hnë inkër hu hna? 
MAT.7.4	Hak koɗu alehna aỹënta hu ỹa: “Napërye lihëti ivëɗ le yehi nkër hu ỹi” hara bërëh yehi inkër hu hna? 
MAT.7.5	Wëjë, ale ntiyahnëk catëru alëbëhni vëỹëntaw̃, dihëtary ten bërëh bële yehi inkër hu ỹi tac nuɗu ɗus alihëtahna aỹënta hu ỹi ivëɗ le yeha nkër dëw̃u ỹi.
MAT.7.6	«Nt'ayëɗawuni ile sëvak ỹa waɓe, kaɓi ge njëɗarunëhëhni cahëtanëhnëɗënihu ŋarënihu; nt'aloŋu wanjere hun wakwëhn nafa had sanikona ŋa haryënkw vampëhëmpëh hna, kaɓi ge ntoŋëntunëhëhni nkëñëɗëni do nihëɗ.»
