GEN.1.1	Pradžioje Dievas sutvėrė dangų ir žemę.
EXO.29.33	Ir jie valgys tai, kad būtų atliktas sutaikinimas, kad jie būtų pašvęsti ir įšventinti. Niekas kitas negali to valgyti, nes tai šventa.
EXO.29.34	O jei liktų pašvęstos mėsos ar duonos ligi ryto, liekanas sudeginsi; jų valgyti negalima, nes jos šventos.
EXO.29.35	Visa, ką tau įsakiau, padarysi Aaronui ir jo sūnums. Septynias dienas šventinsi juos
EXO.29.36	ir už nuodėmę kasdien aukosi veršį. Paaukojęs sutaikinimo auką, apvalysi aukurą, patepsi jį ir vėl pašventinsi.
EXO.29.37	Septynias dienas aukosi sutaikinimo auką ir šventinsi aukurą. Jis bus labai šventas aukuras. Kiekvienas, prie jo prisilietęs, taps šventas.
EXO.29.38	Štai ką aukosi ant aukuro: kasdien aukosi du metinius avinėlius –
EXO.29.39	vieną avinėlį rytą, antrą vakare.
EXO.29.40	Kartu su vienu avinėliu paimsi dešimtą dalį efos miltų, sumaišysi juos su ketvirtadaliu hino aliejaus ir paimsi ketvirtadalį hino vyno geriamajai aukai.
EXO.29.41	Kitą gi avinėlį aukosi vakare tuo pačiu būdu, kaip ir rytą, kartu su geriamąja auka, kad būtų malonus aukos kvapas Viešpačiui.
EXO.29.42	Tai deginamoji auka Viešpačiui, aukojama amžinai per kartų kartas prie Susitikimo palapinės įėjimo Viešpaties akivaizdoje. Čia Aš susitiksiu su tavimi ir kalbėsiu tau.
EXO.29.43	Ir čia Aš susitiksiu su izraelitais ir pašventinsiu palapinę savo šlove.
EXO.29.44	Pašventinsiu Susitikimo palapinę, aukurą ir Aaroną su jo sūnumis, kad jie būtų man kunigais.
EXO.29.45	Aš gyvensiu tarp izraelitų ir būsiu jų Dievas.
EXO.29.46	Jie žinos, kad Aš – Viešpats, jų Dievas, kuris juos išvedžiau iš Egipto žemės, kad gyvenčiau tarp jų. Aš Viešpats, jų Dievas“.
EXO.30.1	„Padirbdinsi iš akacijos medžio aukurą smilkalams deginti,
EXO.30.2	uolekties ilgio, uolekties pločio, keturkampį ir dviejų uolekčių aukščio. Ant jo bus ragai.
EXO.30.3	Aptrauksi jo viršų, šonus ir ragus grynu auksu. Padarysi jam auksinį apvadą aplinkui
EXO.30.4	ir auksines grandis po apvadu dviejuose kampuose kartims įkišti, kad jį būtų galima nešti.
EXO.30.5	Kartis padarysi iš akacijos medžio ir aptrauksi jas auksu.
EXO.30.6	Pastatysi aukurą prie uždangos, pakabintos prieš Liudijimo skrynią, ties dangčiu, kuris dengia liudijimą.
EXO.30.7	Kiekvieną rytą Aaronas degins ant jo maloniai kvepiančius smilkalus. Paruošęs lempas, jis degins smilkalus ant šio aukuro.
EXO.30.8	Ir vakare, uždegdamas lempas, jis degins smilkalus ant aukuro. Tai nuolatinis smilkymas Viešpaties akivaizdoje per visas jūsų kartas.
EXO.30.9	Neaukosite ant jo svetimų smilkalų nei deginamųjų aukų, nei valgio aukų ir neliesite geriamųjų aukų.
EXO.30.10	Vieną kartą per metus Aaronas ant aukuro ragų atliks sutaikinimą, aukos už nuodėmes krauju. Tai bus daroma per visas jūsų kartas, nes tai labai šventa Viešpačiui“.
EXO.30.11	Ir Viešpats kalbėjo Mozei:
EXO.30.12	„Kada skaičiuosi izraelitus, paskirk kiekvienam išpirką Viešpačiui, kad jų nepaliestų nelaimės.
EXO.30.13	Kiekvienas turės duoti po pusę šekelio, pagal šventyklos šekelį. Šekelis turi dvidešimt gerų. Pusė šekelio bus jų auka Viešpačiui.
EXO.30.14	Visi, sulaukę dvidešimties ar daugiau metų amžiaus, duos auką Viešpačiui.
EXO.30.15	Turtingas nemokės daugiau ir beturtis nemokės mažiau – pusę šekelio jie duos kaip auką Viešpačiui, kad jų sielos būtų sutaikintos.
EXO.30.16	Izraelitų sutaikinimo pinigus atiduosi Susitikimo palapinės reikalams“.
EXO.30.17	Ir Viešpats kalbėjo Mozei:
EXO.30.18	„Padirbdinsi varinę praustuvę su stovu ir ją pastatysi tarp Susitikimo palapinės ir aukuro.
EXO.30.19	Aaronas ir jo sūnūs mazgos joje savo rankas ir kojas.
EXO.30.20	Eidami į Susitikimo palapinę, jie nusimazgos vandeniu, kad nenumirtų, taip pat eidami prie aukuro aukoti deginamosios aukos Viešpačiui.
EXO.30.21	Jie mazgos savo rankas ir kojas, kad nemirtų. Tai yra amžinas nuostatas Aaronui ir jo palikuonims per visas kartas“.
EXO.30.22	Ir dar Viešpats kalbėjo Mozei:
EXO.30.23	„Imk geriausių kvepalų: penkis šimtus šekelių miros ir pusę tiek cinamono, tai yra du šimtus penkiasdešimt šekelių, ir kvepiančių nendrių du šimtus penkiasdešimt šekelių,
EXO.30.24	kasijos penkis šimtus šekelių pagal šventyklos šekelį ir vieną hiną alyvmedžių aliejaus.
EXO.30.25	Padarysi šventojo patepimo aliejų, sumaišydamas visa tai vaistininkų būdu; tai bus šventas patepimo aliejus.
EXO.30.26	Juo patepsi Susitikimo palapinę, Liudijimo skrynią,
EXO.30.27	stalą su jo priedais, žvakidę su jos priedais, smilkymo aukurą,
EXO.30.28	deginamųjų aukų aukurą ir praustuvę.
EXO.30.29	Tu pašventinsi visa, ir tai bus labai šventa; kas prie jų prisilies, taps šventas.
EXO.30.30	Patepsi Aaroną bei jo sūnus ir juos įšventinsi būti mano kunigais.
EXO.30.31	Izraelitams sakysi, kad toks patepimo aliejus bus šventas visoms jūsų kartoms.
EXO.30.32	Žmogaus kūnas juo nebus tepamas; jokio kito tos sudėties tepalo nedarysite, nes jis yra šventas ir bus jums šventas.
EXO.30.33	Kas tokį pat padarytų ar juo pateptų pašalietį, bus išnaikintas iš savo tautos“.
EXO.30.34	Ir Viešpats tarė Mozei: „Imk kvepalų: stakto, miros, balzamo, galbano ir skaidrių sakų visų vienodą svorį.
EXO.30.35	Padarysi iš jų smilkalus, sumaišydamas vaistininkų būdu, grynus ir šventus.
EXO.30.36	Sutrinsi tai smulkiai ir padėsi ties Susitikimo palapine, kurioje su tavimi susitiksiu. Tie smilkalai bus jums labai šventi.
EXO.30.37	Tokio mišinio nedarysite savo reikalams, nes jis bus šventas Viešpačiui.
EXO.30.38	Kiekvienas, kuris sau pasidarytų tokį pat mišinį ir juo naudotųsi, bus išnaikintas iš savo tautos“.
EXO.31.1	Ir Viešpats kalbėjo Mozei:
EXO.31.2	„Aš pašaukiau vardu Hūro sūnaus Ūrio sūnų Becalelį iš Judo giminės
EXO.31.3	ir jį pripildžiau Dievo dvasios, išminties, sumanumo, pažinimo ir amato išmanymo,
EXO.31.4	kad sugebėtų viską padaryti iš aukso, sidabro, vario,
EXO.31.5	brangių akmenų ir medžio.
EXO.31.6	Daviau jam padėjėją Ahisamako sūnų Oholiabą iš Dano giminės; kiekvienam daviau išmintį padaryti viską, apie ką tau kalbėjau.
EXO.31.7	Jie padarys Susitikimo palapinę, Liudijimo skrynią, jos dangtį ir visus palapinės reikmenis:
EXO.31.8	stalą su jo priedais, gryno aukso žvakidę su jos priedais, aukurus smilkymui
EXO.31.9	ir deginamosioms aukoms bei visus jų reikmenis, praustuvę su jos stovu,
EXO.31.10	tarnavimo apdarus ir šventus drabužius kunigui Aaronui ir jo sūnums, kad būtų man kunigais,
EXO.31.11	patepimo aliejų, kvepiančius smilkalus šventyklai – viską, ką tau įsakiau, jie padarys“.
EXO.31.12	Viešpats toliau kalbėjo Mozei:
EXO.31.13	„Kalbėk izraelitams: ‘Privalote laikytis sabato, nes tai yra ženklas tarp manęs ir jūsų kartų kartoms, kad žinotumėte, jog Aš esu Viešpats, kuris jus pašventinu.
EXO.31.14	Laikykitės sabato, nes jis šventas; kas jį suterš, turi mirti. Kas dirbs tą dieną, bus išnaikintas iš savo tautos.
EXO.31.15	Šešias dienas dirbsite, o septintoji diena yra sabatas – poilsis, pašvęstas Viešpačiui. Kiekvienas, kuris dirbs sabato dieną, turi mirti.
EXO.31.16	Izraelitai privalo laikytis sabato per visas savo kartas kaip amžinos sandoros
EXO.31.17	tarp manęs ir Izraelio vaikų. Nes Viešpats per šešias dienas sukūrė dangų ir žemę, o septintąją dieną ilsėjosi ir atsigaivino’“.
EXO.31.18	Baigęs kalbėti, Viešpats davė Mozei ant Sinajaus kalno dvi akmenines liudijimo plokštes, parašytas Dievo pirštu.
EXO.32.1	Tauta, nesulaukdama Mozės grįžtant, susirinko apie Aaroną ir sakė jam: „Padaryk mums dievą, kuris eitų pirma mūsų, nes mes nežinome, kas atsitiko tam žmogui Mozei, kuris mus išvedė iš Egipto žemės“.
EXO.32.2	Aaronas jiems atsakė: „Imkite iš savo žmonų, sūnų ir dukterų auksinius auskarus ir atneškite man“.
EXO.32.3	Visi žmonės išsiėmė auksinius auskarus iš savo ausų ir atnešė juos Aaronui.
EXO.32.4	Tas juos išlydė ir nuliedino veršį. Žmonės tarė: „Izraeli, štai tavo dievas, kuris tave išvedė iš Egipto žemės“.
EXO.32.5	Aaronas, matydamas tai, pastatė aukurą ir paskelbė: „Rytoj Viešpaties šventė!“
EXO.32.6	Atsikėlę anksti rytą, jie aukojo deginamąsias ir padėkos aukas, sėdo valgyti ir gerti, ir kėlėsi žaisti.
EXO.32.7	Ir Viešpats pasakė Mozei: „Eik, nusileisk žemyn, nes tavo tauta, kurią išvedei iš Egipto žemės, nusidėjo.
EXO.32.8	Jie greitai nuklydo nuo kelio, kurį jiems nurodžiau. Nusiliedinę veršį, jį garbina, jam aukoja aukas ir sako: ‘Šitas yra tavo dievas, Izraeli, kuris tave išvedė iš Egipto žemės’.
EXO.32.9	Matau, kad tai kietasprandė tauta.
EXO.32.10	Palik mane, kad mano rūstybė užsidegtų prieš juos ir juos sunaikinčiau, o iš tavęs padarysiu didelę tautą“.
EXO.32.11	Mozė maldavo Viešpatį, savo Dievą, sakydamas: „Kodėl, Viešpatie, Tavo rūstybė užsidega prieš Tavo tautą, kurią išvedei iš Egipto žemės didžia jėga ir galinga ranka?
EXO.32.12	Kodėl egiptiečiai turėtų sakyti: ‘Išvedė juos į pražūtį, kad nužudytų kalnuose ir išnaikintų nuo žemės paviršiaus’. Liaukis rūstavęs ir nesielk piktai su šia tauta.
EXO.32.13	Atsimink savo tarnus: Abraomą, Izaoką ir Izraelį, kuriems prisiekei: ‘Padauginsiu jūsų palikuonis kaip dangaus žvaigždes ir visą šitą žemę, apie kurią kalbėjau, duosiu jūsų palikuonims, kad jie paveldėtų ją amžiams’“.
EXO.32.14	Ir Viešpats nepasielgė piktai su savo tauta, kaip buvo sumanęs.
EXO.32.15	Mozė sugrįžo nuo kalno, nešdamas rankoje dvi liudijimo plokštes, abiejose pusėse prirašytas.
EXO.32.16	Plokštės ir jose įrėžtas raštas buvo Dievo darbas.
EXO.32.17	Jozuė, išgirdęs šūkaujančios tautos triukšmą, tarė Mozei: „Karo šauksmas girdisi stovykloje“.
EXO.32.18	O Mozė atsakė: „Tai ne nugalėtojų šauksmas ir ne pralaimėjusiųjų balsai, bet dainuojančių balsus aš girdžiu“.
EXO.32.19	Prisiartinęs prie stovyklos, jis išvydo veršį ir šokius. Mozė užsidegė pykčiu ir išmetė iš rankų abi plokštes, ir jas sudaužė kalno papėdėje.
EXO.32.20	Paėmęs veršį, kurį jie buvo pasidarę, sudegino jį ir sutrynė į dulkes; jas subėrė į vandenį ir davė gerti Izraelio vaikams.
EXO.32.21	Mozė klausė Aaroną: „Ką tau padarė šita tauta, kad užtraukei jiems tokią didelę nuodėmę?“
EXO.32.22	Aaronas atsakė: „Tenesirūstina mano valdovas. Tu žinai šitą tautą, kad jie greit nusikalsta.
EXO.32.23	Nes jie man sakė: ‘Padirbk mums dievą, kuris eitų pirma mūsų, nes mes nežinome, kas atsitiko tam žmogui Mozei, kuris mus išvedė iš Egipto žemės’.
EXO.32.24	Aš jiems sakiau: ‘Kas iš jūsų turi aukso, suneškite!’ Jie atidavė man auksą, aš įmečiau jį į ugnį ir išėjo šitas veršis“.
EXO.32.25	Mozė matė, kad tauta yra apnuoginta, nes Aaronas buvo ją apnuoginęs ir pastatęs priešų pajuokai.
EXO.32.26	Tada Mozė, stovėdamas stovyklos vartuose, sakė: „Kas esate Viešpaties, susirinkite prie manęs!“ Prie jo susirinko visi Levio sūnūs.
EXO.32.27	Jis tarė: „Taip sako Viešpats: ‘Kiekvienas prisijuoskite kardą prie juosmens. Eikite per stovyklą išilgai nuo vartų ligi vartų ir nužudykite savo brolį, draugą ir artimą’“.
EXO.32.28	Levitai padarė, kaip Mozė įsakė. Tą dieną krito maždaug trys tūkstančiai žmonių.
EXO.32.29	Nes Mozė sakė: „Pasišvęskite šiandien Viešpačiui, nesigailėkite savo sūnaus nė brolio, kad jums tektų palaiminimas“.
EXO.32.30	Kitą dieną Mozė kalbėjo tautai: „Labai nusidėjote: eisiu pas Viešpatį, gal kaip nors sutaikinsiu jus dėl jūsų nusikaltimo“.
EXO.32.31	Sugrįžęs pas Viešpatį, tarė: „Šita tauta, pasidarydama auksinį dievą, labai nusidėjo.
EXO.32.32	Bet aš maldauju, atleisk jiems tą kaltę: jei ne, išbrauk mane iš knygos, kurion įrašei“.
EXO.32.33	Viešpats jam atsakė: „Kas man nusideda, tą išbrauksiu iš savo knygos.
EXO.32.34	Todėl eik ir vesk tautą, kur tau įsakiau. Mano angelas eis pirma tavęs. O kai laikas ateis, Aš juos nubausiu už jų nuodėmę“.
EXO.32.35	Viešpats baudė tautą dėl veršio, kurį Aaronas buvo padaręs.
EXO.33.1	Viešpats kalbėjo Mozei: „Eik ir keliauk iš šitos vietos su tauta, kurią išvedei iš Egipto, į šalį, apie kurią prisiekiau Abraomui, Izaokui ir Jokūbui, sakydamas: ‘Aš ją duosiu tavo palikuonims’.
EXO.33.2	Aš siųsiu pirma tavęs angelą ir išstumsiu kanaaniečius, amoritus, hetitus, perizus, hivus ir jebusiečius.
EXO.33.3	Eik į žemę, plūstančią pienu ir medumi; tačiau Aš pats neisiu su jumis, kadangi esate kietasprandė tauta, kad kartais nesunaikinčiau jūsų kelyje“.
EXO.33.4	Tauta, išgirdusi tokią blogą žinią, nuliūdo, nė vienas nesipuošė papuošalais.
EXO.33.5	Nes Viešpats sakė Mozei: „Kalbėk Izraelio tautai: ‘Jūs esate kietasprandė tauta: jei įeičiau pas jus nors trumpam, sunaikinčiau jus. Todėl nusiimkite savo papuošalus, kad žinočiau, ką su jumis daryti’“.
EXO.33.6	Izraelitai nusiėmė nuo savęs papuošalus prie Horebo kalno.
EXO.33.7	Mozė ištiesė palapinę toli už stovyklos ir pavadino ją Susitikimo palapine. Visi žmonės, kurie ieškojo Viešpaties, eidavo iš stovyklos prie Susitikimo palapinės.
EXO.33.8	Kai Mozė eidavo į palapinę, visi žmonės pakildavo ir stovėdavo savo palapinių angose, sekdami jį akimis, kol jis įeidavo palapinėn.
EXO.33.9	Mozei įėjus į Susitikimo palapinę, debesies stulpas nusileisdavo ir stovėdavo prie palapinės įėjimo ir Viešpats kalbėdavosi su Moze.
EXO.33.10	Visa tauta matė debesies stulpą prie palapinės įėjimo, ir visi žmonės pakildavo ir pagarbindavo savo palapinių angose.
EXO.33.11	Viešpats kalbėdavo su Moze veidas į veidą, kaip žmogus kalbasi su savo draugu. Jam grįžtant į stovyklą, jo tarnas Jozuė, Nūno sūnus, jaunas vyras, nepasitraukdavo nuo palapinės.
EXO.33.12	Mozė tarė Viešpačiui: „Liepei išvesti šitą tautą ir nepasakei, ką siųsi su manimi, tačiau sakei: ‘Aš tave pažįstu ir žinau tavo vardą, tu radai malonę mano akyse’.
EXO.33.13	Jei tad radau malonę Tavo akyse, apreikšk man savo kelius, kad Tave pažinčiau ir galėčiau atrasti malonę Tavo akyse, nes tie žmonės yra Tavo tauta“.
EXO.33.14	Viešpats atsakė: „Mano artumas eis su tavimi, ir Aš įvesiu tave į poilsį“.
EXO.33.15	Mozė atsakė: „Jei Tavo artumas neis, nevesk mūsų niekur iš šitos vietos.
EXO.33.16	Nes kaip man sužinoti, kad aš ir Tavo tauta atradome malonę Tavo akyse? Ar ne iš to, kad Tu eisi su mumis? Taip aš ir Tavo tauta būsime išskirti iš visų žemės tautų“.
EXO.33.17	Viešpats atsakė Mozei: „Ir šį prašymą patenkinsiu, nes radai malonę mano akyse ir Aš žinau tavo vardą“.
EXO.33.18	Mozė prašė: „Parodyk man savo šlovę“.
EXO.33.19	Viešpats atsakė: „Aš leisiu visai savo šlovei praeiti pro tave ir paskelbsiu tau Viešpaties vardą, ir būsiu maloningas tam, kam būsiu maloningas, ir pasigailėsiu to, ko pasigailėsiu.
EXO.33.20	Mano veido negalėsi matyti, nes žmogus, mane pamatęs, negali išlikti gyvas.
EXO.33.21	Štai vieta šalia manęs! Atsistok ant šios uolos.
EXO.33.22	Kai mano šlovė eis pro šalį, tave pastatysiu uolos plyšyje ir pridengsiu savo ranka, kol praeisiu.
EXO.33.23	Po to atitrauksiu ranką ir matysi mane iš užpakalio, mano gi veido nematysi“.
EXO.34.1	Viešpats tarė Mozei: „Išsikirsk dvi akmenines plokštes. Aš jose įrašysiu žodžius, kurie buvo sudaužytose plokštėse.
EXO.34.2	Rytą būk pasiruošęs, užlipk į Sinajaus kalną ir atsistok mano akivaizdoje.
EXO.34.3	Nė vienas su tavimi tegul neateina ir nė vienas tenepasirodo visame kalne. Taip pat galvijai ir avys tenesigano prie kalno“.
EXO.34.4	Jis iškirto iš akmens dvi plokštes, kokios buvo pirmosios; atsikėlęs anksti rytą, užlipo į Sinajaus kalną, kaip Viešpats buvo įsakęs, nešdamas rankose plokštes.
EXO.34.5	Viešpats nužengė debesyje ir atsistojo šalia jo, ir paskelbė Viešpaties vardą.
EXO.34.6	Viešpats praėjo pro jį ir paskelbė: „Viešpats, Viešpats Dievas, gailestingas ir maloningas, kantrus ir kupinas gerumo bei tiesos,
EXO.34.7	parodantis gailestingumą tūkstančiams, atleidžiantis nusikaltimus, neteisybes ir nuodėmes, tačiau nepaliekantis kalto nenubausto, bet baudžiantis už tėvų nusikaltimus vaikus ir vaikaičius iki trečios ir ketvirtos kartos“.
EXO.34.8	Mozė skubiai nusilenkė iki žemės ir pagarbino Viešpatį.
EXO.34.9	Ir jis sakė: „Jei radau malonę Tavo akyse, Viešpatie, maldauju Tave, eik kartu su mumis, nes tauta yra kietasprandė; atleisk mūsų neteisybes ir nuodėmes, padaryk mus savo nuosavybe!“
EXO.34.10	Viešpats atsakė: „Štai darau sandorą ir visos tavo tautos akyse darysiu stebuklus, kokių niekas nedarė žemėje ir jokiose tautose. Šita tauta matys Viešpaties darbą, nes Aš su tavimi darysiu baisių dalykų.
EXO.34.11	Įsidėmėk, ką šiandien tau įsakau. Aš išvarysiu tavo akivaizdoje amoritus, kanaaniečius, hetitus, perizus, hivus ir jebusiečius.
EXO.34.12	Saugokis ir nedaryk sandoros su tų kraštų gyventojais, kad jie netaptų spąstais tarp jūsų:
EXO.34.13	sugriauk jų aukurus, sutrupink atvaizdus ir iškirsk giraites.
EXO.34.14	Negarbink svetimų dievų, nes Viešpats yra pavydus Dievas.
EXO.34.15	Nedaryk sandoros su anų kraštų žmonėmis, kad kas nors iš jų garbinęs stabus nepasikviestų tavęs jų aukų valgyti.
EXO.34.16	Neimk savo sūnums žmonų iš jų dukterų, kad jos, garbindamos stabus, neįtrauktų ir tavo sūnų garbinti jų dievų.
EXO.34.17	Nepasigamink nulietų dievų.
EXO.34.18	Švęsk Neraugintos duonos šventę. Septynias dienas valgyk neraugintą duoną Abibo mėnesį, kaip įsakiau, nes Abibo mėnesį išėjai iš Egipto.
EXO.34.19	Visų gyvulių pirmagimiai yra mano – patinėliai jautukai ir ėriukai.
EXO.34.20	Asilo pirmagimį išpirksi avinu, o jei jo neišpirksi, nusuk jam sprandą. Pirmagimius savo sūnus išpirk ir nepasirodyk mano akivaizdoje tuščiomis rankomis.
EXO.34.21	Šešias dienas dirbk, septintą dieną ilsėkis, net sėjos ir pjūties metu.
EXO.34.22	Švęsk Savaičių šventę, tai yra pirmųjų kviečių derliaus šventę, taip pat Derliaus nuėmimo šventę, metams baigiantis.
EXO.34.23	Tris kartus per metus visi tavo vyrai privalo pasirodyti Viešpaties, Izraelio Dievo, akivaizdoje.
EXO.34.24	Aš išvarysiu tautas prieš tave ir išplėsiu tavo krašto ribas; niekas nepuls tavo žemių, tau išėjus pasirodyti tris kartus per metus Viešpaties, tavo Dievo, akivaizdoje.
EXO.34.25	Neaukok mano aukos kraujo kartu su raugu; nieko nepalik iki ryto iš Paschos aukos.
EXO.34.26	Savo lauko pirmuosius vaisius atgabenk į Viešpaties Dievo namus. Nevirk ožiuko jo motinos piene“.
EXO.34.27	Viešpats tarė Mozei: „Užrašyk žodžius, kuriais padariau sandorą su tavimi ir Izraeliu“.
EXO.34.28	Jis buvo ant kalno su Viešpačiu keturiasdešimt dienų ir keturiasdešimt naktų, nevalgė duonos ir negėrė vandens. Ir Jis įrašė plokštėse sandoros žodžius, dešimt įsakymų.
EXO.34.29	Nužengdamas nuo Sinajaus kalno, Mozė nešėsi dvi liudijimo plokštes ir nežinojo, kad jo veidas po pašnekesio su Viešpačiu spindėjo.
EXO.34.30	Aaronas ir izraelitai, matydami spindintį Mozės veidą, bijojo prie jo priartėti.
EXO.34.31	Tik jam pašaukus, Aaronas ir visi vyresnieji susirinko pas jį. Mozė kalbėjo su jais.
EXO.34.32	Po to susirinko ir visi izraelitai. Jis jiems perdavė viską, ką Viešpats jam kalbėjo Sinajaus kalne.
EXO.34.33	Baigęs kalbėti, jis užsidėjo ant veido gaubtuvą.
EXO.34.34	Įėjęs pas Viešpatį ir su Juo kalbėdamas, Mozė gaubtuvą nusiimdavo. Išėjęs perduodavo izraelitams viską, kas jam buvo įsakyta.
EXO.34.35	Izraelio vaikai matė Mozės veidą, kad jis spindėjo, ir Mozė užsidėdavo gaubtuvą, iki eidavo kalbėti su Juo.
EXO.35.1	Mozė, sušaukęs visus izraelitus, paskelbė, ką Viešpats įsakė:
EXO.35.2	„Šešias dienas dirbsite, o septintoji diena yra šventa, sabato poilsis Viešpačiui. Kas tą dieną dirbs, bus baudžiamas mirtimi.
EXO.35.3	Nekurkite ugnies sabato dieną savo būstuose“.
EXO.35.4	Ir Mozė kalbėjo visam Izraelio vaikų susirinkimui: „Štai ką įsakė Viešpats:
EXO.35.5	‘Kiekvienas atneškite Viešpačiui auką, laisva valia atneškite ją Viešpačiui: auksą, sidabrą, varį,
EXO.35.6	mėlynus, raudonus ir violetinius siūlus, ploną drobę, ožkų vilnas,
EXO.35.7	raudonai dažytus avinų kailius, opšrų kailius, akacijos medį,
EXO.35.8	aliejų lempoms, kvepalus patepimo aliejui ir kvepiantiems smilkalams,
EXO.35.9	onikso akmenėlius ir brangius akmenis efodui bei krūtinės skydeliui.
EXO.35.10	Kas tarp jūsų sumanus, teateina ir tedirba, ką Viešpats įsakė:
EXO.35.11	palapinę ir jos uždangalus, grandis, lentas ir kartis, stulpus ir pakojus;
EXO.35.12	skrynią, jos kartis bei dangtį ir uždangą;
EXO.35.13	stalą su kartimis bei reikmenimis ir padėtine duona;
EXO.35.14	žvakidę lempoms, jos reikmenis ir aliejų deginimui;
EXO.35.15	smilkymo aukurą ir kartis, patepimo aliejų ir kvapius smilkalus; užuolaidą palapinės įėjimui,
EXO.35.16	deginamųjų aukų aukurą, jo varines groteles su kartimis ir reikmenimis, praustuvę ir jos stovą;
EXO.35.17	kiemo užkabas su stulpais ir pakojais, užkabą kiemo įėjimui;
EXO.35.18	palapinės ir kiemo kuolelius su virvelėmis;
EXO.35.19	apdarus, naudojamus tarnaujant šventykloje, vyriausiojo kunigo Aarono ir jo sūnų drabužius kunigų tarnystei atlikti’“.
EXO.35.20	Tada visi izraelitai išsiskirstė.
EXO.35.21	Ir atėjo kiekvienas, kurio širdis buvo sujaudinta ir kiekvienas, kurio dvasioje buvo noras, ir atnešė Viešpačiui auką Susitikimo palapinei statyti, ko reikia jos tarnavimui ir šventiems rūbams.
EXO.35.22	Vyrai ir moterys, kurių širdyse buvo noras, davė sagtis, auskarus, žiedus, apyrankes – įvairius auksinius daiktus. Visi aukojusieji atnešė auksą kaip auką Viešpačiui.
EXO.35.23	Kas tik turėjo mėlynų, raudonų ir violetinių siūlų, plonos drobės, ožkų vilnų, raudonai dažytų avinų kailių, opšrų kailių,
EXO.35.24	sidabro ir vario ir akacijos medžio, tinkamo įvairiems daiktams, atnešė ir paaukojo Viešpačiui.
EXO.35.25	Sumanios moterys davė, ką buvo suverpusios: mėlynų, raudonų, violetinių ir plonų lininių siūlų.
EXO.35.26	Moterys, kurių širdys buvo sujaudintos, sumaniai suverpė ožkų vilnas.
EXO.35.27	Kunigaikščiai atnešė onikso akmenėlių ir brangiųjų akmenų efodui ir krūtinės skydeliui,
EXO.35.28	kvepalų, aliejaus lempoms, patepimo aliejui ir kvapniems smilkalams.
EXO.35.29	Vyrai ir moterys, kurių širdyse buvo noras, aukojo, kad būtų atlikti darbai, kuriuos Viešpats jiems įsakė per Mozę. Visi izraelitai aukojo Viešpačiui laisva valia.
EXO.35.30	Tada Mozė vėl kalbėjo: „Viešpats pašaukė vardu Hūro sūnaus Ūrio sūnų Becalelį iš Judo giminės,
EXO.35.31	pripildė jį Dievo dvasios, išminties, sumanumo, pažinimo ir amato išmanymo
EXO.35.32	padaryti įvairių meniškų dalykų iš aukso, sidabro ir vario,
EXO.35.33	taip pat iškalti akmenį ir drožti medį – visus menininko darbus padaryti.
EXO.35.34	Ir Jis įdėjo sugebėjimą mokyti į jo ir Ahisamako sūnaus Oholiabo iš Dano giminės širdis.
EXO.35.35	Juos apdovanojo išmintimi atlikti raižytojo, įgudusio audėjo ir siuvinėtojo iš mėlynų, raudonų, violetinių ir plonų lininių siūlų darbus, kad jie meniškai padarytų kiekvieną darbą“.
EXO.36.1	Tai ėmėsi darbo Becalelis, Oholiabas ir kiti sumanūs vyrai, kuriems Viešpats davė išminties ir supratimo, kaip padaryti įvairius reikmenis šventyklai pagal visus Viešpaties nurodymus.
EXO.36.2	Mozė pasišaukė Becalelį, Oholiabą ir visus sumanius vyrus, kurie savo noru sutiko dirbti prie šventyklos darbų.
EXO.36.3	Mozė atidavė jiems visas aukas, kurias Izraelio vaikai atnešė šventyklos darbams. Tauta kas rytą vis dar nešė laisvos valios aukas.
EXO.36.4	Visi sumanūs vyrai, kurie darė šventyklos darbus, atėjo nuo savo darbų ir kalbėjo Mozei:
EXO.36.5	„Tauta aukoja daugiau negu reikia, kad įvykdytume šį Viešpaties įsakytą darbą“.
EXO.36.6	Tada Mozė liepė paskelbti, kad nei vyras, nei moteris nieko daugiau nebeaukotų šventyklos statybai. Tada žmonės nustojo aukoti,
EXO.36.7	nes visko, kas buvo sunešta, užteko visiems darbams padaryti ir dar liko.
EXO.36.8	Sumanūs vyrai, kurie darė palapinę, padarė iš plonos suktų siūlų drobės ir mėlynų, raudonų ir violetinių siūlų dešimt uždangalų su išsiuvinėtais cherubų vaizdais.
EXO.36.9	Kiekvienas jų buvo dvidešimt aštuonių uolekčių ilgio ir keturių uolekčių pločio – visi uždangalai buvo vienodo dydžio.
EXO.36.10	Jie sujungė penkis uždangalus vieną su kitu ir likusius penkis sujungė vieną su kitu.
EXO.36.11	Be to, padarė mėlynas kilpas vienam ir antram uždangalui,
EXO.36.12	po penkiasdešimt kilpų, kad kilpos būtų viena prieš kitą ir uždangalai galėtų būti sukabinti.
EXO.36.13	Nuliejo taip pat penkiasdešimt auksinių kabių, kuriomis sukabino abu uždangalus taip, kad pasidarė viena palapinė.
EXO.36.14	Padarė ir vienuolika uždangalų iš ožkų plaukų palapinės viršui apdengti.
EXO.36.15	Kiekvienas uždangalas buvo trisdešimties uolekčių ilgio ir keturių uolekčių pločio – visi vienuolika uždangalų buvo vienodo dydžio.
