GEN.1.1	Pradžioje Dievas sukūrė dangų ir žemę. 
DEU.13.6	Bet anas pranašas ar sapnuotojas bus nubaustas mirtimi, nes skelbė išdavystę 
DEU.13.7	Jei tave gundytų kas nors, net jei tai būtų tavo brolis ar tavo motinos sūnus, net jei tai būtų tavo paties sūnus ar duktė, ar žmona, kurią myli, ar artimiausias bičiulis, sakydamas: ‘Eime ir garbinkime kitus dievus’, kurių nei tu, nei tavo protėviai nesate pažinoję, 
DEU.13.8	kurį nors iš aplinkinių tautų dievų, ar tai būtų arti, ar toli nuo jūsų, bet kur – nuo vieno žemės galo ligi kito, – 
DEU.13.9	nesutik su tokiu ir neklausyk jo. Jam nei gailesčio, nei užuojautos neparodyk ir jo kaltės nenuslėpk. 
DEU.13.10	Užmuškite jį. Tebūna tavo ranka pirmoji pakelta prieš jį, baudžiant jį mirtimi, o po tavęs ir visų kitų žmonių rankos. 
DEU.13.11	Užmušk jį akmenimis, nes jis stengiasi nuvilioti tave nuo 
DEU.13.12	Tada visas Izraelis išgirs ir bijos; daugiau tokia nedorybė nebus daroma tarp jūsų.
DEU.13.13	Jei kuriame iš miestų, 
DEU.13.14	kad atsirado nedorėlių, kurie suvedžiojo miesto gyventojus, sakydami: ‘Eime ir garbinkime kitus dievus’, kurių jūs nepažinojote, 
DEU.13.15	tu nuodugniai išsiteirausi, ištirsi, išklausinėsi. Jei tiesa, kad toks pasibjaurėtinas dalykas buvo jūsų padarytas, 
DEU.13.16	tu išžudysi to miesto gyventojus kalaviju, visiškai sunaikinsi miestą ir visa, kas jame; net galvijus išžudysi kalaviju. 
DEU.13.17	Sukrauk visą grobį miesto aikštėje ir sudegink ugnyje miestą ir visą jo grobį kaip pilnutinę deginamąją auką 
DEU.13.18	Teneprilimpa prie tavo rankų niekas, kas skirta sunaikinti, idant 
DEU.13.19	su sąlyga, kad klausysi 
DEU.14.2	nes esi tauta, pašvęsta 
DEU.14.3	Nevalgysi, kas pasibjaurėtina. 
DEU.14.4	Štai gyvuliai, kuriuos galite valgyti: jautis, avis, ožka, 
DEU.14.5	stirna, gazelė, danielius, laukinė ožka, kalnų ožys, antilopė ir kalnų avis. 
DEU.14.6	Iš gyvulių galite valgyti kiekvieną gyvulį, kuris turi nagą, skeltą į dvi dalis, ir atrajoja. 
DEU.14.7	Tačiau iš tų, kurie atrajoja ar yra skeltanagiai, nevalgysite kupranugario, kiškio ir opšraus, nes jie, nors ir atrajoja, bet skeltų nagų neturi. Jie jums nešvarūs. 
DEU.14.8	Ir kiaulė jums nešvarus gyvulys, nes ji, nors ir turi skeltus nagus, bet neatrajoja. Nei šių gyvulių mėsos valgysite, nei jų dvėsenos liesite.
DEU.14.9	Iš visų vandens gyvūnų galite valgyti tuos, kurie turi pelekus ir žvynus; tokius galite valgyti. 
DEU.14.10	Kas pelekų ir žvynų neturi, to negalite valgyti. Tie gyvūnai jums nešvarūs.
DEU.14.11	Galite valgyti visus švarius paukščius. 
DEU.14.12	Bet yra tokių, kurių nevalgysite
DEU.14.13	lingė, grifas, įvairių rūšių sakalai, 
DEU.14.14	visos varnų rūšys, 
DEU.14.15	strutis, pelėda, žuvėdra, įvairių rūšių vanagai, 
DEU.14.16	apuokas, ūbaujanti pelėda, baltoji pelėda, 
DEU.14.17	pelikanas, palšasis grifas, kormoranas, 
DEU.14.18	gandras, įvairių rūšių garniai, kukutis ir šikšnosparnis. 
DEU.14.19	Visi sparnuotieji vabzdžiai jums nešvarūs, jie nebus valgomi. 
DEU.14.20	Galite valgyti visus švarius sparnuotus gyvūnus.
DEU.14.21	Kas nugaišęs, to nevalgysite. Gaišeną valgyti gali duoti ateiviui, gyvenančiam tavo mieste, ar parduoti svetimšaliui, nes tu esi tauta, pašvęsta 
DEU.14.22	Kasmet atskirsi 
DEU.14.23	Valgysi dešimtinę savo grūdų, vyno bei aliejaus ir savo bandų bei kaimenių pirmagimius 
DEU.14.24	Bet jei, 
DEU.14.25	gali dešimtinę pakeisti į pinigus. Su pinigais rankoje saugiai nueik į vietą, kurią 
DEU.14.26	Panaudosi pinigus nupirkti, ką norėsi – jaučių, avių, vyno, stipraus gėrimo ir ko tik trokši. Ten, 
DEU.14.27	Ir levito, gyvenančio tavo mieste, nepalik tuščiomis, nes jis neturi nei dalies, nei paveldo kaip tu.
DEU.14.28	Kas treti metai atneši visą tų metų savo derliaus dešimtinę ir atiduosi ją į miesto svirną. 
DEU.14.29	Levitas, kadangi jis neturi nei dalies, nei paveldo su tavimi, taip pat ateivis, našlaitis ir našlė, esantys tavo mieste, galės ateiti ir pavalgyti iki soties, idant 
DEU.15.1	Kas septinti metai švęsi skolų atleidimą. 
DEU.15.2	Šitokia yra atleidimo esmė: kiekvienas skolintojas atleis skolą, kurią buvo paskolinęs savo artimui, – nebereikalaus jos iš savo artimo ar giminaičio, nes buvo paskelbtas 
DEU.15.3	Iš svetimtaučio gali jos reikalauti, bet turi atleisti visa, ką tau skolingas tavo giminaitis.
DEU.15.4	Tarp jūsų neturi būti elgetų, nes 
DEU.15.5	jei tik paklausysi 
DEU.15.6	Kai 
DEU.15.8	Verčiau ištiesk ranką ir noriai jam skolink, ko tik jis stokoja. 
DEU.15.9	Saugokis, kad nepuoselėtum širdyje klastingos minties, sakydamas: ‘Septintieji metai, skolų atleidimo metai, artinasi’, ir, rūsčiai į savo nuskurdusį artimą pasižiūrėjęs, nieko jam neduotum. Prieš tave jis šauksis 
DEU.15.10	Tad duok jam dosniai ir neapgailestauk širdimi, tai darydamas, nes 
DEU.15.11	Kadangi krašte 
DEU.15.13	Paleisdamas vergą laisvą, neišsiųsk jo tuščiomis rankomis. 
DEU.15.14	Aprūpink jį dosniai iš savo avių kaimenės, iš kluono, iš vynuogių spaudyklos, duodamas iš dosnumo, kuriuo 
DEU.15.15	Atsimink, kad buvai vergas Egipto žemėje, ir 
DEU.15.16	Bet jei jis tau sakytų: ‘Aš neisiu iš tavo namų’, dėl to, kad myli tave ir tavo šeimyną, nes jam gera pas tave, 
DEU.15.17	tai, paėmęs ylą, perdursi jo ausies lezgelį, priglaustą prie durų, ir jis amžinai bus tavo vergas. Panašiai pasielgsi ir su savo verge.
DEU.15.18	Nesijausk nuskriaustas, kai paleidi jį laisvą, nes tarnyba, kurią jis tau yra atlikęs per tuos šešerius metus, verta dvigubos samdinių algos. Be to, 
DEU.15.20	Suvalgysite jį – tu drauge su savo šeimyna – 
DEU.15.21	Bet jei jis turėtų trūkumą, kokį nors didelį trūkumą, būtų raišas ar aklas, jo 
DEU.15.22	Galite jį valgyti savo gyvenvietėse, nešvarūs ir švarūs gali jį valgyti, kaip valgoma gazelė ir stirna. 
DEU.15.23	Tik 
DEU.16.1	Švęsk abibo mėnesį, atnašaudamas 
DEU.16.2	Atnašausi Paschą 
DEU.16.3	Nieko rauginto su ja nevalgysi. Septynias dienas valgysi neraugintą duoną – vargo duoną, idant atsimintumei per visas gyvenimo dienas savo išėjimą iš Egipto žemės, nes iš Egipto žemės išėjai labai skubėdamas. 
DEU.16.4	Per septynias dienas joks raugas tenesirodo visoje tavo žemėje; tenebūna palikta ligi ryto nieko iš mėsos, kurią aukojai pirmosios dienos vakarą.
DEU.16.5	Paschos negali atnašauti nė viename iš savo miestų, kuriuos 
DEU.16.6	Tik toje vietoje, kurią jis išrinks kaip buveinę savo vardui, tik ten atnašausi Paschą vakare, saulei leidžiantis, būtent tuo metu, kai išėjai iš Egipto. 
DEU.16.7	Virsi ir valgysi toje vietoje, kurią 
DEU.16.8	Šešias dienas valgęs neraugintą duoną, septintą dieną švęsi iškilmingą sueigą 
DEU.16.10	Tada tu švęsi Savaičių iškilmes, 
DEU.16.11	Džiūgausi 
DEU.16.12	Atsimink, kad buvai vergas Egipte, ir ištikimai laikykis šių įstatų.
DEU.16.13	Suvalęs klojimo ir vynuogių spaudyklos derlių, septynias dienas 
DEU.16.14	Džiūgausi šventės dienomis tu ir tavo sūnūs bei dukterys, tavo vergai bei vergės ir levitai, ateiviai, našlaičiai bei našlės, gyvenantys tavo miestuose. 
DEU.16.15	Septynias dienas švęsi šias iškilmes 
DEU.16.16	Tris kartus per metus – Neraugintosios duonos šventėje, Savaičių šventėje ir Palapinių šventėje – visi tavo vyriškiai pasirodys 
DEU.16.17	Kiekvienas atnašaus, kiek išgali, pagal 
DEU.16.18	Paskirsi teisėjus ir apskaitininkus visur giminėse, visose savo gyvenvietėse, kurias 
DEU.16.19	Neiškraipyk teisingumo, nerodyk šališkumo, neimk kyšio, nes kyšis aptemdo išmintingųjų akis ir iškraipo teisiųjų bylą. 
DEU.16.20	Tik to, kas teisu, teisingai tesieksi, idant tarptumei ir paveldėtumei kraštą, kurį 
DEU.16.22	nei šventojo akmens; jų 
DEU.17.1	Neaukosi 
DEU.17.2	Jei pas tave, vienoje gyvenviečių, kurias tau duoda 
DEU.17.3	eidami 
DEU.17.4	ir jei apie tai tau būtų pranešta ar tu pats sužinotumei, turi reikalą rūpestingai ištirti. Jei tiesa, kad toks pasibjaurėtinas dalykas yra įvykęs Izraelyje, 
DEU.17.5	išvesi už savo miesto vartų vyrą ar moterį, padariusius tokį nedorą dalyką, ir užmušite tą vyrą ar moterį akmenimis. 
DEU.17.6	Žmogus gali būti nubaustas mirtimi tik dviejų ar trijų liudytojų liudijimu; niekas neturi būti nubaustas mirtimi, prieš jį liudijant tik vienam liudytojui. 
DEU.17.7	Vykdant mirties bausmę, liudytojų rankos tebūna pakeltos pirmos prieš jį, o po to turi prisidėti visi žmonės. Taip 
DEU.17.8	Jei išspręsti bylą tau per sunku, ar tai būtų ginčas dėl žmogžudystės, ar įstatyminės teisės, ar dėl asmens užpuolimo – bet kokia ginčą kelianti byla tavo vartuose, – skubėk nueiti į vietą, kurią 
DEU.17.9	Atėjęs pasitarsi su kunigais iš Levio giminės ir teisėju, kuris tomis dienomis yra atsakingas. Jie tau paskelbs bylos nuosprendį. 
DEU.17.10	Vykdyk tiksliai nuosprendį, paskelbtą iš vietos, kurią 
DEU.17.11	Turi elgtis pagal visus duotus nurodymus ir paskelbtą nuosprendį; nenukrypk nuo paskelbto nuosprendžio nei į dešinę, nei į kairę. 
DEU.17.12	Jei kas įžūliai savimi pasitikėdamas drįstų nepaklusti kunigui, paskirtam ten tarnauti 
DEU.17.13	Visi žmonės, tai girdėdami, bijos ir savimi pasitikėdami įžūliai daugiau nebesielgs.
DEU.17.14	Kai būsi atėjęs į kraštą, kurį 
DEU.17.15	iš tikrųjų gali pasiskirti karaliumi tą, kurį 
DEU.17.16	Tačiau 
DEU.17.17	Jis neims nei ves vis daugiau ir daugiau žmonų, kad jo širdis nenutoltų; 
DEU.17.18	Įsodintas į savo karalystės sostą, jis turės įsakyti, kad šio įstatymo nuorašas būtų jam padarytas ant ritinio Levio giminės kunigų akivaizdoje. 
DEU.17.19	Tepasilieka jis su juo, teskaito jį visas savo gyvenimo dienas, idant, ištikimai laikydamasis šio įstatymo žodžių ir šių įstatų, išmoktų pagarbiai bijoti 
DEU.17.20	Teneišpuiksta jo širdis prieš kitus brolius, tenenukrypsta nei į dešinę, nei į kairę, idant jis ir jo palikuonys ilgai karaliautų Izraelyje.
DEU.18.1	Visa Levio kunigų giminė neturės dalies ar paveldo Izraelyje. Jie gyvens tik iš 
DEU.18.2	bet neturės jokios dalies tarp savo broliškų giminių. 
DEU.18.3	Kunigai turės teisę iš žmonių, atnašaujančių jautį ar avį, gauti mentę, abu žandikaulius ir skrandį. 
DEU.18.4	Savo grūdų, vyno bei aliejaus pirmienas ir pirmąsias savo avių vilnas duosi jam, 
DEU.18.5	nes 
DEU.18.6	Jei levitas norėtų eiti iš bet kurios tavo gyvenvietės Izraelyje, kad ir kur jis gyventų, į vietą, kurią 
DEU.18.7	Ten jis gali tarnauti 
DEU.18.8	Jie gaus tokias pat dalis valgyti kaip kiti, nepaisant jų asmeniškų dovanų ar palikimo.
DEU.18.9	Kai būsi įėjęs į kraštą, kurį 
DEU.18.10	Tenebūna rasta tarp jūsų nė vieno, kuris aukoja sudegindamas savo sūnų ar dukterį arba užsiima būrimu, arba yra 
DEU.18.11	ar 
DEU.18.12	Juk kas tik tokius dalykus daro, tas pasibjaurėtinas 
DEU.18.13	Tad tu turi būti nuoširdžiai ištikimas 
DEU.18.14	Nors tos tautos, kurias tu eini išvaryti, iš tikrųjų klauso žynių ir užsiimančiųjų būrimu, 
DEU.18.16	, savo Dievo, prašei sueigos dieną prie Horebo, sakydamas: ‘Neleisk man ilgiau klausytis 
DEU.18.17	Tada 
DEU.18.18	Išugdysiu jiems pranašą kaip tave iš jų giminių ir įdėsiu savo žodžius į pranašo lūpas. Jis pasakys jiems visa, ką būsiu jam įsakęs. 
DEU.18.19	Jei kas nors neklausys žodžių, kuriuos pranašas kalbės mano vardu, aš pats pašauksiu jį už tai atsakyti. 
DEU.18.20	O pranašas, drįstantis tarti mano vardu pranašavimą, kurio aš jam neįsakiau tarti, ar kalbantis kitų dievų vardu, turi mirti’. 
DEU.18.21	Galbūt tu klausi: ‘Kaip galima žinoti, kad tas pranašavimas nėra 
DEU.18.22	Jeigu pranašas kalba 
DEU.19.1	Kai 
DEU.19.2	tu atskirsi tris miestus krašte, kurį 
DEU.19.3	Apskaičiuosi nuotolius ir padalysi į tris sritis kraštą, kurį 
DEU.19.4	Štai kokiu atveju žmogžudys gali ten pabėgti ir savo gyvybę išgelbėti: kai netyčiomis yra užmušęs savo artimą, kuriam niekada nėra buvęs priešas. 
DEU.19.5	Tarkime, nueina kas nors su artimu į mišką malkų pasikirsti, ir jam, pakėlus kirvį medžiui kirsti, kirvis nuslysta nuo koto ir mirtinai užgauna artimą. Toks žmogus gali bėgti į vieną iš tų miestų ir išgelbėti savo gyvybę.
DEU.19.6	Jei nuotolis būtų per didelis, keršytojas už kraują, vydamasis pykčio įkarštyje, galėtų pasivyti žmogžudį ir jį užmušti, nors mirties bausmės jis nebuvo užsitraukęs, nes niekada nebuvo buvęs savo artimo priešu. 
DEU.19.7	Todėl aš tau ir įsakau atskirti tris miestus.
DEU.19.8	Kai 
DEU.19.9	jei ištikimai laikysies viso šio įsakymo, kurį tau šiandien duodu, mylėdamas 
DEU.19.10	Taip nebus pralietas nekalto žmogaus kraujas, užtraukdamas tau kraujo kaltę krašte, kurį 
DEU.19.11	Tačiau jei kas nors, būdamas nesantaikoje su artimu, patykojęs užpultų jį ir, atėmęs jo gyvybę, pabėgtų į vieną šių miestų, 
DEU.19.12	žmogžudžio miesto seniūnai parsigabens jį iš ten ir perduos keršytojui už kraują nubausti mirties bausme. 
DEU.19.13	Nerodysi jam jokio gailesčio, bet pašalinsi nekalto kraujo kaltę iš Izraelio, idant tu klestėtumei.
DEU.19.16	Jei nedoras liudytojas stoja prieš žmogų ir apkaltina jį neištikimybe įstatymui, 
DEU.19.17	abi šalys turės pasirodyti prieš 
DEU.19.18	Teisėjai tada reikalą nuodugniai ištirs. Jei liudytojas yra neteisingas, melagingai liudijęs prieš savo artimą, 
DEU.19.19	turite su juo taip pasielgti, kaip jis buvo norėjęs elgtis su artimu. Taip pašalinsi pikta iš jūsų. 
DEU.19.20	Kiti, apie tai išgirdę, bijos, ir toks nusikaltimas niekada daugiau nebebus daromas tarp jūsų. 
DEU.19.21	Nerodysi jokio gailesčio: gyvybė už gyvybę, 
DEU.20.1	Kai, eidamas į karo žygį prieš savo priešus, pamatysi žirgus ir vežimus, didesnę kariuomenę negu tavo, nebijok jų, nes 
DEU.20.2	Prieš prasidedant mūšiui kunigas išeis į priekį ir pasakys kariams kalbą. 
DEU.20.3	Jis sakys: ‘Klausykis, Izraeli! Šiandien jūs einate į mūšį su savo priešais. Nebūkite nusiminę! Nebijokite jų, nedrebėkite ir nepasiduokite siaubui, 
DEU.20.4	nes pats 
DEU.20.5	Tada apskaitininkai kreipsis į kareivius, sakydami: ‘Ar yra kas nors, kas pasistatė naujus namus, bet dar nešventė įkurtuvių? Teeina jis namo, kad kartais nežūtų mūšyje, ir kitas nešvęstų jo įkurtuvių. 
DEU.20.6	Ar yra kas nors, kas įsiveisė vynuogyną, bet dar nesidžiaugė jo vaisiais? Teeina jis namo, kad kartais nežūtų mūšyje, ir kitas nesidžiaugtų jo vaisiais. 
DEU.20.7	Ar yra kas nors, kas susižadėjo su moterimi, bet dar nėra jos vedęs? Teeina jis namo, kad kartais nežūtų mūšyje, ir kitas jos nevestų’. 
DEU.20.8	Apskaitininkai, toliau kalbėdami kariams, sakys: ‘Ar yra kas nors išsigandęs ir nusiminęs? Teeina jis namo, kad per jį brolių drąsa neišblėstų’. 
DEU.20.9	Apskaitininkams baigus kalbėti kariams, kariuomenės didžiūnai ims vadovauti gretoms.
DEU.20.10	Prisiartinęs prie miesto jo pulti, pasiūlyk jam taikos sąlygas. 
DEU.20.11	Jeigu jis tavo taikos sąlygas priima ir pasiduoda, visi jame esantys žmonės turės tau eiti lažą. 
DEU.20.12	O jeigu jis tau taikiai nepasiduoda, bet kariauja, tu jį apgulsi. 
DEU.20.13	, tavo Dievui, atidavus jį tau į rankas, išžudysi jame visus vyrus kalaviju. 
DEU.20.14	Tačiau kaip grobį gali pasiimti moteris, vaikus, galvijus bei visa kita, kas mieste, visą karo grobį, ir maitintis iš savo priešų paimto karo grobio, kurį 
DEU.20.15	Taip elgsiesi su visais miestais, kurie labai toli nuo tavęs, su tais miestais, kurie nepriklauso arti esančioms tautoms. 
DEU.20.16	Tačiau tų tautų miestuose, kuriuos 
DEU.20.17	Sunaikinsi juos – hetitus ir amoritus, kanaaniečius ir perizus, hivus ir jebusiečius, kaip 
DEU.20.18	kad jie neišmokytų tavęs visų tų pasibjaurėtinų dalykų, kuriuos daro savo dievams, ir nenusidėtumėte 
DEU.20.19	Kai būsi apgulęs miestą ilgą laiką, kariausi prieš jį, norėdamas paimti, nesunaikink jo medžių, pakeldamas prieš juos kirvį. Jų vaisius gali valgyti, bet neturi jų kirsti. Argi laukų medžiai yra žmonės, kad ir jie turėtų būti įtraukti į tavo apgulą? 
DEU.20.20	Tik medžius, kuriuos žinai nesant vaismedžius, gali naikinti ir kirsti su tavimi kariaujančio miesto apgulos pylimų statybai, kol miestas kris.
DEU.21.1	Jei žemėje, kurią 
DEU.21.2	tavo seniūnai ir teisėjai nuėję išmatuos atstumą tarp miestų, esančių arti lavono. 
DEU.21.3	Tada arčiausiai lavono esančio miesto seniūnai paims iš bandos telyčią, kuri dar nėra buvusi pajungta darbui ir jungo niekada netraukė. 
DEU.21.4	To miesto seniūnai nuves telyčią į slėnį su nuolat tekančiu upeliu, prie vietos, kuri nėra suarta ar apsėta, ir ten, slėnyje, nusuks telyčiai sprandą. 
DEU.21.5	Ateis kunigai, Levio sūnūs, nes 
DEU.21.6	Tada visi arčiausiai lavono esančio miesto seniūnai, nusiplovę rankas virš telyčios, kuriai slėnyje buvo nusuktas sprandas, 
DEU.21.7	pareikš: ‘Mūsų rankos šio kraujo nepraliejo nei mūsų akys tai matė. 
DEU.21.8	Atleisk, 
DEU.21.9	Taip tu pašalinsi nekalto kraujo kaltę iš jūsų, nes darysi, kas teisu 
DEU.21.10	Kai eisi kariauti su savo priešais, ir 
DEU.21.11	tarkime, jog pamatysi tarp belaisvių gražią moterį, kurios geistum ir norėtum ją imti sau žmona. 
DEU.21.12	Parsivesi ją į namus, ji pasikirps plaukus, apsikarpys nagus 
DEU.21.13	ir nusivilks belaisvės apdarą. Ji praleis visą mėnesį tavo namuose, apraudodama savo tėvą ir motiną. Tada gali sueiti su ja ir būti jos vyru, o ji bus tavo žmona. 
DEU.21.14	Tačiau jeigu vėliau nebūsi ja patenkintas, turėsi duoti jai laisvę. Už pinigus jos parduoti negalėsi. Neturi elgtis su ja kaip su verge, nes ją išnaudojai.
DEU.21.15	Jei vyras turėtų dvi žmonas, vieną mylimą ir kitą nemėgstamą, ir jos abi – mylimoji ir nemėgstamoji – pagimdytų jam sūnus, bet pirmagimis būtų nemėgstamosios sūnus, 
DEU.21.16	tą dieną, kai dalys savo nuosavybę sūnums, jis negalės laikyti savo pirmagimiu mylimosios žmonos sūnaus vietoj nemėgstamosios žmonos sūnaus, kuris yra pirmagimis. 
DEU.21.17	Jis turi pripažinti pirmagimiu sūnų tos, kurios nemėgsta, ir duoti jam dvigubą dalį visko, ką turi, nes jis yra pirmasis jo vyriškumo vaisius, ir pirmagimio teisė priklauso jam.
DEU.21.18	Jei žmogus turėtų neklaužadą ir maištingą sūnų, neklausantį tėvo ir motinos balso, nepaklūstantį jiems, nors jie ir baustų jį, 
DEU.21.19	jo tėvas ir motina pačiups jį ir nuves pas miesto seniūnus prie tos vietovės vartų. 
DEU.21.20	Jie pareikš miesto seniūnams: ‘Šis mūsų sūnus yra neklaužada ir maištingas. Mūsų jis neklauso. Jis yra besotis ir girtuoklis’. 
DEU.21.21	Tada visi miesto vyrai užmuš jį akmenimis. Taip pašalinsi pikta iš jūsų; visas Izraelis, apie tai girdėdamas, bijos.
DEU.21.22	Jei žmogus bus padaręs nusikaltimą, vertą mirties bausmės, ir, bausmę įvykdžius, pakabinsi jo lavoną ant medžio, 
DEU.21.23	kūnas neturi likti ant medžio visą naktį. Palaidosi jį tą pačią dieną, nes tas, 
DEU.22.2	Jei tas artimas negyvena arti tavęs ar tu nežinai, kas yra gyvulio savininkas, parsivesi jį į namus. Jis bus pas tave, kol savininkas atsišauks; tada sugrąžinsi jam. 
DEU.22.3	Taip pat elgsiesi su artimo asilu; taip pat elgsiesi su artimo drabužiu; taip pat elgsiesi su kiekvienu kitu daiktu, kurį tavo artimas pamestų, o tu rastum. Negali praeiti pro šalį nepagelbėjęs.
DEU.22.4	Matydamas parkritusį ant kelio savo artimo asilą ar jautį, nepraeisi pro šalį, bet turi jam padėti parkritusį pakelti ant kojų.
DEU.22.5	Moteris nevilkės vyriško apdaro nei vyras rengsis moteriškais drabužiais, nes, kas taip daro, kelia pasibjaurėjimą 
DEU.22.6	Jei, einant keliu, pasitaikytų užtikti paukščio lizdą bet kur medyje ar ant žemės su jaunikliais ar kiaušiniais, su tupinčia motina ant jauniklių ar kiaušinių, motinos drauge su jaunikliais nepaimsi. 
DEU.22.7	Leisk motinai nuskristi ir pasiimk tik jauniklius, idant tau gerai sektųsi ir ilgai gyventumei.
DEU.22.8	Statydamas naujus namus, padirbsi savo stogui turėklus, idant neužsitrauktumei kraujo kaltės ant savo namų, jei kas nuo jo žemėn nupultų.
DEU.22.10	Nearsi poron įkinkytais jaučiu ir asilu.
DEU.22.11	Nesirengsi drabužiais, pasiūtais iš drauge suaustų vilnų ir linų.
DEU.22.13	Tarkime, vyras veda žmoną ir, suėjęs su ja, ima jos neapkęsti, 
DEU.22.14	prasimano kaltinimų ir šmeiždamas sako: ‘Vedžiau šią moterį, bet, suėjęs su ja, neradau įrodymo, kad ji būtų mergelė’. 
DEU.22.15	Tokiu atveju merginos tėvas ir motina pateiks merginos mergystės ženklus seniūnams miesto vartuose. 
DEU.22.16	Merginos tėvas pareikš seniūnams: ‘Aš daviau savo dukterį žmona šiam vyrui, bet jis neapkenčia jos. 
DEU.22.17	Prasimanė net kaltinimų, sakydamas: ‹Neradau įrodymo, kad tavo duktė būtų mergelė›. Betgi štai mano dukters mergystės ženklai’. Tada jiedu išskleis drabužį miesto seniūnų akivaizdoje. 
DEU.22.18	To miesto seniūnai paims tą vyrą ir nuplaks. 
DEU.22.19	Be to, jie nubaus jį šimto sidabrinių šekelių bauda ir atiduos juos merginos tėvui, nes vyras apšmeižė mergelę Izraelyje. O ji pasiliks jo žmona; jis niekada neturės teisės su ja išsiskirti.
DEU.22.20	Tačiau jei šis kaltinimas yra tiesa, jei buvo rasta, kad mergina nebuvo mergelė, 
DEU.22.21	mergina bus atvesta prie jos tėvo namų durų, ir miesto vyrai užmuš ją akmenimis, nes ji padarė gėdingą dalyką Izraelyje, sanguliaudama savo tėvo namuose. Taip tu pašalinsi pikta iš jūsų.
DEU.22.22	Jei vyras pagautas gulintis su kito žmona, jiedu abu – vyras ir moteris, su kuria jis sugulė – turi mirti. Taip pašalinsi pikta iš Izraelio.
DEU.22.23	Jei mieste vyras užklumpa merginą, kuri yra susižadėjusi, ir sueina su ja, 
DEU.22.24	išvesi juodu abu už miesto vartų ir užmuši akmenimis: merginą už tai, kad mieste nesišaukė pagalbos, o vyrą už tai, kad išprievartavo savo artimo žmoną. Taip pašalinsi pikta iš jūsų.
DEU.22.25	Bet jei laukuose vyras užklumpa merginą, kuri yra susižadėjusi, užpuola ir sugula su ja, tik su ja sugulęs vyras turi mirti, 
DEU.22.26	o merginai nieko nedarysi. Mergina neužsitraukė mirties bausmės, nes tai panašu į atvejį, kai žmogus užpuola ir nužudo artimą. 
DEU.22.27	Kadangi užklupo ją laukuose, susižadėjusioji mergina šaukėsi pagalbos, bet nebuvo kas ją išgelbėtų.
DEU.22.29	su ja sugulęs vyras duos merginos tėvui penkiasdešimt sidabrinių šekelių, o ji taps jo žmona. Kadangi išprievartavo, jis niekada neturės teisės su ja išsiskirti.
DEU.23.2	Nė vienas, kurio sėklidės sutraiškytos ar varpa nupjauta, nebus priimtas į 
DEU.23.4	Joks amonitas ar moabitas nebus priimtas į 
DEU.23.5	dėl to, kad nepasitiko jūsų su duona ir vandeniu kelionėje iš Egipto, ir dėl to, kad 
DEU.23.6	bet 
DEU.23.7	Niekada nesirūpinsi jų gerove ar labu, kol tik būsi gyvas.
DEU.23.8	Nesibjaurėsi edomitais, nes jie tavo giminės. Nesibjaurėsi egiptiečiais, nes buvai ateivis jų žemėje. 
DEU.23.9	Jiems gimę trečios kartos vaikai gali būti priimti į 
DEU.23.10	Kai žygyje prieš savo priešus įsirengi stovyklą, susilaikyk nuo visko, kas nepadoru. 
DEU.23.11	Jei kas nors iš jūsų taps nešvarus nakčia dėl sėklos išsiliejimo, jis turi išeiti iš stovyklos. 
DEU.23.12	Artėjant vakarui, jis apsiplaus vandeniu ir, saulei leidžiantis, gali pareiti į stovyklą.
DEU.23.13	Už stovyklos turėsi nurodytą vietą, kur galėsi eiti laukan. 
DEU.23.14	Prie savo aprangos turėsi ir kastuvėlį. Nusilengvinęs už stovyklos, iškasi duobę ir pridengsi savo išmatas. 
DEU.23.15	Kadangi 
DEU.23.16	Vergo, išsigelbėjusio pas tave nuo savininko, neatiduosi jo savininkui. 
DEU.23.17	Jis gyvens su tavimi bet kurioje vietoje, kurią išsirinks tarp jūsų kuriame nors mieste, kur tik jam patiks. Tu neturi jo skriausti.
DEU.23.19	Neneši kekšės užmokesčio ar kekšininko atlygio į 
DEU.23.21	Gali reikalauti palūkanų už paskolas iš svetimtaučio, bet už paskolas savo tautiečiui neturi reikalauti palūkanų, idant 
DEU.23.23	Bet, susilaikydamas nuo įžadų, kaltės neužsitrauksi. 
DEU.23.24	Kas išėjo iš tavo lūpų, turi ištikimai padaryti, kaip laisvai esi savo lūpomis pažadėjęs 
DEU.23.25	Kai įžengsi į kaimyno vynuogyną, gali valgyti vynuogių iki soties, bet į savo indą nieko nesidėsi. 
DEU.23.26	Kai įeini į savo kaimyno nepjautų javų lauką, 
DEU.24.1	Tarkime, vyras paima žmoną ir sueina su ja. Bet ji nesusilaukia malonės jo akyse, nes jis atskleidžia kokį nors jos nepadorumą, 
DEU.24.2	O ji, palikusi jo namus, tampa kito vyro žmona. 
DEU.24.3	Tarkime, ir antrasis vyras jos nepakenčia, parašo skyrybų raštą ir išsiunčia iš savo namų, arba antrasis ją vedęs vyras miršta. 
DEU.24.4	Pirmasis vyras, kuris buvo ją išsiuntęs, negali jos vėl imti sau žmona po to, kai ji yra buvusi netinkama, nes tai būtų pasibjaurėtina 
