MAT.1.1	Raa inɗe maamiraaɓe Yeesu *Almasiifu, ɓii *Ibraahim ɓii *Dawda :
LUK.15.31	Baaba vi'i mo : « Ɓiyam, aan a wondi e am koo ndeye, ko ngoonmi fuu aan jeyi ɗum. 
LUK.15.32	E haani nanen belɗum, gam minyiraawo maaɗa o'o o maayiino, ammaa jo'oni o ummitake, o majjiino ammaa o heɓtaama. »
LUK.16.1	Yeesu vi'i almaajiri'en muuɗum :
LUK.16.1	— E woodi goɗɗo diskuɗo aardinɗo goɗɗo dow jawdi muuɗum gam o reena ndi. Goɗɗo feere vi'i diskuɗo oon : On ɗoon mo aardinɗaa dow jawdi maaɗa emo vonna ndi. 
LUK.16.2	Gam ma'ajum diskuɗo oon noddi mo, vi'i : Ɗume naneymi dow maaɗa ? Hollam no njogoriɗaa jawdi am, gam gada hannde mi ittete dow ma'ari. 
LUK.16.3	Aardinaaɗo dow jawdi oon vi'i nder ɓernde muuɗum : « Noye mbaɗeymi ? Rah, jawmu wuro am no ittey yam dow kuugal. Miin boo mi walaa semmbee remgo, kadimaa tornde e semtoo yam. 
LUK.16.4	Aahaa ! Jo'oni mi annditii no mbaɗeymi, gam yimɓe njaɓa yam nder gureeji mu''en to mi ittaama dow kuugal am. » 
LUK.16.5	Sey o lilani ɓe jawmu wuro ma'ako tokkata nyamaande, o vi'i arano : « Noye jawmu wuro am tokkey maa ? » 
LUK.16.6	O vi'i mo : « Paali nebbam jaytun keme joveetati (800). » Aardinaaɗo dow jawdi oon vi'i mo : « Jaɓ ɗereewol nyamaande maaɗa, yaawnu vinndu keme nayi (400). » 
LUK.16.7	Ndeen o vi'i ɗiɗaɓo : « Aan fa, noye tokketeɗaa ? » O vi'i mo : « Buhuuji alkamaari dubuu (1 000). » O vi'i mo : « Jaɓ ɗereewol nyamaande maaɗa vinndu buhuuji keme joveetati (800). » 
LUK.16.8	Jawmu wuro manii aardinaaɗo mo huwaay goonga oon, gam ƴoyre muuɗum. Gam yimɓe ɓe tokkaay Allah e ɓuri tokkuɓe mo ƴoyre dow jawdi duuniyaaru.
LUK.16.9	Miin emi vi'a on : Kuutiree jawdi duuniyaaru gam keɓon higooɓe, sabu to jawdi ndiin re'i, ɗum jaɓa on nder gure ɗe faa abadaa. 
LUK.16.10	Koolniiɗo dow hu'unde seɗɗa, no laatoto koolniiɗo dow ɗuuɗɗum. Noon boo mo hoolnaaki dow hu'unde seɗɗa, hoolnataako dow ɗuuɗɗum. 
LUK.16.11	To on koolnaaki e jogaago jawdi duuniyaaru, moye hoolotoo jogingo on jawdi asama ngoongaari ? 
LUK.16.12	To on njogoraaki jawdi goɗɗo e goonga, moye hokkata on ko laatotoo ɗum mooɗon ?
LUK.16.13	Walaa maccuɗo baaweyɗo jagganaago jawmiraaɓe ɗiɗo. Koo o wanya go'oto o yiɗa go'oto, koo o mawnina go'oto o yavoo go'oto. Onon boo on mbaawataa jagganaago Allah e jawdi nder wakkaci go'otum.
LUK.16.14	Nde *Fariisa'en nani ko o vi'i fuu, ɓe nyiiɓtii mo gam ɓe yiɗɓe ceede. 
LUK.16.15	Yeesu vi'i ɓe :
LUK.16.15	— Onon yeeso yimɓe eɗon kolla ko'e mooɗon on goonga'en, ammaa Allah e anndi ɓerɗe mooɗon. Gam ko yimɓe mawninta e laatii haram yeeso Allah.
LUK.16.16	*Tawreeta e defte annabo'en nga'ajinaama faa wargo wakkaci Yahayya baɗoowo baptisma. Ila wakkaci ɗuum, *Habaru Belɗum ɗum *laamu Allah e wa'ajinee. Koo moye e durva gam heɓa nattugo Laamu nguun. 
LUK.16.17	Ammaa e noon fuu, taggugo dow e lees no ɓurey hoygo, dow e ittugo toɓɓel go'otel nder Tawreeta.
LUK.16.18	Koo moye seeri debbo muuɗum hoovii goɗɗo, njeenu o waɗata. Kooviiɗo ceeraaɗo maa, njeenu waɗata.
LUK.16.19	— E woonnoo goɗɗo diskuɗo ɓornotooɗo kolte caɗɗe. Koo ndeye emo nder belɗum, emo nyaama ko o yiɗi fuu. 
LUK.16.20	Ɗoon e dammugal wuro ma'ako e woodi goɗɗo cooyɗo bi'eteeɗo Li'aajaru, emo waalii. Ɓanndu ma'ako fuu e heevi putte. 
LUK.16.21	Emo yiɗnoo o heɓa nyaamgo koo ko rufi e lesdi gada nyaamdu diskuɗo oon. Kareeji maa e ngara e taha putte ma'ako. 
LUK.16.22	Nde cooyɗo oon maayi, malaa'ika'en njahari mo to annabi *Ibraahim. Diskuɗo boo maayi, o uvaa 
LUK.16.23	o natti Laahira. Emo yara bone korey, sey o ƴefti gite ma'ako, o teeyni annabi Ibraahim to woɗɗi, Li'aajaru boo e jooɗii ha'ade ma'ako. 
LUK.16.24	Diskuɗo oon noddi Ibraahim e semmbee vi'i : « Yaa Ibraahim, nan jurumɗum am, lil Li'aajaru mbi'aa mo o suuva hoore feɗeengo ma'ako nder ndiyam o feewna ɗemngal am, gam emi yara bone nder nge'e yiite. » 
LUK.16.25	Ibraahim vi'i mo : « Ɓinngel am, nyumtu wakkaci nde ngonnoɗaa nder duuniyaaru a heɓii ko ngiɗɗaa fuu, Li'aajaru boo yarii bone. Ammaa jo'oni emo ɗoon nana belɗum, aan boo a ɗoon yara bone. 
LUK.16.26	Ko ɓuri ɗum fuu, e woodi ngaska lugguka hakkunde meeɗen, giɗɗo iɓgo ɗo'o yaha to mooɗon waawataa, giɗɗo ivoygo to mooɗon wara to amin boo waawataa. » 
LUK.16.27	Diskuɗo oon vi'i : « Bappa, emi toro ma, lil Li'aajaru toon wuro baaba am, 
LUK.16.28	gam emi woodi rimdaaɓe njovo, emi yiɗi o yaha o anndina ɓe, gam kamɓe maa to' ɓe ngar ɗo'o to njareymi bone. » 
LUK.16.29	Ibraahim toontii mo vi'i : « Eɓe ngoodi *Tawreeta e defte annabo'en, sey ɓe mbaɗa ko ɗe mbi'i. » 
LUK.16.30	Diskuɗo oon vi'i : « Ɗum heƴataa, maama am Ibraahim ! Ammaa to goɗɗo nder maayɓe yahii to maɓɓe, ɓe tuubey. » 
LUK.16.31	Ibraahim vi'i mo : « To ɓe nanaay ko Tawreeta e defte annabo'en mbi'ata, ɓe njaɓataa, koo to ummitiiɗo nder maayde vi'i ɓe ka. »
LUK.17.1	Sey Yeesu vi'i *almaajiri'en muuɗum :
LUK.17.1	— Daahir e woodi ko waɗata yimɓe e waɗgo hakke, ammaa kayco laatiiɗo daliila ma'ajum. 
LUK.17.2	Ɗum ɓuraneyno neɗɗo oon o haɓɓanee haayre teddunde e daande o feree nder maayo, dow o waɗa go'oto nder ɓe'e famarɓe nder goonɗinki e waɗgo hakke. 
LUK.17.3	To noon ndeenee ko'e mooɗon.
LUK.17.3	To bannda waɗanii ma ko vooɗaa, fel mo. To o tuubii ya'afana mo. 
LUK.17.4	To o waɗanii ma ko vooɗaa nde joveeɗiɗi nder nyanndeere wo'ore, ndeen nde joveeɗiɗi emo wara emo tuuban ma, too, ya'afana mo.
LUK.17.5	Almaajiri'en Yeesu mbi'i mo :
LUK.17.5	— Ɓesdan min goonɗinki !
LUK.17.6	Yeesu vi'i ɓe :
LUK.17.6	— Kul on ngoodi goonɗinki pamɗirki ba gabbel mutardi
LUK.17.7	— Moye nder mooɗon maccuɗo muuɗum demeyɗo koo dureyɗo wartata gada ngesaa, ndeen vi'a mo : « Waroy, jooɗa nyaam » ? 
LUK.17.8	Walaa ! Ammaa o vi'ey mo : « Waylu kolte, ndefanaa yam hiraande, ngaddanaa yam, mi nyaama mi yara tawo, ndeen ɓaawo ma'ajum nyaamaa njaraa. » 
LUK.17.9	On tammoo o yettey maccuɗo oon gam waɗii ko o vi'i naa ? 
LUK.17.10	A'aa. Noon onon boo, to on kuwii ko mbi'aaɗon, mbi'ee : « Minon min maccuɓe tan. Ko min kaandi waɗgo tan min mbaɗi. »
LUK.17.11	Nde Yeesu e yaha *Urusaliima, o tokki hakkunde lesdi Samaariya e lesdi Gaaliili. 
LUK.17.12	Emo natta goɗngel ci'el, sey kuturu'en sappo ngari fottugo e ma'ako. Ɓe ndarii to woɗɗi seɗɗa, 
LUK.17.13	ɓe towni bolle ɓe mbi'i :
LUK.17.13	— Moodibbo Yeesu ! Nan jurumɗum amin !
LUK.17.14	Nde Yeesu yi'i ɓe, o vi'i :
LUK.17.14	— Njahee kollee aardiiɓe diina ko'e mooɗon.
LUK.17.14	Eɓe nder yahadu, sey ɓe njamɗiti. 
LUK.17.15	Nde go'oto maɓɓe yi'i yamɗitii, o so''ii emo maalta Allah e semmbee. 
LUK.17.16	O diccii yeeso Yeesu, o yetti mo. Neɗɗo oon boo o Samaariyaajo. 
LUK.17.17	Yeesu vi'i :
LUK.17.17	— Naa ɓe fuu sappo njamɗiti ? Toye njoveenayo ɓeen ngoni ? 
LUK.17.18	Walaa mo ɗum heɓi so''oyii yetti Allah, sey o'o koɗo tan ?
LUK.17.19	Sey o vi'i Samaariyaajo oon :
LUK.17.19	— Umma dillu, goonɗinki maaɗa hisnii maa.
LUK.17.20	Woɓɓe Fariisa'en ƴami Yeesu mbi'i :
LUK.17.20	— Ndeye laamu Allah warata ?
LUK.17.20	O vi'i ɓe :
LUK.17.20	— A yi'ataa laamu Allah e gite. 
LUK.17.21	Walaa bi'eyɗo : « Raa laamu Allah ɗo'o », koo « Raa laamu Allah ɗaa'e », gam laamu Allah e nder mooɗon.
LUK.17.22	Sey o vi'i almaajiri'en ma'ako :
LUK.17.22	— Balɗe e ngara nde ngiɗoton yi'igo Ɓii-Neɗɗo koo nyalaande wo'ore, ammaa on ngi'ataa. 
LUK.17.23	E wakkaci ɗuum, yimɓe no mbi'ey on : « Rammo ɗaa'e », koo boo « Rammo ɗo'o ». Ammaa to' on njah, to' on tokku ɓe. 
LUK.17.24	Noon no maƴƴere maƴƴirta yi'ee koo toye nder duuniyaaru, noon bittoyki Ɓii-Neɗɗo laatorto. 
LUK.17.25	Ammaa doole o aarta o yara bone tawo, yimɓe ndu'u jaamaniiru caloo mo. 
LUK.17.26	Ko laatinoo nder jaamaniiru annabi Nuhu, no laatoto nder balɗe bittoyki Ɓii-Neɗɗo. 
LUK.17.27	Yimɓe e nyaama e njara e koovoo e koova, faa wakkaci nde Nuhu natti akali, ndiyam wari halki ɓe ɓe fuu. 
LUK.17.28	Noon boo ɗum waɗnoo nder jaamaniiru Luutu. Yimɓe e nyaama e njara e cooda e coorra e ndema e nyiɓa cuuɗi. 
LUK.17.29	Ammaa nyalaande nde Luutu vurtii nder si'ire Sodoma, Allah toɓni iyoonde yiite e noorngal dow maɓɓe, nge halki ɓe ɓe fuu. 
LUK.17.30	Noon ɗum laatortoo nyalaande nde Ɓii-Neɗɗo vanngata.
LUK.17.31	Nyanndeere ndeen mo ɗum tawi dow suudu, to e woodi siri nder ma'aru, to' o jippo gam hooygo ɗum. Gonɗo nder ngesaa boo to' o so''o wuro. 
LUK.17.32	Nyumtee yayriijo Luutu ! 
LUK.17.33	Gilliiɗo reengo yonki muuɗum no dulley ki. Ammaa dulluɗo yonki muuɗum gam am, no reeney ki. 
LUK.17.34	Emi vi'a on : nder jemmaare ndeen yimɓe ɗiɗo no tawdete dow leeso wo'oto, ɗum hooƴa go'oto, ɗum ɗala go'oto. 
LUK.17.35	Rewɓe ɗiɗo no tawdete e unda, ɗum hooƴa go'oto, ɗum ɗala go'oto. [
LUK.17.36	Yimɓe ɗiɗo no tawdete e kuwa nder ngesaa, ɗum hooƴa go'oto, ɗum ɗala go'oto.]
LUK.17.37	Almaajiri'en ma'ako ƴami mo :
LUK.17.37	— Moodibbo, toye ɗum waɗata ?
LUK.17.37	O vi'i ɓe :
LUK.17.37	— To gaawaare woni fuu, toon dute kawritata.
LUK.18.1	Yeesu valndani *almaajiri'en muuɗum ngo'ol balndol, gam o holla ɓe e haani ɓe mbaɗa ga waɗgo do'aare, to' ɓe com. 
LUK.18.2	O vi'i :
LUK.18.2	— Nder woɗnde si'ire e woonnoo goɗɗo cernoowo mo hulataa Allah, o waannaaka e koo moye. 
LUK.18.3	E woodi boo goɗɗo yayriijo nder si'ire ndeen mo gorko muuɗum maayi. Wakkaci fuu emo yaha to cernoowo oon, emo vi'a mo : « Ittanam hakke am to ganyo am. » 
LUK.18.4	Cernoowo oon neeɓi jaɓaay. Ammaa ɓaawo ɗoon o vi'i nder ɓernde ma'ako : « Koo nde mi hulataa Allah, mi waannaaka e koo moye, 
LUK.18.5	ammaa o'o yayriijo e waanna yam. Gam ma'ajum mi ittaney mo hakke ma'ako, gam to' o waɗ ga wargo emo waanna yam. »
LUK.18.6	Ndeen Yeesu vi'i :
LUK.18.6	— Nanee ko o'o cernoowo kalluɗo vi'i. 
LUK.18.7	E yi'ingo mooɗon, Allah ittantaa suɓaaɓe muuɗum, voyanooɓe mo jemma e nyalawma hakke maɓɓe naa ? O neeɓey o vallaay ɓe ? 
LUK.18.8	Emi vi'a on : o ittaney ɓe hakke maɓɓe ko yaawi. Ammaa to Ɓii-Neɗɗo vittoyii, koo emo tawa goonɗinɓe mo nder duuniyaaru naa ?
LUK.18.9	Yeesu valndi ngo'ol balndol gam ɓeen raareyɓe ko'e mu''en no waɗooɓe ko Allah yiɗi, ɓe njavoo woɓɓe. 
LUK.18.10	O vi'i :
LUK.18.10	— Yimɓe ɗiɗo njahi *Wuro Allah Seniingo gam ɓe mbaɗa do'aare, go'oto no *Fariisaajo, go'oto boo no jaɓoowo janngal. 
LUK.18.11	Fariisaajo darii waɗi do'aare nder ɓernde muuɗum vi'i : « Yaa Allah, mi yettii ma gam mi laataaki kama yimɓe horiiɓe laatiiɓe wuyɓe e halluɓe e waɗooɓe njeenu, koo ba o'o jaɓoowo janngal. 
LUK.18.12	Emi suumoo nde ɗiɗi nder asaveere, emi itta jakka nder ko keɓmi fuu. » 
LUK.18.13	Ammaa jaɓoowo janngal darii to woɗɗi. O yiɗaa koo ɓantugo gite o raara dow, o jurnyinii, emo vi'a : « Yaa Allah, nan jurumɗum am, mi baɗoowo hakke. » 
LUK.18.14	Emi vi'a on : jaɓoowo janngal oon hooti wuro o ja'afanaaɗo hakke ma'ako, ammaa Fariisaajo ya'afanaaka. Gam mawninɗo hoore muuɗum fuu no famɗintee, pamɗinɗo hoore muuɗum boo no mawnintee.
LUK.18.15	Yimɓe e ngadda ɓikkon pamaron to Yeesu gam o barkiɗina kon. Ammaa nde almaajiri'en ma'ako ngi'i ɗum, ɓe peli ɓe. 
LUK.18.16	Ndeen Yeesu noddi ɓikkon koon to muuɗum vi'i :
LUK.18.16	— Ngooree ɓikkon pamaron ngara to am, to' on kaɗ kon, gam woonɓe ɓerɗe iri ɗe ma'akon njeyi laamu Allah. 
LUK.18.17	Emi vi'a on goonga : mo jaɓaay laamu Allah kama ɓinngel pamarel fuu, o nattataa laamu nguun sam !
LUK.18.18	Sey goɗɗo nder aardiiɓe Yahuudu'en ƴami mo vi'i :
LUK.18.18	— Moodibbo geeto, noye mbaɗeymi mi heɓa yonki ɗum faa abadaa ?
LUK.18.19	Yeesu toontii mo vi'i :
LUK.18.19	— Ko jeyi noddirɗaa yam geeto ? Geeto walaa sey Allah tan. 
LUK.18.20	A anndi ko *Tawreeta vi'i : « Ta'a waɗ njeenu, ta'a waɗ war-hoore, ta'a wujju, ta'a saaydo fewre, teddin baaba maaɗa e inna maaɗa. »
LUK.18.21	Neɗɗo oon vi'i :
LUK.18.21	— Emi tokki dookaaji ɗiin fuu ila mi pamaro.
LUK.18.22	Nde Yeesu nani ɗum vi'i mo :
LUK.18.22	— Faa jo'oni e horani maa hu'unde wo'ore. Yah soorru ko ngoonɗaa fuu, senndan ɗum sooyɓe, a heɓey risku toon dow. Ndeen ngaraa tokkaa yam.
LUK.18.23	Nde o nani bolle ɗeen, ɓernde ma'ako metti, gam o diskuɗo korey.
LUK.18.24	Yeesu raari mo vi'i :
LUK.18.24	— Caɗɗum diskuɗo natta laamu Allah ! 
LUK.18.25	Ɗum ɓurey hoygo ngeelooba nattira vuroode laynal, dow e diskuɗo natta laamu Allah.
LUK.18.26	Ɓeen nanɓe ko o vi'i mbi'i :
LUK.18.26	— Too, to ɗum noon, moye hisata ?
LUK.18.27	Yeesu vi'i ɓe :
LUK.18.27	— Ko ɓuri semmbee neɗɗo, ɓurataa semmbee Allah.
LUK.18.28	Biiturus vi'i mo :
LUK.18.28	— Rah, min ngoorii ko min ngoodi fuu min tokkii ma.
LUK.18.29	Yeesu vi'i ɓe :
LUK.18.29	— Emi vi'a on goonga : koo moye woori wuro muuɗum, koo yayriijo muuɗum, koo rimdaaɓe muuɗum, koo danyooɓe muuɗum, koo ɓiɓɓe muuɗum gam laamu Allah, 
LUK.18.30	o heɓey ko ɓuri ɗum ɗuuɗgo nder ndu'u jaamaniiru. To o maayii boo, o heɓey yonki ɗum faa abadaa.
LUK.18.31	Sey Yeesu noddi *almaajiri'en muuɗum sappo e ɗiɗo vuttudu, o vi'i ɓe :
LUK.18.31	— Rah, en njahey *Urusaliima to koo ɗume ko annabo'en mbinndunoo dow *Ɓii-Neɗɗo heevata. 
LUK.18.32	O hokkitirte nder juuɗe *yimɓe ɓe laataaki Yahuudu'en, ɓe njaltinira mo, ɓe kuɗa mo, ɓe tuutana mo joode, 
LUK.18.33	ɓe piira mo looci, ɓe mbara mo, ndeen o ummitoo nyannde tataɓre.
LUK.18.34	Ammaa almaajiri'en ma'ako pahamaay ko o vi'i. Fahamu ma'ajum suuɗanake ɓe, ɓe keɓtaay ko o yiɗi vi'igo.
LUK.18.35	Nde Yeesu fa'andii si'ire Jeriiko, o tawi goɗɗo bumɗo e jooɗii vuttudu laawol e toro. 
LUK.18.36	Nde bumɗo oon nani yimɓe ɗuuɗɓe e ƴaɓɓoo, o ƴami :
LUK.18.36	— Ɗume waɗi ?
LUK.18.37	Ɓe mbi'i mo :
LUK.18.37	— Ɗum Yeesu mo Najaratu ƴaɓɓotoo.
LUK.18.38	O noddi e semmbee o vi'i :
LUK.18.38	— Yeesu ɓii-Dawda, nan jurumɗum am !
LUK.18.39	Yahooɓe yeeso Yeesu nyaaɗani mo mbi'i o de''ita, ammaa o ɓesdi noddugo e semmbee, emo vi'a :
LUK.18.39	— Ɓii-Dawda, nan jurumɗum am !
LUK.18.40	Sey Yeesu darii vi'i ɗum wadda mo to muuɗum. Nde o fa'andi, Yeesu ƴami mo vi'i :
LUK.18.41	— Ɗume ngiɗɗaa mi waɗan maa ?
LUK.18.41	O vi'i :
LUK.18.41	— Moodibbo, emi yiɗi mbumtinaa yam.
LUK.18.42	Sey Yeesu vi'i mo :
LUK.18.42	— Vumtu ! Goonɗinki maaɗa yamɗitinii ma.
LUK.18.43	Ɗoon e ɗoon gite ma'ako mbumti, o tokki Yeesu, emo yetta Allah. Nde wonɓe ɗoon fuu ngi'i ko waɗi, kamɓe maa ɓe maalti Allah.
LUK.19.1	Yeesu natti si'ire Jeriiko e ƴaɓɓoo nder ma'are. 
LUK.19.2	Nder si'ire ndeen e woodi goɗɗo diskuɗo bi'eteeɗo Jakayus, o mawɗo jaɓooɓe janngal. 
LUK.19.3	Emo yiɗi o yi'a moye woni Yeesu, ammaa o waawaay gam yimɓe ɗuuɗii, kanko boo o dammuɗo. 
LUK.19.4	Sey o nyaari o aarditii o ƴeenyi lekki ki Yeesu ivata lees muuɗum, gam o yi'a mo. 
LUK.19.5	Nde Yeesu yottii lekki kiin, tiggii vi'i mo :
LUK.19.5	— Jakayus, yawɗa jippoya, gam hannde wuro maaɗa mbaaleymi.
LUK.19.6	Sey Jakayus yawɗii jippoyii, jaɓɓii mo e velvelta. 
LUK.19.7	Nde yimɓe ngi'i Yeesu yahii wuro ma'ako, ɓe fuu ɓe mbaɗi ga huɗtaago eɓe mbi'a :
LUK.19.7	— O waalaney neɗɗo mo hakke.
LUK.19.8	Ammaa Jakayus ummii vi'i Yeesu :
LUK.19.8	— Moodibbo, mi hokkey sooyɓe ciiya jawdi am. Kadimaa kul e woodi mo nyaammi ceede muuɗum, mi biyoto mo ɗe nde nayi.
LUK.19.9	Yeesu vi'i mo :
LUK.19.9	— Hannde kisndam warii nder ngo'o wuro, sabu kanko maa o taan Ibraahim. 
LUK.19.10	Gam *Ɓii-Neɗɗo warii yilloo majjuɓe hisna ɓe.
LUK.19.11	Yimɓe e ngewanii bolle Yeesu, eɓe nyuma *laamu Allah no vanngey jo'oni-jo'oni, gam o ɓadake *Urusaliima. Kanjum waɗi o valndani ɓe ngo'ol balndol. 
LUK.19.12	O vi'i :
LUK.19.12	— Goɗɗo neɗɗo ɓii wuro laamu siryii yaha lesdi ngoɗɗundi gam o laamee o vittoya. 
LUK.19.13	Ko hokka o dilla, o noddi huwooɓe ma'ako sappo, o hokki koo moye maɓɓe ceede ɗe kuwoowo heɓata nder lebbi tati, o vi'i ɓe : « Coodee coorritooɗon e ɗe'e ceede faa mi warta. » 
LUK.19.14	Ammaa yimɓe lesdi ma'ako ngiɗaa mo, ɓe lili lilaaɓe ɓaawo ma'ako ɓe mbi'a : « Min ngiɗaa o'o neɗɗo laamanoo lesdi amin. » 
LUK.19.15	Nde o laamaa o warti wuro, o vi'i ɗum noddana mo huwooɓe ɓe o hokkunoo ceede, gam o yi'a no ɓesdaari ndi o heɓi foti. 
LUK.19.16	Arano wari vi'i : « Jawmu wuro, ceede maaɗa ndimii goɗɗe sappo. » 
LUK.19.17	O vi'i mo : « Booɗɗum, aan a kuwoowo geeto. Nde laatii a hollii a koolniiɗo dow hu'unde pamarum, mi laamii ma dow ci'e sappo. » 
LUK.19.18	Ɗiɗaɓo wari vi'i mo : « Jawmu wuro, ceede maaɗa ndimii goɗɗe jovi. » 
LUK.19.19	O vi'i mo : « Aan boo, mi laamii ma dow ci'e jovi. » 
LUK.19.20	Ndeen tataɓo maa wari vi'i : « Jawmu wuro, raa seedere maaɗa piɓmi e lefel cuuɗmi. 
LUK.19.21	E goonga mi hulii ma, gam a neɗɗo ca'atuɗo. A hooƴa ko a resaay, a taƴa ko a aawaay. » 
LUK.19.22	Jawmu wuro vi'i mo : « Dara ! Honnduko maaɗa nanngii ma, aan kuwoowo kalluɗo ! To eɗa anndi mi neɗɗo ca'atuɗo, kooƴeyɗo ko resaay e taƴeyɗo ko aawaay, 
LUK.19.23	ko jeyi a resanaay yam ceede to ɗe kuutirtee ɗe ɓesdoo, gam to mi wartoyii mi tawa ɗe ɓesdake ? » 
LUK.19.24	O vi'i dariiɓe ɗoon : « Njaɓtee mo ceede ɗeen, kokkon ɗe on ɗoon mo ceede muuɗum ndimi goɗɗe sappo. » 
LUK.19.25	Ɓe mbi'i mo : « Jawmu wuro, ay on ɗoon ceede ɗe jogii ɓurii ɗe o'o nde sappo. » 
LUK.19.26	O vi'i ɓe : « Emi vi'a on : goonɗo fuu no ɓesdante. Ammaa mo walaa, koo ɗuum ko woodi maa no jaɓtete ɗum. 
LUK.19.27	Toye ɓen ɗoon wanywanyɓe am ɓe ngiɗaano mi laamoo dow mu''en ? Ngaddee ɓe ɗo'o kirson ɓe yeeso am. »
LUK.19.28	Ɓaawo Yeesu volvii bolle ɗeen, o nanngi laawol yahago *Urusaliima. 
LUK.19.29	Nde o fa'andii Baytifaaji e Baytaaniya takkol *vaamnde Jaytunje, o lili almaajiri'en ma'ako ɗiɗo. 
LUK.19.30	O vi'i ɓe :
LUK.19.30	— Njahee nder ci'el gonngel yeeso mooɗon. E jottaaki mooɗon, on tawey mola njaakiwa nga meeɗaay waɗɗeego e haɓɓii. Kaɓɓitoyee nga ngaddon nga ɗo'o. 
LUK.19.31	To goɗɗo ƴamii on : « Ko jeyi njoofoton nga ? » Mbi'ee mo : « Moodibbo yiɗi huutinirgo nga. »
LUK.19.32	Almaajiri'en ɓeen njahi tawri koo ɗume noon no o yeccorii ɓe. 
LUK.19.33	Eɓe njoofa nga, sey jawmiiga wari vi'i ɓe :
LUK.19.33	— Ko jeyi kaɓɓitanton nga ?
LUK.19.34	Ɓe mbi'i :
LUK.19.34	— Moodibbo yiɗi huutinirgo nga.
LUK.19.35	Ɓe njaharani nga Yeesu, ɓe caɓɓi kolte maɓɓe dow ma'aga, ɓe mbaɗɗini mo. 
LUK.19.36	Emo nder yahadu, sey yimɓe mbaɗi ga ve''itango mo kolte mu''en dow laawol.
LUK.19.37	Nde o fa'andii *Urusaliima e moortorde vaamnde Jaytunje, jama'aare tokkuɓe mo puɗɗi velveltugo e maalta Allah e semmbee gam kuuɗe kaayniiɗe fuu ɗe ɓe ngi'i. 
LUK.19.38	Eɓe mbi'a :
LUK.19.38	— Barkaa laatanoo Laamiiɗo gareyɗo nder innde Jawmiraawo ! Jam tawee toon dow. Maaltoore laatanoo Allah Mo Dow !
LUK.19.39	Nder jama'aare ndeen sey woɓɓe Fariisa'en mbi'i Yeesu :
LUK.19.39	— Moodibbo, vi' tokkuɓe ma nde''a.
LUK.19.40	O vi'i ɓe :
LUK.19.40	— Emi vi'a on : to kamɓe ɓe nde''i, ɗe'e kaaƴe no ngulley.
LUK.19.41	Nde Yeesu ɓadii si'ire Urusaliima o yi'i nde, o voyani nde, 
LUK.19.42	o vi'i :
LUK.19.42	— Mi yiɗiino vi'ee : « Aan boo hannde, a fahamii ko hokkey maa jam ! Ammaa ɗum suuɗanake gite maaɗa. » 
LUK.19.43	Balɗe no ngarey ɗe wanywanyɓe maaɗa njoovata lesdi mbaɗa ƴeenruɗe, ɓe kow maa, ɓe ɓiɗɗir maa koo toye, 
LUK.19.44	ɓe pusmaa, aan e ɓiɓɓe maaɗa wonɓe nder maaɗa. Ɓe ngoorantaa ma koo haayre wo'ore dow woɗnde, gam a annditaay wakkaciire nde Allah wari hisnugo maa.
LUK.19.45	Yeesu natti *Wuro Allah Seniingo, o fuɗɗi tuufgo waɗooɓe luumaaku, 
LUK.19.46	emo vi'a ɓe :
LUK.19.46	— Ɗum vinndaama nder *Deftere : « Wuro am no laatoto wuro do'aare, » ammaa onon on ngartirii ngo suuɗorde wuyɓe.
LUK.19.47	Yeesu e ekkitina nder Wuro Allah Seniingo dum. *Mawɓe aardiiɓe diina e *moodiɓɓe Tawreeta e aardiiɓe leƴƴi e ndaara no mbardata mo. 
LUK.19.48	Ammaa ɓe keɓaay no ɓe nanngiri mo, gam yimɓe fuu ndesii hakkiilooji mu''en e ngewanii mo.
LUK.20.1	Nyannde feere, Yeesu e ekkitina yimɓe nder *Wuro Allah Seniingo, emo wa'ajina ɓe *Habaru Belɗum. Sey *mawɓe aardiiɓe diina e *moodiɓɓe Tawreeta e arɗuɓe Yahuudu'en ngari to ma'ako, 
LUK.20.2	ɓe mbi'i mo :
LUK.20.2	— E ɗeye baawɗe kuurataa ɗe'e kuuɗe ? Moye hokku maa baawɗe ɗeen ?
LUK.20.3	Yeesu toontii ɓe vi'i :
LUK.20.3	— Miin boo mi ƴamey on, ngeccee yam : 
LUK.20.4	baptisma ɗum Yahayya waɗi, to Allah ɗum ivoyi nakay to yimɓe ?
LUK.20.5	Sey ɓe mbaɗi caawara hakkunde maɓɓe, ɓe mbi'i :
LUK.20.5	— To en mbi'ii : « To Allah ɗum ivoyi », o vi'ey : « Ko jeyi on ngoonɗinaay ko o vi'i ? » 
LUK.20.6	To boo en mbi'ii : « To yimɓe ɗum ivoyi », ɓe'e yimɓe no perdey en kaaƴe, gam ɓe fuu ɓe tabbitinii Yahayya no annabiijo.
LUK.20.7	Ndeen ɓe toontii Yeesu, ɓe mbi'i :
LUK.20.7	— Min anndaa to ɗum ivoyi.
LUK.20.8	Sey Yeesu vi'i ɓe :
LUK.20.8	— Miin boo mi yeccataako on e ɗeye baawɗe kuureymi kuuɗe ɗeen.
LUK.20.9	Ɓaawo ma'ajum, Yeesu fuɗɗi valndango yimɓe balndi, o vi'i :
