JON.1.1	Keriab Yaweb dora Amitaib nono Yona gam ogureaga. 
LUK.2.47	Fere simai nub dora eden baba, sibam nubure tugu nugengab dora maig nini gam toweaga baba tugu edüdi tergen. 
LUK.2.48	Nugeküre tugu nono kegeudi tergen. Bangar anade menüm waweaga, “Nono, na amure baba kabia sinaküre gam bangün? Igeab kob tugu emünüb kob tugu koigar fitanenan.” 
LUK.2.49	Bangeagako, nugeküre gam dora menüm toweaga, “Ninaküre amure ye fitaienan? Ninaküre sibamgargedag, ye igeab Emügab fata gamnana büreregün?” 
LUK.2.50	Bangeagako, nugeküre dora babab iginim nugeküre gam dorageaga baba sibamgedige.
LUK.2.52	Bangüdi Jisas adagar sibam nub nama fanam taideaga. Bangar Keriab nure kob ebebearwar, ferefinabur tugu, nure kob ebebearwen.
LUK.3.1	Sisar Taiberius nu Romüb erekokayau mene gürena bede fogo taba tugu büreaga. Baba sese gam Pontius Pailat nu Judia distriküb kübüdim bera taugegi agferegi büreaga. Baba sese gam tugu Herot nu Galili distrik taugeaga. Owa Filip nu Ituria distrik tugu, Trakonitis tugu taugeaga. Bangar Lisanias nu Abilene distrik taugeaga. 
LUK.3.2	Bangar Anasie Kaiafasküre, Keriabure kobegegi taba ferewar büren. Baba sese gam Jon, Sekaraiab nono nu, fib fere kene gam büreaga, bangar Keriabüde dora nugeab Jon düweaga. 
LUK.3.3	Bangar Jon nu fib gürenakuti, Jordan yag iroto büren baba gam kümünadi, ferefinabur gürenakuti kob pirudi yag fidedi Keriabüde menmen nugengab unaigeregeagagüdi dora pitoiaga.
LUK.3.4	Baba daba kiari fere Aisaiab budi gam dora büreaga babanümnana taideaga, “Fib fere kene gam, fere gürede menüm yogeaga, ‘Erekokaib erekobo idabürügane. 
LUK.3.5	Gir ere ere yag güresari güresari büren baba, gürenakuti kurar kanüdi sagugeregeaga. Erekobo kuarig kuarig baba, idawedi surur taideregen. Erekobo toi kogkogi baba, idadau idabürügeregen. 
LUK.3.6	Bangar kübüdim gamnab ferefinabur gürenakuti, Keriabüde sige maig igaisigebüre fünaiweaga baba kegeweregen.’”
LUK.3.8	Nini kob kürüna piruwenangüdiba, bana kabia ninagüb baba kob piruwegib kabia sibe abatarganegeaga. Bangüdi ninag ninag ‘Abraham nu sinib oyebesigügüdi,’ banüm dorafokowagana. Ye wangün, Keriabüde gar kegenam toi meme Abrahamüb matanabmana sibe tataigeregen. 
LUK.3.9	Man manage au bara gam büreaga, au gürenakuti nama idadau fürfaigedige baba, katudi keb gam fotutgedi kümüneregeaga.”
LUK.3.11	Bangar nini gam dora menüm toweaga, “Fere karün aküre tugu baba, karün güre fere karün kene baba düweregeaga. Fere daba tugudaka, kabia babanüm gürena geregeaga.” 
LUK.3.12	Kegeam degi ferewar gürekoi, nini tugu yag fidebüre oguren. Bangüdi totowen, “Sibam sarigegi fere, sini arangeregenan?” 
LUK.3.13	Bangar menüm wangeaga, “Nini kegeam kübüdim bera taugegi ferede wangeaga baba gürena dane, nini maig gürekoi buruwagana.”
LUK.3.15	Ferefinabur baba daba daba tataigar kegeudi, nugengab kob siradar, menüm ututun toitoiwen, “Jon nu Keriabüde nugeab ferefinabur maig igaingegi fere sugurwebüregeaga baba feredag?” 
LUK.3.16	Bangarbere Jonüde nini gam dora menüm toweaga, “Ye yag gürena fidüngafaigün. Bangeagako, kuri fere güre ogureregeaga baba, sogi nub yeb sogi emegerweaga. Muride kebe sagwegi nub wartauweaga baba, ye kuregegi sogi kene. Nude keb gamde tugu Etob Kedeb gamde tugu yag fidüngeregeaga. 
LUK.3.17	Nu fere nugeab kube gamde gorogoro debetawegi sibe ogureregeaga, nugeab wit gam ina büreaga baba düfotuwebüre. Bangüdi wit nugeab baba wit fata gam tobugeregeaga. Bangeagako, ina toiba keb kumfaigarge baba gam füküraweregeaga.”
LUK.3.18	Jon ferefinaburüngab kob debüre tugu dora güre güre epüra doragarge, baba kabia gamde nini gam dora nama pitoiaga.
LUK.3.20	Bangar Herot nugeab menmen toi kekia, maig menmen güre korabereaga baba, maig Jon kuadüdi kakia gam difereaga.
LUK.3.22	Bangar Etob Kedeb nuge gam musuweaga. Etob Kedeb ai güre manab gen baba sibe taidüdi, Jisas gam musuweaga baba kegewegin. Bangarbere Keriab fib nama gamde menüm yogeaga, “Na yeb Nono. Ye kürüna kob dünün. Bangüdi ye naure kob ebebearun.”
LUK.3.24	Heli nu Matatüb nono. Matat nu Livaib nono. Livai nu Melkib nono. Melki nu Janaib nono. Janai nu Josepüb nono. 
LUK.3.25	Josep nu Matatiasüb nono. Matatias nu Amosüb nono. Amos nu Nahumüb nono. Nahum nu Eslib nono. Esli nu Nagaib nono. 
LUK.3.26	Nagai nu Matüb nono. Mat nu Matatiasüb nono. Matatias nu Semenüb nono. Semen nu Joseküb nono. Josek nu Jodab nono. 
LUK.3.27	Joda nu Joananüb nono. Joanan nu Resab nono. Resa nu Serubabelrüb nono. Serubabel nu Sealtielrüb nono. Sealtiel nu Nerib nono. 
LUK.3.28	Neri nu Melkib nono. Melki nu Adib nono. Adi nu Kosamüb nono. Kosam nu Elmadamüb nono. Elmadam nu Erüb nono. 
LUK.3.29	Er nu Josuab nono. Josua nu Elieserüb nono. Elieser nu Jorimüb nono. Jorim nu Matatüb nono. Matat nu Livaib nono. 
LUK.3.30	Livai nu Simeonüb nono. Simeon nu Judab nono. Juda nu Josepüb nono. Josep nu Jonamüb nono. Jonam nu Eliakimüb nono. 
LUK.3.31	Eliakim nu Meleab nono. Melea nu Menab nono. Mena nu Matatab nono. Matata nu Natanüb nono. Natan nu Devitüb nono. 
LUK.3.32	Devit nu Jesib nono. Jesi nu Obetüb nono. Obet nu Boasüb nono. Boas nu Salmonüb nono. Salmon nu Nasonüb nono. 
LUK.3.33	Nason nu Aminadapüb nono. Aminadap nu Atminüb nono. Atmin nu Arnib nono. Arni nu Hesronüb nono. Hesron nu Peresüb nono. Peres nu Judab nono. 
LUK.3.34	Juda nu Jekopüb nono. Jekop nu Aisaküb nono. Aisak nu Abrahamüb nono. Abraham nu Terab nono. Tera nu Nahorüb nono. 
LUK.3.35	Nahor nu Seruküb nono. Seruk nu Reub nono. Reu nu Peleküb nono. Pelek nu Eberüb nono. Eber nu Selab nono. 
LUK.3.36	Sela nu Kainanüb nono. Kainan nu Arpaksatüb nono. Arpaksat nu Siemüb nono. Siem nu Noab nono. Noa nu Lameküb nono. 
LUK.3.37	Lamek nu Metuselab nono. Metusela nu Enoküb nono. Enok nu Jaretüb nono. Jaret nu Mahalalelrüb nono. Mahalalel nu Kenanüb nono. 
LUK.3.38	Kenan nu Enosüb nono. Enos nu Setüb nono. Set nu Adamüb nono. Adam nu Keriabüb nono.
LUK.4.1	Etob Kedeb Jisas korobaweaga. Bangar Jisas Jordan yag ebgadüdi maigeaga. Bangar Etob Kedebüde igaiudi fib fere kene gam kümüneaga. 
LUK.4.2	Jisas fib fere kene gam dü dogob tugu bede fogo bürarbere Satande fururfururgeaga.
LUK.4.2	Baba sese gam Jisas daba nargegar ogunoweaga. 
LUK.4.3	Bangar Satande menüm waweaga, “Na kürüna Keriabüb Nono garba, bana doragab kegenam meme bret pirudi taideregeaga.” 
LUK.4.4	Bangeagako, Jisasde dora nub maig menüm toweaga, “Keriabüb budi gam dora menüm tugu, ‘Ferefinabur dabade gürena omo bürüreregedige.’”
LUK.4.5	Bana bangar Satande igaiudi komeaga, bangüdi pirikanana meme kübüdim gamnab kantri sogsogi gürenakuti baba, Jisas abataruweaga. 
LUK.4.6	Bangar Satande menüm waweaga, “Kantri gürenakuti meme taugegib sogi dünür na yanim erekokai tugugeregün. Meme daba daba gürenakuti nini yeb gürena, babaure, ye fere güre duwebüregüdiba, ye duweregün. 
LUK.4.7	Na yeure oksosob orudi kunube iruwaba, ye meme daba daba gürenakuti düneregün.” 
LUK.4.8	Bangeagako, Jisasde dora nub maig menüm toweaga, “Keriabüb budi gam dora menüm tugu, ‘Na Keriabure gürena kunube iruwe, nagüb Erekokai. Bangüdi nugeab fünai gürena de.’”
LUK.4.9	Bangar Satande Jisas Jerusalem igaiudi kümünadi Keriabüb kedeb fata gam kekia asau difereaga. Bangüdi menüm waweaga, “Na kürüna Keriabüb Nono garba, na paderudi kane. 
LUK.4.10	Amure, Keriabüb budi gam dora menüm tugu, ‘Nuge nugeab dora dugurewegi toi wanügar idadau tauneregen. 
LUK.4.11	Bangüdi, nugengab kubede ebnoneregen, amure, kegenam gürede kebe nagüb duwaiweregeaga babaure.’” 
LUK.4.12	Bangar Jisasde dora nub maig menüm toweaga, “Keriabüb budi gam dora menüm tugu, ‘Na Keriabüb sogi fururegena, nagüb Erekokai.’”
LUK.4.14	Jisas, Etob Kedebüb sogi gamde, Galili distrik maigüdi kümüneaga. Bangar ferefinabur Galiliyaub distrik itut büren baba, Jisas ogura Galili distrik büreaga gen baba dora eden. 
LUK.4.15	Nu ferefinabur nugengab kunube fata gam dora sabüngegi bata. Bangar ferefinabur nub yanim siradgaberen.
LUK.4.17	Bangar kiari fere Aisaiab budi duwedi fügaidi fitaudi, dora menüm tugu büreaga baba kaiweaga, 
LUK.4.18	“Erekokaide uruaiaga, bangüdi yeb taba gam wel kubeiaga. Bangar nugeab Etob ogura ye gam büreaga. Amure, Erekokai nugede nugeab dora nama meme düdi, kümüna kogiwab ferewar dünügebüregüdi ye gam bangeaga. Bangüdi ferewar kakia gam büren baba, dora fotur kakia ebgadüdi uguna kümünebüregüdi, suguryar oguran. Baba tugu fere ege gomowar baba gam dora fotur maig agügeregen. Ferewar gürewarde febangüdi kogifürüngen, baba ferewarüngab kob darab, kenegafotuwebüregüdi suguriaga. 
LUK.4.19	Bangüdi menüm dora fotuwebüregüdi suguriaga, Erekokai nugeab ferefinabur namabürüngegi sese manage taideaga.”
LUK.4.20	Jisas budi tabagafotudi fere budi toi taugugab baba maig duabürüdi gotogeaga. Bangar ferefinabur kunube fata gam büren baba, Jisas gürena kegenanawen.
LUK.4.21	Bana bangar menüm wangeaga, “Keriabüb budi memeb dora ninag edfotuwenan baba, mügarnana kürüna taideaga.” 
LUK.4.22	Bangar nub yanim siradgabürüdi dora nama pitoiaga babaure ututun toitoiwen. Bangeagako, wagen, “Sige sibam, fere meme nu Josepüb nono. Aranüm gar nu dora babanüm gebeaga?”
LUK.4.24	Bangar wageaga, “Ye kainana wangün, kiari fere güre nugeab fib mudimere gamnab fere simai, nub dora edfaigedige. 
LUK.4.25	Ye dora kainana wangün, Elaijab sese gam, oyemadi finabur epüra Israel büren. Baba sese gam kaikere sese. Baba kaikere sese, kümdan küi, edina kubete tugu büreaga. Bangar oguno erekokai baba kantri gam taideaga. 
LUK.4.26	Bangeagako, Keriabüde Elaija sugurwar Israelwarüngab oyemadi finege güre gam, kümünarge. Nu fib ere Sarefat gen baba gam gürena sugurwar kümüneaga. Sarefat nu Saidonüb fib ere yau büreaga. Baba fib ere gamnab oyemadi finege güre gam sugurwar kümüneaga. Baba oyemadi finege nu Israelübge. Bangeagako, Keriabüde Elaija sugurwar nu gam kümüneaga. 
LUK.4.27	Baba tugu, kiari fere Elisab sese gam, fere epüra Israel büren baba, nini lepra subo tutug. Bangeagako, nin kodigo, fere güre subo kenegarge. Naman kantri Siriab, nu nugenakuanab subo kenegeaga. Naman nu Israelübge. Bangeagako, Keriabüde Elisa sugurwar nu gam kümüneaga.”
LUK.4.28	Israel ferewar gürenakuti kunube fata gam büren baba, dora baba edüdi magirangeaga. 
LUK.4.29	Bangar Jisas kudewedi fib ere obgoira kaneaga. Baba fib ere ninib baba, girtorub güre gam büreaga. Bangar fib kogi güre, baba torub gamnana büreaga baba, Jisas fotuwedi kanebüregüdi igaiudi komen. 
LUK.4.30	Bangeagako, nu ninag kodigo kümünadi, uriangüdi kümünafotuweaga.
LUK.4.32	Bangar dora nub edüdi tergen, amure, nu fere yanim tugubüde sabüngegi sibe.
LUK.4.34	“Aio, Jisas Nasaretüb, na sin gam am bangebüre oguran? Na sin kogifurusigebüre ogurandag? Ye na sibam. Na fere nama, Keriab nuge gamde oguran.”
LUK.4.35	Bangeagako, Jisasde etob kogi baba nunurudi menüm waweaga, “Na sube gütubenau fere baba ebgade.” Bangar etob kogi babade gar fere baba ninag kodigo kübüdim gam fürügeaga, bangar kurie, etob kogide uriaweaga, bangüdi kogifuruwarge. 
LUK.4.36	Bangar ferefinabur gürenakuti tergüdi, ninag ninag menüm doragen, “Mogoisob, dora meme aranüm? Nu fere yanim tugu, sogi tugude sibe etob kogi toi dora dünügeaga. Bangar nini dora nub edfaigüdi, fere uriaudi kümünafaigen.” 
LUK.4.37	Bangar Jisasde daba daba geaga babab doraman toi saraudi distrik babab fib itut kümüneaga.
LUK.4.38	Jisas kunube fata baba ebgadüdi, Saimonüb fata gam iruwaboweaga. Saimon fiab ana nu subo tugu gar, mube nub füg füg büreaga. Bangar Jisas wawedi saguwebüre. 
LUK.4.39	Bana Jisas kümüna iroto biboudi, subo finege baba gam, subode ebgafotuwebüregüdi, sogsogi dorageaga. Bangar finege baba subo kenegar, pirikanana siradüdi daba saigüdi dünügeaga.
LUK.4.40	Sida kanebüregeaga gam, fere simai nugengab büreanügmana subo tutug baba igaingüdi Jisas gam oguren. Bangar baba ferefinabur gürena gürena gam nugeab kube, kekia difürügar gürenakuti nama namawen. 
LUK.4.41	Nude gar etob kogi toi ferefinabur epüra ebgagaingen. Etob kogi toi ferefinabur uriangen sese gam, menüm yagfaigen, “Na Keriabüb Nono.” Bangeagako, nunurungüdi dorafokoure tugu tageibürüngeaga, amure, nini sibam, nu fere Keriabüde nugeab ferefinabur maig igaingegib fere uruageaga baba dogo.
LUK.4.42	Jisas fitunana fib ere ebgadüdi, adab, fib fere kene gam bag kümüneaga. Bangar ferefinaburde fitawen, kegewen sese gam, uriangüdi kümüneregeagagüdi tageiburuwebüregen. 
LUK.4.43	Bangeagako, menüm wangeaga, “Ye fib ere gürekoi gam tugu Keriabüb Korobab dora nama pitoyeregün. Ye Keriabüde baba fünai gebüre suguryar oguran.” 
LUK.4.44	Bangüdi Judia distrik kümüna urigüdi, kunube fata gagam dora pitoiaga.
LUK.5.2	Bangar Jisas oude aküre yag nigub udi gam büreaga baba kegeweaga, oude toi baba, wade dügab ferengab. Bangeagako, baba fere toi oude ebgadüdi wade dügab far toi gasa büren. 
LUK.5.3	Bana Jisas oude güre gam ebedeaga, oude baba Saimonüb. Bangüdi Saimon wawar oude gam ebedüdi oude sororowar yag nigu gam kümünaureregeaga. Bangar Jisas oude gam gotogüdi ferefinabur sabüngeaga.
LUK.5.4	Bangafotudi, kuri Saimon menüm waweaga, “Oude orab yag kodigo kümünadi wade debüre wadeb far toi fobotgar kano.” 
LUK.5.5	Bangar Saimonde menüm wageaga, “Eregeam, sin utumnonou bikide gugub dügar subaitausigeagako, wade güre düdarge. Bangeagako, nab sube daiudi wade dügab far toi fotutgeregenan.” 
LUK.5.6	Nini bangen babade, wade toi epüra kiregedi wadeb far toi kitkatwebüregen. 
LUK.5.7	Bangarbere epeianügmana oude güre gam büren baba, buburengedi oguradi sagüngebüre. Bangar nini ogura wade düdi, oude aküre gobaberen. Bangar oude aküre baba gobudi, yag minigo kanebüregen. 
LUK.5.8+LUK.5.9+LUK.5.10	Bangar Saimon Pita wade toi kiregen baba kegeudi tergeaga. Saimonüb epeiabmana, Jemsie Jonküre tugu büren. Nugeküre Sebedib mogoi toi, nugeküre tugu tergen. Bangar epeiabmana tugu tergen. Saimon Pita baba kegeudi, Jisasüb kebe iroto oksosob orudi wageaga, “Erekokai, na ye uriaidi kümüne. Ye menmen fere.” Bangeagako, Jisasde Saimon menüm waweaga, “Kimigegena. Mügar na wade dünko kuriba, na ferefinabur kürengüdi ige gam ogureregün.” 
LUK.5.11	Bana oude orudi kümüna merai taidüdi, nugengab daba daba gürenakuti ebgagaiwafotudi, Jisas daiwen.
LUK.5.12	Gürena sese Jisas fib ere güre gam büreaga, baba fib ere gam fere güre tugu büreaga, mube nub gam lepra subo edi ginginuaboudi büreaga. Nu Jisas kegeudi oksosob orudi nurmaga kübüdim gam difürüdi, Jisas menüm waweaga, “Eregeam, na mednarba na ye idaiab Keriabüb ege gam nama taidüi.” 
LUK.5.13	Bangar Jisasde baba fere gam kube difürüdi menüm waweaga, “Ye mediaga babaure, na idanür Keriabüb ege gam, na namaweregün.” Bangar lepra subo pirikanana fere baba ebgadar namaweaga. 
LUK.5.14	Bangar Jisasde dora sogsogi menüm waweaga, “Meme daba na gam taideaga baba, fere güre wawegena, kedeb. Moses wageaga baba sibe, na kümüna kobegegi fere gam mube nagüb abatarue. Bangüdi nag namaun baba abatargebüre bai fere, amure, subo nagüb kenegeaga baba, fere sibamgeregen.” 
LUK.5.15	Bangeagako, Jisas daba daba geaga babab doraman baba iwagarge, tün nub siradeaga. Bangar ferefinabur epüra dora nub edebüre oguren. Baba tugu, nude ferefinabur subo tutug baba namabürüngebüre güdi oguren. 
LUK.5.16	Bangeagako, güre sese sibdibwafaigebüre ferefinabur uriangafaigüdi, fib fere kene gam kümünafaigeaga.
LUK.5.17	Dü güre gam Jisas ferefinabur sarigabürünga büreaga, Farisiwar tugu kabiab sibam sarigegiwar tugu gotogüdi büren. Nini Jerusalemüb fib ere gamnabwar oguren, Galili distriküb fib toi gürenakutib gamnabwar tugu oguren, Judia distriküb fib toi gürenakutib gamnabwar tugu oguren. Bangar Erekokaib sogi Jisas gam bürar, subo ferefinabur idangeaga. 
LUK.5.18	Bangar fere gürekoi fere güre kemeidi oguren. Fere babab dagar toi gürenakuti kumar kur güre gam kinbüreaga. Bangar kemeidi fatagoime kümüna Jisas iroto diferebüregen, 
LUK.5.19	bangeagako, ferefinabur epürafanam büredigegar fib gütügeaga, bangar subo fere kemeidi iruwegi erekobo, kene. Bangar bere fata Jisas büreaga baba fata tor gam komen. Bangüdi fata tor güresari gogafotudi, kur fere kineaga baba, muride warüdi diferedi dab dab kanüdi, ferefinabur kodigo, Jisasüb nurmaga iroto diferedi büreaga.
LUK.5.20	Jisas kegengeaga baba kürüna kob kainanagen, bangar wageaga, “Mai, ye nab menmen gürenakuti kenegafotun.” 
LUK.5.21	Kabiab sibam ferewar tugu Farisiwar tugu dora baba edüdi menüm dorafokowen, “Fere meme nu wongar Keriabüb kur debürewadi dora baba dorageaga? Fere gürede menmen unaigafotuweregarge. Baba Keriab nugenakuanab fünai.” 
LUK.5.22	Jisas ninib ututun sibamgafotüdi, maig nin gam dora menüm toweaga, “Amure ninib kob gam ututun babanüm büreaga? 
LUK.5.23	Am dora ye doragegi diruge? Ye menüm doragegi diruge, ‘Ye nab menmen toi gürenakuti unaigafotun,’ o ye menüm doragegi diruge, ‘Na siradibe urige’? 
LUK.5.24	Bangeagako, yeb utun baba nini menüm sibamgane, Fereb Nono nu, meme kübüdim gam sogi tugu, bangar nu menmen toi unaigafotugeregeaga.” Bana Jisas fere dagar gürenakuti kumeaga baba gam agügüdi menüm waweaga, “Ye wanün, na siradibe kur nagüb dibe, fata nagüb gam kümüne.” 
LUK.5.25	Bangar ferefinaburüngab ege gam, fere baba pirikanana siradüdi, kur nuge kineaga baba deaga. Bangüdi Keriabüb yanim siradgabürübina fata nugeab gam kümüneaga. 
LUK.5.26	Bangar ferefinabur gürenakuti baba daba kegeudi tergen. Bangar Keriabüb sogi ere baba kegewebüre, kob nugengab siradeaga. Bangar Keriabüb yanim siradgabürüdi menüm wagen, “Mügar sige daba kegeugabge baba daba daba taidar kegewenan.”
LUK.5.27	Kuri Jisas urigüdi kümüna kegenam degi fere güre kegenam debegegi fata gam gotogüdi büreaga baba kegeweaga. Fere babab yanim Livai. Bangar Jisasde menüm waweaga, “Na ogura ye daie.” 
LUK.5.28	Bangar Livai daba daba gürenakuti ebgadüdi, kümüna Jisas daiweaga.
LUK.5.29	Bana Livai nugeab fata gam Jisasure kobe erekokai kobegeaga. Kegenam degi ferewar epürage tugu ugu ferewar tugu nugeküre keab gotogüdi daba nen. 
LUK.5.30	Bangar Farisiwar tugu nugengab kabiab sibam ferewar tugu, Jisasüb daidaiwegi toiure dorafokowen. Menüm wagen, “Nini, amure kegeam degi ferewarie, menmen fere gürekoi keab daba tugu, yag tugu nüfaigenan?” 
LUK.5.31	Bangar Jisasde dora ninib maig menüm toweaga, “Fere subo kene nini, kau fere gam kümünafaigedige. Fere subo tugu gürena kau fere gam kümünafaigen. 
LUK.5.32	Banüm gürena, ye fere nama yagüngür kob piruwebüre ogurarge. Ye menmengeg ferewar yagüngür kob piruwebüre oguran.”
LUK.5.34	Bangar Jisasde menüm wangeaga, “Fere güre finege debüregarba, fere baba nugeab büreabmana kiab bürarbere, nini büreabmana wanügar daba kudigeben de? Kene. 
LUK.5.35	Bangeagako, kuri fere baba igaiudi kümünafotuwen, bangar büreabmana kiab bürarge, baba sese gamba, nini daba kudigeregen.”
LUK.5.36	Jisas komina dora güre tugu dünügeaga. Menüm wageaga, “Karün güre egimengab aigo tugu garba, ferede karün omo güre dibüragüdi karün egimengab giwafaigarge. Nu bangüdiba, karün omo baba kogifuruweregeaga, baba tugu karün mara omo baba, karün egimengab sibe taideregarge. 
LUK.5.37	Fere dür sike egimengab gamde wain omob mum kunfaigedige. Nu bangüdiba, wain omob mumüde dür sike pusuafotuwar wain kübüdim gam edogeregeaga. Bangar dür sike tugu koigeregeaga. 
LUK.5.38	Babaure, dür sike omo gamde wain omob mum kunfaigen. 
LUK.5.39	Bangar fere nu wain mum egimengab niaganwaib baba, nu menüm wagfaigeaga, ‘Ye wain omob mum nimeiafaigarge. Egimengab baba nama.’”
LUK.6.2	Bangeagako, Farisi gürekoi baba kegeudi menüm wagen, “Dü Kaberegi gam baba kabia gegi kedeb, babaure nini amure bangenan?” 
LUK.6.3	Bangar Jisasde dora ninib maig menüm toweaga, “Devitüde daba geaga babab doraman nini ninaiargedag? Baba sese gam nuge, nugeab büreabmana keab ogunongeagagüdi wagün. 
LUK.6.4	Bangar Devit Keriabüb sel fata gam iruwaboudi, Keriabüb nurmaga gam bret difürüfaigen baba deaga. Bret baba kedeb babaure, Keriabüb kobegegi ferewar gürena neregen. Bangeagako, Devit nu neaga, bangüdi nugeab büreabmana tugu dünügeaga. Dora baba ninaiargede?” 
LUK.6.5	Bangar Jisasde namana menüm wangeaga, “Fereb Nono nu Dü Kaberegi taugeaga.”
LUK.6.6	Dü Kaberegi güre gam Jisas kunube fata gam iruwaboudi ferefinabur dora dünügeaga. Baba gam fere güre büreaga, nub kube namayaub kumudi fananamgeaga. 
LUK.6.7	Kabiab sibam ferewar tugu Farisiwar keab Jisas idadau taugen, amure, Dü Kaberegi gam fere subo tutug baba idadangebeagade, kenedag baba sibamgebüregen. Jisas dora gam diferebüre, erekobo fitawebüregen. 
LUK.6.8	Bangeagako, Jisas ninib ututun sibamgeaga. Babaure fere kube kogi baba menüm waweaga, “Na siradibe ferengab ege gam meag biboue.” Bangar baba fere siradüdi biboyeaga. 
LUK.6.9	Bangar Jisasde menüm wangeaga, “Ye totongebüregün. Dü Kaberegi gam kabia nama gegide, ede kabia kogi gegide? Fere sagüngüdar nama bürebende, ede kogifürüngegide?” 
LUK.6.10	Bangar Jisas fere gürenakuti gam agügübina kümünadi fere baba menüm waweaga, “Kube nagüb sururgabere.” Fere baba bangeaga babade, kube nugeab maig namaweaga. 
LUK.6.11	Bangeagako, kabiab sibam ferewar tugu Farisiwar tugu magirangar nuge nuge menüm wagen, “Jisas gam am bangegi?”
LUK.6.13	Sida taideaga, bangar nugeab daidaiwegi toi yagüngar oguren. Bangüdi gürena bede fogo aküre uruangeaga. Bangafotudi Jisasde wageaga, “Nini yeb dora turewegi ferewar.” 
LUK.6.14	Güre baba Saimon, bangar nu Jisasde yanim Pita duweaga. Bangüdi Andru tugu uruageaga, nu Saimonüb mebe, babade Jems babade Jon babade Filip babade Bartolomyu. 
LUK.6.15	Babade Matyu babade Tomas babade Jems, nu Alfiusüb nono, babade Saimon, nu Selot simaingab gingamnab, 
LUK.6.16	Babade Judas, nu Jemsüb nono, babade Judas Iskariot, kuri baba ferede Jisas nugeab karau kube gam difereregeaga.
LUK.6.17	Bana Jisas nugeab daidaiwegi simai keab gir gamde kanen. Bangüdi nu kümüna kübüdim güre surur fanam gam nugeab daidaiwegi gin ere simai keab biboudi büreaga. Ferefinabur epüra fanamge. Judia distriküb fib toib ferefinabur oguren, fib ere Jerusalemüb ferefinabur tugu oguren, saugu güre Tair fib ereie Saidonküre kodigo büreaga baba gamnabwar, nini tugu komen. 
LUK.6.18	Nini nugeab dora edebüre oguren, bangüdi nude subo nugengab namabürüngeregeagagüdi oguren. Bangar ferefinabur etob kogide kogifürüngeaga baba, Jisasde etob kogi baba ferefinabur gam dufotugeaga. 
LUK.6.19	Bangar ferefinabur gürenakuti nu gam kube diferebüregen, amure, sogi erekokai nu gam büreaga, baba sogide, ferefinabur nu gam kube diferen baba, namabürüngafaigeaga.
LUK.6.20	“Nin kogiwab ferewar, nini ebebearwane. Keriabüb Koroba baba ninagüngab.
LUK.6.21	“Nini mügar mürbürenan, nini ebebearwane. Kuri nini kuigeregenan.
LUK.6.23	Bangar baba kabia nini gam gediba, bana nini ebebearubenar mermerwane. Edane. Fib nama gam mur erekokai dagongüdi büreaga. Egime nugengab matananügmanade kabia baba sigena kiari ferewar gam güfaigen.
LUK.6.25	“Nini mügar kuigafaigenan simai, nini dabnana kuri baba nini merar agugur nagüngab ege gamde edogeregeaga. 
LUK.6.26	Bana fere gürenakuti ninib yanim siradgaberediba, bana nini dabnana. Egime nugengab matananügmana kabia baba sibenana kiou kiari ferewar gam güfaigen.”
LUK.6.28	Fere gürekoide Keriab nini kogi fürüngeregeagagüdi banüm doragediba, nini baba simai namabürüngebüre Keriab totowane. Bangüdi ferewar ninag kogifürüngen baba, sibdibwar Keriabüde nirarangeregeaga. 
LUK.6.29	Bana fere gürede suagamaranarba, suagab güresari tugu piruab nu gam kümüno. Fere güre karün nab buruwarba, enegi nagüb tuguna ebgafotuwab do. 
LUK.6.30	Fere gürenakuti daba daba sigegüdi totonediba, dünüge. Bana fere gürede daba daba nab kiregarba, nude maig nag dünebüregüdi ere doragegena. 
LUK.6.31	Kabia gürenakuti ferefinabur ninag gam gebüregüdi güfaigenan, baba kabia gürena ninide maig gürewar gam gane.
LUK.6.33	Bana ferewar kabia nama ninag gam güfaigen, baba kabianana baba ferewar gam maig toudiba, Keriabüde yanim ninib siradgabereregarge. Babanüm gürena, menmen gügab fere simai tugu, ferewarde kabia nama ninag gam güfaigen baba, maig tofaigen. 
LUK.6.34	Bana nini nagüngab utunde, fere simai daba daba maig toweregengüdi, baba fere simai gürena daba daba dünügüdiba, Keriabüde yanim ninib siradgabereregarge. Menmen gügab fere simai tugu, nini fere menmen gügab fere simai gürena daba daba dünügafaigen. Baba amure, nini sibam, baba fere simai nugengab daba daba maig toweregen. 
LUK.6.35	Bangeagako, nini ninagüngab karauyanügmana kob dünügafaigane. Nini baba simai gam kabia nama gane. Nini fere simai ninag gam daba daba maig toweregedigegüdi utungenan baba simai, daba daba dünügane. Nini bangüdiba, kuri nini mur erekokai tugu. Bangar nini Keriab Kekia Asaub nono büreregenan. Nu fere simai nugeure esegüfaigedige gam tugu, fere kogi simai gam tugu kabia nama güfaigeaga. 
LUK.6.36	Nini fere simai korarabüngane, Keriabüde ninagure kororabgafaigeaga sibe.”
LUK.6.38	Nini daba daba gürewar dünügane, bangar Keriabüde daba daba ninag dünügeregeaga. Nu ninag gam nama nama namana kabatangeregeaga, bangüdi gobabereregeaga, bangüdi büraiar kanüdi, namana gobabereregeaga. Bangar daba daba kürüna edogeregeaga, bangüdi ninag dünügeregeaga. Ninagüde aranümdag fere gürekoi dünügawaigenan, baba sibenana, Keriabüde ninag gam maigabürüngeregeaga.”
