MAT.1.1	Иисус Христостыҥ ада-ӧбӧкӧлӧри. Ол Давид ле Авраамныҥ калдыгы.
MAT.9.32	Олор чыгып барадарда, Иисуска ӧзӧк-буурында шилемирлӱ тил јок кижини экелдилер. 
MAT.9.33	Шилемир чыгара сӱрдиртерде, тил јок кижи эрмектене берди. Улус кайкап, айдыжып турды:
MAT.9.33	– Израильде мындый неме качан да болбогон!
MAT.9.34	Фарисейлер дезе айдыжып турдылар:
MAT.9.34	– Ол шилемирлерди шилемир бийиниҥ кӱчиле чыгара сӱрӱп турбай.
MAT.9.35	Иисус ончо калаларды ла јурттарды эбирип, синагогаларда ӱредип јӱрди. Ол Каандык керегинде Сӱӱнчилӱ Јар јарлап, улустыҥ кандый ла оорузын, кандый ла јоболын јазып турды. 
MAT.9.36	Кӧп улусты кӧрӧлӧ, олорго ичи ачыды: олор кӱдӱчизи јок койлордый тӱймеп, тозуп калгандар. 
MAT.9.37	Айдарда, ӱренчиктерине айтты:
MAT.9.37	– Кезер аш кӧп эди, ишчилер дезе ас. 
MAT.9.38	Анайдарда, кыраныҥ Бийин јайнагар, кыразына ишчилер ийзин.
MAT.10.1	Иисус он эки ӱренчигин кычырып алды, кара јелбистердиҥ бажын билип, чыгара сӱрзин деп, кандый ла ооруны, кандый ла јоболды јассын деп, олорго јаҥ берди. 
MAT.10.2	Он эки апостолдыҥ ады-јолы бу: баштапкызы Симон, оны база Петр дейтен, оныҥ карындажы Андрей, Зеведейдиҥ уулы Иаков, оныҥ карындажы Иоанн, 
MAT.10.3	Филипп ле Варфоломей, Фома ла Матфей каланчы, Алфейдиҥ уулы Иаков ло Фаддей дейтен Леввей, 
MAT.10.4	Симон Кананит
MAT.10.5	Иисус бу он экӱни ийип, олорго јакарды:
MAT.10.5	– Ӧскӧ калыктар јаар ууланган јолло барбагар, самарлар калазына кирбегер. 
MAT.10.6	Эҥ озо Израиль калыкка – азып јӱрген койлорго барыгар. 
MAT.10.7	Теҥери Каандыгы јууктап келди деп, базып, јарлап јӱрӱгер. 
MAT.10.8	Оору-јоболдуларды јазыгар, ӧлгӧндӧрди тиргизигер, капкаш балулу улусты арутагар, шилемирлерди чыгара сӱрӱгер. Тегинге алганыгар, тегинге беригер. 
MAT.10.9	Алтын да, кӱмӱш те алып јӱрбегер, курыгарда јес те акчалу јӱрбегер, 
MAT.10.10	јолго баштык та, солып кийер кеп те, ӧдӱк те, тайак та албагар, нениҥ учун дезе иштеген кижи курсакту болор. 
MAT.10.11	Кандый бир калага эмезе јуртка кирзегер, ондо јарагадый кижи кем болгонын сурулап угала, ого тӱжӱгер; тӱшкен ӱйде барганча јӱрӱгер. 
MAT.10.12	Ӱйге кирзегер, оны уткып, «Бу ӱйдеги улуска амыр болзын!» – дегер. 
MAT.10.13	Ӱйдеги улус јарамык болзо, амырыгар олорго једер; јарамык эмес болзо, амырыгар слерге бурылар. 
MAT.10.14	Кем слерди јуутпаза, сӧзигерди укпаза, ол ӱйдеҥ эмезе ол каладаҥ чыгып барадып, будыгардаҥ тоозынды кактагар. 
MAT.10.15	Чынын айдадым слерге: Јаргы болор кӱнде Содом ло Гоморра јерине, ол калага кӧрӧ, јеҥил болор.
MAT.10.16	Бат, слерди бӧрӱлер ортодо јӱрер койлорды чылап ийип јадым. Јыландый ойгор болыгар, кӱӱледий чӱм јок болыгар. 
MAT.10.17	Улустаҥ ајарынып јӱригер. Олор слерди јаргыга берер, синагогаларында камчылаар. 
MAT.10.18	Слерди Мениҥ адым учун башчыларына, каандарына апарар. Олордыҥ ла ӧскӧ калыктардыҥ алдына Мен керегинде кереледип, 
MAT.10.19	слерди олордыҥ колына берип ийзе, канайып айдар эмезе нени айдар деп санааркабагар. Айдар сӧс ол тушта слерге берилер. 
MAT.10.20	Слер бойыгардаҥ айдар эмезигер, Адагардыҥ Тыны ичигердеҥ айдар. 
MAT.10.21	Карындаш карындажын, адазы уулын ӧлӱмге берер; балдары ада-энезине удура туруп чыгып, олорды ӧлтӱрер. 
MAT.10.22	Мениҥ адым учун слерди ончо улус јаман кӧрӧр. Учына јетире чыдашканы дезе, аргадалар. 
MAT.10.23	Слерди бир калада истегежин, ӧскӧ калага качыгар. Чынын айдадым слерге: Израильдиҥ калаларын эбирип тӱгескелегерде, Кижи Уулы једип келер.
MAT.10.24	Ӱренчик ӱредӱчизинеҥ бийик болбос, кул бийинеҥ бийик болбос. 
MAT.10.25	Ӱренчик ӱредӱчизиндий болзо, ол до болор, кул бийиндий болзо, ол до болор. Айылдыҥ ээзин веельзевул
MAT.10.26	Анайдарда, улустаҥ коркыбагар. Ачылбай калар туйук неме јок, јарталбай калар јажыт јок. 
MAT.10.27	Караҥуйда айтканымды, јарык тужында айдыгар; кулакла укканыгарды, ӱйдиҥ јабынчызынаҥ јарлагар. 
MAT.10.28	Кижиниҥ эди-канын ӧлтӱрип, јулазын дезе ӧлтӱрип болбос улустаҥ коркыбагар. Кижиниҥ эди-канын да, јулазын да таамыда ӧлтӱрер аргалудаҥ коркыгар. 
MAT.10.29	Эки кучыйакты оок акчага садатан эмес пе? Је Адагардыҥ табы болбогончо, экӱниҥ бирӱзи де јерге келип тӱшпес. 
MAT.10.30	Слердиҥ дезе бажыгардыҥ кылы да ончозы тоололып калган. 
MAT.10.31	Анайдарда, коркыбагар: слер кӧп кучыйактардаҥ артык.
MAT.10.32	Андый болгондо, кем Мени јарадып турганын улус алдына айтса, оны Мен де јарадып турганымды Теҥеридеги Адамныҥ алдына айдарым. 
MAT.10.33	Улус алдында Менеҥ јана тӱшкен кижидеҥ Мен де Теҥеридеги Адамныҥ алдында јана тӱжерим.
MAT.10.34	Мени јерге амыр экелерге келген деп сананбагар. Мен амыр эмес, кылыш туттырарга келгем. 
MAT.10.35	 келгем. 
MAT.10.37	Адазын эмезе энезин Менеҥ артык сӱӱгени, Меге јарабас. Уулын эмезе кызын Менеҥ артык сӱӱгени, Меге јарабас. 
MAT.10.38	Керӱ агажын алып Мениле кожо барбаганы, Меге јарабас. 
MAT.10.39	Јӱрӱмин чеберлегени, онызын јылыйтар, Мен учун јӱрӱмин јылыйтканы дезе, онызын чеберлеп алар. 
MAT.10.40	Слерди јуутканы, Мени јуутканы ол, Мени јуутканы дезе, Мени Ийгенди јуутканы болор. 
MAT.10.41	Јарлыкчы деп, јарлыкчыны јуутканы, јарлыкчыныҥ кайралын алар. Акту деп, актуны јуутканы, актуныҥ кайралын алар. 
MAT.10.42	Бу кичӱлердиҥ кажы бирӱзине, Мениҥ ӱренчигим деп, бир айак соок суу ичирген кижи, чынын айдадым слерге: кайрал јок артпас.
MAT.11.1	Иисус он эки ӱренчигин јакып, ӱредип божойло, ӧскӧ калаларда ӱредерге ле јарлыктаарга, оноҥ ары барды.
MAT.11.2+MAT.11.3	Тӱрмеде отурган Иоанн Христостыҥ эдип јӱргенин угала, «Келер дегени Сен бе, айса ӧскӧни сакыйтан ба?» деп сураарга, Ого бойыныҥ ӱренчиктериниҥ экӱзин ийди.
MAT.11.4	Иисус олорго каруу јандырды:
MAT.11.4	– Барып, угуп-кӧрӱп турганыгарды Иоаннга айдыгар: 
MAT.11.5	сокорлордыҥ кӧзи јарыйт, аксактар базып јӱргӱлейт, капкаш балулу улус аруталат, тӱлейлер угат, ӧлгӧндӧр тирилет, тӱреҥилерге Сӱӱнчилӱ Јар јарлалат. 
MAT.11.6	Эреҥистелбей Меге бӱткен кижи кежиктӱ.
MAT.11.7	Олор јӱре берерде, Иисус улуска Иоанн керегинде айдып баштады:
MAT.11.7	– Куба чӧлгӧ нени кӧрӧргӧ јӱрдигер? Салкынга јайкаткан кулузынды ба? 
MAT.11.8	Је нени кӧрӧргӧ јӱрдигер? Торко-маҥдык кийген кижини бе? Је торко-маҥдык кийимдӱлер каан ӧргӧӧзинде јӱретен. 
MAT.11.9	Нени кӧрӧргӧ јӱрдигер? Јарлыкчыны ба? Эйе, айдып турум слерге: ол јарлыкчыдаҥ да јаан.
MAT.11.10	деп, ол керегинде бичилген. 
MAT.11.11	Чынын айдадым слерге: энедеҥ чыккандар ортодо Иоаннаҥ јааны јок. Је Теҥери Каандыгында кичӱ дегени, оноҥ јаан. 
MAT.11.12	Крестеечи Иоанн тужынаҥ ала бого јетире Теҥери Каандыгына кирерге кӱч салар керек, кӱч салганы, ого кирип јат. 
MAT.11.13	Ончо јарлыкчылар ла Јасак Теҥери Каандыгы керегинде Иоаннаҥ озо айткан. 
MAT.11.14	Бого бӱдӱп турган болзогор, келетен деген Илия бу. 
MAT.11.15	Кулакту кижи уксын!
MAT.11.16	Бу ӱйениҥ улузын кемге тӱҥдеп айдайын? Олор тепсеҥде отурып, мынайда кыйгырыжып турган балдарга тӱҥей: 
MAT.11.17	«Слерге сыбыскы тарткан эдибис, је слер бијелебедигер; слерге кунукчылду кожоҥ кожоҥдогоныс, је слер ыйлабадыгар». 
MAT.11.18	Иоанн келип, курсак јибесте, аракы ичпесте, «Оныҥ ӧзӧк-буурында шилемир бар» – дейдилер. 
MAT.11.19	Кижи Уулы келди, јиирин јиди, ичерин ичти. «Кӧргӱлегер, курсакчыл ла аракызак кижи бу, каланчылардыҥ ла кинчектӱлердиҥ најызы ол» – дейдилер. Је Ойгорлык Ойгорлыктыҥ керектериле акталган.
MAT.11.20	Оноҥ кинчектерин алынбаган учун кайкалдарыныҥ кӧбизи эдилген калаларды Иисус каарып айда берди:
MAT.11.21	– Ачу-корон сеге, Хоразин! Ачу-корон сеге, Вифсаида! Слерде эдилген кайкалдар Тир ле Сидондо эдилген болзо, олор самтар кеп кийип, баштарына кубал сееп, туку качан Кудайга баштанар эди. 
MAT.11.22	Је айдып турум слерге: Јаргы болор кӱнде Тир ле Сидонго слерге кӧрӧ јеҥил болор. 
MAT.11.23	Сен де, Капернаум, теҥериге јетире бийиктединген бойыҥ, таамыга јетире јабызаарыҥ! Сенде эдилген кайкалдар Содомдо эдилген болзо, ол эмдиге јетире турар эди. 
MAT.11.24	Је айдып турум слерге: Јаргы болор кӱнде Содом јерине сеге кӧрӧ јеҥил болор.
MAT.11.25	Ол ӧйдӧ Иисус сӧзин улалтып, айтты:
MAT.11.25	– Ада, теҥери ле јердиҥ Кайраканы! Мыны ойгорлордоҥ ло керсӱлердеҥ јажырала, кичӱлерге ачканыҥ учун Сеге баш болзын! 
MAT.11.26	Эйе, Ада, јакшылыкту табыҥ андый болгон эди. 
MAT.11.27	Ончозы Меге Адамнаҥ берилген. Уулын кем де билбес, јаҥыс Адазы билер, Адазын да кем де билбес, јаҥыс Уулы билер. Уулы Адазын кемге ачар кӱӱндӱ, Оны ол кижи билер. 
MAT.11.28	Јобоп-чучурап калгандар ла уур-кӱчке бастыргандар, ончогор Меге келигер, слерди токынадып салайын. 
MAT.11.29	Мен берер комутты бойыгарга кийип, Менеҥ ӱренигер, Мен јобош ло улуркабас јӱректӱ инем. Ол тушта јулагарга амыр табарыгар. 
MAT.11.30	Мен берер комут јакшы, Мен салар јӱк јеҥил.
MAT.12.1	Ол ӧйдӧ суббот кӱнде Иисус аш салган кыраны кечире барып јаткан. Ӱренчиктери дезе аштайла, аштыҥ мажагын ӱзӱп, јип тургандар. 
MAT.12.2	Фарисейлер мыны кӧрӧлӧ, Ого айттылар:
MAT.12.2	– Кӧр, ӱренчиктериҥ суббот кӱнде этпести эдип јат.
MAT.12.3	Иисус дезе олорго айтты:
MAT.12.3	– Давид кожо јӱргендериле аштайла, нени эткен эди, кычырбаган бедигер? 
MAT.12.4	Канайып ол Кудайдыҥ байзыҥына киреле, јаҥыс абыстар јийтен, ол до, кожо јӱргендери де јиирге јарабас ыйык калашты алып јигенин? 
MAT.12.5	База, суббот кӱнде абыстар байзыҥда иштеп, субботтыҥ байын бусса да, бурулу эмес дегенин, Јасактаҥ кычырбаган бедигер? 
MAT.12.6	Је айдып турум слерге: алдыгарда турганы – Ол байзыҥнаҥ јаан. 
MAT.12.7	 деген сӧс бар. Оныҥ учурын билген болзогор, бурулу эместерди бурулабас эдигер. 
MAT.12.8	Кижи Уулы дезе суббот то кӱнниҥ бийи.
MAT.12.9	Оноортынаҥ келеле, Иисус олордыҥ синагогазына кирди. 
MAT.12.10	Анда колы кургап калган кижи болгон. Иисусты бурулаарга, Оноҥ сурадылар:
MAT.12.10	– Суббот кӱнде ооруны јазарга јараар ба?
MAT.12.11	Иисус дезе олорго:
MAT.12.11	– Кажы бирӱгердиҥ сок јаҥыс койы суббот кӱнде орого тӱшсе, ол оны чыгарып албас беди? 
MAT.12.12	Кижи дезе койдоҥ канча кире артык! Оныҥ учун суббот кӱнде јакшыны эдерге јараар – дейле, 
MAT.12.13	байагы кижиге баштанды: – Колыҥды сунуп ий.
MAT.12.13	Ол сунды, колы база бирӱзиндий су-кадык боло берди. 
MAT.12.14	Фарисейлер чыгала, канайтсабыс Иисусты ӧлтӱрерис деп, Ого удура јӧп чыгардылар. 
MAT.12.15	Је Иисус мыны билип, оноортынаҥ јӱре берди.
MAT.12.15	Иисустыҥ кийнинеҥ кӧп улус барды, Ол ончозын јасты, 
MAT.12.16	је Бойы кем болгонын јарлабазын деп јакарды. 
MAT.12.17	Исаия деген јарлыкчыныҥ айтканы бӱтсин деп, мынайда болгоны бу. Ол айткан:
MAT.12.22	Иисуска ӧзӧк-буурында шилемирлӱ сокор ло тил јок кижини экелдилер. Иисус оны јазып ийерде, ол эрмектенер ле кӧрӧр боло берди. 
MAT.12.23	Ончо улус алаҥ кайкап,
MAT.12.23	– Бу Давид Уулы Христос болор бо? – дешти.
MAT.12.24	Фарисейлер дезе мыны угала, айттылар:
MAT.12.24	– Ол шилемирлерди шилемир бийи веельзевулдыҥ кӱчиле чыгара сӱрӱп турбай.
MAT.12.25	Је Иисус олордыҥ санаазын билип, айтты:
MAT.12.25	– Бойынаҥ бойы бӧлинишкен кандый ла каандык ээн калар; бойынаҥ бойы бӧлӱнишкен кандый да кала эмезе јурт чыдажып туруп болбос. 
MAT.12.26	Сатана сатананы чыгара сӱрӱп турган болзо, ол бойынаҥ бойы бӧлӱнген. Оныҥ каандыгы канайып чыдажып турар? 
MAT.12.27	Веельзевулдыҥ кӱчиле шилемирлерди чыгара сӱрӱп турган болзом, слердиҥ уулдарыгар кемниҥ кӱчиле чыгара сӱрӱп јат? Оныҥ учун олор слерге јаргычылар болор. 
MAT.12.28	Је шилемирлерди чыгара сӱрӱп турганым Кудайдыҥ Тынынаҥ болзо, слерге Кудайдыҥ Каандыгы јеткени ол туру. 
MAT.12.29	Кӱчтӱ кижиниҥ айлына киргени, оны кӱлӱбегенче, оныҥ јӧӧжӧзин канайып тоноор? Озо баштап кӱлӱзе, ол тушта айлын тоноор. 
MAT.12.30	Мениле кожо эмес кижи, Меге удура болгоны ол. Мениле кожо јуубаганы, кородып турганы ол.
MAT.12.31	Оныҥ учун айдып турум слерге: кижиниҥ кандый ла кинчеги, канайып та јамандап айтканы ташталар, Тынды јамандаганы дезе, ташталбас. 
MAT.12.32	Кижи Уулына удура сӧс айтканы ташталар, је Агару Тынды јамандап айтканы бу да чакта, келер де ӧйлӧрдӧ ташталбас.
MAT.12.33	Агаштыҥ бойын јакшы дезегер, јиилегин де јакшы дегер, агаштыҥ бойын јаман дезегер, јиилегин де јаман дегер: агаш јиилегинеҥ танылу.
MAT.12.34	Јыланныҥ ач-ӱрени! Јаман ичтӱ бойыгар, јакшы айдар бедигер? Кижиниҥ јӱреги неле толо, оозынаҥ чыгары ол ине. 
MAT.12.35	Јакшы кижи јакшыны чеберлеген јеринеҥ јакшызын алып чыгар, јаман кижи дезе јаманды чеберлеген јеринеҥ јаманын алып чыгар. 
MAT.12.36	Айдып турум слерге: кижи кажы ла кей-куру сӧзи учун Јаргы болор кӱнде каруузына турар. 
MAT.12.37	Сӧзиҥле акталарыҥ, сӧзиҥле ок јаргыладарыҥ.
MAT.12.38	Ол тушта бичикчилер ле фарисейлердиҥ кезиги Иисуска айттылар:
MAT.12.38	– Ӱредӱчи, Сенеҥ билди кӧрӧргӧ турубыс.
MAT.12.39	Је Иисус олорго каруу јандырды:
MAT.12.39	– Кал, чайдам ӱйе билди кӧрӧйин деп туру, је Иона јарлыкчыныҥ билдизинеҥ башка, ого билди берилбес. 
MAT.12.40	 јӱрген чилеп, Кижи Уулы да јердиҥ јӱрегинде ӱч тӱш ле ӱч тӱн јӱрер. 
MAT.12.41	Ниневияныҥ улузы Јаргы болор кӱнде бу ӱйениҥ улузыла кожо туруп, олорды бурулаар. Олор Ионаныҥ јарлыктаганын угала, кинчегин алынып, Кудайга баштанган эдилер. Је бат, мында Турганы Ионадаҥ јаан. 
MAT.12.42	Тӱштӱктиҥ абакай-кааны Јаргы болор кӱнде бу ӱйениҥ улузыла кожо туруп, олорды бурулаар: ол Соломонныҥ ойгор сӧзин угайын деп, јака јердеҥ келип јӱрген эди. Је бат, мында Турганы Соломонноҥ јаан.
MAT.12.43	Кара јелбис кижиниҥ ӧзӧк-буурынаҥ чыкканда, токунал бедиреп, суу јок јерлерде тенип јӱрет. Таппай салала, 
MAT.12.44	«Чыгып барган айлыма бурылатам» – дейле, барып кӧрзӧ, айлы бош, јалмалган, јуунадылган болот. 
MAT.12.45	Барып, бойынаҥ јаман ӧскӧ јети јелбис ээчиткенче келет, кирип, анда јуртай бергилейт. Байагы кижиге мынызы башкызынаҥ коомой болор. Бу кал ӱйениҥ улузыла база андый болор.
MAT.12.46	Иисус улуска айдып турганча, энези ле карындаштары Оныла эрмектежерге, тышкары тургандар. 
MAT.12.47	Бир кижи Ого айтты: «Энеҥ ле карындаштарыҥ Сениле эрмектежерге, тышкары тургулары».
MAT.12.48	Је Иисус ол кижиге:
MAT.12.48	– Энем кем, карындаштарым кемдер? – дейле, 
MAT.12.49	ӱренчиктери јаар колыла уулап, айтты: – Бат, Мениҥ энем, Мениҥ карындаштарым бу. 
MAT.12.50	Теҥеридеги Адамныҥ табын бӱдӱрип јӱргени, Мениҥ карындажым да, эје-сыйыным да, энем де.
MAT.13.1	Ол кӱн Иисус ӱйдеҥ чыгып, талайдыҥ јаказына барып, анда отурган. 
MAT.13.2	Ого кӧп улус јуулыжып келерде, кемеге кирип, отурды, улус дезе ончозы јаратта тура калды. 
MAT.13.3	Кӧп немелер керегинде олорго укаа сӧстӧр айтты.
MAT.13.3	– Бат, ӱрендеечи ӱрендеерге чыккан – деди. – 
MAT.13.4	Ол ӱрендеп турарда, ӱренниҥ кезиги јолдыҥ кырына тӱшкен. Куштар учуп келеле, олорды чокып салган.
MAT.13.5	Кезиги тобрагы ас ташту јерге тӱшкен. Тобрагы калыҥ эмес болгондо, саадабай кылгазы ӧзӱп чыккан. 
MAT.13.6	Кӱн чыгарда, оҥуп, тазыл јок болгон учун кургап калган.
MAT.13.7	Кезиги тегенектӱ јерге тӱшкен. Тегенек ӧзӱп, оны туй базып койгон.
MAT.13.8	Кезиги јакшы јерге тӱжӱп, ӱренделгенине кӧрӧ, бирӱзи јӱс, кажызы алтан, кезиги дезе одус катап кӧп тӱжӱм берген.
MAT.13.9	Кулакту кижи уксын!
MAT.13.10	Ӱренчиктер базып келеле, Иисустаҥ сурадылар:
MAT.13.10	– Олорго не керек укаалап айдадыҥ?
MAT.13.11	– Слерге Теҥери Каандыгыныҥ јажыттарын билери берилген, олорго дезе берилбеген учун – деп, Ол каруу јандырды. – 
MAT.13.12	Кемде бар, ого берилер, ӱзеери кожулар; кемде дезе јок, оныҥ бар болгоны да айрылар. 
MAT.13.13	Олор кӧрзӧ дӧ, кӧрбӧйдилер, укса да, укпайдылар, аайлабайдылар. Оныҥ учун олорго укаалап айдып турганым ол. 
MAT.13.14	Анайып, олор керегинде Исаия деген јарлыкчыныҥ айтканы бӱдӱп јат. Ол айткан:
MAT.13.16	Кӧстӧригер кӧрӱп турган учун кежиктӱ, кулактарыгар угуп турган учун кежиктӱ. 
MAT.13.17	Чынын айдадым слерге: кӧп јарлыкчылар ла актулар кӧрӱп јӱргенеерди кӧрӧйин дейле, кӧрбӧгӧн, угуп јӱргенеерди угайын дейле, угуп болбогон.
MAT.13.18	Анайдарда, ӱрендеечи керегинде укаа сӧстиҥ учурын угугар.
MAT.13.19	Каандык керегинде сӧсти угарын угуп, је оны аайлабай турган кижиге кӧрмӧс келип, кӧксинде ӱренделгенди айрып апарар. Јол кырына ӱренделген дегени бу болор.
MAT.13.20	Ташту јерге ӱренделген дегени, мындый кижи керегинде айтканы: ол айткан сӧсти угуп, бу тарый сӱӱнип, кӧксине алынат. 
MAT.13.21	Је ол бойында тазыл јок, турумкай эмес. Сӧс учун ачу келгежин эмезе истежӱ болгожын, бу тарый јана тӱжет.
MAT.13.22	Тегенектӱ јерге ӱренделген дегени, сӧсти уккан кижи керегинде айтканы. Је јадынды кичеейтени, јӧӧжӧгӧ тартылатаны уккан сӧсти туй базып койот, ол сӧс тӱжӱм јок артып калат.
MAT.13.23	Јакшы јерге ӱренделген дегени, сӧсти угуп, аайлап турган кижи керегинде айтканы. Андый кижиниҥ ӱрени тӱжӱмдӱ болуп, ӱренделгенине кӧрӧ бирӱзи јӱс, кажызы алтан, кезиги дезе одус катап кӧп тӱжӱм берет.
MAT.13.24	Иисус олорго база бир укаа сӧс айтты:
MAT.13.24	– Теҥери Каандыгы бого тӱҥей: бир кижи кыразына јакшы ӱрен ӱрендеген. 
MAT.13.25	Улус уйуктап јадарда, оныҥ ӧштӱзи келип, буудайга от ӧлӧҥ колыштыра ӱрендейле, јӱре берген. 
MAT.13.26	Аштыҥ кылгазы чыгып, аш быжарда, от ӧлӧҥ дӧ кӧрӱнип келген. 
MAT.13.27	Ээзиниҥ кулдары ого келип, айткан: «Бийибис, кырага јакшы ӱрен салган јокпоҥ, анда от ӧлӧҥ кайдаҥ келди?» 
MAT.13.28	«Оны ӧштӱ эткен» – деп, ээзи каруу јандырган. Айдарда, кулдары: «Барып, оны одойлы ба?» – дегендер. 
MAT.13.29	Је ээзи айткан: «Бойсын, одоп турзагар, кожо буудайы јулулбазын. 
MAT.13.30	Аш кезер ӧйгӧ јетире кажызы ла кожо ӧзӱп тургай. Аш кезер ӧйинде ишчилериме айдарым: „Озо баштап от ӧлӧҥди јууп, ӧртӧӧргӧ буулам эдип буулагар, буудайын дезе алмарыма јууп салыгар“».
MAT.13.31	Иисус олорго база бир укаа сӧс айтты:
MAT.13.31	– Теҥери Каандыгы горчицаныҥ ӱренине тӱҥей. Оны кижи алып, кыразына ӱрендеп койгон. 
MAT.13.32	Ол ончо ӱрендердеҥ оок то болзо, је ӧзӱп, бӱткен тужында, кандый ла маала ажынаҥ бийиктеп, агашка теҥ болот, теҥериниҥ куштары учуп келип, будактарына уйа тартат.
MAT.13.33	Иисус олорго база бир укаа сӧс айтты:
MAT.13.33	– Теҥери Каандыгы ачыткыга тӱҥей. Оны ӱй кижи алып, ӱч кемјӱ кулурга саларда, ончо тесте кӧдӱрилип калган.
MAT.13.34	Иисус мыны ончозын улуска укаалап айткан, укаалабай неме айтпас болгон. 
MAT.13.35	Јарлыкчы ажыра айдылганы бӱтсин деп, мынайда болгоны бу. Ол айткан:
MAT.13.36	Иисус улусты божодып ийеле, ӱйге кирди. Ӱренчиктери Ого базып келеле, айттылар:
MAT.13.36	– Кырадагы от ӧлӧҥ керегинде укаа сӧсти биске јартап берзеҥ.
MAT.13.37	Иисус каруу јандырды:
MAT.13.37	– Јакшы ӱрен ӱрендеп турганы – Кижи Уулы. 
MAT.13.38	Кыра – бу телекей. Јакшы ӱрен – Каандыктыҥ уулдары. От ӧлӧҥ – кӧрмӧстиҥ уулдары, 
MAT.13.39	оны ӱрендеген ӧштӱ дезе – кӧрмӧс. Аш кезер ӧй – калганчы чак, аш кезеечилер дезе – ангелдер. 
MAT.13.40	Оныҥ учун от ӧлӧҥди јууп алып, отко ӧртӧгӧндий, калганчы чакта андый болор. 
MAT.13.41	Кижи Уулы ангелдерин ийер, олор Оныҥ Каандыгынаҥ кинчекке тартар кандый ла немелерди, јаман кылынып јӱргендерди јууп алып, 
MAT.13.42	отту печкеге таштаар. Анда ый ла тиш кыјырты болор. 
MAT.13.43	Ол тушта актулар Адазыныҥ Каандыгында кӱн кептӱ јаркындалар. Кулакту кижи уксын!
MAT.13.44	Теҥери Каандыгы јалаҥда сугуп койгон јӧӧжӧгӧ тӱҥей. Оны кижи табала, кӧмӱп койгон, сӱӱнген бойынча барып, не барын садып ийип, байагы јалаҥды садып алган.
MAT.13.45	Анайда ок Теҥери Каандыгы јакшы эрјине бедиреп јӱрген којойымга тӱҥей. 
MAT.13.46	Ол бир баалу эрјине табала, барып, не барын садып ийип, байагы эрјинени садып алган.
MAT.13.47	Теҥери Каандыгы шӱӱнге база тӱҥей. Ол шӱӱн талайга ташталарда, јӱзӱн-јӱӱр балык тудылган. 
MAT.13.48	Шӱӱнге балык толордо, оны јаратка чыгарып, отурып алып, балыктыҥ јакшызын каламага салгандар, јаманын дезе кеде таштап ийгендер. 
MAT.13.49	Калганчы чакта андый ок болор: ангелдер чыгып, јаман улусты актулардаҥ айрып, 
MAT.13.50	отту печкеге таштаар. Анда ый ла тиш кыјырты болор. 
MAT.13.51	Мыныҥ ончозын аайладаар ба?
MAT.13.51	Олор:
MAT.13.51	– Эйе, – дедилер.
MAT.13.52	Иисус олорго айтты:
MAT.13.52	– Оныҥ учун Теҥери Каандыгыныҥ ӱренчиги боло берген кажы ла бичикчи кижи јӧӧжӧлӱ јеринеҥ јаҥызын да, эскизин де чыгарып турган айыл ээзине тӱҥей.
MAT.13.53	Иисус бу укаа сӧстӧрин айдып божойло, оноортынаҥ јӱре берди. 
MAT.13.54	Бойыныҥ алтайына келеле, синагогада улус ӱретти. Олор кайкажып, айдыжып турдылар:
MAT.13.54	– Оныҥ мындый ойгор санаазы ла кӱчи кайдаҥ келген болотон? 
MAT.13.55	Ол агашла узанардыҥ уулы эмес беди? Энезиниҥ ады Мария дезеер? Иаков ло Иосий, Симон ло Иуда оныҥ карындаштары беди? 
MAT.13.56	Оныҥ ончо эје-сыйындары ортобыста јок беди? Бу ончозы Ого кайдаҥ келген?
MAT.13.57	Анайып Ого бӱтпей, Оны јуутпай тургандар.
MAT.13.57	Иисус дезе олорго айтты:
MAT.13.57	– Јарлыкчы кӱндӱзи јок болбойтон, оны јаҥыс алтайында ла айлындагы улузы тообойтон.
MAT.13.58	Олордыҥ бӱтпей турганынаҥ улам анда кӧп кайкал этпеди.
MAT.14.1	Ол тушта тӧрт тӧчинниҥ бирӱзин башкарган Ирод, Иисус керегинде табышты угала, 
MAT.14.2	јалчыларына айтты:
MAT.14.2	– Бу Крестеечи Иоанн болор. Ол тирилген, оныҥ учун ол кайкалдар эдет.
MAT.14.3	Башкыда Ирод бойыныҥ Филипп деп карындажыныҥ абакайы болгон Иродиада учун Иоаннды кижендейле, тӱрмелеп койгон, 
MAT.14.4	нениҥ учун дезе Иоанн ого айдып туратан: «Сеге оны аларга јарабас». 
MAT.14.5	Ирод Иоаннды ӧлтӱрерге сананган, је оны ончозы јарлыкчы деп турарда, калыктаҥ коркып, ӧлтӱрбей турган.
MAT.14.6	Иродтыҥ чыккан кӱнинде Иродиаданыҥ кызы, јуулган улус алдында бијелеп, Иродко јараган. 
MAT.14.7	Оныҥ учун нени ле сураза, ого Ирод берер болуп чертенген. 
MAT.14.8	Кыс дезе энезиниҥ ӱреткениле айткан: «Бого ло, Крестеечи Иоанныҥ бажын табакка салып, меге бер». 
MAT.14.9	Каан кунуга берген, је чертине ле кожо кыйын отурган улуска болуп, башты беригер – деген. 
MAT.14.10	Тӱрмеде Иоанныҥ бажын кезе чапсын деп, улус ийген. 
MAT.14.11	Оныҥ бажын табакка салала экелип, кыска табыштыргандар, кыс дезе энезине апарып берген.
