MAT.1.1	Gava si o lil katar e vicha e Jesukristoki, vou saia katar e vicha e Davideki ta i e Abraameki. 
MRK.10.1	O Jesus likisto katar o Kafernaum, ta llelo karing e ppuv katar e Judea ta pe ppuv kai si pe o goia rig katar o Jordan. Ta kote pale chidinailo o sueto te asunel le, ta sikavela len sar cherela suako drom. 
MRK.10.2	Ondaka nesave fariseura avile pasa o Jesus ta te zumaven le puchle le dal o rom sai mukelpe katar pi romi. 
MRK.10.3	Vou ppenda lenge:
MRK.10.3	—¿So ppenda o Moises te cheren?
MRK.10.4	Von ppende:
MRK.10.4	—O Moises mukla te chinen kris, ta gia te del la iek lil kai mukelpe latar.
MRK.10.5	Ondaka o Jesus ppenda lenge:
MRK.10.5	—O Moises dia tumen gua zakono soke tumaro lio si zuralo. 
MRK.10.6	A kana o Del iakom cherela e sueto “cherda len murus ta diskinia.
MRK.10.7	Pala gaia ezgoda o murus ka mukel pe dade ta pe da te avel pe romiaia,
MRK.10.8	ta e dui ka aven sargo iek manus.” Goleke von inai dui, akana von si iek. 
MRK.10.9	Goleke o manus morabi te na fulavel so o Del ttoda ande iek ttan.
MRK.10.10	Kana avile ando cher, e disipulura pale puchle le katar goia orba. 
MRK.10.11	Ondaka o Jesus ppenda lenge:
MRK.10.11	—Gua kai mukelpe katar pi romi ta zinilpe averiaia, cherel kurvaluko golake kai saia leki romi mai anglal;
MRK.10.12	a e romi te mukel pe rome ta te zinilpe averea, i voi cherel kurvaluko.
MRK.10.13	Ondaka ande kai o Jesus nesave minonen te ttovel pe va pe lengo soro ta te blagosil len; a e disipulura die pe llene kai anena e minonen. 
MRK.10.14	Kana o Jesus dikkla so cherena, jolailo ta ppenda lenge:
MRK.10.14	—Muken e minonen te aven mande, ta na achaven len, soke e charoina e Devleki si golengi kai si sargo minone. 
MRK.10.15	Chachimaia ppenau tumenge, kai kogo ni lel e charoina e Devleki sargo iek minono, ni ka del andre.
MRK.10.16	Ta lia e mimonen ande pe va ta ttoda upral pe lende pe va ta blagosisarda len.
MRK.10.17	Kana o Jesus llalatar kotar, avilo lete iek lleno prastindo ta dia changa angla le ta puchla le:
MRK.10.17	—Kovachi lachea, ¿so morabi te cherau te lau o zivoto ostade?
MRK.10.18	O Jesus ppenda leke:
MRK.10.18	—¿Soke ikkare man lacho? Samo iek si lacho, o Del. 
MRK.10.19	Tu llane e zakonura: ‘Na mundar, na cher kurvaluko, na chor, na ikan bune, na kojau, de liubao che dade ta che da.’
MRK.10.20	Gua lleno ppenda leke gia:
MRK.10.20	—Kovachi, sa gola ezgode cherdemlen sar kana sema ternorro.
MRK.10.21	O Jesus dikkla pe lete volimaia, ta ppenda leke:
MRK.10.21	—Iek ezgoda trubul tut te chere: Lla, ta bichin sa so si tut ta dele e chorrenge. Gia ka avel tut barvalipe ando miloso. Ondaka aide ta lla pala ma.
MRK.10.22	Gua manus tristosailo kana asunda gaia orba; llelotar zalbaia, soke saia but barvalo.
MRK.10.23	O Jesus ondaka dikkla truialpe, ta ppenda pe disipulonenge:
MRK.10.23	—¡Gia trudno ka avel e barvalenge te den ande charoina e Devleki!
MRK.10.24	Gala alava cherde te chudinpe e disipulura, a o Jesus pale ppenda lenge:
MRK.10.24	—Chavalen, ¡gia trudno si te den ande charoina e Devleki sa gola kai uzdinpe ande love! 
MRK.10.25	Mai lesno si iekke devake te nakkel katar e iak iekke suviaki, neko te del iek barvalo ande charoina e Devleki.
MRK.10.26	Kana asunde le, chudisaile ios mai but, ta puchena iek avere:
MRK.10.26	—¿A ko ka avel braduime?
MRK.10.27	O Jesus dikkla pe lende ta ppenda lenge:
MRK.10.27	—E manusa nasti cheren gaia ezgoda, a o Del sai, soke o Del sa sai cherel.
MRK.10.28	O Pedro ttoda te ppenel e Jesuseke:
MRK.10.28	—Amen muklam sa so saia amen, ta llelam pala tu.
MRK.10.29	O Jesus ppenda lenge:
MRK.10.29	—Chachimaia ppenau tumenge kai varesavo lleno kai pala ma ta pala e lachi viasta mukla cher, o pplalen, o ppiorren, o dea, o dade, o chaurren, o ppuvia, 
MRK.10.30	ka len akana ande gava zivoto stotina droma mai but chera, pplal, ppiorra, dea, chaurre ta ppuvia, makar nakkena patnia pe dusmanonenchar. Ta ando zivoto kai si te avel ka len o zivoto ostade. 
MRK.10.31	A but llene kai akana si mai anglal, ka aven e mai palal; a but llene kai akana si mai palal, ka aven e mai anglal.
MRK.10.32	E disipulura ppirena karing o Jerusalem, ta o Jesus ppirela angla lende. Lenge saia chudo, ta ogola kai avena palal darana. O Jesus pale ikkarda pe iek rig e desuduie disipulonen, ta ttoda te ppenel lenge so saia te nakkel vou ta ppenda gia: 
MRK.10.33	Gia sar tumen dikken, akana lla ando Jerusalem, kote kai o Chavo e manuseko ka avel dino kai e gazda e poponenge ta kai e kovacha e zakonoke, ta ka chinaven leke o meripe ta ka den le kai e llene kai inai judiura. 
MRK.10.34	Ka maren letar espurnia, ka chungarden le, ka chalaven le ta ka mundaren le; a pala e trin llive ka ustel katar o meripe.
MRK.10.35	O Santiago ta o Juan, chave e Zebedeoke, avile pasa o Jesus ta ppende leke:
MRK.10.35	—Kovachi, manga tutar te chere amenge o sebapi kai ka manga tutar.
MRK.10.36	Vou ppenda lenge:
MRK.10.36	—¿So mangen te cherau tumenge? 
MRK.10.37	Von ppende leke:
MRK.10.37	—Cher te besa ande chi charoina e bari iek pe chi rig e chachi ta aver pe cho estingo
MRK.10.38	Ondaka o Jesus ppenda lenge:
MRK.10.38	—Tumen ni llanen so mangen. ¿Sai pien o cherkipe kai si te piau me, ta te len o kristope kai si te lau me?
MRK.10.39	Von ppende:
MRK.10.39	—Sai.
MRK.10.39	O Jesus ppenda lenge:
MRK.10.39	Tumen ka pien gava cherkipe, ta ka len o kristope kai me ka lau 
MRK.10.40	a te besen pe mi chachi ta pe mo estingo inai ande mo va te dau le, gua ka delpe e llenenge kai si lachardo te delpe.
MRK.10.41	Kana ogola des disipulura asunde goia orba, jolaile e Santiagoia ta e Juanea 
MRK.10.42	A o Jesus ikkarda len, ta ppenda lenge:
MRK.10.42	—Tumen llanen kai maskar e llene kai ni pachan ando Del si gazde kai misin kai sai gazdarin silnomaia pe llene kai zivin ande gola ppuvia ta e bare cheren sogo mangen lenchar.
MRK.10.43	A maskar tumende nasti avelpe gia. A ko mangela te cherdol baro maskar tumende, morabi te avel tumaro esluga, 
MRK.10.44	a kogo mangela te avel mai anglal maskar tumende, morabi te avel esluga saurengo. 
MRK.10.45	Soke llik o Chavo e manuseko ni avilo te radin leke, vou avilo te radil, ta te del po zivoto, ta pe zivotoia te sai pochinel amen.
MRK.10.46	O Jesus ta leke disipulura avile ando Jeriko. Ta kana o Jesus likela katar gua foro pe disipulonenchar ta bute llenenchar, iek lleno kai mangela esmola vou saia korro ta ikkardola Bartimeo chavo e Timeoko, ta besela pasa o drom. 
MRK.10.47	Kana asunda kai avela o Jesus o Nazareno, o korro ttoda te urkil:
MRK.10.47	—¡Jesus, Chavo e Davideko, te avel chuke zalba mandar!
MRK.10.48	A but llene dena po korro te achel, a vou urkila ios mai zurale:
MRK.10.48	—¡Chavo e Davideko, te avel chuke zalba mandar!
MRK.10.49	Ondaka o Jesus achilo, ta ppenda:
MRK.10.49	—Ikkaren le.
MRK.10.49	Ikkarde e korre ta ppende leke:
MRK.10.49	—Cher chuke zor, uste, ikkarel tut.
MRK.10.50	Ondaka o korro chudia pe patave ta, jutlo ta llelo pasa o Jesus. 
MRK.10.51	O Jesus puchla le:
MRK.10.51	—¿So mange te cherau pala tu?
MRK.10.51	O korro ppenda leke:
MRK.10.51	—Kovachi, mangau te dikkau.
MRK.10.52	O Jesus ppenda leke:
MRK.10.52	—Sai llatar; pala cho pachape avilan sastardo.
MRK.10.52	Ondaka o korro dikkla, ta llelo e dromea pala o Jesus.
MRK.11.1	Kana avile pasa o Jerusalem, pasa e forura katar o Betfage ta e Betania, po burdo e Maslinkengo, o Jesus bichalda duien katar pe disipulura, 
MRK.11.2	ta ppenda lenge:
MRK.11.2	—Llan ando forichi kai si anglal, ta kana ka aven ka malaven iek magarcho ppanglo, kai niko ni likisto pe lete. Putaren le ta anen le. 
MRK.11.3	A te puchla tumen vareko soke cheren gua, ppenen leke kai trubul e Gazda, ta kai ka iril le oma.
MRK.11.4	Von llele, ta malade e magarcho ppanglo avri po drom, pasa iek udar, ta purtarde le.
MRK.11.5	Nesave llene kai sea kote ppende lenge:
MRK.11.5	—¿So cheren? ¿Soke putaren e magarcho?
MRK.11.6	Ondaka von ppende isto gia sar ppendaia lenge o Jesus. Ta mukle len te llantar. 
MRK.11.7	Von inllarde e magarcho kai o Jesus, ta ttode pe gertacha upral po magarcho ta o Jesus likisto upral. 
MRK.11.8	Ta but llene inzarde pe gertacha po drom, a aver llene chinde krangura katar e kasta ta ttode len po drom.
MRK.11.9	E llene kai llana anglal ta i e llene kai llana palal, ttode te urkin:
MRK.11.9	—¡Blagosime gua kai avel ando anau e Devleko! 
MRK.11.10	¡Blagosime e charoina kai avel, e charoina katar amaro dad o David! ¡Blagosime te avel o Del!
MRK.11.11	O Jesus dia ando Jerusalem, ta i ando cher e Devleko dikkla pe suako rig ta mapalal llelotar e desuduie disipulonenchar ande Betania, soke lela te perel e riat.
MRK.11.12	Ttiarinako, kana likena katar e Betania, o Jesus bokkailo. 
MRK.11.13	Dikkla duratar iek kas simochinengo kai saia le patra, ta avilo pase te dikkel dal saia le simochine, a malada samo e patra, soke ni saia o vreme e simochinengo. 
MRK.11.14	Ondaka o Jesus ppenda e kasteke:
MRK.11.14	—¡Daboida te na jal niko nikada che simochine!
MRK.11.14	Leke disipulura asunde so ppenda.
MRK.11.15	Kana avile ando Jerusalem, o Jesus dia ando cher e Devleko ta ttoda te tradel sa e llenen kai chinena ta bichinena ta dia tele moia e stalia golenge kai pparruvena e love e suetoke, ta i e ttana golenge kai bichinena e gulubura; 
MRK.11.16	ta ni mukela nika te nakkel katar o cher e Devleko ezgodenchar, 
MRK.11.17	Ta ttodape te sikavel, ta ppenela:
MRK.11.17	—Ando Pisipe ppenel gia: ‘Mo cher ka ikkardol cher e molimako sa e ppuvienge’ a tumen cherden letar iek ttan kai gurudon e chorane.
MRK.11.18	A e gazda e poponenge ta e kovacha e zakonoke asunde e Jesuse ta ttode te roden sar te mundaren le, pala e dar kai saia lenge letar, soke sa e llene chudisailea katar leko sikadipe. 
MRK.11.19	Kana peli e riat o Jesus ta leke disipulura lleletar katar o foro.
MRK.11.20	Ttiarinako rano, nakkle pasa o kas e simochinengo ta dikkle kai sukiloia sa llik leke zile. 
MRK.11.21	Ondaka o Pedro diape golli, ta ppenda e Jesuseke:
MRK.11.21	—Kovachi, dik, o kas kai dian le armaia, sukilo.
MRK.11.22	O Jesus ppenda lenge:
MRK.11.22	—Pachan ando Del. 
MRK.11.23	Soke chachimaia ppenau tumenge, kai varesavo lleno te ppenela gale burdoke: “Le tut kotar, ta chude tut ande mora,” ta te pachala ande po lio kai gua sai avelpe, ta pachala kai so ppenda ka cherdol, ondaka gia ka avelpe. 
MRK.11.24	Goleke ppenau tumenge kai sogo tumen mangena ando molipe, pachan kai ia si tumenge dino, ta gia ka avelpe. 
MRK.11.25	Ta kana ka molintumen, ta te si tumen varesavi joli pe vareka, prostisaren le, te prostil i tumaro bilachipe tumaro Dad kai si ando miloso. 
MRK.11.26	Soke tumen te na prostisaren, ni tumaro Dad kai si ando miloso ni ka prostil tumenge tumaro bilachipe.
MRK.11.27	Mapalal katar gala ezgode irisaile ando Jerusalem. Ta kana o Jesus ppirela ando cher e Devleko, avile lete e gazda e poponenge, e kovacha e zakonoke ta e ppure, 
MRK.11.28	ta puchle le:
MRK.11.28	—¿Save gazdarimaia chere gala ezgode? ¿Ta ko dia tut o gazdaripe te cherele?
MRK.11.29	O Jesus ppenda lenge:
MRK.11.29	—I me ka puchau tumen iek ezgoda: Ta te ppenden mange, i me ka ppenau tumenge save gazdarimaia cherau gala ezgode. 
MRK.11.30	¿Ko bichalda e Juane te kristil, o Del, o e manusa? Ppenen mange.
MRK.11.31	Von ttode te den orba iek averea ta ppenena: Te ppendam kai bichalda le o Del, vou ka ppenel: ¿A soke ni pachaien le? 
MRK.11.32	¿A sar ka ppena kai bichalde le e manusa? Von ppenena gua soke darana katar o foro, soke sa pachana kai o Juan saia iek porauko. 
MRK.11.33	Goleke von ppende e Jesuseke:
MRK.11.33	—Ni llana.
MRK.11.33	Ondaka o Jesus ppenda lenge:
MRK.11.33	—Ni me ni ka ppenau tumenge save gazdarimaia cherau gala ezgode.
MRK.12.1	O Jesus ttoda te del lenge orba e paramichenchar. Ta ppenda lenge: “Iek lleno ttoda te barion drakka ande iek vostano, ta ppangla o vostano truial; ta lacharda iek ttan te cherel mol ta vazdia iek cher ta mukla gua vostano drakkako kai iek manus te cheren buchi ta llelotar dur. 
MRK.12.2	Kana avilo o vreme, bichalda iekke esluga te mangel katar e llene kai radina e ppuv o chari kai perela le. 
MRK.12.3	A von ttode o va po esluga, marde le, ta tradie le chuche vastengo. 
MRK.12.4	Ondaka o gazda bichalda avere esluga, a gole chalade le ando soro ta kusle le. 
MRK.12.5	Bichalda avere, ta gole mundarde le; mapalal bichalda bute llenen ios, nesaven marde len a averen mundarde len.
MRK.12.6	“Ondaka achela samo iek kai saia isto leko chavo, gole kai volila but: Ta bichalda le, ta mislilape gia: Chachimaia ka den liubao me chaurre. 
MRK.12.7	A e llene kai radina e ppuv ppenena iek avereke: ‘Gava si o lleno kai kana ka merel leko dad vou ka cherdol gazda; aven te mundara le ta goia ppuv ka avel amari.’ 
MRK.12.8	Istarde le, mundarde le, ta chudie leki esnaga avri katar e ppuv kai sea e drakka.
MRK.12.9	“¿A tumen so mislin kai ka cherel o gazda gole ppuviako? Ka llal te mundarel gole llenen kai radina goia ppuv, ta ka del e ppuv e drakkenchar kai aver llene.
MRK.12.10	“¿Ni chitisarden so ppenel ando Pisipe? Ppenel gia:
MRK.12.10	‘O barr kai mukle le pe iek rig ta ni ttode leke sama, e llene kai cheren chera
MRK.12.10	cherdilo o barr mai glamno e chereko.
MRK.12.11	Gaia ezgoda cherdala o Gazda,
MRK.12.11	ta chudiamen katar so dikka.’ ”
MRK.12.12	Ondaka mangle te ppanden e Jesuse, soke llanena kai dela orba lendar ande goia paramichi, a sar darana katar e llene mukle le, ta lleletar.
MRK.12.13	Bichalde kai o Jesus nesave llene katar e fariseura ta i nesave llenen kai sea e Erodeseke te sai dosaren le pe fisavi orba. 
MRK.12.14	Gola llene llele ta ppende leke gia:
MRK.12.14	—Kovachi, llana kai san chacho, ta ni dara katar e llene kai asunen tut, soke ni ppene lenge alava te perel lenge drago. Tu sikave chachimaia o drom e Devleko. ¿Ppen amenge si orta te pochina e love kai mangel o Sesar o iok? ¿Ka pochina o ni ka pochina? 
MRK.12.15	A o Jesus, sar pinllerela lengo kojaipe, ppenda lenge:
MRK.12.15	—¿Soke zumaven man? Anen mange iek tolari te dikkaule, 
MRK.12.16	ande o tolari lete, ta o Jesus ppenda lenge:
MRK.12.16	—¿Kako mui ta kako anau si pisime po tolari?
MRK.12.16	Von ppende:
MRK.12.16	—E Sesareko.
MRK.12.17	Ondaka o Jesus ppenda lenge:
MRK.12.17	—Den e Sesare so si e Sesareko, ta den e Devle so si e Devleko.
MRK.12.17	A von chudisaile letar.
MRK.12.18	Nesave Saduseura, kai ni pachan kai e mule ka usten katar o meripe, llele te dikken e Jesuse, ta ppende leke gia: 
MRK.12.19	—Kovachi, o Moises mukla amenge pisime kai kana iek murus zinime merel ta ni avila le porodo pe romiaia, gole muruseko pplal morabi te lel pala pe gole ppivlia, ta te del minonen pe pplale kai mulo. 
MRK.12.20	Ondaka e saduseura ppende gia e Jesuseke: sea efta pplal, o purvo lendar zinisailo, ta mulo ta ni mukla porodo. 
MRK.12.21	O duito zinisailo e ppivliaia, ta i vou ni mukla porodo. Ta isto gola ezgode nakkla o trito, 
MRK.12.22	ta isto gia avilape i ogole pplalenchar; ta ni iek lendar ni avila le porodo. Mapalal muli i e romi. 
MRK.12.23	Kana ka usten katar o meripe ta ka zivin pale, ¿save pplaleki romi ka avel voi, kana e efta sea zinime laia?
MRK.12.24	O Jesus ppenda lenge:
MRK.12.24	—Tumen sen ando kojaipe, soke ni pinllaren o Pisipe ta ni e Devleki zor. 
MRK.12.25	Soke kana e mule ka usten katar o meripe, e murusa ta e diskinie ni ka zininpe, soke ka aven sargo e suechura kai si ando miloso. 
MRK.12.26	A katar e orba kai e mule ka usten, ¿tumen ni chitisarden so pisisarda o Moises katar e karrne kai ppabona? O Del ppenda e Moiseseke: ‘Me sem o Del katar o Abraam, katar o Isaak ta i katar o Jakob.’ 
MRK.12.27	¡Ta vou inai Del e mulengo, vou si Del e llundengo! Tumen sen ande iek baro kojaipe.
MRK.12.28	Kana dikkle kai o Jesus dia orba sukar, iek katar e kovacha e zakonoke, kai asundaia kana denape orba, avilo pasa le, ta puchla le: —¿Savo katar sa si o zakono mai baro?
MRK.12.29	O Jesus ppenda leke:
MRK.12.29	—O zakono mai baro si gava: Asun, Israel: O Gazda amaro Del si o edino Gazda. 
MRK.12.30	Volisar e Gazda kai si cho Del sa che liea, sa che duoia, sa che misloia ta sa che zoriaia. 
MRK.12.31	A si iek zakono ios: Volisar avere sar voli tu tut. Nisavo aver zakono inai mai baro neko gala.
MRK.12.32	O kovachi e zakonoko ppenda leke:
MRK.12.32	—So ppene si o chachipe ta si sukar: Samo iek Del si ta inai aver. 
MRK.12.33	Ta te voli e Devle sa che liea, sa che misloia ta sa che zoriaia, ta te voli suakone llene sar voli isto tut, mol le mai but neko sa e kurbanura.
MRK.12.34	Kana o Jesus dikkla kai o kovachi dia orba bizaimaia, ppenda leke:
MRK.12.34	—Ni san dur katar e charoina e Devleki.
MRK.12.34	Ta niko ni tromala te puchel le niso.
MRK.12.35	O Jesus sikavela ando cher e Devleko, ta puchla:
MRK.12.35	—¿Soke ppenen e kovacha e zakonoke kai o Mesias avel katar e vicha e Davideki? 
MRK.12.36	Soke isto o David ando Santo Duo ppenda:
MRK.12.36	‘O Gazda ppenda me Gazdake:
MRK.12.36	Bes pe mi rig e chachi,
MRK.12.36	llik kana me ka ttovau che dusmanonen
MRK.12.36	telal tala che porrne.’
MRK.12.37	¿A sar sai avel o Mesias katar e vicha e Davideki, kana isto o David ikkarel le Gazda?
MRK.12.37	—Kote sea but llene ta asunena e Jesuse dragostimaia.
MRK.12.38	Kana o Jesus sikavela ppenela gia: arakken tumen katar e kovacha e zakonoke, soke drago lenge te ttoven patave barikane pe pete, ta te den lenchar orba liubaimaia ando foro. 
MRK.12.39	Ta roden e estoliche mai anglune ande kkanlliri e judionengi ta e mai lache ttana kana si varesavo jape; 
MRK.12.40	ta len katar e ppivlia lengo lachipe, ta molinpe but te na achardol o bilachipe kai cheren. Von si te len mai bari duk.
MRK.12.41	Iek llive o Jesus besela angla e baulia kote kai chidena e love katar o cher e Devleko, ta dikkela sar ttovena e love. Ta but barvale ttovena but love. 
MRK.12.42	Ta avili iek ppivli chorri, ta ttoda dui tolaricha jarkune, kai ni mol len but. 
MRK.12.43	Ondaka o Jesus ikkarda pe disipulonen, ta ppenda lenge:
MRK.12.43	—Ppenau tumenge kai gaia ppivli chorri dia mai but neko sa ogola llene kai ttovena e love ande baulia; 
MRK.12.44	soke sa die katar so ni trubul len, a voi ande po chorripe, dia sa so saia la te pravarelpe.
MRK.13.1	Kana o Jesus likisto katar o cher e Devleko, iek katar leke disipulura ppenda leke:
MRK.13.1	—¡Kovachi, dik save barra ta save chera!
MRK.13.2	O Jesus ppenda leke:
MRK.13.2	—¿Dikke gala bare chera? Ni ka achel lendar ni iek barr upral pe aver. Sa ka avel zatrime.
MRK.13.3	Mapalal lleletar po burdo e Maslinkengo, kai si angla o cher e Devleko. O Jesus beslo, ta o Pedro, o Santiago, Juan ta o Andres puchle le po chorial 
MRK.13.4	kana saia te aven gala ezgode, ta pe savi ezgoda ka llangliolpe kai gola ezgode si te getonpe.
MRK.13.5	A o Jesus ppenda lenge: “Arakken tumen te na kojavel tumen niko. 
MRK.13.6	Soke ka aven but llene kai ka ppenen kai sem me. Ta ka ppenen: ‘Me sem; ta ka kojaven bute llenen.
MRK.13.7	“A kana tumen ka asunen kai marenpe e ppuvia pe suako rig, na daran. Gia trubul te nakken sa gala ezgode; a ni ios inai o son 
MRK.13.8	Soke iek charoina ka marelpe averiaia ta iek ppuv ka marelpe avere ppuviaia; ta e ppuv ka dermolpe pe but ttana, ta ka avel bok. Ta gua si samo e purve dukka e suetoke.
MRK.13.9	“Arakken tumen soke ka den tumen kai e sudura; ta ka maren tumen ande kkanllira e judionenge. Ta ka ttoven tumen angla e sudura ta angla e kraliura te sai ppenen e orba e chachi mandar te sai asunen von. 
MRK.13.10	A mai anglal te avel o son e suetoko, morabi te ppendol e lachi viasta ande sa e ppuvia. 
MRK.13.11	A tumen na brigin tumen katar so si te ppenen kana ka den tumen ande va e sudonenge, soke ande gua vreme o Del ka ppenel tumenge so si te ppenen ta tumen ni ka den orba, ko ka ttovel alava ande tumaro mui si o Santo Duo. 
MRK.13.12	E pplal ka den ando meripe isto pe pplalen, ta e dada pe chaven; ta e chave ka murzin pe pe dada ta ka mundaren len. 
MRK.13.13	Sa o sueto ka murzil pe tumende pala mo anau; a ko llala llik kai o son ta ni achela, ka avel braduime. 
MRK.13.14	“Kana ka dikken kai cherdol o baro bilachipe po ttan kai ni trubulpe te cherdol —gua kai chitil, te acharel—, ondaka gola kai si ande Judea, morabi te nasen pe burdura; 
MRK.13.15	ta o lleno kai si upral pe po cher, te na ni fuliel te ikanel niso andral. 
MRK.13.16	Ta o lleno kai si ande umalia, te na irilpe ni te lel pe patave. 
MRK.13.17	¡Tesko gole diskinienge kai ande gola llivesa ka aven kkamne, o avela len minone kai pien kolin! 
MRK.13.18	Mangen e Devletar te na aven gala ezgode ando viend, 
MRK.13.19	soke ande gola llivesa ka avel iek patnia sar kai ni avila nikada; sar kana o Del cherda e sueto llik akana, ta sar ni ka avel nikada. 
MRK.13.20	A o Gazda te na chikniavela gua vreme, niko ni avela braduime, a gua vreme chikniardale pala o volipe kai si le e llenendar kai vou esvirisarda. 
MRK.13.21	Ta ondaka, vareko te ppenela tumenge: ‘Dikken, etalo kate o Mesias’, o ‘Dikken etalo incha’, te na pachan. 
MRK.13.22	Soke ka aven kojamne mesias ta kojamne poraukura: Ta ka cheren bare ezgode, te sai kojaven te avelape llik e llenen kai isto o Del esvirisarda. 
MRK.13.23	¡Arakken tumen! Soke sa gaia orba ppendemla tumenge mai anglal te nakkel.”
MRK.13.24	“A ande gola llivesa, kana ka nakkel o vreme katar e patnia, o kkam ka cherdol truñariko, ta o chon ni ka klichil, 
MRK.13.25	e cheraia ka peren katar o miloso ta e zor e milosoki ka izdral. 
MRK.13.26	Ondaka ka dikkol o Chavo e manuseko kai avel pe oblakura, bare zoriaia ta barimaia. 
MRK.13.27	Vou ka bichalel e suechonen, ta ka chidel e llenen kai esvirisarda katar e star riga e ppuviake katar suako ttan e ppuviako ta e milosoko.
MRK.13.28	“Sikon katar o kas e simochinengo: Kana leke krangura si kovle, ta zelenil ta liken e patra, tumen llanen kai o milai si pase. 
MRK.13.29	Isto gia, kana tumen ka dikken sa gala ezgode, ka llanen kai o Chavo e Devleko si po udar. 
MRK.13.30	Chachimaia ppenau tumenge kai sa gala ezgode ka avenpe bi te nakkel gaia vicha. 
MRK.13.31	O miloso ta e ppuv ni ka aven ios, a me alava si te cherdon.
MRK.13.32	“A cheres o llive ta o saiato, niko ni llanel le, ni e suechura e milosoke, ni o Chavo. Samo mo Dad llanel le.
MRK.13.33	“Goleke tumen morabi te aven llungade ta te prezon, soke ni llanen kana ka avel gua vreme. 
MRK.13.34	Tumen morabi te cheren sargo iek lleno kai mai anglal te llaltar ande aver foro, ppenda pe eslugenge te arakken leko cher. Suakone diale iek rado, ta ppenda te prezol goleke kai arakkela o udar. 
MRK.13.35	Achen llungade, soke ni llanen kana ka avel o gazda e chereko, sai avel kana perel e riat, o po dopas katar e riat, o ttiarinako rano. 
MRK.13.36	Ta gia kana ka avel, te na malavel tumen sovindo. 
MRK.13.37	So ppenau tumenge, ppenaule saurrenge: ¡Achen llungade!”
MRK.14.1	Achena dui llive te avel e Paskua, kana jalpe o marrno kai inai le levadura. Ta e gazda e poponenge ta e kovacha e zakonoke rodena sar te ppanden e Jesuse kojaimaia, ta te mundaren le. 
MRK.14.2	Soke nesave llene ppenena:
MRK.14.2	—Cherale kana ka nakkel e Paskua, te na avelpe burkania maskar e llene.
MRK.14.3	O Jesus lleloia ande Betania, kai o cher e Simonoko, gua kai ppenena leke o leproso. Kana beslo pe sinia, avili iek diskinia kai inllarela iek taso alabastrako pperdo meriso kai molale but, ppagla o taso ta mukla te perel o meriso pe Jesuseko soro. 
MRK.14.4	Nesave llene kai sea kote jolaile, ta ppenena iek avereke:
MRK.14.4	—¿Soke chudiniaol gava meriso? 
MRK.14.5	Sai bichindilloia pe so mol o rado iekke burseko ta te pomozilpe gole lovenchar e llenen kai si chorre.
MRK.14.5	A von jolaile laia ta dena laki orba.
MRK.14.6	A o Jesus ppenda lenge:
MRK.14.6	—Muken la; ¿soke den la joli? Voi cherda manchar iek lachi ezgoda. 
MRK.14.7	Soke e chorre ka aven tumenchar suako llive, ta sai ka pomozin len kana tumen mangena; a me ni ka avau tumenchar sa o vreme. 
MRK.14.8	Gaia diskinia cherda sa so sai cherel: Soke sigarda te ttovel pe ma o meriso me limoreke. 
MRK.14.9	Chachimaia ppenau tumenge kai ande varesavi ppuv kana ka ppenen e lachi viasta, ka den orba i katar so cherda gaia diskinia, ta gia ka denpe golli latar.
MRK.14.10	O Judas Iskariote, iek katar e desudui disipulura, llelo kai e gazda e zakonoke te ppukavel e Jesuse 
MRK.14.11	Kana asunde le, veselisaile ta diele po alau kai ka den le love e Judase, ta o Judas kotar angle rodela te sai ppandel e Jesuse.
MRK.14.12	O purvo llive katar e Paskua kana jalpe o marrno kai inai le levadura, ta kana mundardol o bakro katar e Paskua, e disipulura puchle e Jesuse:
MRK.14.12	—¿Kai mange te chera o jape katar e Paskua?
MRK.14.13	Ondaka bichalda duien katar pe disipulura, ta ppenda lenge:
MRK.14.13	—Llan ando foro. Kote ka malaven iekke llene kai inllarel iek bure paieko. Llan pala le, 
MRK.14.14	ta kote kai ka del, ppenen e lleneke kai si gazda katar gua cher, kai o Kovachi ppenel gia: ¿Savi si e soba kai ka jau me disipulonenchar o jape katar e Paskua? 
MRK.14.15	Vou ka sikavel tumenge iek soba bari kai si upre ando cher, kai si lachardi. Kote cheren o jape.
MRK.14.16	E disipulura llele ando foro. Ta malade sa sar ppendaia lenge o Jesus, ta cherde o jape katar e Paskua.
MRK.14.17	Kana peli e riat o Jesus avilo pe disipulonenchar. 
MRK.14.18	Ta kana besle pe sinia ta jana, o Jesus ppenda lenge:
MRK.14.18	—Chachimaia ppenau tumenge kai iek lleno tumendar, kai jal manchar, ka ppukavel man
MRK.14.19	Von tristosaile, ta ttode te puchen le iek po iek:
MRK.14.19	—¿Sem me gua lleno?
MRK.14.20	O Jesus ppenda lenge:
MRK.14.20	—Si iek katar e desudui kai chingarel o marrno isto ande gua charo kai me chingarau. 
MRK.14.21	O Chavo e manuseko morabi te llal po drom kai ppenel o Pisipe; a tesko goleke kai bichinel le. Mai sukar avilaia leke te na biandiloia.
MRK.14.22	Kana jana, o Jesus lia o marrno ande pe va ta dia fala e Devle, ppaglale ta diale kai pe disipulura ta ppenda:
MRK.14.22	—Len, gaia si mi esnaga.
MRK.14.23	Mapalal lia iek taso, dia fala e Devle, diale lende, ta saurre pile. 
MRK.14.24	O Jesus ppenda lenge:
