MAT.1.1	Wya ka tva saba mndəra taŋ ma Yesu Kristi zivra Dawuda. Dawuda guli ná, zivra Abraham ya. 
MRK.4.27	Dər ta hanə ta hanani tsa mndu ya girviɗik, dər ta vaghə ta nzakwani tsi gifitik, ta ɗyutá ɗyakwani, ka glakwani hulfa sna a kəʼa ta magaku wa. 
MRK.4.28	Haɗik ta ɗygiŋtá hulfa ŋa nzakwani ka kuzuŋ. Tahula tsa, ŋa pghaftani ta ghəŋ ŋa ksayni ta zwaŋ. 
MRK.4.29	Ka nda ndəha tsi vərzləŋ tama, nda maga fitik ŋa tsay, sagha fitika kla vɗu ŋa tsay
MRK.4.30	Wya kaʼa nda həŋ guli: «Ndaw dzaʼa gra mu ta ga mghama Lazglafta, nda wati ma skwi dzaʼa grafta mu? 
MRK.4.31	Tsa ga mghama Lazglafta ya ná, dzaʼa gray lu nda hya kramasa. Tsa hya kramasa ya ná, ndərzikw nzakwani mataba hulfaha ta ghəŋa haɗik, ama ka sləgam sləga lu, 
MRK.4.32	ta glafgla gdiz ka malaghutá hamata sluhwaha niɗali. Ta pghay ta sləma dagala ha ka laviŋta ɗyakha ta baba həga taŋ tida,» kaʼa.
MRK.4.33	Nda ndəghata mndərga tsa mahdihdiha ya mnanaŋta tsi ta gwaɗa ta həŋ prək ka snaŋta taŋ. 
MRK.4.34	Inda ŋani ma gwaɗa nda həŋ ná, ba nda mahdihdi. Ama nzata taŋ nda ghəŋa taŋ nda duhwalhani ya ná, tsislanaptani ta həŋ.
MRK.4.35	Gahawu baɗu va tsa, «mbaɗma ta a ɓlu a,» ka Yesu nda duhwalhani. 
MRK.4.36	Ka sliʼafta həŋ ka zlanavatá tskata mnduha, ka lamə həŋ da tsa kwambalu nzamə Yesu mida ya ka laghwi, kawadaga nda sanlaha ma kwambalu guli mistani. 
MRK.4.37	Tata ndrə həŋ ma kwambalu, ka sliʼafta mghama mativirauʼ, ka kapatsaʼuwaku imi ka lami ka kuma ndəghanafta kwambalu. 
MRK.4.38	Ta hanani Yesu ma mndəra kwambalu, nda fatá ghəŋani ta skwa fa ghəŋ. Ka sliʼanaftá həŋ. «Mghama ɗa! Ndana a kagha ta na zwaɗuta dzaʼa zwaɗuta mu na ra?» ka həŋ nda tsi. 
MRK.4.39	Sliʼavatani mantsa, ka dvanaghatá tsi ta falak. «Lɓalɓa ka nzata ka tɓekw!» kaʼa nda drəf. Ka lɓatá falak, ka nzatá vli tɓekw.
MRK.4.40	Ka mbəɗavatá tsi tvə duhwalhani. Kaʼa nda heŋ mantsa: «Nu ta kəl kuni ka zləŋ mandana na, kulam ndana, haɗ zlghay nda ŋuɗuf da kaghuni ɗekɗek katək ra?» kaʼa nda həŋ. 
MRK.4.41	Ka ksaftá zləŋ ta həŋ katakata. «Wa va na ma mndu katək na? Nduk nda falak nda drəf tani ta snanatá gwaɗa!
MRK.5.1	Manda laba taŋ ta tsa sana ɓla drəfa Galili ta haɗika Geraseni
MRK.5.2	tata sabə nda sa Yesu ma kwambalu, ka gi ndadaghatá sana mndu ksu halaway, ta sabi mataba kuluha da guyay. 
MRK.5.3	Mataba kuluha si ta nzakwa tsa mndu ya. Haɗ mndu ta laviŋtá ksafta ŋa habafta dər nda ziɗa wu, 
MRK.5.4	kabga si ta tsamtsa lu ma tsuhwal, habawuha lu ta dzvuhani nda ziɗa, ama ta ratsiŋ ratsa tsatsi ta tsa ziɗaha ya, ta ɓaliŋ ɓala ta tsa tsuhwalha ya. Haɗ mndu ta laviŋtá zlahafta wa. 
MRK.5.5	Inda fitik ta vaghə nda vagha, ta hanə nda hana ta wawaku mataba kuluha nda ya ta ghwá, ka lili ka kwaha vghani nda pala. 
MRK.5.6	Na tsa Nghaŋtani ta Yesu manda a ya ná, ka hwayaftá tsi ka lagha tsəlɓata ta kəmani, 
MRK.5.7	ka wahu nda lwi dagala. «Yesu Zwaŋa Lazglafta ta luwa: Nya mataba ɗa nda kagha na? Ta ndəɓa dzvu yu da kagha nda həga Lazglafta, ma ghuyɗip ka ta ɗaŋwa,» kaʼa. 
MRK.5.8	Kəl tsi ka mna tsaya ná, kabga mnanamna Yesu kazlay: Ghwaɗaka sulkum! Sabsa ma na mndu na kəʼa. 
MRK.5.9	Ka ɗawaŋtá tsi da tsi. «Wa hga gha na?» kaʼa nda tsi. «Dəɓaʼ» hga ɗa, kabga nda tska ŋni. 
MRK.5.10	Kdəkkdək, ma ghzliŋnis ka ma luwa, kaʼa ndiʼata ka ŋɗaŋɗa nda tsi.
MRK.5.11	Tsaw ma tsa vli ya, mamu bra ghuvazuha
MRK.5.12	Ka tsa ghwaɗaka sulkum ya mantsa: «Kdəkkdək, ghuna ta aŋni da a ghuvazuha a, ka sliʼamta ŋni da həŋ,» ka həŋ nda tsi. 
MRK.5.13	«Lawala!» Kaʼa nda həŋ. Ka sliʼagaptá həŋ ka sliʼamta da tsa ghuvazuha ya. Ka vazagatá tsa ghuvazuha ya ta vgha tavata tsa ghwá ya ka rkaghata da drəf. Ta magay mbsaka taŋ ta dəmbuʼ his ta zaɗamta ma tsa drəf ya. 
MRK.5.14	Na tsa gwal si ta ngha tsa ghuvazuha ya, ka sliʼafta həŋ nda hwaya ka laghu mnay ma luwa nduk tahula luwa. Ka sliʼadaghatá mnduha da ngha tsa skwi ta maguta ya. 
MRK.5.15	Manda sliʼadaghata taŋ tavata Yesu, ka nghaŋtá həŋ ta tsa mndu si sliʼamə ghwaɗaka sulkumha dida ya ta nzakwani kwandlaŋ nda suɗatá lgut ta vgha. Ka ghudzaku tsa mnduha ya da zləŋ. 
MRK.5.16	Ka rusu tsa gwal si hada ya ta skwi ta maguta nda tsa mndu si ksu halaway ya, nda skwi ta maguta nda tsa ghuvazuha ya, ŋa taŋ. 
MRK.5.17	Tahula tsa, «kdəkkdək, sliʼapsliʼa ma haɗika ŋni,» ka həŋ nda Yesu. 
MRK.5.18	Ta dzaʼa dzaʼa Yesu da kwambalu tama, «wya dzvu, ka la yu mista gha,» ka tsa mndu si ksu halaway ya nda tsi. 
MRK.5.19	Ama ka Yesu nda tsi mantsa: «La dzagha gha, ka dzaʼa ka slanaghatá la ga ghuni. Ka rusanafta ka ta inda skwi maga gha Mgham Lazglafta, nda ya kəʼa tawatá hiɗahiɗa ta kagha,» kaʼa. 
MRK.5.20	Ka sliʼafta tsi ka laghwi da manay ma kuraghuta haɗika Dekapwalus ta inda skwi magana Yesu. Ka ndərmim inda taŋ nda ndərmima.
MRK.5.21	Manda vradaghata Yesu nda kwambalu ka lagha ta sana ɓla drəf, ka sliʼadaghatá mnduha ŋərɓisl slanaghata hada. Ta sladu Yesu ta wa tsa drəf ya. 
MRK.5.22	Ka lagha sana mndu tekw mataba maliha ma həga tagha skwa la Yahuda slanaghata. Zayrus hga tsa mndu ya. Na gi nghaŋtani ta Yesu, ka gi zləmbatá tsi ma ghuvani. 
MRK.5.23	Ka ŋavatá tsi ka ndəɓa dzvu da tsi, kaʼa mantsa: «Wa a makwa ɗa ta kala ghəŋ ta dzaʼa mtaku. Kdəkkdək, sawi ksaŋta nda dzvu ka mbafta tsi, ka nzakwa tsi nda hafu,» kaʼa nda tsi. 
MRK.5.24	Ka sliʼaftá Yesu ka dzaʼa kawadaga nda tsi. Mbaɗa mnduha ka sliʼi rutututa mistani, ka ɓislay.
MRK.5.25	Mamu sana marakw mataba taŋ ta maga vaku ghwaŋpɗə his ta paghaku. 
MRK.5.26	Ghuyghuya tsa marakw ya ta ɗaŋwa katakata ta dzaʼa da takay da duhturha. Zaɗiŋzaɗa ta inda skwihani demdem, nduk nda tsa, haɗ lavaghwani wu, tata sgaku nda sga tsa ɗaŋwani ya. 
MRK.5.27	Na snaŋta tsa marakw ya ka lu ta gwaɗa ta Yesu, ka kɗikadamtá tsi mataba mnduha, ka lagha ksaŋtá lguta Yesu nda ga mahulhul, 
MRK.5.28	kabga wya kaʼa ma ghəŋani: «Tsa ksaŋ yu ta dər lgutani taɗa ná, dzaʼa mbaku yu,» kaʼa. 
MRK.5.29	Na tsa gi ksaŋtani ya, gi tərsiuʼ lɓata tsa paghakwani ya tsa. Ta snu tsi ma vghani ná, wdər nda mba. 
MRK.5.30	Gi ta snə Yesu ma ŋani ma vgha guli ná, mamu mbraku ta savaghuta. Ka sladata tsi, ka mbəɗavata mataba tskata mnduha. Kaʼa mantsa: «Wa na mndu ta ksaŋtá lgutha ɗa na na?» kaʼa. 
MRK.5.31	Ka duhwalhani nda tsi mantsa: «Nda ngha ka ta tskatá mnduha ta ɓisla kagha ná, wa ta ksihata na» ka ka? ka həŋ nda tsi. 
MRK.5.32	Ka nanaghaku tsi ka zba tsa mndu ta ksaŋta ya. 
MRK.5.33	Na tsa marakw ya, ka ghudzaku da zləŋ, kabga nda sna ta skwi maga tsi. Ka zləmbatá tsi ma ghuva Yesu, ka mnanaŋtá kahwathwata. 
MRK.5.34	Ka Yesu nda tsi mantsa: «Nda mba ka makwa ɗa, kabga zlghafta gha ta iʼi nda ŋuɗufa gha. La nda vgha ta zɗaku, ka nzata ka kwandəlaŋ,» kaʼa.
MRK.5.35	Tata gwaɗa Yesu, ka sagha gwal ga Zayrus da mnay ŋa Zayrus kazlay: Kɗakwa tsa makwa gha ya tsa, ŋa daŋwazlgəlta gha ŋaw ta mgham na? ka həŋ. 
MRK.5.36	Klaf a Yesu ta tsa gwaɗa taŋ ya ka gwaɗa wa. «Ma zləŋ ka, fafta kagha ta ghəŋa gha ta iʼi kweŋkweŋ ŋa gha,» kaʼa nda Zayrus. 
MRK.5.37	Ka sliʼaftá tsi ka dzaʼa. Ka pyanatá tsi ta mnduha ta dzaʼa mistani, ka hganaʼatá tsi ta i Piyer nda Yakubu nda Yuhwana zwaŋamani ma Yakubu ŋa dzaʼa mistani. 
MRK.5.38	Ka ɓhadaghatá həŋ da tsa Zayrus mali ma həga tagha skwa la Yahuda ya. Ka slanaghatá Yesu ta mnduha ta kitsiwiraku, ta wawahaku, ta dzadza lubaluba. 
MRK.5.39	Ka lamə tsi da həga. «Kabgawu ta kəl kuni ka hlawi, ta kəl kuni ka taw? Ya wana ta mta a zwaŋ wu, hani ta hani tsi,» kaʼa nda həŋ. 
MRK.5.40	Ka ghuɓasu həŋ ta Yesu. Lagha Yesu ka ghzlagaptá inda mndu ma həga. Ka hganaʼatá tsi ta i dani nda mani ma tsa zwaŋ ya, nda tsa gwal lagha həŋ kawadaga ya, ka lamə həŋ da tsa dzuguvi nda zwaŋ mida ya. 
MRK.5.41	Ka ŋanatá tsi ta dzvu, kaʼa mantsa: «Talitakum,» kaʼa. Manda mnay kazlay: Makwa ɗa, sliʼafsliʼa, iʼi ya ta gwaɗa nda kagha kəʼa ya.
MRK.5.42	Gi hləbəts ka tsa makwa ya sliʼafta ka gi mbaɗa. Aʼ, ghwaŋpɗə his ima tsa makwa ya. Ka nzata həŋ ndandrakawa ka ndərmimay. 
MRK.5.43	Mbaɗaka Yesu ka zlahanaghatá həŋ ka ŋɗaŋɗa kazlay: Yahayaha kuni da mnay dər ŋa wa tsi, kaʼa. Kaʼa nda həŋ guli mantsa: «Vlaŋwa skwa zay ta na makwa na,» kaʼa.
MRK.6.1	Ka sliʼaftá Yesu ka zlaŋtá tsa vli ya ka laghu da luwa ta glakwani.
MRK.6.2	Baɗu sabat, ka lamə Yesu da tagha skwi ŋa mnduha ma həga tagha skwa la Yahuda. Káka nda ndəghata mnduha hada ta sna tsa skwi ta taghə tsi ya. Ka ndərmim həŋ nda ndərmima: «Wa ta taghanaftá mndərga nana ma skwi? Wa ta vlaŋtá mndərga nana ma ɗifil ta kəl tsi ka maga nana ma mazəmzəmha na? 
MRK.6.3	Tsa mnda fiɗi ta nzakway ka zwaŋa Mari
MRK.6.4	Ka Yesu nda həŋ tama mantsa: «Ta vlay lu ta glaku ŋa anabi ma sana vliha, ama ma luwani, nda ya mataba la taŋ nduk nda ya ma həga ga taŋ
MRK.6.5	Tsaya kəl Yesu ka kwal kul magaŋtá mazəmzəm hada. Ka laghu tsi ksaŋta nda dzvu ta sanlaha ma mnduha kul ɗughwanaku, ka mbambanaftá tsi ta həŋ. 
MRK.6.6	Ka ndərmim Yesu nda ndərmima ta tsa kwala taŋ kul zlghaftá tsatsi nda ŋuɗuf ya.
MRK.6.6	Tahula tsa, ka sliʼaftá Yesu ka laghwi da ra zwana luwa ta hula Nazaret. Ka tatagha skwi ŋa mnduha. 
MRK.6.7	Ka hagaftá tsi ta duhwalhani ghwaŋpɗə his ŋa ghwanaftani ta həŋ his his his da luwaha. Ka valaŋtá tsi ta mbraku ta həŋ ŋa ghazligiŋtá ghwaɗaka sulkum. 
MRK.6.8	Ka zlahanaghatá tsi ta həŋ kaʼa mantsa: «Ta sliʼi kuni ya, dafa kweŋkweŋ dzaʼa kuni klafta ma dzva ghuni, yaha kuni klaftá skwa zay, nda dər zliba ghuva, yaha kuni klaftá tsedi ma zlibi. 
MRK.6.9	Yaha kuni klaftá mahisa lgut. 
MRK.6.10	Ka lamla kuni da luwa katsi, ka nzata kuni ga mndu ya ta tsuʼaftá kaghuni, ha ka sagha fitik dzaʼa kəl kuni ka sliʼafta ma tsa vli ya. 
MRK.6.11	Ka mamu gwal ma sana vli dzaʼa kwal kul tsuʼafta kaghuni ta kwalaghutá sna gwaɗa ghuni katsi, ka sliʼapta kuni ma tsa vli ya, ka tukwiŋta kuni ta rgitika tsa luwa ya ta səla ghuni. Tsaya dzaʼa maraŋtá nzakwa dmakwa taŋ ta ghəŋa taŋ,» kaʼa nda həŋ. 
MRK.6.12	Ka sliʼaftá həŋ ka laghwi da mnay ŋa mnduha, ka həŋ mantsa: «Mbəɗanafwa mbəɗa ta nzakwa ghuni, ka mnigiŋta kuni ta dmakwa ghuni,» ka həŋ. 
MRK.6.13	Ka ghazligiŋtá həŋ ta ghwaɗaka sulkum ma mnduha, mbambanafha həŋ ta ndəghata gwal kul ɗughwanaku nda masanavata rɗi ta həŋ
MRK.6.14	Mantsa, ka snanaghatá tsa gwaɗa ta gwaɗə lu ta Yesu ya ta mgham Hiridus, kabga laghula hgani da zərwa. Ka lu ta mnay tida na: «Tsa Yuhwana mnda maga batem ya kay ya ta sliʼagabta ma mtaku, tsa ta kəl tsi ka maga mazəmzəmha,» ka lu. 
MRK.6.15	«Iliya ya tane,» ka həŋ. «Sana anabi ta gara vgha nda sani mataba anabiha ghalya ya,» ka sanlaha nda ŋa taŋ. 
MRK.6.16	Ama manda kɗakwa Hiridus ta snaŋta tsahaya: «Tsa Yuhwana tsaghu yu ta ghəŋani ya kay ya ta sliʼagabta nda hafu,» kaʼa. 
MRK.6.17	Kəl Hiridus ka mnata ksaftá Yuhwana ná, kabga gwaɗa ta Hiridiya ta nzakway ka markwa zwaŋamani Filip
MRK.6.18	si kəl Yuhwana ka mnay ŋa Hiridus kazlay: Ra a ka klay gha ta markwa zwaŋama gha wu,
MRK.6.19	Tifin ɓasanava ɓasa Hiridiya ta ŋuɗuf ta Yuhwana kabga tsa gwaɗa ya, ka zbə tsi ta tvi ŋa dzata ama triɗ traptra ta tvani. 
MRK.6.20	Vərɗa dər Hiridus ná, ta zləŋay ta Yuhwana. Nda sna guli kazlay: Mndu nda ghuɓa Yuhwana, ŋərma mndu ya kəʼa ka katə tsi. Inda nzata Hiridus ka sna gwaɗa ta gwaɗə Yuhwana ya ná, ta dəwir nda dwira ta ghəŋani dər má ɗvafɗva tsi ta snay. 
MRK.6.21	Ma sana fitik tama, ka mutsafta tsa Hiridiya ya ta tvi ŋa dzatá Yuhwana. Tsa fitik ya ná, baɗu fata Hiridus ta skala havakta fitika yakwani ya. Baɗu tsaya, ka hagaftá Hiridus ta mnduha. Tsa mnduha hagaf tsi ya, gwal dagaladagala ta wanafta, nda mghamha ta ghəŋa sludziha, nda gwal klu lu ta haɗika Galili ya. 
MRK.6.22	Baɗu va tsaya tama, ka lamə makwa tsa Hiridiya ya ka skalu ta kəma tsa mnduha ta tskavata ya. Ka zɗanaftá tsa skalani ya ta ŋuɗufa Hiridus nda tsa gwal hagaf tsi ya tani. Ka Hiridus nda tsa makwa ya mantsa: «Ka nu dzaʼa kumafta maya gha ya, ɗawiha ɗawa dzaʼa vlaghavla yu,» kaʼa. 
MRK.6.23	Ka waɗanatá tsi. Kaʼa mantsa: «Skwi ya dzaʼa ɗawaŋta kagha da iʼi ná, dzaʼa vlaghavla yu, dər má slɓahwa luwa ɗa tsi,» kaʼa. 
MRK.6.24	Ka ndagaptá tsa makwa ya ka laghwi mnay ŋa mani. Tahula mnanatani, ka ɗawu tsi da mani. Kaʼa mantsa: «Nu dzaʼa yu ɗaway tama?» kaʼa. Ka mani zlghaftá wani mantsa: «Ɗawa ta ghəŋa Yuhwana mnda maga batem,» kaʼa nda tsi. 
MRK.6.25	Ka gi vrəglaghutá tsi slanaghatá mgham ka ɗaway da tsi: «Ta kumay yu ta vlihata gha ndana ndana ta kwambleh ta ghəŋa Yuhwana mnda maga batem,» kaʼa. 
MRK.6.26	Suʼanak ká mgham nzata. Lavgliŋ a ta sɗanafta wu, kabga nda ghada waɗanatani ta kəma tsa gwal hagaf tsi ya. 
MRK.6.27	Ka gi ghunaftá tsi ta sludzi turtuk mataba gwal ta nghay kaʼa nda tsi mantsa: «La ka tsagaghata ka ta ghəŋa Yuhwana mnda maga batem,» kaʼa. 
MRK.6.28	Ka sliʼaftá tsa sludzi ya ka laghwi da gamak, ka tsagaghatá ghəŋa Yuhwana mnda maga batem ta kwembleh. 
MRK.6.29	Manda snaŋta duhwalha Yuhwana ta tsa skwi ya, ka lagha həŋ klaghata mblani ka laghwi paɗamta.
MRK.6.30	Mbaɗa tsa duhwalha si ghwanagha Yesu ya ka varakta. Ka tskavatá həŋ tavata Yesu, ka rusa skwi si maga həŋ, nda skwi ya si ta taghə həŋ ŋa mnduha. 
MRK.6.31	Ka Yesu nda həŋ mantsa: «Mbaɗma ta wa mazawa, ka nzata kuni ka hlaptá hafu hada,» kaʼa. Haɗ fitika taŋ ŋa mutsaftá dər zaŋta dər skwa zay wu, kabga ndəghata mnduha ta zazavaɗaku katakata hada. 
MRK.6.32	Ka sliʼaftá hahəŋ hahəŋ ka dzaʼa ma kwambalu da sana vli ta wa mazawa. 
MRK.6.33	Ta sliʼi həŋ, nda ndəgha mnduha ta nghiŋtá həŋ, ka tsəmaftá həŋ. Ka gazlatá inda mnduha ma luwa, ka dzaʼa nda səla da tsa vli ta dzaʼa i Yesu nda duhwalhani ya, ka tiŋlaghutá həŋ ta ɓhadaghata, kabga ta hway nda hwaya hahəŋ. 
MRK.6.34	Manda ɓhadaghata Yesu, ka sabə tsi ma kwambalu. Kəʼa kəʼa ná, tizlik tskata mnduha, ka ksaŋtá həŋ katakata ta Yesu ka hiɗahiɗa, kabga nda nza həŋ manda tuwakha kul haɗ mnda ngha
MRK.6.35	Manda ya nda ghada laghwa fitik, ka lagha duhwalhani mnay ŋani. Ka həŋ mantsa: «Wana ma mtak lu hadna, laghula fitik guli, 
MRK.6.36	mnanamna ta na mnduha na, ka sliʼa həŋ da luwa, nda ya da zwana luwaha ta wafta na vli na, ka dzaʼa həŋ skwa skwiha ŋa zay taŋ,» ka həŋ. 
MRK.6.37	Ama ka Yesu nda həŋ mantsa: «Vlaŋwavla kaghuni ɓa ta skwa zay ta həŋ,» kaʼa. Ama ka həŋ nda tsi mantsa: «Ŋa sliʼa ŋni da dzawaktá buradi prək ka tseda vagha mnduha his dərmək ta maga slna
MRK.6.38	Kaʼa nda həŋ mantsa: «Kidaghi buradi da kaghuni na? Naghawa nagha» kaʼa. Naghanata taŋ, ka həŋ mantsa: «Buradi hutaf nda tsulhwa klipi his ya,» ka həŋ. 
MRK.6.39	Ka Yesu nda duhwalhani mantsa: «Mnanawamna ta mnduha ka nzanzata həŋ ka ghuɓu ka ghuɓu ta kuzuŋwa mkwenek,» kaʼa. 
MRK.6.40	Ka tsakavatá mnduha, ka nzanzata dərmək dərmək ma ya vli, hutaf mbsak hutaf mbsak ma ya vli. 
MRK.6.41	Ka hlaftá Yesu ta tsa buradi hutaf, nda tsulhwa klipi his ya. Ka nghadaftá tsi nda ta luwa ka rfanaghatá Lazglafta. Tahula tsa mantsa, ka ɓalanaptá tsi ta tsa buradi ya, ka valaŋtá duhwalhani, ŋa daganaftá tsa mnduha ya. Mantsa guli, ka daganaftá tsi ta tsa tsulhwa klipi his ya ta həŋ. 
MRK.6.42	Inda taŋ demdem ka zazutá həŋ, ka babaghawtá həŋ. 
MRK.6.43	Ka tskaftá lu ta paɗakwa tsa buradiha nda klipiha ya ka ghwanak ghwaŋpɗə his.
MRK.6.44	Gwal ta za tsa buradi ya ná, mnduha dəmbuʼ hutaf ya.
MRK.6.45	Tahula tsa, gi ka mblafta Yesu ta duhwalhani ka lamə da kwambalu ŋa dzaʼa taŋ ta sana ɓla drəf nda tvə luwa Betsayda, ta kɗə tsatsi ta vriŋtá dəmga ŋa laba tsatsi nda hul nda hul slanaghatá həŋ. 
MRK.6.46	Manda dgatani ta vgha nda tsa mnduha ya, ka sliʼaftá tsi ka laghwi ta ghwá da maga duʼa. 
MRK.6.47	Lama vli da rviɗik ya ná, ɓhatá tsa duhwalha Yesu ya tsa nda kwambalu ma takataka drəf. Tata haɗik Yesu turtukwani. 
MRK.6.48	Kəʼa ka Yesu nghadapta ná, ta takaɗaku duhwalhani ka swa kwambalu, kabga mamu falak ta vra həŋ. Wər ta tsughbura sərɗək vli, ka sliʼaftá tsi ka mbaɗa ta drəf nda səla, ŋa dzaʼa nda da həŋ, ka kumə tsi ta klatá wa taŋ. 
MRK.6.49	Kəʼa ka həŋ ná, mamu skwi ta mbaɗa ta imi, zlah halalay ya, ka həŋ ka wahu. 
MRK.6.50	Nda ngha inda taŋ demdem, ka ghudzaku həŋ ta ghudzaku da zləŋ. Ka gi gwaɗganatá Yesu ta həŋ. Kaʼa nda həŋ mantsa: «Ma wahu kuni ta wahu, iʼi ya, ma zləŋ kuni ta zləŋ!» kaʼa nda həŋ. 
MRK.6.51	Ka lagha tsi, ka lamə da tsa kwambalu ya nzata tavata həŋ. Ka gi lɓata tsa falak ya tɓekw. Ka laghu tsa duhwalhani ya da ndərmimay katakata. 
MRK.6.52	Ma ŋa snaŋta taŋ ta mbrakwa Yesu nda mazəmzəm maga tsi nda buradi ya ná, lanamə a ta həŋ wu, kabga təŋtəŋa ghəŋa taŋ.
MRK.6.53	Tahula tsughwaɗapta taŋ ta drəf, ɓhadaghar həŋ ta haɗika Genazaret, ka hbanata həŋ ta kwambala taŋ ta wa drəf hada. 
MRK.6.54	Manda saba taŋ ma kwambalu, ka tsəmafta mnduha ta Yesu. 
MRK.6.55	Tsəmafta taŋ, ka sliʼaftá həŋ nda hwaya da mnay ma inda vliha. Ka tsakwə həŋ nda ghzləŋa taŋ nda ghzləŋa taŋ ta gwal kul ɗughwanaku, da inda vli snaŋ həŋ kazlay: Hada Yesu kəʼa. 
MRK.6.56	Ma inda dər wati ma vli tsi ta lagha Yesu, dər ma zwana luwa tsi, dər ma huɗa luwa tsi, ka dər tahula luwa a tsi, ta hladaghahla lu ta gwal kul ɗughwanaku ka pghata ta daɓi. Ka ndəɓu lu ta dzvu da tsi, ŋa ksaŋta dər wa lgutani tsi kweŋkweŋ. Inda gwal ta ksaŋta ná, nda mbamba həŋ.
MRK.7.1	Ka sliʼagata tsa la Farisa nda sanlaha ma gwal tagha zlahu ŋa mnduha ya ma Ursalima, ka tskavata tavatá Yesu. 
MRK.7.2	Ka nghaŋtá həŋ ta sanlaha ma duhwalha Yesu ta za skwa zay nda ŋratá dzvu, mbaziŋ a həŋ manda ya taghanaf dzidzíha taŋ ta həŋ wa. 
MRK.7.3	Tsaw la Farisa nda sanlaha ma la Yahuda ya ná, haɗ həŋ ta za skwa zay ka ta mbaza a dzva taŋ tsuweɗek ɗina, manda ya taghanaf dzidzíha taŋ ta həŋ wa.
MRK.7.4	Ka vragaghavra həŋ ta luma, haɗ həŋ ta za skwa zay ka ta mbazaghu a həŋ ta mbaza wa. Mamu ndəghata sana skwiha guli taghanaf dzidzíha taŋ ta həŋ ta magə həŋ manda: Tva mbazapta ɗina ta kuwa, nda bəzleghwa, nda siga kufur. 
MRK.7.5	Mbaɗa la Farisa nda gwal tagha zlahu ŋa mnduha ka ɗawaŋta da Yesu. Ka həŋ mantsa: «Nu kul haɗ duhwalha gha ta maga skwi taghaf lu da dzidzíha, ta kəl həŋ ka za skwa zay kul mbaziŋtá dzvu na?» ka həŋ. 
MRK.7.6	Ka Yesu nda həŋ mantsa: «Tsa maɗgwirmaɗgwira ghuni ya. A ta ŋa Isaya ta mnay ta ghəŋa ghuni, manda ya nda vinda mnə na Lazglafta kazlay:
MRK.7.6	nana mnduha na ná, ta wubisim ta wubisim ta zləzlva həŋ ta iʼi. Ma ŋuɗufa taŋ ná, ɗva a həŋ ta iʼi wa. 
MRK.7.7	Zləzləva iʼi ta zləzlvu həŋ ná, ka bətbət. Ma ŋa taghay taŋ ta zlaha ɗa ŋa mnduha ná, ka laghu həŋ da ŋanatá zlaha mnduha
MRK.7.8	Zlanava zla kuni ta zlaha Lazglafta, ka laghu kuni da sna skwi ya ta taghu mnduha. 
MRK.7.9	«Nda hiɗa kuni kahwata ta wuɗiŋtá zlahuha Lazglafta, ka ŋanatá ŋa ghuni ma skwa dzidzí. 
MRK.7.10	Wya ka Musa: “Vla ta glaku ŋa i da gha nda ma gha,” kaʼa. Kaʼa guli na: “Mndu ta razanaftá i dani nda mani, dzaʼa dzadza
MRK.7.11	Ama ka kaghuni ta mnay ŋa mnduha ná, laviŋlava mndu ta mnay ŋa i dani nda mani kazlay: Si má ta kumay yu ta vlaghatá skwi ŋa kataghata, ɗaw laviŋ a yu wu, kabga kwarbaŋ ya manda mnay kazlay: Dzaʼa vlaŋtá Lazglafta yu kəʼa. 
MRK.7.12	Mantsa ya tama ta mbla kuni ta tsa mndu ya, ŋa kwal kul kataŋta i dani nda mani. 
MRK.7.13	Ma tsa magay ghuni mantsa ya tama ná, ta mbəɗiŋmbəɗa kuni ta gwaɗa Lazglafta, nda mndərga tsa tagha skwa ghuni ya ŋa mnduha. Nda ndəgha mndərga sana skwiha ta magə kuni manda ɗaslakwa tsahaya.»
MRK.7.14	Tahula tsa, ka hagəglaktá Yesu ta dəmga da tsi. Kaʼa nda həŋ mantsa: «Gunawa guna ta sləməŋa ghuni ɗina, ka mnaghunata yu. 
MRK.7.15	Haɗ skwi ta zadata mndu nda za ta ŋriŋta mndu wa, ba skwi ta sabə nda sa ma ŋuɗufa mndu ta ŋriŋta mndu,» kaʼa. 
MRK.7.16	[Ka mamu mndu nda sləməŋa snay ka sna tsi.] 
MRK.7.17	Manda sliʼafta Yesu ka laghwi da həga dgarə tsi ta vgha nda dəmga, ka ɗawaŋtá duhwalhani da tsi ta ghəŋa tsa gray graf tsi ya. 
MRK.7.18	Kaʼa nda həŋ mantsa: «Aʼa, haɗ ɗifil ma ghəŋa kaghuni guli ra? Sna a kaghuni guli kazlay: Haɗ skwi ta zadata mndu nda za ta laviŋtá ŋriŋta mndu wu kəʼa ra? 
MRK.7.19	Haɗ tsa skwi ta zadata mndu nda za ya ta dzaʼa da ŋuɗufa mndu wu, da huɗi ta dzaʼa tsi ŋa dzaʼa thidiŋta ma dra,» kaʼa. Tsa gwaɗa Yesu ya ná, ta kumay ta mnay kazlay: Nda ghuɓa inda skwa zay
MRK.7.20	«Skwi ta sabə nda sa ma ŋuɗufa mndu ná, tsaya ta ŋriŋta mndu, 
MRK.7.21	kabga ma ŋuɗufa mndu ta sliʼagabta ghwaɗaka ndanuha, nda sliʼiŋsliʼiŋ, nda ghali, nda psla mnduha, 
