MAT.1.2	Burahemu wamuzhala Isaka. Isaka akimuzhala Jakobu. Jakobu akimuzhala Juda na nduguze a kilume. 
MAT.20.23	Bai marihonena vizho Jesu akiamba, “Ee kikombe changu mundakinwa. Ela kumutsagula yuya akelesi mukono wa kurya, yuya mukono wa kumots'o, sina wadimi nazho bule. Kwani kuko, Baba wakutengezera at'ue, na ao ndo mandiokala kuko.” 
MAT.20.24	Vikara o anafundzi kumi marihovisikira, makiatsukirirwa o ndugu airi. 
MAT.20.25	Ela Jesu akiaiha osini akiamba, “Munamanya kukala athawali a at'u mario si Ayahudi manahendza kuthawala at'u ao na ukali munji. Na aryahu abomu mario ts'ini zao nao, manahendza kuhumira wadimi wao wosi kuatumisha o at'u. 
MAT.20.26	Ela ninwi musikale vizho bule. Iye ahendzaye kukala mubomu suthi akale muhumiki wenu. 
MAT.20.27	Na kila ahendzaye kukala kitswa kahi zenu, suthi akale mutumwa wenu. 
MAT.20.28	Kwani hatha Mwana wa Mudamu naye k'adzire haha urumwenguni adze ahumikirwe, ela wakudza ahumike na alazhe uzimawe aakombole at'u anji.”
MAT.20.30	Vikara were kuna vipofu airi mariokala makelesi k'anda za yo barabara. Lola marihosikira kukala Jesu anakira, maluta mimiro makiamba, “Mwana wa Daudi huonere mbazi!” 
MAT.20.31	O at'u makiadumulira makiamba manyamale, ela o hatha makikaza kuluta mimiro makiamba, “Bwana, mwana wa Daudi huonere mbazi!” 
MAT.20.32	Jesu akiima, akiaiha akiamba, “H'aya munamala nimuhendereni?” 
MAT.20.33	O vipofu makiamba, “Bwana, funamala ugunule matso gehu.” 
MAT.20.34	Bai Jesu akiaonera mbazi akiagut'a go matso gao, na haho henye makikwacha kuona na makimuthuwa.
MAT.21.1	Vikara Jesu na anafundzie marihokala ma hehi na Jerusalemu, mafika Beth'ifage, kuko Murima wa Mizeituni. Bai marihofika kuko, Jesu akihuma anafundzie airi akiamba, 
MAT.21.2	“Endani hatha mwangire ko kadzidzi mudzikoerekezana nako. Mukifika thu mundaona ndzowe na mwanawe madzafungwa. Avuguleni munirehere. 
MAT.21.3	Mut'u yoyosi akimuza mwambireni kukala, ‘Bwana ana haja nao.’ Naye andaarichira mara mwenga.” 
MAT.21.4	Bai gosi gahendeka ili garyahu maneno garigonenwa ni nabii gathimire. Kwani nabii mumwenga wanena akiamba,
MAT.21.5	‘Lolani, muthawali wenu anamudzirira.
MAT.21.5	Ni mup'ore na adzakwera dzulu za ndzowe,
MAT.21.5	kidza mwana wa ndzowe.’ ”
MAT.21.6	K'uzhona o anafundzi makiuka na machendahenda here marizhokala madzalagizwa ni Jesu. 
MAT.21.7	Makimureha ye ndzowe na mwanawe, makihala maamba gao makihandika ho dzulu zao na Jesu akikwera. 
MAT.21.8	At'u anji makihala maamba gao makigahandika mo ngirani, angine o makithema vitai zha mihi makivihandika mo ngirani. 
MAT.21.9	Bai go makundi ga at'u mariokala mbere na mariokala nyuma osi makikwacha kuimba kwa nguvu makiamba,
MAT.21.9	“Naalikwe ye mwana wa Daudi!
MAT.21.9	Naahaswe iye adzaye kwa dzina ra Bwana!
MAT.21.9	Naalikwe ye Mulungu ariye dzulu!”
MAT.21.10	Jesu arihongira Jerusalemu, mudzi wosi wadudumuka na at'u makiuza, “Ni h'ani ye?” 
MAT.21.11	Bai o at'u mariokala na Jesu makidzigidzya makiamba, “Ni Jesu, yuyahu nabii wa kula Nazareth'i kuko Galilaya.”
MAT.21.12	Jesu arihongira kahi za ro Hekalu, waainga at'u osi mariokala makigula na kuguza vit'u mo Hekaluni. Kidza akihala zo meza za abandi a p'esa, na vihi zha aguzi a magiya, akivipetula-petula zhosi. 
MAT.21.13	Gonya akiamba, “Zhaorwa kukala, ‘Nyumba yangu indaifwa nyumba ya mavoyo,’ ela ninwi munaihendya p'anga ya kuzama aivi.” 
MAT.21.14	Bai at'u anji mariokala k'amaona, na vidende makimuthuwa Jesu mo Hekaluni, naye akidzaahoza. 
MAT.21.15	Ela vikara o alombi abomu na alimu a Sheria marihoona go maut'u mabomu arigokala akigahenda Jesu, na zho ahoho marizhokala manapiga londzo na kuamba, “Mup'eni nguma Mwana wa Daudi!” mo Hekaluni makitsukirwa sana. 
MAT.21.16	Bai makimuza Jesu makiamba, “Unaasikira o ahoho zho manenazho?” Akiadzigidzya akiamba, “Ee ninaasikira. Ela go Maoro gaambago, ‘Wapata nguma kwa makanwa ga ahoho athithe na ana atsanga’ k'amudzagashoma?”
MAT.21.17	Naye arihogonya kunena vizho akimwambola mumo Jerusalemu achendalala mudzi wa Beth'ania.
MAT.21.18	Kunadzacha, Jesu warauka na madzach'a akikwacha kuuya Jerusalemu. Bai mumo ngirani akisikira ndzala. 
MAT.21.19	Akiona mutini ho k'anda-k'anda za ngira. Achendaulola chamba una matunda, ela k'apatire, mana were u gi makodza mahuhu. Jesu akiulani uryahu muhi akiamba, “Nawe k'undazhala matunda kaheri.” Nawo haho na haho kare ukiuma. 
MAT.21.20	K'uzhona o anafundzi marihoona viryahu machangalala zhomu, makiamba, “Muhi uno be tha udzanyaladze haraka vino?” 
MAT.21.21	Ela Jesu akiadzigidzya akiamba, “Ninamwambira ujeri kukala, mukikuluhira bila kukala na k'ai-k'ai mundahenda ut'u dza uu nidziwouhenda, na hatha zaidhi. Mundadima hatha kuwambira uu murima, ‘Ng'oka ukagwe baharini.’ Na vindakala vizho zhenye. 
MAT.21.22	Mukikala na kuluhiro mundahokera kila mundichokivoya.”
MAT.21.23	Bai Jesu akiuya kahi za ro Hekalu na akikwatya kufundisha. Arihokala akufundishani, alombi abomu na athumia a Kiyahudi makidzamuza makimwamba, “Unahenda maut'u gano kwa wadimi wani? Na ni h'ani ariyekup'a wadimi uno?” 
MAT.21.24	Jesu akiamba, “Hatha mimi nindamuza swali, mukiridzigidzya, nindamwambira ni wadimi wani nihenderao maut'u gaga. 
MAT.21.25	Wo wadimi ariohumira Johana kubat'izira at'u walahi? Wala kwa Mulungu hedu wala kwa anadamu?” O alombi abomu na o athumia makiojana makiamba, “Fukiamba wala kwa Mulungu, andafuza, ‘Kwanoni k'amumukuluhirire?’ 
MAT.21.26	Na hukiamba, ‘Wala kwa mudamu,’ fu hatharini, mana aa at'u osini manakuluhira kukala Johana were ni nabii.” 
MAT.21.27	Kwa vizho makimwamba Jesu, “K'ahumanya.” Jesu naye akiamba, “Hatha mimi nami sindamwambira wo wadimi nihumirao kuhendera maut'u gaga.”
MAT.21.29	Mwana anambola kunena akiamba, ‘Aa sindakwenda mino.’ Ela gonya ye mukulu akigalukwa ni moyo hatha achenda. 
MAT.21.30	Kula haho, ye bimut'u achenda kwa ye wa hiri achendamwamba, ‘Rero enda ukarime ko munda wa mizabibu.’ Ye mwana akiamba, ‘H'aya ndakwenda.’ Ela k'endere bule. 
MAT.21.31	Vikara kahi za ano airi ni hiye ariyehenda malagizo ga babaye?” Makiamba, “Ni iye mukulu.” Jesu akiamba, “H'aya, hatha mimi nami namwambira ujeri wenye kukala athozi a kodi na malaya manangira kahi za uthawali wa Mulungu mbere zenu. 
MAT.21.32	Kwani Johana Mubat'izaji wakudzamwanyesa ngira ya hachi, ela k'amumukuluhirire, athozi a kodi na malaya o makimukuluhira. Nwi ng'o kamare, hatha bada ya kuona kukala andziyenu madzamukuluhira kidza nwi k'amugalukirwe ni mioyo.”
MAT.21.34	Makathi ga mavuno garihofika, waahuma ahumikie mende makagerwe muthalowe wa zabibu ni o ak'urima. 
MAT.21.35	Bai o ak'urima marihoaona o ahumiki, mahala mumwenga makimupiga, mumwenga makimukot'a mawe, na mumwenga makimwalaga. 
MAT.21.36	Bai, ye mwenye munda akihuma ahumiki angine, anji kukira o arioahuma kwandza. Ela hatha ao nao k'amapatire kit'u, kwani mahendwa dza zho zha andziyao. 
MAT.21.37	Ye mwenye munda arihoona vizho akiamba, ‘Charo kiki huriza nimuhume mwanangu. Bila shaka iye mandamuishimu.’ 
MAT.21.38	Ela o ak'urima marihomona ye mwana akudzani, makiamba, ‘Yuno be hatha se andiyeuhala ufwa uno munda? Alume nahumwalage yuyu, uu munda ukale wehu.’ 
MAT.21.39	Makimuhala kare makimwamboza ndze ya wo munda makimwalaga. 
MAT.21.40	Vikara, munaona ye mwenye munda akidza andaahendadze arya ak'urima?” 
MAT.21.41	Makidzigidzya makiamba, “Andaahala o ak'urima aalage, gonya wo munda aap'e ak'urima angine mandiokala makimup'a muthalowe wa zabibu kila mavunaho.” 
MAT.21.42	Jesu akiamba, “Hedu k'amudzangwe kugashoma go Maoro gaambago,
MAT.21.42	‘Ro iwe ririrokahalwa ni aaki
MAT.21.42	vivi be ridzagaluka ndo iwe bomu ra p'embeni.
MAT.21.42	Ut'u uwo wahendwa ni Bwana,
MAT.21.42	Na fukiulola unafwangalaza?’
MAT.21.44	Na iye andiyerigwerera iwe riro andabandika-bandika. Ela mut'u yoyosi rindiyemugwerera, rindamusaga tikitiki.”
MAT.21.45	O alombi abomu na o Mafarisayo marihosikira go mafumbo ga Jesu, makimanya kukala manaambwa ao. 
MAT.21.46	Kwa vizho makijeza kumugwira mamushithaki, ela makishindwa kwa kukala were manaagoha o at'u. Kwani o at'u were manamona Jesu ni nabii.
MAT.22.1	Bai Jesu akienderera kufundisha at'u kwa kuhumira mafumbo. Akimboza fumbo ringine kaheri akiamba, 
MAT.22.2	“Uthawali wa mulunguni, udzahalana na muthawali mumwenga ariyekala anamuusira harusi muthanawe. 
MAT.22.3	Bai arihokala a thayari, waahuma ahumikie makaaihe aryahu at'u ariokala waasunga, ela k'amendere. 
MAT.22.4	Vikara arihoona viryahu, akihuma ahumikie angine akiamba, ‘Kaambireni kukala nidzatsindza ndzao zangu kare, hamwenga na vidzao zhangu zha kunona, na nidzathayarisha kila kit'u hatha masere ao madze marye harusi.’ 
MAT.22.5	Marihokwendaambirwa mavihalira madhe-madhe. Kila mut'u akithuwa shuhulize. Mumwenga akigwira ngira achenda mundani, mungine achenda biasharani kwakwe. 
MAT.22.6	Angine o makiagwira o ahumiki makiahendera makuruhu na makialaga.
MAT.22.8	“Bai bada ya vizho, ye muthawali akiahuma ahumikie kaheri akiamba, ‘Lolani harusi i thayari ela o nirioasunga tha were k'amav̱irya kamare. 
MAT.22.9	Kwa vizho endani ko ngira-ngira na kila mut'u mundiyemona musungeni adze. Rehani at'u anji zhadimikikazho.’ 
MAT.22.10	O ahumiki machenda mo ngira-ngira, makireha kila namuna ya at'u, adzo na ai. Hatha vinatululia, yo nyumba ya harusi ikidzala thele at'u.
MAT.22.12	Akimuza akimwamba, ‘Musena, udzangiradze muno bila kuvala nguwo ya harusi?’ Ye mut'u akisala wa kanwa ngh'aa. 
MAT.22.13	Bai ye muthawali akialagiza ahumikie akiamba, ‘Muhaleni mumufunge mikono na magulu mumutsuhe ko ndze kizani. Na kuko kundakala na kiriro na kwafuna meno.’
MAT.22.14	“Kwani ni anji masungwao, ela o matsagulwao ni achache.”
MAT.22.15	Ndo o Mafarisayo machenda njama, ili makapange viryahu mandizhomuhega Jesu na maneno ga kwakwe hatha mapate ut'u wa kumushithakira. 
MAT.22.16	Bai marihogonya kupanga, makiahuma anafundzi ao, na at'u a Herode. Bai, at'u ao makwenda hatha kwa Jesu machendamwamba, “Mwalimu, hunamanya kukala uwe u mujeri. Unafundisha at'u zho Mulungu ahendzazho maishi, kwa ngira ya ujeri kamare. K'ugoha mut'u yoyosi hatha kala ana cheo chani. Mana k'ulola at'u kwa uso. 
MAT.22.17	Bai fwambire. Kuriha kodi kwa Kaisari ni karakara hedu si karakara?” 
MAT.22.18	Jesu arihosikira vizho, akiimanya kare yo njama yao mbii mariyokala madzapanga, akiamba, “H'enwi adzihendyi! Kwanoni munanihega? 
MAT.22.19	Nanyesani yo p'esa murihirayo kodi hedu.” Makimboza dinari makimup'a. 
MAT.22.20	Bai Jesu akiauza akiamba, “Ino sura iriyo muno p'esani na ro dzina ni zha h'ani?” 
MAT.22.21	Makiamba, “Ni zha Kaisari.” Jesu akiambira, “Kwa vizho, zha Kaisari mup'eni Kaisari mwenye, na zha Mulungu nazho mup'eni Mulungu.” 
MAT.22.22	Nao marihosikira vizho, makingalala sana gonya sio, makimuricha haho makihauka.
MAT.22.24	“Mwalimu, Musa waamba kukala, mut'u akifwa kabila kupata ahoho, ye muchewe ahalwe ufwa ni nduguye ili amuzhalire ahoho ye mufwadzi. 
MAT.22.25	Vikara wakathi mumwenga hatoa ndugu afungahe haha. Ye mukulu akihala muche na akinongeka kabila kupata ahoho. Kwa vizho ye muche akihalwa ufwa ni nduguye. 
MAT.22.26	Iye naye akifwa bila kupata ahoho. Bai zhaenderera vizho hatha o ndugu afungahe osini makigoma kufwa hatha akisala ye muche. 
MAT.22.27	Iye naye akiathuwa. 
MAT.22.28	Vikara at'u mandihofufuka, yuno mwanamuche andakala mukaza h'ani na kila ndugu wamuhala?”
MAT.22.29	Jesu akiadzigidzya akiamba, “Munahenda makosa kwa kukala k'amumanya Maoro, kidza k'amumanya nguvu za Mulungu zirizho. 
MAT.22.30	Kwani makathi at'u makifufuka, kundakala k'akuna kuhala hedu kuhalwa. At'u osi mandakala here malaika a mulunguni marizho. 
MAT.22.31	Na dzulu za at'u kufufulwa, k'amudzahashoma harya hat'u Mulungu arihonena nanwi akiamba, 
MAT.22.32	‘Ndimi Mulungu wa Burahemu, na Isaka, na Jakobu?’ Mulungu ni Mulungu wa at'u mario moyo, si wa at'u mariofwa!” 
MAT.22.33	Na o at'u marihosikira zho Jesu afundishazho, makingalala kamare.
MAT.22.34	Ela Mafarisayo marihosikira kukala Jesu adzaanyamaza o Masadukayo, makithunganana kaheri. 
MAT.22.35	Bai mumwenga wao, ariye were ni mwalimu wa Sheria akimuza Jesu swali ra kumujeza. 
MAT.22.36	Akiamba, “Mwalimu, amuri bomu kukira zosi ni hiyo kahi za Sheria?” 
MAT.22.37	K'uzhona Jesu akimudzigidzya akimwamba, “ ‘Muhendze Bwana Mulunguo na moyowo wosi, na rohoro rosi, na akilizo zosi.’ 
MAT.22.38	Ii ndo amuri ya kwandza na bomu kukira zosi. 
MAT.22.39	Na ya hiri yenye mana dza iyo, ni, ‘Muhendze mwandziyo here udzihendzazho mwenye.’ 
MAT.22.40	Amuri zizi mbiri, ndo musinji wa Sheria zosi za Musa, na mafundisho gosi ga manabii.”
MAT.22.42	“Yuno Masihi nwi, munamona ni mwana wa h'ani?” Makiamba, “Ni mwana wa Daudi.” 
MAT.22.43	Jesu akiamba, “Kala ni vizho, mbona Daudi arihokala adzadzalwa ni nguvu za Roho Mweri, wamwiha ye Masihi ‘Bwana’? Kwani Daudi waamba,
MAT.22.44	“Kelesi mukono wangu wa kurya,
MAT.22.44	muhaka mahadhuio niathambaraze kamare
MAT.22.44	ts'ini za magulugo.” ’
MAT.22.45	“Bai kala Daudi wamwiha Masihi, ‘Bwana,’ anadimadze kukala mwanawe?” 
MAT.22.46	Swali riri rikiashinda kamare. Na kula siku iyo, k'ahana mut'u hatha mumwenga ariyedzambozeza kumuza swali Jesu kaheri.
MAT.23.1	Jesu arihogonya kunena vizho, akiambira o anafundzie hamwenga na ro kundi ra at'u akiamba, 
MAT.23.2	“Alimu a Sheria, na Mafarisayo ndio mariohala hat'u ha Musa. Manamufundisha na kumueleza Sheria ziambazho. 
MAT.23.3	Kwa vizho gagwirenit'o go mafundisho gao, ela mahendo gao musigathuwe bule. Mana zho mafundishazho si zho mahendazho bule. 
MAT.23.4	Kazi yao ni kufunga mizigo miziho-miziho isiyotsukulika na kuabagaza at'u angine maitsukule bila hatha kwangiza mukono. 
MAT.23.5	Kila kit'u mandichokihenda manakihenda ili maonewe. Lolani zho vidude zhenye Maoro maeri mo vidhanguni na mikononi mwao, ni vibomu kukira zha at'u angine. H'e yo mitsa ya zo k'andzu zao, samba ni mire kukira ya andziyao. 
MAT.23.6	Hat'u hajani manahendza kukelesi kuko mbere-mbere kwenye ajeni a ishima. Kahi za masinagogi ko, undaaona makelesi kuko mbere. 
MAT.23.7	Makifika masokoni, manahendza kulamuswa-lamuswa na ishima ni at'u na kuifwa ‘Alimu.’ 
MAT.23.8	Ela mino ninamwambira kukala, musikubali kuifwa ‘Alimu’ kamare, kwa kukala ninwi mu ndugu na mwalimu wenu ni mumwenga. 
MAT.23.9	Musihale mut'u yoyosi haha dhuniani mukamwiha ‘Baba’ kwa kukala Babiyenu ni mumwenga thu, naye a dzulu mulunguni. 
MAT.23.10	Kidza p'ore mukaifwa ‘Abomu’ bule, mana mubomu wenu ninwi ni mumwenga, naye ni Masihi. 
MAT.23.11	Ela ye mut'u mubomu kumukira nyosi suthi akale muhumiki wenu. 
MAT.23.12	Kwani kila andiyedzinula andatharamushwa, ela andiyedzitharamusha andanulwa.”
MAT.23.13	“Shauri yenu ninwi Mafarisayo na alimu a Sheria, kudzihendya kwenu nwi! Munaafungira at'u masingire kahi za uthawali wa mulunguni. Ninwi enye k'amwendzi kwangira, na hatha aryahu mamalao kwangira nao munaaziza. [ 
MAT.23.14	Shauri yenu ninwi alimu a Sheria na Mafarisayo, kudzihendya kwenu nwi! Munaahoka ache magungu vit'u zhao. Gonya mukila haho, munadzihendesha kwa kuvoya mavoyo mare-mare. Adhabu yenu indakala k'ali zaidhi.] 
MAT.23.15	Shauri yenu ninwi alimu a Sheria na Mafarisayo, kudzihendya kwenu nwi! Mu thayari kuvuka bahari na kwenda ts'i za kure, kwa kumala mwanafundzi mumwenga thu. Ela mukimupata, munamuhendya akale mui zaidhi na zo nafasi za kwangira Jehanamu zikale k'ana mbiri ya zo zenu.”
MAT.23.17	Vipofu ajinga nwi! Kibomu ni hicho? Ni yo dhahabu hedu ni ro Hekalu? Samba ro Hekalu ndiro rihendyayo yo dhahabu ikale eri! 
MAT.23.18	Munaamba kukala mut'u akilaha kwa cho kijaja cha kwambozera sadaka k'alahire kit'u. Ela akilaha kwa yo sadaka iriyo ho kijajani munaamba kuko ndo kulaha jeri. 
MAT.23.19	Vipofu nwi, cho kijaja na yo sadaka kibomu ni hicho? Samba cho kijaja ndo kihendacho yo sadaka ikale eri! 
MAT.23.20	Kwa vizho mut'u alahaye kwa cho kijaja, analaha kwa kicho kijaja hamwenga na vit'u zhosi vindizhombozwa haho. 
MAT.23.21	Na mut'u akilaha kwa Hekalu, analaha kwa riro Hekalu na kwa Mulungu ariye anakala mumo. 
MAT.23.22	Na mut'u akilaha kwa dzulu mulunguni, analaha kwa kihi cha uthawali cha Mulungu na kwa Mulungu ariye ndiye akikeresiraye cho kihi kicho.”
MAT.23.24	Vilongozi vipofu nwi! Munatsudza indzi, ela ngamira ye munamumiza.”
MAT.23.26	Mafarisayo vipofu nwi! Vigeseni ko ndani kwandza na ko kwa ndze kundakala kusafi.”
MAT.23.27	“Shauri yenu ninwi alimu a Sheria na Mafarisayo, kudzihendya kwenu nwi! Mu here mbira zidzizohakwa ch'ok'aa. Ukizilola ko ndze zinafwahiza, ela ko ndani kuthele misoza ya at'u a kufwa na kila namuna ya ukolo. 
MAT.23.28	Ninwi nanwi mu here zizo mbira. At'u makimulola manamona mu ahachi hatha k'azhadimikika, kudzi mu thele dambi na kudzihendya kunji.”
MAT.23.29	“Shauri yenu ninwi alimu a Sheria na Mafarisayo, kudzihendya kwenu nwi! Munahala mbira za manabii na za at'u ahachi, munazijengera na kuzidona 
MAT.23.30	na kuamba, ‘Kalaho ndiswi furioishi wakathi uwo wa akare ehu, k'afungaalagire bule o manabii.’ 
MAT.23.31	Na vizho muhendazho be munadzifunga enye, mana munakubali kukala munambola kahi za lukolo luriloalaga o manabii. 
MAT.23.32	H'aya imarigizeni iyo kazi iriyoandzwa ni akare enu. 
MAT.23.33	Nyoka nwi! Kidza enye munaona mundathia kula kwa hukumu ya Jehanamu, k'amundathia bule. 
MAT.23.34	Mana hatha ninamurehera manabii, na alimu, na at'u angine alachu. Ela ninwi mundaahala mualage, angine muasulubishe, na angine muapige vikotho kahi za masinagogi genu. Kidza muainge muamboze kahi za kila mudzi mandiwongira. 
MAT.23.35	Kwa ut'u uwo bai, milatso ya at'u ahachi osi mariolagwa haha dhuniani indakala dzulu zenu. Kuandzira iryahu ya Abeli hatha ya Zakaria mwana wa Barakia, muriyemwalaga kahikahi za ho hat'u haeri na cho kijaja cha kwambozera sadaka. 
MAT.23.36	Nami namwambira ujeri kukala, adhabu ya vifwa vizho zhosi indamugwerera ninwi at'u a kizhazi kiki.”
MAT.23.37	Bai Jesu arihogonya kunena vizho, akikwatya kuashikithikira at'u a Jerusalemu. Akiamba, “H'enwi at'u a Jerusalemu. Kazi yenu ni kualaga manabii na kuakot'a mawe ahumiki a Mulungu mahumwao kwenu. Ni mara nyingahi nidzizomala kumukundzumanya hamwenga here k'uk'u aafinikirazho anae na mahahage, ela mudzakahala? 
MAT.23.38	Lolani nyumba yenu idzarichwa ikale gandzo. 
MAT.23.39	Nami namwambira kamare kukala, k'amundanona kaheri muhaka haho mundihokudzaamba, ‘Naahaswe iye adzaye kwa dzina ra Bwana.’ ”
MAT.24.1	Vikara Jesu arihokala adzambola kahi za ro Hekalu akwendani, anafundzie mamwanyesa go majengo ga ro Hekalu. 
MAT.24.2	Ela Jesu akiambira kukala, “Amba munagaona gano majengo gosi zho? Be namwambira ujeri wenye k'ahana iwe hatha mwenga rindirosala dzulu za mwandziwe, kila kit'u kinadzabandwa-bandwa.”
MAT.24.3	Bai Jesu arihombola haho, wakwendakelesi kahi za Murima wa Mizeituni. Vikara arihokala akelesi, anafundzie mamuza kinjama makiamba, “Maut'u gano gandahendeka rini? Vidze ni muv̱ano wani undiwonyesa kukala u hehi na kudza na mwisho wa dhunia udzafika?” 
MAT.24.4	Jesu akiadzigidzya akiamba, “Dzimanyirireni hasidze mut'u akamukenga. 
MAT.24.5	Kwani kuna anji mandiokudza kwa dzina rangu na kuamba ao ndo Masihi, na mandakenga at'u anji. 
MAT.24.6	Na mundasikira uv̱oro wa viha vihefwazho hehi na vingine mundahenda kuvisikira uvumi, ela sogoheni, kwani ni hatha gakale gago, ela wo mwisho wa urumwengu undakala uchere mbere. 
MAT.24.7	Kabila rindauka kwendapigana na kabila ringine. Uthawali undapigana na uthawali mungine. Kundakala na ndzala na ts'i indathethema hat'u-hat'u. 
MAT.24.8	Ela gago gosi gandakala ni mwandzo wa utsungu thu.”
MAT.24.10	Kahi za wakathi uwo, at'u anji mandauya nyuma na makwatye kuguzana na kutsukirirwana enye kwa enye. 
MAT.24.11	Kundambola manabii anji a ulongo na mandakenga at'u anji. 
MAT.24.12	Na kwa kukala uthiriri undakala udzakaza zhomu, at'u mandaricha kuahendza andziyao. 
MAT.24.13	Ela iye andiyevumirira hatha mwisho ndiye andiyeokoka. 
MAT.24.14	Na Uv̱oro uu Udzo wa uthawali wa mulunguni undahubiriwa urumwengu muzima, ili ukale ushahidhi kwa makabila gosi, ndo wo mwisho udze.”
MAT.24.16	Bai mundihoona vizho, at'u osi mandiokala Judea namachimbirire ko mirimani. 
MAT.24.17	Mut'u andiyekala a dzulu za nyumba ya kwakwe asiuye mo nyumbani kwendahala kit'u chochosi. 
MAT.24.18	Mut'u andiyekala a mundani asiuye mudzini kwendahala nguwoye. 
MAT.24.19	Wakathi uwo vindakala vii-vii zaidhi kwa ano m'ama mandiokala mana mimba na mandiokala manaamwisa. 
MAT.24.20	Na voyani uwo wakathi mundihokala munachimbira, usikale ni wakathi wa p'eho, hedu siku ya Sabato. 
MAT.24.21	Kwani wakathi uwo kundakala na mateso mabomu garigo k'agadzaonewa na k'agandaonewa kaheri haha urumwenguni. 
MAT.24.22	Siku zizo za mateso Mulungu wazihunguza kwa ut'u wa at'u arioatsagula, ela kala si vizho, k'ahana hatha mut'u mumwenga angayeokoka.”
MAT.24.24	Mana kundambola ano Masihi anji a ulongo, na manabii anji a ulongo. At'u ao osi mandahenda miv̱ano mibomu ili vichadimikika maakenge hatha o at'u mariotsagulwa ni Mulungu. 
MAT.24.25	Lolani, nidzamwambira maut'u gaga kimbere.”
MAT.24.26	“Kwa vizho mut'u yoyosi andiyekudzamwambira kukala, ‘Masihi a nyika bewe!’ hedu ‘Masihi adzazama kuryahu ndani!’ hatha thuwani shuhuli zenu, musimugwire gakwe kamare. 
MAT.24.27	Mana Mwana wa Mudamu andihokudza, andaonewa ni kila mut'u, dza viryahu lumethe lumethazho mwambolero wa dzuwa na lukaonewa hatha mutserero wa dzuwa. 
MAT.24.28	Kwani ‘Hadzihogwa kimba, ndo nderi mathungananaho.’ ”
MAT.24.30	Na vikigoma vizho, ko dzulu kundambola muv̱ano wa kunyesa kukala Mwana wa Mudamu akudzani. At'u a makabila gosi ga urumwengu mandarira, kidza mandamona Mwana wa Mudamu anatharamuka kuno a dzulu za maingu. Naye andatharamuka na nguvu na nguma nyinji. 
MAT.24.31	Andaahuma malaikae mapige gunda zhomu zhenye, na maakundzumanye o at'u osi mariotsagulwa ni Mulungu kula kila p'embe ya dhunia.”
MAT.24.32	“Bai dzifundisheni kula kwa mutini. Mutini t'aize zikikala nyolovu na kukwatya kumboza makodza, munamanya kare wakathi wa mavuno udzafika hehi. 
MAT.24.33	Kwa vizho ninwi nanwi mukiona maut'u gaga gosi, manyani kukala wakathi wa kudza Mwana wa Mudamu udzafika hehi. 
MAT.24.34	Nami namwambira kamare, kizhazi kiki k'akindakira kabila maut'u gaga gosi kuthimira. 
MAT.24.35	Mulunguni na ts'i, zhosi vindahenda mwisho, ela maneno gangu k'agana mwisho bule.”
MAT.24.38	Kwani siku zizo za Nuhu kabila v̱ula ya muretho k'aidzanya, at'u mathuwa kuishi here kawaida thu. Makala makirya na kunwa, na kuhala na kuhalwa hatha Nuhu achangira safinani. 
MAT.24.39	At'u ao mathuwa kuishi bila kumanya kundakudzani, hatha muretho ukidzaahala vizho. Na vizho ndo vindizhokala hatha yo siku andihokudza Mwana wa Mudamu. 
MAT.24.40	Siku iyo alume airi mandakala ma mundani, mumwenga andahalwa na ye mungine arichwe. 
MAT.24.41	Anaache airi mandakala manasaga, mumwenga andahalwa na ye mungine arichwe. 
MAT.24.42	Kwa vizho, kalani matso, mana k'amumanya Bwana wenu andakudza siku yani. 
MAT.24.43	Sirikizani bai, kala mwenye nyumba ni kumanya mwivi andakudza usiku wa saa nyingahi, k'angakubalire nyumbaye ibandwe bule, angachesa matso kuirinda. 
MAT.24.44	Kwa vizho ninwi nanwi dziikeni thayari wakathi wosi, kwani Mwana wa Mudamu andakudza wakathi musiwoudhania.”
MAT.24.46	Baha iye muhumiki iye ariye bwanawe andakudzamuthekeza anahenda vizho. 
MAT.24.47	Kwani namwambira jeri wenye kukala, andamuhala na amuhendye akale muimirizi wa zho vit'u zhosi arizho nazho. 
MAT.24.48	Ela ye muhumiki mui akiamba kimoyo-moyo, ‘Naona ye bwana wangu k'andauya vikara,’ 
MAT.24.49	akwache kuapiga o ahumiki andziye, na kurya na kunwa hamwenga na arevi. 
MAT.24.50	Bai ye bwana wa muhumiki yuyu andauya siku asiyodhania na saa asiyoimanya. 
MAT.24.51	Naye afikaho andakudzamuhala na amutose visiku-visiku, gonya amutsanganye na at'u a kudzihendya. Na kuko at'u mandarira na kwafuna meno kwa utsungu.”
MAT.25.2	Kahi za o asichana kumi, asichana atsano were ni azuzu, na atsano were ni alachu. 
MAT.25.3	Vikara aryahu asichana azuzu, mamanya ko kutsukula go mataa kare ela k'amatsukulire akiba yoyosi ya mafuha. 
MAT.25.4	Ela arya alachu o makitsukula mataa hamwenga na mafuha ga akiba. 
MAT.25.5	Bai kwa kukala ye bwana harusi k'adzire haraka, o asichana osi makunukira na makilala. 
MAT.25.6	Ela usiku wa manane, makihenda kusikira, ‘Thiye bwana harusi ukani mwende mukamutsangire.’ 
MAT.25.7	Aryahu asichana osi makivumbuluka kare makikwacha kuthayarisha mataa gao. 
