MAT.1.1	Hiyana nan lestaan nan kaap-uwan Jesu Cristo ay kianak David, ya hi David at kianak Abraham. 
LUK.23.36	Uray nan sosorchachu at enot-otyokcha hiya. Naesnopcha ya inchutngucha nan senmoka ay fiayas, 
LUK.23.37	ya kanancha, “Mu tit-iwa ay he-a nan aren chi Judio, kakunmu esarakan nan achormu!”
LUK.23.38	Wacha nan naisurat as nan tabra ay naipuuy as nan laramakun nan uron Jesus: “Hi Tona Nan Aren Chi Judio.”
LUK.23.39	Nan usa as nan chiyuycha lomalabsing as lintig ay naelansa at ininsurtuna hi Jesus. Kenalina, “Ay fiakun he-a nan Cristo? Kakunmu ngarud esarakan nan achormu ya chakami!”
LUK.23.40	Ngem nan chiyuy usa ay naelansa at senengarana nan nauy nanginsurtu kan Jesus. Kenalina, “Ay achika umugyat kan Apo Dios? Mapapchong met nan chusa takú am-in. 
LUK.23.41	Libfengta met ay machusa kiapú as nan enatta. Ngem hiya at maid enatna as mangisiw.” 
LUK.23.42	Angkiay kenalina kan Jesus, “Apo Jesus, nunumnumunak man paat as nan omaliyam ay mun-ari.”
LUK.23.43	Tinumfor hi Jesus kan hiya, “
LUK.23.44	As nan kiayud munkiawa, ngenmongot nan intiru ay luta inkiana alas tres as nan makiayud. 
LUK.23.45	As nan hiyachi, namaid nan lawag nan urkiw, ya narakset ay nakudwa nan kurtinan nan Templo nunlapu as lamagna inkiana as kuwabna.
LUK.23.46	Angkiay inpigsan Jesus ay nangifukiaw, “
LUK.23.47	Kun pay inilan nan kapetan chi sosorchachu nan enommat, nunchaychayaw hiya kan Apo Dios, ya kanana, “Tit-iwa payat ay nalintig na ay taku!”
LUK.23.48	Kun pay inilan nan naaamong ay tataku ay cha munfuyfuya nan enommat, kenmatamcha ay cha manibtib-ug as tagrangcha kiapú as nan ongor ay ngunguyuscha. 
LUK.23.49	Nan am-in ay am-ammon Jesus patí nan fianafiai ay inmun-unud kan hiya nunlapu ad Galilea at nangatakchugcha as nan ad-achawwi as akét ay mangiila as nan nauycha cha om-ommat.
LUK.23.50+LUK.23.51	Wacha nan usa ay laraki ay nan ngachana at Jose ay nurpu ad Arimatea ay usa ay ili henan probinsiya ay Judea. Nan nauy ay taku at ammay ya nalintig, ya usa ay cha manman-ud as nan omaliyan nan muntorayan Apo Dios. Uray mu usa hiya ay membron nan Sanhedrin, chaana inyafud nan enkeddeng ya enat nan kakadwana kan Jesus. 
LUK.23.52	Inmuy hiya kan Pilato, at chinmawat as pammarufus ay arauna nan achor Jesus. 
LUK.23.53	As nan naeksopan nan achor Jesus as nan koros, penotepotana as am-ammay ay lopot, ya uyna inlufok as nan chaan naos-osar ay lufok ay natuktukan ay chupras. 
LUK.23.54	As nan hana ay urkiw at urkiw ay Munsakianaan chi Judio, ya kiayud nunlapu nan Urkiw ay Mun-iblayan.
LUK.23.55	Nan fianafiai ay inmun-unud kan Jesus ay nurpu ad Galilea at nakiuycha kan Jose. Inilacha nan lufok ya nan enat nan achor Jesus ay naesaad. 
LUK.23.56	Kun pay narpas, kenmatamcha. Angkiay ensakianacha nan lana ya fiangfiangru ay ipuuycha as nan achor Jesus. As nan Urkiw ay Mun-iblayan, nun-iblaycha ay maiyunud as nan filfilin nan Lintig.
LUK.24.1	As nan wi-ewi-et nan Chumingku, inmuy nan chiyuycha fianafiai as nan lufok Jesus. Entatakincha nan ensakianacha ay fiangfiangru. 
LUK.24.2	As nan inumchanancha as nan lufok, ininchanancha ay nauulin at nan fiatu ay naetatangub as nan chiyuy lufok. 
LUK.24.3	Ngem kuncha pay sinungkop, maid ininchanancha as achor Jesus. 
LUK.24.4	As nan chacha masmaschaawan as nan inilacha, kalina at ya naketatakchug as nan sag-uncha nan chuwa ay lanaraki ay nangafiachu as mun-aliling. 
LUK.24.5	Kiapú as nan nunsidla ay ugyatcha, nunlukfubcha, ngem kenalen nan chuwa ay lanaraki kan chicha, “Adchi t'uyyu anapun chi matataku as nan kawad-an chi nunkatuy? 
LUK.24.6	Maid hiya hena. Nataku hiya manipud as nan utúy. Numnumunyu nan kenalina kan chakayu as nan kawad-ana ad Galilea 
LUK.24.7	ay nan Naepadtu ay Anak chi Taku at masapor maipurang as nan fumafiasor ay tataku ta maelansa as nan koros, ya as nan maekatlu ay urkiw at mataku challu manipud as nan utúy.” 
LUK.24.8	Angkiay ya nanumnum nan fianafiai nan infiakian Jesus.
LUK.24.9	Kuncha pay nunfiangad ay nurpu as nan lufok, uycha enpachamag chaná am-in as nan hinpuru ya usa ay disipulus ya as nan am-in ay tapina pay ay kakadwacha. 
LUK.24.10	Chatona nan fianafiai ay uy nangifiakia as na as nan apostoles: hi Maria Magdalena, hi Juana, ya hi Maria ay enan Santiago, ya tapina pay ay fianafiai ay kakadwacha. 
LUK.24.11	Ngem ka-anan nan apostoles un kun lawá ap-apat nan kenalicha, ya chaancha enafurot chicha. 
LUK.24.12	Ngem uray mu hiyasa, naligwat hi Pedro, ya tenmagtag ay inmuy as nan lufok Jesus. As nan inumchanana, nunyongyong ay nangiting-i ad chur-um, ya kun yangkiay nan naelekfot kan Jesus nan inilana. Angkiay kenmatam hiya ay cha masmaschaaw as nan enommat.
LUK.24.13	As nan hiyasa challu ay urkiw, cha manad-aran nan chuwa ay disipulus Jesus henan usa ay fiabruy ay makali un Emaus ay uy at umuy as hinpuru ya usa ay kilometro nan kaachawwina ad Jerusalem. 
LUK.24.14	Chacha ap-apatun nan am-in ay enom-ommat. 
LUK.24.15	Kuncha pay cha mun-ap-apat, naesnop hi Jesus ya nakitun-ud kan chicha. 
LUK.24.16	Inilacha hiya, ngem chaancha naparufusan ay mangematon kan hiya. 
LUK.24.17	Senarudsud Jesus kan chicha, “
LUK.24.17	Entakchugcha ay kun ngumunguyus. 
LUK.24.18	Angkiay ya tinumfor nan usa ay nan ngachana at Cleofas, “Anuy he-a yangkiay chi mangili ad Jerusalem as achi nangammu as nan enom-ommat as nan nauycha inmuy ay urkiw?”
LUK.24.19	Senarudsud Jesus, “
LUK.24.19	Tinumforcha, “Nan maepangkep as nan enommat kan Jesus ay i-Nazaret. Hi tona ay taku at usa ay pomapadtu, ya infilang Apo Dios ya nan am-in ay tataku hiya as wachay pannakafialina ay mun-isuru ya mangekaman as nakaskaschaaw. 
LUK.24.20	Nan anap-apon chi papachi takú ya nan muntotoray kan chitaku at inpurangcha hiya ay makeddengan ay matuy, ya enpaelansacha as nan koros. 
LUK.24.21	Namnamaunmi ay hiya pay koma nan mangesarakan kan chitaku ay kianak Israel. Fiakun yangkiay sa, nauy maekatlu ay urkiw ad wani nunlapu as nan enommatana. 
LUK.24.22	Nan usa pay at nan tapina ay fianafiai ay kakadwami at infiakiachay naschaawanmi. Inmuycha as nan lufokna as nan wi-ewi-et, 
LUK.24.23	ngem maid kanu ininchanancha as achorna. Nunfiangadcha ay nangifiakia un wacha kanu nan nunpaila ay angheles ay nangali kan chicha un nataku hiya manipud as nan utúy. 
LUK.24.24	Angkiay ya wachacha nan tapina ay kakadwami ay inmuy as nan lufok Jesus, at ininchanancha ay tit-iwa nan kenalen nan fianafiai, ngem chaancha challu inila hiya.”
LUK.24.25	Kenalen Jesus kan chicha, “
LUK.24.26	” 
LUK.24.27	As nan hiyachi, manipud as nan chiyuycha liblon Moises inkiana as nan insurat nan am-in ay pomapadtu, enpakaawatna kan chicha nan am-in ay naisurat as nan Kalen Apo Dios maepangkep kan hiya.
LUK.24.28	Kuncha pay cha maesnop henan fiabruy ay ay-ayancha, enpadlaw Jesus ay kaman achawwi pay nan ay-ayana, 
LUK.24.29	ngem enpakudcha hiya, ya kanancha, “Kakunka chumawus kan chakami, tay makiayud at met ya kiayud maschum.” Isunga chinmawus hiya kan chicha.
LUK.24.30	Kun pay tenmokor hi Jesus ay makekan kan chicha, enarana nan tenapay ya benendisyonana. Angkiay ya pinutput-ingna, ya inchatna kan chicha. 
LUK.24.31	Kalina at ya kaman nunmallag chi mangiilacha kan Jesus, at enmatonancha hiya, ngem namaid at. 
LUK.24.32	Kenalicha as nan tunggal usa, “Isunga naragsakta payat as nan naketakiatforana kan chita as nan korsa ya as nan nangepakaawatana kan chita as nan naisurat as nan Kalen Apo Dios.”
LUK.24.33	Nalannigwatcha ya nunfiangadcha ad Jerusalem. Ininchanancha nan hinpuru ya usa ay disipulus ay naaamong patí nan tapina pay ay kakadwacha 
LUK.24.34	ay cha mangarkali un, “Tit-iwa ay nataku nan Apo manipud as nan utúy! Nunpaila kan Simon!” 
LUK.24.35	Angkiay ya infiakian nan chuwa nan enom-ommat kan chicha as nan kawad-ancha as nan korsa, ya nan nangematonancha as nan Apo as nan namutput-ingana as nan tenapay.
LUK.24.36	Kun pay cha ifiagfiakian nan chuwa na kan chicha, kalina at ya naketatakchug hi Jesus kan chicha, ya kanana, “
LUK.24.37	Nakudnorcha ya inmugyatcha as solet. Ka-anancha mu uy at lawá anennet nan inilacha. 
LUK.24.38	Ngem kenalina kan chicha, “
LUK.24.39	”
LUK.24.40	As nan nangaliyana as na, enpailana kan chicha nan limana ya nan sukina. 
LUK.24.41	Kuncha pay kutug ay achi omafurot, chacha maragragsakan ya masmaschaaw as solet, senarudsudna, “
LUK.24.42	Inchatcha nan usa ay fiangos ay chinawis. 
LUK.24.43	Enarana ya kenana as nan sangwanancha.
LUK.24.44	Kun pay narpas hi Jesus ay nangan, kenalina kan chicha, “
LUK.24.45	Angkiay ya lenawlawakiana nan numnumcha ta maawatancha nan naisurat as nan Kalen Apo Dios. 
LUK.24.46	Kenalina kan chicha, “
LUK.24.50	Angkiay ya enpangon Jesus nan disipulusna ay umuy as nan fiakun sakop nan siyudad. Kuncha pay inumchan ad Betania, tenag-uyna nan limana, ya benendisyonana chicha. 
LUK.24.51	As nan chana mangbendisyonan kan chicha, tenaynana chicha, ya naetag-uy hiya ad chaya. 
LUK.24.52	Nunchaychayawcha kan hiya, angkiay nunfiangadcha ad Jerusalem ay cha munlagragsak. 
LUK.24.53	Nunlapu as nan hiyachi ay timpu, kanayon ay wachacha as nan Templo ay munchaychayaw kan Apo Dios.
JHN.1.1	As nan laplapuna, sakbay mafiayang nan luta, nawawacha at nan Kali.
JHN.1.2	Hi tona ay Kali at kadwan Apo Dios nunlapu ad maliyam. 
JHN.1.3	Nan am-in ay wacha at finayang Apo Dios babaen kan hiya, ya mu achi babaen kan hiya at maid usa as nafiayang.
JHN.1.4	Hiya nan kurpuwan chi fiyag, ya nan nauy ay fiyag at hiyana nan silaw ay manilaw as nan numnum nan tataku. 
JHN.1.5	Nan silaw at silawana nan ngongot, ya achi poros amisun nan ngongot nan silaw.
JHN.1.6	Wacha nan usa ay taku ay finaor Apo Dios ay nan ngachana at Juan.
JHN.1.7	Enmali ay uy mangepaneknek as nan maepangkep as nan nauy silaw ta am-in ay tataku at omafurotcha koma babaen kan hiya. 
JHN.1.8	Hi Juan ay mismu at fiakun hiya nan chiyuy silaw. Enmali yangkiay ay uy mangepaneknek as nan maepangkep as nan chiyuy silaw.
JHN.1.9	Nan tit-iwa ay silaw ay manilaw as nan numnum nan am-in ay tataku at cha omali asna's luta. 
JHN.1.10	Asna's luta nan nawawad-anana, ya am-in ay wacha hena at finayang Apo Dios babaen kan hiya. Uray mu hiyasa, nan tataku at kuncha challu chaan enmatonan hiya. 
JHN.1.11	Enmali henan mismu ay ilina, ngem chaan enawat nan kakailiyana hiya. 
JHN.1.12	Ngem am-in ay nang-awat ya enmafurot kan hiya at chicha nan nangichatana as kalibfengan ay munfialin as an-ak Apo Dios. 
JHN.1.13	Nan kiapón nan nunfialinancha as an-ak Apo Dios at fiakun nan naiyankancha as nan chanakchakorcha winnu fiakun kiapú as nan pangkep nan hen-asawa ay mawad-an as anak, ngem kun at babaen as nan pannakafialin Apo Dios.
JHN.1.14	Nan Kali at nunfialin as taku ya nakiili kan chakami. Naila nan grasyana as nan am-in ay en-enatna, ya am-in nan infiagfiakiana at tit-iwa. Inilami nan kaichayawana ay inchat Amana kan hiya ay us-usa ay Anakna.
JHN.1.15	Hi Juan at penaneknekana nan maepangkep as nan hana Kali. Infukiawna, “Hi tona nan infiakiak kan chakayu un, ‘Nan cha umunud kan ha-un at am-amud mu ha-un, tay nawawacha hiya sakbay maiyanakak.’ ” 
JHN.1.16	Kiapú as nan ongoongor ay sug-angna, kanayon ay somabsafi nan bendisyona kan chitaku am-in. 
JHN.1.17	Tay nan Lintig at enpakaammon Apo Dios babaen kan Moises, ngem nan grasyana ya nan kenatit-iwa maepangkep kan hiya at enpakaammuna babaen kan Jesu Cristo. 
JHN.1.18	Maid poros nakaila kan Apo Dios mu achi yangkiay nan us-usa ay Anakna ay Dios mismu ay kadwan Amana. Hiya nan nangepakaammu as nan maepangkep kan Amana as nan tataku.
JHN.1.19	Hiyana nan penaneknekan Juan as nan papachi ya as nan chiyuycha Levita ay finaor nan anap-apon chi Judio ad Jerusalem ay uy manarudsud kan Juan mu anan ngachana. 
JHN.1.20	Chaan ensaot Juan, ngem kuna at inpudnu kan chicha un, “Fiakun ha-un nan Cristo.”
JHN.1.21	Senarudsudcha, “Ngachanmu ngay ngarud? Ay he-a hi Elias?”
JHN.1.21	“Fiakun,” ensongfiat Juan.
JHN.1.21	“Ay he-a nan Pomapadtu ay sasad-unmi?”
JHN.1.21	“Fiakun,” ensongfiatna.
JHN.1.22	Kenalicha kan Juan, “Ayu man paat ifiakiam mu anan ngachanmu. Masapor wachay esongfiatmi as nan chiyuycha nangifiaor kan chakami. Anan ngachanmu tit-iwa?”
JHN.1.23	Tinumfor hi Juan babaen as nan nangifiag-ana as nan enpadton Isaias, “Ha-un nan kalen nan cha mangifugfukiaw henan disyerto un, ‘Munlutkunyu nan ayun nan Apo.’ ”
JHN.1.24	Angkiay ya nan chiyuycha finaor nan chiyuycha Fariseo at senarudsudcha kan Juan, 
JHN.1.25	“Adchi ngay t'uyka munfunyag mu fiakun he-a nan Cristo winnu hi Elias winnu nan chiyuy pomapadtu?”
JHN.1.26	Tinumfor hi Juan, “Funyakiak chakayu as chanum, ngem wacha kan chakayu nan achiyu am-ammu. 
JHN.1.27	Hiya nan cha umunud kan ha-un, ya achiyak poros maekari ay mangfokat as kiarot nan sapatosna.” 
JHN.1.28	Enommat chaná am-in ad Betania as apét fomokfoknakian nan urkiw as nan usa ay chumang nan wawwang ay Jordan ay cha munfunfunyakian Juan.
JHN.1.29	As nan kafikiatana, inilan Juan hi Jesus ay cha omali kan hiya, ya kanana, “Nauy nan Korderon Apo Dios ay mangaan as fiasfiasor nan katakutaku! 
JHN.1.30	Hi tona nan infiakiak ay cha umunud kan ha-un ay am-amud mu ha-un, tay nawawacha hiya sakbay maiyanakak. 
JHN.1.31	Uray ha-un at achek us am-ammu hiya ad kasin, ngem enmaliyak ay mangfunyag as nan tataku as chanum ta hiyasa nan maepakaammuwana kan chakayu ay kianak Israel.” 
JHN.1.32	Nauy nan pammaneknek Juan, “Inilak nan Espiritu Santo ay kenomsop ay kaman karopati ay nurpu ad chaya ya nayaschi kan hiya. 
JHN.1.33	Ha-un mismu at achek am-ammu hiya. Ngem hi Apo Dios ay nangifiaor kan ha-un ay mangfunyag as nan tataku as chanum at kenalina kan ha-un, ‘Nan ilaumtu ay komsopan ya mayayaschiyan nan Espiritu Santo at hiya nan mangfunyagtu as nan tataku as Espiritu Santo.’ 
JHN.1.34	Inilak sa tit-iwa, at paneknekak kan chakayu ay hiya nan Anak Apo Dios.”
JHN.1.35	As nan kafikiatana, nangatakchug hid-i kasin cha Juan ya nan chuwa ay disipulusna. 
JHN.1.36	Kun pay inilan Juan hi Jesus ay cha mar-os, kenalina, “Chiyuy nan Korderon Apo Dios!” 
JHN.1.37	Chinngor nan chiyuycha chuwa ay disipulus Juan nan kenalina, at inmunudcha kan Jesus. 
JHN.1.38	Nunsakong hi Jesus, ya inilana chicha ay cha umunud kan hiya. Angkiay senarudsudna kan chicha, “
JHN.1.38	“Rabbi, ay chaud man paat nan mamagyanam?” Ensongfiatcha. (Nan laychun ay kanan nan Rabbi at “Misturu”).
JHN.1.39	Kenalen us Jesus, “
JHN.1.40	Hi Andres ay sunúd Simon Pedro at hiya nan usa as nan chiyuycha chuwa ay nanngor as nan infiakian Juan ya nakiuy kan Jesus.
JHN.1.41	Uy enanap Andres omona hi Simon ay sunúdna. Kuna pay inila, kenalina kan hiya, “Nad-ananmi nan Mesias.” (Nan laychun ay kanan nan Mesias at Cristo.) 
JHN.1.42	Angkiay ya intun-udna hi Simon kan Jesus.
JHN.1.42	Entoongan Jesus hi Simon, ya kanana, “
JHN.1.43	As nan kafikiatana, ninumnum Jesus ay umuy ad Galilea. Ininchanana hi Felipe, ya kanana kan hiya, “
JHN.1.44	Hi Felipe at i-Betsaida ay kailiyan cha Andres kan Pedro.
JHN.1.45	Naanapan Felipe hi Natanael, ya infiakiana kan hiya, “Ininchananmi nan chiyuy taku ay insurat Moises as nan liblon chi Lintig ya nan insurat us nan chiyuycha pomapadtu. Hiya hi Jesus ay i-Nazaret ay potot Jose.”
JHN.1.46	Angkiay ya kenalen Natanael kan hiya, “Ay wacha ngun paat chi ammay ay murpu ad Nazaret?”
JHN.1.46	“Aka at kayya ta ilaum!” kenalen Felipe.
JHN.1.47	Kun pay inilan Jesus hi Natanael ay cha omali kan hiya, infiakiana nan maepangkep kan hiya, “
JHN.1.48	As nan hiyachi, kenalen Natanael kan Jesus, “Anan nangammuwam kan ha-un?”
JHN.1.48	Tinumfor hi Jesus, “
JHN.1.49	Tinumfor hi Natanael, “Misturu, he-a payat nan Anak Apo Dios! He-a nan Aren nan Israel!”
JHN.1.50	Tinumfor hi Jesus, “
JHN.1.51	Angkiay ya kenalen Jesus kan chicha, “
JHN.2.1	Kun pay inmuy chi chuwa ay urkiw, wacha nan chuyas henan ili ad Cana henan probinsiya ay Galilea. Wacha hid-i hi enan Jesus. 
JHN.2.2	Naayakian us cha Jesus ya nan disipulusna ay makichuyas. 
JHN.2.3	Kun pay nam-in nan fiayas, kenalen enan Jesus kan hiya, “Nam-in at nan fiayascha.”
JHN.2.4	Kenalen Jesus kan Maria, “
JHN.2.5	Kenalen enana as nan chiyuycha mafiabfiaor, “Atunyu nan uray ngachana ay ifiakiana kan chakayu.”
JHN.2.6	Wacha hid-i nan nunkaesaad ay unum ay anad-acha-an ay panannu ay naamma as fiatu ay natotorwan as ifuru, tay wacha nan iniili ay ukialen chi Judio maepangkep as nan ustu ay atun ay munfuru.
JHN.2.7	Kenalen Jesus as nan chiyuycha mafiabfiaor, “
JHN.2.8	Angkiay ya kenalina kan chicha, “
JHN.2.9	Angkiay ya tenamtaman nan mangenongnongnong as nan chuyas nan chanum ay nunfialin as fiayas. Achina ammu nan nurpuwana, ngem nan chiyuycha mafiabfiaor ay penmaok as nan chanum at chicha nan nangammu. Isunga enayakiana nan chiyuy chinmuyas ay laraki, 
JHN.2.10	ya kanana kan hiya, “Nan iniili ay ukialen nan tataku at epaikopcha omon-ona nan am-ammay ay fiayas, ya kun pay chakus enpapas nan mangili ay inmikop, ichatcha nan achi am-ammay ay fiayas. Ngem he-a at intupugmu nan am-ammay ay fiayas inkiana ad wani.”
JHN.2.11	Nan enat Jesus ad Cana ad Galilea at hiyana nan enmon-ona ay nakaskaschaaw ay sinyar ay nangepail-ana as nan kaichayawana, at kaskasin enmafurot nan disipulusna kan hiya. 
JHN.2.12	As nan narpasan nan chuyas, inmuy hi Jesus ad Capernaum ay kadwana cha enana, nan susnúdna, ya nan disipulusna. Hid-i nan nagyanancha as kaat ay urkiw.
JHN.2.13	As nan kiayud umchanan nan Fiastan chi Judio ay makali un Munlausan, enmabrat cha Jesus ad Jerusalem. 
JHN.2.14	Sinungkop hiya as Templo, ya ininchanana nan tataku ay cha mun-el-elaku as fiaka, karnero ya karopati,
JHN.2.15	Isunga nun-amma hi Jesus as saplet ay tali, ya enpak-akna manipud as nan Templo nan am-in ay mun-el-elaku, ya enafugna nan karnerocha ya fiakacha. Inwakletna us nan siping nan chiyuycha munsoksokat as siping, ya enlokabfuna nan lamesaancha. 
JHN.2.16	Kenalina as nan chiyuycha mun-el-elaku as karopati, “
JHN.2.17	Nanumnum nan disipulusna nan naisurat as nan Kalen Apo Dios ay kanana, “Nan mangesasaketak as nan afongmu at hiya nan ekatuyku.”
JHN.2.18	Kiapú as nan enat Jesus, kenalen nan anap-apon chi Judio kan hiya, “Ngachana nan nakaskaschaaw ay sinyar ay atum as mangepail-am kan chakami ay wachay kalibfengam ay mangekaman as nan nauycha?”
JHN.2.19	Tinumfor hi Jesus kan chicha, “
JHN.2.20	Angkiay ya kenalen nan chiyuycha Judio kan hiya, “Opat puru ya unum ay tawwun nan nakiaufian nan nauy ay Templo, ya kanam un kun turu ay urkiw chi mangkiaufiam kasin?” 
JHN.2.21	Ngem nan templo ay kenalen Jesus at hiya nan achorna. 
JHN.2.22	Isunga as nan natakuwan Jesus manipud as nan utúy, ninumnum nan disipulusna nan nauy kenalina. Angkiay ya enafurotcha nan naisurat as nan Kalen Apo Dios ya nan infiakian Jesus.
JHN.2.23	As nan nakifiastaan Jesus ad Jerusalem, ongorcha nan enmafurot kan hiya as nan nangil-ancha as nan chiyuycha nakaskaschaaw ay sinyar ay enatna. 
JHN.2.24	Ngem chaana entalek nan achorna kan chicha, tay aammuna nan numnum nan tataku. 
JHN.2.25	Achi kis-an wacha nan mangepaneknek kan hiya as nan maepangkep kan chicha, tay hiya mismu at aammuna nan wacha as numnumcha.
JHN.3.1	Wacha nan usa ay membron nan bunggoy chi Fariseo ay nan ngachana at Nicodemo ay ap-apon chi Judio. 
JHN.3.2	As nan henlafi, inmuy hiya kan Jesus, ya kanana, “Misturu, ammumi ay usaka ay mun-isursuru ay infiaor Apo Dios, tay maid makaekaman as nan nauycha nakaskaschaaw ay sinyar ay cham at-atun sukúd wacha hi Apo Dios kan hiya.”
JHN.3.3	Tinumfor hi Jesus kan hiya, “
JHN.3.4	Senarudsud Nicodemo kan hiya, “Anuy man atun nan taku ay kasin maiyanak mu chakus at narakay? Ay kun mafialin ay kasin sungkop as nan puton enana ta maipidwa ay maiyanak? Achi met!”
JHN.3.5	Tinumfor hi Jesus, “
JHN.3.8	”
JHN.3.9	Senarudsud kasin Nicodemo kan hiya, “Anan atun man tona ay ommat?”
JHN.3.10	“
JHN.3.15	”
JHN.3.16	“
JHN.3.19	“
JHN.3.21	”
JHN.3.22	As nan narpasan tona, inmuy hi Jesus ya nan disipulusna henan probinsiya ay Judea. Hid-i nan nayaschiyancha ay nunfunfunyag.
JHN.3.23	Hi Juan us at cha munfunfunyag ad Enon ay sag-un nan Salim, tay ongor chi chanum hid-i. Chacha um-umuy nan tataku kan hiya, ya chana funfunyakian chicha. 
JHN.3.24	As nan hiyachi, chaan pay naifiarud hi Juan.
JHN.3.25	Nunlapuy sososek nan disipulus Juan ya nan usa ay Judio maepangkep as nan panagcharos.
JHN.3.26	Isunga inmuycha kan Juan, at kenalicha, “Misturu, ay manumnummu nan chiyuy taku ay kadwam as nan usa ay chumang nan wawwang ay Jordan, nan chiyuy pay challu penaneknekam kan chakami? Cha munfunfunyag hiya, ya chacha um-umuy am-in chi tataku kan hiya.”
JHN.3.27	Tinumfor hi Juan, “Maid saad as nan fiyag ay maawat chi taku sukúd ichat Apo Dios kan hiya. 
JHN.3.28	Chakayu ay mismu nan mangepaneknek as nan kenalek un, ‘Fiakun ha-un nan Cristo, ngem infiaorak ay mangon-ona mu hiya.’ 
JHN.3.29	Nan nauy at maepachong as nan chuyas nan chumuyas ay laraki ya nan chumuyas ay fiafiai. Nan kiayyum nan chumuyas ay laraki at hiya nan mangenongnong as nan sakiana as nan chuyas. Munsusuud ya chumngor hiya as nan munfiangchan nan chumuyas ay laraki. Kuna pay chungrun nan kalina, ongor nan lagsakna. Assesantu nan lagsakku, tay ha-un nan maepachong as nan hana kiayyum. 
JHN.3.30	Masapor omam-amud hiya, ya ha-un at masapor omap-apuchak.”
JHN.3.31	Nan omali ay murpu as ngatu at nangatngatu as nan am-in. Nan chiyuy murpu asna's luta at kun challu asna's luta nan kawad-ana, ya nan chana apaapatun at maepangkep yangkiay as nan wacha asna's luta. Ngem nan omali ay murpu ad chaya at hiya nan nangatngatu as nan am-in. 
JHN.3.32	Paneknekana nan inilana ya chinngorna, ngem kun maid omafurot as nan pammaneknekna. 
JHN.3.33	Nan taku ay omafurot as nan pammaneknekna at penaneknekana ay tit-iwa nan kenalen Apo Dios. 
JHN.3.34	Tay nan infiaor Apo Dios at ifiakiana nan kalen Apo Dios, tay inchat Apo Dios kan hiya nan am-in ay pannakafialin nan Espirituna. 
JHN.3.35	Nan Dios Ama at laylaychuna nan Anakna, ya am-in ay ka-ichin at inpurangna kan hiya. 
JHN.3.36	Nan uray ngachana ay omafurot as nan Anakna at mawad-an as fiyag ay maid patingkiana. Ngem nan achi mangtongpar as nan Anakna at achi mawad-an as fiyag, ngem kun at mawad-an as nan ichusan Apo Dios in-inkiana.
JHN.4.1	Chinngor nan chiyuycha Fariseo ay ong-ongor chi cha aw-awisun ya funfunyakian Jesus as papasorotna mu hi Juan. 
JHN.4.2	Ngem nan kenatit-iwana at chaan nunfunfunyag hi Jesus mismu, ngem kun at nan disipulusna yangkiay.
JHN.4.3	Kun pay naammuwan Jesus ay chinngor nan chiyuycha Fariseo na, nak-ak hiya ad Judea ya nunfiangad ad Galilea. 
JHN.4.4	As nan hiyachi, masapor mar-os hiya henan probinsiya ay Samaria. 
JHN.4.5	Inumchan cha Jesus ad Sicar ay usa ay ili ad Samaria ay achi achawwi henan luta ay enpatawid Jacob kan Jose ay pototna.
JHN.4.6	Wacha hid-i nan fufun chin Jacob. Kun pay nabray hi Jesus ay nanarcharan, tenmokor hiya as nan fianang nan fufun. Kiayud munkiawa as nan hiyachi. 
JHN.4.7	As nan hiyachi, enmali ay somakchu nan usa ay fiafiai ay i-Samaria. Kenalen Jesus kan hiya, “
JHN.4.8	Kun pay nan disipulus Jesus at inmuycha henan ili ta uycha lomaku as kanuncha.
JHN.4.9	“Ha? Kunka cha Judio ya, anuyka kumchaw as ikopum kan ha-un ay fiafiai ay i-Samaria?” ensongfiat nan fiafiai. (Tay nan chiyuycha Judio at achicha makekadkadwa as nan chiyuycha i-Samaria.)
JHN.4.10	Tinumfor hi Jesus kan hiya, “
JHN.4.11	Kenalen nan fiafiai, “Sir, maid met kayong esakchom, ya nan fufun at narosong. Ay chaud ngay nan omor-am as nan hana chanum ay umichat as fiyag? 
JHN.4.12	Ay am-amudka mu nan kaap-uwan takú ay chin Jacob? Hiya met nan nangepatawid as nan nauy fufun kan chakami, ya hena us nan inmig-ikopana patí nan an-akna ya nan chiyuycha tarakoncha.”
JHN.4.13	Kenalen Jesus, “
JHN.4.14	”
JHN.4.15	Chinawat nan fiafiai kan hiya, “Sir, ichatmu pay na ngarud ay chanum kan ha-un ta achiyak kasin masmasketan, winnu omar-ali hena ay somakchu.”
JHN.4.16	Kenalen Jesus kan hiya, “
JHN.4.17	“Maid met kang asawak,” ensongfiat nan fiafiai.
JHN.4.17	“
JHN.4.18	“
JHN.4.19	“Sir,” kenalen nan fiafiai, “madlawku ay usaka payat ay pomapadtu! 
JHN.4.20	Nan kaap-uwanmi met ay i-Samaria at henan nauy ay chuntug nan nunchaychayawancha kan Apo Dios, ngem chakayu ay Judio at kananyu un masapor ad Jerusalem nan munchaychayawan takú.”
JHN.4.21	“
JHN.4.24	” Hiyana nan kenalen Jesus.
JHN.4.25	Kenalen nan fiafiai kan hiya, “Ammok ay omalintu nan Mesias ay makali un Cristo. As nan omaliyana, epakaammunantu kan chitaku nan am-in.”
JHN.4.26	Tinumfor hi Jesus, “
