PSA.2.1	Ango solian da no Dios no nasiones aya. Ango paro o aro a planohen da a abo so kayayawan. 
MAT.13.24	Pinawnonong pa ni Jesus o akmaya sia parabola. “No kaparin no paypatolan no hanyit am akma so asa ka tawo a naymoha so trigo. 
MAT.13.25	Asna do mahep do kapakaycheh darana no tawotawo am nangay o kakontran na a manokos so tamek. 
MAT.13.26	Asna do nakatovo no trigo ori am nachirayay a tomovo o tamek, 
MAT.13.27	as no pachirawatan na sirawri no naymoha awri am nangay sa dia as kavata da sia, ‘Apohen, do vata namen as trigo o tinokos mori asna dino paro pinakayapoan no aro ori a tamek a machisagel.’ 
MAT.13.28	‘No kakontran ta o minarin sia ya,’ kwana no naymoha awri. Vinata da no pachirawatan na, ‘Ichakto mo an iyangay namen a botboten o tamek saya?’ 
MAT.13.29	‘Omba,’ kwana no naymoha awri, ‘ta tarek a machirayay o trigo do tamek ori an botboten nio sa. 
MAT.13.30	As inolay nio na sa tomovo, ta do panyanien dana anti am vatahen ko anti dira do manyani o kapanma da sia pakarohen o tamek ori as kapaychabedbedbed da sia sosohan. Asna no trigo am nawri o ahapen a onongan.’”
MAT.13.31	Pinawnonong na pa ni Jesus o akmaya sia a parabola. “No kaparin no paypatolan no hanyit am akmay oyod a dekey a votoh a nimoha no asa ka tawo do takey na. 
MAT.13.32	As do nakatovo na nia am nayrakorakoh a kayo a inangayan da no manomanok as kapamarin da dia so otioyan da do yangaw na sa.”
MAT.13.33	Pinawnonong na pa ya ni Jesus dira. “No kaparin no paypatolan no hanyit am akmay libadora a pinasagel no asa ka mavakes do masahen na arina a nia so napaimoay sia atavo.”
MAT.13.34	Atavo o pinawnonong saya ni Jesus dira do tawotawo sirawri am parabola, 
MAT.13.35	a nia so pinakatongtong no vinata no asa ka profeta a akma sia,
MAT.13.35	“Pangononongan ko sa anti so parabola as inanawo ko dira o di pa napanmo a nakayapo pa do nakamaog so mondo.”
MAT.13.36	Chinaroan sa ni Jesus o aro saya tawotawo as kasdep na do asa ka vahay. As nangay sa sia o disipolos na sawri a omahes nia o komapet do parabola ori no trigo kano tamek. 
MAT.13.37	Vatan na sia dira ni Jesus, “No manokos aya so mapia a votoh am no Naytawo aya. 
MAT.13.38	No paytokosan naya am no tawotawo do mondo aya. As no mapia ori a votoh am sira o machangay do paypatolan no Dios. As no tamek sirawri am no machangay di Satanas, 
MAT.13.39	a iya so manokos aya so tamek. No panyanien am do ito araw no kapaysekasekad as no manyani saya am sira o angheles. 
MAT.13.40	As akma so kapoha so tamek ori do apoy am akma pa sawri anchowa o parinyen dira do machangay di Satanas. 
MAT.13.41	Tovoyen sa anti no Naytawo aya o angheles na a omahap sira o tawotawo a manentasion as kanira no atavo a mamariparin so marahet, 
MAT.13.42	as kapoha nira do apoy a dawri so paytanyitanyisan kano paylangetngetan da do mahara a pandidiwan da. 
MAT.13.43	As sira anti o tawotawo no Dios am makakniknin anti o payvadiwan da do paypatolan no Dios a Ama da. Kapiahen nio o kapanngey nio kano kaintindi nio sia.
MAT.13.44	“No paypatolan no hanyit am komparahen ko pa do vohawan a natayo do asa ka takey. Do nakavoya na sia no asa ka tawo am pinirwa na bonbonan as do soyot na am inangay na idakaw o atavo a miniminyan na as kangay na somadiw so takey ori a yanan no vohawan aya.
MAT.13.45	“No paypatolan no hanyit am maparin pa komparahen do asa ka tawo a manta so sadiwen na perlas. 
MAT.13.46	As do nakapakavoya na so perlas a oyod a rakoh so balor am somnavat a maydakaw no atavo a miniminyan na as kangay na somadiw sia o perlas aya.
MAT.13.47	“No paypatolan no hanyit am maparin pa komparahen do asa ka sagap a nakahap so matatarek a klase no among. 
MAT.13.48	As do nakapno na no sagap aya am inangay da no managap ori do kanayan as kapidi da sia hapen o among as kapoha da nia o abo so sinmo. 
MAT.13.49	Akma pa sawri anti o mismo a kaparin na do panawdian sia no tiempo, ta mawara sa anti o angheles a mapaytaywawa sira so tawotawo no Dios as kanira no di na sa tawo, 
MAT.13.50	as kapoha nira anti do apoy a dawri so paytanyitanyisan kano paylangetngetan da do mahara a pandidiwan da.”
MAT.13.51	Ahsan nira ni Jesus, “Ara nio sa maintindi o pinangononongan ko saya?” “Oon,” kon da. 
MAT.13.52	Vatan na sia dira, “An mian o tawo a makapanmo so nakatolas a Chirin no Dios as machinanawo pa do pawnonongen ko saya a komapet do kapaypatol no Dios am maparin na sa nanawhen o kadwan a tawo. Ta akma sia o asa ka tawo a aro so serserbien a adan kano vayo a makaparin sia ipananawo o adan narana mapanmo kano vayo na mapanmo a kakawyoran.”
MAT.13.53	Do nakakavos ni Jesus a mananawo so akma sawri a parabola am komnaro dawri, 
MAT.13.54	as kapayvidi na do pinayrakorakohan na a kavahayan a mananawo do kakpekpehan da. Do nakadngey da sia a mangononong am pinaychaknin da o kasolivan na as kavata da sia, “Yapo paro dino o kasolivan naya kano makakniknin aya ipakapamarin na. 
MAT.13.55	Ta tod paroava sia o manganak no karpentero? As si Maria paroava o ina na? As masinchad ta sa so mapia sa Santiago, si Jose, si Simon kani Judas a kakakteh na. 
MAT.13.56	Aran sira pa o kakakteh na a mavavakes am masinchad ta sa, ta kaydian ta saya. Asna ango iyan no ipakapamarin kano kasolivan na.” 
MAT.13.57	As makayamot dia am pinanganohdan dava sia. Amna vinata ni Jesus dira, “Alit na ya no asa ka profeta, ta mapia o kasincharan sia a katadkan do mismo na kavahayan kano vahay.” 
MAT.13.58	Do kadi daya sincharan sia do kavahayan naya am aro ava o milagro a pinarin na daw.
MAT.14.1	Do tiempo ori kanaw am nadngedngey ni Patol Herodes do Galilea o komapet do pariparinyen sawri ni Jesus. 
MAT.14.2	As vinata na dira do ofisiales na sira, “Si Juan Bawtista ya a minirwa a maviay! Ta tayto sia o makakniknin a ipakapamarin!” 
MAT.14.3	Vinata na ya ni Herodes takwan manam kania am pinakalaboso na si Juan Bawtista do mando ni Herodias a iya so nipohes na kakovot no kakteh na a si Felipe. 
MAT.14.4	Ta si Juan am vinata na di Herodes, “Rakoh o sadan mo do nakakovot mo so kakovot aya no kakteh mo.” 
MAT.14.5	Do nayendes a tiempo am chinita sia ni Herodes a ipadiman amna ichamo na sa o oyod sawri aro a tawotawo a omsinchad di Juan Bawtista aya a asa ka profeta. 
MAT.14.6	Amna do nakapanilibra ni Herodes am tomnada o anak ni Herodias a mavakes a nia so oyod da pinakamia da Herodes kanira no bisita na sira. 
MAT.14.7	As do nakatayoka na tomada am vinata ni Herodes do kanakan aya, “Iyahes mo diaken o aran ango a ichakey mo, ta promisa ko dimo o katoroh ko nia dimo!” 
MAT.14.8	As makayamot di Herodias a minyokoyokod so anak naya am vinata na di Herodes, “No akdawen ko am no oho ni Juan Bawtista do bandiha.” 
MAT.14.9	Oyod na ya chinangsah ni Herodes amna makayamot do promisa nawri do salapan da no aro sawri a tawo am napaoon. 
MAT.14.10	As napaytovoy so omakteb so lagaw ori ni Juan a tori do kalaboso. 
MAT.14.11	As pinangay da o oho naya do bandiha as katoroh da nia do kanakan aya as karawat na sia am inangay na do ina naya a si Herodias. 
MAT.14.12	No karakohan ni Juan am inangay da hapen no disipolos na sawri a ivovon. Do nakatayoka da a omvovon sia am inangay daya ivahey di Jesus.
MAT.14.13	Kadngey sia ya ni Jesus am nayfalowa sa a mangay do asa ka logar a kasirasira na kano disipolos na sa. Amna mapanmo da ya no tawotawo sa do omdivon sawri a kavahayan am minayam sa a omonot di Jesus. 
MAT.14.14	As do nakapakaraya na am navoya na sa o oyod saya aro a tawotawo as oyod na sa chinasi as tinovatova na sira o magaganit.
MAT.14.15	Do kapaypamakoyab naranawri am nangay sa di Jesus o disipolos na sawri a makavata sia dia, “Mahep dana as marayi pa o yanan taya do kavahayan. Dawa mapipia an pawdien mo na sa o tawotawo saya tapian mangay sa manadiw so kanen da.” 
MAT.14.16	Amna vinata ni Jesus dira, “Pakarohen nio sava asna torohan nio sa so kanen da.” 
MAT.14.17	“No voyvoh a mian dia am dadima ka tinapay as kano dadwa ka among,” kon da no disipolos saya. 
MAT.14.18	Vatan sia ni Jesus o kangay da nia dia. 
MAT.14.19	Niyokoyokod sa ni Jesus o tawotawo sirawri do kapaychadisdisna da do kadibobotan ori as kahap sia ni Jesus o dadima aya ka tinapay as kano dadwa ka among as katangay na do hanyit a mamahemahes as kakchikchid na so tinapay saw as katoroh na nia dira do disipolos naw a payatayen da. 
MAT.14.20	Mabsoy sa atavo am nikpeh da no disipolos o panda daw am mian pa o mapno pa do dose ka alat. 
MAT.14.21	As no vidang da no kominan saya am manga dadima sa livo a ka mahahakay a katadkan da no kametdehan kano mavavakes.
MAT.14.22	Nakarahan ya am niyokoyokod sa ni Jesus o disipolos na saya a manma a mayatovang do falowa do katori na pa mapaveavek sira o tawotawo sawri. 
MAT.14.23	Do nakakaro darana am nangay do asa ka tokon a machahoahok as naychatani daw a manda do kamahep naranawri. 
MAT.14.24	Asna no disipolos sawri am tori sa do hovok no biahe dawri as oyod a mabkas kano mayet o salawsaw. 
MAT.14.25	As do malatiat ori am nangay si Jesus dira a mayam do abkas. 
MAT.14.26	As do kavoya da si Jesus no disipolos saya a mayam do abkas ori am oyod sa namo as kapangyaw da a makavata so kaanito no mavoya daya. 
MAT.14.27	Amna nanyeng na vatahen ni Jesus, “Mamo kamoava asna makangdet kamo, ta yaken ya!”
MAT.14.28	Vatan sia ni Pedro, “Apo, an ara sivog o kaimo na am tawagan mo yaken a mangay dimo.” 
MAT.14.29	“Ka dia!” kwana ni Jesus, as gomintin si Pedro do falowa aya as kasitnan na mayam a mangay di Jesus. 
MAT.14.30	Amna do nakavoya na so rarakoh ori a abkas am namo as kasitnan na omned. Nangyaw a makavata sia di Jesus, “Apo, librien mo pa yaken!” 
MAT.14.31	As nanyeng sia pondanan ni Jesus as kavata na sia dia, “Tayto dekey o saray mo. Ango di mo sarayan niaken.” 
MAT.14.32	Kasakay da do falowa ori am nyeng a mangheteng. 
MAT.14.33	As sira o mian do falowa ori am nidaday da sia a makavata so, “Sincharan namen o kasomnivog na imo no Manganak aya no Dios.”
MAT.14.34	Do nakapayatovang da am nakaraya sa do Genesaret. 
MAT.14.35	As do nakasinchad da si Jesus no tawotawo sawri daw am nyeng da pamahevahey do omdivon saw a kavahayan as inangay da sa di Jesus o atavo sa a magaganit. 
MAT.14.36	As no pinachisiasi da di Jesus am aran no katodo da pa sia no magaganit sirawri o payis no laylay na, as natova sa atavo o tomnodo sia.
MAT.15.1	Mian sa o Fariseo kano eskriba a yapo do Jerusalem a nangay di Jesus a makavata sia, 
MAT.15.2	“Ango pasadan da sia no disipolos mo saya o onotan ta sa Judeo do komwan do kapavanaw an manam a koman.” 
MAT.15.3	Atbayan sira ni Jesus, “Onas na ango pasadan nio so mando no Dios as kanawri no onotan nio o chinaydadakayan da sia no apoapo nio sira. 
MAT.15.4	Ta no vatahen no Dios am, ‘Torohan mo so anib kano onor o ama mo kano ina mo,’ as kano vatahen na pa ta, ‘An sino di omanib so ama na kano ina na am logar a dimanen.’ 
MAT.15.5	Amna no pananawan nio am no kaparin sia tadichokoran no kamanganakan o anongen da do inyapoan da an itoroh da do Dios o logar daya isidong dira. 
MAT.15.6	Do kanawri no onotan nio o chinaydadakayan nio sia am tinadichokoran nio o Chirin no Dios do komwan do kanib so inyapoan. 
MAT.15.7	Sivog kamo a toman mapia! Oyod o pinatolas ni Isaias kaychowa a komapet dinio do nakavata na sia,
MAT.15.8	‘Akma say oyod o tawotawo saya do chirin da diaken, kwana no Dios, amna do somnivog dira am mavawa sa diaken. 
MAT.15.9	Arava o sinmo no pawnonongen da nia takwan inanawo da o tanyan da pananawan as vatahen da o kapaychirin siay no Dios.’”
MAT.15.10	Tawagan dira ni Jesus o tawotawo sirawri as kavata na sia dira, “Adngeyen nio ya as kaintindi nio sia. 
MAT.15.11	No isovo ava no asa ka tawo o mapakagatos sia, ta no chirin a mehbet do vivi na.”
MAT.15.12	Kwanasaw am nangay sa di Jesus o disipolos na sawri as kavata da sia, “Ara mo mapanmo o kasoli da nia no Fariseo o vinata mori?” 
MAT.15.13	Vatan sia dira ni Jesus, “Inolay nio sa! No atavo a dia pinasitnan no Ama ko am mararayaw. 
MAT.15.14	Dawa inolay nio sa ta mavota sa. As an no mavota o mapawnot so kapalit na mavota am mayrapas sa anti ya magagtos.”
MAT.15.15	Vatan sia ni Pedro, “Ivahey mo pa diamen o inmonmoan no parabola aya.” 
MAT.15.16	Amna vinata ni Jesus, “Akma kamo pa sira so kadwan a di makaintindi so vatahen ko saya? 
MAT.15.17	Mapanmo nio paroava ta no isovo no tawo am mangay do vodek na as kahbet na do kwanasaw? 
MAT.15.18	Pero no mehbet a chirin do vivi no tawo am yapo do aktokto na a nia so ipakagatos na. 
MAT.15.19	Takwan yapo do pinangtoktoan no tawo o matatarek a marahet a chintokto a akma so kapandindiman, kapangadwan, malalapos a parinyen, kapanakanakaw, kapaydaday as kano kapaychirichirin so icharahet no kapayengay na a tawo. 
MAT.15.20	Niaya sa o ipakagatos aya no tawo. Asna no vatahen daya a kapakagatos no tawo an di manma a mavanaw an koman am oyod ava.”
MAT.15.21	Komnaro si Jesus do logar ori daw as kangay na do kavahayan no Tiro kano Sidon. 
MAT.15.22	As mian o nawara a asa ka mavakes a dia Judeo ta iCanaan a nangay a makavata sia di Jesus, “Apo, tayabo ni David, ichasi mo pa yaken as tovatovahen mo pa o kamanganakan ko a mavakes, ta sindepan no marahet a espirito as oyod a mahara o kapakasiasi na sia.” 
MAT.15.23	Amna nayliliak ava si Jesus, pero naypangay o kapachisiasi no mavakes aya. As nawara sa o disipolos na sawri a makavata sia di Jesus, “Apo, pasavaten mo o mavakes aya, ta manido as kano omononot aya diaten.” 
MAT.15.24	Vatan sia ni Jesus, “Arava o kadwan a chinatovoyan ko an dia voyvoh sira o Israelita a tayto minawaw a akma so kaparin no nabo a karnero.” 
MAT.15.25	Amna nangay a domogod o mavakes aya do salapan na as kavata na sia, “Apo, sidongen mo pa yaken!” 
MAT.15.26	Vatan sia ni Jesus, “Mayanong paro o kahap so kanen da no kametdehan as katoroh nia dira do chito?” 
MAT.15.27	“Oyod ori, mo Apo,” kwana no mavakes aya, “amna an mian o masday a sadit do lamisa am maparin dana itoroh dira do chito.” 
MAT.15.28	Vatan sia ni Jesus do mavakes aya, “Tayto rakoh o saray mo! Marawat mo o akdawen moaya.” As do oras ori am natova o anak nawri.
MAT.15.29	Komnaro daw si Jesus a mayam a nanahan do kanayan ori no Galilea as kangay na do asa ka tokon. Do kayan na a maydisna daw, 
MAT.15.30	am naychawarawara sa o aro a tawo a manangay sia so matatarek sa so didiwen. Mian sa o mapiday, mavota kanira no abo so tachay kan padang kano matatarek pa sa. Inangay da saya do salapan ori ni Jesus as natova saya atavo. 
MAT.15.31	As do nakavoya da sia o makakniknin aya napaparin am oyod sa naychaknin as kasitnan da a omdaday so Dios a Dios da no Israel. Ta makapayliliak dana sa o nono, makayam dana sa o adan a di makayam, makavoya dana sa o adan a mavota as katova da no mapiday kano mian so matatarek a ganit.
MAT.15.32	Tawagan dira ni Jesus o disipolos na sawri as kavata na sia dira, “Tayto ko sa ichasi o tawotawo saya a tatdo dana a karaw a machasa diaken as kabo dana no kanen da. As an pasavaten ko sa am tarek sa di makarapit do kavahayan da do kapteng da.” 
MAT.15.33	Vatan da sia no disipolos na sawri, “Dino panghapan ta do takey aya so ipakan ta siraya.” 
MAT.15.34	Vatan sia ni Jesus, “Pira o tinapay nio.” “Tayto o papito ka tinapay kano mayhahaw a dedekey a among,” kon da. 
MAT.15.35	Vinata ni Jesus o kapaychadisdisna da no tawotawo sirawri, 
MAT.15.36	as kahap na sia o tinapay saw kano dedekey a among as kapachahoahok na a mamahemahes do Dios as kakchikchid na sia as katoroh na nia dira do disipolos nawri a payatayen dira do tawotawo sirawri. 
MAT.15.37	Nabsoy sa atavo am mian pa o panda da a makapno pa do papito ka alat. 
MAT.15.38	As sira o kominan aw am apat a livo a katadkan da no kametdehan kano mavavakes sa. 
MAT.15.39	Do katayoka na mapaveavek sira ni Jesus o tawotawo sirawri am somnakay do asa ka falowa a mangwan do logar a machimangket do Magadan.
MAT.16.1	Mian sa o Fariseo kano Saduceo a nangay di Jesus a makey a omhawahaway sia. Chinakey da mamarin so milagro si Jesus a pavoyan na nia o kayapo na do Dios o ipakapamarin na. 
MAT.16.2	Vinata dira ni Jesus, “Maparin nio a mapanmo o manam a kawan as katadkan no inmonmoan no tiempo aya sichangoriaw. Ta an makokoyab as mavoya nio o kaparin no demdem do tohos am vatahen nio, ‘Ah, mapia sawen anti o kawan, ta mavaya o tohos.’ 
MAT.16.3	As an mavevekhas as masari kano mavaya o tohos am vatahen nio, ‘Matimoy ta komwan o tohos.’ Oyod o kaparin nio a makapanmo sia o kawan pero no inmonmoan no tiempo aya sichangoriaw am maintindi nioava. 
MAT.16.4	Voyvoh sira o mararahet so pariparinyen kano tomnadichokod do Dios o mangahes so milagro amna arava o ipavoya dira katadkan no akma so naparin di Jonas kaychowa.” Kavata na sia ya ni Jesus am chinaroan na sa.
MAT.16.5	Kwanasaw do nakapayatovang da do taaw ori no Galilea am nakawayak sa o disipolos sawri a manayvi so tinapay a arawen da. 
MAT.16.6	Vatan sia ni Jesus dira, “Makapatak kamo do libadora da no Fariseo kano Saduceo saya.” 
MAT.16.7	Naintindi dava ya no disipolos saya as vinata da do kadwan dira, “Sigoro no vatan na sia ya am do nakadi taya nanghapan so tinapay.” 
MAT.16.8	Do kapanmo sia ni Jesus o mian do aktokto da am vinata na, “Tayto dekey o saray nio. Ango kavaklan nio nia o kabo no kanen nio. 
MAT.16.9	Tayto kamo paro pa di makaintindi? Chinawayakan nio na paro o dadima ori ka tinapay a nanawob dira do dadima ori a livo ka tawo as kayan pa no aro pa a sobra? 
MAT.16.10	As no papito ori ka tinapay a pinakan ta so apat a livo, aro paro pava a ka alat o panda? 
MAT.16.11	Ara nio paroava maintindi o kadi na kanen no pangononongan koaya? No vatahen koaya am no komapet do libadora daya no Fariseo kano Saduceo!” 
MAT.16.12	Kavata na sia ya ni Jesus am maintindi darana, ta no libadora ori a vatahen ni Jesus am no marahet ori a pananawan da no Fariseo kano Saduceo as no libadora ava a serbien do kapayimoay so tinapay.
MAT.16.13	Kwanasaw am nangay si Jesus do machimangket do kavahayan no Cesarea do Filipos. As do kayan da daw am inahes sa ni Jesus o disipolos naw, “Ango kasincharan sia no tawotawo o Naytawo aya.” 
MAT.16.14	Tinbay da si Jesus, “Vatahen da no kadwan am si Juan Bawtista ka. Sira o kadwan am imo kono si Elias anmana si Jeremias anmana asa ka profeta.” 
MAT.16.15	Minirwa na sa ahsen ni Jesus, “Onas, inio, ango kasincharan nio diaken.” 
MAT.16.16	Itbay ni Simon Pedro a makavata sia, “Imo o Mesias aya a Manganak no maviay a Dios.”
MAT.16.17	Vatan sia ni Jesus, “Simon, a anak ni Juan, mapalak ka. No kakawyoran aya am tinoroh ava ya dimo no tawo, ta yapo ya do Ama ko do hanyit. 
MAT.16.18	Dawa vatahen ko dimo, imo si Pedro as do niaya a bato am patnekan ko so timban
MAT.16.19	As parawaten ko anti dimo o kapanyiwang do paypatolan no hanyit as an ango anti o vadawen mo do tana aya am vadawen anti do hanyit, as alit anti no piahen mo do tana aya am piahen do hanyit.” 
MAT.16.20	Katayoka na a makavata sia ya ni Jesus am nimandoan na sa o disipolos na sawri a di mayvahevahey nia o kaiya no Mesias aya.
MAT.16.21	Nakayapo kanaw am sinitnan ni Jesus a ipapanmo dira do disipolos na sawri o kangay na do Jerusalem a dawri so payparahanan na do pakasisian dira do adngedngeyen sa kano maato sa a papali kano mananawo sa do onotan a tawagan so eskriba. Dimanen da anti amna mirwa a maviay do ichatdo na karaw. 
MAT.16.22	Vatan sia ni Pedro di Jesus do kasirasiran na, “Apo, pavawahen pa no Dios o kaparin na nia! Piahen koava ya a maparin dimo.” 
MAT.16.23	Amna inidit sia ni Jesus as kavata na sia dia, “Satanas, nyeng ka komaro diaken, ta salovalen mo yaken, takwan no mian aya do aktokto mo am yapo ava do Dios, ta yapo do ichakey no tawo.”
MAT.16.24	Vinata ni Jesus dira do disipolos na sawri, “An sino o omonot diaken am tadichokoran narana o tanyan na ichapia as kasitnan na a mayrara so natongdo a kros na as kavidin na omonot diaken. 
MAT.16.25	Ta an sino o komita sia librien o karakohan na am abohen na anti ya as an sino ombo so viay na makayamot diaken am iya anti o somnivog a makarawat so viay. 
MAT.16.26	Ta ango paro o inakyan nia no asa ka tawo an dira na o atavo a mian do mondo aya as kabo na so mismo na pahad. Ta ango paro maparin a paswaden no tawo do viay na. 
MAT.16.27	Mayvidi do tana aya o Naytawo aya a pachirayayan da no angheles kano ipakapamarin no Dios Ama as nawri o katoroh na nia o atavo a vahes no pinariparin no tawotawo. 
MAT.16.28	Vatahen ko dinio ta mian sa dinio o di pa anti diman a manda do kavoya da so kawara no Naytawo aya a maypatol.”
MAT.17.1	Nakarahan o anem a karaw am pinayvan sa ni Jesus sa Pedro kanira no maychakteh ori a sa Santiago kani Juan a tomayara do asa ka makarang a tokon a kasirasiran da. 
MAT.17.2	As chinatadian o katitiban ni Jesus ta komnyay o dangoy na akmay rial no araw as kaoyod na marelak no lamit na. 
MAT.17.3	As navoya da sa Moises kani Elias a machisisirin di Jesus. 
MAT.17.4	Nayliliak si Pedro as kavata na sia di Jesus, “Apo, tayto mapia o kayan taya dia asna mamarin ako dia so mayponged a yanan nio ka da Moises kani Elias.”
MAT.17.5	Do katori na pa mayliliak ni Pedro am mian o oyod a maydak kano komnyay a demdem a omolib sira as kayan no nadngey da liak a makavata sia, “Niaya o ichaddaw ko a Manganak a oyod ko a ipakamia. Adngeyen nio sia.” 
MAT.17.6	Do nakadngey da sia ya am oyod sa namo as domnogod sa a rakoh so kapaychaknin. 
MAT.17.7	Amna tinodo sa ni Jesus as kavata na sia dira, “Mamo kamoava, as maytetnek kamo na.” 
MAT.17.8	Tomangay sa am voyvoh dana si Jesus o navoya da.
MAT.17.9	Do kawsok darana do tokon ori am niyokoyokod sa ni Jesus, “Payvahevahey nioava o navoya nioaya a manda do kapirwa na maviay no Naytawo aya.”
MAT.17.10	Ahsan da nia no disipolos ori di Jesus, “Vatahen da no eskriba saya am manam kano kawara no Mesias am mawara pa si Elias.” 
MAT.17.11	“Oyod ori,” kwana ni Jesus, “ta mawara si Elias a omprepara so atavo. 
MAT.17.12	Amna vatahen ko dinio ta nawara dana si Elias amna sinincharan dava sia ta no nakapakasiasi da sia as akma pa anti saw o kapakasiasi da so Naytawo aya.” 
MAT.17.13	Nyeng da maintindi o ka si Juan Bawtista no pangononongan ori ni Jesus.
MAT.17.14	Makarapit dana sa do yanan daw no aro a tawo am nawara o asa ka mahakay a domogod do salapan ori ni Jesus as kapachisiasi na a makavata sia, 
MAT.17.15	“Apohen, ichasi mo pa o manganak koaya a mian so ganit. Makakabo ya as maymetmet o pandidiwan na ta masanib o kapakakabo na as magagtos do apoy anmana do danom. 
MAT.17.16	As inangay ko na sia dira do disipolos mo saya amna natova dava.” 
MAT.17.17	Vatan sia ni Jesus, “Tayto ko pachimaboan o saray nio as kasadit nio a paynananawhen! Manda paro pa an mango o kapachichasa ko dinio kano kapaynananawo ko dinio. Iyangay nio diaken o metdeh ori.” 
MAT.17.18	Kamando dia ni Jesus o marahet ori a espirito a komaro am nyeng a komaro as nyeng dana mapia o metdeh aw.
MAT.17.19	Kwanasaw do kasirasiran da am inahes da no disipolos sawri di Jesus, “Ango pakayapoan no kadi namen awri a makapakaroan so marahet ori a espirito.” 
MAT.17.20	Tinbay sa ni Jesus, “No pakayapoan na nia am no kadekey aya no saray nio. Vatahen ko dinio ta an mian o saray nio a akma so dekey aya votoh am maparin nio vatahen do tokon aya, ‘Mayadis ka daw,’ as kapayadis na naw. Arava o imposible dinio. [ 
MAT.17.21	Pero no akmaya sia a marahet a espirito am voyvoh o kapachahoahok kano kapay-ayono o ichapakaro sia,” kwana ni Jesus.]
MAT.17.22	As kwanasaw do kayan da masa da Jesus kano disipolos naw do Galilea am vinata ni Jesus, “Paynolayan anti a atetekan no tawotawo o Naytawo aya. 
MAT.17.23	Dimanen da anti sia amna do ichatdo na a karaw am mirwa a maviay.” Oyod da ya chinangsah no disipolos na sawri do nakavata sia ya ni Jesus.
MAT.17.24	Makarapit dana sa Jesus kanira no disipolos na sawri do Capernaum am mian sa o mangolekta so pamagan do templo a nangay di Pedro a omahes nia, “Paparinyen no apohen nioaya o kapamaga na so pamagan do templo?” 
MAT.17.25	“Oon,” kwana ni Pedro. Do kasdep ni Pedro do vahay ori a yanan ni Jesus am inahes ni Jesus sia, “Sino do vata mo mo Simon o mayanong a mamaga so bienes dira do patol do mondo aya, sira o familia da anmana sira o kadwan.” 
MAT.17.26	Tinbay ni Pedro, “Sira o kadwan.” “Dawa,” kwana ni Jesus, “aran di ko na mamaga do pamagan do vahay no Ama ko. 
MAT.17.27	Amna tapian abo mavavata da diaten no tawotawo am mangay ka manayrin do taaw. Ta do vivi no manoma mo a mahap a among am mian anti o kartos a manawob a ipamaga ta. Hapen mo ya as kangay mo a mamaga niaten.”
MAT.18.1	Nangay sa kanaw di Jesus o disipolos na sawri a omahes nia, “Sino o máto dana do paypatolan no hanyit.” 
MAT.18.2	Ipanawag ni Jesus so asa ka metdeh as kapaytetnek na sia do salapan dawri, 
MAT.18.3	as kavata na sia, “Vatahen ko dinio ta katadkan na an makakma kamo so metdeh aya am makasdep kamoava do paypatolan no hanyit. 
MAT.18.4	An sino mapamahbo so karakohan na akma so metdeh aya am iya o máto dana do paypatolan no hanyit. 
MAT.18.5	As an sino omyavayava so akma saya sia a metdeh do ngaran ko am tayto na yaken a sincharan kano rawaten.
MAT.18.6	“An sino mamarin so pakayapoan no kapakagatos da no akma saya sia a kametdehan a manganohed diaken am mapipia an paypongan o lagaw na so rakoh a bato as kapoha sia do taaw. 
MAT.18.7	Omhamo ava o kayan no pakayapoan no kadodog kano kapakagatos no tawo, pero nawri o mangananawa so pamandan o tawo a pakayapoan da nia! 
MAT.18.8	As an no tanoro anmana kokod nio o pakayapoan no ipakagatos nio am akteven nio as kapoha nio nia, ta mapipia o kabo no tanoro nio anmana kokod nio a mangay do hanyit as kano kayan no tanoro nio kano kokod nio as kapoha nio do apoy a abo so pandan. 
MAT.18.9	An no mata nio o pakayapoan no ipakagatos nio am pakarohen nio as kapoha nio nia, ta mapipia an abo o asa do mata nio a somdep do viay a abo so pandan kano kadadwa no mata nio as kapoha nio do apoy no infierno.
MAT.18.10	“Pakamahbohen nio sava o kametdehan sira, ta sira o angheles a omonong dira am fermi sa makangay do salapan no Ama ko do hanyit. [ 
MAT.18.11	Ta nawara o Naytawo aya do tana aya a omlibri sira so makagatogatos.]
MAT.18.12	“Sino paro dinio o minabo so asa do asa yatos a karnero na as kadi na ngaroan do sasiam aya poho kano sasiam as kangay na komita sia do katakyan a manda do kavoya na so asa aya a nabo. 
MAT.18.13	As an navoya na am oyod a masoyot. Vatahen ko pa ta rakorakoh o kasoyot na do asa aya nabo as navoya dana as kan do sasiam aya poho kano sasiam a dia nabo. 
MAT.18.14	Akma pa saw ta no Ama nio do hanyit am ichakey nava o kayan no mangwan do abo so pandan a kadimanan na a aran asa do kametdehan siraya.
MAT.18.15	“An nakagatos dimo o kakteh mo am mangay ka sia do kainioinioan na as kapaypanmo nio dia o gatos naw dimo. As an adngeyen naymo as kapanehseh na am mirwa dana mapia o anod nio. 
MAT.18.16	Asna an di naymo adngeyen am mapay-ivan ka so asa anmana dadwa ka rarayay mo a tomestigo diaya a akma so nakatolas do Chirin no Dios am, ‘Maytetnek o kakawyoran do vivi no dadwa a ka testigo.’ 
