MRK.1.1	Eiwa God da Mai, Yesu Keriso,
MRK.11.26	Ata, imomane nembu neinda bebegae imondemane etera awa kotembedo dowae awa gido Mamo kaenato utuda ami itomane bebegae mana kotembedo dowari itae aina.”
MRK.11.27	Ango edo awamane tekago Jerusalem guputera. Edo Yesu Judah embomainda oro kotopu bajinada torido pepeta eiri pirisi babain de Aodarida atopapasigari de orobeda kopuru mamai demi gundo Yesu da yai esitera. 
MRK.11.28	Edo awamanemi Yesu de sitera, “Awara tari ito nonda budo imo buro engogo esi? Edo embo aimi imonde awara tari piesiri buro engogo esi?”
MRK.11.29	Ata Yesu mi awamanede mina sisina, “Na daedo imondemane tedogari da (1) piano ainda mina tawo gido awa nato awara tari aimi piesiri buro engogo eni awa tano gawa. 
MRK.11.30	Tewo gane! John bapataito edo esisina awa, ainda awara tari yai nonda edo gupusini? God mi awara tari piesiri edo esisinita ko embo enembomi pietero edo esisini?”
MRK.11.31	Edo awamane akuta ge mina tara esitera, “Kaenane, ‘God da yai edo gumbari,’ tara awa, embo omi taina, ‘Ro awa embo imomane John gebé ae esitevi?’ 
MRK.11.32	Ata kaenane, ‘Embo enemboda yai edo gumbari,’ ango tara awa adu era. Embomai jiwaebé John Bapataito Ari Embo awa peroveta bajina dá ango tedo era, awatedo, owamanemi kaenamonde sinigambari ara.”
MRK.11.33	Ango edo awamanemi Yesu de mina sitera, “Nakare John da awara tari aimi piesiri bapataito edo esisini awa gae.”
MRK.11.33	Edo Yesu mi mina awamanede sisina, “Ango tewa, awatedo, nato awara tari aimi piesiri buro engogo eni awa imondemane tainyae!”
MRK.12.1	Ango edo Yesu mi awamanede eniya ge tari tuturo esisina. “Embo da (1) ami gurepi
MRK.12.2	Edo gurepi tari ari yoa gumbiri ainda buro embo piesiri gurepi sima ari emboboda yai maunsisina, embo ainda gurepi tokedo piaro kundo gumbarate. 
MRK.12.3	Ata sima ari embobo erido gurepi tutuda buro embo awa kundo beyaebé dedo pietero ipa tepobé overegesisina. 
MRK.12.4	Ango etero imo gumbiri gurepi tutumi buro embo nei tenda piesiri gurepi sima ari emboboda yai maunsisina. Edo awamanemi ganumami kopuruda detero ororo gutesiri awa usibesi edo pietero mede egenembesisina. 
MRK.12.5	Edo tenda buro embo nei piesiri mambiri awa bé detero besisina; buro embo nenei jiwaebé awa daedo mambero usibesibé dedo, nenei awa detero bebetegesitera.
MRK.12.6	“Ango matawa etero gido gurepi tutu ami ambobé awa ainda mai ao da (1)bé, ami dubobudo eira, awa daedo piesiri maunsisina. Edo engo kotembesisina, ‘Awamanemi nato mai awa tou ara.’
MRK.12.7	“Ata sima ari embobomi tedo sitera, ‘Gurepi tutu betari butu mainda topo aina! Kaende mai dano betari butu kaenato topo are.’ 
MRK.12.8	Ango tedo mai awa gumbiri kundo detero betesiri ainda tamo budo puwa demonda augetero idegesisina.
MRK.12.9	“Awatedo, gurepi tutu ami buro ro aini? Nane imondemane tano gawa. Embo ami gundo sima ari embobo awa dedo usibesi edo gurepi buro kundo embo neneinde piaina. 
MRK.12.10	Imomane God da ge gaiari eiwa ajijigedo gido evita? Awa engo:
MRK.12.10	‘Dasivi awa imomane oromando ari embomi ajiregesitewa,
MRK.12.10	God mi esiri dasivi davebé dave esira.
MRK.12.11	Eiwawa 
MRK.12.11	edo beyamanabé jisi kaenato berarida.’”
MRK.12.12	Edo Judah embomainda babadegarimi engo kotembesitera, Yesu mi eniya geda kariwa awamaneda yai budo sira. Awatedo, awamane sinigambari bajinabé edo embo awa budo dain esitera. Ata embomai jiwaebé Yesu da ge dave awa ingido imo ambo ambo edo era. Awa gido adu edo Yesu dodo maunsitera.
MRK.12.13	Edo Parasi mane ae Herod da buro otatawo de pietero Yesu da yai maunsitera, embo ainda ge sira awa simagain. 
MRK.12.14	Edo iji angode awamane gundo Yesu de sitera, “Atopatari, nakare gotera, imo gebé berari tedo eta. Imo embobo anumba ikane edo tuda itera awa kotembae. Edo embo neneinda kotembarimi imo gisijiari tao ae, ata imo God da begata dave gebémi atopasido eta. Awatedo, natokare tax ganu Caesar
MRK.12.15	Ito kotembari awa te goré! Nakare mina piarita ko piainyaeri?”
MRK.12.15	Edo Yesu embomai ami udumbetera ango goteite awamanede sisina, “Nongo ain tedo imomane na bavedogain tevi? Ganu itomane kundo gumbú gane!” 
MRK.12.16	Edo ganu awa kundo gumbero gido sisina, “Dombubé de dao de eiwa andari?”
MRK.12.16	Awamanemi mina sitera, “Caesar da.”
MRK.12.17	Edo Yesu mi ge mina awamanede sisina, “Awatedo, rorae Caesar da topo gido, Caesar de piewo, rorae God da topo gido, God de piewo!”
MRK.12.17	Edo Yesu mi awamaneda bavedogari ge tetera awa dodo ge davemi tesira, awatedo, embomai ami Yesu da ge mina dave sisina awa ingido korebé esitera.
MRK.12.18	Ango edo Sadusi manemi
MRK.12.19	“Atopatari, Moses mi iji matude apiyemane natokarede sisina awa, embo aro jimundo maiunji piae eimango betaina, edo ainda aro rori awa namejimi jimundo mamai piari namejida orobe itarate sisina. 
MRK.12.20	Edo iji da (1)de awa nanonameji berari ajigari 7 isiretera awa, nameji buwo aro jimundo mamai piae besisina. 
MRK.12.21	Ango esiri buwoda gaganimi nameji buwoda aro rori awa jipusina, ata dá ango mamai piae besisina. Edo tamonde (3) awa dá ango esisina. 
MRK.12.22	Ango edo nanonameji berari ajigari 7, awamane aro da (1) awa jimundo mamai piae bebetegesitera. Ambobéda eutu awa daedo besisina. 
MRK.12.23	Awara, eutu eiwa iu ibono berari ajigari 7 jipusina. Awatedo, iji amboda embomai betarida erara awa, arobé anda aini?”
MRK.12.24	Yesu mi awamanede mina sisina, “Imomane God da ge gaiari edo God da goroba tega gae. Awatedo, ge tae dumbae ewa. 
MRK.12.25	Eutu awa ibonomai berari ainda aro ainyae, aindabé, betarida tekago erari iji ainde, embo de eutu de iu aro ari tao ae, ata awamane anela dá kariwa ango ara. 
MRK.12.26	Ata nanemi embomai betarida tekago erari ge tano arapa arate ena awa eire. Matu Moses mi ove gagurisina awa ajijigedo gido evita? Ainda ge jirari engo isira. Iji angode Abraham de Isaac de Jacob de bebetegesitera, edo duberi jiwaebé dodo ainda amboda, Moses da ijide abuda ni danegayani ango awa niyao aveiri ainda God mi Moses de ge sisina, ‘Na awa Abraham da God, Isaac da God, edo Jacob da God.’
MRK.12.27	Edo God mi sisina imo awa bebetegarida God, aindabé, awamaneda asisi awa God da yai itera, edo awamaneda tamo tekago erara. Awatedo, imomane ge tae dumbaebé etewa awa, embo betarida tekago erari tao ae.”
MRK.12.28	Edo Aodarida atopapasigarida embo da (1)mi gundo isite awamane ge baiero simagesisina. Edo embo ami Yesu da mina tari dave awa ingido Yesu de tedogosisina, “God da ge okain berari sisina ainda doda nondawa bajinabé bajinari?”
MRK.12.29	Yesu mi embo ainde mina sisina, “God da ge okain bajinabé bajina sisina awa evire: ‘O Israel embomai ingiwo! 
MRK.12.30	Edo 
MRK.12.31	Edo God da ge okain ango nei awa evire: ‘Nembu ito awa dubobudo eyo dá imo akuta dubobudo eta ango.’
MRK.12.32	Edo Aodarida atopatarimi Yesu de sisina, “Atopatari, imo gebé berari teteta. Aindabé God awa dakaima. Edo nei demonda itae, ata awa akuta. 
MRK.12.33	Edo imo daedo gebé berari teteta, imo God dubobudo ata do berarimi, kotembari berarimi, wasiri berarimi, edo goroba berarimi, edo daedo nembu ito dubobudo ata dá imo akuta dubobudo eta ango. God da ge okain tote (2) eiwa babainbé, emi awa ategari rorou dungain, edo kando nenei berari kundo maundo piedo era awa daginegari.”
MRK.12.34	Iji angode embo ainda dubo ge tesiri ingido Yesu mi ainde sisina “Kotembari ito dave! Awatedo, God gebé eyo! God mi wasiri ito gisijiare.” Ainda amboda embo da aimi bavedogari ge ango awa tae.
MRK.12.35	Edo daedo Yesu mi Judah embomainda oro kotopu bajinada God da ge atopapoteite awamanede sisina, “Aodarida atopapasigari mi atopasido era awa ‘Keriso awa David da Mai.’ Edo ro awa embo ge ango tedo eri? 
MRK.12.36	Aindabé, Asisi Kotopu mi David gisijiri ami akuta karigesisina:
MRK.12.36	‘
MRK.12.36	“Ipabe natoda anumbedo namonde daedo
MRK.12.36	embomai berari gisijiyo!
MRK.12.36	Ango eiato nane ito gitopo embo
MRK.12.36	ito tai tuda piano imo tou ore.” ’
MRK.12.37	David akuta ami imo
MRK.12.37	Embo jisi bajina da doregesitera ami ge awa ingido dubodave esitera.
MRK.12.38	Edo Yesu embomai atopapoteite sisina, “Aodarida atopapasigarimi imomane udumbara, awatedo, goteite iwo! Awamanemi ombari riribo omundo edo nasi arapada pepeta eiaro embomaimi ategabutega eite tou orote jipapa edo era. 
MRK.12.39	Edo awamane Judah embomainda benunu oroda torido anumba davebé dave awa jipapa edo era. Daedo embo bondo eiworo maundo besi davebé daveda anumain jipapa edo era. 
MRK.12.40	Edo awamanemi benunu riribo pitawa tedo era, edo daedo eutu rori udumbedo awamaneda gaiapa bain edo era. Ata katari ijide God mi awamane daginegedo bajinabé kataina.”
MRK.12.41	Ango edo Yesu Judah embomainda oro kotopu bajinada edo kupo neinda anumbedo isite goteiri, embomaimi God da yai ategari ganu mauwa doda pipisitera. Gaiapade embomai awa ganu tega babain pipisitera. 
MRK.12.42	Awarata, mapa eutu rori da (1) awa gundo ganu babaingae tote (2) pipisisina.
MRK.12.43+MRK.12.44	Awa gido Yesu mi ambodani dao tesiri ainda yai gumbero sisina, “Embomai nenei owa awamaneda yai nandogo isira awa pipiteite nenei dotera, ata mapa eutu rori owa ainda yai sakabé awa berari itae piesira. Nomi imo rorae budo inaini awa itae. Awara! Edo ge ro boroko imondemane tena, eiwa giwo! Mapa eutu rori emi embomai berari ganu pietera awa daginegesira.”
MRK.13.1	Iji angode Yesu Judah embomainda oro kotopu bajinada edo idegeteiri ainda ambodani da (1) gundo embo ainde sisina, “Atopatari, gi! Ganuma babainbémi oro dadarigabé eiwa nongo nongo esiteri?”
MRK.13.2	Edo Yesu mi ainde mina sisina, “Imo oro dadarigabé eiwa kore eite tesita? Awa gebé teta! Ata oro dadarigabé goteta, ainda ganuma babain berari awa dedo sitedo agaugaro wotara, giyo.”
MRK.13.3	Ango edo Yesu temundo visido Ni Olive de Peji ainda anumbesisina, Judah embomainda oro kotopu bajina edo ainda kupo neinda. Edo Peter de John de James de edo Andrew de, awamane akuta maundo embo ainde tedogositera, 
MRK.13.4	“Nakare te goré! Oro kotopu bajina sitedo durari teteta awa ijibé nonderi? Edo ainda kariwa gisibé ro piari nakare goteiaro buro ango awa idegaini?”
MRK.13.5	Edo Yesu mi awamanede tuturo edo ge mina sisina, “Embo neneimi udumbari ge tara, awatedo, imomane akuta goteite iwo! 
MRK.13.6	Aindabé, embo jiwae dao natoda gumbara, edo ge pitawami ‘Na, God da Avigari Embo mi gumena,’ ango tedo embomai jiwae udumbara. 
MRK.13.7	Awarata, imomane embo duduno eite tera awa ingido itomane do itadaita ainyae. Awa tepo kariwa. Ata iji beao aribé awa gumbae. 
MRK.13.8	Aindabé, nasi neimi erido nasi neinde duduno aina. Edo daotari neimi erido daotari neinde itoro aina. Edo yai neneinda jijira tawaina. Daedo iji angode bejida yoa gumaina, edo buriya bouga neindekainde idegaina. Eiwa tuturo kariwa eutumi mai engari dá memesi budo era ango.
MRK.13.9	“Awarata, imomane akuta goteite iwo! Aindabé, na gebé edo ewa, awatedo, sinigambari embomi imomane nasida ge babain katari emboboda ipada piara, edo Judah embomainda benunu oro doda imomane vedara. Edo awamanemi imomane kundo maundo gisijijiegari ae daotegeregari deda yai piara. Edo nato bino dave awamanede karigawate jijine tara. 
MRK.13.10	Edo iji beao aribé gumbae gisida nato bino dave awa yai berarida karigaro embomi ingara. 
MRK.13.11	Awarata, iji angode itomane gitopo embomi imomane kundo maundo katari emboda yai piaro, jiro buro ainyae, o kotembari jiwae eove ge ro embo ainde tavi! Ata, iji ainde Asisi Kotopu mi itomane yai ge tari gawa. Awatedo, ge awa tewo! Aindabé, inemane akuta ge awa tae, ata Asisi Kotopu mi imomane gisijijieite ge taina.
MRK.13.12	“Edo namejimi ainda nameji betarida piaina, edo mamomi ainda mai betarida piaina. Daedo mamaimi ge jirido awamaneda aimamo awa gitopo emboda ipada piaro betara. 
MRK.13.13	Aindabé imomane na gebé edo ewa, embo berarimi imondemane sinigambari ara. Ata embo aimi iji beao aribé ainde tataimbarimi na gebé eite ambo ambo edo eira, God mi embo awa tonemaina.”
MRK.13.14	“Awarata, iji angode ‘rorae bebegae’ Judah embomainda oro kotopu bajinada torari tao ae awa kundo torido piaro petari embomi rorae awa goteiaro mengari piari gawa. Matu peroveta Daniel mi sisina ango” (Edo imo ge eiwa ajijigeteite, bé kotembeyo!). “Edo awa gido, embomai yai Judea da itera awa matu tumundo pejida visido kaviyegari boré! 
MRK.13.15	Edo embo aimi ainda garauda anumbedo isite kariwa awa gido, mandoda mana toraina edo ainda roviravi mandoda awa kumainyae. Ainda gitopo embomi daro beteurekae! 
MRK.13.16	Edo embo aimi ainda buro doda eite kariwa awa gido, buro beda egenembedo dademo ombari mana kumaina. 
MRK.13.17	Ata deguta angogode eutumai watoude ae aimono mamai ami beda itera ainde, awamanemi adu tumundo kaviyegari bari awa okain bé tambara. Awatedo, do ari tena! 
MRK.13.18+MRK.13.19	Aindabé, tuturoda God mi utu ae butu de esisina ainda edo gundo iji boroko einde memesi bouga bajinabé ango deguta angogode awa embomai tambae, edo amboda tekago mana tambara, awatedo, God da yai benunu tewo! ‘Nakare dowato wa ijide adu tumundo pejida vitóre.’ 
MRK.13.20	Edo iji ainde Badari deguta angogo awa kapae dowari idegaina awa, embo da ji aimi tonembari bainyae. Ata ainda embomai ami gerisina awa tonemain awamane embo deguta angogo kapaina. 
MRK.13.21	Edo iji angode embo da aimi imondemane taina, ‘Evire gi! Ovire gi! Keriso gumbira,’ angogo taro awa gebé eove! 
MRK.13.22	Aindabé, keriso pitawa ae peroveta pitawa kakato de gundo kariwa de wasiri babain neneinde God da piari ango awa piara embomai udumain. Edo embomai God mi gerisina awa daedo udumain ara. 
MRK.13.23	Awatedo, imomane akuta goteite iwo! Matu nanemi imondemane rorae ro berari idegaina tetena awa, daedo goteite awa udumbari embobo daginegawa.
MRK.13.24	“Ata amboda memesi bouga bajinabéda iji gumaina, deguta angogode,
MRK.13.24	“‘Ijida parara kumboro aina,
MRK.13.24	edo karigada parara datembari dowaina;
MRK.13.25	dabori utuda tokedo durara,
MRK.13.25	edo God mi utuda rorae berari awa jipaina.’
MRK.13.26	“Ango eiaro, embo butu berarida ami na, Embo da Mai awa, nato goroba de parara de poragada gupeiano gara. 
MRK.13.27	Ango edo nato anelamane piano butu de utu deda umbugo berarida maundo nato gerari embomai sirigedo kundo gundo dada ara.
MRK.13.28	“Edo eniya ge ni dungada kariwa awa gain edo giwo! Iji angode igi geo edo tokedo eira awa yanda aikae edo eira. 
MRK.13.29	Imomane daedo iji ainde rorae engogo idegari goteite awa matu nanemi imondemane ge ro teteno gewa awa kotembewo! Nato gumbari iji awa aikaebé esira. 
MRK.13.30	Awara! Edo ge ro nane imondemane tena, awa giwo! Embomai iji einda itera awa betainyae isiaro, rorae engogo berari awa idegaina. 
MRK.13.31	Rorae berari utuda edo butuda awa mandedo itae aina. Ata ge nato eiwa mana mandedo itae aina.
MRK.13.32	“Ata embo da aimi nato gumbari deguta nonderi o ora nonderi awa gae. Edo daedo anelamane utuda awa gae. Na, God da Mai, awa gae. Ata God Mamo akuta goteira. 
MRK.13.33	Aindabé, imomane da aimi iji nonde na egenembedo gumani awa gae, awatedo, imomane akuta jijimbeteite iwo! Edo jitao awainyae! God da yai benunu tewo! 
MRK.13.34	Nato gumbarida kariwa awa engo embo da (1)mi ainda mando dodo yai aikeda mamain eite ainda awara tari ainda buro embobode pipisisina. Edo ainda buro embobode buro avigekavige esisina. Edo ainda manguro sima ari embode sisina, ‘Na tekago gumana. Awa embo, simageteite isiyo!’
MRK.13.35	“Aindabé, mandoda badari gumaina iji imomane gae, awatedo, imomane simageteite isiwo! Embo awa turode gumainita, muyae toropudari ta, sipo kokora aorodari ta, ko sipo atedo iji viviteiari gumaini? 
MRK.13.36	Embo awa burigibé egenembedo gundo imomane jitao aveiawo tambari awa jipapa ae. 
MRK.13.37	Edo ro nane imondemane tena awa, embomai beraride tena: ‘Simageteite isiwo!’”
MRK.14.1	Deguta tote (2) itae ari ainda amboda, God da Darutegari ae Bread Badari Siwo Piaeda Bondo de awa tuturo ara.
MRK.14.2	Atako awamanemi akuta sitera, “Embomi wasiri awa gido sinigambari ge bajinabé tedo duduno ara, awatedo, kaende bondo ari ijide ainyae.”
MRK.14.3	Edo Yesu Bethany nasida totorisina. Edo imo embo ginimi tutupegari dao Simon da mandoda indari indeite isiri, eutu da (1)mi sigi alebasita
MRK.14.4	Edo eutumi wasiri ango esiri gido embo nenei ainda itera, awamanemi akuta dubodave ae edo ge mina tara esitera, “Ro awa embo eutu omi un muno davede awa jigamo ae dumbae eiri? 
MRK.14.5	Rorae ane piari embo neimi ganu jiwaebé piedo bari tao. Ango edo ganu awa embomai rorae isisigaede piae esira.” Edo eutu ainde sinigambari ge okain bé sitera.
MRK.14.6	Ata Yesu mi sisina, “Eutu awa gido teove! Dowo! Ro embo eutu ainde sinigambari ge okain tevi? Eutu awa buro beyamanabé namonde esira. 
MRK.14.7	Aindabé, iji berari embomai rorae isisigae awa imondemane isima edo era. Edo iji nonde imomane awamane kondade ain jipapa edo ango awa. Ata na mana imondemane einda matawa isirano tou awa. 
MRK.14.8	Eutu eiwa buro ro ami ari tao awa esira. Ami nato tamo un muno davede dodegesira awa nato goiari siya gisi esira. 
MRK.14.9	Awara! Edo ge ro boroko imondemane tena, eiwa giwo! Butu arapuda embomi bino dave nato awa dengoro baiari pipiteite, eutumi wasiri beyamanabé namonde esira awa, daedo taro embomaimi ainda wasiri awa gido kotembu kotembu ara.”
MRK.14.10	Ango edo Judas Iscariot, awa Yesu da embobo 12 ainda da (1), ami pirisi babainda yai maundo awamane kondade edo Yesu kundo awamaneda ipada piari borote esisina. 
MRK.14.11	Ango tesiri pirisi babain dubodave edo awamanemi Judas de gano piara ango tarigari sitera. Awatedo, embo ami Yesu kundo awamaneda ipada piain begata kakowa esisina.
MRK.14.12	Ango edo deguta tuturoda Bread Badari Siwo Piaeda Bondo gupusina. Iji angode daedo Judah embomaimi God da Darutegari Bondoda sipu mai dedo esitera. Awatedo, iji dá ainde Yesu da ambodanimi tedogositera, “Imo yai nonda nanekare maundo imo embo God da Darutegari Bondo siya edo kaen indorote jipapa esi?”
MRK.14.13	Ango tetero awa Yesu mi ambodani tote (2) pipiteite sisina, “Imomane maundo Jerusalem nasida torawo embo da (1) un sigi gapoda piari ami imomane tamaina. Awa ambo ambo ewo! 
MRK.14.14	Edo daedo maundo yai nonda toraini awa gido mando tutude tewo! ‘Natokare atopatarimi tesira, “Indari yai nondari tato gido na ae ambodani nato de God da Darutegari Bondo indoré?” ’ 
MRK.14.15	Ango tawo embo ami imomane kundo visido yai bajina engiregari matu sirigari isira awa piari gawa. Yai ainda kaenato indari siya ewo!”
MRK.14.16	Awatedo, Yesu da ambodani tote (2) gisi maundo Jerusalem nasida torido ge ro berari sisina ango awa taputera. Edo yai ainda God da Darutegari Bondo siya esitera.
MRK.14.17	Ango edo iji wotesiri turo damodamo eiri Yesu ae ainda embobo 12 de mandoda guputera. 
MRK.14.18	Iji ainde awamane berari indari indero Yesu mi sisina, “Awara! Ge ro boroko imondemane tena, eiwa giwo! Imomane da (1) namonde daedo indari indeta, ami na kundo gitopo emboda ipada piata.”
MRK.14.19	Edo ge ango tesiri ambodani dubovevera esitera edo awamanemi Yesu da yai tedogari nei tedo douri, nei tedo douri edo esitera, “Amo nari ta?”
MRK.14.20	Edo Yesu mi awamanede mina sisina, “Imomane embo 12, ainda da (1) namonde daedo rorae teoda indeira, ami na kundo gitopo emboda ipada piaina. 
MRK.14.21	Gebé, na Embo da Mai awa betana, matu God da ge dá gaguritera ango. Ata do ari embo ainde tena, aimi na Embo da Mai awa kundo gitopo emboda ipada piaina. Awatedo, davebé awa ainda ai mi embo awa dowae engisina.”
MRK.14.22	Edo awamane indari indero Yesu mi bread kundo jisi utuda edo God ategedo engegegedo ambodanide pipiteite sisina, “Kundo injiwo. Eiwa nato tamo.”
MRK.14.23	Ango edo Yesu mi akou awa kundo God da yai ategari pisido ainda ambodanide piesiri awamane berari akou dá ainda embo nei injido pieuri, embo nei injido, ango jiroro esitera.
MRK.14.24	Edo Yesu mi ambodanide sisina, “Eiwa nato ororo, ami God da piari tembari okain teka ainda embomainde sirigeteira edo embomai jiwae awa embo rorou piaina. 
MRK.14.25	Awara! Edo ge ro boroko imondemane tena, eiwa giwo! Na iji nei gurepida gama inainyae isimango, amboda gurepida gama awa inana, God da gisijiari yaida.”
MRK.14.26	Ango edo awamanemi yami God dasiga edo Jerusalem nasi dodo idegedo Ni Olive de Pejida maunsitera.
MRK.14.27	Ango edo Yesu mi ambodanide sisina, “God da geda gaiari isira eiwa:
MRK.14.27	‘Nanemi Wo Sima Ari Embo dano awa,
MRK.14.27	edo ainda wo sipumane evekara ara.’
MRK.14.27	Awatedo, muyae boroko einde, imomane berari itomane gebé ari nato yai awa dowawo wotaina. 
MRK.14.28	Ata amboda God mi na jiari tekago erido, imomane yai Galili da mambae gisida, na mamana.”
MRK.14.29	Edo Peter mi Yesu de sisina, “Edo embo berari awamaneda gebé ari ito yai awa dowaro wotaina, na dá ango ainyae!”
MRK.14.30	Ango tesiri Yesu mi embo ainde sisina, “Awarata! Ge ro boroko imonde tena, eiwa giyo! Muyae boroko kokora aoro tote (2) tae gisida, iji tamonde (3) imo akuta toreite, ‘Embo awa na gae,’ tata.”
MRK.14.31	Ata Peter mi ge okain bé tedo dowae esisina, “Na imonde daedo betana. Na mana akuta toreite imo gae tana.” Edo ambodani nenei berarimi ge dá ango sitera.
MRK.14.32	Edo Yesu ae ainda ambodani de yai Gesemani ainda maunsitera. Edo embo ami ambodanide sisina, “Imomane einda anumbedo isiwo! Na imango benunu tain ena.” 
MRK.14.33	Ango tedo Yesu, Peter de James de John de awamane budo daedo maunsisina, edo embo ainda do tuturo edo buriya eiri dubo memesi bajinabé ainda yai gupusina. 
MRK.14.34	Edo Yesu mi awamanede sisina, “Nato dubo memesi bajinabé gupeira ami ubowa nato dari teugari na betanate arago eira. Einda isite simagewo!”
MRK.14.35	Ango tedo imo saka iaragedo baongo dadari edo kopuru butuda gaiedo God da yaida benunu sisina, “Mamo, imo edo gido memesi iji bajina nato yai gumain eira, eiwa dowato daginegae esirita!” 
MRK.14.36	Edo imo benunu sisina, “Abba,
MRK.14.37	Ango edo imo tekago overegedo gundo ambodani tamonde (3) jitao avero gosisina. Edo awamane audesiri erero Simon Peter de sisina, “Simon, imo jitao aveta? Na kore ena! Imo iji tupo simageteite itari tao ae eta!” 
MRK.14.38	Edo Yesu mi awamanede sisina, “Simageteite benunu tewo! God mi imomane dowari bawarida durove. Do itomane awa dave, ata tamopisi awa burau eira.”
MRK.14.39	Ango tedo imo tenda overegedo maundo benunu dá sisina ango tekago sisina. 
MRK.14.40	Edo Yesu tekago overegedo gundo ambodani tamonde (3) jitao avero tapusina. Awamane jitaomi jisi bouga esisina, awatedo, udedopangedo ae. Edo awamane audesiri eroritera, ata awamane kotembari dave bae esitera, awatedo, Yesu de ge mina tae.
MRK.14.41	Ango edo Yesu tekago iji tamonde (3) ango maundo benunu siri jiriri overegedo gundo ambodani tamonde (3) jitao avero tapusina. Edo awamanede sisina, “Na kore ena! Imomane matawa jitao aveite itewa. Iji itae esira giwo! Borokobé embaomi na, Embo da Mai awa, gitopo emboda ipada piari mamana.
MRK.14.42	Awara, eriwo! Embo na kundo gitopo emboda ipada piaina awa gumbira eire. Kaende imango tamboré!”
MRK.14.43	Edo Yesu awamanede ge siri boraebé ae ge ainde Judas, Yesu da embo 12 ainda da (1), ami embobo jisi da awamaneda kasiwo de ami de kumbero awamanededa gupusina. Awamane awa pirisi babain de Aodarida atopapasigari de orobeda kopuru mamai demi Yesu kundo mamborote pietero guputera.
MRK.14.44	Ango edo embo Yesu kundo betarida piaina, ami awamanede matu tesiri gositera, “Embo nane ategedo opoda munegana, awawa kundo sima dave eite mambuwo!”
MRK.14.45	Awarata, iji ainde Judas ae embobo jisi dade yai Gesemani da totorero, Yesu ae ambodani de maundo awamane taputera. Edo Judas boraebé gundo Yesu de sisina, “Atopatari! Atopatari!” ango site opoda munegesisina. 
MRK.14.46	Edo ango eiri embobo jisi da guputera ainda neneimi Yesu jido dumbero piri buritera. 
MRK.14.47	Ata iji ainde Yesu da ambodani da (1)mi demonda isiri jiriri ainda kasiwo worugedo budo pirisida gisijiari bajinada buro emboda dengoro nei kautugesisina.
MRK.14.48	Ango edo Yesu mi embobo jisi da guputera ainde sisina, “Imomane na beono embo beyaebé ango baintedo kasiwo de ami de kundo gumbarago etewa. 
MRK.14.49	Ro embo imomane Judah embomainda oro kotopu bajinada na kumbae doturavi? Audo erido na yai ainda embomai atopasido eono gido etewa. Ata wasiri engo nato yai idegaina ango matu God da geda gaguritera awa etewo bé eira.”
MRK.14.50	Iji ainde ainda ambodani berari Yesu dodo evekara edo adu tuputera.
MRK.14.51	Ango ero maisinga da (1) gongo virarae awari ami Yesu ambo ambo esisina.
MRK.14.52	Ata maisinga awa ainda gongo virarae awamaneda ipada dodo adu tupusina, tamo tepo.
MRK.14.53	Ango edo embobo jisi dami Yesu kundo pirisida gisijiari bajinada mandoda maunsitera. Edo awamane maundo torido pirisida gisijiari bajina de pirisi babain berari de orobeda kopuru mamai de Aodarida atopapasigari de doregesitera. 
MRK.14.54	Edo Peter aikeda Yesu ambo ambo edo maundo pirisida gisijiari bajinada mando arapada totorisina. Ango edo Peter ae yai awa sima ari embobo de anumbedo ni aveite isiri jijirisina.
MRK.14.55	Edo mando doda pirisi babain de Sanhedrin
MRK.14.56	Edo embo jiwaebémi Yesu bekumba pitawa esitera, ata awamaneda ge evekara buritera awa ainde inono ae.
MRK.14.57	Edo daedo embo nenei gundo Yesu da doda petedo Judah embomainda gisijijiegaride ge pitawa engo sitera, 
MRK.14.58	“Nakare embo ami tesiri ingitera awa, ‘Na Judah embomainda oro kotopu bajina emboda ipami ari eiwa dedo sitana. Edo deguta tamonde (3)da doda, na oro kotopu nei, emboda ipami ari tao ae awa, jiano eraina.’”
MRK.14.59	Ango tedo, awarata daedo, awamaneda ge evekara buritera awa ainde inono ae.
MRK.14.60	Iji angode pirisida gisijiari bajinami erido doregarida doda Yesu de tedogosisina, “Embobo imonde bekumba ge tetera awa gotesi? Awamanede ge mina ro tasi?” 
MRK.14.61	Ata Yesu ge mina da ji tae. Tepo dapisina.
MRK.14.61	Ango esiri pirisida gisijiari bajinami embo ainde tekago tedogosisina, “Imo Keriso ri ta, God nanekaremi dasiga edo era ainda Mai ri ta?”
MRK.14.62	Ango tesiri Yesu mi ge mina sisina, “Na embo teta awara. Edo imomane na, Embo da Mai eiwa, God da ipabeda anumbedo isimango ainda goroba de taogari demi doiaro ikane utuda ango poragade siro edo gupeiano gawa.” 
MRK.14.63	Edo pirisida gisijiari bajinami Yesu da ge tesiri ingido boraebé sinigambaride ainda ombari tamoda jiri keretero embobo doregari ainde sisina, “Na kaena embo einda jimbo katain ge nenei kakowa ainyae! 
MRK.14.64	Imomane embo emi God tedojijireira awa gotewa. Imomane ro kotembetevi, buriya esirita ko buriya ae ri?”
MRK.14.64	Edo awamane berarimi sitera, “Embo awa buriya bajinabé esira, awatedo, betarida piara!” 
