GEN.1.1	Könakönahiŋe Anutunöŋ Suep aka gölme miwikŋaim etkiyök. 
GEN.29.24	Labanöŋ welen ambiŋi qetŋi Zilpa mi böratŋi Leagö welenqeqeŋa malmapköra waŋgiyök. 
GEN.29.25	Mohotŋe ahöyohotka miri giaŋiiga Jeikobnöŋ anömŋi eka möri Reizöl qahöpmö, i Lea aiga yöwöŋaŋgöreŋ anda kewö jim waŋgiyök: “Gi mönö wani kimbia ak niŋgizane? Ni Reizöl memamgöra welen qem gihiba malalmö, gi mönö wuanöŋgöra tilipköm niŋgizan?”
GEN.29.26	Mi möta meleŋda kewö jiyök: “Gölme kiaŋgöreŋ datŋi öne maliga munŋan azi memapkö ahakmemeŋi mi neŋgöreŋ qahö ahöza. 
GEN.29.27	Miaŋgöra ölöp maren sösöŋgai mi Leabuk sonda mohotkö dop mal söŋgainöŋ teköiga munŋi mewöyök gihimam. I memangöra mönö mewöyök yambu 7 toroqeba welen qem niŋgiba malman.”
GEN.29.28	Mewö jiiga urumohot aka Leabuk maren sösöŋgai nalö mi sonda mohotkö dop mali teköiga Labanöŋ böratŋi Reizöl mewöyök anömŋi akŋapköra waŋgiyök. 
GEN.29.29	Labanöŋ welen ambiŋi qetŋi Bilha mi böratŋi Reizölgö welenqeqeŋa malmapköra waŋgiyök. 
GEN.29.30	Jeikobnöŋ Reizöl i mewöyök anömŋa meyök. Urusihimŋan Reizölgöra ahöyöhaŋgöra aka Reizöl mi Lea oŋgita jöpaköm waŋgiba malök. Miaŋgöra yambu 7 toroqeba Laban welenŋi qem waŋgiba malök. Mewö.
GEN.29.31	Jeikobkö uruŋan Leagö gwötpuk qahö ahöiga boromdökŋi tököiga Kembunöŋ ehi qahö dop köliga Lea gölöm almapköra bauköm waŋgiyökmö, munŋi Reizölnöŋ köpinŋa malök. 
GEN.29.32	Leanöŋ köröbuk aka mala morö azia memba keu kewö jiyök, “Kembunöŋ tapötkokorokni ehiga apnan ölöp könahiba jöpaköm niŋgiba malma. “Mewö jiba qetŋi miaŋgö dop Ruben qerök. (Ruben Tapötkokorokni ehök.) 
GEN.29.33	Könaŋgep kunbuk körö ala morö azi kun memba keu kewö jiyök: “Apnan boromdökŋi jöpaköm niŋgiiga Kembunöŋ mi möta morö ki mewöyök niŋgiza. “Mewö jiba qetŋi miaŋgö dop Simeon qerök. (Simeon Kezapŋan mörök.)
GEN.29.34	Miaŋgö andöŋe kunbuk körö ala morö azi kun memba keu kewö jiyök: “Ni nahönurupŋi karöbut apnaŋgöra mealaŋgöra yaŋön mönö könahiba uruŋi nömbuk jöhöma. “Mewö jiba qetŋi miaŋgö dop Liwai qerök. (Liwai Uruŋi jöhöma.) 
GEN.29.35	Miaŋgö andöŋe dumŋe kunbuk körö ala morö azi kun memba keu kewö jiyök: “Nöŋön nalö kewöŋe Kembu möpöseizal. “Miaŋgöra qetŋi miaŋgö dop Juda (möpöseip) qerök. Miaŋgö andöŋe morö kunbuk qahö meyök. Mewö.
GEN.30.1	Reizölnöŋ köpinŋi mala Jeikobköra nahönbörat kun qahö memba nanŋi könaŋi mewö eka datŋi Lea andö qeba uruŋan mututqutut möta Jeikobköra keu kewö jiyök: “Gi mönö morö qiwikŋainöŋ. Mi qahö qiwikŋainöŋga nöŋön mönö malmamgö osiba kömumam.”
GEN.30.2	Mewö jiiga Jeikobnöŋ irimŋi seholiiga uruönön möt waŋgiba kewö jiyök: “Ni mönö morö denöwö qiwikŋaibileŋak? Anutunöŋ gi morö memangö jöhöm gihiba malökmö, nöŋön Anutuya qahö.”
GEN.30.3	Mewö jiiga Reizölnöŋ kewö jiyök: “Nöŋgö welen ambini Bilha mi ki. Ölöp yambuk ahönöŋga nöŋgöra morö mema. Yaŋön nam köliga nöŋön mewöyök yaŋgöreŋök nahönbörat miwikŋaim eŋgiba namŋini aka malmam.” 
GEN.30.4	Mewö jiba welen ambiŋi Bilha waŋgiiga anömŋa memba yambuk ahöyök. 
GEN.30.5	Ahöiga Bilhanöŋ gölöm ala Jeikobkö nahönŋi meyök. 
GEN.30.6	Nahönŋi meiga Reizölnöŋ kewö jiyök: “Anutunöŋ kewöt niŋgii dop kölbiga köuluk keuni möta morö azia niŋgiza. “Miaŋgöra qetŋi Dan qerök. (Dan Kewöt niŋgii dop köljal.) 
GEN.30.7	Reizölgö welen ambiŋi Bilha yaŋön kunbuk gölöm ala Jeikobkö nahönŋi kun meiga yahöt ahök.
GEN.30.8	Mewö meiga Reizölnöŋ kewö jiyök: “Datnambuk gwötpuk aum-möriba luhut aljal. “Mewö jiba miaŋgö dop morö qetŋi Naftali (Aum-mörial) qerök. 
GEN.30.9	Leanöŋ kunbuk gölöm qahö ala mi eka miaŋgöra nanŋi welen ambiŋi qetŋi Zilpa memba Jeikob waŋgii anömŋa ahök. 
GEN.30.10	Anömŋa aka Jeikobkö morö azia meyök. 
GEN.30.11	Meiga Leanöŋ “Simbawoŋ!” jiba qetŋi Gad (simbawoŋ) qerök. 
GEN.30.12	Zilpa, Leagö welen ambiŋi miaŋön Jeikobkö nahönŋi kun kunbuk meiga yahöt ahök.
GEN.30.13	Mewö aiga Leanöŋ keu kewö jiyök: “Nöŋön uruölöwak ketaŋi mötzal. Ambi yeŋön mönö nöŋgöra oyaeŋkoyaeŋ qeta malme. “Mewö jiba miaŋgö dop morö qetŋi Aser qerök. (Aser Oyaeŋkoyaeŋ qetme.) 
GEN.30.14	Witnöŋ öliiga yandiyandi nalöŋe sömaŋi kunöŋ Rubenöŋ yaigep anda gölme köröŋe asagwalim amöt 
GEN.30.15	Mewö jiiga Leanöŋ kewö jiyök: “Göŋön apni noaŋgitnöŋga dop kölmapkö mötmörialmö, gi mönö nahönaŋgöreŋ asagwalim amöt ki mewöŋanök noaŋgitmamgö mötzan. Mi qahö dop kölja. “Mewö jiiga Reizölnöŋ kewö jiyök: “Ölöp! Nahöngahöreŋ amöt mi niŋgiman ewö, mönö ölöp Jeikobpuk suŋgem ki ahömahot.”
GEN.30.16	Mewö jiiga Jeikobnöŋ mare miaŋgöreŋ nup mosöta kaiga Leanöŋ anda miwikŋaim waŋgiba kewö jiyök: “Nöŋön nahönaŋgöreŋ asagwalim amöt miaŋön lök göhö söŋgörögi mezal. Miaŋgöra mönö nömbuk ahöbit. “Mewö jiiga Jeikobnöŋ suŋgemŋi miaŋgöreŋ yambuk ahöyohot.
GEN.30.17	Yambuk ahöyohotka Anutunöŋ Leagöreŋ keu köulukŋi möriga gölöm ala Jeikobkö nahönŋi 5:ŋi meyök. 
GEN.30.18	Mi memba keu kewö jiyök: “Nöŋön welen ambini mi apni waŋgialaŋgöra Anutunöŋ miaŋgö töwaŋi ki niŋgiza. “Mewö jiba miaŋgö dop qetŋi Isakar (töwa) qerök. 
GEN.30.19	Miaŋgö andöŋe Leanöŋ kunbuk gölöm ala Jeikobkö nahönŋi 6:ŋi meyök. 
GEN.30.20	Mi memba keu kewö jiyök: “Anutunöŋ kalem qetpuk niŋgiza. Apni Jeikobkö nahönurupŋi 6 mealaŋgöra yaŋön mönö pöndaŋ nömbuk mala qetbuŋa niŋgiba malma. “Mewö jiba miaŋgö dop morö qetŋi Zebulun qerök. (Zebulun qetbuŋa) 
GEN.30.21	Nalö tosatŋi teköiga Leanöŋ morö börat memba qetŋi Daina qerök.
GEN.30.22	Anutunöŋ dumŋe Reizöl mewöyök mötmörim waŋgiba keu köulukŋi möta gölöm almamgö bauköm waŋgiyök. 
GEN.30.23	Bauköm waŋgiiga gölöm ala morö nahön kun memba keu kewö jiyök: “Anutunöŋ gamuni meköza.”
GEN.30.24	Mewö jiba toroqeba kewö jiyök: “Kembunöŋ mönö nahöni kun toroqeba niŋgima. “Mewö jiba miaŋgö dop morö qetŋi Josef (Toroqeba niŋgima.) qerök. Mewö.
GEN.30.25	Reizölnöŋ nahönŋi Josef meiga miaŋgö andöŋe Jeikobnöŋ Labangöra kewö jiyök: “Ni nani miri gölmene anmamgö mötzal. Miaŋgöra ölöp melaim niŋginöŋga liliŋgöba anmam. 
GEN.30.26	Anöm moröurupni kieŋgöra aka göhö welengi qeba malali, mönö i niŋginöŋga mohotŋe köna anbin. Nöŋön nup gwötpuk ketaŋi memba malali, mi nangak ölöp mötzan.”
GEN.30.27	Mewö jiiga Labanöŋ kewö jiyök: “Gi möt ölöwak niŋgizan ewö, mönö ölöp ki malman. Kembunöŋ göhöra aka ni kötuetköm niŋgiba malöhi, nöŋön unju qebiga keu mewö asuhui mötzal.”
GEN.30.28	Mewö jiba toroqeba kewö jiyök: “Mönö nupkahö töwaŋaŋgö jaŋgöŋi jinöŋga söŋgöröŋi mi ölöp gihimam.” 
GEN.30.29	Mewö jiiga Jeikobnöŋ kewö jiyök: “Nöŋön göhö welengi denöwö qeba mala göhö mirigö sömbup kambuŋi kambuŋi galöm köl eŋgibiga qarigeri, mi nangak ölöp mötzan. 
GEN.30.30	Mutuk ni ki qahö kabiga miaŋgöreŋ sömbup yuaigi gwötpuk qahö ahöm gihiyökmö, miaŋön mönö ni kabiga nalö miaŋgöreŋ sehiba jesöŋgö akze. Ni denike denike anda kayali, miaŋgöreŋ Kembunöŋ kötuetköm gihiiga malnöŋ. Mewö malnöŋmö, ni mönö wani nalönöŋ ölöp nani könagesöurupni naŋgöm eŋgimamgöra aka nup yuai könahiba membileŋak?”
GEN.30.31	Mewö jiiga Labanöŋ kewö qesiyök: “Ni mönö wania gihibileŋak?” Mewö qesiiga Jeikobnöŋ meleŋda kewö jiyök: “Yuai kun kude niŋgimanmö, yuai mohot ki nöŋgöra akŋan ewö, ni ölöp toroqeba göhöreŋ lama kambuŋi kambuŋi mi köyan köla jegalöm ak eŋgiba malmam. 
GEN.30.32	Ni ölöp göhöreŋ lama aka meme kambugi pakpak mi merak eŋgek kewötmam. Mi kewöta lama moröŋi baröm pakpak aka meme (noniŋ) dömŋi tiktokŋinambuk aka kulemŋini diriweŋ, soŋo me koromboŋgi mi pakpak mendeŋda nanŋini tokom eŋgiman. Mieŋön ölöp nup memba malalaŋgö töwani akŋe. 
GEN.30.33	Könaŋgep nupnaŋgö töwani, lama aka meme mi eŋgek kewötmamgöra kabanak, nalö miaŋgöreŋ uruni diŋdiŋaŋgö könaŋi mi amqeba kewö miwikŋaiman: Meme (noniŋ) tiktokŋini qahö aka diriweŋ, soŋo me koromboŋgi qahö mi pakpak aka lama baröm qahö pakpak nöŋgö kambunöŋ kinmei, mi nöŋön yoŋgorö meal, mewö möt kutuman.”
GEN.30.34	Mewö jiiga Labanöŋ kewö meleŋnök: “Ni ölöp urumohot akzal. Keu jizan ewö köna mi ahöma.” 
GEN.30.35	Mewö meleŋda silim miaŋgöreŋök Labanöŋ meme (noniŋ) aziŋi kulemŋini jiŋjalalaŋ aka diriweŋ soŋo me koromboŋgi aka meme ambiŋi pakpak kulemŋini tiktokŋinambuk aka diriweŋ soŋo me koromboŋgi me sile jupŋine yuai tuatŋi taröhi, mi pakpak aka lama moröŋi baröm pakpak mi kewöta meköm eŋgiba nanŋi nahönurupŋi yeŋgö böröŋine al eŋgiyök. 
GEN.30.36	Labanöŋ mi al eŋgiba yembuk Jeikobköreŋ lama aka meme kambu mi eŋguaŋgita silim karöbut anangö dop anda miaŋgöreŋ malget. Köröwen mewö malgetka Jeikobnöŋ toroqeba Labangöreŋ lama aka meme kambuŋi kambuŋi mi galöm köl eŋgiba malök.
GEN.30.37	Mewö mala sau, kömin aka kuŋgam ip mieŋgö böröŋini gwölögwölö kutuba memba sileŋini jölanjölan (jöraŋjöraŋ) köndölatiiga sutŋe sutŋe tuariiga jiŋjalalaŋ ahök. 
GEN.30.38	Mewö aiga ip böröŋini köndököndölatiŋi mi memba sömbup yeŋgö o joutŋini pakpak miaŋgöreŋ aliga o nembingöra kagetka wösöŋineyök ahöyök. Mewö ahöiga lama aka meme kambu yeŋön aziŋan eŋgualöŋmegö sihim könöpŋi möta o nembingöra kaba miwikŋaiba eket. 
GEN.30.39	Mewö eka meme aziŋi yeŋön ip böröŋi mieŋgö kösutŋine ambiŋi eŋgualöŋget. Mewö eŋgualöŋgetka gölöm ala malgeraŋgöra moröurupŋini jiŋjalalaŋ, tiktokŋinambuk aka diriweŋ, soŋo me koromboŋgi mi eŋgömemba malget.
GEN.30.40	Mewö malgetka Jeikobnöŋ lama aka meme (noniŋ) moröŋi mewöŋi mi kewöta mendeŋ eŋgiba nanŋök nanŋök kambu köl eŋgiyökmö, sömbup ketaŋi mi areŋgöm eŋgiiga jeŋini Labangöreŋ sömbup baröm aka kimbiŋini tiktokŋinambuk yeŋgöreŋ göröken uba kinget. Mewö aka nanŋaŋgöra lama aka meme (noniŋ) kambuŋi kambuŋi meköba miwikŋaim eŋgiyök. Mi miwikŋaiba jöhöm eŋgiiga Labangö lama kambunöŋ qahö anda toroqem eŋgiget.
GEN.30.41	Sömbup ambiŋi köhöikŋi yeŋön aziŋan eŋgualöŋmegö sihim könöpŋi mötketka Jeikobnöŋ nalö dop miaŋgöreŋ ip böröŋi mi o joutnöŋ alök. Miaŋgöra sömbup aziŋi yeŋön kaba mi wösöŋine miwikŋaiba eka kösutŋe miaŋgöreŋ ambiŋi mi eŋgualöŋda malget.
GEN.30.42	Mewö malgetmö, sömbup ambiŋan ösumŋini eretŋi aket ewö, yaŋön ip böröŋi mi yeŋgö wösöŋine qahö ala malök. Mewö aka maliga sömbup ösumŋini eretŋi mieŋön Labangöreŋ kambunöŋ toroqegetka ösumŋini köhöikŋi yeŋön Jeikobkö kambunöŋ anda toroqeget. 
GEN.30.43	Jeikobnöŋ mewö aka kindiŋbirik azi qetbuŋaŋambuk aka töhötmöriam miwikŋaiyök. Lama aka meme kambu gwötpuk buŋa qem aŋguba welenqeqe ambazip eŋguaŋgiriga kamel aka doŋki kambuŋi kambuŋi asuhum sehigetka toŋini ahök. Mewö.
GEN.31.1	Labangö nahönurupŋan keu kewö jigetka Jeikobkö kezapŋe geiga mörök: “Iwininan yuai buŋa qeba malöhi, Jeikobnöŋ mi pakpak kalöpköba könjörata aŋgön kölök. Iwininaŋgö sukinapŋi galöm köla miaŋgöreŋök inapŋi pakpak mi nanŋaŋgöra miwikŋaiba kindiŋbirik akza.” 
GEN.31.2	Keu mi mörök aka yöwöŋaŋgö jemesoholŋi eka kewö möt asariyök: “Labanöŋ mutuk ala ölöpŋi ak niŋgiba mala korökmö, mewö qahö toroqeba aka malja.”
GEN.31.3	Mewö möt asariiga Kembunöŋ Jeikob kewö jii mörök: “Göŋön mönö liliŋgöba iwiasaurupki yeŋgö gölmenöŋ anda tinitosolomurupki yembuk malman. Anda malnöŋga nöŋön göbuk kinda malmam.”
GEN.31.4	Jeikobnöŋ keu mi möta Reizöl aka Lea yetköra keu ali aniga gölme köröŋe lama kambuŋi kambuŋi galöm köl eŋgiyöhi, miaŋgöreŋ kayohot. 
GEN.31.5	Kayohotka kewö jii mörohot: “Nöŋön iwiŋiraŋgö jemesoholŋi eka kewö möt asarizal: Yaŋön mutuk ala ölöpŋi ak niŋgiba mala korökmö, mewö kunbuk qahö aka malja. Iwinaŋgö Anutuŋan mönö töndup nömbuk kinda mala korök. 
GEN.31.6	Ni ösumni pakpak qezaköba miaŋgö dop iwiŋiri welen qem waŋgiba mala korali, iŋiri mi ölöp mötzahot.
GEN.31.7	“Mewö malalmö, yaŋön isimkakalek qakŋe ak niŋgiba mala nupnaŋgö töwaŋi mi sömaŋi 10:gö dop utekutek ala malök. Mewö ak niŋgiba malökmö, Kembunöŋ aŋgön köl waŋgiiga geŋmororoŋ kun qahö ak niŋgiiga malal. 
GEN.31.8	Nalö kunöŋ kewö jiyök, ‘Lama aka meme (noniŋ) tiktokŋinambuk asuhumei, mi mönö göhö nup töwagi akŋe.’ Mewö jiiga sömbup kambu jömukŋi yeŋön moröŋini tiktokŋinambuk eŋgömeget. Nalö kunöŋ kewö jiyök, ‘Lama aka meme (noniŋ) jiŋjalalaŋ asuhumei, mi mönö göhö nup töwagi akŋe.’ Mewö jiiga sömbup kambu jömukŋi yeŋön moröŋini jiŋjalalaŋ eŋgömeget. 
GEN.31.9	Anutunöŋ mewö aiga asuhuiga iwiŋiraŋgö kambuŋeyök sömbup könjörata eŋguaŋgita niŋgiiga sehiyök.
GEN.31.10	“Sömbup aziŋan ambiŋi eŋgualöŋda malgeri, nalö kun miaŋgöreŋ gaun kunöŋ jeni uba wahöta ekiga meme (noniŋ) aziŋan ambiŋi eŋgualöŋda kingeri, yeŋgö sileŋini mi jiŋjalalaŋ, tiktokŋinambuk aka diriweŋ, soŋo me koromboŋgi pakpak aket. 
GEN.31.11	Nöŋön gaun ekiga miaŋgöreŋ Anutugö garata kunŋan nöŋgöra ‘Jeikob!’ qerök. Mewö qeriga ‘Ki kinjal,’ jiba meleŋnal. 
GEN.31.12	Meleŋniga kewö toroqeba jiyök: ‘Labanöŋ yuai pakpak ak gihimakzawi, nöŋön mi eka mötzal. Miaŋgöra ölöp jegi uba wahöta eknöŋ: Meme (noniŋ) aziŋi pakpak ambiŋi eŋgualöŋda kinjei, yeŋgö sileŋinan jiŋjalalaŋ, tiktokŋinambuk aka diriweŋ, soŋo me koromboŋgi akza. 
GEN.31.13	Nöŋön Betel miaŋgöreŋ asuhum gihibiga köt dangunu kun kuŋguba miriba nöŋgöra keu jöhöba jöjöpaŋ keunöŋ jim köhöinöŋ. Nöŋön Anutu mi aka göhöra keu kewö jizal: Gi mönö dölki wahöta kantri ki mosöta nangi ahuahu gölmege kunbuk liliŋgöba anman.’”
GEN.31.14	Jeikobnöŋ keuŋi mewö jiiga Reizöl aka Lea yetkön kewö meleŋ waŋgiba jiyohot: “Iwiniraŋgö mire börösamotkö bahöŋi kun mi neŋgöreŋ qahö toroqeba tatza. 
GEN.31.15	Yaŋön azi netkiiga söŋgöröniran kaiga mi nanŋaŋgörök memba gil teköyök. Miaŋgöra niri mönö kian tandök ak netkiiga mala korit. 
GEN.31.16	Miaŋgöra Anutunöŋ iwiniraŋgö kambuŋeyök sukinap öröyuai könjörata waŋgiri sehiyöhi, mi pakpak mönö ölŋa nanine aka nahönböraturupnini neŋgö buŋaya akza. Miaŋgöra Anutunöŋ jim kutum gihiyöhi, göŋön mönö mi pakpak tem köla wuataŋgöman.”
GEN.31.17	Mewö jiyohotka wahöta mem mözözöm aka anöm-moröurupŋi kököbihim eŋgiiga kamel qakŋine öŋgöget.
GEN.31.18	Mirigö sömbup kambuŋi pakpak közöl eŋgiiga mutuk anget. Sukinap yuaiŋi (merömbuŋi) pakpak Mesopotemia (Padan Aram) gölmenöŋ mala miwikŋaim sehiyöhi, mi körekbörek kölolohoba iwiŋi Aisaköreŋ anbingöra Keinan gölmenöŋ göröken anget. 
GEN.31.19	Nalö miaŋgöreŋ Labanöŋ lama jupŋini mitimamgö aniga Reizölnöŋ iwiŋaŋgöreŋ miri domlopioŋ morörökŋi yoŋgorö meyök. 
GEN.31.20	Yoŋgorö meiga Jeikobnöŋ toroqeba yöwöŋi Aram azi Laban i kewö tilipköm waŋgiyök: Anbingö keuŋi mi qahö jii mörökmö, mönö ölöŋ mosöta anget. 
GEN.31.21	Mewö ölöŋ angetka kamel yeŋön öröyuaiŋi pakpak mem bisiget. Anda Yufreitis o kutuba Gilead gölme kunduŋambuk miaŋgöreŋ göröken anget. Mewö.
GEN.31.22	Angetmö, silim karöbut aiga miaŋgöreŋ keu kewö jigetka Labanöŋ mörök, “Jeikobnöŋ mönö tököba ölöŋ köla anök.” 
GEN.31.23	Mi möta wahöta tinitosolom aziurupŋi eŋgömemba wehön 7:gö dop eŋguataŋgöba anda mala Gilead gölme kunduŋambuk miaŋgöreŋ miwikŋaiba eŋgömeget. 
GEN.31.24	Eŋgömemba suŋgem miaŋgöreŋök Anutunöŋ Aram azi Labangöra gaunöŋ asuhuba keu kewö jii mörök: “Göŋön Jeikobköra kötumötuet me qesuak keu kun jibanbuköra mönö möt kutuba galöm mem aŋguman.” 
GEN.31.25	Eŋgömegetka Jeikobnöŋ opo seri koumŋi Gilead gölme kunduŋambuknöŋ möröreŋgöba kuŋguiga Laban aka aziurupŋi yeŋön mewöyök opo seri koumŋini miaŋgöreŋ kuŋguba ahöget.
GEN.31.26	Ahöba wahöta qiŋgiŋi Jeikobköreŋ anda kewö jii mörök: “Gi mönö wani kimbia ak niŋginöŋe? Gi tilipköm niŋgizan. Kerök yeŋön yarö gila ambi yoŋgorö örömakzei, mönö miaŋgö tandök nöŋgö böratyahötni ölöŋ etkuaŋgita kanöŋ. 
GEN.31.27	Gi wuanöŋgöra isimkakalek ak niŋgiba ösumok ölöŋ köla nömosöta kanöŋ? Gi mönö wuanöŋgöra keu kun qahö jinöŋ mötpi laŋ kanöŋ? Mi mötpileŋak ewö, nöŋön ölöp liŋet gwawet albi kömam köla gita kulele qegetka sösöŋgai qakŋe gumbulbi könanöŋ kabeak.
GEN.31.28	“Mi mötpileŋak ewö, mönö ölöp isiurupni aka böratyahötni numbuŋini yöhötim nemba yaizökzökŋini jibileŋak. Gi mönö uruqahö kimbia aknöŋ. 
GEN.31.29	Nöŋön kukösumnambuk kaba ölöp ayuhum gihibileŋakmö, suŋgem ahöbiga iwigahö Anutuŋan keu kewö jii mötzal: ‘Göŋön Jeikobköra kötumötuet me qesuak keu kun jibanbuköra mönö möt kutuba galöm mem aŋguman.’ 
GEN.31.30	Miaŋgöra muat, nangi iwigahö miri gölmeŋe liliŋgömamgö urusihimgi ketaŋi möta malagun lök mosöta könanöŋ kaba maljan. Miaŋgöra ölöp anmanmö, nöŋgö domlopioŋurupni mi mönö wuanöŋgöra yoŋgorö memba kanöŋ?”
GEN.31.31	Labanöŋ mewö jiiga Jeikobnöŋ kewö meleŋ waŋgiyök: “Göŋön böratyahötki yarö ösum qakŋe noaŋgitpanbukö mötmöriba keŋgötni möta ölöŋ köla kain. 
GEN.31.32	Kainmö, kunŋan domlopioŋurupki meiga miwikŋaimani, i ölöp qenöŋga kömuma. Öröyuai pakpak memba maljali, mi ölöp tinitosolomurupniri yeŋgö jeŋine ek kewöta kinda göhöreŋ yuaigi kun miwikŋaiba eka mi ölöp meman. “Jeikobnöŋ mewö jiyökmö, anömŋi Reizölnöŋ domlopioŋ mi yoŋgorö meyöhi, apŋan mi qahö möröhaŋgöra mi tönpin jiyök.
GEN.31.33	Mewö jiiga qiŋgiŋi Jeikobkö opo seri koumŋe öŋgöba qezaŋda jaruba Leagö opo seri koumŋe öŋgöba toroqeba welen ambiyahöt mietkö opo seri koumŋire öŋgöba qezaŋda jaruba yuai kun qahö miwikŋaiyök. Leagö koumŋi mosöta miaŋgö andöŋe Reizölgö koumnöŋ öŋgöyök. 
GEN.31.34	Öŋgöyökmö, Reizölnöŋ domlopioŋurup mi memba gösönöŋ löŋgöta kamel qakŋe tatatkö dum uruŋe ala qakŋe öŋgöba qelanjim eŋgiba tarök. Mewö tariga iwiŋan opo koumŋaŋgö uruŋi körek qezaŋnökmö, mi qahö miwikŋaiyök. 
GEN.31.35	Reizölnöŋ iwiŋi kewö jii mörök: “Ketaŋamni, ni köiŋnöŋ nehiga tatzalaŋgöra aka göhö jemesoholge ölöp qahö wahötmam. Miaŋgöra uruönön kude möt niŋgiman. “Mewö jiiga miriŋaŋgö domlopioŋurupŋi mieŋgöra jaruyökmö, mi qahö miwikŋaiyök.
GEN.31.36	Qahö miwikŋaiiga kinda Jeikobnöŋ irimŋi seholiiga tembula Laban kewö jim waŋgiba qesim waŋgiyök: “Nöŋön wani könaya ak siŋgial? Mönö wani silik bölöŋi ak gihialaŋgöra kahasililiŋnöŋ böröjaŋ suhum niŋgizan? 
GEN.31.37	Nöŋgö sukinapni pakpak qezaŋ teköbagun mönö wanat yuaia kun miwikŋainöŋga nangi mirigahö buŋaya akawak? Mi ölöp memba yuhu kaba tinitosolomurupniri yeŋgö jeŋine alnöŋ eketka sutnire keu lömböt ahöiga mi kewöta jim teköba mindiŋgöm netkime.
GEN.31.38	“Nöŋön göbuk lök yambu 20 mala koral. Nalö miaŋgö uruŋe nupki membiga göhöreŋ lama aka meme (noniŋ) yeŋön morö membingö pömsöm qahö qegetmö, ölöpŋanök ahumsehip aka malget. Mewöyök lama aziŋi kun göhö sömbup kambunöhök qahö qem neal. 
GEN.31.39	Nalö tosatŋe sömbup kalŋan lama qeba yöhöqöhötiyöhi, mi qahö memba kaba gihiba malalmö, miaŋgö kitipŋi mi nani kambunöhök memba salupŋe ala malal. Lamagi suŋgemŋe me asakŋe yoŋgorö memba malbeahi, mi töndup miaŋgö salupŋi almamgö jimkutukutu alnöŋga mi wuataŋgöba malal.
GEN.31.40	“Silimnöŋ miri könöpŋan nohotiriiga suŋgemnöŋ amötŋan nuŋguiga saŋgenŋi möta malal. Nalö gwötpuk gaun guli mem niŋgiiga malal. 
GEN.31.41	Yambu 20:gö dop mewö göhö mire mala kotpi teköza. Yambu 14 mi böratyahötki etkömemamgöra welen qem gihiba malal. Miaŋgö andöŋe yambu 6 mi lama bulmakau miwikŋaimamgöra göhöreŋ nup memba malal. Mewö malalmö, göŋön nup memegö töwani mi sömaŋi 10:gö dop utekutek ala malnöŋ.
GEN.31.42	“Asani Abrahamgö Anutuŋi iwini Aisaknöŋ waikŋi memba möpöseimakzawi, yaŋön andöne awörök qahö aka kötöngöm niŋgibawak ewö, göŋön mönö böröbörak melaim niŋginöŋga köna anbileŋak. Mewö ak niŋgibanakmö, Anutunöŋ nöŋgöreŋ sihimbölö kahasililiŋ möriga nup börönan sileqeqe aka memba malali, mi eka merak suŋgem nöŋgö keuni kewöta jim teköiga mötzan. “Mewö.
GEN.31.43	Jeikobnöŋ mewö jiiga Labanöŋ kewö meleŋ waŋgiyök: “Ambi yahöt ki mönö nöŋgö böratyahötna. Yetkö nahönböraturupŋiri mi nöŋgöreŋa. Lama bulmakau kambuŋi kambuŋi ki mi nöŋgöreŋa. Yuai pakpak ki ekzani, mi körek nöŋgö buŋayök akza. Mewömö, muat nöŋön merak böratyahötni ki aka nahönböraturupŋiri eŋgömeyohori, yeŋön anmegö keuŋini jigetka mi qeapkömamgö lömbörizal. 
GEN.31.44	Miaŋgöra ölöp kaba gou köl aŋguba sutnire jöhöjöhö akit. Mi qendeŋbitpuköra mötmörim netkiba dangunu ewö sutnire ahöma.”
GEN.31.45	Mewö jiiga Jeikobnöŋ köt kun memba kuŋguiga timbetuat ewö dangunu jaböŋiri aka kinök. 
GEN.31.46	Miaŋön kiniga Jeikobnöŋ tinitosolomurupŋi yeŋgöra köt memba tokomegöra jiyök. Mewö jiiga köt memba qaknöŋ qaknöŋ ala tokoget öŋgöiga miaŋgö kösutŋe nene lömbuaŋ ohoba neget. 
GEN.31.47	Labanöŋ köt kambu miaŋgö qetŋi Jegar Sahaduta qeri Jeikobnöŋ qetŋi Galed qerök. 
GEN.31.48	Mewö qerohotka yöwöŋan qiŋgiŋi Jeikob kewö jii mörök: “Köt kambu ki mönö merak netkö sutnire dangununira ahöma. “Miaŋgöra Jeikobnöŋ miaŋgö qetŋi Galed qerök. 
GEN.31.49	Labanöŋ keu toroqeba kewö jiyök: “Kembunöŋ mönö deŋda malbiri, nalö miaŋgöreŋ sutnire jeŋan netkek tiba galöm mem netkiba malma. “Miaŋgö dop gölme miaŋgö qetŋi kun Mizpa qerök. (Mizpa Galöm meme miri köröpŋi.)
GEN.31.50	Labanöŋ keu mi toroqeba kewö jiyök: “Göŋön böratyahötni öröm ureim ak etkiman me toroqeba kakasun ambi tosatŋi eŋgömeman ewö, mönö keu ki möta malman: Gölme azi kunŋan kösutnire qahö mala netkehiga Anutunöŋ mönö töndup ölöp netkeka sutnire jöhöjöhö ahözawaŋgö keuŋi mi naŋgöba jiba malma.”
