MAT.1.1	Mokanda mobatata baYesu Masiya, mwana oDawidi, mwana oAbalayama. 
LUK.10.22	Sangwa’mbi apa leka losusu ai mbi. Pɛpɛ nongo moto ojebaka yona odi Mwana; Sango pɛ ajebaka. Na pɛpɛ nongo moto ojebaka yona odi Sango; Mwana pɛ ajebaka. Mwana akapala, adi bomoboloja ai moto. 
LUK.10.23	Yesu ahekoa ai bacingami bande na abala oko na bu pɛ; abala bo, Miso maya manɛkɛ ngando jinɛkɛ no madi na bojongoa. 
LUK.10.24	Mojɔ bo mbi natɔndɔkɔ no bo batɔndɔi banɛnɛ, na bakumu banɛnɛ, badaka na posa a bonɛ ngando jinɛkɛ no; baijinɛ ko. Badaka koko na posa a boka ngando jikaka no; baijika ko.
LUK.10.25	Okina nganga oMibeko angɔ a bomeka Yesu. Abala bo, Mokoja, êkɔ mbi nda bo nasangoe bomɔ bua bodi oko na bosusu? 
LUK.10.26	Yesu abala na nde bo, Mosɔnɔ a Mibeko modi bo? Mojɔ molangaka wɛ ena nda? 
LUK.10.27	Iyo asɔmbeja bo,
LUK.10.27	Toma pala Kumu Njambe owɛ na molema mowɛ mosusu, mwembo mowɛ mosusu, ngulu ewɛ esusu, bolɛ bowɛ bosusu; na toma pala motuteano mowɛ o asapalaka wɛ mɛnɛ.
LUK.10.28	Yesu abala na nde bo, Olongi; kɔ boa nongo ohele. 
LUK.10.29	Iyo ko apala bo asalongejae, na abala na Yesu bo, Motuteano mombi nda? 
LUK.10.30	Yesu amosɔmbeja bo, Okina momi adonga a Yelusalema bo akɛe a Yeliko, na asaka na mibengo a njea. Ibo batomba leka londe losusu, bamotua na bopipo, na ayana bo, bamokina o mogo. 
LUK.10.31	Okina nganga otempelo adaka a njea emina pongono. Iyo ko, yana anɛ yo moto omina, amobamba oko bobamba, na anɔ. 
LUK.10.32	Okina MoLewi koko boa; amea yo a esika emina, amonɛ, amobamba na anɔ oko bonɔ. 
LUK.10.33	Okina MoSamalia ko yona okɛkɛ mokina mɔngɔ, amea a esika edaka moto omina. Yana amonɛ yo, amokea wa. 
LUK.10.34	Abatama na nde, ahua pola jinde, na ajisuoa sali na vino. Amobakea a punda onde mɛnɛ, akɛ na nde a ndako epasaje na amohanea. 
LUK.10.35	Yana ahoa busa, ameja bikenge bilikonja bibae, abipa moswa ’ndako, abala na nde bo, Mobanea bopele; okamosombea leka, na likonja didi pɛ bobwana, mbi nadi bolisɔmbeja ai wɛ a lihule limbi. 
LUK.10.36	Motuteano momoto yona osaka na mibengɔ nda? Obu basato nda? Wɛ olɛkɛ bo? 
LUK.10.37	Iyo asɔmbeja bo, Oko yona omokea wa. Yesu abala na nde bo,
LUK.10.37	Wɛ, kɛ okakɔe boa pongono.
LUK.10.38	Yesu amea a ekina ngando a njea ebu, na mwali omɔci, kombe ende Malata amosɔ a ndako ende. 
LUK.10.39	Iyo adaka na mwangwa ’nde omɔci, kombe ende Malia, na yo ada na mobondo a bibota biKumu a bohokea hokoja honde. 
LUK.10.40	Malata ko adaka na mokakwano a mojɔ moelomu enɛnɛ endako. Oko boa yo akɛ ai Yesu, abala na nde bo, Kumu, otajebaka bo mwangwa ’mbi akini elomu esusu endako oko ai mbi pɛ? bala na nde bo akɔmejae mbi. 
LUK.10.41	Kumu ko amosɔmbeja bo, Malata, Malata, wɛ okakwanaka na oyayoaka na mijɔ minɛnɛ. 
LUK.10.42	Mojɔ momɔci pɛ mobwani. Malia ahɔi libondo lipele, na moto atalikatoa ai yo.
LUK.11.1	Yesu adaka a bonga a ekina esika. Yana asieja yo bo’nga, mocingami onde omɔci abala na nde bo, Kumu, bokoja so bonga o akoja Yoane bacingami bande. 
LUK.11.2	Iyo abala na bu bo, Yana angaka no, balani bo,
LUK.11.2	Sesa, yɛ kombe ewɛ esumame;
LUK.11.2	Yɛ Bokumu bowɛ bodoe.
LUK.11.3	Bopa so milɛmbɛ busa na busa.
LUK.11.4	Bokina so jibe jisu,
LUK.11.4	Mojɔ bo so bokinaka moto na moto yona okɔi bobe ai so.
LUK.11.4	Bambeja so a njea ebomeka.
LUK.11.5	Abala na bu koko bo, Okina onu akada na mina’nde, adi bokɛ ai yo na bulu tei, adi bobala na nde bo, Moninga, bekejani milɛmbɛ misato. 
LUK.11.6	Mojɔ bo okina mina’mbi amei a esika embi a mɔngɔ monde, na mbi napeliti eka a bomonea yo. 
LUK.11.7	Yona odi a ndako tei adi bomosɔmbeja bo, Yɛ bonɔngeja mbi! Nakandi modipe. Iso na bana bambi bosami. Ebɔngiti bo mbi nakine gbagba embi bo napɛ wɛ milɛmbɛ. 
LUK.11.8	Mbi ko natɔndɔko no bo, Isa aditi bongɔ bo amopɛ milɛmbɛ mojɔ bo adi mina’nde, adi bongɔ ko na âpa moto omina leka losusu lua lotakaka na nde, akada na lingbangba, pɛ sɔni.
LUK.11.9	Mbi natɔndɔkɔ no bo, Ingakani nongo osɛni. Dukakani nongo obolojaeni. Bimboakani na modipe môdipoama ai no. 
LUK.11.10	Mojɔ bo moto na moto yona ongaka asɔkɔ. Yona odukaka abolojaka. Modipe modipoamaka ai yona obimboaka. 
LUK.11.11	Okina onu akada sange’moto, na mwana’nde akamo’nga molɛmbɛ, adi bomopa litai? Akamo’nga swi, adi bomopa njɔ? 
LUK.11.12	Akamo’nga litɔ, adi bomopa koolo?
LUK.11.13	Oko boa, ino bato, nongo adi no bato babe, ojebakani bopa bana banu bipeeli bipele; esingaiti Sangwa’nu oho Diko! Iyo apaka Mwembo Mosɛnɔke ai bato baya bamongaka.
LUK.11.14	Yesu ameja mwembo mobe moengomba. Yana amana mwembo mobe, moto oengomba abala, na bato basusu bakamoa. 
LUK.11.15	Bakina babu ko babala bo, Iyo amejaka miembo mibe oko na kpaci eBalasebuba, kumu omiembo mibe. 
LUK.11.16	Bakina batongo bamodi-ngea, na bapala bo abanejae ekina embete eDiko. 
LUK.11.17	Iyo ko ajeba bilɛli bibu, na abala na bu bo, Boswiana bokada a tei ebokumu, bokumu bomina bodi bobeha. Boswiana bokada a ekina ndako, ndako emina edi bobeha. 
LUK.11.18	Oko hoa, isa Satana aswianaka na yo mɛnɛ, bokumu bonde bodi boyeyoa na ye? 
LUK.11.19	Isa mbi nadumbaka miembo mibe na kpaci eBalasebuba, bana banu bamidumbaka na kpaci enda? Oko boa bana banu bâsambeja no. 
LUK.11.20	Isa mbi ko nadumbaka miembo mibe na mosapi moNjambe, Bokumu boNjambe bodoi ai no. 
LUK.11.21	Moto mopipo akalwa molilo monde mobila a bobanea ndako ende, esika ende êda na bowi. 
LUK.11.22	Okina otongo ko yona omonɔi na bopipo, adi bona na nde na âmogbokeja, âkatoa mohlo monde mobila mojimaka yo, na âkaba leka londe. 
LUK.11.23	Moto yona oditi a dɔngɔ dimbi, o ayɛli mbi. Yona odi pɛ bondoa na mbi ananganejaka. 
LUK.11.24	Mwembo mobe mokamana ai moto, mokalebaleba a mokonda mokakanake a boduka bowi, pɛ ko boboloja bowi. Oko boa modi bobala bo, Mbi nâsɔmbɔ a ndako ekini mbi. 
LUK.11.25	Mokahula, modi bonɛ ndako embɔke na ekoleamake. 
LUK.11.26	Oko boa, mwembo momina mokɛkɛ nduki emiembo mitongo sambo mia mimonɔi na bobe, na mi misusu midi bokwea a boda ena. Na moda momoto omina mongɔngɔ, na moda monde moboso, moda monde mongɔngɔ modi bonɔ na bobe.
LUK.11.27	Yana abala yo bikenge bimina, okina mwali yona odaka a tei ehkita libato abekoa bo, Bojongoa a sɔpɔ yena ebota wɛ, na mabɛi manunga wɛ! 
LUK.11.28	Yesu ko abala bo, Badi na bojongoa soti oko baya ba’kaka na basumaka Ebaeli eNjambe.
LUK.11.29	Bato bahɛ bou mɛnɛ a ehole emina, na yo abanga bobala na bu bo, Elulu ye edi elulu ebe. Edukaka embete; eta’nɛ ko nongo embete, oko embete eJona pɛ. 
LUK.11.30	Jona adaka embete ai bato baNinewe. Mwana ’Moto ko âda koko embete a mojɔ moelulu ye. 
LUK.11.31	Kumumwali oSudo adi bongɔ na bato baelulu ye a Esambi, na abadumbabí. Mojɔ bo yo adonga a suka engondo, na adoa ai Sɔlɔmɔ bo ahokee bowɛi bonde. Okina ko yona onɔi Sɔlɔmɔ adi yaya. 
LUK.11.32	Bato baNinewe badi bongɔ na bato baelulu ye a Esambi, na babadumbabí. Mojɔ bo, ibo bahekoja milema mibu a mojɔ momwako motɔndɔ Jona. Okina ko yona onɔi Jona adi yaya.
LUK.11.33	Moto akayoja paka, ataehomba a ekina esika, isa a cina eteni. Adi boebakea a mesa, bo baya bakweaka banɛe bohu. 
LUK.11.34	Paka emokuku edi diso diwɛ. Isa diso diwɛ didi dipele, mokuku mowɛ mosusu modi a bohu; isa didi dibe ko, mokuku mowɛ mosusu modi oko a modidi. 
LUK.11.35	Oko boa, toma nganjama bo bohu bua bodi a tei ewɛ bosaka da oko modidi. 
LUK.11.36	Isa mokuku mowɛ mosusu modi a bohu, pɛpɛ nongo ekenge a modidi, modi bohoa mosusu mɛnɛ, o ekɔmɛli epaka yena ehojaka wɛ na eyoi ende.
LUK.11.37	Yana abalaka Yesu, okina MoPalusi amobea bo ayake a ndako ende. Oko boa yo akwea a ndako, na ada a mesa. 
LUK.11.38	MoPalusi akamoa yana anɛ yo bo aisasosa oko apetakini yaka. 
LUK.11.39	Kumu ko abala na nde bo, Ino BaPalusi osɛnojakani kɔpɔ na saani oko sokolu pɛ; olumini ko a tei oko na liba na bikɔmɛli bibe. 
LUK.11.40	Ino bigegele! yona okɔ sokolu aikɔ tei pongono? 
LUK.11.41	Enɔi na bopele bo osɛnojaeni ngando jia jidi a tei enu; oko boa bikɔmɛli binu bisusu bidi bobɔngɔ.
LUK.11.42	Monɔngɔ ai no BaPalusi! Okabakani ai Njambe libondo lidomi limondumbamba, na sumba, na njua jisusu jibojio; otalɛkɛni ko nongo mweka a mojɔ mobodongo na epaeli eNjambe. Obwanini bokɔ ngando jiji, na pɛ bodimboa bokɔ ngando jia jitongo pongono. 
LUK.11.43	Monɔngɔ ai no BaPalusi! Ino opalakani oko bidie biboso a sinagoge, na njɛbɛ jibato a licilinga. 
LUK.11.44	Monɔngɔ ai no! Mojɔ bo odini oko bisɛmɔ bia bibombami; bato badalaka diko pɛ bojeba.
LUK.11.45	Okina nganga oMibeko amosɔmbeja bo, Mokoja, abaliwɛ boa, okejaka so koko sɔni. 
LUK.11.46	Yesu abala na nde bo, Monɔngɔ ai no nganga baMibeko pongono! Mojɔ bo ino olwajakani bato mina minɛnɛnɛ; ino bɛnɛ ko otangɔjɔkɔni nongo mosapi momɔci a bokamoa mina mimina. 
LUK.11.47	Monɔngɔ ai no! Basangwa’nu bawa batɔndɔi; ino ko olongakani bisɛmɔ bibu. 
LUK.11.48	Oko boa ojimakani bikɔmɛli bibasangwa’nu, na obalongejakani. Ibo bawa batɔndɔi, ino ko olongakani bisɛmɔ bibu. 
LUK.11.49	Bowɛi boNjambe bobala a mojɔ momina bo, Mbi nâbalomea batɔndɔi na babwɛnji; bâwa bakina, na bâdingoja batongo. 
LUK.11.50	Oko boa, lindo jimakia mabatɔndɔi maya masopea oko a bobanga bongondo, jida a elulu ye, 
LUK.11.51	donga oko a makia maAbela, oko a makia maSekalaya yona ogwa a sibano elitumbu na tempelo. Ee, mbi natɔndɔkɔ no bo lindo jimina jidi oko a elulu ye. 
LUK.11.52	Monɔngɔ ai no nganga baMibeko! mojɔ bo okatoini sabe eejebeli; okweitini no bɛnɛ, na odipakani njea ai bato baya bakɔkɔ bo bakwee.
LUK.11.53	Amana yo a esika emina, basɔni na BaPalusi badaka na nde oko soki, na babanga bomodingea na mahɔjɔ manɛnɛ. 
LUK.11.54	Badaka oko na nduki emijɔ, bo bamodumbe a mojɔ moekina ebaeli ende.
LUK.12.1	Bato bama titana kanga koto jinɛnɛ, na bambambaka bou. Yesu abanga boleha bacingami bande bo, Toma nganjamani na lipetu liBaPalusi, oko na bokosea bobu. 
LUK.12.2	Isa mokina mojɔ modi mokundamake, môkundoama; isa modi mobombamake, môboloa. 
LUK.12.3	Oko boa ngando jisusu jibalaka no a modidi jitɔndɔmɔ a bohu; jia jibalaka no na popoli a ndako tei, jitɔndɔmɔ a diko dibitondo. 
LUK.12.4	Mbi natɔndɔkɔ no bina ’mbi bo, T’obangeni oko baya bawaka mokuku, na bakawa mokuku batabwana bokɔ mokina mojɔ motongo. 
LUK.12.5	Mbi ko nadi boneja no yona obwani na nu a bobanga; okina adi, na yo akawa, adi na ngulu a bodumba no a Gehena; mohangani yo. Ee, mbi natɔndɔkɔ no bo, Mobangani yo. 
LUK.12.6	Bobuno bodɛkɛ batano, te makota mabae? endele ko, Njambe atababosaka nongo mweka. 
LUK.12.7	Na ajebaka etango eswe jimelo minu. Oko boa yɛni bobanga; na no na dɛkɛ, ino onɔini dɛkɛ banɛnɛ na bobuno. 
LUK.12.8	Mbi natɔndɔkɔ no bo, Moto na moto yona ojimaka mbi a boso bobato, Mwana ’Moto âmojimabi yo a boso bobabwɛnji baNjambe. 
LUK.12.9	Moto ko akalona mbi a boso bobato, alonamabi yo mɛnɛ a boso bobabwɛnji baNjambe. 
LUK.12.10	Moto akalɔngɔ Mwana ’Moto, mojɔ momina mobwani bokinama; yona osambojaka Mwembo Mosɛnɔke ko na ebaeli ebe, atakinama nongo. 
LUK.12.11	Bakagbula no a boso bomakita masinagoge na bakumu na basuku, pɛ bodani na mokakwano a mojɔ mobikenge bibosɔmbeja na bobala. 
LUK.12.12	Mojɔ bo Mwembo Mosɛnɔke modi bojebeja no bikenge bia bîbwana na nu a bobala a ehole emina.
LUK.12.13	Okina moto yona odaka a tei elikita libato abala na Yesu bo, Mokoja, bala na mwangwa ’mbi bo akabe na mbi likwa. 
LUK.12.14	Iyo amosɔmbeja bo, Obakei mbi juji na mokabi onu nda? 
LUK.12.15	Abala koko na bato bo, Toma nganjamani; toma lonani bimboli bisusu, cina bo mohelo momoto mocingiti na lituna lileka lopeli yo. 
LUK.12.16	Abala na bu mondɛ mu; Okina konji adaka na gbie jia jibotaka leka lonɛnɛ. 
LUK.12.17	Oko boa, yo alɛ a molema monde bo, Ekɔ mbi ndeni? Esika etakaka na mbi a bodeja leka lombi. 
LUK.12.18	Na abala bo, Nadi bokɔ oko mojɔ mu; nâbuka ndako jidejaka na mbi leka; nâyoa jitongo jinɛnɛnɛ bo nadejae ndongo jimbi na leka lombi losusu oko ena. 
LUK.12.19	Nâsa ko nabale na mwembo mombi bo, Mwembo mombi, odejai leka lonɛnɛ mɛnɛ edɛye. Lobwani na bianga binɛnɛ; peta hema; yaka, mwaka, sasepeja. 
LUK.12.20	Njambe ko abala na nde bo, Wɛ egegele! odi bosɔmbeja mwembo mowɛ oko na bulu bu; na leka lu losusu losɛlingoi wɛ lôdika na nda? 
LUK.12.21	Edi oko boa na moto yona ohɛjɛkɛ likonja a mojɔ monde mɛnɛ pɛ, na adi na bokwali a miso maNjambe.
LUK.12.22	Yesu abala na bacingami bande bo, A mojɔ momina, mbi natɔndɔkɔ no bo, T’odaeni oko na mokakwano a mojɔ momohelo monu, a mojɔ moboyaka, na mokuku, na bisenja bibolwa. 
LUK.12.23	Na mohelo, na dia, mohelo modi mojɔ moboso. Na mokuku na bisenja, mokuku modi mojɔ moboso. 
LUK.12.24	Anjani gɔgɔ; te banake gbie; te bajuake leka a gbie; bapeliti magasini, isa edejai. Njambe ko ababɔkɔkɔ; esingaiti no, baya banɔi mbulu na yumu bou mɛnɛ. 
LUK.12.25	Okina onu adi bokaeja boyai bonde ebɔ emɔci na mokakwano? 
LUK.12.26	Oko boa, isa otahɔnɔkɔni bokɔ mokina mojɔ mokɛkɛlɛkɛ boa, okakwanakani a mojɔ mongando jitongo cina eye? 
LUK.12.27	Anjani manga maesika; te makɔke elomu; te mayoake bisenja; endele ko, madi na bohohu bopele. Mbi natɔndɔkɔ no bo elwali eSɔlɔmɔ a ekumu ende esusu eibwana na elwali edanga dimɔci diesika. 
LUK.12.28	Oko boa, isa Njambe alwajaka njienjie jia jidi a gbie busa bu, na jitumbama a mosa puma, esingaiti no, mo bato baejimeli ekɛkɛlɛkɛ! 
LUK.12.29	Pɛ bosabasabani a mojɔ moboyaka na bomwaka. Pɛ bodani na mokakwano. 
LUK.12.30	Bapakano bangondo esusu badukaka oko leka lomina. Sangwa’nu ko ajebaka bo obwanini bosɔ leka lomina. 
LUK.12.31	Ino ko, peta dukani Bokumu boNjambe, ôsa ko osɛni leka lu losusu pongono. 
LUK.12.32	Yɛni bobanga, bwela bokɛkɛ, mojɔ bo mokano mopele moSangwa’nu modi bo apɛ no Bokumu 
LUK.12.33	Ingɛjɛni leka lonu; kɔni matɔngi malikonja a mojɔ monu maya matagwa; sɛlingoani likonja liyumu oho Diko lia litasia nongo, mojɔ bo mobi atabatama oho, na mosokoto pɛ bobeja. 
LUK.12.34	Mojɔ bo molema mowɛ mosambi oko a esika edi likonja liwɛ liyumu.
LUK.12.35	Kandani njingo a mongo manu. Yojani paki jinu. 
LUK.12.36	Dani na ekɔmɛli ebato baya banjaka kumu obu yona odi a libonje lilihango bo ahule. Akamea na akaboma modipe, badi bodipoa ai yo bokpa. 
LUK.12.37	Kumu aka’tana bakɔmɛli bande misu a lihule linde, bakɔmɛli bamina bâda na sepi. Mbi natɔndɔkɔ no na soti bo yo âlwa bisenja bielomu, âbadeja a mesa, na âdoa bo abapɛ mia. 
LUK.12.38	Akadoa na bulu tei, isa a kɔkɔ oboso, na aka’tana bakɔmɛli bande na mongangele, bâda na sepi. 
LUK.12.39	Pɛ bobosani mojɔ mu; Moswa ’ndako, akɔki yo jeba ehole ekanaka mobi bodoa, ka adaki na mongangele, na ajimiti bo moto aluse ndako ende. 
LUK.12.40	Ino toma dani na mosɛlingo pongono, mojɔ bo Mwana ’Moto âbutoa no bobutoa.
LUK.12.41	Pɛtɛlo abala bo, Kumu, mondɛ mobali wɛ, obali a mojɔ mosu isa a mojɔ mobato basusu? 
LUK.12.42	Kumu abala bo, Kumu akapa okina mokɔmɛli onde oejimeli na bowɛi kpaci ai bato bande basusu, bo abakabe mia libondo libondo a ehole yena ebwani; 
LUK.12.43	na kumu onde akahula na akamotana a elomu emina, mokɔmɛli omina âda na sepi. 
LUK.12.44	Mbi natɔndɔkɔ no na soti bo adi bomopa kpaci a leka londe losusu. 
LUK.12.45	Mokɔmɛli omina ko akalɛ a molema monde bo, Kumu ombi atahula bwango; na akabanga botua bakɔmɛli batongo, na bami na bali pongono, na boyaka na bomwaka na bolangoa, 
LUK.12.46	kumu omokɔmɛli omina adi bodoa bokina busa yana adi yo pɛ bomonja, a ehole edi yo pɛ bojeba, âmotua bou mɛnɛ na amo’sa ta libondo libato baya bapehti ejimeli. 
LUK.12.47	Mokɔmɛli yona ojebaka bolulea bokumu onde, pɛ ko bosɛlingoa, pɛ bokɔ o apalaka kumu onde, adi botuama na bopipo mɛnɛ. 
LUK.12.48	Yona odi pɛ bojeba ko, na akakɔ mijɔ mia mibwani na nji, atatuama na bopipo. Bato bakapa moto leka lonɛnɛ, badingaka bo badi bosɔ leka lonɛnɛ ai yo; na bakamopa leka lonɛnɛ a mojɔ mobobanea, badi bobea leka lonɛnɛ ai yo.
LUK.12.49	Mbi nadoi bo natumbe mosa a ngondo. Posa embi edi oko bo mongoe. 
LUK.12.50	Mbi ko nabwani bobatisama na ekina batisimo, na nadi na posa enɛnɛ bo esie. 
LUK.12.51	Ino odingakani bo mbi nadoi bo napɛ bowi a ngondo? Pɛpɛ, te nongo bowi, gbo oko bobɔtɔ; mbi mɛnɛ natɔndɔkɔ no. 
LUK.12.52	Bato batano bakada a ndako emɔci, bâbɔtɔnɔ; bato basato a elingi emɔci, na babae a elingi etongo, isa bato babae a elingi etnɔci, na basato a elingi etongo. 
LUK.12.53	Bobɔtɔnɔ bomina bôda bo sango âlona mwana ’nde momi, na mwana-momi âlona sangwa ’nde; nango âlona mwana ’nde mwali, na mwana-mwali âlona ngwa ’nde; mwali âlona bokio bonde mwali, na mwali omina âlona bokio bonde mwali.
LUK.12.54	Yesu abala koko na emumu ebato bo, Okanɛni bo eyembi emani a dɔngɔ diwɛseta, obalakani bokpa bo mbua adi ta busa; na modi oko boa. 
LUK.12.55	Na okanɛni bo pwea ehulaka a dɔngɔ disudo, obalakani bo moi modi momana mopipo; na modi oko boa. 
LUK.12.56	Ino bakosei! Ocingeakani bimbete bibusa na bingondo, pɛ ko bocingea bimbete bimasu mama. 
LUK.12.57	Otasambejakani mijɔ a tei emilema minu mojɔ moye, a bojeba njea esoti? 
LUK.12.58	Isa moto adi na wɛ mojɔ, na okɛkɛ na nde a esambi, meka bosieja mojɔ monu oko a njea, asaka gbula wɛ a boso bojuji, na juji âpa wɛ a mɔmɔ makɔmisɛlɛ, na kɔmisɛlɛ âsa wɛ a blɔkɔ. 
LUK.12.59	Mbi natɔndɔkɔ wɛ bo, Omiti sieja nongo ewɛ esusu mɛnɛ, otamana nongo.
LUK.13.1	Bakina bato badaka ena a ehole emina haya batɔndɔ Yesu mojɔ mobato baGalile. Pilato ama putoana makia mabu na makia matito babu bamasiko. 
LUK.13.2	Iyo abasɔmbeja bo, Ino olɛkɛni bo BaGalile bamina banɔ BaGalile basusu na bobe, cina bo badingoa boa? 
LUK.13.3	Pɛpɛ nongo mweka; mbi ko natɔndɔkɔ no bo omiti hekojani milema minu, ôgwani no basusu oko boa. 
LUK.13.4	Ndako enɛnɛ ekwa oho Siloa na ewa bato domi-na-bomwambe; ino olɛkɛni bo bato bamina banɔ bato basusu baYelusalema na bobe? 
LUK.13.5	Ngasa; mbi ko natɔndɔkɔ no bo omiti hekojani milema minu, ôgwani no basusu oko boa.
LUK.13.6	Iyo abala na bu mondɛ mu. Okina moto adaka na 
LUK.13.7	Abala na monjeli ogbie bo, Ika; mbi nadoaka ya edɛye bianga bisato a boduka mbuma a mole momina, pɛ ko bonɛ mbuma. Kwɛlɛ mole momina; modi ya a kpɔtɔ oko edada pɛ. 
LUK.13.8	Iyo ko amosɔmbeja bo, Kumu, kina modae koko yanga ye. Mbi nadi bolonga kpɔtɔ a esika emina, na nâsa daa. 
LUK.13.9	Isa modi mobota mbumba ngɔngɔ? Momiti bota ko, odi bomokwɛlɛ.
LUK.13.10	Yesu akojaka a sinagoge bokina busa boSabata. 
LUK.13.11	Okina mwali adaka ena yona odaka na yogo emonio bianga domi-na-bomwambe. Adaka mongundubanake, na aihɔnɔ bo’ma bojo. 
LUK.13.12	Yesu amonɛ, amobea na abala na nde bo, Mwali, oheli a yogo ewɛ. 
LUK.13.13	Abakea mɔmɔ mande ai mwali, na yo ama bojo bokpa, na asakoa Njambe. 
LUK.13.14	Mosuku osinagoge ko akɛnjɔ oko bokɛnjɔ, cina bo Yesu amoheleja a yogo a busa boSabata. Iyo abala na bato bo, Masu maelomu madi oko masamano. Doani a mojɔ mosengo a masu mamina, te a busa boSabata. 
LUK.13.15	Kumu amosɔmbeja bo, lno bakosei! Ino basusu otacingoakani ngɔmbɔ na punda banu a ndako a busa boSabata, a bokɛ na bu a ediba? 
LUK.13.16	Oko boa, ebɔngiti bo mwali yoyo, yona odi mwana oAbalayama, acingoame a monyɔlɔ momina? Mojɔ bo adaka a mbɔci ji Satana bianga domi-na-bomwambe. 
LUK.13.17	Abala yo boa, soki jinde basamboa basusu. Bato basusu ko bangando basepa a mojɔ momindumba misusu mikɔkɔ yo.
LUK.13.18	Yesu abala koko bo, Bokumu boNjambe bodi o bo? Nadi bongɛ Bokumu boNjambe na ye? 
LUK.13.19	Modi o mongua mobojio mɛnɛ. Okina moto amotomba na amona a gbie ende. Mongua motɔ na mohɛ mole monɛnɛ, na mbulu badiko bakɔ mobo mabu a bitape bimole momina.
LUK.13.20	Abala koko bo, Mbi nadi bongɛ Bokumu boNjambe na ye? 
LUK.13.21	Bodi o lipetu litomba mwali; ali’sa ta esei yena edaka na farini sanga jisato, na farini esusu ebongoa lipetu.
LUK.13.22	Yesu akoja a ngando jinɛnɛnɛ na ngando jikɛkɛ jia jidaka a njea ende, yana akɛ yo a njea eYelusalema. 
LUK.13.23	Okina moto abala na nde bo, Kumu, badi bohela oko bakina bato pɛ? 
LUK.13.24	Iyo abala na bu bo, Kɔni na ngulu enu esusu bo okweeni a modipe mokototake. Mojɔ bo mbi natɔndɔkɔ no bo bato banɛnɛ badi bokenga bokwea ena, na batabɔnɔ bokwea. 
LUK.13.25	Moswa ’ndako akangɔ, na akadipa modipe, ino ôdikani oko sokolu, na ôbangani boboma modipe. Ôbalani bo, Kumu, dipoa ai so. Iyo ko âsɔmbeja no bo, Mbi mtajebaka no isa esika ehuli no. 
LUK.13.26	Oko boa, ôbangani bobala bo, Iso boyaka na bomwaka na wɛ a esika emɔci. Wɛ otɔndɔ mwako a macilinga masu. 
LUK.13.27	Iyo ko âsɔmbeja bo, Mbi natɔndɔkɔ no bo nitajebaka nongo esika ehuli no. Dongani ai mbi ino basusu baya bakɔkɔ bobe. 
LUK.13.28	Okanɛni Abalayama, na Isaka, na Yakobo, na batɔndɔi basusu, a tei eBokumu boNjambe, yana âdumbama no bɛnɛ sokolu, ôyeani bio, na ôdani na bokpɛkpɛnɛ bomino oho. 
LUK.13.29	Bato hadi bodonga a dɔngɔ diɛsɛta na wɛsɛta, a pamba enɔdɔ, na pamba esudo, a boda a bidie bibu a Bokumu boNjambe. 
LUK.13.30	Hokeani ko! Bakina baya badi oko ngɔngɔ bâdaboso, na bakina baya badi boso bâda oko ngɔngɔ.
LUK.13.31	Bakina BaPalusi badoa a ehole emina, na babala na Yesu bo, Donga ya, kɛ a esika etongo, mojɔ bo Elode apalaka awoe wɛ. 
LUK.13.32	Iyo abasɔmbeja bo, Kɛni atɔndɔe mosɔlɔ omina bo mbi namejaka miembo mibe, nahelejaka bato a bego busa bu na puma; nadi bomaja ko a busa bomasato. 
LUK.13.33	Ebɔngi ko bo nadale busa bu, na puma, na puma-sɛnɛ; mojɔ bo motɔndɔi abwani bogwa oko a Yelusalema, te nongo a esika etongo. 
LUK.13.34	Ee Yelusalema! Yelusalema! Owakani batɔndɔi, na olakani bato matai baya badoaka na bwɛnji ai no. Mbi nadaka na posa bihole binɛnɛ bo nabolee bana banu, o aboleaka kɔkɔ bana bande bo babolame a cina jimapapulapu mande, ino ko oipalakani. 
LUK.13.35	Edɛye ko, ndako enu edikai mokpata. Mbi natɔndɔkɔ no bo otanɛni mbi koko, oko adi no pɛ bopeta bala bo, Bojongoa ai yona odoaka a kombe eKumu.
LUK.14.1	Yesu akɛ a ndako emosuku omɔci oBaPalusi bokina busa boSabata, a mojɔ moboyaka, na BaPalusi bamonjaka na bopipo. 
LUK.14.2	Okina momi adaka a boso bonde yona oma kɔnɔ ngbungbuma. 
LUK.14.3	Yesu ahɔjɔ hakoja baMibeko na BaPalusi bo, Mibeko mijimaka bo bosengoe a busa boSabata, isa mitajimaka? 
LUK.14.4	Ibo badaka oko bogo. Oko boa, Yesu aheleja moto omina a yogo ende, na amoyaneja. 
LUK.14.5	Abala koko na bu bo, Okina onu akada na punda isa ngɔmbɔ; na akakwa a mombɔndɔ, otamoduboja bokpa a busa boSabata? 
LUK.14.6	Ibo ko badaka oko bogo, pɛ bosɔmbeja nongo ekenge.
LUK.14.7	Yesu anɛ bo bato baya badaka ena a boyaka bahɔkɔ bidie biekumu. Oko boa, abala mondɛ mu a mojɔ mobu. 
LUK.14.8	Abala bo, Moto akabea wɛ a libonje lilihango, pɛ boda nongo a esika eekumu, asaka bea okina otongo yona odi boso bowɛ. 
LUK.14.9	Mojɔ bo, yona obea wɛ adi bodoa, âbala na wɛ bo, Kinea moto yo esika ye; na wɛ odi bokɛ a edie esuka, oko na sɔni. 
