GEN.1.1	I begynnelsen skapade Gud himmel och jord.
RUT.2.16	 Ja, ni kan till och med dra ut strån ur knipporna åt henne och låta dem ligga så att hon får plocka upp dem, och ni får inte klandra henne för det." 
RUT.2.17	Hon plockade ax på åkern ända till kvällen. När hon klappade ut det som hon hade plockat, var det ungefär en efa korn. 
RUT.2.18	 Hon tog det med sig och gick in i staden, och hennes svärmor fick se vad hon hade plockat. Hon tog också fram och gav henne det hon hade fått över, sedan hon ätit sig mätt. 
RUT.2.19	 Då sade hennes svärmor till henne: "Var har du plockat ax i dag och var har du arbetat? Välsignad vare han som har tagit sig an dig!" Då berättade hon för sin svärmor vem hon hade arbetat hos. Hon sade: "Mannen som jag i dag har arbetat hos heter Boas." 
RUT.2.20	 Då sade Noomi till sin sonhustru: "Välsignad vare han av 
RUT.2.21	Moabitiskan Rut sade: "Han sade också till mig: Håll dig till mina tjänare, tills de har bärgat hela min skörd." 
RUT.2.22	 Då sade Noomi till sin sonhustru Rut: "Ja, det är bäst, min dotter, att du går med hans tjänstekvinnor, för på en annan åker kunde du bli antastad." 
RUT.2.23	 Så höll hon sig till Boas tjänstekvinnor och plockade ax där till dess både kornskörden och veteskörden var avslutade. Men hon bodde hos sin svärmor. 
RUT.3.1	Ruts svärmor Noomi sade till henne: "Min dotter, jag vill försöka skaffa dig trygghet, så att det går bra för dig. 
RUT.3.2	 Det är så att Boas, vars tjänstekvinnor du har varit tillsammans med, är vår släkting. Och just i natt kastar han korn på sin tröskplats. 
RUT.3.3	 Tvätta dig, smörj dig och kläd dig fin och gå ner till tröskplatsen. Men ge dig inte till känna för honom innan han har ätit och druckit. 
RUT.3.4	 När han lägger sig, se då efter var han lägger sig. Gå dit och lyft upp manteln vid hans fötter och lägg dig där. Han kommer sedan själv att säga dig vad du bör göra." 
RUT.3.5	 Hon svarade henne: "Allt vad du säger vill jag göra." 
RUT.3.6	Rut gick ner till tröskplatsen och gjorde precis som hennes svärmor hade sagt till henne. 
RUT.3.7	 När Boas hade ätit och druckit och hans hjärta var glatt, gick han bort och lade sig intill sädeshögen. Då kom hon dit utan att han märkte det och hon lyfte upp manteln vid hans fötter och lade sig där. 
RUT.3.8	 Vid midnatt blev mannen uppskrämd och böjde sig framåt, och se, då låg en kvinna vid hans fötter. 
RUT.3.9	 "Vem är du?" frågade han. Hon svarade: "Jag är Rut, din tjänarinna. Bred ut din mantelflik över din tjänarinna, för du är min återlösare." 
RUT.3.10	 Då sade han: "Välsignad är du av 
RUT.3.11	 Så var nu inte rädd, min dotter. Allt vad du säger vill jag göra dig. Alla i stadsporten vet att du är en ärbar kvinna. 
RUT.3.12	 Det är sant att jag är din återlösare. Men det finns en annan återlösare, som står dig närmare än jag. 
RUT.3.13	 Stanna nu kvar här i natt. Om han i morgon vill ta ansvaret för dig, ja, då får han göra det. Men om han inte vill det, då skall jag göra det, så sant 
RUT.3.14	Hon låg kvar vid hans fötter ända till morgonen. Men hon steg upp innan någon ännu kunde känna igen den andre. Han tänkte: "Det får inte bli känt att kvinnan har kommit hit till tröskplatsen." 
RUT.3.15	 Och han sade: "Räck fram manteln som du har på dig och håll den stadigt." Hon höll fram den. Då mätte han upp sex mått korn och lade det på henne. Därefter gick hon in i staden. 
RUT.3.16	När hon kom till sin svärmor, frågade hon: "Hur har det gått för dig, min dotter?" Då berättade hon för henne allt vad mannen hade gjort för henne. 
RUT.3.17	 Och hon sade: "De här sex måtten gav han mig och sade: Du skall inte komma tomhänt hem till din svärmor." 
RUT.3.18	 Då svarade hon: "Vänta, min dotter, tills du får se hur saken utfaller. För den mannen kommer inte att ge sig någon ro, förrän han i dag fört saken till sitt slut." 
RUT.4.1	Boas gick upp till stadsporten och satte sig där. Då kom återlösaren förbi, den som Boas hade talat om. Boas sade: "Kom och sätt dig här, min vän." Och han kom och satte sig. 
RUT.4.2	 Därefter tog Boas till sig tio män av de äldste i staden och sade: "Sätt er här." Och de satte sig. 
RUT.4.3	 Sedan sade han till återlösaren: "Den åkermark som tillhörde vår broder Elimelek vill Noomi sälja, hon som kom tillbaka från Moabs land. 
RUT.4.4	 Därför tänkte jag meddela dig detta och säga: Köp marken inför dem som sitter här och inför mitt folks äldste. Vill du lösa in den, så gör det. Men om du inte vill lösa in den så säg mig det, så att jag vet. För ingen annan än du har den rätten och näst dig jag själv." Han sade: "Jag löser in den." 
RUT.4.5	Boas sade: "När du köper marken av Noomi, då köper du den också av den moabitiska kvinnan Rut, den dödes hustru, för att uppväcka den dödes namn över hans arvslott." 
RUT.4.6	 Återlösaren svarade: "Då kan jag inte lösa in den, för då skulle jag skada min egen arvslott. Lös du in det jag skulle ha löst in, för jag kan inte göra det." 
RUT.4.7	Vid inlösen och ägarbyte var det förr i tiden sed i Israel att den ena parten, för att stadfästa avtalet, drog av sig sin sko och gav den åt den andre. Detta gällde som bekräftelse i Israel. 
RUT.4.8	Återlösaren sade till Boas: "Köp det du!" Och han tog av sig skon. 
RUT.4.9	 Då sade Boas till de äldste och till allt folket: "Ni är i dag vittnen till att jag av Noomi har köpt allt det som tillhört Elimelek och allt det som tillhört Kiljon och Mahlon. 
RUT.4.10	 Samtidigt har jag också förvärvat moabitiskan Rut, Mahlons hustru, till hustru åt mig för att uppväcka den dödes namn över hans arvslott, så att den dödes namn inte blir utrotat bland hans bröder eller ur porten till hans stad. Ni är i dag vittnen till detta." 
RUT.4.11	 Allt folket i stadsporten liksom de äldste svarade: "Vi är vittnen. Må 
RUT.4.12	 Må ditt hus bli som Peres hus, honom som Tamar födde åt Juda, genom de avkomlingar som 
RUT.4.13	Boas tog Rut till sig och hon blev hans hustru. När han gick in till henne, lät 
RUT.4.14	 Då sade kvinnorna till Noomi: "Välsignad vare 
RUT.4.15	 Han skall ge dig nytt liv och försörja dig på din ålderdom. Ty din sonhustru, som har dig kär, har fött honom, hon som är mer för dig än sju söner." 
RUT.4.16	 Noomi tog barnet och lade det i sin famn och blev den som skötte det. 
RUT.4.17	Grannkvinnorna gav honom ett namn och sade: "Noomi har fått en son". De kallade honom Obed och han blev far till Isai, Davids far. 
RUT.4.18	Detta är Peres fortsatta historia: Peres blev far till Hesron, 
RUT.4.19	 Hesron blev far till Ram, Ram blev far till Amminadab 
RUT.4.20	 Amminadab blev far till Nahson, Nahson blev far till Salmon, 
RUT.4.21	 Salmon blev far till Boas, Boas blev far till Obed, 
RUT.4.22	 Obed blev far till Isai och Isai blev far till David. 
1SA.1.1	I Ramatajim-Sofim i Efraims bergsbygd bodde en man som hette Elkana. Han var son till Jeroham, son till Elihu, son till Tohu, son till Suf, en efraimit. 
1SA.1.2	 Elkana hade två hustrur. Den ena hette Hanna och den andra Peninna. Peninna hade barn, men Hanna hade inga. 
1SA.1.3	 Elkana gav sig år efter år i väg från sin stad för att tillbe och offra åt 
1SA.1.4	 Den dag Elkana bar fram sitt offer brukade han ge sin hustru Peninna och alla hennes söner och döttrar var sin del av offret. 
1SA.1.5	 Men åt Hanna gav han en dubbelt så stor del, ty han hade henne kär, även om 
1SA.1.6	 För att göra henne upprörd brukade hennes medtävlerska retas mycket med henne, därför att 
1SA.1.7	 Detta pågick år efter år. Varje gång Hanna gick upp till 
1SA.1.8	 Då sade hennes man Elkana till henne: "Hanna, varför gråter du? Varför äter du inte? Varför är du så ledsen? Är inte jag mer för dig än tio söner?" 
1SA.1.9	 Sedan de hade ätit och druckit i Silo, reste sig Hanna och gick till 
1SA.1.10	 Hon var djupt bedrövad och började be till 
1SA.1.11	 Hon gav ett löfte och sade: " 
1SA.1.12	När hon länge bad inför 
1SA.1.13	 Hanna talade i sitt hjärta, och bara hennes läppar rörde sig, men hennes röst hördes inte. Då trodde Eli att hon var drucken. 
1SA.1.14	 Därför sade han till henne: "Hur länge skall du bära dig åt som en drucken? Se till att ruset går av dig!" 
1SA.1.15	"Nej, min herre", svarade Hanna, "jag är en hårt prövad kvinna. Vin och starka drycker har jag inte druckit, men jag utgöt min själ för 
1SA.1.16	 Tag inte din tjänarinna för en dålig kvinna, det är på grund av min stora sorg och smärta som jag har talat ända till denna stund." 
1SA.1.17	 Då svarade Eli henne: "Gå i frid och må Israels Gud ge dig vad du har bett honom om." 
1SA.1.18	 Hon sade: "Låt din tjänarinna finna nåd för dina ögon". Så gick hon sin väg och tog sig mat och såg inte längre sorgsen ut. 
1SA.1.19	De steg alla upp tidigt följande morgon, och sedan de tillbett inför 
1SA.1.20	 Hanna blev havande och födde en son, när tiden var inne. Hon gav honom namnet Samuel,
1SA.1.21	När sedan Elkana med hela sitt hus gav sig i väg för att offra sitt årliga slaktoffer och sitt löftesoffer åt 
1SA.1.22	 gick inte Hanna med utan sade till sin man: "Jag vill vänta tills pojken har blivit avvand. Då skall jag ta honom med mig och föra fram honom inför 
1SA.1.23	 Hennes man Elkana sade till henne: "Gör vad du finner bäst. Stanna tills du har avvant honom. Må bara 
1SA.1.24	Men sedan hon hade avvant honom, tog hon honom med sig till 
1SA.1.25	 De slaktade tjuren och förde sedan fram pojken till Eli. 
1SA.1.26	 Hon sade: "Hör på mig, min herre, så sant du lever, min herre, jag är den kvinna som stod här bredvid dig och bad till 
1SA.1.27	 Den här pojken bad jag om, och nu har 
1SA.1.28	 Därför vill jag nu ge honom tillbaka till 
1SA.2.1	Hanna bad och sade: 
1SA.2.1	"Mitt hjärta fröjdar sig i 
1SA.2.1	mitt horn är upphöjt genom 
1SA.2.1	Min mun är vidöppen mot mina fiender,
1SA.2.1	ty jag gläder mig i din frälsning.
1SA.2.2	Ingen är helig som 
1SA.2.2	ty ingen finns utom dig.
1SA.2.2	Ingen klippa är som vår Gud.
1SA.2.3	Tala inte så högmodigt,
1SA.2.3	låt inte fräcka ord komma från er mun.
1SA.2.3	Ty 
1SA.2.3	och hos honom vägs gärningarna.
1SA.2.4	Hjältarnas bågar är sönderbrutna,
1SA.2.4	men de stapplande rustar sig med kraft.
1SA.2.5	De mätta måste tjäna för bröd,
1SA.2.5	men de hungriga hungrar inte mer.
1SA.2.5	Den ofruktsamma föder sju barn,
1SA.2.5	men den som fick många söner tynar bort.
1SA.2.6	han för ner i dödsriket och upp därifrån.
1SA.2.7	han ödmjukar och han upphöjer.
1SA.2.8	Han reser den ringe upp ur stoftet,
1SA.2.8	ur dyn lyfter han upp den fattige
1SA.2.8	för att sätta honom bland furstar.
1SA.2.8	Ja, han låter honom ärva härlighetens tron.
1SA.2.8	Ty jordens grundpelare är 
1SA.2.8	och på dem har han byggt världen.
1SA.2.9	Sina frommas fötter bevarar han,
1SA.2.9	men de ogudaktiga tystas i mörkret,
1SA.2.9	ty av egen kraft är ingen stark.
1SA.2.10	De som strider mot 
1SA.2.10	blir krossade,
1SA.2.10	mot dem dundrar han i himlen.
1SA.2.10	och ger makt åt sin konung.
1SA.2.10	Han upphöjer sin smordes horn."
1SA.2.11	Elkana gick hem igen till Rama. Men Samuel gjorde tjänst inför 
1SA.2.12	Men Elis söner var onda män, som inte kände 
1SA.2.13	 Så här brukade prästerna göra med folket: När någon offrade ett slaktoffer, kom prästens tjänare medan köttet kokades och hade en treuddig gaffel i handen. 
1SA.2.14	 Den stack han ner i kitteln, pannan, krukan eller grytan, och allt som gaffeln fick upp tog prästen. Så gjorde de mot alla israeliter som kom dit till Silo. 
1SA.2.15	 Ja, till och med innan man hade förbränt det feta, kom prästens tjänare och sade till den som offrade: "Ge hit kött att steka åt prästen, för han vill inte ha kokt kött av dig, utan rått." 
1SA.2.16	 Om då mannen svarade honom: "Låt dem först förbränna det feta, sedan kan du ta vad du vill", så brukade han svara: "Nej, ge mig det nu, annars tar jag det med våld." 
1SA.2.17	 De unga männens synd var mycket stor inför 
1SA.2.18	Samuel gjorde tjänst inför 
1SA.2.19	 Dessutom brukade hans mor varje år göra åt honom en liten kåpa, som hon hade med sig, när hon tillsammans med sin man begav sig upp för att offra det årliga slaktoffret. 
1SA.2.20	 Då brukade Eli välsigna Elkana och hans hustru och säga: "Må 
1SA.2.22	Eli var nu mycket gammal. När han fick höra allt vad hans söner gjorde mot hela Israel och att de låg med de kvinnor som tjänstgjorde vid ingången till uppenbarelsetältet, 
1SA.2.23	 sade han till dem: "Varför gör ni sådant? Jag hör från allt folket här hur illa ni handlar. 
1SA.2.24	 Gör inte så, mina söner! Det är inget gott rykte jag hör, det som sprids bland 
1SA.2.25	 Om en människa syndar mot en annan människa, kan Gud medla för henne. Men om en människa syndar mot 
1SA.2.26	Och pojken Samuel växte och blev stor och blev till glädje för både 
1SA.2.27	En gudsman kom till Eli och sade till honom: "Så säger 
1SA.2.28	 Och utvalde jag inte honom bland alla Israels stammar till präst åt mig för att offra på mitt altare och tända rökelse och bära efod inför mitt ansikte? Gav jag inte Israels barns alla eldsoffer åt din faders hus? 
1SA.2.29	 Varför föraktar ni då mina slaktoffer och mina matoffer som jag har befallt i min boning? Hur kan du ära dina söner mer än mig, så att ni göder er själva med det bästa av varje offergåva från mitt folk Israel? 
1SA.2.30	 Därför säger 
1SA.2.31	 Se, dagar skall komma, då jag skall hugga av din arm och din faders hus arm så att ingen skall bli gammal i ditt hus. 
1SA.2.32	 Du skall få se min boning lida nöd trots allt det goda som sker med Israel. Ingen skall någonsin bli gammal i ditt hus. 
1SA.2.33	 Den man av din släkt som jag inte utrotar från mitt altare skall få dina ögon att förtvina och bli till sorg för din själ. Och alla som växer upp i ditt hus skall dö i sina bästa år. 
1SA.2.34	 Tecknet på detta skall för dig vara det som kommer att drabba dina båda söner Hofni och Pinehas: På samma dag skall de båda dö. 
1SA.2.35	 Men jag skall låta en trogen präst framträda åt mig. Han skall göra det som är i mitt hjärta och min själ. Åt honom skall jag bygga ett hus på fast grund, och han skall ständigt vandra inför min smorde. 
1SA.2.36	 Och det skall bli så att var och en som är kvar av ditt hus skall komma och falla ner inför honom för att få ett silvermynt eller en kaka bröd och säga: Anställ mig för någon prästsyssla, så att jag får en bit bröd att äta." 
1SA.3.1	Pojken Samuel gjorde tjänst inför 
1SA.3.2	 Då hände en gång detta medan Eli låg på sin plats. Hans ögon hade börjat bli skumma så att han inte kunde se. 
1SA.3.3	 Guds lampa hade ännu inte slocknat, och Samuel låg i 
1SA.3.4	 Då kallade 
1SA.3.5	 Därefter skyndade han sig till Eli och sade: "Här är jag, du ropade på mig." Men han svarade: "Jag har inte ropat. Gå tillbaka och lägg dig." Och han gick och lade sig. 
1SA.3.7	 Samuel kände ännu inte 
1SA.3.9	 Därför sade han till Samuel: "Gå och lägg dig, och om han ropar på dig, så säg: Tala 
1SA.3.10	 Då kom 
1SA.3.11	Då sade 
1SA.3.12	 På den dagen skall jag låta komma över Eli allt vad jag har talat mot hans hus, från det första till det sista. 
1SA.3.13	 Jag har kungjort för honom att jag skall döma hans hus till evig tid på grund av den synd han kände till, nämligen att hans söner drog förbannelse över sig, utan att han tillrättavisade dem. 
1SA.3.14	 Därför har jag också med ed betygat om Elis hus att dess missgärning aldrig någonsin skall försonas, vare sig med slaktoffer eller med någon annan offergåva." 
1SA.3.15	Samuel låg kvar till morgonen då han öppnade dörrarna till 
1SA.3.16	 Men Eli ropade på Samuel: "Samuel, min son!" Han svarade: "Här är jag." 
1SA.3.17	 Då sade Eli: "Vad var det han sade till dig? Dölj det inte för mig! Må Gud straffa dig både nu och senare, om du döljer för mig något enda ord av det han sade till dig." 
1SA.3.18	 Samuel talade då om allt för honom och dolde ingenting. Eli sade: "Han är 
1SA.3.19	Och Samuel växte upp, och 
1SA.3.20	 Hela Israel, från Dan ända till Beer-Sheba, förstod att Samuel var betrodd att vara en 
1SA.3.21	 Och 
1SA.4.1	Samuels ord kom till hela Israel. Och Israel drog ut till strid mot filisteerna och slog läger vid Eben-Haeser, medan filisteerna hade slagit läger vid Afek. 
1SA.4.2	 Filisteerna ställde då upp sig i slagordning mot Israel. Striden spred sig, och israeliterna blev slagna av filisteerna, som nergjorde omkring fyratusen man på slagfältet. 
1SA.4.3	 När folket kom tillbaka till lägret, sade de äldste i Israel: "Varför har 
1SA.4.4	 Folket sände män till Silo, och de bar 
1SA.4.5	Då 
1SA.4.6	 Filisteerna hörde jubelropet och sade: "Vad betyder detta höga jubelrop i hebreernas läger?" När filisteerna fick veta att 
1SA.4.7	 blev de rädda ty de tänkte: "Gud har kommit in i lägret." De sade: "Ve oss! Något sådant har inte hänt förut. 
1SA.4.8	 Ve oss! Vem kan rädda oss från denne mäktige Guds hand? Det var denne Gud som slog egyptierna med alla slags plågor i öknen. 
1SA.4.9	 Men fatta mod och var män, ni filisteer, så att ni inte blir slavar åt hebreerna, som de har varit slavar åt er. Ja, var män och kämpa!" 
1SA.4.10	Så stred filisteerna, och israeliterna blev slagna och flydde var och en till sitt tält. Nederlaget blev mycket stort, och Israel förlorade trettiotusen man av fotfolket. 
1SA.4.11	 Dessutom blev Guds ark erövrad, och Elis båda söner Hofni och Pinehas miste livet. 
1SA.4.12	En benjaminit sprang från slagfältet och kom till Silo samma dag, med sönderrivna kläder och med jord på sitt huvud. 
1SA.4.13	 När han kom dit satt Eli på sin stol vid sidan av vägen och vaktade, ty hans hjärta bävade av oro för Guds ark. Så snart mannen kom in i staden med budskapet, brast hela staden ut i klagorop. 
1SA.4.14	 När Eli hörde klagoropet, sade han: "Vad betyder detta oväsen?" Då skyndade mannen sig dit och berättade för Eli. 
1SA.4.15	 Men Eli var nittioåtta år gammal, och hans ögon hade gråstarr så att han inte kunde se. 
1SA.4.16	 Mannen sade till Eli: "Jag är den som har kommit från slagfältet. Jag flydde därifrån i dag." Då sade Eli: "Vad har hänt, min son?" 
1SA.4.17	 Budbäraren svarade: "Israel har flytt för filisteerna, och mycket folk har stupat. Dina båda söner Hofni och Pinehas är också döda, och Guds ark har blivit erövrad." 
1SA.4.18	 När han nämnde Guds ark, föll Eli baklänges av stolen vid sidan av porten, bröt nacken och dog. Ty mannen var gammal och tung. Eli hade då varit domare i Israel i fyrtio år. 
1SA.4.19	Hans sonhustru, Pinehas hustru, som var havande och nära att föda, fick höra nyheten att Guds ark var bortrövad och att hennes svärfar och man var döda. Hon sjönk då ner och födde sitt barn, ty födslovärkarna kom över henne. 
1SA.4.20	 När hon höll på att dö, sade kvinnorna som stod omkring henne: "Frukta inte, du har fött en son." Men hon svarade inte och brydde sig inte om det. 
1SA.4.21	 Hon kallade pojken I-Kabod,
1SA.4.22	 Hon sade: "Härligheten är borta från Israel, för Guds ark är bortrövad." 
1SA.5.1	Filisteerna tog Guds ark och förde den från Eben-Haezer till Asdod. 
1SA.5.2	 De bar Guds ark in i Dagons tempel och ställde den bredvid Dagon. 
1SA.5.3	 När asdoditerna tidigt dagen därefter kom dit, fick de se Dagon ligga framstupa på marken framför 
1SA.5.4	 Men när de tidigt nästa dag kom dit, fick de se Dagon ligga framstupa framför 
1SA.5.5	 I Asdod trampar därför ingen än i dag på Dagons tröskel, varken Dagons präster eller någon annan som går in i Dagons tempel. 
1SA.5.7	 När invånarna i Asdod såg att detta hände, sade de: "Israels Guds ark får inte stanna hos oss, för hans hand är tung över oss och vår gud Dagon." 
1SA.5.8	 De sände bud och samlade alla filisteernas furstar och sade: "Vad skall vi göra med Israels Guds ark?" De svarade: "Låt Israels Guds ark flyttas till Gat." Då flyttade de Israels Guds ark dit. 
1SA.5.9	 Men sedan de hade flyttat den dit, uppstod genom 
1SA.5.10	 Då sände de Guds ark till Ekron. Men när Guds ark kom till Ekron, ropade ekroniterna: "De har flyttat Israels Guds ark till oss för att döda oss och vårt folk." 
1SA.5.11	 De sände bud och samlade alla filisteernas furstar och sade: "Sänd bort Israels Guds ark, så att den får komma tillbaka till sin plats igen och inte dödar oss och vårt folk." Ty en dödlig förvirring hade uppstått i hela staden. Guds hand låg mycket tung över den. 
1SA.5.12	 De av invånarna som inte dog blev slagna med bölder, och ropet från staden steg upp mot himlen. 
1SA.6.1	När 
1SA.6.2	 kallade filisteerna till sig präster och spåmän och sade: "Vad skall vi göra med 
1SA.6.3	 De svarade: "Om ni vill sända i väg Israels Guds ark, skall ni inte sända bort den utan gåvor. Ni måste i varje fall sända honom ett skuldoffer. Då skall ni bli botade, och ni skall förstå varför hans hand inte drar sig tillbaka från er." 
1SA.6.4	De frågade: "Vad för slags skuldoffer skall vi sända honom?" De svarade: "Fem bölder av guld och fem råttor av guld, lika många som filisteernas furstar. Ty samma plåga har drabbat er alla och era furstar. 
1SA.6.5	 Ni skall göra avbildningar av era bölder och avbildningar av råttorna som fördärvar ert land. Ge så ära åt Israels Gud. Kanske han då lättar sin hand över er och era gudar och ert land. 
1SA.6.6	 Varför förhärdar ni era hjärtan, som farao och egyptierna gjorde? När han använde sin makt mot dem, släppte de då inte israeliterna och lät dem gå? 
1SA.6.7	 Så gör er nu en ny vagn och tag två kor som ger di och som inte har burit något ok. Spänn korna för vagnen, men tag hem deras kalvar från dem. 
1SA.6.8	 Sätt 
1SA.6.9	 Se efter om den tar vägen till sitt eget land, till Bet-Semes. Då var det han som gjorde oss allt detta stora onda. Men annars vet vi att det inte var hans hand som slog oss utan att det drabbade oss av en slump." 
1SA.6.10	Männen gjorde så. De tog två kor som gav di och spände dem för vagnen. Men kornas kalvar stängde de in hemma. 
1SA.6.11	 Och de satte 
1SA.6.12	 Korna gick raka vägen åt Bet-Semes till. De gick hela tiden samma väg. De gick där och råmade utan att vika av vare sig till höger eller till vänster. Filisteernas furstar följde efter dem ända till Bet-Semes gräns. 
1SA.6.13	Folket i Bet-Semes höll på med veteskörd i dalen. Då de såg upp fick de syn på arken, och de blev mycket glada när de såg den. 
1SA.6.14	 När vagnen kom till betsemesiten Josuas åker stannade den där, och där låg en stor sten. Då högg de sönder trävirket på vagnen och offrade korna till brännoffer åt 
1SA.6.15	 Leviterna lyfte ner 
1SA.6.16	 När filisteernas fem furstar hade sett detta, vände de samma dag tillbaka till Ekron. 
1SA.6.17	De svulster av guld som filisteerna gav som skuldoffer åt 
1SA.6.18	 Men guldråttorna var lika många som filisteernas alla städer under de fem furstarna, och då medräknades både befästa städer och landsbygdens byar, intill den stora sorgestenen, där de satte ner 
1SA.6.19	Av invånarna i Bet-Semes blev somliga slagna, därför att de hade sett in i 
1SA.6.20	Invånarna i Bet-Semes sade: "Vem kan bestå inför 
1SA.6.21	 De skickade sändebud till dem som bodde i Kirjat-Jearim och sade: "Filisteerna har sänt tillbaka 
1SA.7.1	Då kom Kirjat-Jearims män och hämtade 
1SA.7.2	Från den dag då arken fick sin plats i Kirjat-Jearim gick en lång tid, tjugo år. Hela Israels hus suckade efter 
1SA.7.3	 Men Samuel sade till alla israeliterna: "Om ni av hela ert hjärta vill vända om till 
1SA.7.4	 Då skaffade Israels barn bort baalerna och astarterna och tjänade endast 
1SA.7.5	 Sedan sade Samuel: "Samla hela Israel till Mispa, så skall jag be till 
1SA.7.6	 Då samlades de i Mispa och öste upp vatten och hällde ut det inför 
1SA.7.7	När filisteerna hörde att Israels barn hade samlats i Mispa, drog filisteernas furstar upp mot Israel. Israeliterna fick höra detta och blev förskräckta för filisteerna. 
1SA.7.8	 Israels barn sade till Samuel: "Upphör inte att ropa till 
1SA.7.9	 Då tog Samuel ett dilamm och offrade det som ett helt brännoffer åt 
1SA.7.10	 Medan Samuel offrade brännoffret ryckte filisteerna fram till strid mot Israel. Men 
1SA.7.11	 Och Israels män drog ut från Mispa och förföljde filisteerna och nergjorde dem ända till trakten nedanför Bet-Kar. 
1SA.7.12	Då tog Samuel en sten och reste den mellan Mispa och Sen och gav den namnet Eben-Haezer,
1SA.7.13	Så blev filisteerna kuvade och kom inte mer in i Israels land. 
1SA.7.14	 De städer som filisteerna hade tagit från Israel kom alla tillbaka till Israel från Ekron ända till Gat. Det tillhörande området tog Israel också tillbaka från filisteerna och det blev fred mellan Israel och amoreerna. 
1SA.7.15	Samuel var domare i Israel så länge han levde. 
1SA.7.16	 Varje år färdades han omkring mellan Betel, Gilgal och Mispa. På alla dessa platser dömde han Israel. 
1SA.7.17	 Sedan brukade han vända tillbaka till Rama, som var hans hem, och där dömde han Israel. Han byggde där ett altare åt 
1SA.8.1	När Samuel blev gammal satte han sina söner till domare över Israel. 
1SA.8.2	 Hans förstfödde hette Joel och hans andre son Abia. De var domare i Beer-Sheba. 
1SA.8.3	 Men hans söner vandrade inte på hans väg utan vek av från den och sökte orätt vinning. De tog mutor och förvrängde lagen. 
1SA.8.4	Då samlades alla de äldste i Israel och kom till Samuel i Rama 
1SA.8.5	 och sade till honom: "Du är gammal och dina söner vandrar inte på dina vägar. Sätt nu en kung över oss till att styra över oss, så som alla folk har." 
1SA.8.6	 Det var i Samuels ögon ett dåligt förslag när de sade: "Ge oss en kung till att styra över oss." Och Samuel bad till 
1SA.8.7	 Då sade 
1SA.8.8	 Så har de alltid gjort, från den dag då jag förde dem upp ur Egypten ända till denna dag. De har övergivit mig och tjänat andra gudar och så gör de också mot dig. 
1SA.8.9	 Men lyssna nu till deras ord. Du skall allvarligt varna dem och förklara för dem vilka rättigheter den kung får som kommer att regera över dem." 
1SA.8.10	Allt vad 
1SA.8.11	 Han sade: "Denna rättighet får den kung som kommer att regera över er: Era söner skall han ta för att de skall göra tjänst på hans vagnar och bland hans ryttare och de skall springa framför hans vagnar. 
1SA.8.12	 Han skall sätta dem till befäl över tusen och till befäl över femtio eller till att plöja hans åkerjord och inbärga hans skörd eller till att tillverka krigsredskap och utrustning för hans vagnar. 
1SA.8.13	 Era döttrar skall han ta till att bereda salvor, laga mat och baka bröd. 
1SA.8.14	 Era bästa åkrar, vingårdar och olivplanteringar skall han ta och ge åt sina tjänare. 
1SA.8.15	 Han skall ta tionde från era sädesfält och era vingårdar och ge åt sina hovmän och tjänare. 
1SA.8.16	 Och han skall ta era tjänare och tjänarinnor och era bästa unga män liksom era åsnor och använda dem för sitt behov. 
1SA.8.17	 Han skall ta tionde av er småboskap, och ni skall vara hans tjänare. 
1SA.8.18	 När ni då ropar på hjälp på grund av er kung som ni har valt åt er, då skall 
1SA.8.19	Men folket vägrade att lyssna till Samuels ord och sade: "Nej, en kung måste vi ha över oss. 
1SA.8.20	 Också vi vill bli som alla andra folk. Vår kung skall döma oss. Han skall dra ut framför oss och föra våra krig." 
1SA.8.21	 När Samuel hörde allt detta som folket sade, framförde han det till 
1SA.8.22	 Då sade 
1SA.9.1	I Benjamin levde en man som hette Kish, son till Abiel, son till Seror, son till Bekorat, son till Afia, son till en benjaminit. Han var en mäktig man. 
1SA.9.2	 Han hade en son som hette Saul, en ståtlig ung man. Ingen bland Israels barn var vackrare än han. Han var huvudet högre än allt folket. 
1SA.9.3	En gång hade åsninnorna sprungit bort för Sauls fader Kish. Då sade Kish till sin son Saul: "Tag med dig en av tjänarna och gå och leta efter åsninnorna." 
1SA.9.4	 Då vandrade han genom Efraims bergsbygd och därefter genom Salisalandet, men de fann dem inte. De gick genom Saalimslandet, men där var de inte. Sedan tog han vägen genom Benjamins land, men inte heller där fann de dem. 
1SA.9.5	 När de sedan hade kommit in i Sufs land, sade Saul till tjänaren som han hade med sig: "Kom, låt oss gå hem igen. Min far kan annars bli orolig för vår skull i stället för att tänka på åsninnorna." 
1SA.9.6	 Men han svarade honom: "Se, i den här staden finns en gudsman. Han är högt ansedd och allt han säger, det sker. Låt oss nu gå dit. Kanske han kan säga oss vilken väg vi skall ta." 
1SA.9.7	 Då sade Saul till sin tjänare: "Men om vi går dit, vad skall vi då ta med till mannen? Brödet är ju slut i vår packning och vi har inte heller någon annan gåva att ta med till gudsmannen. Eller har vi det?" 
1SA.9.8	 Tjänaren svarade Saul än en gång: "Se, här har jag en fjärdedels sikel silver. Den skall jag ge gudsmannen, för att han skall säga oss vilken väg vi skall ta." 
1SA.9.9	 - Förr i tiden i Israel, när man gick för att fråga Gud sade man: "Kom, låt oss gå till siaren." Ty den som man nu kallar profet kallade man förr siare. - 
