GEN.1.1	I begynnelsen skapade Gud himmel och jord.
JDG.9.17	Min far kämpade för er och vågade livet för att rädda er ur midjaniternas våld. 
JDG.9.18	Ni däremot har i dag rest er mot min fars familj. Ni har dödat hans söner, sjuttio män på en och samma sten. Ni har gjort Avimelek, hans son med en slavinna, till kung över er shekemiter, bara för att han är en av era egna. 
JDG.9.19	Om ni handlade ärligt och hederligt mot Jerubbaal och hans hus i dag, gläd er då över Avimelek och låt honom glädjas över er. 
JDG.9.20	Om inte, skall eld slå ut från Avimelek och förtära Shekems borgare och Bet Millos invånare. Och eld skall slå ut från Shekems borgare och Bet Millos invånare och förtära Avimelek.«
JDG.9.21	Sedan flydde Jotam därifrån. Han begav sig till Beer och slog sig ner där för att vara utom räckhåll för sin bror Avimelek.
JDG.9.22	När Avimelek hade härskat över israeliterna i tre år 
JDG.9.23	sådde Gud split mellan Avimelek och Shekems borgare, och de avföll från honom. 
JDG.9.24	Det skedde för att våldsdådet mot Jerubbaals sjuttio söner skulle bli hämnat; deras bror Avimelek, som dräpte dem, och shekemiterna, som uppmuntrade honom till det, skulle nu få plikta för deras död. 
JDG.9.25	För att skada Avimelek ordnade shekemiterna bakhåll på bergshöjderna, och man plundrade alla som färdades på vägarna. Detta rapporterades till Avimelek.
JDG.9.26	Gaal, Eveds son, och hans bröder kom förbi Shekem, och Shekems borgare fick förtroende för honom. 
JDG.9.27	En gång när de varit ute och skördat vinet i vingårdarna och trampat druvorna, firade de en tacksägelsefest. De höll till i sin guds tempel och åt och drack och började sedan förbanna Avimelek: 
JDG.9.28	»Vem är Avimelek«, sade Gaal, Eveds son, »och vilka är shekemiterna, eftersom vi skall tjäna honom? Jerubbaals son och Sevul, hans uppsyningsman, har ju stått i tjänst hos ättlingar till Hamor, Shekems anfader. Varför skulle vi tjäna honom? 
JDG.9.29	Tänk om jag hade makt över folket här! Då skulle jag göra mig av med Avimelek. Jag skulle säga: Skaffa dig en större här och kom an!«
JDG.9.30	När Sevul, stadsfogden, fick höra vad Gaal, Eveds son, hade sagt blev han rasande, 
JDG.9.31	men han var slug och sände bud till Avimelek: »Gaal, Eveds son, och hans bröder har kommit till Shekem och uppviglar staden mot dig. 
JDG.9.32	Bryt upp i natt med ditt folk och lägg dig i bakhåll ute på fälten. 
JDG.9.33	I morgon bitti när solen går upp skall du gå till attack mot staden. Då kommer Gaal att rycka ut mot dig med sitt folk, och sedan kan du göra med honom som du själv finner bäst.«
JDG.9.34	Avimelek och allt hans folk bröt upp under natten och lade sig i bakhåll utanför Shekem, delade på fyra grupper. 
JDG.9.35	När Gaal, Eveds son, kom ut och ställde sig i öppningen till stadsporten, lämnade Avimelek och hans män bakhållet. 
JDG.9.36	Gaal fick syn på dem och sade till Sevul: »Titta, det kommer folk från bergen.« Sevul sade: »Det är bara skuggor på bergen som du tar för människor.« 
JDG.9.37	Men Gaal fortsatte: »Jo, det kommer folk från Världens navel och en annan skara bortifrån Teckentydarterebinten.« 
JDG.9.38	Då sade Sevul: »Vad säger du nu, du som var så stor i orden och sade: Vem är Avimelek, eftersom vi skall tjäna honom? — Här kommer det folk som du föraktade. Dra nu ut och kämpa med dem!« 
JDG.9.39	Och Gaal drog ut i spetsen för Shekems borgare och kämpade med Avimelek. 
JDG.9.40	Avimelek drev honom tillbaka, och han måste ta till flykten. Många föll, och det låg stupade ända fram till stadsporten. 
JDG.9.41	Avimelek stannade i Aruma, medan Sevul drev bort Gaal och hans bröder. De fick inte vara kvar i Shekem.
JDG.9.42	Dagen därpå gick folket ut på fälten, och Avimelek fick rapport om detta. 
JDG.9.43	Han delade sina män i tre grupper och lade sig i bakhåll ute på fälten. När han såg folket komma ut ur staden, gick han till angrepp och dödade dem. 
JDG.9.44	Avimelek och hans grupp rusade fram och blockerade stadsporten, medan de två andra grupperna gick till attack mot dem som befann sig ute på fälten och dödade dem. 
JDG.9.45	Avimelek anföll staden under hela dagen. Han intog den och dödade dem därinne. Sedan lät han riva ner staden till grunden och beströdde platsen med salt.
JDG.9.46	När borgarna i Shekemtornet hörde om detta begav de sig till valvet under El Berits tempel. 
JDG.9.47	Avimelek fick rapport om att alla borgarna i Shekemtornet var samlade på ett ställe 
JDG.9.48	och gick med allt sitt folk upp på Salmonberget. Han tog en yxa och högg av en trädgren och lade den på axeln. »Ni såg vad jag gjorde«, sade han till sina män, »skynda på och gör likadant!« 
JDG.9.49	Och alla högg sina grenar och följde efter Avimelek. De lade grenarna runt valvet och tände på, så att valvet brann och folket brändes inne. Så dog alla i Shekemtornet, omkring tusen män och kvinnor.
JDG.9.50	Avimelek begav sig till Teves, som han belägrade och intog. 
JDG.9.51	I staden fanns ett befäst torn, dit alla män och kvinnor och alla stadens borgare hade tagit sin tillflykt. De stängde in sig där och gick upp på taket. 
JDG.9.52	När Avimelek kom dit angrep han tornet. Men när han kom intill tornporten för att sticka den i brand 
JDG.9.53	kastade en kvinna en kvarnsten rakt ner i huvudet på honom, så att skallen krossades. 
JDG.9.54	Han ropade genast på sin väpnare: »Drag ditt svärd och ge mig dödsstöten. Ingen skall kunna säga att det var en kvinna som dödade mig.« Och väpnaren stack ihjäl honom.
JDG.9.55	När israeliterna såg att Avimelek var död återvände de hem, var och en till sitt.
JDG.9.56+JDG.9.57	Det onda som Avimelek hade gjort mot sin far när han dödade sina sjuttio bröder och det onda som männen i Shekem hade gjort lät Gud alltså falla tillbaka på dem själva. De drabbades av den förbannelse som Jotam, Jerubbaals son, hade uttalat.
JDG.10.1	Efter Avimelek trädde Tola fram som Israels räddare. Han var son till Pua, Dodos son, och tillhörde Isaskars stam. Han bodde i Shamir i Efraims bergsbygd, 
JDG.10.2	och han var domare i Israel i tjugotre år. Sedan dog han och begravdes i Shamir. 
JDG.10.3	Efter honom trädde Jair från Gilead fram. Han var domare i Israel i tjugotvå år. 
JDG.10.4	Han hade trettio söner, som red på trettio åsnehingstar och ägde trettio städer. Dessa kallas än i dag för Jairs byar och ligger i Gilead. 
JDG.10.5	Jair dog och begravdes i Kamon.
JDG.10.6	Israeliterna gjorde åter det som var ont i Herrens ögon: de dyrkade baalsgudarna och astartegudinnorna, arameernas, sidoniernas, moabiternas, ammoniternas och filisteernas gudar. De övergav Herren och dyrkade inte längre honom. 
JDG.10.7	Då blev Herren vred på dem och utlämnade dem åt filisteer och ammoniter.
JDG.10.8	Detta år hade ammoniterna i arton år plågat och förtryckt de israeliter som bodde på andra sidan Jordan i amoreernas land i Gilead. 
JDG.10.9	Nu gick ammoniterna över Jordan och anföll folket i Juda, Benjamin och Efraim. Israeliternas nöd var stor. 
JDG.10.10	Då ropade de till Herren: »Vi syndade mot dig när vi övergav vår Gud och dyrkade baalsgudarna.« 
JDG.10.11+JDG.10.12	Herren svarade dem: »När ni förtrycktes av egypterna, amoreerna, ammoniterna, filisteerna, sidonierna, amalekiterna och midjaniterna, då ropade ni till mig och jag räddade er ur deras våld. 
JDG.10.13	Men ni övergav mig och dyrkade andra gudar. Därför vill jag inte rädda er igen. 
JDG.10.14	Ropa nu till de gudar ni har valt, så får de rädda er när ni är i nöd.« 
JDG.10.15	Israeliterna sade till Herren: »Vi har syndat. Gör vad du vill med oss, bara du räddar oss den här gången.« 
JDG.10.16	De gjorde sig av med de främmande gudar de hade hos sig och dyrkade Herren i stället. Då stod han inte längre ut med att se dem lida.
JDG.10.17	Ammoniterna bådades upp och slog läger i Gilead. Då samlades israeliterna, och de slog läger i Mispa. 
JDG.10.18	Folket, dvs. ledarna i Gilead, sade sinsemellan: »Den som först går ut i strid mot ammoniterna skall vara hövding för alla som bor i Gilead.«
JDG.11.1	Gileaditen Jefta var en tapper krigare. Han var en oäkting, och Gilead var hans far. 
JDG.11.2	Men Gilead hade söner också med sin hustru, och när de hade växt upp drev de bort Jefta. »Du har ingen del i vår fars hus«, sade de, »du är ju en främmande kvinnas son.« 
JDG.11.3	Jefta flydde undan sina bröder och slog sig ner i landet Tov. Löst folk slöt sig till honom där och drog omkring tillsammans med honom.
JDG.11.4	En tid därefter angrep ammoniterna Israel. 
JDG.11.5	När ammoniterna gick till anfall gav sig Gileads äldste i väg för att hämta Jefta från landet Tov. 
JDG.11.6	»Kom och bli vår anförare«, bad de, »så att vi kan kämpa mot ammoniterna.« 
JDG.11.7	Jefta svarade Gileads äldste: »Ni hatade mig och drev bort mig från min fars hus. Varför kommer ni till mig nu när ni är i nöd?« 
JDG.11.8	De svarade: »Det är just därför vi vänder oss till dig. Följ med oss och kämpa mot ammoniterna, så skall du bli hövding för alla som bor i Gilead.« 
JDG.11.9	Då sade Jefta till Gileads äldste: »Om ni hämtar hem mig för att jag skall kämpa mot ammoniterna och Herren låter mig besegra dem, då blir jag er hövding.« 
JDG.11.10	De äldste svarade: »Herren är vårt vittne: vi lovar att göra som du har sagt.« 
JDG.11.11	Jefta följde då med Gileads äldste, och folket gjorde honom till sin hövding och anförare. I Mispa bekräftade Jefta inför Herren vad han hade sagt.
JDG.11.12	Jefta skickade sändebud till ammoniternas kung och frågade: »Vad har vi för otalt med varandra eftersom du angriper mitt land?« 
JDG.11.13	Ammoniternas kung svarade sändebuden: »När israeliterna drog ut ur Egypten tog de mitt land mellan Arnon och Jabbok, ända fram till Jordan. Lämna nu godvilligt tillbaka allt.« 
JDG.11.14	Då skickade Jefta på nytt sändebud till ammoniternas kung 
JDG.11.15	och sade: »Så säger Jefta: Israeliterna tog inte moabiternas och ammoniternas land. 
JDG.11.16	De drog ut ur Egypten och vandrade genom öknen fram till Sävhavet och kom till Kadesh. 
JDG.11.17	Där sände de bud till kungen av Edom och bad att få ta vägen genom hans land, men han ville inte höra på dem. De sände även bud till kungen av Moab, men inte heller han ville tillåta det. Då stannade de kvar i Kadesh. 
JDG.11.18	När de sedan vandrade genom öknen tog de vägen runt Edom och Moab och kom fram öster om Moab. De slog läger på andra sidan Arnon, men de gick inte in på Moabs område — Arnon är nämligen gräns mot Moab. 
JDG.11.19	Sedan skickade israeliterna bud till amoreernas kung Sichon, kungen i Heshbon, och bad att få ta vägen genom hans land för att komma dit de skulle. 
JDG.11.20	Men Sichon förbjöd israeliterna att ta vägen över hans område. Han samlade allt sitt folk, de slog läger i Jahas och gick till anfall mot israeliterna. 
JDG.11.21	Då gav Herren, Israels Gud, Sichon och hela hans här i israeliternas våld. De besegrade dem och intog hela det land som tillhörde amoreerna som bodde där. 
JDG.11.22	De erövrade allt amoreiskt land från Arnon till Jabbok och från öknen till Jordan. 
JDG.11.23	Herren, Israels Gud, drev undan amoreerna för sitt folk Israel, och nu vill du inta deras land! 
JDG.11.24	När Kemosh, din gud, har drivit bort ett folk för dig, så intar ju du deras land, och var gång Herren, vår Gud, har drivit undan ett folk för oss, så intar vi deras land. 
JDG.11.25	Är du verkligen förmer än Balak, Sippors son, kungen av Moab? Han tvistade inte med israeliterna och angrep dem inte. 
JDG.11.26	I trehundra år har israeliterna bott i Heshbon med lydstäder, i Aroer med lydstäder och i städerna på båda sidor om Arnon. Varför har ni inte tagit dem under hela den tiden? 
JDG.11.27	Jag för min del har aldrig gjort dig något ont. Det är du som vill skada mig genom att angripa mig. Nu får Herren, domaren, skipa rätt mellan israeliter och ammoniter.« 
JDG.11.28	Men ammoniternas kung ville inte lyssna till det budskap Jefta sänt honom.
JDG.11.29	Herrens ande kom över Jefta. Han tågade genom Gilead och Manasse, passerade Mispa i Gilead och drog vidare mot ammoniterna. 
JDG.11.30	Jefta avgav ett löfte till Herren: »Om du ger ammoniterna i mitt våld, 
JDG.11.31	så lovar jag att den som först kommer ut genom dörren till mitt hus och möter mig, när jag återvänder efter att ha besegrat ammoniterna, skall tillhöra Herren och offras som brännoffer.«
JDG.11.32	Jefta gick till anfall mot ammoniterna, och Herren gav dem i hans våld. 
JDG.11.33	Han tillfogade dem ett förödande nederlag och intog landet från Aroer till trakten av Minnit, tjugo städer, ända fram till Avel Keramim. Så underkuvades ammoniterna av israeliterna.
JDG.11.34	När Jefta kom hem till sitt hus i Mispa gick hans dotter ut och mötte honom med tamburin och dans. Hon var hans enda barn, han hade inga andra, varken söner eller döttrar. 
JDG.11.35	När Jefta fick se henne rev han sönder sina kläder och ropade: »Ve mig, min dotter, du krossar mig, du drar olycka över mig! Jag har gett Herren ett löfte som jag inte kan ta tillbaka.« 
JDG.11.36	Hon svarade honom: »Far, om du har gett Herren ett löfte, gör då med mig som du har lovat, nu när Herren har skaffat dig hämnd på dina fiender, på ammoniterna.« 
JDG.11.37	Och hon fortsatte: »Jag ber bara om detta: Ge mig en frist på två månader, så att jag kan ströva i bergen med mina väninnor och gråta över att jag måste dö som jungfru.« — 
JDG.11.38	»Gå«, sade han, och han tillät henne att vara borta i två månader. Hon begav sig då upp i bergen tillsammans med sina väninnor, och där begrät hon sin jungfrudom. 
JDG.11.39	Efter två månader kom hon tillbaka till sin far, och han gjorde då med henne i enlighet med sitt löfte. Hon hade inte haft någon man.
JDG.11.39	Det blev sed i Israel 
JDG.11.40	att kvinnorna varje år går ut för att under fyra dagar besjunga gileaditen Jeftas dotter.
JDG.12.1	Efraimiterna bådades upp och gick över Jordan i riktning mot Safon. De sade till Jefta: »Varför angrep du ammoniterna utan att kalla på oss så att vi fick följa dig? Nu sätter vi eld på ditt hus och bränner dig inne.« 
JDG.12.2	Jefta svarade dem: »När jag och mitt folk var i bitter fejd med ammoniterna kallade jag på er, men ni hjälpte mig inte mot dem. 
JDG.12.3	När jag såg att ni inte ville hjälpa mig tog jag mitt öde i egna händer och drog ut mot ammoniterna, och Herren gav dem i mitt våld. Så varför kommer ni nu och vill angripa mig?«
JDG.12.4	Jefta samlade alla män i Gilead och gick till anfall mot efraimiterna. Männen från Gilead besegrade efraimiterna, som brukade säga: »Ni är bara flyktingar från Efraim, ni gileaditer, hälften Efraim, hälften Manasse.« 
JDG.12.5	Gileaditerna spärrade vadställena över Jordan för efraimiterna, och när någon av de flyende efraimiterna ville gå över floden frågade gileaditerna: »Är du efraimit?« Om han svarade nej 
JDG.12.6	sade de: »Säg shibbolet!« Om han då sade »sibbolet«, därför att han inte kunde uttala ordet rätt, grep de honom och högg ner honom vid vadstället. Vid detta tillfälle stupade 42 000 efraimiter.
JDG.12.7	Jefta var domare i Israel i sex år. Sedan dog gileaditen Jefta och begravdes i sin hemstad i Gilead.
JDG.12.8	Efter honom blev Ivsan från Betlehem domare i Israel. 
JDG.12.9	Han hade trettio söner. Trettio döttrar gifte han bort, och trettio nya förde han hem som hustrur åt sina söner. Ivsan var domare i Israel i sju år. 
JDG.12.10	Sedan dog han och begravdes i Betlehem. 
JDG.12.11	Efter honom blev Elon från Sebulon domare i Israel. Han var domare i tio år. 
JDG.12.12	Sedan dog han och begravdes i Ajalon på Sebulons område. 
JDG.12.13	Efter honom blev Avdon från Piraton, Hillels son, domare i Israel. 
JDG.12.14	Avdon hade fyrtio söner och trettio sonsöner, och de red på sjuttio åsnehingstar. Han var domare i Israel i åtta år. 
JDG.12.15	Sedan dog Avdon från Piraton, Hillels son. Han begravdes i Piraton på Efraims område, vid amalekiternas berg.
JDG.13.1	Israeliterna gjorde åter det som var ont i Herrens ögon, och Herren gav dem i filisteernas våld i fyrtio år.
JDG.13.2	Det fanns en man i Sora som var av danitisk släkt och hette Manoach. Hans hustru var ofruktsam och hade inga barn. 
JDG.13.3	Herrens ängel visade sig för henne och sade: »Du är ofruktsam och har inga barn, men du kommer att bli havande och föda en son. 
JDG.13.4	Var noga med att inte dricka vin eller starka drycker och att inte äta någonting orent. 
JDG.13.5	Du skall bli havande och föda en son. Ingen rakkniv får någonsin vidröra hans huvud. Pojken skall vara en Guds nasir redan från moderlivet. Med honom inleds Israels befrielse från filisteerna.«
JDG.13.6	Kvinnan gick till sin man och berättade: »Det kom en gudsman till mig, han såg ut som Guds ängel och fyllde mig med bävan. Jag frågade inte varifrån han kom, och han talade inte om vad han hette. 
JDG.13.7	Han sade: Du kommer att bli havande och föda en son. Du får inte dricka vin eller starka drycker och inte äta någonting orent. Pojken skall vara en Guds nasir från moderlivet ända till sin död.«
JDG.13.8	Då bad Manoach till Herren: »Herre, låt gudsmannen du sände komma till oss igen och lära oss hur vi skall göra med pojken som skall födas.« 
JDG.13.9	Gud hörde Manoachs bön, och Guds ängel kom till hans hustru igen. Hon befann sig då ute på åkern, men hennes man Manoach var inte där. 
JDG.13.10	Hon sprang genast hem och berättade för honom: »Mannen som kom till mig häromdagen har visat sig för mig!« 
JDG.13.11	Manoach följde med sin hustru, och när han kom fram till mannen frågade han: »Var det du som talade med min hustru?« — »Ja«, svarade mannen. 
JDG.13.12	»När dina ord har gått i uppfyllelse, hur skall då pojken tas om hand, hur skall vi göra med honom?« frågade Manoach. 
JDG.13.13	Herrens ängel sade: »Din hustru måste vara noga med allt det jag sagt henne. 
JDG.13.14	Hon får inte äta någonting som kommer från vinstocken, inte dricka vin eller starka drycker och inte äta någonting orent. Hon måste rätta sig efter allt som jag har befallt henne.« 
JDG.13.15	Manoach sade till Herrens ängel: »Vi vill gärna be dig stanna, så att vi kan laga till en killing åt dig.« 
JDG.13.16	Men Herrens ängel svarade: »Även om du ber mig stanna, kommer jag inte att äta av maten. Men om du frambär ett brännoffer, skall du offra det åt Herren.« Manoach visste inte att det var Herrens ängel 
JDG.13.17	och frågade: »Vad heter du? Vi vill hedra dig när dina ord går i uppfyllelse.« 
JDG.13.18	Herrens ängel sade: »Varför frågar du vad jag heter? Mitt namn är ofattbart.«
JDG.13.19	Manoach tog killingen och matoffret och offrade det på en klippa som ett brännoffer till Herren, han som gör det ofattbara. 
JDG.13.20	Då lågorna steg från altaret upp mot himlen, steg Herrens ängel upp i altarlågorna. Manoach och hans hustru såg det, och de föll ner med ansiktet mot marken. 
JDG.13.21	Herrens ängel visade sig sedan inte mer för Manoach och hans hustru. Manoach förstod nu att det varit Herrens ängel, 
JDG.13.22	och han sade till sin hustru: »Nu måste vi dö, vi har sett Gud.« 
JDG.13.23	Men hans hustru sade: »Om Herren velat döda oss, hade han inte tagit emot vårt brännoffer och matoffer, och inte heller hade han låtit oss se allt detta och höra något sådant.«
JDG.13.24	Kvinnan födde en son och gav honom namnet Simson. Pojken växte upp, och Herren välsignade honom. 
JDG.13.25	Herrens ande började ansätta honom vid Dans läger, mellan Sora och Eshtaol.
JDG.14.1	En gång gick Simson ner till Timna. Där såg han en filisteisk kvinna. 
JDG.14.2	När han kom hem berättade han det för sin far och sin mor: »Jag såg en filisteisk kvinna i Timna«, sade han. »Ordna så att hon blir min hustru.« 
JDG.14.3	Föräldrarna sade: »Finns det ingen kvinna i din egen släkt eller i hela vårt folk, eftersom du måste gå till de oomskurna filisteerna för att få en hustru?« Simson sade till sin far: »Ordna så att hon blir min. Det är henne jag vill ha.« 
JDG.14.4	Hans far och mor förstod inte att Herren låg bakom alltsammans, att han sökte strid med filisteerna. Vid den tiden härskade filisteerna över Israel.
JDG.14.5	Simson gick ner till Timna med sina föräldrar. Just när de nådde fram till vingårdarna utanför Timna kom ett rytande lejon emot honom. 
JDG.14.6	Då föll Herrens ande över honom, och han slet lejonet i stycken med blotta händerna, som om det varit en killing. Men han berättade inte för sina föräldrar vad han hade gjort 
JDG.14.7	utan gick vidare. Han talade med kvinnan, och hon var den han ville ha.
JDG.14.8	När han efter en tid återvände för att gifta sig med kvinnan vek han av från vägen för att se på det döda lejonet. Då fick han se att det fanns en bisvärm och honung i kadavret. 
JDG.14.9	Han skrapade ut honungen i händerna och gick sedan och åt av den under vägen. När han kom tillbaka till föräldrarna delade han med sig av honungen, och de åt av den. Men han talade inte om att han skrapat ut honungen ur lejonkadavret.
JDG.14.10	Simsons far gick hem till kvinnan, och Simson ställde till med en fest, så som de unga männen brukade göra. 
JDG.14.11	När folket såg honom valde de ut trettio unga män till bröllopsföljet. 
JDG.14.12	Simson sade till dem: »Jag skall ge er en gåta. Om ni gissar rätt på den under de sju dagar festen varar skall jag ge er trettio linnerockar och trettio högtidsdräkter. 
JDG.14.13	Men om ni inte kan lösa den skall ni ge trettio linnerockar och trettio högtidsdräkter åt mig.« — »Ge oss din gåta«, sade de. »Låt höra!« 
JDG.14.14	Och Simson sade:
JDG.14.14	»Från storätaren kom ätbart,
JDG.14.14	från den starke kom sött.«
JDG.14.14	Efter tre dagar hade de ännu inte kunnat lösa gåtan. 
JDG.14.15	Den fjärde dagen sade de till Simsons hustru: »Locka din man att avslöja gåtans lösning för oss, annars bränner vi inne både dig och din familj. Bjöd ni kanske hit oss för att ruinera oss?« 
JDG.14.16	Och Simsons hustru låg nu över honom med gråt och tårar: »Du måste hata mig«, sade hon. »Du älskar mig inte. Du gav mina landsmän en gåta, men du vill inte avslöja lösningen för mig.« Han svarade: »Jag har inte avslöjat den för min far och mor. Skulle jag då avslöja den för dig?« 
JDG.14.17	Hon låg över Simson med sin gråt de sju dagar festen varade. Och den sjunde dagen avslöjade han lösningen, eftersom hon aldrig lämnade honom i fred, och hon förde den vidare till sina landsmän. 
JDG.14.18	Innan solen gick ner den sjunde dagen sade männen i staden till Simson:
JDG.14.18	»Vad är sötare än honung,
JDG.14.18	vad är starkare än ett lejon?«
JDG.14.18	Och han svarade dem:
JDG.14.18	»Hade ni inte plöjt med min kviga,
JDG.14.18	skulle ni aldrig ha gissat min gåta.«
JDG.14.19	Då föll Herrens ande över honom. Han gick till Ashkelon och slog ihjäl trettio män. Han tog deras dräkter och gav kläderna till dem som hade löst gåtan. I vredesmod vände han hem. 
JDG.14.20	Simsons hustru giftes bort med den som varit ledare för bröllopsföljet.
JDG.15.1	En tid därefter, under veteskörden, sökte Simson upp sin hustru och hade med sig en killing. »Låt mig få komma in till min hustru i hennes rum«, bad han. Men hennes far släppte inte in honom 
JDG.15.2	utan sade: »Jag var övertygad om att du hade förskjutit henne, så jag gav henne till ledaren för bröllopsföljet. Men hennes yngre syster är ju vackrare än hon, ta henne i stället.« 
JDG.15.3	Simson sade: »Den här gången är jag utan skuld om jag skadar filisteerna.«
JDG.15.4	Simson gick därifrån och fångade trehundra rävar. Han tog facklor, band ihop svansarna två och två och fäste en fackla i varje svanspar. 
JDG.15.5	Sedan tände han facklorna och släppte ut rävarna på filisteernas sädesfält, så att både kärvar och omejad säd stacks i brand, liksom vingårdar och olivlundar. 
JDG.15.6	»Vem har gjort det här?« undrade filisteerna, och svaret blev: »Simson, svärsonen till timniten som gav hans hustru till ledaren för bröllopsföljet.« Då gav sig filisteerna i väg och brände inne både kvinnan och hennes far. 
JDG.15.7	Simson sade: »Eftersom ni bär er åt så här skall jag inte unna mig någon ro förrän jag har tagit hämnd på er!« 
JDG.15.8	Han gick lös på dem och slog dem sönder och samman. Sedan gick han därifrån och höll till i bergsklyftan vid Etam.
JDG.15.9	Filisteerna drog ut, de slog läger i Juda och spred sig mot Lechi. 
JDG.15.10	När judeerna frågade varför de dragit ut mot dem fick de svaret: »För att fängsla Simson. Vi skall behandla honom likadant som han behandlade oss.« 
JDG.15.11	Då begav sig 3 000 man från Juda ner till bergsklyftan vid Etam och sade till Simson: »Du vet ju att filisteerna har makten här. Hur kan du då göra så här mot oss?« Han svarade: »Jag har behandlat dem likadant som de behandlade mig.« 
JDG.15.12	Judeerna sade då: »Vi har kommit hit för att fängsla dig och överlämna dig till filisteerna.« — »Svär på att ni inte tänker hugga ner mig«, sade Simson, 
JDG.15.13	och de svarade: »Vi skall fängsla dig och överlämna dig till filisteerna, men döda dig skall vi inte.« Så band de honom med två nya rep och förde bort honom från klyftan.
JDG.15.14	När han kom fram till Lechi, där filisteerna kom emot honom under höga rop, föll Herrens ande över honom. Repen om hans armar blev nu som svedda lintrådar, och bojorna gled av hans händer. 
JDG.15.15	Han fick fatt på en färsk åsnekäke, och med den i handen slog han ihjäl tusen man. 
JDG.15.16	Simson sade:
JDG.15.16	»Med åsnekäken slog jag en hop, ja två,
JDG.15.16	med åsnekäken slog jag tusen man.«
JDG.15.17	När han sagt detta slängde han käken ifrån sig. Platsen kallades sedan för Käkhöjden.
JDG.15.18	Simson hade blivit mycket törstig, och han ropade till Herren: »Herre, du lät din tjänare vinna denna stora seger. Skall jag nu behöva dö av törst och falla i händerna på de oomskurna?« 
JDG.15.19	Då klöv Gud kratern i Lechi, och vatten strömmade fram. Simson drack och hans livsandar återvände. Källan heter än i dag Roparkällan i Lechi.
JDG.15.20	Under den filisteiska tiden var Simson domare i Israel i tjugo år.
JDG.16.1	En gång gick Simson till Gaza. Där fick han se en hora och gick in till henne. 
JDG.16.2	När folket i Gaza fick reda på att Simson var där omringade de platsen och låg natten lång på lur vid stadsporten. Men under natten gjorde de ingenting, de tänkte: »Vi väntar till gryningen, då dödar vi honom.« 
JDG.16.3	Simson låg kvar till midnatt. Då steg han upp, grep tag i stadsportens dörrar och dörrposter och slet loss både dem och bommen. Alltihop tog han på ryggen och bar det upp till toppen av berget nära Hebron.
JDG.16.4	En tid därefter förälskade sig Simson i en kvinna som bodde i Sorekdalen. Hon hette Delila. 
JDG.16.5	Filisteernas hövdingar kom till henne och sade: »Locka honom att tala om var han får sin väldiga styrka ifrån och hur vi skall få makt över honom, så att vi kan binda och kuva honom. Du får elvahundra siklar silver av var och en av oss.«
JDG.16.6	Delila sade till Simson: »Tala om för mig var du får din väldiga styrka ifrån och hur man gör för att binda och kuva dig.« 
JDG.16.7	Simson svarade: »Om man binder mig med sju färska senor som inte har hunnit torka, så blir jag lika svag som vem som helst.« 
JDG.16.8	Filisteernas hövdingar kom då till henne med sju färska senor som inte hunnit torka, och hon band honom med dem. 
JDG.16.9	Samtidigt hade hon folk som låg på lur i rummet innanför. Men när hon ropade: »Filisteerna tar dig, Simson!« slet han sönder senorna som om de varit blånor som svetts av eld. Och ingen visste var hans styrka kom ifrån.
JDG.16.10	Delila sade till Simson: »Du har lurat mig och ljugit för mig! Tala om hur man gör för att binda dig.« 
JDG.16.11	Simson svarade: »Om man binder mig med nya rep som inte varit i bruk, så blir jag lika svag som vem som helst.« 
JDG.16.12	Delila tog nya rep, som hon band Simson med, och ropade sedan: »Filisteerna tar dig, Simson!« Samtidigt låg folk på lur i rummet innanför. Men Simson slet bort repen från armarna som om de varit trådar.
JDG.16.13	Delila sade till Simson: »Du bara lurar mig och ljuger för mig. Tala om hur man gör för att binda dig.« Simson svarade: »Om du väver in mina sju flätor i vävstolens varp och pluggar fast dem i väggen, så blir jag lika svag som vem som helst.« 
JDG.16.14	Hon vaggade honom till sömns och vävde sedan in hans sju flätor i varpen och pluggade fast dem i väggen. Men när hon ropade: »Filisteerna tar dig, Simson!« for han upp ur sömnen och ryckte loss både plugg och varp.
JDG.16.15	Då sade hon: »Hur kan du säga att du älskar mig, när du inte berättar allt för mig. Tre gånger har du lurat mig, och du har inte talat om för mig var du får din väldiga styrka ifrån.« 
JDG.16.16	Dagarna i ända pinade hon honom med sitt tjat. Till sist blev han så trött på henne att han kunde dö, 
JDG.16.17	och han berättade sin hemlighet: »Ingen rakkniv har någonsin vidrört mitt huvud, ty jag är en Guds nasir ända från moderlivet. Men om man rakar av mig håret, förlorar jag min styrka och blir lika svag som vem som helst.«
JDG.16.18	Delila, som förstod att han hade berättat hela hemligheten, sände bud efter filisteernas hövdingar och sade: »Kom hit! Nu har Simson berättat sin hemlighet.« Hövdingarna kom, och pengarna hade de med sig. 
JDG.16.19	Delila vaggade Simson till sömns i sitt knä, sedan kallade hon in en man som skar av hans sju flätor. Så började Simsons förnedring. Han hade förlorat sin styrka. 
JDG.16.20	När Delila ropade: »Filisteerna tar dig, Simson!« for han upp ur sömnen och tänkte: »Jag lyckas nog göra mig fri den här gången också.« Han visste inte att Herren hade övergett honom.
JDG.16.21	Filisteerna grep honom och stack ut ögonen på honom och förde honom sedan till Gaza. Han slogs i bojor och blev satt att mala på kvarnen i fängelset.
JDG.16.22	Men hans hår som rakats av började växa ut igen.
