GEN.1.1	I början skapade Gud himlarna och jorden.
EXO.1.21	Eftersom barnmorskorna fruktade Gud, gav han dem också egna familjer.
EXO.1.22	Då befallde farao hela sitt folk att kasta alla nyfödda pojkar i Nilen men låta flickorna leva.
EXO.2.1	Vid denna tid gifte sig ett par som båda tillhörde Levi stam. 
EXO.2.2	Hon blev gravid och födde en son som hon märkte var vacker. Hon gömde honom i tre månader. 
EXO.2.3	Men när hon inte längre kunde hålla honom gömd, gjorde hon en korg av papyrus och tätade den med jordbeck och tjära. Hon lade pojken i korgen och placerade den i vassen vid flodstranden. 
EXO.2.4	Pojkens syster stod på avstånd för att se vad som skulle hända.
EXO.2.5	En prinsessa, en av faraos döttrar, kom just då för att bada i floden, och när hennes sällskapsdamer gick utmed stranden, upptäckte hon korgen i vassen och skickade en slavinna att hämta den. 
EXO.2.6	Hon öppnade den och fick se barnet. Pojken grät och hon blev rörd. ”Det måste vara ett av de hebreiska barnen”, sa hon.
EXO.2.7	Då kom pojkens syster fram till prinsessan och frågade: ”Ska jag gå och be någon av de hebreiska kvinnorna att amma barnet åt dig?” 
EXO.2.8	”Ja, gör det!” svarade prinsessan. Då gick flickan och hämtade pojkens mamma. 
EXO.2.9	”Ta med dig det här barnet och amma det åt mig”, sa prinsessan, ”så ska jag betala dig för det.” Då tog kvinnan hand om barnet och ammade honom.
EXO.2.10	När han blivit äldre, gick hon till faraos dotter med honom och han blev adopterad som prinsessans son. Prinsessan kallade honom Mose
EXO.2.11	En dag när Mose redan var vuxen, besökte han sina landsmän och såg på hur de slet och arbetade. Han fick också se hur en egypter slog ner en hebré, en från hans eget folk. 
EXO.2.12	Mose såg sig omkring för att vara säker på att ingen iakttog honom och dödade sedan egyptern och gömde hans kropp i sanden.
EXO.2.13	Nästa dag när han kom tillbaka dit, fick han se två hebréer som råkat i slagsmål. Han sa då till angriparen: ”Varför slår du en av ditt eget folk?”
EXO.2.14	Men mannen svarade. ”Vem har satt dig till ledare och domare över oss? Tänker du döda mig som du dödade egyptern igår?” När Mose förstod att man visste vad han hade gjort, blev han rädd. 
EXO.2.15	Farao fick också höra talas om saken och ville döda Mose. Men Mose flydde därför bort till midjaniternas land.
EXO.2.15	En gång vilade han vid en brunn. 
EXO.2.16	Prästen i Midjans land hade sju döttrar, som då hade kommit för att vattna sin fars får. 
EXO.2.17	Men några herdar försökte mota bort dem. Då hjälpte Mose dem och gav fåren vatten.
EXO.2.18	När flickorna kom hem frågade deras far Reguel dem: ”Hur kommer det sig att ni är tillbaka så tidigt idag?” 
EXO.2.19	”Det var en egypter där som försvarade oss mot herdarna”, förklarade de. ”Han hämtade upp vatten åt oss och gav fåren.” 
EXO.2.20	”Men var har ni gjort av honom?” frågade deras far. ”Lämnade ni honom kvar därborta? Be honom komma hit och äta med oss.”
EXO.2.21	Mose gick med på att bli kvar hos mannen, och Reguel gav honom sin dotter Sippora till hustru. 
EXO.2.22	Hon födde en son, som Mose gav namnet Gershom
EXO.2.23	Flera år senare dog kungen i Egypten. Israels barn dignade under tunga bördor och klagade under slaveriet. Deras rop steg upp till Gud. 
EXO.2.24	När Gud hörde deras klagan tänkte han på sitt förbund med Abraham, Isak och Jakob. 
EXO.2.25	Gud såg på israeliterna och tog sig an dem.
EXO.3.1	En dag när Mose vaktade fåren åt sin svärfar Jetro, prästen i Midjan, drev han dem bortom öknen i närheten av Horeb
EXO.3.2	Då visade sig 
EXO.3.3	tänkte han gå närmare för att undersöka detta märkliga att busken inte brann upp. 
EXO.3.4	Då 
EXO.3.5	”Kom inte närmare”, sa Gud. ”Ta av dig skorna, för du står på helig mark! 
EXO.3.6	Jag är din faders Gud, Abrahams, Isaks och Jakobs Gud.” Då slog Mose händerna för ansiktet, för han var rädd för att se på Gud.
EXO.3.8	Nu har jag kommit ner för att befria mitt folk från egypterna och föra det ut ur Egypten till ett mycket gott land, ett stort land som flyter av mjölk och honung. Där bor nu kanaanéer, hettiter, amoréer, perisséer, hivéer och jevuséer. 
EXO.3.9	Ja, ropet från Israels folk har stigit upp till mig, och jag har själv sett hur egypterna förtrycker dem. 
EXO.3.10	Gå! Jag sänder dig till farao för att du ska leda mitt folk, israeliterna, ut ur Egypten.”
EXO.3.11	”Vem är jag, att jag skulle gå till farao och leda israeliterna ut ur Egypten?” sa Mose till Gud. 
EXO.3.12	”Jag är
EXO.3.13	”Men”, sa Mose till Gud, ”om jag nu går till israeliterna och talar om för dem att deras förfäders Gud har sänt mig, så kommer de att fråga: ’Vad är hans namn
EXO.3.14	”
EXO.3.15	Vidare sa Gud: ”Tala om för dem att 
EXO.3.15	Detta är mitt eviga namn
EXO.3.15	och så ska alla generationer kalla mig.
EXO.3.16	Samla nu ihop alla de äldste i Israel och tala om för dem att 
EXO.3.17	Jag lovar att rädda er från förtrycket i Egypten och leda er till det land där nu kanaanéer, hettiter, amoréer, perisséer, hivéer och jevuséer bor, ett land som flyter av mjölk och honung.’
EXO.3.18	De äldste i Israel kommer att lyssna till dig och följa med dig till Egyptens kung och säga: ’
EXO.3.19	Jag vet att kungen i Egypten inte vill låta er gå, även om han får känna på min styrka. 
EXO.3.20	Därför tänker jag tvinga honom. Jag ska sträcka ut min hand och låta märkliga ting ske i Egypten ända tills han låter er gå. 
EXO.3.21	Dessutom ska jag göra egypterna så välvilligt inställda mot detta folk att ni inte går tomhänta därifrån. 
EXO.3.22	Varje kvinna ska be om föremål av silver och guld och kläder av grannkvinnorna och kvinnorna i sitt hushåll och dem ska era söner och döttrar bära. Ja, ni ska plundra Egypten på dess rikedomar.”
EXO.4.1	Mose sa: ”Men om de inte tror mig och inte lyssnar på vad jag säger? Om de säger att 
EXO.4.2	”Vad är det du har i din hand?” frågade 
EXO.4.3	”Kasta den på marken”, sa 
EXO.4.4	Då sa 
EXO.4.5	”Detta ska få dem att förstå att 
EXO.4.6	Stick nu in handen innanför din mantel”, sa 
EXO.4.7	”Stick in den igen”, sa Herren, och han stack in den. När han sedan drog ut den på nytt var den normal, precis som förut.
EXO.4.8	”Om de inte tror dig eller tar det första tecknet på allvar, kommer de att tro på det andra, 
EXO.4.9	och om de inte lyssnar på dig efter dessa båda tecken, ska du ta vatten från Nilen och hälla ut det på torra land, och det ska förvandlas till blod.”
EXO.4.10	Mose svarade: ”
EXO.4.11	”Vem har gett människan hennes mun?” frågade 
EXO.4.12	Gå nu och jag ska vara med dig och hjälpa dig att tala och jag ska lära dig vad du ska säga.”
EXO.4.13	”Men Herre, kan du inte sända någon annan?” invände Mose. 
EXO.4.14	Då blev 
EXO.4.15	Tala till honom och lägg orden i hans mun. Jag ska hjälpa er båda att tala tillsammans, och jag ska tala om för er vad ni ska göra. 
EXO.4.16	Han ska vara din talesman inför folket, och han ska vara din mun och du ska vara som Gud för honom. 
EXO.4.17	Ta med dig staven, så att du med den kan göra tecknen.”
EXO.4.18	Mose gick hem och sa till sin svärfar Jetro: ”Jag skulle vilja gå tillbaka till Egypten och besöka mina släktingar för att se om de fortfarande lever.” ”Naturligtvis får du gå, och lycka till”, svarade Jetro.
EXO.4.19	Innan Mose lämnade Midjan, sa 
EXO.4.20	Mose satte sin hustru och sina söner på en åsna och började resan till Egypten. I handen hade han Guds stav.
EXO.4.22	Då ska du säga till honom: ’Så säger 
EXO.4.23	Jag har gett dig befallning att låta honom gå, så att han kan hålla gudstjänst åt mig, men du har vägrat. Därför ska jag döda din förstfödde son.’ ”
EXO.4.24	Vid ett nattläger under resan kom 
EXO.4.25	Då tog Sippora en flintkniv och skar bort förhuden på sin son och vidrörde Moses
EXO.4.26	Sedan lät Herren honom vara.
EXO.4.27	Vid samma tid sa 
EXO.4.28	Mose talade om för Aron allt som 
EXO.4.29	Mose och Aron gick sedan och sammankallade alla de äldste i Israel. 
EXO.4.30	Aron berättade för dem vad 
EXO.4.31	Då trodde folket, när de hörde att 
EXO.5.1	Sedan gick Mose och Aron för att träffa farao. ”Så säger 
EXO.5.2	Då svarade farao: ”Vem är då 
EXO.5.3	De svarade: ”Hebréernas Gud har uppenbarat sig för oss. Låt oss få vandra iväg tre dagsresor ut i öknen och offra till 
EXO.5.4	Men kungen av Egypten sa till dem: ”Vad tror ni att ni är för ena som kan komma och dra bort folket från deras arbete? Gå nu tillbaka och sköt era arbeten!” 
EXO.5.5	Vidare sa farao: ”Se, folket är redan nu talrikt i landet, och ändå vill ni att de ska slippa arbeta!”
EXO.5.6	Samma dag gav farao order till sina fogdar och till folkets förmän: 
EXO.5.7	”Ni ska inte längre ge folket halm till teglet, utan den får de samla ihop själva. 
EXO.5.8	Men se till att produktionen inte minskas med en enda tegelsten. De är lata, det är därför de ropar och säger: ’Låt oss gå och offra åt vår Gud!’ 
EXO.5.9	Låt dem få arbeta riktigt ordentligt, så de slutar att lyssna på lögner!”
EXO.5.10	Fogdarna och förmännen gick och sa till folket: ”Farao har gett order om att ni inte längre ska få någon halm. 
EXO.5.11	Ni får själva gå och samla ihop den, men ni ska ändå klara av lika mycket som tidigare.” 
EXO.5.12	Man spred sig då över hela Egypten för att samla strån som kunde användas som halm.
EXO.5.13	Fogdarna var mycket hårda mot dem. ”Ni måste fylla er dagliga kvot, precis som tidigare när ni fick halm”, befallde de. 
EXO.5.14	De slog de israelitiska förmän som faraos fogdar satt som arbetsledare bland folket. ”Varför har ni inte gjort fullt dagsverke, vare sig igår eller idag?” sa de åt dem.
EXO.5.15	Förmännen gick då till farao och klagade inför honom: ”Varför behandlar du oss så här illa? 
EXO.5.16	Vi får inte längre någon halm, och ändå måste vi göra lika mycket tegel som förut. Man slår dina tjänare för något som är ditt folks fel.”
EXO.5.17	Men farao svarade: ”Lata, det är vad ni är – lata! Därför säger ni att ni vill gå och offra till 
EXO.5.18	Gå tillbaka till ert arbete nu! Halm kommer ni inte att få, men ni ska leverera lika mycket tegel som förut.”
EXO.5.19	Då förstod förmännen att de råkat i en riktig knipa, eftersom man krävde lika mycket tegel varje dag som förut. 
EXO.5.20	När de träffade Mose och Aron, som stod och väntade på dem utanför faraos palats, 
EXO.5.21	sa de: ”
EXO.5.22	Mose vände sig på nytt till 
EXO.5.23	Sedan jag talade med farao första gången i ditt namn har han blivit allt grymmare mot dem och du har inte gjort något för att rädda ditt folk!”
EXO.6.1	”Nu ska du få se vad jag tänker göra med farao”, sa 
EXO.6.2	Gud talade till Mose: ”Jag är 
EXO.6.3	Som Gud den Väldige uppenbarade jag mig för Abraham, Isak och Jakob, men under namnet 
EXO.6.4	Jag ingick ett förbund med dem och lovade att ge dem Kanaans land, där de levde som främlingar. 
EXO.6.5	Nu har jag hört Israels folks klagan över att egypterna håller dem som slavar och jag har kommit ihåg mitt förbund.
EXO.6.6	Säg därför till israeliterna att jag är 
EXO.6.7	Jag ska ta emot er som mitt folk och vara er Gud, och ni ska inse att jag är 
EXO.6.8	Jag ska föra er in i det land, som jag med ed lovade att ge åt Abraham, Isak och Jakob. Det landet ska tillhöra er. Jag är 
EXO.6.9	Mose berättade för folket allt detta, men de ville inte lyssna. De var alltför tyngda av sitt missmod och sitt hårda arbete.
EXO.6.11	”Gå tillbaka till farao, kungen av Egypten, och säg att han måste släppa Israel från sitt land.” 
EXO.6.12	Men Mose gjorde invändningar inför 
EXO.6.13	Då befallde 
EXO.6.14	Deras familjeöverhuvuden var:
EXO.6.14	Rubens, Jakobs förstfödde sons söner
EXO.6.15	Simons söner: Jemuel, Jamin, Ohad, Jakin, Sochar och Saul, en kanaaneisk kvinnas son. Dessa var Simons släkter.
EXO.6.16	Levis söner i åldersordning hette Gershon, Kehat och Merari. Levi blev 137 år gammal.
EXO.6.17	Gershons söner var Livni och Shimi, efter deras släkter.
EXO.6.18	Kehats söner: Amram, Jishar, Hebron och Ussiel. Kehat blev 133 år gammal.
EXO.6.19	Meraris söner: Machli och Mushi. Dessa utgjorde de levitiska släkterna i åldersordning.
EXO.6.20	Amram gifte sig med Jokeved, sin fars syster, som födde åt honom Aron och Mose. Amram blev 137 år.
EXO.6.21	Jishars söner: Korach, Nefeg och Sikri.
EXO.6.22	Ussiels söner: Mishael, Elsafan och Sitri.
EXO.6.23	Aron gifte sig med Elisheva, dotter till Amminadav och syster till Nachshon. Hon födde åt honom Nadav, Avihu, Elasar och Itamar.
EXO.6.24	Korachs söner: Assir, Elkana och Aviasaf. Dessa utgjorde korachiternas släkter.
EXO.6.25	Arons son Elasar gifte sig med en av Putiels döttrar, och hon födde åt honom Pinechas.
EXO.6.25	Dessa var familjeöverhuvuden för de levitiska släkterna, släkt för släkt.
EXO.6.26	Det var denne Aron och Mose som 
EXO.6.27	Det var de som talade med farao, kungen av Egypten, om att leda folket ut ur landet, dessa två, Mose och Aron. 
EXO.6.28	 hade talat till Mose i Egypten 
EXO.6.29	och sagt: ”Jag är 
EXO.6.30	Det var denne Mose som hade kommit med invändningar och sagt till 
EXO.7.1	Då sa 
EXO.7.2	Tala om för Aron allt vad jag befaller dig, så att han kan framföra det till farao för att han ska låta Israels folk lämna hans land. 
EXO.7.3	Men jag ska förhärda faraos hjärta, och även om jag gör många tecken och under i Egypten, 
EXO.7.4	så kommer farao inte att lyssna till er. Men jag ska bära hand på Egypten och leda mina härskaror, mitt folk israeliterna, ut ur Egypten med stora straffdomar. 
EXO.7.5	Egypterna ska inse att jag är 
EXO.7.6	Mose och Aron gjorde som 
EXO.7.7	Mose var 80 år och Aron 83 år, när de talade med farao.
EXO.7.9	”När farao begär att ni utför ett under, ska du säga till Aron att ta sin stav och kasta den framför farao och då ska den förvandlas till en orm.”
EXO.7.10	Mose och Aron gick till farao och gjorde som 
EXO.7.11	Då bad farao sina visa män och trollkarlar att komma in, och de kunde göra samma sak genom sina magiska konster. 
EXO.7.12	Var och en av dem kastade sin stav och alla deras stavar förvandlades till ormar. Men Arons stav slukade deras stavar. 
EXO.7.13	Faraos hjärta var trots det fortfarande hårt. Han ville inte höra på dem, så som 
EXO.7.15	”Gå därför till honom imorgon bitti, när han går ner till floden. Vänta vid flodstranden när han kommer och håll staven i handen, den stav som blev förvandlad till en orm. 
EXO.7.16	Säg till honom: ’
EXO.7.17	men nu säger 
EXO.7.18	Fiskarna ska dö, och floden kommer att lukta så illa att egypterna inte kan dricka vattnet.’ ”
EXO.7.20	Mose och Aron gjorde som 
EXO.7.21	Fiskarna i Nilen dog, och vattnet blev så stinkande att egypterna inte kunde dricka det. Det var blod i hela Egypten. 
EXO.7.22	Men när de egyptiska magikerna gjorde samma sak genom sina hemliga konster, förblev farao hård. Han ville inte lyssna på Mose och Aron, så som 
EXO.7.23	Helt oberörd återvände farao till sitt palats. 
EXO.7.24	Men egypterna började gräva runt omkring Nilen för att hitta dricksvatten, för man kunde inte dricka vattnet från floden.
EXO.7.25	En vecka hade gått sedan 
EXO.8.2	Om du vägrar och inte vill släppa folket, ska jag låta hela landet drabbas av grodor. 
EXO.8.3	Nilen ska vimla av dem, och de ska komma upp på land, in i ditt palats, i ditt sovrum och upp i din säng, i dina hovmäns hus och ditt folks hus, i dina bakugnar och baktråg. 
EXO.8.4	Grodorna ska klättra på dig och på ditt folk och dina hovmän.’ ”
EXO.8.6	Aron räckte då ut sin hand över vattnen i Egypten, och grodorna täckte hela landet. 
EXO.8.7	Men magikerna gjorde samma sak genom sina hemliga konster och lät grodor komma över Egypten.
EXO.8.8	Då kallade farao till sig Mose och Aron: ”Be till 
EXO.8.9	”Du ska själv få bestämma den tidpunkt då du vill att jag ska be för dig, dina hovmän och ditt folk”, sa Mose till farao, ”så att grodorna försvinner från dig och dina hus, och blir bara kvar i Nilen.”
EXO.8.10	”Gör det imorgon”, sa farao. ”Det ska bli som du vill”, svarade Mose”, för att du ska inse att ingen är lik 
EXO.8.11	Alla grodor ska försvinna från dig och dina hus och dina hovmän och ditt folk och bara bli kvar i Nilen.”
EXO.8.12	Mose och Aron lämnade farao och Mose ropade till 
EXO.8.13	 gjorde som Mose bad honom och det låg döda grodor i alla hus, på gårdarna och på fälten. 
EXO.8.14	De samlades ihop i stora högar och det blev en stank över hela landet. 
EXO.8.15	Men när farao såg att hemsökelsen var över, blev han hård på nytt och vägrade att släppa folket, så som 
EXO.8.16	Då sa 
EXO.8.17	Mose och Aron gjorde som 
EXO.8.18	Magikerna försökte göra samma sak genom sina hemliga konster, frambringa mygg, men den här gången misslyckades de. Myggorna fanns överallt på människor och djur.
EXO.8.19	”Detta är Guds finger”, sa de till farao. Men farao var lika hård. Han ville inte lyssna på Mose och Aron, så som 
EXO.8.20	Därefter sa 
EXO.8.21	Om du vägrar, ska jag sända flugsvärmar över dig och dina hovmän, ditt folk och dina hus. Husen i Egypten ska bli uppfyllda av dem, och marken ska vara täckt av dem.
EXO.8.22	Landet Goshen däremot, där mitt folk bor, ska jag behandla annorlunda. Där ska det inte finnas några flugsvärmar, för att du ska inse att jag, 
EXO.8.23	Jag ska göra skillnad mellan ditt folk och mitt och detta tecken kommer att ske imorgon.’ ”
EXO.8.25	Farao kallade då till sig Mose och Aron och sa: ”Gå och offra åt er Gud, men gör det här i landet.”
EXO.8.26	Mose svarade: ”Det går inte. Egypterna skulle avsky om vi offrade till 
EXO.8.27	Vi måste göra en tre dagars färd ut i öknen för att offra till 
EXO.8.28	”Gå då”, svarade farao. ”Jag tillåter er att offra åt 
EXO.8.29	”Ja”, svarade Mose, ”så fort jag gått härifrån ska jag be att 
EXO.8.30	Mose lämnade farao och bad till 
EXO.8.31	 gjorde som Mose bad honom och lät flugsvärmarna försvinna från farao och hans hovmän och hans folk. Inte en enda fluga blev kvar. 
EXO.8.32	Då gjorde farao sitt hjärta lika hårt igen och lät inte folket gå.
EXO.9.1	”Gå tillbaka till farao”, sa 
EXO.9.2	Om du inte gör det 
EXO.9.3	ska 
EXO.9.4	Men 
EXO.9.6	Följande dag gjorde 
EXO.9.7	Farao skickade då bud för att undersöka saken och fick veta inte något enda djur bland Israels boskap hade dött. Men fortfarande gav farao inte med sig. Han vägrade att släppa folket.
EXO.9.9	och då ska det bildas damm över hela Egypten. Det ska ge variga bölder på människor och djur över hela landet.”
EXO.9.10	Då tog de sot från brännugnen och gick till farao. Inför farao kastade Mose sedan upp sotet mot himlen och både människor och djur fick variga bölder. 
EXO.9.11	Magikerna kunde inte stiga fram inför Mose, eftersom de också drabbats av bölderna liksom alla andra egypter. 
EXO.9.12	Men 
EXO.9.13	Sedan sa 
EXO.9.14	annars ska jag denna gång sända alla mina plågor mot dig själv och dina hovmän och ditt folk för att du ska inse att ingen på hela jorden är som jag. 
EXO.9.15	Jag hade vid det här laget kunnat låta dig och ditt folk drabbas av pest, vilket skulle ha utplånat dig från jordens yta, 
EXO.9.16	men jag har låtit dig uppstå just med avsikten att jag ville visa dig min makt och att mitt namn skulle bli förkunnat överallt på jorden. 
EXO.9.17	Om du fortfarande sätter dig mot mitt folk och vägrar att släppa dem, 
EXO.9.18	ska jag i morgon vid den här tiden sända en väldig hagelstorm över hela landet, en storm vars like man aldrig sett sedan Egypten grundades. 
EXO.9.19	Se nu till att du får in din boskap och allt du har från fälten, för varje människa och varje djur som finns ute kommer att träffas och dö av haglet.’ ”
EXO.9.20	De av faraos tjänstefolk som fruktade 
EXO.9.21	men de som inte brydde sig om 
EXO.9.22	Då sa 
EXO.9.23	När Mose lyfte staven mot himlen, sände 
EXO.9.24	Det haglade och blixtrade så att det aldrig tidigare i Egyptens historia, sedan det blev befolkat, förekommit ett sådant oväder. 
EXO.9.25	Överallt i landet slogs allt ner som fanns ute på fälten, både människor och djur. Växterna ute på fälten slogs ner, och träden förstördes. 
EXO.9.26	Men i Goshen, där Israels folk bodde, kom det inget hagel.
EXO.9.27	Farao kallade till sig Mose och Aron och sa: ”Den här gången har jag syndat. Det är 
EXO.9.28	Be till 
EXO.9.29	Mose svarade: ”Så snart jag har lämnat staden ska jag lyfta mina händer mot 
EXO.9.30	Men ändå kommer varken du eller dina hovmän att frukta 
EXO.9.31	Allt lin och allt korn slogs ner och blev förstört, för kornet hade gått i ax och linet stod i blom, 
EXO.9.32	men vetet och speltet blev inte förstört eftersom de mognar senare.
EXO.9.33	Mose lämnade farao, gick ut ur staden och lyfte sina händer mot 
EXO.9.34	När farao såg att regnet, haglet och åskan hade upphört, syndade han igen och förhärdade sig, både han och hans hovmän. 
EXO.9.35	Farao var lika hård, och han släppte inte folket, så som 
EXO.10.1	Då sa 
EXO.10.2	och för att du ska kunna berätta för dina barn och barnbarn om de stora gärningar jag gjorde bland egypterna och vilka tecken jag gjorde bland dem. Så ska ni inse att jag är 
EXO.10.3	Mose och Aron gick än en gång till farao och talade med honom: ”Så säger 
EXO.10.4	Om du fortfarande vägrar att släppa iväg dem, ska jag imorgon bitti sända gräshoppor över ditt land. 
EXO.10.5	De ska täcka marken så att man inte kan se den och de ska äta upp allt som blev kvar efter haglet. De ska gnaga av alla träd som växer på era marker. 
EXO.10.6	De kommer att fylla alla hus, dina och dina hovmäns hus, ja, alla egypters hus. Något sådant har varken dina fäder eller förfäder sett sedan de bosatte sig i landet.’ ”
EXO.10.6	Sedan gick Mose därifrån.
EXO.10.7	Faraos hovmän frågade honom: ”Hur länge ska den där mannen få vara en snara för oss? Låt folket gå och tillbe 
EXO.10.8	Då lät farao hämta tillbaka Mose och Aron. ”Ni får väl gå och tillbe 
EXO.10.9	”Vi vill gå allesammans, både unga och gamla”, svarade Mose. ”Vi vill ta med våra söner och döttrar och all vår boskap och våra hjordar, eftersom vi ska fira en högtid till 
EXO.10.10	”Ja, nog behöver ni att 
EXO.10.11	Aldrig i livet! Nej, ni män kan gå och tillbe Herren, för det var ju det ni ville.” Och så körde man ut dem därifrån.
EXO.10.12	Då sa 
EXO.10.13	Och Mose räckte ut sin stav, och 
EXO.10.14	De täckte hela landet och slog ner överallt i Egypten. Det var den värsta gräshoppsinvasionen någonsin och man kommer aldrig att få se något liknande igen. 
EXO.10.15	Gräshopporna täckte hela landet, marken var alldeles svart, och de åt upp all växtlighet och all frukt på träden som fanns kvar efter haglet. De lämnade inget grönt kvar, varken på träden eller på marken någonstans i hela Egypten.
EXO.10.16	Då skickade farao ilbud efter Mose och Aron och sa till dem: ”Jag har syndat mot 
EXO.10.17	Förlåt min synd bara den här gången och be 
EXO.10.18	Mose gick från farao och bad till 
EXO.10.19	och 
EXO.10.20	Men 
EXO.10.21	Då sa 
EXO.10.22	Mose lyfte sin hand mot himlen, och det kom ett tjockt mörker över hela Egypten i tre dagar. 
EXO.10.23	Folk kunde inte se varandra eller röra sig på tre dagar, men där israeliterna bodde var det ljust.
EXO.10.24	Farao skickade då efter Mose och sa: ”Gå och fira gudstjänst åt 
EXO.10.25	”Nej”, sa Mose. ”Du måste låta oss ta med slaktoffer och brännoffer som vi kan offra åt 
EXO.10.26	Vi måste få med oss vår boskap. Inte en klöv ska lämnas kvar. Vi måste offra av vår boskap åt 
EXO.10.27	Men 
EXO.10.28	”Försvinn härifrån, och låt mig aldrig se dig igen”, sa farao åt Mose. ”Kommer du hit en gång till ska du dö.”
EXO.10.29	”Du har helt rätt”, sa Mose. ”Du kommer aldrig att se mig igen.”
EXO.11.1	Då sa 
EXO.11.2	Säg nu till alla män och kvinnor att de ska be att få föremål av silver och guld av sina grannar.”
EXO.11.4	Mose sa nu
EXO.11.5	Allt förstfött i Egypten ska dö, från härskaren faraos förstfödde till den förstfödde av slavinnan vid handkvarnen och till och med de förstfödda bland boskapen. 
EXO.11.6	En dödsklagan kommer att höras över hela landet. Aldrig tidigare har man hört något sådant, och man kommer aldrig att få höra det igen. 
EXO.11.7	Mot Israels folk däremot ska inte ens en hund morra
EXO.11.8	Alla dina hovmän ska komma till mig och buga och säga: ’Var snäll och lämna oss genast, och ta med allt folket!’ Efter det ska jag ge mig iväg.” Sedan gick Mose därifrån, full av vrede.
EXO.11.10	Fastän Mose och Aron utförde dessa under mitt framför ögonen på farao, gjorde 
EXO.12.2	”Från och med nu ska den här månaden vara den första månaden på året för er. 
EXO.12.3	Säg till Israels menighet att varje familj ska skaffa ett lamm eller en killing till den tionde dagen i denna månad, ett djur för varje hushåll. 
EXO.12.4	Om familjen är för liten för ett helt djur, ska det delas med den närmaste grannfamiljen, efter antalet personer. Beräkna hur mycket var och en äter. 
EXO.12.5	Djuret ska vara årsgammalt, av hankön, och det ska vara felfritt, antingen ett får eller en get.
EXO.12.6	Ni ska sköta om det till den fjortonde dagen i månaden. I skymningen den dagen
EXO.12.7	och lite av blodet ska strykas på dörrposterna och på tvärbjälken över dörren i de hus där man äter det. 
EXO.12.8	Köttet ska ätas just den natten. Det ska vara stekt över eld och man ska äta det med bröd som är bakat utan jäst och med bittra örter. 
EXO.12.9	Köttet får inte ätas rått eller kokt utan det ska vara stekt över eld med både huvud, fötter och inälvor. 
EXO.12.10	Ingenting av det får sparas till följande morgon. Om något blir kvar, ska det brännas.
EXO.12.11	Ni ska äta det med reskläderna på. Ni ska ha skor på fötterna och vandringsstavar i händerna. Ät snabbt! Detta är 
EXO.12.12	Jag ska nämligen gå fram genom Egypten just den natten och döda allt förstfött i landet, människor likväl som djur. Jag ska hålla dom över alla Egyptens gudar, för jag är 
EXO.12.13	Blodet ska vara tecknet på husen där ni bor, och när jag ser blodet ska jag gå förbi er, och inget fördärv ska drabba er när jag slår Egypten.
EXO.12.14	Ni ska ha denna som minnesdag för er och fira den som 
EXO.12.15	I sju dagar ska ni äta osyrat bröd. Redan den första dagen ska ni rensa bort all jäst ur era hus. Den som äter någonting jäst under dessa sju dagar ska utrotas ur Israel. 
EXO.12.16	På den första och den sjunde dagen ska en helig sammankomst hållas och inget arbete får utföras under de dagarna, med undantag för matlagning så att var och en får äta; det är allt ni får göra.
EXO.12.17	Det osyrade brödets högtid ska ni fira därför att den här dagen förde jag era härskaror ut ur Egypten. Det är alltså en oföränderlig förordning att ni ska fira denna dag, generation efter generation. 
EXO.12.18	Från kvällen den fjortonde dagen i månaden till kvällen den tjugoförsta dagen får bara bröd som bakats utan jäst ätas. 
EXO.12.19	Under dessa sju dagar får det inte finnas något jäst i era hem. Den som under denna tid äter någonting som är jäst ska utrotas ur Israel, såväl invandraren som israeliten. 
EXO.12.20	Ni ska alltså inte äta någonting som är bakat med jäst, utan bara bröd som inte är jäst, var ni än bor.”
EXO.12.21	Då kallade Mose till sig alla de äldste i Israel och sa till dem: ”Gå nu och skaffa ett lamm åt era familjer, och slakta det som påskoffer. 
EXO.12.22	Ta sedan några isopstjälkar och doppa dem i blodet i skålen och stryk lite av blodet på tvärbjälken till dörren och utmed de båda dörrposterna. Sedan får ingen av er gå ut genom dörren förrän det blir morgon. 
EXO.12.23	 ska nämligen gå fram genom landet och slå egypterna, men när han ser blodet på dörrposterna och på tvärbjälken, ska han gå förbi den dörren och inte tillåta Förgöraren
EXO.12.24	Följ dessa regler som en bestående förordning för er och era ättlingar. 
EXO.12.25	När ni kommer in i det land som 
EXO.12.26	Och när era barn frågar: ’Varför firar vi den här högtiden?’ 
EXO.12.27	då ska ni svara: ’Det är ett påskoffer åt 
EXO.12.28	Israels folk gick sedan iväg och gjorde exakt det som 
EXO.12.29	Vid midnatt dödade 
EXO.12.30	Mitt i natten steg farao upp, likaså hans hovmän och allt folket i Egypten, och det blev ett jämmer och en gråt över hela Egypten, för det fanns inte ett hus där inte någon låg död.
EXO.12.31	Farao kallade till sig Mose och Aron redan under natten och sa: ”Lämna mitt folk nu! Gå härifrån allihop, både ni och de övriga israeliterna, för att tillbe 
EXO.12.32	Ta med er era flockar och hjordar, precis som ni ville. Ge er iväg, och be om välsignelse för mig också!” 
EXO.12.33	Egypterna skyndade på dem för att få ut dem ur landet så fort som möjligt. ”Annars är vi snart döda allihop”, sa de.
EXO.12.34	Israeliterna tog med sig deg, som man inte hunnit blanda jäst i, och de lindade in baktrågen i sina kläder och bar dem på axlarna. 
