MAT.1.1	Livre d' la généalogie d' Jésus‐Christ, fis Dâvi, fis Abĕrham.
MAT.7.6	Gardous bien d' dounnaïr les chôses sâintes ès tchiens, et n' houlaïz pas vos perles d'vànt les pourchiaux, d' crâinte qu' i n' les pillvaûdent, et que se r'virànt contĕr vous, i n' vous étrillent.
MAT.7.7	D'màndaïz, et nou vous doûra; trachiz, et vous trouv'raïz; tapaïz à l' us, et nou vous l' ouvrira.
MAT.7.8	Car tout houmme qui d'mànde r'chét; et tout houmme qui trache trouve; et nou‐s‐ouvrira au cien qui tape à l' us.
MAT.7.9	Et y' a‐t‐i ùn houmme entĕr vous qui dounne une roque à sen fis quànd i lli d'mànde du païn?
MAT.7.10	Ou s' i lli d'mànde ùn païsson, lli doûra‐t‐i ùn serpent?
MAT.7.11	Si don, maûvais coumme vous êtes, vous savaïz dounnaïr d' bouannes chôses à vos éfànts; à combien pus forte raîson vote Pére qui' est dans les ciux doûra‐t‐i les vrais biens à chaeux qui les lli d'màndent!
MAT.7.12	Faites don ès hoummes tout chu qu' ous voulaïz qu' i vous féchent: car ch' est là la loué et les prophétes.
MAT.7.13	Entraïz par la porte étréte; car la porte d' la perdition est large, et l' chemìn qu' ŷ méne est grànd, et ill ŷ en a bien qu' ŷ entrent.
MAT.7.14	Qu' la porte d' la vie est p'tite! que l' chemìn qu' ŷ méne est étrét! et que l' nombĕr de chaeux qui l' trouvent est p'tit!
MAT.7.15	Gardous des faux prophétes, qui viennent à vous couverts de pels de bĕrbis, et qui au d'dans sont des loups dévorànts.
MAT.7.16	Vous les counnîtraïz par leux frits: peut‐nou cuiller d' la grappe sus d's épines, ou des figues sus des ronches?
MAT.7.17	Aïnchìn toute arbre qui' est bouanne produit d' bouans frits, et toute arbre qui' est maûvaise porte d' maûvais frits.
MAT.7.18	Une bouanne arbre n' sairait portaïr d' maûvais frits, et une maûvaise arbre n' sairait en portaïr d' bouans.
MAT.7.19	Toute arbre qui n' porte pouìnt d' bouan frit, s'ra copâie et houlâie au faeu.
MAT.7.20	Vous les r'counnîtraïz don par leux frits.
MAT.7.21	Chaeux qui m' disent: Signeur, Signeur, n' ènter'ront pas tous dans l' royaûme des ciux: mais ch'tin'na seul'ment y' ènter'ra, qui fait la volèntaï d' men Pére qui' est dans les ciux.
MAT.7.22	Ill y' en a bien qui m' diront en chu jour‐là: Signeur, Signeur, n' avons‐ju pas prophétîsaï en vote nom? n' avons‐ju pas cachi les démons en vote nom? et n' avons‐ju pas fait bien des miraclles en vote nom?
MAT.7.23	Et ossitôt j' leû dirai haûtement: Je n' vous ai jamais counneues; hors de ma veie, vous qui faites des œuvres d' iniquitaï.
MAT.7.24	Tout houmme don qui' ot ches paroles‐ichìn que j' dis, et les pratique, s'ra comparaï à ùn houmme de sens, qui' a bâti sa maîson sus l' roc;
MAT.7.25	Et quànd la pllie est quête, qu' les riviéres se sont débordâies, qu' les vents ont suffllaï et sont v'nus battĕr sus chutte maîson‐là, a' n' est pas quête, parç qu' all' 'tait fondâie sus l' roc.
MAT.7.26	Mais tout houmme qui' ot ches paroles‐ichìn que j' dis, et n' les pratique pouìnt, r'ssèmbllera à ùn houmme sàns sens, qui' a bâti sa maîson sus l' sabllon:
MAT.7.27	Et quànd la pllie est quête, qu' les riviéres se sont débordâies, qu' les vents ont suffllaï et sont v'nus battĕr sus chutte maîson‐là, alle a étaï renversâie, et la ruine a étaï grànde.
MAT.7.28	Ho Jésus aiyànt fini ches discours‐là, les peuplles étaient émérillis d' sa doctrine.
MAT.7.29	Car i l's ìnstruisait coumme y' étànt aûtorisaï, et pas coumme les scribes, ou coumme les pharisians.
MAT.8.1	Quànd Jésus aeut d'vallaï avaû la montâigne, une grànd route de gens l' siévit:
MAT.8.2	Et en même temps ùn lépraeux vìnt à li et l' adorit, et lli dît: Signeur, s' ous voulaïz, vous pouvaïz m' guérìr.
MAT.8.3	Jésus étèndit sa maïn, l' touquit, et lli dît: Je l' veurs; séyiz guéri; et dans ùn môment sa lépre fut guérie.
MAT.8.4	Et Jésus lli dît: Gardous bien d' pâlaïr d' chun'chìn à persounne; mais allaïz vous mourtraïr au prêtre, et offraïz l' don ordounnaï par Moïse, à ceulle fìn qu' vlà qui leû serve de témouégnage.
MAT.8.5	Coumme Jésus èntrait dans Capharnaüm, ùn cèntigner vìnt l' trouvaïr, et lli fît chutte r'quête‐ichìn:
MAT.8.6	Signeur, men serviteur est au llett et en paralysie dans ma maîson, et i souffre hardi.
MAT.8.7	Jésus lli dît: J' îrai, et je l' guérirai.
MAT.8.8	Mais l' cèntigner lli répounit: Signeur, je n' sis pas digne qu' ous ènteriaïz dans ma maîson: mais dites seul'ment une parole, et men serviteur s'ra guéri.
MAT.8.9	Car bien que je n' seis mé‐même qu' ùn houmme soumis à l' aûtoritaï d' ùn aûtre, coumme j' ai, pour tout chun'na, des soudards sous mé, j' dis à l' ùn: Allaïz‐là, et il ŷ va; et à l' aûtre: V'naïz ichìn, et il ŷ vient; et à men serviteur: Faites chun'na, et i l' fait.
MAT.8.10	Quànd Jésus ouit ches paroles‐là, i s' en émérillit, et dît à chaeux qui l' siévaient: J' vous dis, et ch' est la véritaï, j' n' ai pas trouvaï une si grànd foué même en Israël.
MAT.8.11	Ossìn j' vous décllére qu' ill y' en a bien qui viendront d' orient et d' occident, et airont plléche au festìn dans l' royaûme des ciux ôve Abĕrham, Isas et Jâcob:
MAT.8.12	Quànd l's éfànts du royaûme s'ront houlaïs dans les ténébres de d'hors. Ch' est là qu' ill y' aira des plleurs et des grìnch'ments d' dents.
MAT.8.13	Et Jésus dît au cèntigner: Allaïz, et qu' i vous sét fait coumme vous avaïz creue. Et sen serviteur fut guéri à la même haeure.
MAT.8.14	Jésus étànt v'nu dans la maîson d' Pierre, vît sa belle‐mére qui' était au llett et qui' avait la fiévre;
MAT.8.15	Et quànd i lli' aeut touqui la maïn, la fiévre la quittit: a' se l'vit ossitôt, et a' les servait.
MAT.8.16	Sus l' sér nou lli' am'nit une route de gens possédaïs du démon, et il en cachit les malìns esprits par sa parole, et guérisit tous chaeux qui' étaient malades;
MAT.8.17	A ceulle fìn qu' chutte parole‐ichìn du prophéte Isaïe fusse accompllie: Il a prìns li‐même nos ìnfirmitaïs, et i s' est chergi d' nos maladies.
MAT.8.18	Ho Jésus, quànd i vît aûtouar de li une grànd route de gens, ordounnit à ses disciplles de l' pâssaïr à l' aûte bord du lac.
MAT.8.19	Ossitôt ùn scribe ou docteur de la loué s' appĕrchit, et lli dît: Maître, j' vous sierrai partout où vous îraïz.
MAT.8.20	Jésus lli répounit: Les r'nards ont des houles, et les mouissons du cieil des nics; mais l' Fis d' l' houmme n' a pas où r'paûsaïr sa tête.
MAT.8.21	Un aûtèr de ses disciplles lli dît: Signeur, permettaïz‐mé d' allaïr ensev'lìr men pére d'vànt que j' vous siéve.
MAT.8.22	Mais Jésus lli dît: Siéviz‐mé, et laissiz ès morts l' soin d' ensev'lìr leux morts.
MAT.8.23	Il èntrit après chun'na dans la barque, et ses disciplles étaient ôve li:
MAT.8.24	Et ossitôt i se l'vit sus la maïre une si grànd tormente, qu' la barque était couverte de vâgues; et li entĕrtemps dormait.
MAT.8.25	Là‐d'ssus ses disciplles s' appĕrchirent de li et l' évillirent, et i dirent: Signeur, saûvaïz‐nous, j' périssons.
MAT.8.26	Jésus leû répounit: Pourqui' est qu' ous êtes si paeureux, hoummes de p'tite foué? Et i se l'vit en même temps, c'màndit ès vents et à la maïre, et i s' fît ùn grànd calme.
MAT.8.27	Là‐d'ssus chaeux qui' étaient là en furent ravis, et i disaient: Qui' est ch'tin'chìn, à qui les vents et la maïre obéissent?
MAT.8.28	Et quànd Jésus fut v'nu à l' aûte bord dans la contrâie des Géraségnans, daeux hoummes possédaïs du démon qui' étaient si éragis qu' fis d' âme n' osait pâssaïr par chu ch'mìn‐là, sortirent des tombes, et vìnrent au d'vànt d' li.
MAT.8.29	I s' mirent en même temps à cryaïr, et à lli dire: Jésus fis de Gyu, qui' est qu' ill y' a entĕr vous et nous? êtous v'nu ichìn pour nous tormèntaïr d'vànt l' temps?
MAT.8.30	Ho ill y' avait dans ùn endrét qui n' était pas bien llen d' aeux ùn grànd troupé d' pourchiaux qu' ŷ paîssaient;
MAT.8.31	Et les démons l' pryaient, et lli disaient: S' ous nous cachiz d' ichìn, envyaïz‐nous dans chu troupé d' pourchiaux‐là.
MAT.8.32	I leû répounit: Allaïz. Et il en sortirent, et èntrirent dans ches pourchiaux‐là: en même temps tout chu troupé‐là s' accoursit de toute sa forche, s' déroquit dans la maïre, et i mouarirent dans l's iaues.
MAT.8.33	Là‐d'ssus chaeux qui les gardaient s' enfirent: et quànd i vìnrent à la vìlle, i firent le r'fét de tout, et d' chu qui' était av'nu ès possédaïs.
MAT.8.34	Ossitôt toute la vìlle sortit pour allaïr au d'vànt d' Jésus; et quànd i l' virent, i l' suppillirent d' quittaïr leû contrâie.
MAT.9.1	Aquànd Jésus aeut r'montaï dans une barque, i r'pâssit l' lac, et r'vìnt dans la vìlle.
MAT.9.2	Et quànd nou lli' aeut apportaï ùn houmme qui' était en paralysie, couachi sus ùn llett, Jésus, coumme i vît leû foué, dît à ch't houmme en paralysie‐là: Men fis, couarage! vos péchês vous sont r'mis.
MAT.9.3	Ossitôt quiquiùns des scribes s' mirent à dire en iaeux‐mêmes: Ch't houmme‐là blasphême.
MAT.9.4	Mais Jésus quànd il aeut counneue chu qu' i pensaient, leú dît: Pourqui' est‐che qu' ous avaïz d' maûvaises pensâies dans vos cœurs?
MAT.9.5	Car des daeux, qui' est qui' est l' pus aisi, ou d' dire: Vos péchês vous sont r'mis; ou d' dire: L' vous et marchiz?
MAT.9.6	Ho à ceulle fìn qu' ous sachiz que l' Fis d' l' houmme a sus la terre le pouvoir de r'mettĕr les péchês: L'vous, s'fît‐i là‐d'ssus à l' houmme en paralysie; emportaïz vote llett, et allous‐en cîs vous.
MAT.9.7	L'houmme en paralysie se l'vit ossitôt, et s' en allit cîs li.
MAT.9.8	Et l' peuplle, quànd i vît chu miraclle‐là, en fut rèmplli d' crâinte, et glorifyit Gyu pour aver dounnaï ùn taï pouvoir ès hoummes.
MAT.9.9	Jésus, coumme i sortait d' là, vît ùn houmme assis à l' office où nou r'chevait la coûtume, qui' avait nom Makyu, et i lli dît: Siéviz‐mé; et li i se l'vit ossitôt, et l' siévit.
MAT.9.10	Et coumme Jésus était à tablle dans la maîson de ch't houmme‐là, i vìnt une route de publlicâins et d' gens d' maûvaise vie, qui s' mirent à tablle ôve Jésus et ses disciplles.
MAT.9.11	Quànd les pharisians virent chun'na, i dirent à ses disciplles: Pourqui' est‐che que vote maître mange ôve des publlicâins et des gens d' maûvaise vie?
MAT.9.12	Mais Jésus aiyànt oui chu qu' i disaient, leû dît: Ch' n' est pas chaeux qui sont dispos, mais che sont l's ìndispos qui' ont besoin d' ùn docteur.
MAT.9.13	Vlà pourqui allaïz, et appĕrnaïz chu qu' chutte parole‐ichìn veurt dire: J' aïme mux la miséricorde que l' sacrifice. Car je n' sis pas v'nu app'laïr les justes, mais les pécheurs.
MAT.9.14	Là‐d'ssus les disciplles d'Jean vìnrent le trouvaïr, et lli dirent: Pourqui' est‐che que les pharisians et nous j' junons souvent, et qu' vos disciplles n' junent pouìnt?
MAT.9.15	Jésus leû répounit: L's amis du brûman peuvent‐i êtĕr dans la tristesse et en deuil tàndis que l'brûman est ôve aeux? Mais i viendra ùn temps où l' brûman leû s'ra halaï, et là‐d'ssus i jun'ront.
MAT.9.16	Persounne ne mét une piéche de neuf drap à une vieille màndrille; aûtĕrment l' neuf emporterait ùn morcé du vier drap, et l' étrill'rait acouore pus.
MAT.9.17	Et nou n' mét pas nitout d'nouvé vìn dans d' viers vaissiaux; parç que s' nou l' fait, les vaissiaux s' rompent, l' vìn queurt, et les vaissiaux sont ruinaïs: mais nou mét l' nouvé vìn dans d' neufs vaissiaux; et d' même le vìn et les vaissiaux s' préservent.
MAT.9.18	Coumme i leû disait chun'chin, ùn chef de synagôgue s' appĕrchit d' li, et l' adorait, et lli dît: Signeur, ma file est à ch't haeure morte; mais v'naïz mettĕr les mâins sus ielle, et a' vivra.
MAT.9.19	Ossitôt Jésus s' étânt l'vaï, l' siévit ôve ses disciplles.
MAT.9.20	Là‐d'ssus une fâme qui d'pîs douze àns était affligie d' une perte d' sàng, s' appĕrchit d' li par derriére, et touquit la frànge qui' était au bas d' sen vêtement;
MAT.9.21	Car a' disait en sé‐même: Si j' peux seul'ment touquer sen vêtement, je s'rai guérie.
MAT.9.22	Là‐d'ssus Jésus, quànd i s' fut r'viraï, la vít, et lli dît: Ma file, pĕrnaïz couarage, vote foué vous a saûvâie. Et chutte fâme‐là fut guérie à la même haeure.
MAT.9.23	Quànd Jésus fut v'nu dans la maîson du chef de synagôgue, coumme i vît les sounneux d' fllûte, et une route de gens qui faisaient bien du camas, i leû dît:
MAT.9.24	Allous‐en; car chutte file‐là n' est pas morte; a' n' est qu' endormie. Et i s' moquaient d' li.
MAT.9.25	Après don qu' nou‐s‐aeut fait sortìr tout chu monde‐là, il èntrit, et lli prìnt la maïn; et chutte petite file‐là se l'vit:
MAT.9.26	Et l' brit en couarit dans toute la contrâie.
MAT.9.27	Coumme Jésus sortait de ch't endrét‐là, daeux aveuglles l' siévirent, et i cryaient et disaient: Fis d' Dâvi, aiyiz piti d' nous.
MAT.9.28	Et quànd i fut v'nu dans la maîson, chĕs aveuglles‐là s' appĕrchirent d' li. Et Jésus leû dît: Créyous que j' pîsse faire chu qu' ous m' demàndaïz? I lli répounirent: Oui, Signeur.
MAT.9.29	Là‐d'ssus i touquit leux yux, disànt: Qu'i vous sét fait siévànt vote foué.
MAT.9.30	Ossitôt leux yux furent ouverts. Et Jésus leû d'fèndit fortement d' en pâlaïr, leû disànt: Gar que fis d' âme ne l' sache.
MAT.9.31	Mais iaeux, quànd i s'en furent allaïs, pubillirent sen r'nom par toute chutte contrâie‐là.
MAT.9.32	Quànd i s' en furent allaïs, nou lli' am'nit ùn houmme muét possédäi du démon.
MAT.9.33	Quànd l' démon fut cachi, l' muét pâlit, et l' peuplle en fut ravi, et i disaient: Nou n' a jamais veue rien d' itaï en Israël.
MAT.9.34	Mais les pharisians disaient au contraire: Ch' est par le prìnce des démons qu' i cache les démons.
MAT.9.35	Ho Jésus, coumme il allait par ichìn et par là dans les vìlles et dans les bourgs, ensignait dans leux synagôgues, et prêchait l' évàngile du royaûme, guérissànt toutes sortes de làngueurs et d' maladies parmi l' peuplle.
MAT.9.36	Et quànd i vît tout chu peuplle‐là, il en aeut piti; parç qu' il étaient surchergis d' maux; et couachis sus la terre de taque en taque, coumme des bĕrbis qui n' ont pas d' bergier.
MAT.9.37	Là‐d'ssus i dît à ses disciplles: L' avoût est bel; mais l's ouveriers sont écars.
MAT.9.38	Pryaïz don l' maître d' l' avoût qu' il envie d's ouveriers dans s'n avoût.
MAT.10.1	Là‐d'ssus Jésus, quànd il aeut app'laï ses douze disciplles, i leû dounnit pouvoir sus l's esprits ìmpurs pour les cachier, et pour guérìr toutes sortes d' làngueurs et d' maladies.
MAT.10.2	Ho v'chìn l' nom des douze apôtres: L' prumier, Simon, dit Pierre, et André sen frére;
MAT.10.3	Jacques fis d' Zébédée, et Jean sen frére; Philippe et Berthelot; Thoumas et Makyu l'publlicaïn; Jacques fis d' Alphée, et Thaddée;
MAT.10.4	Simon l' Canagnan, et Judas Iscariote, qui' est l' cien qui l' trahisit.
MAT.10.5	Jésus envyit ches douze‐là, quànd i leû‐s‐aeut dounnaï l's ìnstructions que v'chìn: N' allaïz pouìnt cîs les païans, et n' èntraïz pouìnt dans les vìlles des Samaritâins:
MAT.10.6	Mais allaïz putôt ès bĕrbis perdues d' la maîson d' Israël.
MAT.10.7	Et dans les llux où vous îraïz, prêchiz, et dites que l' royaûme des ciux s' en vient.
MAT.10.8	Guérissiz les malades, ressuscitaïz les morts, nékyaïz les lépraeux, cachiz les démons: dounnaïz pour rien chu qu'ous avaïz r'chu pour rien.
MAT.10.9	N' vous mettaïz pas en pâine d' aver d' l' or ou d' l' argent, ou quique aûte sorte de mounnaie dans vote bourse.
MAT.10.10	N' vous fournissaïz pas d' ùn bissac pour le viage, ni d' daeux câsaques, ni d' sôlers, ni d' bâton: car l' houmme qui travaille, mérite d' êtĕr nourri.
MAT.10.11	Quànd vous enter'raïz dans quique vìlle ou dans quique bourg, ìnformous qui' est qui' est digne d' vous logier, et d'meuraïz cîs li entĕrtemps qu' ous vous en aûgîz.
MAT.10.12	Mais qu' ous aiyiz èntraï dans la maîson, saluaïz‐la, et dites: Qu' la paix sét dans chutte maîson‐ichìn.
MAT.10.13	Si chutte maîson‐là en est digne, vote paix viendra sus ielle: et si a' n' en est pas digne, vote paix r'viendra à vous.
MAT.10.14	Quànd quiquiùn n' voudra pas vous r'chevaïr, ni écoutaïr vos paroles, écouaïz, quànd vous sortiraïz d' chutte maîson ou d' chutte vìlle‐là, l' poussier d' vos pids.
MAT.10.15	J' vous dis, et ch' est la véritaï: Au jour du jug'ment Sodôme et Gomorrhe s'ront traitâies mâins rudrement qu' chutte vìlle‐là.
MAT.10.16	J' vous envie coumme des bĕrbis au milli des loups: séyiz don prudents coumme des serpents, et sìmplles coumme des tourterelles.
MAT.10.17	Mais gar ès hoummes: car i vous f'ront comparaître dans leux assèmbllâies, et i vous f'ront fouittaïr dans leux synagôgues;
MAT.10.18	Et vous s'raïz m'naïs à cause de mé d'vànt les gouverneux et les rouès, pour leû servìr d' témouégnage ossi bien qu' ès nâtions.
MAT.10.19	Quànd don nou vous liver'ra entĕr leux mâins, n' vous mettaïz pouìnt en pâine coumme vous leû pâl'raïz, ni d' chu qu' ous leû diraïz: car chu qu' ous d'vaïz leû dire vous s'ra dounnaï à l' haeure même;
MAT.10.20	Pisque ch' n' est pas vous qui pâlaïz, mais qu' ch' est l' esprit d' vote Pére qui pâle en vous.
MAT.10.21	Ho l' frére liver'ra l' frére à la mort, et l' pére le fiss; l's éfànts se soulev'ront contĕr leux péres et leux méres, et les f'ront mouarìr:
MAT.10.22	Et vous s'raïz haïs de tous l's hoummes à cause de men nom: mais l' cien qui persévér'ra jusqu' à la fìn s' ra saûvaï.
MAT.10.23	Quànd don i vous persécut'ront dans une vìlle, fyaïz dans l' aûtre. J'vous dis, et ch' est la véritaï: Vous n' airaïz pas fini d' endoctrinaïr toutes les vìlles d' Israël d'vànt que l' Fis d' l' houmme vienge.
MAT.10.24	L' disciplle n' est pas au‐d'ssus du maître, ni l' escllave au‐d'ssus d' sen signeur.
MAT.10.25	I suffit au disciplle d' êtĕr coumme sen maître, et à l' escllave d' êtĕr coumme sen signeur. S' il ont ap'plaï l' pére de famille Béelzébub, combien pus n' traitront‐i pas d' même sa maîsounnâie?
MAT.10.26	N' les cragniz don pouìnt: car i gn' y' a rien d' muchi qui n' déve êtĕr découvert, ni rien d' secrét qui n' déve êtĕr counneue.
MAT.10.27	Dites dans la lumiére chu que j' vous dis dans l' obscuritaï, et prêchiz sus l' haût des maîsons chu que j' vous dis à l' oreille.
MAT.10.28	N' cragniz pouìnt chaeux qui tuent l' corps, et qui n' sairaient tuaïr l' âme; mais cragniz putôt l' cien qui peut perdĕr l' âme ossi bien que l' corps en enfer.
MAT.10.29	N' est‐i pas vrai qu' daeux gros‐becs ne s' vendent qu' ùn ferlìn: et pour tout chun'na i n' en quait pas iùn sus la terre sàns la volèntaï d' vote Pére?
MAT.10.30	Mais quànt à vous, les qu'vaeux même de vote tête sont tous comptaïs.
MAT.10.31	Aïnchìn n' cragniz pouìnt: vous valaïz bien mux qu' une route de gros‐becs.
MAT.10.32	Tout houmme don qui m' confêss'ra et me r'counnîtra d'vànt l's hoummes, j' le r'counnîtrai et confêss'rai étout mé‐même d'vànt men Pére qui' est dans les ciux:
MAT.10.33	Et tout houmme qui me r'nonch'ra d'vànt l's hoummes, j' le r'nonch'rai étout mé‐même d'vànt men Pére qui' est dans les ciux.
MAT.10.34	N' pensaïz pas que j' seis v'nu apportaïr la paix sus la terre: je n' sis pas v'nu apportaïr la paix, mais l' épâie.
MAT.10.35	Car je sis v'nu séparaïr l' houmme d' ôve sen pére, la file d' ôve sa mére, et la bru d' ôve sa belle‐mére:
MAT.10.36	Et l' houmme aira pour enn'mis chaeux d' sa propre maîson.
MAT.10.37	L' cien qui' aïme sen pére ou sa mére pus qu' mé, n' est pas digne de mé: et l' cien qui' aïme sen fiss ou sa file pus qu' mé, n' est pas digne de mé.
MAT.10.38	L' cien qui n' prend pas sa querouâix et ne m' siét pas, n' est pas digne de mé.
MAT.10.39	L' cien qui saûve sa vie, la perdera: et l' cien qui' aira perdu sa vie pour l' amour de mé, la r'trouv'ra.
MAT.10.40	L' cien qui vous r'chét, me r'chét: et l' cien qui me r'chét, r'chét l' cien qui m' a envyaï.
MAT.10.41	L' cien qui r'chét ùn prophéte coumme prophéte, r'chevra la récompense du prophéte; et l' cien qui r'chét ùn juste coumme juste, r'chevra la récompense du juste:
MAT.10.42	Et tout houmme qui' aira dounnaï à bére une fes gu' iaue fréde à iùn d' ches p'tits‐ichìn parç qu' il est d' mes disciplles, j' vous dis, et ch' est la véritaï, i n' perdera pouìnt sa récompense.
MAT.11.1	Jésus, quànd il aeut fini d' dounnaïr sĕs ìnstructions à ses douze disciplles, s'en allit d' là pour ensigner et prêchier dans les vìlles dĕs environs.
MAT.11.2	Ho Jean, quànd il aeut oui pâlaïr dans la prîson d's œuvres ravissàntes de Jésus‐Christ, envyit daeux d' ses disciplles
MAT.11.3	Lli dire: Etous l' cien qui dét v'nìr, ou d'vons‐ju en attendre ùn aûtre?
MAT.11.4	Jésus leû répounit: Allaïz contaïr à Jean chu qu' ous avaïz oui et chu qu' ous avaïz veue.
MAT.11.5	L's aveuglles véent, l's ìmpotents marchent, les lépraeux sont guéris, chaeux qui' ôent ferme ôent fìn, les morts ressuscitent, l' évàngile est prêchi ès paures;
MAT.11.6	Et haeûraeux est l' cien à qui je n' s'rai pas ùn sujét d' scàndale et d' échopp'ment.
MAT.11.7	Quànd i s' furent en allaïs, v'chìn coumme Jésus s'mît à pâlaïr d' Jean au peuplle: Qui' est qu' ous avaïz étaï vée dans l' désert? ùn ros châqui du vent?
MAT.11.8	Qui' est qu' ous avaïz étaï vée, dis‐ju? ùn houmme vêtu d' orgueil et d' fine étoffe? Véyous! Chaeux qui s' grient coumme chun'na sont dans les maîsons des rouès.
MAT.11.9	Qui' est don qu' ous avaïz étaï vée? ùn prophéte? Oui, j' vous l' dis, et pus qu' ùn prophéte.
MAT.11.10	Car ch' est d' li qu' il a étaï écrit: J' envie d'vànt vous m'n ànge qui vous prépar'ra le ch'mìn où vous d'vaïz marchier.
MAT.11.11	J' vous dis, et ch' est la véritaï, qu' entĕr chaeux qui sont naïs d' fâmes, i gn' y' en a pouìnt d' pus grànd qu' Jean‐Batiste: mais l' cien qui' est l' pus p'tit dans l' royaûme des ciux, est pus grànd qu' li.
MAT.11.12	Ho d'pîs l' temps d' Jean‐Batiste jusqu' à ch't haeure‐ichìn l' royaûme des ciux s' prend par forche, et les violents sont chaeux qui l' emportent.
MAT.11.13	Car jusqu' à Jean tous les prophétes, ossi bien qu' la loué, ont prophétîsaï:
MAT.11.14	Et s' ous voulaïz comprendĕr chu que j' vous dis, ch' est li‐même qui' est ch't Elie‐là qui dét v'nìr.
MAT.11.15	L' cien qui' a d's oreilles pour ouìr, qu' il ôe.
MAT.11.16	Mais à qui dirai‐je que chu peuplle‐ichìn r'ssemblle? I r'ssemblle ès éfànts qui sont assis ès carrefouars, et qui, quànd i crient à leux compagnons,
MAT.11.17	Leû disent: J' avons chàntaï pour vous réjouìr et vous n' avaïz pas dànsaï: j' avons chàntaï pour vous de tristes lures, et vous n' vous étes pas lamèntaïs.
MAT.11.18	Car Jean est v'nu n' màngeànt ni n' beuvànt, et i disent: Il est possédaï du démon.
MAT.11.19	L' Fis d' l' houmme est v'nu màngeànt et beuvànt, et i disent: Vlà ùn houmme qui' est gourmànd et qui' aïme le vìn, ami des publlicâins et des gens d' maûvaise vie: mais la sagesse a étaï justifiâie par sĕs éfànts.
MAT.11.20	Là‐d'ssus, i s' mît à faire des r'preuches ès vìlles dans lesquâilles il avait fait bien des miraclles, parç qu' i n' s' étaient pas r'pèntues.
MAT.11.21	Malheû à té, Corozaïn, malheû à té, Bethsaïde; parç que si les miraclles qui' ont étaï faits au milli d' vous, avaient étaï faits dans Tyr et dans Sidon, il y' a longtemps qu' i se s'raient r'pèntues dans l' sac et dans la chendre.
MAT.11.22	Vlà pourqui j' vous décllére que Tyr et Sidon s'ront traitâies mâins rudrement qu' vous au jour du jug'ment.
MAT.11.23	Et té, Capharnaüm, t' élev'ras‐tu tĕrjoûs jusqu'au cieil? tu s'ras rabaissie jusqu' au fond d' l' enfer; parç que si les miraclles qui' ont étaï faits au milli d' té avaient étaï faits en Sodôme, a' s'rait acouore en essence au jour qu' il est.
MAT.11.24	Vlà pourqui j' te décllére qu' au jour du jug'ment la contrâie d' Sodôme s'ra traitâie mâins rudrement qu' té.
MAT.11.25	Là‐d'ssus Jésus s' mît à dire: J' vous glorifie, mon Pére, Signeur du cieil et d' la terre, pour aver ch'laï ches chôses‐ichìn ès sages, et l's aver révélâies ès sìmplles et ès p'tits.
MAT.11.26	Vére, mon Pére, j' vous en glorifie, parç qu' i vous a plleue qu' vlà qu' i fusse.
MAT.11.27	Men Pére m' a mis toutes chôses entĕr les mâins; et fis d' âme ne counnît l' Fis que l' Pére, coumme fis d' âme ne counnît l' Pére que l' Fiss, et l' cien à qui l' Fiss aira voulu l' décllérier.
MAT.11.28	V'naïz à mé, vous tous qui' enhanaïz et qui' êtes chergis, et j' vous soulag'rai.
MAT.11.29	Pernaïz sus vous men jouc, et appĕrnaïz d' mé que j' sis douss et hùmblle d' cœur, et vous trouv'raïz le r'pos d' vos âmes:
MAT.11.30	Car men jouc est douss, et ma cherge est ligiére.
MAT.12.1	Dans chu temps‐là Jésus pâssait l'long des bllaïs ùn jour de sabbat: et ses disciplles qui' avaient faïm, s' mirent à rompĕr d's épis, et à en màngier.
MAT.12.2	Les pharisians, quànd i virent chun'na, lli dirent: Vlà vos disciplles qui font chu qui n' est pas permis d' faire ès jours du sabbat.
MAT.12.3	Mais i leû dît: N' avous pouìnt llésu chu qu' Dâvi fît, quànd li et chaeux qui' étaient ôve li furent prêssis par la faïm;
MAT.12.4	Coumme il èntrit dans la maîson d' Gyu, et màngit des pâins d' proposition, qui n' 'tait permis d' màngier, ni à li, ni à chaeux qui' étaient ôve li, mais seul'ment ès prêtres?
MAT.12.5	Ou, est‐che qu' ous n'avaïz pouìnt llésu dans la loué qu' les prêtres ès jours du sabbat violent le sabbat dans l' templle, et qu' pour tout chun'na, i n' péchent miette?
MAT.12.6	Ho j' vous décllére qu' ill y' a ichìn quiquiùn pus grànd que l' templle.
MAT.12.7	S' ous savaîtes bien chu qu' chutte parole‐ichìn veurt dire: J' aïme mux la miséricorde que l' sacrifice, vous n' airaîtes jamais condamnaï d's innochents.
MAT.12.8	Car le Fis d' l'houmme est maître du sabbat même.
MAT.12.9	Quànd il aeut quittaï ch't endrét‐là, i vìnt dans leû synagôgue,
MAT.12.10	Où i s' trouvit ùn houmme qui' avait une maïn raquie; et i lli d'màndirent, pour aver sujét d' l'accûsaïr, s' il 'tait permis d'guérir ès jours de sabbat.
MAT.12.11	Mais i leû répounit: Qui s'ra l'houmme d'entĕr vous qui, s'il a une bĕrbis qui vienge à quaie dans une fosse ès jours de sabbat, n' la prèndra pas pour l' en r'halaïr?
MAT.12.12	Ho combien ùn houmme est‐i au d'ssus d'une bĕrbis! Il est don permis d' faire du bien ès jours de sabbat.
