MAT.1.1	Guijtz ni rusule' laj retoxpeṉgoldoo xten Jesucrist xi'n toDavid, xi'n toAbraham.
MAT.21.23	―¿Xhi yäḻrnibee rajplu ni'cni rajc rujnlu recosre? ¿Chuni'c baniidx yäḻrnibeere lojlu?
MAT.21.24	Badzu' Jesús diidxre lojreni räjpni:
MAT.21.24	―Sigajcza narä gunä te yäḻgunabdiidx lojtu; palga sajc gudzu'tu diidxga loä, dxejc guiniä lojtu chuni'c baniidx yäḻrnibee te runä recosre. 
MAT.21.25	¿Chuni'c gunibee gutiobnis Juan ni rutiobnis? ¿La Dios o la beṉ guedxliuj?
MAT.21.25	Dxejc gusloj cayäjp lo sa'reni, palga jie'tznu Dios gunibeeni, dxejc sinajni loonu, ¿xhicuent ditu nililajz xtiidxni? 
MAT.21.26	Palga jie'tznu bejṉ guedxliuj gunibeeni, dxejc sixa't rebejṉ yejcnu sa'csi guiraareni rililajzreni Juan najc te Dade' ni gunii xtidx Dios. 
MAT.21.27	Dxejc räjpreni loj Jesús:
MAT.21.27	―Dinu guidon.
MAT.21.27	Dxejc räjp Jesús lojreni:
MAT.21.27	―Sigajcza narä dina guiniä caro siääd yäḻrnibee te runä guiraa recosre.
MAT.21.28	Jesús räjp lojreni:
MAT.21.28	―Guidon xho guichalootu diidxre. Te dade' guyu' tio'p xi'nni. Räjpni loj xingangalojni: “Xi'nä, nadxej chayujnlu dzuun cadro care' uub.” 
MAT.21.29	Dxejc badzu' xi'nni diidx lojni, räjpni: “Di rlazädi cha'a.” Luxh che gojl ste ra't, basiejch lajzni säätini sayujnni xtzun xtadni. 
MAT.21.30	Dxejc räjp dade'ga lo stee xi'nni: “Xi'nä, nadxej chayujnlu dzuun.” Dxejc badzu' xi'nni diidxre, räjpni: “Mbaj, dad, sia'ä.” Luxh dini nij. 
MAT.21.31	Loj guiro'preni, ¿chuni'c bejn si'cni rlajz xtadni?
MAT.21.31	Dxejc räjpreni:
MAT.21.31	―Xingangalooni.
MAT.21.31	Dxejcti räjp Jesús lojreni:
MAT.21.31	―Rniliä́pac lojtu, reni ruquijx guiraloj, näjza regunabdxab ganidreni jiu'reni lojtu loj xcäḻrnibee Dios, 
MAT.21.32	sa'csi Juan ni rutiobnis biädluiini la'tu xho guibajṉtu, luxh ditu nililajz xtiidxni. Biädla reni ruquijx guiraloj, näjza regunadxab huililazduxhreni xtiidxni. Niluxh la'tu bahuiitu guiraa recosga, ditu nusiechlajz te nililajztu xtiidxni.
MAT.21.33	’¡Coḻcuadiajg stee cuentre! Guyu' te dade' ni najc baxhuaan xten te renchro, gule'cni yaguub loj xyujni, bateedni bazaa guideb gabi yujga. Gudäänni te gueed te gujcni te tanc te chuchee nisuubga che rxii reuub. Bencheezani te yu' ni najc jiaaro te ro'c cue te ni fii guideb loj xyujni. Badedlaani yujga loj gaii bejṉ ni rujn dzuun, sä'tini te biaj zijtro. 
MAT.21.34	Che agojl guire' cose'ch baxhaḻ baxhuaanga gaii xmosni loj xyujni te chaxiireni cose'ch ni riäjl xca' baxhuaanga. 
MAT.21.35	Dxejc reni biannäj yujga gunaazreni remosre, gudijnreni tejni, bagu'treni steeni, bacuaareni guij yejc steeni. 
MAT.21.36	Dxejc baxhaḻsac baxhuaanga sgaii mos. Niluxh reni biannäj yujga sigajcza bennäjreni remosga.
MAT.21.37	’Dxejcti bejn baxhuaanga xhigab: “Maazru huen guxhaḻä xi'nä; sucuadiajgrureni xtiidxni.” 
MAT.21.38	Cheni bahuiireni lo xi'n baxhuaan xten yujga, bejnreni xhigab: “Deeni jiannäj yujre; do'o guigu'tnuni te jiannäänu yujre.” 
MAT.21.39	Dxejcti gunaazrenini, guläärenini te laad, dxejc bagu'trenini.
MAT.21.40	Dxejc gunabdiidx Jesús räjpni:
MAT.21.40	―Che jiääd baxhuaan xten yujga, ¿xhi gunnäjni rebejṉ nani biannäj xyujni?
MAT.21.41	Dxejc räjpreni loj Jesús:
MAT.21.41	―Dini gulazlajz rebeṉguijdxga, sugu'tnireni, sudedlaani xyujni loj ste'ca bejṉ nani gudeed cose'ch ni riäjl xca'ni che gaḻ guire' cose'chga.
MAT.21.42	Dxejcti räjp Jesús lojreni:
MAT.21.42	―¿La gajdtu goḻ lo reguijtz nani bacuaa dade' nani gunii xtidx Dios galoo? Rediidxre caj ro'c:
MAT.21.42	Guij nani gulälaz reni runchee yu',
MAT.21.42	cua' Dios lagajc guijga gudixhnini squiin yu',
MAT.21.42	sajcruni loj guiraa reguij.
MAT.21.42	Dee bejn Gueb Dios, luxh rdxeloduxhnu dzunrore ni bejnni.
MAT.21.43	’Ni'cni rniä lojtu, sibicaj xcäḻrnibee Dios lojtu, sidejdni loj rebejṉ nani gudeed ni riäjl xca' xcäḻrnibee Dios, nalajznu renani chalilajzpac xtiidxni. 
MAT.21.44	Luxh xcuent guijga: nani jiajb lo guijga, silia'ni, per nani guitejb guijga yejcni, li siujyni, gacni däj.
MAT.21.45	Che biejn diajg reni rnibee lo rebixhojz näjza refarisee recuent ni canii Jesús, gucbeereni cagusä'tni lagajc laareni. 
MAT.21.46	Rlajzreni niniaazrenini, per bidxejbreni rebejṉ sa'csi salilajz rebejṉ najc Jesús bejṉ ni rnii xtidx Dios.
MAT.22.1	Guslosac canii Jesús lojreni con recuent, räjpni:
MAT.22.2	―Xcäḻrnibee Dios najc si'c te ṟeii ni bejn te sa' te guchṉaa xi'nni. 
MAT.22.3	Baxhaḻni rexmosni te saxiireni regolnejdx chääreni sa', niluxh rebejṉre di rlajzdireni. 
MAT.22.4	Dxejc baxhaḻsacni rexmosni, räjpni: “Coḻye'tz loj reni abidoṉ, agujc comiid. ¡Abagutä balti gonsa'c, gonguro'! Anacchee guira'ti yäḻrajw. Coḻtaa.” 
MAT.22.5	Niluxh reni abidoṉga di niu xtiidxreni. Tejni sahuii rexyujni, steeni sää lo rexnegosni, 
MAT.22.6	dxejcti sgaii reni niajc biooz gunaazreni rexmos ṟeii, basacsíreni remosga, sas bagu'trenini. 
MAT.22.7	Che biejn diajg ṟeiiga, bidxe'chduxhni, baxhaḻni rexsoldaadni te sagu'treni guiraa rebeṉguijdxga, te saze'czareni guejdx cadro rbäjzreni. 
MAT.22.8	Dxejcti räjpni loj rexmosni: “Guiraa dee anacchee, di nungäjḻ jiäädru reni abidoṉ. 
MAT.22.9	Coḻchäj, pues, lo resquiin lo nezyuj, coḻcuejdx chutis bejṉ ni guidxaagtistu.” 
MAT.22.10	Birii rexmosni, sääreni lo nezyuj. Dxejc bachagsa'reni guiraatis bejṉ ni bidxaagreni, reni najc beṉguijdx sigajc reni najc beṉhueen te gudxaj rolijz ṟeiiga.
MAT.22.11	’Dxejc biu' ṟeii biädhuiini loj rebiooz. Bahuiini loj te bejṉ ni sobga' ro'c, luxh xhet xhablanijdini najcwni. 
MAT.22.12	Dxejc räjp ṟeii lojni: “Xamigwä, ¿xho bejnlu biu'lu ree luxh xhet xhablanijdilu najcwlu?” Dxitis sobga' bejṉga, xhet rniidini. 
MAT.22.13	Dxejc räjp ṟeii loj rexmosni: “Coḻguliib ni'ni näjza ṉaani, coḻsäḻni detzyu' cadro nacäjy te ro'c gonduxhni chubejli reläjyni.” 
MAT.22.14	Sa'csi xhidajl najc reni bidoṉ luxh guxii najc reni bibee.
MAT.22.15	Dxejcti sii refarisee, bia'nreni diidx siguiilreni xho gunijt Jesús te diidx te guiga'ni. 
MAT.22.16	Ni'c baxhaḻreni gaii xpejṉreni näjza gaii bejṉ ni nadxaag Herodes te räjpreni loj Jesús:
MAT.22.16	―Mastr, anajnnu rniilu ganax didxlii, ruluiizalu xtiidxpac Dios, luxh dilu jiu xhi rnii rebejṉ, sa'csi dilu cue bejṉ ni sajcru lo stee bejṉ. 
MAT.22.17	Gunii loonu, pues: ¿La laaca najc quiixnu impuest lo César ni rnibee loonu o et laadi?
MAT.22.18	Dxejc gucbee Jesús xhet laadi xhigab cayujnreni neṉ lastooreni, dxejc räjpni lojreni:
MAT.22.18	―¡Beṉguijdx! ¿Xhicuent rlajztu guquiiltu narä? 
MAT.22.19	Coḻguluii te meel loä.
MAT.22.19	Dxejc badeedreni te meel ni laa denario. 
MAT.22.20	Che bahuii Jesús loj meelga, gunabdiidxni lojreni, räjpni:
MAT.22.20	―¿Chuni'c caj lo meelre?
MAT.22.21	Dxejc räjpreni:
MAT.22.21	―Loj César.
MAT.22.21	Dxejc räjp Jesús lojreni:
MAT.22.21	―Coḻgudeed lo César ni riäjl xca' César, coḻgudeedza lo Dios ni riäjl xca' Dios.
MAT.22.22	Che biejn diajgreni rediidxre, bidxeloduxhreni. Dxejc basaanrenini, sä'tireni.
MAT.22.23	Lagajc dxejga bidzujṉ gaii reni laa saducee, reni di chalilajz sibaṉsac bejṉ loj rebeṉgut. Gubigreni loj Jesús, gunabdiidxreni, 
MAT.22.24	räjpreni:
MAT.22.24	―Mastr, si'c naj toMoisés, palga yu' te bejṉ ni abachṉaa, luxh ruti xi'nni che guetni, riäjḻ guchṉaa bejtzni biuudga te chu xi'nreni xcuent bejtzni. 
MAT.22.25	Mbaj. Loonu yu' gajdz niguii ni najc bejtz sa'reni. Betzgoolga bachṉaa, dxejc gujtni, luxh di xi'nni niu'. Basa'nni chäälni lo bejtzni. 
MAT.22.26	Sigajcza gusajc ni ṟo'p bejtzni; sigajcza gusajc ni riojṉ bejtzni. Si'c huinuu gujc che basa'li guigajdz bejtzga. 
MAT.22.27	Sas che gujt guiraareni, näjza gunaaga gujt. 
MAT.22.28	Che guibaṉsac rebejṉga lo rebeṉgut, ¿chu tej lo rebejtzga gac chäälpac gunaaga, ni guiraareni bachṉaareni gunaaga?
MAT.22.29	Dxejcti badzu' Jesús diidxre lojreni, räjpni:
MAT.22.29	―Et laadi rujntu xhigab sa'csi ditu gacbee xtidx Dios niclaza xcuent xcäḻrnibee Dios. 
MAT.22.30	Ni che guibajṉ rebeṉgut, diru yäḻruchṉaa chu, diruza bejṉ gudeed rexindxa'preni guchṉaa. Dxejc sajcreni si'c rexangl Dios ni yu' xhaguibaa. 
MAT.22.31	Dxejc xcuent yäḻrbaṉsac loj rebeṉgut, ¿la gajdtu goḻ reguijtz ni bacuaa toMoisés che räjp Dios xcuent retoxtadgoldoonu: 
MAT.22.32	“Narä nacä Xtios Abram, Xtios Isaac, näjza Xtios Jacoob”, ä? Dios di gac Xtios beṉgut, Xtiostis rebejṉ ni nabajṉ najcni.
MAT.22.33	Che biejn diajg rebejṉ xtidx Jesús, bidxeloduxhreni diidx ni ruluiini.
MAT.22.34	Che gucbee refarisee basäu Jesús ro' resaducee, bidojpreni, bachaagreni diidx. 
MAT.22.35	Dxejc tejreni nani najn leii, rlajzni guquiilni Jesús ni'c gunabdiidxni lojni räjpni:
MAT.22.36	―Mastr, ¿xhi diidx ni gunibee Dios sajcru lojreni caj lo leii?
MAT.22.37	Räjp Jesús lojreni:
MAT.22.37	―Nani rnii scree: “Huinälajz Dad Xtioslu guideb lastoolu, guideb xaimlu, näjza guidebgajc xcäriejnlu.” 
MAT.22.38	Diidxre ni gunibee Dios najc ni sajcru, luxh ganidni siäädni loj rextidx Dios. 
MAT.22.39	Ni ṟo'pga sigajcza najcni: “Huinälajz resa'lu sigajc ni sanälajzlu lagajc luj.” 
MAT.22.40	Guiro'p remandamientre nanab te guzoob bejṉ guiraa rediidx ni bacuaa toMoisés näjza ni bacuaa redade' nani gunii xtidx Dios.
MAT.22.41	Laḻni tre' refarisee, gunabdiidx Jesús lojreni, räjpni:
MAT.22.42	―¿Xhi rujntu xhigab xcuent Crist? ¿Chu xi'n najcni?
MAT.22.42	Räjpreni lojni:
MAT.22.42	―Laani najc xajg toDavid.
MAT.22.43	Räjp Jesús lojreni:
MAT.22.43	―¿Xhicuent räjp David “Xtadä” lojni che basanij Sprit Dxan xten Dios lastooni? Ni'c bacuaa toDavid rediidxre:
MAT.22.44	Dad Dios räjp lo Xtadä,
MAT.22.44	gurej xladbeä laḻ ni gudzugä guiraa reni rdxe'ch lojlu ladzni'lu.
MAT.22.45	Palga lagajc David rnii: “Dad” lojni, ¿xho mood najcni xi'nni?
MAT.22.46	Dxejc rut gujcdi badzu' nicla te diidx lojni, luxh dxejliga rutru gojpdi xhi diidx niniabdiidxrureni lojni.
MAT.23.1	Dxejc räjp Jesús loj rebeṉ xhidaalga näjza loj rexpejṉpacni:
MAT.23.2	―Rebejṉ ni najn leii näjza refarisee rajp yäḻnajn te gusule'reni xleii Moisés. 
MAT.23.3	Ni'cni coḻguzoob guiraa rextiidxreni, na'c guntu sa' recos ni rujnreni, sa'csi laareni rniireni xhini'c guntu, dxejcti lagajc laareni direni gun ni rnibeereni guntu. 
MAT.23.4	Rnibeereni gun rebejṉ cos naganduxh ni najc si'c te cargw naduxh ni di gac guu bejṉ, per laareni nicla con te bicueṉaareni direni gusniibni. 
MAT.23.5	Guiraa recos ni rujnreni, rujnrenini te fiitis rebejṉ. Rchaglajzreni rcaj lo cuajsreni näjza roxhajgwreni recaje' cadro yu' tla' guijtz ni caj xtidx Dios lojni. Rustioolzareni xi' xhajbreni. 
MAT.23.6	Rlajzreni ganidreni tedreni lo mex che gaḻ te lanij; rlajzreni cuereni lo rebancw ni suga' delant neṉ reguidobäz. 
MAT.23.7	Sigajcza rlajzreni guchagro' bejṉ ṉaareni nez lo guii, guiniiza rebejṉ “Mastr” lojreni.
MAT.23.8	’Na'c gusaantu guinii rebejṉ “Mastr” lojtu, sa'csi tejtisni yu' ni najc Mastr, laani najc Crist. Peta la'tu guiraatu najctu tejsi sa'tu. 
MAT.23.9	Na'c guiniitu “Xtadä” loj te beṉ guedxliuj sa'csi yu' tejtis ni najc Xtadtu, ni'c najc Dios ni yu' xhaguibaa. 
MAT.23.10	Na'cza gusaantu guiniireni lojtu “Mastr” sa'csi yu' tejtis Mastr, ni'c najc Crist. 
MAT.23.11	Ni yu' si'c mos lojtu ni'c najc beṉroru loj resa'ni. 
MAT.23.12	Sa'csi chutis ni rchaloni najcni beṉro lo sa'ni, ni'c sustuiyä lojni, chutis ni najc nadolajz loj Dios, ni'c sunäni beṉro lo sa'ni.
MAT.23.13	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx! Sa'csi rudxojntu jiu' rebejṉ loj xcäḻrnibee Dios. Lagajc la'tu ditu jiu' luxh dizatu gusaan jiu' rebejṉ ni rlajz jiu'.
MAT.23.14	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx! Sa'csi rudzucajtu rolijz renanbiuud laḻsi cabedx canabduxhtu lo Dios, naatu gusgueetu bejṉ si'c. Sa'csi rujntu scree, siabduxh fis xten Dios yejctu.
MAT.23.15	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx! Zijt rijtu lo renezyuj näjza lo nisdoo te guntu gaan guchaa mase tejtis bejṉ xmoodni te gaṉni Dios si'c rajṉtuni. Luxh che ahuililajz bejṉga xtiidxtu, rujntuni tio'p huält maazru te xi'n gabijl loj ni najctu.
MAT.23.16	’¡Proobzatu, najctu si'c lotiä'p, rlajztu guluiitu nezyuj! La'tu ni rnii palga te bejṉ guiniliipac xtiidxni guzä'tni guidoro, xhet sajcdi xtiidxni. Palga guiniliipacni guzä'tni oor ni yu' neṉ guidoo, dxejc sii rniliini dxejc nungäjḻ guzoobni xtiidxni. 
MAT.23.17	¡Beṉ nayääl, beṉlotiä'p! ¿Xhini'c sajcru? ¿La oor la guidoro ni rundxan oorga? 
MAT.23.18	Rniizatu: “Palga te bejṉ guiniliipacni guzä'tni lo bacuug ni yu' neṉ guidoro, di xcuentdi xtiidxni. Luxh palga yu' chu guiniliipac guzä'tni gojn ni dzuub lo bacuug, dxejc sii rniliipacni dxejc nungäjḻ gusoobni xtiidxni.” 
MAT.23.19	¡Beṉ nayääl, beṉ lotiä'p! ¿Xhini'c sajcru? ¿La gojn o la bacuug nani rundxan gojnga, ä? 
MAT.23.20	Nani ruzä't lo bacuug che rniliipacni, et ganaxdi lo bacuug ruzä'tni, näjza guiraa ni tre' lo bacuug ruzä'tni. 
MAT.23.21	Ni ruzä't guidoro che rniliipacni, et ganaxdi guidoro ruzä'tni, näjza Dios ni rbäjzza neṉ guidoro ruzä'tni. 
MAT.23.22	Sigajcza ni ruzä't guibaa che rniliipacni caguzä'tzani yagxhilro xten Dios näjza lagajc Dios ni sobga' ro'c.
MAT.23.23	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx! Bedzxtiil, anis näjza comiṉ ni rajptu, rudeedtu lo Dios tej tantga yejc cade te tzuu, niluxh ditu jiu ni sajcru lo xtidx Dios, cadro caj xcuent yäḻnabaṉya, yäḻrulazlajz, näjza yäḻrililajz. Deeza ni riäjḻpac guntu laḻ ni cayujnzatu steega. 
MAT.23.24	¡La'tu, lotiä'p ni rlajz guluii nezyuj! Riutu rediidx ni guxii sajc, niluxh rediidx ni sacduxh ditu jiuni, najctu si'c bejṉ ni rbää te rex lo xpla'tni dxejcru räjmni te cameii.
MAT.23.25	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx! Rusiatu detz bas näjza pla't luxh neṉni najc-dxuudx. Sigajcza la'tu riuduxhtu recostumbr, luxh lastootu guidxa yäḻgubaan näjza yäḻrdxe'chlajz. 
MAT.23.26	Farisee ni najc lotiä'p: gudibxgaa neṉ bas näjza neṉ pla't, dxejc näj dejtzni sajc naya.
MAT.23.27	’¡Proobzatu remastr xten leii näjzatu refarisee, najctu beṉguijdx!, sa'csi najctu si'c rebaa ni nacchesa'c; nolbäjreni, saru rluiini, luxh neṉreni guidxa dzujt xte beṉgut näjza bälyudx. 
MAT.23.28	Sigajcza najctu la'tu. Saru rujn lojtu, rchalo rebejṉ najctu beṉsa'c, niluxh lastootu guidxa yäḻrusguee näjza yäḻguyalajz.
MAT.23.29	’¡Proobzatu remastr xten leii näjza refarisee, najctu beṉguijdx! Runcheetu xpaa redade' ni gunii xtidx Dios galoo, rusucheezatu ro' xpaa rebejṉ ni gujc beṉsa'c, 
MAT.23.30	dxejc rniitu: “Paru nibajṉnu neṉ redxej ni gubajṉ retoxtadgoldoonu dinu niacnäj reni bagu't redade' ni gunii xtidx Dios.” 
MAT.23.31	Lagajc con rediidxre rcäjptu najctu rexajg renani bagu't redade' nani gunii xtidx Dios. 
MAT.23.32	¡Coḻguscuääz guntu sa' recos ni guläxtiej retoxtadgoldootu!
MAT.23.33	’¡La'tu ni najc si'c bäḻ, la'tu ni najc si'c te bitiääz guidxa bäḻnialajz! ¿Xho guntu te na'c chäätu gabijl par tejpas? 
MAT.23.34	Ni'cni, guxhaḻä rexpeṉä ni guinii xtidxä, näjza beṉnajn, näjza mastr. Luxh yu'reni sugu'ttu sucuaatureni lo crujz; yu'zareni siguijntu neṉ reguidobäz, sirinajltureni guejdx por guejdx. 
MAT.23.35	Si'cza yejctu jiajb xtiejn guiraa rebeṉnadolajz ni bagu't bejṉ xchejli toAbel ni gujc nadolajz, xchejliza Zacarías, xi'n Berequías, ni bagu'ttu neṉ guidoro gajxh lo bacuug. 
MAT.23.36	Rniliä́pac lojtu, dojḻ xten guiraa recosga siajb yejc rebejṉ ni tre' lo guedxliuj ṉaj.
MAT.23.37	Räjpza Jesús:
MAT.23.37	―¡Jerusalén, Jerusalén! Xpejṉlu rugu't redade' ni rnii xtidx Dios, rucuaazareni guij yejc rebejṉ ni ruxhaḻ Dios te gusule'reni xtiidxni lojtu. ¡Balti huält rlazä nutie'ä la'tu si'cni rutie' guidco'c rexquidbäzni neṉ xhigani, per ditu nicäjb! 
MAT.23.38	Coḻhuii xho jianxteb xquidootu cuälazrenini. 
MAT.23.39	Rnixgaä lojtu, ṉaj dirutu fii loä, dxejli che guiniitu: “Benle' Dios nani siääd xcuentni.”
MAT.24.1	Birii Jesús neṉ guidoro te asiini, dxejc gubig rexpejṉpacni lojni, gusloj caguluiireni reyuduxhga lojni. 
MAT.24.2	Dxejc räjp Jesús lojreni:
MAT.24.2	―¿La ruhuiitu guiraa reyu're? Rniliä́pac nicla tej guij di jia'n yejc sa'ni ree; guiragajc reyu're sibijḻ.
MAT.24.3	Dxejcti huijreni yejc te dajn ni laa Oliib. Che gurej Jesús ro'c, biääd rexpejṉpacni lojni te xhiga'tz gunabdiidxreni lojni:
MAT.24.3	―Rlaaznu guiniilu loonu guc gac guiraa recosre. ¿Xhi seen guluiloj ameer jiäädlu näjza che ameer nitloj guedxliuj?
MAT.24.4	Dxejc räjp Jesús lojreni:
MAT.24.4	―¡Coḻnatiro te rut gusgueedi la'tu! 
MAT.24.5	Sa'csi su' xhidajl reni jiääd, naareni: “Narä nacä Crist”, luxh susgueereni xhidajl bejṉ. 
MAT.24.6	Siejn diajgtu xcuent cadro cayajc gueṟ, näjza xcuent cadro rlajz chu gueṟ, na'c guidxejbtu sa'csi si'c nungäjḻ gac, niluxh gajd gaḻdi nitloj guedxliuj. 
MAT.24.7	Sa'csi siäjs te nacióṉ sidiḻnäjni stee nacióṉ; te yäḻrnibee sujn gueṟ con stee yäḻrnibee, luxh su' gubijn, su' yäḻguijdx, su'za xuduxh xhidajl lajt. 
MAT.24.8	Luxh guiraa redee cuäxtiejtis retrabajwduxh ni churu chu.
MAT.24.9	’Dxejc guteedreni la'tu ladzṉaa rebeṉdojḻ te gusacsíreni la'tu, te gugu'tzareni la'tu, luxh guiraa rebejṉ sidxe'ch lojtu sa'csi sanälajztu narä. 
MAT.24.10	Neṉ redxejga, xhidajlreni sibälaz xcäḻrililajzreni, sidxe'ch lo sa'reni, suto' sa'reni lo sa'reni. 
MAT.24.11	Dxejc siricaj xhidajl bejṉ ni rusguee, gäbreni xcuent Dios rniireni, luxh susgueereni xhidajl bejṉ. 
MAT.24.12	Sa'csi lacti suduxh yäḻlatsiaj lo guedxliuj, diru bejṉ chanälajz sa'ni. 
MAT.24.13	Dxejcti bejṉ ni chasanäj xnezyujtis Dios, ni'c sun gaan xca'ni yäḻnabajṉ par tejpas. 
MAT.24.14	Luxh sisiule' xtidx Dios guideb lo guedxliuj te gacbee guiraa rebeṉ guedxliuj xtiidxni; dxejcru jiääd fis xten Dios.
MAT.24.15	’Cheni fiitu asobga' te beṉguidxduxh neṉ yu' ni najc dxan neṉ guidoro, si'cni gunixgaa toDaniel ni gunii xtidx Dios gacni, bejṉ ni goḻ dee sugacbeeni nani roḻni, 
MAT.24.16	dxejc renani rbäjz lo guedx Judea, suguxuṉreni gucuatzlojreni neṉ dajn. 
MAT.24.17	Bejṉ ni niä'p yejc xyu'ni dxejga di gaḻdi jiäjtni te chalääni xhixtenni neṉ xyu'ni; 
MAT.24.18	bejṉ nani cayujn dzuun lo niaa, na'c guibi'ni niclaza chaxhiini xhajbni. 
MAT.24.19	¡Proobza regunaa ni nuxi'n, näjza reni cagusiä' bäz neṉ redxejga! 
MAT.24.20	Coḻnabduxh loj Dios xhet neṉdi redxej ni cayacnalduxhdi nanab guxuṉditu, niclaza dxej che rusilajz bejṉ. 
MAT.24.21	Sa'csi su' trabajwduxh neṉ redxejga, sa' ni gajd bejṉ fii dxejli ni guzobloj guedxliuj, luxh che tedni, diru guibi' chuni. 
MAT.24.22	Luxh palga di Dios gutiu' yejc redxejga, nicla tej bejṉ di ḻaa. Luxh sutiu' Dios yejc redxejga sa'csi rinälajzni reni aguleni.
MAT.24.23	’Neṉ redxejga palga yu' chu naa lojtu: “Coḻhuii, aree Crist”, o “Coḻhuii ani arec”, na'c chalilajztuni. 
MAT.24.24	Siääd xhidajl niguii ni rusguee, gäbreni najcreni crist; sidzujṉza rebejṉ ni rusguee ni gäb xtiidxpac Dios rusule'reni; luxh sujnreni remilagwr sujnzareni senro, parsi gusgueereni, susgueduxhreni rebejṉ, niluxh rlajzreni gusgueezareni rebejṉ ni agule Dios, ni rililajz xtiidxni. 
MAT.24.25	Agunixgaä lojtu xhini'c gac. 
MAT.24.26	Ni'cni palga naareni lojtu: “Bahuii, a crist yu' nez lo reyubijdz”, na'c chäätu; o palga naareni: “A crist suga' neṉ yu're”, na'c chalilajztureni. 
MAT.24.27	Sa'csi si'cni guideb xhaguibaa rieṉ che rdinya' ladjiaa näjza ladjiätli, si'cza suhuiitu loä, Xi'n Dios ni gujc Niguii, cheni jiälsacä lo guedxliuj. 
MAT.24.28	Ni najntu cadro naga' te mangut, ro'c ṟe' regolbetz.
MAT.24.29	Räjpzani:
MAT.24.29	―Cuantsi ted guiraa retrabajwduxh, sicäjy lo gubijdx, diruza bäii gusanij, sitejbza rebajl ni yu' xhaguibaa, sinibduxhza guideb xhaguibaa. 
MAT.24.30	Dxejcti suhuiireni xhaguibaa seen xten Xi'n Dios ni gujc Niguii, luxh guiraa rebejṉ ni rbäjz neṉ guiraa reguejdx lo guedxliujre, sonduxhreni suhuiireni siääd Xi'n Niguii lo reza xhaguibaali. Siäädni con yäḻrnibee näjza yäḻrdimbichaduxh. 
MAT.24.31	Dxejc suxhaḻni rexanglni con te trompet ni guscuedxa'reni dipduxh te guire' guiraa rebejṉ ni aguleni lo guidajp lajd squiin guedxliuj, guideb lo guedxliuj näjza xhaguibaa.
MAT.24.32	’¡Coḻguisieed ni ruluii yajg iigw! Che naren reṉaani che cabääni be'n, asiääd bäi curex, 
MAT.24.33	sigajcza cheni fiitu cayajc guiraa recosre, sacbeetu asiädgajxh fis, rolä'li abidzujṉni. 
MAT.24.34	Rniliä́pac lojtu, guiraa redee sajc laḻ ni nabajṉ gaii rebejṉ ni suga' ree ṉaj. 
MAT.24.35	Guibaa näjza guedxliuj sinitloj, niluxh xtidxä di nitloj.
MAT.24.36	’Rut najndi xhi dxej, xhioṟ gacni, nicla rexangl Dios, niclaza Xi'n Dios; Dad Diostis najn.
MAT.24.37	’Sigajcni gujc neṉ redxej che gubajṉ toNoé, si'cza gac che jiälä Xi'n Dios ni gujc Niguii. 
MAT.24.38	Neṉ redxe galoo, cheni gajd nisguiduxhga jiajb, rebejṉ ni nabajṉ dxejc cayajwreni, cayä'reni, caguchṉaareni, cagudeedza bejṉ xindxa'preni guchṉaa, dxejli cheni biu' Noé neṉ barcwro. 
MAT.24.39	Direni niacbee xtiidxni; cheni biäädli nisguiduxh ni sanä guiraareni dxejcru gucbeereni. Sigajcza gacni che jiälsacä narä Xi'n Dios ni gujc Niguii. 
MAT.24.40	Neṉ redxejga palga cayujn tio'p bejṉ dzuun lo niaa tejni guibee, steeni sia'n. 
MAT.24.41	Palga cayo't tio'p gunaa xobniil, tejni guibee, steeni sia'n.
MAT.24.42	’Ni'cni coḻsusiṉ, sa'csi ditu gan xhi dxej jiääd Dad xtentu. 
MAT.24.43	Coḻganchee, paru niacbee baxhuaan xten yu' coṟ yääl niääd gubaan ni siädlan rolijzni, nisiusiṉni dxejc, dini nusaan niu'ni rolijzni te cuanni. 
MAT.24.44	Ni'cni coḻsusiṉza la'tu, sa'csi siääd Xi'n Dios ni gujc Niguii lagajc oṟ ni ditu gun xhigab jiäädni.
MAT.24.45	’¿Chuni'c najc mossa'c ni ruzoob diidx, ni basannäj xlam̲ni rebejṉ ni yu' rolijzni te gudeedni xhi gaureni ä? 
MAT.24.46	Chicbaa mos ni saru cayujn xtzuunni che guidzujṉ xlam̲ni. 
MAT.24.47	Rniliä́pac lojtu, lam̲ga susa'nni sa' mosga te fiini guiraa xhixtenni. 
MAT.24.48	Dxejc palga mosga di gusoob xtidx xlam̲ni, gunni xhigab: “Sacladuxh guibi' xlam̲ä”, 
MAT.24.49	dxejc guisloj cagusacsíni resamosni, guislojni gaunäjni, yänäjni rebeṉgu. 
MAT.24.50	Dxejc sidzujṉ xlam̲ni dxej che dini gun xhigab jiäädni, luxh oṟ ni dini gan guidzujṉni. 
