MAT.1.1	Ulu lwe lukoono ulwa ulukolo lwa Yesu Kilisito umwisukulu va Daudi, umwisukulu va Abulahamu:
MRK.9.31	pakuva avigisige avanyigendo vakwe, akuvatigila, “Umwana va Umunu atawulwa mumawoko ga avanu nawo vamuwulaga; na pevamuwulige pefilutye ifilo fidatu asilibuka.” 
MRK.9.32	Ino avanyigendo sivalukagwi lwe alongige neke ulwene wogopige pakumuwusa.
MRK.9.33	Ndawe vafikige ku Kapelenaumu. Na pealimukaye avawusise, “Mulongige kiki mung'asi?” 
MRK.9.34	Neke vakatuke pakuva mung'asi vilonganzige ulwa yenani umuvina yealutye mwa veve. 
MRK.9.35	Neke Yesu ateng'emale swe akuvakemela vala avanyichumi na vavili, neke avatigile, “Yeyeavesaga iwenda ave mulongola kwa mbevali uyo ava va mumbele na mukami va mbevali.” 
MRK.9.36	Neke amutegule Umwana mudodo, neke amuvike pagatinagati apawo; neke amwegule mumawoko gakwe swe akuvatigila, 
MRK.9.37	“Yeye amwanukilaga umwana yeindawe uyu mwitawa lyangu akunzanukila nene, na yeakunzanukila nene siakunzanukila nene hela, akumwanukila yula yeanumite nene.”
MRK.9.38	Yohane swe akumutigila, “Mwigisi tumuwene umunu yungi ihumya masoka mwitawa lyako neke tumutanile pakuva sivelagi siayiva pamwi na hwehwe.” 
MRK.9.39	Neke Yesu avatigile, “Mulamutanila, pakuva asukuli yeapiga imiitu mwitawa lyangu neke lulusika lulo alonge imbi kwa nene. 
MRK.9.40	Pakuva yesiakutubihila hwehwe uyo alilubali lwa hwehwe. 
MRK.9.41	Pakuva, yeyeavesaga akuvapela nyenye ululenga mu kinywelo ulwa ukunywa pakuva mwivanu vakwe Kilisito sisaaneema ukupelwa uluhombo.”
MRK.9.42	“Umunu yeyeavesaga akwambusa uyumwi va avadodo iva avakufuuwa nene apige inzanangifu, ikiba peawopelesewe ulwala musingo neke atooswe mubahali. 
MRK.9.43	Neke wone iliwoko lyako likukuvase upige inzanangifu, dumule! Ikiba veve pewinje kuwumi we wimugaya liwoko sindawe pe wina mawoko gavili neke sambi utoswe kumoto gwa ku Gehena gwe sigwisimagi. [ 
MRK.9.44	Kula, ifitekenya fyawo sififwisagi, na gumoto sigwisimagi.] 
MRK.9.45	Neke wone na liligulu likukukuvasa upige inzanangifu, dumule! Ikiba pewinje kuwumi wina ligulu limwi sindawe pe wina magulu gavili neke sambi utoswe kumoto. [ 
MRK.9.46	Kula, ifitekenya fyawo sififwisagi na gumoto sigwisimagi.] 
MRK.9.47	Neke wone na liliho lyako likukukuvasa upige inzanangifu ikiba peuling'amatwe neke utage! Lunoje wingile ku wutwa wa Nguluvi na liho limwi sindawe pe wina miho gavili neke sambi utoswe kumoto. 
MRK.9.48	Kula ifitekenya fyawo sififwisagi na gumoto sigwisimagi.
MRK.9.49	“Pakuva yeyeavesaga saafungiswa mumoto. 
MRK.9.50	Umwino munofu, neke wone guhupe gusopwa kiki neke gunone? Nyenye mwinona mwino, mukikalage mu wikalakunoga yinyenye kwa yinyenye.”
MRK.10.1	Ndawe Yesu ahegige pala neke abite kulutanana ulwa ku Yudaya na kumwambu ya umukoga gwa ku Yolodani. Neke kangi vamalugu vakong'ane, ndawe Yesu lwealasovye mbepali swe ivanga ukuvigisa.
MRK.10.2	Neke Avafalisayo vamusye Yesu sambi vamugele swe vakumuwusa, “Ndawuli lulagile kulumunu ukumuleka uvakwe?”
MRK.10.3	Yesu avapitwe, “Musa avalaje ndawuli nyenye?” 
MRK.10.4	Neke vamutigile, “Musa atigee umunu amulekage uvakwe kwa ukumupela ulwandiko lwa ukulekana sive viva valekine.”
MRK.10.5	Neke Yesu avatigile, “Wimila uwutalamu wa inumbula senyu nambi Musa aandike ululagilo ulu. 
MRK.10.6	Neke uluhuma pakugawa avanu, Nguluvi agafile umunyidama na umung'inetu. 
MRK.10.7	Paulu umunyidama amuleka udade na uyuve neke abaning'ane pamwi na uvakwe. 
MRK.10.8	Na iwo avavili savava muvili gumwi viva sipevavili kangi nda vave muvili gumwi. 
MRK.10.9	Neke kila che aluming'ise Nguluvi umunu alakilekasa.”
MRK.10.10	Na pevafisile kangi mukaye avanyigendo vamuwusise Yesu kangi ulukani lulula. 
MRK.10.11	Neke avatigile, “Yeyeamulekaga uvakwe neke ategule yungi, uyo iva mugoni. 
MRK.10.12	Neke umung'inetu yeakumuleka uvakwe neke agomwe kwa uyungi, apo nave iva mugoni.”
MRK.10.13	Avanu vamusindikilage Yesu avana avadodo, ulwa sambi avapamise neke avanyigendo vavakenyele. 
MRK.10.14	Neke Yesu pealuwene ulu avifile, neke peavatigile, “Muvaleke avadodo vase kwa nene, mulatanila pakuva avana avindawe iva uwutwa wa Nguluvi wawo. 
MRK.10.15	Nachene, nene nguvalongela nyenye yeyeavesaga siakwanukila Uwutwa wa Nguluvi ndawe umwana mudodo sisaingila kuwutwa wa Nguluvi.” 
MRK.10.16	Neke peavategule mumawoko gakwe, neke avafunyilile, na ukuvageleka amawoko gakwe.
MRK.10.17	Na Yesu peavangige ulugendo umunu uyumwi aasile kikimbila neke amufugamile amuwuse, “Ve mwigisi vemunofu, ngite ndawuli sambi nzingile kuwumi wa mbepali?” 
MRK.10.18	Neke Yesu amutigile, “Mbi ndawuli ukung'emela ndimunofu? Asukuli umunu umunofu pesi Nguluvi hela yeiyena. 
MRK.10.19	Ukusikagula indagilo; Ulawulaga, ulava mugoni, ulahisa, ulolelela wudesi, uladeta uvesage na choga kuludado na kuluyuwo.” 
MRK.10.20	Neke amutigile, “Mwigisi, isi mbesili ndinatye uluhuma pawana wangu.” 
MRK.10.21	Neke Yesu amulavile swe akumwenda neke amutigile, “Ukepite kinu kimwi hela bite ukaguse mbefili fyewinafyo uvapele avamikaa nayuveve sauva na uwunono kuchanya, neke pewuse uninile nene.” 
MRK.10.22	Peapulike ulo avifisile se ikumbing'ana ku miho swe ibitaga we avifile pakomi, pakuva ali munono hilo.
MRK.10.23	Neke Yesu alave mbekuli mbekuli neke avatigile avanyigendo vakwe, “Saluva lutalamu kwa vala avanono ukwingila ku Wutwa wa Nguluvi.” 
MRK.10.24	Neke avanyigendo vasasavale ulwa ing'ani sakwe. Neke kangi Yesu avatigile, “Nye vana, sakuva lutalamu wuli ukwingila ku wutwa wa Nguluvi! 
MRK.10.25	Lupefu ingamiya ukukola mukidwi icha ulusingi neke sindawe umunu umunono ukwingila ku Wutwa wa Nguluvi.” 
MRK.10.26	Neke vasasavale hilo neke vamutigile, “Mbino ye nani yeahwanite apokwe?” 
MRK.10.27	Neke Yesu avalavile, neke atigile, “Ku vanu siluhwaniti, neke si kwa Nguluvi nda, pakuva ifinu mbefili fihwanite ukupigika kwa Nguluvi.”
MRK.10.28	Petulo neke avange ukumulongela Yesu, “Lavage hwehwe tufilesile mbefili neke tukuninile veve!” 
MRK.10.29	Yesu atigee, “Nachene, nene nguvalongela nyenye, asukuli umunu yeailesile ikaye, nave vanyalukolo vakwe, nave avahase, nave uyuve, nave udade, nave avana, nave gimigunda ukwimila ilitawa lyangu na Ulukani Ulunofu. 
MRK.10.30	yesisaanukila kanyigana ulwalino, ikaye na avanyalukolo vakwe na vahase na vayuve na vana na gimigunda pamwi nasi neseko, neke pambele uwumi wa mbepali na mbepali. 
MRK.10.31	Neke awolofu avalongola savalava vamumbele neke avamumbele savalava valongola.”
MRK.10.32	Na pevali mulugendo, vasogwe ku Yelusalemu, Yesu alalongwe, neke vasasavale, nawo avamuninilige vave na muhwehwe. Neke avategule palubali avanyichumi na vavili kangi, swe ivanga Ukuvalongela lula uluwoneka kulumwene, 
MRK.10.33	itigila, “Mulavage, tusogwe ku Yelusalemu, neke Umwana va Umunu atawulwa ku vatambisi avavina na avigisi va indagilo, nawo vamuhiga sambi awulagwe, na ukumutawula kwa avamyanza. 
MRK.10.34	Nawo vamwelanga, vamufunyila amati, vamutova na imikungo iminyamifwa na ukumuwulaga, neke pefilutye ifilo fidatu asilibuka.”
MRK.10.35	Neke Yakobo na Yohane, avana va Sebedayo, vabite kwa Yesu neke vamutigile, “Mwigisi hwehwe twisaka utupigile chechekivesaga chetukusuka veve.” 
MRK.10.36	Neke avatigile, “Mwisaka nene ndivapigile kiki?” 
MRK.10.37	Neke vamutigile, “Lekage hwehwe tuteng'emale, uyumwi kwiwoko lyako lya kundyo neke uyumwi kwiwoko lyako ilya kung'igi, mundolo sako.” 
MRK.10.38	Neke Yesu avatigile, “Simukukikagula che mwisuka! muhwanite ukunywela ikinywelo cha uluteseko chenywela nene nave uwubatiso wendibatisiwa nene?”
MRK.10.39	Neke vamutigile, “Tuhwanite.” Neke Yesu avatigile, “Ikinywelo chendandinywela nene munywela, na uwubatiso wendibatisiwa nene, nayi nyenye mubatisiwa. 
MRK.10.40	Neke ulwa ukuteng'emala kuliwoko lyangu lya kundyo nave ilya kung'igi ulo si lwa nene ukuvapela, Ulo lwa vala avavikile.”
MRK.10.41	Neke vala avanyichumi peyevapulike swe vivanga ukuvavipila va Yakobo na Yohane. 
MRK.10.42	Neke Yesu swe akuvakemela, neke avatigile, “Mukulukagula ulwa ukutigila vala avavikagulanika ulwa vatema mu vamyanza vavitema kwa ludali na avavina vawo vakuvavika avanu muwuvanda. 
MRK.10.43	Ino sisaluva ndahihyo kwa nyenye, pakuva yeisaka ave muvina mwa nyenye ava mukami venyu. 
MRK.10.44	Neke yeava mulongola mwa nyenye ava mukami va mbemuli. 
MRK.10.45	Pakuva nayu Mwana va Umunu siasili apigilwage, pesi apigilage, na ukutawula uwumi wakwe sambi luve luhombo lwa awolofu.”
MRK.10.46	Neke vafike ku Yeliko, nave Yesu pealutilige mu Yeliko pamwi avanyigendo vakwe na vamalugu, Batimayo, yeali mubofu umususi, umwana va Timayo, eateng'eme palubali pa ng'asi. 
MRK.10.47	Neke peapulike ulwa ye Yesu uva ku Nasaleti, avanzile ukukoola itigila, “Yesu ve Mwana va Daudi, umbonelage ulusungu nene!”
MRK.10.48	Neke awolofu vamukenyele, akatuke, neke umwene aginite ukukoola hilo, “Ve Mwana va Daudi umbonelage ulusungu nene!”
MRK.10.49	Swe Yesu akwima neke atigile, “Mumukemele.” swe akumukemela umubofu na ukumutigila, “Wikangase! Wime, akukukemela.”
MRK.10.50	Neke atage isopeka yakwe, swe idibuka ibita kwa Yesu.
MRK.10.51	Neke Yesu amutigile, “Wisaka ngupigile kiki veve?” Neke umubofu amutigile Yesu, “Mutwa ngukusuka ndave.”
MRK.10.52	Neke Yesu amutigile, “Wibitilage, ulufuuwo lwako lukuponise.” Na ulusika lulula swe ilava na ukumuninila Yesu kwe abitige.
MRK.11.1	Pevahegelye ku Yelusalemu vafikite na muboma isa Betifage na Betaniya, mwivambala lya ikidunda icha imiseituni. Kula Yesu avatumite avavili va avanyigendo vakwe, 
MRK.11.2	avatigee, “Mubitage mbaka kukijiji chemulaving'ine. Na pemukwingila mukijiji, muyifika idogovi minge yesiyeyilahowa na munu. Mwawulage mulete, 
MRK.11.3	neke wone umunu avawuse ukutigila, ‘Nyela mbi ndawuli mwigita de?’ Mumutigilage, ‘Umutwa ina kipigo nayo na neke kangi ayipilula baha.’”
MRK.11.4	Vahele mung'asi swe vakuyiwona idogovi minge pivala pa mulyango gwa ikaye. Swe vakwawula. 
MRK.11.5	Avanu avamwi avevimile uko swe vakuvatigila, “Mbi ndawuli mukwawula idogovi iyo?” 
MRK.11.6	Swe vakuvapitula ndawe Yesu lwe alavalonje nawo swe vakuvatawula. 
MRK.11.7	Nawo vayisindike idogovi kwa Yesu, vitandika imyenda jawo pachanya pa idogovi swe Yesu ihova. 
MRK.11.8	Avanu wolofu vatandike imyenda jawo mung'asi, na avamwi vadumwe amatagala ga imibiki ukuhuma mumigunda na ukutandika mung'asi. 
MRK.11.9	Na vala ave valongwe na ava mumbele, vavanzile ukuyova vitigila, “Hosana! Mufunyilile yula ye akusa mwitawa lya Nguluvi! 
MRK.11.10	Wufunyilile Uwutwa we wukusa wa Udadetu Daudi Hosana kuchanya hilo!”
MRK.11.11	Yesu avelige ifika mu Yelusalemu, inje mu Tembeli, ndawe alavige imbali mbesili. Na pekive kinyamihye, awukite swe ibita ku Betaniya na avanyigendo vanyichumi na vavili.
MRK.11.12	Na ikimunyi icha kavili lwevahumige ku Betaniya inzala yavafile. 
MRK.11.13	Neke aguwone kwa kutaali umusombe ugunya mahamba. Ahele sambi angule amaveleko mumusombe, na avelige ihegelela sakiweni kinu pe si gamahamba hela kangi silwe lusika lwa amaveleko. 
MRK.11.14	Swe Yesu akugutigila, “Uluhuma lino kwa veve mbaka mbepali pagaya munu yesa alya amaveleko uluhuma kwa veve.” Avanyigendo vakwe vapulike ulo.
MRK.11.15	Vavelige vifike ku Yelusalemu, Yesu inje mu Tembeli, swe ivanga ukuvahaka mbevali vevagusige na ukugula mula mu tembeli. Swe idulika inyaaga sawo avakowoka amagobole na ifigoda fya avasulusi va ingunda. 
MRK.11.16	Samulekiti munu asave nambi ikinu uluhuma pala pa tembeli. 
MRK.11.17	Neke avange ukuvigisa avanu ukutigila, “Mbi silwandike mu Waandike Uwelu ulwa, ‘Itembeli yangu yiva kaye ya kwifunyo lwa avanu mbevali va ing'i mbesili!’ Neke lino nyenye mudulike yive lifinga lya vahiisi!”
MRK.11.18	Avatambisi avavina na avigisi va indagilo, pevapulike iso neke vavange ukusaka ifigaho sambi vamuwulage neke ulwene wogopige pakuva mbevali vasasavalige seigisige. 
MRK.11.19	Na lyavelige lisota ilisuva Yesu na vanyigendo vakwe vahegite pala pa boma.
MRK.11.20	Pamilawu pevalutilige, vaguwene umusombe gula gukasile na sindela. 
MRK.11.21	Petulo agwiwike umusombe gula, neke amutigile Yesu, “Mwigisi, lavage! Umusombe gula gwe ukagufingulise yegukasile!”
MRK.11.22	Neke Yesu avatigile, “Mumufuuwage Nguluvi. 
MRK.11.23	Nachene, nguvalongela, umunu yeyeavesaga na ulufuuwo ahwanite ukutigila ikidunda iki, ‘Kimuke ipo bite ukitoose kunyanza!’ Wone alonge wesiisina munumbula yakwe, we ifuuwa ukuta lweilonga, lugendela mumo, nachene lupigika ndahihyo. 
MRK.11.24	Ino nene nguvalongela nyenye, chechemusukaga mukwifunya mufuuwagwe ukuta yemwanuche icho, nacho kiva chenyu. 
MRK.11.25	Na pepemuvelaga mwimile mukwifunya, mudegepelage, wone mwina lukani na munu yungi; sambi udadenyu nave yealikuchanya ahwane ukuvadegepela nyenye inzanangifu senyu. [ 
MRK.11.26	Neke wone nyenye muve simwidegepela avangi inzanangifu sawo, nayu dadenyu yeali kuchanya savadegepela nyenye inzanangifu senyu.”]
MRK.11.27	Neke pevafikite ku Yelusalemu, na Yesu peagendige mu Tembeli avatambisi avavina na avigisi va indagilo na avavina va avanu neke vamubitile Yesu, 
MRK.11.28	swe vakumutigila, “Mbi kwa lulagi luki wipiga isi? Nave ye nani yeakupelye ululagi upige isi?”
MRK.11.29	Neke Yesu avatigile, “Nayi nene ndivawusa lukani, wone mumitule nayinene ndivalongela kwa lulagi na ludali lwa nani ndipiga isi mbesili. 
MRK.11.30	Mundongele, uwubatiso wa Yohane wahumite kwa Nguluvi apangi kwa avanu? Mumitule.”
MRK.11.31	Swe vivanga ukwilonganza vavene, “Vitigila, ‘Wone tutigile wahumite kwa Nguluvi’, atutigila, ‘Lino mbi ndawuli simwamufuuvitwi?’ 
MRK.11.32	Na kangi wone tutigile, ‘Wahumite ku vanu’” (Wogwipe avanu pakuva mbevali valukagulige ukuta Yohane ali muvisi nachene.) 
MRK.11.33	Swe vakumupitula Yesu, vakumutigila, “Situluseli.” Neke Yesu avatigile, “Nayi nene sindivalongela nyenye kwa lulagi na ludali lwa nani nene ndipiga isi mbesili.”
MRK.12.1	Neke Yesu avanzile ukulonga nawo kwa ifiganiso, “Epwali umunu yealalimite umugunda gwa imisabibu, isitila ulusito umugunda mbeguli. Neke awuyape apono pawuhusilo wa amaveleko ga imisabibu, neke awuyape na chuwo. Swe akuvalekela avalimi imigunda neke peawuke ulugendo. 
MRK.12.2	Ulusika lwavelige lwifika ulwa ukwangula amaveleko, atumite umukami vakwe abite kwa vala avanyakubasa, akategule amaveleko amuletele. 
MRK.12.3	Vala vamwibete, neke vamutove, na ukumuhumya mu mugunda we mugaya kinu. 
MRK.12.4	Neke kangi atume umukami yungi; swe nave vakumuvayula lweya mumutwe na ukumupigila imbi. 
MRK.12.5	Umunyamugunda amutumite yungi kangi, uyo vamuwulige na avangi avaasige vavapigile ndahihyo, avamwi vavatofile na avamwi vavawulige. 
MRK.12.6	Ino alasigise umunu yumwi hela, umwanakwe umwende vakwe. Uyo nave pambele amutumite itigila, ‘Uyu apamwinga vamwogopa pakuva muswamuvangu.’ 
MRK.12.7	Neke vala avanyakubasa umugunda valongane vavene ng'ani, ‘Uyu ye munya lilila lya umugunda, ino lekage tumuwulage, na ililila live lyetu!’ 
MRK.12.8	Swe vakumwibata, vakumuwulaga, vakumutosa kwivala uluhuma pa mugunda gwa imisabibu.
MRK.12.9	“Lino yula umunyamugunda avagita ndawuli? Saasa avasinde avanyakubasa umugunda, na umugunda ugo gwa imisabibu saavabasikisa avangi.
MRK.12.10	Mbi ndawuli nyenye Uwandike uwu simwemulimba?
MRK.12.10	‘Iliganga lila lyevalibihye avasenzi,
MRK.12.10	ilyo live liganga likomi lya mulubali.
MRK.12.11	Ulukani ulu luhumite kwa Umutwa,
MRK.12.11	nalo wuhulo pamiho getu.’”
MRK.12.12	Avatambisi avavina, avigisi va indagilo na avavaha valukagwe ukuta ikiganiso icho avaselengige avene. Nambi vagahige ukumwibata, neke ulwene vawogopige vamalugu. Swe vakumuleka, swe vakwibitilaga.
MRK.12.13	Swe vakuvatuma kwa Yesu Avafalisayo na Avahelode, sambi vamugwilise Yesu mu ng'ani sakwe. 
MRK.12.14	Neke vamubitile vamutigile, “Mwigisi, tukulukagula ukutigila veve wi munu wimulongela mumwene, na siwakwogopa uwuvina wa munu. Pakuva siwawilava uwusu wa umunu wakwigisa mumwene ulukani lwa Nguluvi. Lino witigila ndawuli lunoje tuhombe imbemenenge kwa Kaisali apangi nda?” Tutawulage, tulatawula? 
MRK.12.15	Nave, we akulukagula ukutigila vabuganisi, swe Yesu akuvatigila, “Mbi ndawuli nyenye mukungela? Mlete iligobole ndave.” 
MRK.12.16	Swe vakumusindikila. “Neke avalongele uwusu uwu na ilitawa ili lya nani?” Neke vamutigile, “Lya Kaisali.” 
MRK.12.17	Neke Yesu avatigile, “Mumupelage Kaisali ifya Kaisali na ifya Nguluvi mumupelage Nguluvi.” Swe visasavala hilo.
MRK.12.18	Neke Avasadukayo avitigila kugaya ulusilibuko vahele kwa Yesu, neke vamuwuse, 
MRK.12.19	“Mwigisi, Musa atwandiche ululagi ulwitigila: ‘Wone umunu afwe amuleke uvakwe mugaya mwana, umunyalukolo va yula yeafwe amutegulage yula umufwile sambi amwegalile yula yeafwe avana.’ 
MRK.12.20	Lino vepovali avanu vimufung'ati avegalwa pamwinga. Umuvina ategwe umung'inetu, neke afwe we mugaya mwana. 
MRK.12.21	Umunyalukolo va kavili nave amutegwe yula umung'inetu, nave afwe wesalekiti mwana; na uva wudatu nave ndahihyo. 
MRK.12.22	Na mbevali ndawe vimufung'ati vamulekite yula umung'inetu mugaya mwana. Pambele nayu ng'inetu yula aafwe. 
MRK.12.23	Lino pa ikimunyi cha ukusilibuka avanu mbevali uluhuma mufwa, umung'inetu uyo saava mukina nani? Pakuva mbevali ndawe vimufung'ati vevamutegwe.”
MRK.12.24	Neke Yesu avatigile, “Nyenye mwiyaga pakomi, pakuva simuwuseli uwandike uwelu na uludali lwa Nguluvi. 
MRK.12.25	Pakuva vevafwe pevave vasilibwike sivitegulagi nambi kugomwa; vaviva vihwana vanyivaha va kuchanya. 
MRK.12.26	Na ulo lwa avanu ukusilibuka mbi simwemulimba mukitabu cha Musa pa mulyango gwa ikisaka chechakige umoto? Nguluvi amulonje Musa ukutigila, ‘Nene ndi Nguluvi va Abulahamu, Nguluvi va Isaki na Nguluvi va Yakobo.’ 
MRK.12.27	Lino umwene si Nguluvi va avafwe nda, umwene Nguluvi va awumi. Nyenye mwiyaga pakomi.”
MRK.12.28	Uyumwi va avigisi va indagilo afikite neke apulike lwevakwibesa. Avelige ipulika ulwa Yesu avapitwe wunofu, nave ahele amuwuse Yesu, “Mundagilo mbesili ululutye lulikwi?” 
MRK.12.29	Neke Yesu amutigile, “Lwa ukutala lwe ulu: ‘Pulikage veve Isilaeli! Nguluvi vetu ye Nguluvi yeiyena. 
MRK.12.30	Nayuveve mwendage Nguluvi vako munumbula yako mbeyili, na mu umutima gwako mbeguli, na mu uluhala lwako mbeluli na mu uludali lwako mbeluli.’ 
MRK.12.31	Na ulwa kavili lwe ulu, ‘Mwendage umuyago ndawe inumbula yako yiveve.’ Pagaya ululagi ulungi, ulukomi lwelulutye kwa isi.” 
MRK.12.32	Swe yula umwigisi va indagilo akumutigila, “Nachene ulonje mumwene ukutigila Nguluvi iyena, pagaya yungi pesi yumwene hela. 
MRK.12.33	Na ukumwenda kwa inumbula yako mbeyili, na kwa uluhala lwako mbeluli na kwa uludali lwako mbeluli na umuyago ndawe inumbula yako yuveve, ulukani ulo lwelulutye ku fitawulwa na inambika mbesili.” 
MRK.12.34	Nave Yesu avelige akumuwona ukuta alonzile kwa luhala, swe akumutigila, “Veve siulipataali na uwutwa wa Nguluvi.” Uluhuma baho, pagaya umunu yeigelye ukumuwusa kangi Yesu lukani.
MRK.12.35	Neke Yesu pe akwingila mu Tembeli. Avawusise, “Mbi ndawuli avigisi va indagilo vavitigila Kilisito Mwana va Daudi? 
MRK.12.36	Kono Daudi yumwene peilongoswa na Umuhe Umwelu atigee:
MRK.12.36	‘Umutwa atigee kulumutwa vangu.
MRK.12.36	Teng'emale kuliwoko lyangu ilya kundyo,
MRK.12.36	mbaka pendivaletite avatavangu vako
MRK.12.36	pamagulu gako.’
MRK.12.37	“Umwene Daudi akumukemela Mutwa. Lino luva ndawuli ave kangi Mwanakwe?” Neke ililugu ilya avanu vamupulikisige kwa luhekelelo.
MRK.12.38	Neke Yesu avalongele peakuvigisa, “Mwikomalilage na avigisi va indagilo, aviwendaga ukugenda vafwite isopeka inaali sa ulutogo, na ukuhungilwa mumakasi, 
MRK.12.39	na ukwikala pawulongolo mumasinagogi na mufigoda ifya muwulongolo mumbungo. 
MRK.12.40	Vakuvawonela avang'inetu avafwile, nu kutegula ifinu fyawo, kono we vakuvabuganisa nu kwifunya lusika, iwo savahigwa pakomi ukulutila.”
MRK.12.41	Nave Yesu alikalite pipi na pala pevisopaga ifitawulwa, mu kinyawugali cha mu tembeli avawene avanu lilugu visopa ifitawulwa. Avanono vasopige amagobole molofu. 
MRK.12.42	Aasile umung'inetu yungi, mufwile, kangi mumikaa, uyo asopite amagobole makefu wita figobole fivili hela. 
MRK.12.43	Neke Yesu avatigile, avanyigendo vakwe, ukutigila, “Nachene nguvalongela uyu umufwile umumikaa atawe ukulutila mbevali avatawe ifitawulwa mukinyawugali. 
MRK.12.44	Pakuva avangi mbevali vasopite ifinu fyefivalutye uwolofu, neke uyu umung'inetu umumikaa, muwumikaa wakwe atawe mbefili fyeakalinafyo, na fyeakalaahuvye.”
MRK.13.1	Na Yesu avelige ihuma mu Tembeli uyumwi va vanyigendo vakwe amutige, “Mwigisi, lavage amaganga na ikaye isi wesiwali uwunofu.” 
MRK.13.2	Yesu amupitwe, neke amulongele, “Ukusiwona ikaye ingomi isi? sipolili nambi iliganga limwi mukaye isi lyesisalidenywa.”
MRK.13.3	Ino Yesu pealateng'eme pa kidunda icha imiseituni alaving'ine na itembeli, Petulo, na Yakobo, Yohane na Andeleya vamuwusise Yesu palubali, 
MRK.13.4	“Tulongele, ing'ani isi panili pesasiwoneka? Na kiki chekiva kilagilo ukuta ulusika ulo yesambi lwikwila?”
MRK.13.5	Neke Yesu avatigile, “Mwikomalilage, umunu alavasanga. 
MRK.13.6	Pakuva avanu wolofu savasa mwitawa lyangu, vitigila, ‘Nene ye nene!’ Nawo savavasanga wolofu. 
MRK.13.7	Pesamwipulika ulwa amagalu na simwepo sa amagalu, mulakabuka. Pakuva iso sasusa, neke umudugo guva sigulafika. 
MRK.13.8	Ing'i sayiwuka ukwihoma na ing'i yingi, na uwutwa ukwihoma na uwutwa uwungi; sakuva na ifitulo pono na pono, sakuva na ikinge. Iso mbesili gwemuvango gwa ukuteseka ndawe umung'inetu peakwivikula.
MRK.13.9	“Nayi nyenye mwikomalilage inumbula senyu. Pakuva savavasindika nyenye pawuhigilo, na mumasinagogi sambi mutowe, samusindikwa ku vatema na avatwa sambi muhigwe pemwivalwa ilitawa lyangu, sambi muve wolelesi kwa avene. 
MRK.13.10	Neke pesilulava ulo. Ulukani Ulunofu sa ludalikwa tandi kuvanu mbevali. 
MRK.13.11	Nawo pevavibete nyenye na ukuvasindika pawuhigilo, mulahwa kihosa chemulonga, pakuva samupelwa icha ukulonga na Umuhe Umwelu. 
MRK.13.12	Umunyalukolo amupituka umunyalukolo vakwe awulagwe; udade amupituka umwana; na avana vavagalukila avavaha vawo na ukuvawulaga. 
MRK.13.13	Avanu mbevali savavavipila nyenye, vakuvavala ilitawa lyangu. Neke yula yeyeavesaga akange mbaka pamudugo uyo yesaapokwa.
MRK.13.14	“Neke pemuluwene ‘Uluvifyo ulwa Uwanangifu’ lulipe sipapene. (Ye akwimba alukagulage!) ipo avanu ve vali ku Yudaya vakimbililage mufidunda. 
MRK.13.15	Umunu ye alikwiking'a lya ikaye aliika mukaye yakwe ategule kinu. 
MRK.13.16	Na ye ali kumugunda alapiluka kukaye akategule umwenda gwakwe. 
MRK.13.17	Neke vinalyo vala vesavava na ifilo na vala vesavakoosa mufilo ifyo! 
MRK.13.18	Mwifunyage kwa Nguluvi sambi ulusika ulo, lulemwa ukuva pa ikitungwi. 
MRK.13.19	Pakuva ukuguda kwa ifilo ifyo sakulava kubi ukulutila, uluhuma ukugawa ing'i mbaka ku lino de, ukuguda uko sikwekulawoneka, na sisakuwoneka kangi nangi. 
MRK.13.20	Na wone Nguluvi akalaleke ukufikepula ifilo ifyo, asupali umunu yeakalapokwa. Lino ukwimila avahagule vakwe, Nguluvi akepwise ifilo ifyo.
MRK.13.21	“Neke lino, wone umunu avatigile, ‘Mulavage Kilisito ali ipa!’ ‘Na vavatigile ali kula’ mulafuuwa ulo. 
MRK.13.22	Pakuva savawoneka wolofu vesavitigila vavene ve Kilisito va wudesi na avavisi va uwudesi nawo savapiga ifilagilo na uwuhulo, sambi vavayase wone luhwane na vavahagule. 
MRK.13.23	Neke nyenye mwikomalilage. Pakuva nene yendivalonje mbesili wesisilava siwoneka.
MRK.13.24	“Neke ifilo ifyo, ukuguda pekulutye, ilisuva salipituka live lwisa, na gumwesi sisaguvala nangi. 
MRK.13.25	Na ing'eng'esi sasigwa uluhuma kwilanga, na ludali ulwa kuchanya nalo saluhogoleka. 
MRK.13.26	Ipo pesavamuwona Umwana va Umunu akusa mumafufu mu ludali ulukomi na indolo. 
MRK.13.27	Nave saavatuma vanyivaha vakwe vavakong'ase; avahagule vakwe, uluhuma imbali mbesili isitayi konivala, uluhuma pawudugo wa ing'i mbaka uwudugo wa kuchanya.
MRK.13.28	“Ukukola umusombe mwiyigisage ikiganiso iki: Pembe muwone matagala ga imisombe gavanzile ukutopola amahamba, mulukagulage ukutigila ikifuku yekihegelye. 
MRK.13.29	Lwindahihyo pemusiwene ing'ani mbesili yesiwonike, mulukagulage ukutigila Umwana va Umunu yeahegelye mumilyango. 
MRK.13.30	Nachene nene nguvalongela, imbegalo iyi siyilutila mbaka ing'ani iso mbesili peyesikwilye. 
MRK.13.31	Ing'i na kuchanya safilutila, neke ing'ani sangu mbesili sisasilutila nangi.
