GEN.1.1	Hasieran, Jainkoak zeru-lurrak egin zituen
JOS.11.9	Jaunak agindu bezala, hanka-zainak ebaki zizkien Josuek zaldiei eta guda-gurdiak erre.
JOS.11.10	Ondoren, itzuli eta Hatzor hiria hartu zuen Josuek eta bertako erregea ezpataz hil. Hatzor zen aldi hartan inguru haietako erreinuetako hiriburua. 
JOS.11.11	Bertan bizi ziren guztiak ezpataz hil eta erabat suntsitu zituen, bat ere bizirik utzi gabe, eta hiriari su eman zion. 
JOS.11.12	Josuek gainerako hiri guztiak hartu eta bertako erregeak ezpataz hil zituen eta erabat suntsitu, Moisesek, Jaunaren zerbitzariak, agindu bezala.
JOS.11.13	Mendi-gailurretan zeuden hiriak ez zituzten erre israeldarrek, Josuek erre zuen Hatzor izan ezik. 
JOS.11.14	Hiri haietako ondasunak eta abereak berentzat hartu zituzten israeldarrek, guda-harrapakintzat; gizakiak, aldiz, ezpataz hil zituzten, denak suntsitzeraino, bat ere bizirik utzi gabe.
JOS.11.15	Jaunak Moisesi agindutakoa agindu zion Moisesek Josueri, eta honek bete; ez zuen bete gabe utzi Jaunak Moisesi agindutako ezer ere.
JOS.11.16	Hona hemen, Josuek hartutako lurraldeak: mendialdea, Negev basamortua, Goxen lurraldea, Xefela lautada, Araba harana eta Israelgo mendialdea eta itsasorainoko lautada; 
JOS.11.17	hau da, Seir aldera doan Halak menditik Hermon mendi azpiko Libanoko haranean dagoen Baal-Gad hiria arteko lurralde osoa. Errege guztiak harrapatu eta hil egin zituen, 
JOS.11.18	beraien kontra luzaro borrokan ibili ondoren. 
JOS.11.19	Israeldarrekin bake-hitzarmena egin zuen hiri bakarra hibiarrak bizi zireneko Gabaon izan zen. Beste guztiak armen indarrez hartu zituzten.
JOS.11.20	Jaunaren erabakiz, burugogorkeriaz lehiatu ziren israeldarrei kontra egiten, israeldarrek errukirik gabe erabat suntsitu eta desegin zitzaten, Jaunak Moisesi agindu bezala.
JOS.11.21	Garai hartan desegin zituen Josuek Hebron, Debir eta Anabeko, Judako nahiz Israelgo mendialdeetako, Anaken ondorengoak ere: erabat suntsitu zituen beraien hiriekin batera.
JOS.11.22	Ez zen Anaken ondorengorik bat ere gelditu israeldarren lurraldean, Gaza, Gad eta Axdod hirietan
JOS.11.23	Josuek lurralde osoa hartu zuen, Jaunak Moisesi hitzeman bezala, eta Israeli ondaretzat eman zion eta leinuen artean banatu. Eta, gerrak bukaturik, herrialdea bakean gelditu zen
JOS.12.1	Jordanez beste aldera, ekialdean, bi errege garaitu zituzten israeldarrek eta beraien lurraldeez jabetu ziren; lurralde horiek Arnon errekatik Hermon mendiraino hedatzen ziren, ekialdeko Araba harana barne.
JOS.12.2	Bata, Hexbonen bizi zen Sihon errege amortarra izan zen; honen menpeko erreinua Arnon erreka ondoan dagoen Aroer hiritik amondarren lur-muga den Jabok errekaraino hedatzen zen, Arnonen ibarra eta Galaad lurralde erdia hartzen zituelarik; 
JOS.12.3	baita, Araba haranaren ekialdea ere Genesaret aintziratik Araba itsaso edo Itsaso Hileraino, Bet-Jeximoterako bidean, Pisga mendiaren magaleraino.
JOS.12.4	Bestea Axtarot eta Edrei hirietan bizi zen Baxango errege Og izan zen, refatar erraldoien
JOS.12.5	beraren menpeko erreinuak Hermon mendia, Salka eta Baxan osoa hartzen zituen, gexurtarren eta maakatarren
JOS.12.6	Moisesek, Jaunaren zerbitzariak, eta israeldarrek menderatu egin zituzten bi errege haiek. Moisesek, Jaunaren zerbitzariak, Ruben eta Gaden leinuei eta Manasesen leinu erdiari eman zizkien jabetzan haien lurraldeak.
JOS.12.7+JOS.12.8	Jordanez mendebaldera, Josuek eta israeldarrek Libanoko haranean dagoen Baal-Gadetik Seir aldera dagoen Halak mendirainoko lurraldeko erregeak garaitu zituzten. Josuek Israelgo beste leinuei eman zien jabetzan lurralde hura, bakoitzari bere zatia emanez. Lurralde hark mendialdea, Xefela lautada, Araba harana, alderdi menditsuak eta Negev basamortua hartzen zituen. Alderdi haietan hititak, amortarrak, kanaandarrak, periztarrak, hibiarrak eta jebustarrak bizi ziren.
JOS.12.7+JOS.12.8	Hona hemen garaitu zituzten erregeak:
JOS.12.9	Jerikokoa, Betel ondoan dagoen Aikoa, 
JOS.12.10	Jerusalemgoa, Hebrongoa, 
JOS.12.11	Jarmutekoa, Lakixekoa, 
JOS.12.12	Eglongoa, Gezerkoa, 
JOS.12.13	Debirkoa, Gederkoa, 
JOS.12.14	Hormakoa, Aradekoa, 
JOS.12.15	Libnakoa, Adulamgoa, 
JOS.12.16	Makedakoa, Betelgoa, 
JOS.12.17	Tapuahekoa, Heferkoa, 
JOS.12.18	Afekekoa, Laxarongoa, 
JOS.12.19	Madongoa, Hatzorrekoa, 
JOS.12.20	Ximron-Merongoa, Akxafekoa, 
JOS.12.21	Taanakekoa, Megidokoa, 
JOS.12.22	Kedexekoa, Karmel mendiko Jokneamgoa, 
JOS.12.23	Dor eskualdean dagoen Dorkoa, Gilgal
JOS.12.24	eta Tirtzakoa; guztira, hogeita hamaika errege.
JOS.13.1	Josue zahartua, adinean aurreratua, zegoen. Eta Jaunak esan zion: «Zahartu zara eta adinean aurreratu, eta oso handia da oraindik eskuratzeko gelditzen zaizuen lurraldea. 
JOS.13.2	Hona hemen zer gelditzen den: filistearren eta gexurtarren lurralde guztiak
JOS.13.3	(Egiptoko mugan dagoen Xihor errekatik iparralderainoko lurraldea, Ekron mugarainokoa, kanaandarren lurraldetzat jotzen da; hor zuten beren agintea bost hiri filistearretako
JOS.13.4	baita kanaandarren lurralde osoa ere, sidondarren Aratik Afekeraino eta amortarren
JOS.13.5	gainera, giblitarren
JOS.13.6	azkenik, Libanotik Misrefot-Maimerainoko mendialdea, sidondarrak bizi diren lurraldea. Israeldarrak heldu ahala, neuk botako ditut herri horiek beren lurraldeetatik. Zure eginkizuna, lurralde horiek israeldarrei ondaretzat izendatzea
JOS.13.7	Banatu, beraz, lurralde hori ondaretzat bederatzi leinuen eta Manasesen leinu erdiaren artean».
JOS.13.8	Ruben eta Gaden leinuetakoek eta Manasesen beste leinu erdikoek hartua zuten jadanik beren ondarea Jordanez beste aldera, ekialdera, Moisesek, Jaunaren zerbitzariak, emanik: 
JOS.13.9	Arnon erreka ondoan dagoen Aroer hiritik eta lautadaren erdian dagoen hiritik, Madaba lautada osoa Diboneraino 
JOS.13.10	eta bere egoitza Hexbonen zuen Sihon amortar erregearen hiri guztiak amondarren mugetaraino; 
JOS.13.11	gainera, Galaad eta gexurtarren eta maakatarren lurraldeak, Hermon mendia eta Baxan lurraldea Salka hiriraino; 
JOS.13.12	baita bere egoitza Axtarot eta Edrei hirietan zuen Baxango Og erregearen erreinu osoa ere. Og erregea zen antzinako refatar erraldoietatik gelditutako bakarra. Moisesek garaitu egin zituen bi erregeak eta beren lurraldeetatik bota. 
JOS.13.13	Baina israeldarrek ezin izan zituzten gexurtarrak eta maakatarrak bota, eta israeldarren artean bizi dira oraino.
JOS.13.14	Lebiren leinua bakarrik utzi zuen Moisesek ondarerik eman gabe, Jaunaren, Israelen Jainkoaren, ohorez erretako oparigaiak izango baitzituzten ondare, Jaunak Moisesi hitzeman bezala.
JOS.13.15	Moisesek Rubenen leinuko senitarteei ondare-zati bat eman zien. 
JOS.13.16	Haien lurraldeak, Arnon erreka ondoan dagoen Aroer hiritik eta haranaren erdian dagoen hiritik hasita, Madaba lautada osoa hartzen zuen; 
JOS.13.17	baita Hexbon eta lautadako hiri guztiak ere: Dibon, Bamot-Baal, Bet-Baal-Meon, 
JOS.13.18	Jahtza, Kedemot, Mefaat, 
JOS.13.19	Kiriataim, Sibma eta Tzeret-Xahar, haranaren gainaldean dagoen mendixkan; 
JOS.13.20	Bet-Peor, Pisga mendi-maldak eta Bet-Jeximot; 
JOS.13.21	gainera, lautadako hiri guztiak eta egoitza Hexbonen zuen Sihon amortar erregearen erreinu osoa. Moisesek garaitu zuen Sihon erregea, baita lurralde hartan bizi ziren beraren menpeko buruzagi madiandarrak ere: Ebi, Rekem, Tzur, Hur eta Reba. 
JOS.13.22	Israeldarrek ezpataz hil zituztenen artean Beor-en seme Balaam igarlea zegoen.
JOS.13.23	Rubendarren lurraldeak Jordan ibaia zuen muga.
JOS.13.23	Hori izan zen rubendarren ondarea, senitarteka banatua, aipaturiko hiri eta herrixkak barne.
JOS.13.24	Moisesek Gaden leinuko senitarteei ere beste zati bat eman zien. 
JOS.13.25	Haien lurraldeak Jazer hiria, Galaadeko hiri guztiak eta amondarren lurraldearen erdia, Rabaren aurrez aurre dagoen Aroer hiriraino hartzen zituen;
JOS.13.26	baita Hexbondik Ramat-Mitzpe eta Betonimeraino eta Mahanaimdik Debarreko mugaraino ere; 
JOS.13.27	eta haranean, Bet-Haram, Bet-Nimra, Sukot eta Tzafon, hau da, Hexbongo errege Sihonen erreinuaren gainerakoa. Jordan ibaia zuen muga, lurraldea ibaiaz ekialdera Genesaret aintziraraino hedatzen zelarik.
JOS.13.28	Hori izan zen gadtarren ondarea, senitarteka banatua, aipaturiko hiri eta herrixkak barne.
JOS.13.29	Moisesek Manasesen leinu erdiko senitarteei ere beste ondare-zati bat eman zien. 
JOS.13.30	Haien lurraldeak Mahanaimdik hasita Baxan osoa, Og erregearen erreinua izana, eta Jairren herrixkak hartzen zituen: hirurogei hiri;
JOS.13.31	Galaad lurraldearen erdia eta Baxango errege Og-en erreinuko Axtarot eta Edrei hiriak Manasesen seme Makirren ondorengo erdiei eman zizkien, senitarteka banatuz.
JOS.13.32	Hau izan zen Moisesek Moabeko lautadan, Jordanez beste aldera, Jerikotik ekialdera, egin zuen ondare-banaketa.
JOS.13.33	Lebiren leinuari ez zion ondarerik eman, Jauna, Israelen Jainkoa, baitzuen ondare, Jaunak berak hitzeman bezala.
JOS.14.1	Hona hemen Kanaan lurraldean israeldarrek hartu zuten ondarea. Eleazar apaiza
JOS.14.2	Jaunak Moisesen bidez agindu bezala, zotz eginez izendatu zitzaien lurraldea bederatzi leinuri eta Manasesen leinu erdiari.
JOS.14.3+JOS.14.4	Beste bi leinuei eta Manasesen leinu erdiari Moisesek emana zien jadanik ondarea Jordan ibaiaz ekialdera. Joseren ondorengoak bi leinutan banatzen ziren: Manases eta Efraim. Moisesek Lebiren leinukoei ez zien lurralde-zatirik eman, gainerako leinuei bezala, zenbait hiri baizik, inguruetako lurrekin batera: hiriak beraiek bizitzeko, eta herri-lurrak artalde eta aziendentzat.
JOS.14.5	Jaunak Moisesi agindu bezala banatu zuten israeldarrek lurralde hura.
JOS.14.6	Behinola, Judaren leinuko batzuk Josuerengana etorri ziren, Gilgalera, eta haietariko batek, Jefuneren seme Kaleb keniztarrak, esan zion: «Badakizu zer esan zion Jaunak Moisesi, Jainkoaren gizonari, zuri eta niri buruz Kadex-Barnean.
JOS.14.7	Berrogei urte nituen Moisesek, Jaunaren zerbitzariak, Kadex-Barneatik lurralde hau ikertzera bidali ninduenean; barruak agintzen zidan eran eman nion hemengo berri. 
JOS.14.8	Nirekin etorri zirenek adoregabetu egin zuten herria; ni, ordea, Jaunarekiko, ene Jainkoarekiko, guztiz leial izan nintzen.
JOS.14.9	«Moisesek zin egin zidan orduan, ikertzen ibili nintzen lurraldea nirea eta nire ondorengoena izango zela betiko ondare, Jaunarekiko, beraren Jainkoarekiko, guztiz leial izan nintzelako. 
JOS.14.10	Eta begira, bada berrogeita bost urte Jaunak Moisesi hura esan ziola, Israel herria basamortuan barrena zebilela. Jaunak orain arte biziarazi nau, berak hitzeman bezala, eta baditut laurogeita bost urte. 
JOS.14.11	Hala ere, Moisesek ikerketa egitera bidali ninduenean bezain indartsu nago oraindik ere; orduan adina kemen dut borrokatzeko eta edozein eginbeharretarako. 
JOS.14.12	Emadazu, bada, Jaunak egun hartan hitzemandako mendialde hori. Zeuk ere orduan jakin zenuen Anak erraldoiaren ondorengoak bizi direla bertan eta hiri handi eta gotortuak dituztela. Jauna nirekin izatea espero dut eta horiek beren lurraldetik botatzea, Jaunak hitzeman bezala».
JOS.14.13	Josuek bedeinkatu egin zuen Jefuneren seme Kaleb eta Hebron eman zion ondare. 
JOS.14.14	Horregatik, Hebron, Jefuneren seme Kaleb keniztarraren ondorengoena da gaurdaino, hau Jaunarekiko, Israelen Jainkoarekiko, leial izan zelako. 
JOS.14.15	Antzina, Hebronen izena Kiriat-Arba
JOS.14.15	Eta, gerrak bukaturik, herrialdea bakean gelditu zen.
JOS.15.1	Judaren leinuko senitarteei egokitu zitzaien lurralde-zatia, Edomgo muga aldera, Tzin basamortuaren hego-ertzeraino hedatzen zen hegoaldetik.
JOS.15.2	Muga Itsaso Hilaren hego-ertzean hasten zen,
JOS.15.3	eta, Akrabim maldaren hegoaldetik jarraituz eta Tzin basamortua igaroz, Kadex-Barnearen hegoaldetik igotzen zen. Gero, Hetzrondik igaroz, Adar aldera igo eta Karkaa inguratzen zuen. 
JOS.15.4	Handik, Atzmondik igaroz, Egiptoko errekara
JOS.15.5	Ekialdeko muga Itsaso Hila zen, Jordan ibaia itsasoratzen den tokiraino. Hango itsas adarrean hasten zen iparraldeko muga; 
JOS.15.6	Bet-Hogla aldetik igotzen zen eta, Bet-Arabaren iparraldetik igaroz, Rubenen seme Bohan-en Harkaitzeraino zihoan. 
JOS.15.7	Muga, gero, Akor ibarrean zehar, Debir-era heltzen zen eta handik iparraldera jotzen zuen, Adumimerako aldapa parean dagoen Gilgalera
JOS.15.8	Hemendik, Ben-Hinom haranean gora, jebustarren hiria —hau da, Jerusalem— zegoen mendi-hegiaren hegoaldetik igaro eta Hinom haranaren mendebaldean dagoen mendi-gailurreraino heltzen zen, refatarren lautadaren iparraldeko ertzeraino.
JOS.15.9	Mendi-gailurretik, Neftoah errekastoaren iturburu aldera egiten zuen mugak eta Efron mendiko herrixketara luzatzen, gero Baalarantz —hau da, Kiriat-Jearimerantz— okertzeko. 
JOS.15.10	Baalatik, mugak mendebalderantz egiten zuen, Seir mendirantz, eta, Jearim mendiaren —hau da, Kesalon mendiaren— iparraldeko hegitik igaroz, Bet-Xemexera jaisten zen. Gero, Timnatik igaro ondoren, 
JOS.15.11	Ekron mendiaren iparraldeko hegian zehar, Xikaron aldera okertzen zen eta, Baala mendian barrena, Jabneel-eraino luzatu eta Mediterraneo itsasoan bukatzen zen.
JOS.15.12	Mendebaldeko muga Mediterraneo itsasoa zen.
JOS.15.12	Horra, bada, Judaren leinukoei senitarteka banaturiko lurralde-zatiaren mugak.
JOS.15.13	Jaunak Josueri agindu bezala, Jefuneren seme Kalebi lurralde-zati bat eman zioten Judaren leinukoen artean. Kiriat-Arba —hau da, Hebron— eman zioten, antzina Anaken aita Arbarena izaniko hiria. 
JOS.15.14	Anaken hiru ondorengoak —Xexai, Ahiman eta Talmai— bota egin zituen Kalebek hiritik.
JOS.15.15	Handik, Debir hiriko bizilagunen kontra joan zen —ordu arte, Debir hiriari Kiriat-Sefer deitzen zioten—. 
JOS.15.16	Kalebek esan zuen: «Eraso eta Kiriat-Sefer har dezanari neure alaba Aksa emanen diot emazte». 
JOS.15.17	Kenazen seme eta Kaleben anaia zen Otnielek hartu zuen hiria, eta Kalebek bere alaba Aksa eman zion emazte.
JOS.15.18	Neska heldu zenean, bere aitari lursail bat eskatzera bultzatu zuen Otnielek. Neska asto gainetik jaitsi zenean, galdetu zion aitak:
JOS.15.18	—Zer nahi dun?
JOS.15.19	Aksak erantzun:
JOS.15.19	—Egidazu beste erregaluren bat. Eman didazun lurra elkorra da; emazkidazu urtegiak ere.
JOS.15.19	Orduan, goiko eta beheko urtegiak eman zizkion Kalebek.
JOS.15.20	Hori izan zen Judaren leinuko senitarteek hartu zuten ondarea.
JOS.15.21	Honako hauek ziren Judaren leinukoek hegoaldeko ertzean, Edomgo muga inguruan, zituzten hiriak: Kabtzeel, Eder, Jagur, 
JOS.15.22	Kina, Dimona, Adada, 
JOS.15.23	Kedex, Hatzor, Jitnan, 
JOS.15.24	Zif, Telem, Bealot, 
JOS.15.25	Hatzor-Hadata, Keriot-Hetzron —hau da, Hatzor—, 
JOS.15.26	Amam, Xema, Molada, 
JOS.15.27	Hatzar-Gada, Hexmon, Bet-Pelet, 
JOS.15.28	Hatzar-Xual, Beer-Xeba eta inguruak, 
JOS.15.29	Baala, Iim, Etzem, 
JOS.15.30	Eltolad, Kesil, Horma, 
JOS.15.31	Tziklag, Madmana, Sansana, 
JOS.15.32	Lebaot, Xilhim, Ain, Rimon: hogeita bederatzi
JOS.15.33	Lautadan honako hiri hauek zituzten: Extaol, Tzora, Axna, 
JOS.15.34	Zanoah, En-Ganim, Tapuah, Enam, 
JOS.15.35	Jarmut, Adulam, Soko, Azeka, 
JOS.15.36	Xaaraim, Aditaim, Gedera, Gederotaim: hamalau hiri eta beraien herrixkak. 
JOS.15.37	Tzenan, Hadaxa, Migdal-Gad, 
JOS.15.38	Dilan, Mitzpe, Jokteel, 
JOS.15.39	Lakix, Botzkat, Eglon, 
JOS.15.40	Kabon, Lahmas, Kitlix, 
JOS.15.41	Gederot, Bet-Dagon, Naama, Makeda: hamasei hiri eta beraien herrixkak. 
JOS.15.42	Libna, Eter, Axan, 
JOS.15.43	Jiftah, Axna, Netzib, 
JOS.15.44	Keila, Akzib, Marexa: bederatzi hiri eta beraien herrixkak. 
JOS.15.45	Ekron eta beraren herri eta herrixkak; 
JOS.15.46	Ekrondik itsasoa artean Axdod aldera dauden herri eta herrixkak; 
JOS.15.47	Axdod eta Gaza eta beraien herri eta herrixkak, Egiptoko errekaraino. Mediterraneo itsasoa zen muga.
JOS.15.48	Mendialdean honako hiri hauek zituzten: Xamir, Jatir, Soko, 
JOS.15.49	Dana, Kiriat-Sana —hau da, Debir—, 
JOS.15.50	Anab, Extemoa, Anim, 
JOS.15.51	Goxen, Holon, Gilo: hamaika hiri eta beraien herrixkak. 
JOS.15.52	Arab, Duma, Exan, 
JOS.15.53	Janum, Bet-Tapuah, Afeka, 
JOS.15.54	Humta, Kiriat-Arba —hau da, Hebron—, Tzior: bederatzi hiri eta beraien herrixkak. 
JOS.15.55	Maon, Karmel, Zif, Juta, 
JOS.15.56	Izreel, Jokdeam, Zanoah, 
JOS.15.57	Kain, Gibea, Timna: hamar hiri eta beraien herrixkak. 
JOS.15.58	Halhul, Bet-Tzur, Gedor, 
JOS.15.59	Maarat, Bet-Anot, Eltekon: sei hiri eta beraien herrixkak
JOS.15.60	Kiriat-Baal —hau da, Kiriat-Jearim— eta Raba: bi hiri eta beraien herrixkak.
JOS.15.61	Basamortuan honako hiri hauek zituzten: Bet-Araba, Midin, Sekaka, 
JOS.15.62	Mibxan, Ir-Melah, En-Gedi: sei hiri eta beraien herrixkak.
JOS.15.63	Judaren leinukoek ezin izan zituzten Jerusalemen bizi ziren jebustarrak bota. Horregatik, jebustarrak Jerusalemen bizi dira gaurdaino, Judaren leinukoen artean.
JOS.16.1	Joseren ondorengoei
JOS.16.2	Beteldik Luz hiriraino
JOS.16.3	eta hemendik mendebaldera, jafletiarren mugaz muga, Bet-Horon Azpikoraino eta Gezerreraino jaisten, Mediterraneo itsasoan bukatzeko.
JOS.16.4	Hori izan zen Joseren seme Manases eta Efraimen leinuek hartu zuten ondarea.
JOS.16.5	Hona hemen, Efraimen leinuko senitarteek harturiko lurraldearen mugak: Ekialdetik, Atrot-Adarretik Bet-Horon Goikoraino zihoan muga, 
JOS.16.6	eta Mediterraneo itsasoan bukatzen zen. Iparraldeko muga-ertza Mikmetat zen. Handik ekialdera itzultzen zen, Taanat-Silora, eta, Janoharen ekialdetik igaro ondoren, 
JOS.16.7	Atarot eta Naarata hirietaraino jaisten zen eta, Jeriko ukituz, Jordanen bukatzen. 
JOS.16.8	Tapuahen hasirik, Kana errekan zehar zihoan mendebalderantz, Mediterraneo itsasoan bukatzeko.
JOS.16.8	Hori izan zen Efraimen leinukoen ondarea, senitarteka banatua. 
JOS.16.9	Horrez gainera, Manasesen ondare barruan zenbait hiri eta beraien herrixkak ere izendatu zizkieten efraimdarrei.
JOS.16.10	Efraimdarrek ez zituzten bota Gezerren bizi ziren kanaandarrak. Horregatik, kanaandarrak haien artean bizi dira oraino, baina esklabo-lanetara beharturik.
JOS.17.1	Hona hemen Joseren seme zaharrena zen Manasesen leinuari eroritako lurralde zatia.
JOS.17.1	Makir, Galaaden aita, Manasesen seme zaharrena zen eta, gerrazalea zenez, Galaad eta Baxan
JOS.17.2	Manasesen beste sei semeen ondorengoei ere, Abiezer, Helek, Asriel, Sikem, Hefer eta Xemidaren ondorengoei, alegia, beren ondarea izendatu zieten, senitarteka banatua. Horiek ziren Joseren seme Manasesen semeak.
JOS.17.3	Tzelofhadek, ordea —Tzelofhad Heferren semea zen, hau Galaadena eta hau Manasesen seme Makirrena—, ez zuen semerik izan, alabak baizik; alaben izenak Mahla, Noa, Hogla, Milka eta Tirtza ziren.
JOS.17.4	Emakume haiek Eleazar apaizarengana, Nunen seme Josuerengana eta herriko arduradunengana joan eta esan zieten: «Guri ere gure senideei bezala ondarea emateko agindu zion Jaunak Moisesi». Orduan, Jaunaren aginduaren arabera, ondare-zatia eman zieten beren aitaren anaiei bezala.
JOS.17.5	Beraz, Manasesen leinuari hamar zati egokitu zitzaizkion Jordanez mendebaldera, Jordanez beste aldera zituen Galaad eta Baxan lurraldeez gainera. 
JOS.17.6	Izan ere, Manasesen emakumezko ondorengoek beren ondarea hartu zuten, gizonezkoek bezala, eta Galaad lurraldea Manasesen beste ondorengoentzat izan zen.
JOS.17.7	Manasesen lurraldearen muga, Axerren hasi eta Sikemen aurrean dagoen Mikmetatera zihoan; handik hegoaldera jarraitzen zuen, En-Tapuah aldera. 
JOS.17.8	(Tapuah inguruko lurraldea Manasesen leinukoena zen, baina Manasesen muga-ertzean zegoen Tapuah hiria bera efraimdarrena zen). 
JOS.17.9	Gero, Kana errekaraino jaisten zen muga. Errekaz hegoaldeko hiriak Efraimen leinuak Manasesen lurraldean zituenak ziren. Manasesen muga errekaren iparraldeko ertzetik zihoan eta Mediterraneo itsasoan bukatzen zen. 
JOS.17.10	Efraim hegoaldera zegoen eta Manases iparraldera, bien muga mendebaldera itsasoa zelarik. Ipar-mendebaldera Manasesen lurraldeak Axerrenarekin zuen muga, eta ipar-ekialdera Isakarrenarekin. 
JOS.17.11	Isakar eta Axerren lurralde barruan, honako hiri hauek Manasesenak ziren: Bet-Xan eta Ibleam beraien herrixkekin, eta Dor, Endor, Taanak eta Megido, beraietako bizilagun eta herrixkekin
JOS.17.12	Baina manasestarrek ezin izan zituzten hiri haietako bizilagunak bota, eta kanaandarrek jarraitu zuten bertan bizitzen. 
JOS.17.13	Israeldarrek, indartsuago egin zirenean, esklabo-lanetara behartu zituzten kanaandarrak, baina ezin izan zituzten handik egotzi.
JOS.17.14	Joseren ondorengoek esan zioten Josueri:
JOS.17.14	—Zergatik eman diguzu lurralde-zati bakarra, gu hain herri ugaria izanik? Izan ere, Jaunak bedeinkatu egin gaitu orain arte.
JOS.17.15	Josuek erantzun zien:
JOS.17.15	—Hain herri ugaria bazarete eta Efraimgo mendialdea estuegia iruditzen bazaizue, igo zaitezte oihanera eta soildu periztarren eta refatarren lurraldea.
JOS.17.16	Haiek ihardetsi zioten:
JOS.17.16	—Mendialdea ez dugu aski; gainera, lautadako kanaandarrek burdinazko guda-gurdiak
JOS.17.17	Orduan, esan zien Josuek Efraim eta Manasesen leinuetakoei, Joseren ondorengoei:
JOS.17.17	—Herri ugaria eta oso indartsua zarete, bai. Ez duzue lurralde-zati bakarra izango, 
JOS.17.18	mendialdea zuena izango baita. Nahiz eta baso hutsa den, soildu egingo duzue eta zuena izango da alde batetik bestera. Gainera, kanaandarrak ere botako dituzue, nahiz eta burdinazko guda-gurdiak dituzten eta indartsuak diren.
JOS.18.1	Lurralde osoa menderatua zutelarik, israeldarren elkarte osoa Xilon
JOS.18.2	Artean, israeldar zazpi leinu gelditzen ziren beren ondare-zatia hartzeko. 
JOS.18.3	Josuek esan zien israeldarrei: «Zeren zain zaudete Jaunak, zeuen arbasoen Jainkoak, eman dizuen lurraldeaz
JOS.18.4	Aukeratu leinu bakoitzeko hiru gizon eta lurraldea inguratzera bidaliko ditut, ondare-banaketarako lurraldearen planoa egin dezaten. Ondoren, niregana itzuliko dira. 
JOS.18.5	Zazpi zatitan banatuko dute lurraldea, Judaren leinuak bere lurraldean, hegoaldean, jarraituko duelarik, eta Joseren ondorengoek berenean, iparraldean.
JOS.18.6	Egin lurraldearen planoa, zazpi zatitan banatuz, eta ekarri niri. Nik hemen, Jaunaren, gure Jainkoaren, aurrean, zotz egingo dut. 
JOS.18.7	Lebitarrek ez dute lurralde-zatirik izango besteok bezala, beraien ondarea Jaunaren apaiz izatea baita. Gaden eta Rubenen leinuek eta Manasesen leinu erdiak, berriz, hartua dute beren ondarea Jordanez beste aldera, ekialdera, Moisesek, Jaunaren zerbitzariak, emanik».
JOS.18.8	Lurraldearen planoa egin behar zuten gizonei, abiatzerakoan, Josuek agindu hau eman zien: «Zoazte, ibili lurraldean barna eta egizue bertako planoa. Gero, itzuli niregana eta nik hemen, Xilon, Jaunaren aurrean, zotz egingo dut».
JOS.18.9	Joan ziren, bada, gizon haiek, lurraldea zeharkatu eta marraztu zuten planoa, hirien arabera lurraldea zazpi zatitan banatuz. Gero, Josuerengana itzuli ziren, Xiloko kanpalekura.
JOS.18.10	Josuek zotz egin zuen Xilon, Jaunaren aurrean, eta lurraldea banatu zien israeldarrei, prestaturiko zati-banaketaren arabera.
JOS.18.11	Zotz egin eta Benjaminen leinuari
JOS.18.12	Haren muga, iparraldetik, Jordanen hasten zen, Jerikoren iparraldeko saihetsetik igo eta, mendialdetik mendebalderantz jarraituz, Bet-Aben basamortura heltzen zen. 
JOS.18.13	Handik Luz hirira jotzen zuen, Luzen —hau da, Betelen— hegoaldetik igaroz, eta gero Bet-Horon Azpikoaren hegoaldean dagoen mendian barrena, Atrot-Adarrera jaisten zen. 
JOS.18.14	Mendebaldetik, mugak norabidea aldatu eta Bet-Horonen aurrean dagoen menditik hegoalderantz hartzen zuen, Kiriat-Baal edo Kiriat-Jearim hiriraino helduz. Hiri hau Judaren leinukoa zen. Hau zen Benjaminen leinuaren mendebaldeko muga.
JOS.18.15	Hegoaldean mugak, Kiriat-Jearimen hasi eta Iim aldera jotzen zuen, Neftoah errekastoaren iturbururaino helduz. 
JOS.18.16	Gero, Ben-Hinom haranaren aurreko mendiaren ertzeraino jaisten zen, refatarren lautadaren iparraldera, eta, Ben-Hinom haranean behera, jebustarren hiria zegoeneko mendi-hegiaren hegoaldetik igaroz, En-Rogeleraino heltzen zen. 
JOS.18.17	Handik iparralderantz bihurtzen zen, En-Xemex eta Adumimerako aldapa parean dagoen Gelitotera heltzeko. Gero, Rubenen seme Bohan-en Harkaitzera jaisten zen. 
JOS.18.18	Handik, Araba haranera begira, iparraldera dagoen maldan behera, Araba haranera jaisten zen, 
JOS.18.19	eta, Bet-Hoglaren iparraldeko malda igaroz, Itsaso Hilera heltzen zen, Jordan ibaia itsasoratzen den lekuan. Hau zen Benjaminen leinuaren hegoaldeko muga. 
JOS.18.20	Ekialdeko muga Jordan ibaia zen.
JOS.18.20	Horra, bada, Benjaminen leinukoei senitarteka banaturiko ondarearen mugak.
JOS.18.21	Benjaminen leinuko senitarteek honako hiri hauek zituzten: Jeriko, Bet-Hogla, Emek-Ketzitz, 
JOS.18.22	Bet-Araba, Tzemaraim, Betel, 
JOS.18.23	Abim, Para, Ofra, 
JOS.18.24	Kefar-Amona, Ofni eta Geba: hamabi hiri eta beraien herrixkak. 
JOS.18.25	Gabaon, Rama, Beerot, 
JOS.18.26	Mitzpe, Kefira, Motza, 
JOS.18.27	Rekem, Irpeel, Tarala, 
