MRK.1.1	O glanapen o Evangeliester Jezus Kristusester o Devlester čaveste. 
MRK.6.34	Her ta štejes Jezus vri dikheslo but čel, ta job džiskertelo les prala lende, vel ta his len her bakerenge, kai hi len kenk beršero, ta job sikerdes len but. 
MRK.6.35	Vel ta has pale duro vejen leskr sikermangere ta phenden: Kava kunč hi fuleles ta hi nina duro. 
MRK.6.36	Mek len, ta gejen pen le ani gabia ta ani montaia, ta kinena pen len chaben, ta našte chan penle. 
MRK.6.37	Job ta rakerdes, ta phendes apa lenge: Dejen tume lenge ta chal! Jon ta phenden apa leste: Mo ta džahas koi, ta kinahas i dui šel nikelenge maro, ta me dahas lenge ta chal? 
MRK.6.38	Ta job phendes apa lenge: Keci maro hi tumen? Džan tume koi ta dikhena pale! — Ta dikhen pen les, phendenle: Panč maro ta dui mačenge. 
MRK.6.39	Ta job phendes lenge, ta bašjen penle koterende tele api zenelo. 
MRK.6.40	Ta jon mekjen penle tela hufkerende, ta šelenge ta pančmerdešenge. 
MRK.6.41	Ta job andes kola panč marenge ta kola dui mačenge, dikhes api bolepen pre, parkerdeslo ta phages o mareste ta dejes les lesker sikermangerende ta dejenpen lenge les, ta nina kola dui mačenge koterdeslo hakene vri. 
MRK.6.42	Ta jon chandena lauter džin ta hislen čalo. 
MRK.6.43	Ta jon haderden dešedui korčnica perdo koter vri. 
MRK.6.44	Kola kai chandena has panč šal romen.
MRK.6.45	Ta sik phendeslo apa lesker sikermangerenge, ta džalalen ani bero drin, ta gejenpen len pala Betsaida glan leste, ta mekjes job o čeles. 
MRK.6.46	Ta mekjeslo len, gejeslo api brego ta priservelo. 
MRK.6.47	Ta has pale duro, has o bero maškeral api baro paneste, ta job has kokeres api phub. 
MRK.6.48	Ta job dikhes, ta hilen baro butikaben i berenca vaške i bravaleste. Job vejes i štarti ratiakrsanteneleste paša lenge, job našjes api baro paneste, job kamjes gar ta džala pes pašalende. 
MRK.6.49	Her ta dikhen ta našes pes api baro paneste, bicha jon: kava hi i mulo, ta dejena baro godlo. 
MRK.6.50	Ta hakene dikhen les ta trašena. Job rakerdes sik lenca ta phendes apa lenge: Me homes! Ma trašena tume! 
MRK.6.51	Ta job gejes ani bero drin, ta o braval bašes peske, jon kerdena bare jaka an penge. 
MRK.6.52	Jon dikhene les gar drin paši mareste, vel ta hajerden les lenger dzi gar.
MRK.6.53	Her ta bertenle prala verkel, vejenle ani Genezareteskero them, ta štejenlen vri. 
MRK.6.54	Her ta štejenle drani bero vri, haslo sik prinšerdo. 
MRK.6.55	Ta jon našen pen ani kola celo themester trujum. Ta hidžerden o naselende trujal kai šunden len ta hilo. 
MRK.6.56	Kai ta cerdeslo drin ani gabia, ani montaienge ta ani foria, čidenle o nasele api drom, ta mangdes len les, ta taperdenle foni leskr ripen; ta hakene vejenle saste, kai taperden les.
MRK.7.1	Ta o Farizeare ta o livrenger sikermangerende his len paša leste ketene, kola kai vejen o Jeruzalemester. 
MRK.7.2	Her ta dikhene ta anena jekte lesker sikermangerende chaben i čikelo vastenca, čingerden len kolenge. 
MRK.7.3	Ta o Farizeare ta hake bibolde chane či, her ta thodenpen sikerder buteder kopo lenger vastenge, jon rikerdenpenle i pralabičerpeneste o phuriender. 
MRK.7.4	Nina chana len či, ta vejena api nikeleste, ta thodenpen len sikerder. Ta keake dela kome buteder vaver pedenge ta rikerenlen, kava ho muraden pen o phuriende drin: o thodopen i korenge i čarenge ta i čivenenge. 
MRK.7.5	Doleske phučenpen lester o Farizeare ta i livrenger‐sikermangere: Hoske našena tiri sikermangere i pralabičerpen o phuriender, ta chanena lenger chaben i čikelo vastenca? 
MRK.7.6	Job ta rakerdes ta phendes ape lenge: Čačo phendes Izaias tume chochepangerende her hi čindo: Kava čel patinle man o vustenca, ta lengr dzi hi duro mander. 
MRK.7.7	Lenger butikaben hi čičeske, vel ta sikerenle dženenger sikerpen ta dženenger rakerpen. 
MRK.7.8	Tume mekjena o Devlester rakerpen, ta rikerena i pralabičerpen o dženenge, i thodopen o korienge ta but vaverčandes kerene tume. 
MRK.7.9	Ta job phendes ape lenge: Šuker hadena tume o Devlesker lab pre, ta rikervena tume tumaro pralabičerpenester. 
MRK.7.10	Ta Mozes phendeslo: Mo ta pates tiro dadeste ta tiri daiake! ta: kones ta košela o dadeste ta i daiake mo ta merelo pes lo. 
MRK.7.11	Tume ta phenena: Te phenelo jekes i dadester ta i daiake: Korban! (kava hi: delapen) kai vela mander hi tuke mišto, 
MRK.7.12	keake mekene tume ta kerelo les či buter lesker dadeste ta lesker daiake. 
MRK.7.13	Ta hadene o Devlesker lab drucha tumare pralabičerpen pre, ta dejenes tume; ta keake kerena tume kome but. 
MRK.7.14	Ta job khardes komoli o čel paša leste ta phendes api lenge: Hunen mange hake ta hajvena mišto. 
MRK.7.15	Či dela ta džalo čomoni ani dženo drin, kai velo čikeles, kova kai veles drani dženes vri, kava dženes hi čikeles. 
MRK.7.16	Kova ta hi kanenge, kava hune!
MRK.7.17	Her ta gejeslo o čelester nikli ani kher phučenpen lesker sikermangerenge prala kava parnisepenester. 
MRK.7.18	Ta job phendes api lenge: Han tume nina keake dinales? Hajven tume gar? Lauter ta velo ani dženeste drin kerel les gar čikeles. 
MRK.7.19	Vel ta džala gar ano leskr dzi kai velo ani trupo drin, ta gejes pes džungalo vri kai džalo hako chaben vri. 
MRK.7.20	Kova — phendeslo — kai vela drana dženes vri, kava kerele o dženo čikeles. 
MRK.7.21	Ta maškeral drani dzi o dženender vejena i midžike panderpen, biabesker phagerpen, luvakanengerende, 
MRK.7.22	merapen, čorepen, bokholepen, godsverepen, chochepen, ladžmerdunopen, nakbele jakenge, čingerpen, givezipen, dinelepen. 
MRK.7.23	Kava lauter midžiko vela drani vri ta kerelo čikelo dženes.
MRK.7.24	Ta job kerelo peslo pre ta gejeslo ani them o Tirusester. Ta job gejes ani kher, ta kamieleslo ta veleslo gar hajerdo; job našte ta garaveleslo les gar. 
MRK.7.25	Her ta hundes i romni, lester lakr čai has i čikelo mulo, vejesli sik ta pejesli les api pirenca. 
MRK.7.26	Kava romni has i vaver themester, drana Zirofenicia khereduno. Ta joi mangdesli les, ta tradelo job o benges drani lakr čai nikli. 
MRK.7.27	Ta job phendes api late: Mek sikeder ta vena o čavende čalo, ta hi gar mišto, ta anena o maro i čavende ta vicerenas o džuklenge glan. 
MRK.7.28	Joi ta rakerdes ta phendesli apa leste: Aua rai! Ta nina i džuklenge chane tele chamaskero o čavenger mareste. 
MRK.7.29	Ta job phendes api late: Vaške kava labeste kamaues; dža koi! O beng hi nikli tiri čater. 
MRK.7.30	Her ta vejesli ani lakr kher, hacjes lakr čai ap o čiven bašlo, ta o beng has later nikli.
MRK.7.31	Ta job gejes kome nikli i themender o Tirusester ta vejeslo drucho Sidon i galileo baro paneste maškeral ani themes o deš foriender. 
MRK.7.32	Jon andena i koralo laleskero paša leste ta mangjen les, job ta mekelo leskr vast apo leske pašlo. 
MRK.7.33	Ta job andes les i čelender api rik, špildes lesker gušt beli drani leskr kanenge drin, ta taperdes lesker čib i čungerpeneste, 
MRK.7.34	dikhes api bolapen pre, ta phendes apo leste: Efata! kava hi: Ker tuke pre! 
MRK.7.35	Ta lesker kan has len sik piro, ta o dori leskr čibester has nikli, ta job rakerdes mišto. 
MRK.7.36	Ta job phendes lenge, mo ta phenen len les kenkes. Her buteder phendes job lenge les, her buteder rakerden len les vri. 
MRK.7.37	Ta her buteder kerden pen bare jaka ta phenden: Job kerela lauter lačo! Job kerelo ta hunen o korelenge ta rakerden o lalerende.
MRK.8.1	An kola divese kai has kome but čel ketene ta len has či ta chal, khardeslo lesker sikermangerende ketene ta phendeslo ape lenge: 
MRK.8.2	Man kaiela o čeles; dikhena, trin divese rikeren pen paša mande vri, ta hi len či ta chal. 
MRK.8.3	Ta mekau len ta džan penge bokheles pali khereste, pala merena api drom; buteder lenge vejenes duralester. 
MRK.8.4	Lesker sikermangerende rakerden lehe: Kater našte ta vel jekes ani fulelo them maro ta chan penle? 
MRK.8.5	Ta job phučjes lenge: Keci maro hi tume? — Jon phendena: Efta. 
MRK.8.6	Ta job phendes api čeleske, ta bašen pen len api phub tele: Pala andeslo kala efta marenge, parkerdes, phagerdesla, ta dejesla lesker sikermangerende ta čiden les glan, ta jon čiden o čeleske glan. 
MRK.8.7	Len his nina jekender mačenge, ta job bachtelo nina kala ta mekjes ta čidenle len glan. 
MRK.8.8	Ta jon chanden džin ta has len čalo; ta jon haderden i marenger koter pre, efta korčnica perdo. 
MRK.8.9	Kola kai chanden has štarmerdeššal; ta job mekjes len.
MRK.8.10	Pala gejeslo lesker sikermangerende ani bero drin, ta vejes ani them o Dalmanutester. 
MRK.8.11	O Farizearia vejen pen ta čingerden len peske. Jon kamena ta dikhena i boto o bolopeneste lester, ta jon midžerden les. 
MRK.8.12	Job ta haderdes pes ani šero ta phendes: Hoske kamela kaua čel i boto? Čačo me phenau tumen, kava čel vel gar kenk boto. 
MRK.8.13	Ta job mekjen len, štejes kome ani bero drin ta gejes prala verkel.
MRK.8.14	Ta jon bisterden ta lejen pen maro, len has ger buteder her jek maro paša lende ani bero. 
MRK.8.15	Ta job rakerdes lenge ta phendes: Dikhene ta rakene tume glane šutesker‐biblo o Herodeseske. 
MRK.8.16	Pala biche jon ta phenden vaverkend: Kava hi, kai hi men kenk maro. 
MRK.8.17	Her hajerdes Jezus kava, phendeslo ape lende: Kaidene tume, vel ta hi tumen kenk maro? Hajvene les tume kome gar? 
MRK.8.18	Hi tume kome džiskerdo? Tume hi jaka ta dikhena či? Tume hi kan, ta hunena či, ta hi tumen gar hajerdo, 
MRK.8.19	kai phagjomes kola panč marenge i pančšalester, keci korčnica pherdo koter haderden tume pre? Jon phenden apa leste: Dešedui. 
MRK.8.20	Ta phagerdomes kola efta marenge i štaršalender, keci but korčnica pherdo koter haderden tume pre? Jon phendena apo leste: etta. 
MRK.8.21	Ta job phendes ape lende: Hajveneles tume kome gar?
MRK.8.22	Ta jon vejena pale Betsaida. Pale vela i kašiko paša leske andlo, ta mangden pen les, ta taperelo les. 
MRK.8.23	Ta job andes o kašikeskero vast, ta gejes lehe glano gab vri, čungerdes api leskre jaka, čides leskre vast apo leste ta phučes les: eka dikhelo čomoni. 
MRK.8.24	Ta job dikjes pre ta phendes: Me dikhaua o dženenge ta našen penge her i rukia. 
MRK.8.25	Pale čideslo leskre vast komoli api leskre jaka: ta job dikjes zorelo, les has kome sasto ta dikhes nina duralester lauter mišto. 
MRK.8.26	Ta job bičerdes les pala khereste ta phendes: Ta vehas ani gab drin, pala phene les kenkes.
MRK.8.27	Jezus ta gejes lesker sikermangerender nikli an i gabende o Cezarea Filipi. Api drom phučeslo lesker sikermangerende ta phendes ape lenge: Ho phenena o gadžende, kon hom me? 
MRK.8.28	Jon rakerden ta phenden: Johanes o boldomaskero, ta vaver: Elias; ta kome vaver: Jekes i profetenge. 
MRK.8.29	Pala phendeslo ape lenge: Ho phenen tume, kones hom me? Petrus rakerdes ta phendes apo leste: Tu hal Christus. 
MRK.8.30	Job preterdes len ta phenena kenkes či lester.
MRK.8.31	Ta job sikerden len pralduno, ta hunte štelo o dženenger čavo but vri o phuriender, baro rašaiender, livrosikermangerender, velo praserdo, vela merdo, ta hunte štejeslo pala trin dives papele pre. 
MRK.8.32	Ta job rakerdes kava lab piro. Pala andes les Petrus api rik, ta mangdeslo les, ta rakerelo gar keake. 
MRK.8.33	Job ta riserdes pes drumo leste, dikhes ape lesker sikermangerende, preterdes o Petruses ta phendes: Dža pala mande, satan! Tu hajeve kava gar ho Devleske hi, foni kava kai hi o dženenge. 
MRK.8.34	Pala khardeslo o čeles ta lesker sikermangerende ketene ta phendes ape lende: Kon kames ta našes mange pale, kova phučes či paleste, ta ane lesker trušul apo leste, ta našes mange pale. 
MRK.8.35	Kones kai kamela lesker džiben, kava našerelo les, kava ta našerela lesker džiben vaške mange ta o evangeliester, kova rikervela pes les. 
MRK.8.36	Ho hi pala, ta vel o dženo o celo phub, ta lesker mulo hi dukhedo (nikli)? 
MRK.8.37	Ho našte del o dženo, ta mekelo lesker mulo papele drin? 
MRK.8.38	Kova kai ladželo pes mander ta mire labenge glano kava luvakanenger ta došadiko čeles, koles ta ladželo pes nina o dženenger čavo, ta velalo ani baro kovmaster lesker dadeske ta i dulo englenca. 
MRK.8.39	Ta job phendes ape lenge: Čačo me phenau tumenge, dela jekte tela kalen kai hi kate tarde, ta sungena o merapen gar, džin ta dikhena ta velo o Devlesker them ani leskr zorelopen.
MRK.9.1	Ta pala šob divesenge andes Jezus o Petruses, Jakobuses ta Johaneses paša leste ta gejes lenca kokeres paš i rik api baro brego. 
MRK.9.2	Pala vejeslo vaverčandes glana lende. Leskr kola vejena šuker, parnes her jib, keake našte kerelo kenk valkaro api phub parnes. 
MRK.9.3	Pala vejen Elias o Mozesester; ta kale rakerden o Jezusester. 
MRK.9.4	Pala andes Petrus o lab ta phendes api Jezuseste. Sikerpaskerrai, hi lačo, ta ham kai; me kamahas, ta kerahas drin tikne kherenge, tuke jek, o Mozeseste jek, ta o Eliaseste jek. 
MRK.9.5	Ta job džandes gar, ho phendeslo, vel ta has len dar. 
MRK.9.6	Pala vejes i felešnodi prala lende, ta drani felešnodi vejes i bašo ta phendes: Kava hi miro kamlo čavo; hunena apo leste! 
MRK.9.7	Ta sik, ta dikhen len trujum, dikhen pen kenkes buter her o Jezus kokeres paša lende. 
MRK.9.8	Her ta gejenle o bregester tele, phendeslo lenge, mo ta phenena kenkes ho ta dikhen pen tume, džin ta hi o dženenger‐čavo i mulender pre štardo. 
MRK.9.9	Ta jon rikerden kava kova paša lende, ta phučen pen tele ketene, ho kava hi: džin ta hi lo i mulender preštardo. 
MRK.9.10	Ta jon phučen les ta phenden: O livro‐sikermangerende phenena: Elias hunte džala sikerder? 
MRK.9.11	Job rakerdes ta phendes apo lende: Elias vela sikerder ta kerelo lauteres kome lačo; her hi nina i dženenger čaveste čindo, job štela but vri, ta hunte veles praserdino. 
MRK.9.12	Ta me phenau tumenge: Elias ta vejes kai hi lester čindo, ta jon kerden leha ho kamjen len.
MRK.9.13	Ta vejeslo lesker sikermangerender dikheslo but čel drumo lende, ta rakerden lenca o sikermangerende. 
MRK.9.14	Keake sik, ta dikhes o celo čel Jezuses, štoken pen le, našenle kater, ta parkerden les. 
MRK.9.15	Ta job phučes len: Hoveske čingerena tume vaverkend? 
MRK.9.16	Pala rakerdes jek drani čeles ta phendes: Sikerpaskerrai me andom miro čavo paša tute, les hi i lalero mulo. 
MRK.9.17	Ta kai tapereles ha, vicerelo les tele; job čungeralo, ta kniršelo lesker dandenge, ta vela nina sano. Te me phendom tire sikermangerende, ta traden pen les vri, jon ta naštena gar. 
MRK.9.18	Pala rakerdeslo lenge ta phendes: Tume bipacepenenge! Her raha mo ta ačaues paša tumende? Her raha hunte hidžeraues kome tume? Anena les kate mande. 
MRK.9.19	Ta jon anden les kote. Ta keake sik dikheslo les, grotldes pes o mulo; ta job pejes api phub ta vargltes pes lo čungeles. 
MRK.9.20	Pala phučeslo leskr dadeste: Her raha hi, ta gejes leske kova? Kava ta phendes: Siter i čavengerciriester. 
MRK.9.21	But kopo vicerdeslo les ani jak ta ani pani, ta marenpen les. Ta kamehas tu, pala vehas džiskerpen mender, ta hilderve mender! 
MRK.9.22	Jezus ta phendes apo leste: Ta našte pacehas tu! Kon paces, koles vela ha hilderdo. 
MRK.9.23	Ta sik khardes o dad i čavester, rondes ta phendes: Me pacaua, rai; hilder miro bipacapenes! 
MRK.9.24	Ta dikhes Jezus, ta našjes o čel ketene, preterdeslo i čikalo mules ta phendes apo leste: Tu korelo ta lalero mulo, me phenau tuke: dža drani lesker nikli, ta ve kome gar ani leske. 
MRK.9.25	Pala dejeslo godlo, grotltes peslo ta gejes vri, ta job has her mulo, keake ta phenden buteder: Job hi merdo. 
MRK.9.26	Jezus taperdes les paši vast, ta job štejes pre. 
MRK.9.27	Her ta gejeslo ani kher drin, phučen pen les kokeres: Hoske ta našte tradervehas men les gar vri? 
MRK.9.28	Ta job phendas apo lende: Kava kova našte ta vela drucha či traderdo her druchi priserpen.
MRK.9.29	Ta jon gejen pen kater nikli ta vejena druchi Galilea; job kamjes gar, ta džanelales čomoni. 
MRK.9.30	Job sikerdes lesker sikermangerende ta phendes apo lende: o dženenger čavo vela ani vast o dženenge, ta drin dives pala lesker merepen vela preštardo. 
MRK.9.31	Jon hajerden kava lab gar, ta daren pen len ta phučen les.
MRK.9.32	Ta jon gejena pala Kapernaum. Her ta hi len khere, phučeslo len: Hoveske rakerden tume apo drom? 
MRK.9.33	Jon ta phenden či; jon čingerden pen vaverkend api drom, komes hi o bareder tela lende. 
MRK.9.34	Pala bešeslo peske tele, khardes kola dešduienge ta phendes apo lende: Ta kamelo jek, ta hilo glanduno, pala velo palduno hakenende ta valeto hakenender. 
MRK.9.35	Ta job lejes i čavo, čides les maškeral tela lende, lejes les ani lesker musia, ta phendes apo lende: 
MRK.9.36	Kon ta anela jekes kala čavender ani miro lab pre, anelo man pre, anela gar man pre, foni koles, kai bičerdes man.
MRK.9.37	Johanes ta phendes apo leste: Sikerpaskerrai, me dikhena jekes, kai trades ani tiro lab bengen vri, me čingdam les, vel ta kandelo men gar. 
MRK.9.38	Jezus ta phendes: Ma čingerena tume! Tela kenkes, kai kerele api miro lab i baro kovmaster, ta našte čingerelo man sik. 
MRK.9.39	Kones ta hi gar midžik apa tumen, kava hi tumender. 
MRK.9.40	Kones ta del tumen i khoro perdo pani ani miro labeste, doske vel ta hi tume o Christusester, čačo me phenau tumen, job našerela leskr plaiserpen gar. 
MRK.9.41	Kones chojela jekes kala tiknender, kai pacen len amande, koleske vela fededer, ta bladen leske i jareskeri bar an leskr men, ta veles ani baro pani vicerdo.
MRK.9.42	Ta chojela tut tiri vast, pala kure li tele; hi tuke fededer, tu ta dža banges ani hamasker džiben drin, her ta hi tut dui vastenge un ta vehes ani bengesker jak drin, ani hamasker jak, 
MRK.9.43	kai ta merela lenger kermo gar, ta o jak džala gar vri. 
MRK.9.44	Ta chojela tut tiro piro, pala kure les tele; hi tuke fededer, tu ta džahas gar mišto ani hamasker džiben drin, her ta hi tut dui pirenge un ta veles ani bengesker jak vicerdo, 
MRK.9.45	ani hamasker jak, kai ta merelo lenger kermo gar, ta o jak džala gar vri. 
MRK.9.46	Ta chojela tut tiro jak, pala cerda les vri; hi tuke fededer tu džahas jek jakester ani devlesker them drin, her ta hi tut dui‐jakenge un ta veles ani bengesker jak vicerdo, 
MRK.9.47	kai ta merelo lenger kermo gar, ta o jak džala gar vri. 
MRK.9.48	Ta hakeno vela o jakeske londo, ta hako delapen vela i loneske londo. 
MRK.9.49	O lon hi lačo; ta našerela o lon leskr zorelopen, hoveske našte ta kereles tume zorelo? Hi tumen lon an tumende, ta rikervena tume lačopen tela vaverkend.
MRK.10.1	Ta job kerdes peslo kater vri, ta vejes ani them o Judester i vaver rik o Jordaneste. Ta o čel vejes papele paša leste ketene, ta job sikerdes len komoli, her his lo sikelo. 
MRK.10.2	Pala vejena o Farizearia kate, ta phučen pen les: Hi i romes proserdo, ta mekelo lesker romni? 
MRK.10.3	Job rakerdes ta phendes apo lenge: Ho phendes tumen Mozes? 
MRK.10.4	Jon phenden: Mozes proserdes, ta vel i mekesker‐lil čindo, ta i romni vela meklo. 
MRK.10.5	Jezus rakerdes lender ta phendes: Vaška o džiskerpen tumaro dzienge čindeslo tumen kava rakerpen. 
MRK.10.6	Sikeder o kerepenester kerdes o devel rom ta romni. 
MRK.10.7	Doleske mekele o rom lesker dad ta lesker dai, ta ačelo paša lesker romni. 
MRK.10.8	Pala vena kala dui jek mas. Len hi gar kome dui, foni jek mas. 
MRK.10.9	Ho dejes o Devel ketene, mo ta kerela o dženo gar drana vaverkend. 
MRK.10.10	Ta i khereste phučenpen les komoli lesker sikermangerende prala kova. 
MRK.10.11	Ta job phendes apa lende: Kones kai mekela lesker romni ta leles i vaveraha, kava phagela lake i biab. 
MRK.10.12	Ta mekela i romni laker rom, ta lela i vaveres, pala phagela joi i biab.
MRK.10.13	Ta jon andene čaven paša leske, ta taperelo len. O sikermangerenge preterden kolen kai anden len. 
MRK.10.14	Her ta dikhes les Jezus vejeslo chojemen ta phendes apa lende: Mekena ta vena o čavenge manca, ta čingeren tume gar lenca, ta kolenge hi o Devlesker them. 
MRK.10.15	Čačo me phenau tumenge: kones, kai lejela o Devlesker them gar pre, her i čavo, kava vela čačepaha gar drin. 
MRK.10.16	Ta job lejes len ani leskr musia, čides lenge o vast pre ta priserdeslo prala lende.
MRK.10.17	Her ta gejeslo apo drom vri, vejes jekes, kai pejes glan leste tele, ta phučes peslo: Kamlo sikermaskerrai, ho mo ta kerau me, ta vel man o hamasker džiben. 
MRK.10.18	Jezus ta phendes apo leste: Hoske khare tu man „lačo“? Kenkes hi lačo her o Devel kokeres. 
MRK.10.19	Tu džane o rakerpen: Tu mo ta phage o biab gar, tu mo ta merehas kenkes, tu mo ta čorehas gar, tu mo ta chocherehas gar, tu mo ta patehas tiro dad ta tiri dai. 
MRK.10.20	Job ta rakerdes ta phendes apo leste: Sikermaskerrai, kava lauter rikerdomes me i ternopenester an. 
MRK.10.21	Jezus ta dikhes apo leste, kamjeslo les, ta phendes apo leste: Jek felela tuke; dža koi, bikere lauterho hi tut, ta de len o čorele, pala vei tu i barbalopen ani bolepen; pala vehe, ta dža mange pale. 
MRK.10.22	Job has dukhedo prala gova lab, ta gejes kajemen kater nikli; ta les has but kova. 
MRK.10.23	Ta Jezus dikheslo trujal ta phendes apa lesker sikermangerende: Her pharo vena kolen, kai hi len but love ani Devlesker them! 
MRK.10.24	O sikermangerenge kerdena bare jake prala lesker labenge. Jezus rakerdes komoli ta phendes apa lenge: Čave, her pharo vena kolen kai rikerenle an lenger love ani Devlesker them! 
MRK.10.25	Hi les lakoder, ta džala i divio grai druchi sibeskri‐cheb, her ta vela i bravalo ani Devlesker them! 
MRK.10.26	Jon ta šreken kome buteder ta phenden tela vaverkend: Kones našte ta vela dulo? 
MRK.10.27	Jezus dikhes len un ta phendes: Paši dženenge našte džala gar, ta paši Devleste hi lauter kerdo. 
MRK.10.28	Petrus ta phendes: Dikhehe, me mekjames lauter ta našames tuke pale. 
MRK.10.29	Jezus rakerdes ta phendes: Čačo, phenau tume, hi kenkes, ta mekelo o kher, ta o phrala, ta o phea, ta o dad, ta i dai, ta o čavenge, ta o phub vaške mange ta o sastobičerpeneste (evangelieste), 
MRK.10.30	kai vela peske gar šelkopo, kana an kava ciro kherenge ta phralenge ta phenenge, ta daienge ta čavenge ta phubenge tela čingerpenester, ta ana velociro phub (šveto) o hamaster džiben. 
MRK.10.31	But o erstender vena o paldunender ta but o paldunender vena i erstenender.
MRK.10.32	Jon gejene api drom pre pale Jeruzalem; Jezus gejes glane lende, jon ta našen pen les trašerdo pale, ta kerden bare jaka. Ta job andes papele kola dešdujenge paša leste, ta phendeslo lenge ho vela prala leste. 
MRK.10.33	Dikhehe me džahas pre pala Jeruzalem, ta o dženenger čavo vel kola barerašaiende, ta livrosikermangerende, ta phuriende praldeto; jon marenpenles ta delpen les o biboldenge (gadženge). 
MRK.10.34	Ta kola prasenpen les ta čungeren les an, ta kuren les ta maren les; ano trinto dives velo papele preštardo.
MRK.10.35	Pala štakerena Jakobus ta Johanes, čave o Zebedeusester, paše leste ta phenden: Sikerpaskerrai, me kamahas tu kere men, ho mangahas men tuter. 
MRK.10.36	Job ta phendes apo lenge: Ho kamena tume, ta me keraues tume? 
MRK.10.37	„De men, ta bešahas jekes tiro čačo rikeste, ta jekes tiro zerbo rikeste ani tiro railapen.“ 
MRK.10.38	Jezus ta phendes apo lenge: Tume džanena gar, ho mangenes tume. Našte piahas tume o khoro kai piau me? ta vel tume kola boldopeneste boldo kai vel me boldo? 
MRK.10.39	Jon ta phenden apo leste: Men našte les. Jezus ta phendes apo lenge: Tume piahas kova khoro kai piau me, ta kola boldopeneste vel tume boldo, kai vel me boldo. 
MRK.10.40	Ta o bešapen miri čačeske ta miri zerbeske, štela gar paša mande ta daues tume, foni kolen kai hi les kerlo. 
MRK.10.41	Her ta hunden kava kola deš, vejenle chojemen prala Jakobus ta Johanes, 
MRK.10.42	Jezus ta khardes len paša leste ta phendes apo lenge! Tume džanena, ta kolen kai vena her raien o čelenge andikhamen, ta kerden pen le bares prala lende, ta lenger bare kerden lenger rušapen (oder zor) prala lende vri. 
MRK.10.43	Gar hi keake tela tumende, foni kon ta kamel ta vela bares tela tumende, vela tumaro valeto, 
MRK.10.44	ta kon kamel ersto tela tumende, velo hakenender valeto. 
MRK.10.45	Ta nina o dženenger‐čavo vejes gar ta butikeren pen les, foni ta butikerelo job ta delo lesker džiben i mekapeneske o butender.
MRK.10.46	Ta jon vejena pale Jericho. Her ta cerdeslo lesker sikermangerende ta i baro hufka čeleske i Jerichester vri, bešes o čavo o Timester, Bartimeus, o kašiko apo drom ta mangjeslo. 
MRK.10.47	Her ta hundeslo, Jezus ta hi, o Nazarenaro (Nazareteskero) dejeslo godlo ta phendeslo: Jezu tu čavo o Davidester, hi mange lačo! 
MRK.10.48	Ta but preterden les, ta mo hilo pokoni. Job ta dejes kome buteder godlo: Tu čavo Davidester, hi mange lačo. 
MRK.10.49	Jezus ačes tardo ta phendes: Kharen les kai. Ta jon khardena kova kašikeske ta phenden apo leste: Hal džiskero, šte pre, job kharela tut! 
MRK.10.50	Pala vicerdeslo lesker ripen nikli, štejes pre, vejes pašo leste. 
MRK.10.51	Ta Jezus rakerdes pašo leste: Ho kamehe, ta mo kerau me tuke? O kašiko ta phendes apo leste: Rabuni ta veles ta dikhau me! 
MRK.10.52	Ta Jezus phendes apo leste: Dža tuke, tiro pacepen hilderdes tuke! Ta sik dikheslo, ta našes peske pale api drom.
MRK.11.1	Her ta vejen paši Jeruzalem ta Bethanien o džetesker bregeske, bičerdes job dui lesker sikermangerende nikli, 
MRK.11.2	Ta phendes apo lenge: Džan tume ani gab, kai bašela glan tumende; ta keake sik, kai vena tume an peske drin, hacena tume i burika anbandelto, kai bešes kenk dženo apo leste; bandena les nikli ta anena les. 
MRK.11.3	Ta phenehas tume jekes: Ho kerena tume? pala phenen: O rai kamelo les! ta sik bičerelo les kater palel. 
MRK.11.4	Ta jon gejena koi, ta hacjen o burika anbandelto glano vuder, an o drom vri; ta jon bandelten les nikli (tele). 
MRK.11.5	Ta buteder kolender, ta hi kate tarde, phenden apo lenge: Ho kerena tume, ta bandena tume o burika nikli? 
MRK.11.6	Jon ta phenden, her phendes lenge Jezus, pala mekjenlen jon. 
MRK.11.7	Pala anden jon o burika o Jezuseske; ta jon čiden lenger ripen pralpre, ta job bešes peske apo leste. 
MRK.11.8	But ta čiden penger ripen apo drom, vaver kurdena patria o rukender tele ta vicerden len apo drom. 
MRK.11.9	Ta kolen kai gejen glan vri, ta kolen kai vejen pale, dejen godlo ta phenden: Hoziana. 
MRK.11.10	Priserdo hi kava kai vela ani lab o raieste; priserdo hi o them maro dadester David, kai veles; Hoziana ano pralopen! 
MRK.11.11	Ta job cerdes drin pale Jeruzalem ani kangeri; job ta dikhes peske lauteres an, gejeslo, vel ta hi o koro duro pala Bethanien o dešeduiender vri.
MRK.11.12	O vaver dives kai gejen len o Bethaniester vri has lo bokheles. 
MRK.11.13	Her ta dikheslo duralester i gibesterruk kai has lo patria, gejeslo koi, ta hacelo čomoni an leske; her ta gejeslo koi haceslo či her patria, has gar kome gibester ciro. 
MRK.11.14	Jezus ta phendes apo leste: Gar kome chala jekes i gib tuter ani hamaskeri! Ta leskr sikermangerende hunden les.
