MAT.1.1	Detta är förfäderna till Jesus Kristus
LUK.13.3	Nej! Men jag försäkrar er, att om ni inte lämnar synden och vänder om till Gud, så ska ni också mista livet
LUK.13.4	Och hur var det med de 18 människor som dog när tornet i Siloa föll över dem? Var de större syndare än alla andra i Jerusalem? 
LUK.13.5	Nej! Men jag försäkrar er, att om ni inte lämnar synden och vänder om till Gud, så ska ni också mista livet."
LUK.13.6	Sedan berättade Jesus en bild för att illustrera detta. Han sa: "En man planterade ett fikonträd i sin trädgård. Och med jämna mellanrum kom han för att se om det fanns någon frukt på det, men han blev alltid lika besviken. 
LUK.13.7	Till sist bad han sin trädgårdsmästare att hugga ner trädet. 'Jag har väntat i tre år, och det har inte blivit ett enda fikon på det!' sa han. 'Det är bättre att jag planterar något annat där istället.' 
LUK.13.8	Men trädgårdsmästaren bad: 'Herre, ge det en chans till. Låt det stå kvar, så ska jag sköta om det och ge det ordentligt med gödning. 
LUK.13.9	Kanske blir det fikon på det nästa år. Om inte, så hugger jag ner det då.' "
LUK.13.10	En vilodag
LUK.13.11	fanns där en kvinna som var handikappad på grund av en ond ande. Hon hade gått framåtböjd i 18 år, och kunde inte räta på ryggen.
LUK.13.12	När Jesus fick se henne, kallade han på henne och sa: "Kvinna, du är fri från din sjukdom!" 
LUK.13.13	Sedan la han händerna på henne, och genast rätade hon på ryggen och började hylla Gud.
LUK.13.14	Men synagogföreståndaren blev arg över att Jesus botade henne på vilodagen. "Det finns sex dagar i veckan då man får arbeta", sa han till folket. "Ni kan komma och bli botade på dem, men inte på vilodagen!"
LUK.13.15	Då svarade Jesus: "Ni falska människor som bara låtsas lyda Gud! Finns det en enda av er här som inte arbetar på vilodagen? Ni löser ju era oxar och åsnor från krubban och leder ut dem och ger dem vatten? 
LUK.13.16	Men här har vi en judisk kvinna som Satan hållit bunden i 18 år, och så vill ni hindra henne från att bli löst från sin plåga bara för att det är vilodag!"
LUK.13.17	Det fick hans fiender att skämmas, men folket gladde sig över de stora under han gjorde.
LUK.13.18	Sedan sa Jesus: "Hur blir det där Gud regerar
LUK.13.19	Jo, det blir som när en man sår ett litet senapsfrö i en trädgård. Det växer och blir ett träd, och fåglarna bygger bo bland grenarna. 
LUK.13.20+LUK.13.21	Där Gud regerar blir det också som när en kvinna blandar in jäst i degen då hon bakar. Hon tar lite jäst och blandar in den i en stor mängd mjöl och arbetar ihop degen. Sedan påverkar jästen hela degen."
LUK.13.22	På sin väg mot Jerusalem gick Jesus genom olika städer och byar och undervisade. 
LUK.13.23	Jesus sa då till folket: 
LUK.13.24	"Den som vill bli räddad måste gå in genom den trånga porten. Gör därför allt för att komma in genom den. Sanningen är, att många ska försöka men inte lyckas. 
LUK.13.25	Och när husets herre väl har stigit upp och låst porten är det för sent. Om ni då står utanför och bankar och ropar: 'Herre, öppna för oss!' så ska han svara: 'Jag känner er inte.'
LUK.13.26	Kanske säger ni då: 'Men vi har ju ätit och druckit tillsammans med dig. Och du gick omkring på våra gator och undervisade!'
LUK.13.27	Men han ska svara: 'Har jag inte redan sagt att jag inte känner er eller vet varifrån ni är! Försvinn härifrån, ni onda människor!'
LUK.13.28	Ja, ni ska gråta av ångest och förtvivlan när ni blir utestängda från Guds nya värld
LUK.13.29	Och människor ska komma från jordens alla länder och vara med på festen i Guds nya värld
LUK.13.30	Då ska de som idag har låg status vara bland de främsta, medan andra, som idag är betydelsefulla, måste hålla sig i bakgrunden."
LUK.13.31	Just då kom några fariseer
LUK.13.32	Jesus svarade: "Hälsa den räven att jag driver ut onda andar och botar sjuka idag och imorgon, och att jag på den tredje dagen når mitt mål. 
LUK.13.33	Ja, idag, imorgon och i övermorgon måste jag fortsätta min vandring, för en profet som framför Guds budskap kan inte bli dödad någon annanstans än i Jerusalem.
LUK.13.34	Åh, ni Jerusalems invånare, som mördar profeterna och stenar andra som Gud sänder till er med sitt budskap.
LUK.13.35	Nu får ni själva ta hand om ert tempel. Ja, jag säger er, att ni kommer inte att få se mig igen förrän ni säger: 'Vi ärar dig som är sänd av Herren.
LUK.14.1	En vilodag
LUK.14.2	eftersom det fanns en man där som led av svår svullnad i kroppen. Plötsligt ställde sig mannen framför Jesus. 
LUK.14.3	Och Jesus vände sig då till fariseerna och de laglärda
LUK.14.4	Men de vägrade att svara. Då rörde Jesus vid den sjuka mannen och botade honom och lät honom gå.
LUK.14.5	Sedan sa han till dem: "Hur gör ni själva på vilodagen? Om någon av er har ett barn eller kanske en oxe som ramlar i en brunn, drar ni då inte genast upp dem, även om det skulle råka vara vilodag?"
LUK.14.6	Men det kunde de inte svara på.
LUK.14.7	När Jesus såg att alla gästerna försökte hamna så nära värden som möjligt när man skulle slå sig ner vid bordet, gav han dem det här rådet: 
LUK.14.8	"Om du blir bjuden på bröllop så sträva inte efter att få den främsta platsen. Det kan ju komma någon som är mer respekterad än du, 
LUK.14.9	och då kommer värden och säger: 'Kan du vara snäll och lämna din plats åt den här personen.' Då måste du generad söka upp en plats längst ner vid bordet.
LUK.14.10	Gör istället så här. Välj en plats längst ner. När värden då ser dig kanske han säger: 'Min vän, det finns en bättre plats här framme för dig!' Då kommer du att bli hedrad inför alla de andra gästerna. 
LUK.14.11	För den som upphöjer sig själv ska bli förödmjukad, men den som ödmjukar sig själv ska bli upphöjd." 
LUK.14.12	Sedan vände Jesus sig till farisén som hade bjudit in honom, och sa: "När du bjuder till fest, så bjud inte dina vänner eller syskon eller släktingar eller rika grannar, för då blir din enda belöning att de bjuder tillbaka. 
LUK.14.13	Nej, bjud istället de som är fattiga och handikappade, förlamade och blinda. 
LUK.14.14	Eftersom de inte kan bjuda tillbaka, ska Gud då belöna dig den dag han uppväcker de döda och belönar dem som har följt hans vilja."
LUK.14.15	En man som var med vid bordet och hörde detta, utropade då: "Lycklig är den som får komma till festen i Guds nya värld
LUK.14.16	Då svarade Jesus med en berättelse. Han sa: "En man ordnade en stor fest och bjöd in många gäster. 
LUK.14.17	När det sedan var dags för festen sände han iväg sin tjänare till de inbjudna för att säga: 'Allt är klart, välkomna till festen.' 
LUK.14.18	Men alla kom med ursäkter. En sa: 'Jag har just köpt en åker och måste gå och inspektera den. Förlåt att jag inte kan komma!' 
LUK.14.19	En annan sa: 'Det går tyvärr inte. Jag har just köpt fem par oxar och vill se vad de duger till.' 
LUK.14.20	En tredje bad om ursäkt och sa: 'Jag har just gift mig. Du förstår säkert att jag inte kan komma.'
LUK.14.21	När tjänaren efter ett tag kom tillbaka och berättade vad de hade sagt, blev hans herre arg och befallde honom att genast gå ut på alla gator och gränder i hela staden och hämta fattiga och handikappade, blinda och förlamade. 
LUK.14.22	Men tjänaren kom tillbaka och sa: 'Herre, jag har gjort som du befallde, men det finns fortfarande platser kvar.'
LUK.14.23	Då sa mannen till sin tjänare: 'Gå ut överallt på vägar och stigar och uppmana alla att komma, så att mitt hus blir fullt. 
LUK.14.24	Men jag säger er, att ingen av dem som jag bjöd första gången ska få vara med på festen.' "
LUK.14.25	Jesus var omgiven av stora mängder människor, och han vände sig till dem och sa: 
LUK.14.26	"Den som kommer till mig måste älska mig mer än något annat, mer än föräldrar och fru eller man och barn och syskon, ja, till och med mer än livet självt, annars kan han inte vara min efterföljare.
LUK.14.27	Den som inte följer mitt exempel och är beredd att dö kan inte vara min efterföljare.
LUK.14.28	Ni måste beräkna kostnaden. Låt mig förklara med en bild: Om någon av er vill bygga ett torn, sätter han sig då inte ner först och räknar ut om han har tillräckligt med pengar för att avsluta bygget? 
LUK.14.29	Jo, självklart, annars kanske han inte kommer längre än till grunden, och då blir han utskrattad. 
LUK.14.30	'Titta på den där mannen', kommer folk hånfullt att säga. 'Han började bygga, men pengarna tog slut innan han var färdig!'
LUK.14.31	Tänk er också bilden av en kung som tänker dra ut i krig mot en annan kung. Sätter han sig inte först ner och funderar på om hans armé med 10 000 man är stark nog att besegra den fiende som kommer emot honom med 20 000 man? 
LUK.14.32	Visar det sig vara omöjligt, sänder han istället ut medlare för att be om fred, medan fiendetrupperna fortfarande är långt borta.
LUK.14.33	Man kan alltså inte bli min efterföljare, om man inte är beredd att ge upp allt man äger för min skull. 
LUK.14.34	Den som är beredd att följa mig vad det än kostar, blir ett salt som bevarar världen från förruttnelse. Men till vilken nytta är salt om det förlorat sin kraft?
LUK.14.35	Nej, det duger inte ens till jordförbättring eller till att slängas på gödselhögen. Det måste kastas bort. Lyssna noga och försök att förstå!"
LUK.15.1	Tullindrivarna
LUK.15.2	Detta retade fariseerna
LUK.15.3	Men då förklarade Jesus genom att berätta en bild. Han sa: 
LUK.15.4	"Om någon av er har 100 får och plötsligt upptäcker att han saknar ett av dem, lämnar han inte då de 99 andra i ödemarken och letar efter det som är försvunnet, tills han hittar det? 
LUK.15.5	Jo, och när han hittar det, blir han glad och bär hem det på sina axlar. 
LUK.15.6	Sedan samlar han sina vänner och grannar, så att de också kan glädjas över att han hittat sitt förlorade får. 
LUK.15.7	Jag försäkrar er, att på samma sätt kommer man att glädja sig mer i himlen över en enda syndare som vänder tillbaka till Gud, än över 99 människor som följer Guds vilja och inte behöver vända tillbaka."
LUK.15.8	Jesus tog också ett annat exempel: "Om en kvinna har tio värdefulla silvermynt och tappar bort ett, tänder hon inte då en lampa och sopar igenom hela huset och letar i varje vrå tills hon hittar det? 
LUK.15.9	Och kallar hon inte sedan på sina vänner och grannar för att de ska glädjas med henne? 
LUK.15.10	På samma sätt gläder sig Guds änglar när en enda syndare vänder tillbaka till Gud."
LUK.15.11	Jesus berättade sedan en tredje bild för dem. Han sa: "En man hade två söner. 
LUK.15.12	Den yngre sa till sin pappa: 'Jag vill ha min del av arvet nu, istället för att vänta tills du dör.' Och pappan gick med på att dela sin egendom mellan sönerna.
LUK.15.13	Några dagar senare hade den yngre sonen sålt allt han ägde och gav sig iväg till ett främmande land. Där levde han ett vilt och omoraliskt liv och gjorde snart slut på alla sina pengar. 
LUK.15.14	Men en svår hungersnöd drabbade landet, och han började svälta. 
LUK.15.15	I sin förtvivlan bad han då en lantbrukare att anställa honom, och mannen skickade ut honom för att vakta svin. 
LUK.15.16	Till slut var han så hungrig, att han längtade efter att få äta av svinens mat, men ingen gav honom något.
LUK.15.17	Då insåg han äntligen hur dum han varit och sa till sig själv: 'Hemma hos pappa har de anställda mat i överflöd, och här håller jag på att svälta ihjäl! 
LUK.15.18	Jag går hem till pappa och säger: Pappa, jag har syndat mot både Gud och dig. 
LUK.15.19	Jag är inte värd att kallas din son längre, men låt mig åtminstone få arbeta som en av dina tjänare.' 
LUK.15.20	Och så gick han tillbaka hem till sin pappa.
LUK.15.20	 Men medan sonen fortfarande var långt borta, såg hans pappa honom och fylldes av kärlek och medlidande. Och han sprang emot sin son och kramade om honom och kysste honom. 
LUK.15.21	Sonen utbrast: 'Pappa, jag har syndat mot Gud och mot dig. Jag är inte värd att kallas din son längre.'
LUK.15.22	Men hans pappa sa till tjänarna: 'Skynda er! Ta fram mina finaste kläder och sätt på honom dem. Sätt en ring på hans finger och skor på hans fötter! 
LUK.15.23	Hämta sedan gödkalven och slakta den, så att vi kan äta och ha en stor fest. 
LUK.15.24	För min son var död men är levande igen. Han var förlorad men har kommit tillbaka till mig.' Och så började festen.
LUK.15.25	Under tiden hade den äldre sonen varit ute på fälten. Och när han nu närmade sig huset hörde han redan på långt håll ljudet av musik och dans. 
LUK.15.26	Förvånad frågade han en av tjänarna vad det var man firade. 
LUK.15.27	Tjänaren svarade: 'Din bror har kommit tillbaka, och din pappa har slaktat gödkalven och ordnat med en fest för att fira att han har kommit hem välbehållen.'
LUK.15.28	Då blev den äldre sonen rasande och ville inte gå in i huset. Hans pappa gick därför ut och försökte övertala honom att komma in, 
LUK.15.29	men han svarade: 'Under alla dessa år har jag arbetat hårt och aldrig någonsin vägrat att göra vad du har bett mig om. Ändå har du inte gett mig ens en killing, så att jag kunde ha fest med mina vänner. 
LUK.15.30	Men nu kommer den där slösaren hem, som har gjort slut på dina pengar tillsammans med prostituerade, och då firar du det med att slakta gödkalven!'
LUK.15.31	'Lugna dig, min son', sa pappan till honom. 'Du och jag är alltid tillsammans, och allt jag äger är ditt. 
LUK.15.32	Men nu måste vi vara glada och fira det som har hänt, för din bror var död men är levande igen. Han var förlorad men har kommit tillbaka till mig.' "
LUK.16.1	För sina efterföljare berättade Jesus också en annan bild. Han sa: "En rik man hade en förvaltare som skötte hans affärer, men ett rykte började spridas om att mannen förskingrade hans pengar. 
LUK.16.2	Arbetsgivaren kallade därför till sig mannen och sa: 'Vad är det jag hör om dig! Gör i ordning din redovisning, för jag tänker avskeda dig.'
LUK.16.3	Förvaltaren tänkte då för sig själv: 'Vad ska jag göra om jag måste sluta som förvaltare? Gräva diken orkar jag inte, och tigga skäms jag för. 
LUK.16.4	Men nu har jag en idé, som ska ge mig gott om vänner den dag jag måste lämna mitt arbete.'
LUK.16.5+LUK.16.6	Sedan bjöd han in alla dem som var skyldiga hans arbetsgivare pengar, och började diskutera med dem en efter en. Han frågade den förste: 'Hur mycket är du skyldig?'
LUK.16.5+LUK.16.6	 '100 krus olivolja', svarade mannen.
LUK.16.5+LUK.16.6	 Då sa förvaltaren: 'Här är skuldebrevet du skrev under. Riv sönder det och skriv ett nytt på 50 krus istället.' 
LUK.16.7	Sedan frågade han nästa person: 'Och hur mycket är du skyldig honom?'
LUK.16.7	 '100 tunnor vete', svarade han.
LUK.16.7	 'Här', sa förvaltaren, 'ta ditt skuldebrev och skriv 80 tunnor istället!' 
LUK.16.8	Den rika mannen var tvungen att beundra den oärliga förvaltaren för hans smarthet.
LUK.16.9	Ja, det rådet ger jag er, att använda era pengar till att hjälpa andra, så att ni blir välkomnade hos Gud för evigt den dag pengarna förlorar sitt värde.
LUK.16.10	Bara den som är ärlig i småsaker kommer att vara ärlig när det gäller stora saker. Fuskar man i småsaker, kommer man också att fuska när det gäller stora saker.
LUK.16.11	Men om ni är opålitliga i fråga om pengar, vem vill då låta er ta hand om det som verkligen är något värt? 
LUK.16.12	Och om ni inte är att lita på när det gäller andra människors pengar, vem vill då ge er egna pengar att förvalta?
LUK.16.13	Ingen tjänare kan tjäna två herrar samtidigt, för antingen kommer han att hata den förste och älska den andre, eller att älska den förste och hata den andre. Ni måste alltså välja. Ni kan inte tjäna Gud och samtidigt älska pengar.
LUK.16.14	När fariseerna
LUK.16.15	Men Jesus sa till dem: "Ni gör allt för att människorna ska tro att ni följer Guds vilja, men Gud vet hur onda ni är. Det som gör intryck på människor är sådant som Gud hatar."
LUK.16.16	Jesus sa också: "Fram till den dag då Johannes döparen började tala till folket, var det de nedskrivna orden i Moses lag och profeterna
LUK.16.17	Fast det betyder inte att lagen har slutat att gälla. Nej, så länge himlen och jorden finns kvar kommer varje ord i lagen att vara giltigt. 
LUK.16.18	Fortfarande gäller att den man som skiljer sig från sin fru och gifter om sig med en annan, han är otrogen.
LUK.16.19	Jesus berättade: "Det var en gång en rik man, som var mycket välklädd och varje dag levde i lyx och överflöd. 
LUK.16.20	Samtidigt låg en tiggare som hette Lasaros vid hans port, full av sår. 
LUK.16.21	Lasaros längtade efter att få några rester från den rika mannens bord. Ja, hundarna kom till och med och slickade hans sår. 
LUK.16.22	Till slut dog tiggaren och fördes av änglarna till Abraham, till den plats där inget lidande finns. Den rika mannen dog också och blev begravd, 
LUK.16.23	Långt borta fick han då se Abraham, och Lasaros som satt bredvid honom. 
LUK.16.24	'Fader Abraham', ropade han. 'Ha medlidande med mig! Skicka Lasaros hit för att doppa fingertoppen i vatten och svalka min tunga. Jag plågas svårt i dessa lågor.'
LUK.16.25	Men Abraham sa till honom: 'Min son, kom ihåg att du under din livstid hade allt du önskade dig, medan Lasaros inte hade något. Nu är han här för att tröstas, medan du får plågas. 
LUK.16.26	Dessutom finns det en stor klyfta som skiljer oss åt. Ingen härifrån kan ta sig över till dig, och ingen kan heller komma över hit.'
LUK.16.27	Då sa den rika mannen: 'Fader Abraham, skicka honom då åtminstone 
LUK.16.28	till mina fem bröder för att varna dem för detta plågornas ställe, så att de slipper komma hit när de dör.'
LUK.16.29	Men Abraham sa: 'De kan lyssna till vad Gud har sagt genom Moses lag och profeterna.'
LUK.16.30	Den rika mannen svarade: 'Nej, fader Abraham, det bryr de sig inte om. Men om någon kommer till dem från de döda, då vänder de om till Gud!'
LUK.16.31	Men Abraham sa: 'Om de inte vill lyssna till det som Gud har sagt genom Moses lag och profeterna, så kommer de inte att bli övertygade ens om någon uppstår från de döda.' "
LUK.17.1	En dag varnade Jesus sina efterföljare och sa: "Det kommer alltid att finnas sådant som frestar människor att synda. Men olycka ska drabba den som frestar andra. 
LUK.17.2	Ja, det skulle vara bättre för honom att bli kastad i havet med en stor sten runt halsen, än att han ska leva kvar och kunna vilseleda någon av dessa som med ett barns tillit tror på mig. 
LUK.17.3	Om en människa har handlat fel, så tillrättavisa henne, och förlåt henne om hon ångrar sig. 
LUK.17.4	Ja, även om hon handlar fel mot dig sju
LUK.17.5	En dag sa de närmaste efterföljarna till Herren Jesus: "Vi behöver mer tro. Tala om för oss hur vi ska få det."
LUK.17.6	"Mer tro?", svarade Herren. "Om er tro bara var så stor som ett senapsfrö, skulle ni kunna säga till mullbärsträdet där borta: 'Ryck upp dig själv med rötterna och kasta dig i havet!' Och det skulle lyda er."
LUK.17.7	Jesus sa också: "Tänk er att ni har en tjänare som kommer hem efter att ha plöjt på åkern eller vallat fåren. Inte säger ni då till honom: 'Slå dig genast ner vid bordet och ät.' 
LUK.17.8	Nej, ni säger: 'Gör i ordning kvällsmaten åt mig och passa upp mig medan jag äter. Sedan kan du själv äta och dricka.' 
LUK.17.9	Ni skulle heller inte tacka tjänaren, för han gjorde ju bara det han fick order om. 
LUK.17.10	Detsamma gäller er. När ni gjort allt ni fått befallning om, ska ni säga: 'Vi är vanliga enkla tjänare, vi har bara gjort vår plikt.' "
LUK.17.11	På sin fortsatta vandring mot Jerusalem kom Jesus till gränsen mellan Galileen och Samarien. 
LUK.17.12	Där gick han in i en by, och plötsligt kom tio spetälska emot honom. De stannade en bit bort 
LUK.17.13	och ropade: "Herre Jesus, ha medlidande med oss!"
LUK.17.14	Då såg han på dem och sa: "Gå till prästerna och låt dem undersöka er!"
LUK.17.15	En av dem kom tillbaka till Jesus när han såg att han blivit frisk, och han ropade högt och hyllade Gud. 
LUK.17.16	Sedan kastade han sig ner framför Jesus med ansiktet mot marken och tackade honom. Och den mannen var från Samarien
LUK.17.17	Jesus frågade då: "Var det inte tio personer som blev friska? Var är de andra nio? 
LUK.17.18	Är det bara den här främlingen som har kommit tillbaka för att tacka Gud?"
LUK.17.19	Och till mannen sa han: "Res dig upp och gå. Din tro har hjälpt dig."
LUK.17.20	En dag frågade fariseerna
LUK.17.21	Man kan inte säga: 'Här är vår kung', eller: 'Där är vår kung'. Nej! Gud regerar inom er.
LUK.17.22	Senare förklarade han detta närmare för sina efterföljare och sa: "Det ska komma en tid då ni längtar efter att få uppleva en enda dag tillsammans med mig, Människosonen
LUK.17.23	Man ska säga till er: 'Han har kommit tillbaka. Där är han', eller: 'Här är han'. Men tro det inte och gå inte dit. 
LUK.17.24	För när jag, Människosonen, verkligen återvänder blir det lika tydligt som när blixten flammar till över himlen och lyser upp hela horisonten. 
LUK.17.25	Men innan detta händer måste jag lida svårt och bli avvisad av detta släkte som inte vill tro.
LUK.17.26	När jag, Människosonen, kommer tillbaka ska världen vara lika sorglös som på Noas tid. 
LUK.17.27	Då åt man och drack och gifte sig ‑ allt var precis som vanligt ‑ ända till den dag då Noa gick in i arken och den väldiga översvämningen kom och dränkte dem allihop.
LUK.17.28	Likadant var det på Lots tid.
LUK.17.29	ända till den morgon då Lot lämnade Sodom. Då regnade eld och svavel från himlen och dödade dem allihop. 
LUK.17.30	Precis så ska det vara när jag, Människosonen, kommer tillbaka.
LUK.17.31	Den dagen får den som är uppe på taket
LUK.17.32	Kom ihåg vad som hände med Lots fru! 
LUK.17.33	Den som klamrar sig fast vid livet ska förlora det, men den som förlorar sitt liv för Gud ska rädda det.
LUK.17.34	Ja, den natten ska två personer sova i samma säng; den ena tas med, den andra lämnas kvar. 
LUK.17.35	Två kvinnor ska mala mjöl tillsammans; den ena tas med, den andra lämnas kvar.
LUK.17.37	Då frågade hans efterföljare: "Herre, var någonstans kommer detta att hända?"
LUK.17.37	 Jesus svarade: "Det ska vara lika tydligt som när gamarna samlas runt en död kropp."
LUK.18.1	En gång, när Jesus ville visa sina efterföljare hur viktigt det är att alltid be och inte ge upp, berättade han den här bilden för dem: 
LUK.18.2	"I en stad fanns det en domare, en ond man som inte visade respekt för vare sig Gud eller människor. 
LUK.18.3	I samma stad fanns också en änka som ständigt och jämt kom till honom och sa: 'Hjälp mig att få ut det jag ska ha av min motpart.' 
LUK.18.4+LUK.18.5	Under lång tid struntade han i henne, men till slut började hon gå honom på nerverna. Då sa han till sig själv: 'Visserligen brukar jag inte visa respekt för vare sig Gud eller människor, men den här kvinnan gör mig galen. Det är bäst jag ser till att hon får det hon har rätt till. Jag är trött på hennes ständiga tjat!' "
LUK.18.6	Sedan sa Herren Jesus: "Om till och med en så ond och orättvis man som denna domare kan ge med sig, 
LUK.18.7	tror ni inte då att Gud vill ge rätt åt dem som tillhör honom, när de ber till honom dag och natt? 
LUK.18.8	Jo, jag försäkrar er att han inte ska låta dem vänta. Men frågan är: Kommer jag, Människosonen
LUK.18.9	En annan gång vände sig Jesus till några som skröt med att de alltid följde Guds vilja och som såg ner på andra människor. Jesus berättade en bild för dem, och sa:
LUK.18.10	"Två män gick till templet för att be. En av dem var farisé
LUK.18.11	Farisén stod för sig själv och bad: 'Tack Gud för att jag inte är en syndare som alla andra, och särskilt inte som tullindrivaren där borta! Jag lurar inte någon, jag stjäl inte från andra, jag är inte otrogen i mitt äktenskap, 
LUK.18.12	jag fastar två gånger i veckan och jag ger Gud en tiondel
LUK.18.13	Men tullindrivaren stod på avstånd och vågade inte ens lyfta blicken mot himlen utan slog händerna för bröstet i förtvivlan och ropade: 'Gud, förlåt mig, jag är en syndare!' 
LUK.18.14	Och jag säger er, att det var han, och inte farisén, som gick hem skuldfri inför Gud! För den som upphöjer sig själv ska förödmjukas, men den som ödmjukar sig själv ska upphöjas."
LUK.18.15	Några föräldrar kom också fram till Jesus med sina små barn för att han skulle röra vid dem och be för dem. Men hans efterföljare fick se det och körde bort dem.
LUK.18.16	Då kallade Jesus till sig barnen och sa till sina efterföljare: "Skicka inte iväg dem. Låt barnen komma till mig, för alla som vill tillhöra Guds eget folk måste bli som de.
LUK.18.17	Ja, jag försäkrar er, att den som inte blir som ett litet barn kommer överhuvudtaget inte att få tillhöra Guds eget folk."
LUK.18.18	En högt uppsatt man frågade Jesus: "Gode mästare, vad ska jag göra för att få evigt liv?"
LUK.18.19	"Varför kallar du mig god?" frågade Jesus. "Det finns bara en som är god, och det är Gud. 
LUK.18.20	Och hans bud kan du redan: 'Du ska inte vara otrogen i ditt äktenskap, Du ska inte mörda, Du ska inte stjäla, Du ska inte ljuga eller vittna falskt, Visa respekt för dina föräldrar.
LUK.18.21	Mannen svarade: "Alla dessa bud har jag hållit ända sedan jag var ung."
LUK.18.22	Då sa Jesus till honom: "Det är bara en sak till du behöver göra. Sälj allt du äger och ge pengarna till de fattiga. Då ska du få en skatt i himlen. Kom sedan och följ mig."
LUK.18.23	Men när mannen hörde det, gick han bedrövad därifrån, för han var mycket rik.
LUK.18.24	Jesus såg efter honom när han gick och sa sedan till sina efterföljare: "Hur svårt är det inte för den som har pengar att få tillhöra Guds eget folk!
LUK.18.25	Det är lättare för en kamel att komma igenom ett nålsöga än för en som är rik att underordna sig Gud så att han får tillhöra Guds eget folk."
LUK.18.26	De som hörde detta utropade: "Vem i all världen kan då bli räddad?"
LUK.18.27	Jesus svarade: "Ingen, mänskligt sett. Men för Gud är allting möjligt!"
LUK.18.28	Då sa Petrus: "Vi har lämnat allt vi ägde för att följa dig."
LUK.18.29	"Ja", svarade Jesus, "och jag försäkrar er, att var och en som lämnar hus eller fru eller man eller syskon eller föräldrar eller barn för att få tillhöra Guds eget folk,
LUK.18.30	han ska få mångdubbelt igen redan här i tiden och dessutom evigt liv i den kommande världen."
LUK.18.31	Jesus samlade sedan sina tolv närmaste efterföljare omkring sig och sa till dem: "Vi är nu på väg till Jerusalem, och där ska allt det som Gud har låtit profeterna
LUK.18.32	Jag ska bli förrådd och överlämnad till de romerska myndigheterna
LUK.18.33	och piska mig och till slut döda mig, och på den tredje
LUK.18.34	Men hans efterföljare fattade inte ett dugg. Den verkliga betydelsen av det som Jesus förutsa var gömd för dem, och därför begrep de ingenting.
LUK.18.35+LUK.18.36	På sin väg mot Jerusalem närmade sig Jesus staden Jeriko, tillsammans med en stor folkmassa. Och då satt där en blind man vid vägkanten och tiggde. Mannen hörde folket komma på vägen och frågade nyfiket vad som stod på. 
LUK.18.37	När han då fick höra att det var Jesus från Nasaret som kom, 
LUK.18.38	började han ropa: "Jesus, du som ska ärva kung Davids tron,
LUK.18.39	Folket som gick framför Jesus försökte få honom att hålla tyst, men han ropade bara ännu högre: "Du som ska ärva kung Davids tron, ha medlidande med mig!"
LUK.18.40	När Jesus hörde detta, stannade han och sa till folket att leda fram mannen till honom. Och han frågade honom sedan: 
LUK.18.41	"Vad vill du att jag ska göra för dig?"
LUK.18.41	 "Herre", bad mannen, "jag vill kunna se igen!" 
LUK.18.42	Då sa Jesus till honom: "Du kan se igen! Din tro har botat dig." 
LUK.18.43	Och genast kunde mannen se! Sedan följde han efter Jesus och hyllade Gud, och alla som såg det ärade Gud.
LUK.19.1	Jesus kom sedan in i Jeriko och gick genom staden. 
LUK.19.2	Där bodde en man som hette Sackaios. Han var chef för tullindrivarna vid den romerska tullmyndigheten, och en mycket rik man. 
LUK.19.3	Sackaios ville gärna få en skymt av Jesus, men han var för kort för att kunna se över folkmassan. 
LUK.19.4	Därför sprang han i förväg och klättrade upp i ett sykomorträd vid sidan av vägen, för att kunna se Jesus bättre.
LUK.19.5	Och när Jesus efter en stund kom fram till trädet såg han upp mot Sackaios och ropade: "Sackaios! Skynda dig ner, jag vill bli hembjuden till dig idag!"
LUK.19.6	Då skyndade sig Sackaios ner, och överlycklig tog han emot Jesus. 
LUK.19.7	Detta retade folket, som förargat muttrade: "Varför ska han gå hem till en sådan ond och oärlig man?"
LUK.19.8	Men Sackaios ställde sig upp och förklarade för Jesus: "Herre, jag ska ge hälften av det jag äger till de fattiga. Och om jag tagit ut för mycket tull av någon ska jag betala tillbaka fyra gånger så mycket!"
LUK.19.9	Jesus sa då till honom: "Idag har räddningen kommit till dig och din familj, och du har blivit ett äkta Abrahams barn
LUK.19.10	För jag, Människosonen
LUK.19.11	De som stod runt omkring lyssnade noga på vad Jesus sa, och eftersom de nu var ganska nära Jerusalem, passade han på att korrigera folkets missuppfattning om att han skulle börja regera som kung så snart han kom fram dit.
