GEN.1.1	Alguses lõi Jumal taevad ja maa.
GEN.50.8	ja kogu Joosepi pere ja tema vennad ja ta isa pere; ainult oma väetid lapsed ja pudulojused ja veised jätsid nad Gooseni maakonda.
GEN.50.9	Ja temaga ühes läksid niihästi vankrid kui ratsanikud, ja see oli väga suur killavoor.
GEN.50.10	Kui nad jõudsid Atadi rehealuse juurde, mis on teispool Jordanit, siis nad panid seal toime väga suure ja mõjuva leinakaebuse, ja ta pidas oma isa peiesid seitse päeva.
GEN.50.11	Kui maa elanikud, kaananlased, nägid neid peiesid Atadi rehealuse juures, siis nad ütlesid: „Need on egiptlastel suured peied!” Seepärast pandi sellele paigale nimeks Aabel-Mitsraim; see on teispool Jordanit.
GEN.50.12	Ja ta pojad tegid temaga nõnda, nagu ta neid oli käskinud:
GEN.50.13	ta pojad viisid tema Kaananimaale ja matsid ta Makpela välja koopasse Mamre kohal, mille Aabraham ühes väljaga oli ostnud pärandhauaks hetiit Efronilt.
GEN.50.14	Ja Joosep läks tagasi Egiptusesse, tema ja ta vennad ja kõik, kes ühes temaga olid läinud ta isa matma, pärast seda kui ta oma isa oli matnud.
GEN.50.15	Kui Joosepi vennad nägid, et nende isa oli surnud, siis nad ütlesid: „Kui Joosep meid nüüd vihkab ja tõesti tasub meile kätte kõige kurja eest, mis me temale oleme teinud?”
GEN.50.16	Ja nad käskisid Joosepile öelda: „Su isa andis käsu, enne kui ta suri, ja ütles:
GEN.50.17	öelge Joosepile nõnda: anna ometi andeks oma vendade üleastumine ja patt, et nad sulle on kurja teinud! Seepärast anna siis nüüd andeks oma isa Jumala sulaste üleastumine!” Ja Joosep nuttis, kui temale seda räägiti.
GEN.50.18	Siis tulid ka Joosepi vennad ise, heitsid maha ta ette ja ütlesid: „Vaata, me jääme sulle orjadeks!”
GEN.50.19	Aga Joosep vastas neile: „Ärge kartke! Kas mina olen Jumala asemik?
GEN.50.20	Te mõtlesite küll mu vastu kurja, aga Jumal pööras selle heaks, et teha, mis tänapäeval ongi tehtud: hoida palju rahvast elus!
GEN.50.21	Ja nüüd ärge kartke, mina toidan teid ja teie väeteid lapsi!” Ja ta trööstis ning rahustas neid.
GEN.50.22	Ja Joosep jäi Egiptusesse, tema ja ta isa pere. Ja Joosep elas saja kümne aastaseks.
GEN.50.23	Ja Joosep nägi Efraimi lapsi kolm põlve; ka Manasse pojast Maakirist sündis lapsi Joosepi põlvede peale.
GEN.50.24	Ja Joosep ütles oma vendadele: „Mina suren, aga Jumal hoolitseb kindlasti teie eest ja viib teid siit maalt sellele maale, mille Ta vandega on tõotanud anda Aabrahamile, Iisakile ja Jaakobile!”
GEN.50.25	Ja Joosep vannutas Iisraeli poegi, öeldes: „Kui Jumal tõesti hoolitseb teie eest, siis viige ka minu luud siit ära!”
GEN.50.26	Ja Joosep suri, sada kümme aastat vana, ja ta palsameeriti ja pandi kirstu Egiptuses.
MAT.1.2	Aabrahamile sündis Iisak, Iisakile sündis Jaakob, Jaakobile sündisid Juuda ja Tema vennad;
MAT.1.3	Juudale sündisid Taamarist Perets ja Serah, Peretsile sündis Hesrom, Hesromile sündis Aram;
MAT.1.4	Aramile sündis Amminaadab, Amminaadabile sündis Nahson, Nahsonile sündis Salmon;
MAT.1.5	Salmonile sündis Raahabist Boas, Boasele sündis Rutist Oobed, Oobedile sündis Jesse;
MAT.1.6	Jessele sündis kuningas Taavet; Taavetile sündis Uurija naisest Saalomon;
MAT.1.7	Saalomonile sündis Rehabeam, Rehabeamile sündis Abija, Abijale sündis Aasa;
MAT.1.8	Aasale sündis Joosafat, Joosafatile sündis Jooram, Jooramile sündis Ussija;
MAT.1.9	Ussijale sündis Jootam, Jootamile sündis Ahas, Ahasele sündis Hiskija;
MAT.1.10	Hiskijale sündis Manasse, Manassele sündis Aamos, Aamosele sündis Joosija;
MAT.1.11	Joosijale sündisid Jekonja ja tema vennad Baabüloni vangipõlve ajal.
MAT.1.12	Pärast Baabüloni vangipõlve sündis Jekonjale Sealtiel, Sealtielile sündis Serubbaabel;
MAT.1.14	Asurile sündis Saadok, Saadokile sündis Aahim, Aahimile sündis Elihuud;
MAT.1.15	Elihuudile sündis Eleasar, Eleasarile sündis Mattan, Mattanile sündis Jaakob;
MAT.1.16	Jaakobile sündis Joosep, Maarja mees; ja Maarjast sündis Jeesus, Keda nimetatakse Kristuseks.
MAT.1.17	Kõiki põlvi Aabrahamist Taavetini on siis neliteistkümmend põlve; ja Taavetist Baabüloni vangipõlve ajani on neliteistkümmend põlve; ja Baabüloni vangipõlvest Kristuseni on neliteistkümmend põlve.
MAT.1.18	Aga Jeesuse Kristuse sündimine oli nõnda: kui Ta Ema Maarja oli kihlatud Joosepiga, siis Ta leiti enne nende kokkusaamist käima peal olevat Pühast Vaimust.
MAT.1.19	Aga et Tema mees Joosep oli õiglane ega tahtnud Teda saata häbisse, siis Ta võttis nõuks salaja Tema hüljata.
MAT.1.20	Ent kui temal see mõte oli, vaata, siis ilmus talle Issanda ingel unes ja ütles: „Joosep, Taaveti poeg, ära karda Maarjat, Oma naist, enese juure võtta, sest mis Temas on sündinud, on Pühast Vaimust.
MAT.1.21	Ta toob ilmale Poja ja Sa pead Temale nimeks panema Jeesus; sest Tema päästab Oma rahva nende pattudest!”
MAT.1.22	Aga see kõik on sündinud, et läheks täide, mis Issand on rääkinud prohveti kaudu, kes ütleb:
MAT.1.23	„Ennäe, Neitsi saab käima peale ning toob Poja ilmale, ja Temale peab pandama nimeks Immaanuel”, see on meie keeli: Jumal meiega.
MAT.1.24	Kui Joosep unest ärkas, siis Ta tegi nõnda, kuidas Issanda Ingel Teda oli käskinud ning võttis Oma naise enese juure
MAT.1.25	ega puutunud Temasse, enne kui Ta oli ilmale toonud Poja. Ja Ta pani Temale nimeks Jeesus.
MAT.2.1	Kui Jeesus oli sündinud Petlemas Juudamaal kuningas Heroodese ajal, vaata, siis tulid targad hommikumaalt Jeruusalemma
MAT.2.2	ja ütlesid: „Kus on see sündinud Juutide Kuningas? Sest me oleme näinud Tema tähte hommikumaal ning oleme tulnud Teda kummardama.”
MAT.2.3	Kui kuningas Heroodes seda kuulis, ehmus ta väga ja kogu Jeruusalem ühes temaga.
MAT.2.4	Ja ta kogus kokku kõik rahva ülempreestrid ja kirjatundjad ning kuulas neilt, kus Kristus pidi sündima.
MAT.2.5	Nemad ütlesid temale: „Petlemas Juudamaal; sest nõnda on kirjutatud prohveti kaudu:
MAT.2.6	Ja Sina, Petlem Juudamaal, ei ole mingil kombel kõige vähem Juuda vürstide seast, sest sinust lähtub Valitseja, Kes Mu rahvast Iisraeli hoiab kui karjane!”
MAT.2.7	Siis Heroodes kutsus targad salaja ja uuris neilt hoolega aja, mil täht oli ilmunud.
MAT.2.8	Ja ta läkitas nad Petlemma ning ütles: „Minge kuulake hoolega Lapsukese järele, ja kui te Tema leiate, siis andke minule teada, et minagi läheksin Teda kummardama!”
MAT.2.9	Kui nemad olid kuningat kuulnud, siis nad läksid teele. Ja vaata, täht, mida nad olid näinud hommikumaal, käis nende eel, kuni ta tuli ja seisatas ülal seal kohal, kus Lapsuke oli.
MAT.2.10	Aga tähte nähes nad said üliväga rõõmsaks.
MAT.2.11	Ja nad läksid sinna kotta ning nägid Lapsukest ühes Maarjaga, Tema Emaga, ja heitsid maha ning kummardasid Teda, ja avasid oma varandused ning tõid Temale ande, kulda ja viirukit ja mürri.
MAT.2.12	Ja kui nad unes olid Jumalalt saanud käsu mitte minna tagasi Heroodese juure, läksid nad teist teed tagasi omale maale.
MAT.2.13	Aga kui nad olid ära läinud, vaata, siis ilmus Issanda Ingel unes Joosepile ja ütles: „Tõuse ning võta Lapsuke ja Tema Ema enesega ning põgene Egiptusesse ja ole seal, kuni Ma sinule ütlen; sest Heroodes hakkab otsima Last, et Teda hukata.”
MAT.2.14	siis ta tõusis ning võttis enesega Lapsukese ja Tema Ema öösel ja läks ära Egiptusesse
MAT.2.15	ja oli seal kuni Heroodese surmani, et läheks täide, mis Issand on rääkinud prohveti kaudu, kes ütleb: „Egiptusest Ma kutsusin Oma Poja!”
MAT.2.16	Kui nüüd Heroodes nägi, et targad olid teda petnud, siis ta vihastus väga ja läkitas ning laskis tappa kõik poeglapsed Petlemas ja kogu selle ümbruskonnas, kaheaastased ja nooremad, vastavalt ajale, mida ta tarkadelt oli hoolega uurinud.
MAT.2.17	Siis läks täide, mis on üteldud prohvet Jeremija kaudu:
MAT.2.18	„Raamast on kuuldud häält, palju nuttu ja kaebust: Raahel nutab oma lapsi ega taha lasta ennast trööstida, sest neid ei ole enam!”
MAT.2.19	Aga kui Heroodes oli surnud, vaata, siis ilmus Issanda Ingel Joosepile unes Egiptuses
MAT.2.20	ning ütles: „Tõuse ning võta Lapsuke ja Tema Ema enesega ja mine Iisraelimaale; sest need on surnud, kes püüdsid Lapsukese hinge!”
MAT.2.21	Siis ta tõusis ning võttis Lapsukese ja Ta Ema enesega ja tuli Iisraelimaale.
MAT.2.22	Aga kui ta kuulis, et Arhelaos valitseb Judead oma isa Heroodese asemel, siis ta kartis sinna minna. Kuid ta sai unes Jumalalt käsu ja siirdus Galilea aladele
MAT.2.23	ja tuli ning asus elama linna, mida kutsutakse Naatsaretiks, et läheks täide, mis on üteldud prohvetite kaudu: „Teda peab hüütama Naatsaretlaseks!”
MAT.3.1	Neil päevil tuli Ristija Johannes ja kuulutas Judea kõrves
MAT.3.2	ning ütles: „Parandage meelt, sest Taevariik on lähedal!”
MAT.3.3	Tema on nimelt see, kellest prohvet Jesaja on rääkinud, üteldes: „Hüüdja hääl on kõrves: Valmistage Issanda teed, õgvendage Tema teerajad!”
MAT.3.4	Aga Johannesel oli riie kaameli karvust ja nahkvöö vööl; ja tema toit oli rohutirtsud ja metsmesi.
MAT.3.5	Siis läks välja tema juure Jeruusalem ja kogu Judea ja kõik Jordani ümberkaudne maa;
MAT.3.6	ja ta ristis nad Jordani jões ning nad tunnistasid oma patud.
MAT.3.7	Aga nähes palju varisere ja sadusere tulevat ristimisele, ütles ta neile: „Te rästikute sigitis, kes on teile märku annud põgeneda tulevase viha eest?
MAT.3.8	Seepärast kandke õiget meeleparanduse vilja
MAT.3.9	ja ärge arvake võivat ütelda iseenestes: meil on Aabraham isaks; sest ma ütlen teile, et Jumal võib neist kividest äratada Aabrahamile lapsi.
MAT.3.10	Ent kirves on juba puude juure küljes; iga puu nüüd, mis ei kanna head vilja, raiutakse maha ja visatakse tulle.
MAT.3.11	Mina ristin teid küll veega meeleparanduseks, aga Kes tuleb pärast mind, on vägevam mind ja mina ei ole kõlvuline Temale jalatseidki kandma; Tema ristib teid Püha Vaimu ja tulega.
MAT.3.12	Ta visk-labidas on Tema käes ja Ta puhastab Oma rehealuse ja kogub Oma nisud aita, kuid aganad Ta põletab ära kustutamatu tulega.”
MAT.3.14	Kuid Johannes peatas Teda, üteldes: „Minule on vaja, et Sina mind ristiksid, ja Sina tuled minu juure!”
MAT.3.15	Jeesus vastas ning ütles temale: „Olgu nüüd nii; sest nõnda on meie kohus täita kõike õigust.” Siis Johannes andis Temale järele.
MAT.3.16	Kui nüüd Jeesus oli ristitud, tuli Ta sedamaid veest välja. Ja ennäe, taevad avanesid, ja Ta nägi Jumala Vaimu laskuvat alla kui tuvi ja tulevat Tema peale.
MAT.3.17	Ja vaata, taevast kostis hääl, mis ütles: „Seesinane on Minu armas Poeg, Kellest Mul on hea meel!”
MAT.4.1	Siis Vaim viis Jeesuse kõrbe kuradi kiusata.
MAT.4.2	Ja kui Ta oli paastunud nelikümmend päeva ja nelikümmend ööd, tuli Temale viimaks nälg kätte.
MAT.4.3	Ja kiusaja tuli Ta juure ning ütles Temale: „Kui Sa oled Jumala Poeg, siis ütle, et need kivid leivuks saaksid!”
MAT.4.4	Aga Tema vastas ning ütles: „Kirjutatud on: Inimene ei ela ükspäinis leivast, vaid igaühest sõnast, mis lähtub Jumala suust!”
MAT.4.5	Siis kurat võttis Tema enesega pühasse linna ja asetas Ta pühakoja harjale
MAT.4.6	ja ütles Temale: „Oled Sa Jumala Poeg, siis kukuta Ennast alla, sest kirjutatud on: Tema annab Oma Inglitele käsu Sinu pärast, ja Nemad kannavad Sind kätel, et Sa Oma jalga vastu kivi ei tõukaks!”
MAT.4.7	Jeesus ütles temale: „Taas on kirjutatud: Ära kiusa Issandat, Oma Jumalat!”
MAT.4.8	Jällegi võttis kurat Ta Enesega väga kõrgele mäele ja näitas Talle kõik maailma kuningriigid ja nende hiilguse
MAT.4.9	ning ütles Temale: „Selle kõik Ma annan Sinule, kui Sa maha langed ja mind kummardad!”
MAT.4.10	Siis Jeesus ütles temale: „Tagane Minust, saatan! Sest on kirjutatud: Sina pead Issandat, Oma Jumalat kummardama ja ükspäinis Teda teenima!”
MAT.4.11	Siis kurat jättis Ta rahule. Ja vaata, Ingleid tuli Tema juure, ja Need teenisid Teda.
MAT.4.13	Ja jättes maha Naatsareti tuli Ta ja asus Kapernauma, mis on mererannas Sebuloni ja Naftali aladel, 14. et läheks täide, mis on üteldud prohvet Jesaja kaudu:
MAT.4.15	„Sebulonimaa ja Naftalimaa; mereäärne tee, maa sealpool Jordanit, paganate Galilea –
MAT.4.16	rahvas, kes istub pimeduses, näeb suurt valgust, ja surma maal ja varjus istujaile, neile tõuseb valgus!”
MAT.4.19	Ja Ta ütles neile: „Tulge minu järele ja Ma teen teid inimeste püüdjaiks! 20. Nemad jätsid kohe võrgud maha ning järgisid Teda. 21. Ja kui Ta läks sealt eemale, nägi Ta teist kaht venda, Jakoobust, Sebedeuse poega, ja Johannest, ta venda, paadis ühes nende isa Sebedeusega parandamas oma võrke. Ja Ta kutsus neid.
MAT.4.22	Ja nad jätsid kohe maha paadi ja oma isa ning järgisid Teda.
MAT.4.24	Ja jutt Temast levis üle kogu Süüria. Ja Tema juure toodi kõik vaevalised, mõnesuguse haiguse ja tõve põdejad, seestunud, kuutõbised ja halvatud. Ja Ta tegi nad terveks.
MAT.4.25	Ja palju rahvast järgis Teda Galileast ja Dekapolist ja Jeruusalemast ja Judeast ja sealtpoolt Jordanit.
MAT.5.1	Nähes rahvahulki, läks Ta üles mäele. Ja kui Ta oli maha istunud, tulid Ta jüngrid Tema juure.
MAT.5.2	Ja Ta avas Oma suu, õpetas neid ning ütles:
MAT.5.3	„Õndsad on vaimust vaesed, sest nende päralt on Taevariik.
MAT.5.4	Õndsad on kurvad, sest nemad trööstitakse.
MAT.5.5	Õndsad on tasased, sest nemad pärivad maa.
MAT.5.6	Õndsad on need, kelledel nälg ja janu on õiguse järele, sest nemad rahuldatakse.
MAT.5.7	Õndsad on armulised, sest nemad saavad armu.
MAT.5.8	Õndsad on puhtad südamelt, sest nemad saavad näha Jumalat.
MAT.5.9	Õndsad on rahunõudjad, sest neid hüütakse Jumala lapsiks.
MAT.5.10	Õndsad on need, keda taga kiusatakse õiguse pärast, sest nende päralt on Taevariik.
MAT.5.11	Õndsad olete teie, kui inimesed teid Minu pärast laimavad ja taga kiusavad ja valetades räägivad teist kõiksugust kurja.
MAT.5.12	Olge rõõmsad ja ilutsege, sest teie palk on suur taevas; samuti on nad taga kiusanud prohveteid enne teid.
MAT.5.14	Teie olete maailma valgus. Ei saa jääda varjule linn, mis asetseb mäe otsas.
MAT.5.15	Ei süüdata ka küünalt ega panda seda vaka alla, vaid küünlajalale, ja see paistab kõikidele, kes majas on.
MAT.5.16	Nõnda paistku teie valgus inimeste ees, et nad näeksid teie häid tegusid ja annaksid au teie Isale, kes on taevas.
MAT.5.18	Sest tõesti Ma ütlen teile, kuni kaob taevas ja maa, ei kao käsuõpetusest mitte ühtki tähekest või ühtki märgikest, enne kui kõik on sündinud.
MAT.5.19	Kes nüüd iganes tühistab ühe neist vähimaist käskudest ja nõnda õpetab inimesi, teda hüütakse vähimaks Taevariigis; aga kes seda mööda teeb ja nõnda õpetab, teda hüütakse suureks Taevariigis.
MAT.5.20	Sest Ma ütlen teile: Kui teie õigus pole palju parem kirjatundjate ja variseride omast, siis te ei saa Taevariiki.
MAT.5.22	Kuid Mina ütlen teile, et igaüks, kes on oma vennale vihane, kuulub kohtu alla; aga kes iganes oma vennale ütleb „raka!” kuulub Suurkohtu alla; aga kes ütleb „Sa jõle!” kuulub põrgutulle.
MAT.5.23	Sellepärast kui sa oma andi tood altarile ja seal meenub sulle, et su vennal on midagi sinu vastu,
MAT.5.24	siis jäta oma and sinna altari ette ja mine lepi enne oma vennaga, ja siis tule ja too oma and.
MAT.5.25	Ole varsti järeleandlik oma vastasele, niikaua kui sa temaga teel oled, et vastane sind ei annaks kohtuniku kätte, ja kohtunik sind ei annaks sulase kätte, ja sind ei pandaks vangi.
MAT.5.26	Tõesti Ma ütlen sulle, sa ei pääse sealt, enne kui oled maksnud ära viimse veeringu!
MAT.5.28	Aga Mina ütlen teile, et igaüks, kes naise peale vaatab teda himustades, on juba abielu rikkunud temaga oma südames.
MAT.5.29	Ent kui su parem silm sind pahandab, siis kisu ta välja ja heida enesest ära, sest sulle on parem, et üks sinu liikmeist hukkub kui et kogu su ihu heidetakse põrgusse.
MAT.5.30	Ja kui sinu parem käsi sind pahandab, siis raiu ta maha ja heida enesest ära, sest sulle on parem, et üks sinu liikmeist hukkub kiti et kogu su ihu läheb põrgusse.
MAT.5.31	Ka on üteldud, et kes iganes oma naise enesest lahutab, see andku temale lahutuskiri.
MAT.5.32	Aga Mina ütlen teile, et igaüks, kes oma naise enesest lahutab muidu kui hooruse pärast, see teeb, et naisega abielu rikutaks, ja kes iganes lahutatud naisega abiellub, rikub abielu.
MAT.5.33	Taas te olete kuulnud, et muistsele põlvele on üteldud: Sa ei tohi valet vanduda! ja: Pea Issandale oma vanded!
MAT.5.34	Aga Mina ütlen teile: Ärge üldse vanduge, ei taeva juures, sest see on Jumala aujärg;
MAT.5.35	ega maa juures, sest see on Tema jalgealune järg; ega Jeruusalema juures, sest see on suure Kuninga linn.
MAT.5.36	Ara vannu ka oma pea juures, sest sina ei või ühtki juuksekarva teha valgeks ega mustaks;
MAT.5.37	vaid teie kõne olgu: Jah, jah, või: Ei, ei; aga mis üle selle on, see on kurjast.
MAT.5.39	Aga Mina ütlen teile: Ärge pange vastu kurjale, vaid kui keegi sind lööb vastu su paremat kõrva, siis kääna temale ka teine;
MAT.5.40	ja sellele, kes tahab sinuga kohut käia ja võtta su vammuse, jäta ka kuub;
MAT.5.41	ja kes sind sunnib kaasas käima ühe penikoorma, sellega mine kaks.
MAT.5.42	Anna sellele, kes sult palub, ja ära käändu kõrvale sellest, kes sult tahab laenata.
MAT.5.44	Aga Mina ütlen teile: Armastage oma vaenlasi ja palvetage nende eest, kes teid taga kiusavad,
MAT.5.45	et te saaksite oma Isa lapsiks, Kes on taevas, sest Tema laseb Oma päikest tõusta kurjade ja heade üle ja laseb vihma sadada õigete ja ülekohtuste peale.
MAT.5.46	Sest kui te armastate neid, kes teid armastavad, mis palka te saate? Eks tölneridki tee sedasama?
MAT.5.47	Ja kui te lahkesti tervitate ainult oma vendi, mida iseäralikku te siis teete? Eks paganadki tee sedasama?
MAT.5.48	Teie olge siis täiuslikud, nõnda nagu teie taevane Isa on täiuslik.
MAT.6.1	Hoidke, et te armastuseande ei jaga inimeste nähes selleks, et nemad teid vaatleksid; muidu ei ole teil palka Oma Isalt, Kes on taevas.
MAT.6.2	Seepärast, kui sa armastuseande annad, siis ära lase enese ees sarve puhuda, nagu silmakirjatsejad teevad kogudusekodades ja uulitsail, et inimesed neid ülistaksid. Tõesti Ma ütlen teile, et neil on oma palk käes!
MAT.6.3	Vaid kui sina armastuseande annad, siis ärgu su vasak käsi teadku, mida su parem käsi teeb,
MAT.6.4	et su armastuseannid oleksid salajas; ja su Isa, kes näeb salajasse, tasub sinule.
MAT.6.6	Ent sina, kui sa palvetad, siis mine oma kambrisse ja sule uks, ja palu oma Isa, Kes on salajas, ja su Isa, kes näeb salajasse, tasub sinule.
MAT.6.7	Aga kui te palvetate, siis ärge palju lobisege, nõnda nagu paganad, sest nad arvavad, et neid kuuldakse nende paljude sõnade tõttu.
MAT.6.8	Ärge siis saage nende sarnaseks, sest Jumal, teie Isa, teab, mida te vajate, enne kui te Teda palute.
MAT.6.10	sinu Riik tulgu; Sinu tahtmine sündigu nagu taevas, nõnda ka maa peal;
MAT.6.11	meie igapäevane leib anna meile tänapäev;
MAT.6.12	ja anna meile andeks meie võlad, nagu meiegi andeks anname oma võlglastele;
MAT.6.13	ja ära saada meid kiusatusse, vaid päästa meid kurjast; sest Sinu on Riik ja vägi ja au igavesti! Aamen.
MAT.6.14	Sest kui te annate andeks inimestele nende eksimused, siis annab teie taevane Isa ka teile andeks.
MAT.6.15	Aga kui te inimestele nende eksimusi andeks ei anna, siis ei anna ka teie Isa teie eksimusi andeks.
MAT.6.16	Aga kui te paastute, siis ärge jääge kurvanäoliseks, nõnda nagu silmakirjatsejad; sest nad teevad oma palge näotumaks, et rahvas näeks neid paastuvat. Tõesti, Ma ütlen teile, neil on oma palk käes!
MAT.6.17	Vaid kui sina paastud, siis võia oma pea ja pese oma pale,
MAT.6.18	et su paastumine ei oleks nähtav inimestele, vaid su Isale, Kes on salajas. Ja su Isa, Kes näeb salajasse, tasub sinule.
MAT.6.20	Vaid koguge endile varandusi taevasse, kus koi ega rooste ei riku ja kus vargad sisse ei murra ega varasta.
MAT.6.21	Sest kus su varandus on, seal on ka su süda!
MAT.6.22	Ihu küünal on silm; kui su silm on terve, siis on kõik su ihu valguses.
MAT.6.23	Aga kui su silm on rikkis, siis on kogu su ihu pimeduses. Kui nüüd su valgus, mis on sinus, on pimedus, kui suur on siis pimedus?
MAT.6.26	Pange tähele taeva linde: nad ei külva ega lõika ega pane kokku aitadesse, ja teie taevane Isa toidab neid. Eks teie ole palju enam kui nemad?
MAT.6.27	Aga kes teie seast võib muretsemisega oma pikkusele ühegi küünra jätkata?
MAT.6.28	Ja miks te muretsete riietuse pärast? Pange tähele lilli väljal, kuidas nad kasvavad; nad ei tee tööd ega ketra.
MAT.6.29	Ometi Ma ütlen teile, et Saalomongi kõiges oma hiilguses pole olnud nõnda ehitud kui üks nendest!
MAT.6.30	Kui nüüd Jumal rohtu väljal, mis täna on ja homme ahju visatakse, nõnda ehib, kas siis mitte palju enam teid, teie nõdrausulised?
MAT.6.31	Ärge siis olge mures, küsides: Mida me sööme? või: Mida me joome? või: Millega me riietume?
MAT.6.32	Sest kõike seda taotlevad paganad. Teie taevane Isa teab ju, et te seda kõike vajate.
MAT.6.33	Ent otsige esiti Jumala Riiki ja Tema õigust, siis seda kõike antakse teile pealegi!
MAT.6.34	Ärge siis olge mures homse pärast, sest küll homne päev muretseb enese eest. Igale päevale saab küllalt omast vaevast!
MAT.7.1	Ärge mõistke kohut, et teie üle ei mõistetaks kohut.
MAT.7.2	Sest missuguse kohtuga te kohut mõistate, niisugusega mõistetakse teile kohut; ja missuguse mõõduga te mõõdate, niisugusega möödetakse ka teile.
MAT.7.3	Aga miks sa näed pindu oma venna silmas, kuid palki omas silmas sa ei pane tähele?
MAT.7.4	Või kuidas sa ütled oma vennale: Lase ma tõmban pinnu sinu silmast!? Ja vaata, palk on su omas silmas!
MAT.7.5	Sa silmakirjatseja! Tõmba esiti palk omast silmast, ja siis sa seletad tõmmata pindu oma venna silmast.
MAT.7.6	Ärge andke seda, mis on püha, koertele, ja ärge heitke oma pärle sigade ette, et nad neid ei sõtkuks oma jalgega ega käänduks ja teid ei kisuks.
MAT.7.7	Paluge, siis antakse teile; otsige, siis te leiate; koputage, siis avatakse teile.
MAT.7.8	Sest igaüks, kes palub, see saab, ja kes otsib, see leiab, ja kes koputab, sellele avatakse.
MAT.7.9	Või missugune inimene on teie seast, kellelt tema poeg palub leiba, ja ta annaks temale kivi?
MAT.7.10	Või kui ta palub kala, ja ta annaks temale mao?
MAT.7.11	Kui nüüd teie, kes olete kurjad, mõistate anda häid ande oma lastele, eks palju enam teie Isa taevas anna häid ande neile, kes Teda paluvad.
MAT.7.12	Sellepärast kõik, mida te tahate, et inimesed teile teevad, tehke ka neile; sest see on käsuõpetus ja prohvetid.
MAT.7.14	Ja kitsas on värav ja ahtake on tee, mis viib ellu, ja pisut on neid, kes selle leiavad.
MAT.7.15	Hoiduge valeprohveteist, kes tulevad teie juure lammaste riideis, aga seest-pidi on nad kiskjad hundid.
MAT.7.16	Nende viljast te tunnete nad. Ega viinamarju nopita kibuvitsust või viigimarju ohakaist?
MAT.7.17	Nõnda iga hea puu kannab head vilja, aga halb puu kannab halba vilja.
MAT.7.18	Hea puu ei või kanda halba vilja ega halb puu kanda head vilja.
MAT.7.19	Iga puu, mis ei kanna head vilja, raiutakse maha ja visatakse tulle.
MAT.7.20	Nõnda siis nende viljast te tunnete nad ära.
MAT.7.21	Mitte igaüks, kes Minule ütleb: Issand, Issand, ei saa Taevariiki, vaid kes teeb Mu Isa tahtmist, Kes on taevas.
MAT.7.22	Mitmed ütlevad Minule tol päeval: Issand, Issand, kas me ei ole Sinu nimel ennustanud ja Sinu nimel ajanud välja kurje vaime ja Sinu nimel teinud palju vägevaid tegusid?
MAT.7.23	Ja siis Ma tunnistan neile: Ma ei ole elades teid tunnud, taganege Minust, te ülekohtutegijad!
MAT.7.24	Igaüks nüüd, kes neid Mu sõnu kuuleb ja teeb nende järele, on võrreldav mõistliku mehega, kes ehitas oma koja kaljule.
MAT.7.25	Ja ränk sadu tuli ja tulid vetevoolud, ja tuuled puhusid ja sööstsid vastu seda koda; aga Ta ei langenud, sest Tema alus oli rajatud kaljule.
MAT.7.26	Ja igaüks, kes neid Minu sõnu kuuleb, aga ei tee nende järele, on võrreldav jõleda mehega, kes oma koja ehitas liivale.
MAT.7.27	Ja ränk sadu tuli ja tulid vetevoolud, ja tuuled puhusid ja sööstsid vastu seda koda, ja ta langes, ja tema langemine oli suur.”
MAT.7.28	Ja sündis, kui Jeesus oli lõpetanud need kõned, et rahvahulgad hämmastusid Tema õpetusest;
MAT.7.29	sest Ta õpetas neid nõnda nagu see, kellel on meelevald, ja mitte nõnda nagu nende kirjatundjad.
MAT.8.1	Aga kui Tema astus mäelt alla, järgis Teda palju rahvast.
MAT.8.2	Ja vaata, pidalitõbine tuli ja heitis maha Tema ette ning ütles: „Issand, kui Sa tahad, võid Sa mind puhtaks teha!”
MAT.8.3	Siis Jeesus sirutas Oma käe ja puudutas teda ning ütles: „Ma tahan, saa puhtaks!” Ja sedamaid sai ta oma pidalitõvest puhtaks.
MAT.8.4	Ja Jeesus ütles temale: „Katsu, et Sa seda ühelegi ei ütle, vaid mine näita ennast preestritele ja vii ohvriand, mille Mooses on seadnud, neile tunnistuseks!”
MAT.8.5	Aga kui Jeesus saabus Kapernauma, tuli Tema juure sõjapealik, palus Teda
MAT.8.6	ning ütles: „Issand, minu poiss on kodus halvatuna maas suures valus!”
MAT.8.7	Jeesus ütles temale: „Ma tulen ja teen ta terveks.”
MAT.8.8	Aga sõjapealik kostis ja ütles: „Issand, mina pole väärt, et Sa mu katuse alla tuled, vaid ütle ainult sõna, siis mu poiss paraneb.
MAT.8.9	Sest ma isegi olen inimene valitsuse all, ja minu käsu all on sõjamehi. Ja kui ma ütlen ühele: Mine! siis ta läheb, ja teisele:
MAT.8.10	Kui Jeesus seda kuulis, imestas Ta ja ütles neile, kes Teda järgisid: „Tõesti Ma ütlen teile, mitte üheltki Iisraelis Ma ei ole leidnud nii suurt usku!
MAT.8.11	Ent Ma ütlen teile, et paljud tulevad idast ja läänest ja istuvad lauas Aabrahami, Iisaki ja Jaakobiga Taevariigis,
MAT.8.12	aga kuningriigi lapsed heidetakse välja kõige äärmisemasse pimedusse; seal on ulumine ja hammaste kiristamine!”
