MAT.1.1	Yesu Krisita doho nala rɛ nyɛ. Ʋ naabaa rɛ gyɩ yaa Deviti, Deviti mɛ naabaa yaa Abɩraham.
LUK.17.8	Aayɩ, ɩ sɩ basɩ tɩya ʋ dɩ ʋ sii yaa kɩdiiliye tɩya ɩ, aŋ yaa siri a ko tɩga tɩya ɩ, aŋ yaa wɩɩ hʋ buloŋ ɩ aa kyɛ a tɩya ɩ. Dɩ ɩ rɛ ko di teŋ, dɩ ʋ mɛ yaŋ na di. 
LUK.17.9	Ɩ sɩ laa nyʋwa kyʋwalɩ ɩ tʋŋtʋnnɩ akuu ʋ aa tʋŋ tʋma hʋ ɩ aa daga ʋ wɩya koo? 
LUK.17.10	Ɛɛ rɛ ma mɛ yaŋ kɩɩ! Dɩ mamaa rɛ ko tʋŋ tʋma hʋ ba aa tɩya ma dɩ ma tʋma, ʋ maga dɩ ma baa, ‘Á yaa tʋŋtʋnna rɛ, á bɩ maga dɩ ba lɔllɩ ma, beewɩya á tʋma rɛ á tʋma.”’
LUK.17.11	Ɛɛ rɛ Yesu gyɩ bɩl sii kɩ mʋ Gyerusalɛm, a gyɩ mʋ tɩŋ Samaarɩya abee Galili paalʋʋ paga a kɩ mʋ. 
LUK.17.12	Ʋ mʋʋ dɩ ʋ gyʋʋ tɔɔ kɩdɩgɩ, dɩ gbegisi fi rɛ ko kɩ kyeme ʋ gɛɛ. 
LUK.17.13	Ɛɛ rɛ ba gyɩ mʋ sɩŋ libolii, aŋ huwori yɩrɩ ʋ a baa, “Yesu, á nɩhɩyawʋ, fá á sikii.” 
LUK.17.14	Doŋ nɛ Yesu na ba a basɩ tɩya ba a baa, “Ma kaŋ ma tɩɩ mʋ daga wɩɩkyʋwal sɩlaala hʋ dɩ ba sʋnnɩ ma na.” Nyɛ rɛ ba kpa kɩ mʋ. Ba aa mʋʋ hʋ tɩyaŋ nɛ, ba gbegisi hʋ pirigi nyʋgɩsɩ. 
LUK.17.15	Ba tɩyaŋ kɩdɩgɩ aa yaa Samaarɩya tɩɩna aa naa dɩ ʋ deye gɛɛ, ʋ mɩɩgɩ ko Yesu lee a kɩ dannɩ Wɩɩsɩ yʋga. 
LUK.17.16	A mʋ tuu gbinni Yesu sɩya tɩyaŋ aŋ kyʋwalɩ ʋ aŋgyʋwasʋ. 
LUK.17.17	Ɛɛ rɛ Yesu pɩyɛsɩ ʋ a baa, “Ma nala fi hʋ buloŋ daa ŋ tɩɩbɩ? Lee rɛ nibi hʋ kɛ we? 
LUK.17.18	Bee rɛ tɩŋ baal no aa bɩ yaa Gyuu dʋŋ mɩɩgɩ ko dɩ ʋ kyʋwalɩ Wɩɩsɩ aŋgyʋwasʋ?” 
LUK.17.19	Ɛɛ rɛ Yesu basɩ tɩya baal hʋ a baa, “Sii kɩ mʋ, ɩ aa laa Wɩɩsɩ di rɛ tɩŋ ɩ deye.”
LUK.17.20	Farasiima badɔmɔŋ gyɩ pɩyɛsɩ Yesu dɩ saŋa bee tɩyaŋ nɛ Wɩɩsɩ koro hʋ sɩ ko? Ɛɛ rɛ ʋ basɩ tɩya ba a baa, “Wɩɩsɩ koro hʋ koyi bɩ yaa wɩɩ ɩ aa sɩ wuwo na abee ɩ sɩɩ. 
LUK.17.21	Wɩɩsɩ koro hʋ we ma tɩyaŋ nɛ. Ɛɛwɩya, nal buloŋ bɩ sɩ wuwo baa, ‘Ma deŋ na, ʋ we daha, koo ʋ we lee kɩdɩgɩ dɔŋ.”’
LUK.17.22	Doŋ nɛ Yesu mɩɩgɩ basɩ tɩya ʋ hatɩnna hʋ a baa, “Saŋa kɩdɩgɩ sɩ pele dɩ ma kɩ kyɛ dɩ ma hɔŋ Mɩyaŋ Nihuwobiŋ Biye lee kyɛdɩgɩ dʋŋ mɛ gba, amɛ ma bɩ sɩ na gɛɛ.” 
LUK.17.23	Nala badɔmɔŋ sɩ basɩ tɩya ma a baa, “Na, ʋ rɛ nyɛ, koo, na ʋ rɛ we daha.” Dɩ ba aa rɛ ko basɩ gɛɛ, ma ta lɩɩ gɔllɩ kɩ kyɛ ʋ. 
LUK.17.24	Kyɛɛ hʋ Mɩyaŋ Nihuwobiŋ Biye aa sɩ mɩɩgɩ ko, nal buloŋ sɩ na ŋ anɩɩ duwoŋ aa lɩgɩsɩ a kyaanɩ wɩɩsɩnyuu nal nal buloŋ na ʋ gɛɛ. 
LUK.17.25	Amɛ ŋ sɩ laa sɩya na tʋwara, ka dɩ ma gyɩnaŋ nala ha vɩya ŋ. 
LUK.17.26	Saŋa hʋ mɩyaŋ Nihuwobiŋ Biye aa sɩ mɩɩgɩ ko, ʋ sɩ kɩɩ gɛɛ anɩɩ saŋa hʋ Nowa gyɩ aa we ʋ mɩɩbol tɩyaŋ. 
LUK.17.27	Nowa saŋa hʋ tɩyaŋ, nal nal buloŋ gyɩ we doŋ nɛ, a di aŋ kɩ nyʋwa, haana kɩ yala balama, baala mɛ kɩ paa haana, a mʋ pele kyɛɛ hʋ Nowa gyɩ aa gyʋʋ nɩɩduworiboro hʋ, ka nɩɩ ko kpʋ nɩkaalɩya hʋ buloŋ. 
LUK.17.28	Ɛɛ rɛ ba gyɩ kɩɩ saŋa hʋ tɩyaŋ Lɔɔtɩ mɛ gyɩ aa we ʋ mɩɩbol tɩyaŋ. Nala buloŋ gyɩ we doŋ nɛ, a di aŋ kɩ nyʋwa, badɔmɔŋ kɩ yallɩ kɩna, badɔmɔŋ mɛ kɩ yɔbɔ, badɔmɔŋ kɩ doho kɩna, badɔmɔŋ mɛ kɩ saa dɩɩsɩ. 
LUK.17.29	Ka kyɛɛ hʋ Lɔɔtɩ aa lɩɩ Sodɔm tɩyaŋ, diŋ abee gyɩrɩbʋyɩ gyɩ lɩɩ wɩɩsɩnyuu rɛ, a ko tuu kpa nɩkaalɩya hʋ buloŋ aa we doŋ di. 
LUK.17.30	Ɛɛ tɩɩ rɛ ba sɩ kɩɩ kyɛɛ hʋ mɩyaŋ Nihuwobiŋ Biye mɛ aa sɩ mɩɩgɩ ko. 
LUK.17.31	Haŋ kyɛɛ hʋ dɩ nal lɛ we salnyuu, ʋ ta bɩl kɩ lʋga dɩ ʋ tuu gyʋʋ ʋ dɩya a paa ʋ kɩna. Ɛɛ tɩɩ rɛ, dɩ nal mɛ rɛ we baga tɩyaŋ, ʋ ta bɩl kɩ lʋga dɩ ʋ mɩɩgɩ mʋ dɩya a kpa kɩŋ buloŋ. 
LUK.17.32	Ma liisi mʋ na wɩɩ hʋ gyɩ aa yaa Lɔɔtɩ haaŋ. 
LUK.17.33	Nal hʋ buloŋ aa kyɛ dɩ ʋ laa ʋ tɩɩ mɩɩbol, ʋ bɩ sɩ kaŋ mɩɩbol aa bɩ kaŋ tenii, amɛ nal hʋ aa kuu ŋ wɩya a vɩya ʋ mɩɩbol ta, ʋ tɩɩna rɛ sɩ kaŋ mɩɩbol aa bɩ kaŋ tenii. 
LUK.17.34	Ŋ basɩ kɩ tɩya ma rɛ, haŋ kyɛɛ hʋ, nala balɩya sɩ pɩŋ doo gododɩgɩ tɩyaŋ tebine, dɩ ba kpa kɩdɩgɩ aŋ leŋ kɩdɩgɩ ta. 
LUK.17.35	Haana balɩya sɩ kɩ nɔŋ mʋŋ, dɩ ba kpa kɩdɩgɩ aŋ leŋ kɩdɩgɩ ta. 
LUK.17.36	(Baala balɩya sɩ we baga tɩyaŋ, dɩ ba kpa kɩdɩgɩ aŋ leŋ kɩdɩgɩ ta.) 
LUK.17.37	Ɛɛ rɛ Yesu hatɩnna hʋ pɩyɛsɩ ʋ a baa, “Á Tɩɩna, lee tɩyaŋ nɛ wɩya no sɩ yaa?” Ɛɛ rɛ Yesu basɩ tɩya ba a baa, “Lee hʋ kɩpʋwa aa pɩna, doŋ nɛ duuno kɩ laŋŋɩ.”
LUK.18.1	Ɛɛ rɛ Yesu bɩl maga namaga tɩya ʋ hatɩnna hʋ, a daga ba anɩɩ ba aa yaa ba kɩ kyʋwalɩ Wɩɩsɩ saŋa buloŋ, aŋ ta leŋ dɩ ba tenni kɩ yʋwɔrɩ. 
LUK.18.2	Ʋ baa, “Sarɩdiil kɩdɩgɩ rɛ gyɩ we tɔɔ kɩdɩgɩ tɩyaŋ. Ʋ gyɩ bee fá Wɩɩsɩ, a bee tɩya nihuwobisi mɛ gyɩrɩma. 
LUK.18.3	Lohaaŋ kɩdɩgɩ mɛ rɛ gyɩ we tɔɔ hʋ tɩyaŋ. Saŋa buloŋ, ʋ gyɩ aa sii mʋ sarɩdiil no lee, a kɩ sʋla ʋ dɩ ʋ kyiyeli ʋ, a di sarɩya lo ʋ dɔŋtɩɩna kɩdɩgɩ tɩya ʋ. 
LUK.18.4	Piili hʋ tɩyaŋ, lohaaŋ no gyɩ ville sarɩdiil no lee rɛ yʋga, ka ʋ vɩya ʋ kyiyelii. Amɛ akuu lohaaŋ hʋ aa vala kɩ ko ʋ lee kyɛɛ bee ʋ nyʋwa buloŋ wɩya, sarɩdiil hʋ bɩɩnɩ ʋ tɩya tɩyaŋ a baa, ‘Ŋ paalɩ bee fá Wɩɩsɩ, ŋ bee tɩya nihuwobisi mɛ gyɩrɩma, 
LUK.18.5	Amɛ lohaaŋ no aa vala kɩ dɔmɔ ŋ nyɛ, ŋ sɩ pɛ ʋ tɩyaŋ, a di sarɩya no tɩya ʋ. Dɩ gɛɛ daa, ʋ ha sɩ vɩya aŋ vala kɩ dɔmɔ ŋ dɩ ŋ lɔgʋ mʋ lɩɩ.’ 
LUK.18.6	Ɛɛ rɛ á Tɩɩna Yesu mɩɩgɩ basɩ tɩya ʋ hatɩnna hʋ a baa, Sarɩdiil no aa ta bɩ kaŋ wɩtɩɩ, amɛ ma gyegili nɩɩ wɩɩ hʋ ʋ aa basa. 
LUK.18.7	Ma yaŋ bɩɩna anɩɩ Wɩɩsɩ kɛ rɛ bɩ sɩ wuwo pɛ ʋ nala tɩyaŋ dɩ ba laa wɩsʋma koo? Dɩ ba aa rɛ ŋmaa wulo kɩ tɩya ʋ wɩɩhaa abee tebine buloŋ, ʋ bɩ sɩ yaa gyegye, ka dɩ ʋ pɛ ba tɩyaŋ. 
LUK.18.8	Ŋ basɩ kɩ tɩya ma rɛ, ʋ sɩ di ba sarɩya lagɩlagɩ, a kpa wɩsʋma tɩya ba. Amɛ kyɛɛ hʋ Mɩyaŋ Nihuwobiŋ Biye aa sɩ mɩɩgɩ ko, ŋ sɩ na nala aa laa Wɩɩsɩ di?”
LUK.18.9	Nyɛ rɛ Yesu bɩl maga namaga no a tɩya nala hʋ aa laa ba tɩɩ di anɩɩ ba aa rɛ kaŋ tɩpʋlʋŋ a te nal buloŋ, aŋ kaŋ ba dɔŋtɩŋsɩ kɩ kʋwasɩ. 
LUK.18.10	Ʋ baa, “Baala balɩya rɛ gyɩ sii mʋ Wɩɩkyʋwaldɩɩbal hʋ dɩ ba kyʋwalɩ Wɩɩsɩ. Kɩdɩgɩ gyɩ yaa Farasii rɛ, ka kɩdɩgɩ hʋ mɛ yaa lampolaal. 
LUK.18.11	Ɛɛ rɛ Farasii hʋ sii sɩŋ, a kyʋwalɩ Wɩɩsɩ ʋ tɩya tɩyaŋ a baa, ‘Ŋ Tɩɩna Wɩɩsɩ, ŋ aa kyʋwalɩ ɩ aŋgyʋwasʋ rɛ, beewɩya ŋ bɩ kɩɩ nala hʋ aa gɔllɩ kaŋ nala kɩna kɩ fasɩ, koo nala hʋ aa bɩ kaŋ wɩtɩɩ, koo nala hʋ aa gɔllɩ kyɛ nala haana kɩ baŋ. Ŋ bɩ kɩɩ lampolaal no mɛ aa we daha. 
LUK.18.12	Ŋ aa vʋwa nyʋwa bʋlɩya rɛ yɔbɔ buloŋ tɩyaŋ. Kɩŋ hʋ buloŋ mɛ ŋ aa naa, ŋ aa kaŋ kpaa leye fi rɛ, a kpa lɩdɩgɩ tɩya ɩ.’ 
LUK.18.13	Ka lampolaal hʋ mɛ mʋ sɩŋ libolii, a paalɩ bɩ kaŋ ʋ nyuu mɛ gye, aŋ paa ʋ nosi vʋwa ʋ nyuu aŋ baa, ‘Wɩɩsɩ, fá ŋ sikii. Ŋ yaa wɩbɔŋyaal lɛ.’ 
LUK.18.14	Ɛɛ rɛ Yesu bɩl baa, “Wɩtɩɩ rɛ ŋ basɩ kɩ tɩya ma, saŋa hʋ ba aa kyʋwalɩ Wɩɩsɩ hʋ teŋ, ba balɩya tɩyaŋ, lampolaal hʋ rɛ yaa tɩpʋlʋŋ tɩɩna Wɩɩsɩ sɩya tɩyaŋ. Nal hʋ buloŋ aa kpa ʋ tɩɩ yohuŋ, Wɩɩsɩ sɩ kana ʋ fʋŋɩsɩ. Amɛ nal hʋ buloŋ aa kaŋ ʋ tɩɩ kɩ hʋwɔlɩ, Wɩɩsɩ sɩ kpa ʋ yohuŋ.”
LUK.18.15	Nala badɔmɔŋ mɛ rɛ gyɩ sii kaŋ ba biibiisi ko Yesu lee dɩ ʋ kpa ʋ nosi dɔbɔ ba tɩyaŋ, a sʋla Wɩɩsɩ tɩya ba. Yesu hatɩnna hʋ na ba, a nɔsɩ ba. 
LUK.18.16	Ɛɛ rɛ Yesu yɩrɩ biibiisi hʋ, aŋ basɩ tɩya ʋ hatɩnna hʋ a baa, “Ma leŋ dɩ biibiisi hʋ ko ŋ lee. Ma ta kil ba. Nala hʋ aa kɩɩ biibiisi no, ba aa rɛ we Wɩɩsɩ koro hʋ tɩyaŋ.” 
LUK.18.17	Nyɛ rɛ ʋ bɩl basɩ tɩya nala hʋ a baa, “Wɩtɩɩ rɛ ŋ basɩ kɩ tɩya ma, dɩ ɩ bɩ yelli Wɩɩsɩ anɩɩ biibiye aa yelli ʋ kuwo abee ʋ naa gɛɛ, ɩ bɩ sɩ wuwo na Wɩɩsɩ koro hʋ gyʋʋ.”
LUK.18.18	Ɛɛ rɛ Gyuuma nɩhɩyawʋ kɩdɩgɩ ko Yesu lee a pɩyɛsɩ ʋ a baa, “Nɩhɩyawelii, ɛɛ rɛ ŋ sɩ yaa a kaŋ mɩɩbol aa bɩ kaŋ tenii?” 
LUK.18.19	Ɛɛ rɛ Yesu pɩyɛsɩ ʋ a baa, “Bee rɛ tɩŋ ɩ yɩrɩ ŋ nɩhɩyawelii? Nal buloŋ bɩ weliye, see Wɩɩsɩ dʋŋ. 
LUK.18.20	Na ɩ gyɩŋ wɩya hʋ Moosi aa saba biŋ dɩ ma kɩ tɩŋa hʋ rɛ? Ba aa rɛ nyɛ: Ta kyɛɛ nal haaŋ koo nal bala. Ta kpʋʋ nal. Ta gaa. Dɩ ɩ rɛ yaa daŋsɩya wɩɩ tɩyaŋ, ta nyɩya wɩya, kɩ fá ɩ kuwo abee ɩ naa.” 
LUK.18.21	Ɛɛ rɛ baal hʋ baa, “Ŋ aa tɩŋ wɩya no kɛ buloŋ nɛ a lɩɩ ŋ biibiri tɩyaŋ buloŋ.” 
LUK.18.22	Ʋ aa basɩ gɛɛ, Yesu bɩl basɩ tɩya ʋ a baa, “Wɩdɩgɩ rɛ kaa ɩ ha aa sɩ yaa. Mʋ kpa ɩ kɩŋ kɩŋ buloŋ yallɩ, a kpa molbiye hʋ tɩya nyaaba, aŋ ko kɩ tɩŋa ŋ. Dɩ ɩ rɛ yaa gɛɛ, ɩ sɩ kaŋ kɩna wɩɩsɩbee tɩyaŋ.” 
LUK.18.23	Baal hʋ aa nɩɩ wɩɩ no, ʋ tɩya buloŋ kyogi, beewɩya ʋ gyɩ kaŋ kɩna rɛ weliŋ. 
LUK.18.24	Yesu aa naa dɩ ʋ tɩya kyogo gɛɛ, ʋ baa, “Ʋ yaa wɩduwo rɛ anɩɩ kɩna tɩmma aa sɩ wuwo gyʋʋ Wɩɩsɩ koro hʋ tɩyaŋ. 
LUK.18.25	Nyɔgɩmaa aa sɩ tɩŋ gahaŋ sɩɩ lɩɩ, ʋ rɛ yaa mɔl a te gɛɛ kɩna tɩɩna aa sɩ yaa a gyʋʋ Wɩɩsɩ koro hʋ.”
LUK.18.26	Nala hʋ aa nɩɩ Yesu aa basɩ gɛɛ, ba pɩyɛsɩ ʋ a baa, “Kɩbee rɛ yaŋ Wɩɩsɩ sɩ laa ta?” 
LUK.18.27	Ɛɛ rɛ Yesu basɩ tɩya ba a baa, “Wɩɩ hʋ aa kperi nihuwobiŋ, ʋ bɩ kpere Wɩɩsɩ kɛ.” 
LUK.18.28	Ɛɛ rɛ Piita basɩ tɩya ʋ a baa, “Deŋ na, á kɛ leŋ á kɩŋ kɩŋ buloŋ ta rɛ aŋ kɩ tɩŋa ɩ hal.” 
LUK.18.29	Ɛɛ rɛ Yesu basɩ tɩya ba a baa, “Wɩtɩɩ rɛ ŋ basɩ kɩ tɩya ma, nal hʋ buloŋ aa sɩ kuu Wɩɩsɩ koro hʋ wɩya a leŋ ʋ dɩya abee ʋ haaŋ koo ʋ naabalɩya koo ʋ kuwo abee ʋ naa koo ʋ biisi, 
LUK.18.30	Wɩɩsɩ sɩ tɩya ʋ tɩɩna kɩna yʋga a te kɩna hʋ ʋ aa leŋ ta. Dɩ ʋ rɛ ko sʋba mɛ, Wɩɩsɩ sɩ tɩya ʋ mɩɩbol hʋ aa bɩ kaŋ tenii.”
LUK.18.31	Ɛɛ rɛ Yesu kaŋ ʋ hatɩnna fi abee balɩya hʋ gɩɩgɩ lɩɩ, a basɩ tɩya ba a baa, “Ma gyegili nɩɩ daha. Á aa mʋ Gyerusalɛm nɛ. Doŋ tɩyaŋ, Mɩyaŋ Nihuwobiŋ Biye wɩya hʋ Wɩɩsɩ tɩŋdaala hʋ aa saba biŋ, ba buloŋ sɩ ko su ba bʋʋsɩ. 
LUK.18.32	Ba sɩ kpa ŋ we nala hʋ aa bɩ yaa Gyuuma nosi tɩyaŋ dɩ ba yaa ŋ sɩya. Ba sɩ tʋʋsɩ ŋ aŋ pɛ tʋ naŋtʋwɔl mɛ we ŋ tɩyaŋ. 
LUK.18.33	Ba sɩ vɩɩrɩ ŋ aŋ kpʋ ŋ, amɛ ŋ sɩ sii sʋʋ tɩyaŋ ʋ kyɛtoo kyɛɛ.” 
LUK.18.34	Amɛ Yesu hatɩnna hʋ gyɩ bɩ gyɩŋ wɩya no memii. Wɩya no buloŋ gyɩ yaa wɩfaŋɩya rɛ ba lee. Ba gyɩ bɩ gyɩŋ wɩɩ hʋ wɩya Yesu aa basɩ.
LUK.18.35	Yesu bee ʋ hatɩnna hʋ aa mʋʋ hʋ tɩyaŋ nɛ, ba mʋ kpaga tɔɔ kɩdɩgɩ ba aa yɩrɩ Gyɛriko. Dɩ banyʋlʋŋ kɩdɩgɩ mɛ hɔŋ ŋmanɩɩ hʋ nyʋwa a kɩ sʋla kɩna. 
LUK.18.36	Nyʋlʋŋ hʋ aa nɩɩ nɩgyamaa hʋ aa baŋ dɔmɔ, ʋ pɩyɛsɩ a baa, “Bee rɛ aa yaa?” 
LUK.18.37	Ɛɛ rɛ ba basɩ tɩya ʋ anɩɩ Yesu aa lɩɩ Nazarɛti rɛ aa baŋ. 
LUK.18.38	Ɛɛ rɛ ʋ yɩrɩ Yesu a baa, “Yesu, Deviti nihii, fá ŋ sikii.” 
LUK.18.39	Nala hʋ aa we ʋ sɩya nɔsɩ ʋ, dɩ ʋ leŋ ʋ kyagɩŋsɩ hʋ. Amɛ ʋ marɩ yɩrɩ yʋga a te gɛɛ a baa, “Yesu, Deviti nihii, fá ŋ sikii.” 
LUK.18.40	Ɛɛ rɛ Yesu sɩŋ aŋ baa dɩ ba kaŋ nyʋlʋŋ hʋ ko ʋ lee. 
LUK.18.41	Ba aa kana ʋ ko pele, Yesu pɩyɛsɩ ʋ a baa, “Bekiŋ nɛ ɩ kɩ kyɛ dɩ ŋ yaa tɩya ɩ?” Ʋ basɩ tɩya ʋ a baa, “Ŋ nɩhɩyawʋ, ŋ aa kyɛ dɩ ŋ bɩl kɩ na rɛ.” 
LUK.18.42	Ɛɛ rɛ Yesu basɩ tɩya ʋ, “Ɩ sɩya suro rɛ. Ɩ aa laa Wɩɩsɩ dɩ rɛ rɛ tɩŋ ɩ deye.” 
LUK.18.43	Doŋ nɛ ʋ sɩya pirigi suri, ʋ sii kɩ tɩŋ Yesu hal a kɩ dannɩ Wɩɩsɩ. Nɩgyamaa hʋ buloŋ aa naa gɛɛ, ba buloŋ mɛ kɩ dannɩ Wɩɩsɩ.
LUK.19.1	Nyɛ rɛ Yesu gyɩ bɩl mʋ lɩɩ Gyɛriko, a vala tɩŋ bee hʋ tɩyaŋ kɩ mʋ, dɩ baal kɩdɩgɩ ba aa yɩrɩ Zakiyo rɛ gɛɛ. 
LUK.19.2	Ʋ fa yaa lampolaala nɩhɩyawʋ rɛ, a fa kaŋ kɩna mɛ weliŋ. 
LUK.19.3	Zakiyo gyɩ aa kyɛ dɩ ʋ na haŋ nal hʋ iriŋ Yesu aa yaa rɛ, amɛ gyamaa gyɩ aa we doŋ wɩya, ʋ gyɩ bɩ wuwo dɩ ʋ na ʋ, beewɩya ʋ gyɩ yaa nɩkuu rɛ. 
LUK.19.4	Ɛɛ rɛ ʋ parɩ nala hʋ buloŋ ta, aŋ fá mʋ sɩya, a gyɩŋ tɩya dɩ ʋ wuwo na Yesu. Ʋ gyɩ gyɩma anɩɩ Yesu sɩ ko tɩŋ tɩya hʋ memii baŋ nɛ. 
LUK.19.5	Yesu aa ko tɩŋ tɩya hʋ memii kɩ baŋ, ʋ wil deŋ tɩya hʋ nyuu a na Zakiyo, a basɩ tɩya ʋ a baa, “Zakiyo, ko tuu lagɩ, beewɩya ɩ dɩyaŋ nɛ ŋ sɩ pɩŋ gyɩnaŋ.” 
LUK.19.6	Zakiyo aa nɩɩ gɛɛ, ʋ teŋ buloŋ fɩyɛlɩ. Ʋ gɩlɩŋsɩ ko tuu lagɩ lagɩ a kaŋ Yesu mʋ ʋ dɩya. 
LUK.19.7	Nala hʋ buloŋ aa we doŋ aa naa gɛɛ, ba piili kɩ gʋrɩmɩ wɩya a baa, “A! Ma na baal no kɔnɩ aa mʋ dɩ ʋ pɩŋ wɩbɔŋyaal no dɩya tɩyaŋ.” 
LUK.19.8	Saŋa hʋ á Tɩɩna Yesu aa we Zakiyo dɩya tɩyaŋ, Zakiyo sii sɩŋ a basɩ tɩya ʋ a baa, “Ŋ nɩhɩyawʋ, ŋ sɩnɩɩ no tɩyaŋ, ŋ sɩ kaŋ ŋ kɩna buloŋ kpaa leye balɩya, a kpa lɩdɩgɩ tɩya nyaaba. Ka dɩ mɩyaŋ nɛ fa firimi nal buloŋ mɛ, ŋ sɩ tuŋ ʋ tɩɩna maga gɛɛ ŋ aa firimi ʋ naaŋsɩɩnyʋwa bʋnaa.” 
LUK.19.9	Ɛɛ rɛ Yesu basɩ tɩya ʋ a baa, “Wɩɩsɩ laa ɩ bee ɩ dɩya nala buloŋ ta rɛ gyɩnaŋ. Beewɩya ɩ mɛ yaa Abɩraham doho nal lɛ. 
LUK.19.10	Mɩyaŋ Nihuwobiŋ Biye ko dɩ ŋ kyɛ na nala hʋ aa nyʋgɩsa rɛ, a laa ba ta.”
LUK.19.11	Saŋa hʋ Yesu gyɩ aa ko kpaga Gyerusalɛm, ɛɛ rɛ ʋ maga namaga no tɩya nala hʋ aa gyegile kɩ nɩɩ wɩya hʋ ʋ aa basɩ. Beewɩya nala hʋ gyɩ aa bɩɩnɩ anɩɩ ʋ aa kpaga Gyerusalɛm nyɛ, Wɩɩsɩ koro hʋ koyi mɛ kpaga rɛ. 
LUK.19.12	Ʋ gyɩ baa, “Nɩbal kɩdɩgɩ rɛ gyɩ siye, a kɩ mʋ paalʋʋ bolii kɩdɩgɩ, dɩ ba holli ʋ ʋ bee koro, ka dɩ ʋ mɩɩgɩ ko. 
LUK.19.13	Ʋ gyɩ aa sii dɩ ʋ mʋ, ʋ gyɩ yɩrɩ ʋ dɩya tʋŋtʋnna fi ko laŋŋɩ rɛ, a kpa salɩŋbidɩgɩ dɩgɩ tɩya ba kɩdɩgɩ buloŋ, aŋ baa dɩ ba kaŋ kɩ bɩrɩmɩ dɩ ʋ mʋ aŋ ko. 
LUK.19.14	Amɛ nɩbal no bee nala gyɩ haasɩ ʋ rɛ weliŋ. Ʋ gyɩ aa mʋ ko teŋ, ba mɛ gyɩ sii tɩŋ tɩŋdaala dɩ ba kile ʋ lugo, a mʋ basɩ tɩya kuworibal hʋ lee ʋ aa mʋ dɩ ʋ holli ʋ koro hʋ, anɩɩ ba bɩ kyo dɩ baal hʋ yaa ba kuwori. 
LUK.19.15	Abee gɛɛ buloŋ, ka ba gyɩ holli baal hʋ koro hʋ, ka ʋ mɩɩgɩ ko. Ʋ gyɩ aa mɩɩgɩ ko, ʋ yɩrɩ ʋ tʋŋtʋnna hʋ ʋ fa aa kpaa molbiye hʋ tɩya, dɩ ʋ na ba kɩdɩgɩ buloŋ aa naa tɔnɔ maga gɛɛ. 
LUK.19.16	Nyɛ rɛ buŋbuŋ tʋŋtʋnnɩ ko basɩ tɩya ʋ a baa, ‘Ŋ nɩhɩyawʋ, molbii hʋ ɩ aa kpaa tɩya ŋ hʋ, ŋ mɛ kaŋ tʋma rɛ a na maga gɛɛ fi a pɛ.’ 
LUK.19.17	Ɛɛ rɛ ʋ nɩhɩyawʋ hʋ basɩ tɩya ʋ a baa, ‘Gyaaŋbiye, gasɩbɩnaa! Ɩ yaa tʋŋtʋnnɩtɩɩ rɛ. Ɩ aa yaa gɛɛ a deŋ kɩbiibiye no nyuu weliŋ abee wɩtɩɩ nyɛ, ŋ sɩ leŋ dɩ ɩ kɩ deŋ tɔbala fi.’ 
LUK.19.18	Ɛɛ rɛ tʋŋtʋnnɩlɩya hʋ tɩɩna mɛ ko ʋ lee a baa, ‘Ŋ nɩhɩyawʋ, molbii hʋ ɩ aa kpaa tɩya ŋ hʋ, ŋ mɛ kaŋ tʋma rɛ a na maga gɛɛ bʋnɔŋ a pɛ.’ 
LUK.19.19	Ɛɛ rɛ ʋ nɩhɩyawʋ hʋ basɩ tɩya ʋ dɩ ʋ mɛ sɩ kɩ deŋ tɔbala bɔnɔŋ. 
LUK.19.20	Ɛɛ rɛ tʋŋtʋnna hʋ kɩdɩgɩ mɛ ko a basɩ tɩya ʋ a baa, ‘Ŋ nɩhɩyawʋ, na ɩ molbii hʋ ɩ aa kpaa tɩya ŋ. Ŋ kaŋ mʋ gulo gakɔsʋŋ tɩyaŋ nɛ a kpa faŋa. 
LUK.19.21	Ŋ aa fá ɩ rɛ, beewɩya ɩ wɩya hayɛ rɛ kɩŋkaŋ. Ɩ aa kaŋ nala kɩna kɩ fasɩ rɛ aŋ aa kɩ kʋŋ kɩna mɛ ɩ aa bɩ doho.’ 
LUK.19.22	Ɛɛ rɛ ʋ nɩhɩyawʋ hʋ basɩ tɩya ʋ a baa, ‘Ɩ yaa tʋŋtʋnnɩbɔŋ nɛ. Wɩya hʋ ɩ aa basa tɩɩ rɛ ŋ sɩ kpa di ɩ sarɩya dɩ ɩ tele. Ɩ gyɩma anɩɩ ŋ wɩya hayɛ rɛ, ŋ kaŋ nala kɩna kɩ fasɩ, aŋ pɛ kɩ kʋŋ kɩna ŋ aa bɩ doho. 
LUK.19.23	Bee rɛ yaŋ tɩŋ ɩ fa bɩ kaŋ ŋ molbii hʋ mʋ biŋ bangi tɩyaŋ? Ŋ fa aa mɩɩgɩ ko nyɛ, ŋ fa sɩ laa molbii hʋ abee ʋ tɔnɔ buloŋ.’ 
LUK.19.24	Ɛɛ rɛ ʋ basɩ tɩya ʋ tʋŋtʋnnɩ dɔŋtɩŋsɩ hʋ fa aa sɩŋ doŋ a baa, ‘Ma laa salɩŋbidɩgɩ hʋ ʋ lee, a kpa tɩya nal hʋ aa kaŋ kɩna fi hʋ.’ 
