MAT.1.1	Nde nguinu scua nii ta nten 'in Jesucristo, sñe' ta nten 'in Davi, cui' sñe' ta nten 'in Abraham. 
LUK.4.21	lo' juin ñi: Cua' ñii ya tucua tsaan ña'an nchcui' quityi re lo'o um. 
LUK.4.22	Nchgaa ne' tsu'hue ndaa ne' suun cha' 'in ñi, nduhue ti' ne' si'yana tsu'hue 'a nguiaa cha' nu nchcui' ñi, lo' scasca ne' nchcui' ne': ¿Ta si'i sñe' yu See lca yu re? 
LUK.4.23	Xacan' juin ñi: A s'ni ntsu'hui nu ñan ti' cha' re lo'on: 'Un ne' nu n'ni rmiyu, cu'ni chca 'in ticuii', tsala ña'an qui'an cha' nu cua' ngune 'in hua m'ni quichen Capernaum, una cua' ñii cu'ni 'in na quichen tyi re. 
LUK.4.24	Ti' juin la ñi: Nu cha' ñi cunen lo'o um, sca nu nxiycui' Ndiose 'in, a ndyijyi nu nducuan xu'hue 'in quichen tyi. 
LUK.4.25	Cha' ñi si'yana qui'an 'a ne' cuna'an Israel nguinu lo'o cha' ycui' ti lja mda'an ycui' Elía, xa nu a ngu'ya 'a quioo tsani' snan yjan tlu'hue, lo' lyee ngu'ya bju'ñan sca chcui se'en can', 
LUK.4.26	una a ngua'an tñan Ndiose 'in yu Elía tsaa yu se'en ndi'in scasca ne' cuna'an can', cui' ca nu yaa yu quichen Sarepta se'en lyi'ya loo Sidón, se'en ndi'in sca ne' cuna'an nu nguinu lo'o cha' ycui' ti. 
LUK.4.27	Cui' cuaña'an xa mda'an yu Eliseo, yu nu mxiycui' Ndiose 'in, qui'an 'a nu ti'i lo'o quitso' la ndi'in quichen Israel, una ñi sca can' lo' a mchca, cui' ca nu scati yu Naamán mchca yu, yu nu mdo'o se'en lyi'ya loo Siria. 
LUK.4.28	Nchgaa nu nguio' ti'in can' ycuen tique' lo'o ñi xa ngune 'in ne' cha' can', 
LUK.4.29	cui' xaa mdyiton ne' lo' ngulo ne' 'in ñi nde tu'hua quichen, ya lo'o ne' 'in ñi loo qui'ya se'en chen ña'an, can' ncua ti' ne' xityu ne' 'in ñi. 
LUK.4.30	Una Jesús mdijin ñi tlu'hue la lja ne', mdo'o ñi nguiaa ñi.
LUK.4.31	Xacan' mdo'o Jesús nguiaa ñi quichen Capernaum se'en lyi'ya loo Galilea, lo' ndlo'o ñi 'in nten tsaan nu nxitñan' ne'. 
LUK.4.32	Nduhue 'a ti' ne' tsaña'an cha' nu ndlo'o ñi si'yana nchcui' ñi tsaña'an nchcui' sca nu nda'an lo'o cha' cuiya'. 
LUK.4.33	Se'en nguio' ti'in ne' nguilyu sca yu nu ntsu'hui cui'in xa'an 'in, 
LUK.4.34	lo' nchcui' cueen yu: ¡A cu'ni lyi'o 'in hua! ¿Ñi cha' nducui ndijin loo hua, Jesús Nazaret? ¿Ta cua' ljyaan si'yana cujlyo 'in hua? Nan' ndyu'huin lyoon tucui lca, nu'huin lca ycui' ca nu mdo'o hui 'in Ndiose. 
LUK.4.35	Una Jesús ngusun lo'o ñi 'in cui'in xa'an can', lo' juin ñi: Seen tyi'in, tyi'o se'en ntsu'hui cua. Cui' xaa mxitlyu cui'in xa'an can' 'in yu lja nten can', cui' ña'an lcaa mdyi'o cui'in xa'an can' 'in yu lo' a sca ti'i ncua 'in yu. 
LUK.4.36	Yuhue 'a ti' nchgaa nu ndi'in can', lo' nchcui' ne': ¿Ñi cha' nchca ti' chcui' cha' re si'yana lo'o cha' cuiya' ndlo yu tñan 'in cui'in xa'an, lo' nchca ja'an 'in yu? 
LUK.4.37	Cui' xaa ti can' mscua cueen cha' 'in Jesús sca chcui se'en can'.
LUK.4.38	Xacan' mdyi'o Jesús se'en ndiyo' ti'in ne', mdiyaa ñi la na'an 'in yu Tyo se'en nscua jyi'an laa yu ti'i si'yana lyee ndu'hui tique' 'in, lo' mjñan jun cha' tsu'hue 'in ñi si'ya ne'. 
LUK.4.39	Mxiton Jesús se'en nscua ne' lo' ngusun lo'o ñi 'in tique' can', mdyi'o na 'in ne', cui' xaa mdyi tucui ne' lo' m'ni cunta ne' 'in jun.
LUK.4.40	Xa msiin tsaan can' mdyisnan mdiya lo'o ne' 'in nu ti'i lo'o cuati loo quicha se'en ndon Jesús, cunda scaa ne' mdi'in tyaa ñi yaa' ñi 'in ne' lo' mchca ne'. 
LUK.4.41	A cunta qui'an nu mdo'o cui'in xa'an 'in, lo' nxi'ya cueen lo' nchcui': Nu'huin lca ycui' ca Sñe' Ndiose. Una ngusun lo'o ñi 'in cui'in can' lo' a mdaa 'a ñi cha' cuiya' ti' chcui', si'yana cua' jlyo ti' cui'in xa'an can' si'yana lca ñi ycui' ca Cristo.
LUK.4.42	Xa cua' ngu'ya xaa mdo'o Jesús nguiaa ñi nde tu'hua quichen se'en scati ñi, una mdyisnan ngunan nten can' 'in ñi, xa mdiyaa ne' se'en ndon ñi ncua ti' ne' si'yana a tyi'o tso' ñi quichen can', 
LUK.4.43	una juin ñi 'in ne': 'Ni cha' tsa ycuin' cha' tsu'hue 'in Ndiose scasca la quichen tsaña'an ntsu'hui cha' culo ñi tñan 'in ne', si'yana can' tñan ljyaan. 
LUK.4.44	Scasca se'en ndiyo' ti'in ne' judio se'en lyi'ya loo Galilea, mda'an ycui' ñi cha' 'in Ndiose.
LUK.5.1	Yato'o xa ndon Jesús tu'hua tiyo' Genesaret, lo' nten qui'an can' nsta su'hua ta'a ne' tloo ñi loo nu lyee lca tiquee ne' quine 'in ne' cha' 'in Ndiose. 
LUK.5.2	Na'an ñi nducui tucua yca na'an cui' ti tu'hua tyi'a se'en ndlyu yu cuta cula ñjyi'an yu quitan 'in yu. 
LUK.5.3	Xacan' yten ñi ni' sca yca na'an cui' nu 'in yu Simón, mjñan ñi cha' tsu'hue 'in yu si'yana tcan' na'an chin' yu 'in na nde loo tyi'a can', yten tucua ñi lo' mdyisnan ngulo'o ñi 'in nten. 
LUK.5.4	Xa mdyi ycui' ñi lo'o ne', juin ñi 'in yu Simón can': Ya lo'o um yca na'an re 'in um la se'en tlya la cua, lo' cuun um quitan cua 'in um lo' xñi um cula. 
LUK.5.5	Mxcuen yu Simón can' 'in ñi: 'Un ñi nu lca Bstro, chcui tla m'ni hua cuta lo' ñi sca cula a jui 'in hua, una cuun hua quitan re si'yana 'un ndlo um tñan 'in hua. 
LUK.5.6	Xa nguun yu 'in na qui'an 'a cula nguinu 'in yu, nu hasta lo'o mda' quitan can'. 
LUK.5.7	Xacan' m'ni yaa' ti yu 'in nu ntsu'hui ni' xca yca na'an can' si'yana can ta yaa' 'in yu. Cui' xaa mdiyaa yu lo' m'ni cha'an yu chcuaa yca na'an can', nu tichin' ti na a ngutyin' yu'hui na. 
LUK.5.8	Yu Simón Tyo can' xa na'an yu cha' re mdyi'ya xtyin' yu tloo ñi lo' juin yu: Ñi X'nan, tyi'o tso' um siin' si'yana nan' lcan nten qui'ya chendyu. 
LUK.5.9	Si'yana qui'an cula msñi yu, lyee msu'hua yu cha' nduhue ti' tiquee yu lo'o nchgaa ta'a nda'an yu, 
LUK.5.10	cui' cuaña'an lo'o chcuaa sñe' Zebedeo, yu Jacobo lo'o yu Xuhua, msu'hua yu cha' tiquee yu, cui' yu nu ta'a ngui'ni yu Simón can' tñan. Una Jesús juin ñi lo'o Simón can': A cutsen si'yana ti' cua' ñii tyisnan cu'ni cuta, tyicana 'in nten. 
LUK.5.11	Xacan' nchgaa yu ngulyo sti yu yca na'an can' la tu'hua ysin, mxnu yu nchgaa na 'in yu lo' mducui ncha'an yu 'in ñi.
LUK.5.12	Yato'o lja nguilyu Jesús sca quichen, mdiyaa ton sca yu qui'yu nu ngujlyo nguxen quitso' la 'in, lo' xa na'an yu 'in Jesús cui' xaa mdyi'ya xtyin' yu tloo ñi lo' mdyi'ya sti yu tloo yu la lyuu, mjñan yu cha' tsu'hue 'in ñi lo' juin yu: Ñi X'nan hua, cha' nchca ti' um tca cu'ni chca um 'ñan. 
LUK.5.13	Xacan' mxñii ñi yaa' ñi lo' m'ni ca'an ñi 'in yu, lo' juin ñi: Nchca tin' cu'nin chcan 'in, quinu luhui. Ticui' xaa can' ngulyijyi quitso' la can' 'in yu lo' mchca yu. 
LUK.5.14	Ngulo ñi tñan si'yana a chcui' yu lo'o ñi sca tucui cha' nu yato'o, tsaloo juin ti ñi 'in yu: Yaa, lo' culo'o 'in tloo nu ntsu'hui cunta 'in laa, taa sca lcuan tsaña'an nu ngulo Moisé tñan, cuaña'an ca cuiya' ti' nten si'yana cua' mchca. 
LUK.5.15	Una nde lyee la mscua cueen cha' 'in ñi, qui'an nten nguio' ti'in tloo ñi se'en nu ton nscan ne' cha' nu nchcui' ñi, a cunta si'yana cu'ni chca ñi 'in ne' lo'o quicha nu ntsu'hui 'in ne'. 
LUK.5.16	Una Jesús la' ña'an ndyi'o ñi nchcui' lyi'o ñi 'in Ndiose se'en scati ñi.
LUK.5.17	Yato'o sca tsaan ndlo'o Jesús 'in nten, lja can' nducua tucua snan ne' fariseo lo'o yu nu m'ni cha'an cha' 'in lee, nu mdo'o scasca quichen se'en lyi'ya loo Galilea lo'o Judea, a cunta lo'o nu mdo'o quichen Jerusalén, lo' Jesús nda'an lo'o ñi cha' cuiya' 'in Ñi X'nan na nu cu'ni chca ñi 'in nten. 
LUK.5.18	Xacan' tucua snan yu qui'yu mdiya lo'o yu sca qui'ñan se'en nscua sca yu ti'i nu cuti ti' ña'aan, ncua ti' yu si'yana sten lo'o yu 'in la se'en ndon Jesús. 
LUK.5.19	Una a ncua sten yu si'ya nten qui'an can', can' cha' ycuen yu nde que na'an lo' msla yu sca se'en, can' mdyi'ya yu qui'ñan se'en nscua nu ti'i can' tlu'hue la se'en ndon Jesús. 
LUK.5.20	Xa na'an ñi si'yana lyee ndiya qui'an ti' yu nu mdyi'ya qui'ñan can', xacan' juin ñi 'in nu ti'i can': Ña'an jan ñi, cua' nguten qui'ya nducui. 
LUK.5.21	Ne' escriba lo'o ne' fariseo cui' xaa mda'an cha' tiquee ne' lo' nguñan ti' ne': ¿Ta tnu 'a tiquee yu re ña'an nchcui' ca'an yu 'in Ndiose? ¿Ta si'i scati Ndiose nchca 'in ñi nxicuten ñi qui'ya? 
LUK.5.22	Jesús ngu'ya ñi cha' tiyaa ña'an cha' nu ñan ti' ne', lo' juin ñi: ¿Ñi cha' ñan ti' um cuaña'an lo'o cha' nu ycuin' re? 
LUK.5.23	¿Ti ña'an ta cha' nu a tucui la chcuin' lo'o yu ti'i re: Ta cunen lo'o yu cua' nguten qui'ya nducui, uta chcuin' lo'o yu, tyiton lo' quiaa? 
LUK.5.24	Ña'an jan ñi, ca jlyo ti' um si'yana lo'on nan', Yu Qui'yu nu Mdo'o nde ni' Cuaan, ntsu'hui cha' cuiya' 'ñan xicuten qui'ya nducui nten chendyu, (xacan' juin ñi 'in yu ti'i can':) Nan' chcuin' lo'o, tyiton, xñi s'ñan lo' quiaa la na'an 'in. 
LUK.5.25	Cui' xaa mdyiton yu tloo na'an nchgaa nten can', msñi yu s'ñan yu, mdo'o yu nguiaa yu nde ña'an 'in yu, lo' ngui'ni tnu yu 'in Ndiose. 
LUK.5.26	Nchgaa ne' can' ndyijyin ya' yuhue ti' ne', lo' m'ni tnu ne' 'in Ndiose, msu'hua ne' cha' tiquee ne' lo' nchcui' ne': La ñii na'an na sca cha' nu tnu ca.
LUK.5.27	Xa cua' mdijin cha' can' mdo'o Jesús nguiaa ñi, se'en mdijin ñi na'an ñi sca yu ndlo tñi nu naan Leví, nducua yu se'en nsu'hua lyiya' nten tñi, xacan' juin ñi 'in yu: Chcui ncha'an 'ñan. 
LUK.5.28	Cui' xaa mdyiton yu lo' mxnu yu nchgaa tñan can', lo' mducui ncha'an yu 'in ñi. 
LUK.5.29	M'ni yu Leví cha' ncua sca ta'a la na'an 'in yu si'ya Jesús, a cunta tyun ta'a ndlo yu tñi nducua ycu yu can' tsatlyu lo'o ta'a tsu'hue yu. 
LUK.5.30	Ne' escriba lo'o ne' fariseo mdyisnan nchcui' tyijyin ne' lo'o yu ta'a nda'an ñi, lo' nchcui' ne': ¿Ñi cha' nducua ycu um lo' ndyi'yo um tsatlyu lo'o yu ndlo tñi, lo'o yu nducun'? 
LUK.5.31	Xacan' mxcuen Jesús 'in ne': Nten nu a la 'in ti'i, a 'ni cha' 'in lo'o rmiyu, una nu ti'i, can' nu 'ni cha' 'in lo'o na. 
LUK.5.32	Nan' a ljyaan si'ya nten nu a nducui qui'ya, cui' ca nu ljyaan si'ya nu nducui qui'ya si'yana xilo'o chon' ne' qui'ya ngui'ni ne'.
LUK.5.33	Xacan' juin ne' 'in ñi: ¿Ñi cha' ta yu ta'a nda'an yu Xuhua la' nchgaa ti xaa n'ni yu ayuna lo' nchcui' lyi'o yu 'in Ndiose, cui' cuaña'an ta 'in ne' fariseo, una ñi cha' ta yu ta'a nda'an nu'huin nchcu yu lo' ndyi'yo yu? 
LUK.5.34	Mxcuen ñi 'in ne': ¿Ta tca xicu'ni um 'in nu nda'an se'en ndyija cuilyi'o ne', lo' cu'ni can' ayuna lja nu ti' nducua yu nu ndyija cuilyi'o can'? 
LUK.5.35	Tyicana tiyaa xaa, a la 'a quine cueen yu nu ndyija cuilyi'o re, la xacan' cu'ni can' ayuna. 
LUK.5.36	Xacan' mdi'in tyaa ñi sca cha' lo' juin ñi: A tucui nu nsi'yu tsa yu'hue te' tiji lo' nxcuan su'hua 'in na lo'o te' cula, si'yana cha' cu'ni ne' cuaña'an, cua' ngujlyo ne' te' tiji can', a cunta a nchcua ta'a te' tiji can' lo'o te' cula. 
LUK.5.37	Cui' cuaña'an a tucui nu nsu'hua vino nu tca mdo'o ni' sca cuijyin quijyin nu cua' cula, si'yana cha' cu'ni ne' cuaña'an, vino can' chcuen na lo' cu'ni na cha' cutsu quijyin can', tsato'o quilo vino lo' jlyo quijyin can'. 
LUK.5.38	Can' cha' ntsu'hui cha' chu'hui vino nu tca mdo'o ti ni' sca cuijyin quijyin nu tiji, lo' ñi vino lo' ñi quijyin can' a jlyo na. 
LUK.5.39	A cunta nu ndyi'yo vino nu cua' s'ni mdo'o, a ndyi'o tiquee can' co'o vino nu tca mdo'o ti si'yana ndeña'an nchcui' can': Tsu'hue la vino nu cua' s'ni mdo'o.
LUK.6.1	Yato'o sca tsaan nu nxitñan' ne' judio, mdijin xi'yu Jesús lo'o yu ta'a nda'an ñi sca loo jyaan se'en nducua trigo, mdyisnan mston yu 'in na, mycui yaa' yu 'in na si'yana tyi'o scua' na lo' cu yu mti na. 
LUK.6.2	Tucua snan ne' fariseo juin ne' lo'o jun: ¿Ñi cha' ta ngui'ni um sca cha' nu a nga'an cha' cu'ni na tsaan nu nxitñan' na? 
LUK.6.3	Mxcuen Jesús 'in ne': ¿Ta na a nchca chcui' um quityi tsaña'an nguinu scua sca cha' 'in yu Davi xa lyee ngute' ti' yu lo'o ta'a mda'an yu? 
LUK.6.4	Yten yu se'en n'ni tnu ne' 'in Ndiose lo' msñi yu jaslya nu cua' ncuan 'in Ndiose, cui' jaslya nu nchcu tsalca yu nu ndlo tñan se'en can', una Davi ycu 'in na, a cunta mdaa yu 'in na 'in ta'a nda'an yu. 
LUK.6.5	Lo' juin ñi 'in ne': Yu Qui'yu nu Mdo'o nde ni' Cuaan, lo'o tsaan nu nxitñan' na lca Ñi X'nan na.
LUK.6.6	Yato'o xca tsaan, ticui' tsaan nu nxitñan' ne' judio, yten Jesús se'en n'ni tnu ne' 'in Ndiose, mdyisnan ngulo'o ñi 'in nten, lja can' ntsu'hui sca yu qui'yu nu ngutyi yaa' tso' cueen 'in. 
LUK.6.7	Ne' escriba lo'o ne' fariseo nsñi ne' cunta 'in Jesús cha' ta cu'ni chca ñi 'in yu ti'i can' tsaan nu nxitñan' ne', ña'an ca si'yana su'hua ne' qui'ya 'in ñi. 
LUK.6.8	Una Jesús ngu'ya ñi cunta cha' nu ntsu'hui tiquee ne', lo' juin ñi 'in yu nu ngutyi yaa' can': Tyiton lo' caan la tlu'hue re. Cui' xaa mdyiton yu lo' mdiyaa yu la se'en ndon ñi. 
LUK.6.9	Xacan' juin Jesús 'in nten can': Cua' ñii cuñichan' 'in um sca cha': ¿Ñi tñan tca cu'ni na tsaan nu nxitñan' na, cha' nu tsu'hue uta cha' nu a tsu'hue? ¿Culo laa na 'in nten uta na taa na ya' caja ne'? 
LUK.6.10	Xacan' mxina'an ñi tyi'iin se'en ndi'in nten can', lo' juin ñi 'in yu ti'i can': Xñii yaa'. Cui' xaa mxñii yu 'in na lo' mchca tsu'hue na 'in yu. 
LUK.6.11	Una ne' fariseo lo'o ne' escriba lyee 'a msin' ti' ne', lo' nchcui' ne' cha' ña'an ca tyisnan su'hua ne' qui'ya 'in Jesús.
LUK.6.12	Yato'o sca tsaan ycuen Jesús sca loo qui'ya si'yana chcui' lyi'o ñi 'in Ndiose, can' ycui' lyi'o ñi 'in Ndiose chcui tla. 
LUK.6.13	Xa ngu'ya xaa msi'ya Jesús 'in nchgaa nu nducui ncha'an 'in ñi, ngulohui ñi 'in tsa tichcua yu ta'a tyi'an ca ñi, lo' ngulo'o naan ñi 'in yu apóstol si'yana tyi'an yu lo'o cha' cuiya' 'in ñi. 
LUK.6.14	Ngulohui ñi 'in Simón, nu mdi'in tyaa ñi nii ca naan Tyo, lo'o yu Ndre ta'a ngula yu, lo'o Jacobo, yu Xuhua, yu Lpe lo'o yu Bartolomé, 
LUK.6.15	yu Mateo, lo'o Toma, lo'o yu Jacobo sñe' Alfeo, yu Simón nu nchcui' ne' lo'o lca Zelote, 
LUK.6.16	yu Juda ta'a ngula Jacobo, lo'o Juda Iscariote yu nu mdyaa 'in Jesús nde loo la.
LUK.6.17	Xacan' mdo'o Jesús loo qui'ya can' nguila ñi sca se'en ntin' lo'o nchgaa ta'a nda'an ñi, a cunta can' nguio' ti'in qui'an nten nu mdo'o se'en lyi'ya loo Judea, lo'o quichen Jerusalén, lo'o luhua' nde 'ya la se'en ndi'in quichen Tiro lo'o Sidón, se'en nu quine 'in ne' cha' nu nchcui' ñi, lo' cu'ni chca ñi 'in ne' lo'o scasca quicha ntsu'hui 'in ne'. 
LUK.6.18	Cui' cuaña'an mchca nchgaa nu ndijin nu ti'i si'ya cui'in xa'an nu ntsu'hui 'in. 
LUK.6.19	Nchgaa nten can' nan ne' ña'an nu cula' ne' 'in ñi, si'yana lo'o cha' cuiya' nda'an lo'o ñi ngui'ni chca ñi 'in nchgaa nu ti'i.
LUK.6.20	Xacan' mxina'an ñi se'en ndi'in ta'a nda'an ñi lo' juin ñi: Tsu'hue ca xu'hue 'un nu ti'i ña'an chendyu 'in, si'yana cua' jui cha' tsu'hue 'in um se'en ndlo Ndiose tñan. 
LUK.6.21	Tsu'hue ca xu'hue 'un nu nguite' ti', si'yana cha'an yu'hui cusya 'in um tiyaa xaa. Tsu'hue ca xu'hue 'un nu nguinan, si'yana nde loo la re ca tsu'hue chu'hui tiquee um. 
LUK.6.22	Tsu'hue ca xu'hue um xa caja nu xcuan tloo 'in um, uta caja nu culo tso' 'in um, ta taja ne' 'in um, lo' chcui' ne' cua' ña'an ti cha' 'in um, si'yana nguiaa um tso' 'in Yu Qui'yu nu Mdo'o nde ni' Cuaan. 
LUK.6.23	Ca tsu'hue chu'hui tiquee um lo' cha'an yu'hui um lo'o cha' nducui ti', si'yana tlyu cha' tsu'hue nu cua' jui 'in um la ni' cuaan, si'yana cui' cuaña'an m'ni nten cula 'in can' lo'o nchgaa nu mxiycui' Ndiose 'in cua' s'ni. 
LUK.6.24	Una 'tnan ca nchgaa 'un yu cuilyiya', si'yana a sca na ndiya lyijyi 'in um. 
LUK.6.25	'Tnan ca 'un nu a ntsu'hui cha' nda'an ngute' ti', si'yana tiyaa xaa quite' ti' um. 'Tnan ca 'un nu nda'an nstyi cua' ñii, si'yana tiyaa xaa tyi'an ynan um. 
LUK.6.26	Una 'tnan ca um xa nchgaa tucui ndaa loo um, si'yana cuaña'an m'ni nten cula 'in can' lo'o yu nu mda'an ycui' cha' cuiñi, lo' nchcui' si'yana Ndiose mxiycui' 'in.
LUK.6.27	Una chcuin' sca cha' lo'o um, 'un nu ndon nscan cha' re: Chu'hui cha' tsu'hue 'in um lo'o nu ti'i ti' 'in um, lo' cu'ni um tsu'hue lo'o nu nxcuan tloo 'in um, 
LUK.6.28	cui' cuaña'an lo'o nu ndaja 'in um cu'ni um tsu'hue lo'o can', lo' jñan um 'in Ndiose si'ya cha' 'in nu na'an ti'i 'in um. 
LUK.6.29	Cha' ntsu'hui nu jyi'in sca tso' sca' um, taa um ya' jyi'in can' xca tso' na, lo' cha' nde'en nu culyaa te' tucuin nu lco' um, taa um ya' lyaa can' lo'o xcan' um. 
LUK.6.30	Ña'an nu ti nu jñan na ndi'in 'in um tyaa um 'in na 'in, cui' cuaña'an cha' cui'ya na nu ndi'in 'in um, a tyi'an ñicha' um 'in na. 
LUK.6.31	Tsaña'an nducua tloo um cu'ni nten lo'o um, cuaña'an ntsu'hui cha' cu'ni um lo'o ne'. 
LUK.6.32	Una cha' ntsu'hui cha' tsu'hue 'in um lo'o tsalca nu tsu'hue ntsu'hui tiquee lo'o um, ¿ñi cunta ntsu'hui 'in um xacan'? Si'yana cuaña'an nguiaa cha' 'in nten chendyu, ntsu'hui cha' tsu'hue 'in ne' lo'o tsalca nu tsu'hue ntsu'hui tiquee lo'o ne'. 
LUK.6.33	Cha' cu'ni um tsu'hue lo'o tsalca nu ngui'ni tsu'hue lo'o um, ¿ñi cunta ntsu'hui 'in um xacan'? Si'yana ticui' cuaña'an n'ni nten chendyu. 
LUK.6.34	Cha' taa um tñi jñi' tsalca nu tca xu'hua 'in na lo'o sñe' na, ¿ñi cunta ntsu'hui 'in um xacan'? Si'yana cuaña'an n'ni nten chendyu, ndaa can' tñi njñi' xca tucui si'yana nducua la na chcuan. 
LUK.6.35	Una 'un chu'hui cha' tsu'hue 'in um lo'o nu ti'i ti' 'in um, cu'ni um tsu'hue lo'o can', taa um na jñan can' siya' a nducua 'a tloo um ti' tyaa can' 'in na, cuaña'an ca tlyu la cha' tsu'hue nu qui'ni ca'an 'in um, lo' ca jlyo ti' nten si'yana lca um sñe' Ndiose, ñi nu tlyu lati, si'yana ngui'ni ñi 'tnan 'in nu lye' ti' lo'o nu nducun'. 
LUK.6.36	Can' cha' ña'an 'tnan ti' ta'a um tsaña'an nguiaa cha' 'in Stina Ndiose lo'o um.
LUK.6.37	A su'hua um qui'ya 'in xca tucui, lo' cuaña'an a caja nu su'hua qui'ya 'in um. A culo um yuhue' 'in xca tucui, lo' cuaña'an a caja nu culo yuhue' 'in um. Cu'ni um cha' tlyu ti' 'in ta'a nten um, cui' cuaña'an caja nu cu'ni cha' tlyu ti' 'in um. 
LUK.6.38	Taa um cha' tsu'hue 'in xca tucui, lo' cuaña'an caja nu taa cha' tsu'hue 'in um, sca cuiya' nu chcui lo' mtsa'an yu'hui, si'yana tsaña'an cuiya' nu ndaa um, cui' cuaña'an cuiya' caja nu tyaa 'in um. 
LUK.6.39	Xacan' mdi'in tyaa ñi sca cha' lo' juin ñi 'in nten can': ¿Ta tca 'in sca nu cuityin' tyi'an lo'o 'in xca nu cuityin'? ¿Ta si'i chcuaa can' tsato'o tyu yu'hui sca tuyuu? 
LUK.6.40	A sca nu ngui'ni cha'an, ta ndon loo la que 'in nu ndlo'o 'in, una nchgaa tucui nu tsu'hue m'ni cha'an, a s'ni tiyaa can' cuiya' 'in nu ndlo'o 'in. 
LUK.6.41	¿Ñi cha' nxñi um cunta yuu nu ntsu'hui quiloo ta'a nten um, lo' a n'ni cunta um ti' ña'aan co' yca nu ntsu'hui quiloo um? 
LUK.6.42	¿Ña'an ta xtyi ti' um chcui' um lo'o can': Tyaa um culyoon yuu nu ntsu'hui quiloo um, lo' a n'ni cunta um co' yca nu ntsu'hui quiloo um? 'Un ne' cuiñi, culo nducua la culyoo um co' yca nu ntsu'hui quiloo um, la xacan' ca chcan' 'in um culyoo um yuu nu ntsu'hui quiloo xca tucui.
LUK.6.43	Sca yca nu tsu'hue a tca cui'yu mti nu a tsu'hue loo na, cui' cuaña'an lo'o yca nu a tsu'hue, a tca cui'yu mti nu tsu'hue loo na. 
LUK.6.44	Si'yana cunda scaa yca nchca chcan' ña'an na si'ya mti nu ndyi'yu loo na, can' cha' a ntsu'hui cha' nsu ne' mti higo loo yca quiche', lo' ñi uva a nsu ne' 'in na loo yca quiche'. 
LUK.6.45	Sca nten nu tsu'hue, chacui' cha' tsu'hue ndyi'o ni' cusya 'in can', cui' cuaña'an lo'o nu nducun', ticui' cha' nducun' ndyi'o ni' cusya 'in, si'yana cua' ña'aan cha' nu mtsa'an yu'hui ni' cusya 'in ne', can' cha' nu ndyi'o tu'hua ne'.
LUK.6.46	¿Ñi cha' ndlo'o naan um 'ñan: Ñi X'nan hua, Ñi X'nan hua, lo' a nducua um tñan cha' nu nchcuin'? 
LUK.6.47	Nchgaa nu nducui ncha'an 'ñan, lo' ndon nscan cha' nu nchcuin' lo' nducua tñan 'in na, 
LUK.6.48	nguiaa cha' 'in can' tsaña'an nguiaa cha' 'in sca nten nu mtñan na'an 'in, mjñi can' qui'ñi lo' mdi'in tyaa suun 'in na loo quee, lo' xa mdo'o tyi'a yuu m'ni 'in na'an can', una a mdlyu na si'yana tsu'hue ndi'in suun na. 
LUK.6.49	Una tsalca nu ngune 'in cha' nu ycuin' lo' a nducua tñan 'in na, nguiaa cha' 'in can' tsaña'an nguiaa cha' 'in sca nten nu mtñan na'an 'in, una a mjñi se'en ndi'in suun na, lo' xa mdo'o tyi'a yuu m'ni 'in na'an can', cui' xaa mdlyu na lo' ngujlyo na ña'aan na.
LUK.7.1	Xa mdyi ycui' Jesús lo'o nten can', mdo'o ñi nguiaa ñi quichen Capernaum. 
LUK.7.2	Can' nscua sca yu ti'i, cui' nguso 'in x'nan sindatu nu lyee ndyu'hui cuiya' ti' x'nan 'in, lo' cua' caja ti yu. 
LUK.7.3	X'nan sindatu can' xa ynan yu cha' si'yana mdiyaa Jesús quichen can', cui' xaa mjñan yu cha' tsu'hue 'in tucua snan qui'yu cula nu ndon loo la 'in ne' judio, si'yana tsa te'en yu 'in Jesús lo' cu'ni chca ñi 'in yu nguso can'. 
LUK.7.4	Xa mdiyaa yu se'en ndon Jesús lyee 'a mjñan yu cha' tsu'hue 'in ñi, lo' nchcui' yu: Yu x'nan sindatu cua, ntsu'hui suun 'in yu ta yaa' um 'in yu, 
LUK.7.5	si'yana nsu'hua loo yu quichen tyi na, a cunta cua' mtñan yu sca na'an se'en n'ni tnu na 'in Ndiose. 
LUK.7.6	Xacan' mdo'o Jesús nguiaa ñi lo'o yu. Xa cua' tiyaa ti ñi se'en nducua na'an 'in yu x'nan sindatu can', cui' xaa ngua'an tñan yu chcua xnan ta'a tsu'hue yu nu ya ycua 'in ñi lo' chcui' yu lo'o Jesús: Ñi X'nan, a nchca tin' taan tñan 'in um lyee la, si'yana a ntsu'hui suun 'ñan tsaa um se'en ndi'in, 
LUK.7.7	can' cha' a msti tin' tsa jñan cha' tsu'hue 'in um, una ñii tsaloo ti chcui' um sca cha' lo' chca nguso 'ñan. 
LUK.7.8	Si'yana lo'on nan' ntsu'hui x'nan, a cunta ndi'in sindatu nu ndlon tñan 'in, lo' xa cunen lo'o can': Nde se'en tsaa, lo' tsaa yu, uta chcuin' lo'o xca yu: Cuan lya, cui' xaa caan yu, uta chcuin' lo'o sca nguso 'ñan: Nde tñan cu'ni, cui' xaa cu'ni yu 'in na. 
