MAT.1.1	ibrAhImaH santAnO dAyUd tasya santAnO yIzukhrISTastasya pUrvvapuruSavaMzazrENI|
LUK.9.23	aparaM sa sarvvAnuvAca, kazcid yadi mama pazcAd gantuM vAnjchati tarhi sa svaM dAmyatu, dinE dinE kruzaM gRhItvA ca mama pazcAdAgacchatu|
LUK.9.24	yatO yaH kazcit svaprANAn rirakSiSati sa tAn hArayiSyati, yaH kazcin madarthaM prANAn hArayiSyati sa tAn rakSiSyati|
LUK.9.25	kazcid yadi sarvvaM jagat prApnOti kintu svaprANAn hArayati svayaM vinazyati ca tarhi tasya kO lAbhaH?
LUK.9.26	puna ryaH kazcin mAM mama vAkyaM vA lajjAspadaM jAnAti manuSyaputrO yadA svasya pituzca pavitrANAM dUtAnAnjca tEjObhiH parivESTita AgamiSyati tadA sOpi taM lajjAspadaM jnjAsyati|
LUK.9.27	kintu yuSmAnahaM yathArthaM vadAmi, IzvarIyarAjatvaM na dRSTavA mRtyuM nAsvAdiSyantE, EtAdRzAH kiyantO lOkA atra sthanE'pi daNPAyamAnAH santi|
LUK.9.28	EtadAkhyAnakathanAt paraM prAyENASTasu dinESu gatESu sa pitaraM yOhanaM yAkUbanjca gRhItvA prArthayituM parvvatamEkaM samArurOha|
LUK.9.29	atha tasya prArthanakAlE tasya mukhAkRtiranyarUpA jAtA, tadIyaM vastramujjvalazuklaM jAtaM|
LUK.9.30	aparanjca mUsA EliyazcObhau tEjasvinau dRSTau
LUK.9.31	tau tEna yirUzAlampurE yO mRtyuH sAdhiSyatE tadIyAM kathAM tEna sArddhaM kathayitum ArEbhAtE|
LUK.9.32	tadA pitarAdayaH svasya sagginO nidrayAkRSTA Asan kintu jAgaritvA tasya tEjastEna sArddham uttiSThantau janau ca dadRzuH|
LUK.9.33	atha tayOrubhayO rgamanakAlE pitarO yIzuM babhASE, hE gurO'smAkaM sthAnE'smin sthitiH zubhA, tata EkA tvadarthA, EkA mUsArthA, EkA EliyArthA, iti tisraH kuTyOsmAbhi rnirmmIyantAM, imAM kathAM sa na vivicya kathayAmAsa|
LUK.9.34	aparanjca tadvAkyavadanakAlE payOda Eka Agatya tESAmupari chAyAM cakAra, tatastanmadhyE tayOH pravEzAt tE zazagkirE|
LUK.9.35	tadA tasmAt payOdAd iyamAkAzIyA vANI nirjagAma, mamAyaM priyaH putra Etasya kathAyAM manO nidhatta|
LUK.9.36	iti zabdE jAtE tE yIzumEkAkinaM dadRzuH kintu tE tadAnIM tasya darzanasya vAcamEkAmapi nOktvA manaHsu sthApayAmAsuH|
LUK.9.37	parE'hani tESu tasmAcchailAd avarUPhESu taM sAkSAt karttuM bahavO lOkA AjagmuH|
LUK.9.38	tESAM madhyAd EkO jana uccairuvAca, hE gurO ahaM vinayaM karOmi mama putraM prati kRpAdRSTiM karOtu, mama sa EvaikaH putraH|
LUK.9.39	bhUtEna dhRtaH san saM prasabhaM cIcchabdaM karOti tanmukhAt phENA nirgacchanti ca, bhUta itthaM vidAryya kliSTvA prAyazastaM na tyajati|
LUK.9.40	tasmAt taM bhUtaM tyAjayituM tava ziSyasamIpE nyavEdayaM kintu tE na zEkuH|
LUK.9.41	tadA yIzuravAdIt, rE AvizvAsin vipathagAmin vaMza katikAlAn yuSmAbhiH saha sthAsyAmyahaM yuSmAkam AcaraNAni ca sahiSyE? tava putramihAnaya|
LUK.9.42	tatastasminnAgatamAtrE bhUtastaM bhUmau pAtayitvA vidadAra; tadA yIzustamamEdhyaM bhUtaM tarjayitvA bAlakaM svasthaM kRtvA tasya pitari samarpayAmAsa|
LUK.9.43	Izvarasya mahAzaktim imAM vilOkya sarvvE camaccakruH; itthaM yIzOH sarvvAbhiH kriyAbhiH sarvvairlOkairAzcaryyE manyamAnE sati sa ziSyAn babhASE,
LUK.9.44	kathEyaM yuSmAkaM karNESu pravizatu, manuSyaputrO manuSyANAM karESu samarpayiSyatE|
LUK.9.45	kintu tE tAM kathAM na bubudhirE, spaSTatvAbhAvAt tasyA abhiprAyastESAM bOdhagamyO na babhUva; tasyA AzayaH ka ityapi tE bhayAt praSTuM na zEkuH|
LUK.9.46	tadanantaraM tESAM madhyE kaH zrESThaH kathAmEtAM gRhItvA tE mithO vivAdaM cakruH|
LUK.9.47	tatO yIzustESAM manObhiprAyaM viditvA bAlakamEkaM gRhItvA svasya nikaTE sthApayitvA tAn jagAda,
LUK.9.48	yO janO mama nAmnAsya bAlAsyAtithyaM vidadhAti sa mamAtithyaM vidadhAti, yazca mamAtithyaM vidadhAti sa mama prErakasyAtithyaM vidadhAti, yuSmAkaM madhyEyaH svaM sarvvasmAt kSudraM jAnItE sa Eva zrESThO bhaviSyati|
LUK.9.49	aparanjca yOhan vyAjahAra hE prabhEा tava nAmnA bhUtAn tyAjayantaM mAnuSam EkaM dRSTavantO vayaM, kintvasmAkam apazcAd gAmitvAt taM nyaSEdhAm| tadAnIM yIzuruvAca,
LUK.9.50	taM mA niSEdhata, yatO yO janOsmAkaM na vipakSaH sa EvAsmAkaM sapakSO bhavati|
LUK.9.51	anantaraM tasyArOhaNasamaya upasthitE sa sthiracEtA yirUzAlamaM prati yAtrAM karttuM nizcityAgrE dUtAn prESayAmAsa|
LUK.9.52	tasmAt tE gatvA tasya prayOjanIyadravyANi saMgrahItuM zOmirONIyAnAM grAmaM pravivizuH|
LUK.9.53	kintu sa yirUzAlamaM nagaraM yAti tatO hEtO rlOkAstasyAtithyaM na cakruH|
LUK.9.54	ataEva yAkUbyOhanau tasya ziSyau tad dRSTvA jagadatuH, hE prabhO EliyO yathA cakAra tathA vayamapi kiM gagaNAd Agantum EtAn bhasmIkarttunjca vahnimAjnjApayAmaH? bhavAn kimicchati?
LUK.9.55	kintu sa mukhaM parAvartya tAn tarjayitvA gaditavAn yuSmAkaM manObhAvaH kaH, iti yUyaM na jAnItha|
LUK.9.56	manujasutO manujAnAM prANAn nAzayituM nAgacchat, kintu rakSitum Agacchat| pazcAd itaragrAmaM tE yayuH|
LUK.9.57	tadanantaraM pathi gamanakAlE jana EkastaM babhASE, hE prabhO bhavAn yatra yAti bhavatA sahAhamapi tatra yAsyAmi|
LUK.9.58	tadAnIM yIzustamuvAca, gOmAyUnAM garttA AsatE, vihAyasIyavihagAाnAM nIPAni ca santi, kintu mAnavatanayasya ziraH sthApayituM sthAnaM nAsti|
LUK.9.59	tataH paraM sa itarajanaM jagAda, tvaM mama pazcAd Ehi; tataH sa uvAca, hE prabhO pUrvvaM pitaraM zmazAnE sthApayituM mAmAdizatu|
LUK.9.60	tadA yIzuruvAca, mRtA mRtAn zmazAnE sthApayantu kintu tvaM gatvEzvarIyarAjyasya kathAM pracAraya|
LUK.9.61	tatOnyaH kathayAmAsa, hE prabhO mayApi bhavataH pazcAd gaMsyatE, kintu pUrvvaM mama nivEzanasya parijanAnAm anumatiM grahItum ahamAdizyai bhavatA|
LUK.9.62	tadAnIM yIzustaM prOktavAn, yO janO lAggalE karamarpayitvA pazcAt pazyati sa IzvarIyarAjyaM nArhati|
LUK.10.1	tataH paraM prabhuraparAn saptatiziSyAn niyujya svayaM yAni nagarANi yAni sthAnAni ca gamiSyati tAni nagarANi tAni sthAnAni ca prati dvau dvau janau prahitavAn|
LUK.10.2	tEbhyaH kathayAmAsa ca zasyAni bahUnIti satyaM kintu chEdakA alpE; tasmAddhEtOH zasyakSEtrE chEdakAn aparAnapi prESayituM kSEtrasvAminaM prArthayadhvaM|
LUK.10.3	yUyaM yAta, pazyata, vRkANAM madhyE mESazAvakAniva yuSmAn prahiNOmi|
LUK.10.4	yUyaM kSudraM mahad vA vasanasampuTakaM pAdukAzca mA gRhlIta, mArgamadhyE kamapi mA namata ca|
LUK.10.5	aparanjca yUyaM yad yat nivEzanaM pravizatha tatra nivEzanasyAsya maggalaM bhUyAditi vAkyaM prathamaM vadata|
LUK.10.6	tasmAt tasmin nivEzanE yadi maggalapAtraM sthAsyati tarhi tanmaggalaM tasya bhaviSyati, nOcEt yuSmAn prati parAvarttiSyatE|
LUK.10.7	aparanjca tE yatkinjcid dAsyanti tadEva bhuktvA pItvA tasminnivEzanE sthAsyatha; yataH karmmakArI janO bhRtim arhati; gRhAd gRhaM mA yAsyatha|
LUK.10.8	anyacca yuSmAsu kimapi nagaraM praviSTESu lOkA yadi yuSmAkam AtithyaM kariSyanti, tarhi yat khAdyam upasthAsyanti tadEva khAdiSyatha|
LUK.10.9	tannagarasthAn rOgiNaH svasthAn kariSyatha, IzvarIyaM rAjyaM yuSmAkam antikam Agamat kathAmEtAnjca pracArayiSyatha|
LUK.10.10	kintu kimapi puraM yuSmAsu praviSTESu lOkA yadi yuSmAkam AtithyaM na kariSyanti, tarhi tasya nagarasya panthAnaM gatvA kathAmEtAM vadiSyatha,
LUK.10.11	yuSmAkaM nagarIyA yA dhUlyO'smAsu samalagan tA api yuSmAkaM prAtikUlyEna sAkSyArthaM sampAtayAmaH; tathApIzvararAjyaM yuSmAkaM samIpam Agatam iti nizcitaM jAnIta|
LUK.10.12	ahaM yuSmabhyaM yathArthaM kathayAmi, vicAradinE tasya nagarasya dazAtaH sidOmO dazA sahyA bhaviSyati|
LUK.10.13	hA hA kOrAsIn nagara, hA hA baitsaidAnagara yuvayOrmadhyE yAdRzAni AzcaryyANi karmmANyakriyanta, tAni karmmANi yadi sOrasIdOnO rnagarayOrakAriSyanta, tadA itO bahudinapUrvvaM tannivAsinaH zaNavastrANi paridhAya gAtrESu bhasma vilipya samupavizya samakhEtsyanta|
LUK.10.14	atO vicAradivasE yuSmAkaM dazAtaH sOrasIdOnnivAsinAM dazA sahyA bhaviSyati|
LUK.10.15	hE kapharnAhUm, tvaM svargaM yAvad unnatA kintu narakaM yAvat nyagbhaviSyasi|
LUK.10.16	yO janO yuSmAkaM vAkyaM gRhlAti sa mamaiva vAkyaM gRhlAti; kinjca yO janO yuSmAkam avajnjAM karOti sa mamaivAvajnjAM karOti; yO janO mamAvajnjAM karOti ca sa matprErakasyaivAvajnjAM karOti|
LUK.10.17	atha tE saptatiziSyA AnandEna pratyAgatya kathayAmAsuH, hE prabhO bhavatO nAmnA bhUtA apyasmAkaM vazIbhavanti|
LUK.10.18	tadAnIM sa tAn jagAda, vidyutamiva svargAt patantaM zaitAnam adarzam|
LUK.10.19	pazyata sarpAn vRzcikAn ripOH sarvvaparAkramAMzca padatalai rdalayituM yuSmabhyaM zaktiM dadAmi tasmAd yuSmAkaM kApi hAni rna bhaviSyati|
LUK.10.20	bhUtA yuSmAkaM vazIbhavanti, Etannimittat mA samullasata, svargE yuSmAkaM nAmAni likhitAni santIti nimittaM samullasata|
LUK.10.21	tadghaTikAyAM yIzu rmanasi jAtAhlAdaH kathayAmAsa hE svargapRthivyOrEkAdhipatE pitastvaM jnjAnavatAM viduSAnjca lOkAnAM purastAt sarvvamEtad aprakAzya bAlakAnAM purastAt prAkAzaya EtasmAddhEtOstvAM dhanyaM vadAmi, hE pitaritthaM bhavatu yad EtadEva tava gOcara uttamam|
LUK.10.22	pitrA sarvvANi mayi samarpitAni pitaraM vinA kOpi putraM na jAnAti kinjca putraM vinA yasmai janAya putrastaM prakAzitavAn tanjca vinA kOpi pitaraM na jAnAti|
LUK.10.23	tapaH paraM sa ziSyAn prati parAvRtya guptaM jagAda, yUyamEtAni sarvvANi pazyatha tatO yuSmAkaM cakSUMSi dhanyAni|
LUK.10.24	yuSmAnahaM vadAmi, yUyaM yAni sarvvANi pazyatha tAni bahavO bhaviSyadvAdinO bhUpatayazca draSTumicchantOpi draSTuM na prApnuvan, yuSmAbhi ryA yAH kathAzca zrUyantE tAH zrOtumicchantOpi zrOtuM nAlabhanta|
LUK.10.25	anantaram EkO vyavasthApaka utthAya taM parIkSituM papraccha, hE upadEzaka anantAyuSaH prAptayE mayA kiM karaNIyaM?
LUK.10.26	yIzuH pratyuvAca, atrArthE vyavasthAyAM kiM likhitamasti? tvaM kIdRk paThasi?
LUK.10.27	tataH sOvadat, tvaM sarvvAntaHkaraNaiH sarvvaprANaiH sarvvazaktibhiH sarvvacittaizca prabhau paramEzvarE prEma kuru, samIpavAsini svavat prEma kuru ca|
LUK.10.28	tadA sa kathayAmAsa, tvaM yathArthaM pratyavOcaH, ittham Acara tEnaiva jIviSyasi|
LUK.10.29	kintu sa janaH svaM nirddOSaM jnjApayituM yIzuM papraccha, mama samIpavAsI kaH? tatO yIzuH pratyuvAca,
LUK.10.30	EkO janO yirUzAlampurAd yirIhOpuraM yAti, Etarhi dasyUnAM karESu patitE tE tasya vastrAdikaM hRtavantaH tamAhatya mRtaprAyaM kRtvA tyaktvA yayuH|
LUK.10.31	akasmAd EkO yAjakastEna mArgENa gacchan taM dRSTvA mArgAnyapArzvEna jagAma|
LUK.10.32	ittham EkO lEvIyastatsthAnaM prApya tasyAntikaM gatvA taM vilOkyAnyEna pArzvEna jagAma|
LUK.10.33	kintvEkaH zOmirONIyO gacchan tatsthAnaM prApya taM dRSTvAdayata|
LUK.10.34	tasyAntikaM gatvA tasya kSatESu tailaM drAkSArasanjca prakSipya kSatAni baddhvA nijavAhanOpari tamupavEzya pravAsIyagRham AnIya taM siSEvE|
LUK.10.35	parasmin divasE nijagamanakAlE dvau mudrApAdau tadgRhasvAminE dattvAvadat janamEnaM sEvasva tatra yO'dhikO vyayO bhaviSyati tamahaM punarAgamanakAlE parizOtsyAmi|
LUK.10.36	ESAM trayANAM madhyE tasya dasyuhastapatitasya janasya samIpavAsI kaH? tvayA kiM budhyatE?
LUK.10.37	tataH sa vyavasthApakaH kathayAmAsa yastasmin dayAM cakAra| tadA yIzuH kathayAmAsa tvamapi gatvA tathAcara|
LUK.10.38	tataH paraM tE gacchanta EkaM grAmaM pravivizuH; tadA marthAnAmA strI svagRhE tasyAtithyaM cakAra|
LUK.10.39	tasmAt mariyam nAmadhEyA tasyA bhaginI yIzOH padasamIpa uvavizya tasyOpadEzakathAM zrOtumArEbhE|
LUK.10.40	kintu marthA nAnAparicaryyAyAM vyagrA babhUva tasmAddhEtOstasya samIpamAgatya babhASE; hE prabhO mama bhaginI kEvalaM mamOpari sarvvakarmmaNAM bhAram arpitavatI tatra bhavatA kinjcidapi na manO nidhIyatE kim? mama sAhAyyaM karttuM bhavAn tAmAdizatu|
LUK.10.41	tatO yIzuH pratyuvAca hE marthE hE marthE, tvaM nAnAkAryyESu cintitavatI vyagrA cAsi,
LUK.10.42	kintu prayOjanIyam EkamAtram AstE| aparanjca yamuttamaM bhAgaM kOpi harttuM na zaknOti saEva mariyamA vRtaH|
LUK.11.1	anantaraM sa kasmiMzcit sthAnE prArthayata tatsamAptau satyAM tasyaikaH ziSyastaM jagAda hE prabhO yOhan yathA svaziSyAn prArthayitum upadiSTavAn tathA bhavAnapyasmAn upadizatu|
LUK.11.2	tasmAt sa kathayAmAsa, prArthanakAlE yUyam itthaM kathayadhvaM, hE asmAkaM svargasthapitastava nAma pUjyaM bhavatu; tava rAjatvaM bhavatu; svargE yathA tathA pRthivyAmapi tavEcchayA sarvvaM bhavatu|
LUK.11.3	pratyaham asmAkaM prayOjanIyaM bhOjyaM dEhi|
LUK.11.4	yathA vayaM sarvvAn aparAdhinaH kSamAmahE tathA tvamapi pApAnyasmAkaM kSamasva| asmAn parIkSAM mAnaya kintu pApAtmanO rakSa|
LUK.11.5	pazcAt sOparamapi kathitavAn yadi yuSmAkaM kasyacid bandhustiSThati nizIthE ca tasya samIpaM sa gatvA vadati,
LUK.11.6	hE bandhO pathika EkO bandhu rmama nivEzanam AyAtaH kintu tasyAtithyaM karttuM mamAntikE kimapi nAsti, ataEva pUpatrayaM mahyam RNaM dEhi;
LUK.11.7	tadA sa yadi gRhamadhyAt prativadati mAM mA klizAna, idAnIM dvAraM ruddhaM zayanE mayA saha bAlakAzca tiSThanti tubhyaM dAtum utthAtuM na zaknOmi,
LUK.11.8	tarhi yuSmAnahaM vadAmi, sa yadi mitratayA tasmai kimapi dAtuM nOttiSThati tathApi vAraM vAraM prArthanAta utthApitaH san yasmin tasya prayOjanaM tadEva dAsyati|
LUK.11.9	ataH kAraNAt kathayAmi, yAcadhvaM tatO yuSmabhyaM dAsyatE, mRgayadhvaM tata uddEzaM prApsyatha, dvAram Ahata tatO yuSmabhyaM dvAraM mOkSyatE|
LUK.11.10	yO yAcatE sa prApnOti, yO mRgayatE sa EvOddEzaM prApnOti, yO dvAram Ahanti tadarthaM dvAraM mOcyatE|
LUK.11.11	putrENa pUpE yAcitE tasmai pASANaM dadAti vA matsyE yAcitE tasmai sarpaM dadAti
LUK.11.12	vA aNPE yAcitE tasmai vRzcikaM dadAti yuSmAkaM madhyE ka EtAdRzaH pitAstE?
LUK.11.13	tasmAdEva yUyamabhadrA api yadi svasvabAlakEbhya uttamAni dravyANi dAtuM jAnItha tarhyasmAkaM svargasthaH pitA nijayAcakEbhyaH kiM pavitram AtmAnaM na dAsyati?
LUK.11.14	anantaraM yIzunA kasmAccid Ekasmin mUkabhUtE tyAjitE sati sa bhUtatyaktO mAnuSO vAkyaM vaktum ArEbhE; tatO lOkAH sakalA AzcaryyaM mEnirE|
LUK.11.15	kintu tESAM kEcidUcu rjanOyaM bAlasibUbA arthAd bhUtarAjEna bhUtAn tyAjayati|
LUK.11.16	taM parIkSituM kEcid AkAzIyam EkaM cihnaM darzayituM taM prArthayAnjcakrirE|
LUK.11.17	tadA sa tESAM manaHkalpanAM jnjAtvA kathayAmAsa, kasyacid rAjyasya lOkA yadi parasparaM virundhanti tarhi tad rAjyam nazyati; kEcid gRhasthA yadi parasparaM virundhanti tarhi tEpi nazyanti|
LUK.11.18	tathaiva zaitAnapi svalOkAn yadi viruNaddhi tadA tasya rAjyaM kathaM sthAsyati? bAlasibUbAhaM bhUtAn tyAjayAmi yUyamiti vadatha|
LUK.11.19	yadyahaM bAlasibUbA bhUtAn tyAjayAmi tarhi yuSmAkaM santAnAH kEna tyAjayanti? tasmAt taEva kathAyA EtasyA vicArayitArO bhaviSyanti|
LUK.11.20	kintu yadyaham Izvarasya parAkramENa bhUtAn tyAjayAmi tarhi yuSmAkaM nikaTam Izvarasya rAjyamavazyam upatiSThati|
LUK.11.21	balavAn pumAn susajjamAnO yatikAlaM nijATTAlikAM rakSati tatikAlaM tasya dravyaM nirupadravaM tiSThati|
LUK.11.22	kintu tasmAd adhikabalaH kazcidAgatya yadi taM jayati tarhi yESu zastrAstrESu tasya vizvAsa AsIt tAni sarvvANi hRtvA tasya dravyANi gRhlAti|
LUK.11.23	ataH kAraNAd yO mama sapakSO na sa vipakSaH, yO mayA saha na saMgRhlAti sa vikirati|
LUK.11.24	aparanjca amEdhyabhUtO mAnuSasyAntarnirgatya zuSkasthAnE bhrAntvA vizrAmaM mRgayatE kintu na prApya vadati mama yasmAd gRhAd AgatOhaM punastad gRhaM parAvRtya yAmi|
LUK.11.25	tatO gatvA tad gRhaM mArjitaM zObhitanjca dRSTvA
LUK.11.26	tatkSaNam apagatya svasmAdapi durmmatIn aparAn saptabhUtAn sahAnayati tE ca tadgRhaM pavizya nivasanti| tasmAt tasya manuSyasya prathamadazAtaH zESadazA duHkhatarA bhavati|
LUK.11.27	asyAH kathAyAH kathanakAlE janatAmadhyasthA kAcinnArI tamuccaiHsvaraM prOvAca, yA yOSit tvAM garbbhE'dhArayat stanyamapAyayacca saiva dhanyA|
LUK.11.28	kintu sOkathayat yE paramEzvarasya kathAM zrutvA tadanurUpam Acaranti taEva dhanyAH|
LUK.11.29	tataH paraM tasyAntikE bahulOkAnAM samAgamE jAtE sa vaktumArEbhE, AdhunikA duSTalOkAzcihnaM draSTumicchanti kintu yUnasbhaviSyadvAdinazcihnaM vinAnyat kinjciccihnaM tAn na darzayiSyatE|
LUK.11.30	yUnas tu yathA nInivIyalOkAnAM samIpE cihnarUpObhavat tathA vidyamAnalOkAnAm ESAM samIpE manuSyaputrOpi cihnarUpO bhaviSyati|
LUK.11.31	vicArasamayE idAnIntanalOkAnAM prAtikUlyEna dakSiNadEzIyA rAjnjI prOtthAya tAn dOSiNaH kariSyati, yataH sA rAjnjI sulEmAna upadEzakathAM zrOtuM pRthivyAH sImAta Agacchat kintu pazyata sulEmAnOpi gurutara EkO janO'smin sthAnE vidyatE|
LUK.11.32	aparanjca vicArasamayE nInivIyalOkA api varttamAnakAlikAnAM lOkAnAM vaiparItyEna prOtthAya tAn dOSiNaH kariSyanti, yatO hEtOstE yUnasO vAkyAt cittAni parivarttayAmAsuH kintu pazyata yUnasOtigurutara EkO janO'smin sthAnE vidyatE|
LUK.11.33	pradIpaM prajvAlya drONasyAdhaH kutrApi guptasthAnE vA kOpi na sthApayati kintu gRhapravEzibhyO dIptiM dAtaM dIpAdhArOparyyEva sthApayati|
LUK.11.34	dEhasya pradIpazcakSustasmAdEva cakSu ryadi prasannaM bhavati tarhi tava sarvvazarIraM dIptimad bhaviSyati kintu cakSu ryadi malImasaM tiSThati tarhi sarvvazarIraM sAndhakAraM sthAsyati|
LUK.11.35	asmAt kAraNAt tavAntaHsthaM jyOti ryathAndhakAramayaM na bhavati tadarthE sAvadhAnO bhava|
LUK.11.36	yataH zarIrasya kutrApyaMzE sAndhakArE na jAtE sarvvaM yadi dIptimat tiSThati tarhi tubhyaM dIptidAyiprOjjvalan pradIpa iva tava savarvazarIraM dIptimad bhaviSyati|
LUK.11.37	EtatkathAyAH kathanakAlE phiruzyEkO bhEjanAya taM nimantrayAmAsa, tataH sa gatvA bhOktum upavivEza|
LUK.11.38	kintu bhOjanAt pUrvvaM nAmAgkSIt Etad dRSTvA sa phiruzyAzcaryyaM mEnE|
LUK.11.39	tadA prabhustaM prOvAca yUyaM phirUzilOkAH pAnapAtrANAM bhOjanapAtrANAnjca bahiH pariSkurutha kintu yuSmAkamanta rdaurAtmyai rduSkriyAbhizca paripUrNaM tiSThati|
LUK.11.40	hE sarvvE nirbOdhA yO bahiH sasarja sa Eva kimanta rna sasarja?
LUK.11.41	tata Eva yuSmAbhirantaHkaraNaM (IzvarAya) nivEdyatAM tasmin kRtE yuSmAkaM sarvvANi zucitAM yAsyanti|
LUK.11.42	kintu hanta phirUzigaNA yUyaM nyAyam IzvarE prEma ca parityajya pOdinAyA arudAdInAM sarvvESAM zAkAnAnjca dazamAMzAn dattha kintu prathamaM pAlayitvA zESasyAlagghanaM yuSmAkam ucitamAsIt|
LUK.11.43	hA hA phirUzinO yUyaM bhajanagEhE prOccAsanE ApaNESu ca namaskArESu prIyadhvE|
LUK.11.44	vata kapaTinO'dhyApakAH phirUzinazca lOkAyat zmazAnam anupalabhya tadupari gacchanti yUyam tAdRgaprakAzitazmazAnavAd bhavatha|
LUK.11.45	tadAnIM vyavasthApakAnAm EkA yIzumavadat, hE upadEzaka vAkyEnEdRzEnAsmAsvapi dOSam ArOpayasi|
LUK.11.46	tataH sa uvAca, hA hA vyavasthApakA yUyam mAnuSANAm upari duHsahyAn bhArAn nyasyatha kintu svayam EkAgguुlyApi tAn bhArAn na spRzatha|
LUK.11.47	hanta yuSmAkaM pUrvvapuruSA yAn bhaviSyadvAdinO'vadhiSustESAM zmazAnAni yUyaM nirmmAtha|
LUK.11.48	tEnaiva yUyaM svapUrvvapuruSANAM karmmANi saMmanyadhvE tadEva sapramANaM kurutha ca, yatastE tAnavadhiSuH yUyaM tESAM zmazAnAni nirmmAtha|
LUK.11.49	ataEva Izvarasya zAstrE prOktamasti tESAmantikE bhaviSyadvAdinaH prEritAMzca prESayiSyAmi tatastE tESAM kAMzcana haniSyanti kAMzcana tAPazSyinti|
LUK.11.50	EtasmAt kAraNAt hAbilaH zONitapAtamArabhya mandirayajnjavEdyO rmadhyE hatasya sikhariyasya raktapAtaparyyantaM
LUK.11.51	jagataH sRSTimArabhya pRthivyAM bhaviSyadvAdinAM yatiraktapAtA jAtAstatInAm aparAdhadaNPA ESAM varttamAnalOkAnAM bhaviSyanti, yuSmAnahaM nizcitaM vadAmi sarvvE daNPA vaMzasyAsya bhaviSyanti|
LUK.11.52	hA hA vyavasthapakA yUyaM jnjAnasya kunjcikAM hRtvA svayaM na praviSTA yE pravESTunjca prayAsinastAnapi pravESTuM vAritavantaH|
LUK.11.53	itthaM kathAkathanAd adhyApakAH phirUzinazca satarkAH
LUK.11.54	santastamapavadituM tasya kathAyA dOSaM dharttamicchantO nAnAkhyAnakathanAya taM pravarttayituM kOpayitunjca prArEbhirE|
LUK.12.1	tadAnIM lOkAH sahasraM sahasram Agatya samupasthitAstata EkaikO 'nyESAmupari patitum upacakramE; tadA yIzuH ziSyAn babhASE, yUyaM phirUzinAM kiNvarUpakApaTyE vizESENa sAvadhAnAstiSThata|
LUK.12.2	yatO yanna prakAzayiSyatE tadAcchannaM vastu kimapi nAsti; tathA yanna jnjAsyatE tad guptaM vastu kimapi nAsti|
LUK.12.3	andhakArE tiSThanatO yAH kathA akathayata tAH sarvvAH kathA dIptau zrOSyantE nirjanE karNE ca yadakathayata gRhapRSThAt tat pracArayiSyatE|
LUK.12.4	hE bandhavO yuSmAnahaM vadAmi, yE zarIrasya nAzaM vinA kimapyaparaM karttuM na zakruvanti tEbhyO mA bhaiSTa|
LUK.12.5	tarhi kasmAd bhEtavyam ityahaM vadAmi, yaH zarIraM nAzayitvA narakaM nikSEptuM zaknOti tasmAdEva bhayaM kuruta, punarapi vadAmi tasmAdEva bhayaM kuruta|
LUK.12.6	panjca caTakapakSiNaH kiM dvAbhyAM tAmrakhaNPAbhyAM na vikrIyantE? tathApIzvarastESAm Ekamapi na vismarati|
LUK.12.7	yuSmAkaM ziraHkEzA api gaNitAH santi tasmAt mA vibhIta bahucaTakapakSibhyOpi yUyaM bahumUlyAH|
LUK.12.8	aparaM yuSmabhyaM kathayAmi yaH kazcin mAnuSANAM sAkSAn mAM svIkarOti manuSyaputra IzvaradUtAnAM sAkSAt taM svIkariSyati|
LUK.12.9	kintu yaH kazcinmAnuSANAM sAkSAnmAm asvIkarOti tam Izvarasya dUtAnAM sAkSAd aham asvIkariSyAmi|
LUK.12.10	anyacca yaH kazcin manujasutasya nindAbhAvEna kAnjcit kathAM kathayati tasya tatpApasya mOcanaM bhaviSyati kintu yadi kazcit pavitram AtmAnaM nindati tarhi tasya tatpApasya mOcanaM na bhaviSyati|
LUK.12.11	yadA lOkA yuSmAn bhajanagEhaM vicArakartRrAjyakartRNAM sammukhanjca nESyanti tadA kEna prakArENa kimuttaraM vadiSyatha kiM kathayiSyatha cEtyatra mA cintayata;
LUK.12.12	yatO yuSmAbhiryad yad vaktavyaM tat tasmin samayaEva pavitra AtmA yuSmAn zikSayiSyati|
LUK.12.13	tataH paraM janatAmadhyasthaH kazcijjanastaM jagAda hE gurO mayA saha paitRkaM dhanaM vibhaktuM mama bhrAtaramAjnjApayatu bhavAn|
LUK.12.14	kintu sa tamavadat hE manuSya yuvayO rvicAraM vibhAganjca karttuM mAM kO niyuktavAn?
LUK.12.15	anantaraM sa lOkAnavadat lObhE sAvadhAnAH satarkAzca tiSThata, yatO bahusampattiprAptyA manuSyasyAyu rna bhavati|
LUK.12.16	pazcAd dRSTAntakathAmutthApya kathayAmAsa, Ekasya dhaninO bhUmau bahUni zasyAni jAtAni|
LUK.12.17	tataH sa manasA cintayitvA kathayAmbabhUva mamaitAni samutpannAni dravyANi sthApayituM sthAnaM nAsti kiM kariSyAmi?
LUK.12.18	tatOvadad itthaM kariSyAmi, mama sarvvabhANPAgArANi bhagktvA bRhadbhANPAgArANi nirmmAya tanmadhyE sarvvaphalAni dravyANi ca sthApayiSyAmi|
LUK.12.19	aparaM nijamanO vadiSyAmi, hE manO bahuvatsarArthaM nAnAdravyANi sanjcitAni santi vizrAmaM kuru bhuktvA pItvA kautukanjca kuru| kintvIzvarastam avadat,
