MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIshukhrIShTastasya pUrvvapuruShavaMshashreNI|
MAT.14.14	tadAnIM yIshu rbahirAgatya mahAntaM jananivahaM nirIkShya teShu kAruNikaH man teShAM pIDitajanAn nirAmayAn chakAra|
MAT.14.15	tataH paraM sandhyAyAM shiShyAstadantikamAgatya kathayA nchakruH, idaM nirjanasthAnaM velApyavasannA; tasmAt manujAn svasvagrAmaM gantuM svArthaM bhakShyANi kretu ncha bhavAn tAn visR^ijatu|
MAT.14.16	kintu yIshustAnavAdIt, teShAM gamane prayojanaM nAsti, yUyameva tAn bhojayata|
MAT.14.17	tadA te pratyavadan, asmAkamatra pUpapa nchakaM mInadvaya nchAste|
MAT.14.18	tadAnIM tenoktaM tAni madantikamAnayata|
MAT.14.19	anantaraM sa manujAn yavasoparyyupaveShTum Aj nApayAmAsa; apara tat pUpapa nchakaM mInadvaya ncha gR^ihlan svargaM prati nirIkShyeshvarIyaguNAn anUdya bhaMktvA shiShyebhyo dattavAn, shiShyAshcha lokebhyo daduH|
MAT.14.20	tataH sarvve bhuktvA paritR^iptavantaH, tatastadavashiShTabhakShyaiH pUrNAn dvAdashaDalakAn gR^ihItavantaH|
MAT.14.21	te bhoktAraH strIrbAlakAMshcha vihAya prAyeNa pa ncha sahasrANi pumAMsa Asan|
MAT.14.22	tadanantaraM yIshu rlokAnAM visarjanakAle shiShyAn taraNimAroDhuM svAgre pAraM yAtu ncha gADhamAdiShTavAn|
MAT.14.23	tato lokeShu visR^iShTeShu sa vivikte prArthayituM girimekaM gatvA sandhyAM yAvat tatraikAkI sthitavAn|
MAT.14.24	kintu tadAnIM sammukhavAtatvAt saritpate rmadhye tara NgaistaraNirdolAyamAnAbhavat|
MAT.14.25	tadA sa yAminyAshchaturthaprahare padbhyAM vrajan teShAmantikaM gatavAn|
MAT.14.26	kintu shiShyAstaM sAgaropari vrajantaM vilokya samudvignA jagaduH, eSha bhUta iti sha NkamAnA uchchaiH shabdAyA nchakrire cha|
MAT.14.27	tadaiva yIshustAnavadat, susthirA bhavata, mA bhaiShTa, eSho.aham|
MAT.14.28	tataH pitara ityuktavAn, he prabho, yadi bhavAneva, tarhi mAM bhavatsamIpaM yAtumAj nApayatu|
MAT.14.29	tataH tenAdiShTaH pitarastaraNito.avaruhya yIsheाrantikaM prAptuM toyopari vavrAja|
MAT.14.30	kintu prachaNDaM pavanaM vilokya bhayAt toye maMktum Arebhe, tasmAd uchchaiH shabdAyamAnaH kathitavAn, he prabho, mAmavatu|
MAT.14.31	yIshustatkShaNAt karaM prasAryya taM dharan uktavAn, ha stokapratyayin tvaM kutaH samashethAH?
MAT.14.32	anantaraM tayostaraNimArUDhayoH pavano nivavR^ite|
MAT.14.33	tadAnIM ye taraNyAmAsan, ta Agatya taM praNabhya kathitavantaH, yathArthastvameveshvarasutaH|
MAT.14.34	anantaraM pAraM prApya te gineSharannAmakaM nagaramupatasthuH,
MAT.14.35	tadA tatratyA janA yIshuM parichIya taddeshsya chaturdisho vArttAM prahitya yatra yAvantaH pIDitA Asan, tAvataeva tadantikamAnayAmAsuH|
MAT.14.36	aparaM tadIyavasanasya granthimAtraM spraShTuM vinIya yAvanto janAstat sparshaM chakrire, te sarvvaeva nirAmayA babhUvuH|
MAT.15.1	aparaM yirUshAlamnagarIyAH katipayA adhyApakAH phirUshinashcha yIshoH samIpamAgatya kathayAmAsuH,
MAT.15.2	tava shiShyAH kimartham aprakShAlitakarai rbhakShitvA paramparAgataM prAchInAnAM vyavahAraM la Nvante?
MAT.15.3	tato yIshuH pratyuvAcha, yUyaM paramparAgatAchAreNa kuta IshvarAj nAM la Nvadhve|
MAT.15.4	Ishvara ityAj nApayat, tvaM nijapitarau saMmanyethAH, yena cha nijapitarau nindyete, sa nishchitaM mriyeta;
MAT.15.5	kintu yUyaM vadatha, yaH svajanakaM svajananIM vA vAkyamidaM vadati, yuvAM matto yallabhethe, tat nyavidyata,
MAT.15.6	sa nijapitarau puna rna saMmaMsyate| itthaM yUyaM paramparAgatena sveShAmAchAreNeshvarIyAj nAM lumpatha|
MAT.15.7	re kapaTinaH sarvve yishayiyo yuShmAnadhi bhaviShyadvachanAnyetAni samyag uktavAn|
MAT.15.8	vadanai rmanujA ete samAyAnti madantikaM| tathAdharai rmadIya ncha mAnaM kurvvanti te narAH|
MAT.15.9	kintu teShAM mano matto vidUraeva tiShThati| shikShayanto vidhIn nrAj nA bhajante mAM mudhaiva te|
MAT.15.10	tato yIshu rlokAn AhUya proktavAn, yUyaM shrutvA budhyadhbaM|
MAT.15.11	yanmukhaM pravishati, tat manujam amedhyaM na karoti, kintu yadAsyAt nirgachChati, tadeva mAnuShamamedhyI karotI|
MAT.15.12	tadAnIM shiShyA Agatya tasmai kathayA nchakruH, etAM kathAM shrutvA phirUshino vyarajyanta, tat kiM bhavatA j nAyate?
MAT.15.13	sa pratyavadat, mama svargasthaH pitA yaM ka nchida NkuraM nAropayat, sa utpAvdyate|
MAT.15.14	te tiShThantu, te andhamanujAnAm andhamArgadarshakA eva; yadyandho.andhaM panthAnaM darshayati, tarhyubhau gartte patataH|
MAT.15.15	tadA pitarastaM pratyavadat, dR^iShTAntamimamasmAn bodhayatu|
MAT.15.16	yIshunA proktaM, yUyamadya yAvat kimabodhAH stha?
MAT.15.17	kathAmimAM kiM na budhyadhbe ? yadAsyaM previshati, tad udare patan bahirniryAti,
MAT.15.18	kintvAsyAd yanniryAti, tad antaHkaraNAt niryAtatvAt manujamamedhyaM karoti|
MAT.15.19	yato.antaHkaraNAt kuchintA badhaH pAradArikatA veshyAgamanaM chairyyaM mithyAsAkShyam IshvaranindA chaitAni sarvvANi niryyAnti|
MAT.15.20	etAni manuShyamapavitrI kurvvanti kintvaprakShAlitakareNa bhojanaM manujamamedhyaM na karoti|
MAT.15.21	anantaraM yIshustasmAt sthAnAt prasthAya sorasIdonnagarayoH sImAmupatasyau|
MAT.15.22	tadA tatsImAtaH kAchit kinAnIyA yoShid Agatya tamuchchairuvAcha, he prabho dAyUdaH santAna, mamaikA duhitAste sA bhUtagrastA satI mahAkleshaM prApnoti mama dayasva|
MAT.15.23	kintu yIshustAM kimapi noktavAn, tataH shiShyA Agatya taM nivedayAmAsuH, eShA yoShid asmAkaM pashchAd uchchairAhUyAgachChati, enAM visR^ijatu|
MAT.15.24	tadA sa pratyavadat, isrAyelgotrasya hAritameShAn vinA kasyApyanyasya samIpaM nAhaM preShitosmi|
MAT.15.25	tataH sA nArIsamAgatya taM praNamya jagAda, he prabho mAmupakuru|
MAT.15.26	sa uktavAn, bAlakAnAM bhakShyamAdAya sArameyebhyo dAnaM nochitaM|
MAT.15.27	tadA sA babhAShe, he prabho, tat satyaM, tathApi prabho rbha nchAd yaduchChiShTaM patati, tat sArameyAH khAdanti|
MAT.15.28	tato yIshuH pratyavadat, he yoShit, tava vishvAso mahAn tasmAt tava manobhilaShitaM sidyyatu, tena tasyAH kanyA tasminneva daNDe nirAmayAbhavat|
MAT.15.29	anantaraM yIshastasmAt sthAnAt prasthAya gAlIlsAgarasya sannidhimAgatya dharAdharamAruhya tatropavivesha|
MAT.15.30	pashchAt jananivaho bahUn kha nchAndhamUkashuShkakaramAnuShAn AdAya yIshoH samIpamAgatya tachcharaNAntike sthApayAmAsuH, tataH sA tAn nirAmayAn akarot|
MAT.15.31	itthaM mUkA vAkyaM vadanti, shuShkakarAH svAsthyamAyAnti, pa Ngavo gachChanti, andhA vIkShante, iti vilokya lokA vismayaM manyamAnA isrAyela IshvaraM dhanyaM babhAShire|
MAT.15.32	tadAnIM yIshuH svashiShyAn AhUya gaditavAn, etajjananivaheShu mama dayA jAyate, ete dinatrayaM mayA sAkaM santi, eShAM bhakShyavastu cha ka nchidapi nAsti, tasmAdahametAnakR^itAhArAn na visrakShyAmi, tathAtve vartmamadhye klAmyeShuH|
MAT.15.33	tadA shiShyA UchuH, etasmin prAntaramadhya etAvato martyAn tarpayituM vayaM kutra pUpAn prApsyAmaH?
MAT.15.34	yIshurapR^ichChat, yuShmAkaM nikaTe kati pUpA Asate? ta UchuH, saptapUpA alpAH kShudramInAshcha santi|
MAT.15.35	tadAnIM sa lokanivahaM bhUmAvupaveShTum Adishya
MAT.15.36	tAn saptapUpAn mInAMshcha gR^ihlan IshvarIyaguNAn anUdya bhaMktvA shiShyebhyo dadau, shiShyA lokebhyo daduH|
MAT.15.37	tataH sarvve bhuktvA tR^iptavantaH; tadavashiShTabhakShyeNa saptaDalakAn paripUryya saMjagR^ihuH|
MAT.15.38	te bhoktAro yoShito bAlakAMshcha vihAya prAyeNa chatuHsahasrANi puruShA Asan|
MAT.15.39	tataH paraM sa jananivahaM visR^ijya tarimAruhya magdalApradeshaM gatavAn|
MAT.16.1	tadAnIM phirUshinaH sidUkinashchAgatya taM parIkShituM nabhamIyaM ki nchana lakShma darshayituM tasmai nivedayAmAsuH|
MAT.16.2	tataH sa uktavAn, sandhyAyAM nabhaso raktatvAd yUyaM vadatha, shvo nirmmalaM dinaM bhaviShyati;
MAT.16.3	prAtaHkAle cha nabhaso raktatvAt malinatvA ncha vadatha, jha nbhshadya bhaviShyati| he kapaTino yadi yUyam antarIkShasya lakShma boddhuM shaknutha, tarhi kAlasyaitasya lakShma kathaM boddhuM na shaknutha?
MAT.16.4	etatkAlasya duShTo vyabhichArI cha vaMsho lakShma gaveShayati, kintu yUnaso bhaviShyadvAdino lakShma vinAnyat kimapi lakShma tAn na darshayiyyate| tadAnIM sa tAn vihAya pratasthe|
MAT.16.5	anantaramanyapAragamanakAle tasya shiShyAH pUpamAnetuM vismR^itavantaH|
MAT.16.6	yIshustAnavAdIt, yUyaM phirUshinAM sidUkinA ncha kiNvaM prati sAvadhAnAH satarkAshcha bhavata|
MAT.16.7	tena te parasparaM vivichya kathayitumArebhire, vayaM pUpAnAnetuM vismR^itavanta etatkAraNAd iti kathayati|
MAT.16.8	kintu yIshustadvij nAya tAnavochat, he stokavishvAsino yUyaM pUpAnAnayanamadhi kutaH parasparametad viviMkya?
MAT.16.9	yuShmAbhiH kimadyApi na j nAyate? pa nchabhiH pUpaiH pa nchasahasrapuruSheShu bhojiteShu bhakShyochChiShTapUrNAn kati DalakAn samagR^ihlItaM;
MAT.16.10	tathA saptabhiH pUpaishchatuHsahasrapuruSheShu bhejiteShu kati DalakAn samagR^ihlIta, tat kiM yuShmAbhirna smaryyate?
MAT.16.11	tasmAt phirUshinAM sidUkinA ncha kiNvaM prati sAvadhAnAstiShThata, kathAmimAm ahaM pUpAnadhi nAkathayaM, etad yUyaM kuto na budhyadhve?
MAT.16.12	tadAnIM pUpakiNvaM prati sAvadhAnAstiShThateti noktvA phirUshinAM sidUkinA ncha upadeshaM prati sAvadhAnAstiShThateti kathitavAn, iti tairabodhi|
MAT.16.13	apara ncha yIshuH kaisariyA-philipipradeshamAgatya shiShyAn apR^ichChat, yo.ahaM manujasutaH so.ahaM kaH? lokairahaM kimuchye?
MAT.16.14	tadAnIM te kathitavantaH, kechid vadanti tvaM majjayitA yohan, kechidvadanti, tvam eliyaH, kechichcha vadanti, tvaM yirimiyo vA kashchid bhaviShyadvAdIti|
MAT.16.15	pashchAt sa tAn paprachCha, yUyaM mAM kaM vadatha? tataH shimon pitara uvAcha,
MAT.16.16	tvamamareshvarasyAbhiShiktaputraH|
MAT.16.17	tato yIshuH kathitavAn, he yUnasaH putra shimon tvaM dhanyaH; yataH kopi anujastvayyetajj nAnaM nodapAdayat, kintu mama svargasyaH pitodapAdayat|
MAT.16.18	ato.ahaM tvAM vadAmi, tvaM pitaraH (prastaraH) aha ncha tasya prastarasyopari svamaNDalIM nirmmAsyAmi, tena nirayo balAt tAM parAjetuM na shakShyati|
MAT.16.19	ahaM tubhyaM svargIyarAjyasya ku njikAM dAsyAmi, tena yat ki nchana tvaM pR^ithivyAM bhaMtsyasi tatsvarge bhaMtsyate, yachcha ki nchana mahyAM mokShyasi tat svarge mokShyate|
MAT.16.20	pashchAt sa shiShyAnAdishat, ahamabhiShikto yIshuriti kathAM kasmaichidapi yUyaM mA kathayata|
MAT.16.21	anya ncha yirUshAlamnagaraM gatvA prAchInalokebhyaH pradhAnayAjakebhya upAdhyAyebhyashcha bahuduHkhabhogastai rhatatvaM tR^itIyadine punarutthAna ncha mamAvashyakam etAH kathA yIshustatkAlamArabhya shiShyAn j nApayitum ArabdhavAn|
MAT.16.22	tadAnIM pitarastasya karaM ghR^itvA tarjayitvA kathayitumArabdhavAn, he prabho, tat tvatto dUraM yAtu, tvAM prati kadApi na ghaTiShyate|
MAT.16.23	kintu sa vadanaM parAvartya pitaraM jagAda, he vighnakArin, matsammukhAd dUrIbhava, tvaM mAM bAdhase, IshvarIyakAryyAt mAnuShIyakAryyaM tubhyaM rochate|
MAT.16.24	anantaraM yIshuH svIyashiShyAn uktavAn yaH kashchit mama pashchAdgAmI bhavitum ichChati, sa svaM dAmyatu, tathA svakrushaM gR^ihlan matpashchAdAyAtu|
MAT.16.25	yato yaH prANAn rakShitumichChati, sa tAn hArayiShyati, kintu yo madarthaM nijaprANAn hArayati, sa tAn prApsyati|
MAT.16.26	mAnuSho yadi sarvvaM jagat labhate nijapraNAn hArayati, tarhi tasya ko lAbhaH? manujo nijaprANAnAM vinimayena vA kiM dAtuM shaknoti?
MAT.16.27	manujasutaH svadUtaiH sAkaM pituH prabhAveNAgamiShyati; tadA pratimanujaM svasvakarmmAnusArAt phalaM dAsyati|
MAT.16.28	ahaM yuShmAn tathyaM vachmi, sarAjyaM manujasutam AgataM na pashyanto mR^ityuM na svAdiShyanti, etAdR^ishAH katipayajanA atrApi daNDAyamAnAH santi|
MAT.17.1	anantaraM ShaDdinebhyaH paraM yIshuH pitaraM yAkUbaM tatsahajaM yohana ncha gR^ihlan uchchAdre rviviktasthAnam Agatya teShAM samakShaM rUpamanyat dadhAra|
MAT.17.2	tena tadAsyaM tejasvi, tadAbharaNam Alokavat pANDaramabhavat|
MAT.17.3	anyachcha tena sAkaM saMlapantau mUsA eliyashcha tebhyo darshanaM dadatuH|
MAT.17.4	tadAnIM pitaro yIshuM jagAda, he prabho sthitiratrAsmAkaM shubhA, yadi bhavatAnumanyate, tarhi bhavadarthamekaM mUsArthamekam eliyArtha nchaikam iti trINi dUShyANi nirmmama|
MAT.17.5	etatkathanakAla eka ujjavalaH payodasteShAmupari ChAyAM kR^itavAn, vAridAd eShA nabhasIyA vAg babhUva, mamAyaM priyaH putraH, asmin mama mahAsantoSha etasya vAkyaM yUyaM nishAmayata|
MAT.17.6	kintu vAchametAM shR^iNvantaeva shiShyA mR^ishaM sha NkamAnA nyubjA nyapatan|
MAT.17.7	tadA yIshurAgatya teShAM gAtrANi spR^ishan uvAcha, uttiShThata, mA bhaiShTa|
MAT.17.8	tadAnIM netrANyunmIlya yIshuM vinA kamapi na dadR^ishuH|
MAT.17.9	tataH param adreravarohaNakAle yIshustAn ityAdidesha, manujasutasya mR^itAnAM madhyAdutthAnaM yAvanna jAyate, tAvat yuShmAbhiretaddarshanaM kasmaichidapi na kathayitavyaM|
MAT.17.10	tadA shiShyAstaM paprachChuH, prathamam eliya AyAsyatIti kuta upAdhyAyairuchyate?
MAT.17.11	tato yIshuH pratyavAdIt, eliyaH prAgetya sarvvANi sAdhayiShyatIti satyaM,
MAT.17.12	kintvahaM yuShmAn vachmi, eliya etya gataH, te tamaparichitya tasmin yathechChaM vyavajahuH; manujasutenApi teShAmantike tAdR^ig duHkhaM bhoktavyaM|
MAT.17.13	tadAnIM sa majjayitAraM yohanamadhi kathAmetAM vyAhR^itavAn, itthaM tachChiShyA bubudhire|
MAT.17.14	pashchAt teShu jananivahasyAntikamAgateShu kashchit manujastadantikametya jAnUnI pAtayitvA kathitavAn,
MAT.17.15	he prabho, matputraM prati kR^ipAM vidadhAtu, sopasmArAmayena bhR^ishaM vyathitaH san punaH puna rvahnau muhu rjalamadhye patati|
MAT.17.16	tasmAd bhavataH shiShyANAM samIpe tamAnayaM kintu te taM svAsthaM karttuM na shaktAH|
MAT.17.17	tadA yIshuH kathitavAn re avishvAsinaH, re vipathagAminaH, punaH katikAlAn ahaM yuShmAkaM sannidhau sthAsyAmi? katikAlAn vA yuShmAn sahiShye? tamatra mamAntikamAnayata|
MAT.17.18	pashchAd yIshunA tarjataeva sa bhUtastaM vihAya gatavAn, taddaNDaeva sa bAlako nirAmayo.abhUt|
MAT.17.19	tataH shiShyA guptaM yIshumupAgatya babhAShire, kuto vayaM taM bhUtaM tyAjayituM na shaktAH?
MAT.17.20	yIshunA te proktAH, yuShmAkamapratyayAt;
MAT.17.21	yuShmAnahaM tathyaM vachmi yadi yuShmAkaM sarShapaikamAtropi vishvAso jAyate, tarhi yuShmAbhirasmin shaile tvamitaH sthAnAt tat sthAnaM yAhIti brUte sa tadaiva chaliShyati, yuShmAkaM kimapyasAdhya ncha karmma na sthAsyAti| kintu prArthanopavAsau vinaitAdR^isho bhUto na tyAjyeta|
MAT.17.22	aparaM teShAM gAlIlpradeshe bhramaNakAle yIshunA te gaditAH, manujasuto janAnAM kareShu samarpayiShyate tai rhaniShyate cha,
MAT.17.23	kintu tR^itIye.ahi्na ma utthApiShyate, tena te bhR^ishaM duHkhitA babhUvaH|
MAT.17.24	tadanantaraM teShu kapharnAhUmnagaramAgateShu karasaMgrAhiNaH pitarAntikamAgatya paprachChuH, yuShmAkaM guruH kiM mandirArthaM karaM na dadAti? tataH pitaraH kathitavAn dadAti|
MAT.17.25	tatastasmin gR^ihamadhyamAgate tasya kathAkathanAt pUrvvameva yIshuruvAcha, he shimon, medinyA rAjAnaH svasvApatyebhyaH kiM videshibhyaH kebhyaH karaM gR^ihlanti? atra tvaM kiM budhyase? tataH pitara uktavAn, videshibhyaH|
MAT.17.26	tadA yIshuruktavAn, tarhi santAnA muktAH santi|
MAT.17.27	tathApi yathAsmAbhisteShAmantarAyo na janyate, tatkR^ite jaladhestIraM gatvA vaDishaM kShipa, tenAdau yo mIna utthAsyati, taM ghR^itvA tanmukhe mochite tolakaikaM rUpyaM prApsyasi, tad gR^ihItvA tava mama cha kR^ite tebhyo dehi|
MAT.18.1	tadAnIM shiShyA yIshoH samIpamAgatya pR^iShTavantaH svargarAjye kaH shreShThaH?
MAT.18.2	tato yIshuH kShudramekaM bAlakaM svasamIpamAnIya teShAM madhye nidhAya jagAda,
MAT.18.3	yuShmAnahaM satyaM bravImi, yUyaM manovinimayena kShudrabAlavat na santaH svargarAjyaM praveShTuM na shaknutha|
MAT.18.4	yaH kashchid etasya kShudrabAlakasya samamAtmAnaM namrIkaroti, saeva svargarAjaye shreShThaH|
MAT.18.5	yaH kashchid etAdR^ishaM kShudrabAlakamekaM mama nAmni gR^ihlAti, sa mAmeva gR^ihlAti|
MAT.18.6	kintu yo jano mayi kR^itavishvAsAnAmeteShAM kShudraprANinAm ekasyApi vidhniM janayati, kaNThabaddhapeShaNIkasya tasya sAgarAgAdhajale majjanaM shreyaH|
MAT.18.7	vighnAt jagataH santApo bhaviShyati, vighno.avashyaM janayiShyate, kintu yena manujena vighno janiShyate tasyaiva santApo bhaviShyati|
MAT.18.8	tasmAt tava karashcharaNo vA yadi tvAM bAdhate, tarhi taM ChittvA nikShipa, dvikarasya dvipadasya vA tavAnaptavahnau nikShepAt, kha njasya vA Chinnahastasya tava jIvane pravesho varaM|
MAT.18.9	aparaM tava netraM yadi tvAM bAdhate, tarhi tadapyutpAvya nikShipa, dvinetrasya narakAgnau nikShepAt kANasya tava jIvane pravesho varaM|
MAT.18.10	tasmAdavadhaddhaM, eteShAM kShudraprANinAm ekamapi mA tuchChIkuruta,
MAT.18.11	yato yuShmAnahaM tathyaM bravImi, svarge teShAM dUtA mama svargasthasya piturAsyaM nityaM pashyanti| evaM ye ye hAritAstAn rakShituM manujaputra AgachChat|
MAT.18.12	yUyamatra kiM viviMgghve? kasyachid yadi shataM meShAH santi, teShAmeko hAryyate cha, tarhi sa ekonashataM meShAn vihAya parvvataM gatvA taM hAritamekaM kiM na mR^igayate?
MAT.18.13	yadi cha kadAchit tanmeShoddeshaM lamate, tarhi yuShmAnahaM satyaM kathayAmi, so.avipathagAmibhya ekonashatameShebhyopi tadekahetoradhikam AhlAdate|
MAT.18.14	tadvad eteShAM kShudraprAeिnAm ekopi nashyatIti yuShmAkaM svargasthapitu rnAbhimatam|
MAT.18.15	yadyapi tava bhrAtA tvayi kimapyaparAdhyati, tarhi gatvA yuvayordvayoH sthitayostasyAparAdhaM taM j nApaya| tatra sa yadi tava vAkyaM shR^iNoti, tarhi tvaM svabhrAtaraM prAptavAn,
MAT.18.16	kintu yadi na shR^iNoti, tarhi dvAbhyAM tribhi rvA sAkShIbhiH sarvvaM vAkyaM yathA nishchitaM jAyate, tadartham ekaM dvau vA sAkShiNau gR^ihItvA yAhi|
MAT.18.17	tena sa yadi tayo rvAkyaM na mAnyate, tarhi samAjaM tajj nApaya, kintu yadi samAjasyApi vAkyaM na mAnyate,tarhi sa tava samIpe devapUjaka_iva chaNDAla_iva cha bhaviShyati|
MAT.18.18	ahaM yuShmAn satyaM vadAmi, yuShmAbhiH pR^ithivyAM yad badhyate tat svarge bhaMtsyate; medinyAM yat bhochyate, svarge.api tat mokShyate|
MAT.18.19	punarahaM yuShmAn vadAmi, medinyAM yuShmAkaM yadi dvAvekavAkyIbhUya ki nchit prArthayete, tarhi mama svargasthapitrA tat tayoH kR^ite sampannaM bhaviShyati|
MAT.18.20	yato yatra dvau trayo vA mama nAnni milanti, tatraivAhaM teShAM madhye.asmi|
MAT.18.21	tadAnIM pitarastatsamIpamAgatya kathitavAn he prabho, mama bhrAtA mama yadyaparAdhyati, tarhi taM katikR^itvaH kShamiShye?
MAT.18.22	kiM saptakR^itvaH? yIshustaM jagAda, tvAM kevalaM saptakR^itvo yAvat na vadAmi, kintu saptatyA guNitaM saptakR^itvo yAvat|
MAT.18.23	aparaM nijadAsaiH saha jigaNayiShuH kashchid rAjeva svargarAjayaM|
MAT.18.24	Arabdhe tasmin gaNane sArddhasahasramudrApUritAnAM dashasahasrapuTakAnAm eko.aghamarNastatsamakShamAnAyi|
MAT.18.25	tasya parishodhanAya dravyAbhAvAt parishodhanArthaM sa tadIyabhAryyAputrAdisarvvasva ncha vikrIyatAmiti tatprabhurAdidesha|
MAT.18.26	tena sa dAsastasya pAdayoH patan praNamya kathitavAn , he prabho bhavatA ghairyye kR^ite mayA sarvvaM parishodhiShyate|
MAT.18.27	tadAnIM dAsasya prabhuH sakaruNaH san sakalarNaM kShamitvA taM tatyAja|
MAT.18.28	kintu tasmin dAse bahi ryAte, tasya shataM mudrAchaturthAMshAn yo dhArayati, taM sahadAsaM dR^iShdvA tasya kaNThaM niShpIDya gaditavAn, mama yat prApyaM tat parishodhaya|
MAT.18.29	tadA tasya sahadAsastatpAdayoH patitvA vinIya babhAShe, tvayA dhairyye kR^ite mayA sarvvaM parishodhiShyate|
MAT.18.30	tathApi sa tat nA NagIkR^itya yAvat sarvvamR^iNaM na parishodhitavAn tAvat taM kArAyAM sthApayAmAsa|
MAT.18.31	tadA tasya sahadAsAstasyaitAdR^ig AcharaNaM vilokya prabhoH samIpaM gatvA sarvvaM vR^ittAntaM nivedayAmAsuH|
MAT.18.32	tadA tasya prabhustamAhUya jagAda, re duShTa dAsa, tvayA matsannidhau prArthite mayA tava sarvvamR^iNaM tyaktaM;
MAT.18.33	yathA chAhaM tvayi karuNAM kR^itavAn, tathaiva tvatsahadAse karuNAkaraNaM kiM tava nochitaM?
MAT.18.34	iti kathayitvA tasya prabhuH kruddhyan nijaprApyaM yAvat sa na parishodhitavAn, tAvat prahArakAnAM kareShu taM samarpitavAn|
MAT.18.35	yadi yUyaM svAntaHkaraNaiH svasvasahajAnAm aparAdhAn na kShamadhve, tarhi mama svargasyaH pitApi yuShmAn pratItthaM kariShyati|
MAT.19.1	anantaram etAsu kathAsu samAptAsu yIshu rgAlIlapradeshAt prasthAya yardantIrasthaM yihUdApradeshaM prAptaH|
MAT.19.2	tadA tatpashchAt jananivahe gate sa tatra tAn nirAmayAn akarot|
MAT.19.3	tadanantaraM phirUshinastatsamIpamAgatya pArIkShituM taM paprachChuH, kasmAdapi kAraNAt nareNa svajAyA parityAjyA na vA?
MAT.19.4	sa pratyuvAcha, prathamam Ishvaro naratvena nArItvena cha manujAn sasarja, tasmAt kathitavAn,
MAT.19.5	mAnuShaH svapitarau parityajya svapatnyAm AsakShyate, tau dvau janAvekA Ngau bhaviShyataH, kimetad yuShmAbhi rna paThitam?
MAT.19.6	atastau puna rna dvau tayorekA NgatvaM jAtaM, IshvareNa yachcha samayujyata, manujo na tad bhindyAt|
MAT.19.7	tadAnIM te taM pratyavadan, tathAtve tyAjyapatraM dattvA svAM svAM jAyAM tyaktuM vyavasthAM mUsAH kathaM lilekha?
MAT.19.8	tataH sa kathitavAn, yuShmAkaM manasAM kAThinyAd yuShmAn svAM svAM jAyAM tyaktum anvamanyata kintu prathamAd eSho vidhirnAsIt|
MAT.19.9	ato yuShmAnahaM vadAmi, vyabhichAraM vinA yo nijajAyAM tyajet anyA ncha vivahet, sa paradArAn gachChati; yashcha tyaktAM nArIM vivahati sopi paradAreShu ramate|
MAT.19.10	tadA tasya shiShyAstaM babhAShire, yadi svajAyayA sAkaM puMsa etAdR^ik sambandho jAyate, tarhi vivahanameva na bhadraM|
MAT.19.11	tataH sa uktavAn, yebhyastatsAmarthyaM AdAyi, tAn vinAnyaH kopi manuja etanmataM grahItuM na shaknoti|
MAT.19.12	katipayA jananaklIbaH katipayA narakR^itaklIbaH svargarAjyAya katipayAH svakR^itaklIbAshcha santi, ye grahItuM shaknuvanti te gR^ihlantu|
MAT.19.13	aparam yathA sa shishUnAM gAtreShu hastaM datvA prArthayate, tadarthaM tatsamIMpaM shishava AnIyanta, tata AnayitR^in shiShyAstiraskR^itavantaH|
MAT.19.14	kintu yIshuruvAcha, shishavo madantikam AgachChantu, tAn mA vArayata, etAdR^ishAM shishUnAmeva svargarAjyaM|
MAT.19.15	tataH sa teShAM gAtreShu hastaM datvA tasmAt sthAnAt pratasthe|
MAT.19.16	aparam eka Agatya taM paprachCha, he paramaguro, anantAyuH prAptuM mayA kiM kiM satkarmma karttavyaM?
MAT.19.17	tataH sa uvAcha, mAM paramaM kuto vadasi? vineshcharaM na kopi paramaH, kintu yadyanantAyuH prAptuM vA nChasi, tarhyAj nAH pAlaya|
MAT.19.18	tadA sa pR^iShTavAn, kAH kA Aj nAH? tato yIshuH kathitavAn, naraM mA hanyAH, paradArAn mA gachCheH, mA chorayeH, mR^iShAsAkShyaM mA dadyAH,
MAT.19.19	nijapitarau saMmanyasva, svasamIpavAsini svavat prema kuru|
MAT.19.20	sa yuvA kathitavAn, A bAlyAd etAH pAlayAmi, idAnIM kiM nyUnamAste?
MAT.19.21	tato yIshuravadat, yadi siddho bhavituM vA nChasi, tarhi gatvA nijasarvvasvaM vikrIya daridrebhyo vitara, tataH svarge vittaM lapsyase; AgachCha, matpashchAdvarttI cha bhava|
MAT.19.22	etAM vAchaM shrutvA sa yuvA svIyabahusampatte rviShaNaH san chalitavAn|
MAT.19.23	tadA yIshuH svashiShyAn avadat, dhaninAM svargarAjyapravesho mahAduShkara iti yuShmAnahaM tathyaM vadAmi|
MAT.19.24	punarapi yuShmAnahaM vadAmi, dhaninAM svargarAjyapraveshAt sUchIChidreNa mahA NgagamanaM sukaraM|
MAT.19.25	iti vAkyaM nishamya shiShyA atichamatkR^itya kathayAmAsuH; tarhi kasya paritrANaM bhavituM shaknoti?
MAT.19.26	tadA sa tAn dR^iShdvA kathayAmAsa, tat mAnuShANAmashakyaM bhavati, kintvIshvarasya sarvvaM shakyam|
