MAT.1.1	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
MAT.27.9	itthaṁ sati isrāyelīyasantānai ryasya mūlyaṁ nirupitaṁ, tasya triṁśanmudrāmānaṁ mūlyaṁ
MAT.27.10	māṁ prati parameśvarasyādeśāt tebhya ādīyata, tena ca kulālasya kṣetraṁ krītamiti yadvacanaṁ yirimiyabhaviṣyadvādinā proktaṁ tat tadāsidhyat|
MAT.27.11	anantaraṁ yīśau tadadhipateḥ sammukha upatiṣṭhati sa taṁ papraccha, tvaṁ kiṁ yihūdīyānāṁ rājā? tadā yīśustamavadat, tvaṁ satyamuktavān|
MAT.27.12	kintu pradhānayājakaprācīnairabhiyuktena tena kimapi na pratyavādi|
MAT.27.13	tataḥ pīlātena sa uditaḥ, ime tvatpratikūlataḥ kati kati sākṣyaṁ dadati, tat tvaṁ na śṛṇoṣi?
MAT.27.14	tathāpi sa teṣāmekasyāpi vacasa uttaraṁ noditavān; tena so'dhipati rmahācitraṁ vidāmāsa|
MAT.27.15	anyacca tanmahakāle'dhipateretādṛśī rātirāsīt, prajā yaṁ kañcana bandhinaṁ yācante, tameva sa mocayatīti|
MAT.27.16	tadānīṁ barabbānāmā kaścit khyātabandhyāsīt|
MAT.27.17	tataḥ pīlātastatra militān lokān apṛcchat, eṣa barabbā bandhī khrīṣṭavikhyāto yīśuścaitayoḥ kaṁ mocayiṣyāmi? yuṣmākaṁ kimīpsitaṁ?
MAT.27.18	tairīrṣyayā sa samarpita iti sa jñātavān|
MAT.27.19	aparaṁ vicārāsanopaveśanakāle pīlātasya patnī bhṛtyaṁ prahitya tasmai kathayāmāsa, taṁ dhārmmikamanujaṁ prati tvayā kimapi na karttavyaṁ; yasmāt tatkṛte'dyāhaṁ svapne prabhūtakaṣṭamalabhe|
MAT.27.20	anantaraṁ pradhānayājakaprācīnā barabbāṁ yācitvādātuṁ yīśuñca hantuṁ sakalalokān prāvarttayan|
MAT.27.21	tato'dhipatistān pṛṣṭavān, etayoḥ kamahaṁ mocayiṣyāmi? yuṣmākaṁ kecchā? te procu rbarabbāṁ|
MAT.27.22	tadā pīlātaḥ papraccha, tarhi yaṁ khrīṣṭaṁ vadanti, taṁ yīśuṁ kiṁ kariṣyāmi? sarvve kathayāmāsuḥ, sa kruśena vidhyatāṁ|
MAT.27.23	tato'dhipatiravādīt, kutaḥ? kiṁ tenāparāddhaṁ? kintu te punarucai rjagaduḥ, sa kruśena vidhyatāṁ|
MAT.27.24	tadā nijavākyamagrāhyamabhūt, kalahaścāpyabhūt, pīlāta iti vilokya lokānāṁ samakṣaṁ toyamādāya karau prakṣālyāvocat, etasya dhārmmikamanuṣyasya śoṇitapāte nirdoṣo'haṁ, yuṣmābhireva tad budhyatāṁ|
MAT.27.25	tadā sarvvāḥ prajāḥ pratyavocan, tasya śoṇitapātāparādho'smākam asmatsantānānāñcopari bhavatu|
MAT.27.26	tataḥ sa teṣāṁ samīpe barabbāṁ mocayāmāsa yīśuntu kaṣābhirāhatya kruśena vedhituṁ samarpayāmāsa|
MAT.27.27	anantaram adhipateḥ senā adhipate rgṛhaṁ yīśumānīya tasya samīpe senāsamūhaṁ saṁjagṛhuḥ|
MAT.27.28	tataste tasya vasanaṁ mocayitvā kṛṣṇalohitavarṇavasanaṁ paridhāpayāmāsuḥ
MAT.27.29	kaṇṭakānāṁ mukuṭaṁ nirmmāya tacchirasi daduḥ, tasya dakṣiṇakare vetramekaṁ dattvā tasya sammukhe jānūni pātayitvā, he yihūdīyānāṁ rājan, tubhyaṁ nama ityuktvā taṁ tiraścakruḥ,
MAT.27.30	tatastasya gātre niṣṭhīvaṁ datvā tena vetreṇa śira ājaghnuḥ|
MAT.27.31	itthaṁ taṁ tiraskṛtya tad vasanaṁ mocayitvā punarnijavasanaṁ paridhāpayāñcakruḥ, taṁ kruśena vedhituṁ nītavantaḥ|
MAT.27.32	paścātte bahirbhūya kurīṇīyaṁ śimonnāmakamekaṁ vilokya kruśaṁ voḍhuṁ tamādadire|
MAT.27.33	anantaraṁ gulgaltām arthāt śiraskapālanāmakasthānamu pasthāya te yīśave pittamiśritāmlarasaṁ pātuṁ daduḥ,
MAT.27.34	kintu sa tamāsvādya na papau|
MAT.27.35	tadānīṁ te taṁ kruśena saṁvidhya tasya vasanāni guṭikāpātena vibhajya jagṛhuḥ, tasmāt, vibhajante'dharīyaṁ me te manuṣyāḥ parasparaṁ| maduttarīyavastrārthaṁ guṭikāṁ pātayanti ca||yadetadvacanaṁ bhaviṣyadvādibhiruktamāsīt, tadā tad asidhyat,
MAT.27.36	paścāt te tatropaviśya tadrakṣaṇakarvvaṇi niyuktāstasthuḥ|
MAT.27.37	aparam eṣa yihūdīyānāṁ rājā yīśurityapavādalipipatraṁ tacchirasa ūrdvve yojayāmāsuḥ|
MAT.27.38	tatastasya vāme dakṣiṇe ca dvau cairau tena sākaṁ kruśena vividhuḥ|
MAT.27.39	tadā pānthā nijaśiro lāḍayitvā taṁ nindanto jagaduḥ,
MAT.27.40	he īśvaramandirabhañjaka dinatraye tannirmmātaḥ svaṁ rakṣa, cettvamīśvarasutastarhi kruśādavaroha|
MAT.27.41	pradhānayājakādhyāpakaprācīnāśca tathā tiraskṛtya jagaduḥ,
MAT.27.42	so'nyajanānāvat, kintu svamavituṁ na śaknoti| yadīsrāyelo rājā bhavet, tarhīdānīmeva kruśādavarohatu, tena taṁ vayaṁ pratyeṣyāmaḥ|
MAT.27.43	sa īśvare pratyāśāmakarot, yadīśvarastasmin santuṣṭastarhīdānīmeva tamavet, yataḥ sa uktavān ahamīśvarasutaḥ|
MAT.27.44	yau stenau sākaṁ tena kruśena viddhau tau tadvadeva taṁ ninindatuḥ|
MAT.27.45	tadā dvitīyayāmāt tṛtīyayāmaṁ yāvat sarvvadeśe tamiraṁ babhūva,
MAT.27.46	tṛtīyayāme "elī elī lāmā śivaktanī", arthāt madīśvara madīśvara kuto māmatyākṣīḥ? yīśuruccairiti jagāda|
MAT.27.47	tadā tatra sthitāḥ kecit tat śrutvā babhāṣire, ayam eliyamāhūyati|
MAT.27.48	teṣāṁ madhyād ekaḥ śīghraṁ gatvā spañjaṁ gṛhītvā tatrāmlarasaṁ dattvā nalena pātuṁ tasmai dadau|
MAT.27.49	itare'kathayan tiṣṭhata, taṁ rakṣitum eliya āyāti naveti paśyāmaḥ|
MAT.27.50	yīśuḥ punarucairāhūya prāṇān jahau|
MAT.27.51	tato mandirasya vicchedavasanam ūrdvvādadho yāvat chidyamānaṁ dvidhābhavat,
MAT.27.52	bhūmiścakampe bhūdharovyadīryyata ca| śmaśāne mukte bhūripuṇyavatāṁ suptadehā udatiṣṭhan,
MAT.27.53	śmaśānād vahirbhūya tadutthānāt paraṁ puṇyapuraṁ gatvā bahujanān darśayāmāsuḥ|
MAT.27.54	yīśurakṣaṇāya niyuktaḥ śatasenāpatistatsaṅginaśca tādṛśīṁ bhūkampādighaṭanāṁ dṛṣṭvā bhītā avadan, eṣa īśvaraputro bhavati|
MAT.27.55	yā bahuyoṣito yīśuṁ sevamānā gālīlastatpaścādāgatāstāsāṁ madhye
MAT.27.56	magdalīnī mariyam yākūbyośyo rmātā yā mariyam sibadiyaputrayo rmātā ca yoṣita etā dūre tiṣṭhantyo dadṛśuḥ|
MAT.27.57	sandhyāyāṁ satyam arimathiyānagarasya yūṣaphnāmā dhanī manujo yīśoḥ śiṣyatvāt
MAT.27.58	pīlātasya samīpaṁ gatvā yīśoḥ kāyaṁ yayāce, tena pīlātaḥ kāyaṁ dātum ādideśa|
MAT.27.59	yūṣaph tatkāyaṁ nītvā śucivastreṇācchādya
MAT.27.60	svārthaṁ śaile yat śmaśānaṁ cakhāna, tanmadhye tatkāyaṁ nidhāya tasya dvāri vṛhatpāṣāṇaṁ dadau|
MAT.27.61	kintu magdalīnī mariyam anyamariyam ete striyau tatra śmaśānasammukha upaviviśatuḥ|
MAT.27.62	tadanantaraṁ nistārotsavasyāyojanadināt pare'hani pradhānayājakāḥ phirūśinaśca militvā pīlātamupāgatyākathayan,
MAT.27.63	he maheccha sa pratārako jīvana akathayat, dinatrayāt paraṁ śmaśānādutthāsyāmi tadvākyaṁ smarāmo vayaṁ;
MAT.27.64	tasmāt tṛtīyadinaṁ yāvat tat śmaśānaṁ rakṣitumādiśatu, nocet tacchiṣyā yāminyāmāgatya taṁ hṛtvā lokān vadiṣyanti, sa śmaśānādudatiṣṭhat, tathā sati prathamabhrānteḥ śeṣīyabhrānti rmahatī bhaviṣyati|
MAT.27.65	tadā pīlāta avādīt, yuṣmākaṁ samīpe rakṣigaṇa āste, yūyaṁ gatvā yathā sādhyaṁ rakṣayata|
MAT.27.66	tataste gatvā taddūाrapāṣāṇaṁ mudrāṅkitaṁ kṛtvā rakṣigaṇaṁ niyojya śmaśānaṁ rakṣayāmāsuḥ|
MAT.28.1	tataḥ paraṁ viśrāmavārasya śeṣe saptāhaprathamadinasya prabhote jāte magdalīnī mariyam anyamariyam ca śmaśānaṁ draṣṭumāgatā|
MAT.28.2	tadā mahān bhūkampo'bhavat; parameśvarīyadūtaḥ svargādavaruhya śmaśānadvārāt pāṣāṇamapasāryya taduparyyupaviveśa|
MAT.28.3	tadvadanaṁ vidyudvat tejomayaṁ vasanaṁ himaśubhrañca|
MAT.28.4	tadānīṁ rakṣiṇastadbhayāt kampitā mṛtavad babhūvaḥ|
MAT.28.5	sa dūto yoṣito jagāda, yūyaṁ mā bhaiṣṭa, kruśahatayīśuṁ mṛgayadhve tadahaṁ vedmi|
MAT.28.6	so'tra nāsti, yathāvadat tathotthitavān; etat prabhoḥ śayanasthānaṁ paśyata|
MAT.28.7	tūrṇaṁ gatvā tacchiṣyān iti vadata, sa śmaśānād udatiṣṭhat, yuṣmākamagre gālīlaṁ yāsyati yūyaṁ tatra taṁ vīkṣiṣyadhve, paśyatāhaṁ vārttāmimāṁ yuṣmānavādiṣaṁ|
MAT.28.8	tatastā bhayāt mahānandāñca śmaśānāt tūrṇaṁ bahirbhūya tacchiṣyān vārttāṁ vaktuṁ dhāvitavatyaḥ| kintu śiṣyān vārttāṁ vaktuṁ yānti, tadā yīśu rdarśanaṁ dattvā tā jagāda,
MAT.28.9	yuṣmākaṁ kalyāṇaṁ bhūyāt, tatastā āgatya tatpādayoḥ patitvā praṇemuḥ|
MAT.28.10	yīśustā avādīt, mā bibhīta, yūyaṁ gatvā mama bhrātṛn gālīlaṁ yātuṁ vadata, tatra te māṁ drakṣyanti|
MAT.28.11	striyo gacchanti, tadā rakṣiṇāṁ kecit puraṁ gatvā yadyad ghaṭitaṁ tatsarvvaṁ pradhānayājakān jñāpitavantaḥ|
MAT.28.12	te prācīnaiḥ samaṁ saṁsadaṁ kṛtvā mantrayanto bahumudrāḥ senābhyo dattvāvadan,
MAT.28.13	asmāsu nidriteṣu tacchiṣyā yāminyāmāgatya taṁ hṛtvānayan, iti yūyaṁ pracārayata|
MAT.28.14	yadyetadadhipateḥ śrotragocarībhavet, tarhi taṁ bodhayitvā yuṣmānaviṣyāmaḥ|
MAT.28.15	tataste mudrā gṛhītvā śikṣānurūpaṁ karmma cakruḥ, yihūdīyānāṁ madhye tasyādyāpi kiṁvadantī vidyate|
MAT.28.16	ekādaśa śiṣyā yīśunirūpitāgālīlasyādriṁ gatvā
MAT.28.17	tatra taṁ saṁvīkṣya praṇemuḥ, kintu kecit sandigdhavantaḥ|
MAT.28.18	yīśusteṣāṁ samīpamāgatya vyāhṛtavān, svargamedinyoḥ sarvvādhipatitvabhāro mayyarpita āste|
MAT.28.19	ato yūyaṁ prayāya sarvvadeśīyān śiṣyān kṛtvā pituḥ putrasya pavitrasyātmanaśca nāmnā tānavagāhayata; ahaṁ yuṣmān yadyadādiśaṁ tadapi pālayituṁ tānupādiśata|
MAT.28.20	paśyata, jagadantaṁ yāvat sadāhaṁ yuṣmābhiḥ sākaṁ tiṣṭhāmi| iti|
MRK.1.1	īśvaraputrasya yīśukhrīṣṭasya susaṁvādārambhaḥ|
MRK.1.2	bhaviṣyadvādināṁ grantheṣu lipiritthamāste, paśya svakīyadūtantu tavāgre preṣayāmyaham| gatvā tvadīyapanthānaṁ sa hi pariṣkariṣyati|
MRK.1.3	"parameśasya panthānaṁ pariṣkuruta sarvvataḥ| tasya rājapathañcaiva samānaṁ kurutādhunā|" ityetat prāntare vākyaṁ vadataḥ kasyacidravaḥ||
MRK.1.4	saeva yohan prāntare majjitavān tathā pāpamārjananimittaṁ manovyāvarttakamajjanasya kathāñca pracāritavān|
MRK.1.5	tato yihūdādeśayirūśālamnagaranivāsinaḥ sarvve lokā bahi rbhūtvā tasya samīpamāgatya svāni svāni pāpānyaṅgīkṛtya yarddananadyāṁ tena majjitā babhūvuḥ|
MRK.1.6	asya yohanaḥ paridheyāni kramelakalomajāni, tasya kaṭibandhanaṁ carmmajātam, tasya bhakṣyāṇi ca śūkakīṭā vanyamadhūni cāsan|
MRK.1.7	sa pracārayan kathayāñcakre, ahaṁ namrībhūya yasya pādukābandhanaṁ mocayitumapi na yogyosmi, tādṛśo matto gurutara ekaḥ puruṣo matpaścādāgacchati|
MRK.1.8	ahaṁ yuṣmān jale majjitavān kintu sa pavitra ātmāni saṁmajjayiṣyati|
MRK.1.9	aparañca tasminneva kāle gālīlpradeśasya nāsaradgrāmād yīśurāgatya yohanā yarddananadyāṁ majjito'bhūt|
MRK.1.10	sa jalādutthitamātro meghadvāraṁ muktaṁ kapotavat svasyopari avarohantamātmānañca dṛṣṭavān|
MRK.1.11	tvaṁ mama priyaḥ putrastvayyeva mamamahāsantoṣa iyamākāśīyā vāṇī babhūva|
MRK.1.12	tasmin kāle ātmā taṁ prāntaramadhyaṁ nināya|
MRK.1.13	atha sa catvāriṁśaddināni tasmin sthāne vanyapaśubhiḥ saha tiṣṭhan śaitānā parīkṣitaḥ; paścāt svargīyadūtāstaṁ siṣevire|
MRK.1.14	anantaraṁ yohani bandhanālaye baddhe sati yīśu rgālīlpradeśamāgatya īśvararājyasya susaṁvādaṁ pracārayan kathayāmāsa,
MRK.1.15	kālaḥ sampūrṇa īśvararājyañca samīpamāgataṁ; atoheto ryūyaṁ manāṁsi vyāvarttayadhvaṁ susaṁvāde ca viśvāsita|
MRK.1.16	tadanantaraṁ sa gālīlīyasamudrasya tīre gacchan śimon tasya bhrātā andriyanāmā ca imau dvau janau matsyadhāriṇau sāgaramadhye jālaṁ prakṣipantau dṛṣṭvā tāvavadat,
MRK.1.17	yuvāṁ mama paścādāgacchataṁ, yuvāmahaṁ manuṣyadhāriṇau kariṣyāmi|
MRK.1.18	tatastau tatkṣaṇameva jālāni parityajya tasya paścāt jagmatuḥ|
MRK.1.19	tataḥ paraṁ tatsthānāt kiñcid dūraṁ gatvā sa sivadīputrayākūb tadbhrātṛyohan ca imau naukāyāṁ jālānāṁ jīrṇamuddhārayantau dṛṣṭvā tāvāhūyat|
MRK.1.20	tatastau naukāyāṁ vetanabhugbhiḥ sahitaṁ svapitaraṁ vihāya tatpaścādīyatuḥ|
MRK.1.21	tataḥ paraṁ kapharnāhūmnāmakaṁ nagaramupasthāya sa viśrāmadivase bhajanagrahaṁ praviśya samupadideśa|
MRK.1.22	tasyopadeśāllokā āścaryyaṁ menire yataḥ sodhyāpakāiva nopadiśan prabhāvavāniva propadideśa|
MRK.1.23	aparañca tasmin bhajanagṛhe apavitrabhūtena grasta eko mānuṣa āsīt| sa cītśabdaṁ kṛtvā kathayāñcake
MRK.1.24	bho nāsaratīya yīśo tvamasmān tyaja, tvayā sahāsmākaṁ kaḥ sambandhaḥ? tvaṁ kimasmān nāśayituṁ samāgataḥ? tvamīśvarasya pavitraloka ityahaṁ jānāmi|
MRK.1.25	tadā yīśustaṁ tarjayitvā jagāda tūṣṇīṁ bhava ito bahirbhava ca|
MRK.1.26	tataḥ so'pavitrabhūtastaṁ sampīḍya atyucaiścītkṛtya nirjagāma|
MRK.1.27	tenaiva sarvve camatkṛtya parasparaṁ kathayāñcakrire, aho kimidaṁ? kīdṛśo'yaṁ navya upadeśaḥ? anena prabhāvenāpavitrabhūteṣvājñāpiteṣu te tadājñānuvarttino bhavanti|
MRK.1.28	tadā tasya yaśo gālīlaścaturdiksthasarvvadeśān vyāpnot|
MRK.1.29	aparañca te bhajanagṛhād bahi rbhūtvā yākūbyohanbhyāṁ saha śimona āndriyasya ca niveśanaṁ praviviśuḥ|
MRK.1.30	tadā pitarasya śvaśrūrjvarapīḍitā śayyāyāmāsta iti te taṁ jhaṭiti vijñāpayāñcakruḥ|
MRK.1.31	tataḥ sa āgatya tasyā hastaṁ dhṛtvā tāmudasthāpayat; tadaiva tāṁ jvaro'tyākṣīt tataḥ paraṁ sā tān siṣeve|
MRK.1.32	athāstaṁ gate ravau sandhyākāle sati lokāstatsamīpaṁ sarvvān rogiṇo bhūtadhṛtāṁśca samāninyuḥ|
MRK.1.33	sarvve nāgarikā lokā dvāri saṁmilitāśca|
MRK.1.34	tataḥ sa nānāvidharogiṇo bahūn manujānarogiṇaścakāra tathā bahūn bhūtān tyājayāñcakāra tān bhūtān kimapi vākyaṁ vaktuṁ niṣiṣedha ca yatohetoste tamajānan|
MRK.1.35	aparañca so'tipratyūṣe vastutastu rātriśeṣe samutthāya bahirbhūya nirjanaṁ sthānaṁ gatvā tatra prārthayāñcakre|
MRK.1.36	anantaraṁ śimon tatsaṅginaśca tasya paścād gatavantaḥ|
MRK.1.37	taduddeśaṁ prāpya tamavadan sarvve lokāstvāṁ mṛgayante|
MRK.1.38	tadā so'kathayat āgacchata vayaṁ samīpasthāni nagarāṇi yāmaḥ, yato'haṁ tatra kathāṁ pracārayituṁ bahirāgamam|
MRK.1.39	atha sa teṣāṁ gālīlpradeśasya sarvveṣu bhajanagṛheṣu kathāḥ pracārayāñcakre bhūtānatyājayañca|
MRK.1.40	anantaramekaḥ kuṣṭhī samāgatya tatsammukhe jānupātaṁ vinayañca kṛtvā kathitavān yadi bhavān icchati tarhi māṁ pariṣkarttuṁ śaknoti|
MRK.1.41	tataḥ kṛpālu ryīśuḥ karau prasāryya taṁ spaṣṭvā kathayāmāsa
MRK.1.42	mamecchā vidyate tvaṁ pariṣkṛto bhava| etatkathāyāḥ kathanamātrāt sa kuṣṭhī rogānmuktaḥ pariṣkṛto'bhavat|
MRK.1.43	tadā sa taṁ visṛjan gāḍhamādiśya jagāda
MRK.1.44	sāvadhāno bhava kathāmimāṁ kamapi mā vada; svātmānaṁ yājakaṁ darśaya, lokebhyaḥ svapariṣkṛteḥ pramāṇadānāya mūsānirṇītaṁ yaddānaṁ tadutsṛjasva ca|
MRK.1.45	kintu sa gatvā tat karmma itthaṁ vistāryya pracārayituṁ prārebhe tenaiva yīśuḥ punaḥ saprakāśaṁ nagaraṁ praveṣṭuṁ nāśaknot tatohetorbahiḥ kānanasthāne tasyau; tathāpi caturddigbhyo lokāstasya samīpamāyayuḥ|
MRK.2.1	tadanantaraṁ yīśai katipayadināni vilambya punaḥ kapharnāhūmnagaraṁ praviṣṭe sa gṛha āsta iti kiṁvadantyā tatkṣaṇaṁ tatsamīpaṁ bahavo lokā āgatya samupatasthuḥ,
MRK.2.2	tasmād gṛhamadhye sarvveṣāṁ kṛte sthānaṁ nābhavad dvārasya caturdikṣvapi nābhavat, tatkāle sa tān prati kathāṁ pracārayāñcakre|
MRK.2.3	tataḥ paraṁ lokāścaturbhi rmānavairekaṁ pakṣāghātinaṁ vāhayitvā tatsamīpam āninyuḥ|
MRK.2.4	kintu janānāṁ bahutvāt taṁ yīśoḥ sammukhamānetuṁ na śaknuvanto yasmin sthāne sa āste taduparigṛhapṛṣṭhaṁ khanitvā chidraṁ kṛtvā tena mārgeṇa saśayyaṁ pakṣāghātinam avarohayāmāsuḥ|
MRK.2.5	tato yīśusteṣāṁ viśvāsaṁ dṛṣṭvā taṁ pakṣāghātinaṁ babhāṣe he vatsa tava pāpānāṁ mārjanaṁ bhavatu|
MRK.2.6	tadā kiyanto'dhyāpakāstatropaviśanto manobhi rvitarkayāñcakruḥ, eṣa manuṣya etādṛśīmīśvaranindāṁ kathāṁ kutaḥ kathayati?
MRK.2.7	īśvaraṁ vinā pāpāni mārṣṭuṁ kasya sāmarthyam āste?
MRK.2.8	itthaṁ te vitarkayanti yīśustatkṣaṇaṁ manasā tad budvvā tānavadad yūyamantaḥkaraṇaiḥ kuta etāni vitarkayatha?
MRK.2.9	tadanantaraṁ yīśustatsthānāt punaḥ samudrataṭaṁ yayau; lokanivahe tatsamīpamāgate sa tān samupadideśa|
MRK.2.10	kintu pṛthivyāṁ pāpāni mārṣṭuṁ manuṣyaputrasya sāmarthyamasti, etad yuṣmān jñāpayituṁ (sa tasmai pakṣāghātine kathayāmāsa)
MRK.2.11	uttiṣṭha tava śayyāṁ gṛhītvā svagṛhaṁ yāhi, ahaṁ tvāmidam ājñāpayāmi|
MRK.2.12	tataḥ sa tatkṣaṇam utthāya śayyāṁ gṛhītvā sarvveṣāṁ sākṣāt jagāma; sarvve vismitā etādṛśaṁ karmma vayam kadāpi nāpaśyāma, imāṁ kathāṁ kathayitveśvaraṁ dhanyamabruvan|
MRK.2.13	tadanantaraṁ yīśustatsthānāt punaḥ samudrataṭaṁ yayau; lokanivahe tatsamīpamāgate sa tān samupadideśa|
MRK.2.14	atha gacchan karasañcayagṛha upaviṣṭam ālphīyaputraṁ leviṁ dṛṣṭvā tamāhūya kathitavān matpaścāt tvāmāmaccha tataḥ sa utthāya tatpaścād yayau|
MRK.2.15	anantaraṁ yīśau tasya gṛhe bhoktum upaviṣṭe bahavaḥ karamañcāyinaḥ pāpinaśca tena tacchiṣyaiśca sahopaviviśuḥ, yato bahavastatpaścādājagmuḥ|
MRK.2.16	tadā sa karamañcāyibhiḥ pāpibhiśca saha khādati, tad dṛṣṭvādhyāpakāḥ phirūśinaśca tasya śiṣyānūcuḥ karamañcāyibhiḥ pāpibhiśca sahāyaṁ kuto bhuṁkte pivati ca?
MRK.2.17	tadvākyaṁ śrutvā yīśuḥ pratyuvāca,arogilokānāṁ cikitsakena prayojanaṁ nāsti, kintu rogiṇāmeva; ahaṁ dhārmmikānāhvātuṁ nāgataḥ kintu mano vyāvarttayituṁ pāpina eva|
MRK.2.18	tataḥ paraṁ yohanaḥ phirūśināñcopavāsācāriśiṣyā yīśoḥ samīpam āgatya kathayāmāsuḥ, yohanaḥ phirūśināñca śiṣyā upavasanti kintu bhavataḥ śiṣyā nopavasanti kiṁ kāraṇamasya?
MRK.2.19	tadā yīśustān babhāṣe yāvat kālaṁ sakhibhiḥ saha kanyāyā varastiṣṭhati tāvatkālaṁ te kimupavastuṁ śaknuvanti? yāvatkālaṁ varastaiḥ saha tiṣṭhati tāvatkālaṁ ta upavastuṁ na śaknuvanti|
MRK.2.20	yasmin kāle tebhyaḥ sakāśād varo neṣyate sa kāla āgacchati, tasmin kāle te janā upavatsyanti|
MRK.2.21	kopi janaḥ purātanavastre nūtanavastraṁ na sīvyati, yato nūtanavastreṇa saha sevane kṛte jīrṇaṁ vastraṁ chidyate tasmāt puna rmahat chidraṁ jāyate|
MRK.2.22	kopi janaḥ purātanakutūṣu nūtanaṁ drākṣārasaṁ na sthāpayati, yato nūtanadrākṣārasasya tejasā tāḥ kutvo vidīryyante tato drākṣārasaśca patati kutvaśca naśyanti, ataeva nūtanadrākṣāraso nūtanakutūṣu sthāpanīyaḥ|
MRK.2.23	tadanantaraṁ yīśu ryadā viśrāmavāre śasyakṣetreṇa gacchati tadā tasya śiṣyā gacchantaḥ śasyamañjarīśchettuṁ pravṛttāḥ|
MRK.2.24	ataḥ phirūśino yīśave kathayāmāsuḥ paśyatu viśrāmavāsare yat karmma na karttavyaṁ tad ime kutaḥ kurvvanti?
MRK.2.25	tadā sa tebhyo'kathayat dāyūd tatsaṁṅginaśca bhakṣyābhāvāt kṣudhitāḥ santo yat karmma kṛtavantastat kiṁ yuṣmābhi rna paṭhitam?
MRK.2.26	abiyātharnāmake mahāyājakatāṁ kurvvati sa kathamīśvarasyāvāsaṁ praviśya ye darśanīyapūpā yājakān vinānyasya kasyāpi na bhakṣyāstāneva bubhuje saṅgilokebhyo'pi dadau|
MRK.2.27	so'paramapi jagāda, viśrāmavāro manuṣyārthameva nirūpito'sti kintu manuṣyo viśrāmavārārthaṁ naiva|
MRK.2.28	manuṣyaputro viśrāmavārasyāpi prabhurāste|
MRK.3.1	anantaraṁ yīśuḥ puna rbhajanagṛhaṁ praviṣṭastasmin sthāne śuṣkahasta eko mānava āsīt|
MRK.3.2	sa viśrāmavāre tamarogiṇaṁ kariṣyati navetyatra bahavastam apavadituṁ chidramapekṣitavantaḥ|
MRK.3.3	tadā sa taṁ śuṣkahastaṁ manuṣyaṁ jagāda madhyasthāne tvamuttiṣṭha|
MRK.3.4	tataḥ paraṁ sa tān papraccha viśrāmavāre hitamahitaṁ tathā hi prāṇarakṣā vā prāṇanāśa eṣāṁ madhye kiṁ karaṇīyaṁ ? kintu te niḥśabdāstasthuḥ|
MRK.3.5	tadā sa teṣāmantaḥkaraṇānāṁ kāṭhinyāddheto rduḥkhitaḥ krodhāt cartuिdaśo dṛṣṭavān taṁ mānuṣaṁ gaditavān taṁ hastaṁ vistāraya, tatastena haste vistṛte taddhasto'nyahastavad arogo jātaḥ|
MRK.3.6	atha phirūśinaḥ prasthāya taṁ nāśayituṁ herodīyaiḥ saha mantrayitumārebhire|
MRK.3.7	ataeva yīśustatsthānaṁ parityajya śiṣyaiḥ saha punaḥ sāgarasamīpaṁ gataḥ;
MRK.3.8	tato gālīlyihūdā-yirūśālam-idom-yardannadīpārasthānebhyo lokasamūhastasya paścād gataḥ; tadanyaḥ sorasīdanoḥ samīpavāsilokasamūhaśca tasya mahākarmmaṇāṁ vārttaṁ śrutvā tasya sannidhimāgataḥ|
MRK.3.9	tadā lokasamūhaścet tasyopari patati ityāśaṅkya sa nāvamekāṁ nikaṭe sthāpayituṁ śiṣyānādiṣṭavān|
MRK.3.10	yato'nekamanuṣyāṇāmārogyakaraṇād vyādhigrastāḥ sarvve taṁ spraṣṭuṁ parasparaṁ balena yatnavantaḥ|
MRK.3.11	aparañca apavitrabhūtāstaṁ dṛṣṭvā taccaraṇayoḥ patitvā procaiḥ procuḥ, tvamīśvarasya putraḥ|
MRK.3.12	kintu sa tān dṛḍham ājñāpya svaṁ paricāyituṁ niṣiddhavān|
MRK.3.13	anantaraṁ sa parvvatamāruhya yaṁ yaṁ praticchā taṁ tamāhūtavān tataste tatsamīpamāgatāḥ|
MRK.3.14	tadā sa dvādaśajanān svena saha sthātuṁ susaṁvādapracārāya preritā bhavituṁ
MRK.3.15	sarvvaprakāravyādhīnāṁ śamanakaraṇāya prabhāvaṁ prāptuṁ bhūtān tyājayituñca niyuktavān|
MRK.3.16	teṣāṁ nāmānīmāni, śimon sivadiputro
MRK.3.17	yākūb tasya bhrātā yohan ca āndriyaḥ philipo barthalamayaḥ,
MRK.3.18	mathī thomā ca ālphīyaputro yākūb thaddīyaḥ kinānīyaḥ śimon yastaṁ parahasteṣvarpayiṣyati sa īṣkariyotīyayihūdāśca|
MRK.3.19	sa śimone pitara ityupanāma dadau yākūbyohanbhyāṁ ca binerigiś arthato meghanādaputrāvityupanāma dadau|
MRK.3.20	anantaraṁ te niveśanaṁ gatāḥ, kintu tatrāpi punarmahān janasamāgamo 'bhavat tasmātte bhoktumapyavakāśaṁ na prāptāḥ|
MRK.3.21	tatastasya suhṛllokā imāṁ vārttāṁ prāpya sa hatajñānobhūd iti kathāṁ kathayitvā taṁ dhṛtvānetuṁ gatāḥ|
