MAT.1.1	ibraahiima.h santaano daayuud tasya santaano yii"sukhrii.s.tastasya puurvvapuru.sava.m"sa"sre.nii|
LUK.12.27	anyacca kaampilapu.spa.m katha.m varddhate tadaapi vicaarayata, tat ka ncana "srama.m na karoti tantuu.m"sca na janayati kintu yu.smabhya.m yathaartha.m kathayaami sulemaan bahvai"svaryyaanvitopi pu.spasyaasya sad.r"so vibhuu.sito naasiit|
LUK.12.28	adya k.setre varttamaana.m "sva"scuullyaa.m k.sepsyamaana.m yat t.r.na.m, tasmai yadii"svara ittha.m bhuu.sayati tarhi he alpapratyayino yu.smaana ki.m na paridhaapayi.syati?
LUK.12.29	ataeva ki.m khaadi.syaama.h? ki.m paridhaasyaama.h? etadartha.m maa ce.s.tadhva.m maa sa.mdigdhva nca|
LUK.12.30	jagato devaarccakaa etaani sarvvaa.ni ce.s.tanate; e.su vastu.su yu.smaaka.m prayojanamaaste iti yu.smaaka.m pitaa jaanaati|
LUK.12.31	ataeve"svarasya raajyaartha.m sace.s.taa bhavata tathaa k.rte sarvvaa.nyetaani dravyaa.ni yu.smabhya.m pradaayi.syante|
LUK.12.32	he k.sudrame.savraja yuuya.m maa bhai.s.ta yu.smabhya.m raajya.m daatu.m yu.smaaka.m pitu.h sammatirasti|
LUK.12.33	ataeva yu.smaaka.m yaa yaa sampattirasti taa.m taa.m vikriiya vitarata, yat sthaana.m cauraa naagacchanti, kii.taa"sca na k.saayayanti taad.r"se svarge nijaartham ajare sampu.take .ak.saya.m dhana.m sa ncinuta ca;
LUK.12.34	yato yatra yu.smaaka.m dhana.m varttate tatreva yu.smaaka.m mana.h|
LUK.12.35	apara nca yuuya.m pradiipa.m jvaalayitvaa baddhaka.tayasti.s.thata;
LUK.12.36	prabhu rvivaahaadaagatya yadaiva dvaaramaahanti tadaiva dvaara.m mocayitu.m yathaa bh.rtyaa apek.sya ti.s.thanti tathaa yuuyamapi ti.s.thata|
LUK.12.37	yata.h prabhuraagatya yaan daasaan sacetanaan ti.s.thato drak.syati taeva dhanyaa.h; aha.m yu.smaan yathaartha.m vadaami prabhustaan bhojanaartham upave"sya svaya.m baddhaka.ti.h samiipametya parive.sayi.syati|
LUK.12.38	yadi dvitiiye t.rtiiye vaa prahare samaagatya tathaiva pa"syati, tarhi taeva daasaa dhanyaa.h|
LUK.12.39	apara nca kasmin k.sa.ne cauraa aagami.syanti iti yadi g.rhapati rj naatu.m "saknoti tadaava"sya.m jaagran nijag.rhe sandhi.m karttayitu.m vaarayati yuuyametad vitta|
LUK.12.40	ataeva yuuyamapi sajjamaanaasti.s.thata yato yasmin k.sa.ne ta.m naaprek.sadhve tasminneva k.sa.ne manu.syaputra aagami.syati|
LUK.12.41	tadaa pitara.h papraccha, he prabho bhavaan kimasmaan uddi"sya ki.m sarvvaan uddi"sya d.r.s.taantakathaamimaa.m vadati?
LUK.12.42	tata.h prabhu.h provaaca, prabhu.h samucitakaale nijaparivaaraartha.m bhojyaparive.sa.naaya ya.m tatpade niyok.syati taad.r"so vi"svaasyo boddhaa karmmaadhii"sa.h kosti?
LUK.12.43	prabhuraagatya yam etaad.r"se karmma.ni prav.rtta.m drak.syati saeva daaso dhanya.h|
LUK.12.44	aha.m yu.smaan yathaartha.m vadaami sa ta.m nijasarvvasvasyaadhipati.m kari.syati|
LUK.12.45	kintu prabhurvilambenaagami.syati, iti vicintya sa daaso yadi tadanyadaasiidaasaan praharttum bhoktu.m paatu.m maditu nca praarabhate,
LUK.12.46	tarhi yadaa prabhu.m naapek.si.syate yasmin k.sa.ne so.acetana"sca sthaasyati tasminneva k.sa.ne tasya prabhuraagatya ta.m padabhra.s.ta.m k.rtvaa vi"svaasahiinai.h saha tasya a.m"sa.m niruupayi.syati|
LUK.12.47	yo daasa.h prabheाraaj naa.m j naatvaapi sajjito na ti.s.thati tadaaj naanusaare.na ca kaaryya.m na karoti sonekaan prahaaraan praapsyati;
LUK.12.48	kintu yo jano.aj naatvaa prahaaraarha.m karmma karoti solpaprahaaraan praapsyati| yato yasmai baahulyena datta.m tasmaadeva baahulyena grahii.syate, maanu.saa yasya nika.te bahu samarpayanti tasmaad bahu yaacante|
LUK.12.49	aha.m p.rthivyaam anaikyaruupa.m vahni nik.septum aagatosmi, sa ced idaaniimeva prajvalati tatra mama kaa cintaa?
LUK.12.50	kintu yena majjanenaaha.m magno bhavi.syaami yaavatkaala.m tasya siddhi rna bhavi.syati taavadaha.m katika.s.ta.m praapsyaami|
LUK.12.51	melana.m karttu.m jagad aagatosmi yuuya.m kimittha.m bodhadhve? yu.smaan vadaami na tathaa, kintvaha.m melanaabhaava.m karttu.mm aagatosmi|
LUK.12.52	yasmaadetatkaalamaarabhya ekatrasthaparijanaanaa.m madhye pa ncajanaa.h p.rthag bhuutvaa trayo janaa dvayorjanayo.h pratikuulaa dvau janau ca trayaa.naa.m janaanaa.m pratikuulau bhavi.syanti|
LUK.12.53	pitaa putrasya vipak.sa.h putra"sca pitu rvipak.so bhavi.syati maataa kanyaayaa vipak.saa kanyaa ca maatu rvipak.saa bhavi.syati, tathaa "sva"sruurbadhvaa vipak.saa badhuu"sca "sva"srvaa vipak.saa bhavi.syati|
LUK.12.54	sa lokebhyoparamapi kathayaamaasa, pa"scimadi"si meghodgama.m d.r.s.tvaa yuuya.m ha.thaad vadatha v.r.s.ti rbhavi.syati tatastathaiva jaayate|
LUK.12.55	apara.m dak.si.nato vaayau vaati sati vadatha nidaagho bhavi.syati tata.h sopi jaayate|
LUK.12.56	re re kapa.tina aakaa"sasya bhuumyaa"sca lak.sa.na.m boddhu.m "saknutha,
LUK.12.57	kintu kaalasyaasya lak.sa.na.m kuto boddhu.m na "saknutha? yuuya nca svaya.m kuto na nyaa.sya.m vicaarayatha?
LUK.12.58	apara nca vivaadinaa saarddha.m vicaarayitu.h samiipa.m gacchan pathi tasmaaduddhaara.m praaptu.m yatasva nocet sa tvaa.m dh.rtvaa vicaarayitu.h samiipa.m nayati| vicaarayitaa yadi tvaa.m praharttu.h samiipa.m samarpayati praharttaa tvaa.m kaaraayaa.m badhnaati
LUK.12.59	tarhi tvaamaha.m vadaami tvayaa ni.h"se.sa.m kapardake.su na pari"sodhite.su tva.m tato mukti.m praaptu.m na "sak.syasi|
LUK.13.1	apara nca piilaato ye.saa.m gaaliiliiyaanaa.m raktaani baliinaa.m raktai.h sahaami"srayat te.saa.m gaaliiliiyaanaa.m v.rttaanta.m katipayajanaa upasthaapya yii"save kathayaamaasu.h|
LUK.13.2	tata.h sa pratyuvaaca te.saa.m lokaanaam etaad.r"sii durgati rgha.titaa tatkaara.naad yuuya.m kimanyebhyo gaaliiliiyebhyopyadhikapaapinastaan bodhadhve?
LUK.13.3	yu.smaanaha.m vadaami tathaa na kintu mana.hsu na paraavarttite.su yuuyamapi tathaa na.mk.syatha|
LUK.13.4	apara nca "siilohanaamna uccag.rhasya patanaad ye.a.s.taada"sajanaa m.rtaaste yiruu"saalami nivaasisarvvalokebhyo.adhikaaparaadhina.h ki.m yuuyamitya.m bodhadhve?
LUK.13.5	yu.smaanaha.m vadaami tathaa na kintu mana.hsu na parivarttite.su yuuyamapi tathaa na.mk.syatha|
LUK.13.6	anantara.m sa imaa.m d.r.s.taantakathaamakathayad eko jano draak.saak.setramadhya ekamu.dumbarav.rk.sa.m ropitavaan| pa"scaat sa aagatya tasmin phalaani gave.sayaamaasa,
LUK.13.7	kintu phalaapraapte.h kaara.naad udyaanakaara.m bh.rtya.m jagaada, pa"sya vatsaratraya.m yaavadaagatya etasminnu.dumbaratarau k.salaanyanvicchaami, kintu naikamapi prapnomi taruraya.m kuto v.rthaa sthaana.m vyaapya ti.s.thati? ena.m chindhi|
LUK.13.8	tato bh.rtya.h pratyuvaaca, he prabho punarvar.sameka.m sthaatum aadi"sa; etasya muulasya caturdik.su khanitvaaham aalavaala.m sthaapayaami|
LUK.13.9	tata.h phalitu.m "saknoti yadi na phalati tarhi pa"scaat chetsyasi|
LUK.13.10	atha vi"sraamavaare bhajanagehe yii"surupadi"sati
LUK.13.11	tasmit samaye bhuutagrastatvaat kubjiibhuuyaa.s.taada"savar.saa.ni yaavat kenaapyupaayena .rju rbhavitu.m na "saknoti yaa durbbalaa strii,
LUK.13.12	taa.m tatropasthitaa.m vilokya yii"sustaamaahuuya kathitavaan he naari tava daurbbalyaat tva.m muktaa bhava|
LUK.13.13	tata.h para.m tasyaa gaatre hastaarpa.namaatraat saa .rjurbhuutve"svarasya dhanyavaada.m karttumaarebhe|
LUK.13.14	kintu vi"sraamavaare yii"sunaa tasyaa.h svaasthyakara.naad bhajanagehasyaadhipati.h prakupya lokaan uvaaca, .sa.tsu dine.su lokai.h karmma karttavya.m tasmaaddheto.h svaasthyaartha.m te.su dine.su aagacchata, vi"sraamavaare maagacchata|
LUK.13.15	tadaa pabhu.h pratyuvaaca re kapa.tino yu.smaakam ekaiko jano vi"sraamavaare sviiya.m sviiya.m v.r.sabha.m gardabha.m vaa bandhanaanmocayitvaa jala.m paayayitu.m ki.m na nayati?
LUK.13.16	tarhyaa.s.taada"savatsaraan yaavat "saitaanaa baddhaa ibraahiima.h santatiriya.m naarii ki.m vi"sraamavaare na mocayitavyaa?
LUK.13.17	e.su vaakye.su kathite.su tasya vipak.saa.h salajjaa jaataa.h kintu tena k.rtasarvvamahaakarmmakaara.naat lokanivaha.h saanando.abhavat|
LUK.13.18	anantara.m sovadad ii"svarasya raajya.m kasya sad.r"sa.m? kena tadupamaasyaami?
LUK.13.19	yat sar.sapabiija.m g.rhiitvaa ka"scijjana udyaana uptavaan tad biijama"nkurita.m sat mahaav.rk.so.ajaayata, tatastasya "saakhaasu vihaayasiiyavihagaa aagatya nyuu.su.h, tadraajya.m taad.r"sena sar.sapabiijena tulya.m|
LUK.13.20	puna.h kathayaamaasa, ii"svarasya raajya.m kasya sad.r"sa.m vadi.syaami? yat ki.nva.m kaacit strii g.rhiitvaa dro.natrayaparimitagodhuumacuur.ne.su sthaapayaamaasa,
LUK.13.21	tata.h krame.na tat sarvvagodhuumacuur.na.m vyaapnoti, tasya ki.nvasya tulyam ii"svarasya raajya.m|
LUK.13.22	tata.h sa yiruu"saalamnagara.m prati yaatraa.m k.rtvaa nagare nagare graame graame samupadi"san jagaama|
LUK.13.23	tadaa ka"scijjanasta.m papraccha, he prabho ki.m kevalam alpe lokaa.h paritraasyante?
LUK.13.24	tata.h sa lokaan uvaaca, sa.mkiir.nadvaare.na prave.s.tu.m yataghva.m, yatoha.m yu.smaan vadaami, bahava.h prave.s.tu.m ce.s.ti.syante kintu na "sak.syanti|
LUK.13.25	g.rhapatinotthaaya dvaare ruddhe sati yadi yuuya.m bahi.h sthitvaa dvaaramaahatya vadatha, he prabho he prabho asmatkaara.naad dvaara.m mocayatu, tata.h sa iti prativak.syati, yuuya.m kutratyaa lokaa ityaha.m na jaanaami|
LUK.13.26	tadaa yuuya.m vadi.syatha, tava saak.saad vaya.m bheाjana.m paana nca k.rtavanta.h, tva ncaasmaaka.m nagarasya pathi samupadi.s.tavaan|
LUK.13.27	kintu sa vak.syati, yu.smaanaha.m vadaami, yuuya.m kutratyaa lokaa ityaha.m na jaanaami; he duraacaari.no yuuya.m matto duuriibhavata|
LUK.13.28	tadaa ibraahiima.m ishaaka.m yaakuuba nca sarvvabhavi.syadvaadina"sca ii"svarasya raajya.m praaptaan svaa.m"sca bahi.sk.rtaan d.r.s.tvaa yuuya.m rodana.m dantairdantaghar.sa.na nca kari.syatha|
LUK.13.29	apara nca puurvvapa"scimadak.si.nottaradigbhyo lokaa aagatya ii"svarasya raajye nivatsyanti|
LUK.13.30	pa"syatettha.m "se.siiyaa lokaa agraa bhavi.syanti, agriiyaa lokaa"sca "se.saa bhavi.syanti|
LUK.13.31	apara nca tasmin dine kiyanta.h phiruu"sina aagatya yii"su.m procu.h, bahirgaccha, sthaanaadasmaat prasthaana.m kuru, herod tvaa.m jighaa.msati|
LUK.13.32	tata.h sa pratyavocat pa"syataadya "sva"sca bhuutaan vihaapya rogi.no.arogi.na.h k.rtvaa t.rtiiyehni setsyaami, kathaametaa.m yuuyamitvaa ta.m bhuurimaaya.m vadata|
LUK.13.33	tatraapyadya "sva.h para"sva"sca mayaa gamanaagamane karttavye, yato heto ryiruu"saalamo bahi.h kutraapi kopi bhavi.syadvaadii na ghaani.syate|
LUK.13.34	he yiruu"saalam he yiruu"saalam tva.m bhavi.syadvaadino ha.msi tavaantike preritaan prastarairmaarayasi ca, yathaa kukku.tii nijapak.saadha.h sva"saavakaan sa.mg.rhlaati, tathaahamapi tava "si"suun sa.mgrahiitu.m kativaaraan aiccha.m kintu tva.m naiccha.h|
LUK.13.35	pa"syata yu.smaaka.m vaasasthaanaani procchidyamaanaani parityaktaani ca bhavi.syanti; yu.smaanaha.m yathaartha.m vadaami, ya.h prabho rnaamnaagacchati sa dhanya iti vaaca.m yaavatkaala.m na vadi.syatha, taavatkaala.m yuuya.m maa.m na drak.syatha|
LUK.14.1	anantara.m vi"sraamavaare yii"sau pradhaanasya phiruu"sino g.rhe bhoktu.m gatavati te ta.m viik.situm aarebhire|
LUK.14.2	tadaa jalodarii tasya sammukhe sthita.h|
LUK.14.3	tata.h sa vyavasthaapakaan phiruu"sina"sca papraccha, vi"sraamavaare svaasthya.m karttavya.m na vaa? tataste kimapi na pratyuucu.h|
LUK.14.4	tadaa sa ta.m rogi.na.m svastha.m k.rtvaa visasarja;
LUK.14.5	taanuvaaca ca yu.smaaka.m kasyacid garddabho v.r.sabho vaa ced gartte patati tarhi vi"sraamavaare tatk.sa.na.m sa ki.m ta.m notthaapayi.syati?
LUK.14.6	tataste kathaayaa etasyaa.h kimapi prativaktu.m na "seku.h|
LUK.14.7	apara nca pradhaanasthaanamanoniitatvakara.na.m vilokya sa nimantritaan etadupade"sakathaa.m jagaada,
LUK.14.8	tva.m vivaahaadibhojye.su nimantrita.h san pradhaanasthaane mopaavek.sii.h| tvatto gauravaanvitanimantritajana aayaate
LUK.14.9	nimantrayitaagatya manu.syaayaitasmai sthaana.m dehiiti vaakya.m ced vak.syati tarhi tva.m sa"nkucito bhuutvaa sthaana itarasmin upave.s.tum udya.msyasi|
LUK.14.10	asmaat kaara.naadeva tva.m nimantrito gatvaa.apradhaanasthaana upavi"sa, tato nimantrayitaagatya vadi.syati, he bandho proccasthaana.m gatvopavi"sa, tathaa sati bhojanopavi.s.taanaa.m sakalaanaa.m saak.saat tva.m maanyo bhavi.syasi|
LUK.14.11	ya.h ka"scit svamunnamayati sa namayi.syate, kintu ya.h ka"scit sva.m namayati sa unnamayi.syate|
LUK.14.12	tadaa sa nimantrayitaara.m janamapi jagaada, madhyaahne raatrau vaa bhojye k.rte nijabandhuga.no vaa bhraat.rृga.no vaa j naatiga.no vaa dhaniga.no vaa samiipavaasiga.no vaa etaan na nimantraya, tathaa k.rte cet te tvaa.m nimantrayi.syanti, tarhi pari"sodho bhavi.syati|
LUK.14.13	kintu yadaa bhejya.m karo.si tadaa daridra"su.skakarakha njaandhaan nimantraya,
LUK.14.14	tata aa"si.sa.m lapsyase, te.su pari"sodha.m karttuma"saknuvatsu "sma"saanaaddhaarmmikaanaamutthaanakaale tva.m phalaa.m lapsyase|
LUK.14.15	anantara.m taa.m kathaa.m ni"samya bhojanopavi.s.ta.h ka"scit kathayaamaasa, yo jana ii"svarasya raajye bhoktu.m lapsyate saeva dhanya.h|
LUK.14.16	tata.h sa uvaaca, ka"scit jano raatrau bheाjya.m k.rtvaa bahuun nimantrayaamaasa|
LUK.14.17	tato bhojanasamaye nimantritalokaan aahvaatu.m daasadvaaraa kathayaamaasa, khadyadravyaa.ni sarvvaa.ni samaasaaditaani santi, yuuyamaagacchata|
LUK.14.18	kintu te sarvva ekaika.m chala.m k.rtvaa k.samaa.m praarthayaa ncakrire| prathamo jana.h kathayaamaasa, k.setrameka.m kriitavaanaha.m tadeva dra.s.tu.m mayaa gantavyam, ataeva maa.m k.santu.m ta.m nivedaya|
LUK.14.19	anyo jana.h kathayaamaasa, da"sav.r.saanaha.m kriitavaan taan pariik.situ.m yaami tasmaadeva maa.m k.santu.m ta.m nivedaya|
LUK.14.20	apara.h kathayaamaasa, vyuu.dhavaanaha.m tasmaat kaara.naad yaatu.m na "saknomi|
LUK.14.21	pa"scaat sa daaso gatvaa nijaprabho.h saak.saat sarvvav.rttaanta.m nivedayaamaasa, tatosau g.rhapati.h kupitvaa svadaasa.m vyaajahaara, tva.m satvara.m nagarasya sannive"saan maargaa.m"sca gatvaa daridra"su.skakarakha njaandhaan atraanaya|
LUK.14.22	tato daaso.avadat, he prabho bhavata aaj naanusaare.naakriyata tathaapi sthaanamasti|
LUK.14.23	tadaa prabhu.h puna rdaasaayaakathayat, raajapathaan v.rk.samuulaani ca yaatvaa madiiyag.rhapuura.naartha.m lokaanaagantu.m pravarttaya|
LUK.14.24	aha.m yu.smabhya.m kathayaami, puurvvanimantritaanamekopi mamaasya raatribhojyasyaasvaada.m na praapsyati|
LUK.14.25	anantara.m bahu.su loke.su yii"so.h pa"scaad vrajite.su satsu sa vyaaghu.tya tebhya.h kathayaamaasa,
LUK.14.26	ya.h ka"scin mama samiipam aagatya svasya maataa pitaa patnii santaanaa bhraataro bhagimyo nijapraa.naa"sca, etebhya.h sarvvebhyo mayyadhika.m prema na karoti, sa mama "si.syo bhavitu.m na "sak.syati|
LUK.14.27	ya.h ka"scit sviiya.m kru"sa.m vahan mama pa"scaanna gacchati, sopi mama "si.syo bhavitu.m na "sak.syati|
LUK.14.28	durganirmmaa.ne kativyayo bhavi.syati, tathaa tasya samaaptikara.naartha.m sampattirasti na vaa, prathamamupavi"sya etanna ga.nayati, yu.smaaka.m madhya etaad.r"sa.h kosti?
LUK.14.29	noced bhitti.m k.rtvaa "se.se yadi samaapayitu.m na "sak.syati,
LUK.14.30	tarhi maanu.soya.m nicetum aarabhata samaapayitu.m naa"saknot, iti vyaah.rtya sarvve tamupahasi.syanti|
LUK.14.31	apara nca bhinnabhuupatinaa saha yuddha.m karttum udyamya da"sasahasraa.ni sainyaani g.rhiitvaa vi.m"satisahasre.h sainyai.h sahitasya samiipavaasina.h sammukha.m yaatu.m "sak.syaami na veti prathama.m upavi"sya na vicaarayati etaad.r"so bhuumipati.h ka.h?
LUK.14.32	yadi na "saknoti tarhi ripaavatiduure ti.s.thati sati nijaduuta.m pre.sya sandhi.m karttu.m praarthayeta|
LUK.14.33	tadvad yu.smaaka.m madhye ya.h ka"scin madartha.m sarvvasva.m haatu.m na "saknoti sa mama "si.syo bhavitu.m na "sak.syati|
LUK.14.34	lava.nam uttamam iti satya.m, kintu yadi lava.nasya lava.natvam apagacchati tarhi tat katha.m svaaduyukta.m bhavi.syati?
LUK.14.35	tada bhuumyartham aalavaalaraa"syarthamapi bhadra.m na bhavati; lokaastad bahi.h k.sipanti|yasya "srotu.m "srotre sta.h sa "s.r.notu|
LUK.15.1	tadaa karasa ncaayina.h paapina"sca lokaa upade"skathaa.m "srotu.m yii"so.h samiipam aagacchan|
LUK.15.2	tata.h phiruu"sina upaadhyaayaa"sca vivadamaanaa.h kathayaamaasu.h e.sa maanu.sa.h paapibhi.h saha pra.naya.m k.rtvaa tai.h saarddha.m bhu.mkte|
LUK.15.3	tadaa sa tebhya imaa.m d.r.s.taantakathaa.m kathitavaan,
LUK.15.4	kasyacit "satame.se.su ti.s.thatmu te.saameka.m sa yadi haarayati tarhi madhyepraantaram ekona"satame.saan vihaaya haaritame.sasya udde"sapraaptiparyyanata.m na gave.sayati, etaad.r"so loko yu.smaaka.m madhye ka aaste?
LUK.15.5	tasyodde"sa.m praapya h.r.s.tamanaasta.m skandhe nidhaaya svasthaanam aaniiya bandhubaandhavasamiipavaasina aahuuya vakti,
LUK.15.6	haarita.m me.sa.m praaptoham ato heto rmayaa saarddham aanandata|
LUK.15.7	tadvadaha.m yu.smaan vadaami, ye.saa.m mana.hparaavarttanasya prayojana.m naasti, taad.r"saikona"satadhaarmmikakaara.naad ya aanandastasmaad ekasya mana.hparivarttina.h paapina.h kaara.naat svarge .adhikaanando jaayate|
LUK.15.8	apara nca da"saanaa.m ruupyakha.n.daanaam ekakha.n.de haarite pradiipa.m prajvaalya g.rha.m sammaarjya tasya praapti.m yaavad yatnena na gave.sayati, etaad.r"sii yo.sit kaaste?
LUK.15.9	praapte sati bandhubaandhavasamiipavaasiniiraahuuya kathayati, haarita.m ruupyakha.n.da.m praaptaaha.m tasmaadeva mayaa saarddham aanandata|
LUK.15.10	tadvadaha.m yu.smaan vyaaharaami, ekena paapinaa manasi parivarttite, ii"svarasya duutaanaa.m madhyepyaanando jaayate|
LUK.15.11	apara nca sa kathayaamaasa, kasyacid dvau putraavaastaa.m,
LUK.15.12	tayo.h kani.s.tha.h putra.h pitre kathayaamaasa, he pitastava sampattyaa yama.m"sa.m praapsyaamyaha.m vibhajya ta.m dehi, tata.h pitaa nijaa.m sampatti.m vibhajya taabhyaa.m dadau|
LUK.15.13	katipayaat kaalaat para.m sa kani.s.thaputra.h samasta.m dhana.m sa.mg.rhya duurade"sa.m gatvaa du.s.taacara.nena sarvvaa.m sampatti.m naa"sayaamaasa|
LUK.15.14	tasya sarvvadhane vyaya.m gate tadde"se mahaadurbhik.sa.m babhuuva, tatastasya dainyada"saa bhavitum aarebhe|
LUK.15.15	tata.h para.m sa gatvaa tadde"siiya.m g.rhasthamekam aa"srayata; tata.h sata.m "suukaravraja.m caarayitu.m praantara.m pre.sayaamaasa|
LUK.15.16	kenaapi tasmai bhak.syaadaanaat sa "suukaraphalavalkalena pici.n.dapuura.naa.m vavaa ncha|
LUK.15.17	"se.se sa manasi cetanaa.m praapya kathayaamaasa, haa mama pitu.h samiipe kati kati vetanabhujo daasaa yathe.s.ta.m tatodhika nca bhak.sya.m praapnuvanti kintvaha.m k.sudhaa mumuur.su.h|
LUK.15.18	ahamutthaaya pitu.h samiipa.m gatvaa kathaametaa.m vadi.syaami, he pitar ii"svarasya tava ca viruddha.m paapamakaravam
LUK.15.19	tava putra_iti vikhyaato bhavitu.m na yogyosmi ca, maa.m tava vaitanika.m daasa.m k.rtvaa sthaapaya|
LUK.15.20	pa"scaat sa utthaaya pitu.h samiipa.m jagaama; tatastasya pitaatiduure ta.m niriik.sya dayaa ncakre, dhaavitvaa tasya ka.n.tha.m g.rhiitvaa ta.m cucumba ca|
LUK.15.21	tadaa putra uvaaca, he pitar ii"svarasya tava ca viruddha.m paapamakarava.m, tava putra_iti vikhyaato bhavitu.m na yogyosmi ca|
LUK.15.22	kintu tasya pitaa nijadaasaan aadide"sa, sarvvottamavastraa.nyaaniiya paridhaapayataina.m haste caa"nguriiyakam arpayata paadayo"scopaanahau samarpayata;
LUK.15.23	pu.s.ta.m govatsam aaniiya maarayata ca ta.m bhuktvaa vayam aanandaama|
LUK.15.24	yato mama putroyam amriyata punarajiiviid haarita"sca labdhobhuut tatasta aananditum aarebhire|
LUK.15.25	tatkaale tasya jye.s.tha.h putra.h k.setra aasiit| atha sa nive"sanasya nika.ta.m aagacchan n.rtyaanaa.m vaadyaanaa nca "sabda.m "srutvaa
LUK.15.26	daasaanaam ekam aahuuya papraccha, ki.m kaara.namasya?
LUK.15.27	tata.h sovaadiit, tava bhraataagamat, tava taata"sca ta.m su"sariira.m praapya pu.s.ta.m govatsa.m maaritavaan|
LUK.15.28	tata.h sa prakupya nive"sanaanta.h prave.s.tu.m na sammene; tatastasya pitaa bahiraagatya ta.m saadhayaamaasa|
LUK.15.29	tata.h sa pitara.m pratyuvaaca, pa"sya tava kaa ncidapyaaj naa.m na vila.mghya bahuun vatsaraan aha.m tvaa.m seve tathaapi mitrai.h saarddham utsava.m karttu.m kadaapi chaagamekamapi mahya.m naadadaa.h;
LUK.15.30	kintu tava ya.h putro ve"syaagamanaadibhistava sampattim apavyayitavaan tasminnaagatamaatre tasyaiva nimitta.m pu.s.ta.m govatsa.m maaritavaan|
LUK.15.31	tadaa tasya pitaavocat, he putra tva.m sarvvadaa mayaa sahaasi tasmaan mama yadyadaaste tatsarvva.m tava|
LUK.15.32	kintu tavaaya.m bhraataa m.rta.h punarajiiviid haarita"sca bhuutvaa praaptobhuut, etasmaat kaara.naad utsavaanandau karttum ucitamasmaakam|
LUK.16.1	apara nca yii"su.h "si.syebhyonyaamekaa.m kathaa.m kathayaamaasa kasyacid dhanavato manu.syasya g.rhakaaryyaadhii"se sampatterapavyaye.apavaadite sati
LUK.16.2	tasya prabhustam aahuuya jagaada, tvayi yaamimaa.m kathaa.m "s.r.nomi saa kiid.r"sii? tva.m g.rhakaaryyaadhii"sakarmma.no ga.nanaa.m dar"saya g.rhakaaryyaadhii"sapade tva.m na sthaasyasi|
LUK.16.3	tadaa sa g.rhakaaryyaadhii"so manasaa cintayaamaasa, prabhu ryadi maa.m g.rhakaaryyaadhii"sapadaad bhra.m"sayati tarhi ki.m kari.sye.aha.m? m.rda.m khanitu.m mama "sakti rnaasti bhik.situ nca lajji.sye.aha.m|
LUK.16.4	ataeva mayi g.rhakaaryyaadhii"sapadaat cyute sati yathaa lokaa mahyam aa"sraya.m daasyanti tadartha.m yatkarmma mayaa kara.niiya.m tan nir.niiyate|
LUK.16.5	pa"scaat sa svaprabhorekaikam adhamar.nam aahuuya prathama.m papraccha, tvatto me prabhu.naa kati praapyam?
LUK.16.6	tata.h sa uvaaca, eka"sataa.dhakatailaani; tadaa g.rhakaaryyaadhii"sa.h provaaca, tava patramaaniiya "siighramupavi"sya tatra pa ncaa"sata.m likha|
LUK.16.7	pa"scaadanyameka.m papraccha, tvatto me prabhu.naa kati praapyam? tata.h sovaadiid eka"sataa.dhakagodhuumaa.h; tadaa sa kathayaamaasa, tava patramaaniiya a"siiti.m likha|
LUK.16.8	tenaiva prabhustamayathaarthak.rtam adhii"sa.m tadbuddhinaipu.nyaat pra"sa"sa.msa; ittha.m diiptiruupasantaanebhya etatsa.msaarasya santaanaa varttamaanakaale.adhikabuddhimanto bhavanti|
LUK.16.9	ato vadaami yuuyamapyayathaarthena dhanena mitraa.ni labhadhva.m tato yu.smaasu padabhra.s.te.svapi taani cirakaalam aa"sraya.m daasyanti|
LUK.16.10	ya.h ka"scit k.sudre kaaryye vi"svaasyo bhavati sa mahati kaaryyepi vi"svaasyo bhavati, kintu ya.h ka"scit k.sudre kaaryye.avi"svaasyo bhavati sa mahati kaaryyepyavi"svaasyo bhavati|
LUK.16.11	ataeva ayathaarthena dhanena yadi yuuyamavi"svaasyaa jaataastarhi satya.m dhana.m yu.smaaka.m kare.su ka.h samarpayi.syati?
LUK.16.12	yadi ca paradhanena yuuyam avi"svaasyaa bhavatha tarhi yu.smaaka.m svakiiyadhana.m yu.smabhya.m ko daasyati?
LUK.16.13	kopi daasa ubhau prabhuu sevitu.m na "saknoti, yata ekasmin priiyamaa.no.anyasminnapriiyate yadvaa eka.m jana.m samaad.rtya tadanya.m tucchiikaroti tadvad yuuyamapi dhane"svarau sevitu.m na "saknutha|
LUK.16.14	tadaitaa.h sarvvaa.h kathaa.h "srutvaa lobhiphiruu"sinastamupajahasu.h|
LUK.16.15	tata.h sa uvaaca, yuuya.m manu.syaa.naa.m nika.te svaan nirdo.saan dar"sayatha kintu yu.smaakam anta.hkara.naanii"svaro jaanaati, yat manu.syaa.naam ati pra"sa.msya.m tad ii"svarasya gh.r.nya.m|
LUK.16.16	yohana aagamanaparyyanata.m yu.smaaka.m samiipe vyavasthaabhavi.syadvaadinaa.m lekhanaani caasan tata.h prabh.rti ii"svararaajyasya susa.mvaada.h pracarati, ekaiko lokastanmadhya.m yatnena pravi"sati ca|
LUK.16.17	vara.m nabhasa.h p.rthivyaa"sca lopo bhavi.syati tathaapi vyavasthaayaa ekabindorapi lopo na bhavi.syati|
