GEN.1.1	Are nakuexinxion beꞌe kain, Ndo Dio binchechjian ngajni ko nunthe. 
GEN.30.42	Ko are bakii ku icha lantha, bagakeꞌa nthaa bancheñeꞌe. Mexinxin ku icha lantha bagithuꞌe Labán ko ku icha nthao bagithuꞌe Jacob. 
GEN.30.43	Ko jañaa bincheꞌe, mexinxin bechunda tsjé kuleko ko kuthentsa, bechunda tsjé ni ncheꞌe xra, ko tsjé kucamello ko kulucho.
GEN.31.1	Jacob kunuꞌe thi bakekin kain xeꞌen Labán ixin jeꞌe, ixin bandachro xan: «Jacob kuemeꞌe kain thi bechunda ndudaa ná, mexinxin tsjé chunda.» 
GEN.31.2	Kai Jacob bakunuꞌe ixin Labán ibancheꞌa jian ngain inchin are saꞌo. 
GEN.31.3	Ko Ndo Dio ndache Jacob: «Sathji nuntheꞌe ni ndui ko ngain ni chujnia ko jaꞌan sariꞌi ngajin.»
GEN.31.4	Ko ruaꞌan juajna Jacob ngain Raquel ko Lea ixin ruginthekii ngataon jngi thi jithingaria kuleko, 
GEN.31.5	ko ndache kayui nchra:
GEN.31.5	—Jaꞌan dikon ndudaa ra ichrjuinꞌa ncheꞌe ndo ngajin na xraa are saꞌo. Aro Ndo Diue ndudana kain nchaꞌon jii Ndo ngajin na. 
GEN.31.6	Ko jaꞌa ra nuꞌa ra jian ixin anto dingaxin ñaꞌo nthaꞌa xree ndo. 
GEN.31.7	Ko jeꞌe ndo nguxon ncheyana ndo, ko dasingixina ndo thi dacha. Aro Ndo Dio tajandaꞌa Ndo ixin Labán sincheꞌe thi jianꞌa ngajin. 
GEN.31.8	Are bandachro ndo: “Jaꞌa sacha kain ku techunda tsjé naꞌo”, kain kunaꞌa banchian ba xan techunda tsjé naꞌo. Ko are bandachro ndo: “Jaꞌa sacha kain ku tethedunga naꞌo”, kain kunaꞌa banchian ba juxon xan tethedunga naꞌo. 
GEN.31.9	Jiꞌi bincheꞌe Ndo Dio ko bagantsjeꞌe ndudaa ra kuxiigo ko ndabakjan kuxiguna.
GEN.31.10	«Naa nchaꞌon are tedinga kunaꞌa, jaꞌan kuxinanxin ko bikon ngathe kuthachrin ixin kudaꞌa teta kunaꞌa, juxon ku techunda tsjé naꞌo. 
GEN.31.11	Ko ngain kuthachrin jiꞌi ndachjejin na angeel Ndo Dio: “Jacob”. Ko jaꞌan bathaa: “Nthiꞌi riꞌi”. 
GEN.31.12	Kuthimejan ángel ndachjejin na: “Tsjeꞌe jian, ko sikon ixin kain kudaꞌa teta kunaꞌa juxon ku tethedunga naꞌo, ku techunda tsjé naꞌo ko ku xraa dichjekanito naꞌo. Jamee jituꞌen ixin jaꞌan bikon kain thi bincheꞌe Labán ngajin. 
GEN.31.13	Jaꞌan Ndo Dio, Ndo kununxin ngajin ngain Bet-el, nthiꞌa thi kuingutaꞌa aceite ngataꞌa xro ko ndachruxin ixin sithikaon na jaꞌan. Jai dingathjen, ko dachrjexin nunthe jiꞌi ko sathji ngain nunthe guanxin.”»
GEN.31.14	Ko batheꞌe Raquel ko Lea, ko ndachro:
GEN.31.14	—Kain thi chunda ndudana ná, jaꞌan ná ixruꞌin ruchjana ná ndo, 
GEN.31.15	ko nchena ná ndo xraa jeꞌa xeꞌen ndo, ko binchekji ná ndo ko binchexiꞌin ndo kain thi kjuengeꞌe ndo ꞌna ixin kuthena ná ngajin. 
GEN.31.16	Kain thi bantsjeꞌe Ndo Dio ngain ndudana ná ko chjaa Ndo jaꞌa, nduaxin jikininxin ná jaꞌan ná ko xanꞌna ná. Mexinxin jai ncheꞌe kain thi rundathjo Ndo Dio.
GEN.31.17	Kuthimejan Jacob binchekani kayui chriꞌi ko xeꞌen ngain kucamello, 
GEN.31.18	ko kuexiꞌin beka kain kuxiigo. Kai sabikao kain thi bechunda, thi bacha nthiꞌa Padan-aram ko sakjui nu nunthe Canaán, ngain nchianduꞌe ndudee. 
GEN.31.19	Ko nchaꞌon bachrje na̱, Labán beꞌa ixin sadikji dikjiꞌin kulekue. Ko Raquel kuema kainxion diue ndudee ko sabikao. 
GEN.31.20	Ko jañaa Jacob bincheyeꞌe Labán thi arameo, ixin binchenueꞌa ixin sarrukji. 
GEN.31.21	Ko sakuingakaꞌo kain thi bechunda ko bathujin na̱ jinda jithinga diꞌin Éufrates, ko sakjui na̱ nu jnee nunthe Galaad.
GEN.31.22	Ko nchaꞌon ninxin kuetuꞌen na̱ Labán ixin Jacob sadikinga. 
GEN.31.23	Kuthimejan Labán kunixin chujnii sarruee na̱ Jacob, ko ngain nchaꞌon yatuxin bitse na̱ na̱, nu jnee nunthe Galaad. 
GEN.31.24	Aro naa thi̱e Ndo Dio kununxin ngathe kuthachrin ngain Labán, thi arameo, ko ndache Ndo: «Tuyautheꞌa Jacob are tsjao.»
GEN.31.25	Ko Labán bithja Jacob nthiꞌa ngain jnee nunthe Galaad thi binchejugaꞌa Jacob kunixin kain chujnii kanxion nchaꞌon. Kai Labán binchejugaꞌa nthiꞌa chiaon kunixin chujni bikao. 
GEN.31.26	Ko ndachro Labán ngain Jacob:
GEN.31.26	—¿Unda bincheyana? Ko sabikoo xanꞌna xraa chujni tse na̱ ngain thi diketo na̱ ko sadikao na̱ thiaxiꞌin na̱. 
GEN.31.27	¿Unda jimao sakuingana ko bincheyana? Ja̱ rundachjejin na, jaꞌan runthachjian naa kiai ko rukunchjian soon kunixin nirua ko arpa ko ruchaa ná. 
GEN.31.28	Kara rukajanda na ruketuxin xanꞌna ko xanthina. ¡Jaꞌa bincheꞌe xraa thi ndakuaꞌa xraxaon! 
GEN.31.29	Jaꞌan nchao runthaꞌa jianꞌa ngajin ra, aro Diue ndudaa nichjana riunkjin ko ndachjejin na: “Tuyautheꞌa Jacob.” 
GEN.31.30	Ko ja̱ anto binao sarrukji nchianduꞌe ndudaa, aro ¿unda kuemana kainxion diuna?
GEN.31.31	Batheꞌe Jacob ngain Labán:
GEN.31.31	—Xraon na ko xraxaꞌon ixin jaꞌa rugantsjena xaꞌan. 
GEN.31.32	Ko ixin dio rindachro, ja̱ chrujan thi chunda diua, ncho deꞌen ngathexin kon chujnia ná. Thjee jian, ko ja̱ chrujan bantsjexin ná nchiandui ko sinchii, sathjiꞌo.
GEN.31.32	Aro Jacob binueꞌa ixin Raquel kuee diue ndudee.
GEN.31.33	Ko Labán saꞌo bikjee ngaxiꞌin nchia ndasiꞌin Jacob, kuthejan bixiꞌin nchia ndasiꞌin Lea ko ngain nchia ndasiꞌin nchri ncheꞌe xra kuthejan ngain nchia ndasiꞌin Raquel. 
GEN.31.34	Ko Raquel dikema dio chringi thi xrajiꞌin kucamello ko jeꞌe tajitaꞌa nthiꞌa. Ko Labán kjuee nguixin ngaxiꞌin nchia aro xruꞌin bithja. 
GEN.31.35	Kuthimejan Raquel ndache ndudee:
GEN.31.35	—Deguñaoꞌa ko nchetjañana ixin chroꞌa dingathjen ngathexin kon ixin jixindangana jnina.
GEN.31.35	Labán kjuee diue aro xruꞌin bithja. 
GEN.31.36	Kuthejan Jacob anto guñao ko ndachro ngain Labán:
GEN.31.36	—¿Keꞌe binthañaunxin? ¿Keꞌe jianꞌa binthaꞌa ixin anto riduñao ko ruena? 
GEN.31.37	Ukjuee ngakjan kain thi richunda, tjaguꞌna keꞌe bantsjexin ná nchiandui. Dakee ngathexin kon chujnia ná ixin sikon na̱ kain na̱ ko rundachro na̱ kensen jianꞌa jincheꞌe. 
GEN.31.38	Kan nano binthaꞌa xra ngajin, ko xruꞌin kulekua ko kuthentsua bankajin xeꞌen ba, ko xruꞌin kulekua juine. 
GEN.31.39	Ko ja̱ chrujan kuxiigo chrintho te ngaꞌa jna baguen kulekua, jaꞌan bakjunkjaꞌan ba, ko ja̱ chrujan ku bakee na̱ ngain nchaꞌon o ngain thi̱e jaꞌan bakjengaꞌa ba ꞌna. 
GEN.31.40	Ngain nchaꞌon bachjan na ixin sua, ko ngain thi̱e bakunkina ixin chrintha ko chroꞌa bagarichrin. 
GEN.31.41	Kan nano jaꞌin bariꞌi ngain nchiandui: the ko noo nano binthaꞌa xra ixin kjuengaxin ꞌna kayui xaꞌan xan nchrii ko inkjaon nano binthaꞌa xra ixin kuingaria kulekua. Ko the nthiꞌa basingixina thi bagacha. 
GEN.31.42	Ja̱ Diue Abraham, thi Dio kai baxraguen ndudana Isaac, ja̱ rugeꞌa Ndo ngajin na, nduaxin rixruaxon rana rugengixin na nchiandui. Aro Ndo Dio bikon Ndo juachauna ko xra binthaꞌa, ¡mexinxin riunkjin kununxin Ndo ngajin ko binthasathaꞌa Ndo!
GEN.31.43	Kuthejan Labán batheꞌe ngain Jacob:
GEN.31.43	—Nchrii temee xanꞌna, xan nchinchinchjan temee xanthina, kuleko temee, kulekuna. Ko kain jiꞌi jaꞌan thetuꞌan. Aro jai, ¿keꞌe sinthaꞌa ngain xanꞌna ko xanthina? 
GEN.31.44	Icha jian tsjauthexin ná jaꞌa ko jaꞌan, ko jiꞌi sinthaxraxaon ná kayui ná.
GEN.31.45	Kuthimejan Jacob kuaa naa xro jié ko kuengathjen xro, 
GEN.31.46	ko ndache chujnii:
GEN.31.46	—¡Thjejo ra xro!
GEN.31.46	Ko kain na̱ kjuejo na̱ xro ko basintja na̱ xro. Ko kain na̱ tabinthe na̱ chrika xro basintja na̱, ko juinekaꞌo choo na̱. 
GEN.31.47	Ko Labán binchegiꞌin nthiꞌa kunixin ngiigua arameo «Jegar Sahaduta» ko Jacob binchegiꞌin kunixin ngiigua hebreo «Galaad».
GEN.31.48	Kuthejan Labán ndachro:
GEN.31.48	—Xro basintja ná jiꞌi sinthaxraxaon ná thi kjuauthexin ná jaꞌa ko jaꞌan.
GEN.31.48	Mexinxin nthiꞌa biꞌin Galaad, 
GEN.31.49	ko kai biꞌin Mizpa ixin Labán ndachro:
GEN.31.49	—Ndo Dio rutsjaa ná kayui ná are ichroꞌa sukon choo ná. 
GEN.31.50	Ja̱ sintja xanꞌna o sarikoꞌo ikanxin nchrii, Ndo Dio sikon Ndo, maski xruꞌin kensen sikon, ko jeꞌe Ndo sinthaxraxaon Ndo jaꞌa, thi kjuauthexin ná.
GEN.31.51	Ko Labán xra ndache Jacob:
GEN.31.51	—Tsjeꞌe xro basintja ná ko jii ngayaa ná, xro sinthaxraxaon ná thi kjuauthexin ná. 
GEN.31.52	Kain xro jiꞌi sinthaxraxaon ná thi kjuauthexin ná, ko jaꞌa sathuꞌa tuenxin xro teꞌi ixin siꞌi sincheꞌe thi jianꞌa ngajin na, ko jaꞌan kai sathuꞌa tuenxin xro teꞌi ixin tsji sinthaꞌa thi jianꞌa ngajin. 
GEN.31.53	Ko Ndo Diue ndudachriꞌa Abraham ko ndudachriꞌna Nacor sincheꞌe jie̱ ngajin ná.
GEN.31.53	Jacob bajin ngathexin kon Ndo Dio, Ndo baxraguen Isaac, ndudee jeꞌe, ixin isathoꞌa tuenxin xro teꞌi. 
GEN.31.54	Kuthejan Jacob guen naa kuxiigo ixin juinchesayeꞌe Ndo Dio kuthimejan bayee kain ni chujnii ko juine na̱ ko ndabithuꞌe na̱ nthiꞌa ngagaꞌa jna thi̱e mee.
GEN.31.55	Ko nduexin nduuyo, Labán bingathjen ko kuetuxin xanthii ko xeꞌen ko binchenchaon xan ko sakjan nchianduꞌa.
GEN.32.1	Ko Jacob kuexiꞌin sakjui inaa, ko ngatja nthiꞌá betan kanxion angeel Ndo Dio. 
GEN.32.2	Ko are bikon ángel teꞌi ndachro: «¡Kai nthiꞌi jii Ndo Dio!» Mexinxin binchegiꞌin nthiꞌa Mahanaim. 
GEN.32.3	Kuthimejan Jacob ruaꞌan juajna ngain Esaú, ko Esaú beꞌe ngain nunthe Seir, ngain nunthe Edom. 
GEN.32.4	Ko jaꞌin kuetuꞌan rundachro na̱: «Ndache ra xan chian Esaú ixin sinthaꞌa thi tsetuna xan ko ndache ra xan ixin jaꞌan bariꞌi ngain chrinina Labán, 
GEN.32.5	ko jai chunda kuxinthaa, kulucho, kuleko, xi ncheꞌe xra ko nchri ncheꞌe xra. Ko ruaꞌan juajna jiꞌi ixin jian sayeꞌna xan are saso ngain xan.
GEN.32.6	Are kjan ni bikao juajna, ndachro na̱ ngain Jacob:
GEN.32.6	—Kjui ná bitsjaa ná Esaú, ko ujithii ixin ruchuꞌan ngatja nthiꞌá kunixin noo renkia ni xii.
GEN.32.7	Jacob are kuiꞌin jiꞌi anto xraon ko kuaa juachaon ko yoo kunchjeeya chujni jii ngain, kuleko, kuxinthaa ko kucamello. 
GEN.32.8	Ko xraxaon: «Ja̱ Esaú sithja naa chjeeya chujni ko kuxiigo, ko jeꞌe tsjaaya, ni kanxin nchao satsinga na̱.» 
GEN.32.9	Kuthejan Jacob nichjayee Ndo Dio ko ndachro: «Nchana, Diue ndudachriꞌna Abraham ko ndudana Isaac, Suixin ndachjejin na ixin rukjan na ngain nuntheꞌna ko ngain ni chujnina, ko Suixin ndachro ixin jian rukjina. 
GEN.32.10	Jikininxinꞌa na kain thi Suixin bechjana ko Suixin thjen ngajin kainxin nchaꞌon. Jaꞌan bathujin nda jithinga diꞌin Jordán ko xruꞌin barichunda, jeꞌo ntha kutho jingaa rana, aro jai ni chujnina ixin ndakutsjé na̱ yoo kunchjeeya na̱. 
GEN.32.11	Nthatsaꞌan ñao thjengijna na ixin suenꞌa na xan chian Esaú. Jixraon na ixin tsii xan ko suena xan ko suen xan kain chriꞌna ko xan nchinchinchjanꞌna. 
GEN.32.12	Aro Suixin bendachjejin na ixin jian rukjina, ko chujni rugachrjeninxin na jaꞌan, rukutsjé na̱ inchin nchise jii ngandeꞌe ndachaon ko chroꞌa rugikin na̱.»
GEN.32.13	Ko Jacob bejua nthiꞌa thi̱e mee. Kuthimejan kuinchieꞌe kuxiigo, thi bechunda chiaon, ixin runchethuen Esaú. 
GEN.32.14	Ko kuinchieꞌe yoo renkia kuthentso kunaꞌa ko kan kudaꞌa; yoo renkia kuleko kunaꞌa ko kan kudaꞌa; 
GEN.32.15	kan ko the kucamella kunixin xeꞌen ba; ko yoo kan kuxinthaa kunaꞌa ko the kudaꞌa, ko kai kan kulucho kunaꞌa ko the kudaꞌa. 
GEN.32.16	Ko jejee bakeꞌe kain kuxiigo kuinchieꞌe teꞌi, ko bakeꞌe nanaa chujni beka nanaa tajuchjan kunchjeeya, ko ndache na̱:
GEN.32.16	—Ditaon ra nthiꞌá, ko kjínxin ncherrueꞌe ra choo ba.
GEN.32.17	Ko thi saꞌo bitaon nthiꞌá kuetuꞌen:
GEN.32.17	—Are setan xan chian Esaú, ko sanchiangi xan: “¿Kensen nchaa, ko thinoo thji ko kensen kuxigue rithjiꞌo?”, 
GEN.32.18	Ko jaꞌa datheꞌe: “Jiꞌi kuxigue Jacob, thi sithuꞌan suixin, Esaú. Ko Jacob, thi sincheꞌe thi suixin rundachro, kai jirrueꞌna ná.”
GEN.32.19	Ko Jacob xra jeꞌo kuetuꞌen thi yuxin ko thi ninxin ruaꞌan. Ko ndache kain ni tedeka kuxiigo:
GEN.32.19	—Are setan ra Esaú, xra jeꞌo rundache ra, 
GEN.32.20	aro xraxaon ra ndache ra: “Jacob, thi sincheꞌe thi suixin rundachro, kai jirrueꞌna ná.”
GEN.32.20	Ixin Jacob xraxaon: «Sinthabangaa ñao Esaú ixin kuxiigo sinthathuan, ko binthataon ba nthiꞌá, ko jañaa are setan a xra rugabangaꞌa ñao ko ndakua sayeꞌna.» 
GEN.32.21	Ko kuxiigo sithuen Esaú, binchetaon ba nthiꞌá, ko Jacob tabithuꞌe thi̱e mee ngain nchia ndasiꞌin.
GEN.32.22	Ko thi̱e maꞌo Jacob bingathjen ko sabikao kayui chriꞌi ko kayui nchri nchexree chriꞌi ko thi thejngo xeꞌen ko bathujin na̱ nda jithinga diꞌin Jaboc, 
GEN.32.23	kunixin kain thi jidikao. 
GEN.32.24	Kuthimejan sakjan Jacob, ko are jeꞌo tajii, biji naa thi xii ko kuexiꞌin kuetukaꞌo nguixin thi̱e ko kuajanda choo chrijan nchaꞌon. 
GEN.32.25	Ko thi jithetukaꞌo Jacob, are bikon ixin chroꞌa thjeꞌe cha, thi xii bintja nthachreen Jacob ko ndabachrjegaꞌa nthalurue. 
GEN.32.26	Kuthimejan thi xii ndachro:
GEN.32.26	—Tajanda na ixin ubingasaan.
GEN.32.26	Ko Jacob batheꞌe:
GEN.32.26	—Ja̱ sinchenchaonꞌa na, tsajandaꞌa.
GEN.32.27	Ko banchiangi thi xii:
GEN.32.27	—¿Kexreen diꞌin?
GEN.32.27	—Jaꞌan diꞌin na Jacob.
GEN.32.28	Ko thi xii ndachro:
GEN.32.28	—Jaꞌa isinꞌa Jacob. Jai siꞌin Israel, ixin kuetukoꞌo Ndo Dio ko kuetukoꞌo chujni ko kjuacha.
GEN.32.29	Ko Jacob banchiangiꞌi:
GEN.32.29	—¿Kexreen diꞌin jaꞌa?
GEN.32.29	Aro thi xii batheꞌe:
GEN.32.29	—¿Unda danchiangi kexreen diꞌin na?
GEN.32.29	Kuthimejan thi xii nthiꞌa binchenchaunxin. 
GEN.32.30	Ko Jacob binchegiꞌin nunthe mee, Peniel ixin ndachro: «Bikon Ndo Dio ko jeꞌe Ndo bikon na Ndo kai, ko benꞌa na.»
GEN.32.31	Ko are jichriꞌin nchaꞌon Jacob sakjuixin Peniel, aro ixin kuniꞌi nthachreen thinga thjiꞌin ko dania sajithji. 
GEN.32.32	Mexinxin jai ni Israel neꞌa na nthao te ngain nthachreen kuxiigo ixin Jacob bachrjegaꞌa nthachreen.
GEN.33.1	Ko Jacob kjín bikunxin juii Esaú ko juiaꞌo noo renkia ni xii, mexinxin jeꞌe kunchjeeya chjan ngain Lea ko ngain Raquel ko ngain kayui nchri nchexree nchri chriꞌi. 
GEN.33.2	Ko basinkjixin nchra ko saꞌo bakeꞌe kayui nchri nchexree chriꞌi kunixin xeꞌen nchra, kuthejan Lea kunixin xeꞌen, ko bincherruee Raquel kunixin xeꞌen diꞌin José. 
GEN.33.3	Kuthimejan Jacob bitauꞌen nchra nthiꞌá. Ko are uchiaon jidetan xan choo, Jacob kuexiꞌin bisetaꞌa nunthe yaato nthiꞌá, ko jiꞌi kjuaguxin ixin runcheꞌe thi rundachro xan.
GEN.33.4	Ko Esaú kuinga bigetan xan choo ko kjuua thusin xan ko kuetuxin xan ixin chjee xan juajna ko kayui binthetsjanga. 
GEN.33.5	Kuthimejan bikon Esaú ni nchrii kunixin xeꞌen nchra, ko banchiangi:
GEN.33.5	—¿Kensen ni teꞌi?
GEN.33.5	Ko Jacob batheꞌe:
GEN.33.5	—Ndo Dio binchenchaon na ko chjana chjan teꞌi.
GEN.33.6	Ko kayui nchri nchexree chriꞌi Jacob kunixin xeꞌen nchra binthekunchieꞌen nchra ko bisetaꞌa nchra nunthe. 
GEN.33.7	Kuthimejan kunchieꞌen Lea kunixin xeꞌen ko bisetaꞌa nunthe xraa nchri kanxin ko juexinxin kunchieꞌen Raquel ko xeꞌen, xan diꞌin José ko kai bisetaꞌa nunthe. 
GEN.33.8	Ko banchiangi Esaú:
GEN.33.8	—¿Keꞌe xraxaon sincheꞌe kunixin kain kuxiigo betan ngatja nthiꞌá?
GEN.33.8	Ko batheꞌe Jacob:
GEN.33.8	—Kuxiigo yaa ruchjaꞌa ixin sinchetjañana ko jian sincheꞌe ngajin.
GEN.33.9	Aro Esaú ndachro:
GEN.33.9	—Icha jian, dithuaꞌa kuxigua, jaꞌan anto tsjé ku chunda.
GEN.33.10	Ko Jacob xra ndachro:
GEN.33.10	—Nthatsaꞌan ñao, ja̱ binchetjañana, dayeꞌe kain kuxiigo teꞌi, ixin are ridikon jaꞌa, xraa inchin ridikon Ndo Dio. 
GEN.33.11	Nthatsaꞌan ñao dayeꞌe thi bikian ixin sinthathuꞌan ixin Ndo Dio anto tsjé chjana Ndo ko chunda kain thi rugundana.
GEN.33.11	Ko Jacob anto binchetseꞌen ñao Esaú, mexinxin bayee thi bajon Jacob. 
GEN.33.12	Ko ndachro Esaú:
GEN.33.12	—Unchao, satsjixin ná nthiꞌi ko jaꞌan sitaon nthiꞌá.
GEN.33.13	Aro Jacob ndachro:
GEN.33.13	—Nchana, detsjeꞌe, xan nchinchinchjan tuin tunchrjen xan, ko kuxiigo kai tenchegangi ba xeꞌen ba ko ja̱ seka ba nguii naa nchaꞌon ndasinthegeꞌen kain ba. 
GEN.33.14	Icha nchao ditaon nthiꞌá, ko jaꞌan ná yao rurruaꞌa ra ixin yauchjan chrji xan nchinchinchjan ko kuxiguna ná, ko usaso na̱ nthiꞌa ngain nunthe Seir.
GEN.33.15	Ko ndachro Esaú:
GEN.33.15	—Nchao, aro tsinthua ngajin kanxion chujni juii ngajin na, ixin tsjaguꞌa ra na̱ nthiꞌá ko senda ra na̱.
GEN.33.15	Aro Jacob batheꞌe:
GEN.33.15	—¡Nthatsaꞌan ñao, taxinꞌa na juachjaon!
GEN.33.16	Ko nchaꞌon maꞌo Esaú sakjan nunthe Seir. 
GEN.33.17	Aro Jacob sakjui ngain nunthe Sucot, ko nthiꞌa binchechjian nchianduꞌa ko nchianduꞌe kuxigue, mexinxin nunthe mee binchegiꞌin Sucot.
GEN.33.18	Ko Jacob juixin nunthe Padan-aram ko xruꞌin kuꞌen ko jian biji ngain rajna Siquem, thi jii ngain nunthe Canaán, ko chiaon rajna Siquem kuengathjen nchia ndasiꞌin. 
GEN.33.19	Ko nunthe binchechjiantaꞌa nchia ndasiꞌin, kueꞌna nunthe ngain ni nchianduꞌe Hamor, thi kjui ndudee Siquem ko kjuenga ꞌna naa renkia tumi chia plata. 
GEN.33.20	Ko nthiꞌa binchechjian naa giꞌi jitangi ixin sinchesayexin Ndo Dio, ko binchegiꞌin: El-Elohe-israel, ko jiꞌi ruchro “Thi Diue ni Israel.”
GEN.34.1	Naa nchaꞌon Dina, xeꞌen Lea ko Jacob, kjui xan bitsjeꞌe xan xan nchrii rajna nthiꞌa. 
GEN.34.2	Ko naa xii biꞌin Hamor, thi heveo, baketuꞌan ngain rajna mee, ko bechunda naa xeꞌen xan xii biꞌin Siquem. Are Siquem bikon Dina tse ko kuaxin nunthe. 
GEN.34.3	Aro Siquem anto juinao Dina ko anto chrjuin nichjee ko bincheꞌe ixin runchebagangeꞌe ñao ko ixin Dina kai rujinao jeꞌe. 
GEN.34.4	Kuthimejan Siquem ndache ndudee:
GEN.34.4	—Deganchia xan nchrii jiꞌa ixin tsuthena ngain xan.
GEN.34.5	Ko Jacob kunuꞌe ixin Siquem kuaxin nunthe Dina, aro icha xeꞌen Jacob tate xan ngataon jngi tethingaria xan kuxiigo, ko xruꞌin ndachro kjanxinja xan ngataon jngi. 
GEN.34.6	Aro Hamor ko xeꞌen kjui bikjao Jacob.
GEN.34.7	Ko are xeꞌen Jacob binthekjanxin xan ngataon jngi, kai kunuꞌe xan thi kuꞌen, ko anto bintheguñao xan ko binthechiin xan ixin anto jié juasuaxin ixin Siquem kuaxin nunthe xeꞌen Jacob. ¡Jiꞌi xruꞌin nchaꞌon rukuꞌen! 
GEN.34.8	Aro Hamor kjuao na̱ ko ndachro:
GEN.34.8	—Xanꞌna anto rinao xan nchri choo ra. Nthatsaꞌan ñao ra tajanda ra xan sekaꞌo xan xanꞌna. 
GEN.34.9	Ko jañaa kjan ra chujnina ná, xanꞌna ná tsutheꞌe xan ngain xaꞌan ra xan nchrii ko xaꞌan ra tsutheꞌe xan ngain xanꞌna ná xan nchrii. 
GEN.34.10	Ko tadinthe ra ngajin ná, yaa jii nunthe, ko dinthe ra ngain nunthe ko nchao tseꞌna ra nunthe, thi jaꞌa ra sinao ra.
GEN.34.11	Ko Siquem ndachro ngain Jacob ko ngain xeꞌen:
GEN.34.11	—Nthatsaꞌan ñao ra dithuaxin ra tsuthena ngain Dina, ko ruchjaꞌa ra thi jaꞌa ra sanchiana ni ra. 
GEN.34.12	Danchiana ni ra thi jaꞌa ra sinao ra ixin xan choo ra, ko kai ja̱ tsjé rinao ra sithuen xan, maski icha tsjé sanchiana ni ra ke thi jikininxin dajon ni, aro tanchrjanda ra xan tsutheꞌe xan ngajin na.
GEN.34.13	Aro xeꞌen Jacob bithikaonꞌa xan ko bincheyeꞌe xan Siquem ko Hamor, ixin teduñao xan ixin Siquem kuaxin nunthe Dina. 
GEN.34.14	Ko batheꞌe xan:
GEN.34.14	—Jaꞌan ná chroꞌa sajon ná xan chian ná ngain naa xii chundaꞌa xruꞌe diꞌin circuncisión, ixin ja̱ chundaꞌa xruꞌe, naa juasuaxin ixin jaꞌan ná. 
GEN.34.15	Aro jaan, nchao sarikoꞌo xan, ja̱ sithikaon ra thi jaꞌan ná rundathjo ra: Ja̱ tsa ra xruꞌe, jaꞌa ra ko kain ni xii te ngajin ra, 
GEN.34.16	jañaa nchao tsuthaꞌa ra ngain xanꞌna ná xan nchrii ko jaꞌan ná ngain xaꞌan ra xan nchrii, ko sinthe ná ngayaꞌa ra ko rukjan ná nakua rajna. 
GEN.34.17	Aro ja̱ tsaꞌa ra xruꞌe inchin ndachrjan ná, satsjiꞌan ná xan chian ná.
GEN.34.18	Hamor ko Siquem bithuexin na̱ sincheꞌe na̱ thi kuiꞌin na̱. 
GEN.34.19	Ko Siquem tuin kuaa xruꞌe ixin anto juinao urrugekaꞌo Dina. Ko Siquem kjui naa xii icha juinao ni chujnii. 
GEN.34.20	Kuthimejan Siquem ko ndudee kjui na̱ thi bagixinxin na̱ rajna ko kjuao na̱ ni thetuꞌan rajna ko binthendachro na̱:
GEN.34.21	—Xii teꞌi, xi jian dakjiꞌan ná, tsajanda ná na̱ tasinthe na̱ ngain nuntheꞌa ná ko ncho theꞌna na̱ icha nunthe, ko jaꞌan ná nchao tsuthaa ná ngain xeꞌen na̱ xan nchrii ko jeꞌe na̱ kai nchao tsutheꞌe na̱ ngain xaꞌan ná xan nchrii. 
GEN.34.22	Ko jeꞌe na̱ sithuexin na̱ sithuꞌe ná ngajin ná, ja̱ kainxin ná xro xii ná sayee ná xruꞌe, jañaa inchin jeꞌe na̱ ncheꞌe na̱. 
GEN.34.23	Ko kain thi chunda na̱ ko kain kuxigue na̱ tsukuxigua ná kai. Jeꞌo suthikaon ná sayee ná xruꞌe ko sithuꞌe na̱ ngajin ná.
GEN.34.24	Ko kain ni thetuꞌan bithikaon na̱ thi ndachro Hamor ko Siquem, ko kain ni xii bayee na̱ xruꞌe. 
GEN.34.25	Aro batho nii nchaꞌon, ko yoo xeꞌen Jacob, xan Simeón ko xan Leví, xan choo Dina, kjui xan rajna ko teyaa xan chia taade ko ndaguen xan kain ni xii, ko jeꞌe na̱ chroꞌa kjuaaya na̱ ixin anto tethiin na̱. 
GEN.34.26	Ko Hamor ko Siquem kai guenxin xan chia taade. Kuthimejan bantsjexin xan Dina nchianduꞌe Siquem ko sabikao xan. 
GEN.34.27	Ko icha xeꞌen Jacob biji xan ngain rajna ko bikon xan chujni ndadigeꞌen, ko bigantsje xan thi bechunda ni rajna, ko jiꞌi bincheꞌe xan ixin thi bincheꞌe Siquem ngain Dina. 
GEN.34.28	Ko sabikao xan kuleko, kuxinthaa, kulucho ko kain thi bithja xan ngain rajna ko ngataon jngi. 
GEN.34.29	Kuee xan kain thi jii ngain nchia ko sabikao xan kain xan nchinchinchjan ko ni nchrii. 
GEN.34.30	Kuthimejan Jacob ndachro ngain Simeón ko Leví:
GEN.34.30	—Jaꞌa ra bakee ni ra ngain naa thi anto tangi. Jai chujni nunthe jiꞌi, ni cananeo, ni ferezeo anto runingakuna na̱ ko tsato choo na̱ ko tsii na̱ suen ná na̱ ko jaꞌan tsjéꞌa chujni chunda. ¡Kain ná ndaseꞌen ná!
GEN.34.31	Aro jeꞌe xan binthegatheꞌe xan:
